Orthogroup	Syan	Syai
OG0000037	Syan.g_02978, Syan.g_00917	Syai.g_02815
OG0000038	Syan.g_01569	Syai.g_02780
OG0000040	Syan.g_01651	Syai.g_02876
OG0000041	Syan.g_01465	Syai.g_02265
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Syai.g_00099
OG0000044	Syan.g_01065	Syai.g_00833
OG0000045	Syan.g_00151	Syai.g_02432
OG0000048	Syan.g_02036	Syai.g_00272
OG0000053	Syan.g_02812	Syai.g_00930
OG0000054	Syan.g_02503	Syai.g_01040
OG0000055	Syan.g_00312	Syai.g_02029
OG0000058	Syan.g_01128, Syan.g_01124	Syai.g_00195
OG0000060	Syan.g_02856	Syai.g_00635
OG0000060	Syan.g_00277	Syai.g_01758
OG0000061	Syan.g_02696	Syai.g_02144
OG0000062	Syan.g_01380	Syai.g_02358
OG0000063	Syan.g_01739	Syai.g_00042
OG0000064	Syan.g_02518	Syai.g_02844
OG0000066	Syan.g_01156	Syai.g_01709, Syai.g_00719
OG0000067	Syan.g_00690	Syai.g_01321
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Syai.g_00628
OG0000070	Syan.g_00289	Syai.g_02196
OG0000071	Syan.g_01213	Syai.g_02179
OG0000072	Syan.g_03038	Syai.g_02636
OG0000073	Syan.g_02741	Syai.g_00659
OG0000075	Syan.g_00981, Syan.g_01937	Syai.g_00161
OG0000076	Syan.g_01896	Syai.g_00111
OG0000077	Syan.g_02919, Syan.g_02579	Syai.g_02486
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Syai.g_00543
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Syai.g_00300
OG0000082	Syan.g_00952	Syai.g_00781
OG0000084	Syan.g_01283	Syai.g_01196
OG0000085	Syan.g_01387	Syai.g_02365
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Syai.g_02507
OG0000087	Syan.g_02268	Syai.g_02592
OG0000088	Syan.g_03031	Syai.g_02630
OG0000089	Syan.g_02316	Syai.g_00517
OG0000090	Syan.g_01166	Syai.g_00707
OG0000091	Syan.g_00235, Syan.g_00808	Syai.g_01112
OG0000092	Syan.g_02502	Syai.g_01358
OG0000093	Syan.g_00708	Syai.g_01306
OG0000094	Syan.g_00353	Syai.g_01424
OG0000095	Syan.g_00290	Syai.g_02007
OG0000098	Syan.g_00043	Syai.g_01718
OG0000099	Syan.g_01968	Syai.g_00199
OG0000100	Syan.g_00658	Syai.g_01372
OG0000102	Syan.g_01891	Syai.g_00106
OG0000104	Syan.g_01792	Syai.g_02929
OG0000105	Syan.g_02031	Syai.g_00267
OG0000106	Syan.g_00076	Syai.g_01601
OG0000107	Syan.g_02106	Syai.g_00319
OG0000108	Syan.g_02764	Syai.g_00638
OG0000110	Syan.g_00171	Syai.g_00878
OG0000110	Syan.g_00882	Syai.g_00766
OG0000111	Syan.g_00187	Syai.g_00884
OG0000112	Syan.g_00556, Syan.g_00252	Syai.g_01512
OG0000113	Syan.g_00664	Syai.g_01367
OG0000114	Syan.g_00741	Syai.g_01261
OG0000115	Syan.g_02810	Syai.g_00932
OG0000116	Syan.g_02710, Syan.g_00460	Syai.g_02156
OG0000117	Syan.g_02644	Syai.g_01756
OG0000118	Syan.g_01241, Syan.g_01237	Syai.g_00818
OG0000119	Syan.g_02672	Syai.g_02127
OG0000120	Syan.g_01966	Syai.g_00198
OG0000121	Syan.g_01273	Syai.g_00951
OG0000123	Syan.g_02190	Syai.g_00411
OG0000124	Syan.g_01873	Syai.g_00089
OG0000125	Syan.g_01573	Syai.g_02782
OG0000126	Syan.g_01705	Syai.g_02927
OG0000127	Syan.g_00162	Syai.g_02459
OG0000128	Syan.g_01768	Syai.g_00012
OG0000129	Syan.g_01563	Syai.g_02771
OG0000130	Syan.g_02906, Syan.g_02907	Syai.g_02474
OG0000131	Syan.g_03008	Syai.g_02608
OG0000132	Syan.g_03029	Syai.g_02628
OG0000133	Syan.g_00561	Syai.g_01507
OG0000134	Syan.g_02319	Syai.g_00520
OG0000135	Syan.g_01616	Syai.g_02826
OG0000136	Syan.g_01342	Syai.g_02217
OG0000137	Syan.g_02846	Syai.g_00865
OG0000138	Syan.g_02747	Syai.g_00654
OG0000140	Syan.g_00042	Syai.g_00716
OG0000141	Syan.g_01032	Syai.g_01041
OG0000142	Syan.g_00816	Syai.g_01104
OG0000143	Syan.g_00812	Syai.g_01108
OG0000144	Syan.g_00782	Syai.g_01608
OG0000145	Syan.g_02740	Syai.g_00660
OG0000146	Syan.g_00555, Syan.g_00253	Syai.g_01513
OG0000147	Syan.g_00254, Syan.g_00554	Syai.g_01514
OG0000148	Syan.g_00670	Syai.g_01361
OG0000149	Syan.g_00393	Syai.g_02059
OG0000150	Syan.g_01031	Syai.g_00717
OG0000151	Syan.g_00731	Syai.g_01280
OG0000152	Syan.g_00565	Syai.g_01503
OG0000153	Syan.g_00601	Syai.g_01461
OG0000154	Syan.g_00363	Syai.g_01434
OG0000155	Syan.g_02654	Syai.g_02109
OG0000156	Syan.g_02717	Syai.g_02162
OG0000157	Syan.g_02718	Syai.g_02163
OG0000158	Syan.g_01078, Syan.g_01926	Syai.g_00135
OG0000160	Syan.g_01274	Syai.g_00952
OG0000161	Syan.g_01268	Syai.g_00946
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Syai.g_00939
OG0000163	Syan.g_02405	Syai.g_02300
OG0000165	Syan.g_01448	Syai.g_02244
OG0000166	Syan.g_02239	Syai.g_00364
OG0000167	Syan.g_01941	Syai.g_00164
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Syai.g_00134
OG0000169	Syan.g_01912	Syai.g_00123
OG0000170	Syan.g_01901	Syai.g_00116
OG0000171	Syan.g_01875	Syai.g_00090
OG0000172	Syan.g_01810	Syai.g_00083
OG0000173	Syan.g_01720	Syai.g_00064
OG0000174	Syan.g_01619	Syai.g_02828
OG0000175	Syan.g_01678, Syan.g_00258	Syai.g_02901
OG0000176	Syan.g_01801	Syai.g_00004
OG0000177	Syan.g_01775	Syai.g_00005
OG0000178	Syan.g_01774	Syai.g_00006
OG0000179	Syan.g_01759	Syai.g_00023
OG0000180	Syan.g_01758	Syai.g_00024
OG0000181	Syan.g_01757	Syai.g_00025
OG0000182	Syan.g_01756	Syai.g_00026
OG0000183	Syan.g_01752	Syai.g_00030
OG0000184	Syan.g_01549	Syai.g_02756
OG0000185	Syan.g_01540	Syai.g_02734
OG0000186	Syan.g_02902	Syai.g_02469
OG0000187	Syan.g_02904	Syai.g_02471
OG0000188	Syan.g_02926	Syai.g_02494, Syai.g_00696
OG0000189	Syan.g_02966	Syai.g_02530
OG0000190	Syan.g_00971	Syai.g_02532
OG0000191	Syan.g_02300	Syai.g_02562
OG0000192	Syan.g_02294	Syai.g_02569
OG0000193	Syan.g_03009	Syai.g_02609
OG0000194	Syan.g_03012	Syai.g_02612
OG0000196	Syan.g_03026	Syai.g_02625
OG0000197	Syan.g_03027	Syai.g_02626
OG0000198	Syan.g_03028	Syai.g_02627
OG0000199	Syan.g_03037	Syai.g_02635
OG0000200	Syan.g_03055	Syai.g_02651
OG0000201	Syan.g_03074	Syai.g_02667
OG0000202	Syan.g_03075	Syai.g_02668
OG0000203	Syan.g_03076	Syai.g_02669
OG0000204	Syan.g_03077	Syai.g_02670
OG0000205	Syan.g_03087	Syai.g_02677
OG0000206	Syan.g_03095	Syai.g_02684
OG0000207	Syan.g_03100	Syai.g_02686
OG0000208	Syan.g_03101	Syai.g_02687
OG0000209	Syan.g_01521	Syai.g_02699
OG0000210	Syan.g_01522	Syai.g_02700
OG0000211	Syan.g_02416	Syai.g_00533
OG0000212	Syan.g_01508, Syan.g_02438	Syai.g_00544
OG0000213	Syan.g_02059	Syai.g_00292
OG0000214	Syan.g_02040	Syai.g_00276
OG0000215	Syan.g_02010	Syai.g_00245
OG0000216	Syan.g_02006	Syai.g_00241
OG0000217	Syan.g_02001	Syai.g_00237
OG0000218	Syan.g_01999	Syai.g_00235
OG0000219	Syan.g_01998	Syai.g_00234
OG0000220	Syan.g_01997	Syai.g_00233
OG0000221	Syan.g_01994	Syai.g_00227
OG0000222	Syan.g_01981	Syai.g_00215
OG0000223	Syan.g_00228	Syai.g_00194
OG0000224	Syan.g_01959	Syai.g_00186
OG0000225	Syan.g_02997	Syai.g_00502
OG0000226	Syan.g_02990	Syai.g_00506
OG0000227	Syan.g_02988	Syai.g_00508
OG0000228	Syan.g_02315	Syai.g_00516
OG0000229	Syan.g_02396	Syai.g_02228
OG0000230	Syan.g_02398	Syai.g_02226
OG0000231	Syan.g_01333	Syai.g_02208
OG0000232	Syan.g_02801	Syai.g_00846
OG0000233	Syan.g_02876	Syai.g_00855
OG0000234	Syan.g_02844	Syai.g_00866
OG0000235	Syan.g_02765	Syai.g_00637
OG0000236	Syan.g_02749	Syai.g_00652
OG0000237	Syan.g_02731	Syai.g_00669
OG0000238	Syan.g_02726	Syai.g_00674
OG0000239	Syan.g_01187	Syai.g_00691
OG0000240	Syan.g_01186	Syai.g_00692
OG0000241	Syan.g_00822	Syai.g_01089, Syai.g_01085
OG0000242	Syan.g_01168	Syai.g_00705
OG0000243	Syan.g_00840	Syai.g_00726
OG0000244	Syan.g_00848	Syai.g_00731
OG0000245	Syan.g_00850	Syai.g_00733
OG0000246	Syan.g_00854	Syai.g_00737
OG0000247	Syan.g_00866	Syai.g_00748
OG0000249	Syan.g_00871	Syai.g_00753
OG0000250	Syan.g_00878	Syai.g_00762
OG0000251	Syan.g_00961	Syai.g_00789
OG0000252	Syan.g_00966	Syai.g_00797
OG0000253	Syan.g_01000	Syai.g_00798
OG0000254	Syan.g_01026	Syai.g_01045
OG0000255	Syan.g_00978	Syai.g_01061
OG0000256	Syan.g_00001, Syan.g_01135	Syai.g_01077
OG0000257	Syan.g_00827	Syai.g_01084
OG0000258	Syan.g_00803	Syai.g_01113
OG0000259	Syan.g_00772	Syai.g_01229
OG0000260	Syan.g_00769	Syai.g_01232
OG0000261	Syan.g_00765	Syai.g_01235
OG0000262	Syan.g_00760	Syai.g_01240
OG0000263	Syan.g_02618	Syai.g_01776
OG0000264	Syan.g_00540	Syai.g_01962
OG0000266	Syan.g_00330	Syai.g_01401
OG0000267	Syan.g_00470	Syai.g_01569
OG0000268	Syan.g_00471	Syai.g_01568
OG0000269	Syan.g_00695	Syai.g_01316
OG0000270	Syan.g_00692	Syai.g_01319
OG0000271	Syan.g_00684	Syai.g_01327
OG0000272	Syan.g_00683	Syai.g_01328
OG0000273	Syan.g_00654	Syai.g_02037
OG0000274	Syan.g_00653	Syai.g_02038
OG0000275	Syan.g_00373	Syai.g_02043
OG0000276	Syan.g_00380	Syai.g_02051
OG0000278	Syan.g_00384	Syai.g_02055
OG0000279	Syan.g_00398	Syai.g_02063
OG0000280	Syan.g_00518	Syai.g_02084
OG0000282	Syan.g_00739	Syai.g_01263
OG0000283	Syan.g_00491	Syai.g_01554
OG0000284	Syan.g_00497	Syai.g_01548
OG0000285	Syan.g_00533	Syai.g_01522
OG0000286	Syan.g_00564	Syai.g_01504
OG0000287	Syan.g_00593	Syai.g_01469
OG0000288	Syan.g_00364	Syai.g_01435
OG0000289	Syan.g_00350	Syai.g_01421
OG0000290	Syan.g_00293	Syai.g_02010
OG0000291	Syan.g_00291	Syai.g_02008
OG0000292	Syan.g_01703	Syai.g_02926
OG0000293	Syan.g_02709	Syai.g_02155
OG0000295	Syan.g_02662	Syai.g_02117
OG0000296	Syan.g_02660	Syai.g_02115
OG0000299	Syan.g_02601	Syai.g_01783
OG0000301	Syan.g_02592	Syai.g_01791
OG0000302	Syan.g_02591	Syai.g_01793
OG0000303	Syan.g_02582	Syai.g_01802
OG0000304	Syan.g_02556	Syai.g_01826
OG0000305	Syan.g_00195	Syai.g_02005
OG0000306	Syan.g_00087	Syai.g_02090
OG0000307	Syan.g_02782	Syai.g_00619
OG0000308	Syan.g_02784	Syai.g_00617
OG0000309	Syan.g_02883	Syai.g_00612
OG0000310	Syan.g_01304	Syai.g_00989
OG0000311	Syan.g_01299	Syai.g_00985
OG0000312	Syan.g_01290	Syai.g_00966
OG0000313	Syan.g_01271	Syai.g_00949
OG0000314	Syan.g_02823	Syai.g_00908
OG0000315	Syan.g_02833	Syai.g_00897
OG0000316	Syan.g_01354	Syai.g_02320, Syai.g_02322
OG0000317	Syan.g_01396	Syai.g_02373
OG0000318	Syan.g_01401	Syai.g_02379
OG0000319	Syan.g_01425	Syai.g_02395
OG0000320	Syan.g_01427	Syai.g_02397
OG0000321	Syan.g_01428	Syai.g_02398
OG0000322	Syan.g_01429	Syai.g_02399
OG0000323	Syan.g_01442	Syai.g_02413
OG0000324	Syan.g_01472	Syai.g_02272
OG0000325	Syan.g_02107	Syai.g_00320
OG0000327	Syan.g_02244	Syai.g_00359
OG0000328	Syan.g_02243	Syai.g_00360
OG0000329	Syan.g_02225	Syai.g_00378
OG0000330	Syan.g_02224	Syai.g_00379
OG0000331	Syan.g_02223	Syai.g_00380
OG0000333	Syan.g_02205	Syai.g_00398
OG0000334	Syan.g_00247, Syan.g_02194	Syai.g_00407
OG0000335	Syan.g_02189	Syai.g_00412
OG0000336	Syan.g_02185	Syai.g_00416
OG0000337	Syan.g_01949	Syai.g_00169
OG0000338	Syan.g_01943	Syai.g_00166
OG0000339	Syan.g_01935, Syan.g_00264	Syai.g_00160
OG0000340	Syan.g_01923	Syai.g_00133
OG0000341	Syan.g_01921	Syai.g_00131
OG0000342	Syan.g_01920	Syai.g_00130
OG0000343	Syan.g_01918	Syai.g_00129
OG0000344	Syan.g_01914	Syai.g_00125
OG0000345	Syan.g_01900	Syai.g_00115
OG0000346	Syan.g_01895	Syai.g_00110
OG0000347	Syan.g_01867	Syai.g_00087
OG0000348	Syan.g_01803	Syai.g_00076
OG0000349	Syan.g_01727	Syai.g_00057
OG0000350	Syan.g_02121	Syai.g_00334
OG0000351	Syan.g_01682	Syai.g_02904
OG0000352	Syan.g_01683	Syai.g_02905
OG0000353	Syan.g_01795	Syai.g_02932
OG0000354	Syan.g_02720	Syai.g_00680
OG0000354	Syan.g_01761	Syai.g_00019
OG0000355	Syan.g_01797	Syai.g_00001
OG0000356	Syan.g_01798	Syai.g_00002
OG0000357	Syan.g_01800	Syai.g_00003
OG0000358	Syan.g_01773	Syai.g_00007
OG0000359	Syan.g_01771	Syai.g_00009
OG0000360	Syan.g_01770	Syai.g_00010
OG0000361	Syan.g_01769	Syai.g_00011
OG0000362	Syan.g_01767	Syai.g_00013
OG0000363	Syan.g_01765	Syai.g_00015
OG0000364	Syan.g_01398	Syai.g_00016
OG0000365	Syan.g_01755	Syai.g_00027
OG0000366	Syan.g_01754	Syai.g_00028
OG0000367	Syan.g_01753	Syai.g_00029
OG0000368	Syan.g_01751	Syai.g_00031
OG0000369	Syan.g_01750	Syai.g_00032
OG0000370	Syan.g_01749	Syai.g_00033
OG0000371	Syan.g_01740	Syai.g_00041
OG0000372	Syan.g_01734	Syai.g_00047
OG0000373	Syan.g_01733	Syai.g_00048
OG0000374	Syan.g_01732	Syai.g_00049
OG0000375	Syan.g_01731	Syai.g_00053
OG0000376	Syan.g_01729	Syai.g_00055
OG0000377	Syan.g_01555	Syai.g_02769
OG0000378	Syan.g_01543	Syai.g_02751
OG0000379	Syan.g_01539	Syai.g_02733
OG0000380	Syan.g_02905	Syai.g_02472
OG0000381	Syan.g_02908	Syai.g_02475
OG0000382	Syan.g_02925	Syai.g_02493
OG0000383	Syan.g_02936	Syai.g_02498
OG0000384	Syan.g_02937	Syai.g_02499
OG0000385	Syan.g_02938	Syai.g_02500
OG0000386	Syan.g_02939	Syai.g_02501
OG0000387	Syan.g_00967	Syai.g_02534
OG0000388	Syan.g_02970	Syai.g_02538
OG0000389	Syan.g_02973	Syai.g_02542
OG0000390	Syan.g_02306	Syai.g_02556
OG0000391	Syan.g_02301	Syai.g_02561
OG0000392	Syan.g_02295	Syai.g_02568
OG0000393	Syan.g_02292	Syai.g_02570
OG0000394	Syan.g_02291	Syai.g_02571
OG0000395	Syan.g_02290	Syai.g_02572
OG0000396	Syan.g_02287	Syai.g_02575
OG0000397	Syan.g_02285	Syai.g_02577
OG0000398	Syan.g_02279	Syai.g_02582
OG0000399	Syan.g_02278	Syai.g_02583
OG0000400	Syan.g_02277	Syai.g_02584
OG0000401	Syan.g_02274	Syai.g_02585
OG0000402	Syan.g_02272	Syai.g_02588
OG0000403	Syan.g_02271	Syai.g_02589
OG0000404	Syan.g_02269	Syai.g_02590
OG0000405	Syan.g_03005	Syai.g_02606
OG0000406	Syan.g_03010	Syai.g_02610
OG0000407	Syan.g_03011	Syai.g_02611
OG0000408	Syan.g_03013	Syai.g_02613
OG0000409	Syan.g_03015	Syai.g_02615
OG0000410	Syan.g_03016	Syai.g_02616
OG0000411	Syan.g_03017	Syai.g_02617
OG0000412	Syan.g_03018	Syai.g_02618
OG0000413	Syan.g_03020	Syai.g_02620
OG0000414	Syan.g_03021	Syai.g_02621
OG0000415	Syan.g_03022	Syai.g_02622
OG0000416	Syan.g_03023	Syai.g_02623
OG0000417	Syan.g_03025	Syai.g_02624
OG0000418	Syan.g_03030	Syai.g_02629
OG0000419	Syan.g_03033	Syai.g_02631
OG0000420	Syan.g_03035	Syai.g_02633
OG0000421	Syan.g_03040	Syai.g_02638
OG0000422	Syan.g_03041	Syai.g_02639
OG0000423	Syan.g_03042	Syai.g_02640
OG0000424	Syan.g_03043	Syai.g_02641
OG0000425	Syan.g_03044	Syai.g_02642
OG0000426	Syan.g_03045	Syai.g_02643
OG0000427	Syan.g_03046	Syai.g_02644
OG0000428	Syan.g_03049	Syai.g_02647
OG0000429	Syan.g_03051	Syai.g_02649
OG0000430	Syan.g_03053	Syai.g_02650
OG0000431	Syan.g_03058	Syai.g_02654
OG0000432	Syan.g_03065	Syai.g_02660
OG0000433	Syan.g_03068	Syai.g_02662
OG0000434	Syan.g_03069	Syai.g_02663
OG0000435	Syan.g_03071	Syai.g_02666
OG0000436	Syan.g_03079	Syai.g_02671
OG0000437	Syan.g_03080	Syai.g_02672
OG0000438	Syan.g_03083	Syai.g_02673
OG0000439	Syan.g_03085	Syai.g_02675
OG0000440	Syan.g_03086	Syai.g_02676
OG0000441	Syan.g_03089	Syai.g_02681
OG0000442	Syan.g_03090	Syai.g_02682
OG0000443	Syan.g_03094	Syai.g_02683
OG0000444	Syan.g_03102	Syai.g_02688
OG0000445	Syan.g_03103	Syai.g_02689
OG0000446	Syan.g_03105	Syai.g_02690
OG0000447	Syan.g_03111	Syai.g_02693
OG0000448	Syan.g_03112	Syai.g_02694
OG0000449	Syan.g_03113	Syai.g_02695
OG0000450	Syan.g_01518	Syai.g_02696
OG0000451	Syan.g_01519	Syai.g_02697
OG0000452	Syan.g_01523	Syai.g_02701
OG0000453	Syan.g_01524	Syai.g_02702
OG0000454	Syan.g_01525	Syai.g_02703
OG0000455	Syan.g_01526	Syai.g_02704
OG0000456	Syan.g_01527	Syai.g_02705
OG0000457	Syan.g_01529	Syai.g_02707
OG0000458	Syan.g_01530	Syai.g_02708
OG0000459	Syan.g_01531	Syai.g_02709
OG0000460	Syan.g_02423	Syai.g_00535
OG0000461	Syan.g_02099	Syai.g_00314
OG0000462	Syan.g_02096	Syai.g_00311
OG0000463	Syan.g_02095	Syai.g_00310
OG0000464	Syan.g_02094	Syai.g_00309
OG0000465	Syan.g_02092	Syai.g_00307
OG0000466	Syan.g_02087	Syai.g_00303
OG0000467	Syan.g_02086	Syai.g_00301
OG0000468	Syan.g_02063	Syai.g_00296
OG0000469	Syan.g_02046	Syai.g_00282
OG0000470	Syan.g_02044	Syai.g_00280
OG0000471	Syan.g_02043	Syai.g_00279
OG0000472	Syan.g_02041	Syai.g_00277
OG0000473	Syan.g_02039	Syai.g_00275
OG0000474	Syan.g_02038	Syai.g_00274
OG0000475	Syan.g_02037	Syai.g_00273
OG0000476	Syan.g_02035	Syai.g_00271
OG0000477	Syan.g_02029	Syai.g_00265
OG0000478	Syan.g_02028	Syai.g_00264
OG0000479	Syan.g_02027	Syai.g_00263
OG0000480	Syan.g_02020	Syai.g_00256
OG0000481	Syan.g_00975	Syai.g_00254
OG0000482	Syan.g_02018	Syai.g_00253
OG0000483	Syan.g_02014	Syai.g_00249
OG0000484	Syan.g_02013	Syai.g_00248
OG0000485	Syan.g_02012	Syai.g_00247
OG0000486	Syan.g_02011	Syai.g_00246
OG0000487	Syan.g_02005	Syai.g_00240
OG0000488	Syan.g_02000	Syai.g_00236
OG0000489	Syan.g_01993	Syai.g_00226
OG0000490	Syan.g_01985	Syai.g_00218
OG0000491	Syan.g_01983	Syai.g_00217
OG0000492	Syan.g_01980	Syai.g_00214
OG0000493	Syan.g_01979	Syai.g_00213
OG0000494	Syan.g_01978	Syai.g_00212
OG0000495	Syan.g_01977	Syai.g_00211
OG0000496	Syan.g_01976	Syai.g_00210
OG0000497	Syan.g_01975	Syai.g_00209
OG0000498	Syan.g_01974	Syai.g_00208
OG0000499	Syan.g_01973	Syai.g_00207
OG0000500	Syan.g_01972	Syai.g_00206
OG0000501	Syan.g_01969	Syai.g_00203
OG0000502	Syan.g_01961	Syai.g_00192
OG0000503	Syan.g_02144	Syai.g_00486
OG0000504	Syan.g_02142	Syai.g_00488
OG0000505	Syan.g_02141	Syai.g_00489
OG0000506	Syan.g_02139	Syai.g_00491
OG0000507	Syan.g_02133	Syai.g_00497
OG0000508	Syan.g_02998	Syai.g_00501
OG0000509	Syan.g_02993	Syai.g_00503
OG0000510	Syan.g_02992	Syai.g_00504
OG0000511	Syan.g_02991	Syai.g_00505
OG0000512	Syan.g_02989	Syai.g_00507
OG0000513	Syan.g_02320	Syai.g_00521
OG0000514	Syan.g_02326	Syai.g_00528
OG0000515	Syan.g_02327	Syai.g_00529
OG0000516	Syan.g_02389	Syai.g_02223
OG0000517	Syan.g_02395	Syai.g_02229
OG0000518	Syan.g_01336	Syai.g_02211
OG0000519	Syan.g_01335	Syai.g_02210
OG0000520	Syan.g_01334	Syai.g_02209
OG0000521	Syan.g_02805	Syai.g_00842
OG0000522	Syan.g_02803	Syai.g_00844
OG0000523	Syan.g_02802	Syai.g_00845
OG0000524	Syan.g_02878	Syai.g_00852
OG0000525	Syan.g_02853	Syai.g_00856
OG0000526	Syan.g_02852	Syai.g_00859
OG0000527	Syan.g_02848	Syai.g_00863
OG0000528	Syan.g_02767	Syai.g_00633
OG0000529	Syan.g_02763	Syai.g_00639
OG0000530	Syan.g_02760	Syai.g_00642
OG0000531	Syan.g_02759	Syai.g_00643
OG0000532	Syan.g_02756	Syai.g_00646
OG0000533	Syan.g_02754	Syai.g_00647
OG0000534	Syan.g_02753	Syai.g_00648
OG0000535	Syan.g_02752	Syai.g_00649
OG0000536	Syan.g_02751	Syai.g_00650
OG0000537	Syan.g_02750	Syai.g_00651
OG0000538	Syan.g_02738	Syai.g_00662
OG0000539	Syan.g_02737	Syai.g_00663
OG0000540	Syan.g_02736	Syai.g_00664
OG0000541	Syan.g_02735	Syai.g_00665
OG0000542	Syan.g_02732	Syai.g_00668
OG0000543	Syan.g_02730	Syai.g_00670
OG0000544	Syan.g_02729	Syai.g_00671
OG0000545	Syan.g_02727	Syai.g_00673
OG0000546	Syan.g_02725	Syai.g_00675
OG0000547	Syan.g_02723	Syai.g_00677
OG0000548	Syan.g_02722	Syai.g_00678
OG0000549	Syan.g_01194	Syai.g_00684
OG0000550	Syan.g_01189	Syai.g_00689
OG0000551	Syan.g_01184	Syai.g_00694
OG0000552	Syan.g_01183	Syai.g_00695
OG0000553	Syan.g_01179	Syai.g_00698
OG0000554	Syan.g_01165	Syai.g_00708
OG0000555	Syan.g_00839	Syai.g_00725
OG0000556	Syan.g_00842	Syai.g_00728
OG0000557	Syan.g_00847	Syai.g_00730
OG0000558	Syan.g_00849	Syai.g_00732
OG0000559	Syan.g_00853	Syai.g_00736
OG0000560	Syan.g_00856	Syai.g_00739
OG0000561	Syan.g_00857	Syai.g_00740
OG0000562	Syan.g_00858	Syai.g_00741
OG0000563	Syan.g_00859	Syai.g_00742
OG0000564	Syan.g_00860	Syai.g_00743
OG0000565	Syan.g_00864	Syai.g_00746
OG0000566	Syan.g_00868	Syai.g_00750
OG0000567	Syan.g_00872	Syai.g_00754
OG0000568	Syan.g_00874	Syai.g_00758
OG0000569	Syan.g_00875	Syai.g_00759
OG0000570	Syan.g_00876	Syai.g_00760
OG0000571	Syan.g_00879	Syai.g_00764
OG0000572	Syan.g_00954	Syai.g_00782
OG0000573	Syan.g_00963	Syai.g_00790
OG0000574	Syan.g_00965	Syai.g_00796
OG0000575	Syan.g_01003	Syai.g_00800
OG0000576	Syan.g_01007	Syai.g_00802
OG0000577	Syan.g_01008	Syai.g_00803
OG0000578	Syan.g_01009	Syai.g_00804
OG0000579	Syan.g_01010	Syai.g_00805
OG0000580	Syan.g_01011	Syai.g_00806
OG0000581	Syan.g_01018	Syai.g_00812
OG0000582	Syan.g_01030	Syai.g_01042
OG0000583	Syan.g_01029	Syai.g_01043
OG0000584	Syan.g_01028	Syai.g_01044
OG0000585	Syan.g_01024	Syai.g_01046
OG0000586	Syan.g_01022	Syai.g_01047
OG0000587	Syan.g_01020	Syai.g_01049
OG0000588	Syan.g_00215	Syai.g_01063
OG0000589	Syan.g_00016	Syai.g_01066
OG0000590	Syan.g_00015	Syai.g_01067
OG0000591	Syan.g_00003	Syai.g_01075
OG0000592	Syan.g_00002	Syai.g_01076
