Orthogroup	Praa	Syat
OG0000053	Praa.g_01496	Syat.g_01330
OG0000054	Praa.g_00606	Syat.g_00987, Syat.g_03390
OG0000055	Praa.g_00783	Syat.g_00693
OG0000057	Praa.g_00698	Syat.g_00817, Syat.g_02055
OG0000058	Praa.g_01425	Syat.g_02133, Syat.g_02238, Syat.g_01189
OG0000059	Praa.g_01723	Syat.g_01832
OG0000061	Praa.g_01159	Syat.g_03260
OG0000062	Praa.g_01555	Syat.g_03107
OG0000063	Praa.g_00033	Syat.g_02303
OG0000065	Praa.g_00107	Syat.g_01571
OG0000066	Praa.g_00539	Syat.g_03283
OG0000067	Praa.g_00803	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Praa.g_01366	Syat.g_00085, Syat.g_01295
OG0000069	Praa.g_01590	Syat.g_00090, Syat.g_00879
OG0000070	Praa.g_00449	Syat.g_01032, Syat.g_01040
OG0000071	Praa.g_01318	Syat.g_01153
OG0000072	Praa.g_00171	Syat.g_02856, Syat.g_01597
OG0000073	Praa.g_00499	Syat.g_03201
OG0000075	Praa.g_01808	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Praa.g_01832	Syat.g_02206
OG0000077	Praa.g_00078	Syat.g_01481
OG0000078	Praa.g_00239	Syat.g_00184
OG0000079	Praa.g_00252	Syat.g_01879
OG0000080	Praa.g_01392, Praa.g_01390	Syat.g_02246, Syat.g_02282, Syat.g_01200
OG0000081	Praa.g_00531	Syat.g_00980
OG0000082	Praa.g_00585	Syat.g_00035
OG0000085	Praa.g_01628	Syat.g_03113
OG0000086	Praa.g_00088	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Praa.g_00139	Syat.g_02912
OG0000088	Praa.g_00166	Syat.g_02862
OG0000089	Praa.g_00355	Syat.g_02953
OG0000090	Praa.g_00533	Syat.g_03270
OG0000091	Praa.g_00642	Syat.g_00939, Syat.g_00862
OG0000094	Praa.g_01020	Syat.g_00698, Syat.g_01034
OG0000095	Praa.g_01039	Syat.g_00808
OG0000097	Praa.g_01200	Syat.g_00907, Syat.g_00535
OG0000098	Praa.g_01348	Syat.g_03281
OG0000099	Praa.g_01394	Syat.g_02130
OG0000100	Praa.g_01551	Syat.g_00517
OG0000101	Praa.g_01775	Syat.g_01661
OG0000102	Praa.g_01837	Syat.g_00974
OG0000103	Praa.g_01916	Syat.g_02399
OG0000104	Praa.g_01924	Syat.g_02385
OG0000105	Praa.g_00274	Syat.g_02052
OG0000106	Praa.g_00369	Syat.g_00957
OG0000107	Praa.g_00383	Syat.g_02009, Syat.g_01862
OG0000108	Praa.g_00480	Syat.g_03170
OG0000109	Praa.g_00494	Syat.g_03187
OG0000110	Praa.g_00575	Syat.g_00049
OG0000111	Praa.g_00699	Syat.g_00816
OG0000112	Praa.g_00766	Syat.g_00593
OG0000113	Praa.g_00826	Syat.g_00509
OG0000114	Praa.g_00907	Syat.g_00426
OG0000115	Praa.g_01101	Syat.g_01328
OG0000116	Praa.g_01150	Syat.g_02641
OG0000117	Praa.g_01255	Syat.g_00224
OG0000118	Praa.g_01330	Syat.g_01168
OG0000119	Praa.g_01362	Syat.g_00309
OG0000120	Praa.g_01387	Syat.g_02132
OG0000121	Praa.g_01478	Syat.g_01223
OG0000123	Praa.g_01782	Syat.g_01653
OG0000124	Praa.g_01848	Syat.g_02231
OG0000125	Praa.g_01885	Syat.g_02684
OG0000126	Praa.g_01923	Syat.g_00976
OG0000128	Praa.g_00011	Syat.g_02331
OG0000129	Praa.g_00044	Syat.g_02693, Syat.g_02694
OG0000130	Praa.g_00069	Syat.g_01469
OG0000131	Praa.g_00145	Syat.g_02898
OG0000132	Praa.g_00164	Syat.g_02864
OG0000133	Praa.g_00322	Syat.g_00588
OG0000134	Praa.g_00356	Syat.g_02956
OG0000135	Praa.g_00381	Syat.g_02501
OG0000136	Praa.g_00440	Syat.g_01292
OG0000137	Praa.g_00475	Syat.g_01371
OG0000138	Praa.g_00495	Syat.g_03188
OG0000139	Praa.g_00537	Syat.g_03276
OG0000140	Praa.g_00538	Syat.g_03280
OG0000141	Praa.g_00607	Syat.g_03398
OG0000142	Praa.g_00635	Syat.g_00117
OG0000143	Praa.g_00639	Syat.g_00130
OG0000144	Praa.g_00652	Syat.g_00369
OG0000145	Praa.g_00764	Syat.g_03202
OG0000146	Praa.g_00767	Syat.g_00594
OG0000147	Praa.g_00768	Syat.g_00595
OG0000148	Praa.g_00820	Syat.g_00503
OG0000149	Praa.g_00851	Syat.g_00747
OG0000150	Praa.g_00859	Syat.g_03399
OG0000151	Praa.g_00917	Syat.g_00801, Syat.g_00440
OG0000152	Praa.g_00964	Syat.g_00578
OG0000153	Praa.g_00983	Syat.g_00542
OG0000154	Praa.g_01013	Syat.g_00708
OG0000155	Praa.g_01179	Syat.g_00287
OG0000156	Praa.g_01307	Syat.g_03228
OG0000157	Praa.g_01308	Syat.g_02012, Syat.g_03227
OG0000158	Praa.g_01395	Syat.g_02163
OG0000160	Praa.g_01477	Syat.g_01224
OG0000161	Praa.g_01483	Syat.g_01180
OG0000162	Praa.g_01489	Syat.g_01281
OG0000163	Praa.g_01523	Syat.g_02979
OG0000164	Praa.g_01659	Syat.g_03040
OG0000165	Praa.g_01667	Syat.g_03033
OG0000166	Praa.g_01739	Syat.g_01822
OG0000167	Praa.g_01806	Syat.g_02148
OG0000168	Praa.g_01816	Syat.g_02164
OG0000169	Praa.g_01826	Syat.g_02192
OG0000170	Praa.g_01828	Syat.g_02201
OG0000171	Praa.g_01847	Syat.g_02230
OG0000172	Praa.g_01856	Syat.g_02260
OG0000173	Praa.g_01871	Syat.g_02284
OG0000174	Praa.g_01898	Syat.g_02504
OG0000175	Praa.g_01908	Syat.g_02416
OG0000176	Praa.g_00004	Syat.g_02372
OG0000177	Praa.g_00005	Syat.g_02338
OG0000178	Praa.g_00006	Syat.g_02337
OG0000179	Praa.g_00016	Syat.g_02322
OG0000180	Praa.g_00017	Syat.g_02321
OG0000181	Praa.g_00018	Syat.g_02320
OG0000182	Praa.g_00019	Syat.g_02319
OG0000183	Praa.g_00023	Syat.g_02315
OG0000184	Praa.g_00046	Syat.g_02704
OG0000185	Praa.g_00049	Syat.g_02719
OG0000186	Praa.g_00064	Syat.g_01463
OG0000187	Praa.g_00065	Syat.g_01467
OG0000188	Praa.g_00082	Syat.g_01489
OG0000189	Praa.g_00096	Syat.g_00386, Syat.g_01557
OG0000190	Praa.g_00097	Syat.g_00330
OG0000191	Praa.g_00117	Syat.g_03344, Syat.g_02939
OG0000192	Praa.g_00121	Syat.g_02933
OG0000193	Praa.g_00146	Syat.g_02897
OG0000194	Praa.g_00149	Syat.g_02894
OG0000195	Praa.g_00151	Syat.g_02892
OG0000196	Praa.g_00161	Syat.g_02867
OG0000197	Praa.g_00162	Syat.g_02866
OG0000198	Praa.g_00163	Syat.g_02865
OG0000199	Praa.g_00170	Syat.g_02857
OG0000200	Praa.g_00184	Syat.g_02840
OG0000201	Praa.g_00192	Syat.g_02821
OG0000202	Praa.g_00193	Syat.g_02820
OG0000203	Praa.g_00194	Syat.g_02819
OG0000204	Praa.g_00195	Syat.g_02818
OG0000205	Praa.g_00202	Syat.g_02809
OG0000206	Praa.g_00207	Syat.g_02785
OG0000207	Praa.g_00209	Syat.g_02778
OG0000208	Praa.g_00210	Syat.g_02777
OG0000209	Praa.g_00219	Syat.g_02735
OG0000210	Praa.g_00220	Syat.g_02734
OG0000211	Praa.g_00233	Syat.g_01452
OG0000212	Praa.g_00240	Syat.g_01442
OG0000213	Praa.g_00257	Syat.g_01889
OG0000214	Praa.g_00267	Syat.g_02042
OG0000215	Praa.g_00292	Syat.g_02075
OG0000216	Praa.g_00294	Syat.g_02079
OG0000217	Praa.g_00297	Syat.g_02085
OG0000218	Praa.g_00299	Syat.g_02087
OG0000219	Praa.g_00300	Syat.g_02088
OG0000220	Praa.g_00301	Syat.g_02089
OG0000221	Praa.g_00302	Syat.g_02095
OG0000222	Praa.g_00310	Syat.g_02109
OG0000223	Praa.g_00323	Syat.g_02570
OG0000224	Praa.g_00325	Syat.g_02139
OG0000225	Praa.g_00345	Syat.g_01595
OG0000226	Praa.g_00349	Syat.g_01588
OG0000228	Praa.g_00354	Syat.g_02952
OG0000229	Praa.g_00436	Syat.g_02970
OG0000230	Praa.g_00437	Syat.g_02972
OG0000231	Praa.g_00448	Syat.g_01283
OG0000232	Praa.g_00457	Syat.g_01313
OG0000233	Praa.g_00463	Syat.g_01407
OG0000234	Praa.g_00476	Syat.g_01369
OG0000235	Praa.g_00479	Syat.g_03169
OG0000236	Praa.g_00493	Syat.g_03186
OG0000237	Praa.g_00506	Syat.g_03214
OG0000238	Praa.g_00512	Syat.g_03219
OG0000239	Praa.g_00525	Syat.g_01105
OG0000240	Praa.g_00526	Syat.g_01104
OG0000241	Praa.g_00530	Syat.g_00111
OG0000242	Praa.g_00532	Syat.g_01077
OG0000243	Praa.g_00544	Syat.g_00092
OG0000244	Praa.g_00547	Syat.g_00082
OG0000245	Praa.g_00549	Syat.g_00080
OG0000246	Praa.g_00553	Syat.g_00076
OG0000247	Praa.g_00563	Syat.g_00065
OG0000248	Praa.g_00565	Syat.g_00062
OG0000249	Praa.g_00567	Syat.g_00060
OG0000250	Praa.g_00572	Syat.g_00053
OG0000251	Praa.g_00591	Syat.g_00027
OG0000252	Praa.g_00594	Syat.g_00022
OG0000253	Praa.g_00595	Syat.g_00021
OG0000254	Praa.g_00611	Syat.g_03407
OG0000255	Praa.g_00617	Syat.g_02405
OG0000256	Praa.g_00627	Syat.g_03306
OG0000257	Praa.g_00630	Syat.g_00109
OG0000258	Praa.g_00643	Syat.g_00382
OG0000259	Praa.g_00660	Syat.g_00342
OG0000260	Praa.g_00663	Syat.g_00392
OG0000261	Praa.g_00665	Syat.g_00400
OG0000262	Praa.g_00669	Syat.g_00407
OG0000263	Praa.g_00681	Syat.g_00200
OG0000266	Praa.g_00721	Syat.g_00671
OG0000267	Praa.g_00732	Syat.g_00636
OG0000268	Praa.g_00733	Syat.g_00634
OG0000269	Praa.g_00798	Syat.g_00474, Syat.g_00126
OG0000270	Praa.g_00801	Syat.g_00477
OG0000271	Praa.g_00809	Syat.g_00485
OG0000272	Praa.g_00810, Praa.g_00811	Syat.g_00486
OG0000273	Praa.g_00834	Syat.g_00520
OG0000274	Praa.g_00835	Syat.g_00521
OG0000275	Praa.g_00838	Syat.g_00718
OG0000276	Praa.g_00843	Syat.g_00725
OG0000277	Praa.g_00844	Syat.g_00738
OG0000278	Praa.g_00847	Syat.g_00741
OG0000279	Praa.g_00854	Syat.g_00755
OG0000280	Praa.g_00855	Syat.g_01669
OG0000281	Praa.g_00860	Syat.g_00960
OG0000282	Praa.g_00909	Syat.g_00431
OG0000283	Praa.g_00941	Syat.g_00620
OG0000284	Praa.g_00946	Syat.g_00614
OG0000285	Praa.g_00951	Syat.g_00607
OG0000286	Praa.g_00963	Syat.g_00579
OG0000287	Praa.g_00980	Syat.g_00550
OG0000288	Praa.g_01012	Syat.g_00709
OG0000289	Praa.g_01023	Syat.g_00695
OG0000290	Praa.g_01036	Syat.g_00805
OG0000291	Praa.g_01038	Syat.g_00807
OG0000292	Praa.g_01089	Syat.g_02388
OG0000293	Praa.g_01151	Syat.g_03241
OG0000294	Praa.g_01152	Syat.g_03248
OG0000295	Praa.g_01171	Syat.g_00297
OG0000296	Praa.g_01173	Syat.g_00295
OG0000297	Praa.g_01181	Syat.g_00226
OG0000298	Praa.g_01182	Syat.g_00225
OG0000299	Praa.g_01199	Syat.g_00910
OG0000300	Praa.g_01202	Syat.g_00904
OG0000301	Praa.g_01203	Syat.g_00903
OG0000302	Praa.g_01205	Syat.g_00901
OG0000303	Praa.g_01212	Syat.g_00892
OG0000304	Praa.g_01216	Syat.g_00885
OG0000305	Praa.g_01358	Syat.g_00809
OG0000306	Praa.g_01361	Syat.g_01704
OG0000307	Praa.g_01375	Syat.g_01304
OG0000308	Praa.g_01376	Syat.g_01306
OG0000309	Praa.g_01380	Syat.g_01417
OG0000310	Praa.g_01461	Syat.g_01246
OG0000311	Praa.g_01463	Syat.g_01242
OG0000312	Praa.g_01466	Syat.g_01237
OG0000313	Praa.g_01480	Syat.g_01183
OG0000314	Praa.g_01503	Syat.g_01341
OG0000315	Praa.g_01513	Syat.g_01351
OG0000316	Praa.g_01533	Syat.g_03082
OG0000317	Praa.g_01633	Syat.g_03120
OG0000318	Praa.g_01636	Syat.g_03125
OG0000319	Praa.g_01649	Syat.g_03055
OG0000320	Praa.g_01651	Syat.g_03053
OG0000321	Praa.g_01652	Syat.g_03052
OG0000322	Praa.g_01653	Syat.g_03051
OG0000323	Praa.g_01662	Syat.g_03038
OG0000324	Praa.g_01690	Syat.g_02998
OG0000325	Praa.g_01700	Syat.g_01861
OG0000326	Praa.g_01706	Syat.g_01854
OG0000327	Praa.g_01734	Syat.g_01827
OG0000328	Praa.g_01735	Syat.g_01826
OG0000329	Praa.g_01752	Syat.g_01808
OG0000330	Praa.g_01753	Syat.g_01807
OG0000331	Praa.g_01754	Syat.g_01806
OG0000332	Praa.g_01768	Syat.g_01790
OG0000333	Praa.g_01770	Syat.g_01787
OG0000334	Praa.g_01778	Syat.g_01657
OG0000335	Praa.g_01783	Syat.g_01652
OG0000336	Praa.g_01787	Syat.g_01648
OG0000337	Praa.g_01804	Syat.g_02144
OG0000338	Praa.g_01805	Syat.g_02146
OG0000339	Praa.g_01809	Syat.g_02155, Syat.g_01055
OG0000340	Praa.g_01817	Syat.g_02165
OG0000341	Praa.g_01819	Syat.g_02167
OG0000342	Praa.g_01820	Syat.g_02168
OG0000343	Praa.g_01821	Syat.g_02185
OG0000344	Praa.g_01824	Syat.g_02189
OG0000345	Praa.g_01829	Syat.g_02202
OG0000346	Praa.g_01833	Syat.g_02207
OG0000347	Praa.g_01849	Syat.g_02234
OG0000348	Praa.g_01859	Syat.g_02264
OG0000349	Praa.g_01876	Syat.g_02291
OG0000350	Praa.g_01894	Syat.g_01847
OG0000351	Praa.g_01911	Syat.g_02411
OG0000352	Praa.g_01912	Syat.g_02410
OG0000353	Praa.g_01927	Syat.g_00955, Syat.g_02377
OG0000355	Praa.g_00001	Syat.g_02375
OG0000356	Praa.g_00002	Syat.g_02374
OG0000357	Praa.g_00003	Syat.g_02373
OG0000358	Praa.g_00007	Syat.g_02336
OG0000359	Praa.g_00008	Syat.g_02334
OG0000360	Praa.g_00009	Syat.g_02333
OG0000361	Praa.g_00010	Syat.g_02332
OG0000362	Praa.g_00012	Syat.g_02330
OG0000363	Praa.g_00014	Syat.g_02328
OG0000364	Praa.g_00015	Syat.g_03122
OG0000365	Praa.g_00020	Syat.g_02318
OG0000366	Praa.g_00021	Syat.g_02317
OG0000367	Praa.g_00022	Syat.g_02316
OG0000368	Praa.g_00024	Syat.g_02314
OG0000369	Praa.g_00025	Syat.g_02313
OG0000370	Praa.g_00026	Syat.g_02312
OG0000371	Praa.g_00032	Syat.g_02304
OG0000372	Praa.g_00035	Syat.g_02298
OG0000373	Praa.g_00036	Syat.g_02297
OG0000374	Praa.g_00037	Syat.g_02296
OG0000375	Praa.g_00040	Syat.g_02295
OG0000376	Praa.g_00042	Syat.g_02293
OG0000377	Praa.g_00045	Syat.g_02695
OG0000378	Praa.g_00047	Syat.g_02715
OG0000379	Praa.g_00050	Syat.g_02720
OG0000380	Praa.g_00066	Syat.g_01468
OG0000381	Praa.g_00070	Syat.g_01470
OG0000382	Praa.g_00081	Syat.g_01488
OG0000383	Praa.g_00083	Syat.g_01521
OG0000384	Praa.g_00084	Syat.g_01522
OG0000385	Praa.g_00085	Syat.g_01523
OG0000386	Praa.g_00086	Syat.g_01524
OG0000387	Praa.g_00099	Syat.g_01561
OG0000388	Praa.g_00102	Syat.g_01565
OG0000389	Praa.g_00106	Syat.g_01569
OG0000390	Praa.g_00113	Syat.g_02945
OG0000391	Praa.g_00116	Syat.g_02940
OG0000392	Praa.g_00120	Syat.g_02934
OG0000393	Praa.g_00122	Syat.g_02931
OG0000394	Praa.g_00123	Syat.g_02930
OG0000395	Praa.g_00124	Syat.g_02929
OG0000396	Praa.g_00127	Syat.g_02927
OG0000397	Praa.g_00129	Syat.g_02925
OG0000398	Praa.g_00131	Syat.g_02920
OG0000399	Praa.g_00132	Syat.g_02919
OG0000400	Praa.g_00133	Syat.g_02918
OG0000401	Praa.g_00134	Syat.g_02917
OG0000402	Praa.g_00136	Syat.g_02915
OG0000403	Praa.g_00137	Syat.g_02914
OG0000404	Praa.g_00138	Syat.g_02913
OG0000405	Praa.g_00142	Syat.g_02900
OG0000406	Praa.g_00147	Syat.g_02896
OG0000407	Praa.g_00148	Syat.g_02895
OG0000408	Praa.g_00150	Syat.g_02893
OG0000409	Praa.g_00152	Syat.g_02891
OG0000410	Praa.g_00153	Syat.g_02890
OG0000411	Praa.g_00154	Syat.g_02889
OG0000412	Praa.g_00155	Syat.g_02888
OG0000413	Praa.g_00156	Syat.g_02886
OG0000414	Praa.g_00157	Syat.g_02885
OG0000415	Praa.g_00158	Syat.g_02884
OG0000416	Praa.g_00159	Syat.g_02883
OG0000417	Praa.g_00160	Syat.g_02868
OG0000418	Praa.g_00165	Syat.g_02863
OG0000419	Praa.g_00167	Syat.g_02861
OG0000420	Praa.g_00168	Syat.g_02859
OG0000421	Praa.g_00173	Syat.g_02855
OG0000422	Praa.g_00174	Syat.g_02854
OG0000423	Praa.g_00175	Syat.g_02853
OG0000424	Praa.g_00176	Syat.g_02852
OG0000425	Praa.g_00177	Syat.g_02851
OG0000426	Praa.g_00178	Syat.g_02850
OG0000427	Praa.g_00179	Syat.g_02849
OG0000428	Praa.g_00181	Syat.g_02846
OG0000429	Praa.g_00182	Syat.g_02843
OG0000430	Praa.g_00183	Syat.g_02841
OG0000431	Praa.g_00185	Syat.g_02838
OG0000432	Praa.g_00188	Syat.g_02832
OG0000433	Praa.g_00189	Syat.g_02829
OG0000434	Praa.g_00190	Syat.g_02828
OG0000435	Praa.g_00191	Syat.g_02824
OG0000436	Praa.g_00196	Syat.g_02817
OG0000437	Praa.g_00197	Syat.g_02558
OG0000438	Praa.g_00198	Syat.g_02813
OG0000439	Praa.g_00200	Syat.g_02811
OG0000440	Praa.g_00201	Syat.g_02810
OG0000441	Praa.g_00204	Syat.g_02807
OG0000442	Praa.g_00205	Syat.g_02797
OG0000443	Praa.g_00206	Syat.g_02787
OG0000444	Praa.g_00211	Syat.g_02756
OG0000445	Praa.g_00212	Syat.g_02755
OG0000446	Praa.g_00213	Syat.g_02753
OG0000447	Praa.g_00214	Syat.g_02749
OG0000448	Praa.g_00215	Syat.g_02748
OG0000449	Praa.g_00216	Syat.g_02747
OG0000450	Praa.g_00217	Syat.g_02738
OG0000451	Praa.g_00218	Syat.g_02737
OG0000452	Praa.g_00221	Syat.g_02732
OG0000453	Praa.g_00222	Syat.g_02731
OG0000454	Praa.g_00223	Syat.g_02730
OG0000455	Praa.g_00224	Syat.g_02729
OG0000456	Praa.g_00225	Syat.g_02728
OG0000457	Praa.g_00226	Syat.g_02726
OG0000458	Praa.g_00227	Syat.g_02725
OG0000459	Praa.g_00228	Syat.g_02724
OG0000460	Praa.g_00235	Syat.g_01450
OG0000461	Praa.g_00242	Syat.g_01866
OG0000462	Praa.g_00244	Syat.g_01868
OG0000463	Praa.g_00245	Syat.g_01869
OG0000464	Praa.g_00246	Syat.g_01870
OG0000465	Praa.g_00247	Syat.g_01872
OG0000466	Praa.g_00250	Syat.g_01877
OG0000467	Praa.g_00251	Syat.g_01878
OG0000468	Praa.g_00253	Syat.g_01884
OG0000469	Praa.g_00262	Syat.g_02000
OG0000470	Praa.g_00264	Syat.g_02038
OG0000471	Praa.g_00265	Syat.g_02039
OG0000472	Praa.g_00266	Syat.g_02041
OG0000473	Praa.g_00268	Syat.g_02043
OG0000474	Praa.g_00269	Syat.g_02044
OG0000475	Praa.g_00270	Syat.g_02045
OG0000476	Praa.g_00271	Syat.g_02047
OG0000477	Praa.g_00275	Syat.g_02053
OG0000478	Praa.g_00276	Syat.g_02054
OG0000479	Praa.g_00277	Syat.g_02056
OG0000480	Praa.g_00282	Syat.g_02063
OG0000481	Praa.g_00284	Syat.g_02066
OG0000482	Praa.g_00285	Syat.g_02067
OG0000483	Praa.g_00288	Syat.g_02071
OG0000484	Praa.g_00289	Syat.g_02072
OG0000485	Praa.g_00290	Syat.g_02073
OG0000486	Praa.g_00291	Syat.g_02074
OG0000487	Praa.g_00295	Syat.g_02080
OG0000488	Praa.g_00298	Syat.g_02086
OG0000489	Praa.g_00303	Syat.g_02097
OG0000490	Praa.g_00308	Syat.g_02106
OG0000491	Praa.g_00309	Syat.g_02107
OG0000492	Praa.g_00311	Syat.g_02110
OG0000493	Praa.g_00312	Syat.g_02111
OG0000494	Praa.g_00313	Syat.g_02112
OG0000495	Praa.g_00314	Syat.g_02120
OG0000496	Praa.g_00315	Syat.g_02121
OG0000497	Praa.g_00316	Syat.g_02122
OG0000498	Praa.g_00317	Syat.g_02123
OG0000499	Praa.g_00318	Syat.g_02124
OG0000500	Praa.g_00319	Syat.g_02125
OG0000501	Praa.g_00321	Syat.g_02128
OG0000502	Praa.g_00324	Syat.g_02135
OG0000503	Praa.g_00334	Syat.g_01614
OG0000504	Praa.g_00335	Syat.g_01612
OG0000505	Praa.g_00336	Syat.g_01611
OG0000506	Praa.g_00338	Syat.g_01609
OG0000507	Praa.g_00340	Syat.g_01603
OG0000508	Praa.g_00344	Syat.g_01596
OG0000509	Praa.g_00346	Syat.g_01591
OG0000510	Praa.g_00347	Syat.g_01590
OG0000511	Praa.g_00348	Syat.g_01589
OG0000512	Praa.g_00350	Syat.g_01587
OG0000513	Praa.g_00357	Syat.g_02957
OG0000514	Praa.g_00431	Syat.g_02962
OG0000515	Praa.g_00432	Syat.g_02963
OG0000516	Praa.g_00433	Syat.g_02965
OG0000517	Praa.g_00435	Syat.g_02969
OG0000518	Praa.g_00445	Syat.g_01286
OG0000519	Praa.g_00446	Syat.g_01285
OG0000520	Praa.g_00447	Syat.g_01284
OG0000521	Praa.g_00452	Syat.g_01319
OG0000522	Praa.g_00454	Syat.g_01317
OG0000523	Praa.g_00455	Syat.g_01316
OG0000524	Praa.g_00461	Syat.g_01409
OG0000525	Praa.g_00464	Syat.g_01382
OG0000526	Praa.g_00465	Syat.g_01380
OG0000527	Praa.g_00473	Syat.g_01373
OG0000528	Praa.g_00478	Syat.g_03167
OG0000529	Praa.g_00481	Syat.g_03171
OG0000530	Praa.g_00484	Syat.g_03174
OG0000531	Praa.g_00485	Syat.g_03175
OG0000532	Praa.g_00487	Syat.g_03178
OG0000533	Praa.g_00488	Syat.g_03180
OG0000534	Praa.g_00489	Syat.g_03181
OG0000535	Praa.g_00490	Syat.g_03182
OG0000536	Praa.g_00491	Syat.g_03183
OG0000537	Praa.g_00492	Syat.g_03185
OG0000538	Praa.g_00500	Syat.g_03204
OG0000539	Praa.g_00501	Syat.g_03206
OG0000540	Praa.g_00502	Syat.g_03207
OG0000541	Praa.g_00503	Syat.g_03208
OG0000542	Praa.g_00505	Syat.g_03213
OG0000543	Praa.g_00507	Syat.g_03215
OG0000544	Praa.g_00508	Syat.g_03216
OG0000545	Praa.g_00510	Syat.g_03218
OG0000546	Praa.g_00513	Syat.g_03220
OG0000547	Praa.g_00515	Syat.g_03222
OG0000548	Praa.g_00516	Syat.g_03223
OG0000549	Praa.g_00518	Syat.g_01795
OG0000550	Praa.g_00523	Syat.g_01107
OG0000551	Praa.g_00527	Syat.g_01103
OG0000552	Praa.g_00528	Syat.g_01102
OG0000553	Praa.g_00529	Syat.g_01098
OG0000554	Praa.g_00534	Syat.g_03271
OG0000555	Praa.g_00543	Syat.g_00093
OG0000556	Praa.g_00545	Syat.g_00088
OG0000557	Praa.g_00546	Syat.g_00083
OG0000558	Praa.g_00548	Syat.g_00081
OG0000559	Praa.g_00552	Syat.g_00077
OG0000560	Praa.g_00555	Syat.g_00074
OG0000561	Praa.g_00556	Syat.g_00073
OG0000562	Praa.g_00557	Syat.g_00072
OG0000563	Praa.g_00558	Syat.g_00071
OG0000564	Praa.g_00559	Syat.g_00070
OG0000565	Praa.g_00562	Syat.g_00067
OG0000566	Praa.g_00564	Syat.g_00063
OG0000567	Praa.g_00568	Syat.g_00059
OG0000568	Praa.g_00569	Syat.g_00057
OG0000569	Praa.g_00570	Syat.g_00056
OG0000570	Praa.g_00571	Syat.g_00055
OG0000571	Praa.g_00573	Syat.g_00052
OG0000572	Praa.g_00586	Syat.g_00033
OG0000573	Praa.g_00592	Syat.g_00024
OG0000574	Praa.g_00593	Syat.g_00023
OG0000575	Praa.g_00597	Syat.g_00018
OG0000576	Praa.g_00599	Syat.g_00014
OG0000577	Praa.g_00600	Syat.g_00013
OG0000578	Praa.g_00601	Syat.g_00012
OG0000579	Praa.g_00602	Syat.g_00011
OG0000580	Praa.g_00603	Syat.g_00010
OG0000581	Praa.g_00605	Syat.g_00003
OG0000582	Praa.g_00608	Syat.g_03403
OG0000583	Praa.g_00609	Syat.g_03404
OG0000584	Praa.g_00610	Syat.g_03405
OG0000585	Praa.g_00612	Syat.g_03408
OG0000586	Praa.g_00613	Syat.g_03409
OG0000587	Praa.g_00614	Syat.g_00001
OG0000588	Praa.g_00618	Syat.g_00338
OG0000589	Praa.g_00621	Syat.g_03318
OG0000590	Praa.g_00622	Syat.g_03317
