Orthogroup	Praz	Syaq
OG0000066	Praz.g_01789	Syaq.g_01851
OG0000067	Praz.g_01512	Syaq.g_02340
OG0000068	Praz.g_01139	Syaq.g_01763
OG0000070	Praz.g_01878	Syaq.g_00484
OG0000071	Praz.g_01180	Syaq.g_00297
OG0000072	Praz.g_00531	Syaq.g_01397
OG0000073	Praz.g_01829	Syaq.g_01795
OG0000075	Praz.g_00230	Syaq.g_00986
OG0000076	Praz.g_00205	Syaq.g_01028
OG0000077	Praz.g_00438	Syaq.g_01547
OG0000078	Praz.g_00599	Syaq.g_01585
OG0000079	Praz.g_00612	Syaq.g_00721
OG0000081	Praz.g_01797	Syaq.g_01893
OG0000082	Praz.g_01744	Syaq.g_01975
OG0000084	Praz.g_01045	Syaq.g_00367
OG0000085	Praz.g_00884	Syaq.g_01683
OG0000086	Praz.g_00448	Syaq.g_01525
OG0000087	Praz.g_00499	Syaq.g_01438
OG0000088	Praz.g_00526	Syaq.g_01402
OG0000089	Praz.g_00818	Syaq.g_00529
OG0000090	Praz.g_01795	Syaq.g_01838
OG0000091	Praz.g_01688	Syaq.g_02090
OG0000094	Praz.g_01296	Syaq.g_00056, Syaq.g_02554
OG0000097	Praz.g_00713	Syaq.g_00167
OG0000098	Praz.g_01157	Syaq.g_02221
OG0000099	Praz.g_01098	Syaq.g_00882
OG0000100	Praz.g_00967	Syaq.g_02371
OG0000101	Praz.g_00263	Syaq.g_00607
OG0000102	Praz.g_00200	Syaq.g_01033
OG0000103	Praz.g_00120	Syaq.g_01170
OG0000104	Praz.g_00361	Syaq.g_01154
OG0000105	Praz.g_00632	Syaq.g_00754
OG0000106	Praz.g_00804	Syaq.g_01863
OG0000108	Praz.g_01848	Syaq.g_01772
OG0000109	Praz.g_01834	Syaq.g_01788
OG0000110	Praz.g_01754	Syaq.g_01962
OG0000111	Praz.g_01631	Syaq.g_02606
OG0000112	Praz.g_01547	Syaq.g_02476
OG0000114	Praz.g_01408	Syaq.g_02269
OG0000115	Praz.g_00054	Syaq.g_00395
OG0000116	Praz.g_00002	Syaq.g_00263
OG0000117	Praz.g_01237	Syaq.g_00203
OG0000118	Praz.g_01168	Syaq.g_00325, Syaq.g_00316
OG0000120	Praz.g_01118	Syaq.g_00883
OG0000121	Praz.g_01039	Syaq.g_00375
OG0000122	Praz.g_01001	Syaq.g_02118
OG0000123	Praz.g_00256	Syaq.g_00599
OG0000124	Praz.g_00189	Syaq.g_01055
OG0000125	Praz.g_00152	Syaq.g_01256
OG0000126	Praz.g_00360	Syaq.g_01156
OG0000128	Praz.g_00376	Syaq.g_01138
OG0000129	Praz.g_00410	Syaq.g_01269
OG0000130	Praz.g_00429	Syaq.g_01559
OG0000131	Praz.g_00505	Syaq.g_01427, Syaq.g_01424
OG0000132	Praz.g_00524	Syaq.g_01404
OG0000133	Praz.g_00679	Syaq.g_02481
OG0000134	Praz.g_00817	Syaq.g_00526
OG0000135	Praz.g_00791	Syaq.g_01227
OG0000136	Praz.g_01887	Syaq.g_00496
OG0000137	Praz.g_01853	Syaq.g_00442
OG0000138	Praz.g_01833	Syaq.g_01789
OG0000139	Praz.g_01791	Syaq.g_01844
OG0000140	Praz.g_01790	Syaq.g_01848
OG0000141	Praz.g_01723	Syaq.g_02010
OG0000142	Praz.g_01695	Syaq.g_02082
OG0000143	Praz.g_01691	Syaq.g_02086
OG0000144	Praz.g_01678	Syaq.g_02152
OG0000145	Praz.g_01554	Syaq.g_01796
OG0000146	Praz.g_01546	Syaq.g_02475
OG0000147	Praz.g_01545	Syaq.g_02474
OG0000148	Praz.g_01496	Syaq.g_02359
OG0000149	Praz.g_01465	Syaq.g_02395
OG0000150	Praz.g_01457	Syaq.g_02011
OG0000151	Praz.g_01398	Syaq.g_02283
OG0000152	Praz.g_01350	Syaq.g_02485
OG0000153	Praz.g_01331	Syaq.g_02518
OG0000154	Praz.g_01303	Syaq.g_00066
OG0000155	Praz.g_00734	Syaq.g_00212
OG0000156	Praz.g_01191	Syaq.g_00281
OG0000157	Praz.g_01190	Syaq.g_00282
OG0000158	Praz.g_01097	Syaq.g_01003
OG0000159	Praz.g_01095	Syaq.g_00918, Syaq.g_00941
OG0000160	Praz.g_01040	Syaq.g_00374
OG0000161	Praz.g_01034	Syaq.g_00382
OG0000162	Praz.g_01028	Syaq.g_00389
OG0000163	Praz.g_00994	Syaq.g_01730
OG0000164	Praz.g_00853	Syaq.g_01642
OG0000165	Praz.g_00846	Syaq.g_01630
OG0000166	Praz.g_00299	Syaq.g_00647
OG0000167	Praz.g_00232	Syaq.g_00983
OG0000168	Praz.g_00222	Syaq.g_01004
OG0000169	Praz.g_00212	Syaq.g_01016
OG0000170	Praz.g_00210	Syaq.g_01023
OG0000171	Praz.g_00190	Syaq.g_01052
OG0000172	Praz.g_00181	Syaq.g_01074
OG0000173	Praz.g_00166	Syaq.g_01092
OG0000174	Praz.g_00138	Syaq.g_01224
OG0000175	Praz.g_00128	Syaq.g_01183
OG0000176	Praz.g_00369	Syaq.g_01146
OG0000177	Praz.g_00370	Syaq.g_01145
OG0000178	Praz.g_00371	Syaq.g_01144
OG0000179	Praz.g_00381	Syaq.g_01129
OG0000180	Praz.g_00382	Syaq.g_01128
OG0000181	Praz.g_00383	Syaq.g_01127
OG0000182	Praz.g_00384	Syaq.g_01126
OG0000183	Praz.g_00388	Syaq.g_01122
OG0000184	Praz.g_00412	Syaq.g_01277
OG0000185	Praz.g_00415	Syaq.g_01290
OG0000186	Praz.g_00424	Syaq.g_01563
OG0000187	Praz.g_00425	Syaq.g_01561
OG0000188	Praz.g_00442	Syaq.g_01539
OG0000189	Praz.g_00456	Syaq.g_01499
OG0000190	Praz.g_00457	Syaq.g_01497
OG0000191	Praz.g_00477	Syaq.g_01467
OG0000192	Praz.g_00481	Syaq.g_01462
OG0000193	Praz.g_00506	Syaq.g_01423
OG0000194	Praz.g_00509	Syaq.g_01420
OG0000195	Praz.g_00511	Syaq.g_01418
OG0000196	Praz.g_00521	Syaq.g_01407
OG0000197	Praz.g_00522	Syaq.g_01406
OG0000198	Praz.g_00523	Syaq.g_01405
OG0000199	Praz.g_00530	Syaq.g_01398
OG0000200	Praz.g_00544	Syaq.g_01382
OG0000201	Praz.g_00552	Syaq.g_01365
OG0000202	Praz.g_00553	Syaq.g_01364
OG0000203	Praz.g_00554	Syaq.g_01363
OG0000204	Praz.g_00555	Syaq.g_01362
OG0000205	Praz.g_00562	Syaq.g_01355
OG0000206	Praz.g_00567	Syaq.g_01345
OG0000207	Praz.g_00569	Syaq.g_01338
OG0000208	Praz.g_00570	Syaq.g_01337
OG0000209	Praz.g_00579	Syaq.g_01310
OG0000210	Praz.g_00580	Syaq.g_01309
OG0000211	Praz.g_00593	Syaq.g_01570
OG0000212	Praz.g_00600	Syaq.g_01586
OG0000213	Praz.g_00617	Syaq.g_00729
OG0000214	Praz.g_00626	Syaq.g_00745
OG0000215	Praz.g_00650	Syaq.g_00777
OG0000216	Praz.g_00651	Syaq.g_00781
OG0000217	Praz.g_00654	Syaq.g_00844
OG0000218	Praz.g_00656	Syaq.g_00846
OG0000219	Praz.g_00657	Syaq.g_00847
OG0000220	Praz.g_00658	Syaq.g_00848
OG0000221	Praz.g_00659	Syaq.g_00856
OG0000222	Praz.g_00667	Syaq.g_00868
OG0000223	Praz.g_00680	Syaq.g_00946
OG0000224	Praz.g_00682	Syaq.g_00950
OG0000225	Praz.g_00348	Syaq.g_00543
OG0000226	Praz.g_00352	Syaq.g_00536
OG0000227	Praz.g_00354	Syaq.g_00534
OG0000228	Praz.g_00819	Syaq.g_00531
OG0000229	Praz.g_01892	Syaq.g_00501
OG0000230	Praz.g_01890	Syaq.g_00499
OG0000231	Praz.g_01879	Syaq.g_00485
OG0000232	Praz.g_01870	Syaq.g_00472
OG0000233	Praz.g_01865	Syaq.g_00464
OG0000234	Praz.g_01852	Syaq.g_00440
OG0000235	Praz.g_01849	Syaq.g_01771
OG0000236	Praz.g_01835	Syaq.g_01787
OG0000237	Praz.g_01822	Syaq.g_01805
OG0000238	Praz.g_01816	Syaq.g_01810
OG0000239	Praz.g_01803	Syaq.g_01826
OG0000240	Praz.g_01802	Syaq.g_01827
OG0000241	Praz.g_01798	Syaq.g_02074
OG0000242	Praz.g_01796	Syaq.g_01836
OG0000243	Praz.g_01785	Syaq.g_01922
OG0000244	Praz.g_01782	Syaq.g_01928
OG0000245	Praz.g_01780	Syaq.g_01930
OG0000246	Praz.g_01776	Syaq.g_01934
OG0000247	Praz.g_01766	Syaq.g_01945
OG0000248	Praz.g_01764	Syaq.g_01948
OG0000249	Praz.g_01762	Syaq.g_01950
OG0000250	Praz.g_01757	Syaq.g_01958
OG0000251	Praz.g_01739	Syaq.g_01984
OG0000252	Praz.g_01736	Syaq.g_01987
OG0000253	Praz.g_01735	Syaq.g_01989
OG0000254	Praz.g_01719	Syaq.g_02016
OG0000255	Praz.g_01713	Syaq.g_02041
OG0000256	Praz.g_01703	Syaq.g_02068
OG0000257	Praz.g_01700	Syaq.g_02073
OG0000258	Praz.g_01687	Syaq.g_02095
OG0000259	Praz.g_01670	Syaq.g_02239
OG0000260	Praz.g_01667	Syaq.g_02242
OG0000261	Praz.g_01665	Syaq.g_02245
OG0000262	Praz.g_01661	Syaq.g_02250
OG0000263	Praz.g_01649	Syaq.g_00185
OG0000264	Praz.g_01639	Syaq.g_02582
OG0000266	Praz.g_01597	Syaq.g_00037
OG0000267	Praz.g_01586	Syaq.g_02430
OG0000268	Praz.g_01585	Syaq.g_02431
OG0000269	Praz.g_01517	Syaq.g_02335
OG0000270	Praz.g_01514	Syaq.g_02338
OG0000271	Praz.g_01506	Syaq.g_02346
OG0000272	Praz.g_01505	Syaq.g_02347
OG0000273	Praz.g_01482	Syaq.g_02376
OG0000274	Praz.g_01481	Syaq.g_02377
OG0000275	Praz.g_01478	Syaq.g_02380
OG0000276	Praz.g_01473	Syaq.g_02387
OG0000277	Praz.g_01472	Syaq.g_02388
OG0000278	Praz.g_01469	Syaq.g_02391
OG0000279	Praz.g_01462	Syaq.g_02401
OG0000280	Praz.g_01461	Syaq.g_02410
OG0000281	Praz.g_01456	Syaq.g_02224
OG0000282	Praz.g_01406	Syaq.g_02271
OG0000283	Praz.g_01373	Syaq.g_02445
OG0000284	Praz.g_01368	Syaq.g_02450
OG0000285	Praz.g_01363	Syaq.g_02466
OG0000286	Praz.g_01351	Syaq.g_02484
OG0000288	Praz.g_01304	Syaq.g_00067
OG0000289	Praz.g_01292	Syaq.g_00053
OG0000290	Praz.g_01279, Praz.g_00063	Syaq.g_02682
OG0000291	Praz.g_00065	Syaq.g_02680
OG0000292	Praz.g_00114	Syaq.g_01157
OG0000293	Praz.g_00001	Syaq.g_00262
OG0000294	Praz.g_00763	Syaq.g_00261
OG0000295	Praz.g_00742	Syaq.g_00220
OG0000296	Praz.g_00740	Syaq.g_00218
OG0000297	Praz.g_00732	Syaq.g_00205
OG0000298	Praz.g_00731	Syaq.g_00204
OG0000299	Praz.g_00714	Syaq.g_00171
OG0000300	Praz.g_00711	Syaq.g_00164
OG0000301	Praz.g_00710	Syaq.g_00163
OG0000302	Praz.g_00708	Syaq.g_00162
OG0000303	Praz.g_00701	Syaq.g_00152
OG0000304	Praz.g_00697	Syaq.g_00146
OG0000305	Praz.g_01147	Syaq.g_02677
OG0000306	Praz.g_01144	Syaq.g_01861
OG0000307	Praz.g_01130	Syaq.g_01754
OG0000308	Praz.g_01129	Syaq.g_01752
OG0000309	Praz.g_01125	Syaq.g_01747
OG0000310	Praz.g_01056	Syaq.g_00347
OG0000311	Praz.g_01054	Syaq.g_00352
OG0000312	Praz.g_01051	Syaq.g_00359
OG0000313	Praz.g_01037	Syaq.g_00379
OG0000314	Praz.g_01014	Syaq.g_00408
OG0000315	Praz.g_01004	Syaq.g_00418
OG0000316	Praz.g_00984	Syaq.g_01716
OG0000317	Praz.g_00879	Syaq.g_01675
OG0000318	Praz.g_00876	Syaq.g_01672
OG0000319	Praz.g_00863	Syaq.g_01657
OG0000320	Praz.g_00861	Syaq.g_01655
OG0000321	Praz.g_00860	Syaq.g_01654
OG0000322	Praz.g_00859	Syaq.g_01653
OG0000323	Praz.g_00850	Syaq.g_01638
OG0000324	Praz.g_00824	Syaq.g_01605
OG0000325	Praz.g_00334	Syaq.g_00693
OG0000326	Praz.g_00328	Syaq.g_00686
OG0000327	Praz.g_00304	Syaq.g_00652
OG0000328	Praz.g_00303	Syaq.g_00651
OG0000329	Praz.g_00286	Syaq.g_00633
OG0000330	Praz.g_00285	Syaq.g_00632
OG0000331	Praz.g_00284	Syaq.g_00631
OG0000332	Praz.g_00270	Syaq.g_00616
OG0000333	Praz.g_00268	Syaq.g_00613
OG0000334	Praz.g_00260	Syaq.g_00603
OG0000335	Praz.g_00255	Syaq.g_00598
OG0000336	Praz.g_00251	Syaq.g_00594
OG0000337	Praz.g_00234	Syaq.g_00975
OG0000338	Praz.g_00233	Syaq.g_00981
OG0000339	Praz.g_00229	Syaq.g_00988
OG0000340	Praz.g_00221	Syaq.g_01005
OG0000341	Praz.g_00219	Syaq.g_01007
OG0000342	Praz.g_00218	Syaq.g_01008
OG0000343	Praz.g_00217	Syaq.g_01010
OG0000344	Praz.g_00214	Syaq.g_01014
OG0000345	Praz.g_00209	Syaq.g_01024
OG0000346	Praz.g_00204	Syaq.g_01029
OG0000347	Praz.g_00188	Syaq.g_01057
OG0000348	Praz.g_00178	Syaq.g_01070
OG0000349	Praz.g_00161	Syaq.g_01099
OG0000350	Praz.g_00142	Syaq.g_00679
OG0000351	Praz.g_00125	Syaq.g_01179
OG0000352	Praz.g_00124	Syaq.g_01178
OG0000353	Praz.g_00364	Syaq.g_01151
OG0000355	Praz.g_00366	Syaq.g_01149
OG0000356	Praz.g_00367	Syaq.g_01148
OG0000357	Praz.g_00368	Syaq.g_01147
OG0000358	Praz.g_00372	Syaq.g_01143
OG0000359	Praz.g_00373	Syaq.g_01141
OG0000360	Praz.g_00374	Syaq.g_01140
OG0000361	Praz.g_00375	Syaq.g_01139
OG0000362	Praz.g_00377	Syaq.g_01137
OG0000363	Praz.g_00379	Syaq.g_01135
OG0000364	Praz.g_00380	Syaq.g_01134
OG0000365	Praz.g_00385	Syaq.g_01125
OG0000366	Praz.g_00386	Syaq.g_01124
OG0000367	Praz.g_00387	Syaq.g_01123
OG0000368	Praz.g_00389	Syaq.g_01121
OG0000369	Praz.g_00390	Syaq.g_01120
OG0000370	Praz.g_00391	Syaq.g_01119
OG0000371	Praz.g_00397	Syaq.g_01111
OG0000372	Praz.g_00400	Syaq.g_01106
OG0000373	Praz.g_00401	Syaq.g_01105
OG0000374	Praz.g_00402	Syaq.g_01104
OG0000375	Praz.g_00406	Syaq.g_01103
OG0000376	Praz.g_00408	Syaq.g_01101
OG0000377	Praz.g_00411	Syaq.g_01270
OG0000378	Praz.g_00413	Syaq.g_01286
OG0000379	Praz.g_00416	Syaq.g_01291
OG0000380	Praz.g_00426	Syaq.g_01560
OG0000381	Praz.g_00430	Syaq.g_01558
OG0000382	Praz.g_00441	Syaq.g_01540
OG0000383	Praz.g_00443	Syaq.g_01535
OG0000384	Praz.g_00444	Syaq.g_01534
OG0000385	Praz.g_00445	Syaq.g_01533
OG0000386	Praz.g_00446	Syaq.g_01532
OG0000387	Praz.g_00459	Syaq.g_01495
OG0000388	Praz.g_00462	Syaq.g_01491
OG0000389	Praz.g_00466	Syaq.g_01488
OG0000390	Praz.g_00473	Syaq.g_01473
OG0000391	Praz.g_00476	Syaq.g_01468
OG0000392	Praz.g_00480	Syaq.g_01463
OG0000393	Praz.g_00482	Syaq.g_01460
OG0000394	Praz.g_00483	Syaq.g_01459
OG0000395	Praz.g_00484	Syaq.g_01458
OG0000396	Praz.g_00487	Syaq.g_01455
OG0000397	Praz.g_00489	Syaq.g_01453
OG0000398	Praz.g_00491	Syaq.g_01448
OG0000399	Praz.g_00492	Syaq.g_01447
OG0000400	Praz.g_00493	Syaq.g_01446
OG0000401	Praz.g_00494	Syaq.g_01445
OG0000402	Praz.g_00496	Syaq.g_01443
OG0000403	Praz.g_00497	Syaq.g_01442
OG0000404	Praz.g_00498	Syaq.g_01440
OG0000405	Praz.g_00502	Syaq.g_01429
OG0000406	Praz.g_00507	Syaq.g_01422
OG0000407	Praz.g_00508	Syaq.g_01421
OG0000408	Praz.g_00510	Syaq.g_01419
OG0000409	Praz.g_00512	Syaq.g_01417
OG0000410	Praz.g_00513	Syaq.g_01416
OG0000411	Praz.g_00514	Syaq.g_01415
OG0000412	Praz.g_00515	Syaq.g_01414
OG0000413	Praz.g_00516	Syaq.g_01412
OG0000414	Praz.g_00517	Syaq.g_01411
OG0000415	Praz.g_00518	Syaq.g_01410
OG0000416	Praz.g_00519	Syaq.g_01409
OG0000417	Praz.g_00520	Syaq.g_01408
OG0000418	Praz.g_00525	Syaq.g_01403
OG0000419	Praz.g_00527	Syaq.g_01401
OG0000420	Praz.g_00528	Syaq.g_01400
OG0000421	Praz.g_00533	Syaq.g_01395
OG0000422	Praz.g_00534	Syaq.g_01394
OG0000423	Praz.g_00535	Syaq.g_01393
OG0000424	Praz.g_00536	Syaq.g_01392
OG0000425	Praz.g_00537	Syaq.g_01391
OG0000426	Praz.g_00538	Syaq.g_01390
OG0000427	Praz.g_00539	Syaq.g_01389
OG0000428	Praz.g_00541	Syaq.g_01386
OG0000429	Praz.g_00542	Syaq.g_01384
OG0000430	Praz.g_00543	Syaq.g_01383
OG0000431	Praz.g_00545	Syaq.g_01380
OG0000432	Praz.g_00548	Syaq.g_01374
OG0000433	Praz.g_00549	Syaq.g_01369
OG0000434	Praz.g_00550	Syaq.g_01368
OG0000435	Praz.g_00551	Syaq.g_01367
OG0000436	Praz.g_00556	Syaq.g_01361
OG0000437	Praz.g_00557	Syaq.g_01360
OG0000438	Praz.g_00558	Syaq.g_01359
OG0000439	Praz.g_00560	Syaq.g_01357
OG0000440	Praz.g_00561	Syaq.g_01356
OG0000441	Praz.g_00564	Syaq.g_01352
OG0000442	Praz.g_00565	Syaq.g_01350
OG0000443	Praz.g_00566	Syaq.g_01347
OG0000444	Praz.g_00571	Syaq.g_01333
OG0000445	Praz.g_00572	Syaq.g_01332
OG0000446	Praz.g_00573	Syaq.g_01330
OG0000447	Praz.g_00574	Syaq.g_01328
OG0000448	Praz.g_00575	Syaq.g_01327
OG0000449	Praz.g_00576	Syaq.g_01320
OG0000450	Praz.g_00577	Syaq.g_01313
OG0000451	Praz.g_00578	Syaq.g_01312
OG0000452	Praz.g_00581	Syaq.g_01308
OG0000453	Praz.g_00582	Syaq.g_01307
OG0000454	Praz.g_00583	Syaq.g_01306
OG0000455	Praz.g_00584	Syaq.g_01305
OG0000456	Praz.g_00585	Syaq.g_01304
OG0000457	Praz.g_00586	Syaq.g_01302
OG0000458	Praz.g_00587	Syaq.g_01299
OG0000459	Praz.g_00588	Syaq.g_01298
OG0000460	Praz.g_00595	Syaq.g_01577
OG0000461	Praz.g_00602	Syaq.g_00707
OG0000462	Praz.g_00604	Syaq.g_00710
OG0000463	Praz.g_00605	Syaq.g_00711
OG0000464	Praz.g_00606	Syaq.g_00712
OG0000465	Praz.g_00607	Syaq.g_00714
OG0000466	Praz.g_00610	Syaq.g_00718
OG0000467	Praz.g_00611	Syaq.g_00720
OG0000468	Praz.g_00613	Syaq.g_00725
OG0000469	Praz.g_00621	Syaq.g_00739
OG0000470	Praz.g_00623	Syaq.g_00741
OG0000471	Praz.g_00624	Syaq.g_00742
OG0000472	Praz.g_00625	Syaq.g_00744
OG0000473	Praz.g_00627	Syaq.g_00746
OG0000474	Praz.g_00628	Syaq.g_00747
OG0000475	Praz.g_00629	Syaq.g_00748
OG0000476	Praz.g_00630	Syaq.g_00750
OG0000477	Praz.g_00633	Syaq.g_00756
OG0000478	Praz.g_00634	Syaq.g_00757
OG0000479	Praz.g_00635	Syaq.g_00759
OG0000480	Praz.g_00640	Syaq.g_00766
OG0000481	Praz.g_00642	Syaq.g_00768
OG0000482	Praz.g_00643	Syaq.g_00769
OG0000483	Praz.g_00646	Syaq.g_00773
OG0000484	Praz.g_00647	Syaq.g_00774
OG0000485	Praz.g_00648	Syaq.g_00775
OG0000486	Praz.g_00649	Syaq.g_00776
OG0000487	Praz.g_00652	Syaq.g_00782
OG0000488	Praz.g_00655	Syaq.g_00845
OG0000489	Praz.g_00660	Syaq.g_00857
OG0000490	Praz.g_00665	Syaq.g_00864
OG0000491	Praz.g_00666	Syaq.g_00865
OG0000492	Praz.g_00668	Syaq.g_00869
OG0000493	Praz.g_00669	Syaq.g_00870
OG0000494	Praz.g_00670	Syaq.g_00871
OG0000495	Praz.g_00671	Syaq.g_00872
OG0000496	Praz.g_00672	Syaq.g_00873
OG0000497	Praz.g_00673	Syaq.g_00874
OG0000498	Praz.g_00674	Syaq.g_00875
OG0000499	Praz.g_00675	Syaq.g_00876
OG0000500	Praz.g_00676	Syaq.g_00877
OG0000501	Praz.g_00678	Syaq.g_00880
OG0000502	Praz.g_00681	Syaq.g_00953
OG0000503	Praz.g_01931	Syaq.g_00559
OG0000504	Praz.g_01932	Syaq.g_00557
OG0000505	Praz.g_01933	Syaq.g_00556
OG0000506	Praz.g_01935	Syaq.g_00554
OG0000507	Praz.g_00343	Syaq.g_00548
OG0000508	Praz.g_00347	Syaq.g_00544
OG0000509	Praz.g_00349	Syaq.g_00542
OG0000510	Praz.g_00350	Syaq.g_00538
OG0000511	Praz.g_00351	Syaq.g_00537
OG0000512	Praz.g_00353	Syaq.g_00535
OG0000513	Praz.g_00816	Syaq.g_00525
OG0000514	Praz.g_01897	Syaq.g_00514
OG0000515	Praz.g_01896	Syaq.g_00513
OG0000516	Praz.g_01895	Syaq.g_00509
OG0000517	Praz.g_01893	Syaq.g_00502
OG0000518	Praz.g_01882	Syaq.g_00490
OG0000519	Praz.g_01881	Syaq.g_00489
OG0000520	Praz.g_01880	Syaq.g_00488
OG0000521	Praz.g_01875	Syaq.g_00477
OG0000522	Praz.g_01873	Syaq.g_00475
OG0000523	Praz.g_01872	Syaq.g_00474
OG0000524	Praz.g_01867	Syaq.g_00469
OG0000525	Praz.g_01864	Syaq.g_00450
OG0000526	Praz.g_01863	Syaq.g_00448
OG0000527	Praz.g_01855	Syaq.g_00444
OG0000528	Praz.g_01850	Syaq.g_01768
OG0000529	Praz.g_01847	Syaq.g_01773
OG0000530	Praz.g_01844	Syaq.g_01776
OG0000531	Praz.g_01843	Syaq.g_01777
OG0000532	Praz.g_01841	Syaq.g_01780
OG0000533	Praz.g_01840	Syaq.g_01782
OG0000534	Praz.g_01839	Syaq.g_01783
OG0000535	Praz.g_01838	Syaq.g_01784
OG0000536	Praz.g_01837	Syaq.g_01785
OG0000537	Praz.g_01836	Syaq.g_01786
OG0000538	Praz.g_01828	Syaq.g_01798
OG0000539	Praz.g_01827	Syaq.g_01799
OG0000540	Praz.g_01826	Syaq.g_01800
OG0000541	Praz.g_01825	Syaq.g_01801
OG0000542	Praz.g_01823	Syaq.g_01804
OG0000543	Praz.g_01821	Syaq.g_01806
OG0000544	Praz.g_01820	Syaq.g_02567
OG0000545	Praz.g_01818	Syaq.g_01809
OG0000546	Praz.g_01815	Syaq.g_01811
OG0000547	Praz.g_01813	Syaq.g_01813
OG0000548	Praz.g_01812	Syaq.g_01814
OG0000549	Praz.g_01810	Syaq.g_01819
OG0000550	Praz.g_01805	Syaq.g_01824
OG0000551	Praz.g_01801	Syaq.g_01829
OG0000552	Praz.g_01800	Syaq.g_01830
OG0000553	Praz.g_01799	Syaq.g_01834
OG0000554	Praz.g_01794	Syaq.g_01839
OG0000555	Praz.g_01786	Syaq.g_01857
OG0000556	Praz.g_01784	Syaq.g_01925
OG0000557	Praz.g_01783	Syaq.g_01927
OG0000558	Praz.g_01781	Syaq.g_01929
OG0000559	Praz.g_01777	Syaq.g_01933
OG0000560	Praz.g_01774	Syaq.g_01936
OG0000561	Praz.g_01773	Syaq.g_01937
OG0000562	Praz.g_01772	Syaq.g_01938
OG0000563	Praz.g_01771	Syaq.g_01939
OG0000564	Praz.g_01770	Syaq.g_01940
OG0000565	Praz.g_01767	Syaq.g_01943
OG0000566	Praz.g_01765	Syaq.g_01947
OG0000567	Praz.g_01761	Syaq.g_01951
OG0000568	Praz.g_01760	Syaq.g_01954
OG0000569	Praz.g_01759	Syaq.g_01955
OG0000570	Praz.g_01758	Syaq.g_01956
OG0000571	Praz.g_01756	Syaq.g_01960
OG0000572	Praz.g_01743	Syaq.g_01977
OG0000573	Praz.g_01738	Syaq.g_01985
OG0000574	Praz.g_01737	Syaq.g_01986
OG0000575	Praz.g_01733	Syaq.g_01991
OG0000576	Praz.g_01731	Syaq.g_01993
OG0000577	Praz.g_01730	Syaq.g_01994
OG0000578	Praz.g_01729	Syaq.g_01995
OG0000579	Praz.g_01728	Syaq.g_01996
OG0000580	Praz.g_01727	Syaq.g_01997
OG0000581	Praz.g_01725	Syaq.g_02003
