Orthogroup	Syan	Prbd
OG0000066	Syan.g_01156	Prbd.g_00703
OG0000067	Syan.g_00690	Prbd.g_00102
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prbd.g_01764
OG0000069	Syan.g_00459, Syan.g_00278	Prbd.g_01575
OG0000070	Syan.g_00289	Prbd.g_00792
OG0000071	Syan.g_01213	Prbd.g_01801
OG0000072	Syan.g_03038, Syan.g_02999	Prbd.g_01069
OG0000073	Syan.g_02741	Prbd.g_00743
OG0000075	Syan.g_00981, Syan.g_01937	Prbd.g_01359
OG0000076	Syan.g_01896	Prbd.g_01335
OG0000077	Syan.g_02919, Syan.g_02579	Prbd.g_01166
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Prbd.g_01000
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prbd.g_00987
OG0000082	Syan.g_00952	Prbd.g_00658
OG0000084	Syan.g_01283	Prbd.g_01693
OG0000085	Syan.g_01387	Prbd.g_01532
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prbd.g_01156
OG0000087	Syan.g_02268	Prbd.g_01104, Prbd.g_01103
OG0000088	Syan.g_03031	Prbd.g_01074
OG0000089	Syan.g_02316	Prbd.g_00883
OG0000090	Syan.g_01166	Prbd.g_00709
OG0000091	Syan.g_00235, Syan.g_00808	Prbd.g_00602
OG0000092	Syan.g_02502	Prbd.g_01193
OG0000093	Syan.g_00708	Prbd.g_00232
OG0000094	Syan.g_00353, Syan.g_00065	Prbd.g_00321
OG0000095	Syan.g_00290	Prbd.g_00340
OG0000097	Syan.g_00160, Syan.g_00733	Prbd.g_00509
OG0000098	Syan.g_00043	Prbd.g_01782
OG0000099	Syan.g_01968	Prbd.g_01734
OG0000100	Syan.g_00658	Prbd.g_01614
OG0000101	Syan.g_02199	Prbd.g_01391
OG0000102	Syan.g_01891	Prbd.g_01330
OG0000103	Syan.g_01692	Prbd.g_01250
OG0000104	Syan.g_01792	Prbd.g_01241
OG0000105	Syan.g_02031	Prbd.g_00965
OG0000106	Syan.g_00076	Prbd.g_00868
OG0000107	Syan.g_02106	Prbd.g_00852
OG0000108	Syan.g_02764	Prbd.g_00762
OG0000109	Syan.g_02748	Prbd.g_00748
OG0000110	Syan.g_00171, Syan.g_00882	Prbd.g_00668
OG0000111	Syan.g_00187	Prbd.g_00545
OG0000112	Syan.g_00556, Syan.g_00252	Prbd.g_00066
OG0000113	Syan.g_00664	Prbd.g_00124
OG0000114	Syan.g_00741	Prbd.g_00206
OG0000115	Syan.g_02810	Prbd.g_00401
OG0000116	Syan.g_02710, Syan.g_00460	Prbd.g_00458
OG0000117	Syan.g_02644	Prbd.g_01895
OG0000118	Syan.g_01241, Syan.g_01237	Prbd.g_01789
OG0000119	Syan.g_02672	Prbd.g_01768
OG0000120	Syan.g_01966	Prbd.g_01737
OG0000121	Syan.g_01273	Prbd.g_01687
OG0000123	Syan.g_02190	Prbd.g_01384
OG0000124	Syan.g_01873	Prbd.g_01318
OG0000125	Syan.g_01573	Prbd.g_01281
OG0000126	Syan.g_01705	Prbd.g_01242
OG0000128	Syan.g_01768	Prbd.g_01226
OG0000129	Syan.g_01563	Prbd.g_01194
OG0000130	Syan.g_02906, Syan.g_02907	Prbd.g_01175
OG0000131	Syan.g_03008	Prbd.g_01095
OG0000132	Syan.g_03029	Prbd.g_01076
OG0000133	Syan.g_00561	Prbd.g_00917
OG0000134	Syan.g_02319	Prbd.g_00882
OG0000135	Syan.g_01616	Prbd.g_00855
OG0000136	Syan.g_01342	Prbd.g_01722, Prbd.g_00801
OG0000137	Syan.g_02846	Prbd.g_00767
OG0000138	Syan.g_02747	Prbd.g_00747
OG0000139	Syan.g_01160	Prbd.g_00705
OG0000140	Syan.g_00042	Prbd.g_00704
OG0000141	Syan.g_01032	Prbd.g_00637
OG0000142	Syan.g_00816	Prbd.g_00609
OG0000143	Syan.g_00812	Prbd.g_00605
OG0000144	Syan.g_00782	Prbd.g_00592
OG0000145	Syan.g_02740	Prbd.g_00062
OG0000146	Syan.g_00555, Syan.g_00253	Prbd.g_00067
OG0000147	Syan.g_00254, Syan.g_00554	Prbd.g_00068
OG0000148	Syan.g_00670	Prbd.g_00118
OG0000149	Syan.g_00393	Prbd.g_00149
OG0000150	Syan.g_01031	Prbd.g_00157
OG0000151	Syan.g_00731	Prbd.g_00216
OG0000152	Syan.g_00565	Prbd.g_00264
OG0000153	Syan.g_00601	Prbd.g_00283
OG0000154	Syan.g_00363	Prbd.g_00314
OG0000155	Syan.g_02654	Prbd.g_00488
OG0000156	Syan.g_02717	Prbd.g_01812
OG0000157	Syan.g_02718	Prbd.g_01811
OG0000158	Syan.g_01078, Syan.g_01926	Prbd.g_01736
OG0000159	Syan.g_01120	Prbd.g_01735
OG0000160	Syan.g_01274	Prbd.g_01688
OG0000161	Syan.g_01268	Prbd.g_01682
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prbd.g_01676
OG0000163	Syan.g_02405	Prbd.g_01642
OG0000164	Syan.g_01440	Prbd.g_01501
OG0000165	Syan.g_01448	Prbd.g_01494
OG0000166	Syan.g_02239	Prbd.g_01427
OG0000167	Syan.g_01941	Prbd.g_01361
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prbd.g_01351
OG0000169	Syan.g_01912	Prbd.g_01341
OG0000170	Syan.g_01901	Prbd.g_01339
OG0000171	Syan.g_01875	Prbd.g_01319
OG0000172	Syan.g_01810	Prbd.g_01310
OG0000173	Syan.g_01720	Prbd.g_01295
OG0000174	Syan.g_01619	Prbd.g_01268
OG0000175	Syan.g_01678, Syan.g_00258	Prbd.g_01258
OG0000176	Syan.g_01801	Prbd.g_01233
OG0000177	Syan.g_01775	Prbd.g_01232
OG0000178	Syan.g_01774	Prbd.g_01231
OG0000179	Syan.g_01759	Prbd.g_01221
OG0000180	Syan.g_01758	Prbd.g_01220
OG0000181	Syan.g_01757	Prbd.g_01219
OG0000182	Syan.g_01756	Prbd.g_01218
OG0000183	Syan.g_01752	Prbd.g_01214
OG0000184	Syan.g_01549	Prbd.g_01191
OG0000185	Syan.g_01540	Prbd.g_01188
OG0000186	Syan.g_02902	Prbd.g_01180
OG0000187	Syan.g_02904	Prbd.g_01179
OG0000188	Syan.g_02926	Prbd.g_01162
OG0000189	Syan.g_02966	Prbd.g_01148
OG0000190	Syan.g_00971	Prbd.g_01147
OG0000191	Syan.g_02300	Prbd.g_01126
OG0000192	Syan.g_02294	Prbd.g_01122
OG0000193	Syan.g_03009	Prbd.g_01094
OG0000194	Syan.g_03012	Prbd.g_01091
OG0000195	Syan.g_03014	Prbd.g_01089
OG0000196	Syan.g_03026	Prbd.g_01079
OG0000197	Syan.g_03027	Prbd.g_01078
OG0000198	Syan.g_03028	Prbd.g_01077
OG0000199	Syan.g_03037	Prbd.g_01070
OG0000200	Syan.g_03055	Prbd.g_01056
OG0000201	Syan.g_03074	Prbd.g_01048
OG0000202	Syan.g_03075	Prbd.g_01047
OG0000203	Syan.g_03076	Prbd.g_01046
OG0000204	Syan.g_03077	Prbd.g_01045
OG0000205	Syan.g_03087	Prbd.g_01038
OG0000206	Syan.g_03095	Prbd.g_01033
OG0000207	Syan.g_03100	Prbd.g_01031
OG0000208	Syan.g_03101	Prbd.g_01030
OG0000209	Syan.g_01521	Prbd.g_01021
OG0000210	Syan.g_01522	Prbd.g_01020
OG0000211	Syan.g_02416	Prbd.g_01006
OG0000212	Syan.g_01508, Syan.g_02438	Prbd.g_00999
OG0000213	Syan.g_02059	Prbd.g_00982
OG0000214	Syan.g_02040	Prbd.g_00972
OG0000215	Syan.g_02010	Prbd.g_00947
OG0000216	Syan.g_02006	Prbd.g_00945
OG0000217	Syan.g_02001	Prbd.g_00942
OG0000218	Syan.g_01999	Prbd.g_00940
OG0000219	Syan.g_01998	Prbd.g_00939
OG0000220	Syan.g_01997	Prbd.g_00938
OG0000221	Syan.g_01994	Prbd.g_00937
OG0000222	Syan.g_01981	Prbd.g_00929
OG0000223	Syan.g_00228	Prbd.g_00916
OG0000224	Syan.g_01959	Prbd.g_00914
OG0000225	Syan.g_02997	Prbd.g_00893
OG0000226	Syan.g_02990	Prbd.g_00889
OG0000227	Syan.g_02988	Prbd.g_00887
OG0000228	Syan.g_02315	Prbd.g_00884
OG0000229	Syan.g_02396	Prbd.g_00806
OG0000230	Syan.g_02398	Prbd.g_00804
OG0000231	Syan.g_01333	Prbd.g_00793
OG0000232	Syan.g_02801	Prbd.g_00784
OG0000233	Syan.g_02876	Prbd.g_00779
OG0000234	Syan.g_02844	Prbd.g_00766
OG0000235	Syan.g_02765	Prbd.g_00763
OG0000236	Syan.g_02749	Prbd.g_00749
OG0000237	Syan.g_02731	Prbd.g_00736
OG0000238	Syan.g_02726	Prbd.g_00730
OG0000239	Syan.g_01187	Prbd.g_00717
OG0000240	Syan.g_01186	Prbd.g_00716
OG0000241	Syan.g_00822	Prbd.g_00712
OG0000242	Syan.g_01168	Prbd.g_00710
OG0000243	Syan.g_00840	Prbd.g_00699
OG0000244	Syan.g_00848	Prbd.g_00696
OG0000245	Syan.g_00850	Prbd.g_00694
OG0000246	Syan.g_00854	Prbd.g_00690
OG0000247	Syan.g_00866	Prbd.g_00680
OG0000248	Syan.g_00869	Prbd.g_00678
OG0000249	Syan.g_00871	Prbd.g_00676
OG0000250	Syan.g_00878	Prbd.g_00671
OG0000251	Syan.g_00961	Prbd.g_00653
OG0000252	Syan.g_00966	Prbd.g_00650
OG0000253	Syan.g_01000	Prbd.g_00649
OG0000254	Syan.g_01026	Prbd.g_00633
OG0000255	Syan.g_00978	Prbd.g_00627
OG0000256	Syan.g_00001, Syan.g_01135	Prbd.g_00617
OG0000257	Syan.g_00827	Prbd.g_00614
OG0000258	Syan.g_00803	Prbd.g_00601
OG0000259	Syan.g_00772	Prbd.g_00584
OG0000260	Syan.g_00769	Prbd.g_00581
OG0000261	Syan.g_00765	Prbd.g_00579
OG0000262	Syan.g_00760	Prbd.g_00575
OG0000263	Syan.g_02618	Prbd.g_00563
OG0000264	Syan.g_00540	Prbd.g_00553
OG0000266	Syan.g_00330	Prbd.g_00017
OG0000267	Syan.g_00470	Prbd.g_00028
OG0000268	Syan.g_00471	Prbd.g_00029
OG0000269	Syan.g_00695	Prbd.g_00097
OG0000270	Syan.g_00692	Prbd.g_00100
OG0000271	Syan.g_00684	Prbd.g_00108
OG0000272	Syan.g_00683	Prbd.g_00109
OG0000273	Syan.g_00654	Prbd.g_00132
OG0000274	Syan.g_00653	Prbd.g_00133
OG0000275	Syan.g_00373	Prbd.g_00136
OG0000276	Syan.g_00380	Prbd.g_00141
OG0000277	Syan.g_00381	Prbd.g_00142
OG0000278	Syan.g_00384	Prbd.g_00145
OG0000279	Syan.g_00398	Prbd.g_00152
OG0000280	Syan.g_00518	Prbd.g_00153
OG0000282	Syan.g_00739	Prbd.g_00208
OG0000283	Syan.g_00491	Prbd.g_00241
OG0000284	Syan.g_00497	Prbd.g_00246
OG0000285	Syan.g_00533	Prbd.g_00251
OG0000286	Syan.g_00564	Prbd.g_00263
OG0000287	Syan.g_00593	Prbd.g_00280
OG0000288	Syan.g_00364	Prbd.g_00313
OG0000289	Syan.g_00350	Prbd.g_00324
OG0000290	Syan.g_00293	Prbd.g_00337
OG0000291	Syan.g_00291	Prbd.g_00339
OG0000292	Syan.g_01703	Prbd.g_00389
OG0000293	Syan.g_02709	Prbd.g_00459
OG0000294	Syan.g_02708	Prbd.g_00460
OG0000295	Syan.g_02662	Prbd.g_00480
OG0000296	Syan.g_02660	Prbd.g_00482
OG0000297	Syan.g_02646	Prbd.g_00490
OG0000298	Syan.g_02645	Prbd.g_00491
OG0000299	Syan.g_02601	Prbd.g_00508
OG0000300	Syan.g_02593, Syan.g_02594	Prbd.g_00511
OG0000301	Syan.g_02592	Prbd.g_00512
OG0000302	Syan.g_02591	Prbd.g_00514
OG0000303	Syan.g_02582	Prbd.g_00521
OG0000304	Syan.g_02556	Prbd.g_00525
OG0000305	Syan.g_00195	Prbd.g_01772
OG0000306	Syan.g_00087	Prbd.g_01769
OG0000307	Syan.g_02782	Prbd.g_01755
OG0000308	Syan.g_02784	Prbd.g_01754
OG0000309	Syan.g_02883	Prbd.g_01750
OG0000310	Syan.g_01304	Prbd.g_01704
OG0000311	Syan.g_01299	Prbd.g_01702
OG0000312	Syan.g_01290	Prbd.g_01699
OG0000313	Syan.g_01271	Prbd.g_01685
OG0000314	Syan.g_02823	Prbd.g_01662
OG0000315	Syan.g_02833	Prbd.g_01652
OG0000316	Syan.g_01354	Prbd.g_01632
OG0000317	Syan.g_01396	Prbd.g_01527
OG0000318	Syan.g_01401	Prbd.g_01524
OG0000319	Syan.g_01425	Prbd.g_01511
OG0000320	Syan.g_01427	Prbd.g_01509
OG0000321	Syan.g_01428	Prbd.g_01508
OG0000322	Syan.g_01429	Prbd.g_01507
OG0000323	Syan.g_01442	Prbd.g_01498
OG0000324	Syan.g_01472	Prbd.g_01471
OG0000325	Syan.g_02107	Prbd.g_01462
OG0000326	Syan.g_02114	Prbd.g_01456
OG0000327	Syan.g_02244	Prbd.g_01432
OG0000328	Syan.g_02243	Prbd.g_01431
OG0000329	Syan.g_02225	Prbd.g_01414
OG0000330	Syan.g_02224	Prbd.g_01413
OG0000331	Syan.g_02223	Prbd.g_01412
OG0000332	Syan.g_02208	Prbd.g_01398
OG0000333	Syan.g_02205	Prbd.g_01396
OG0000334	Syan.g_00247, Syan.g_02194	Prbd.g_01388
OG0000335	Syan.g_02189	Prbd.g_01383
OG0000336	Syan.g_02185	Prbd.g_01379
OG0000337	Syan.g_01949	Prbd.g_01363
OG0000338	Syan.g_01943	Prbd.g_01362
OG0000339	Syan.g_01935, Syan.g_00264	Prbd.g_01358
OG0000340	Syan.g_01923	Prbd.g_01350
OG0000341	Syan.g_01921	Prbd.g_01348
OG0000342	Syan.g_01920	Prbd.g_01347
OG0000343	Syan.g_01918	Prbd.g_01346
OG0000344	Syan.g_01914	Prbd.g_01343
OG0000345	Syan.g_01900	Prbd.g_01338
OG0000346	Syan.g_01895	Prbd.g_01334
OG0000347	Syan.g_01867	Prbd.g_01317
OG0000348	Syan.g_01803	Prbd.g_01307
OG0000349	Syan.g_01727	Prbd.g_01290
OG0000350	Syan.g_02121	Prbd.g_01272
OG0000351	Syan.g_01682	Prbd.g_01255
OG0000352	Syan.g_01683	Prbd.g_01254
OG0000353	Syan.g_01795	Prbd.g_01238
OG0000355	Syan.g_01797	Prbd.g_01236
OG0000356	Syan.g_01798	Prbd.g_01235
OG0000357	Syan.g_01800	Prbd.g_01234
OG0000358	Syan.g_01773	Prbd.g_01230
OG0000359	Syan.g_01771	Prbd.g_01229
OG0000360	Syan.g_01770	Prbd.g_01228
OG0000361	Syan.g_01769	Prbd.g_01227
OG0000362	Syan.g_01767	Prbd.g_01225
OG0000363	Syan.g_01765	Prbd.g_01223
OG0000364	Syan.g_01398	Prbd.g_01222
OG0000365	Syan.g_01755	Prbd.g_01217
OG0000366	Syan.g_01754	Prbd.g_01216
OG0000367	Syan.g_01753	Prbd.g_01215
OG0000368	Syan.g_01751	Prbd.g_01213
OG0000369	Syan.g_01750	Prbd.g_01212
OG0000370	Syan.g_01749	Prbd.g_01211
OG0000371	Syan.g_01740	Prbd.g_01205
OG0000372	Syan.g_01734	Prbd.g_01202
OG0000373	Syan.g_01733	Prbd.g_01201
OG0000374	Syan.g_01732	Prbd.g_01200
OG0000375	Syan.g_01731	Prbd.g_01198
OG0000376	Syan.g_01729	Prbd.g_01196
OG0000377	Syan.g_01555	Prbd.g_01192
OG0000378	Syan.g_01543	Prbd.g_01190
OG0000379	Syan.g_01539	Prbd.g_01187
OG0000380	Syan.g_02905	Prbd.g_01178
OG0000381	Syan.g_02908	Prbd.g_01174
OG0000382	Syan.g_02925	Prbd.g_01163
OG0000383	Syan.g_02936	Prbd.g_01161
OG0000384	Syan.g_02937	Prbd.g_01160
OG0000385	Syan.g_02938	Prbd.g_01159
OG0000386	Syan.g_02939	Prbd.g_01158
OG0000387	Syan.g_00967	Prbd.g_01145
OG0000388	Syan.g_02970	Prbd.g_01142
OG0000389	Syan.g_02973	Prbd.g_01138
OG0000390	Syan.g_02306	Prbd.g_01131
OG0000391	Syan.g_02301	Prbd.g_01127
OG0000392	Syan.g_02295	Prbd.g_01123
OG0000393	Syan.g_02292	Prbd.g_01121
OG0000394	Syan.g_02291	Prbd.g_01120
OG0000395	Syan.g_02290	Prbd.g_01119
OG0000396	Syan.g_02287	Prbd.g_01116
OG0000397	Syan.g_02285	Prbd.g_01114
OG0000398	Syan.g_02279	Prbd.g_01112
OG0000399	Syan.g_02278	Prbd.g_01111
OG0000400	Syan.g_02277	Prbd.g_01110
OG0000401	Syan.g_02274	Prbd.g_01109
OG0000402	Syan.g_02272	Prbd.g_01107
OG0000403	Syan.g_02271	Prbd.g_01106
OG0000404	Syan.g_02269	Prbd.g_01105
OG0000405	Syan.g_03005	Prbd.g_01100
OG0000406	Syan.g_03010	Prbd.g_01093
OG0000407	Syan.g_03011	Prbd.g_01092
OG0000408	Syan.g_03013	Prbd.g_01090
OG0000409	Syan.g_03015	Prbd.g_01088
OG0000410	Syan.g_03016	Prbd.g_01087
OG0000411	Syan.g_03017	Prbd.g_01086
OG0000412	Syan.g_03018	Prbd.g_01085
OG0000413	Syan.g_03020	Prbd.g_01084
OG0000414	Syan.g_03021	Prbd.g_01083
OG0000415	Syan.g_03022	Prbd.g_01082
OG0000416	Syan.g_03023	Prbd.g_01081
OG0000417	Syan.g_03025	Prbd.g_01080
OG0000418	Syan.g_03030	Prbd.g_01075
OG0000419	Syan.g_03033	Prbd.g_01073
OG0000420	Syan.g_03035	Prbd.g_01072
OG0000421	Syan.g_03040	Prbd.g_01067
OG0000422	Syan.g_03041	Prbd.g_01066
OG0000423	Syan.g_03042	Prbd.g_01065
OG0000424	Syan.g_03043	Prbd.g_01064
OG0000425	Syan.g_03044	Prbd.g_01063
OG0000426	Syan.g_03045	Prbd.g_01062
OG0000427	Syan.g_03046	Prbd.g_01061
OG0000428	Syan.g_03049	Prbd.g_01059
OG0000429	Syan.g_03051	Prbd.g_01058
OG0000430	Syan.g_03053	Prbd.g_01057
OG0000431	Syan.g_03058	Prbd.g_01055
OG0000432	Syan.g_03065	Prbd.g_01052
OG0000433	Syan.g_03068	Prbd.g_01051
OG0000434	Syan.g_03069	Prbd.g_01050
OG0000435	Syan.g_03071	Prbd.g_01049
OG0000436	Syan.g_03079	Prbd.g_01044
OG0000437	Syan.g_03080	Prbd.g_01043
OG0000438	Syan.g_03083	Prbd.g_01042
OG0000439	Syan.g_03085	Prbd.g_01040
OG0000440	Syan.g_03086	Prbd.g_01039
OG0000441	Syan.g_03089	Prbd.g_01036
OG0000442	Syan.g_03090	Prbd.g_01035
OG0000443	Syan.g_03094	Prbd.g_01034
OG0000444	Syan.g_03102	Prbd.g_01029
OG0000445	Syan.g_03103	Prbd.g_01028
OG0000446	Syan.g_03105	Prbd.g_01027
OG0000447	Syan.g_03111	Prbd.g_01026
OG0000448	Syan.g_03112	Prbd.g_01025
OG0000449	Syan.g_03113	Prbd.g_01024
OG0000450	Syan.g_01518	Prbd.g_01023
OG0000451	Syan.g_01519	Prbd.g_01022
OG0000452	Syan.g_01523	Prbd.g_01019
OG0000453	Syan.g_01524	Prbd.g_01018
OG0000454	Syan.g_01525	Prbd.g_01017
OG0000455	Syan.g_01526	Prbd.g_01016
OG0000456	Syan.g_01527	Prbd.g_01015
OG0000457	Syan.g_01529	Prbd.g_01013
OG0000458	Syan.g_01530	Prbd.g_01012
OG0000459	Syan.g_01531	Prbd.g_01011
OG0000460	Syan.g_02423	Prbd.g_01004
OG0000461	Syan.g_02099	Prbd.g_00997
OG0000462	Syan.g_02096	Prbd.g_00995
OG0000463	Syan.g_02095	Prbd.g_00994
OG0000464	Syan.g_02094	Prbd.g_00993
OG0000465	Syan.g_02092	Prbd.g_00992
OG0000466	Syan.g_02087	Prbd.g_00989
OG0000467	Syan.g_02086	Prbd.g_00988
OG0000468	Syan.g_02063	Prbd.g_00986
OG0000469	Syan.g_02046	Prbd.g_00977
OG0000470	Syan.g_02044	Prbd.g_00975
OG0000471	Syan.g_02043	Prbd.g_00974
OG0000472	Syan.g_02041	Prbd.g_00973
OG0000473	Syan.g_02039	Prbd.g_00971
OG0000474	Syan.g_02038	Prbd.g_00970
OG0000475	Syan.g_02037	Prbd.g_00969
OG0000476	Syan.g_02035	Prbd.g_00968
OG0000477	Syan.g_02029	Prbd.g_00964
OG0000478	Syan.g_02028	Prbd.g_00963
OG0000479	Syan.g_02027	Prbd.g_00962
OG0000480	Syan.g_02020	Prbd.g_00957
OG0000481	Syan.g_00975	Prbd.g_00955
OG0000482	Syan.g_02018	Prbd.g_00954
OG0000483	Syan.g_02014	Prbd.g_00951
OG0000484	Syan.g_02013	Prbd.g_00950
OG0000485	Syan.g_02012	Prbd.g_00949
OG0000486	Syan.g_02011	Prbd.g_00948
OG0000487	Syan.g_02005	Prbd.g_00944
OG0000488	Syan.g_02000	Prbd.g_00941
OG0000489	Syan.g_01993	Prbd.g_00936
OG0000490	Syan.g_01985	Prbd.g_00931
OG0000491	Syan.g_01983	Prbd.g_00930
OG0000492	Syan.g_01980	Prbd.g_00928
OG0000493	Syan.g_01979	Prbd.g_00927
OG0000494	Syan.g_01978	Prbd.g_00926
OG0000495	Syan.g_01977	Prbd.g_00925
OG0000496	Syan.g_01976	Prbd.g_00924
OG0000497	Syan.g_01975	Prbd.g_00923
OG0000498	Syan.g_01974	Prbd.g_00922
OG0000499	Syan.g_01973	Prbd.g_00921
OG0000500	Syan.g_01972	Prbd.g_00920
OG0000501	Syan.g_01969	Prbd.g_00918
OG0000502	Syan.g_01961	Prbd.g_00915
OG0000503	Syan.g_02144	Prbd.g_00905
OG0000504	Syan.g_02142	Prbd.g_00904
OG0000505	Syan.g_02141	Prbd.g_00903
OG0000506	Syan.g_02139	Prbd.g_00901
OG0000507	Syan.g_02133	Prbd.g_00898
OG0000508	Syan.g_02998	Prbd.g_00894
OG0000509	Syan.g_02993	Prbd.g_00892
OG0000510	Syan.g_02992	Prbd.g_00891
OG0000511	Syan.g_02991	Prbd.g_00890
OG0000512	Syan.g_02989	Prbd.g_00888
OG0000513	Syan.g_02320	Prbd.g_00881
OG0000514	Syan.g_02326	Prbd.g_00811
OG0000515	Syan.g_02327	Prbd.g_00810
OG0000516	Syan.g_02389	Prbd.g_00809
OG0000517	Syan.g_02395	Prbd.g_00807
OG0000518	Syan.g_01336	Prbd.g_00796
OG0000519	Syan.g_01335	Prbd.g_00795
OG0000520	Syan.g_01334	Prbd.g_00794
OG0000521	Syan.g_02805	Prbd.g_00789
OG0000522	Syan.g_02803	Prbd.g_00787
OG0000523	Syan.g_02802	Prbd.g_00786
OG0000524	Syan.g_02878	Prbd.g_00781
OG0000525	Syan.g_02853	Prbd.g_00778
OG0000526	Syan.g_02852	Prbd.g_00777
OG0000527	Syan.g_02848	Prbd.g_00769
OG0000528	Syan.g_02767	Prbd.g_00764
OG0000529	Syan.g_02763	Prbd.g_00761
OG0000530	Syan.g_02760	Prbd.g_00758
OG0000531	Syan.g_02759	Prbd.g_00757
OG0000532	Syan.g_02756	Prbd.g_00755
OG0000533	Syan.g_02754	Prbd.g_00754
OG0000534	Syan.g_02753	Prbd.g_00753
OG0000535	Syan.g_02752	Prbd.g_00752
OG0000536	Syan.g_02751	Prbd.g_00751
OG0000537	Syan.g_02750	Prbd.g_00750
OG0000538	Syan.g_02738	Prbd.g_00742
OG0000539	Syan.g_02737	Prbd.g_00741
OG0000540	Syan.g_02736	Prbd.g_00740
OG0000541	Syan.g_02735	Prbd.g_00739
OG0000542	Syan.g_02732	Prbd.g_00737
OG0000543	Syan.g_02730	Prbd.g_00735
OG0000544	Syan.g_02729	Prbd.g_00734
OG0000545	Syan.g_02727	Prbd.g_00732
OG0000546	Syan.g_02725	Prbd.g_00729
OG0000547	Syan.g_02723	Prbd.g_00727
OG0000548	Syan.g_02722	Prbd.g_00726
OG0000549	Syan.g_01194	Prbd.g_00724
OG0000550	Syan.g_01189	Prbd.g_00719
OG0000551	Syan.g_01184	Prbd.g_00715
OG0000552	Syan.g_01183	Prbd.g_00714
OG0000553	Syan.g_01179	Prbd.g_00713
OG0000554	Syan.g_01165	Prbd.g_00708
OG0000555	Syan.g_00839	Prbd.g_00700
OG0000556	Syan.g_00842	Prbd.g_00698
OG0000557	Syan.g_00847	Prbd.g_00697
