Orthogroup	Syan	Prah
OG0000053	Syan.g_02812	Prah.g_00381
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Prah.g_01394
OG0000055	Syan.g_00312	Prah.g_00942
OG0000057	Syan.g_00643, Syan.g_02514, Syan.g_00186	Prah.g_01027
OG0000058	Syan.g_01964	Prah.g_02195
OG0000059	Syan.g_02255	Prah.g_02043
OG0000060	Syan.g_02856	Prah.g_01569
OG0000060	Syan.g_00277	Prah.g_01156
OG0000061	Syan.g_02696	Prah.g_01322
OG0000062	Syan.g_01380	Prah.g_01654
OG0000063	Syan.g_01739	Prah.g_00042
OG0000065	Syan.g_02974	Prah.g_01897
OG0000066	Syan.g_01156	Prah.g_01485
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prah.g_01576
OG0000070	Syan.g_00289	Prah.g_00252
OG0000071	Syan.g_01213	Prah.g_01364
OG0000072	Syan.g_03038, Syan.g_02999	Prah.g_02309
OG0000073	Syan.g_02741	Prah.g_01544
OG0000075	Syan.g_00981, Syan.g_01937	Prah.g_02232
OG0000076	Syan.g_01896	Prah.g_00150
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Prah.g_01773
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prah.g_02090, Prah.g_01868
OG0000082	Syan.g_00952	Prah.g_01427
OG0000084	Syan.g_01283	Prah.g_00412
OG0000085	Syan.g_01387	Prah.g_01666
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prah.g_01866
OG0000087	Syan.g_02268	Prah.g_02268
OG0000088	Syan.g_03031	Prah.g_00957
OG0000089	Syan.g_02316	Prah.g_00205
OG0000090	Syan.g_01166	Prah.g_01501
OG0000091	Syan.g_00235, Syan.g_00808	Prah.g_00493
OG0000093	Syan.g_00708	Prah.g_00692
OG0000094	Syan.g_00353, Syan.g_00065	Prah.g_02518
OG0000095	Syan.g_00290	Prah.g_00915
OG0000098	Syan.g_00043	Prah.g_00327
OG0000099	Syan.g_01968	Prah.g_02191
OG0000100	Syan.g_00658	Prah.g_01791, Prah.g_00636
OG0000102	Syan.g_01891	Prah.g_00144
OG0000103	Syan.g_01692	Prah.g_02586
OG0000104	Syan.g_01792	Prah.g_02600
OG0000105	Syan.g_02031	Prah.g_02126
OG0000106	Syan.g_00076	Prah.g_01660
OG0000107	Syan.g_02106	Prah.g_02072
OG0000108	Syan.g_02764	Prah.g_01566
OG0000109	Syan.g_02748	Prah.g_01550
OG0000110	Syan.g_00171, Syan.g_00882	Prah.g_01439
OG0000111	Syan.g_00187	Prah.g_01028
OG0000112	Syan.g_00556, Syan.g_00252	Prah.g_00788
OG0000113	Syan.g_00664	Prah.g_00641
OG0000114	Syan.g_00741	Prah.g_00733
OG0000115	Syan.g_02810	Prah.g_00383
OG0000116	Syan.g_02710, Syan.g_00460	Prah.g_01337
OG0000117	Syan.g_02644	Prah.g_01257
OG0000118	Syan.g_01241, Syan.g_01237	Prah.g_01378
OG0000119	Syan.g_02672	Prah.g_01007, Prah.g_01048
OG0000120	Syan.g_01966	Prah.g_02192
OG0000121	Syan.g_01273	Prah.g_00406
OG0000123	Syan.g_02190	Prah.g_01987
OG0000124	Syan.g_01873	Prah.g_00125
OG0000125	Syan.g_01573	Prah.g_02498
OG0000126	Syan.g_01705	Prah.g_02598
OG0000127	Syan.g_01071	Prah.g_01083
OG0000128	Syan.g_01768	Prah.g_00013
OG0000129	Syan.g_01563	Prah.g_02486
OG0000130	Syan.g_02906, Syan.g_02907	Prah.g_01838
OG0000131	Syan.g_03008	Prah.g_02282
OG0000132	Syan.g_03029	Prah.g_02302
OG0000133	Syan.g_00561	Prah.g_02187
OG0000134	Syan.g_02319	Prah.g_00208
OG0000135	Syan.g_01616	Prah.g_02538
OG0000136	Syan.g_01342	Prah.g_00235
OG0000137	Syan.g_02846	Prah.g_00312
OG0000138	Syan.g_02747	Prah.g_01549
OG0000139	Syan.g_01160	Prah.g_01495
OG0000140	Syan.g_00042	Prah.g_01489
OG0000141	Syan.g_01032	Prah.g_01393
OG0000142	Syan.g_00816	Prah.g_00501
OG0000143	Syan.g_00812	Prah.g_00497
OG0000144	Syan.g_00782	Prah.g_00473
OG0000145	Syan.g_02740	Prah.g_01543
OG0000146	Syan.g_00555, Syan.g_00253	Prah.g_00787
OG0000147	Syan.g_00254, Syan.g_00554	Prah.g_00786
OG0000148	Syan.g_00670	Prah.g_00649
OG0000149	Syan.g_00393	Prah.g_00591
OG0000150	Syan.g_01031	Prah.g_00568
OG0000151	Syan.g_00731	Prah.g_00718
OG0000152	Syan.g_00565	Prah.g_00796
OG0000153	Syan.g_00601	Prah.g_00826
OG0000154	Syan.g_00363	Prah.g_00852
OG0000155	Syan.g_02654	Prah.g_01291
OG0000156	Syan.g_02717	Prah.g_01349
OG0000157	Syan.g_02718	Prah.g_01350
OG0000158	Syan.g_01078, Syan.g_01926	Prah.g_02242
OG0000160	Syan.g_01274	Prah.g_00407
OG0000161	Syan.g_01268	Prah.g_00399
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prah.g_00391
OG0000163	Syan.g_02405	Prah.g_01619
OG0000164	Syan.g_01440	Prah.g_01705
OG0000165	Syan.g_01448	Prah.g_01716
OG0000166	Syan.g_02239	Prah.g_02033
OG0000167	Syan.g_01941	Prah.g_02230
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prah.g_02243
OG0000169	Syan.g_01912	Prah.g_00163
OG0000170	Syan.g_01901	Prah.g_00155
OG0000171	Syan.g_01875	Prah.g_00126
OG0000172	Syan.g_01810	Prah.g_00084
OG0000173	Syan.g_01720	Prah.g_00061
OG0000174	Syan.g_01619	Prah.g_02541
OG0000175	Syan.g_01678, Syan.g_00258	Prah.g_02575
OG0000176	Syan.g_01801	Prah.g_00005
OG0000177	Syan.g_01775	Prah.g_00006
OG0000178	Syan.g_01774	Prah.g_00007
OG0000179	Syan.g_01759	Prah.g_00022
OG0000180	Syan.g_01758	Prah.g_00023
OG0000181	Syan.g_01757	Prah.g_00024
OG0000182	Syan.g_01756	Prah.g_00025
OG0000183	Syan.g_01752	Prah.g_00029
OG0000184	Syan.g_01549	Prah.g_02478
OG0000185	Syan.g_01540	Prah.g_02458
OG0000186	Syan.g_02902	Prah.g_01830
OG0000187	Syan.g_02904	Prah.g_01833
OG0000188	Syan.g_02926	Prah.g_01860
OG0000189	Syan.g_02966	Prah.g_01884
OG0000190	Syan.g_00971	Prah.g_01886
OG0000191	Syan.g_02300	Prah.g_00188
OG0000192	Syan.g_02294	Prah.g_00176, Prah.g_00180
OG0000193	Syan.g_03009	Prah.g_02283
OG0000194	Syan.g_03012	Prah.g_02286
OG0000195	Syan.g_03014	Prah.g_02288
OG0000196	Syan.g_03026	Prah.g_02299
OG0000197	Syan.g_03027	Prah.g_02300
OG0000198	Syan.g_03028	Prah.g_02301
OG0000199	Syan.g_03037	Prah.g_02308
OG0000200	Syan.g_03055	Prah.g_02324
OG0000201	Syan.g_03074	Prah.g_02352
OG0000202	Syan.g_03075	Prah.g_02353
OG0000203	Syan.g_03076	Prah.g_02354
OG0000204	Syan.g_03077	Prah.g_02355
OG0000205	Syan.g_03087	Prah.g_02362
OG0000206	Syan.g_03095	Prah.g_02371
OG0000207	Syan.g_03100	Prah.g_02420
OG0000208	Syan.g_03101	Prah.g_02419
OG0000209	Syan.g_01521	Prah.g_02400
OG0000210	Syan.g_01522	Prah.g_02399
OG0000211	Syan.g_02416	Prah.g_01782
OG0000212	Syan.g_01508, Syan.g_02438	Prah.g_01772
OG0000213	Syan.g_02059	Prah.g_02101
OG0000214	Syan.g_02040	Prah.g_02118
OG0000215	Syan.g_02010	Prah.g_02148
OG0000216	Syan.g_02006	Prah.g_02151
OG0000217	Syan.g_02001	Prah.g_02155
OG0000218	Syan.g_01999	Prah.g_02157
OG0000219	Syan.g_01998	Prah.g_02158
OG0000220	Syan.g_01997	Prah.g_02159
OG0000221	Syan.g_01994	Prah.g_02166
OG0000222	Syan.g_01981	Prah.g_02174
OG0000223	Syan.g_00228	Prah.g_02197
OG0000224	Syan.g_01959	Prah.g_02207
OG0000225	Syan.g_02997	Prah.g_01921
OG0000226	Syan.g_02990	Prah.g_01917
OG0000227	Syan.g_02988	Prah.g_01915
OG0000228	Syan.g_02315	Prah.g_00204
OG0000229	Syan.g_02396	Prah.g_00230
OG0000230	Syan.g_02398	Prah.g_00232
OG0000231	Syan.g_01333	Prah.g_00251
OG0000232	Syan.g_02801	Prah.g_00261
OG0000233	Syan.g_02876	Prah.g_00294
OG0000234	Syan.g_02844	Prah.g_00313, Prah.g_00314
OG0000235	Syan.g_02765	Prah.g_01567
OG0000236	Syan.g_02749	Prah.g_01551
OG0000237	Syan.g_02731	Prah.g_01534
OG0000238	Syan.g_02726	Prah.g_01529
OG0000239	Syan.g_01187	Prah.g_01513
OG0000240	Syan.g_01186	Prah.g_01512
OG0000241	Syan.g_00822	Prah.g_01094
OG0000242	Syan.g_01168	Prah.g_00108, Prah.g_01503
OG0000243	Syan.g_00840	Prah.g_01476
OG0000244	Syan.g_00848	Prah.g_01472
OG0000245	Syan.g_00850	Prah.g_01469
OG0000246	Syan.g_00854	Prah.g_01465
OG0000247	Syan.g_00866	Prah.g_01454
OG0000248	Syan.g_00869	Prah.g_01451
OG0000249	Syan.g_00871	Prah.g_01449
OG0000250	Syan.g_00878	Prah.g_01443
OG0000251	Syan.g_00961	Prah.g_01417
OG0000252	Syan.g_00966	Prah.g_01414
OG0000253	Syan.g_01000	Prah.g_01408
OG0000254	Syan.g_01026	Prah.g_01389
OG0000255	Syan.g_00978	Prah.g_00530
OG0000256	Syan.g_00001, Syan.g_01135	Prah.g_00516
OG0000257	Syan.g_00827	Prah.g_00509
OG0000258	Syan.g_00803	Prah.g_00486
OG0000259	Syan.g_00772	Prah.g_00457
OG0000260	Syan.g_00769	Prah.g_00454
OG0000261	Syan.g_00765	Prah.g_00451
OG0000262	Syan.g_00760	Prah.g_00445
OG0000263	Syan.g_02618	Prah.g_02413
OG0000264	Syan.g_00540	Prah.g_00974
OG0000266	Syan.g_00330	Prah.g_00876
OG0000267	Syan.g_00470	Prah.g_00751
OG0000268	Syan.g_00471	Prah.g_00752
OG0000269	Syan.g_00695	Prah.g_00672
OG0000270	Syan.g_00692	Prah.g_00669
OG0000271	Syan.g_00684	Prah.g_00661
OG0000272	Syan.g_00683	Prah.g_00660
OG0000274	Syan.g_00653	Prah.g_00608
OG0000275	Syan.g_00373	Prah.g_00605
OG0000276	Syan.g_00380	Prah.g_00599
OG0000277	Syan.g_00381	Prah.g_00598
OG0000278	Syan.g_00384	Prah.g_00595
OG0000279	Syan.g_00398	Prah.g_00587
OG0000280	Syan.g_00518	Prah.g_00581
OG0000282	Syan.g_00739	Prah.g_00731
OG0000283	Syan.g_00491	Prah.g_00761
OG0000284	Syan.g_00497	Prah.g_00767
OG0000285	Syan.g_00533	Prah.g_01178
OG0000286	Syan.g_00564	Prah.g_00795
OG0000287	Syan.g_00593	Prah.g_01131
OG0000288	Syan.g_00364	Prah.g_00851
OG0000289	Syan.g_00350	Prah.g_00864
OG0000290	Syan.g_00293	Prah.g_00912
OG0000291	Syan.g_00291	Prah.g_00914
OG0000292	Syan.g_01703	Prah.g_02597
OG0000293	Syan.g_02709	Prah.g_01336
OG0000294	Syan.g_02708	Prah.g_01335
OG0000295	Syan.g_02662	Prah.g_01298
OG0000296	Syan.g_02660	Prah.g_01296
OG0000297	Syan.g_02646	Prah.g_01259
OG0000298	Syan.g_02645	Prah.g_01258
OG0000299	Syan.g_02601	Prah.g_01268
OG0000300	Syan.g_02593, Syan.g_02594	Prah.g_01275
OG0000301	Syan.g_02592	Prah.g_01276
OG0000302	Syan.g_02591	Prah.g_01279
OG0000303	Syan.g_02582	Prah.g_01289
OG0000304	Syan.g_02556	Prah.g_01237, Prah.g_01238
OG0000305	Syan.g_00195	Prah.g_00918
OG0000306	Syan.g_00087	Prah.g_00560
OG0000307	Syan.g_02782	Prah.g_01584
OG0000308	Syan.g_02784	Prah.g_01586
OG0000309	Syan.g_02883	Prah.g_01590
OG0000310	Syan.g_01304	Prah.g_00428
OG0000311	Syan.g_01299	Prah.g_00424
OG0000312	Syan.g_01290	Prah.g_00420
OG0000313	Syan.g_01271	Prah.g_00402
OG0000314	Syan.g_02823	Prah.g_00371
OG0000315	Syan.g_02833	Prah.g_00361
OG0000316	Syan.g_01354	Prah.g_01631
OG0000317	Syan.g_01396	Prah.g_01672
OG0000318	Syan.g_01401	Prah.g_01677
OG0000319	Syan.g_01425	Prah.g_01694
OG0000320	Syan.g_01427	Prah.g_01696
OG0000321	Syan.g_01428	Prah.g_01697
OG0000322	Syan.g_01429	Prah.g_01698
OG0000323	Syan.g_01442	Prah.g_01710
OG0000324	Syan.g_01472	Prah.g_01744
OG0000325	Syan.g_02107	Prah.g_02071
OG0000326	Syan.g_02114	Prah.g_02064
OG0000327	Syan.g_02244	Prah.g_02038
OG0000328	Syan.g_02243	Prah.g_02037
OG0000329	Syan.g_02225	Prah.g_02020
OG0000330	Syan.g_02224	Prah.g_02019
OG0000331	Syan.g_02223	Prah.g_02018
OG0000332	Syan.g_02208	Prah.g_02003
OG0000333	Syan.g_02205	Prah.g_02001
OG0000334	Syan.g_00247, Syan.g_02194	Prah.g_01991
OG0000335	Syan.g_02189	Prah.g_01986
OG0000336	Syan.g_02185	Prah.g_01982
OG0000337	Syan.g_01949	Prah.g_02224
OG0000338	Syan.g_01943	Prah.g_02227
OG0000339	Syan.g_01935, Syan.g_00264	Prah.g_02234
OG0000340	Syan.g_01923	Prah.g_02244
OG0000341	Syan.g_01921	Prah.g_02246
OG0000342	Syan.g_01920	Prah.g_02247
OG0000343	Syan.g_01918	Prah.g_00168
OG0000344	Syan.g_01914	Prah.g_00165
OG0000345	Syan.g_01900	Prah.g_00154
OG0000346	Syan.g_01895	Prah.g_00149
OG0000347	Syan.g_01867	Prah.g_00089
OG0000348	Syan.g_01803	Prah.g_00078
OG0000349	Syan.g_01727	Prah.g_00053
OG0000350	Syan.g_02121	Prah.g_02533
OG0000351	Syan.g_01682	Prah.g_02578
OG0000352	Syan.g_01683	Prah.g_02579
OG0000353	Syan.g_01795	Prah.g_02603
OG0000354	Syan.g_02720	Prah.g_01523
OG0000354	Syan.g_01761	Prah.g_00020
OG0000355	Syan.g_01797	Prah.g_00002
OG0000356	Syan.g_01798	Prah.g_00003
OG0000357	Syan.g_01800	Prah.g_00004
OG0000358	Syan.g_01773	Prah.g_00008
OG0000359	Syan.g_01771	Prah.g_00010
OG0000360	Syan.g_01770	Prah.g_00011
OG0000361	Syan.g_01769	Prah.g_00012
OG0000362	Syan.g_01767	Prah.g_00014
OG0000363	Syan.g_01765	Prah.g_00016
OG0000364	Syan.g_01398	Prah.g_00017
OG0000365	Syan.g_01755	Prah.g_00026
OG0000366	Syan.g_01754	Prah.g_00027
OG0000367	Syan.g_01753	Prah.g_00028
OG0000368	Syan.g_01751	Prah.g_00030
OG0000369	Syan.g_01750	Prah.g_00031
OG0000370	Syan.g_01749	Prah.g_00032
OG0000371	Syan.g_01740	Prah.g_00041
OG0000372	Syan.g_01734	Prah.g_00046
OG0000373	Syan.g_01733	Prah.g_00047
OG0000374	Syan.g_01732	Prah.g_00048
OG0000375	Syan.g_01731	Prah.g_00049
OG0000376	Syan.g_01729	Prah.g_00051
OG0000377	Syan.g_01555	Prah.g_02485
OG0000378	Syan.g_01543	Prah.g_02471
OG0000379	Syan.g_01539	Prah.g_02457
OG0000380	Syan.g_02905	Prah.g_01834
OG0000381	Syan.g_02908	Prah.g_01839
OG0000382	Syan.g_02925	Prah.g_01859
OG0000383	Syan.g_02936	Prah.g_01861
OG0000384	Syan.g_02937	Prah.g_01862
OG0000385	Syan.g_02938	Prah.g_01863
OG0000386	Syan.g_02939	Prah.g_01864
OG0000387	Syan.g_00967	Prah.g_01888
OG0000388	Syan.g_02970	Prah.g_01892
OG0000389	Syan.g_02973	Prah.g_01896
OG0000390	Syan.g_02306	Prah.g_00194
OG0000391	Syan.g_02301	Prah.g_00189
OG0000392	Syan.g_02295	Prah.g_00183
OG0000393	Syan.g_02292	Prah.g_00175
OG0000394	Syan.g_02291	Prah.g_00174
OG0000395	Syan.g_02290	Prah.g_00173
OG0000396	Syan.g_02287	Prah.g_02252
OG0000397	Syan.g_02285	Prah.g_02254
OG0000398	Syan.g_02279	Prah.g_02259
OG0000399	Syan.g_02278	Prah.g_02260
OG0000400	Syan.g_02277	Prah.g_02261
OG0000401	Syan.g_02274	Prah.g_02262
OG0000402	Syan.g_02272	Prah.g_02264
OG0000403	Syan.g_02271	Prah.g_02265
OG0000405	Syan.g_03005	Prah.g_02280
OG0000406	Syan.g_03010	Prah.g_02284
OG0000407	Syan.g_03011	Prah.g_02285
OG0000408	Syan.g_03013	Prah.g_02287
OG0000409	Syan.g_03015	Prah.g_02289
OG0000410	Syan.g_03016	Prah.g_02290
OG0000411	Syan.g_03017	Prah.g_02291
OG0000412	Syan.g_03018	Prah.g_02292
OG0000413	Syan.g_03020	Prah.g_02294
OG0000414	Syan.g_03021	Prah.g_02295
OG0000415	Syan.g_03022	Prah.g_02296
OG0000416	Syan.g_03023	Prah.g_02297
OG0000417	Syan.g_03025	Prah.g_02298
OG0000418	Syan.g_03030	Prah.g_02303
OG0000419	Syan.g_03033	Prah.g_02305
OG0000420	Syan.g_03035	Prah.g_02306
OG0000421	Syan.g_03040	Prah.g_02310
OG0000422	Syan.g_03041	Prah.g_02311
OG0000423	Syan.g_03042	Prah.g_02312
OG0000424	Syan.g_03043	Prah.g_02313
OG0000425	Syan.g_03044	Prah.g_02314
OG0000426	Syan.g_03045	Prah.g_02315
OG0000427	Syan.g_03046	Prah.g_02316
OG0000428	Syan.g_03049	Prah.g_00709
OG0000429	Syan.g_03051	Prah.g_02321
OG0000430	Syan.g_03053	Prah.g_02323
OG0000431	Syan.g_03058	Prah.g_02334
OG0000432	Syan.g_03065	Prah.g_02341
OG0000433	Syan.g_03068	Prah.g_02344
OG0000434	Syan.g_03069	Prah.g_02345
OG0000435	Syan.g_03071	Prah.g_02350
OG0000436	Syan.g_03079	Prah.g_02356
OG0000437	Syan.g_03080	Prah.g_02357
OG0000438	Syan.g_03083	Prah.g_02358
OG0000439	Syan.g_03085	Prah.g_02360
OG0000440	Syan.g_03086	Prah.g_02361
OG0000441	Syan.g_03089	Prah.g_02364
OG0000442	Syan.g_03090	Prah.g_02365
OG0000443	Syan.g_03094	Prah.g_02370
OG0000444	Syan.g_03102	Prah.g_02418
OG0000445	Syan.g_03103	Prah.g_02417
OG0000446	Syan.g_03105	Prah.g_02415
OG0000447	Syan.g_03111	Prah.g_02411
OG0000448	Syan.g_03112	Prah.g_02410
OG0000449	Syan.g_03113	Prah.g_02409
OG0000450	Syan.g_01518	Prah.g_02403
OG0000451	Syan.g_01519	Prah.g_02402
OG0000452	Syan.g_01523	Prah.g_02398
OG0000453	Syan.g_01524	Prah.g_02397
OG0000454	Syan.g_01525	Prah.g_02396
OG0000455	Syan.g_01526	Prah.g_02395
OG0000456	Syan.g_01527	Prah.g_02394
OG0000457	Syan.g_01529	Prah.g_02392
OG0000458	Syan.g_01530	Prah.g_02391
OG0000459	Syan.g_01531	Prah.g_02390
OG0000460	Syan.g_02423	Prah.g_01781
OG0000461	Syan.g_02099	Prah.g_02074
OG0000462	Syan.g_02096	Prah.g_02078
OG0000463	Syan.g_02095	Prah.g_02079
OG0000464	Syan.g_02094	Prah.g_02080
OG0000465	Syan.g_02092	Prah.g_02082
OG0000466	Syan.g_02087	Prah.g_02087
OG0000467	Syan.g_02086	Prah.g_02089
OG0000468	Syan.g_02063	Prah.g_02098
OG0000469	Syan.g_02046	Prah.g_02111
OG0000470	Syan.g_02044	Prah.g_02114
OG0000471	Syan.g_02043	Prah.g_02115
OG0000472	Syan.g_02041	Prah.g_02117
OG0000473	Syan.g_02039	Prah.g_02119
OG0000474	Syan.g_02038	Prah.g_02120
OG0000475	Syan.g_02037	Prah.g_02121
OG0000476	Syan.g_02035	Prah.g_02123
OG0000477	Syan.g_02029	Prah.g_02128
OG0000478	Syan.g_02028	Prah.g_02129
OG0000479	Syan.g_02027	Prah.g_02130
OG0000480	Syan.g_02020	Prah.g_02137
OG0000481	Syan.g_00975	Prah.g_02139
OG0000482	Syan.g_02018	Prah.g_02140
OG0000483	Syan.g_02014	Prah.g_02144
OG0000484	Syan.g_02013	Prah.g_02145
OG0000485	Syan.g_02012	Prah.g_02146
OG0000486	Syan.g_02011	Prah.g_02147
OG0000487	Syan.g_02005	Prah.g_02152
OG0000488	Syan.g_02000	Prah.g_02156
OG0000489	Syan.g_01993	Prah.g_02167
OG0000490	Syan.g_01985	Prah.g_02172
OG0000491	Syan.g_01983	Prah.g_02173
OG0000492	Syan.g_01980	Prah.g_02175
OG0000493	Syan.g_01979	Prah.g_02176
OG0000494	Syan.g_01978	Prah.g_02177
OG0000495	Syan.g_01977	Prah.g_02178
OG0000496	Syan.g_01976	Prah.g_02179
OG0000497	Syan.g_01975	Prah.g_02180
OG0000498	Syan.g_01974	Prah.g_02181
OG0000499	Syan.g_01973	Prah.g_02182
OG0000500	Syan.g_01972	Prah.g_02183
OG0000501	Syan.g_01969	Prah.g_02186
OG0000502	Syan.g_01961	Prah.g_02199
OG0000503	Syan.g_02144	Prah.g_01940
OG0000504	Syan.g_02142	Prah.g_01938
OG0000505	Syan.g_02141	Prah.g_01937
OG0000506	Syan.g_02139	Prah.g_01935
OG0000507	Syan.g_02133	Prah.g_01930
OG0000508	Syan.g_02998	Prah.g_01922
OG0000509	Syan.g_02993	Prah.g_01920
OG0000510	Syan.g_02992	Prah.g_01919
OG0000511	Syan.g_02991	Prah.g_01918
OG0000512	Syan.g_02989	Prah.g_01916
OG0000513	Syan.g_02320	Prah.g_00209
OG0000514	Syan.g_02326	Prah.g_00218
OG0000515	Syan.g_02327	Prah.g_00219
OG0000516	Syan.g_02389	Prah.g_00221
OG0000517	Syan.g_02395	Prah.g_00229
OG0000518	Syan.g_01336	Prah.g_00241
OG0000519	Syan.g_01335	Prah.g_00242
OG0000520	Syan.g_01334	Prah.g_00247
OG0000521	Syan.g_02805	Prah.g_00255
OG0000522	Syan.g_02803	Prah.g_00257
OG0000523	Syan.g_02802	Prah.g_00258
OG0000524	Syan.g_02878	Prah.g_00290
OG0000525	Syan.g_02853	Prah.g_00304
OG0000526	Syan.g_02852	Prah.g_00306
OG0000527	Syan.g_02848	Prah.g_00310
OG0000528	Syan.g_02767	Prah.g_01572
OG0000529	Syan.g_02763	Prah.g_01565
OG0000530	Syan.g_02760	Prah.g_01562
OG0000531	Syan.g_02759	Prah.g_01561
OG0000532	Syan.g_02756	Prah.g_01558
OG0000533	Syan.g_02754	Prah.g_01556
OG0000534	Syan.g_02753	Prah.g_01555
OG0000535	Syan.g_02752	Prah.g_01554
OG0000536	Syan.g_02751	Prah.g_01553
OG0000537	Syan.g_02750	Prah.g_01552
OG0000538	Syan.g_02738	Prah.g_01541
OG0000539	Syan.g_02737	Prah.g_01540
OG0000540	Syan.g_02736	Prah.g_01539
OG0000541	Syan.g_02735	Prah.g_01538
OG0000542	Syan.g_02732	Prah.g_01535
OG0000543	Syan.g_02730	Prah.g_01533
OG0000544	Syan.g_02729	Prah.g_01532
OG0000545	Syan.g_02727	Prah.g_01530
OG0000546	Syan.g_02725	Prah.g_01528
OG0000547	Syan.g_02723	Prah.g_01526
OG0000548	Syan.g_02722	Prah.g_01525
OG0000549	Syan.g_01194	Prah.g_01519
OG0000550	Syan.g_01189	Prah.g_01514
OG0000551	Syan.g_01184	Prah.g_01510
OG0000552	Syan.g_01183	Prah.g_01509
OG0000553	Syan.g_01179	Prah.g_01505
OG0000554	Syan.g_01165	Prah.g_01500
OG0000555	Syan.g_00839	Prah.g_01480
OG0000556	Syan.g_00842	Prah.g_01474
OG0000557	Syan.g_00847	Prah.g_01473
OG0000558	Syan.g_00849	Prah.g_01470
OG0000559	Syan.g_00853	Prah.g_01466
OG0000560	Syan.g_00856	Prah.g_01463
OG0000561	Syan.g_00857	Prah.g_01462
OG0000562	Syan.g_00858	Prah.g_01461
OG0000563	Syan.g_00859	Prah.g_01460
OG0000564	Syan.g_00860	Prah.g_01459
OG0000565	Syan.g_00864	Prah.g_01457
OG0000566	Syan.g_00868	Prah.g_01452
OG0000567	Syan.g_00872	Prah.g_01448
OG0000568	Syan.g_00874	Prah.g_01446
OG0000569	Syan.g_00875	Prah.g_01445
OG0000570	Syan.g_00876	Prah.g_01444
OG0000571	Syan.g_00879	Prah.g_01441
OG0000572	Syan.g_00954	Prah.g_01425
OG0000573	Syan.g_00963	Prah.g_01416
OG0000574	Syan.g_00965	Prah.g_01415
OG0000575	Syan.g_01003	Prah.g_01406
OG0000576	Syan.g_01007	Prah.g_01404
OG0000577	Syan.g_01008	Prah.g_01403
OG0000578	Syan.g_01009	Prah.g_01402
