Orthogroup	Syan	Prbc
OG0000197	Syan.g_03027	Prbc.g_00409
OG0000198	Syan.g_03028	Prbc.g_00408
OG0000199	Syan.g_03037	Prbc.g_00401
OG0000200	Syan.g_03055	Prbc.g_00388
OG0000201	Syan.g_03074	Prbc.g_00379
OG0000202	Syan.g_03075	Prbc.g_00378
OG0000203	Syan.g_03076	Prbc.g_00377
OG0000204	Syan.g_03077	Prbc.g_00376
OG0000205	Syan.g_03087	Prbc.g_00369
OG0000206	Syan.g_03095	Prbc.g_00365
OG0000207	Syan.g_03100	Prbc.g_00363
OG0000208	Syan.g_03101	Prbc.g_00362
OG0000209	Syan.g_01521	Prbc.g_00352
OG0000210	Syan.g_01522	Prbc.g_00351
OG0000211	Syan.g_02416	Prbc.g_00337
OG0000212	Syan.g_01508, Syan.g_02438	Prbc.g_00329
OG0000213	Syan.g_02059	Prbc.g_01153
OG0000214	Syan.g_02040	Prbc.g_01161
OG0000215	Syan.g_02010	Prbc.g_01185
OG0000216	Syan.g_02006	Prbc.g_01186
OG0000217	Syan.g_02001	Prbc.g_01189
OG0000218	Syan.g_01999	Prbc.g_01191
OG0000219	Syan.g_01998	Prbc.g_01192
OG0000220	Syan.g_01997	Prbc.g_01193
OG0000221	Syan.g_01994	Prbc.g_01194
OG0000222	Syan.g_01981	Prbc.g_01202
OG0000223	Syan.g_00228	Prbc.g_01215
OG0000224	Syan.g_01959	Prbc.g_01217
OG0000225	Syan.g_02997	Prbc.g_01257
OG0000226	Syan.g_02990	Prbc.g_01261
OG0000227	Syan.g_02988	Prbc.g_01263
OG0000228	Syan.g_02315	Prbc.g_01267
OG0000229	Syan.g_02396	Prbc.g_01497
OG0000230	Syan.g_02398	Prbc.g_01499
OG0000231	Syan.g_01333	Prbc.g_01510
OG0000232	Syan.g_02801	Prbc.g_01518
OG0000233	Syan.g_02876	Prbc.g_01526
OG0000234	Syan.g_02844	Prbc.g_01535
OG0000235	Syan.g_02765	Prbc.g_01539
OG0000236	Syan.g_02749	Prbc.g_01552
OG0000237	Syan.g_02731	Prbc.g_01586
OG0000238	Syan.g_02726	Prbc.g_01592
OG0000239	Syan.g_01187	Prbc.g_01604
OG0000240	Syan.g_01186	Prbc.g_01605
OG0000241	Syan.g_00822	Prbc.g_01609
OG0000242	Syan.g_01168	Prbc.g_01611
OG0000243	Syan.g_00840	Prbc.g_01622
OG0000244	Syan.g_00848	Prbc.g_01626
OG0000245	Syan.g_00850	Prbc.g_01628
OG0000246	Syan.g_00854	Prbc.g_01632
OG0000247	Syan.g_00866	Prbc.g_01642
OG0000248	Syan.g_00869	Prbc.g_01644
OG0000249	Syan.g_00871	Prbc.g_01646
OG0000250	Syan.g_00878	Prbc.g_01651
OG0000251	Syan.g_00961	Prbc.g_01667
OG0000252	Syan.g_00966	Prbc.g_01669
OG0000253	Syan.g_01000	Prbc.g_01671
OG0000254	Syan.g_01026	Prbc.g_01688
OG0000255	Syan.g_00978	Prbc.g_01694
OG0000256	Syan.g_00001, Syan.g_01135	Prbc.g_01704
OG0000257	Syan.g_00827	Prbc.g_01707
OG0000258	Syan.g_00803	Prbc.g_01720
OG0000259	Syan.g_00772	Prbc.g_01737
OG0000260	Syan.g_00769	Prbc.g_01740
OG0000261	Syan.g_00765	Prbc.g_01743
OG0000262	Syan.g_00760	Prbc.g_01748
OG0000263	Syan.g_02618	Prbc.g_01762
OG0000264	Syan.g_00540	Prbc.g_01773
OG0000266	Syan.g_00330	Prbc.g_01797
OG0000267	Syan.g_00470	Prbc.g_01810
OG0000268	Syan.g_00471	Prbc.g_01811
OG0000269	Syan.g_00695	Prbc.g_01853
OG0000270	Syan.g_00692	Prbc.g_01856
OG0000271	Syan.g_00684	Prbc.g_01864
OG0000272	Syan.g_00683	Prbc.g_01865
OG0000273	Syan.g_00654	Prbc.g_01890
OG0000274	Syan.g_00653	Prbc.g_01891
OG0000275	Syan.g_00373	Prbc.g_01893
OG0000276	Syan.g_00380	Prbc.g_01899
OG0000277	Syan.g_00381	Prbc.g_01900
OG0000278	Syan.g_00384	Prbc.g_01904
OG0000279	Syan.g_00398	Prbc.g_01911
OG0000280	Syan.g_00518	Prbc.g_00068
OG0000282	Syan.g_00739	Prbc.g_01979
OG0000283	Syan.g_00491	Prbc.g_02010
OG0000284	Syan.g_00497	Prbc.g_02015
OG0000285	Syan.g_00533	Prbc.g_02020
OG0000286	Syan.g_00564	Prbc.g_02035
OG0000287	Syan.g_00593	Prbc.g_02190
OG0000288	Syan.g_00364	Prbc.g_02082
OG0000289	Syan.g_00350	Prbc.g_02094
OG0000290	Syan.g_00293	Prbc.g_02110
OG0000291	Syan.g_00291	Prbc.g_02112
OG0000292	Syan.g_01703	Prbc.g_00173
OG0000293	Syan.g_02709	Prbc.g_01456
OG0000294	Syan.g_02708	Prbc.g_01455
OG0000295	Syan.g_02662	Prbc.g_01431
OG0000296	Syan.g_02660	Prbc.g_01429
OG0000297	Syan.g_02646	Prbc.g_01421
OG0000298	Syan.g_02645	Prbc.g_01420
OG0000299	Syan.g_02601	Prbc.g_01401
OG0000300	Syan.g_02593, Syan.g_02594	Prbc.g_01398
OG0000301	Syan.g_02592	Prbc.g_01397
OG0000302	Syan.g_02591	Prbc.g_01395
OG0000303	Syan.g_02582	Prbc.g_01390
OG0000304	Syan.g_02556	Prbc.g_01387
OG0000305	Syan.g_00195	Prbc.g_00810
OG0000306	Syan.g_00087	Prbc.g_01921
OG0000307	Syan.g_02782	Prbc.g_00666
OG0000308	Syan.g_02784	Prbc.g_00667
OG0000309	Syan.g_02883	Prbc.g_00671
OG0000310	Syan.g_01304	Prbc.g_00693
OG0000311	Syan.g_01299	Prbc.g_00695
OG0000312	Syan.g_01290	Prbc.g_00698
OG0000313	Syan.g_01271	Prbc.g_00713
OG0000314	Syan.g_02823	Prbc.g_00734
OG0000315	Syan.g_02833	Prbc.g_00744
OG0000316	Syan.g_01354	Prbc.g_00768
OG0000317	Syan.g_01396	Prbc.g_00830
OG0000318	Syan.g_01401	Prbc.g_00833
OG0000319	Syan.g_01425	Prbc.g_00844
OG0000320	Syan.g_01427	Prbc.g_00846
OG0000321	Syan.g_01428	Prbc.g_00847
OG0000322	Syan.g_01429	Prbc.g_00848
OG0000323	Syan.g_01442	Prbc.g_00857
OG0000324	Syan.g_01472	Prbc.g_00884
OG0000325	Syan.g_02107	Prbc.g_00935
OG0000326	Syan.g_02114	Prbc.g_00941
OG0000327	Syan.g_02244	Prbc.g_00326
OG0000328	Syan.g_02243	Prbc.g_00325
OG0000329	Syan.g_02225	Prbc.g_00308
OG0000330	Syan.g_02224	Prbc.g_00307
OG0000331	Syan.g_02223	Prbc.g_00306
OG0000332	Syan.g_02208	Prbc.g_00292
OG0000333	Syan.g_02205	Prbc.g_00290
OG0000334	Syan.g_00247, Syan.g_02194	Prbc.g_00281
OG0000335	Syan.g_02189	Prbc.g_00276
OG0000336	Syan.g_02185	Prbc.g_00272
OG0000337	Syan.g_01949	Prbc.g_00241
OG0000338	Syan.g_01943	Prbc.g_00240
OG0000339	Syan.g_01935, Syan.g_00264	Prbc.g_00235
OG0000340	Syan.g_01923	Prbc.g_00226
OG0000341	Syan.g_01921	Prbc.g_00224
OG0000342	Syan.g_01920	Prbc.g_00223
OG0000343	Syan.g_01918	Prbc.g_00222
OG0000344	Syan.g_01914	Prbc.g_00219
OG0000345	Syan.g_01900	Prbc.g_00214
OG0000346	Syan.g_01895	Prbc.g_00210
OG0000347	Syan.g_01867	Prbc.g_00190
OG0000348	Syan.g_01803	Prbc.g_00970
OG0000349	Syan.g_01727	Prbc.g_00988
OG0000350	Syan.g_02121	Prbc.g_01009
OG0000351	Syan.g_01682	Prbc.g_01047
OG0000352	Syan.g_01683	Prbc.g_01048
OG0000353	Syan.g_01795	Prbc.g_01068
OG0000355	Syan.g_01797	Prbc.g_01071
OG0000356	Syan.g_01798	Prbc.g_01072
OG0000357	Syan.g_01800	Prbc.g_01073
OG0000358	Syan.g_01773	Prbc.g_01077
OG0000359	Syan.g_01771	Prbc.g_01078
OG0000360	Syan.g_01770	Prbc.g_01079
OG0000361	Syan.g_01769	Prbc.g_01080
OG0000362	Syan.g_01767	Prbc.g_01082
OG0000363	Syan.g_01765	Prbc.g_01084
OG0000364	Syan.g_01398	Prbc.g_01085
OG0000365	Syan.g_01755	Prbc.g_01090
OG0000366	Syan.g_01754	Prbc.g_01091
OG0000367	Syan.g_01753	Prbc.g_01092
OG0000368	Syan.g_01751	Prbc.g_01094
OG0000369	Syan.g_01750	Prbc.g_01095
OG0000370	Syan.g_01749	Prbc.g_01096
OG0000371	Syan.g_01740	Prbc.g_01102
OG0000372	Syan.g_01734	Prbc.g_01104
OG0000373	Syan.g_01733	Prbc.g_01105
OG0000374	Syan.g_01732	Prbc.g_01106
OG0000375	Syan.g_01731	Prbc.g_01118
OG0000376	Syan.g_01729	Prbc.g_01120
OG0000377	Syan.g_01555	Prbc.g_01123
OG0000378	Syan.g_01543	Prbc.g_01125
OG0000379	Syan.g_01539	Prbc.g_01128
OG0000380	Syan.g_02905	Prbc.g_00507
OG0000381	Syan.g_02908	Prbc.g_00503
OG0000382	Syan.g_02925	Prbc.g_00492
OG0000383	Syan.g_02936	Prbc.g_00490
OG0000384	Syan.g_02937	Prbc.g_00489
OG0000385	Syan.g_02938	Prbc.g_00488
OG0000386	Syan.g_02939	Prbc.g_00487
OG0000387	Syan.g_00967	Prbc.g_00474
OG0000388	Syan.g_02970	Prbc.g_00470
OG0000389	Syan.g_02973	Prbc.g_00467
OG0000390	Syan.g_02306	Prbc.g_00458
OG0000391	Syan.g_02301	Prbc.g_00454
OG0000392	Syan.g_02295	Prbc.g_00451
OG0000393	Syan.g_02292	Prbc.g_00448
OG0000394	Syan.g_02291	Prbc.g_00447
OG0000395	Syan.g_02290	Prbc.g_00446
OG0000396	Syan.g_02287	Prbc.g_00443
OG0000397	Syan.g_02285	Prbc.g_00441
OG0000398	Syan.g_02279	Prbc.g_00438
OG0000399	Syan.g_02278	Prbc.g_00437
OG0000400	Syan.g_02277	Prbc.g_00436
OG0000401	Syan.g_02274	Prbc.g_00435
OG0000402	Syan.g_02272	Prbc.g_02145
OG0000403	Syan.g_02271	Prbc.g_00434
OG0000404	Syan.g_02269	Prbc.g_00433
OG0000405	Syan.g_03005	Prbc.g_00428
OG0000406	Syan.g_03010	Prbc.g_00424
OG0000407	Syan.g_03011	Prbc.g_00423
OG0000408	Syan.g_03013	Prbc.g_00421
OG0000409	Syan.g_03015	Prbc.g_00419
OG0000410	Syan.g_03016	Prbc.g_00418
OG0000411	Syan.g_03017	Prbc.g_00417
OG0000412	Syan.g_03018	Prbc.g_00416
OG0000413	Syan.g_03020	Prbc.g_00415
OG0000414	Syan.g_03021	Prbc.g_00414
OG0000415	Syan.g_03022	Prbc.g_00413
OG0000416	Syan.g_03023	Prbc.g_00412
OG0000417	Syan.g_03025	Prbc.g_00411
OG0000418	Syan.g_03030	Prbc.g_00406
OG0000419	Syan.g_03033	Prbc.g_00404
OG0000420	Syan.g_03035	Prbc.g_00403
OG0000421	Syan.g_03040	Prbc.g_00399
OG0000422	Syan.g_03041	Prbc.g_00398
OG0000423	Syan.g_03042	Prbc.g_00397
OG0000424	Syan.g_03043	Prbc.g_00396
OG0000425	Syan.g_03044	Prbc.g_00395
OG0000426	Syan.g_03045	Prbc.g_00394
OG0000427	Syan.g_03046	Prbc.g_00393
OG0000428	Syan.g_03049	Prbc.g_00391
OG0000429	Syan.g_03051	Prbc.g_00390
OG0000430	Syan.g_03053	Prbc.g_00389
OG0000431	Syan.g_03058	Prbc.g_00387
OG0000432	Syan.g_03065	Prbc.g_00383
OG0000433	Syan.g_03068	Prbc.g_00382
OG0000434	Syan.g_03069	Prbc.g_00381
OG0000435	Syan.g_03071	Prbc.g_00380
OG0000436	Syan.g_03079	Prbc.g_00375
OG0000437	Syan.g_03080	Prbc.g_00374
OG0000438	Syan.g_03083	Prbc.g_00373
OG0000439	Syan.g_03085	Prbc.g_00371
OG0000440	Syan.g_03086	Prbc.g_00370
OG0000441	Syan.g_03089	Prbc.g_00368
OG0000442	Syan.g_03090	Prbc.g_00367
OG0000443	Syan.g_03094	Prbc.g_00366
OG0000444	Syan.g_03102	Prbc.g_00361
OG0000445	Syan.g_03103	Prbc.g_00360
OG0000446	Syan.g_03105	Prbc.g_00358
OG0000447	Syan.g_03111	Prbc.g_00357
OG0000448	Syan.g_03112	Prbc.g_00356
OG0000449	Syan.g_03113	Prbc.g_00355
OG0000450	Syan.g_01518	Prbc.g_00354
OG0000451	Syan.g_01519	Prbc.g_00353
OG0000452	Syan.g_01523	Prbc.g_00350
OG0000453	Syan.g_01524	Prbc.g_00349
OG0000454	Syan.g_01525	Prbc.g_00348
OG0000455	Syan.g_01526	Prbc.g_00347
OG0000456	Syan.g_01527	Prbc.g_00346
OG0000457	Syan.g_01529	Prbc.g_00345
OG0000458	Syan.g_01530	Prbc.g_00344
OG0000459	Syan.g_01531	Prbc.g_00343
OG0000460	Syan.g_02423	Prbc.g_00335
OG0000461	Syan.g_02099	Prbc.g_01140
OG0000462	Syan.g_02096	Prbc.g_01142
OG0000463	Syan.g_02095	Prbc.g_01143
OG0000464	Syan.g_02094	Prbc.g_01144
OG0000465	Syan.g_02092	Prbc.g_01145
OG0000466	Syan.g_02087	Prbc.g_01146
OG0000467	Syan.g_02086	Prbc.g_01147
OG0000468	Syan.g_02063	Prbc.g_01149
OG0000469	Syan.g_02046	Prbc.g_01156
OG0000470	Syan.g_02044	Prbc.g_01158
OG0000471	Syan.g_02043	Prbc.g_01159
OG0000472	Syan.g_02041	Prbc.g_01160
OG0000473	Syan.g_02039	Prbc.g_01162
OG0000474	Syan.g_02038	Prbc.g_01163
OG0000475	Syan.g_02037	Prbc.g_01164
OG0000476	Syan.g_02035	Prbc.g_01166
OG0000477	Syan.g_02029	Prbc.g_01168
OG0000478	Syan.g_02028	Prbc.g_01169
OG0000479	Syan.g_02027	Prbc.g_01170
OG0000480	Syan.g_02020	Prbc.g_01175
OG0000481	Syan.g_00975	Prbc.g_01177
OG0000482	Syan.g_02018	Prbc.g_01178
OG0000483	Syan.g_02014	Prbc.g_01181
OG0000484	Syan.g_02013	Prbc.g_01182
OG0000485	Syan.g_02012	Prbc.g_01183
OG0000486	Syan.g_02011	Prbc.g_01184
OG0000487	Syan.g_02005	Prbc.g_01187
OG0000488	Syan.g_02000	Prbc.g_01190
OG0000489	Syan.g_01993	Prbc.g_01195
OG0000490	Syan.g_01985	Prbc.g_01200
OG0000491	Syan.g_01983	Prbc.g_01201
OG0000492	Syan.g_01980	Prbc.g_01203
OG0000493	Syan.g_01979	Prbc.g_01204
OG0000494	Syan.g_01978	Prbc.g_01205
OG0000495	Syan.g_01977	Prbc.g_01206
OG0000496	Syan.g_01976	Prbc.g_01207
OG0000497	Syan.g_01975	Prbc.g_01208
OG0000498	Syan.g_01974	Prbc.g_01209
OG0000499	Syan.g_01973	Prbc.g_01210
OG0000500	Syan.g_01972	Prbc.g_01211
OG0000501	Syan.g_01969	Prbc.g_01213
OG0000502	Syan.g_01961	Prbc.g_01216
OG0000503	Syan.g_02144	Prbc.g_01246
OG0000504	Syan.g_02142	Prbc.g_01248
OG0000505	Syan.g_02141	Prbc.g_01249
OG0000506	Syan.g_02139	Prbc.g_01250
OG0000507	Syan.g_02133	Prbc.g_01253
OG0000508	Syan.g_02998	Prbc.g_01256
OG0000509	Syan.g_02993	Prbc.g_01258
OG0000510	Syan.g_02992	Prbc.g_01259
OG0000511	Syan.g_02991	Prbc.g_01260
OG0000512	Syan.g_02989	Prbc.g_01262
OG0000513	Syan.g_02320	Prbc.g_01271
OG0000514	Syan.g_02326	Prbc.g_01492
OG0000515	Syan.g_02327	Prbc.g_01493
OG0000516	Syan.g_02389	Prbc.g_01494
OG0000517	Syan.g_02395	Prbc.g_01496
OG0000518	Syan.g_01336	Prbc.g_01507
OG0000519	Syan.g_01335	Prbc.g_01508
OG0000520	Syan.g_01334	Prbc.g_01509
OG0000521	Syan.g_02805	Prbc.g_01514
OG0000522	Syan.g_02803	Prbc.g_01516
OG0000523	Syan.g_02802	Prbc.g_01517
OG0000524	Syan.g_02878	Prbc.g_01524
OG0000525	Syan.g_02853	Prbc.g_01528
OG0000526	Syan.g_02852	Prbc.g_01529
OG0000527	Syan.g_02848	Prbc.g_01532
OG0000528	Syan.g_02767	Prbc.g_01538
OG0000529	Syan.g_02763	Prbc.g_01541
OG0000530	Syan.g_02760	Prbc.g_01544
OG0000531	Syan.g_02759	Prbc.g_01545
OG0000532	Syan.g_02756	Prbc.g_01546
OG0000533	Syan.g_02754	Prbc.g_01547
OG0000534	Syan.g_02753	Prbc.g_01548
OG0000535	Syan.g_02752	Prbc.g_01549
OG0000536	Syan.g_02751	Prbc.g_01550
OG0000537	Syan.g_02750	Prbc.g_01551
OG0000538	Syan.g_02738	Prbc.g_01580
OG0000539	Syan.g_02737	Prbc.g_01581
OG0000540	Syan.g_02736	Prbc.g_01582
OG0000541	Syan.g_02735	Prbc.g_01583
OG0000542	Syan.g_02732	Prbc.g_01585
OG0000543	Syan.g_02730	Prbc.g_01587
OG0000544	Syan.g_02729	Prbc.g_01588
OG0000545	Syan.g_02727	Prbc.g_01590
OG0000546	Syan.g_02725	Prbc.g_01593
