Orthogroup	Syan	Prbh
OG0000046	Syan.g_02157, Syan.g_02160	Prbh.g_00451
OG0000048	Syan.g_02036	Prbh.g_00508
OG0000052	Syan.g_01954, Syan.g_01953	Prbh.g_00727
OG0000053	Syan.g_02812	Prbh.g_00120, Prbh.g_01834
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Prbh.g_00223
OG0000055	Syan.g_00312	Prbh.g_01797
OG0000057	Syan.g_00643, Syan.g_02514, Syan.g_00186	Prbh.g_00936
OG0000059	Syan.g_02255	Prbh.g_01695
OG0000061	Syan.g_02696	Prbh.g_01283
OG0000062	Syan.g_01380	Prbh.g_00184
OG0000063	Syan.g_01739	Prbh.g_01401
OG0000064	Syan.g_02519, Syan.g_00785, Syan.g_02518	Prbh.g_00715
OG0000065	Syan.g_02974	Prbh.g_00676
OG0000066	Syan.g_01156	Prbh.g_01856
OG0000067	Syan.g_00690	Prbh.g_00953
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prbh.g_00009
OG0000069	Syan.g_00459, Syan.g_00278	Prbh.g_00376
OG0000070	Syan.g_00289	Prbh.g_00382
OG0000071	Syan.g_01213	Prbh.g_01373
OG0000072	Syan.g_03038, Syan.g_02999	Prbh.g_00611
OG0000073	Syan.g_02741	Prbh.g_00330
OG0000075	Syan.g_00981, Syan.g_01937	Prbh.g_01607
OG0000076	Syan.g_01896	Prbh.g_01581
OG0000077	Syan.g_02919, Syan.g_02579	Prbh.g_00704
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Prbh.g_00540
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prbh.g_00527
OG0000080	Syan.g_01110, Syan.g_01083, Syan.g_01962	Prbh.g_00069
OG0000082	Syan.g_00952	Prbh.g_01855
OG0000084	Syan.g_01283	Prbh.g_00093
OG0000085	Syan.g_01387	Prbh.g_01408
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prbh.g_00695
OG0000087	Syan.g_02268	Prbh.g_00642
OG0000088	Syan.g_03031	Prbh.g_00616
OG0000089	Syan.g_02316	Prbh.g_00415
OG0000090	Syan.g_01166	Prbh.g_00296
OG0000091	Syan.g_00235, Syan.g_00808	Prbh.g_01211
OG0000093	Syan.g_00708	Prbh.g_01181
OG0000094	Syan.g_00353, Syan.g_00065	Prbh.g_01130
OG0000095	Syan.g_00290	Prbh.g_01031
OG0000097	Syan.g_00160, Syan.g_00733	Prbh.g_01236
OG0000098	Syan.g_00043	Prbh.g_01935
OG0000099	Syan.g_01968	Prbh.g_00032
OG0000100	Syan.g_00658	Prbh.g_00179
OG0000101	Syan.g_02199	Prbh.g_01644
OG0000102	Syan.g_01891	Prbh.g_01576
OG0000103	Syan.g_01692	Prbh.g_01489
OG0000104	Syan.g_01792	Prbh.g_01480
OG0000105	Syan.g_02031	Prbh.g_00505
OG0000106	Syan.g_00076	Prbh.g_00821
OG0000107	Syan.g_02106	Prbh.g_01718
OG0000108	Syan.g_02764	Prbh.g_00351
OG0000109	Syan.g_02748	Prbh.g_00337
OG0000110	Syan.g_00171, Syan.g_00882	Prbh.g_00254
OG0000111	Syan.g_00187	Prbh.g_00937
OG0000112	Syan.g_00556, Syan.g_00252	Prbh.g_01078
OG0000113	Syan.g_00664	Prbh.g_00976
OG0000114	Syan.g_00741	Prbh.g_00878
OG0000115	Syan.g_02810	Prbh.g_01344
OG0000116	Syan.g_02710, Syan.g_00460	Prbh.g_01294
OG0000117	Syan.g_02644	Prbh.g_01255
OG0000118	Syan.g_01241, Syan.g_01237	Prbh.g_01385
OG0000119	Syan.g_02672	Prbh.g_01333, Prbh.g_00194
OG0000120	Syan.g_01966	Prbh.g_00031
OG0000121	Syan.g_01273	Prbh.g_00101
OG0000123	Syan.g_02190	Prbh.g_01637
OG0000124	Syan.g_01873	Prbh.g_01564
OG0000125	Syan.g_01573	Prbh.g_01528
OG0000126	Syan.g_01705	Prbh.g_01481
OG0000127	Syan.g_01071, Syan.g_00162	Prbh.g_01938
OG0000128	Syan.g_01768	Prbh.g_01953
OG0000129	Syan.g_01563	Prbh.g_00738
OG0000130	Syan.g_02906, Syan.g_02907	Prbh.g_00713
OG0000131	Syan.g_03008	Prbh.g_00637
OG0000132	Syan.g_03029	Prbh.g_00618
OG0000133	Syan.g_00561	Prbh.g_00457
OG0000134	Syan.g_02319	Prbh.g_00413
OG0000135	Syan.g_01616	Prbh.g_01825
OG0000136	Syan.g_01342	Prbh.g_00391
OG0000137	Syan.g_02846	Prbh.g_00356
OG0000138	Syan.g_02747	Prbh.g_00336
OG0000139	Syan.g_01160	Prbh.g_00292
OG0000140	Syan.g_00042	Prbh.g_00291
OG0000141	Syan.g_01032	Prbh.g_00222
OG0000142	Syan.g_00816	Prbh.g_01218
OG0000143	Syan.g_00812	Prbh.g_01215
OG0000144	Syan.g_00782	Prbh.g_01201
OG0000145	Syan.g_02740	Prbh.g_01880
OG0000146	Syan.g_00555, Syan.g_00253	Prbh.g_01077
OG0000147	Syan.g_00254, Syan.g_00554	Prbh.g_01076
OG0000148	Syan.g_00670	Prbh.g_00970
OG0000149	Syan.g_00393	Prbh.g_01002
OG0000150	Syan.g_01031	Prbh.g_01012
OG0000151	Syan.g_00731	Prbh.g_00888
OG0000152	Syan.g_00565	Prbh.g_01086
OG0000153	Syan.g_00601	Prbh.g_01104
OG0000154	Syan.g_00363	Prbh.g_01121
OG0000155	Syan.g_02654	Prbh.g_01261
OG0000156	Syan.g_02717	Prbh.g_01362
OG0000157	Syan.g_02718	Prbh.g_01363
OG0000158	Syan.g_01078, Syan.g_01926	Prbh.g_01599
OG0000159	Syan.g_01120	Prbh.g_00039
OG0000159	Syan.g_01126	Prbh.g_00722
OG0000160	Syan.g_01274	Prbh.g_00100
OG0000161	Syan.g_01268	Prbh.g_01288, Prbh.g_00106
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prbh.g_00112
OG0000163	Syan.g_02405	Prbh.g_00151
OG0000164	Syan.g_01440	Prbh.g_01758
OG0000165	Syan.g_01448	Prbh.g_01750
OG0000166	Syan.g_02239	Prbh.g_01681
OG0000167	Syan.g_01941	Prbh.g_01609
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prbh.g_01598
OG0000169	Syan.g_01912	Prbh.g_01588
OG0000170	Syan.g_01901	Prbh.g_01585
OG0000171	Syan.g_01875	Prbh.g_01565
OG0000172	Syan.g_01810	Prbh.g_01558
OG0000173	Syan.g_01720	Prbh.g_01543
OG0000174	Syan.g_01619	Prbh.g_01512
OG0000175	Syan.g_01678, Syan.g_00258	Prbh.g_01500
OG0000176	Syan.g_01801	Prbh.g_01472
OG0000177	Syan.g_01775	Prbh.g_01471
OG0000178	Syan.g_01774	Prbh.g_01470
OG0000179	Syan.g_01759	Prbh.g_00764
OG0000180	Syan.g_01758	Prbh.g_00763
OG0000181	Syan.g_01757	Prbh.g_00762
OG0000182	Syan.g_01756	Prbh.g_00761
OG0000183	Syan.g_01752	Prbh.g_00757
OG0000184	Syan.g_01549	Prbh.g_00734
OG0000185	Syan.g_01540	Prbh.g_00731
OG0000186	Syan.g_02902	Prbh.g_00719
OG0000187	Syan.g_02904	Prbh.g_00718
OG0000188	Syan.g_02926	Prbh.g_00701
OG0000189	Syan.g_02966	Prbh.g_00687
OG0000190	Syan.g_00971	Prbh.g_00686
OG0000191	Syan.g_02300	Prbh.g_00664
OG0000192	Syan.g_02294	Prbh.g_00659
OG0000193	Syan.g_03009	Prbh.g_00636
OG0000194	Syan.g_03012	Prbh.g_00633
OG0000195	Syan.g_03014	Prbh.g_00631
OG0000196	Syan.g_03026	Prbh.g_00621
OG0000197	Syan.g_03027	Prbh.g_00620
OG0000198	Syan.g_03028	Prbh.g_00619
OG0000199	Syan.g_03037	Prbh.g_00612
OG0000200	Syan.g_03055	Prbh.g_00599
OG0000201	Syan.g_03074	Prbh.g_00590
OG0000202	Syan.g_03075	Prbh.g_00589
OG0000203	Syan.g_03076	Prbh.g_00588
OG0000204	Syan.g_03077	Prbh.g_00587
OG0000205	Syan.g_03087	Prbh.g_00580
OG0000206	Syan.g_03095	Prbh.g_00575
OG0000207	Syan.g_03100	Prbh.g_00573
OG0000208	Syan.g_03101	Prbh.g_00572
OG0000209	Syan.g_01521	Prbh.g_00563
OG0000210	Syan.g_01522	Prbh.g_00562
OG0000211	Syan.g_02416	Prbh.g_00547
OG0000212	Syan.g_01508, Syan.g_02438	Prbh.g_00539
OG0000213	Syan.g_02059	Prbh.g_00521
OG0000214	Syan.g_02040	Prbh.g_00512
OG0000215	Syan.g_02010	Prbh.g_00485
OG0000216	Syan.g_02006	Prbh.g_00484
OG0000217	Syan.g_02001	Prbh.g_00481
OG0000218	Syan.g_01999	Prbh.g_00479
OG0000219	Syan.g_01998	Prbh.g_00478
OG0000220	Syan.g_01997	Prbh.g_00477
OG0000221	Syan.g_01994	Prbh.g_00476
OG0000222	Syan.g_01981	Prbh.g_00469
OG0000223	Syan.g_00228	Prbh.g_00456
OG0000224	Syan.g_01959	Prbh.g_00454
OG0000225	Syan.g_02997	Prbh.g_00426
OG0000226	Syan.g_02990	Prbh.g_00422
OG0000227	Syan.g_02988	Prbh.g_00420
OG0000228	Syan.g_02315	Prbh.g_00416
OG0000229	Syan.g_02396	Prbh.g_00396
OG0000230	Syan.g_02398	Prbh.g_00394
OG0000231	Syan.g_01333	Prbh.g_00383
OG0000232	Syan.g_02801	Prbh.g_00370
OG0000233	Syan.g_02876	Prbh.g_00365
OG0000234	Syan.g_02844	Prbh.g_00355
OG0000235	Syan.g_02765	Prbh.g_00352
OG0000236	Syan.g_02749	Prbh.g_00338
OG0000237	Syan.g_02731	Prbh.g_00324
OG0000238	Syan.g_02726	Prbh.g_00318
OG0000239	Syan.g_01187	Prbh.g_00305
OG0000240	Syan.g_01186	Prbh.g_00304
OG0000241	Syan.g_00822	Prbh.g_00299
OG0000242	Syan.g_01168	Prbh.g_00297
OG0000243	Syan.g_00840	Prbh.g_00287
OG0000244	Syan.g_00848	Prbh.g_00284
OG0000245	Syan.g_00850	Prbh.g_00282
OG0000246	Syan.g_00854	Prbh.g_00278
OG0000247	Syan.g_00866	Prbh.g_00267
OG0000248	Syan.g_00869	Prbh.g_00264
OG0000249	Syan.g_00871	Prbh.g_00262
OG0000250	Syan.g_00878	Prbh.g_00257
OG0000251	Syan.g_00961	Prbh.g_00239
OG0000252	Syan.g_00966	Prbh.g_00236
OG0000253	Syan.g_01000	Prbh.g_00235
OG0000254	Syan.g_01026	Prbh.g_00218
OG0000255	Syan.g_00978	Prbh.g_00212
OG0000256	Syan.g_00001, Syan.g_01135	Prbh.g_01455
OG0000257	Syan.g_00827	Prbh.g_01223
OG0000258	Syan.g_00803	Prbh.g_01210
OG0000259	Syan.g_00772	Prbh.g_01193
OG0000260	Syan.g_00769	Prbh.g_01190
OG0000261	Syan.g_00765	Prbh.g_01187
OG0000262	Syan.g_00760	Prbh.g_01182
OG0000263	Syan.g_02618	Prbh.g_00915
OG0000264	Syan.g_00540	Prbh.g_00926
OG0000266	Syan.g_00330	Prbh.g_01163
OG0000267	Syan.g_00470	Prbh.g_01150
OG0000268	Syan.g_00471	Prbh.g_01149
OG0000269	Syan.g_00695	Prbh.g_00948
OG0000270	Syan.g_00692	Prbh.g_00951
OG0000271	Syan.g_00684	Prbh.g_00959
OG0000272	Syan.g_00683	Prbh.g_00960
OG0000273	Syan.g_00654	Prbh.g_00983
OG0000274	Syan.g_00653	Prbh.g_00984
OG0000275	Syan.g_00373	Prbh.g_00987
OG0000276	Syan.g_00380	Prbh.g_00993
OG0000277	Syan.g_00381	Prbh.g_00994
OG0000278	Syan.g_00384	Prbh.g_00997
OG0000279	Syan.g_00398	Prbh.g_01005
OG0000280	Syan.g_00518	Prbh.g_01006
OG0000282	Syan.g_00739	Prbh.g_00880
OG0000283	Syan.g_00491	Prbh.g_01059
OG0000284	Syan.g_00497	Prbh.g_01064
OG0000285	Syan.g_00533	Prbh.g_01069
OG0000286	Syan.g_00564	Prbh.g_01085
OG0000287	Syan.g_00593	Prbh.g_01342
OG0000288	Syan.g_00364	Prbh.g_01120
OG0000289	Syan.g_00350	Prbh.g_01135
OG0000290	Syan.g_00293	Prbh.g_01034
OG0000291	Syan.g_00291	Prbh.g_01032
OG0000292	Syan.g_01703	Prbh.g_01328
OG0000293	Syan.g_02709	Prbh.g_01293
OG0000294	Syan.g_02708	Prbh.g_01292
OG0000295	Syan.g_02662	Prbh.g_01268
OG0000296	Syan.g_02660	Prbh.g_01266
OG0000297	Syan.g_02646	Prbh.g_01257
OG0000298	Syan.g_02645	Prbh.g_01256
OG0000299	Syan.g_02601	Prbh.g_01237
OG0000300	Syan.g_02593, Syan.g_02594	Prbh.g_01234
OG0000301	Syan.g_02592	Prbh.g_01233
OG0000302	Syan.g_02591	Prbh.g_01231
OG0000303	Syan.g_02582	Prbh.g_01225
OG0000304	Syan.g_02556	Prbh.g_01450
OG0000305	Syan.g_00195	Prbh.g_01326
OG0000306	Syan.g_00087	Prbh.g_01017
OG0000307	Syan.g_02782	Prbh.g_00019
OG0000308	Syan.g_02784	Prbh.g_00020
OG0000309	Syan.g_02883	Prbh.g_00024
OG0000310	Syan.g_01304	Prbh.g_00082
OG0000311	Syan.g_01299	Prbh.g_00084
OG0000312	Syan.g_01290	Prbh.g_00087
OG0000313	Syan.g_01271	Prbh.g_00103
OG0000314	Syan.g_02823	Prbh.g_00126
OG0000315	Syan.g_02833	Prbh.g_00136
OG0000316	Syan.g_01354	Prbh.g_00162
OG0000317	Syan.g_01396	Prbh.g_01785
OG0000318	Syan.g_01401	Prbh.g_01781
OG0000319	Syan.g_01425	Prbh.g_01768
OG0000320	Syan.g_01427	Prbh.g_01766
OG0000321	Syan.g_01428	Prbh.g_01765
OG0000322	Syan.g_01429	Prbh.g_01764
OG0000323	Syan.g_01442	Prbh.g_01755
OG0000324	Syan.g_01472	Prbh.g_01727
OG0000325	Syan.g_02107	Prbh.g_01717
OG0000326	Syan.g_02114	Prbh.g_01710
OG0000327	Syan.g_02244	Prbh.g_01686
OG0000328	Syan.g_02243	Prbh.g_01685
OG0000329	Syan.g_02225	Prbh.g_01668
OG0000330	Syan.g_02224	Prbh.g_01667
OG0000331	Syan.g_02223	Prbh.g_01666
OG0000332	Syan.g_02208	Prbh.g_01652
OG0000333	Syan.g_02205	Prbh.g_01650
OG0000334	Syan.g_00247, Syan.g_02194	Prbh.g_01641
OG0000335	Syan.g_02189	Prbh.g_01636
OG0000336	Syan.g_02185	Prbh.g_01632
OG0000337	Syan.g_01949	Prbh.g_01613
OG0000338	Syan.g_01943	Prbh.g_01612
OG0000339	Syan.g_01935, Syan.g_00264	Prbh.g_01606
OG0000340	Syan.g_01923	Prbh.g_01597
OG0000341	Syan.g_01921	Prbh.g_01595
OG0000342	Syan.g_01920	Prbh.g_01594
OG0000343	Syan.g_01918	Prbh.g_01593
OG0000344	Syan.g_01914	Prbh.g_01590
OG0000345	Syan.g_01900	Prbh.g_01584
OG0000346	Syan.g_01895	Prbh.g_01580
OG0000347	Syan.g_01867	Prbh.g_01563
OG0000348	Syan.g_01803	Prbh.g_01555
OG0000349	Syan.g_01727	Prbh.g_01537
OG0000350	Syan.g_02121	Prbh.g_01516
OG0000351	Syan.g_01682	Prbh.g_01497
OG0000352	Syan.g_01683	Prbh.g_01496
OG0000353	Syan.g_01795	Prbh.g_01477
OG0000355	Syan.g_01797	Prbh.g_01475
OG0000356	Syan.g_01798	Prbh.g_01474
OG0000357	Syan.g_01800	Prbh.g_01473
OG0000358	Syan.g_01773	Prbh.g_01469
OG0000359	Syan.g_01771	Prbh.g_01468
OG0000360	Syan.g_01770	Prbh.g_01467
OG0000361	Syan.g_01769	Prbh.g_01466
OG0000362	Syan.g_01767	Prbh.g_01952
OG0000363	Syan.g_01765	Prbh.g_00766
OG0000364	Syan.g_01398	Prbh.g_00765
OG0000365	Syan.g_01755	Prbh.g_00760
OG0000366	Syan.g_01754	Prbh.g_00759
OG0000367	Syan.g_01753	Prbh.g_00758
OG0000368	Syan.g_01751	Prbh.g_00756
OG0000369	Syan.g_01750	Prbh.g_00755
OG0000370	Syan.g_01749	Prbh.g_00754
OG0000371	Syan.g_01740	Prbh.g_00748
OG0000372	Syan.g_01734	Prbh.g_00746
OG0000373	Syan.g_01733	Prbh.g_00745
OG0000374	Syan.g_01732	Prbh.g_00744
OG0000375	Syan.g_01731	Prbh.g_00743
OG0000376	Syan.g_01729	Prbh.g_00741
OG0000377	Syan.g_01555	Prbh.g_00737
OG0000378	Syan.g_01543	Prbh.g_00733
OG0000379	Syan.g_01539	Prbh.g_00730
OG0000380	Syan.g_02905	Prbh.g_00717
OG0000381	Syan.g_02908	Prbh.g_00712
OG0000382	Syan.g_02925	Prbh.g_00702
OG0000383	Syan.g_02936	Prbh.g_00700
OG0000384	Syan.g_02937	Prbh.g_00699
OG0000385	Syan.g_02938	Prbh.g_00698
OG0000386	Syan.g_02939	Prbh.g_00697
OG0000387	Syan.g_00967	Prbh.g_00684
OG0000388	Syan.g_02970	Prbh.g_00680
OG0000389	Syan.g_02973	Prbh.g_00677
OG0000390	Syan.g_02306	Prbh.g_00668
OG0000391	Syan.g_02301	Prbh.g_00665
OG0000392	Syan.g_02295	Prbh.g_00661
OG0000393	Syan.g_02292	Prbh.g_00658
OG0000394	Syan.g_02291	Prbh.g_00657
OG0000395	Syan.g_02290	Prbh.g_00656
OG0000396	Syan.g_02287	Prbh.g_00654
OG0000397	Syan.g_02285	Prbh.g_00652
OG0000398	Syan.g_02279	Prbh.g_00649
OG0000399	Syan.g_02278	Prbh.g_00648
OG0000400	Syan.g_02277	Prbh.g_00647
OG0000401	Syan.g_02274	Prbh.g_00646
OG0000402	Syan.g_02272	Prbh.g_01144
OG0000403	Syan.g_02271	Prbh.g_00644
OG0000404	Syan.g_02269	Prbh.g_00643
OG0000405	Syan.g_03005	Prbh.g_00639
OG0000406	Syan.g_03010	Prbh.g_00635
OG0000407	Syan.g_03011	Prbh.g_00634
OG0000408	Syan.g_03013	Prbh.g_00632
OG0000409	Syan.g_03015	Prbh.g_00630
OG0000410	Syan.g_03016	Prbh.g_00629
OG0000411	Syan.g_03017	Prbh.g_00628
OG0000412	Syan.g_03018	Prbh.g_00627
OG0000413	Syan.g_03020	Prbh.g_00626
OG0000414	Syan.g_03021	Prbh.g_00625
OG0000415	Syan.g_03022	Prbh.g_00624
OG0000416	Syan.g_03023	Prbh.g_00623
OG0000417	Syan.g_03025	Prbh.g_00622
OG0000418	Syan.g_03030	Prbh.g_00617
OG0000419	Syan.g_03033	Prbh.g_00615
OG0000420	Syan.g_03035	Prbh.g_00614
OG0000421	Syan.g_03040	Prbh.g_00610
OG0000422	Syan.g_03041	Prbh.g_00609
OG0000423	Syan.g_03042	Prbh.g_00608
OG0000424	Syan.g_03043	Prbh.g_00607
OG0000425	Syan.g_03044	Prbh.g_00606
OG0000426	Syan.g_03045	Prbh.g_00605
OG0000427	Syan.g_03046	Prbh.g_00604
OG0000428	Syan.g_03049	Prbh.g_00602
OG0000429	Syan.g_03051	Prbh.g_00601
OG0000430	Syan.g_03053	Prbh.g_00600
OG0000431	Syan.g_03058	Prbh.g_00598
OG0000432	Syan.g_03065	Prbh.g_00594
OG0000433	Syan.g_03068	Prbh.g_00593
OG0000434	Syan.g_03069	Prbh.g_00592
OG0000435	Syan.g_03071	Prbh.g_00591
OG0000436	Syan.g_03079	Prbh.g_00586
OG0000437	Syan.g_03080	Prbh.g_00585
OG0000438	Syan.g_03083	Prbh.g_00584
OG0000439	Syan.g_03085	Prbh.g_00582
OG0000440	Syan.g_03086	Prbh.g_00581
OG0000441	Syan.g_03089	Prbh.g_00578
OG0000442	Syan.g_03090	Prbh.g_00577
OG0000443	Syan.g_03094	Prbh.g_00576
OG0000444	Syan.g_03102	Prbh.g_00571
OG0000445	Syan.g_03103	Prbh.g_00570
OG0000446	Syan.g_03105	Prbh.g_00569
OG0000447	Syan.g_03111	Prbh.g_00568
OG0000448	Syan.g_03112	Prbh.g_00567
OG0000449	Syan.g_03113	Prbh.g_00566
OG0000450	Syan.g_01518	Prbh.g_00565
OG0000451	Syan.g_01519	Prbh.g_00564
OG0000452	Syan.g_01523	Prbh.g_00561
OG0000453	Syan.g_01524	Prbh.g_00560
OG0000454	Syan.g_01525	Prbh.g_00559
OG0000455	Syan.g_01526	Prbh.g_00558
OG0000456	Syan.g_01527	Prbh.g_00557
OG0000457	Syan.g_01529	Prbh.g_00555
OG0000458	Syan.g_01530	Prbh.g_00554
OG0000459	Syan.g_01531	Prbh.g_00553
OG0000460	Syan.g_02423	Prbh.g_00545
OG0000461	Syan.g_02099	Prbh.g_00537
OG0000462	Syan.g_02096	Prbh.g_00535
OG0000463	Syan.g_02095	Prbh.g_00534
OG0000464	Syan.g_02094	Prbh.g_00533
OG0000465	Syan.g_02092	Prbh.g_00532
OG0000466	Syan.g_02087	Prbh.g_00529
OG0000467	Syan.g_02086	Prbh.g_00528
OG0000468	Syan.g_02063	Prbh.g_00525
OG0000469	Syan.g_02046	Prbh.g_00517
OG0000470	Syan.g_02044	Prbh.g_00515
OG0000471	Syan.g_02043	Prbh.g_00514
OG0000472	Syan.g_02041	Prbh.g_00513
OG0000473	Syan.g_02039	Prbh.g_00511
OG0000474	Syan.g_02038	Prbh.g_00510
OG0000475	Syan.g_02037	Prbh.g_00509
OG0000476	Syan.g_02035	Prbh.g_00507
OG0000477	Syan.g_02029	Prbh.g_00504
OG0000478	Syan.g_02028	Prbh.g_00503
OG0000479	Syan.g_02027	Prbh.g_00502
OG0000480	Syan.g_02020	Prbh.g_00497
OG0000481	Syan.g_00975	Prbh.g_00494
OG0000482	Syan.g_02018	Prbh.g_00493
OG0000483	Syan.g_02014	Prbh.g_00490
OG0000484	Syan.g_02013	Prbh.g_00489
OG0000485	Syan.g_02012	Prbh.g_00487
OG0000486	Syan.g_02011	Prbh.g_00486
OG0000487	Syan.g_02005	Prbh.g_00483
OG0000488	Syan.g_02000	Prbh.g_00480
OG0000489	Syan.g_01993	Prbh.g_00475
OG0000490	Syan.g_01985	Prbh.g_00471
OG0000491	Syan.g_01983	Prbh.g_00470
OG0000492	Syan.g_01980	Prbh.g_00468
OG0000493	Syan.g_01979	Prbh.g_00467
OG0000494	Syan.g_01978	Prbh.g_00466
OG0000495	Syan.g_01977	Prbh.g_00465
OG0000496	Syan.g_01976	Prbh.g_00464
OG0000497	Syan.g_01975	Prbh.g_00463
OG0000498	Syan.g_01974	Prbh.g_00462
OG0000499	Syan.g_01973	Prbh.g_00461
OG0000500	Syan.g_01972	Prbh.g_00460
OG0000501	Syan.g_01969	Prbh.g_00458
OG0000502	Syan.g_01961	Prbh.g_00455
OG0000503	Syan.g_02144	Prbh.g_00439
OG0000504	Syan.g_02142	Prbh.g_00437
OG0000505	Syan.g_02141	Prbh.g_00436
OG0000506	Syan.g_02139	Prbh.g_00435
OG0000507	Syan.g_02133	Prbh.g_00431
OG0000508	Syan.g_02998	Prbh.g_00427
OG0000509	Syan.g_02993	Prbh.g_00425
OG0000510	Syan.g_02992	Prbh.g_00424
OG0000511	Syan.g_02991	Prbh.g_00423
OG0000512	Syan.g_02989	Prbh.g_00421
OG0000513	Syan.g_02320	Prbh.g_00412
OG0000514	Syan.g_02326	Prbh.g_00401
OG0000515	Syan.g_02327	Prbh.g_00400
OG0000516	Syan.g_02389	Prbh.g_00399
OG0000517	Syan.g_02395	Prbh.g_00397
OG0000518	Syan.g_01336	Prbh.g_00386
OG0000519	Syan.g_01335	Prbh.g_00385
OG0000520	Syan.g_01334	Prbh.g_00384
OG0000521	Syan.g_02805	Prbh.g_00374
OG0000522	Syan.g_02803	Prbh.g_00372
OG0000523	Syan.g_02802	Prbh.g_00371
OG0000524	Syan.g_02878	Prbh.g_00367
OG0000525	Syan.g_02853	Prbh.g_00363
OG0000526	Syan.g_02852	Prbh.g_00361
OG0000527	Syan.g_02848	Prbh.g_00358
OG0000528	Syan.g_02767	Prbh.g_00353
OG0000529	Syan.g_02763	Prbh.g_00350
OG0000530	Syan.g_02760	Prbh.g_00347
OG0000531	Syan.g_02759	Prbh.g_00346
OG0000532	Syan.g_02756	Prbh.g_00344
OG0000533	Syan.g_02754	Prbh.g_00343
OG0000534	Syan.g_02753	Prbh.g_00342
OG0000535	Syan.g_02752	Prbh.g_00341
OG0000536	Syan.g_02751	Prbh.g_00340
OG0000537	Syan.g_02750	Prbh.g_00339
OG0000538	Syan.g_02738	Prbh.g_00329
OG0000539	Syan.g_02737	Prbh.g_00328
OG0000540	Syan.g_02736	Prbh.g_00327
OG0000541	Syan.g_02735	Prbh.g_00326
OG0000542	Syan.g_02732	Prbh.g_00325
OG0000543	Syan.g_02730	Prbh.g_00323
OG0000544	Syan.g_02729	Prbh.g_00322
OG0000545	Syan.g_02727	Prbh.g_00320
OG0000546	Syan.g_02725	Prbh.g_00317
OG0000547	Syan.g_02723	Prbh.g_00315
OG0000548	Syan.g_02722	Prbh.g_00314
OG0000549	Syan.g_01194	Prbh.g_00311
OG0000550	Syan.g_01189	Prbh.g_00306
OG0000551	Syan.g_01184	Prbh.g_00303
OG0000552	Syan.g_01183	Prbh.g_00302
OG0000553	Syan.g_01179	Prbh.g_00301
