Orthogroup	Syan	Syad
OG0000037	Syan.g_00136	Syad.g_02805
OG0000038	Syan.g_01569	Syad.g_03038
OG0000039	Syan.g_00535	Syad.g_01249, Syad.g_01111
OG0000040	Syan.g_01651	Syad.g_00104
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Syad.g_00333
OG0000044	Syan.g_00431, Syan.g_00435, Syan.g_01065	Syad.g_02214
OG0000045	Syan.g_00086	Syad.g_00964
OG0000046	Syan.g_02157, Syan.g_02160	Syad.g_00723
OG0000048	Syan.g_02036	Syad.g_00534
OG0000052	Syan.g_01954, Syan.g_01953	Syad.g_00434
OG0000053	Syan.g_02812	Syad.g_02302
OG0000057	Syan.g_00643, Syan.g_02514, Syan.g_00186	Syad.g_01301
OG0000058	Syan.g_01964	Syad.g_00452
OG0000059	Syan.g_02255	Syad.g_00642
OG0000060	Syan.g_02856	Syad.g_02370, Syad.g_00899
OG0000060	Syan.g_00277	Syad.g_01508
OG0000061	Syan.g_02696	Syad.g_01152
OG0000062	Syan.g_01380	Syad.g_02598
OG0000063	Syan.g_01739	Syad.g_00202
OG0000064	Syan.g_02518	Syad.g_00081, Syad.g_02125
OG0000066	Syan.g_01156	Syad.g_00992
OG0000067	Syan.g_00690	Syad.g_01889
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Syad.g_00891
OG0000070	Syan.g_00289	Syad.g_02424
OG0000071	Syan.g_01213	Syad.g_02405
OG0000072	Syan.g_03038	Syad.g_02905
OG0000073	Syan.g_02741	Syad.g_00926
OG0000075	Syan.g_00981, Syan.g_01937	Syad.g_00416
OG0000076	Syan.g_01896	Syad.g_00348
OG0000077	Syan.g_02919, Syan.g_02579	Syad.g_02741
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Syad.g_00824
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Syad.g_00565
OG0000082	Syan.g_00952	Syad.g_01063
OG0000084	Syan.g_01283	Syad.g_02272
OG0000085	Syan.g_01387	Syad.g_02612
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Syad.g_02770
OG0000087	Syan.g_02268	Syad.g_02860
OG0000088	Syan.g_03031	Syad.g_02899
OG0000089	Syan.g_02316	Syad.g_00785, Syad.g_02829
OG0000090	Syan.g_01166	Syad.g_00977
OG0000091	Syan.g_00235, Syan.g_00808	Syad.g_02144
OG0000092	Syan.g_02502	Syad.g_01190
OG0000093	Syan.g_00708	Syad.g_01905
OG0000094	Syan.g_00353	Syad.g_01676
OG0000095	Syan.g_00290	Syad.g_01290
OG0000098	Syan.g_00043	Syad.g_00625
OG0000099	Syan.g_01968	Syad.g_00460
OG0000100	Syan.g_00658	Syad.g_01846
OG0000102	Syan.g_01891	Syad.g_00343
OG0000104	Syan.g_01792	Syad.g_00158
OG0000105	Syan.g_02031	Syad.g_00530
OG0000106	Syan.g_00076	Syad.g_01993
OG0000107	Syan.g_02106	Syad.g_00590
OG0000108	Syan.g_02764	Syad.g_00904
OG0000110	Syan.g_00171, Syan.g_00882	Syad.g_01048
OG0000111	Syan.g_00187	Syad.g_01300
OG0000112	Syan.g_00556, Syan.g_00252	Syad.g_01766
OG0000113	Syan.g_00664	Syad.g_01851
OG0000114	Syan.g_00741	Syad.g_01617
OG0000115	Syan.g_02810	Syad.g_02300
OG0000116	Syan.g_02710, Syan.g_00460	Syad.g_01123
OG0000117	Syan.g_02644	Syad.g_01510
OG0000118	Syan.g_01241, Syan.g_01237	Syad.g_01104
OG0000119	Syan.g_02672	Syad.g_01168
OG0000120	Syan.g_01966	Syad.g_00459
OG0000121	Syan.g_01273	Syad.g_02280
OG0000123	Syan.g_02190	Syad.g_00701
OG0000124	Syan.g_01873	Syad.g_00320
OG0000125	Syan.g_01573	Syad.g_03040
OG0000126	Syan.g_01705	Syad.g_00156
OG0000128	Syan.g_01768	Syad.g_00174
OG0000129	Syan.g_01563	Syad.g_03028
OG0000130	Syan.g_02906, Syan.g_02907	Syad.g_02728
OG0000131	Syan.g_03008	Syad.g_02876
OG0000132	Syan.g_03029	Syad.g_02897
OG0000133	Syan.g_00561	Syad.g_01761
OG0000134	Syan.g_02319	Syad.g_00788
OG0000135	Syan.g_01616	Syad.g_00063
OG0000136	Syan.g_01342	Syad.g_02445
OG0000137	Syan.g_02846	Syad.g_02353
OG0000138	Syan.g_02747	Syad.g_00920
OG0000139	Syan.g_01160	Syad.g_00983
OG0000140	Syan.g_00042	Syad.g_00987
OG0000141	Syan.g_01032	Syad.g_02208
OG0000142	Syan.g_00816	Syad.g_02152
OG0000143	Syan.g_00812	Syad.g_02148
OG0000144	Syan.g_00782	Syad.g_02024
OG0000145	Syan.g_02740	Syad.g_00927
OG0000146	Syan.g_00555, Syan.g_00253	Syad.g_01767
OG0000147	Syan.g_00254, Syan.g_00554	Syad.g_01768
OG0000148	Syan.g_00670	Syad.g_01861
OG0000149	Syan.g_00393	Syad.g_01221
OG0000150	Syan.g_01031	Syad.g_02207, Syad.g_00989
OG0000151	Syan.g_00731	Syad.g_01956
OG0000152	Syan.g_00565	Syad.g_01757
OG0000153	Syan.g_00601	Syad.g_01713
OG0000154	Syan.g_00363	Syad.g_01686
OG0000155	Syan.g_02654	Syad.g_01189
OG0000156	Syan.g_02717	Syad.g_01116
OG0000157	Syan.g_02718	Syad.g_01115
OG0000158	Syan.g_01078, Syan.g_01926	Syad.g_00374
OG0000159	Syan.g_01126	Syad.g_00373
OG0000160	Syan.g_01274	Syad.g_02279
OG0000161	Syan.g_01268	Syad.g_02287
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Syad.g_02293
OG0000163	Syan.g_02405	Syad.g_02542
OG0000164	Syan.g_01440	Syad.g_02659
OG0000165	Syan.g_01448	Syad.g_02476
OG0000166	Syan.g_02239	Syad.g_00654
OG0000167	Syan.g_01941	Syad.g_00419
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Syad.g_00371
OG0000169	Syan.g_01912	Syad.g_00360
OG0000170	Syan.g_01901	Syad.g_00353
OG0000171	Syan.g_01875	Syad.g_00321
OG0000172	Syan.g_01810	Syad.g_00244
OG0000173	Syan.g_01720	Syad.g_00220
OG0000174	Syan.g_01619	Syad.g_00065
OG0000175	Syan.g_01678, Syan.g_00258	Syad.g_00129
OG0000176	Syan.g_01801	Syad.g_00166
OG0000177	Syan.g_01775	Syad.g_00167
OG0000178	Syan.g_01774	Syad.g_00168
OG0000179	Syan.g_01759	Syad.g_00183
OG0000180	Syan.g_01758	Syad.g_00184
OG0000181	Syan.g_01757	Syad.g_00185
OG0000182	Syan.g_01756	Syad.g_00186
OG0000183	Syan.g_01752	Syad.g_00190
OG0000184	Syan.g_01549	Syad.g_03018
OG0000185	Syan.g_01540	Syad.g_03006
OG0000186	Syan.g_02902	Syad.g_02722
OG0000187	Syan.g_02904	Syad.g_02724
OG0000188	Syan.g_02926	Syad.g_02759
OG0000189	Syan.g_02966	Syad.g_02788
OG0000190	Syan.g_00971	Syad.g_02790
OG0000191	Syan.g_02300	Syad.g_02824
OG0000192	Syan.g_02294	Syad.g_02834
OG0000193	Syan.g_03009	Syad.g_02877
OG0000194	Syan.g_03012	Syad.g_02880
OG0000196	Syan.g_03026	Syad.g_02894
OG0000197	Syan.g_03027	Syad.g_02895
OG0000198	Syan.g_03028	Syad.g_02896
OG0000199	Syan.g_03037	Syad.g_02904
OG0000200	Syan.g_03055	Syad.g_02921
OG0000201	Syan.g_03074	Syad.g_02937
OG0000202	Syan.g_03075	Syad.g_02938
OG0000203	Syan.g_03076	Syad.g_02939
OG0000204	Syan.g_03077	Syad.g_02940
OG0000205	Syan.g_03087	Syad.g_02948
OG0000206	Syan.g_03095	Syad.g_02955
OG0000207	Syan.g_03100	Syad.g_02957
OG0000208	Syan.g_03101	Syad.g_02958
OG0000209	Syan.g_01521	Syad.g_02981
OG0000210	Syan.g_01522	Syad.g_02982
OG0000211	Syan.g_02416	Syad.g_00813
OG0000212	Syan.g_01508, Syan.g_02438	Syad.g_00825
OG0000213	Syan.g_02059	Syad.g_00556
OG0000214	Syan.g_02040	Syad.g_00538
OG0000215	Syan.g_02010	Syad.g_00508
OG0000216	Syan.g_02006	Syad.g_00504, Syad.g_00285
OG0000217	Syan.g_02001	Syad.g_00500
OG0000218	Syan.g_01999	Syad.g_00498
OG0000219	Syan.g_01998	Syad.g_00497
OG0000220	Syan.g_01997	Syad.g_00496
OG0000221	Syan.g_01994	Syad.g_00488
OG0000222	Syan.g_01981	Syad.g_00473
OG0000223	Syan.g_00228	Syad.g_00451
OG0000224	Syan.g_01959	Syad.g_00444
OG0000225	Syan.g_02997	Syad.g_00777
OG0000226	Syan.g_02990	Syad.g_00781
OG0000227	Syan.g_02988	Syad.g_00783
OG0000228	Syan.g_02315	Syad.g_00784
OG0000229	Syan.g_02396	Syad.g_02450
OG0000230	Syan.g_02398	Syad.g_02448
OG0000232	Syan.g_02801	Syad.g_02392
OG0000233	Syan.g_02876	Syad.g_02382
OG0000234	Syan.g_02844	Syad.g_02351
OG0000235	Syan.g_02765	Syad.g_00903
OG0000236	Syan.g_02749	Syad.g_00918
OG0000237	Syan.g_02731	Syad.g_00936
OG0000238	Syan.g_02726	Syad.g_00941
OG0000239	Syan.g_01187	Syad.g_00957
OG0000240	Syan.g_01186	Syad.g_00958
OG0000241	Syan.g_00822	Syad.g_02160
OG0000242	Syan.g_01168	Syad.g_00975
OG0000243	Syan.g_00840	Syad.g_01000
OG0000244	Syan.g_00848	Syad.g_01012
OG0000245	Syan.g_00850	Syad.g_01014
OG0000246	Syan.g_00854	Syad.g_01017
OG0000247	Syan.g_00866	Syad.g_01029
OG0000248	Syan.g_00869	Syad.g_01032
OG0000249	Syan.g_00871	Syad.g_01034
OG0000250	Syan.g_00878	Syad.g_01044
OG0000251	Syan.g_00961	Syad.g_01071
OG0000252	Syan.g_00966	Syad.g_01078
OG0000253	Syan.g_01000	Syad.g_01081
OG0000254	Syan.g_01026	Syad.g_02203
OG0000255	Syan.g_00978	Syad.g_02185
OG0000256	Syan.g_00001, Syan.g_01135	Syad.g_02167
OG0000257	Syan.g_00827	Syad.g_02161
OG0000258	Syan.g_00803	Syad.g_02143
OG0000259	Syan.g_00772	Syad.g_01576
OG0000260	Syan.g_00769	Syad.g_01587
OG0000261	Syan.g_00765	Syad.g_01590
OG0000262	Syan.g_00760	Syad.g_01595
OG0000263	Syan.g_02618	Syad.g_01475
OG0000264	Syan.g_00540	Syad.g_01360
OG0000266	Syan.g_00330	Syad.g_01804
OG0000267	Syan.g_00470	Syad.g_01645
OG0000268	Syan.g_00471	Syad.g_01646
OG0000269	Syan.g_00695	Syad.g_01894
OG0000270	Syan.g_00692	Syad.g_01891
OG0000271	Syan.g_00684	Syad.g_01883
OG0000272	Syan.g_00683	Syad.g_01882
OG0000273	Syan.g_00654	Syad.g_01247
OG0000274	Syan.g_00653	Syad.g_01246
OG0000275	Syan.g_00373	Syad.g_01242
OG0000276	Syan.g_00380	Syad.g_01229
OG0000278	Syan.g_00384	Syad.g_01225
OG0000279	Syan.g_00398	Syad.g_01208
OG0000280	Syan.g_00518	Syad.g_01198
OG0000282	Syan.g_00739	Syad.g_01619
OG0000283	Syan.g_00491	Syad.g_01661
OG0000284	Syan.g_00497	Syad.g_01787
OG0000285	Syan.g_00533	Syad.g_01776
OG0000286	Syan.g_00564	Syad.g_01758
OG0000287	Syan.g_00593	Syad.g_01720
OG0000288	Syan.g_00364	Syad.g_01687
OG0000289	Syan.g_00350	Syad.g_01672
OG0000290	Syan.g_00293	Syad.g_01287
OG0000291	Syan.g_00291	Syad.g_01289
OG0000292	Syan.g_01703	Syad.g_00155
OG0000293	Syan.g_02709	Syad.g_01124
OG0000295	Syan.g_02662	Syad.g_01181
OG0000296	Syan.g_02660	Syad.g_01183
OG0000298	Syan.g_02645	Syad.g_01511
OG0000299	Syan.g_02601	Syad.g_01462
OG0000300	Syan.g_02593, Syan.g_02594	Syad.g_01455
OG0000301	Syan.g_02592	Syad.g_01454
OG0000302	Syan.g_02591	Syad.g_01453
OG0000303	Syan.g_02582	Syad.g_01442
OG0000304	Syan.g_02556	Syad.g_01436
OG0000305	Syan.g_00195	Syad.g_01292
OG0000306	Syan.g_00087	Syad.g_01989
OG0000307	Syan.g_02782	Syad.g_00883
OG0000308	Syan.g_02784	Syad.g_00881
OG0000309	Syan.g_02883	Syad.g_00876
OG0000310	Syan.g_01304	Syad.g_02250
OG0000311	Syan.g_01299	Syad.g_02254
OG0000312	Syan.g_01290	Syad.g_02265
OG0000313	Syan.g_01271	Syad.g_02284
OG0000314	Syan.g_02823	Syad.g_02313
OG0000315	Syan.g_02833	Syad.g_02323
OG0000316	Syan.g_01354	Syad.g_02564
OG0000317	Syan.g_01396	Syad.g_02620
OG0000318	Syan.g_01401	Syad.g_02624
OG0000319	Syan.g_01425	Syad.g_02642
OG0000320	Syan.g_01427	Syad.g_02644
OG0000321	Syan.g_01428	Syad.g_02645
OG0000322	Syan.g_01429	Syad.g_02646
OG0000323	Syan.g_01442	Syad.g_02661
OG0000324	Syan.g_01472	Syad.g_02505
OG0000325	Syan.g_02107	Syad.g_00591
OG0000327	Syan.g_02244	Syad.g_00649
OG0000328	Syan.g_02243	Syad.g_00650
OG0000329	Syan.g_02225	Syad.g_00668
OG0000330	Syan.g_02224	Syad.g_00669
OG0000331	Syan.g_02223	Syad.g_00670
OG0000332	Syan.g_02208	Syad.g_00685
OG0000333	Syan.g_02205	Syad.g_00688
OG0000334	Syan.g_00247, Syan.g_02194	Syad.g_00697
OG0000335	Syan.g_02189	Syad.g_00702
OG0000336	Syan.g_02185	Syad.g_00706
OG0000337	Syan.g_01949	Syad.g_00425, Syad.g_00427
OG0000338	Syan.g_01943	Syad.g_00421
OG0000339	Syan.g_01935, Syan.g_00264	Syad.g_00414
OG0000340	Syan.g_01923	Syad.g_00370
OG0000341	Syan.g_01921	Syad.g_00368
OG0000342	Syan.g_01920	Syad.g_00367
OG0000343	Syan.g_01918	Syad.g_00366
OG0000344	Syan.g_01914	Syad.g_00362
OG0000345	Syan.g_01900	Syad.g_00352
OG0000346	Syan.g_01895	Syad.g_00347
OG0000347	Syan.g_01867	Syad.g_00318
OG0000348	Syan.g_01803	Syad.g_00233
OG0000349	Syan.g_01727	Syad.g_00213
OG0000350	Syan.g_02121	Syad.g_00605
OG0000351	Syan.g_01682	Syad.g_00134
OG0000352	Syan.g_01683	Syad.g_00135
OG0000353	Syan.g_01795	Syad.g_00161
OG0000354	Syan.g_02720	Syad.g_00947
OG0000354	Syan.g_01761	Syad.g_00181
OG0000355	Syan.g_01797	Syad.g_00163
OG0000356	Syan.g_01798	Syad.g_00164
OG0000357	Syan.g_01800	Syad.g_00165
OG0000358	Syan.g_01773	Syad.g_00169
OG0000359	Syan.g_01771	Syad.g_00171
OG0000360	Syan.g_01770	Syad.g_00172
OG0000361	Syan.g_01769	Syad.g_00173
OG0000362	Syan.g_01767	Syad.g_00175
OG0000363	Syan.g_01765	Syad.g_00177
OG0000364	Syan.g_01398	Syad.g_00178
OG0000365	Syan.g_01755	Syad.g_00187
OG0000366	Syan.g_01754	Syad.g_00188
OG0000367	Syan.g_01753	Syad.g_00189
OG0000368	Syan.g_01751	Syad.g_00191
OG0000369	Syan.g_01750	Syad.g_00192
OG0000370	Syan.g_01749	Syad.g_00193
OG0000371	Syan.g_01740	Syad.g_00201
OG0000372	Syan.g_01734	Syad.g_00206
OG0000373	Syan.g_01733	Syad.g_00207
OG0000374	Syan.g_01732	Syad.g_00208
OG0000375	Syan.g_01731	Syad.g_00209
OG0000376	Syan.g_01729	Syad.g_00211
OG0000377	Syan.g_01555	Syad.g_03027
OG0000378	Syan.g_01543	Syad.g_03012
OG0000379	Syan.g_01539	Syad.g_03005
OG0000380	Syan.g_02905	Syad.g_02725
OG0000381	Syan.g_02908	Syad.g_02729
OG0000382	Syan.g_02925	Syad.g_02758
OG0000383	Syan.g_02936	Syad.g_02761
OG0000384	Syan.g_02937	Syad.g_02762
OG0000385	Syan.g_02938	Syad.g_02763
OG0000386	Syan.g_02939	Syad.g_02764
OG0000387	Syan.g_00967	Syad.g_02792
OG0000388	Syan.g_02970	Syad.g_02796
OG0000389	Syan.g_02973	Syad.g_02800
OG0000390	Syan.g_02306	Syad.g_02818
OG0000391	Syan.g_02301	Syad.g_02823
OG0000392	Syan.g_02295	Syad.g_02833
OG0000393	Syan.g_02292	Syad.g_02837
OG0000394	Syan.g_02291	Syad.g_02838
OG0000395	Syan.g_02290	Syad.g_02839
OG0000396	Syan.g_02287	Syad.g_02843
OG0000397	Syan.g_02285	Syad.g_02845
OG0000398	Syan.g_02279	Syad.g_02850
OG0000399	Syan.g_02278	Syad.g_02851
OG0000400	Syan.g_02277	Syad.g_02852
OG0000401	Syan.g_02274	Syad.g_02853
OG0000402	Syan.g_02272	Syad.g_02855
OG0000403	Syan.g_02271	Syad.g_02856
OG0000404	Syan.g_02269	Syad.g_02858
OG0000405	Syan.g_03005	Syad.g_02874
OG0000406	Syan.g_03010	Syad.g_02878
OG0000407	Syan.g_03011	Syad.g_02879
OG0000408	Syan.g_03013	Syad.g_02883
OG0000409	Syan.g_03015	Syad.g_02885
OG0000410	Syan.g_03016	Syad.g_02886
OG0000411	Syan.g_03017	Syad.g_02887
OG0000412	Syan.g_03018	Syad.g_02888
OG0000413	Syan.g_03020	Syad.g_02890
OG0000415	Syan.g_03022	Syad.g_02891
OG0000416	Syan.g_03023	Syad.g_02892
OG0000417	Syan.g_03025	Syad.g_02893
OG0000418	Syan.g_03030	Syad.g_02898
OG0000419	Syan.g_03033	Syad.g_02900
OG0000420	Syan.g_03035	Syad.g_02902
OG0000421	Syan.g_03040	Syad.g_02907
OG0000422	Syan.g_03041	Syad.g_02908
OG0000423	Syan.g_03042	Syad.g_02909
OG0000424	Syan.g_03043	Syad.g_02910
OG0000425	Syan.g_03044	Syad.g_02911
OG0000426	Syan.g_03045	Syad.g_02912
OG0000427	Syan.g_03046	Syad.g_02913
OG0000428	Syan.g_03049	Syad.g_02916
OG0000429	Syan.g_03051	Syad.g_02918
OG0000430	Syan.g_03053	Syad.g_02920
OG0000431	Syan.g_03058	Syad.g_02923
OG0000432	Syan.g_03065	Syad.g_02930
OG0000433	Syan.g_03068	Syad.g_02933
OG0000434	Syan.g_03069	Syad.g_02934
OG0000435	Syan.g_03071	Syad.g_02936
OG0000436	Syan.g_03079	Syad.g_02942
OG0000437	Syan.g_03080	Syad.g_02943
OG0000438	Syan.g_03083	Syad.g_02944
OG0000439	Syan.g_03085	Syad.g_02946
OG0000440	Syan.g_03086	Syad.g_02947
OG0000441	Syan.g_03089	Syad.g_02951
OG0000442	Syan.g_03090	Syad.g_02952
OG0000443	Syan.g_03094	Syad.g_02953
OG0000444	Syan.g_03102	Syad.g_02964
OG0000445	Syan.g_03103	Syad.g_02965
OG0000446	Syan.g_03105	Syad.g_02967
OG0000447	Syan.g_03111	Syad.g_02970
OG0000448	Syan.g_03112	Syad.g_02971
OG0000449	Syan.g_03113	Syad.g_02972
OG0000450	Syan.g_01518	Syad.g_02978
OG0000451	Syan.g_01519	Syad.g_02979
OG0000452	Syan.g_01523	Syad.g_02983
OG0000453	Syan.g_01524	Syad.g_02984
OG0000454	Syan.g_01525	Syad.g_02985
OG0000455	Syan.g_01526	Syad.g_02986
OG0000456	Syan.g_01527	Syad.g_02987
OG0000457	Syan.g_01529	Syad.g_02989
OG0000458	Syan.g_01530	Syad.g_02998
OG0000459	Syan.g_01531	Syad.g_02999
OG0000460	Syan.g_02423	Syad.g_00815
OG0000461	Syan.g_02099	Syad.g_00579
OG0000462	Syan.g_02096	Syad.g_00576
OG0000463	Syan.g_02095	Syad.g_00575
OG0000464	Syan.g_02094	Syad.g_00574
OG0000465	Syan.g_02092	Syad.g_00573
OG0000466	Syan.g_02087	Syad.g_00568
OG0000467	Syan.g_02086	Syad.g_00566
OG0000468	Syan.g_02063	Syad.g_00561
OG0000469	Syan.g_02046	Syad.g_00545
OG0000470	Syan.g_02044	Syad.g_00542
OG0000471	Syan.g_02043	Syad.g_00541
OG0000472	Syan.g_02041	Syad.g_00539
OG0000473	Syan.g_02039	Syad.g_00537
OG0000474	Syan.g_02038	Syad.g_00536
OG0000475	Syan.g_02037	Syad.g_00535
OG0000476	Syan.g_02035	Syad.g_00533
OG0000477	Syan.g_02029	Syad.g_00528
OG0000478	Syan.g_02028	Syad.g_00527
OG0000479	Syan.g_02027	Syad.g_00526
OG0000480	Syan.g_02020	Syad.g_00520
OG0000481	Syan.g_00975	Syad.g_00518
OG0000482	Syan.g_02018	Syad.g_00517
OG0000483	Syan.g_02014	Syad.g_00513
OG0000484	Syan.g_02013	Syad.g_00512
OG0000485	Syan.g_02012	Syad.g_00511
OG0000486	Syan.g_02011	Syad.g_00510
OG0000487	Syan.g_02005	Syad.g_00503
OG0000488	Syan.g_02000	Syad.g_00499
OG0000489	Syan.g_01993	Syad.g_00487
OG0000490	Syan.g_01985	Syad.g_00475
OG0000491	Syan.g_01983	Syad.g_00474
OG0000492	Syan.g_01980	Syad.g_00472
OG0000493	Syan.g_01979	Syad.g_00471
OG0000494	Syan.g_01978	Syad.g_00470
OG0000495	Syan.g_01977	Syad.g_00469
OG0000496	Syan.g_01976	Syad.g_00468
OG0000497	Syan.g_01975	Syad.g_00467
OG0000498	Syan.g_01974	Syad.g_00466
OG0000499	Syan.g_01973	Syad.g_00465
OG0000500	Syan.g_01972	Syad.g_00464
OG0000501	Syan.g_01969	Syad.g_00461
OG0000502	Syan.g_01961	Syad.g_00449
OG0000503	Syan.g_02144	Syad.g_00761
OG0000504	Syan.g_02142	Syad.g_00763
OG0000505	Syan.g_02141	Syad.g_00764
OG0000506	Syan.g_02139	Syad.g_00766
OG0000507	Syan.g_02133	Syad.g_00772
OG0000508	Syan.g_02998	Syad.g_00776
OG0000509	Syan.g_02993	Syad.g_00778
OG0000510	Syan.g_02992	Syad.g_00779
OG0000511	Syan.g_02991	Syad.g_00780
OG0000512	Syan.g_02989	Syad.g_00782
OG0000513	Syan.g_02320	Syad.g_00789
OG0000514	Syan.g_02326	Syad.g_00795
OG0000515	Syan.g_02327	Syad.g_00796
OG0000516	Syan.g_02389	Syad.g_02456
OG0000517	Syan.g_02395	Syad.g_02451
OG0000518	Syan.g_01336	Syad.g_02439
OG0000519	Syan.g_01335	Syad.g_02438
OG0000520	Syan.g_01334	Syad.g_02437
OG0000521	Syan.g_02805	Syad.g_01108
OG0000522	Syan.g_02803	Syad.g_01109
OG0000523	Syan.g_02802	Syad.g_01110
OG0000524	Syan.g_02878	Syad.g_02386
OG0000525	Syan.g_02853	Syad.g_02363
OG0000526	Syan.g_02852	Syad.g_02360
OG0000527	Syan.g_02848	Syad.g_02355
OG0000528	Syan.g_02767	Syad.g_00897
OG0000529	Syan.g_02763	Syad.g_00905
OG0000530	Syan.g_02760	Syad.g_00908
OG0000531	Syan.g_02759	Syad.g_00909
OG0000532	Syan.g_02756	Syad.g_00912
OG0000533	Syan.g_02754	Syad.g_00913
OG0000534	Syan.g_02753	Syad.g_00914
OG0000535	Syan.g_02752	Syad.g_00915
OG0000536	Syan.g_02751	Syad.g_00916
OG0000537	Syan.g_02750	Syad.g_00917
OG0000538	Syan.g_02738	Syad.g_00929
OG0000539	Syan.g_02737	Syad.g_00930
OG0000540	Syan.g_02736	Syad.g_00931
OG0000541	Syan.g_02735	Syad.g_00932
OG0000542	Syan.g_02732	Syad.g_00935
OG0000543	Syan.g_02730	Syad.g_00937
OG0000544	Syan.g_02729	Syad.g_00938
OG0000545	Syan.g_02727	Syad.g_00940
OG0000546	Syan.g_02725	Syad.g_00942
OG0000547	Syan.g_02723	Syad.g_00944
OG0000548	Syan.g_02722	Syad.g_00945
OG0000549	Syan.g_01194	Syad.g_00952
OG0000550	Syan.g_01189	Syad.g_00956
OG0000551	Syan.g_01184	Syad.g_00960
OG0000552	Syan.g_01183	Syad.g_00961
OG0000553	Syan.g_01179	Syad.g_00965
OG0000554	Syan.g_01165	Syad.g_00978
OG0000555	Syan.g_00839	Syad.g_00999
OG0000556	Syan.g_00842	Syad.g_01003
OG0000557	Syan.g_00847	Syad.g_01011
OG0000558	Syan.g_00849	Syad.g_01013
OG0000559	Syan.g_00853	Syad.g_01016
OG0000560	Syan.g_00856	Syad.g_01019
OG0000561	Syan.g_00857	Syad.g_01020
OG0000562	Syan.g_00858	Syad.g_01021
OG0000563	Syan.g_00859	Syad.g_01022
OG0000564	Syan.g_00860	Syad.g_01023
OG0000565	Syan.g_00864	Syad.g_01027
OG0000566	Syan.g_00868	Syad.g_01031
OG0000567	Syan.g_00872	Syad.g_01035
OG0000568	Syan.g_00874	Syad.g_01040
OG0000569	Syan.g_00875	Syad.g_01041
OG0000570	Syan.g_00876	Syad.g_01042
OG0000571	Syan.g_00879	Syad.g_01046
OG0000572	Syan.g_00954	Syad.g_01064
OG0000573	Syan.g_00963	Syad.g_01072
OG0000574	Syan.g_00965	Syad.g_01077
OG0000575	Syan.g_01003	Syad.g_01083
OG0000576	Syan.g_01007	Syad.g_01085
OG0000577	Syan.g_01008	Syad.g_01086
OG0000578	Syan.g_01009	Syad.g_01087
OG0000579	Syan.g_01010	Syad.g_01088
OG0000580	Syan.g_01011	Syad.g_01089
OG0000581	Syan.g_01018	Syad.g_01097
OG0000582	Syan.g_01030	Syad.g_02206
