Orthogroup	Syan	Pray
OG0000069	Syan.g_00459, Syan.g_00278	Pray.g_01609
OG0000070	Syan.g_00289	Pray.g_00940
OG0000071	Syan.g_01213	Pray.g_01870
OG0000072	Syan.g_03038, Syan.g_02999	Pray.g_00652
OG0000073	Syan.g_02741	Pray.g_00990
OG0000075	Syan.g_00981, Syan.g_01937	Pray.g_01339
OG0000076	Syan.g_01896	Pray.g_01364
OG0000077	Syan.g_02919, Syan.g_02579	Pray.g_00211
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Pray.g_00720
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Pray.g_00733
OG0000082	Syan.g_00952	Pray.g_01177
OG0000084	Syan.g_01283	Pray.g_01726
OG0000085	Syan.g_01387	Pray.g_01566
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Pray.g_00201
OG0000087	Syan.g_02268	Pray.g_00150
OG0000088	Syan.g_03031	Pray.g_00647
OG0000089	Syan.g_02316	Pray.g_00834
OG0000090	Syan.g_01166	Pray.g_01024, Pray.g_01228
OG0000091	Syan.g_00235, Syan.g_00808	Pray.g_01121
OG0000092	Syan.g_02502	Pray.g_01325
OG0000093	Syan.g_00708	Pray.g_00479
OG0000094	Syan.g_00353, Syan.g_00065	Pray.g_00565
OG0000095	Syan.g_00290	Pray.g_00584
OG0000097	Syan.g_00160, Syan.g_00733	Pray.g_00022
OG0000098	Syan.g_00043	Pray.g_01847
OG0000099	Syan.g_01968	Pray.g_01788
OG0000100	Syan.g_00658	Pray.g_01648
OG0000101	Syan.g_02199	Pray.g_01306
OG0000102	Syan.g_01891	Pray.g_01369
OG0000103	Syan.g_01692	Pray.g_01449
OG0000104	Syan.g_01792	Pray.g_01457
OG0000105	Syan.g_02031	Pray.g_00753
OG0000106	Syan.g_00076	Pray.g_00848
OG0000107	Syan.g_02106	Pray.g_00864
OG0000108	Syan.g_02764	Pray.g_00970
OG0000109	Syan.g_02748	Pray.g_00984
OG0000110	Syan.g_00171, Syan.g_00882	Pray.g_01187
OG0000111	Syan.g_00187	Pray.g_01064
OG0000112	Syan.g_00556, Syan.g_00252	Pray.g_00313
OG0000113	Syan.g_00664	Pray.g_00370
OG0000114	Syan.g_00741	Pray.g_00452
OG0000115	Syan.g_02810	Pray.g_00126
OG0000116	Syan.g_02710, Syan.g_00460	Pray.g_00074
OG0000117	Syan.g_02644	Pray.g_01927
OG0000118	Syan.g_01241, Syan.g_01237	Pray.g_01858
OG0000119	Syan.g_02672	Pray.g_01833
OG0000120	Syan.g_01966	Pray.g_01808
OG0000121	Syan.g_01273	Pray.g_01720
OG0000123	Syan.g_02190	Pray.g_01313
OG0000124	Syan.g_01873	Pray.g_01380
OG0000125	Syan.g_01573	Pray.g_01417
OG0000126	Syan.g_01705	Pray.g_01456
OG0000128	Syan.g_01768	Pray.g_01473
OG0000129	Syan.g_01563	Pray.g_00239
OG0000130	Syan.g_02906, Syan.g_02907	Pray.g_00220
OG0000131	Syan.g_03008	Pray.g_00144
OG0000132	Syan.g_03029	Pray.g_00645
OG0000133	Syan.g_00561	Pray.g_00800
OG0000134	Syan.g_02319	Pray.g_00835
OG0000135	Syan.g_01616	Pray.g_00861
OG0000136	Syan.g_01342	Pray.g_00931
OG0000137	Syan.g_02846	Pray.g_00965
OG0000138	Syan.g_02747	Pray.g_00985
OG0000139	Syan.g_01160	Pray.g_01224
OG0000140	Syan.g_00042	Pray.g_01223
OG0000141	Syan.g_01032	Pray.g_01156
OG0000142	Syan.g_00816	Pray.g_01128
OG0000143	Syan.g_00812	Pray.g_01124
OG0000144	Syan.g_00782	Pray.g_01111
OG0000145	Syan.g_02740	Pray.g_00306
OG0000146	Syan.g_00555, Syan.g_00253	Pray.g_00314
OG0000147	Syan.g_00254, Syan.g_00554	Pray.g_00315
OG0000148	Syan.g_00670	Pray.g_00364
OG0000149	Syan.g_00393	Pray.g_00395
OG0000150	Syan.g_01031	Pray.g_00403
OG0000151	Syan.g_00731	Pray.g_00462
OG0000152	Syan.g_00565	Pray.g_00511
OG0000153	Syan.g_00601	Pray.g_00530
OG0000154	Syan.g_00363	Pray.g_00558
OG0000155	Syan.g_02654	Pray.g_00043
OG0000156	Syan.g_02717	Pray.g_01881
OG0000157	Syan.g_02718	Pray.g_01880
OG0000158	Syan.g_01078, Syan.g_01926	Pray.g_01787
OG0000159	Syan.g_01120	Pray.g_01785
OG0000160	Syan.g_01274	Pray.g_01721
OG0000161	Syan.g_01268	Pray.g_01715
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Pray.g_01709
OG0000163	Syan.g_02405	Pray.g_01675
OG0000164	Syan.g_01440	Pray.g_01535
OG0000165	Syan.g_01448	Pray.g_01528
OG0000166	Syan.g_02239	Pray.g_01270
OG0000167	Syan.g_01941	Pray.g_01337
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Pray.g_01347
OG0000169	Syan.g_01912	Pray.g_01357
OG0000170	Syan.g_01901	Pray.g_01359
OG0000171	Syan.g_01875	Pray.g_01379
OG0000172	Syan.g_01810	Pray.g_01388
OG0000173	Syan.g_01720	Pray.g_01403
OG0000174	Syan.g_01619	Pray.g_01431
OG0000175	Syan.g_01678, Syan.g_00258	Pray.g_01441
OG0000176	Syan.g_01801	Pray.g_01465, Pray.g_01466
OG0000177	Syan.g_01775	Pray.g_01467
OG0000178	Syan.g_01774	Pray.g_01468
OG0000179	Syan.g_01759	Pray.g_01478
OG0000180	Syan.g_01758	Pray.g_01479
OG0000181	Syan.g_01757	Pray.g_01480
OG0000182	Syan.g_01756	Pray.g_01481
OG0000183	Syan.g_01752	Pray.g_01485
OG0000184	Syan.g_01549	Pray.g_00237
OG0000185	Syan.g_01540	Pray.g_00234
OG0000186	Syan.g_02902	Pray.g_00225
OG0000187	Syan.g_02904	Pray.g_00224
OG0000188	Syan.g_02926	Pray.g_00207
OG0000189	Syan.g_02966	Pray.g_00193
OG0000190	Syan.g_00971	Pray.g_00192
OG0000191	Syan.g_02300	Pray.g_00172
OG0000192	Syan.g_02294	Pray.g_00168
OG0000193	Syan.g_03009	Pray.g_00143
OG0000194	Syan.g_03012	Pray.g_00140
OG0000195	Syan.g_03014	Pray.g_00138
OG0000196	Syan.g_03026	Pray.g_00642
OG0000197	Syan.g_03027	Pray.g_00643
OG0000198	Syan.g_03028	Pray.g_00644
OG0000199	Syan.g_03037	Pray.g_00651
OG0000200	Syan.g_03055	Pray.g_00665
OG0000201	Syan.g_03074	Pray.g_00673
OG0000202	Syan.g_03075	Pray.g_00674
OG0000203	Syan.g_03076	Pray.g_00675
OG0000204	Syan.g_03077	Pray.g_00676
OG0000205	Syan.g_03087	Pray.g_00683
OG0000206	Syan.g_03095	Pray.g_00688
OG0000207	Syan.g_03100	Pray.g_00690
OG0000208	Syan.g_03101	Pray.g_00691
OG0000209	Syan.g_01521	Pray.g_00700
OG0000210	Syan.g_01522	Pray.g_00701
OG0000211	Syan.g_02416	Pray.g_00714
OG0000212	Syan.g_01508, Syan.g_02438	Pray.g_00721
OG0000213	Syan.g_02059	Pray.g_00738
OG0000214	Syan.g_02040	Pray.g_00747
OG0000215	Syan.g_02010	Pray.g_00771
OG0000216	Syan.g_02006	Pray.g_00772
OG0000217	Syan.g_02001	Pray.g_00775
OG0000218	Syan.g_01999	Pray.g_00777
OG0000219	Syan.g_01998	Pray.g_00778
OG0000220	Syan.g_01997	Pray.g_00779
OG0000221	Syan.g_01994	Pray.g_00780
OG0000222	Syan.g_01981	Pray.g_00788
OG0000223	Syan.g_00228	Pray.g_00801
OG0000224	Syan.g_01959	Pray.g_00803
OG0000225	Syan.g_02997	Pray.g_00824
OG0000226	Syan.g_02990	Pray.g_00828
OG0000227	Syan.g_02988	Pray.g_00830
OG0000228	Syan.g_02315	Pray.g_00833
OG0000229	Syan.g_02396	Pray.g_00926
OG0000230	Syan.g_02398	Pray.g_00928
OG0000231	Syan.g_01333	Pray.g_00939
OG0000232	Syan.g_02801	Pray.g_00948
OG0000233	Syan.g_02876	Pray.g_00953
OG0000234	Syan.g_02844	Pray.g_00966
OG0000235	Syan.g_02765	Pray.g_00969
OG0000236	Syan.g_02749	Pray.g_00983
OG0000237	Syan.g_02731	Pray.g_00997
OG0000238	Syan.g_02726	Pray.g_01003
OG0000239	Syan.g_01187	Pray.g_01016
OG0000240	Syan.g_01186	Pray.g_01017
OG0000241	Syan.g_00822	Pray.g_01021
OG0000242	Syan.g_01168	Pray.g_01023
OG0000243	Syan.g_00840	Pray.g_01218
OG0000244	Syan.g_00848	Pray.g_01215
OG0000245	Syan.g_00850	Pray.g_01213
OG0000246	Syan.g_00854	Pray.g_01209
OG0000247	Syan.g_00866	Pray.g_01199
OG0000248	Syan.g_00869	Pray.g_01197
OG0000249	Syan.g_00871	Pray.g_01195
OG0000250	Syan.g_00878	Pray.g_01190
OG0000251	Syan.g_00961	Pray.g_01172
OG0000252	Syan.g_00966	Pray.g_01169
OG0000253	Syan.g_01000	Pray.g_01168
OG0000254	Syan.g_01026	Pray.g_01152
OG0000255	Syan.g_00978	Pray.g_01146
OG0000256	Syan.g_00001, Syan.g_01135	Pray.g_01136
OG0000257	Syan.g_00827	Pray.g_01133
OG0000258	Syan.g_00803	Pray.g_01120
OG0000259	Syan.g_00772	Pray.g_01103
OG0000260	Syan.g_00769	Pray.g_01100
OG0000261	Syan.g_00765	Pray.g_01098
OG0000262	Syan.g_00760	Pray.g_01094
OG0000263	Syan.g_02618	Pray.g_01082
OG0000264	Syan.g_00540	Pray.g_01072
OG0000266	Syan.g_00330	Pray.g_01030
OG0000267	Syan.g_00470	Pray.g_00274
OG0000268	Syan.g_00471	Pray.g_00275
OG0000269	Syan.g_00695	Pray.g_00343
OG0000270	Syan.g_00692	Pray.g_00346
OG0000271	Syan.g_00684	Pray.g_00354
OG0000272	Syan.g_00683	Pray.g_00355
OG0000273	Syan.g_00654	Pray.g_00378
OG0000274	Syan.g_00653	Pray.g_00379
OG0000275	Syan.g_00373	Pray.g_00382
OG0000276	Syan.g_00380	Pray.g_00387
OG0000277	Syan.g_00381	Pray.g_00388
OG0000278	Syan.g_00384	Pray.g_00391
OG0000279	Syan.g_00398	Pray.g_00398
OG0000280	Syan.g_00518	Pray.g_00399
OG0000282	Syan.g_00739	Pray.g_00454
OG0000283	Syan.g_00491	Pray.g_00488
OG0000284	Syan.g_00497	Pray.g_00493
OG0000285	Syan.g_00533	Pray.g_00498
OG0000286	Syan.g_00564	Pray.g_00510
OG0000287	Syan.g_00593	Pray.g_00527
OG0000288	Syan.g_00364	Pray.g_00557
OG0000289	Syan.g_00350	Pray.g_00568
OG0000290	Syan.g_00293	Pray.g_00581
OG0000291	Syan.g_00291	Pray.g_00583
OG0000292	Syan.g_01703	Pray.g_00632
OG0000293	Syan.g_02709	Pray.g_00073
OG0000294	Syan.g_02708	Pray.g_00072
OG0000295	Syan.g_02662	Pray.g_00051
OG0000296	Syan.g_02660	Pray.g_00049
OG0000297	Syan.g_02646	Pray.g_00041
OG0000298	Syan.g_02645	Pray.g_00040
OG0000299	Syan.g_02601	Pray.g_00023
OG0000300	Syan.g_02593, Syan.g_02594	Pray.g_00020
OG0000301	Syan.g_02592	Pray.g_00019
OG0000302	Syan.g_02591	Pray.g_00017
OG0000303	Syan.g_02582	Pray.g_00010
OG0000304	Syan.g_02556	Pray.g_00006
OG0000305	Syan.g_00195	Pray.g_01837
OG0000306	Syan.g_00087	Pray.g_01834
OG0000307	Syan.g_02782	Pray.g_01820
OG0000308	Syan.g_02784	Pray.g_01819
OG0000309	Syan.g_02883	Pray.g_01815
OG0000310	Syan.g_01304	Pray.g_01737
OG0000311	Syan.g_01299	Pray.g_01735
OG0000312	Syan.g_01290	Pray.g_01732
OG0000313	Syan.g_01271	Pray.g_01718
OG0000314	Syan.g_02823	Pray.g_01695
OG0000315	Syan.g_02833	Pray.g_01685
OG0000316	Syan.g_01354	Pray.g_01665
OG0000317	Syan.g_01396	Pray.g_01561
OG0000318	Syan.g_01401	Pray.g_01558
OG0000319	Syan.g_01425	Pray.g_01545
OG0000320	Syan.g_01427	Pray.g_01543
OG0000321	Syan.g_01428	Pray.g_01542
OG0000322	Syan.g_01429	Pray.g_01541
OG0000323	Syan.g_01442	Pray.g_01532
OG0000324	Syan.g_01472	Pray.g_01506
OG0000325	Syan.g_02107	Pray.g_01235
OG0000326	Syan.g_02114	Pray.g_01241
OG0000327	Syan.g_02244	Pray.g_01265
OG0000328	Syan.g_02243	Pray.g_01266
OG0000329	Syan.g_02225	Pray.g_01283
OG0000330	Syan.g_02224	Pray.g_01284
OG0000331	Syan.g_02223	Pray.g_01285
OG0000332	Syan.g_02208	Pray.g_01299
OG0000333	Syan.g_02205	Pray.g_01301
OG0000334	Syan.g_00247, Syan.g_02194	Pray.g_01309
OG0000335	Syan.g_02189	Pray.g_01314
OG0000336	Syan.g_02185	Pray.g_01318
OG0000337	Syan.g_01949	Pray.g_01335
OG0000338	Syan.g_01943	Pray.g_01336
OG0000339	Syan.g_01935, Syan.g_00264	Pray.g_01340
OG0000340	Syan.g_01923	Pray.g_01348
OG0000341	Syan.g_01921	Pray.g_01350
OG0000342	Syan.g_01920	Pray.g_01351
OG0000343	Syan.g_01918	Pray.g_01352
OG0000344	Syan.g_01914	Pray.g_01355
OG0000345	Syan.g_01900	Pray.g_01360
OG0000346	Syan.g_01895	Pray.g_01365
OG0000347	Syan.g_01867	Pray.g_01381
OG0000348	Syan.g_01803	Pray.g_01391
OG0000349	Syan.g_01727	Pray.g_01408
OG0000350	Syan.g_02121	Pray.g_01427
OG0000351	Syan.g_01682	Pray.g_01444
OG0000352	Syan.g_01683	Pray.g_01445
OG0000353	Syan.g_01795	Pray.g_01460
OG0000355	Syan.g_01797	Pray.g_01462
OG0000356	Syan.g_01798	Pray.g_01463
OG0000357	Syan.g_01800	Pray.g_01464
OG0000358	Syan.g_01773	Pray.g_01469
OG0000359	Syan.g_01771	Pray.g_01470
OG0000360	Syan.g_01770	Pray.g_01471
OG0000361	Syan.g_01769	Pray.g_01472
OG0000362	Syan.g_01767	Pray.g_01474
OG0000363	Syan.g_01765	Pray.g_01476
OG0000364	Syan.g_01398	Pray.g_01477
OG0000365	Syan.g_01755	Pray.g_01482
OG0000366	Syan.g_01754	Pray.g_01483
OG0000367	Syan.g_01753	Pray.g_01484
OG0000368	Syan.g_01751	Pray.g_01486
OG0000369	Syan.g_01750	Pray.g_01487
OG0000370	Syan.g_01749	Pray.g_01488
OG0000371	Syan.g_01740	Pray.g_01494
OG0000372	Syan.g_01734	Pray.g_01497
OG0000373	Syan.g_01733	Pray.g_01498
OG0000374	Syan.g_01732	Pray.g_01499
OG0000375	Syan.g_01731	Pray.g_00243
OG0000376	Syan.g_01729	Pray.g_00241
OG0000377	Syan.g_01555	Pray.g_00238
OG0000378	Syan.g_01543	Pray.g_00236
OG0000379	Syan.g_01539	Pray.g_00233
OG0000380	Syan.g_02905	Pray.g_00223
OG0000381	Syan.g_02908	Pray.g_00219
OG0000382	Syan.g_02925	Pray.g_00208
OG0000383	Syan.g_02936	Pray.g_00206
OG0000384	Syan.g_02937	Pray.g_00205
OG0000385	Syan.g_02938	Pray.g_00204
OG0000386	Syan.g_02939	Pray.g_00203
OG0000387	Syan.g_00967	Pray.g_00190
OG0000388	Syan.g_02970	Pray.g_00187
OG0000389	Syan.g_02973	Pray.g_00183
OG0000390	Syan.g_02306	Pray.g_00176
OG0000391	Syan.g_02301	Pray.g_00173
OG0000392	Syan.g_02295	Pray.g_00169
OG0000393	Syan.g_02292	Pray.g_00167
OG0000394	Syan.g_02291	Pray.g_00166
OG0000395	Syan.g_02290	Pray.g_00165
OG0000396	Syan.g_02287	Pray.g_00162
OG0000397	Syan.g_02285	Pray.g_00160
OG0000398	Syan.g_02279	Pray.g_00158
OG0000399	Syan.g_02278	Pray.g_00157
OG0000400	Syan.g_02277	Pray.g_00156
OG0000401	Syan.g_02274	Pray.g_00155
OG0000402	Syan.g_02272	Pray.g_00153
OG0000403	Syan.g_02271	Pray.g_00152
OG0000404	Syan.g_02269	Pray.g_00151
OG0000405	Syan.g_03005	Pray.g_00147
OG0000406	Syan.g_03010	Pray.g_00142
OG0000407	Syan.g_03011	Pray.g_00141
OG0000408	Syan.g_03013	Pray.g_00139
OG0000409	Syan.g_03015	Pray.g_00137
OG0000410	Syan.g_03016	Pray.g_00136
OG0000411	Syan.g_03017	Pray.g_00635
OG0000412	Syan.g_03018	Pray.g_00636
OG0000413	Syan.g_03020	Pray.g_00637
OG0000414	Syan.g_03021	Pray.g_00638
OG0000415	Syan.g_03022	Pray.g_00639
OG0000416	Syan.g_03023	Pray.g_00640
OG0000417	Syan.g_03025	Pray.g_00641
OG0000418	Syan.g_03030	Pray.g_00646
OG0000419	Syan.g_03033	Pray.g_00648
OG0000420	Syan.g_03035	Pray.g_00649
OG0000421	Syan.g_03040	Pray.g_00654
OG0000422	Syan.g_03041	Pray.g_00655
OG0000423	Syan.g_03042	Pray.g_00656
OG0000424	Syan.g_03043	Pray.g_00657
OG0000425	Syan.g_03044	Pray.g_00658
OG0000426	Syan.g_03045	Pray.g_00659
OG0000427	Syan.g_03046	Pray.g_00660
OG0000428	Syan.g_03049	Pray.g_00662
OG0000429	Syan.g_03051	Pray.g_00663
OG0000430	Syan.g_03053	Pray.g_00664
OG0000431	Syan.g_03058	Pray.g_00666
OG0000432	Syan.g_03065	Pray.g_00669
OG0000433	Syan.g_03068	Pray.g_00670
OG0000434	Syan.g_03069	Pray.g_00671
OG0000435	Syan.g_03071	Pray.g_00672
OG0000436	Syan.g_03079	Pray.g_00677
OG0000437	Syan.g_03080	Pray.g_00678
OG0000438	Syan.g_03083	Pray.g_00679
OG0000439	Syan.g_03085	Pray.g_00681
OG0000440	Syan.g_03086	Pray.g_00682
OG0000441	Syan.g_03089	Pray.g_00685
OG0000442	Syan.g_03090	Pray.g_00686
OG0000443	Syan.g_03094	Pray.g_00687
OG0000444	Syan.g_03102	Pray.g_00692
OG0000445	Syan.g_03103	Pray.g_00693
OG0000446	Syan.g_03105	Pray.g_00694
OG0000447	Syan.g_03111	Pray.g_00695
OG0000448	Syan.g_03112	Pray.g_00696
OG0000449	Syan.g_03113	Pray.g_00697
OG0000450	Syan.g_01518	Pray.g_00698
OG0000451	Syan.g_01519	Pray.g_00699
OG0000452	Syan.g_01523	Pray.g_00702
OG0000453	Syan.g_01524	Pray.g_00703
OG0000454	Syan.g_01525	Pray.g_00704
OG0000455	Syan.g_01526	Pray.g_00705
OG0000456	Syan.g_01527	Pray.g_00706
OG0000457	Syan.g_01529	Pray.g_00707
OG0000458	Syan.g_01530	Pray.g_00708
OG0000459	Syan.g_01531	Pray.g_00709
OG0000460	Syan.g_02423	Pray.g_00716
OG0000461	Syan.g_02099	Pray.g_00723
OG0000462	Syan.g_02096	Pray.g_00725
OG0000463	Syan.g_02095	Pray.g_00726
OG0000464	Syan.g_02094	Pray.g_00727
OG0000465	Syan.g_02092	Pray.g_00728
OG0000466	Syan.g_02087	Pray.g_00731
OG0000467	Syan.g_02086	Pray.g_00732
OG0000468	Syan.g_02063	Pray.g_00734
OG0000469	Syan.g_02046	Pray.g_00742
OG0000470	Syan.g_02044	Pray.g_00744
OG0000471	Syan.g_02043	Pray.g_00745
OG0000472	Syan.g_02041	Pray.g_00746
OG0000473	Syan.g_02039	Pray.g_00748
OG0000474	Syan.g_02038	Pray.g_00749
OG0000475	Syan.g_02037	Pray.g_00750
OG0000476	Syan.g_02035	Pray.g_00751
OG0000477	Syan.g_02029	Pray.g_00754
OG0000478	Syan.g_02028	Pray.g_00755
OG0000479	Syan.g_02027	Pray.g_00756
OG0000480	Syan.g_02020	Pray.g_00761
OG0000481	Syan.g_00975	Pray.g_00763
OG0000482	Syan.g_02018	Pray.g_00764
OG0000483	Syan.g_02014	Pray.g_00767
OG0000484	Syan.g_02013	Pray.g_00768
OG0000485	Syan.g_02012	Pray.g_00769
OG0000486	Syan.g_02011	Pray.g_00770
OG0000487	Syan.g_02005	Pray.g_00773
OG0000488	Syan.g_02000	Pray.g_00776
OG0000489	Syan.g_01993	Pray.g_00781
OG0000490	Syan.g_01985	Pray.g_00786
OG0000491	Syan.g_01983	Pray.g_00787
OG0000492	Syan.g_01980	Pray.g_00789
OG0000493	Syan.g_01979	Pray.g_00790
OG0000494	Syan.g_01978	Pray.g_00791
OG0000495	Syan.g_01977	Pray.g_00792
OG0000496	Syan.g_01976	Pray.g_00793
OG0000497	Syan.g_01975	Pray.g_00794
OG0000498	Syan.g_01974	Pray.g_00795
OG0000499	Syan.g_01973	Pray.g_00796
OG0000500	Syan.g_01972	Pray.g_00797
OG0000501	Syan.g_01969	Pray.g_00799
OG0000502	Syan.g_01961	Pray.g_00802
OG0000503	Syan.g_02144	Pray.g_00812
OG0000504	Syan.g_02142	Pray.g_00813
OG0000505	Syan.g_02141	Pray.g_00814
OG0000506	Syan.g_02139	Pray.g_00816
OG0000507	Syan.g_02133	Pray.g_00819
OG0000508	Syan.g_02998	Pray.g_00823
OG0000509	Syan.g_02993	Pray.g_00825
OG0000510	Syan.g_02992	Pray.g_00826
OG0000511	Syan.g_02991	Pray.g_00827
OG0000512	Syan.g_02989	Pray.g_00829
OG0000513	Syan.g_02320	Pray.g_00836
OG0000514	Syan.g_02326	Pray.g_00921
OG0000515	Syan.g_02327	Pray.g_00922
OG0000516	Syan.g_02389	Pray.g_00923
OG0000517	Syan.g_02395	Pray.g_00925
OG0000518	Syan.g_01336	Pray.g_00936
OG0000519	Syan.g_01335	Pray.g_00937
OG0000520	Syan.g_01334	Pray.g_00938
OG0000521	Syan.g_02805	Pray.g_00943
OG0000522	Syan.g_02803	Pray.g_00945
OG0000523	Syan.g_02802	Pray.g_00946
OG0000524	Syan.g_02878	Pray.g_00951
OG0000525	Syan.g_02853	Pray.g_00954
OG0000526	Syan.g_02852	Pray.g_00955
OG0000527	Syan.g_02848	Pray.g_00963
OG0000528	Syan.g_02767	Pray.g_00968
OG0000529	Syan.g_02763	Pray.g_00971
OG0000530	Syan.g_02760	Pray.g_00974
OG0000531	Syan.g_02759	Pray.g_00975
OG0000532	Syan.g_02756	Pray.g_00977
OG0000533	Syan.g_02754	Pray.g_00978
OG0000534	Syan.g_02753	Pray.g_00979
OG0000535	Syan.g_02752	Pray.g_00980
OG0000536	Syan.g_02751	Pray.g_00981
OG0000537	Syan.g_02750	Pray.g_00982
OG0000538	Syan.g_02738	Pray.g_00991
OG0000539	Syan.g_02737	Pray.g_00992
OG0000540	Syan.g_02736	Pray.g_00993
OG0000541	Syan.g_02735	Pray.g_00994
OG0000542	Syan.g_02732	Pray.g_00996
OG0000543	Syan.g_02730	Pray.g_00998
OG0000544	Syan.g_02729	Pray.g_00999
OG0000545	Syan.g_02727	Pray.g_01001
OG0000546	Syan.g_02725	Pray.g_01004
OG0000547	Syan.g_02723	Pray.g_01006
OG0000548	Syan.g_02722	Pray.g_01007
OG0000549	Syan.g_01194	Pray.g_01009
OG0000550	Syan.g_01189	Pray.g_01014
OG0000551	Syan.g_01184	Pray.g_01018
OG0000552	Syan.g_01183	Pray.g_01019
OG0000553	Syan.g_01179	Pray.g_01020
OG0000554	Syan.g_01165	Pray.g_01227
OG0000555	Syan.g_00839	Pray.g_01219
OG0000556	Syan.g_00842	Pray.g_01217
OG0000557	Syan.g_00847	Pray.g_01216
OG0000558	Syan.g_00849	Pray.g_01214
OG0000559	Syan.g_00853	Pray.g_01210
OG0000560	Syan.g_00856	Pray.g_01207
OG0000561	Syan.g_00857	Pray.g_01206
OG0000562	Syan.g_00858	Pray.g_01205
OG0000563	Syan.g_00859	Pray.g_01204
OG0000564	Syan.g_00860	Pray.g_01203
OG0000565	Syan.g_00864	Pray.g_01200
OG0000566	Syan.g_00868	Pray.g_01198
OG0000567	Syan.g_00872	Pray.g_01194
OG0000568	Syan.g_00874	Pray.g_01193
OG0000569	Syan.g_00875	Pray.g_01192
OG0000570	Syan.g_00876	Pray.g_01191
OG0000571	Syan.g_00879	Pray.g_01189
OG0000572	Syan.g_00954	Pray.g_01176
OG0000573	Syan.g_00963	Pray.g_01171
OG0000574	Syan.g_00965	Pray.g_01170
OG0000575	Syan.g_01003	Pray.g_01166
OG0000576	Syan.g_01007	Pray.g_01164
OG0000577	Syan.g_01008	Pray.g_01163
