Orthogroup	Syal	Prbd
OG0000038	Syal.g_01071, Syal.g_01073	Prbd.g_01283
OG0000039	Syal.g_01097	Prbd.g_00558
OG0000040	Syal.g_01187	Prbd.g_01550
OG0000040	Syal.g_01149	Prbd.g_00448
OG0000041	Syal.g_00649	Prbd.g_01478
OG0000042	Syal.g_01705, Syal.g_01508	Prbd.g_01328
OG0000043	Syal.g_01110	Prbd.g_01891
OG0000047	Syal.g_01568	Prbd.g_00909
OG0000048	Syal.g_01250	Prbd.g_00439, Prbd.g_00864
OG0000050	Syal.g_01549	Prbd.g_00375
OG0000053	Syal.g_00406	Prbd.g_01669
OG0000054	Syal.g_02739, Syal.g_02098	Prbd.g_00638
OG0000055	Syal.g_01845	Prbd.g_00083
OG0000057	Syal.g_01812	Prbd.g_00546
OG0000059	Syal.g_00225	Prbd.g_01439
OG0000060	Syal.g_00480, Syal.g_02895, Syal.g_02214	Prbd.g_00824
OG0000061	Syal.g_01653	Prbd.g_00468
OG0000062	Syal.g_00567	Prbd.g_01610
OG0000063	Syal.g_00136	Prbd.g_01204
OG0000065	Syal.g_00820, Syal.g_02528	Prbd.g_01137
OG0000066	Syal.g_02828	Prbd.g_00703
OG0000067	Syal.g_02414	Prbd.g_00102
OG0000068	Syal.g_02888	Prbd.g_01764
OG0000070	Syal.g_00509	Prbd.g_00792
OG0000071	Syal.g_02099, Syal.g_01601	Prbd.g_01801
OG0000072	Syal.g_00914	Prbd.g_01069
OG0000073	Syal.g_02920	Prbd.g_00743
OG0000075	Syal.g_01350	Prbd.g_01359
OG0000076	Syal.g_01459	Prbd.g_01335
OG0000077	Syal.g_00763, Syal.g_00506	Prbd.g_01166
OG0000078	Syal.g_00680	Prbd.g_01000
OG0000079	Syal.g_01213	Prbd.g_00987
OG0000081	Syal.g_02555	Prbd.g_00711
OG0000082	Syal.g_02769	Prbd.g_00658
OG0000084	Syal.g_01896, Syal.g_00023	Prbd.g_01693
OG0000085	Syal.g_00575	Prbd.g_01532
OG0000086	Syal.g_00784	Prbd.g_01156
OG0000087	Syal.g_00871	Prbd.g_01104, Prbd.g_01103
OG0000088	Syal.g_00908	Prbd.g_01074
OG0000089	Syal.g_00555	Prbd.g_00883
OG0000090	Syal.g_02838	Prbd.g_00709
OG0000091	Syal.g_02628	Prbd.g_00602
OG0000092	Syal.g_00470	Prbd.g_01193
OG0000093	Syal.g_02233	Prbd.g_00232
OG0000094	Syal.g_01907	Prbd.g_00321
OG0000095	Syal.g_01823	Prbd.g_00340
OG0000097	Syal.g_01735, Syal.g_01553	Prbd.g_00509
OG0000098	Syal.g_02196	Prbd.g_01782
OG0000099	Syal.g_01323	Prbd.g_01734
OG0000100	Syal.g_02448	Prbd.g_01614
OG0000101	Syal.g_00275	Prbd.g_01391
OG0000102	Syal.g_01488	Prbd.g_01330
OG0000103	Syal.g_00077, Syal.g_01897	Prbd.g_01250
OG0000104	Syal.g_00092	Prbd.g_01241
OG0000105	Syal.g_01255	Prbd.g_00965
OG0000106	Syal.g_02577	Prbd.g_00868
OG0000107	Syal.g_00194	Prbd.g_00852
OG0000108	Syal.g_02897	Prbd.g_00762
OG0000109	Syal.g_02913	Prbd.g_00748
OG0000110	Syal.g_02782	Prbd.g_00668
OG0000111	Syal.g_01813	Prbd.g_00545
OG0000112	Syal.g_02000	Prbd.g_00066
OG0000113	Syal.g_02443	Prbd.g_00124
OG0000114	Syal.g_02286	Prbd.g_00206
OG0000115	Syal.g_00404	Prbd.g_00401
OG0000116	Syal.g_01630	Prbd.g_00458
OG0000117	Syal.g_01704	Prbd.g_01895
OG0000118	Syal.g_01583	Prbd.g_01789
OG0000119	Syal.g_02056	Prbd.g_01768
OG0000120	Syal.g_01324	Prbd.g_01737
OG0000121	Syal.g_00374	Prbd.g_01687
OG0000122	Syal.g_02602	Prbd.g_01649
OG0000123	Syal.g_00283	Prbd.g_01384
OG0000124	Syal.g_01519	Prbd.g_01318
OG0000125	Syal.g_01075	Prbd.g_01281
OG0000126	Syal.g_00090	Prbd.g_01242
OG0000128	Syal.g_00109	Prbd.g_01226
OG0000129	Syal.g_01062	Prbd.g_01194
OG0000130	Syal.g_00751	Prbd.g_01175
OG0000131	Syal.g_00886	Prbd.g_01095
OG0000132	Syal.g_00906	Prbd.g_01076
OG0000133	Syal.g_01995	Prbd.g_00917
OG0000134	Syal.g_00552	Prbd.g_00882
OG0000135	Syal.g_01119	Prbd.g_00855
OG0000136	Syal.g_00520	Prbd.g_01722, Prbd.g_00801
OG0000137	Syal.g_00463	Prbd.g_00767
OG0000138	Syal.g_02914	Prbd.g_00747
OG0000139	Syal.g_02832	Prbd.g_00705
OG0000140	Syal.g_02830	Prbd.g_00704
OG0000141	Syal.g_02738	Prbd.g_00637
OG0000142	Syal.g_02636	Prbd.g_00609
OG0000143	Syal.g_02632	Prbd.g_00605
OG0000144	Syal.g_02515	Prbd.g_00592
OG0000145	Syal.g_02921	Prbd.g_00062
OG0000146	Syal.g_02001	Prbd.g_00067
OG0000147	Syal.g_02002	Prbd.g_00068
OG0000148	Syal.g_02437	Prbd.g_00118
OG0000149	Syal.g_02475	Prbd.g_00149
OG0000150	Syal.g_02737	Prbd.g_00157
OG0000151	Syal.g_02263	Prbd.g_00216
OG0000152	Syal.g_01991	Prbd.g_00264
OG0000153	Syal.g_01958	Prbd.g_00283
OG0000154	Syal.g_01918	Prbd.g_00314
OG0000155	Syal.g_01695	Prbd.g_00488
OG0000156	Syal.g_01620	Prbd.g_01812
OG0000157	Syal.g_01619	Prbd.g_01811
OG0000158	Syal.g_01431	Prbd.g_01736
OG0000160	Syal.g_00372	Prbd.g_01688
OG0000161	Syal.g_00384	Prbd.g_01682
OG0000162	Syal.g_00396	Prbd.g_01676
OG0000163	Syal.g_02971	Prbd.g_01642
OG0000164	Syal.g_00623	Prbd.g_01501
OG0000165	Syal.g_00632	Prbd.g_01494
OG0000166	Syal.g_00236	Prbd.g_01427
OG0000167	Syal.g_01347	Prbd.g_01361
OG0000168	Syal.g_01433	Prbd.g_01351
OG0000169	Syal.g_01447	Prbd.g_01341
OG0000170	Syal.g_01454	Prbd.g_01339
OG0000171	Syal.g_01518	Prbd.g_01319
OG0000172	Syal.g_00174, Syal.g_00173	Prbd.g_01310
OG0000173	Syal.g_00155	Prbd.g_01295
OG0000174	Syal.g_01121	Prbd.g_01268
OG0000175	Syal.g_01172	Prbd.g_01258
OG0000176	Syal.g_00101	Prbd.g_01233
OG0000177	Syal.g_00102	Prbd.g_01232
OG0000178	Syal.g_00103	Prbd.g_01231
OG0000179	Syal.g_00118	Prbd.g_01221
OG0000180	Syal.g_00119	Prbd.g_01220
OG0000181	Syal.g_00120	Prbd.g_01219
OG0000182	Syal.g_00121	Prbd.g_01218
OG0000183	Syal.g_00125	Prbd.g_01214
OG0000184	Syal.g_02678, Syal.g_01050	Prbd.g_01191
OG0000185	Syal.g_01025	Prbd.g_01188
OG0000186	Syal.g_02684, Syal.g_00747	Prbd.g_01180
OG0000187	Syal.g_02685, Syal.g_00748	Prbd.g_01179
OG0000188	Syal.g_00771	Prbd.g_01162
OG0000189	Syal.g_00807	Prbd.g_01148
OG0000190	Syal.g_01364	Prbd.g_01147
OG0000191	Syal.g_00841	Prbd.g_01126
OG0000192	Syal.g_00847	Prbd.g_01122
OG0000193	Syal.g_00887	Prbd.g_01094
OG0000194	Syal.g_00890	Prbd.g_01091
OG0000195	Syal.g_00892	Prbd.g_01089
OG0000196	Syal.g_00903	Prbd.g_01079
OG0000197	Syal.g_00904	Prbd.g_01078
OG0000198	Syal.g_00905	Prbd.g_01077
OG0000199	Syal.g_00913	Prbd.g_01070
OG0000200	Syal.g_00932	Prbd.g_01056
OG0000201	Syal.g_00949	Prbd.g_01048
OG0000202	Syal.g_00950	Prbd.g_01047
OG0000203	Syal.g_00951	Prbd.g_01046
OG0000204	Syal.g_00952	Prbd.g_01045
OG0000205	Syal.g_00959	Prbd.g_01038
OG0000206	Syal.g_00971	Prbd.g_01033
OG0000207	Syal.g_00974	Prbd.g_01031
OG0000208	Syal.g_00975	Prbd.g_01030
OG0000209	Syal.g_01000	Prbd.g_01021
OG0000210	Syal.g_01001	Prbd.g_01020
OG0000211	Syal.g_00688	Prbd.g_01006
OG0000212	Syal.g_00679	Prbd.g_00999
OG0000213	Syal.g_01229	Prbd.g_00982
OG0000214	Syal.g_01246	Prbd.g_00972
OG0000215	Syal.g_01277	Prbd.g_00947
OG0000216	Syal.g_01281	Prbd.g_00945
OG0000217	Syal.g_01285	Prbd.g_00942
OG0000218	Syal.g_01287	Prbd.g_00940
OG0000219	Syal.g_01288	Prbd.g_00939
OG0000220	Syal.g_01289	Prbd.g_00938
OG0000221	Syal.g_01297	Prbd.g_00937
OG0000222	Syal.g_01309	Prbd.g_00929
OG0000223	Syal.g_01327	Prbd.g_00916
OG0000224	Syal.g_01329	Prbd.g_00914
OG0000225	Syal.g_00363	Prbd.g_00893
OG0000226	Syal.g_00367	Prbd.g_00889
OG0000227	Syal.g_00369	Prbd.g_00887
OG0000228	Syal.g_00556	Prbd.g_00884
OG0000229	Syal.g_00525	Prbd.g_00806
OG0000230	Syal.g_00523	Prbd.g_00804
OG0000231	Syal.g_00510	Prbd.g_00793
OG0000232	Syal.g_00495	Prbd.g_00784
OG0000233	Syal.g_00487	Prbd.g_00779
OG0000234	Syal.g_00461	Prbd.g_00766
OG0000235	Syal.g_02896	Prbd.g_00763
OG0000236	Syal.g_02912	Prbd.g_00749
OG0000237	Syal.g_02930	Prbd.g_00736
OG0000238	Syal.g_02935	Prbd.g_00730
OG0000239	Syal.g_02951	Prbd.g_00717
OG0000240	Syal.g_02952	Prbd.g_00716
OG0000241	Syal.g_02696	Prbd.g_00712
OG0000242	Syal.g_02840	Prbd.g_00710
OG0000243	Syal.g_02822	Prbd.g_00699
OG0000244	Syal.g_02815	Prbd.g_00696
OG0000245	Syal.g_02813	Prbd.g_00694
OG0000246	Syal.g_02809	Prbd.g_00690
OG0000247	Syal.g_02797	Prbd.g_00680
OG0000248	Syal.g_02794	Prbd.g_00678
OG0000249	Syal.g_02792	Prbd.g_00676
OG0000250	Syal.g_02786	Prbd.g_00671
OG0000251	Syal.g_02760	Prbd.g_00653
OG0000252	Syal.g_02757	Prbd.g_00650
OG0000253	Syal.g_02755	Prbd.g_00649
OG0000254	Syal.g_02732	Prbd.g_00633
OG0000255	Syal.g_02719	Prbd.g_00627
OG0000256	Syal.g_02705	Prbd.g_00617
OG0000257	Syal.g_02697	Prbd.g_00614
OG0000258	Syal.g_02623	Prbd.g_00601
OG0000259	Syal.g_02182	Prbd.g_00584
OG0000260	Syal.g_02188	Prbd.g_00581
OG0000261	Syal.g_02199	Prbd.g_00579
OG0000262	Syal.g_02204	Prbd.g_00575
OG0000263	Syal.g_01720	Prbd.g_00563
OG0000264	Syal.g_01788	Prbd.g_00553
OG0000265	Syal.g_02534	Prbd.g_00007
OG0000266	Syal.g_02421	Prbd.g_00017
OG0000267	Syal.g_02043	Prbd.g_00028
OG0000268	Syal.g_02042	Prbd.g_00029
OG0000269	Syal.g_02409	Prbd.g_00097
OG0000270	Syal.g_02412	Prbd.g_00100
OG0000271	Syal.g_01871	Prbd.g_00108
OG0000272	Syal.g_01872	Prbd.g_00109
OG0000273	Syal.g_02454	Prbd.g_00132
OG0000274	Syal.g_02455	Prbd.g_00133
OG0000275	Syal.g_02458	Prbd.g_00136
OG0000276	Syal.g_02467	Prbd.g_00141
OG0000277	Syal.g_02468	Prbd.g_00142
OG0000278	Syal.g_02471	Prbd.g_00145
OG0000279	Syal.g_02479	Prbd.g_00152
OG0000280	Syal.g_02493	Prbd.g_00153
OG0000281	Syal.g_02190	Prbd.g_00158
OG0000282	Syal.g_02284	Prbd.g_00208
OG0000283	Syal.g_02028, Syal.g_02131	Prbd.g_00241
OG0000284	Syal.g_02023	Prbd.g_00246
OG0000285	Syal.g_02012	Prbd.g_00251
OG0000286	Syal.g_01992	Prbd.g_00263
OG0000287	Syal.g_01965	Prbd.g_00280
OG0000288	Syal.g_01919	Prbd.g_00313
OG0000289	Syal.g_01904	Prbd.g_00324
OG0000290	Syal.g_01826	Prbd.g_00337
OG0000291	Syal.g_01824	Prbd.g_00339
OG0000292	Syal.g_00089	Prbd.g_00389
OG0000293	Syal.g_01631	Prbd.g_00459
OG0000294	Syal.g_01632	Prbd.g_00460
OG0000295	Syal.g_01687	Prbd.g_00480
OG0000296	Syal.g_01689	Prbd.g_00482
OG0000297	Syal.g_01702	Prbd.g_00490
OG0000298	Syal.g_01703	Prbd.g_00491
OG0000299	Syal.g_01732	Prbd.g_00508
OG0000300	Syal.g_01738	Prbd.g_00511
OG0000301	Syal.g_01739	Prbd.g_00512
OG0000302	Syal.g_01740	Prbd.g_00514
OG0000303	Syal.g_01763	Prbd.g_00521
OG0000304	Syal.g_01756	Prbd.g_00525
OG0000305	Syal.g_01821	Prbd.g_01772
OG0000306	Syal.g_02579	Prbd.g_01769
OG0000307	Syal.g_02880	Prbd.g_01755
OG0000308	Syal.g_02878	Prbd.g_01754
OG0000309	Syal.g_02873	Prbd.g_01750
OG0000310	Syal.g_01537	Prbd.g_01704
OG0000311	Syal.g_00061	Prbd.g_01702
OG0000312	Syal.g_00031	Prbd.g_01699
OG0000313	Syal.g_00381	Prbd.g_01685
OG0000314	Syal.g_00416	Prbd.g_01662
OG0000315	Syal.g_00426	Prbd.g_01652
OG0000316	Syal.g_02987	Prbd.g_01632
OG0000317	Syal.g_00583	Prbd.g_01527
OG0000318	Syal.g_00588	Prbd.g_01524
OG0000319	Syal.g_00608	Prbd.g_01511
OG0000320	Syal.g_00610	Prbd.g_01509
OG0000321	Syal.g_00611	Prbd.g_01508
OG0000322	Syal.g_00612	Prbd.g_01507
OG0000323	Syal.g_00626	Prbd.g_01498
OG0000324	Syal.g_00656	Prbd.g_01471
OG0000325	Syal.g_00195	Prbd.g_01462
OG0000326	Syal.g_00202	Prbd.g_01456
OG0000327	Syal.g_00230	Prbd.g_01432
OG0000328	Syal.g_00231	Prbd.g_01431
OG0000329	Syal.g_00249	Prbd.g_01414
OG0000330	Syal.g_00250	Prbd.g_01413
OG0000331	Syal.g_00251	Prbd.g_01412
OG0000332	Syal.g_00266	Prbd.g_01398
OG0000333	Syal.g_00269	Prbd.g_01396
OG0000334	Syal.g_00279	Prbd.g_01388
OG0000335	Syal.g_00284	Prbd.g_01383
OG0000336	Syal.g_00288	Prbd.g_01379
OG0000337	Syal.g_01343	Prbd.g_01363
OG0000338	Syal.g_01345	Prbd.g_01362
OG0000339	Syal.g_01351	Prbd.g_01358
OG0000340	Syal.g_01434	Prbd.g_01350
OG0000341	Syal.g_01436	Prbd.g_01348
OG0000342	Syal.g_01437	Prbd.g_01347
OG0000343	Syal.g_01441	Prbd.g_01346
OG0000344	Syal.g_01445	Prbd.g_01343
OG0000345	Syal.g_01455	Prbd.g_01338
OG0000346	Syal.g_01460	Prbd.g_01334
OG0000347	Syal.g_01525	Prbd.g_01317
OG0000348	Syal.g_00170	Prbd.g_01307
OG0000349	Syal.g_00148	Prbd.g_01290
OG0000350	Syal.g_00209	Prbd.g_01272
OG0000351	Syal.g_01175	Prbd.g_01255
OG0000352	Syal.g_01176	Prbd.g_01254
OG0000353	Syal.g_00095	Prbd.g_01238
OG0000355	Syal.g_00098	Prbd.g_01236
OG0000356	Syal.g_00099	Prbd.g_01235
OG0000357	Syal.g_00100	Prbd.g_01234
OG0000358	Syal.g_00104	Prbd.g_01230
OG0000359	Syal.g_00106	Prbd.g_01229
OG0000360	Syal.g_00107	Prbd.g_01228
OG0000361	Syal.g_00108	Prbd.g_01227
OG0000362	Syal.g_00110	Prbd.g_01225
OG0000363	Syal.g_00112	Prbd.g_01223
OG0000364	Syal.g_00113	Prbd.g_01222
OG0000365	Syal.g_00122	Prbd.g_01217
OG0000366	Syal.g_00123	Prbd.g_01216
OG0000367	Syal.g_00124	Prbd.g_01215
OG0000368	Syal.g_00126	Prbd.g_01213
OG0000369	Syal.g_00127	Prbd.g_01212
OG0000370	Syal.g_00128	Prbd.g_01211
OG0000371	Syal.g_00135	Prbd.g_01205
OG0000372	Syal.g_00141	Prbd.g_01202
OG0000373	Syal.g_00142	Prbd.g_01201
OG0000374	Syal.g_00143	Prbd.g_01200
OG0000375	Syal.g_00144	Prbd.g_01198
OG0000376	Syal.g_00146	Prbd.g_01196
OG0000377	Syal.g_01061	Prbd.g_01192
OG0000378	Syal.g_01027	Prbd.g_01190
OG0000379	Syal.g_02681, Syal.g_01024	Prbd.g_01187
OG0000380	Syal.g_00749	Prbd.g_01178
OG0000381	Syal.g_00752	Prbd.g_01174
OG0000382	Syal.g_00770	Prbd.g_01163
OG0000383	Syal.g_00775	Prbd.g_01161
OG0000384	Syal.g_00776	Prbd.g_01160
OG0000385	Syal.g_00777	Prbd.g_01159
OG0000386	Syal.g_00778	Prbd.g_01158
OG0000387	Syal.g_00811	Prbd.g_01145
OG0000388	Syal.g_00815	Prbd.g_01142
OG0000389	Syal.g_00819	Prbd.g_01138
OG0000390	Syal.g_00835	Prbd.g_01131
OG0000391	Syal.g_00840	Prbd.g_01127
OG0000392	Syal.g_00846	Prbd.g_01123
OG0000393	Syal.g_00849	Prbd.g_01121
OG0000394	Syal.g_00850	Prbd.g_01120
OG0000395	Syal.g_00851	Prbd.g_01119
OG0000396	Syal.g_00854	Prbd.g_01116
OG0000397	Syal.g_00857	Prbd.g_01114
OG0000398	Syal.g_00862	Prbd.g_01112
OG0000399	Syal.g_00863	Prbd.g_01111
OG0000400	Syal.g_00864	Prbd.g_01110
OG0000401	Syal.g_00865	Prbd.g_01109
OG0000402	Syal.g_00867	Prbd.g_01107
OG0000403	Syal.g_00868	Prbd.g_01106
OG0000404	Syal.g_00870	Prbd.g_01105
OG0000405	Syal.g_00883	Prbd.g_01100
OG0000406	Syal.g_00888	Prbd.g_01093
OG0000407	Syal.g_00889	Prbd.g_01092
OG0000408	Syal.g_00891	Prbd.g_01090
OG0000409	Syal.g_00893	Prbd.g_01088
OG0000410	Syal.g_00894	Prbd.g_01087
OG0000411	Syal.g_00895	Prbd.g_01086
OG0000412	Syal.g_00896	Prbd.g_01085
OG0000413	Syal.g_00898	Prbd.g_01084
OG0000414	Syal.g_00899	Prbd.g_01083
OG0000415	Syal.g_00900	Prbd.g_01082
OG0000416	Syal.g_00901	Prbd.g_01081
OG0000417	Syal.g_00902	Prbd.g_01080
OG0000418	Syal.g_00907	Prbd.g_01075
OG0000419	Syal.g_00909	Prbd.g_01073
OG0000420	Syal.g_00911	Prbd.g_01072
OG0000421	Syal.g_00916	Prbd.g_01067
OG0000422	Syal.g_00917	Prbd.g_01066
OG0000423	Syal.g_00918	Prbd.g_01065
OG0000424	Syal.g_00919	Prbd.g_01064
OG0000425	Syal.g_00920	Prbd.g_01063
OG0000426	Syal.g_00921	Prbd.g_01062
OG0000427	Syal.g_00922	Prbd.g_01061
OG0000428	Syal.g_00925	Prbd.g_01059
OG0000429	Syal.g_00929	Prbd.g_01058
OG0000430	Syal.g_00931	Prbd.g_01057
OG0000431	Syal.g_00934	Prbd.g_01055
OG0000432	Syal.g_00940	Prbd.g_01052
OG0000433	Syal.g_00943	Prbd.g_01051
OG0000434	Syal.g_00944	Prbd.g_01050
OG0000435	Syal.g_00946	Prbd.g_01049
OG0000436	Syal.g_00953	Prbd.g_01044
OG0000437	Syal.g_00954	Prbd.g_01043
OG0000438	Syal.g_00955	Prbd.g_01042
OG0000439	Syal.g_00957	Prbd.g_01040
OG0000440	Syal.g_00958	Prbd.g_01039
OG0000441	Syal.g_00962	Prbd.g_01036
OG0000442	Syal.g_00964	Prbd.g_01035
OG0000443	Syal.g_00966	Prbd.g_01034
OG0000444	Syal.g_00978	Prbd.g_01029
OG0000445	Syal.g_00979	Prbd.g_01028
OG0000446	Syal.g_00981	Prbd.g_01027
OG0000447	Syal.g_00989	Prbd.g_01026
OG0000448	Syal.g_00990	Prbd.g_01025
OG0000449	Syal.g_00991	Prbd.g_01024
OG0000450	Syal.g_00997	Prbd.g_01023
OG0000451	Syal.g_00998	Prbd.g_01022
OG0000452	Syal.g_01002	Prbd.g_01019
OG0000453	Syal.g_01003	Prbd.g_01018
OG0000454	Syal.g_01004	Prbd.g_01017
OG0000455	Syal.g_01005	Prbd.g_01016
OG0000456	Syal.g_01006	Prbd.g_01015
OG0000457	Syal.g_01008	Prbd.g_01013
OG0000458	Syal.g_01009	Prbd.g_01012
OG0000459	Syal.g_01010	Prbd.g_01011
OG0000460	Syal.g_00686	Prbd.g_01004
OG0000461	Syal.g_01199	Prbd.g_00997
OG0000462	Syal.g_01202	Prbd.g_00995
OG0000463	Syal.g_01203	Prbd.g_00994
OG0000464	Syal.g_01204	Prbd.g_00993
OG0000465	Syal.g_01205	Prbd.g_00992
OG0000466	Syal.g_01210	Prbd.g_00989
OG0000467	Syal.g_01212	Prbd.g_00988
OG0000468	Syal.g_01225	Prbd.g_00986
OG0000469	Syal.g_01240	Prbd.g_00977
OG0000470	Syal.g_01242	Prbd.g_00975
OG0000471	Syal.g_01243	Prbd.g_00974
OG0000472	Syal.g_01245	Prbd.g_00973
OG0000473	Syal.g_01247	Prbd.g_00971
OG0000474	Syal.g_01248	Prbd.g_00970
OG0000475	Syal.g_01249	Prbd.g_00969
OG0000476	Syal.g_01251	Prbd.g_00968
OG0000477	Syal.g_01257	Prbd.g_00964
OG0000478	Syal.g_01258	Prbd.g_00963
OG0000479	Syal.g_01259	Prbd.g_00962
OG0000480	Syal.g_01266	Prbd.g_00957
OG0000481	Syal.g_01268	Prbd.g_00955
OG0000482	Syal.g_01269	Prbd.g_00954
OG0000483	Syal.g_01273	Prbd.g_00951
OG0000484	Syal.g_01274	Prbd.g_00950
OG0000485	Syal.g_01275	Prbd.g_00949
OG0000486	Syal.g_01276	Prbd.g_00948
OG0000487	Syal.g_01282	Prbd.g_00944
OG0000488	Syal.g_01286	Prbd.g_00941
OG0000489	Syal.g_01298	Prbd.g_00936
OG0000490	Syal.g_01307	Prbd.g_00931
OG0000491	Syal.g_01308	Prbd.g_00930
OG0000492	Syal.g_01310	Prbd.g_00928
OG0000493	Syal.g_01311	Prbd.g_00927
OG0000494	Syal.g_01312	Prbd.g_00926
OG0000495	Syal.g_01313	Prbd.g_00925
OG0000496	Syal.g_01314	Prbd.g_00924
OG0000497	Syal.g_01315	Prbd.g_00923
OG0000498	Syal.g_01316	Prbd.g_00922
OG0000499	Syal.g_01317	Prbd.g_00921
OG0000500	Syal.g_01318	Prbd.g_00920
OG0000501	Syal.g_01321	Prbd.g_00918
OG0000502	Syal.g_01328	Prbd.g_00915
OG0000503	Syal.g_00347	Prbd.g_00905
OG0000504	Syal.g_00349	Prbd.g_00904
OG0000505	Syal.g_00350	Prbd.g_00903
OG0000506	Syal.g_00352	Prbd.g_00901
OG0000507	Syal.g_00358	Prbd.g_00898
OG0000508	Syal.g_00362	Prbd.g_00894
OG0000509	Syal.g_00364	Prbd.g_00892
OG0000510	Syal.g_00365	Prbd.g_00891
OG0000511	Syal.g_00366	Prbd.g_00890
OG0000512	Syal.g_00368	Prbd.g_00888
OG0000513	Syal.g_00551	Prbd.g_00881
OG0000514	Syal.g_00539	Prbd.g_00811
OG0000515	Syal.g_00538	Prbd.g_00810
OG0000516	Syal.g_00534	Prbd.g_00809
OG0000517	Syal.g_00526	Prbd.g_00807
OG0000518	Syal.g_00514	Prbd.g_00796
OG0000519	Syal.g_00513	Prbd.g_00795
OG0000520	Syal.g_00512	Prbd.g_00794
OG0000521	Syal.g_00502	Prbd.g_00789
OG0000522	Syal.g_00500	Prbd.g_00787
OG0000523	Syal.g_00499	Prbd.g_00786
OG0000524	Syal.g_00491	Prbd.g_00781
OG0000525	Syal.g_00473	Prbd.g_00778
OG0000526	Syal.g_00471	Prbd.g_00777
OG0000527	Syal.g_00465	Prbd.g_00769
OG0000528	Syal.g_02893	Prbd.g_00764
OG0000529	Syal.g_02898	Prbd.g_00761
OG0000530	Syal.g_02901	Prbd.g_00758
OG0000531	Syal.g_02902	Prbd.g_00757
OG0000532	Syal.g_02905	Prbd.g_00755
OG0000533	Syal.g_02907	Prbd.g_00754
OG0000534	Syal.g_02908	Prbd.g_00753
OG0000535	Syal.g_02909	Prbd.g_00752
OG0000536	Syal.g_02910	Prbd.g_00751
OG0000537	Syal.g_02911	Prbd.g_00750
OG0000538	Syal.g_02923	Prbd.g_00742
OG0000539	Syal.g_02924	Prbd.g_00741
OG0000540	Syal.g_02925	Prbd.g_00740
OG0000541	Syal.g_02926	Prbd.g_00739
OG0000542	Syal.g_02929	Prbd.g_00737
OG0000543	Syal.g_02931	Prbd.g_00735
OG0000544	Syal.g_02932	Prbd.g_00734
OG0000545	Syal.g_02934	Prbd.g_00732
OG0000546	Syal.g_02936	Prbd.g_00729
OG0000547	Syal.g_02938	Prbd.g_00727
OG0000548	Syal.g_02939	Prbd.g_00726
OG0000549	Syal.g_02945	Prbd.g_00724
OG0000550	Syal.g_02949	Prbd.g_00719
OG0000551	Syal.g_02953	Prbd.g_00715
OG0000552	Syal.g_02954	Prbd.g_00714
OG0000553	Syal.g_02843	Prbd.g_00713
OG0000554	Syal.g_02837	Prbd.g_00708
OG0000555	Syal.g_02823	Prbd.g_00700
OG0000556	Syal.g_02819	Prbd.g_00698
OG0000557	Syal.g_02816	Prbd.g_00697
OG0000558	Syal.g_02814	Prbd.g_00695
OG0000559	Syal.g_02305, Syal.g_02810	Prbd.g_00691
OG0000560	Syal.g_02807	Prbd.g_00688
