Orthogroup	Prbl	Syaa
OG0000113	Prbl.g_02310	Syaa.g_01196
OG0000114	Prbl.g_02407	Syaa.g_01094
OG0000115	Prbl.g_00687	Syaa.g_01795
OG0000116	Prbl.g_02069	Syaa.g_00757
OG0000117	Prbl.g_01384	Syaa.g_01009
OG0000118	Prbl.g_01736	Syaa.g_01874
OG0000119	Prbl.g_00007, Prbl.g_00046	Syaa.g_00785
OG0000120	Prbl.g_00892	Syaa.g_00201
OG0000121	Prbl.g_00234, Prbl.g_00240	Syaa.g_01777
OG0000122	Prbl.g_01808	Syaa.g_01598
OG0000123	Prbl.g_01135	Syaa.g_02242
OG0000124	Prbl.g_02054	Syaa.g_00092
OG0000125	Prbl.g_02231	Syaa.g_02598
OG0000126	Prbl.g_02127	Syaa.g_02752
OG0000127	Prbl.g_00745, Prbl.g_01821	Syaa.g_00934
OG0000128	Prbl.g_02109	Syaa.g_00012
OG0000129	Prbl.g_02243	Syaa.g_02586
OG0000130	Prbl.g_00608	Syaa.g_00354
OG0000131	Prbl.g_00303	Syaa.g_02448
OG0000132	Prbl.g_00283	Syaa.g_02472
OG0000133	Prbl.g_00897	Syaa.g_01361
OG0000134	Prbl.g_02677	Syaa.g_02146
OG0000135	Prbl.g_02190	Syaa.g_02649
OG0000136	Prbl.g_00647	Syaa.g_00708
OG0000137	Prbl.g_01340	Syaa.g_01842
OG0000138	Prbl.g_00528	Syaa.g_02035
OG0000139	Prbl.g_00760	Syaa.g_01974
OG0000140	Prbl.g_00754	Syaa.g_01971
OG0000141	Prbl.g_01751	Syaa.g_01689
OG0000142	Prbl.g_01639	Syaa.g_01633
OG0000143	Prbl.g_01643	Syaa.g_01629
OG0000144	Prbl.g_01042	Syaa.g_01446
OG0000145	Prbl.g_00534	Syaa.g_02029
OG0000146	Prbl.g_02469	Syaa.g_01367
OG0000147	Prbl.g_02468	Syaa.g_01368
OG0000148	Prbl.g_02316	Syaa.g_01190
OG0000149	Prbl.g_01552	Syaa.g_00826
OG0000150	Prbl.g_01576	Syaa.g_01688
OG0000151	Prbl.g_02386	Syaa.g_01107
OG0000152	Prbl.g_02478	Syaa.g_01357
OG0000153	Prbl.g_02505	Syaa.g_01324
OG0000154	Prbl.g_02532	Syaa.g_01298
OG0000155	Prbl.g_00185	Syaa.g_00804
OG0000156	Prbl.g_00115	Syaa.g_00751
OG0000157	Prbl.g_00114	Syaa.g_00750
OG0000158	Prbl.g_00843	Syaa.g_00148
OG0000160	Prbl.g_00241	Syaa.g_01776
OG0000161	Prbl.g_00227	Syaa.g_01782
OG0000162	Prbl.g_00221	Syaa.g_01788
OG0000163	Prbl.g_00452	Syaa.g_00624
OG0000164	Prbl.g_00365	Syaa.g_00507
OG0000165	Prbl.g_00356	Syaa.g_00681
OG0000166	Prbl.g_00962	Syaa.g_02289
OG0000167	Prbl.g_00857	Syaa.g_00160
OG0000168	Prbl.g_00842	Syaa.g_00145
OG0000169	Prbl.g_01302	Syaa.g_00134
OG0000170	Prbl.g_01290	Syaa.g_00128
OG0000171	Prbl.g_02055	Syaa.g_00093
OG0000172	Prbl.g_02021	Syaa.g_00079
OG0000173	Prbl.g_02000	Syaa.g_00060
OG0000174	Prbl.g_02188	Syaa.g_02651
OG0000175	Prbl.g_02150	Syaa.g_02726
OG0000176	Prbl.g_02117	Syaa.g_00004
OG0000177	Prbl.g_02116	Syaa.g_00005
OG0000178	Prbl.g_02115	Syaa.g_00006
OG0000179	Prbl.g_01961	Syaa.g_00023
OG0000180	Prbl.g_01962	Syaa.g_00024
OG0000181	Prbl.g_01963	Syaa.g_00025
OG0000182	Prbl.g_01964	Syaa.g_00026
OG0000183	Prbl.g_01968	Syaa.g_00030
OG0000184	Prbl.g_02251	Syaa.g_02578
OG0000186	Prbl.g_00614	Syaa.g_00359
OG0000187	Prbl.g_00613	Syaa.g_00358
OG0000188	Prbl.g_00591	Syaa.g_00334
OG0000189	Prbl.g_00565	Syaa.g_02367
OG0000190	Prbl.g_00563	Syaa.g_02369
OG0000191	Prbl.g_01325	Syaa.g_02404
OG0000192	Prbl.g_01316	Syaa.g_02410
OG0000193	Prbl.g_00302	Syaa.g_02449
OG0000194	Prbl.g_00299	Syaa.g_02452
OG0000195	Prbl.g_00297	Syaa.g_02459
OG0000196	Prbl.g_00286	Syaa.g_02469
OG0000197	Prbl.g_00285	Syaa.g_02470
OG0000198	Prbl.g_00284	Syaa.g_02471
OG0000199	Prbl.g_00277	Syaa.g_02479
OG0000200	Prbl.g_00069	Syaa.g_02496
OG0000201	Prbl.g_00088	Syaa.g_02521
OG0000202	Prbl.g_00089	Syaa.g_02522
OG0000203	Prbl.g_00090	Syaa.g_02523
OG0000204	Prbl.g_00091	Syaa.g_02524
OG0000205	Prbl.g_00098	Syaa.g_02531
OG0000206	Prbl.g_01282	Syaa.g_02538
OG0000207	Prbl.g_00130	Syaa.g_02540
OG0000208	Prbl.g_00129	Syaa.g_02541
OG0000209	Prbl.g_01256	Syaa.g_02556
OG0000210	Prbl.g_01257	Syaa.g_02557
OG0000211	Prbl.g_01922	Syaa.g_02113
OG0000212	Prbl.g_00192	Syaa.g_02102
OG0000213	Prbl.g_01496	Syaa.g_00295
OG0000214	Prbl.g_01469	Syaa.g_00279
OG0000215	Prbl.g_01439	Syaa.g_00248
OG0000216	Prbl.g_01436	Syaa.g_00244
OG0000217	Prbl.g_01432	Syaa.g_00240
OG0000218	Prbl.g_01428	Syaa.g_00238
OG0000219	Prbl.g_01427	Syaa.g_00237
OG0000220	Prbl.g_01426	Syaa.g_00236
OG0000221	Prbl.g_01421	Syaa.g_00229
OG0000222	Prbl.g_00911	Syaa.g_00215
OG0000223	Prbl.g_00888	Syaa.g_00192
OG0000224	Prbl.g_00877	Syaa.g_00183
OG0000225	Prbl.g_01218	Syaa.g_02166
OG0000226	Prbl.g_01222	Syaa.g_02162
OG0000227	Prbl.g_01224	Syaa.g_02160
OG0000228	Prbl.g_02673	Syaa.g_02150
OG0000229	Prbl.g_00652	Syaa.g_00703
OG0000230	Prbl.g_00650	Syaa.g_00705
OG0000231	Prbl.g_00635	Syaa.g_00717
OG0000232	Prbl.g_00619	Syaa.g_01858
OG0000233	Prbl.g_01360	Syaa.g_01853
OG0000234	Prbl.g_01339	Syaa.g_01841
OG0000235	Prbl.g_00510	Syaa.g_02052
OG0000236	Prbl.g_00526	Syaa.g_02037
OG0000237	Prbl.g_00800	Syaa.g_02020
OG0000238	Prbl.g_00795	Syaa.g_02015
OG0000239	Prbl.g_00779	Syaa.g_01996
OG0000240	Prbl.g_00778	Syaa.g_01995
OG0000241	Prbl.g_01526	Syaa.g_01644
OG0000242	Prbl.g_00768	Syaa.g_01982
OG0000243	Prbl.g_02647	Syaa.g_01960
OG0000244	Prbl.g_01879	Syaa.g_01954
OG0000245	Prbl.g_01882	Syaa.g_01952
OG0000246	Prbl.g_01886	Syaa.g_01948
OG0000247	Prbl.g_01897	Syaa.g_01937
OG0000248	Prbl.g_01900	Syaa.g_01934
OG0000249	Prbl.g_01902	Syaa.g_01932
OG0000250	Prbl.g_01799	Syaa.g_01922
OG0000251	Prbl.g_01775	Syaa.g_01897
OG0000252	Prbl.g_01772	Syaa.g_01894
OG0000253	Prbl.g_01766	Syaa.g_01893
OG0000254	Prbl.g_01747	Syaa.g_01684
OG0000255	Prbl.g_01612	Syaa.g_01668
OG0000256	Prbl.g_01626	Syaa.g_01651
OG0000257	Prbl.g_01632	Syaa.g_01645
OG0000258	Prbl.g_01655	Syaa.g_01624
OG0000259	Prbl.g_01406	Syaa.g_01063
OG0000260	Prbl.g_01403	Syaa.g_01066
OG0000261	Prbl.g_01400	Syaa.g_01069
OG0000262	Prbl.g_01395	Syaa.g_01074
OG0000263	Prbl.g_01242	Syaa.g_00989
OG0000264	Prbl.g_01859	Syaa.g_00910
OG0000265	Prbl.g_01839	Syaa.g_00931
OG0000265	Prbl.g_02567	Syaa.g_01498
OG0000266	Prbl.g_02556	Syaa.g_01257, Syaa.g_01258
OG0000267	Prbl.g_02431	Syaa.g_01409
OG0000268	Prbl.g_02432	Syaa.g_01408
OG0000269	Prbl.g_02340	Syaa.g_01149
OG0000270	Prbl.g_02337	Syaa.g_01152
OG0000271	Prbl.g_02329	Syaa.g_01160
OG0000272	Prbl.g_02328	Syaa.g_01161
OG0000273	Prbl.g_01534	Syaa.g_00844
OG0000274	Prbl.g_01535	Syaa.g_00843
OG0000275	Prbl.g_01538	Syaa.g_00840
OG0000276	Prbl.g_01544	Syaa.g_00834
OG0000277	Prbl.g_01545	Syaa.g_00833
OG0000278	Prbl.g_01548	Syaa.g_00830
OG0000279	Prbl.g_01556	Syaa.g_00822
OG0000280	Prbl.g_01562	Syaa.g_00815
OG0000282	Prbl.g_02405	Syaa.g_01096
OG0000283	Prbl.g_02443	Syaa.g_01396
OG0000284	Prbl.g_02449	Syaa.g_01390
OG0000285	Prbl.g_01688	Syaa.g_01377
OG0000286	Prbl.g_02477	Syaa.g_01358
OG0000287	Prbl.g_02608	Syaa.g_01330
OG0000288	Prbl.g_02531	Syaa.g_01299
OG0000289	Prbl.g_02544	Syaa.g_01285
OG0000290	Prbl.g_00930	Syaa.g_00875
OG0000291	Prbl.g_00928	Syaa.g_00877
OG0000292	Prbl.g_02128	Syaa.g_02751
OG0000293	Prbl.g_02071	Syaa.g_00758
OG0000294	Prbl.g_02072	Syaa.g_00759
OG0000295	Prbl.g_00178	Syaa.g_00796
OG0000296	Prbl.g_00180	Syaa.g_00798
OG0000297	Prbl.g_01382	Syaa.g_01021
OG0000298	Prbl.g_01383	Syaa.g_01010
OG0000299	Prbl.g_01372	Syaa.g_00982
OG0000300	Prbl.g_02582	Syaa.g_00976
OG0000301	Prbl.g_02583	Syaa.g_00975
OG0000302	Prbl.g_02586	Syaa.g_00972
OG0000303	Prbl.g_00187	Syaa.g_00963
OG0000304	Prbl.g_01102	Syaa.g_00957
OG0000305	Prbl.g_00926	Syaa.g_00881
OG0000306	Prbl.g_01586	Syaa.g_00807
OG0000307	Prbl.g_00494	Syaa.g_02068
OG0000308	Prbl.g_00492	Syaa.g_02070
OG0000309	Prbl.g_00488	Syaa.g_02075
OG0000310	Prbl.g_00160	Syaa.g_01752
OG0000311	Prbl.g_00258	Syaa.g_01757
OG0000312	Prbl.g_00254	Syaa.g_01762
OG0000313	Prbl.g_00230	Syaa.g_01779
OG0000314	Prbl.g_00699	Syaa.g_01806
OG0000315	Prbl.g_00709	Syaa.g_01816
OG0000316	Prbl.g_00441	Syaa.g_00598
OG0000317	Prbl.g_00399	Syaa.g_00556
OG0000318	Prbl.g_00393	Syaa.g_00550
OG0000319	Prbl.g_00376	Syaa.g_00532
OG0000320	Prbl.g_00374	Syaa.g_00530
OG0000321	Prbl.g_00373	Syaa.g_00529
OG0000322	Prbl.g_00372	Syaa.g_00528
OG0000323	Prbl.g_00361	Syaa.g_00496
OG0000324	Prbl.g_00332	Syaa.g_00653
OG0000325	Prbl.g_02683	Syaa.g_02350
OG0000326	Prbl.g_01059	Syaa.g_02343
OG0000327	Prbl.g_00957	Syaa.g_02294
OG0000328	Prbl.g_00958	Syaa.g_02293
OG0000329	Prbl.g_00975	Syaa.g_02275
OG0000330	Prbl.g_00976	Syaa.g_02274
OG0000331	Prbl.g_00977	Syaa.g_02273
OG0000332	Prbl.g_00992	Syaa.g_02258
OG0000333	Prbl.g_00994	Syaa.g_02255
OG0000334	Prbl.g_01131	Syaa.g_02246
OG0000335	Prbl.g_01136	Syaa.g_02241
OG0000336	Prbl.g_01140	Syaa.g_02237
OG0000337	Prbl.g_00863	Syaa.g_00167
OG0000338	Prbl.g_00859	Syaa.g_00162
OG0000339	Prbl.g_00853	Syaa.g_00156
OG0000340	Prbl.g_00841	Syaa.g_00144
OG0000341	Prbl.g_00839	Syaa.g_00142
OG0000342	Prbl.g_00838	Syaa.g_00141
OG0000343	Prbl.g_01307	Syaa.g_00140
OG0000344	Prbl.g_01304	Syaa.g_00136
OG0000345	Prbl.g_01289	Syaa.g_00127
OG0000346	Prbl.g_01284	Syaa.g_00122
OG0000347	Prbl.g_02053	Syaa.g_00088
OG0000348	Prbl.g_02016	Syaa.g_00071
OG0000349	Prbl.g_01992	Syaa.g_00053
OG0000350	Prbl.g_02195	Syaa.g_02336
OG0000351	Prbl.g_02147	Syaa.g_02730
OG0000352	Prbl.g_02146	Syaa.g_02731
OG0000353	Prbl.g_02122	Syaa.g_02757
OG0000354	Prbl.g_00789	Syaa.g_02008, Syaa.g_02009
OG0000354	Prbl.g_01959	Syaa.g_00019, Syaa.g_00020
OG0000355	Prbl.g_02120	Syaa.g_00001
OG0000356	Prbl.g_02119	Syaa.g_00002
OG0000357	Prbl.g_02118	Syaa.g_00003
OG0000358	Prbl.g_02114	Syaa.g_00007
OG0000359	Prbl.g_02112	Syaa.g_00009
OG0000360	Prbl.g_02111	Syaa.g_00010
OG0000361	Prbl.g_02110	Syaa.g_00011
OG0000362	Prbl.g_02108	Syaa.g_00013
OG0000363	Prbl.g_01955	Syaa.g_00015
OG0000364	Prbl.g_01956	Syaa.g_00016
OG0000365	Prbl.g_01965	Syaa.g_00027
OG0000366	Prbl.g_01966	Syaa.g_00028
OG0000367	Prbl.g_01967	Syaa.g_00029
OG0000368	Prbl.g_01969	Syaa.g_00031
OG0000369	Prbl.g_01970	Syaa.g_00032
OG0000370	Prbl.g_01971	Syaa.g_00033
OG0000371	Prbl.g_01980	Syaa.g_00041
OG0000372	Prbl.g_01985	Syaa.g_00046
OG0000373	Prbl.g_01986	Syaa.g_00047
OG0000374	Prbl.g_01987	Syaa.g_00048
OG0000375	Prbl.g_01988	Syaa.g_00049
OG0000376	Prbl.g_01990	Syaa.g_00051
OG0000377	Prbl.g_02244	Syaa.g_02585
OG0000378	Prbl.g_02258	Syaa.g_02577
OG0000379	Prbl.g_02274	Syaa.g_02574
OG0000380	Prbl.g_00612	Syaa.g_00357
OG0000381	Prbl.g_00607	Syaa.g_00353
OG0000382	Prbl.g_00592	Syaa.g_00335
OG0000383	Prbl.g_00590	Syaa.g_00333
OG0000384	Prbl.g_00589	Syaa.g_00332
OG0000385	Prbl.g_00588	Syaa.g_00331
OG0000386	Prbl.g_00587	Syaa.g_00330
OG0000387	Prbl.g_00561	Syaa.g_02371
OG0000388	Prbl.g_00557	Syaa.g_02375
OG0000389	Prbl.g_00553	Syaa.g_02379
OG0000390	Prbl.g_01331	Syaa.g_02398
OG0000391	Prbl.g_01326	Syaa.g_02403
OG0000392	Prbl.g_01320	Syaa.g_02409
OG0000393	Prbl.g_01315	Syaa.g_02412
OG0000394	Prbl.g_01314	Syaa.g_02413
OG0000395	Prbl.g_01313	Syaa.g_02414
OG0000396	Prbl.g_00827	Syaa.g_02417
OG0000397	Prbl.g_00825	Syaa.g_02419
OG0000398	Prbl.g_00820	Syaa.g_02424
OG0000399	Prbl.g_00819	Syaa.g_02425
OG0000400	Prbl.g_00818	Syaa.g_02426
OG0000401	Prbl.g_00817	Syaa.g_02427
OG0000402	Prbl.g_00815	Syaa.g_02429
OG0000403	Prbl.g_00814	Syaa.g_02430
OG0000404	Prbl.g_00812	Syaa.g_02431
OG0000405	Prbl.g_00305	Syaa.g_02446
OG0000406	Prbl.g_00301	Syaa.g_02450
OG0000407	Prbl.g_00300	Syaa.g_02451
OG0000408	Prbl.g_00298	Syaa.g_02458
OG0000409	Prbl.g_00296	Syaa.g_02460
OG0000410	Prbl.g_00295	Syaa.g_02461
OG0000411	Prbl.g_00294	Syaa.g_02462
OG0000412	Prbl.g_00293	Syaa.g_02463
OG0000413	Prbl.g_00291	Syaa.g_02465
OG0000415	Prbl.g_00289	Syaa.g_02466
OG0000416	Prbl.g_00288	Syaa.g_02467
OG0000417	Prbl.g_00287	Syaa.g_02468
OG0000418	Prbl.g_00282	Syaa.g_02473
OG0000419	Prbl.g_00280	Syaa.g_02475
OG0000420	Prbl.g_00279	Syaa.g_02477
OG0000421	Prbl.g_00275	Syaa.g_02482
OG0000422	Prbl.g_00274	Syaa.g_02483
OG0000423	Prbl.g_00273	Syaa.g_02484
OG0000424	Prbl.g_00272	Syaa.g_02485
OG0000425	Prbl.g_00271	Syaa.g_02486
OG0000426	Prbl.g_00270	Syaa.g_02487
OG0000427	Prbl.g_00269	Syaa.g_02488
OG0000428	Prbl.g_02377	Syaa.g_02491
OG0000429	Prbl.g_00066	Syaa.g_02493
OG0000430	Prbl.g_00068	Syaa.g_02495
OG0000431	Prbl.g_00072	Syaa.g_02498
OG0000432	Prbl.g_00079	Syaa.g_02504
OG0000433	Prbl.g_00082	Syaa.g_02513
OG0000434	Prbl.g_00083	Syaa.g_02514
OG0000435	Prbl.g_00086	Syaa.g_02516
OG0000436	Prbl.g_00092	Syaa.g_02525
OG0000437	Prbl.g_00093	Syaa.g_02526
OG0000438	Prbl.g_00094	Syaa.g_02527
OG0000439	Prbl.g_00096	Syaa.g_02529
OG0000440	Prbl.g_00097	Syaa.g_02530
OG0000441	Prbl.g_00104	Syaa.g_02534
OG0000442	Prbl.g_00105	Syaa.g_02535
OG0000443	Prbl.g_01283	Syaa.g_02536
OG0000444	Prbl.g_00127	Syaa.g_02542
OG0000445	Prbl.g_00126	Syaa.g_02543
OG0000446	Prbl.g_00124	Syaa.g_02545
OG0000447	Prbl.g_01244	Syaa.g_02548
OG0000448	Prbl.g_01245	Syaa.g_02549
OG0000449	Prbl.g_01246	Syaa.g_02550
OG0000450	Prbl.g_01252	Syaa.g_02553
OG0000451	Prbl.g_01253	Syaa.g_02554
OG0000452	Prbl.g_01258	Syaa.g_02558
OG0000453	Prbl.g_01259	Syaa.g_02559
OG0000454	Prbl.g_01260	Syaa.g_02560
OG0000455	Prbl.g_01261	Syaa.g_02561
OG0000456	Prbl.g_01262	Syaa.g_02562
OG0000457	Prbl.g_01264	Syaa.g_02564
OG0000458	Prbl.g_01265	Syaa.g_02565
OG0000459	Prbl.g_01266	Syaa.g_02566
OG0000460	Prbl.g_01923	Syaa.g_02111
OG0000461	Prbl.g_02679	Syaa.g_00318
OG0000462	Prbl.g_02666	Syaa.g_00315
OG0000463	Prbl.g_01516	Syaa.g_00314
OG0000464	Prbl.g_01515	Syaa.g_00313
OG0000465	Prbl.g_01513	Syaa.g_00311
OG0000466	Prbl.g_01508	Syaa.g_00306
OG0000467	Prbl.g_01506	Syaa.g_00304
OG0000468	Prbl.g_01499	Syaa.g_00299
OG0000469	Prbl.g_01486	Syaa.g_00285
OG0000470	Prbl.g_01473	Syaa.g_00283
OG0000471	Prbl.g_01472	Syaa.g_00282
OG0000472	Prbl.g_01470	Syaa.g_00280
OG0000473	Prbl.g_01468	Syaa.g_00278
OG0000474	Prbl.g_01467	Syaa.g_00277
OG0000475	Prbl.g_01466	Syaa.g_00276
OG0000476	Prbl.g_01464	Syaa.g_00274
OG0000477	Prbl.g_01459	Syaa.g_00268
OG0000478	Prbl.g_01458	Syaa.g_00267
OG0000479	Prbl.g_01457	Syaa.g_00266
OG0000480	Prbl.g_01450	Syaa.g_00259
OG0000481	Prbl.g_01448	Syaa.g_00257
OG0000482	Prbl.g_01447	Syaa.g_00256
OG0000483	Prbl.g_01443	Syaa.g_00252
OG0000484	Prbl.g_01442	Syaa.g_00251
OG0000485	Prbl.g_01441	Syaa.g_00250
OG0000486	Prbl.g_01440	Syaa.g_00249
OG0000487	Prbl.g_01435	Syaa.g_00243
OG0000488	Prbl.g_01431	Syaa.g_00239
OG0000489	Prbl.g_01420	Syaa.g_00228
OG0000490	Prbl.g_01414	Syaa.g_00220
OG0000491	Prbl.g_01413	Syaa.g_00218
OG0000492	Prbl.g_00909	Syaa.g_00214
OG0000493	Prbl.g_00908	Syaa.g_00213
OG0000494	Prbl.g_00907	Syaa.g_00212
OG0000495	Prbl.g_00906	Syaa.g_00211
OG0000496	Prbl.g_00905	Syaa.g_00210
OG0000497	Prbl.g_00904	Syaa.g_00209
OG0000498	Prbl.g_00903	Syaa.g_00208
OG0000499	Prbl.g_00902	Syaa.g_00207
OG0000500	Prbl.g_00901	Syaa.g_00206
OG0000501	Prbl.g_00898	Syaa.g_00203
OG0000502	Prbl.g_00886	Syaa.g_00190
OG0000503	Prbl.g_01201	Syaa.g_02182
OG0000504	Prbl.g_01203	Syaa.g_02180
OG0000505	Prbl.g_01204	Syaa.g_02179
OG0000506	Prbl.g_01206	Syaa.g_02177
OG0000507	Prbl.g_01210	Syaa.g_02171
OG0000508	Prbl.g_01217	Syaa.g_02167
OG0000509	Prbl.g_01219	Syaa.g_02165
OG0000510	Prbl.g_01220	Syaa.g_02164
OG0000511	Prbl.g_01221	Syaa.g_02163
OG0000512	Prbl.g_01223	Syaa.g_02161
OG0000513	Prbl.g_02678	Syaa.g_02145
OG0000514	Prbl.g_00676	Syaa.g_02118
OG0000515	Prbl.g_00675	Syaa.g_02117
OG0000516	Prbl.g_00663	Syaa.g_00698
OG0000517	Prbl.g_00653	Syaa.g_00702
OG0000518	Prbl.g_00641	Syaa.g_00714
OG0000519	Prbl.g_00640	Syaa.g_00715
OG0000520	Prbl.g_00639	Syaa.g_00716
OG0000521	Prbl.g_00625	Syaa.g_01864
OG0000522	Prbl.g_00623	Syaa.g_01862
OG0000523	Prbl.g_00622	Syaa.g_01859
OG0000524	Prbl.g_01364	Syaa.g_01856
OG0000525	Prbl.g_01348	Syaa.g_01851
OG0000526	Prbl.g_01346	Syaa.g_01848
OG0000527	Prbl.g_01342	Syaa.g_01844
OG0000528	Prbl.g_00506	Syaa.g_02054
OG0000529	Prbl.g_00512	Syaa.g_02050
OG0000530	Prbl.g_00515	Syaa.g_02047
OG0000531	Prbl.g_00516	Syaa.g_02046
OG0000532	Prbl.g_00519	Syaa.g_02043
OG0000533	Prbl.g_00521	Syaa.g_02042
OG0000534	Prbl.g_00522	Syaa.g_02041
OG0000535	Prbl.g_00523	Syaa.g_02040
OG0000536	Prbl.g_00524	Syaa.g_02039
OG0000537	Prbl.g_00525	Syaa.g_02038
OG0000538	Prbl.g_00536	Syaa.g_02027
OG0000539	Prbl.g_00806	Syaa.g_02026
OG0000540	Prbl.g_00805	Syaa.g_02025
OG0000541	Prbl.g_00804	Syaa.g_02024
OG0000542	Prbl.g_00801	Syaa.g_02021
OG0000543	Prbl.g_00799	Syaa.g_02019
OG0000544	Prbl.g_00798	Syaa.g_02018
OG0000545	Prbl.g_00797	Syaa.g_02016
