Orthogroup	Prbd	Syal
OG0000065	Prbd.g_01137	Syal.g_00820, Syal.g_02528
OG0000066	Prbd.g_00703	Syal.g_02828
OG0000067	Prbd.g_00102	Syal.g_02414
OG0000068	Prbd.g_01764	Syal.g_02888
OG0000070	Prbd.g_00792	Syal.g_00509
OG0000071	Prbd.g_01801	Syal.g_02099, Syal.g_01601
OG0000072	Prbd.g_01069	Syal.g_00914
OG0000073	Prbd.g_00743	Syal.g_02920
OG0000075	Prbd.g_01359	Syal.g_01350
OG0000076	Prbd.g_01335	Syal.g_01459
OG0000077	Prbd.g_01166	Syal.g_00763, Syal.g_00506
OG0000078	Prbd.g_01000	Syal.g_00680
OG0000079	Prbd.g_00987	Syal.g_01213
OG0000081	Prbd.g_00711	Syal.g_02555
OG0000082	Prbd.g_00658	Syal.g_02769
OG0000084	Prbd.g_01693	Syal.g_01896, Syal.g_00023
OG0000085	Prbd.g_01532	Syal.g_00575
OG0000086	Prbd.g_01156	Syal.g_00784
OG0000087	Prbd.g_01104, Prbd.g_01103	Syal.g_00871
OG0000088	Prbd.g_01074	Syal.g_00908
OG0000089	Prbd.g_00883	Syal.g_00555
OG0000090	Prbd.g_00709	Syal.g_02838
OG0000091	Prbd.g_00602	Syal.g_02628
OG0000092	Prbd.g_01193	Syal.g_00470
OG0000093	Prbd.g_00232	Syal.g_02233
OG0000094	Prbd.g_00321	Syal.g_01907
OG0000095	Prbd.g_00340	Syal.g_01823
OG0000097	Prbd.g_00509	Syal.g_01735, Syal.g_01553
OG0000098	Prbd.g_01782	Syal.g_02196
OG0000099	Prbd.g_01734	Syal.g_01323
OG0000100	Prbd.g_01614	Syal.g_02448
OG0000101	Prbd.g_01391	Syal.g_00275
OG0000102	Prbd.g_01330	Syal.g_01488
OG0000103	Prbd.g_01250	Syal.g_00077, Syal.g_01897
OG0000104	Prbd.g_01241	Syal.g_00092
OG0000105	Prbd.g_00965	Syal.g_01255
OG0000106	Prbd.g_00868	Syal.g_02577
OG0000107	Prbd.g_00852	Syal.g_00194
OG0000108	Prbd.g_00762	Syal.g_02897
OG0000109	Prbd.g_00748	Syal.g_02913
OG0000110	Prbd.g_00668	Syal.g_02782
OG0000111	Prbd.g_00545	Syal.g_01813
OG0000112	Prbd.g_00066	Syal.g_02000
OG0000113	Prbd.g_00124	Syal.g_02443
OG0000114	Prbd.g_00206	Syal.g_02286
OG0000115	Prbd.g_00401	Syal.g_00404
OG0000116	Prbd.g_00458	Syal.g_01630
OG0000117	Prbd.g_01895	Syal.g_01704
OG0000118	Prbd.g_01789	Syal.g_01583
OG0000119	Prbd.g_01768	Syal.g_02056
OG0000120	Prbd.g_01737	Syal.g_01324
OG0000121	Prbd.g_01687	Syal.g_00374
OG0000122	Prbd.g_01649	Syal.g_02602
OG0000123	Prbd.g_01384	Syal.g_00283
OG0000124	Prbd.g_01318	Syal.g_01519
OG0000125	Prbd.g_01281	Syal.g_01075
OG0000126	Prbd.g_01242	Syal.g_00090
OG0000128	Prbd.g_01226	Syal.g_00109
OG0000129	Prbd.g_01194	Syal.g_01062
OG0000130	Prbd.g_01175	Syal.g_00751
OG0000131	Prbd.g_01095	Syal.g_00886
OG0000132	Prbd.g_01076	Syal.g_00906
OG0000133	Prbd.g_00917	Syal.g_01995
OG0000134	Prbd.g_00882	Syal.g_00552
OG0000135	Prbd.g_00855	Syal.g_01119
OG0000136	Prbd.g_01722, Prbd.g_00801	Syal.g_00520
OG0000137	Prbd.g_00767	Syal.g_00463
OG0000138	Prbd.g_00747	Syal.g_02914
OG0000139	Prbd.g_00705	Syal.g_02832
OG0000140	Prbd.g_00704	Syal.g_02830
OG0000141	Prbd.g_00637	Syal.g_02738
OG0000142	Prbd.g_00609	Syal.g_02636
OG0000143	Prbd.g_00605	Syal.g_02632
OG0000144	Prbd.g_00592	Syal.g_02515
OG0000145	Prbd.g_00062	Syal.g_02921
OG0000146	Prbd.g_00067	Syal.g_02001
OG0000147	Prbd.g_00068	Syal.g_02002
OG0000148	Prbd.g_00118	Syal.g_02437
OG0000149	Prbd.g_00149	Syal.g_02475
OG0000150	Prbd.g_00157	Syal.g_02737
OG0000151	Prbd.g_00216	Syal.g_02263
OG0000152	Prbd.g_00264	Syal.g_01991
OG0000153	Prbd.g_00283	Syal.g_01958
OG0000154	Prbd.g_00314	Syal.g_01918
OG0000155	Prbd.g_00488	Syal.g_01695
OG0000156	Prbd.g_01812	Syal.g_01620
OG0000157	Prbd.g_01811	Syal.g_01619
OG0000158	Prbd.g_01736	Syal.g_01431
OG0000160	Prbd.g_01688	Syal.g_00372
OG0000161	Prbd.g_01682	Syal.g_00384
OG0000162	Prbd.g_01676	Syal.g_00396
OG0000163	Prbd.g_01642	Syal.g_02971
OG0000164	Prbd.g_01501	Syal.g_00623
OG0000165	Prbd.g_01494	Syal.g_00632
OG0000166	Prbd.g_01427	Syal.g_00236
OG0000167	Prbd.g_01361	Syal.g_01347
OG0000168	Prbd.g_01351	Syal.g_01433
OG0000169	Prbd.g_01341	Syal.g_01447
OG0000170	Prbd.g_01339	Syal.g_01454
OG0000171	Prbd.g_01319	Syal.g_01518
OG0000172	Prbd.g_01310	Syal.g_00174, Syal.g_00173
OG0000173	Prbd.g_01295	Syal.g_00155
OG0000174	Prbd.g_01268	Syal.g_01121
OG0000175	Prbd.g_01258	Syal.g_01172
OG0000176	Prbd.g_01233	Syal.g_00101
OG0000177	Prbd.g_01232	Syal.g_00102
OG0000178	Prbd.g_01231	Syal.g_00103
OG0000179	Prbd.g_01221	Syal.g_00118
OG0000180	Prbd.g_01220	Syal.g_00119
OG0000181	Prbd.g_01219	Syal.g_00120
OG0000182	Prbd.g_01218	Syal.g_00121
OG0000183	Prbd.g_01214	Syal.g_00125
OG0000184	Prbd.g_01191	Syal.g_02678, Syal.g_01050
OG0000185	Prbd.g_01188	Syal.g_01025
OG0000186	Prbd.g_01180	Syal.g_02684, Syal.g_00747
OG0000187	Prbd.g_01179	Syal.g_02685, Syal.g_00748
OG0000188	Prbd.g_01162	Syal.g_00771
OG0000189	Prbd.g_01148	Syal.g_00807
OG0000190	Prbd.g_01147	Syal.g_01364
OG0000191	Prbd.g_01126	Syal.g_00841
OG0000192	Prbd.g_01122	Syal.g_00847
OG0000193	Prbd.g_01094	Syal.g_00887
OG0000194	Prbd.g_01091	Syal.g_00890
OG0000195	Prbd.g_01089	Syal.g_00892
OG0000196	Prbd.g_01079	Syal.g_00903
OG0000197	Prbd.g_01078	Syal.g_00904
OG0000198	Prbd.g_01077	Syal.g_00905
OG0000199	Prbd.g_01070	Syal.g_00913
OG0000200	Prbd.g_01056	Syal.g_00932
OG0000201	Prbd.g_01048	Syal.g_00949
OG0000202	Prbd.g_01047	Syal.g_00950
OG0000203	Prbd.g_01046	Syal.g_00951
OG0000204	Prbd.g_01045	Syal.g_00952
OG0000205	Prbd.g_01038	Syal.g_00959
OG0000206	Prbd.g_01033	Syal.g_00971
OG0000207	Prbd.g_01031	Syal.g_00974
OG0000208	Prbd.g_01030	Syal.g_00975
OG0000209	Prbd.g_01021	Syal.g_01000
OG0000210	Prbd.g_01020	Syal.g_01001
OG0000211	Prbd.g_01006	Syal.g_00688
OG0000212	Prbd.g_00999	Syal.g_00679
OG0000213	Prbd.g_00982	Syal.g_01229
OG0000214	Prbd.g_00972	Syal.g_01246
OG0000215	Prbd.g_00947	Syal.g_01277
OG0000216	Prbd.g_00945	Syal.g_01281
OG0000217	Prbd.g_00942	Syal.g_01285
OG0000218	Prbd.g_00940	Syal.g_01287
OG0000219	Prbd.g_00939	Syal.g_01288
OG0000220	Prbd.g_00938	Syal.g_01289
OG0000221	Prbd.g_00937	Syal.g_01297
OG0000222	Prbd.g_00929	Syal.g_01309
OG0000223	Prbd.g_00916	Syal.g_01327
OG0000224	Prbd.g_00914	Syal.g_01329
OG0000225	Prbd.g_00893	Syal.g_00363
OG0000226	Prbd.g_00889	Syal.g_00367
OG0000227	Prbd.g_00887	Syal.g_00369
OG0000228	Prbd.g_00884	Syal.g_00556
OG0000229	Prbd.g_00806	Syal.g_00525
OG0000230	Prbd.g_00804	Syal.g_00523
OG0000231	Prbd.g_00793	Syal.g_00510
OG0000232	Prbd.g_00784	Syal.g_00495
OG0000233	Prbd.g_00779	Syal.g_00487
OG0000234	Prbd.g_00766	Syal.g_00461
OG0000235	Prbd.g_00763	Syal.g_02896
OG0000236	Prbd.g_00749	Syal.g_02912
OG0000237	Prbd.g_00736	Syal.g_02930
OG0000238	Prbd.g_00730	Syal.g_02935
OG0000239	Prbd.g_00717	Syal.g_02951
OG0000240	Prbd.g_00716	Syal.g_02952
OG0000241	Prbd.g_00712	Syal.g_02696
OG0000242	Prbd.g_00710	Syal.g_02840
OG0000243	Prbd.g_00699	Syal.g_02822
OG0000244	Prbd.g_00696	Syal.g_02815
OG0000245	Prbd.g_00694	Syal.g_02813
OG0000246	Prbd.g_00690	Syal.g_02809
OG0000247	Prbd.g_00680	Syal.g_02797
OG0000248	Prbd.g_00678	Syal.g_02794
OG0000249	Prbd.g_00676	Syal.g_02792
OG0000250	Prbd.g_00671	Syal.g_02786
OG0000251	Prbd.g_00653	Syal.g_02760
OG0000252	Prbd.g_00650	Syal.g_02757
OG0000253	Prbd.g_00649	Syal.g_02755
OG0000254	Prbd.g_00633	Syal.g_02732
OG0000255	Prbd.g_00627	Syal.g_02719
OG0000256	Prbd.g_00617	Syal.g_02705
OG0000257	Prbd.g_00614	Syal.g_02697
OG0000258	Prbd.g_00601	Syal.g_02623
OG0000259	Prbd.g_00584	Syal.g_02182
OG0000260	Prbd.g_00581	Syal.g_02188
OG0000261	Prbd.g_00579	Syal.g_02199
OG0000262	Prbd.g_00575	Syal.g_02204
OG0000263	Prbd.g_00563	Syal.g_01720
OG0000264	Prbd.g_00553	Syal.g_01788
OG0000265	Prbd.g_00007	Syal.g_02534
OG0000266	Prbd.g_00017	Syal.g_02421
OG0000267	Prbd.g_00028	Syal.g_02043
OG0000268	Prbd.g_00029	Syal.g_02042
OG0000269	Prbd.g_00097	Syal.g_02409
OG0000270	Prbd.g_00100	Syal.g_02412
OG0000271	Prbd.g_00108	Syal.g_01871
OG0000272	Prbd.g_00109	Syal.g_01872
OG0000273	Prbd.g_00132	Syal.g_02454
OG0000274	Prbd.g_00133	Syal.g_02455
OG0000275	Prbd.g_00136	Syal.g_02458
OG0000276	Prbd.g_00141	Syal.g_02467
OG0000277	Prbd.g_00142	Syal.g_02468
OG0000278	Prbd.g_00145	Syal.g_02471
OG0000279	Prbd.g_00152	Syal.g_02479
OG0000280	Prbd.g_00153	Syal.g_02493
OG0000281	Prbd.g_00158	Syal.g_02190
OG0000282	Prbd.g_00208	Syal.g_02284
OG0000283	Prbd.g_00241	Syal.g_02028, Syal.g_02131
OG0000284	Prbd.g_00246	Syal.g_02023
OG0000285	Prbd.g_00251	Syal.g_02012
OG0000286	Prbd.g_00263	Syal.g_01992
OG0000287	Prbd.g_00280	Syal.g_01965
OG0000288	Prbd.g_00313	Syal.g_01919
OG0000289	Prbd.g_00324	Syal.g_01904
OG0000290	Prbd.g_00337	Syal.g_01826
OG0000291	Prbd.g_00339	Syal.g_01824
OG0000292	Prbd.g_00389	Syal.g_00089
OG0000293	Prbd.g_00459	Syal.g_01631
OG0000294	Prbd.g_00460	Syal.g_01632
OG0000295	Prbd.g_00480	Syal.g_01687
OG0000296	Prbd.g_00482	Syal.g_01689
OG0000297	Prbd.g_00490	Syal.g_01702
OG0000298	Prbd.g_00491	Syal.g_01703
OG0000299	Prbd.g_00508	Syal.g_01732
OG0000300	Prbd.g_00511	Syal.g_01738
OG0000301	Prbd.g_00512	Syal.g_01739
OG0000302	Prbd.g_00514	Syal.g_01740
OG0000303	Prbd.g_00521	Syal.g_01763
OG0000304	Prbd.g_00525	Syal.g_01756
OG0000305	Prbd.g_01772	Syal.g_01821
OG0000306	Prbd.g_01769	Syal.g_02579
OG0000307	Prbd.g_01755	Syal.g_02880
OG0000308	Prbd.g_01754	Syal.g_02878
OG0000309	Prbd.g_01750	Syal.g_02873
OG0000310	Prbd.g_01704	Syal.g_01537
OG0000311	Prbd.g_01702	Syal.g_00061
OG0000312	Prbd.g_01699	Syal.g_00031
OG0000313	Prbd.g_01685	Syal.g_00381
OG0000314	Prbd.g_01662	Syal.g_00416
OG0000315	Prbd.g_01652	Syal.g_00426
OG0000316	Prbd.g_01632	Syal.g_02987
OG0000317	Prbd.g_01527	Syal.g_00583
OG0000318	Prbd.g_01524	Syal.g_00588
OG0000319	Prbd.g_01511	Syal.g_00608
OG0000320	Prbd.g_01509	Syal.g_00610
OG0000321	Prbd.g_01508	Syal.g_00611
OG0000322	Prbd.g_01507	Syal.g_00612
OG0000323	Prbd.g_01498	Syal.g_00626
OG0000324	Prbd.g_01471	Syal.g_00656
OG0000325	Prbd.g_01462	Syal.g_00195
OG0000326	Prbd.g_01456	Syal.g_00202
OG0000327	Prbd.g_01432	Syal.g_00230
OG0000328	Prbd.g_01431	Syal.g_00231
OG0000329	Prbd.g_01414	Syal.g_00249
OG0000330	Prbd.g_01413	Syal.g_00250
OG0000331	Prbd.g_01412	Syal.g_00251
OG0000332	Prbd.g_01398	Syal.g_00266
OG0000333	Prbd.g_01396	Syal.g_00269
OG0000334	Prbd.g_01388	Syal.g_00279
OG0000335	Prbd.g_01383	Syal.g_00284
OG0000336	Prbd.g_01379	Syal.g_00288
OG0000337	Prbd.g_01363	Syal.g_01343
OG0000338	Prbd.g_01362	Syal.g_01345
OG0000339	Prbd.g_01358	Syal.g_01351
OG0000340	Prbd.g_01350	Syal.g_01434
OG0000341	Prbd.g_01348	Syal.g_01436
OG0000342	Prbd.g_01347	Syal.g_01437
OG0000343	Prbd.g_01346	Syal.g_01441
OG0000344	Prbd.g_01343	Syal.g_01445
OG0000345	Prbd.g_01338	Syal.g_01455
OG0000346	Prbd.g_01334	Syal.g_01460
OG0000347	Prbd.g_01317	Syal.g_01525
OG0000348	Prbd.g_01307	Syal.g_00170
OG0000349	Prbd.g_01290	Syal.g_00148
OG0000350	Prbd.g_01272	Syal.g_00209
OG0000351	Prbd.g_01255	Syal.g_01175
OG0000352	Prbd.g_01254	Syal.g_01176
OG0000353	Prbd.g_01238	Syal.g_00095
OG0000355	Prbd.g_01236	Syal.g_00098
OG0000356	Prbd.g_01235	Syal.g_00099
OG0000357	Prbd.g_01234	Syal.g_00100
OG0000358	Prbd.g_01230	Syal.g_00104
OG0000359	Prbd.g_01229	Syal.g_00106
OG0000360	Prbd.g_01228	Syal.g_00107
OG0000361	Prbd.g_01227	Syal.g_00108
OG0000362	Prbd.g_01225	Syal.g_00110
OG0000363	Prbd.g_01223	Syal.g_00112
OG0000364	Prbd.g_01222	Syal.g_00113
OG0000365	Prbd.g_01217	Syal.g_00122
OG0000366	Prbd.g_01216	Syal.g_00123
OG0000367	Prbd.g_01215	Syal.g_00124
OG0000368	Prbd.g_01213	Syal.g_00126
OG0000369	Prbd.g_01212	Syal.g_00127
OG0000370	Prbd.g_01211	Syal.g_00128
OG0000371	Prbd.g_01205	Syal.g_00135
OG0000372	Prbd.g_01202	Syal.g_00141
OG0000373	Prbd.g_01201	Syal.g_00142
OG0000374	Prbd.g_01200	Syal.g_00143
OG0000375	Prbd.g_01198	Syal.g_00144
OG0000376	Prbd.g_01196	Syal.g_00146
OG0000377	Prbd.g_01192	Syal.g_01061
OG0000378	Prbd.g_01190	Syal.g_01027
OG0000379	Prbd.g_01187	Syal.g_02681, Syal.g_01024
OG0000380	Prbd.g_01178	Syal.g_00749
OG0000381	Prbd.g_01174	Syal.g_00752
OG0000382	Prbd.g_01163	Syal.g_00770
OG0000383	Prbd.g_01161	Syal.g_00775
OG0000384	Prbd.g_01160	Syal.g_00776
OG0000385	Prbd.g_01159	Syal.g_00777
OG0000386	Prbd.g_01158	Syal.g_00778
OG0000387	Prbd.g_01145	Syal.g_00811
OG0000388	Prbd.g_01142	Syal.g_00815
OG0000389	Prbd.g_01138	Syal.g_00819
OG0000390	Prbd.g_01131	Syal.g_00835
OG0000391	Prbd.g_01127	Syal.g_00840
OG0000392	Prbd.g_01123	Syal.g_00846
OG0000393	Prbd.g_01121	Syal.g_00849
OG0000394	Prbd.g_01120	Syal.g_00850
OG0000395	Prbd.g_01119	Syal.g_00851
OG0000396	Prbd.g_01116	Syal.g_00854
OG0000397	Prbd.g_01114	Syal.g_00857
OG0000398	Prbd.g_01112	Syal.g_00862
OG0000399	Prbd.g_01111	Syal.g_00863
OG0000400	Prbd.g_01110	Syal.g_00864
OG0000401	Prbd.g_01109	Syal.g_00865
OG0000402	Prbd.g_01107	Syal.g_00867
OG0000403	Prbd.g_01106	Syal.g_00868
OG0000404	Prbd.g_01105	Syal.g_00870
OG0000405	Prbd.g_01100	Syal.g_00883
OG0000406	Prbd.g_01093	Syal.g_00888
OG0000407	Prbd.g_01092	Syal.g_00889
OG0000408	Prbd.g_01090	Syal.g_00891
OG0000409	Prbd.g_01088	Syal.g_00893
OG0000410	Prbd.g_01087	Syal.g_00894
OG0000411	Prbd.g_01086	Syal.g_00895
OG0000412	Prbd.g_01085	Syal.g_00896
OG0000413	Prbd.g_01084	Syal.g_00898
OG0000414	Prbd.g_01083	Syal.g_00899
OG0000415	Prbd.g_01082	Syal.g_00900
OG0000416	Prbd.g_01081	Syal.g_00901
OG0000417	Prbd.g_01080	Syal.g_00902
OG0000418	Prbd.g_01075	Syal.g_00907
OG0000419	Prbd.g_01073	Syal.g_00909
OG0000420	Prbd.g_01072	Syal.g_00911
OG0000421	Prbd.g_01067	Syal.g_00916
OG0000422	Prbd.g_01066	Syal.g_00917
OG0000423	Prbd.g_01065	Syal.g_00918
OG0000424	Prbd.g_01064	Syal.g_00919
OG0000425	Prbd.g_01063	Syal.g_00920
OG0000426	Prbd.g_01062	Syal.g_00921
OG0000427	Prbd.g_01061	Syal.g_00922
OG0000428	Prbd.g_01059	Syal.g_00925
OG0000429	Prbd.g_01058	Syal.g_00929
OG0000430	Prbd.g_01057	Syal.g_00931
OG0000431	Prbd.g_01055	Syal.g_00934
OG0000432	Prbd.g_01052	Syal.g_00940
OG0000433	Prbd.g_01051	Syal.g_00943
OG0000434	Prbd.g_01050	Syal.g_00944
OG0000435	Prbd.g_01049	Syal.g_00946
OG0000436	Prbd.g_01044	Syal.g_00953
OG0000437	Prbd.g_01043	Syal.g_00954
OG0000438	Prbd.g_01042	Syal.g_00955
OG0000439	Prbd.g_01040	Syal.g_00957
OG0000440	Prbd.g_01039	Syal.g_00958
OG0000441	Prbd.g_01036	Syal.g_00962
OG0000442	Prbd.g_01035	Syal.g_00964
OG0000443	Prbd.g_01034	Syal.g_00966
OG0000444	Prbd.g_01029	Syal.g_00978
OG0000445	Prbd.g_01028	Syal.g_00979
OG0000446	Prbd.g_01027	Syal.g_00981
OG0000447	Prbd.g_01026	Syal.g_00989
OG0000448	Prbd.g_01025	Syal.g_00990
OG0000449	Prbd.g_01024	Syal.g_00991
OG0000450	Prbd.g_01023	Syal.g_00997
OG0000451	Prbd.g_01022	Syal.g_00998
OG0000452	Prbd.g_01019	Syal.g_01002
OG0000453	Prbd.g_01018	Syal.g_01003
OG0000454	Prbd.g_01017	Syal.g_01004
OG0000455	Prbd.g_01016	Syal.g_01005
OG0000456	Prbd.g_01015	Syal.g_01006
OG0000457	Prbd.g_01013	Syal.g_01008
OG0000458	Prbd.g_01012	Syal.g_01009
OG0000459	Prbd.g_01011	Syal.g_01010
OG0000460	Prbd.g_01004	Syal.g_00686
OG0000461	Prbd.g_00997	Syal.g_01199
OG0000462	Prbd.g_00995	Syal.g_01202
OG0000463	Prbd.g_00994	Syal.g_01203
OG0000464	Prbd.g_00993	Syal.g_01204
OG0000465	Prbd.g_00992	Syal.g_01205
OG0000466	Prbd.g_00989	Syal.g_01210
OG0000467	Prbd.g_00988	Syal.g_01212
OG0000468	Prbd.g_00986	Syal.g_01225
OG0000469	Prbd.g_00977	Syal.g_01240
OG0000470	Prbd.g_00975	Syal.g_01242
OG0000471	Prbd.g_00974	Syal.g_01243
OG0000472	Prbd.g_00973	Syal.g_01245
OG0000473	Prbd.g_00971	Syal.g_01247
OG0000474	Prbd.g_00970	Syal.g_01248
OG0000475	Prbd.g_00969	Syal.g_01249
OG0000476	Prbd.g_00968	Syal.g_01251
OG0000477	Prbd.g_00964	Syal.g_01257
OG0000478	Prbd.g_00963	Syal.g_01258
OG0000479	Prbd.g_00962	Syal.g_01259
OG0000480	Prbd.g_00957	Syal.g_01266
OG0000481	Prbd.g_00955	Syal.g_01268
OG0000482	Prbd.g_00954	Syal.g_01269
OG0000483	Prbd.g_00951	Syal.g_01273
OG0000484	Prbd.g_00950	Syal.g_01274
OG0000485	Prbd.g_00949	Syal.g_01275
OG0000486	Prbd.g_00948	Syal.g_01276
OG0000487	Prbd.g_00944	Syal.g_01282
OG0000488	Prbd.g_00941	Syal.g_01286
OG0000489	Prbd.g_00936	Syal.g_01298
OG0000490	Prbd.g_00931	Syal.g_01307
OG0000491	Prbd.g_00930	Syal.g_01308
OG0000492	Prbd.g_00928	Syal.g_01310
OG0000493	Prbd.g_00927	Syal.g_01311
OG0000494	Prbd.g_00926	Syal.g_01312
OG0000495	Prbd.g_00925	Syal.g_01313
OG0000496	Prbd.g_00924	Syal.g_01314
OG0000497	Prbd.g_00923	Syal.g_01315
OG0000498	Prbd.g_00922	Syal.g_01316
OG0000499	Prbd.g_00921	Syal.g_01317
OG0000500	Prbd.g_00920	Syal.g_01318
OG0000501	Prbd.g_00918	Syal.g_01321
OG0000502	Prbd.g_00915	Syal.g_01328
OG0000503	Prbd.g_00905	Syal.g_00347
OG0000504	Prbd.g_00904	Syal.g_00349
OG0000505	Prbd.g_00903	Syal.g_00350
OG0000506	Prbd.g_00901	Syal.g_00352
OG0000507	Prbd.g_00898	Syal.g_00358
OG0000508	Prbd.g_00894	Syal.g_00362
OG0000509	Prbd.g_00892	Syal.g_00364
OG0000510	Prbd.g_00891	Syal.g_00365
OG0000511	Prbd.g_00890	Syal.g_00366
OG0000512	Prbd.g_00888	Syal.g_00368
OG0000513	Prbd.g_00881	Syal.g_00551
OG0000514	Prbd.g_00811	Syal.g_00539
OG0000515	Prbd.g_00810	Syal.g_00538
OG0000516	Prbd.g_00809	Syal.g_00534
OG0000517	Prbd.g_00807	Syal.g_00526
OG0000518	Prbd.g_00796	Syal.g_00514
OG0000519	Prbd.g_00795	Syal.g_00513
OG0000520	Prbd.g_00794	Syal.g_00512
OG0000521	Prbd.g_00789	Syal.g_00502
OG0000522	Prbd.g_00787	Syal.g_00500
OG0000523	Prbd.g_00786	Syal.g_00499
OG0000524	Prbd.g_00781	Syal.g_00491
OG0000525	Prbd.g_00778	Syal.g_00473
OG0000526	Prbd.g_00777	Syal.g_00471
OG0000527	Prbd.g_00769	Syal.g_00465
OG0000528	Prbd.g_00764	Syal.g_02893
OG0000529	Prbd.g_00761	Syal.g_02898
OG0000530	Prbd.g_00758	Syal.g_02901
OG0000531	Prbd.g_00757	Syal.g_02902
OG0000532	Prbd.g_00755	Syal.g_02905
OG0000533	Prbd.g_00754	Syal.g_02907
OG0000534	Prbd.g_00753	Syal.g_02908
OG0000535	Prbd.g_00752	Syal.g_02909
OG0000536	Prbd.g_00751	Syal.g_02910
OG0000537	Prbd.g_00750	Syal.g_02911
OG0000538	Prbd.g_00742	Syal.g_02923
OG0000539	Prbd.g_00741	Syal.g_02924
OG0000540	Prbd.g_00740	Syal.g_02925
OG0000541	Prbd.g_00739	Syal.g_02926
OG0000542	Prbd.g_00737	Syal.g_02929
OG0000543	Prbd.g_00735	Syal.g_02931
OG0000544	Prbd.g_00734	Syal.g_02932
OG0000545	Prbd.g_00732	Syal.g_02934
OG0000546	Prbd.g_00729	Syal.g_02936
OG0000547	Prbd.g_00727	Syal.g_02938
OG0000548	Prbd.g_00726	Syal.g_02939
OG0000549	Prbd.g_00724	Syal.g_02945
OG0000550	Prbd.g_00719	Syal.g_02949
OG0000551	Prbd.g_00715	Syal.g_02953
OG0000552	Prbd.g_00714	Syal.g_02954
OG0000553	Prbd.g_00713	Syal.g_02843
OG0000554	Prbd.g_00708	Syal.g_02837
OG0000555	Prbd.g_00700	Syal.g_02823
OG0000556	Prbd.g_00698	Syal.g_02819
OG0000557	Prbd.g_00697	Syal.g_02816
OG0000558	Prbd.g_00695	Syal.g_02814
OG0000559	Prbd.g_00691	Syal.g_02305, Syal.g_02810
OG0000560	Prbd.g_00688	Syal.g_02807
