Orthogroup	Prbd	Syai
OG0000030	Prbd.g_01325	Syai.g_00096, Syai.g_00095
OG0000034	Prbd.g_01791	Syai.g_02192, Syai.g_02604
OG0000035	Prbd.g_01689	Syai.g_00955
OG0000037	Prbd.g_01135	Syai.g_02544, Syai.g_02815
OG0000038	Prbd.g_01283	Syai.g_02780
OG0000039	Prbd.g_00558	Syai.g_02034
OG0000040	Prbd.g_00448	Syai.g_02876
OG0000041	Prbd.g_01478	Syai.g_02265, Syai.g_02016
OG0000042	Prbd.g_01328	Syai.g_00099
OG0000045	Prbd.g_00867	Syai.g_02432
OG0000047	Prbd.g_00909	Syai.g_00462
OG0000048	Prbd.g_00439, Prbd.g_00864	Syai.g_00272
OG0000050	Prbd.g_01928	Syai.g_01893
OG0000050	Prbd.g_00375	Syai.g_01332
OG0000053	Prbd.g_01669	Syai.g_00930
OG0000054	Prbd.g_00638	Syai.g_01040
OG0000055	Prbd.g_00083	Syai.g_02029
OG0000057	Prbd.g_00546	Syai.g_01997
OG0000059	Prbd.g_01439	Syai.g_00351
OG0000060	Prbd.g_00824	Syai.g_00635, Syai.g_01758
OG0000061	Prbd.g_00468	Syai.g_02144
OG0000062	Prbd.g_01610	Syai.g_02358
OG0000063	Prbd.g_01204	Syai.g_00042
OG0000066	Prbd.g_00703	Syai.g_01709, Syai.g_00719
OG0000067	Prbd.g_00102	Syai.g_01321
OG0000068	Prbd.g_01764	Syai.g_00628
OG0000070	Prbd.g_00792	Syai.g_02196
OG0000071	Prbd.g_01801	Syai.g_02179
OG0000072	Prbd.g_01069	Syai.g_02636
OG0000073	Prbd.g_00743	Syai.g_00659
OG0000075	Prbd.g_01359	Syai.g_00161
OG0000076	Prbd.g_01335	Syai.g_00111
OG0000077	Prbd.g_01166	Syai.g_02486
OG0000078	Prbd.g_01000	Syai.g_00543
OG0000079	Prbd.g_00987	Syai.g_00300
OG0000081	Prbd.g_00711	Syai.g_00553, Syai.g_02292
OG0000082	Prbd.g_00658	Syai.g_00781
OG0000084	Prbd.g_01693	Syai.g_01196, Syai.g_00958
OG0000085	Prbd.g_01532	Syai.g_02365
OG0000086	Prbd.g_01156	Syai.g_02507
OG0000087	Prbd.g_01104, Prbd.g_01103	Syai.g_02592
OG0000088	Prbd.g_01074	Syai.g_02630
OG0000089	Prbd.g_00883	Syai.g_00517
OG0000090	Prbd.g_00709	Syai.g_00707
OG0000091	Prbd.g_00602	Syai.g_01112
OG0000092	Prbd.g_00211, Prbd.g_01193	Syai.g_01358
OG0000093	Prbd.g_00232	Syai.g_01306
OG0000094	Prbd.g_00321	Syai.g_01424
OG0000095	Prbd.g_00340	Syai.g_02007
OG0000097	Prbd.g_00509	Syai.g_01787
OG0000098	Prbd.g_01782	Syai.g_01718
OG0000099	Prbd.g_01734	Syai.g_00199
OG0000100	Prbd.g_01614	Syai.g_01372
OG0000101	Prbd.g_01391	Syai.g_00404
OG0000102	Prbd.g_01330	Syai.g_00106
OG0000103	Prbd.g_01250	Syai.g_02912
OG0000104	Prbd.g_01241	Syai.g_02929
OG0000105	Prbd.g_00965	Syai.g_00267
OG0000106	Prbd.g_00868	Syai.g_01601
OG0000107	Prbd.g_00852	Syai.g_00319
OG0000108	Prbd.g_00762	Syai.g_00638
OG0000109	Prbd.g_00748	Syai.g_00653
OG0000110	Prbd.g_00668	Syai.g_00878, Syai.g_00766
OG0000111	Prbd.g_00545	Syai.g_00884, Syai.g_01998
OG0000112	Prbd.g_00066	Syai.g_01512
OG0000113	Prbd.g_00124	Syai.g_01367
OG0000114	Prbd.g_00206	Syai.g_01261
OG0000115	Prbd.g_00401	Syai.g_00932
OG0000116	Prbd.g_00458	Syai.g_02156
OG0000117	Prbd.g_01895	Syai.g_01756
OG0000118	Prbd.g_01789	Syai.g_00818
OG0000119	Prbd.g_01768	Syai.g_02127
OG0000120	Prbd.g_01737	Syai.g_00198
OG0000121	Prbd.g_01687	Syai.g_00951
OG0000122	Prbd.g_01649	Syai.g_01143
OG0000123	Prbd.g_01384	Syai.g_00411
OG0000124	Prbd.g_01318	Syai.g_00089
OG0000125	Prbd.g_01281	Syai.g_02782
OG0000126	Prbd.g_01242	Syai.g_02927
OG0000128	Prbd.g_01226	Syai.g_00012
OG0000129	Prbd.g_01194	Syai.g_02771
OG0000130	Prbd.g_01175	Syai.g_02474
OG0000131	Prbd.g_01095	Syai.g_02608
OG0000132	Prbd.g_01076	Syai.g_02628
OG0000133	Prbd.g_00917	Syai.g_01507
OG0000134	Prbd.g_00882	Syai.g_00520
OG0000135	Prbd.g_00855	Syai.g_02826
OG0000136	Prbd.g_01722, Prbd.g_00801	Syai.g_02217
OG0000137	Prbd.g_00767	Syai.g_00865
OG0000138	Prbd.g_00747	Syai.g_00654
OG0000139	Prbd.g_00705	Syai.g_00714
OG0000140	Prbd.g_00704	Syai.g_00716
OG0000141	Prbd.g_00637	Syai.g_01041
OG0000142	Prbd.g_00609	Syai.g_01104
OG0000143	Prbd.g_00605	Syai.g_01108
OG0000144	Prbd.g_00592	Syai.g_01608
OG0000145	Prbd.g_00062	Syai.g_00660
OG0000146	Prbd.g_00067	Syai.g_01513
OG0000147	Prbd.g_00068	Syai.g_01514
OG0000148	Prbd.g_00118	Syai.g_01361
OG0000149	Prbd.g_00149	Syai.g_02059
OG0000150	Prbd.g_00157	Syai.g_00717
OG0000151	Prbd.g_00216	Syai.g_01280
OG0000152	Prbd.g_00264	Syai.g_01503
OG0000153	Prbd.g_00283	Syai.g_01461
OG0000154	Prbd.g_00314	Syai.g_01434
OG0000155	Prbd.g_00488	Syai.g_02109
OG0000156	Prbd.g_01812	Syai.g_02162
OG0000157	Prbd.g_01811	Syai.g_02163
OG0000158	Prbd.g_01736	Syai.g_00135
OG0000160	Prbd.g_01688	Syai.g_00952
OG0000161	Prbd.g_01682	Syai.g_00946
OG0000162	Prbd.g_01676	Syai.g_00939
OG0000163	Prbd.g_01642	Syai.g_02300
OG0000164	Prbd.g_01501	Syai.g_02411
OG0000165	Prbd.g_01494	Syai.g_02244
OG0000166	Prbd.g_01427	Syai.g_00364
OG0000167	Prbd.g_01361	Syai.g_00164
OG0000168	Prbd.g_01351	Syai.g_00134
OG0000169	Prbd.g_01341	Syai.g_00123
OG0000170	Prbd.g_01339	Syai.g_00116
OG0000171	Prbd.g_01319	Syai.g_00090
OG0000172	Prbd.g_01310	Syai.g_00083
OG0000173	Prbd.g_01295	Syai.g_00064
OG0000174	Prbd.g_01268	Syai.g_02828
OG0000175	Prbd.g_01258	Syai.g_02901
OG0000176	Prbd.g_01233	Syai.g_00004
OG0000177	Prbd.g_01232	Syai.g_00005
OG0000178	Prbd.g_01231	Syai.g_00006
OG0000179	Prbd.g_01221	Syai.g_00023
OG0000180	Prbd.g_01220	Syai.g_00024
OG0000181	Prbd.g_01219	Syai.g_00025
OG0000182	Prbd.g_01218	Syai.g_00026
OG0000183	Prbd.g_01214	Syai.g_00030
OG0000184	Prbd.g_01191	Syai.g_02756
OG0000185	Prbd.g_01188	Syai.g_02734
OG0000186	Prbd.g_01180	Syai.g_02469
OG0000187	Prbd.g_01179	Syai.g_02471
OG0000188	Prbd.g_01162	Syai.g_00696, Syai.g_02494
OG0000189	Prbd.g_01148	Syai.g_02530
OG0000190	Prbd.g_01147	Syai.g_02532
OG0000191	Prbd.g_01126	Syai.g_02562
OG0000192	Prbd.g_01122	Syai.g_02569
OG0000193	Prbd.g_01094	Syai.g_02609
OG0000194	Prbd.g_01091	Syai.g_02612
OG0000195	Prbd.g_01089	Syai.g_02614
OG0000196	Prbd.g_01079	Syai.g_02625
OG0000197	Prbd.g_01078	Syai.g_02626
OG0000198	Prbd.g_01077	Syai.g_02627
OG0000199	Prbd.g_01070	Syai.g_02635
OG0000200	Prbd.g_01056	Syai.g_02651
OG0000201	Prbd.g_01048	Syai.g_02667
OG0000202	Prbd.g_01047	Syai.g_02668
OG0000203	Prbd.g_01046	Syai.g_02669
OG0000204	Prbd.g_01045	Syai.g_02670
OG0000205	Prbd.g_01038	Syai.g_02677
OG0000206	Prbd.g_01033	Syai.g_02684
OG0000207	Prbd.g_01031	Syai.g_02686
OG0000208	Prbd.g_01030	Syai.g_02687
OG0000209	Prbd.g_01021	Syai.g_02699
OG0000210	Prbd.g_01020	Syai.g_02700
OG0000211	Prbd.g_01006	Syai.g_00533
OG0000212	Prbd.g_00999	Syai.g_00544
OG0000213	Prbd.g_00982	Syai.g_00292
OG0000214	Prbd.g_00972	Syai.g_00276
OG0000215	Prbd.g_00947	Syai.g_00245
OG0000216	Prbd.g_00945	Syai.g_00241
OG0000217	Prbd.g_00942	Syai.g_00237
OG0000218	Prbd.g_00940	Syai.g_00235
OG0000219	Prbd.g_00939	Syai.g_00234
OG0000220	Prbd.g_00938	Syai.g_00233
OG0000221	Prbd.g_00937	Syai.g_00227
OG0000222	Prbd.g_00929	Syai.g_00215
OG0000223	Prbd.g_00916	Syai.g_00194
OG0000224	Prbd.g_00914	Syai.g_00186
OG0000225	Prbd.g_00893	Syai.g_00502
OG0000226	Prbd.g_00889	Syai.g_00506
OG0000227	Prbd.g_00887	Syai.g_00508
OG0000228	Prbd.g_00884	Syai.g_00516
OG0000229	Prbd.g_00806	Syai.g_02228
OG0000230	Prbd.g_00804	Syai.g_02226
OG0000231	Prbd.g_00793	Syai.g_02208
OG0000232	Prbd.g_00784	Syai.g_00846
OG0000233	Prbd.g_00779	Syai.g_00855
OG0000234	Prbd.g_00766	Syai.g_00866
OG0000235	Prbd.g_00763	Syai.g_00637
OG0000236	Prbd.g_00749	Syai.g_00652
OG0000237	Prbd.g_00736	Syai.g_00669
OG0000238	Prbd.g_00730	Syai.g_00674
OG0000239	Prbd.g_00717	Syai.g_00691
OG0000240	Prbd.g_00716	Syai.g_00692
OG0000241	Prbd.g_00712	Syai.g_01085, Syai.g_01089
OG0000242	Prbd.g_00710	Syai.g_00705
OG0000243	Prbd.g_00699	Syai.g_00726
OG0000244	Prbd.g_00696	Syai.g_00731
OG0000245	Prbd.g_00694	Syai.g_00733
OG0000246	Prbd.g_00690	Syai.g_00737
OG0000247	Prbd.g_00680	Syai.g_00748
OG0000248	Prbd.g_00678	Syai.g_00751
OG0000249	Prbd.g_00676	Syai.g_00753
OG0000250	Prbd.g_00671	Syai.g_00762
OG0000251	Prbd.g_00653	Syai.g_00789
OG0000252	Prbd.g_00650	Syai.g_00797
OG0000253	Prbd.g_00649	Syai.g_00798
OG0000254	Prbd.g_00633	Syai.g_01045
OG0000255	Prbd.g_00627	Syai.g_01061
OG0000256	Prbd.g_00617	Syai.g_01077
OG0000257	Prbd.g_00614	Syai.g_01084
OG0000258	Prbd.g_00601	Syai.g_01113
OG0000259	Prbd.g_00584	Syai.g_01229
OG0000260	Prbd.g_00581	Syai.g_01232
OG0000261	Prbd.g_00579	Syai.g_01235
OG0000262	Prbd.g_00575	Syai.g_01240
OG0000263	Prbd.g_00563	Syai.g_01776
OG0000264	Prbd.g_00553	Syai.g_01962
OG0000265	Prbd.g_00007	Syai.g_02245
OG0000266	Prbd.g_00017	Syai.g_01401
OG0000267	Prbd.g_00028	Syai.g_01569
OG0000268	Prbd.g_00029	Syai.g_01568
OG0000269	Prbd.g_00097	Syai.g_01316
OG0000270	Prbd.g_00100	Syai.g_01319
OG0000271	Prbd.g_00108	Syai.g_01327
OG0000272	Prbd.g_00109	Syai.g_01328
OG0000273	Prbd.g_00132	Syai.g_02037
OG0000274	Prbd.g_00133	Syai.g_02038
OG0000275	Prbd.g_00136	Syai.g_02043
OG0000276	Prbd.g_00141	Syai.g_02051
OG0000277	Prbd.g_00142	Syai.g_02052
OG0000278	Prbd.g_00145	Syai.g_02055
OG0000279	Prbd.g_00152	Syai.g_02063
OG0000280	Prbd.g_00153	Syai.g_02084
OG0000281	Prbd.g_00158	Syai.g_01719
OG0000282	Prbd.g_00208	Syai.g_01263
OG0000283	Prbd.g_00241	Syai.g_01554
OG0000284	Prbd.g_00246	Syai.g_01548
OG0000285	Prbd.g_00251	Syai.g_01522
OG0000286	Prbd.g_00263	Syai.g_01504
OG0000287	Prbd.g_00280	Syai.g_01469
OG0000288	Prbd.g_00313	Syai.g_01435
OG0000289	Prbd.g_00324	Syai.g_01421
OG0000290	Prbd.g_00337	Syai.g_02010
OG0000291	Prbd.g_00339	Syai.g_02008
OG0000292	Prbd.g_00389	Syai.g_02926
OG0000293	Prbd.g_00459	Syai.g_02155
OG0000294	Prbd.g_00460	Syai.g_02154
OG0000295	Prbd.g_00480	Syai.g_02117
OG0000296	Prbd.g_00482	Syai.g_02115
OG0000297	Prbd.g_00490	Syai.g_01754
OG0000298	Prbd.g_00491	Syai.g_01755
OG0000299	Prbd.g_00508	Syai.g_01783
OG0000300	Prbd.g_00511	Syai.g_01790
OG0000301	Prbd.g_00512	Syai.g_01791
OG0000302	Prbd.g_00514	Syai.g_01793
OG0000303	Prbd.g_00521	Syai.g_01802
OG0000304	Prbd.g_00525	Syai.g_01826
OG0000305	Prbd.g_01772	Syai.g_02005
OG0000306	Prbd.g_01769	Syai.g_02090
OG0000307	Prbd.g_01755	Syai.g_00619
OG0000308	Prbd.g_01754	Syai.g_00617
OG0000309	Prbd.g_01750	Syai.g_00612
OG0000310	Prbd.g_01704	Syai.g_00989
OG0000311	Prbd.g_01702	Syai.g_00985
OG0000312	Prbd.g_01699	Syai.g_00966
OG0000313	Prbd.g_01685	Syai.g_00949
OG0000314	Prbd.g_01662	Syai.g_00908
OG0000315	Prbd.g_01652	Syai.g_00897
OG0000316	Prbd.g_01632	Syai.g_02320, Syai.g_02322
OG0000317	Prbd.g_01527	Syai.g_02373
OG0000318	Prbd.g_01524	Syai.g_02379
OG0000319	Prbd.g_01511	Syai.g_02395
OG0000320	Prbd.g_01509	Syai.g_02397
OG0000321	Prbd.g_01508	Syai.g_02398
OG0000322	Prbd.g_01507	Syai.g_02399
OG0000323	Prbd.g_01498	Syai.g_02413
OG0000324	Prbd.g_01471	Syai.g_02272
OG0000325	Prbd.g_01462	Syai.g_00320
OG0000326	Prbd.g_01456	Syai.g_00327
OG0000327	Prbd.g_01432	Syai.g_00359
OG0000328	Prbd.g_01431	Syai.g_00360
OG0000329	Prbd.g_01414	Syai.g_00378
OG0000330	Prbd.g_01413	Syai.g_00379
OG0000331	Prbd.g_01412	Syai.g_00380
OG0000332	Prbd.g_01398	Syai.g_00395
OG0000333	Prbd.g_01396	Syai.g_00398
OG0000334	Prbd.g_01388	Syai.g_00407
OG0000335	Prbd.g_01383	Syai.g_00412
OG0000336	Prbd.g_01379	Syai.g_00416
OG0000337	Prbd.g_01363	Syai.g_00169
OG0000338	Prbd.g_01362	Syai.g_00166
OG0000339	Prbd.g_01358	Syai.g_00160
OG0000340	Prbd.g_01350	Syai.g_00133
OG0000341	Prbd.g_01348	Syai.g_00131
OG0000342	Prbd.g_01347	Syai.g_00130
OG0000343	Prbd.g_01346	Syai.g_00129
OG0000344	Prbd.g_01343	Syai.g_00125
OG0000345	Prbd.g_01338	Syai.g_00115
OG0000346	Prbd.g_01334	Syai.g_00110
OG0000347	Prbd.g_01317	Syai.g_00087
OG0000348	Prbd.g_01307	Syai.g_00076
OG0000349	Prbd.g_01290	Syai.g_00057
OG0000350	Prbd.g_01272	Syai.g_00334
OG0000351	Prbd.g_01255	Syai.g_02904
OG0000352	Prbd.g_01254	Syai.g_02905
OG0000353	Prbd.g_01238	Syai.g_02932
OG0000355	Prbd.g_01236	Syai.g_00001
OG0000356	Prbd.g_01235	Syai.g_00002
OG0000357	Prbd.g_01234	Syai.g_00003
OG0000358	Prbd.g_01230	Syai.g_00007
OG0000359	Prbd.g_01229	Syai.g_00009
OG0000360	Prbd.g_01228	Syai.g_00010
OG0000361	Prbd.g_01227	Syai.g_00011
OG0000362	Prbd.g_01225	Syai.g_00013
OG0000363	Prbd.g_01223	Syai.g_00015
OG0000364	Prbd.g_01222	Syai.g_00016
OG0000365	Prbd.g_01217	Syai.g_00027
OG0000366	Prbd.g_01216	Syai.g_00028
OG0000367	Prbd.g_01215	Syai.g_00029
OG0000368	Prbd.g_01213	Syai.g_00031
OG0000369	Prbd.g_01212	Syai.g_00032
OG0000370	Prbd.g_01211	Syai.g_00033
OG0000371	Prbd.g_01205	Syai.g_00041
OG0000372	Prbd.g_01202	Syai.g_00047
OG0000373	Prbd.g_01201	Syai.g_00048
OG0000374	Prbd.g_01200	Syai.g_00049
OG0000375	Prbd.g_01198	Syai.g_00053
OG0000376	Prbd.g_01196	Syai.g_00055
OG0000377	Prbd.g_01192	Syai.g_02769
OG0000378	Prbd.g_01190	Syai.g_02751
OG0000379	Prbd.g_01187	Syai.g_02733
OG0000380	Prbd.g_01178	Syai.g_02472
OG0000381	Prbd.g_01174	Syai.g_02475
OG0000382	Prbd.g_01163	Syai.g_02493
OG0000383	Prbd.g_01161	Syai.g_02498
OG0000384	Prbd.g_01160	Syai.g_02499
OG0000385	Prbd.g_01159	Syai.g_02500
OG0000386	Prbd.g_01158	Syai.g_02501
OG0000387	Prbd.g_01145	Syai.g_02534
OG0000388	Prbd.g_01142	Syai.g_02538
OG0000389	Prbd.g_01138	Syai.g_02542
OG0000390	Prbd.g_01131	Syai.g_02556
OG0000391	Prbd.g_01127	Syai.g_02561
OG0000392	Prbd.g_01123	Syai.g_02568
OG0000393	Prbd.g_01121	Syai.g_02570
OG0000394	Prbd.g_01120	Syai.g_02571
OG0000395	Prbd.g_01119	Syai.g_02572
OG0000396	Prbd.g_01116	Syai.g_02575
OG0000397	Prbd.g_01114	Syai.g_02577
OG0000398	Prbd.g_01112	Syai.g_02582
OG0000399	Prbd.g_01111	Syai.g_02583
OG0000400	Prbd.g_01110	Syai.g_02584
OG0000401	Prbd.g_01109	Syai.g_02585
OG0000402	Prbd.g_01107	Syai.g_02588
OG0000403	Prbd.g_01106	Syai.g_02589
OG0000404	Prbd.g_01105	Syai.g_02590
OG0000405	Prbd.g_01100	Syai.g_02606
OG0000406	Prbd.g_01093	Syai.g_02610
OG0000407	Prbd.g_01092	Syai.g_02611
OG0000408	Prbd.g_01090	Syai.g_02613
OG0000409	Prbd.g_01088	Syai.g_02615
OG0000410	Prbd.g_01087	Syai.g_02616
OG0000411	Prbd.g_01086	Syai.g_02617
OG0000412	Prbd.g_01085	Syai.g_02618
OG0000413	Prbd.g_01084	Syai.g_02620
OG0000414	Prbd.g_01083	Syai.g_02621
OG0000415	Prbd.g_01082	Syai.g_02622
OG0000416	Prbd.g_01081	Syai.g_02623
OG0000417	Prbd.g_01080	Syai.g_02624
OG0000418	Prbd.g_01075	Syai.g_02629
OG0000419	Prbd.g_01073	Syai.g_02631
OG0000420	Prbd.g_01072	Syai.g_02633
OG0000421	Prbd.g_01067	Syai.g_02638
OG0000422	Prbd.g_01066	Syai.g_02639
OG0000423	Prbd.g_01065	Syai.g_02640
OG0000424	Prbd.g_01064	Syai.g_02641
OG0000425	Prbd.g_01063	Syai.g_02642
OG0000426	Prbd.g_01062	Syai.g_02643
OG0000427	Prbd.g_01061	Syai.g_02644
OG0000428	Prbd.g_01059	Syai.g_02647
OG0000429	Prbd.g_01058	Syai.g_02649
OG0000430	Prbd.g_01057	Syai.g_02650
OG0000431	Prbd.g_01055	Syai.g_02654
OG0000432	Prbd.g_01052	Syai.g_02660
OG0000433	Prbd.g_01051	Syai.g_02662
OG0000434	Prbd.g_01050	Syai.g_02663
OG0000435	Prbd.g_01049	Syai.g_02666
OG0000436	Prbd.g_01044	Syai.g_02671
OG0000437	Prbd.g_01043	Syai.g_02672
OG0000438	Prbd.g_01042	Syai.g_02673
OG0000439	Prbd.g_01040	Syai.g_02675
OG0000440	Prbd.g_01039	Syai.g_02676
OG0000441	Prbd.g_01036	Syai.g_02681
OG0000442	Prbd.g_01035	Syai.g_02682
OG0000443	Prbd.g_01034	Syai.g_02683
OG0000444	Prbd.g_01029	Syai.g_02688
OG0000445	Prbd.g_01028	Syai.g_02689
OG0000446	Prbd.g_01027	Syai.g_02690
OG0000447	Prbd.g_01026	Syai.g_02693
OG0000448	Prbd.g_01025	Syai.g_02694
OG0000449	Prbd.g_01024	Syai.g_02695
OG0000450	Prbd.g_01023	Syai.g_02696
OG0000451	Prbd.g_01022	Syai.g_02697
OG0000452	Prbd.g_01019	Syai.g_02701
OG0000453	Prbd.g_01018	Syai.g_02702
OG0000454	Prbd.g_01017	Syai.g_02703
OG0000455	Prbd.g_01016	Syai.g_02704
OG0000456	Prbd.g_01015	Syai.g_02705
OG0000457	Prbd.g_01013	Syai.g_02707
OG0000458	Prbd.g_01012	Syai.g_02708
OG0000459	Prbd.g_01011	Syai.g_02709
OG0000460	Prbd.g_01004	Syai.g_00535
OG0000461	Prbd.g_00997	Syai.g_00314
OG0000462	Prbd.g_00995	Syai.g_00311
OG0000463	Prbd.g_00994	Syai.g_00310
OG0000464	Prbd.g_00993	Syai.g_00309
OG0000465	Prbd.g_00992	Syai.g_00307
OG0000466	Prbd.g_00989	Syai.g_00303
OG0000467	Prbd.g_00988	Syai.g_00301
OG0000468	Prbd.g_00986	Syai.g_00296
OG0000469	Prbd.g_00977	Syai.g_00282
OG0000470	Prbd.g_00975	Syai.g_00280
OG0000471	Prbd.g_00974	Syai.g_00279
OG0000472	Prbd.g_00973	Syai.g_00277
OG0000473	Prbd.g_00971	Syai.g_00275
OG0000474	Prbd.g_00970	Syai.g_00274
OG0000475	Prbd.g_00969	Syai.g_00273
OG0000476	Prbd.g_00968	Syai.g_00271
OG0000477	Prbd.g_00964	Syai.g_00265
OG0000478	Prbd.g_00963	Syai.g_00264
OG0000479	Prbd.g_00962	Syai.g_00263
OG0000480	Prbd.g_00957	Syai.g_00256
OG0000481	Prbd.g_00955	Syai.g_00254
OG0000482	Prbd.g_00954	Syai.g_00253
OG0000483	Prbd.g_00951	Syai.g_00249
OG0000484	Prbd.g_00950	Syai.g_00248
OG0000485	Prbd.g_00949	Syai.g_00247
OG0000486	Prbd.g_00948	Syai.g_00246
OG0000487	Prbd.g_00944	Syai.g_00240
OG0000488	Prbd.g_00941	Syai.g_00236
OG0000489	Prbd.g_00936	Syai.g_00226
OG0000490	Prbd.g_00931	Syai.g_00218
OG0000491	Prbd.g_00930	Syai.g_00217
OG0000492	Prbd.g_00928	Syai.g_00214
OG0000493	Prbd.g_00927	Syai.g_00213
OG0000494	Prbd.g_00926	Syai.g_00212
OG0000495	Prbd.g_00925	Syai.g_00211
OG0000496	Prbd.g_00924	Syai.g_00210
OG0000497	Prbd.g_00923	Syai.g_00209
OG0000498	Prbd.g_00922	Syai.g_00208
OG0000499	Prbd.g_00921	Syai.g_00207
OG0000500	Prbd.g_00920	Syai.g_00206
OG0000501	Prbd.g_00918	Syai.g_00203
OG0000502	Prbd.g_00915	Syai.g_00192
OG0000503	Prbd.g_00905	Syai.g_00486
OG0000504	Prbd.g_00904	Syai.g_00488
OG0000505	Prbd.g_00903	Syai.g_00489
OG0000506	Prbd.g_00901	Syai.g_00491
OG0000507	Prbd.g_00898	Syai.g_00497
OG0000508	Prbd.g_00894	Syai.g_00501
OG0000509	Prbd.g_00892	Syai.g_00503
OG0000510	Prbd.g_00891	Syai.g_00504
OG0000511	Prbd.g_00890	Syai.g_00505
OG0000512	Prbd.g_00888	Syai.g_00507
OG0000513	Prbd.g_00881	Syai.g_00521
OG0000514	Prbd.g_00811	Syai.g_00528
OG0000515	Prbd.g_00810	Syai.g_00529
OG0000516	Prbd.g_00809	Syai.g_02223
OG0000517	Prbd.g_00807	Syai.g_02229
OG0000518	Prbd.g_00796	Syai.g_02211
OG0000519	Prbd.g_00795	Syai.g_02210
OG0000520	Prbd.g_00794	Syai.g_02209
OG0000521	Prbd.g_00789	Syai.g_00842
OG0000522	Prbd.g_00787	Syai.g_00844
OG0000523	Prbd.g_00786	Syai.g_00845
OG0000524	Prbd.g_00781	Syai.g_00852
OG0000525	Prbd.g_00778	Syai.g_00856
OG0000526	Prbd.g_00777	Syai.g_00859
OG0000527	Prbd.g_00769	Syai.g_00863
OG0000528	Prbd.g_00764	Syai.g_00633
OG0000529	Prbd.g_00761	Syai.g_00639
OG0000530	Prbd.g_00758	Syai.g_00642
OG0000531	Prbd.g_00757	Syai.g_00643
OG0000532	Prbd.g_00755	Syai.g_00646
OG0000533	Prbd.g_00754	Syai.g_00647
OG0000534	Prbd.g_00753	Syai.g_00648
OG0000535	Prbd.g_00752	Syai.g_00649
OG0000536	Prbd.g_00751	Syai.g_00650
OG0000537	Prbd.g_00750	Syai.g_00651
OG0000538	Prbd.g_00742	Syai.g_00662
OG0000539	Prbd.g_00741	Syai.g_00663
OG0000540	Prbd.g_00740	Syai.g_00664
OG0000541	Prbd.g_00739	Syai.g_00665
OG0000542	Prbd.g_00737	Syai.g_00668
OG0000543	Prbd.g_00735	Syai.g_00670
OG0000544	Prbd.g_00734	Syai.g_00671
OG0000545	Prbd.g_00732	Syai.g_00673
OG0000546	Prbd.g_00729	Syai.g_00675
OG0000547	Prbd.g_00727	Syai.g_00677
OG0000548	Prbd.g_00726	Syai.g_00678
OG0000549	Prbd.g_00724	Syai.g_00684
OG0000550	Prbd.g_00719	Syai.g_00689
OG0000551	Prbd.g_00715	Syai.g_00694
OG0000552	Prbd.g_00714	Syai.g_00695
OG0000553	Prbd.g_00713	Syai.g_00698
OG0000554	Prbd.g_00708	Syai.g_00708
OG0000555	Prbd.g_00700	Syai.g_00725
OG0000556	Prbd.g_00698	Syai.g_00728
OG0000557	Prbd.g_00697	Syai.g_00730
