Orthogroup	Prbd	Syaq
OG0000048	Prbd.g_00439, Prbd.g_00864	Syaq.g_00749
OG0000053	Prbd.g_01669	Syaq.g_00397
OG0000054	Prbd.g_00638	Syaq.g_02005
OG0000055	Prbd.g_00083	Syaq.g_02700
OG0000057	Prbd.g_00546	Syaq.g_02541, Syaq.g_02605
OG0000059	Prbd.g_01439	Syaq.g_00657
OG0000060	Prbd.g_00824	Syaq.g_00456, Syaq.g_01770, Syaq.g_00201
OG0000061	Prbd.g_00468	Syaq.g_00249
OG0000062	Prbd.g_01610	Syaq.g_01690
OG0000063	Prbd.g_01204	Syaq.g_01110
OG0000065	Prbd.g_01137	Syaq.g_01487, Syaq.g_01908
OG0000066	Prbd.g_00703	Syaq.g_01851
OG0000067	Prbd.g_00102	Syaq.g_02340, Syaq.g_02560
OG0000068	Prbd.g_01764	Syaq.g_01763
OG0000070	Prbd.g_00792	Syaq.g_00484
OG0000071	Prbd.g_01801	Syaq.g_00297
OG0000072	Prbd.g_01069	Syaq.g_01397
OG0000073	Prbd.g_00743	Syaq.g_01795
OG0000075	Prbd.g_01359	Syaq.g_00986
OG0000076	Prbd.g_01335	Syaq.g_01028
OG0000077	Prbd.g_01166	Syaq.g_01547
OG0000078	Prbd.g_01000	Syaq.g_01585
OG0000079	Prbd.g_00987	Syaq.g_00721
OG0000081	Prbd.g_00711	Syaq.g_01893
OG0000082	Prbd.g_00658	Syaq.g_01975
OG0000084	Prbd.g_01693	Syaq.g_00367
OG0000085	Prbd.g_01532	Syaq.g_01683
OG0000086	Prbd.g_01156	Syaq.g_01525
OG0000087	Prbd.g_01104, Prbd.g_01103	Syaq.g_01438
OG0000088	Prbd.g_01074	Syaq.g_01402
OG0000089	Prbd.g_00883	Syaq.g_00529
OG0000090	Prbd.g_00709	Syaq.g_01838
OG0000091	Prbd.g_00602	Syaq.g_02090
OG0000093	Prbd.g_00232	Syaq.g_02323
OG0000094	Prbd.g_00321	Syaq.g_00056, Syaq.g_02554
OG0000095	Prbd.g_00340	Syaq.g_02679
OG0000097	Prbd.g_00509	Syaq.g_00167
OG0000098	Prbd.g_01782	Syaq.g_02221, Syaq.g_01849
OG0000099	Prbd.g_01734	Syaq.g_00882
OG0000100	Prbd.g_01614	Syaq.g_02371
OG0000101	Prbd.g_01391	Syaq.g_00607
OG0000102	Prbd.g_01330	Syaq.g_01033
OG0000103	Prbd.g_01250	Syaq.g_01170
OG0000104	Prbd.g_01241	Syaq.g_01154
OG0000105	Prbd.g_00965	Syaq.g_00754
OG0000106	Prbd.g_00868	Syaq.g_01863
OG0000107	Prbd.g_00852	Syaq.g_00694
OG0000108	Prbd.g_00762	Syaq.g_01772
OG0000109	Prbd.g_00748	Syaq.g_01788
OG0000110	Prbd.g_00668	Syaq.g_01962
OG0000111	Prbd.g_00545	Syaq.g_02606
OG0000112	Prbd.g_00066	Syaq.g_02476
OG0000114	Prbd.g_00206	Syaq.g_02269
OG0000115	Prbd.g_00401	Syaq.g_00395
OG0000116	Prbd.g_00458	Syaq.g_00263
OG0000117	Prbd.g_01895	Syaq.g_00203
OG0000118	Prbd.g_01789	Syaq.g_00325, Syaq.g_00316
OG0000120	Prbd.g_01737	Syaq.g_00883
OG0000121	Prbd.g_01687	Syaq.g_00375
OG0000122	Prbd.g_01649	Syaq.g_02118
OG0000123	Prbd.g_01384	Syaq.g_00599
OG0000124	Prbd.g_01318	Syaq.g_01055
OG0000125	Prbd.g_01281	Syaq.g_01256
OG0000126	Prbd.g_01242	Syaq.g_01156
OG0000128	Prbd.g_01226	Syaq.g_01138
OG0000129	Prbd.g_01194	Syaq.g_01269
OG0000130	Prbd.g_01175	Syaq.g_01559
OG0000131	Prbd.g_01095	Syaq.g_01427, Syaq.g_01424
OG0000132	Prbd.g_01076	Syaq.g_01036, Syaq.g_01404
OG0000133	Prbd.g_00917	Syaq.g_02481
OG0000134	Prbd.g_00882	Syaq.g_00526
OG0000135	Prbd.g_00855	Syaq.g_01227
OG0000136	Prbd.g_01722, Prbd.g_00801	Syaq.g_00496
OG0000137	Prbd.g_00767	Syaq.g_00442
OG0000138	Prbd.g_00747	Syaq.g_01789
OG0000139	Prbd.g_00705	Syaq.g_01844
OG0000140	Prbd.g_00704	Syaq.g_01848
OG0000141	Prbd.g_00637	Syaq.g_02010
OG0000142	Prbd.g_00609	Syaq.g_02082
OG0000143	Prbd.g_00605	Syaq.g_02086
OG0000144	Prbd.g_00592	Syaq.g_02152
OG0000145	Prbd.g_00062	Syaq.g_01796
OG0000146	Prbd.g_00067	Syaq.g_02475
OG0000147	Prbd.g_00068	Syaq.g_02474
OG0000148	Prbd.g_00118	Syaq.g_02359
OG0000149	Prbd.g_00149	Syaq.g_02395
OG0000150	Prbd.g_00157	Syaq.g_02011
OG0000151	Prbd.g_00216	Syaq.g_02283
OG0000152	Prbd.g_00264	Syaq.g_02485
OG0000153	Prbd.g_00283	Syaq.g_02518
OG0000154	Prbd.g_00314	Syaq.g_00066
OG0000155	Prbd.g_00488	Syaq.g_00212
OG0000156	Prbd.g_01812	Syaq.g_00281
OG0000157	Prbd.g_01811	Syaq.g_00282
OG0000158	Prbd.g_01736	Syaq.g_01003
OG0000159	Prbd.g_01735	Syaq.g_00918, Syaq.g_00941
OG0000160	Prbd.g_01688	Syaq.g_00374
OG0000161	Prbd.g_01682	Syaq.g_00382
OG0000162	Prbd.g_01676	Syaq.g_00389
OG0000163	Prbd.g_01642	Syaq.g_02373, Syaq.g_01730
OG0000164	Prbd.g_01501	Syaq.g_01642
OG0000165	Prbd.g_01494	Syaq.g_01630
OG0000166	Prbd.g_01427	Syaq.g_00647
OG0000167	Prbd.g_01361	Syaq.g_00983
OG0000168	Prbd.g_01351	Syaq.g_01004
OG0000169	Prbd.g_01341	Syaq.g_01016
OG0000170	Prbd.g_01339	Syaq.g_01023
OG0000171	Prbd.g_01319	Syaq.g_01052
OG0000172	Prbd.g_01310	Syaq.g_01074
OG0000173	Prbd.g_01295	Syaq.g_01092
OG0000174	Prbd.g_01268	Syaq.g_01224
OG0000175	Prbd.g_01258	Syaq.g_01183
OG0000176	Prbd.g_01233	Syaq.g_01146
OG0000177	Prbd.g_01232	Syaq.g_01145
OG0000178	Prbd.g_01231	Syaq.g_01144
OG0000179	Prbd.g_01221	Syaq.g_01129
OG0000180	Prbd.g_01220	Syaq.g_01128
OG0000181	Prbd.g_01219	Syaq.g_01127
OG0000182	Prbd.g_01218	Syaq.g_01126
OG0000183	Prbd.g_01214	Syaq.g_01122
OG0000184	Prbd.g_01191	Syaq.g_01277
OG0000185	Prbd.g_01188	Syaq.g_01290
OG0000186	Prbd.g_01180	Syaq.g_01563
OG0000187	Prbd.g_01179	Syaq.g_01561
OG0000188	Prbd.g_01162	Syaq.g_01539
OG0000189	Prbd.g_01148	Syaq.g_01499, Syaq.g_00122
OG0000190	Prbd.g_01147	Syaq.g_01497
OG0000191	Prbd.g_01126	Syaq.g_01467
OG0000192	Prbd.g_01122	Syaq.g_01462
OG0000193	Prbd.g_01094	Syaq.g_01423
OG0000194	Prbd.g_01091	Syaq.g_01420
OG0000195	Prbd.g_01089	Syaq.g_01418
OG0000196	Prbd.g_01079	Syaq.g_01407
OG0000197	Prbd.g_01078	Syaq.g_01406
OG0000198	Prbd.g_01077	Syaq.g_01405
OG0000199	Prbd.g_01070	Syaq.g_01398
OG0000200	Prbd.g_01056	Syaq.g_01382
OG0000201	Prbd.g_01048	Syaq.g_01365
OG0000202	Prbd.g_01047	Syaq.g_01364
OG0000203	Prbd.g_01046	Syaq.g_01363
OG0000204	Prbd.g_01045	Syaq.g_01362
OG0000205	Prbd.g_01038	Syaq.g_01355
OG0000206	Prbd.g_01033	Syaq.g_01345
OG0000207	Prbd.g_01031	Syaq.g_01338
OG0000208	Prbd.g_01030	Syaq.g_01337
OG0000209	Prbd.g_01021	Syaq.g_01310
OG0000210	Prbd.g_01020	Syaq.g_01309
OG0000211	Prbd.g_01006	Syaq.g_01570
OG0000212	Prbd.g_00999	Syaq.g_01586
OG0000213	Prbd.g_00982	Syaq.g_00729
OG0000214	Prbd.g_00972	Syaq.g_00745
OG0000215	Prbd.g_00947	Syaq.g_00777
OG0000216	Prbd.g_00945	Syaq.g_00781
OG0000217	Prbd.g_00942	Syaq.g_00844
OG0000218	Prbd.g_00940	Syaq.g_00846
OG0000219	Prbd.g_00939	Syaq.g_00847
OG0000220	Prbd.g_00938	Syaq.g_00848
OG0000221	Prbd.g_00937	Syaq.g_00856
OG0000222	Prbd.g_00929	Syaq.g_00868
OG0000223	Prbd.g_00916	Syaq.g_00946
OG0000224	Prbd.g_00914	Syaq.g_00950
OG0000225	Prbd.g_00893	Syaq.g_00543
OG0000226	Prbd.g_00889	Syaq.g_00536
OG0000227	Prbd.g_00887	Syaq.g_00534
OG0000228	Prbd.g_00884	Syaq.g_00531
OG0000229	Prbd.g_00806	Syaq.g_00501
OG0000230	Prbd.g_00804	Syaq.g_00499
OG0000231	Prbd.g_00793	Syaq.g_00485
OG0000232	Prbd.g_00784	Syaq.g_00472
OG0000233	Prbd.g_00779	Syaq.g_00464
OG0000234	Prbd.g_00766	Syaq.g_00440
OG0000235	Prbd.g_00763	Syaq.g_01771
OG0000236	Prbd.g_00749	Syaq.g_01787
OG0000237	Prbd.g_00736	Syaq.g_01805
OG0000238	Prbd.g_00730	Syaq.g_01810
OG0000239	Prbd.g_00717	Syaq.g_01826
OG0000240	Prbd.g_00716	Syaq.g_01827
OG0000241	Prbd.g_00712	Syaq.g_02074
OG0000242	Prbd.g_00710	Syaq.g_01836
OG0000243	Prbd.g_00699	Syaq.g_01922
OG0000244	Prbd.g_00696	Syaq.g_01928
OG0000245	Prbd.g_00694	Syaq.g_01930
OG0000246	Prbd.g_00690	Syaq.g_01934
OG0000247	Prbd.g_00680	Syaq.g_01945
OG0000248	Prbd.g_00678	Syaq.g_01948
OG0000249	Prbd.g_00676	Syaq.g_01950
OG0000250	Prbd.g_00671	Syaq.g_01958
OG0000251	Prbd.g_00653	Syaq.g_01984
OG0000252	Prbd.g_00650	Syaq.g_01987
OG0000253	Prbd.g_00649	Syaq.g_01989
OG0000254	Prbd.g_00633	Syaq.g_02016
OG0000255	Prbd.g_00627	Syaq.g_02041
OG0000256	Prbd.g_00617	Syaq.g_02068
OG0000257	Prbd.g_00614	Syaq.g_02073
OG0000258	Prbd.g_00601	Syaq.g_02095
OG0000259	Prbd.g_00584	Syaq.g_02239
OG0000260	Prbd.g_00581	Syaq.g_02242
OG0000261	Prbd.g_00579	Syaq.g_02245
OG0000262	Prbd.g_00575	Syaq.g_02250
OG0000263	Prbd.g_00563	Syaq.g_00185
OG0000264	Prbd.g_00553	Syaq.g_02582
OG0000266	Prbd.g_00017	Syaq.g_00037
OG0000267	Prbd.g_00028	Syaq.g_02430
OG0000268	Prbd.g_00029	Syaq.g_02431
OG0000269	Prbd.g_00097	Syaq.g_02335
OG0000270	Prbd.g_00100	Syaq.g_02338
OG0000271	Prbd.g_00108	Syaq.g_02346
OG0000272	Prbd.g_00109	Syaq.g_02347
OG0000273	Prbd.g_00132	Syaq.g_02376
OG0000274	Prbd.g_00133	Syaq.g_02377
OG0000275	Prbd.g_00136	Syaq.g_02380
OG0000276	Prbd.g_00141	Syaq.g_02387
OG0000277	Prbd.g_00142	Syaq.g_02388
OG0000278	Prbd.g_00145	Syaq.g_02391
OG0000279	Prbd.g_00152	Syaq.g_02401
OG0000280	Prbd.g_00153	Syaq.g_02410
OG0000281	Prbd.g_00158	Syaq.g_02224
OG0000282	Prbd.g_00208	Syaq.g_02271
OG0000283	Prbd.g_00241	Syaq.g_02445
OG0000284	Prbd.g_00246	Syaq.g_02450
OG0000285	Prbd.g_00251	Syaq.g_02466
OG0000286	Prbd.g_00263	Syaq.g_02484
OG0000287	Prbd.g_00280	Syaq.g_02511
OG0000288	Prbd.g_00313	Syaq.g_00067
OG0000289	Prbd.g_00324	Syaq.g_00053
OG0000290	Prbd.g_00337	Syaq.g_02682
OG0000291	Prbd.g_00339	Syaq.g_02680
OG0000292	Prbd.g_00389	Syaq.g_01157
OG0000293	Prbd.g_00459	Syaq.g_00262
OG0000294	Prbd.g_00460	Syaq.g_00261
OG0000295	Prbd.g_00480	Syaq.g_00220
OG0000296	Prbd.g_00482	Syaq.g_00218
OG0000297	Prbd.g_00490	Syaq.g_00205
OG0000298	Prbd.g_00491	Syaq.g_00204
OG0000299	Prbd.g_00508	Syaq.g_00171
OG0000300	Prbd.g_00511	Syaq.g_00164
OG0000301	Prbd.g_00512	Syaq.g_00163
OG0000302	Prbd.g_00514	Syaq.g_00162
OG0000303	Prbd.g_00521	Syaq.g_00152
OG0000304	Prbd.g_00525	Syaq.g_00146
OG0000305	Prbd.g_01772	Syaq.g_02677
OG0000306	Prbd.g_01769	Syaq.g_01861
OG0000307	Prbd.g_01755	Syaq.g_01754
OG0000308	Prbd.g_01754	Syaq.g_01752
OG0000309	Prbd.g_01750	Syaq.g_01747
OG0000310	Prbd.g_01704	Syaq.g_00347
OG0000311	Prbd.g_01702	Syaq.g_00352
OG0000312	Prbd.g_01699	Syaq.g_00359
OG0000313	Prbd.g_01685	Syaq.g_00379
OG0000314	Prbd.g_01662	Syaq.g_00408
OG0000315	Prbd.g_01652	Syaq.g_00418
OG0000316	Prbd.g_01632	Syaq.g_01716
OG0000317	Prbd.g_01527	Syaq.g_01675
OG0000318	Prbd.g_01524	Syaq.g_01672
OG0000319	Prbd.g_01511	Syaq.g_01657
OG0000320	Prbd.g_01509	Syaq.g_01655
OG0000321	Prbd.g_01508	Syaq.g_01654
OG0000322	Prbd.g_01507	Syaq.g_01653
OG0000323	Prbd.g_01498	Syaq.g_01638
OG0000324	Prbd.g_01471	Syaq.g_01605
OG0000325	Prbd.g_01462	Syaq.g_00693
OG0000326	Prbd.g_01456	Syaq.g_00686
OG0000327	Prbd.g_01432	Syaq.g_00652
OG0000328	Prbd.g_01431	Syaq.g_00651
OG0000329	Prbd.g_01414	Syaq.g_00633
OG0000330	Prbd.g_01413	Syaq.g_00632
OG0000331	Prbd.g_01412	Syaq.g_00631
OG0000332	Prbd.g_01398	Syaq.g_00616
OG0000333	Prbd.g_01396	Syaq.g_00613
OG0000334	Prbd.g_01388	Syaq.g_00603
OG0000335	Prbd.g_01383	Syaq.g_00598
OG0000336	Prbd.g_01379	Syaq.g_00594
OG0000337	Prbd.g_01363	Syaq.g_00975
OG0000338	Prbd.g_01362	Syaq.g_00981
OG0000339	Prbd.g_01358	Syaq.g_00988
OG0000340	Prbd.g_01350	Syaq.g_01005
OG0000341	Prbd.g_01348	Syaq.g_01007
OG0000342	Prbd.g_01347	Syaq.g_01008
OG0000343	Prbd.g_01346	Syaq.g_01010
OG0000344	Prbd.g_01343	Syaq.g_01014
OG0000345	Prbd.g_01338	Syaq.g_01024
OG0000346	Prbd.g_01334	Syaq.g_01029
OG0000347	Prbd.g_01317	Syaq.g_01057
OG0000348	Prbd.g_01307	Syaq.g_01070
OG0000349	Prbd.g_01290	Syaq.g_01099
OG0000350	Prbd.g_01272	Syaq.g_00679
OG0000351	Prbd.g_01255	Syaq.g_01179
OG0000352	Prbd.g_01254	Syaq.g_01178
OG0000353	Prbd.g_01238	Syaq.g_01151
OG0000355	Prbd.g_01236	Syaq.g_01149
OG0000356	Prbd.g_01235	Syaq.g_01148
OG0000357	Prbd.g_01234	Syaq.g_01147
OG0000358	Prbd.g_01230	Syaq.g_01143
OG0000359	Prbd.g_01229	Syaq.g_01141
OG0000360	Prbd.g_01228	Syaq.g_01140
OG0000361	Prbd.g_01227	Syaq.g_01139
OG0000362	Prbd.g_01225	Syaq.g_01137
OG0000363	Prbd.g_01223	Syaq.g_01135
OG0000364	Prbd.g_01222	Syaq.g_01134
OG0000365	Prbd.g_01217	Syaq.g_01125
OG0000366	Prbd.g_01216	Syaq.g_01124
OG0000367	Prbd.g_01215	Syaq.g_01123
OG0000368	Prbd.g_01213	Syaq.g_01121
OG0000369	Prbd.g_01212	Syaq.g_01120
OG0000370	Prbd.g_01211	Syaq.g_01119
OG0000371	Prbd.g_01205	Syaq.g_01111
OG0000372	Prbd.g_01202	Syaq.g_01106
OG0000373	Prbd.g_01201	Syaq.g_01105
OG0000374	Prbd.g_01200	Syaq.g_01104
OG0000375	Prbd.g_01198	Syaq.g_01103
OG0000376	Prbd.g_01196	Syaq.g_01101
OG0000377	Prbd.g_01192	Syaq.g_01270
OG0000378	Prbd.g_01190	Syaq.g_01286
OG0000379	Prbd.g_01187	Syaq.g_01291
OG0000380	Prbd.g_01178	Syaq.g_01560
OG0000381	Prbd.g_01174	Syaq.g_01558
OG0000382	Prbd.g_01163	Syaq.g_01540
OG0000383	Prbd.g_01161	Syaq.g_01535
OG0000384	Prbd.g_01160	Syaq.g_01534
OG0000385	Prbd.g_01159	Syaq.g_01533
OG0000386	Prbd.g_01158	Syaq.g_01532
OG0000387	Prbd.g_01145	Syaq.g_01495
OG0000388	Prbd.g_01142	Syaq.g_01491
OG0000389	Prbd.g_01138	Syaq.g_01488
OG0000390	Prbd.g_01131	Syaq.g_01473
OG0000391	Prbd.g_01127	Syaq.g_01468
OG0000392	Prbd.g_01123	Syaq.g_01463
OG0000393	Prbd.g_01121	Syaq.g_01460
OG0000394	Prbd.g_01120	Syaq.g_01459
OG0000395	Prbd.g_01119	Syaq.g_01458
OG0000396	Prbd.g_01116	Syaq.g_01455
OG0000397	Prbd.g_01114	Syaq.g_01453
OG0000398	Prbd.g_01112	Syaq.g_01448
OG0000399	Prbd.g_01111	Syaq.g_01447
OG0000400	Prbd.g_01110	Syaq.g_01446
OG0000401	Prbd.g_01109	Syaq.g_01445
OG0000402	Prbd.g_01107	Syaq.g_01443
OG0000403	Prbd.g_01106	Syaq.g_01442
OG0000404	Prbd.g_01105	Syaq.g_01440
OG0000405	Prbd.g_01100	Syaq.g_01429
OG0000406	Prbd.g_01093	Syaq.g_01422
OG0000407	Prbd.g_01092	Syaq.g_01421
OG0000408	Prbd.g_01090	Syaq.g_01419
OG0000409	Prbd.g_01088	Syaq.g_01417
OG0000410	Prbd.g_01087	Syaq.g_01416
OG0000411	Prbd.g_01086	Syaq.g_01415
OG0000412	Prbd.g_01085	Syaq.g_01414
OG0000413	Prbd.g_01084	Syaq.g_01412
OG0000414	Prbd.g_01083	Syaq.g_01411
OG0000415	Prbd.g_01082	Syaq.g_01410
OG0000416	Prbd.g_01081	Syaq.g_01409
OG0000417	Prbd.g_01080	Syaq.g_01408
OG0000418	Prbd.g_01075	Syaq.g_01403
OG0000419	Prbd.g_01073	Syaq.g_01401
OG0000420	Prbd.g_01072	Syaq.g_01400
OG0000421	Prbd.g_01067	Syaq.g_01395
OG0000422	Prbd.g_01066	Syaq.g_01394
OG0000423	Prbd.g_01065	Syaq.g_01393
OG0000424	Prbd.g_01064	Syaq.g_01392
OG0000425	Prbd.g_01063	Syaq.g_01391
OG0000426	Prbd.g_01062	Syaq.g_01390
OG0000427	Prbd.g_01061	Syaq.g_01389
OG0000428	Prbd.g_01059	Syaq.g_01386
OG0000429	Prbd.g_01058	Syaq.g_01384
OG0000430	Prbd.g_01057	Syaq.g_01383
OG0000431	Prbd.g_01055	Syaq.g_01380
OG0000432	Prbd.g_01052	Syaq.g_01374
OG0000433	Prbd.g_01051	Syaq.g_01369
OG0000434	Prbd.g_01050	Syaq.g_01368
OG0000435	Prbd.g_01049	Syaq.g_01367
OG0000436	Prbd.g_01044	Syaq.g_01361
OG0000437	Prbd.g_01043	Syaq.g_01360
OG0000438	Prbd.g_01042	Syaq.g_01359
OG0000439	Prbd.g_01040	Syaq.g_01357
OG0000440	Prbd.g_01039	Syaq.g_01356
OG0000441	Prbd.g_01036	Syaq.g_01352
OG0000442	Prbd.g_01035	Syaq.g_01350
OG0000443	Prbd.g_01034	Syaq.g_01347
OG0000444	Prbd.g_01029	Syaq.g_01333
OG0000445	Prbd.g_01028	Syaq.g_01332
OG0000446	Prbd.g_01027	Syaq.g_01330
OG0000447	Prbd.g_01026	Syaq.g_01328
OG0000448	Prbd.g_01025	Syaq.g_01327
OG0000449	Prbd.g_01024	Syaq.g_01320
OG0000450	Prbd.g_01023	Syaq.g_01313
OG0000451	Prbd.g_01022	Syaq.g_01312
OG0000452	Prbd.g_01019	Syaq.g_01308
OG0000453	Prbd.g_01018	Syaq.g_01307
OG0000454	Prbd.g_01017	Syaq.g_01306
OG0000455	Prbd.g_01016	Syaq.g_01305
OG0000456	Prbd.g_01015	Syaq.g_01304
OG0000457	Prbd.g_01013	Syaq.g_01302
OG0000458	Prbd.g_01012	Syaq.g_01299
OG0000459	Prbd.g_01011	Syaq.g_01298
OG0000460	Prbd.g_01004	Syaq.g_01577
OG0000461	Prbd.g_00997	Syaq.g_00707
OG0000462	Prbd.g_00995	Syaq.g_00710
OG0000463	Prbd.g_00994	Syaq.g_00711
OG0000464	Prbd.g_00993	Syaq.g_00712
OG0000465	Prbd.g_00992	Syaq.g_00714
OG0000466	Prbd.g_00989	Syaq.g_00718
OG0000467	Prbd.g_00988	Syaq.g_00720
OG0000468	Prbd.g_00986	Syaq.g_00725
OG0000469	Prbd.g_00977	Syaq.g_00739
OG0000470	Prbd.g_00975	Syaq.g_00741
OG0000471	Prbd.g_00974	Syaq.g_00742
OG0000472	Prbd.g_00973	Syaq.g_00744
OG0000473	Prbd.g_00971	Syaq.g_00746
OG0000474	Prbd.g_00970	Syaq.g_00747
OG0000475	Prbd.g_00969	Syaq.g_00748
OG0000476	Prbd.g_00968	Syaq.g_00750
OG0000477	Prbd.g_00964	Syaq.g_00756
OG0000478	Prbd.g_00963	Syaq.g_00757
OG0000479	Prbd.g_00962	Syaq.g_00759
OG0000480	Prbd.g_00957	Syaq.g_00766
OG0000481	Prbd.g_00955	Syaq.g_00768
OG0000482	Prbd.g_00954	Syaq.g_00769
OG0000483	Prbd.g_00951	Syaq.g_00773
OG0000484	Prbd.g_00950	Syaq.g_00774
OG0000485	Prbd.g_00949	Syaq.g_00775
OG0000486	Prbd.g_00948	Syaq.g_00776
OG0000487	Prbd.g_00944	Syaq.g_00782
OG0000488	Prbd.g_00941	Syaq.g_00845
OG0000489	Prbd.g_00936	Syaq.g_00857
OG0000490	Prbd.g_00931	Syaq.g_00864
OG0000491	Prbd.g_00930	Syaq.g_00865
OG0000492	Prbd.g_00928	Syaq.g_00869
OG0000493	Prbd.g_00927	Syaq.g_00870
OG0000494	Prbd.g_00926	Syaq.g_00871
OG0000495	Prbd.g_00925	Syaq.g_00872
OG0000496	Prbd.g_00924	Syaq.g_00873
OG0000497	Prbd.g_00923	Syaq.g_00874
OG0000498	Prbd.g_00922	Syaq.g_00875
OG0000499	Prbd.g_00921	Syaq.g_00876
OG0000500	Prbd.g_00920	Syaq.g_00877
OG0000501	Prbd.g_00918	Syaq.g_00880
OG0000502	Prbd.g_00915	Syaq.g_00953
OG0000503	Prbd.g_00905	Syaq.g_00559
OG0000504	Prbd.g_00904	Syaq.g_00557
OG0000505	Prbd.g_00903	Syaq.g_00556
OG0000506	Prbd.g_00901	Syaq.g_00554
OG0000507	Prbd.g_00898	Syaq.g_00548
OG0000508	Prbd.g_00894	Syaq.g_00544
OG0000509	Prbd.g_00892	Syaq.g_00542
OG0000510	Prbd.g_00891	Syaq.g_00538
OG0000511	Prbd.g_00890	Syaq.g_00537
OG0000512	Prbd.g_00888	Syaq.g_00535
OG0000513	Prbd.g_00881	Syaq.g_00525
OG0000514	Prbd.g_00811	Syaq.g_00514
OG0000515	Prbd.g_00810	Syaq.g_00513
OG0000516	Prbd.g_00809	Syaq.g_00509
OG0000517	Prbd.g_00807	Syaq.g_00502
OG0000518	Prbd.g_00796	Syaq.g_00490
OG0000519	Prbd.g_00795	Syaq.g_00489
OG0000520	Prbd.g_00794	Syaq.g_00488
OG0000521	Prbd.g_00789	Syaq.g_00477
OG0000522	Prbd.g_00787	Syaq.g_00475
OG0000523	Prbd.g_00786	Syaq.g_00474
OG0000524	Prbd.g_00781	Syaq.g_00469
OG0000525	Prbd.g_00778	Syaq.g_00450
OG0000526	Prbd.g_00777	Syaq.g_00448
OG0000527	Prbd.g_00769	Syaq.g_00444
OG0000528	Prbd.g_00764	Syaq.g_01768
OG0000529	Prbd.g_00761	Syaq.g_01773
OG0000530	Prbd.g_00758	Syaq.g_01776
OG0000531	Prbd.g_00757	Syaq.g_01777
OG0000532	Prbd.g_00755	Syaq.g_01780
OG0000533	Prbd.g_00754	Syaq.g_01782
OG0000534	Prbd.g_00753	Syaq.g_01783
OG0000535	Prbd.g_00752	Syaq.g_01784
OG0000536	Prbd.g_00751	Syaq.g_01785
OG0000537	Prbd.g_00750	Syaq.g_01786
OG0000538	Prbd.g_00742	Syaq.g_01798
OG0000539	Prbd.g_00741	Syaq.g_01799
OG0000540	Prbd.g_00740	Syaq.g_01800
OG0000541	Prbd.g_00739	Syaq.g_01801
OG0000542	Prbd.g_00737	Syaq.g_01804
OG0000543	Prbd.g_00735	Syaq.g_01806
OG0000544	Prbd.g_00734	Syaq.g_01807, Syaq.g_02567
OG0000545	Prbd.g_00732	Syaq.g_01809
OG0000546	Prbd.g_00729	Syaq.g_01811
OG0000547	Prbd.g_00727	Syaq.g_01813
OG0000548	Prbd.g_00726	Syaq.g_01814
OG0000549	Prbd.g_00724	Syaq.g_01819
OG0000550	Prbd.g_00719	Syaq.g_01824
OG0000551	Prbd.g_00715	Syaq.g_01829
