Orthogroup	Prac	Syao
OG0000061	Prac.g_00985	Syao.g_00123
OG0000062	Prac.g_00333	Syao.g_01576
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syao.g_02230
OG0000065	Prac.g_01824	Syao.g_02600
OG0000066	Prac.g_00833	Syao.g_01422
OG0000067	Prac.g_01475	Syao.g_00756
OG0000068	Prac.g_00217	Syao.g_00868, Syao.g_00036
OG0000069	Prac.g_00890, Prac.g_00300	Syao.g_01265, Syao.g_01460, Syao.g_00313
OG0000070	Prac.g_01097	Syao.g_00330
OG0000071	Prac.g_00175	Syao.g_01433
OG0000072	Prac.g_01759	Syao.g_02509, Syao.g_01749
OG0000073	Prac.g_00872	Syao.g_00103
OG0000075	Prac.g_00017	Syao.g_02257
OG0000076	Prac.g_01904, Prac.g_00041	Syao.g_01949
OG0000077	Prac.g_01853	Syao.g_02629
OG0000078	Prac.g_01691	Syao.g_01709
OG0000082	Prac.g_00788	Syao.g_01035
OG0000084	Prac.g_00415	Syao.g_01509, Syao.g_02606
OG0000085	Prac.g_00632	Syao.g_01569
OG0000086	Prac.g_01843	Syao.g_02653, Syao.g_01240
OG0000087	Prac.g_01792	Syao.g_02555
OG0000088	Prac.g_01764	Syao.g_02503
OG0000089	Prac.g_01178	Syao.g_01716
OG0000090	Prac.g_00839	Syao.g_01412
OG0000091	Prac.g_00729	Syao.g_00902
OG0000092	Prac.g_00003	Syao.g_00656
OG0000093	Prac.g_01359	Syao.g_00739
OG0000094	Prac.g_01275	Syao.g_00458
OG0000095	Prac.g_01256	Syao.g_00331
OG0000097	Prac.g_00944	Syao.g_00973
OG0000098	Prac.g_00199	Syao.g_01374
OG0000099	Prac.g_00256	Syao.g_02019
OG0000100	Prac.g_00337	Syao.g_00787
OG0000101	Prac.g_00548	Syao.g_01840
OG0000102	Prac.g_00046	Syao.g_01945
OG0000103	Prac.g_00123	Syao.g_02340
OG0000104	Prac.g_00131	Syao.g_02157
OG0000105	Prac.g_01657	Syao.g_02071, Syao.g_02072
OG0000106	Prac.g_01163	Syao.g_01385
OG0000107	Prac.g_01148	Syao.g_01935
OG0000108	Prac.g_01064	Syao.g_00028
OG0000109	Prac.g_01050	Syao.g_00110
OG0000110	Prac.g_00798	Syao.g_01051
OG0000111	Prac.g_00672	Syao.g_00378
OG0000112	Prac.g_01507	Syao.g_00683, Syao.g_00303
OG0000113	Prac.g_01453	Syao.g_00782
OG0000114	Prac.g_01384	Syao.g_00965
OG0000115	Prac.g_01040	Syao.g_01464, Syao.g_00065
OG0000116	Prac.g_00995	Syao.g_00137
OG0000117	Prac.g_01955	Syao.g_00169
OG0000118	Prac.g_00187	Syao.g_01475
OG0000120	Prac.g_00248	Syao.g_02009
OG0000121	Prac.g_00409	Syao.g_01489
OG0000122	Prac.g_00371	Syao.g_01247
OG0000123	Prac.g_00554	Syao.g_01832
OG0000124	Prac.g_00056	Syao.g_02179
OG0000125	Prac.g_00092	Syao.g_02444
OG0000126	Prac.g_00130	Syao.g_02198
OG0000128	Prac.g_01936	Syao.g_02149
OG0000129	Prac.g_01888	Syao.g_02434
OG0000130	Prac.g_01862	Syao.g_02617
OG0000131	Prac.g_01785	Syao.g_02480
OG0000132	Prac.g_01766	Syao.g_02501
OG0000133	Prac.g_01609	Syao.g_00678
OG0000134	Prac.g_01177	Syao.g_01719
OG0000135	Prac.g_01150	Syao.g_00147
OG0000136	Prac.g_01106	Syao.g_01614, Syao.g_01613
OG0000137	Prac.g_01069	Syao.g_02682
OG0000138	Prac.g_01049	Syao.g_00108
OG0000139	Prac.g_00835	Syao.g_01418, Syao.g_02005
OG0000140	Prac.g_00834	Syao.g_01373, Syao.g_01372
OG0000141	Prac.g_00764	Syao.g_01202
OG0000142	Prac.g_00736	Syao.g_00894
OG0000143	Prac.g_00732	Syao.g_00898
OG0000145	Prac.g_01508	Syao.g_00102
OG0000146	Prac.g_01506	Syao.g_00684, Syao.g_00304
OG0000147	Prac.g_01505	Syao.g_00305, Syao.g_00685
OG0000148	Prac.g_01459	Syao.g_00776
OG0000149	Prac.g_01429	Syao.g_00534
OG0000150	Prac.g_01421	Syao.g_01203
OG0000151	Prac.g_01374	Syao.g_00975
OG0000152	Prac.g_01327	Syao.g_00674
OG0000153	Prac.g_01308	Syao.g_00818, Syao.g_01176
OG0000154	Prac.g_01282	Syao.g_00447
OG0000155	Prac.g_00965	Syao.g_00178
OG0000156	Prac.g_00164	Syao.g_00151
OG0000157	Prac.g_00165	Syao.g_00152
OG0000158	Prac.g_00447	Syao.g_01141, Syao.g_02267
OG0000159	Prac.g_00452	Syao.g_02276
OG0000160	Prac.g_00410	Syao.g_01488
OG0000161	Prac.g_00404	Syao.g_01494
OG0000162	Prac.g_00398	Syao.g_01515
OG0000163	Prac.g_00364	Syao.g_01745
OG0000164	Prac.g_00601	Syao.g_01663
OG0000165	Prac.g_00594	Syao.g_01655
OG0000166	Prac.g_00512	Syao.g_01790
OG0000167	Prac.g_00015	Syao.g_01960
OG0000168	Prac.g_00025	Syao.g_02128
OG0000169	Prac.g_00035	Syao.g_02139
OG0000170	Prac.g_00037	Syao.g_02148
OG0000171	Prac.g_00055	Syao.g_02181
OG0000172	Prac.g_00063	Syao.g_02170
OG0000173	Prac.g_00078	Syao.g_02212
OG0000174	Prac.g_00105	Syao.g_02364, Syao.g_02355
OG0000175	Prac.g_00115	Syao.g_02327, Syao.g_00308
OG0000176	Prac.g_01943	Syao.g_02165
OG0000177	Prac.g_01942	Syao.g_02156
OG0000178	Prac.g_01941	Syao.g_02155
OG0000179	Prac.g_01931	Syao.g_02250
OG0000180	Prac.g_01930	Syao.g_02249
OG0000181	Prac.g_01929	Syao.g_02248
OG0000182	Prac.g_01928	Syao.g_02247
OG0000183	Prac.g_01924	Syao.g_02243
OG0000184	Prac.g_01885	Syao.g_02423
OG0000185	Prac.g_01882	Syao.g_02410
OG0000186	Prac.g_01867	Syao.g_02613
OG0000187	Prac.g_01866	Syao.g_02615
OG0000188	Prac.g_01849	Syao.g_02637
OG0000189	Prac.g_01835	Syao.g_02672
OG0000190	Prac.g_01834	Syao.g_01015
OG0000191	Prac.g_01814	Syao.g_02573
OG0000192	Prac.g_01810	Syao.g_02579
OG0000193	Prac.g_01784	Syao.g_02481
OG0000194	Prac.g_01781	Syao.g_02484
OG0000195	Prac.g_01779	Syao.g_02486
OG0000196	Prac.g_01769	Syao.g_02498
OG0000197	Prac.g_01768	Syao.g_02499
OG0000198	Prac.g_01767	Syao.g_02500
OG0000199	Prac.g_01760	Syao.g_02508
OG0000200	Prac.g_01746	Syao.g_02524
OG0000201	Prac.g_01738	Syao.g_02540
OG0000202	Prac.g_01737	Syao.g_02454
OG0000203	Prac.g_01736	Syao.g_02455
OG0000204	Prac.g_01735	Syao.g_02456
OG0000205	Prac.g_01728	Syao.g_02464
OG0000206	Prac.g_01723	Syao.g_02469
OG0000207	Prac.g_01721	Syao.g_02471
OG0000208	Prac.g_01720	Syao.g_02472
OG0000209	Prac.g_01711	Syao.g_02394
OG0000210	Prac.g_01710	Syao.g_02395
OG0000211	Prac.g_01697	Syao.g_01700
OG0000212	Prac.g_01690	Syao.g_01710
OG0000213	Prac.g_01674	Syao.g_02098
OG0000214	Prac.g_01664	Syao.g_02081
OG0000215	Prac.g_01639	Syao.g_02050
OG0000216	Prac.g_01637	Syao.g_02045
OG0000217	Prac.g_01634	Syao.g_02041
OG0000218	Prac.g_01632	Syao.g_02039
OG0000219	Prac.g_01631	Syao.g_02038
OG0000220	Prac.g_01630	Syao.g_02037
OG0000221	Prac.g_01629	Syao.g_02034
OG0000222	Prac.g_01621	Syao.g_02023
OG0000223	Prac.g_01608	Syao.g_00291
OG0000224	Prac.g_01606	Syao.g_01973
OG0000225	Prac.g_01188	Syao.g_01751
OG0000226	Prac.g_01184	Syao.g_01758
OG0000227	Prac.g_01182	Syao.g_01760
OG0000228	Prac.g_01179	Syao.g_01715
OG0000229	Prac.g_01111	Syao.g_01736
OG0000230	Prac.g_01109	Syao.g_01738
OG0000231	Prac.g_01098	Syao.g_01513
OG0000232	Prac.g_01089	Syao.g_00057
OG0000233	Prac.g_01082	Syao.g_02698
OG0000234	Prac.g_01068	Syao.g_02680
OG0000235	Prac.g_01065	Syao.g_00029
OG0000236	Prac.g_01051	Syao.g_00111
OG0000237	Prac.g_00865	Syao.g_00166
OG0000238	Prac.g_00859	Syao.g_00161
OG0000239	Prac.g_00847	Syao.g_01398
OG0000240	Prac.g_00846	Syao.g_01399
OG0000241	Prac.g_00842	Syao.g_00887
OG0000242	Prac.g_00840	Syao.g_01410
OG0000243	Prac.g_00829	Syao.g_00873
OG0000244	Prac.g_00826	Syao.g_00865
OG0000245	Prac.g_00824	Syao.g_00863
OG0000246	Prac.g_00820	Syao.g_00859
OG0000247	Prac.g_00810	Syao.g_00847
OG0000248	Prac.g_00808	Syao.g_00844
OG0000249	Prac.g_00806	Syao.g_00842
OG0000250	Prac.g_00801	Syao.g_00835
OG0000251	Prac.g_00782	Syao.g_01026
OG0000252	Prac.g_00778	Syao.g_01020
OG0000253	Prac.g_00777	Syao.g_01003
OG0000254	Prac.g_00760	Syao.g_01053
OG0000255	Prac.g_00754	Syao.g_01009
OG0000256	Prac.g_00744	Syao.g_01328
OG0000257	Prac.g_00741	Syao.g_00884
OG0000258	Prac.g_00728	Syao.g_00907
OG0000259	Prac.g_00711	Syao.g_00933, Syao.g_00932
OG0000260	Prac.g_00708	Syao.g_00936
OG0000261	Prac.g_00706	Syao.g_00941
OG0000262	Prac.g_00702	Syao.g_00946
OG0000263	Prac.g_00690	Syao.g_00247
OG0000264	Prac.g_00680	Syao.g_00699
OG0000265	Prac.g_01560	Syao.g_00049
OG0000266	Prac.g_01550	Syao.g_00480
OG0000267	Prac.g_01539	Syao.g_00589
OG0000268	Prac.g_01538	Syao.g_00588
OG0000269	Prac.g_01480	Syao.g_00751
OG0000270	Prac.g_01477	Syao.g_00754
OG0000271	Prac.g_01469	Syao.g_00762
OG0000272	Prac.g_01468	Syao.g_00763
OG0000273	Prac.g_01445	Syao.g_00791
OG0000274	Prac.g_01444	Syao.g_00792
OG0000275	Prac.g_01442	Syao.g_00438
OG0000276	Prac.g_01437	Syao.g_00558
OG0000277	Prac.g_01436	Syao.g_00557
OG0000278	Prac.g_01433	Syao.g_00554
OG0000279	Prac.g_01426	Syao.g_00529
OG0000280	Prac.g_01425	Syao.g_00608
OG0000281	Prac.g_01420	Syao.g_01377
OG0000282	Prac.g_01382	Syao.g_00967
OG0000283	Prac.g_01350	Syao.g_00640
OG0000284	Prac.g_01345	Syao.g_00634
OG0000285	Prac.g_01340	Syao.g_00706
OG0000286	Prac.g_01328	Syao.g_00675
OG0000287	Prac.g_01311	Syao.g_00825
OG0000288	Prac.g_01283	Syao.g_00446
OG0000289	Prac.g_01272	Syao.g_00461
OG0000290	Prac.g_01259	Syao.g_00428
OG0000291	Prac.g_01257	Syao.g_00333
OG0000292	Prac.g_01207	Syao.g_02196
OG0000293	Prac.g_00994	Syao.g_00136
OG0000294	Prac.g_00993	Syao.g_00135
OG0000295	Prac.g_00973	Syao.g_00186
OG0000296	Prac.g_00971	Syao.g_00184
OG0000297	Prac.g_00963	Syao.g_00171
OG0000298	Prac.g_00962	Syao.g_00170
OG0000299	Prac.g_00945	Syao.g_00231
OG0000300	Prac.g_00942	Syao.g_00274
OG0000301	Prac.g_00941	Syao.g_00272, Syao.g_00273
OG0000302	Prac.g_00939	Syao.g_00271
OG0000303	Prac.g_00932	Syao.g_00262
OG0000304	Prac.g_00928	Syao.g_00256
OG0000305	Prac.g_00209	Syao.g_00388
OG0000306	Prac.g_00212	Syao.g_01216
OG0000307	Prac.g_00226	Syao.g_00045
OG0000308	Prac.g_00227	Syao.g_00047
OG0000309	Prac.g_00231	Syao.g_02705
OG0000310	Prac.g_00426	Syao.g_01530
OG0000311	Prac.g_00424	Syao.g_01533
OG0000312	Prac.g_00421	Syao.g_01538
OG0000313	Prac.g_00407	Syao.g_01491
OG0000314	Prac.g_00384	Syao.g_00078
OG0000315	Prac.g_00374	Syao.g_00088
OG0000316	Prac.g_00354	Syao.g_01602
OG0000317	Prac.g_00627	Syao.g_01560
OG0000318	Prac.g_00624	Syao.g_01553
OG0000319	Prac.g_00611	Syao.g_01678
OG0000320	Prac.g_00609	Syao.g_01676
OG0000321	Prac.g_00608	Syao.g_01675
OG0000322	Prac.g_00607	Syao.g_01674
OG0000323	Prac.g_00598	Syao.g_01661
OG0000324	Prac.g_00572	Syao.g_01630
OG0000325	Prac.g_00477	Syao.g_01936
OG0000326	Prac.g_00483	Syao.g_01918
OG0000327	Prac.g_00507	Syao.g_01795
OG0000328	Prac.g_00508	Syao.g_01794
OG0000329	Prac.g_00525	Syao.g_01776
OG0000330	Prac.g_00526	Syao.g_01775
OG0000331	Prac.g_00527	Syao.g_01774
OG0000332	Prac.g_00541	Syao.g_01813
OG0000333	Prac.g_00543	Syao.g_01810
OG0000334	Prac.g_00551	Syao.g_01836
OG0000335	Prac.g_00555	Syao.g_01831
OG0000336	Prac.g_00559	Syao.g_01827
OG0000337	Prac.g_00013	Syao.g_01968
OG0000338	Prac.g_00014	Syao.g_01962
OG0000339	Prac.g_00018	Syao.g_02259
OG0000340	Prac.g_00026	Syao.g_02129
OG0000341	Prac.g_00028	Syao.g_02131
OG0000342	Prac.g_00029	Syao.g_02132
OG0000343	Prac.g_00030	Syao.g_02133
OG0000344	Prac.g_00033	Syao.g_02137
OG0000345	Prac.g_00038	Syao.g_01953
OG0000346	Prac.g_00042	Syao.g_01948
OG0000347	Prac.g_00057	Syao.g_02178
OG0000348	Prac.g_00066	Syao.g_02166
OG0000349	Prac.g_00083	Syao.g_02219
OG0000350	Prac.g_00101	Syao.g_01925
OG0000351	Prac.g_00118	Syao.g_02331
OG0000352	Prac.g_00119	Syao.g_02332
OG0000353	Prac.g_01948	Syao.g_02160
OG0000355	Prac.g_01946	Syao.g_02162
OG0000356	Prac.g_01945	Syao.g_02163
OG0000357	Prac.g_01944	Syao.g_02164
OG0000358	Prac.g_01940	Syao.g_02154
OG0000359	Prac.g_01939	Syao.g_02152
OG0000360	Prac.g_01938	Syao.g_02151
OG0000361	Prac.g_01937	Syao.g_02150
OG0000362	Prac.g_01935	Syao.g_01954
OG0000363	Prac.g_01933	Syao.g_02255
OG0000364	Prac.g_01932	Syao.g_01558
OG0000365	Prac.g_01927	Syao.g_02246
OG0000366	Prac.g_01926	Syao.g_02245
OG0000367	Prac.g_01925	Syao.g_02244
OG0000368	Prac.g_01923	Syao.g_02242
OG0000369	Prac.g_01922	Syao.g_02241
OG0000370	Prac.g_01921	Syao.g_02240
OG0000371	Prac.g_01915	Syao.g_02231
OG0000372	Prac.g_01911	Syao.g_02226
OG0000373	Prac.g_01910	Syao.g_02225
OG0000374	Prac.g_01909	Syao.g_02224
OG0000375	Prac.g_01892	Syao.g_02223
OG0000376	Prac.g_01890	Syao.g_02221
OG0000377	Prac.g_01886	Syao.g_02429
OG0000378	Prac.g_01884	Syao.g_02414
OG0000379	Prac.g_01881	Syao.g_02409
OG0000380	Prac.g_01865	Syao.g_02616
OG0000381	Prac.g_01861	Syao.g_02618
OG0000382	Prac.g_01850	Syao.g_02636
OG0000383	Prac.g_01848	Syao.g_02643
OG0000384	Prac.g_01847	Syao.g_02644
OG0000385	Prac.g_01846	Syao.g_02645
OG0000386	Prac.g_01845	Syao.g_02646
OG0000387	Prac.g_01832	Syao.g_01019
OG0000388	Prac.g_01829	Syao.g_02596
OG0000389	Prac.g_01825	Syao.g_02599
OG0000390	Prac.g_01818	Syao.g_02567
OG0000391	Prac.g_01815	Syao.g_02572
OG0000392	Prac.g_01811	Syao.g_02578
OG0000393	Prac.g_01809	Syao.g_02581
OG0000394	Prac.g_01808	Syao.g_02582
OG0000395	Prac.g_01807	Syao.g_02583
OG0000396	Prac.g_01804	Syao.g_02586
OG0000397	Prac.g_01802	Syao.g_02542
OG0000398	Prac.g_01800	Syao.g_02547
OG0000399	Prac.g_01799	Syao.g_02548
OG0000400	Prac.g_01798	Syao.g_02549
OG0000401	Prac.g_01797	Syao.g_02550
OG0000402	Prac.g_01795	Syao.g_02552
OG0000403	Prac.g_01794	Syao.g_02553
OG0000404	Prac.g_01793	Syao.g_02554
OG0000405	Prac.g_01789	Syao.g_02478
OG0000406	Prac.g_01783	Syao.g_02482
OG0000407	Prac.g_01782	Syao.g_02483
OG0000408	Prac.g_01780	Syao.g_02485
OG0000409	Prac.g_01778	Syao.g_02487
OG0000410	Prac.g_01777	Syao.g_02488
OG0000411	Prac.g_01776	Syao.g_02489
OG0000412	Prac.g_01775	Syao.g_02490
OG0000413	Prac.g_01774	Syao.g_02492
OG0000414	Prac.g_01590, Prac.g_01773	Syao.g_02493
OG0000415	Prac.g_01772	Syao.g_02494
OG0000416	Prac.g_01771	Syao.g_02495
OG0000417	Prac.g_01770	Syao.g_02497
OG0000418	Prac.g_01765	Syao.g_02502
OG0000419	Prac.g_01763	Syao.g_02504
OG0000420	Prac.g_01762	Syao.g_02506
OG0000421	Prac.g_01757	Syao.g_02510
OG0000422	Prac.g_01756	Syao.g_02511
OG0000423	Prac.g_01755	Syao.g_02512
OG0000424	Prac.g_01754	Syao.g_02513
OG0000425	Prac.g_01753	Syao.g_02514
OG0000426	Prac.g_01752	Syao.g_02515
OG0000427	Prac.g_01751	Syao.g_02516
OG0000428	Prac.g_01749	Syao.g_02519
OG0000429	Prac.g_01748	Syao.g_02522
OG0000430	Prac.g_01747	Syao.g_02523
OG0000431	Prac.g_01745	Syao.g_02526
OG0000432	Prac.g_01742	Syao.g_02532
OG0000433	Prac.g_01741	Syao.g_02534
OG0000434	Prac.g_01740	Syao.g_02535
OG0000435	Prac.g_01739	Syao.g_02538
OG0000436	Prac.g_01734	Syao.g_02458
OG0000437	Prac.g_01733	Syao.g_02459
OG0000438	Prac.g_01732	Syao.g_02460
OG0000439	Prac.g_01730	Syao.g_02462
OG0000440	Prac.g_01729	Syao.g_02463
OG0000441	Prac.g_01726	Syao.g_02466
OG0000442	Prac.g_01725	Syao.g_02467
OG0000443	Prac.g_01724	Syao.g_02468
OG0000444	Prac.g_01719	Syao.g_02473
OG0000445	Prac.g_01718	Syao.g_02474
OG0000446	Prac.g_01717	Syao.g_02476
OG0000447	Prac.g_01716	Syao.g_02383
OG0000448	Prac.g_01715	Syao.g_02384
OG0000449	Prac.g_01714	Syao.g_02385
OG0000450	Prac.g_01713	Syao.g_02391
OG0000451	Prac.g_01712	Syao.g_02392
OG0000452	Prac.g_01709	Syao.g_02396
OG0000453	Prac.g_01708	Syao.g_02397
OG0000454	Prac.g_01707	Syao.g_02398
OG0000455	Prac.g_01706	Syao.g_02399
OG0000456	Prac.g_01705	Syao.g_02400
OG0000457	Prac.g_01704	Syao.g_02402
OG0000458	Prac.g_01703	Syao.g_02403
OG0000459	Prac.g_01702	Syao.g_02404
OG0000460	Prac.g_01695	Syao.g_01702
OG0000461	Prac.g_01688	Syao.g_02119
OG0000462	Prac.g_01686	Syao.g_02116
OG0000463	Prac.g_01685	Syao.g_02115
OG0000464	Prac.g_01684	Syao.g_02114
OG0000465	Prac.g_01683	Syao.g_02112
OG0000466	Prac.g_01680	Syao.g_02107
OG0000467	Prac.g_01679	Syao.g_02106
OG0000468	Prac.g_01678	Syao.g_02102
OG0000469	Prac.g_01669	Syao.g_02087
OG0000470	Prac.g_01667	Syao.g_02085
OG0000471	Prac.g_01666	Syao.g_02084
OG0000472	Prac.g_01665	Syao.g_02082
OG0000473	Prac.g_01663	Syao.g_02080
OG0000474	Prac.g_01662	Syao.g_02079
OG0000475	Prac.g_01661	Syao.g_02078
OG0000476	Prac.g_01660	Syao.g_02076
OG0000477	Prac.g_01656	Syao.g_02069
OG0000478	Prac.g_01655	Syao.g_02068
OG0000479	Prac.g_01654	Syao.g_02067
OG0000480	Prac.g_01649	Syao.g_02060
OG0000481	Prac.g_01647	Syao.g_01012
OG0000482	Prac.g_01646	Syao.g_02058
OG0000483	Prac.g_01643	Syao.g_02054
OG0000484	Prac.g_01642	Syao.g_02053
OG0000485	Prac.g_01641	Syao.g_02052
OG0000486	Prac.g_01640	Syao.g_02051
OG0000487	Prac.g_01636	Syao.g_02044
OG0000488	Prac.g_01633	Syao.g_02040
OG0000489	Prac.g_01628	Syao.g_02033
OG0000490	Prac.g_01623	Syao.g_02025
OG0000491	Prac.g_01622	Syao.g_02024
OG0000492	Prac.g_01620	Syao.g_02022
OG0000493	Prac.g_01619	Syao.g_02021
OG0000494	Prac.g_01618	Syao.g_02020
OG0000495	Prac.g_01617	Syao.g_02018
OG0000496	Prac.g_01616	Syao.g_02017
OG0000497	Prac.g_01615	Syao.g_02016
OG0000498	Prac.g_01614	Syao.g_02015
OG0000499	Prac.g_01613	Syao.g_02014
OG0000500	Prac.g_01612	Syao.g_02013
OG0000501	Prac.g_01610	Syao.g_02010
OG0000502	Prac.g_01607	Syao.g_01974
OG0000503	Prac.g_01200	Syao.g_01877
OG0000504	Prac.g_01199	Syao.g_01875
OG0000505	Prac.g_01198	Syao.g_01874
OG0000506	Prac.g_01196	Syao.g_01872
OG0000507	Prac.g_01193	Syao.g_01866
OG0000508	Prac.g_01189	Syao.g_01750
OG0000509	Prac.g_01187	Syao.g_01755
OG0000510	Prac.g_01186	Syao.g_01756
OG0000511	Prac.g_01185	Syao.g_01757
OG0000512	Prac.g_01183	Syao.g_01759
OG0000513	Prac.g_01176	Syao.g_01720
OG0000514	Prac.g_01116	Syao.g_01727
OG0000515	Prac.g_01115	Syao.g_01728
OG0000516	Prac.g_01114	Syao.g_01730
OG0000517	Prac.g_01112	Syao.g_01735
OG0000518	Prac.g_01101	Syao.g_01621
OG0000519	Prac.g_01100	Syao.g_01622
OG0000520	Prac.g_01099	Syao.g_01512
OG0000521	Prac.g_01094	Syao.g_00061
OG0000522	Prac.g_01092	Syao.g_00059
OG0000523	Prac.g_01091	Syao.g_00058
OG0000524	Prac.g_01084	Syao.g_02699
OG0000525	Prac.g_01081	Syao.g_02691
OG0000526	Prac.g_01080	Syao.g_02688
OG0000527	Prac.g_01071	Syao.g_02684
OG0000528	Prac.g_01066	Syao.g_00031
OG0000529	Prac.g_01063	Syao.g_00027
OG0000530	Prac.g_01060	Syao.g_00122
OG0000531	Prac.g_01059	Syao.g_00121
OG0000532	Prac.g_01057	Syao.g_00118
OG0000533	Prac.g_01056	Syao.g_00116
OG0000534	Prac.g_01055	Syao.g_00115
OG0000535	Prac.g_01054	Syao.g_00114
OG0000536	Prac.g_01053	Syao.g_00113
OG0000537	Prac.g_01052	Syao.g_00112
OG0000538	Prac.g_00871	Syao.g_00100
OG0000539	Prac.g_00870	Syao.g_00099
OG0000540	Prac.g_00869	Syao.g_00098
OG0000541	Prac.g_00868	Syao.g_00097
OG0000542	Prac.g_00866	Syao.g_00167
OG0000543	Prac.g_00864	Syao.g_00165
OG0000544	Prac.g_00863	Syao.g_00164
OG0000545	Prac.g_00861	Syao.g_00162
OG0000546	Prac.g_00858	Syao.g_00160
OG0000547	Prac.g_00857	Syao.g_00158
OG0000548	Prac.g_00856	Syao.g_00157
OG0000549	Prac.g_00854	Syao.g_01391
OG0000550	Prac.g_00849	Syao.g_01396
OG0000551	Prac.g_00845	Syao.g_01401
OG0000552	Prac.g_00844	Syao.g_01402
OG0000553	Prac.g_00843	Syao.g_01404
OG0000554	Prac.g_00838	Syao.g_01413
OG0000555	Prac.g_00830	Syao.g_00875
OG0000556	Prac.g_00828	Syao.g_00871
OG0000557	Prac.g_00827	Syao.g_00866
OG0000558	Prac.g_00825	Syao.g_00864
OG0000559	Prac.g_00821	Syao.g_00860
OG0000560	Prac.g_00818	Syao.g_00857
OG0000561	Prac.g_00817	Syao.g_00856
OG0000562	Prac.g_00816	Syao.g_00855
OG0000563	Prac.g_00815	Syao.g_00854
OG0000564	Prac.g_00814	Syao.g_00853
OG0000565	Prac.g_00811	Syao.g_00849
OG0000566	Prac.g_00809	Syao.g_00845
OG0000567	Prac.g_00805	Syao.g_00841
OG0000568	Prac.g_00804	Syao.g_00839
OG0000569	Prac.g_00803	Syao.g_00838
OG0000570	Prac.g_00802	Syao.g_00837
OG0000571	Prac.g_00800	Syao.g_00834
OG0000572	Prac.g_00787	Syao.g_01033
OG0000573	Prac.g_00780	Syao.g_01022
OG0000574	Prac.g_00779	Syao.g_01021
OG0000575	Prac.g_00775	Syao.g_01000
OG0000576	Prac.g_00772	Syao.g_00996
OG0000577	Prac.g_00771	Syao.g_00995
OG0000578	Prac.g_00770	Syao.g_00994
OG0000579	Prac.g_00769	Syao.g_00993
OG0000580	Prac.g_00768	Syao.g_00992
OG0000581	Prac.g_00766	Syao.g_01059
OG0000582	Prac.g_00763	Syao.g_01204
OG0000583	Prac.g_00762	Syao.g_01205
OG0000584	Prac.g_00761	Syao.g_01206
OG0000585	Prac.g_00759	Syao.g_01054
OG0000586	Prac.g_00758	Syao.g_01055
