Orthogroup	Prac	Prbh
OG0000039	Prac.g_00685	Prbh.g_00921
OG0000040	Prac.g_00279	Prbh.g_01815
OG0000041	Prac.g_00579	Prbh.g_01734
OG0000042	Prac.g_00048	Prbh.g_01573
OG0000043	Prac.g_01405	Prbh.g_01304
OG0000044	Prac.g_00892	Prbh.g_01794
OG0000047	Prac.g_01127	Prbh.g_00408
OG0000048	Prac.g_01159	Prbh.g_00508
OG0000053	Prac.g_01901, Prac.g_00391	Prbh.g_00120, Prbh.g_01834
OG0000054	Prac.g_00765	Prbh.g_00223
OG0000055	Prac.g_01495	Prbh.g_01332, Prbh.g_01797
OG0000057	Prac.g_00673	Prbh.g_00936
OG0000058	Prac.g_00258	Prbh.g_00030
OG0000059	Prac.g_00500	Prbh.g_01695
OG0000061	Prac.g_00985	Prbh.g_01283
OG0000062	Prac.g_00333	Prbh.g_00184
OG0000063	Prac.g_00908	Prbh.g_01401
OG0000065	Prac.g_01824	Prbh.g_00676
OG0000066	Prac.g_00833	Prbh.g_01856
OG0000067	Prac.g_01475	Prbh.g_00953
OG0000068	Prac.g_00217	Prbh.g_00009
OG0000069	Prac.g_00890, Prac.g_00300	Prbh.g_00376
OG0000070	Prac.g_01097	Prbh.g_00382
OG0000071	Prac.g_00175	Prbh.g_01373
OG0000072	Prac.g_01759	Prbh.g_00611
OG0000073	Prac.g_00872	Prbh.g_00051, Prbh.g_00330
OG0000074	Prac.g_00689	Prbh.g_00916, Prbh.g_00859, Prbh.g_00828
OG0000075	Prac.g_00017	Prbh.g_01607
OG0000076	Prac.g_01904, Prac.g_00041	Prbh.g_01581
OG0000077	Prac.g_01853	Prbh.g_00704
OG0000078	Prac.g_01691	Prbh.g_00540
OG0000081	Prac.g_00841	Prbh.g_00298
OG0000082	Prac.g_00788	Prbh.g_01855
OG0000084	Prac.g_00415	Prbh.g_00093
OG0000085	Prac.g_00632	Prbh.g_01408
OG0000086	Prac.g_01843	Prbh.g_00695
OG0000087	Prac.g_01792	Prbh.g_00642
OG0000088	Prac.g_01764	Prbh.g_00616
OG0000089	Prac.g_01178	Prbh.g_00415
OG0000090	Prac.g_00839	Prbh.g_00296
OG0000091	Prac.g_00729	Prbh.g_01211
OG0000092	Prac.g_01379	Prbh.g_00883
OG0000093	Prac.g_01359	Prbh.g_01181
OG0000094	Prac.g_01275	Prbh.g_01130
OG0000095	Prac.g_01256	Prbh.g_01031
OG0000096	Prac.g_01958, Prac.g_01035, Prac.g_00139	Prbh.g_01909, Prbh.g_01948
OG0000097	Prac.g_00944	Prbh.g_01236
OG0000098	Prac.g_00199	Prbh.g_01935
OG0000099	Prac.g_00256	Prbh.g_00032
OG0000100	Prac.g_00337	Prbh.g_00179
OG0000101	Prac.g_00548	Prbh.g_01644
OG0000102	Prac.g_00046	Prbh.g_01576
OG0000103	Prac.g_00123	Prbh.g_01489
OG0000104	Prac.g_00131	Prbh.g_01480
OG0000105	Prac.g_01657	Prbh.g_00505
OG0000106	Prac.g_01163	Prbh.g_00821
OG0000107	Prac.g_01148	Prbh.g_01718
OG0000108	Prac.g_01064	Prbh.g_00351
OG0000109	Prac.g_01050	Prbh.g_00337
OG0000110	Prac.g_00798	Prbh.g_00254
OG0000111	Prac.g_00672	Prbh.g_00937
OG0000112	Prac.g_01507	Prbh.g_01078
OG0000113	Prac.g_01453	Prbh.g_00976
OG0000114	Prac.g_01384	Prbh.g_00878
OG0000115	Prac.g_01040	Prbh.g_01344
OG0000116	Prac.g_00995	Prbh.g_01294
OG0000117	Prac.g_01955	Prbh.g_01255
OG0000118	Prac.g_00187	Prbh.g_01385
OG0000119	Prac.g_00213	Prbh.g_01333, Prbh.g_00194
OG0000120	Prac.g_00248	Prbh.g_00031
OG0000121	Prac.g_00409	Prbh.g_00101
OG0000122	Prac.g_00371	Prbh.g_01347, Prbh.g_00143
OG0000123	Prac.g_00554	Prbh.g_01637
OG0000124	Prac.g_00056	Prbh.g_01564
OG0000125	Prac.g_00092	Prbh.g_01528
OG0000126	Prac.g_00130	Prbh.g_01481
OG0000128	Prac.g_01936	Prbh.g_01953
OG0000129	Prac.g_01888	Prbh.g_00738
OG0000130	Prac.g_01862	Prbh.g_00713
OG0000131	Prac.g_01785	Prbh.g_00637
OG0000132	Prac.g_01766	Prbh.g_00618
OG0000133	Prac.g_01609	Prbh.g_00457
OG0000134	Prac.g_01177	Prbh.g_00413
OG0000135	Prac.g_01150	Prbh.g_01825
OG0000136	Prac.g_01106	Prbh.g_00391
OG0000137	Prac.g_01069	Prbh.g_00356
OG0000138	Prac.g_01049	Prbh.g_00336
OG0000139	Prac.g_00835	Prbh.g_00292
OG0000140	Prac.g_00834	Prbh.g_00291
OG0000141	Prac.g_00764	Prbh.g_00222
OG0000142	Prac.g_00736	Prbh.g_01218
OG0000143	Prac.g_00732	Prbh.g_01215
OG0000144	Prac.g_00719	Prbh.g_01201
OG0000145	Prac.g_01508	Prbh.g_01880
OG0000146	Prac.g_01506	Prbh.g_01077
OG0000147	Prac.g_01505	Prbh.g_01076
OG0000148	Prac.g_01459	Prbh.g_00970
OG0000149	Prac.g_01429	Prbh.g_01002
OG0000150	Prac.g_01421	Prbh.g_01012
OG0000151	Prac.g_01374	Prbh.g_00888
OG0000152	Prac.g_01327	Prbh.g_01086
OG0000153	Prac.g_01308	Prbh.g_01104
OG0000154	Prac.g_01282	Prbh.g_01121
OG0000155	Prac.g_00965	Prbh.g_01261
OG0000156	Prac.g_00164	Prbh.g_01362
OG0000157	Prac.g_00165	Prbh.g_01363
OG0000158	Prac.g_00447	Prbh.g_01599
OG0000159	Prac.g_00452	Prbh.g_00039
OG0000160	Prac.g_00410	Prbh.g_00100
OG0000161	Prac.g_00404	Prbh.g_01288, Prbh.g_00106
OG0000162	Prac.g_00398	Prbh.g_00112
OG0000163	Prac.g_00364	Prbh.g_00151
OG0000164	Prac.g_00601	Prbh.g_01758
OG0000165	Prac.g_00594	Prbh.g_01750
OG0000166	Prac.g_00512	Prbh.g_01681
OG0000167	Prac.g_00015	Prbh.g_01609
OG0000168	Prac.g_00025	Prbh.g_01598
OG0000169	Prac.g_00035	Prbh.g_01588
OG0000170	Prac.g_00037	Prbh.g_01585
OG0000171	Prac.g_00055	Prbh.g_01565
OG0000172	Prac.g_00063	Prbh.g_01558
OG0000173	Prac.g_00078	Prbh.g_01543
OG0000174	Prac.g_00105	Prbh.g_01512
OG0000175	Prac.g_00115	Prbh.g_01500
OG0000176	Prac.g_01943	Prbh.g_01472
OG0000177	Prac.g_01942	Prbh.g_01471
OG0000178	Prac.g_01941	Prbh.g_01470
OG0000179	Prac.g_01931	Prbh.g_00764
OG0000180	Prac.g_01930	Prbh.g_00763
OG0000181	Prac.g_01929	Prbh.g_00762
OG0000182	Prac.g_01928	Prbh.g_00761
OG0000183	Prac.g_01924	Prbh.g_00757
OG0000184	Prac.g_01885	Prbh.g_00734
OG0000185	Prac.g_01882	Prbh.g_00731
OG0000186	Prac.g_01867	Prbh.g_00719
OG0000187	Prac.g_01866	Prbh.g_00718
OG0000188	Prac.g_01849	Prbh.g_00701
OG0000189	Prac.g_01835	Prbh.g_00687
OG0000190	Prac.g_01834	Prbh.g_00686
OG0000191	Prac.g_01814	Prbh.g_00664
OG0000192	Prac.g_01810	Prbh.g_00659
OG0000193	Prac.g_01784	Prbh.g_00636
OG0000194	Prac.g_01781	Prbh.g_00633
OG0000195	Prac.g_01779	Prbh.g_00631
OG0000196	Prac.g_01769	Prbh.g_00621
OG0000197	Prac.g_01768	Prbh.g_00620
OG0000198	Prac.g_01767	Prbh.g_00619
OG0000199	Prac.g_01760	Prbh.g_00612
OG0000200	Prac.g_01746	Prbh.g_00599
OG0000201	Prac.g_01738	Prbh.g_00590
OG0000202	Prac.g_01737	Prbh.g_00589
OG0000203	Prac.g_01736	Prbh.g_00588
OG0000204	Prac.g_01735	Prbh.g_00587
OG0000205	Prac.g_01728	Prbh.g_00580
OG0000206	Prac.g_01723	Prbh.g_00575
OG0000207	Prac.g_01721	Prbh.g_00573
OG0000208	Prac.g_01720	Prbh.g_00572
OG0000209	Prac.g_01711	Prbh.g_00563
OG0000210	Prac.g_01710	Prbh.g_00562
OG0000211	Prac.g_01697	Prbh.g_00547
OG0000212	Prac.g_01690	Prbh.g_00539
OG0000213	Prac.g_01674	Prbh.g_00521
OG0000214	Prac.g_01664	Prbh.g_00512
OG0000215	Prac.g_01639	Prbh.g_00485
OG0000216	Prac.g_01637	Prbh.g_00484
OG0000217	Prac.g_01634	Prbh.g_00481
OG0000218	Prac.g_01632	Prbh.g_00479
OG0000219	Prac.g_01631	Prbh.g_00478
OG0000220	Prac.g_01630	Prbh.g_00477
OG0000221	Prac.g_01629	Prbh.g_00476
OG0000222	Prac.g_01621	Prbh.g_00469
OG0000223	Prac.g_01608	Prbh.g_00456
OG0000224	Prac.g_01606	Prbh.g_00454
OG0000225	Prac.g_01188	Prbh.g_00426
OG0000226	Prac.g_01184	Prbh.g_00422
OG0000227	Prac.g_01182	Prbh.g_00420
OG0000228	Prac.g_01179	Prbh.g_00416
OG0000229	Prac.g_01111	Prbh.g_00396
OG0000230	Prac.g_01109	Prbh.g_00394
OG0000231	Prac.g_01098	Prbh.g_00383
OG0000232	Prac.g_01089	Prbh.g_00370
OG0000233	Prac.g_01082	Prbh.g_00365
OG0000234	Prac.g_01068	Prbh.g_00355
OG0000235	Prac.g_01065	Prbh.g_00352
OG0000236	Prac.g_01051	Prbh.g_00338
OG0000237	Prac.g_00865	Prbh.g_00324
OG0000238	Prac.g_00859	Prbh.g_00318
OG0000239	Prac.g_00847	Prbh.g_00305
OG0000240	Prac.g_00846	Prbh.g_00304
OG0000241	Prac.g_00842	Prbh.g_00299
OG0000242	Prac.g_00840	Prbh.g_00297
OG0000243	Prac.g_00829	Prbh.g_00287
OG0000244	Prac.g_00826	Prbh.g_00284
OG0000245	Prac.g_00824	Prbh.g_00282
OG0000246	Prac.g_00820	Prbh.g_00278
OG0000247	Prac.g_00810	Prbh.g_00267
OG0000248	Prac.g_00808	Prbh.g_00264
OG0000249	Prac.g_00806	Prbh.g_00262
OG0000250	Prac.g_00801	Prbh.g_00257
OG0000251	Prac.g_00782	Prbh.g_00239
OG0000252	Prac.g_00778	Prbh.g_00236
OG0000253	Prac.g_00777	Prbh.g_00235
OG0000254	Prac.g_00760	Prbh.g_00218
OG0000255	Prac.g_00754	Prbh.g_00212
OG0000256	Prac.g_00744	Prbh.g_01455
OG0000257	Prac.g_00741	Prbh.g_01223
OG0000258	Prac.g_00728	Prbh.g_01210
OG0000259	Prac.g_00711	Prbh.g_01193
OG0000260	Prac.g_00708	Prbh.g_01190
OG0000261	Prac.g_00706	Prbh.g_01187
OG0000262	Prac.g_00702	Prbh.g_01182
OG0000263	Prac.g_00690	Prbh.g_00915
OG0000264	Prac.g_00680	Prbh.g_00926
OG0000265	Prac.g_01560	Prbh.g_00945
OG0000266	Prac.g_01550	Prbh.g_01163
OG0000267	Prac.g_01539	Prbh.g_01150
OG0000268	Prac.g_01538	Prbh.g_01149
OG0000269	Prac.g_01480	Prbh.g_00948
OG0000270	Prac.g_01477	Prbh.g_00951
OG0000271	Prac.g_01469	Prbh.g_00959
OG0000272	Prac.g_01468	Prbh.g_00960
OG0000273	Prac.g_01445	Prbh.g_00983
OG0000274	Prac.g_01444	Prbh.g_00984
OG0000275	Prac.g_01442	Prbh.g_00987
OG0000276	Prac.g_01437	Prbh.g_00993
OG0000277	Prac.g_01436	Prbh.g_00994
OG0000278	Prac.g_01433	Prbh.g_00997
OG0000279	Prac.g_01426	Prbh.g_01005
OG0000280	Prac.g_01425	Prbh.g_01006
OG0000281	Prac.g_01420	Prbh.g_01013
OG0000282	Prac.g_01382	Prbh.g_00880
OG0000283	Prac.g_01350	Prbh.g_01059
OG0000284	Prac.g_01345	Prbh.g_01064
OG0000285	Prac.g_01340	Prbh.g_01069
OG0000286	Prac.g_01328	Prbh.g_01085
OG0000287	Prac.g_01311	Prbh.g_01342
OG0000288	Prac.g_01283	Prbh.g_01120
OG0000289	Prac.g_01272	Prbh.g_01135
OG0000290	Prac.g_01259	Prbh.g_01034
OG0000291	Prac.g_01257	Prbh.g_01032
OG0000292	Prac.g_01207	Prbh.g_01328
OG0000293	Prac.g_00994	Prbh.g_01293
OG0000294	Prac.g_00993	Prbh.g_01292
OG0000295	Prac.g_00973	Prbh.g_01268
OG0000296	Prac.g_00971	Prbh.g_01266
OG0000297	Prac.g_00963	Prbh.g_01257
OG0000298	Prac.g_00962	Prbh.g_01256
OG0000299	Prac.g_00945	Prbh.g_01237
OG0000300	Prac.g_00942	Prbh.g_01234
OG0000301	Prac.g_00941	Prbh.g_01233
OG0000302	Prac.g_00939	Prbh.g_01231
OG0000303	Prac.g_00932	Prbh.g_01225
OG0000304	Prac.g_00928	Prbh.g_01450
OG0000305	Prac.g_00209	Prbh.g_01326
OG0000306	Prac.g_00212	Prbh.g_01017
OG0000307	Prac.g_00226	Prbh.g_00019
OG0000308	Prac.g_00227	Prbh.g_00020
OG0000309	Prac.g_00231	Prbh.g_00024
OG0000310	Prac.g_00426	Prbh.g_00082
OG0000311	Prac.g_00424	Prbh.g_00084
OG0000312	Prac.g_00421	Prbh.g_00087
OG0000313	Prac.g_00407	Prbh.g_00103
OG0000314	Prac.g_00384	Prbh.g_00126
OG0000315	Prac.g_00374	Prbh.g_00136
OG0000316	Prac.g_00354	Prbh.g_00162
OG0000317	Prac.g_00627	Prbh.g_01785
OG0000318	Prac.g_00624	Prbh.g_01781
OG0000319	Prac.g_00611	Prbh.g_01768
OG0000320	Prac.g_00609	Prbh.g_01766
OG0000321	Prac.g_00608	Prbh.g_01765
OG0000322	Prac.g_00607	Prbh.g_01764
OG0000323	Prac.g_00598	Prbh.g_01755
OG0000324	Prac.g_00572	Prbh.g_01727
OG0000325	Prac.g_00477	Prbh.g_01717
OG0000326	Prac.g_00483	Prbh.g_01710
OG0000327	Prac.g_00507	Prbh.g_01686
OG0000328	Prac.g_00508	Prbh.g_01685
OG0000329	Prac.g_00525	Prbh.g_01668
OG0000330	Prac.g_00526	Prbh.g_01667
OG0000331	Prac.g_00527	Prbh.g_01666
OG0000332	Prac.g_00541	Prbh.g_01652
OG0000333	Prac.g_00543	Prbh.g_01650
OG0000334	Prac.g_00551	Prbh.g_01641
OG0000335	Prac.g_00555	Prbh.g_01636
OG0000336	Prac.g_00559	Prbh.g_01632
OG0000337	Prac.g_00013	Prbh.g_01613
OG0000338	Prac.g_00014	Prbh.g_01612
OG0000339	Prac.g_00018	Prbh.g_01606
OG0000340	Prac.g_00026	Prbh.g_01597
OG0000341	Prac.g_00028	Prbh.g_01595
OG0000342	Prac.g_00029	Prbh.g_01594
OG0000343	Prac.g_00030	Prbh.g_01593
OG0000344	Prac.g_00033	Prbh.g_01590
OG0000345	Prac.g_00038	Prbh.g_01584
OG0000346	Prac.g_00042	Prbh.g_01580
OG0000347	Prac.g_00057	Prbh.g_01563
OG0000348	Prac.g_00066	Prbh.g_01555
OG0000349	Prac.g_00083	Prbh.g_01537
OG0000350	Prac.g_00101	Prbh.g_01516
OG0000351	Prac.g_00118	Prbh.g_01497
OG0000352	Prac.g_00119	Prbh.g_01496
OG0000353	Prac.g_01948	Prbh.g_01477
OG0000355	Prac.g_01946	Prbh.g_01475
OG0000356	Prac.g_01945	Prbh.g_01474
OG0000357	Prac.g_01944	Prbh.g_01473
OG0000358	Prac.g_01940	Prbh.g_01469
OG0000359	Prac.g_01939	Prbh.g_01468
OG0000360	Prac.g_01938	Prbh.g_01467
OG0000361	Prac.g_01937	Prbh.g_01466
OG0000362	Prac.g_01935	Prbh.g_01952
OG0000363	Prac.g_01933	Prbh.g_00766
OG0000364	Prac.g_01932	Prbh.g_00765
OG0000365	Prac.g_01927	Prbh.g_00760
OG0000366	Prac.g_01926	Prbh.g_00759
OG0000367	Prac.g_01925	Prbh.g_00758
OG0000368	Prac.g_01923	Prbh.g_00756
OG0000369	Prac.g_01922	Prbh.g_00755
OG0000370	Prac.g_01921	Prbh.g_00754
OG0000371	Prac.g_01915	Prbh.g_00748
OG0000372	Prac.g_01911	Prbh.g_00746
OG0000373	Prac.g_01910	Prbh.g_00745
OG0000374	Prac.g_01909	Prbh.g_00744
OG0000375	Prac.g_01892	Prbh.g_00743
OG0000376	Prac.g_01890	Prbh.g_00741
OG0000377	Prac.g_01886	Prbh.g_00737
OG0000378	Prac.g_01884	Prbh.g_00733
OG0000379	Prac.g_01881	Prbh.g_00730
OG0000380	Prac.g_01865	Prbh.g_00717
OG0000381	Prac.g_01861	Prbh.g_00712
OG0000382	Prac.g_01850	Prbh.g_00702
OG0000383	Prac.g_01848	Prbh.g_00700
OG0000384	Prac.g_01847	Prbh.g_00699
OG0000385	Prac.g_01846	Prbh.g_00698
OG0000386	Prac.g_01845	Prbh.g_00697
OG0000387	Prac.g_01832	Prbh.g_00684
OG0000388	Prac.g_01829	Prbh.g_00680
OG0000389	Prac.g_01825	Prbh.g_00677
OG0000390	Prac.g_01818	Prbh.g_00668
OG0000391	Prac.g_01815	Prbh.g_00665
OG0000392	Prac.g_01811	Prbh.g_00661
OG0000393	Prac.g_01809	Prbh.g_00658
OG0000394	Prac.g_01808	Prbh.g_00657
OG0000395	Prac.g_01807	Prbh.g_00656
OG0000396	Prac.g_01804	Prbh.g_00654
OG0000397	Prac.g_01802	Prbh.g_00652
OG0000398	Prac.g_01800	Prbh.g_00649
OG0000399	Prac.g_01799	Prbh.g_00648
OG0000400	Prac.g_01798	Prbh.g_00647
OG0000401	Prac.g_01797	Prbh.g_00646
OG0000402	Prac.g_01795	Prbh.g_01144
OG0000403	Prac.g_01794	Prbh.g_00644
OG0000404	Prac.g_01793	Prbh.g_00643
OG0000405	Prac.g_01789	Prbh.g_00639
OG0000406	Prac.g_01783	Prbh.g_00635
OG0000407	Prac.g_01782	Prbh.g_00634
OG0000408	Prac.g_01780	Prbh.g_00632
OG0000409	Prac.g_01778	Prbh.g_00630
OG0000410	Prac.g_01777	Prbh.g_00629
OG0000411	Prac.g_01776	Prbh.g_00628
OG0000412	Prac.g_01775	Prbh.g_00627
OG0000413	Prac.g_01774	Prbh.g_00626
OG0000414	Prac.g_01590, Prac.g_01773	Prbh.g_00625
OG0000415	Prac.g_01772	Prbh.g_00624
OG0000416	Prac.g_01771	Prbh.g_00623
OG0000417	Prac.g_01770	Prbh.g_00622
OG0000418	Prac.g_01765	Prbh.g_00617
OG0000419	Prac.g_01763	Prbh.g_00615
OG0000420	Prac.g_01762	Prbh.g_00614
OG0000421	Prac.g_01757	Prbh.g_00610
OG0000422	Prac.g_01756	Prbh.g_00609
OG0000423	Prac.g_01755	Prbh.g_00608
OG0000424	Prac.g_01754	Prbh.g_00607
OG0000425	Prac.g_01753	Prbh.g_00606
OG0000426	Prac.g_01752	Prbh.g_00605
OG0000427	Prac.g_01751	Prbh.g_00604
OG0000428	Prac.g_01749	Prbh.g_00602
OG0000429	Prac.g_01748	Prbh.g_00601
OG0000430	Prac.g_01747	Prbh.g_00600
OG0000431	Prac.g_01745	Prbh.g_00598
OG0000432	Prac.g_01742	Prbh.g_00594
OG0000433	Prac.g_01741	Prbh.g_00593
OG0000434	Prac.g_01740	Prbh.g_00592
OG0000435	Prac.g_01739	Prbh.g_00591
OG0000436	Prac.g_01734	Prbh.g_00586
OG0000437	Prac.g_01733	Prbh.g_00585
OG0000438	Prac.g_01732	Prbh.g_00584
OG0000439	Prac.g_01730	Prbh.g_00582
OG0000440	Prac.g_01729	Prbh.g_00581
OG0000441	Prac.g_01726	Prbh.g_00578
OG0000442	Prac.g_01725	Prbh.g_00577
OG0000443	Prac.g_01724	Prbh.g_00576
OG0000444	Prac.g_01719	Prbh.g_00571
OG0000445	Prac.g_01718	Prbh.g_00570
OG0000446	Prac.g_01717	Prbh.g_00569
OG0000447	Prac.g_01716	Prbh.g_00568
OG0000448	Prac.g_01715	Prbh.g_00567
OG0000449	Prac.g_01714	Prbh.g_00566
OG0000450	Prac.g_01713	Prbh.g_00565
OG0000451	Prac.g_01712	Prbh.g_00564
OG0000452	Prac.g_01709	Prbh.g_00561
OG0000453	Prac.g_01708	Prbh.g_00560
OG0000454	Prac.g_01707	Prbh.g_00559
OG0000455	Prac.g_01706	Prbh.g_00558
OG0000456	Prac.g_01705	Prbh.g_00557
OG0000457	Prac.g_01704	Prbh.g_00555
OG0000458	Prac.g_01703	Prbh.g_00554
OG0000459	Prac.g_01702	Prbh.g_00553
OG0000460	Prac.g_01695	Prbh.g_00545
OG0000461	Prac.g_01688	Prbh.g_00537
OG0000462	Prac.g_01686	Prbh.g_00535
OG0000463	Prac.g_01685	Prbh.g_00534
OG0000464	Prac.g_01684	Prbh.g_00533
OG0000465	Prac.g_01683	Prbh.g_00532
OG0000466	Prac.g_01680	Prbh.g_00529
OG0000467	Prac.g_01679	Prbh.g_00528
OG0000468	Prac.g_01678	Prbh.g_00525
OG0000469	Prac.g_01669	Prbh.g_00517
OG0000470	Prac.g_01667	Prbh.g_00515
OG0000471	Prac.g_01666	Prbh.g_00514
OG0000472	Prac.g_01665	Prbh.g_00513
OG0000473	Prac.g_01663	Prbh.g_00511
OG0000474	Prac.g_01662	Prbh.g_00510
OG0000475	Prac.g_01661	Prbh.g_00509
OG0000476	Prac.g_01660	Prbh.g_00507
OG0000477	Prac.g_01656	Prbh.g_00504
OG0000478	Prac.g_01655	Prbh.g_00503
OG0000479	Prac.g_01654	Prbh.g_00502
OG0000480	Prac.g_01649	Prbh.g_00497
OG0000481	Prac.g_01647	Prbh.g_00494
OG0000482	Prac.g_01646	Prbh.g_00493
OG0000483	Prac.g_01643	Prbh.g_00490
OG0000484	Prac.g_01642	Prbh.g_00489
OG0000485	Prac.g_01641	Prbh.g_00487
OG0000486	Prac.g_01640	Prbh.g_00486
OG0000487	Prac.g_01636	Prbh.g_00483
OG0000488	Prac.g_01633	Prbh.g_00480
OG0000489	Prac.g_01628	Prbh.g_00475
OG0000490	Prac.g_01623	Prbh.g_00471
OG0000491	Prac.g_01622	Prbh.g_00470
OG0000492	Prac.g_01620	Prbh.g_00468
OG0000493	Prac.g_01619	Prbh.g_00467
OG0000494	Prac.g_01618	Prbh.g_00466
OG0000495	Prac.g_01617	Prbh.g_00465
OG0000496	Prac.g_01616	Prbh.g_00464
OG0000497	Prac.g_01615	Prbh.g_00463
OG0000498	Prac.g_01614	Prbh.g_00462
OG0000499	Prac.g_01613	Prbh.g_00461
OG0000500	Prac.g_01612	Prbh.g_00460
OG0000501	Prac.g_01610	Prbh.g_00458
OG0000502	Prac.g_01607	Prbh.g_00455
OG0000503	Prac.g_01200	Prbh.g_00439
OG0000504	Prac.g_01199	Prbh.g_00437
OG0000505	Prac.g_01198	Prbh.g_00436
OG0000506	Prac.g_01196	Prbh.g_00435
OG0000507	Prac.g_01193	Prbh.g_00431
OG0000508	Prac.g_01189	Prbh.g_00427
OG0000509	Prac.g_01187	Prbh.g_00425
OG0000510	Prac.g_01186	Prbh.g_00424
OG0000511	Prac.g_01185	Prbh.g_00423
OG0000512	Prac.g_01183	Prbh.g_00421
OG0000513	Prac.g_01176	Prbh.g_00412
OG0000514	Prac.g_01116	Prbh.g_00401
OG0000515	Prac.g_01115	Prbh.g_00400
OG0000516	Prac.g_01114	Prbh.g_00399
OG0000517	Prac.g_01112	Prbh.g_00397
OG0000518	Prac.g_01101	Prbh.g_00386
OG0000519	Prac.g_01100	Prbh.g_00385
OG0000520	Prac.g_01099	Prbh.g_00384
OG0000521	Prac.g_01094	Prbh.g_00374
OG0000522	Prac.g_01092	Prbh.g_00372
OG0000523	Prac.g_01091	Prbh.g_00371
OG0000524	Prac.g_01084	Prbh.g_00367
OG0000525	Prac.g_01081	Prbh.g_00363
OG0000526	Prac.g_01080	Prbh.g_00361
OG0000527	Prac.g_01071	Prbh.g_00358
OG0000528	Prac.g_01066	Prbh.g_00353
OG0000529	Prac.g_01063	Prbh.g_00350
OG0000530	Prac.g_01060	Prbh.g_00347
OG0000531	Prac.g_01059	Prbh.g_00346
OG0000532	Prac.g_01057	Prbh.g_00344
OG0000533	Prac.g_01056	Prbh.g_00343
OG0000534	Prac.g_01055	Prbh.g_00342
OG0000535	Prac.g_01054	Prbh.g_00341
OG0000536	Prac.g_01053	Prbh.g_00340
OG0000537	Prac.g_01052	Prbh.g_00339
OG0000538	Prac.g_00871	Prbh.g_00329
OG0000539	Prac.g_00870	Prbh.g_00328
OG0000540	Prac.g_00869	Prbh.g_00327
OG0000541	Prac.g_00868	Prbh.g_00326
OG0000542	Prac.g_00866	Prbh.g_00325
OG0000543	Prac.g_00864	Prbh.g_00323
OG0000544	Prac.g_00863	Prbh.g_00322
OG0000545	Prac.g_00861	Prbh.g_00320
OG0000546	Prac.g_00858	Prbh.g_00317
OG0000547	Prac.g_00857	Prbh.g_00315
OG0000548	Prac.g_00856	Prbh.g_00314
OG0000549	Prac.g_00854	Prbh.g_00311
OG0000550	Prac.g_00849	Prbh.g_00306
OG0000551	Prac.g_00845	Prbh.g_00303
OG0000552	Prac.g_00844	Prbh.g_00302
OG0000553	Prac.g_00843	Prbh.g_00301
OG0000554	Prac.g_00838	Prbh.g_00295
OG0000555	Prac.g_00830	Prbh.g_00288
OG0000556	Prac.g_00828	Prbh.g_00286
OG0000557	Prac.g_00827	Prbh.g_00285
