Orthogroup	Prac	Syak
OG0000044	Prac.g_00892	Syak.g_00767, Syak.g_00153
OG0000045	Prac.g_01162	Syak.g_00228
OG0000045	Prac.g_01576	Syak.g_00317
OG0000047	Prac.g_01601, Prac.g_01127	Syak.g_01147
OG0000048	Prac.g_01159	Syak.g_01446
OG0000053	Prac.g_01901, Prac.g_00391	Syak.g_01068
OG0000054	Prac.g_00765	Syak.g_02744, Syak.g_02321
OG0000055	Prac.g_01495	Syak.g_00766
OG0000057	Prac.g_00673	Syak.g_00724, Syak.g_01676
OG0000059	Prac.g_00500	Syak.g_01355
OG0000061	Prac.g_00985	Syak.g_00898
OG0000062	Prac.g_00333	Syak.g_02434
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syak.g_01752
OG0000065	Prac.g_01824	Syak.g_02192, Syak.g_00282
OG0000066	Prac.g_00833	Syak.g_02653
OG0000067	Prac.g_01475	Syak.g_00434
OG0000068	Prac.g_00217	Syak.g_02565
OG0000070	Prac.g_01097	Syak.g_01174
OG0000071	Prac.g_00175	Syak.g_02322, Syak.g_00936
OG0000072	Prac.g_01759	Syak.g_02099
OG0000073	Prac.g_00872	Syak.g_02597
OG0000075	Prac.g_00017	Syak.g_01564
OG0000076	Prac.g_01904, Prac.g_00041	Syak.g_01650
OG0000077	Prac.g_01853	Syak.g_02243
OG0000078	Prac.g_01691	Syak.g_02310
OG0000081	Prac.g_00841	Syak.g_00115
OG0000082	Prac.g_00788	Syak.g_02711
OG0000084	Prac.g_00415	Syak.g_01036
OG0000085	Prac.g_00632	Syak.g_02427
OG0000086	Prac.g_01843	Syak.g_02219
OG0000087	Prac.g_01792	Syak.g_02141
OG0000088	Prac.g_01764	Syak.g_02106
OG0000089	Prac.g_01178	Syak.g_01215
OG0000090	Prac.g_00839	Syak.g_02640
OG0000091	Prac.g_00729	Syak.g_00043
OG0000092	Prac.g_00003	Syak.g_01126
OG0000093	Prac.g_01359	Syak.g_00416
OG0000094	Prac.g_01275	Syak.g_00656
OG0000095	Prac.g_01256	Syak.g_00736
OG0000097	Prac.g_00944	Syak.g_00816
OG0000098	Prac.g_00199	Syak.g_00345, Syak.g_02651
OG0000099	Prac.g_00256	Syak.g_01527
OG0000100	Prac.g_00337	Syak.g_00622
OG0000101	Prac.g_00548	Syak.g_01305
OG0000102	Prac.g_00046	Syak.g_01661
OG0000103	Prac.g_00123	Syak.g_01812
OG0000104	Prac.g_00131	Syak.g_01799
OG0000105	Prac.g_01657	Syak.g_01451
OG0000106	Prac.g_01163	Syak.g_00096
OG0000107	Prac.g_01148	Syak.g_01392
OG0000108	Prac.g_01064	Syak.g_02574
OG0000109	Prac.g_01050	Syak.g_01061, Syak.g_02590
OG0000110	Prac.g_00798	Syak.g_02698
OG0000111	Prac.g_00672	Syak.g_00725
OG0000112	Prac.g_01507	Syak.g_00512
OG0000113	Prac.g_01453	Syak.g_00461
OG0000114	Prac.g_01384	Syak.g_00373, Syak.g_00065
OG0000115	Prac.g_01040	Syak.g_01066
OG0000116	Prac.g_00995	Syak.g_00911
OG0000117	Prac.g_01955	Syak.g_00846
OG0000118	Prac.g_00187	Syak.g_00954
OG0000119	Prac.g_00213	Syak.g_00917
OG0000120	Prac.g_00248	Syak.g_01526
OG0000121	Prac.g_00409	Syak.g_01044
OG0000122	Prac.g_00371	Syak.g_00081
OG0000123	Prac.g_00554	Syak.g_01299
OG0000124	Prac.g_00056	Syak.g_01692
OG0000125	Prac.g_00092	Syak.g_01934
OG0000126	Prac.g_00130	Syak.g_01801
OG0000128	Prac.g_01936	Syak.g_01782
OG0000129	Prac.g_01888	Syak.g_01947
OG0000130	Prac.g_01862	Syak.g_02255
OG0000131	Prac.g_01785	Syak.g_02128
OG0000132	Prac.g_01766	Syak.g_02108
OG0000133	Prac.g_01609	Syak.g_00507
OG0000134	Prac.g_01177	Syak.g_01212
OG0000135	Prac.g_01150	Syak.g_01897
OG0000136	Prac.g_01106	Syak.g_01186
OG0000137	Prac.g_01069	Syak.g_01118
OG0000138	Prac.g_01049	Syak.g_01062, Syak.g_02591
OG0000139	Prac.g_00835	Syak.g_02646
OG0000140	Prac.g_00834	Syak.g_02650
OG0000141	Prac.g_00764	Syak.g_02746
OG0000142	Prac.g_00736	Syak.g_00035
OG0000143	Prac.g_00732	Syak.g_00039
OG0000144	Prac.g_00719	Syak.g_00260
OG0000145	Prac.g_01508	Syak.g_02598
OG0000146	Prac.g_01506	Syak.g_00514
OG0000147	Prac.g_01505	Syak.g_00515
OG0000148	Prac.g_01459	Syak.g_00455
OG0000149	Prac.g_01429	Syak.g_00596
OG0000150	Prac.g_01421	Syak.g_02747
OG0000151	Prac.g_01374	Syak.g_00387
OG0000152	Prac.g_01327	Syak.g_00503
OG0000153	Prac.g_01308	Syak.g_00470
OG0000154	Prac.g_01282	Syak.g_00645
OG0000155	Prac.g_00965	Syak.g_00855
OG0000156	Prac.g_00164	Syak.g_00919
OG0000157	Prac.g_00165	Syak.g_00920
OG0000158	Prac.g_00447	Syak.g_01624
OG0000160	Prac.g_00410	Syak.g_01043
OG0000161	Prac.g_00404	Syak.g_01050
OG0000162	Prac.g_00398	Syak.g_01058
OG0000163	Prac.g_00364	Syak.g_02478
OG0000164	Prac.g_00601	Syak.g_02384
OG0000165	Prac.g_00594	Syak.g_02374
OG0000166	Prac.g_00512	Syak.g_01345
OG0000167	Prac.g_00015	Syak.g_01561
OG0000168	Prac.g_00025	Syak.g_01625
OG0000169	Prac.g_00035	Syak.g_01637
OG0000170	Prac.g_00037	Syak.g_01644
OG0000171	Prac.g_00055	Syak.g_01691
OG0000172	Prac.g_00063	Syak.g_01713
OG0000173	Prac.g_00078	Syak.g_01733
OG0000174	Prac.g_00105	Syak.g_01895
OG0000175	Prac.g_00115	Syak.g_01827
OG0000176	Prac.g_01943	Syak.g_01790
OG0000177	Prac.g_01942	Syak.g_01789
OG0000178	Prac.g_01941	Syak.g_01788
OG0000179	Prac.g_01931	Syak.g_01773
OG0000180	Prac.g_01930	Syak.g_01772
OG0000181	Prac.g_01929	Syak.g_01771
OG0000182	Prac.g_01928	Syak.g_01770
OG0000183	Prac.g_01924	Syak.g_01766
OG0000184	Prac.g_01885	Syak.g_01955
OG0000185	Prac.g_01882	Syak.g_01971
OG0000186	Prac.g_01867	Syak.g_02258
OG0000187	Prac.g_01866	Syak.g_02257
OG0000188	Prac.g_01849	Syak.g_02235
OG0000189	Prac.g_01835	Syak.g_02203
OG0000190	Prac.g_01834	Syak.g_01575
OG0000191	Prac.g_01814	Syak.g_02171
OG0000192	Prac.g_01810	Syak.g_02165
OG0000193	Prac.g_01784	Syak.g_02127
OG0000194	Prac.g_01781	Syak.g_02124
OG0000195	Prac.g_01779	Syak.g_02122
OG0000196	Prac.g_01769	Syak.g_02111
OG0000197	Prac.g_01768	Syak.g_02110
OG0000198	Prac.g_01767	Syak.g_02109
OG0000199	Prac.g_01760	Syak.g_02100
OG0000200	Prac.g_01746	Syak.g_02083
OG0000201	Prac.g_01738	Syak.g_02068
OG0000202	Prac.g_01737	Syak.g_02067
OG0000203	Prac.g_01736	Syak.g_02066
OG0000204	Prac.g_01735	Syak.g_02065
OG0000205	Prac.g_01728	Syak.g_02058
OG0000206	Prac.g_01723	Syak.g_02038
OG0000207	Prac.g_01721	Syak.g_02025
OG0000208	Prac.g_01720	Syak.g_02024
OG0000209	Prac.g_01711	Syak.g_01995
OG0000210	Prac.g_01710	Syak.g_01994
OG0000211	Prac.g_01697	Syak.g_02017, Syak.g_02300
OG0000212	Prac.g_01690	Syak.g_02311
OG0000213	Prac.g_01674	Syak.g_01425
OG0000214	Prac.g_01664	Syak.g_01442
OG0000215	Prac.g_01639	Syak.g_01474
OG0000216	Prac.g_01637	Syak.g_01478
OG0000217	Prac.g_01634	Syak.g_01482
OG0000218	Prac.g_01632	Syak.g_01484
OG0000219	Prac.g_01631	Syak.g_01485
OG0000220	Prac.g_01630	Syak.g_01486
OG0000221	Prac.g_01629	Syak.g_01498
OG0000222	Prac.g_01621	Syak.g_01512
OG0000223	Prac.g_01608	Syak.g_01531
OG0000224	Prac.g_01606	Syak.g_01532
OG0000225	Prac.g_01188	Syak.g_01230
OG0000226	Prac.g_01184	Syak.g_01226
OG0000227	Prac.g_01182	Syak.g_01224
OG0000228	Prac.g_01179	Syak.g_01216
OG0000229	Prac.g_01111	Syak.g_01191
OG0000230	Prac.g_01109	Syak.g_01189
OG0000231	Prac.g_01098	Syak.g_01176
OG0000232	Prac.g_01089	Syak.g_01156
OG0000233	Prac.g_01082	Syak.g_01145
OG0000234	Prac.g_01068	Syak.g_01116
OG0000235	Prac.g_01065	Syak.g_02573
OG0000236	Prac.g_01051	Syak.g_02589
OG0000237	Prac.g_00865	Syak.g_02607
OG0000238	Prac.g_00859	Syak.g_02612
OG0000239	Prac.g_00847	Syak.g_02628
OG0000240	Prac.g_00846	Syak.g_02629
OG0000241	Prac.g_00842	Syak.g_00027
OG0000242	Prac.g_00840	Syak.g_02638
OG0000243	Prac.g_00829	Syak.g_02658
OG0000244	Prac.g_00826	Syak.g_02665
OG0000245	Prac.g_00824	Syak.g_02667
OG0000246	Prac.g_00820	Syak.g_02671
OG0000247	Prac.g_00810	Syak.g_02681
OG0000248	Prac.g_00808	Syak.g_02684
OG0000249	Prac.g_00806	Syak.g_02686
OG0000250	Prac.g_00801	Syak.g_02694
OG0000251	Prac.g_00782	Syak.g_02722
OG0000252	Prac.g_00778	Syak.g_02725
OG0000253	Prac.g_00777	Syak.g_02727
OG0000254	Prac.g_00760	Syak.g_02752
OG0000255	Prac.g_00754	Syak.g_02772
OG0000256	Prac.g_00744	Syak.g_00020
OG0000257	Prac.g_00741	Syak.g_00026
OG0000258	Prac.g_00728	Syak.g_00044
OG0000259	Prac.g_00711	Syak.g_00334
OG0000260	Prac.g_00708	Syak.g_00338
OG0000261	Prac.g_00706	Syak.g_00348
OG0000262	Prac.g_00702	Syak.g_00353
OG0000263	Prac.g_00690	Syak.g_00828
OG0000264	Prac.g_00680	Syak.g_00698
OG0000265	Prac.g_01560	Syak.g_00211
OG0000266	Prac.g_01550	Syak.g_00778
OG0000267	Prac.g_01539	Syak.g_00555
OG0000268	Prac.g_01538	Syak.g_00554
OG0000269	Prac.g_01480	Syak.g_00429
OG0000270	Prac.g_01477	Syak.g_00432
OG0000271	Prac.g_01469	Syak.g_00440
OG0000272	Prac.g_01468	Syak.g_00441
OG0000273	Prac.g_01445	Syak.g_00616
OG0000274	Prac.g_01444	Syak.g_00615
OG0000275	Prac.g_01442	Syak.g_00611
OG0000276	Prac.g_01437	Syak.g_00604
OG0000277	Prac.g_01436	Syak.g_00603
OG0000278	Prac.g_01433	Syak.g_00600
OG0000279	Prac.g_01426	Syak.g_00592
OG0000280	Prac.g_01425	Syak.g_00582
OG0000281	Prac.g_01420	Syak.g_00339
OG0000282	Prac.g_01382	Syak.g_00375
OG0000283	Prac.g_01350	Syak.g_00541
OG0000284	Prac.g_01345	Syak.g_00536
OG0000285	Prac.g_01340	Syak.g_00523
OG0000286	Prac.g_01328	Syak.g_00504
OG0000287	Prac.g_01311	Syak.g_00477
OG0000288	Prac.g_01283	Syak.g_00644
OG0000289	Prac.g_01272	Syak.g_00659
OG0000290	Prac.g_01259	Syak.g_00738
OG0000291	Prac.g_01257	Syak.g_00734, Syak.g_00737
OG0000292	Prac.g_01207	Syak.g_01802
OG0000293	Prac.g_00994	Syak.g_00910
OG0000294	Prac.g_00993	Syak.g_00909
OG0000295	Prac.g_00973	Syak.g_00863
OG0000296	Prac.g_00971	Syak.g_00861
OG0000297	Prac.g_00963	Syak.g_00848
OG0000298	Prac.g_00962	Syak.g_00847
OG0000299	Prac.g_00945	Syak.g_00820
OG0000300	Prac.g_00942	Syak.g_00813
OG0000301	Prac.g_00941	Syak.g_00812
OG0000302	Prac.g_00939	Syak.g_00811
OG0000303	Prac.g_00932	Syak.g_00674
OG0000304	Prac.g_00928	Syak.g_00680
OG0000305	Prac.g_00209	Syak.g_00732
OG0000306	Prac.g_00212	Syak.g_00094
OG0000307	Prac.g_00226	Syak.g_02556
OG0000308	Prac.g_00227	Syak.g_02554
OG0000309	Prac.g_00231	Syak.g_02549
OG0000310	Prac.g_00426	Syak.g_00994
OG0000311	Prac.g_00424	Syak.g_00999
OG0000312	Prac.g_00421	Syak.g_01028
OG0000313	Prac.g_00407	Syak.g_01046
OG0000314	Prac.g_00384	Syak.g_01079
OG0000315	Prac.g_00374	Syak.g_01090
OG0000316	Prac.g_00354	Syak.g_02462
OG0000317	Prac.g_00627	Syak.g_02419
OG0000318	Prac.g_00624	Syak.g_02415
OG0000319	Prac.g_00611	Syak.g_02399
OG0000320	Prac.g_00609	Syak.g_02397
OG0000321	Prac.g_00608	Syak.g_02396
OG0000322	Prac.g_00607	Syak.g_02395
OG0000323	Prac.g_00598	Syak.g_02380
OG0000324	Prac.g_00572	Syak.g_02347
OG0000325	Prac.g_00477	Syak.g_01391
OG0000326	Prac.g_00483	Syak.g_01384
OG0000327	Prac.g_00507	Syak.g_01350
OG0000328	Prac.g_00508	Syak.g_01349
OG0000329	Prac.g_00525	Syak.g_01331
OG0000330	Prac.g_00526	Syak.g_01330
OG0000331	Prac.g_00527	Syak.g_01329
OG0000332	Prac.g_00541	Syak.g_01314
OG0000333	Prac.g_00543	Syak.g_01311
OG0000334	Prac.g_00551	Syak.g_01302
OG0000335	Prac.g_00555	Syak.g_01298
OG0000336	Prac.g_00559	Syak.g_01294
OG0000337	Prac.g_00013	Syak.g_01555
OG0000338	Prac.g_00014	Syak.g_01558
OG0000339	Prac.g_00018	Syak.g_01566
OG0000340	Prac.g_00026	Syak.g_01626
OG0000341	Prac.g_00028	Syak.g_01628
OG0000342	Prac.g_00029	Syak.g_01629
OG0000343	Prac.g_00030	Syak.g_01631
OG0000344	Prac.g_00033	Syak.g_01635
OG0000345	Prac.g_00038	Syak.g_01645
OG0000346	Prac.g_00042	Syak.g_01651
OG0000347	Prac.g_00057	Syak.g_01694
OG0000348	Prac.g_00066	Syak.g_01717
OG0000349	Prac.g_00083	Syak.g_01740
OG0000350	Prac.g_00101	Syak.g_01377
OG0000351	Prac.g_00118	Syak.g_01823
OG0000352	Prac.g_00119	Syak.g_01822
OG0000353	Prac.g_01948	Syak.g_01796
OG0000355	Prac.g_01946	Syak.g_01793
OG0000356	Prac.g_01945	Syak.g_01792
OG0000357	Prac.g_01944	Syak.g_01791
OG0000358	Prac.g_01940	Syak.g_01787
OG0000359	Prac.g_01939	Syak.g_01785
OG0000360	Prac.g_01938	Syak.g_01784
OG0000361	Prac.g_01937	Syak.g_01783
OG0000362	Prac.g_01935	Syak.g_01781
OG0000363	Prac.g_01933	Syak.g_01779
OG0000364	Prac.g_01932	Syak.g_01778
OG0000365	Prac.g_01927	Syak.g_01769
OG0000366	Prac.g_01926	Syak.g_01768
OG0000367	Prac.g_01925	Syak.g_01767
OG0000368	Prac.g_01923	Syak.g_01765
OG0000369	Prac.g_01922	Syak.g_01764
OG0000370	Prac.g_01921	Syak.g_01763
OG0000371	Prac.g_01915	Syak.g_01753
OG0000372	Prac.g_01911	Syak.g_01748
OG0000373	Prac.g_01910	Syak.g_01747
OG0000374	Prac.g_01909	Syak.g_01746
OG0000375	Prac.g_01892	Syak.g_01744
OG0000376	Prac.g_01890	Syak.g_01742
OG0000377	Prac.g_01886	Syak.g_01948
OG0000378	Prac.g_01884	Syak.g_01968
OG0000379	Prac.g_01881	Syak.g_01972
OG0000380	Prac.g_01865	Syak.g_02256
OG0000381	Prac.g_01861	Syak.g_02254
OG0000382	Prac.g_01850	Syak.g_02236
OG0000383	Prac.g_01848	Syak.g_02229
OG0000384	Prac.g_01847	Syak.g_02228
OG0000385	Prac.g_01846	Syak.g_02227
OG0000386	Prac.g_01845	Syak.g_02226
OG0000387	Prac.g_01832	Syak.g_02200
OG0000388	Prac.g_01829	Syak.g_02196
OG0000389	Prac.g_01825	Syak.g_02193, Syak.g_02345
OG0000390	Prac.g_01818	Syak.g_02177
OG0000391	Prac.g_01815	Syak.g_02172
OG0000392	Prac.g_01811	Syak.g_02166
OG0000393	Prac.g_01809	Syak.g_02163
OG0000394	Prac.g_01808	Syak.g_02162
OG0000395	Prac.g_01807	Syak.g_02161
OG0000396	Prac.g_01804	Syak.g_02158
OG0000397	Prac.g_01802	Syak.g_02156
OG0000398	Prac.g_01800	Syak.g_02151
OG0000399	Prac.g_01799	Syak.g_02150
OG0000400	Prac.g_01798	Syak.g_02149
OG0000401	Prac.g_01797	Syak.g_02148
OG0000402	Prac.g_01795	Syak.g_02146
OG0000403	Prac.g_01794	Syak.g_02145
OG0000404	Prac.g_01793	Syak.g_02143
OG0000405	Prac.g_01789	Syak.g_02131
OG0000406	Prac.g_01783	Syak.g_02126
OG0000407	Prac.g_01782	Syak.g_02125
OG0000408	Prac.g_01780	Syak.g_02123
OG0000409	Prac.g_01778	Syak.g_02121
OG0000410	Prac.g_01777	Syak.g_02120
OG0000411	Prac.g_01776	Syak.g_02119
OG0000412	Prac.g_01775	Syak.g_02118
OG0000413	Prac.g_01774	Syak.g_02116
OG0000415	Prac.g_01772	Syak.g_02114
OG0000416	Prac.g_01771	Syak.g_02113
OG0000417	Prac.g_01770	Syak.g_02112
OG0000418	Prac.g_01765	Syak.g_02107
OG0000419	Prac.g_01763	Syak.g_02105
OG0000420	Prac.g_01762	Syak.g_02103
OG0000421	Prac.g_01757	Syak.g_02097
OG0000422	Prac.g_01756	Syak.g_02096
OG0000423	Prac.g_01755	Syak.g_02095
OG0000424	Prac.g_01754	Syak.g_02094
OG0000425	Prac.g_01753	Syak.g_02093
OG0000426	Prac.g_01752	Syak.g_02092
OG0000427	Prac.g_01751	Syak.g_02091
OG0000428	Prac.g_01749	Syak.g_02088
OG0000429	Prac.g_01748	Syak.g_02086
OG0000430	Prac.g_01747	Syak.g_02084
OG0000431	Prac.g_01745	Syak.g_02081
OG0000432	Prac.g_01742	Syak.g_02075
OG0000433	Prac.g_01741	Syak.g_02073
OG0000434	Prac.g_01740	Syak.g_02072
OG0000435	Prac.g_01739	Syak.g_02071
OG0000436	Prac.g_01734	Syak.g_02064
OG0000437	Prac.g_01733	Syak.g_02063
OG0000438	Prac.g_01732	Syak.g_02062
OG0000439	Prac.g_01730	Syak.g_02060
OG0000440	Prac.g_01729	Syak.g_02059
OG0000441	Prac.g_01726	Syak.g_02053
OG0000442	Prac.g_01725	Syak.g_02043
OG0000443	Prac.g_01724	Syak.g_02041
OG0000444	Prac.g_01719	Syak.g_02022
OG0000445	Prac.g_01718	Syak.g_02015
OG0000446	Prac.g_01717	Syak.g_02013
OG0000447	Prac.g_01716	Syak.g_02006
OG0000448	Prac.g_01715	Syak.g_02005
OG0000449	Prac.g_01714	Syak.g_02004
OG0000450	Prac.g_01713	Syak.g_01998
OG0000451	Prac.g_01712	Syak.g_01997
OG0000452	Prac.g_01709	Syak.g_01993
OG0000453	Prac.g_01708	Syak.g_01992
OG0000454	Prac.g_01707	Syak.g_01991
OG0000455	Prac.g_01706	Syak.g_01990
OG0000456	Prac.g_01705	Syak.g_01989
OG0000457	Prac.g_01704	Syak.g_01987
OG0000458	Prac.g_01703	Syak.g_01986
OG0000459	Prac.g_01702	Syak.g_01985
OG0000460	Prac.g_01695	Syak.g_02303
OG0000461	Prac.g_01688	Syak.g_01402
OG0000462	Prac.g_01686	Syak.g_01405
OG0000463	Prac.g_01685	Syak.g_01406
OG0000464	Prac.g_01684	Syak.g_01407
OG0000465	Prac.g_01683	Syak.g_01409
OG0000466	Prac.g_01680	Syak.g_01414
OG0000467	Prac.g_01679	Syak.g_01416
OG0000468	Prac.g_01678	Syak.g_01421
OG0000469	Prac.g_01669	Syak.g_01436
OG0000470	Prac.g_01667	Syak.g_01438
OG0000471	Prac.g_01666	Syak.g_01439
OG0000472	Prac.g_01665	Syak.g_01441
OG0000473	Prac.g_01663	Syak.g_01443
OG0000474	Prac.g_01662	Syak.g_01444
OG0000475	Prac.g_01661	Syak.g_01445
OG0000476	Prac.g_01660	Syak.g_01447
OG0000477	Prac.g_01656	Syak.g_01453
OG0000478	Prac.g_01655	Syak.g_01454
OG0000479	Prac.g_01654	Syak.g_01455
OG0000480	Prac.g_01649	Syak.g_01462
OG0000481	Prac.g_01647	Syak.g_01464
OG0000482	Prac.g_01646	Syak.g_01465
OG0000483	Prac.g_01643	Syak.g_01469
OG0000484	Prac.g_01642	Syak.g_01470
OG0000485	Prac.g_01641	Syak.g_01472
OG0000486	Prac.g_01640	Syak.g_01473
OG0000487	Prac.g_01636	Syak.g_01479
OG0000488	Prac.g_01633	Syak.g_01483
OG0000489	Prac.g_01628	Syak.g_01499
OG0000490	Prac.g_01623	Syak.g_01507
OG0000491	Prac.g_01622	Syak.g_01511
OG0000492	Prac.g_01620	Syak.g_01513
OG0000493	Prac.g_01619	Syak.g_01514
OG0000494	Prac.g_01618	Syak.g_01515
OG0000495	Prac.g_01617	Syak.g_01516
OG0000496	Prac.g_01616	Syak.g_01517
OG0000497	Prac.g_01615	Syak.g_01518
OG0000498	Prac.g_01614	Syak.g_01519
OG0000499	Prac.g_01613	Syak.g_01520
OG0000500	Prac.g_01612	Syak.g_01521
OG0000501	Prac.g_01610	Syak.g_01524
OG0000502	Prac.g_01607	Syak.g_01538
OG0000503	Prac.g_01200	Syak.g_01246
OG0000504	Prac.g_01199	Syak.g_01244
OG0000505	Prac.g_01198	Syak.g_01243
OG0000506	Prac.g_01196	Syak.g_01241
OG0000507	Prac.g_01193	Syak.g_01235
OG0000508	Prac.g_01189	Syak.g_01231
OG0000509	Prac.g_01187	Syak.g_01229
OG0000510	Prac.g_01186	Syak.g_01228
OG0000511	Prac.g_01185	Syak.g_01227
OG0000512	Prac.g_01183	Syak.g_01225
OG0000513	Prac.g_01176	Syak.g_01211
OG0000514	Prac.g_01116	Syak.g_01204
OG0000515	Prac.g_01115	Syak.g_01203
OG0000516	Prac.g_01114	Syak.g_01199
OG0000517	Prac.g_01112	Syak.g_01192
OG0000518	Prac.g_01101	Syak.g_01180
OG0000519	Prac.g_01100	Syak.g_01179
OG0000520	Prac.g_01099	Syak.g_01178
OG0000521	Prac.g_01094	Syak.g_01167
OG0000522	Prac.g_01092	Syak.g_01163
OG0000523	Prac.g_01091	Syak.g_01162
OG0000524	Prac.g_01084	Syak.g_01149
OG0000525	Prac.g_01081	Syak.g_01130
OG0000526	Prac.g_01080	Syak.g_01127
OG0000527	Prac.g_01071	Syak.g_01120
OG0000528	Prac.g_01066	Syak.g_02570
OG0000529	Prac.g_01063	Syak.g_02575
OG0000530	Prac.g_01060	Syak.g_02578
OG0000531	Prac.g_01059	Syak.g_02579
OG0000532	Prac.g_01057	Syak.g_02582
OG0000533	Prac.g_01056	Syak.g_02584
OG0000534	Prac.g_01055	Syak.g_02585
OG0000535	Prac.g_01054	Syak.g_02586
OG0000536	Prac.g_01053	Syak.g_02587
OG0000537	Prac.g_01052	Syak.g_02588
OG0000538	Prac.g_00871	Syak.g_02600
OG0000539	Prac.g_00870	Syak.g_02601
OG0000540	Prac.g_00869	Syak.g_02602
OG0000541	Prac.g_00868	Syak.g_02603
OG0000542	Prac.g_00866	Syak.g_02606
OG0000543	Prac.g_00864	Syak.g_02608
OG0000544	Prac.g_00863	Syak.g_02609
OG0000545	Prac.g_00861	Syak.g_02611
OG0000546	Prac.g_00858	Syak.g_02613
OG0000547	Prac.g_00857	Syak.g_02615
OG0000548	Prac.g_00856	Syak.g_02616
OG0000549	Prac.g_00854	Syak.g_02622
OG0000550	Prac.g_00849	Syak.g_02626
OG0000551	Prac.g_00845	Syak.g_02631
OG0000552	Prac.g_00844	Syak.g_02632
OG0000553	Prac.g_00843	Syak.g_02636
OG0000554	Prac.g_00838	Syak.g_02641
OG0000555	Prac.g_00830	Syak.g_02657
OG0000556	Prac.g_00828	Syak.g_02661
OG0000557	Prac.g_00827	Syak.g_02663
OG0000558	Prac.g_00825	Syak.g_02666
OG0000559	Prac.g_00821	Syak.g_02670
OG0000560	Prac.g_00818	Syak.g_02672
OG0000561	Prac.g_00817	Syak.g_02673
OG0000562	Prac.g_00816	Syak.g_02674
OG0000563	Prac.g_00815	Syak.g_02675
OG0000564	Prac.g_00814	Syak.g_02676
OG0000565	Prac.g_00811	Syak.g_02679
OG0000566	Prac.g_00809	Syak.g_02683
OG0000567	Prac.g_00805	Syak.g_02687
OG0000568	Prac.g_00804	Syak.g_02690
OG0000569	Prac.g_00803	Syak.g_02691
OG0000570	Prac.g_00802	Syak.g_02692
OG0000571	Prac.g_00800	Syak.g_02696
OG0000572	Prac.g_00787	Syak.g_02713
OG0000573	Prac.g_00780	Syak.g_02723
OG0000574	Prac.g_00779	Syak.g_02724
OG0000575	Prac.g_00775	Syak.g_02729
OG0000576	Prac.g_00772	Syak.g_02731
OG0000577	Prac.g_00771	Syak.g_02732
OG0000578	Prac.g_00770	Syak.g_02733
OG0000579	Prac.g_00769	Syak.g_02734
OG0000580	Prac.g_00768	Syak.g_02735
OG0000581	Prac.g_00766	Syak.g_02742
OG0000582	Prac.g_00763	Syak.g_02748
OG0000583	Prac.g_00762	Syak.g_02749
OG0000584	Prac.g_00761	Syak.g_02750
