Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCF_012933585.1_ASM1293358v1_genomic	99.99	0.55	Neural Network (Specific Model)	11	0.836	109417	265.76475037821484	2512699	0.51	2644	45	264269	None
GCF_012933595.1_ASM1293359v1_genomic	99.98	0.59	Neural Network (Specific Model)	11	0.836	137856	264.06678966789667	2558254	0.51	2710	66	229474	None
GCF_012933605.1_ASM1293360v1_genomic	99.97	0.02	Neural Network (Specific Model)	11	0.836	70051	258.768050879162	2472965	0.51	2673	106	164075	None
GCF_017695955.1_ASM1769595v1_genomic	99.99	0.03	Neural Network (Specific Model)	11	0.908	596340	267.6609349811929	1642829	0.31	1861	3	620742	None
GCF_017695965.1_ASM1769596v1_genomic	100.0	0.01	Neural Network (Specific Model)	11	0.902	606023	262.35052083333335	1672347	0.31	1920	5	661723	None
GCF_017695975.1_ASM1769597v1_genomic	99.99	0.06	Neural Network (Specific Model)	11	0.91	1041665	266.2709437963945	1652921	0.31	1886	2	1041665	None
GCF_017696015.1_ASM1769601v1_genomic	100.0	0.05	Neural Network (Specific Model)	11	0.896	1066530	263.8541666666667	1734399	0.31	1968	2	1066530	None
GCF_017696035.1_ASM1769603v1_genomic	100.0	0.03	Neural Network (Specific Model)	11	0.905	972207	261.90015600624025	1667184	0.31	1923	4	972207	None
GCF_017696055.1_ASM1769605v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.905	1019189	261.3632075471698	1651015	0.31	1908	3	1019189	None
GCF_017696075.1_ASM1769607v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.907	355646	262.8817427385892	1673779	0.31	1928	6	746610	None
GCF_017696085.1_ASM1769608v1_genomic	99.99	0.12	Neural Network (Specific Model)	11	0.907	1009863	263.7911324786325	1631014	0.31	1872	4	1009863	None
GCF_017696175.1_ASM1769617v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.908	587930	267.2387744321183	1668840	0.31	1893	3	641625	None
GCF_017696205.1_ASM1769620v1_genomic	99.95	0.12	Neural Network (Specific Model)	11	0.905	1061403	266.3158713692946	1697959	0.31	1928	2	1061403	None
GCF_017696245.1_ASM1769624v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.908	1028728	265.8900052882073	1657660	0.31	1891	2	1028728	None
GCF_017696275.1_ASM1769627v1_genomic	100.0	0.16	Neural Network (Specific Model)	11	0.906	603219	263.6569343065693	1672276	0.31	1918	3	653514	None
GCF_017696315.1_ASM1769631v1_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.905	596025	263.0271629778672	1729635	0.31	1988	5	641799	None
GCF_019324835.1_ASM1932483v1_genomic	100.0	0.01	Neural Network (Specific Model)	11	0.902	273791	263.9239643418983	1671599	0.31	1907	10	416168	None
GCF_019324845.1_ASM1932484v1_genomic	99.99	0.06	Neural Network (Specific Model)	11	0.91	1043453	266.1955484896661	1653424	0.31	1887	4	1043453	None
GCF_019324885.1_ASM1932488v1_genomic	100.0	0.05	Neural Network (Specific Model)	11	0.897	263907	263.69371196754565	1736386	0.31	1972	11	329076	None
GCF_019324905.1_ASM1932490v1_genomic	100.0	0.03	Neural Network (Specific Model)	11	0.905	441484	261.3848547717842	1668526	0.31	1928	9	473550	None
GCF_019324925.1_ASM1932492v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.909	226007	263.22559433485077	1714716	0.31	1977	14	417527	None
GCF_019324945.1_ASM1932494v1_genomic	100.0	0.16	Neural Network (Specific Model)	11	0.907	306057	262.87701928087546	1665171	0.31	1919	9	700743	None
GCF_019324955.1_ASM1932495v1_genomic	99.99	0.12	Neural Network (Specific Model)	11	0.907	383372	263.2171122994652	1624927	0.31	1870	9	461524	None
GCF_019324985.1_ASM1932498v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.904	308149	265.1911227154047	1681444	0.31	1915	12	608731	None
GCF_019325005.1_ASM1932500v1_genomic	100.0	0.16	Neural Network (Specific Model)	11	0.907	313073	262.99947862356623	1665155	0.31	1918	7	700742	None
GCF_019325015.1_ASM1932501v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.908	309243	265.1195995785037	1660223	0.31	1898	8	418241	None
GCF_019325045.1_ASM1932504v1_genomic	99.95	0.09	Neural Network (Specific Model)	11	0.87	143471	255.83053288526165	1834861	0.34	2083	29	578556	None
GCF_019325055.1_ASM1932505v1_genomic	99.95	0.12	Neural Network (Specific Model)	11	0.906	943724	265.82806835836357	1697391	0.31	1931	5	943724	None
GCF_019325065.1_ASM1932506v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.874	204586	252.9186556259133	1778780	0.35	2053	30	278631	None
GCF_019325105.1_ASM1932510v1_genomic	99.99	0.02	Neural Network (Specific Model)	11	0.91	391903	267.8136315228967	1656121	0.31	1878	12	549695	None
GCF_019325115.1_ASM1932511v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.909	974765	265.63751317175974	1661465	0.31	1898	5	974765	None
GCF_022447305.1_ASM2244730v1_genomic	96.54	0.42	Neural Network (Specific Model)	11	0.912	55677	254.81890600106215	1575858	0.32	1883	70	96928	None
GCF_027359355.1_ASM2735935v1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.865	1934849	259.9865053513262	1934849	0.35	2149	1	1934849	None
GCF_027359375.1_ASM2735937v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.894	1716770	273.23880597014926	1716770	0.37	1876	1	1716770	None
GCF_027359395.1_ASM2735939v1_genomic	100.0	0.37	Neural Network (Specific Model)	11	0.86	2046712	247.8848587094053	2046712	0.35	2371	1	2046712	None
GCF_027359415.1_ASM2735941v1_genomic	99.99	0.06	Neural Network (Specific Model)	11	0.885	1789313	271.326321190354	1789313	0.35	1949	1	1789313	None
GCF_027359475.1_ASM2735947v1_genomic	99.97	0.0	Neural Network (Specific Model)	11	0.869	1988105	263.141358869129	1988105	0.35	2193	1	1988105	None
GCF_027359525.1_ASM2735952v1_genomic	99.99	0.11	Neural Network (Specific Model)	11	0.874	1877877	255.1540251279665	1877877	0.35	2149	1	1877877	None
GCF_027359575.1_ASM2735957v1_genomic	100.0	0.16	Neural Network (Specific Model)	11	0.866	1924674	256.61658986175115	1924674	0.35	2170	1	1924674	None
GCF_027359595.1_ASM2735959v1_genomic	99.98	0.01	Neural Network (Specific Model)	11	0.867	1898947	255.42591732466326	1898947	0.35	2153	1	1898947	None
GCF_034092375.1_ASM3409237v1_genomic	99.98	0.04	Neural Network (Specific Model)	11	0.887	1855146	279.3250380904012	1855146	0.41	1969	1	1855146	None
GCF_034092395.1_ASM3409239v1_genomic	100.0	0.2	Neural Network (Specific Model)	11	0.862	2032419	273.14139057396176	2032419	0.4	2143	1	2032419	None
GCF_034092415.1_ASM3409241v1_genomic	99.98	0.1	Neural Network (Specific Model)	11	0.878	1937096	279.0957290132548	1937096	0.4	2037	1	1937096	None
GCF_034092465.1_ASM3409246v1_genomic	100.0	0.05	Neural Network (Specific Model)	11	0.883	1795922	273.15626611655495	1795922	0.36	1939	1	1795922	None
GCF_034093315.1_ASM3409331v1_genomic	100.0	0.22	Neural Network (Specific Model)	11	0.896	1704447	264.759730150493	1704447	0.31	1927	1	1704447	None
GCF_047302725.1_ASM4730272v1_genomic	99.99	0.03	Neural Network (Specific Model)	11	0.901	1657989	259.87916666666666	1657989	0.31	1920	1	1657989	None
GCF_047302745.1_ASM4730274v1_genomic	100.0	0.24	Neural Network (Specific Model)	11	0.87	1897577	247.58482944344703	1897577	0.35	2228	1	1897577	None
GCF_047302755.1_ASM4730275v1_genomic	99.98	0.01	Neural Network (Specific Model)	11	0.831	2715465	274.63467829880045	2715465	0.5	2751	1	2715465	None
GCF_047302765.1_ASM4730276v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.889	1751709	272.8003144654088	1751709	0.36	1908	1	1751709	None
GCF_047302795.1_ASM4730279v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.893	1699808	260.69135802469134	1699808	0.31	1944	1	1699808	None
GCF_047302805.1_ASM4730280v1_genomic	99.98	0.01	Neural Network (Specific Model)	11	0.83	2683632	271.29825200291333	2683632	0.5	2746	1	2683632	None
GCF_047302855.1_ASM4730285v1_genomic	99.99	0.07	Neural Network (Specific Model)	11	0.908	1627281	268.67374727668846	1627281	0.31	1836	1	1627281	None
GCF_047302865.1_ASM4730286v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.83	2716616	274.4179701709713	2716616	0.5	2749	1	2716616	None
GCF_047302875.1_ASM4730287v1_genomic	99.99	0.07	Neural Network (Specific Model)	11	0.908	1627281	268.534567229178	1627281	0.31	1837	1	1627281	None
GCF_047302905.1_ASM4730290v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.889	1751940	272.69093766369826	1751940	0.36	1909	1	1751940	None
GCF_047302975.1_ASM4730297v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.889	1752106	272.5314136125655	1752106	0.36	1910	1	1752106	None
GCF_047302985.1_ASM4730298v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.83	2696464	274.8151137197359	2696464	0.5	2726	1	2696464	None
GCF_047303155.1_ASM4730315v1_genomic	100.0	0.01	Neural Network (Specific Model)	11	0.83	2608057	273.8377458396369	2608057	0.5	2644	1	2608057	None
GCF_047303165.1_ASM4730316v1_genomic	99.99	0.0	Neural Network (Specific Model)	11	0.838	2619436	277.33270392749245	2619436	0.5	2648	1	2619436	None
GCF_047303175.1_ASM4730317v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.891	1752272	271.7519541427827	1752272	0.36	1919	1	1752272	None
GCF_047303345.1_ASM4730334v1_genomic	99.99	0.0	Neural Network (Specific Model)	11	0.837	2615763	276.86475255005666	2615763	0.5	2647	1	2615763	None
GCF_047303415.1_ASM4730341v1_genomic	99.99	0.35	Neural Network (Specific Model)	11	0.839	2592940	281.03126206098034	2592940	0.5	2591	1	2592940	None
GCF_047303465.1_ASM4730346v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.829	2699779	274.34859025997804	2699779	0.5	2731	1	2699779	None
GCF_047303495.1_ASM4730349v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.831	2709388	274.76833272528273	2709388	0.5	2741	1	2709388	None
GCF_047303505.1_ASM4730350v1_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.893	1695276	259.66803699897224	1695276	0.31	1946	1	1695276	None
GCF_047303555.1_ASM4730355v1_genomic	99.99	0.13	Neural Network (Specific Model)	11	0.905	1687907	262.40380658436214	1687907	0.31	1944	1	1687907	None
GCF_047304495.1_ASM4730449v1_genomic	99.97	0.0	Neural Network (Specific Model)	11	0.831	2570241	271.26006074411544	2570241	0.5	2634	1	2570241	None
GCF_047304505.1_ASM4730450v1_genomic	100.0	0.01	Neural Network (Specific Model)	11	0.831	2609429	273.8652321630804	2609429	0.5	2649	1	2609429	None
GCF_047304515.1_ASM4730451v1_genomic	99.99	0.02	Neural Network (Specific Model)	11	0.837	2520369	279.36158415841584	2520369	0.5	2525	1	2520369	None
GCF_047304525.1_ASM4730452v1_genomic	99.99	0.06	Neural Network (Specific Model)	11	0.908	1649445	264.93065113816834	1649445	0.31	1889	1	1649445	None
GCF_047304535.1_ASM4730453v1_genomic	99.99	0.06	Neural Network (Specific Model)	11	0.908	1659516	263.20931449502876	1659516	0.31	1911	1	1659516	None
GCF_047304605.1_ASM4730460v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.889	1751899	272.99947534102836	1751899	0.36	1906	1	1751899	None
GCF_047304615.1_ASM4730461v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.891	1752272	271.69463262115687	1752272	0.36	1919	1	1752272	None
GCF_047304625.1_ASM4730462v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.891	1752272	271.7191245440334	1752272	0.36	1919	1	1752272	None
GCF_047304675.1_ASM4730467v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.871	1927571	254.45281306715063	1927571	0.35	2204	1	1927571	None
GCF_047304685.1_ASM4730468v1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.901	1709271	266.98753894080994	1709271	0.31	1926	1	1709271	None
GCF_047304785.1_ASM4730478v1_genomic	99.99	0.0	Neural Network (Specific Model)	11	0.837	2588322	276.1169523809524	2588322	0.5	2625	1	2588322	None
GCF_047304905.1_ASM4730490v1_genomic	99.97	0.0	Neural Network (Specific Model)	11	0.836	2461429	272.8066561014263	2461429	0.51	2524	1	2461429	None
GCF_047305015.1_ASM4730501v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.908	1641776	264.8493879723257	1641776	0.31	1879	1	1641776	None
GCF_047305065.1_ASM4730506v1_genomic	99.99	0.02	Neural Network (Specific Model)	11	0.907	1641776	265.5456486919381	1641776	0.31	1873	1	1641776	None
GCF_047305115.1_ASM4730511v1_genomic	99.99	0.03	Neural Network (Specific Model)	11	0.9	1661798	259.52675324675323	1661798	0.31	1925	1	1661798	None
GCF_047305125.1_ASM4730512v1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.904	1685880	261.5588688946015	1685880	0.31	1945	1	1685880	None
GCF_047305135.1_ASM4730513v1_genomic	100.0	1.36	Neural Network (Specific Model)	11	0.89	1722367	257.219708396179	1722367	0.31	1989	1	1722367	None
GCF_047305145.1_ASM4730514v1_genomic	99.97	0.17	Neural Network (Specific Model)	11	0.907	1655833	261.96917450365726	1655833	0.31	1914	1	1655833	None
GCF_047305155.1_ASM4730515v1_genomic	100.0	0.36	Neural Network (Specific Model)	11	0.868	1944257	255.6095238095238	1944257	0.35	2205	1	1944257	None
GCF_047305225.1_ASM4730522v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.909	1674013	269.198093220339	1674013	0.32	1888	1	1674013	None
GCF_047305235.1_ASM4730523v1_genomic	99.99	0.13	Neural Network (Specific Model)	11	0.863	1937723	248.27167630057804	1937723	0.35	2249	1	1937723	None
GCF_047497115.1_ASM4749711v1_genomic	99.99	0.03	Neural Network (Specific Model)	11	0.901	1659597	259.9515625	1659597	0.31	1920	1	1659597	None
GCF_047497125.1_ASM4749712v1_genomic	99.98	0.03	Neural Network (Specific Model)	11	0.901	1659596	259.1733264141152	1659596	0.31	1927	1	1659596	None
GCF_047947085.1_ASM4794708v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.895	1743611	264.4817258883249	1743611	0.31	1970	1	1743611	None
GCF_902519915.1_AG-894-I06_genomic	91.54	0.11	Neural Network (Specific Model)	11	0.91	172125	261.1815561959654	1491009	0.31	1735	32	250850	None
GCF_902521235.1_AG-894-N05_genomic	99.48	0.0	Neural Network (Specific Model)	11	0.917	98127	268.5051194539249	1542403	0.31	1758	40	266548	None
GCF_902521405.1_AG-894-O08_genomic	85.52	0.06	Neural Network (Specific Model)	11	0.907	76753	258.304655274013	1446736	0.31	1697	39	147333	None
GCF_902522795.1_AG-895-D05_genomic	92.38	0.39	Neural Network (Specific Model)	11	0.913	62494	261.32530120481925	1423623	0.31	1660	46	129026	None
GCF_902536725.1_AG-349-G23_genomic	88.07	0.16	Neural Network (Specific Model)	11	0.91	92825	260.7390510948905	1410508	0.31	1644	32	151793	None
GCF_902595615.1_AG-915-O02_genomic	93.23	0.08	Neural Network (Specific Model)	11	0.908	119609	259.5459956709957	1582033	0.31	1848	33	257397	None
GCF_902616385.1_AG-919-J11_genomic	96.51	0.06	Neural Network (Specific Model)	11	0.907	75995	262.1027713625866	1498417	0.31	1732	45	182524	None
GCF_902622435.1_AG-893-K05_genomic	99.94	0.13	Neural Network (Specific Model)	11	0.91	208742	260.6470588235294	1516617	0.32	1768	18	368458	None
GCF_902626525.1_AH-321-C14_genomic	96.76	0.12	Neural Network (Specific Model)	11	0.9	95958	266.9557625145518	1526586	0.31	1718	44	158187	None
GCF_913031015.1_ERR599153_bin.15_MetaBAT_v2.12.1_MAG_genomic	94.65	0.22	Neural Network (Specific Model)	11	0.919	32765	263.81985731272295	1445918	0.31	1682	80	110815	None
GCF_963999815.1_ERR599140_maxbin2_1_genomic	89.78	0.23	Neural Network (Specific Model)	11	0.925	15164	260.93516819571863	1381280	0.31	1635	157	55645	None
GCF_965655815.1_AGTU_34_bin_4_strict_genomic	99.44	0.07	Neural Network (Specific Model)	11	0.9	302954	256.06308799114555	1538865	0.31	1807	16	577819	None
