Orthogroup	Prad	Syaj
OG0000050	Prad.g_01291	Syaj.g_01242
OG0000051	Prad.g_00342	Syaj.g_02898
OG0000053	Prad.g_00494	Syaj.g_01409
OG0000054	Prad.g_01395	Syaj.g_01341
OG0000055	Prad.g_01126	Syaj.g_00394
OG0000057	Prad.g_01272	Syaj.g_00438
OG0000058	Prad.g_00565	Syaj.g_02495
OG0000059	Prad.g_00855	Syaj.g_02686
OG0000061	Prad.g_01496	Syaj.g_00302
OG0000063	Prad.g_01953, Prad.g_00081	Syaj.g_02302
OG0000065	Prad.g_01886	Syaj.g_00007, Syaj.g_01887
OG0000066	Prad.g_00090	Syaj.g_00157
OG0000067	Prad.g_01146	Syaj.g_01023
OG0000068	Prad.g_00594	Syaj.g_00059
OG0000070	Prad.g_00057	Syaj.g_01529
OG0000071	Prad.g_00628	Syaj.g_01511
OG0000072	Prad.g_01820	Syaj.g_01992
OG0000073	Prad.g_00130	Syaj.g_00093
OG0000075	Prad.g_00775	Syaj.g_02457
OG0000076	Prad.g_01631	Syaj.g_02417
OG0000077	Prad.g_01915	Syaj.g_01831
OG0000078	Prad.g_01752	Syaj.g_02880
OG0000079	Prad.g_01739	Syaj.g_02609
OG0000081	Prad.g_00098	Syaj.g_02888
OG0000082	Prad.g_01374	Syaj.g_00229
OG0000084	Prad.g_00519	Syaj.g_01375
OG0000085	Prad.g_00948	Syaj.g_01707
OG0000086	Prad.g_01905	Syaj.g_01848
OG0000087	Prad.g_01854	Syaj.g_01945
OG0000088	Prad.g_01825	Syaj.g_01986
OG0000089	Prad.g_00755	Syaj.g_02829, Syaj.g_01915
OG0000090	Prad.g_00096	Syaj.g_00144
OG0000091	Prad.g_01431	Syaj.g_01275
OG0000092	Prad.g_00240	Syaj.g_00339
OG0000094	Prad.g_01038	Syaj.g_00804
OG0000097	Prad.g_01454	Syaj.g_00589
OG0000098	Prad.g_00612	Syaj.g_02671
OG0000099	Prad.g_00566	Syaj.g_02503
OG0000100	Prad.g_00440	Syaj.g_00987
OG0000101	Prad.g_00807	Syaj.g_02738
OG0000102	Prad.g_01626	Syaj.g_02411
OG0000103	Prad.g_01548	Syaj.g_02243
OG0000104	Prad.g_01540	Syaj.g_02258
OG0000105	Prad.g_01717	Syaj.g_02573
OG0000106	Prad.g_00739	Syaj.g_01130
OG0000107	Prad.g_00724	Syaj.g_02637
OG0000108	Prad.g_00027	Syaj.g_00072
OG0000109	Prad.g_00013	Syaj.g_00087
OG0000110	Prad.g_01364	Syaj.g_00215
OG0000111	Prad.g_01273	Syaj.g_00437
OG0000112	Prad.g_01109	Syaj.g_00907
OG0000113	Prad.g_01168	Syaj.g_00992
OG0000114	Prad.g_00245	Syaj.g_00741
OG0000115	Prad.g_00641	Syaj.g_01402
OG0000116	Prad.g_01506	Syaj.g_00289
OG0000117	Prad.g_01214	Syaj.g_00637
OG0000118	Prad.g_00616	Syaj.g_00267
OG0000119	Prad.g_00598	Syaj.g_00317
OG0000120	Prad.g_00564	Syaj.g_02502
OG0000121	Prad.g_00513	Syaj.g_01383
OG0000122	Prad.g_00474	Syaj.g_01250
OG0000123	Prad.g_00800	Syaj.g_02745
OG0000124	Prad.g_01616	Syaj.g_02388
OG0000125	Prad.g_01580	Syaj.g_02117
OG0000126	Prad.g_01541	Syaj.g_02256
OG0000128	Prad.g_01975	Syaj.g_02274
OG0000129	Prad.g_01943	Syaj.g_02106
OG0000130	Prad.g_01924	Syaj.g_01818
OG0000131	Prad.g_01846	Syaj.g_01964
OG0000132	Prad.g_01827	Syaj.g_01984
OG0000133	Prad.g_01669	Syaj.g_00902
OG0000134	Prad.g_00754	Syaj.g_02832
OG0000135	Prad.g_00727	Syaj.g_02167
OG0000136	Prad.g_00066	Syaj.g_01550
OG0000137	Prad.g_00032	Syaj.g_01444
OG0000138	Prad.g_00012	Syaj.g_00088
OG0000139	Prad.g_00092	Syaj.g_00150
OG0000140	Prad.g_00091	Syaj.g_00153
OG0000141	Prad.g_01396	Syaj.g_01340
OG0000142	Prad.g_01424	Syaj.g_01283
OG0000143	Prad.g_01428	Syaj.g_01279
OG0000144	Prad.g_01226	Syaj.g_01151
OG0000145	Prad.g_01107	Syaj.g_00094
OG0000146	Prad.g_01110	Syaj.g_00908
OG0000147	Prad.g_01111	Syaj.g_00909
OG0000148	Prad.g_01162	Syaj.g_01003
OG0000149	Prad.g_00301	Syaj.g_00369
OG0000150	Prad.g_00293	Syaj.g_01339, Syaj.g_00154
OG0000151	Prad.g_00235	Syaj.g_01074
OG0000152	Prad.g_00186	Syaj.g_00898
OG0000153	Prad.g_00167	Syaj.g_00842
OG0000154	Prad.g_00139	Syaj.g_00814
OG0000155	Prad.g_01476	Syaj.g_00338
OG0000156	Prad.g_00359	Syaj.g_00282
OG0000157	Prad.g_00360	Syaj.g_00281
OG0000158	Prad.g_00567	Syaj.g_02445
OG0000160	Prad.g_00514	Syaj.g_01382
OG0000161	Prad.g_00508	Syaj.g_01389
OG0000162	Prad.g_00502	Syaj.g_01395
OG0000163	Prad.g_00467	Syaj.g_01639
OG0000164	Prad.g_00917	Syaj.g_01758
OG0000165	Prad.g_00910	Syaj.g_01582
OG0000166	Prad.g_00843	Syaj.g_02698
OG0000167	Prad.g_00777	Syaj.g_02460
OG0000168	Prad.g_00767	Syaj.g_02444
OG0000169	Prad.g_01637	Syaj.g_02431, Syaj.g_02429
OG0000170	Prad.g_01635	Syaj.g_02422
OG0000171	Prad.g_01617	Syaj.g_02389
OG0000172	Prad.g_01609	Syaj.g_02365
OG0000173	Prad.g_01594	Syaj.g_02321
OG0000174	Prad.g_01566	Syaj.g_02169
OG0000175	Prad.g_01556	Syaj.g_02229
OG0000176	Prad.g_01532	Syaj.g_02266
OG0000177	Prad.g_01531	Syaj.g_02267
OG0000178	Prad.g_01530	Syaj.g_02268
OG0000179	Prad.g_01970	Syaj.g_02283
OG0000180	Prad.g_01969	Syaj.g_02284
OG0000181	Prad.g_01968	Syaj.g_02285
OG0000182	Prad.g_01967	Syaj.g_02286
OG0000183	Prad.g_01963	Syaj.g_02290
OG0000184	Prad.g_01940	Syaj.g_02098
OG0000185	Prad.g_01937	Syaj.g_02087
OG0000186	Prad.g_01929	Syaj.g_01812
OG0000187	Prad.g_01928	Syaj.g_01814
OG0000188	Prad.g_01911	Syaj.g_01837
OG0000189	Prad.g_01897	Syaj.g_01874
OG0000190	Prad.g_01896	Syaj.g_01876
OG0000191	Prad.g_01876	Syaj.g_01910
OG0000192	Prad.g_01872	Syaj.g_01919
OG0000193	Prad.g_01845	Syaj.g_01965
OG0000194	Prad.g_01842	Syaj.g_01968
OG0000195	Prad.g_01840	Syaj.g_01971
OG0000196	Prad.g_01830	Syaj.g_01981
OG0000197	Prad.g_01829	Syaj.g_01982
OG0000198	Prad.g_01828	Syaj.g_01983
OG0000199	Prad.g_01821	Syaj.g_01991
OG0000200	Prad.g_01807	Syaj.g_02008
OG0000201	Prad.g_01799	Syaj.g_02024
OG0000202	Prad.g_01798	Syaj.g_02025
OG0000203	Prad.g_01797	Syaj.g_02026
OG0000204	Prad.g_01796	Syaj.g_02027
OG0000205	Prad.g_01789	Syaj.g_02035
OG0000206	Prad.g_01784	Syaj.g_02043
OG0000207	Prad.g_01782	Syaj.g_02045
OG0000208	Prad.g_01781	Syaj.g_02046
OG0000209	Prad.g_01772	Syaj.g_02070
OG0000210	Prad.g_01771	Syaj.g_02071
OG0000212	Prad.g_01751	Syaj.g_02881
OG0000213	Prad.g_01734	Syaj.g_02601
OG0000214	Prad.g_01724	Syaj.g_02582
OG0000215	Prad.g_01699	Syaj.g_02551
OG0000216	Prad.g_01697	Syaj.g_02547
OG0000217	Prad.g_01694	Syaj.g_02543
OG0000218	Prad.g_01692	Syaj.g_02541
OG0000219	Prad.g_01691	Syaj.g_02540
OG0000220	Prad.g_01690	Syaj.g_02539
OG0000221	Prad.g_01689	Syaj.g_02530
OG0000222	Prad.g_01681	Syaj.g_02516
OG0000223	Prad.g_01668	Syaj.g_02494
OG0000224	Prad.g_01666	Syaj.g_02487
OG0000225	Prad.g_01645	Syaj.g_02821
OG0000226	Prad.g_00761	Syaj.g_02825
OG0000227	Prad.g_00759	Syaj.g_02827
OG0000228	Prad.g_00756	Syaj.g_02828
OG0000229	Prad.g_00666	Syaj.g_01555
OG0000230	Prad.g_00069	Syaj.g_01553
OG0000231	Prad.g_00058	Syaj.g_01541
OG0000232	Prad.g_00049	Syaj.g_01497
OG0000233	Prad.g_00043	Syaj.g_01481
OG0000234	Prad.g_00031	Syaj.g_01442
OG0000235	Prad.g_00028	Syaj.g_00071
OG0000236	Prad.g_00014	Syaj.g_00086
OG0000237	Prad.g_00123	Syaj.g_00103
OG0000238	Prad.g_00117	Syaj.g_00108
OG0000239	Prad.g_00104	Syaj.g_00125
OG0000240	Prad.g_00103	Syaj.g_00126
OG0000241	Prad.g_00099	Syaj.g_01291
OG0000242	Prad.g_00097	Syaj.g_00142
OG0000243	Prad.g_01333	Syaj.g_00164
OG0000244	Prad.g_01336	Syaj.g_00180
OG0000245	Prad.g_01338	Syaj.g_00182
OG0000246	Prad.g_01342	Syaj.g_00186
OG0000247	Prad.g_01352	Syaj.g_00197
OG0000248	Prad.g_01354	Syaj.g_00200
OG0000249	Prad.g_01356	Syaj.g_00202
OG0000250	Prad.g_01361	Syaj.g_00211
OG0000251	Prad.g_01380	Syaj.g_00237
OG0000252	Prad.g_01383	Syaj.g_00243
OG0000253	Prad.g_01384	Syaj.g_00245
OG0000254	Prad.g_01400	Syaj.g_01335
OG0000255	Prad.g_01406	Syaj.g_01315
OG0000256	Prad.g_01416	Syaj.g_01297
OG0000257	Prad.g_01419	Syaj.g_01292
OG0000258	Prad.g_01432	Syaj.g_01274
OG0000259	Prad.g_01234	Syaj.g_00707
OG0000260	Prad.g_01237	Syaj.g_00712
OG0000261	Prad.g_01239	Syaj.g_00715
OG0000262	Prad.g_01243	Syaj.g_00720
OG0000263	Prad.g_01255	Syaj.g_00605
OG0000264	Prad.g_01265	Syaj.g_00485
OG0000265	Prad.g_01049	Syaj.g_00510
OG0000266	Prad.g_01059	Syaj.g_00946
OG0000267	Prad.g_01070	Syaj.g_00770
OG0000268	Prad.g_01071	Syaj.g_00771
OG0000269	Prad.g_01141	Syaj.g_01031
OG0000270	Prad.g_01144	Syaj.g_01025
OG0000271	Prad.g_01152	Syaj.g_01017
OG0000272	Prad.g_01153	Syaj.g_01016
OG0000273	Prad.g_01176	Syaj.g_00389
OG0000274	Prad.g_01177	Syaj.g_00388
OG0000275	Prad.g_01180	Syaj.g_00384
OG0000276	Prad.g_01185	Syaj.g_00377
OG0000277	Prad.g_00308	Syaj.g_00376
OG0000278	Prad.g_00305	Syaj.g_00373
OG0000279	Prad.g_00298	Syaj.g_00357
OG0000280	Prad.g_00297	Syaj.g_00348
OG0000281	Prad.g_00292	Syaj.g_02670
OG0000282	Prad.g_00243	Syaj.g_00743
OG0000283	Prad.g_00209	Syaj.g_00790
OG0000284	Prad.g_00204	Syaj.g_00930
OG0000285	Prad.g_00199	Syaj.g_00917
OG0000286	Prad.g_00187	Syaj.g_00899
OG0000288	Prad.g_00140	Syaj.g_00815
OG0000289	Prad.g_01035	Syaj.g_00800
OG0000290	Prad.g_01021	Syaj.g_00424
OG0000291	Prad.g_01019	Syaj.g_00426
OG0000292	Prad.g_00972	Syaj.g_02255
OG0000293	Prad.g_01505	Syaj.g_00290
OG0000294	Prad.g_01504	Syaj.g_00291
OG0000295	Prad.g_01484	Syaj.g_00330
OG0000296	Prad.g_01482	Syaj.g_00332
OG0000297	Prad.g_01474	Syaj.g_00639
OG0000298	Prad.g_01473	Syaj.g_00638
OG0000299	Prad.g_01455	Syaj.g_00592
OG0000300	Prad.g_01452	Syaj.g_00586
OG0000301	Prad.g_01451	Syaj.g_00585
OG0000302	Prad.g_01449	Syaj.g_00582
OG0000303	Prad.g_01442	Syaj.g_00572
OG0000304	Prad.g_01438	Syaj.g_00566
OG0000305	Prad.g_00602	Syaj.g_00429
OG0000306	Prad.g_00599	Syaj.g_01126
OG0000307	Prad.g_00585	Syaj.g_00051
OG0000308	Prad.g_00584	Syaj.g_00049
OG0000309	Prad.g_00580	Syaj.g_00044
OG0000310	Prad.g_00530	Syaj.g_01358
OG0000311	Prad.g_00528	Syaj.g_01362
OG0000312	Prad.g_00525	Syaj.g_01368
OG0000313	Prad.g_00511	Syaj.g_01386
OG0000314	Prad.g_00487	Syaj.g_01420
OG0000315	Prad.g_00477	Syaj.g_01430
OG0000316	Prad.g_00457	Syaj.g_01664
OG0000317	Prad.g_00943	Syaj.g_01715
OG0000318	Prad.g_00940	Syaj.g_01722
OG0000319	Prad.g_00927	Syaj.g_01741
OG0000320	Prad.g_00925	Syaj.g_01743
OG0000321	Prad.g_00924	Syaj.g_01744
OG0000322	Prad.g_00923	Syaj.g_01745
OG0000323	Prad.g_00914	Syaj.g_01760
OG0000324	Prad.g_00887	Syaj.g_01609
OG0000325	Prad.g_00878	Syaj.g_02638
OG0000326	Prad.g_00872	Syaj.g_02645
OG0000327	Prad.g_00848	Syaj.g_02693
OG0000328	Prad.g_00847	Syaj.g_02694
OG0000329	Prad.g_00830	Syaj.g_02712
OG0000330	Prad.g_00829	Syaj.g_02713
OG0000331	Prad.g_00828	Syaj.g_02714
OG0000332	Prad.g_00814	Syaj.g_02729
OG0000333	Prad.g_00812	Syaj.g_02732
OG0000334	Prad.g_00804	Syaj.g_02741
OG0000335	Prad.g_00799	Syaj.g_02746
OG0000336	Prad.g_00795	Syaj.g_02750
OG0000337	Prad.g_00779	Syaj.g_02466
OG0000338	Prad.g_00778	Syaj.g_02462
OG0000339	Prad.g_00774	Syaj.g_02455
OG0000340	Prad.g_00766, Prad.g_01294	Syaj.g_02443
OG0000341	Prad.g_00764	Syaj.g_02441
OG0000342	Prad.g_00763	Syaj.g_02440
OG0000343	Prad.g_00762	Syaj.g_02437
OG0000344	Prad.g_01639	Syaj.g_02433
OG0000345	Prad.g_01634	Syaj.g_02421
OG0000346	Prad.g_01630	Syaj.g_02416
OG0000347	Prad.g_01615	Syaj.g_02383
OG0000348	Prad.g_01606	Syaj.g_02333
OG0000349	Prad.g_01589	Syaj.g_02314
OG0000350	Prad.g_01570	Syaj.g_02652
OG0000351	Prad.g_01553	Syaj.g_02234
OG0000352	Prad.g_01552	Syaj.g_02235
OG0000353	Prad.g_01537	Syaj.g_02261
OG0000354	Prad.g_01041	Syaj.g_02281
OG0000355	Prad.g_01535	Syaj.g_02263
OG0000356	Prad.g_01534	Syaj.g_02264
OG0000357	Prad.g_01533	Syaj.g_02265
OG0000358	Prad.g_01529	Syaj.g_02269
OG0000359	Prad.g_01528	Syaj.g_02271
OG0000360	Prad.g_01527	Syaj.g_02272
OG0000361	Prad.g_01976	Syaj.g_02273
OG0000362	Prad.g_01974	Syaj.g_02275
OG0000363	Prad.g_01972	Syaj.g_02277
OG0000364	Prad.g_01971	Syaj.g_02278
OG0000365	Prad.g_01966	Syaj.g_02287
OG0000366	Prad.g_01965	Syaj.g_02288
OG0000367	Prad.g_01964	Syaj.g_02289
OG0000368	Prad.g_01962	Syaj.g_02291
OG0000369	Prad.g_01961	Syaj.g_02292
OG0000370	Prad.g_01960	Syaj.g_02293
OG0000371	Prad.g_01954	Syaj.g_02301
OG0000372	Prad.g_01951	Syaj.g_02307
OG0000373	Prad.g_01950	Syaj.g_02308
OG0000374	Prad.g_01949	Syaj.g_02309
OG0000375	Prad.g_01947	Syaj.g_02310
OG0000376	Prad.g_01945	Syaj.g_02312
OG0000377	Prad.g_01941	Syaj.g_02105
OG0000378	Prad.g_01939	Syaj.g_02091
OG0000379	Prad.g_01936	Syaj.g_02086
OG0000380	Prad.g_01927	Syaj.g_01815
OG0000381	Prad.g_01923	Syaj.g_01819
OG0000382	Prad.g_01912	Syaj.g_01836
OG0000383	Prad.g_01910	Syaj.g_01839
OG0000384	Prad.g_01909	Syaj.g_01840
OG0000385	Prad.g_01908	Syaj.g_01841
OG0000386	Prad.g_01907	Syaj.g_01842
OG0000387	Prad.g_01894	Syaj.g_01878
OG0000388	Prad.g_01891	Syaj.g_01882
OG0000389	Prad.g_01887	Syaj.g_01886
OG0000390	Prad.g_00011, Prad.g_01880	Syaj.g_01904
OG0000391	Prad.g_01877	Syaj.g_01909
OG0000392	Prad.g_01873	Syaj.g_01918
OG0000393	Prad.g_01871	Syaj.g_01922
OG0000394	Prad.g_01870	Syaj.g_01923
OG0000395	Prad.g_01869	Syaj.g_01924
OG0000396	Prad.g_01866	Syaj.g_01928
OG0000397	Prad.g_01864	Syaj.g_01930
OG0000398	Prad.g_01862	Syaj.g_01935
OG0000399	Prad.g_01861	Syaj.g_01936
OG0000400	Prad.g_01860	Syaj.g_01937
OG0000401	Prad.g_01859	Syaj.g_01938
OG0000402	Prad.g_01857	Syaj.g_01940
OG0000403	Prad.g_01856	Syaj.g_01941
OG0000404	Prad.g_01855	Syaj.g_01943
OG0000405	Prad.g_01851	Syaj.g_01961
OG0000406	Prad.g_01844	Syaj.g_01966
OG0000407	Prad.g_01843	Syaj.g_01967
OG0000408	Prad.g_01841	Syaj.g_01970
OG0000409	Prad.g_01839	Syaj.g_01972
OG0000410	Prad.g_01838	Syaj.g_01973
OG0000411	Prad.g_01837	Syaj.g_01974
OG0000412	Prad.g_01836	Syaj.g_01975
OG0000413	Prad.g_01835	Syaj.g_01977
OG0000415	Prad.g_01833	Syaj.g_01978
OG0000416	Prad.g_01832	Syaj.g_01979
OG0000417	Prad.g_01831	Syaj.g_01980
OG0000418	Prad.g_01826	Syaj.g_01985
OG0000419	Prad.g_01824	Syaj.g_01987
OG0000420	Prad.g_01823	Syaj.g_01989
OG0000421	Prad.g_01818	Syaj.g_01994
OG0000422	Prad.g_01817	Syaj.g_01995
OG0000423	Prad.g_01816	Syaj.g_01996
OG0000424	Prad.g_01815	Syaj.g_01997
OG0000425	Prad.g_01814	Syaj.g_01998
OG0000426	Prad.g_01813	Syaj.g_01999
OG0000427	Prad.g_01812	Syaj.g_02000
OG0000428	Prad.g_01810	Syaj.g_02003
OG0000429	Prad.g_01809	Syaj.g_02005
OG0000430	Prad.g_01808	Syaj.g_02007
OG0000431	Prad.g_01806	Syaj.g_02010
OG0000432	Prad.g_01803	Syaj.g_02017
OG0000433	Prad.g_01802	Syaj.g_02020
OG0000434	Prad.g_01801	Syaj.g_02021
OG0000435	Prad.g_01800	Syaj.g_02023
OG0000436	Prad.g_01795	Syaj.g_02029
OG0000437	Prad.g_01794	Syaj.g_02030
OG0000438	Prad.g_01793	Syaj.g_02031
OG0000439	Prad.g_01791	Syaj.g_02033
OG0000440	Prad.g_01790	Syaj.g_02034
OG0000441	Prad.g_01787	Syaj.g_02038
OG0000442	Prad.g_01786	Syaj.g_02039
OG0000443	Prad.g_01785	Syaj.g_02040
OG0000444	Prad.g_01780	Syaj.g_02052
OG0000445	Prad.g_01779	Syaj.g_02053
OG0000446	Prad.g_01778	Syaj.g_02055
OG0000447	Prad.g_01777	Syaj.g_02058
OG0000448	Prad.g_01776	Syaj.g_02059
OG0000449	Prad.g_01775	Syaj.g_02060
OG0000450	Prad.g_01774	Syaj.g_02067
OG0000451	Prad.g_01773	Syaj.g_02068
OG0000452	Prad.g_01770	Syaj.g_02072
OG0000453	Prad.g_01769	Syaj.g_02073
OG0000454	Prad.g_01768	Syaj.g_02074
OG0000455	Prad.g_01767	Syaj.g_02075
OG0000456	Prad.g_01766	Syaj.g_02076
OG0000457	Prad.g_01765	Syaj.g_02078
OG0000458	Prad.g_01764	Syaj.g_02079
OG0000459	Prad.g_01763	Syaj.g_02080
OG0000460	Prad.g_01756	Syaj.g_02858
OG0000461	Prad.g_01749	Syaj.g_02623
OG0000462	Prad.g_01747	Syaj.g_02620
OG0000463	Prad.g_01746	Syaj.g_02619
OG0000464	Prad.g_01745	Syaj.g_02618
OG0000465	Prad.g_01744	Syaj.g_02617
OG0000466	Prad.g_01741	Syaj.g_02612
OG0000467	Prad.g_01740	Syaj.g_02610
OG0000468	Prad.g_01738	Syaj.g_02605
OG0000469	Prad.g_01729	Syaj.g_02590
OG0000470	Prad.g_01727	Syaj.g_02586
OG0000471	Prad.g_01726	Syaj.g_02585
OG0000472	Prad.g_01725	Syaj.g_02583
OG0000473	Prad.g_01723	Syaj.g_02581
OG0000474	Prad.g_01722	Syaj.g_02580
OG0000475	Prad.g_01721	Syaj.g_02579
OG0000476	Prad.g_01720	Syaj.g_02577
OG0000477	Prad.g_01716	Syaj.g_02571
OG0000478	Prad.g_01715	Syaj.g_02570
OG0000479	Prad.g_01714	Syaj.g_02569
OG0000480	Prad.g_01709	Syaj.g_02562
OG0000481	Prad.g_01707	Syaj.g_02560
OG0000482	Prad.g_01706	Syaj.g_02559
OG0000483	Prad.g_01703	Syaj.g_02555
OG0000484	Prad.g_01702	Syaj.g_02554
OG0000485	Prad.g_01701	Syaj.g_02553
OG0000486	Prad.g_01700	Syaj.g_02552
OG0000487	Prad.g_01696	Syaj.g_02546
OG0000488	Prad.g_01693	Syaj.g_02542
OG0000489	Prad.g_01688	Syaj.g_02529
OG0000490	Prad.g_01683	Syaj.g_02519
OG0000491	Prad.g_01682	Syaj.g_02517
OG0000492	Prad.g_01680	Syaj.g_02515
OG0000493	Prad.g_01679	Syaj.g_02514
OG0000494	Prad.g_01678	Syaj.g_02513
OG0000495	Prad.g_01677	Syaj.g_02512
OG0000496	Prad.g_01676	Syaj.g_02511
OG0000497	Prad.g_01675	Syaj.g_02510
OG0000498	Prad.g_01674	Syaj.g_02509
OG0000499	Prad.g_01673	Syaj.g_02508
OG0000500	Prad.g_01672	Syaj.g_02507
OG0000501	Prad.g_01670	Syaj.g_02504
OG0000502	Prad.g_01667	Syaj.g_02492
OG0000503	Prad.g_01657	Syaj.g_02805
OG0000504	Prad.g_01656	Syaj.g_02807
OG0000505	Prad.g_01655	Syaj.g_02808
OG0000506	Prad.g_01653	Syaj.g_02810
OG0000507	Prad.g_01650	Syaj.g_02816
OG0000508	Prad.g_01646	Syaj.g_02820
OG0000509	Prad.g_01644	Syaj.g_02822
OG0000510	Prad.g_01643	Syaj.g_02823
OG0000511	Prad.g_01642	Syaj.g_02824
OG0000512	Prad.g_00760	Syaj.g_02826
OG0000513	Prad.g_00753	Syaj.g_02833
OG0000514	Prad.g_00671	Syaj.g_02839
OG0000515	Prad.g_00670	Syaj.g_02840
OG0000516	Prad.g_00669	Syaj.g_01561
OG0000517	Prad.g_00667	Syaj.g_01556
OG0000518	Prad.g_00061	Syaj.g_01544
OG0000519	Prad.g_00060	Syaj.g_01543
OG0000520	Prad.g_00059	Syaj.g_01542
OG0000521	Prad.g_00054	Syaj.g_00271
OG0000522	Prad.g_00052	Syaj.g_00273
OG0000523	Prad.g_00051	Syaj.g_00274
OG0000524	Prad.g_00045	Syaj.g_01485
OG0000525	Prad.g_00042	Syaj.g_01454
OG0000526	Prad.g_00041	Syaj.g_01451
OG0000527	Prad.g_00034	Syaj.g_01446
OG0000528	Prad.g_00029	Syaj.g_00065
OG0000529	Prad.g_00026	Syaj.g_00073
OG0000530	Prad.g_00023	Syaj.g_00076
OG0000531	Prad.g_00022	Syaj.g_00077
OG0000532	Prad.g_00020	Syaj.g_00080
OG0000533	Prad.g_00019	Syaj.g_00081
OG0000534	Prad.g_00018	Syaj.g_00082
OG0000535	Prad.g_00017	Syaj.g_00083
OG0000536	Prad.g_00016	Syaj.g_00084
OG0000537	Prad.g_00015	Syaj.g_00085
OG0000538	Prad.g_00129	Syaj.g_00096
OG0000539	Prad.g_00128	Syaj.g_00097
OG0000540	Prad.g_00127	Syaj.g_00098
OG0000541	Prad.g_00126	Syaj.g_00099
OG0000542	Prad.g_00124	Syaj.g_00102
OG0000543	Prad.g_00122	Syaj.g_00104
OG0000544	Prad.g_00121	Syaj.g_00105
OG0000545	Prad.g_00119	Syaj.g_00107
OG0000546	Prad.g_00116	Syaj.g_00109
OG0000547	Prad.g_00114	Syaj.g_00111
OG0000548	Prad.g_00113	Syaj.g_00112
OG0000549	Prad.g_00111	Syaj.g_00118
OG0000550	Prad.g_00106	Syaj.g_00123
OG0000551	Prad.g_00102	Syaj.g_00128
OG0000552	Prad.g_00101	Syaj.g_00129
OG0000553	Prad.g_00100	Syaj.g_00133
OG0000554	Prad.g_00095	Syaj.g_00145
OG0000555	Prad.g_01332	Syaj.g_00163
OG0000556	Prad.g_01334	Syaj.g_00167
OG0000557	Prad.g_01335	Syaj.g_00178
OG0000558	Prad.g_01337	Syaj.g_00181
OG0000559	Prad.g_01341	Syaj.g_00185
OG0000560	Prad.g_01344	Syaj.g_00188
OG0000561	Prad.g_01345	Syaj.g_00189
OG0000562	Prad.g_01346	Syaj.g_00190
OG0000563	Prad.g_01347	Syaj.g_00191
OG0000564	Prad.g_01348	Syaj.g_00192
OG0000565	Prad.g_01351	Syaj.g_00195
OG0000566	Prad.g_01353	Syaj.g_00199
OG0000567	Prad.g_01357	Syaj.g_00203
