Orthogroup	Prad	Syah
OG0000048	Prad.g_00735	Syah.g_00637
OG0000051	Prad.g_00342	Syah.g_02473
OG0000053	Prad.g_00494	Syah.g_01267
OG0000054	Prad.g_01395	Syah.g_01982
OG0000055	Prad.g_01126	Syah.g_02071
OG0000057	Prad.g_01272	Syah.g_02020
OG0000058	Prad.g_00565	Syah.g_00152
OG0000059	Prad.g_00855	Syah.g_00737
OG0000061	Prad.g_01496	Syah.g_02158
OG0000063	Prad.g_01953, Prad.g_00081	Syah.g_00337
OG0000065	Prad.g_01886	Syah.g_02443, Syah.g_02537
OG0000066	Prad.g_00090	Syah.g_01073
OG0000067	Prad.g_01146	Syah.g_01779
OG0000068	Prad.g_00594	Syah.g_00986
OG0000069	Prad.g_00952, Prad.g_00400	Syah.g_01715
OG0000070	Prad.g_00057	Syah.g_02217
OG0000071	Prad.g_00628	Syah.g_02199
OG0000072	Prad.g_01820	Syah.g_00080
OG0000073	Prad.g_00130	Syah.g_01018
OG0000074	Prad.g_01256	Syah.g_00951
OG0000075	Prad.g_00775	Syah.g_00186
OG0000076	Prad.g_01631	Syah.g_00250
OG0000077	Prad.g_01915	Syah.g_02494
OG0000079	Prad.g_01739	Syah.g_00665
OG0000080	Prad.g_00560	Syah.g_00290
OG0000081	Prad.g_00098	Syah.g_00922
OG0000082	Prad.g_01374	Syah.g_01136
OG0000084	Prad.g_00519	Syah.g_01296
OG0000085	Prad.g_00948	Syah.g_02372
OG0000086	Prad.g_01905	Syah.g_02511
OG0000087	Prad.g_01854	Syah.g_00038
OG0000088	Prad.g_01825	Syah.g_00074
OG0000089	Prad.g_00755	Syah.g_00888
OG0000090	Prad.g_00096	Syah.g_01064
OG0000091	Prad.g_01431	Syah.g_01927
OG0000094	Prad.g_01038	Syah.g_01692
OG0000097	Prad.g_01454	Syah.g_01400
OG0000098	Prad.g_00612	Syah.g_00723
OG0000099	Prad.g_00566	Syah.g_00144
OG0000100	Prad.g_00440	Syah.g_01747
OG0000101	Prad.g_00807	Syah.g_00785
OG0000102	Prad.g_01626	Syah.g_00255
OG0000103	Prad.g_01548	Syah.g_00391
OG0000104	Prad.g_01540	Syah.g_00377
OG0000105	Prad.g_01717	Syah.g_00632
OG0000106	Prad.g_00739	Syah.g_01544
OG0000107	Prad.g_00724	Syah.g_00688
OG0000108	Prad.g_00027	Syah.g_00997
OG0000109	Prad.g_00013	Syah.g_01012
OG0000110	Prad.g_01364	Syah.g_01124
OG0000112	Prad.g_01109	Syah.g_01613
OG0000113	Prad.g_01168	Syah.g_01752
OG0000114	Prad.g_00245	Syah.g_01529
OG0000115	Prad.g_00641	Syah.g_01269
OG0000116	Prad.g_01506	Syah.g_02175
OG0000117	Prad.g_01214	Syah.g_01425
OG0000118	Prad.g_00616	Syah.g_01173
OG0000120	Prad.g_00564	Syah.g_00145
OG0000121	Prad.g_00513	Syah.g_01287
OG0000122	Prad.g_00474	Syah.g_01900
OG0000123	Prad.g_00800	Syah.g_00793
OG0000124	Prad.g_01616	Syah.g_00272
OG0000125	Prad.g_01580	Syah.g_00504
OG0000126	Prad.g_01541	Syah.g_00379
OG0000128	Prad.g_01975	Syah.g_00361
OG0000129	Prad.g_01943	Syah.g_00516
OG0000130	Prad.g_01924	Syah.g_02483
OG0000131	Prad.g_01846	Syah.g_00052
OG0000132	Prad.g_01827	Syah.g_00072
OG0000133	Prad.g_01669	Syah.g_01618
OG0000134	Prad.g_00754	Syah.g_00891
OG0000135	Prad.g_00727	Syah.g_00465
OG0000136	Prad.g_00066	Syah.g_02227
OG0000137	Prad.g_00032	Syah.g_01221
OG0000138	Prad.g_00012	Syah.g_01013
OG0000139	Prad.g_00092	Syah.g_01070
OG0000140	Prad.g_00091	Syah.g_01071
OG0000141	Prad.g_01396	Syah.g_01981
OG0000142	Prad.g_01424	Syah.g_01935
OG0000143	Prad.g_01428	Syah.g_01931
OG0000144	Prad.g_01226	Syah.g_01824
OG0000145	Prad.g_01107	Syah.g_01019
OG0000146	Prad.g_01110	Syah.g_01612
OG0000147	Prad.g_01111	Syah.g_01611
OG0000148	Prad.g_01162	Syah.g_01758
OG0000149	Prad.g_00301	Syah.g_02096
OG0000150	Prad.g_00293	Syah.g_01980
OG0000151	Prad.g_00235	Syah.g_01820
OG0000152	Prad.g_00186	Syah.g_01622
OG0000153	Prad.g_00167	Syah.g_01656
OG0000154	Prad.g_00139	Syah.g_01682
OG0000155	Prad.g_01476	Syah.g_02123
OG0000156	Prad.g_00359	Syah.g_02185
OG0000157	Prad.g_00360	Syah.g_02186
OG0000158	Prad.g_00567	Syah.g_00204
OG0000160	Prad.g_00514	Syah.g_01289
OG0000161	Prad.g_00508	Syah.g_01282
OG0000162	Prad.g_00502	Syah.g_01276
OG0000163	Prad.g_00467	Syah.g_02315
OG0000164	Prad.g_00917	Syah.g_02423
OG0000165	Prad.g_00910	Syah.g_02251
OG0000166	Prad.g_00843	Syah.g_00747
OG0000167	Prad.g_00777	Syah.g_00183
OG0000168	Prad.g_00767	Syah.g_00205
OG0000169	Prad.g_01637	Syah.g_00237
OG0000170	Prad.g_01635	Syah.g_00245
OG0000171	Prad.g_01617	Syah.g_00271
OG0000172	Prad.g_01609	Syah.g_00293
OG0000173	Prad.g_01594	Syah.g_00313
OG0000174	Prad.g_01566	Syah.g_00461
OG0000175	Prad.g_01556	Syah.g_00402
OG0000176	Prad.g_01532	Syah.g_00369
OG0000177	Prad.g_01531	Syah.g_00368
OG0000178	Prad.g_01530	Syah.g_00367
OG0000179	Prad.g_01970	Syah.g_00355
OG0000180	Prad.g_01969	Syah.g_00354
OG0000181	Prad.g_01968	Syah.g_00353
OG0000182	Prad.g_01967	Syah.g_00352
OG0000183	Prad.g_01963	Syah.g_00348
OG0000184	Prad.g_01940	Syah.g_00525
OG0000185	Prad.g_01937	Syah.g_00528
OG0000186	Prad.g_01929	Syah.g_02479
OG0000187	Prad.g_01928	Syah.g_02480
OG0000188	Prad.g_01911	Syah.g_02501
OG0000189	Prad.g_01897	Syah.g_02526
OG0000190	Prad.g_01896	Syah.g_02528
OG0000191	Prad.g_01876	Syah.g_00008
OG0000192	Prad.g_01872	Syah.g_00013
OG0000193	Prad.g_01845	Syah.g_00053
OG0000194	Prad.g_01842	Syah.g_00056
OG0000195	Prad.g_01840	Syah.g_00058
OG0000196	Prad.g_01830	Syah.g_00069
OG0000197	Prad.g_01829	Syah.g_00070
OG0000198	Prad.g_01828	Syah.g_00071
OG0000199	Prad.g_01821	Syah.g_00079
OG0000200	Prad.g_01807	Syah.g_00616
OG0000202	Prad.g_01798	Syah.g_00600
OG0000203	Prad.g_01797	Syah.g_00599
OG0000204	Prad.g_01796	Syah.g_00598
OG0000205	Prad.g_01789	Syah.g_00591
OG0000206	Prad.g_01784	Syah.g_00578
OG0000207	Prad.g_01782	Syah.g_00575
OG0000208	Prad.g_01781	Syah.g_00574
OG0000209	Prad.g_01772	Syah.g_00544
OG0000210	Prad.g_01771	Syah.g_00543
OG0000212	Prad.g_01751	Syah.g_00913
OG0000213	Prad.g_01734	Syah.g_00657
OG0000214	Prad.g_01724	Syah.g_00641
OG0000215	Prad.g_01699	Syah.g_00101
OG0000216	Prad.g_01697	Syah.g_00105
OG0000217	Prad.g_01694	Syah.g_00109
OG0000218	Prad.g_01692	Syah.g_00111
OG0000219	Prad.g_01691	Syah.g_00112
OG0000220	Prad.g_01690	Syah.g_00113
OG0000221	Prad.g_01689	Syah.g_00120
OG0000222	Prad.g_01681	Syah.g_00131
OG0000223	Prad.g_01668	Syah.g_00153
OG0000224	Prad.g_01666	Syah.g_00162
OG0000225	Prad.g_01645	Syah.g_00874
OG0000226	Prad.g_00761	Syah.g_00878
OG0000227	Prad.g_00759	Syah.g_00880
OG0000228	Prad.g_00756	Syah.g_00887
OG0000229	Prad.g_00666	Syah.g_02236
OG0000230	Prad.g_00069	Syah.g_02234
OG0000231	Prad.g_00058	Syah.g_02218
OG0000232	Prad.g_00049	Syah.g_01206
OG0000233	Prad.g_00043	Syah.g_01210
OG0000234	Prad.g_00031	Syah.g_01222
OG0000235	Prad.g_00028	Syah.g_00996
OG0000236	Prad.g_00014	Syah.g_01011
OG0000237	Prad.g_00123	Syah.g_01028
OG0000238	Prad.g_00117	Syah.g_01032
OG0000239	Prad.g_00104	Syah.g_01048
OG0000240	Prad.g_00103	Syah.g_01049
OG0000241	Prad.g_00099	Syah.g_01944
OG0000242	Prad.g_00097	Syah.g_01062
OG0000243	Prad.g_01333	Syah.g_01079
OG0000244	Prad.g_01336	Syah.g_01087
OG0000245	Prad.g_01338	Syah.g_01090
OG0000246	Prad.g_01342	Syah.g_01094
OG0000247	Prad.g_01352	Syah.g_01106
OG0000248	Prad.g_01354	Syah.g_01109
OG0000249	Prad.g_01356	Syah.g_01111
OG0000250	Prad.g_01361	Syah.g_01120
OG0000251	Prad.g_01380	Syah.g_01145
OG0000252	Prad.g_01383	Syah.g_01148
OG0000253	Prad.g_01384	Syah.g_01149
OG0000254	Prad.g_01400	Syah.g_01976
OG0000255	Prad.g_01406	Syah.g_01968
OG0000256	Prad.g_01416	Syah.g_01952
OG0000257	Prad.g_01419	Syah.g_01945
OG0000258	Prad.g_01432	Syah.g_01926
OG0000259	Prad.g_01234	Syah.g_01494
OG0000260	Prad.g_01237	Syah.g_01497
OG0000261	Prad.g_01239	Syah.g_01500
OG0000262	Prad.g_01243	Syah.g_01505
OG0000263	Prad.g_01255	Syah.g_01410
OG0000264	Prad.g_01265	Syah.g_02000
OG0000265	Prad.g_01049	Syah.g_02252
OG0000266	Prad.g_01059	Syah.g_01714
OG0000267	Prad.g_01070	Syah.g_01574
OG0000268	Prad.g_01071	Syah.g_01575
OG0000269	Prad.g_01141	Syah.g_01784
OG0000270	Prad.g_01144	Syah.g_01781
OG0000271	Prad.g_01152	Syah.g_01773
OG0000272	Prad.g_01153	Syah.g_01772
OG0000273	Prad.g_01176	Syah.g_02075
OG0000274	Prad.g_01177	Syah.g_02076
OG0000275	Prad.g_01180	Syah.g_02081
OG0000276	Prad.g_01185	Syah.g_02088
OG0000277	Prad.g_00308	Syah.g_02089
OG0000278	Prad.g_00305	Syah.g_02092
OG0000279	Prad.g_00298	Syah.g_02100
OG0000280	Prad.g_00297	Syah.g_02112
OG0000281	Prad.g_00292	Syah.g_00722
OG0000282	Prad.g_00243	Syah.g_01531
OG0000283	Prad.g_00209	Syah.g_01585
OG0000284	Prad.g_00204	Syah.g_01591
OG0000285	Prad.g_00199	Syah.g_01603
OG0000286	Prad.g_00187	Syah.g_01621
OG0000287	Prad.g_00170	Syah.g_01231
OG0000288	Prad.g_00140	Syah.g_01681
OG0000289	Prad.g_01035	Syah.g_01695
OG0000290	Prad.g_01021	Syah.g_02033
OG0000291	Prad.g_01019	Syah.g_02031
OG0000292	Prad.g_00972	Syah.g_00380
OG0000293	Prad.g_01505	Syah.g_02173
OG0000294	Prad.g_01504	Syah.g_02172
OG0000295	Prad.g_01484	Syah.g_02131
OG0000296	Prad.g_01482	Syah.g_02129
OG0000297	Prad.g_01474	Syah.g_01427
OG0000298	Prad.g_01473	Syah.g_01426
OG0000299	Prad.g_01455	Syah.g_01404
OG0000300	Prad.g_01452	Syah.g_01397
OG0000301	Prad.g_01451	Syah.g_01396
OG0000302	Prad.g_01449	Syah.g_01395
OG0000303	Prad.g_01442	Syah.g_01387
OG0000304	Prad.g_01438	Syah.g_01382
OG0000305	Prad.g_00602	Syah.g_02028
OG0000306	Prad.g_00599	Syah.g_02116
OG0000307	Prad.g_00585	Syah.g_00978
OG0000308	Prad.g_00584	Syah.g_00976
OG0000309	Prad.g_00580	Syah.g_00971
OG0000310	Prad.g_00530	Syah.g_01321
OG0000311	Prad.g_00528	Syah.g_01317
OG0000312	Prad.g_00525	Syah.g_01304
OG0000313	Prad.g_00511	Syah.g_01285
OG0000314	Prad.g_00487	Syah.g_01259
OG0000315	Prad.g_00477	Syah.g_01248
OG0000316	Prad.g_00457	Syah.g_02333
OG0000317	Prad.g_00943	Syah.g_02380
OG0000318	Prad.g_00940	Syah.g_02385
OG0000319	Prad.g_00927	Syah.g_02405
OG0000320	Prad.g_00925	Syah.g_02407
OG0000321	Prad.g_00924	Syah.g_02408
OG0000322	Prad.g_00923	Syah.g_02409
OG0000323	Prad.g_00914	Syah.g_02425
OG0000324	Prad.g_00887	Syah.g_02278
OG0000325	Prad.g_00878	Syah.g_00689
OG0000326	Prad.g_00872	Syah.g_00696
OG0000327	Prad.g_00848	Syah.g_00742
OG0000328	Prad.g_00847	Syah.g_00743
OG0000329	Prad.g_00830	Syah.g_00760
OG0000330	Prad.g_00829	Syah.g_00761
OG0000331	Prad.g_00828	Syah.g_00762
OG0000332	Prad.g_00814	Syah.g_00776
OG0000333	Prad.g_00812	Syah.g_00779
OG0000334	Prad.g_00804	Syah.g_00789
OG0000335	Prad.g_00799	Syah.g_00794
OG0000336	Prad.g_00795	Syah.g_00798
OG0000337	Prad.g_00779	Syah.g_00178
OG0000338	Prad.g_00778	Syah.g_00181
OG0000339	Prad.g_00774	Syah.g_00188
OG0000340	Prad.g_00766, Prad.g_01294	Syah.g_00206
OG0000341	Prad.g_00764	Syah.g_00208
OG0000342	Prad.g_00763	Syah.g_00209
OG0000343	Prad.g_00762	Syah.g_00231
OG0000344	Prad.g_01639	Syah.g_00235
OG0000345	Prad.g_01634	Syah.g_00246
OG0000346	Prad.g_01630	Syah.g_00251
OG0000347	Prad.g_01615	Syah.g_00275
OG0000348	Prad.g_01606	Syah.g_00301
OG0000349	Prad.g_01589	Syah.g_00320
OG0000350	Prad.g_01570	Syah.g_00703
OG0000351	Prad.g_01553	Syah.g_00399
OG0000352	Prad.g_01552	Syah.g_00398
OG0000353	Prad.g_01537	Syah.g_00374
OG0000354	Prad.g_01041	Syah.g_00561
OG0000355	Prad.g_01535	Syah.g_00372
OG0000356	Prad.g_01534	Syah.g_00371
OG0000357	Prad.g_01533	Syah.g_00370
OG0000358	Prad.g_01529	Syah.g_00366
OG0000359	Prad.g_01528	Syah.g_00364
OG0000360	Prad.g_01527	Syah.g_00363
OG0000361	Prad.g_01976	Syah.g_00362
OG0000362	Prad.g_01974	Syah.g_00360
OG0000363	Prad.g_01972	Syah.g_00358
OG0000364	Prad.g_01971	Syah.g_00357
OG0000365	Prad.g_01966	Syah.g_00351
OG0000366	Prad.g_01965	Syah.g_00350
OG0000367	Prad.g_01964	Syah.g_00349
OG0000368	Prad.g_01962	Syah.g_00347
OG0000369	Prad.g_01961	Syah.g_00346
OG0000370	Prad.g_01960	Syah.g_00345
OG0000371	Prad.g_01954	Syah.g_00338
OG0000372	Prad.g_01951	Syah.g_00333
OG0000373	Prad.g_01950	Syah.g_00332
OG0000374	Prad.g_01949	Syah.g_00331
OG0000375	Prad.g_01947	Syah.g_00329
OG0000376	Prad.g_01945	Syah.g_00327
OG0000377	Prad.g_01941	Syah.g_00517
OG0000378	Prad.g_01939	Syah.g_00526
OG0000379	Prad.g_01936	Syah.g_00529
OG0000380	Prad.g_01927	Syah.g_02481
OG0000381	Prad.g_01923	Syah.g_02484
OG0000382	Prad.g_01912	Syah.g_02500
OG0000383	Prad.g_01910	Syah.g_02502
OG0000384	Prad.g_01909	Syah.g_02503
OG0000385	Prad.g_01908	Syah.g_02504
OG0000386	Prad.g_01907	Syah.g_02505
OG0000387	Prad.g_01894	Syah.g_02530
OG0000388	Prad.g_01891	Syah.g_02533
OG0000389	Prad.g_01887	Syah.g_02536
OG0000390	Prad.g_00011, Prad.g_01880	Syah.g_00002
OG0000391	Prad.g_01877	Syah.g_00007
OG0000392	Prad.g_01873	Syah.g_00012
OG0000393	Prad.g_01871	Syah.g_00014
OG0000394	Prad.g_01870	Syah.g_00015
OG0000395	Prad.g_01869	Syah.g_00016
OG0000396	Prad.g_01866	Syah.g_00019
OG0000397	Prad.g_01864	Syah.g_00021
OG0000398	Prad.g_01862	Syah.g_00027
OG0000399	Prad.g_01861	Syah.g_00028
OG0000400	Prad.g_01860	Syah.g_00029
OG0000401	Prad.g_01859	Syah.g_00030
OG0000402	Prad.g_01857	Syah.g_00033
OG0000403	Prad.g_01856	Syah.g_00034
OG0000404	Prad.g_01855	Syah.g_00036
OG0000405	Prad.g_01851	Syah.g_00050
OG0000406	Prad.g_01844	Syah.g_00054
OG0000407	Prad.g_01843	Syah.g_00055
OG0000408	Prad.g_01841	Syah.g_00057
OG0000409	Prad.g_01839	Syah.g_00059
OG0000410	Prad.g_01838	Syah.g_00060
OG0000411	Prad.g_01837	Syah.g_00061
OG0000412	Prad.g_01836	Syah.g_00062
OG0000413	Prad.g_01835	Syah.g_00064
OG0000414	Prad.g_01834	Syah.g_00065
OG0000415	Prad.g_01833	Syah.g_00066
OG0000416	Prad.g_01832	Syah.g_00067
OG0000417	Prad.g_01831	Syah.g_00068
OG0000418	Prad.g_01826	Syah.g_00073
OG0000419	Prad.g_01824	Syah.g_00075
OG0000420	Prad.g_01823	Syah.g_00077
OG0000421	Prad.g_01818	Syah.g_00082
OG0000422	Prad.g_01817	Syah.g_00083
OG0000423	Prad.g_01816	Syah.g_00084
OG0000424	Prad.g_01815	Syah.g_00085
OG0000425	Prad.g_01814	Syah.g_00086
OG0000426	Prad.g_01813	Syah.g_00087
OG0000427	Prad.g_01812	Syah.g_00088
OG0000428	Prad.g_01810	Syah.g_00620
OG0000429	Prad.g_01809	Syah.g_00618
OG0000430	Prad.g_01808	Syah.g_00617
OG0000431	Prad.g_01806	Syah.g_00613
OG0000432	Prad.g_01803	Syah.g_00607
OG0000433	Prad.g_01802	Syah.g_00605
OG0000434	Prad.g_01801	Syah.g_00604
OG0000435	Prad.g_01800	Syah.g_00602
OG0000436	Prad.g_01795	Syah.g_00597
OG0000437	Prad.g_01794	Syah.g_00596
OG0000438	Prad.g_01793	Syah.g_00595
OG0000439	Prad.g_01791	Syah.g_00593
OG0000440	Prad.g_01790	Syah.g_00592
OG0000441	Prad.g_01787	Syah.g_00585
OG0000442	Prad.g_01786	Syah.g_00580
OG0000443	Prad.g_01785	Syah.g_00579
OG0000444	Prad.g_01780	Syah.g_00573
OG0000445	Prad.g_01779	Syah.g_00572
OG0000446	Prad.g_01778	Syah.g_00570
OG0000447	Prad.g_01777	Syah.g_00567
OG0000448	Prad.g_01776	Syah.g_00566
OG0000449	Prad.g_01775	Syah.g_00565
OG0000450	Prad.g_01774	Syah.g_00547
OG0000451	Prad.g_01773	Syah.g_00546
OG0000452	Prad.g_01770	Syah.g_00542
OG0000453	Prad.g_01769	Syah.g_00541
OG0000454	Prad.g_01768	Syah.g_00540
OG0000455	Prad.g_01767	Syah.g_00539
OG0000456	Prad.g_01766	Syah.g_00538
OG0000457	Prad.g_01765	Syah.g_00536
OG0000458	Prad.g_01764	Syah.g_00535
OG0000459	Prad.g_01763	Syah.g_00534
OG0000460	Prad.g_01756	Syah.g_00906
OG0000461	Prad.g_01749	Syah.g_00678
OG0000462	Prad.g_01747	Syah.g_00675
OG0000463	Prad.g_01746	Syah.g_00674
OG0000464	Prad.g_01745	Syah.g_00673
OG0000465	Prad.g_01744	Syah.g_00672
OG0000466	Prad.g_01741	Syah.g_00668
OG0000467	Prad.g_01740	Syah.g_00666
OG0000468	Prad.g_01738	Syah.g_00661
OG0000469	Prad.g_01729	Syah.g_00647
OG0000470	Prad.g_01727	Syah.g_00645
OG0000471	Prad.g_01726	Syah.g_00644
OG0000472	Prad.g_01725	Syah.g_00642
OG0000473	Prad.g_01723	Syah.g_00640
OG0000474	Prad.g_01722	Syah.g_00639
OG0000475	Prad.g_01721	Syah.g_00638
OG0000476	Prad.g_01720	Syah.g_00636
OG0000477	Prad.g_01716	Syah.g_00630
OG0000478	Prad.g_01715	Syah.g_00629
OG0000479	Prad.g_01714	Syah.g_00628
OG0000480	Prad.g_01709	Syah.g_00089
OG0000481	Prad.g_01707	Syah.g_00091
OG0000482	Prad.g_01706	Syah.g_00092
OG0000483	Prad.g_01703	Syah.g_00096
OG0000484	Prad.g_01702	Syah.g_00097
OG0000485	Prad.g_01701	Syah.g_00098
OG0000486	Prad.g_01700	Syah.g_00099
OG0000487	Prad.g_01696	Syah.g_00106
OG0000488	Prad.g_01693	Syah.g_00110
OG0000489	Prad.g_01688	Syah.g_00121
OG0000490	Prad.g_01683	Syah.g_00129
OG0000491	Prad.g_01682	Syah.g_00130
OG0000492	Prad.g_01680	Syah.g_00132
OG0000493	Prad.g_01679	Syah.g_00133
OG0000494	Prad.g_01678	Syah.g_00134
OG0000495	Prad.g_01677	Syah.g_00135
OG0000496	Prad.g_01676	Syah.g_00136
OG0000497	Prad.g_01675	Syah.g_00137
OG0000498	Prad.g_01674	Syah.g_00138
OG0000499	Prad.g_01673	Syah.g_00139
OG0000500	Prad.g_01672	Syah.g_00140
OG0000501	Prad.g_01670	Syah.g_00143
OG0000502	Prad.g_01667	Syah.g_00155
OG0000503	Prad.g_01657	Syah.g_00858
OG0000504	Prad.g_01656	Syah.g_00860
OG0000505	Prad.g_01655	Syah.g_00861
OG0000506	Prad.g_01653	Syah.g_00863
OG0000507	Prad.g_01650	Syah.g_00869
OG0000508	Prad.g_01646	Syah.g_00873
OG0000509	Prad.g_01644	Syah.g_00875
OG0000510	Prad.g_01643	Syah.g_00876
OG0000511	Prad.g_01642	Syah.g_00877
OG0000512	Prad.g_00760	Syah.g_00879
OG0000513	Prad.g_00753	Syah.g_00892
OG0000514	Prad.g_00671	Syah.g_00899
OG0000515	Prad.g_00670	Syah.g_00900
OG0000516	Prad.g_00669	Syah.g_02231
OG0000517	Prad.g_00667	Syah.g_02237
OG0000518	Prad.g_00061	Syah.g_02221
OG0000519	Prad.g_00060	Syah.g_02220
OG0000520	Prad.g_00059	Syah.g_02219
OG0000521	Prad.g_00054	Syah.g_01202
OG0000522	Prad.g_00052	Syah.g_01204
OG0000523	Prad.g_00051	Syah.g_01205
OG0000524	Prad.g_00045	Syah.g_01207
OG0000525	Prad.g_00042	Syah.g_01212
OG0000526	Prad.g_00041	Syah.g_01215
OG0000527	Prad.g_00034	Syah.g_01219
OG0000528	Prad.g_00029	Syah.g_00991
OG0000529	Prad.g_00026	Syah.g_00998
OG0000530	Prad.g_00023	Syah.g_01001
OG0000531	Prad.g_00022	Syah.g_01002
OG0000532	Prad.g_00020	Syah.g_01005
OG0000533	Prad.g_00019	Syah.g_01006
OG0000534	Prad.g_00018	Syah.g_01007
OG0000535	Prad.g_00017	Syah.g_01008
OG0000536	Prad.g_00016	Syah.g_01009
OG0000537	Prad.g_00015	Syah.g_01010
OG0000538	Prad.g_00129	Syah.g_01021
OG0000539	Prad.g_00128	Syah.g_01022
OG0000540	Prad.g_00127	Syah.g_01023
OG0000541	Prad.g_00126	Syah.g_01024
OG0000542	Prad.g_00124	Syah.g_01027
OG0000543	Prad.g_00122	Syah.g_01029
OG0000545	Prad.g_00119	Syah.g_01031
OG0000546	Prad.g_00116	Syah.g_01033
OG0000547	Prad.g_00114	Syah.g_01035
OG0000548	Prad.g_00113	Syah.g_01036
OG0000549	Prad.g_00111	Syah.g_01042
OG0000550	Prad.g_00106	Syah.g_01046
OG0000551	Prad.g_00102	Syah.g_01051
OG0000552	Prad.g_00101	Syah.g_01052
OG0000553	Prad.g_00100	Syah.g_01054
OG0000554	Prad.g_00095	Syah.g_01065
OG0000555	Prad.g_01332	Syah.g_01078
OG0000556	Prad.g_01334	Syah.g_01084
OG0000557	Prad.g_01335	Syah.g_01086
OG0000558	Prad.g_01337	Syah.g_01088
OG0000559	Prad.g_01341	Syah.g_01093
OG0000560	Prad.g_01344	Syah.g_01096
OG0000561	Prad.g_01345	Syah.g_01097
OG0000562	Prad.g_01346	Syah.g_01098
OG0000563	Prad.g_01347	Syah.g_01099
OG0000564	Prad.g_01348	Syah.g_01100
OG0000565	Prad.g_01351	Syah.g_01104
OG0000566	Prad.g_01353	Syah.g_01108
OG0000567	Prad.g_01357	Syah.g_01112
OG0000568	Prad.g_01358	Syah.g_01116
OG0000569	Prad.g_01359	Syah.g_01117
OG0000570	Prad.g_01360	Syah.g_01118
OG0000571	Prad.g_01362	Syah.g_01122
OG0000572	Prad.g_01375	Syah.g_01137
OG0000573	Prad.g_01381	Syah.g_01146
OG0000574	Prad.g_01382	Syah.g_01147
OG0000575	Prad.g_01386	Syah.g_01151
OG0000576	Prad.g_01388	Syah.g_01153
OG0000577	Prad.g_01389	Syah.g_01154
OG0000578	Prad.g_01390	Syah.g_01155
OG0000579	Prad.g_01391	Syah.g_01156
OG0000580	Prad.g_01392	Syah.g_01157
OG0000581	Prad.g_01394	Syah.g_01163
OG0000582	Prad.g_01397	Syah.g_01979
OG0000583	Prad.g_01398	Syah.g_01978
OG0000584	Prad.g_01399	Syah.g_01977
OG0000585	Prad.g_01401	Syah.g_01975
OG0000586	Prad.g_01402	Syah.g_01974
OG0000587	Prad.g_01403	Syah.g_01972
OG0000588	Prad.g_01407	Syah.g_01966
OG0000589	Prad.g_01410	Syah.g_01962
OG0000590	Prad.g_01411	Syah.g_01961
OG0000591	Prad.g_01414	Syah.g_01954
OG0000592	Prad.g_01415	Syah.g_01953
OG0000593	Prad.g_01421	Syah.g_01939
