Orthogroup	Syab	Praw
OG0000095	Syab.g_01210	Praw.g_01467
OG0000097	Syab.g_01051	Praw.g_00275
OG0000098	Syab.g_01553	Praw.g_00997
OG0000099	Syab.g_00230	Praw.g_01051
OG0000100	Syab.g_01694	Praw.g_00411
OG0000101	Syab.g_00446	Praw.g_00096
OG0000102	Syab.g_00104	Praw.g_00034
OG0000103	Syab.g_02895, Syab.g_01296	Praw.g_01148
OG0000104	Syab.g_02910	Praw.g_01140
OG0000105	Syab.g_00303	Praw.g_00860
OG0000106	Syab.g_01817	Praw.g_00762
OG0000107	Syab.g_00367	Praw.g_00748
OG0000108	Syab.g_02096	Praw.g_00667
OG0000109	Syab.g_02112	Praw.g_00654
OG0000110	Syab.g_01984	Praw.g_01922
OG0000111	Syab.g_01201	Praw.g_01823
OG0000112	Syab.g_01392	Praw.g_01732
OG0000113	Syab.g_01689	Praw.g_01675
OG0000114	Syab.g_02656, Syab.g_01633	Praw.g_01597
OG0000115	Syab.g_00748	Praw.g_00178
OG0000116	Syab.g_00945	Praw.g_00224
OG0000117	Syab.g_01018	Praw.g_00926
OG0000118	Syab.g_00897	Praw.g_00993
OG0000120	Syab.g_00229	Praw.g_01050
OG0000121	Syab.g_00772	Praw.g_01078
OG0000122	Syab.g_01839	Praw.g_00377
OG0000123	Syab.g_00454	Praw.g_00089
OG0000124	Syab.g_00088	Praw.g_00023
OG0000125	Syab.g_02763	Praw.g_01180
OG0000126	Syab.g_02908	Praw.g_01141
OG0000128	Syab.g_00012	Praw.g_01125
OG0000129	Syab.g_02749	Praw.g_01384
OG0000130	Syab.g_02434	Praw.g_01365
OG0000131	Syab.g_02564	Praw.g_01290
OG0000132	Syab.g_02584	Praw.g_01271
OG0000133	Syab.g_01387	Praw.g_00812
OG0000134	Syab.g_00554	Praw.g_00775
OG0000135	Syab.g_02815	Praw.g_00751
OG0000136	Syab.g_00588	Praw.g_00706
OG0000137	Syab.g_00697	Praw.g_00672
OG0000138	Syab.g_02113	Praw.g_00653
OG0000139	Syab.g_02035	Praw.g_00611
OG0000140	Syab.g_02033	Praw.g_00610
OG0000141	Syab.g_01931	Praw.g_00143
OG0000142	Syab.g_01524, Syab.g_01873	Praw.g_01887
OG0000143	Syab.g_01870	Praw.g_01883
OG0000144	Syab.g_01757	Praw.g_01870
OG0000145	Syab.g_02120	Praw.g_01745
OG0000146	Syab.g_01393	Praw.g_01731
OG0000147	Syab.g_01394	Praw.g_01730
OG0000148	Syab.g_01682, Syab.g_01683	Praw.g_01681
OG0000149	Syab.g_01720	Praw.g_01652
OG0000150	Syab.g_01930	Praw.g_01644
OG0000151	Syab.g_01612	Praw.g_01587
OG0000152	Syab.g_01383	Praw.g_01539
OG0000153	Syab.g_01343	Praw.g_01520
OG0000154	Syab.g_01317	Praw.g_01493
OG0000155	Syab.g_01009	Praw.g_00254
OG0000156	Syab.g_00933	Praw.g_00968
OG0000157	Syab.g_00932	Praw.g_00969
OG0000158	Syab.g_00161	Praw.g_01052
OG0000160	Syab.g_00774	Praw.g_01079, Praw.g_01080
OG0000161	Syab.g_00766	Praw.g_00344
OG0000162	Syab.g_00755	Praw.g_00350
OG0000163	Syab.g_02173	Praw.g_00384
OG0000164	Syab.g_02307	Praw.g_00539
OG0000165	Syab.g_02316	Praw.g_00546
OG0000166	Syab.g_00407	Praw.g_00132
OG0000167	Syab.g_00205	Praw.g_00066
OG0000168	Syab.g_00136	Praw.g_00056
OG0000169	Syab.g_00125	Praw.g_00046
OG0000170	Syab.g_00118	Praw.g_00044
OG0000171	Syab.g_00089	Praw.g_00024
OG0000172	Syab.g_00080	Praw.g_00016
OG0000173	Syab.g_00061	Praw.g_00001
OG0000174	Syab.g_02819	Praw.g_01166
OG0000175	Syab.g_02876	Praw.g_01156
OG0000176	Syab.g_00004	Praw.g_01132
OG0000177	Syab.g_00005	Praw.g_01131
OG0000178	Syab.g_00006	Praw.g_01130
OG0000179	Syab.g_00022	Praw.g_01412
OG0000180	Syab.g_00023	Praw.g_01411
OG0000181	Syab.g_00024	Praw.g_01410
OG0000182	Syab.g_00025	Praw.g_01409
OG0000183	Syab.g_00029	Praw.g_01405
OG0000184	Syab.g_02738	Praw.g_01382
OG0000185	Syab.g_02715	Praw.g_01379
OG0000186	Syab.g_02430	Praw.g_01370
OG0000187	Syab.g_02431	Praw.g_01369
OG0000188	Syab.g_02454	Praw.g_01352
OG0000189	Syab.g_02487	Praw.g_01339
OG0000190	Syab.g_00190, Syab.g_00139	Praw.g_01338
OG0000191	Syab.g_02522	Praw.g_01318
OG0000192	Syab.g_02528	Praw.g_01314
OG0000193	Syab.g_02565	Praw.g_01289
OG0000194	Syab.g_02568	Praw.g_01286
OG0000195	Syab.g_02570	Praw.g_01284
OG0000196	Syab.g_02581	Praw.g_01274
OG0000197	Syab.g_02582	Praw.g_01273
OG0000198	Syab.g_02583	Praw.g_01272
OG0000199	Syab.g_02591	Praw.g_01265
OG0000200	Syab.g_02611	Praw.g_01251
OG0000201	Syab.g_02628	Praw.g_01243
OG0000202	Syab.g_02629	Praw.g_01242
OG0000203	Syab.g_02630	Praw.g_01241
OG0000204	Syab.g_02631	Praw.g_01240
OG0000205	Syab.g_02638	Praw.g_01233
OG0000206	Syab.g_02674	Praw.g_01228
OG0000207	Syab.g_02677	Praw.g_01226
OG0000208	Syab.g_02678	Praw.g_01225
OG0000209	Syab.g_02698	Praw.g_01216
OG0000210	Syab.g_02699	Praw.g_01215
OG0000211	Syab.g_02374	Praw.g_01202
OG0000212	Syab.g_02365	Praw.g_01195
OG0000213	Syab.g_00332	Praw.g_00876
OG0000214	Syab.g_00312	Praw.g_00867
OG0000215	Syab.g_00281	Praw.g_00842
OG0000216	Syab.g_00277	Praw.g_00840
OG0000217	Syab.g_00273	Praw.g_00837
OG0000218	Syab.g_00271	Praw.g_00835
OG0000219	Syab.g_00270	Praw.g_00834
OG0000220	Syab.g_00269	Praw.g_00833
OG0000221	Syab.g_00257	Praw.g_00832
OG0000222	Syab.g_00244	Praw.g_00824
OG0000223	Syab.g_00226	Praw.g_00811
OG0000224	Syab.g_00223	Praw.g_00809
OG0000225	Syab.g_00538	Praw.g_00786
OG0000226	Syab.g_00542	Praw.g_00782
OG0000227	Syab.g_00544	Praw.g_00780
OG0000228	Syab.g_00550	Praw.g_00777
OG0000229	Syab.g_00583	Praw.g_00711
OG0000230	Syab.g_00585	Praw.g_00709
OG0000231	Syab.g_00613	Praw.g_00698
OG0000232	Syab.g_00631	Praw.g_00689
OG0000233	Syab.g_00645	Praw.g_00684
OG0000234	Syab.g_00699	Praw.g_00671
OG0000235	Syab.g_02095	Praw.g_00668
OG0000236	Syab.g_02111	Praw.g_00655
OG0000237	Syab.g_02129	Praw.g_00642
OG0000238	Syab.g_02134	Praw.g_00636
OG0000239	Syab.g_02151	Praw.g_00623
OG0000240	Syab.g_02152	Praw.g_00622
OG0000241	Syab.g_01884	Praw.g_00618
OG0000242	Syab.g_02043	Praw.g_00616
OG0000243	Syab.g_02025	Praw.g_00605
OG0000244	Syab.g_02017	Praw.g_00602
OG0000245	Syab.g_02015	Praw.g_00600
OG0000246	Syab.g_02011	Praw.g_00596
OG0000247	Syab.g_01999	Praw.g_00586
OG0000248	Syab.g_01996	Praw.g_00584
OG0000249	Syab.g_01994	Praw.g_00582
OG0000250	Syab.g_01988	Praw.g_00577
OG0000251	Syab.g_01961	Praw.g_01937
OG0000252	Syab.g_01958	Praw.g_01940
OG0000253	Syab.g_01956	Praw.g_01941
OG0000254	Syab.g_01925	Praw.g_00147
OG0000255	Syab.g_01912	Praw.g_00153
OG0000256	Syab.g_01890	Praw.g_00163
OG0000257	Syab.g_01885	Praw.g_00166
OG0000258	Syab.g_01861	Praw.g_01879
OG0000259	Syab.g_01538	Praw.g_01862
OG0000260	Syab.g_01544	Praw.g_01859
OG0000261	Syab.g_01556	Praw.g_01857
OG0000262	Syab.g_01561	Praw.g_01853
OG0000263	Syab.g_01035	Praw.g_01841
OG0000264	Syab.g_01173	Praw.g_01831
OG0000265	Syab.g_01773	Praw.g_01809
OG0000266	Syab.g_01667	Praw.g_01799
OG0000267	Syab.g_01433	Praw.g_01788
OG0000268	Syab.g_01432	Praw.g_01787
OG0000269	Syab.g_01650	Praw.g_01702
OG0000270	Syab.g_01657	Praw.g_01699
OG0000271	Syab.g_01279	Praw.g_01691
OG0000272	Syab.g_01280	Praw.g_01690
OG0000273	Syab.g_01699	Praw.g_01668
OG0000274	Syab.g_01700	Praw.g_01667
OG0000275	Syab.g_01704	Praw.g_01665
OG0000276	Syab.g_01712	Praw.g_01660
OG0000277	Syab.g_01713	Praw.g_01659
OG0000278	Syab.g_01716	Praw.g_01656
OG0000279	Syab.g_01724	Praw.g_01649
OG0000280	Syab.g_01736	Praw.g_01648
OG0000281	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546	Praw.g_01643
OG0000282	Syab.g_01631	Praw.g_01595
OG0000283	Syab.g_01418	Praw.g_01562
OG0000284	Syab.g_01413	Praw.g_01557
OG0000285	Syab.g_01402	Praw.g_01552
OG0000286	Syab.g_01384	Praw.g_01540
OG0000287	Syab.g_01350	Praw.g_01523
OG0000288	Syab.g_01318	Praw.g_01494
OG0000289	Syab.g_01303	Praw.g_01483
OG0000290	Syab.g_01213	Praw.g_01470
OG0000291	Syab.g_01211	Praw.g_01468
OG0000292	Syab.g_02907	Praw.g_01418
OG0000293	Syab.g_00946	Praw.g_00225
OG0000294	Syab.g_00947	Praw.g_00226
OG0000295	Syab.g_01001	Praw.g_00246
OG0000296	Syab.g_01003	Praw.g_00248
OG0000297	Syab.g_01016	Praw.g_00256
OG0000298	Syab.g_01017	Praw.g_00257
OG0000299	Syab.g_01047	Praw.g_00274
OG0000300	Syab.g_01054	Praw.g_00277
OG0000301	Syab.g_01055	Praw.g_00278
OG0000302	Syab.g_01056	Praw.g_00280
OG0000303	Syab.g_01149	Praw.g_00287
OG0000304	Syab.g_01143	Praw.g_00291
OG0000305	Syab.g_01208	Praw.g_01008
OG0000306	Syab.g_01819	Praw.g_01011
OG0000307	Syab.g_02078	Praw.g_01025
OG0000308	Syab.g_02076	Praw.g_01026
OG0000309	Syab.g_02071	Praw.g_01030
OG0000310	Syab.g_00817	Praw.g_01098
OG0000311	Syab.g_00811	Praw.g_01096
OG0000312	Syab.g_00793	Praw.g_01093
OG0000313	Syab.g_00769	Praw.g_01076
OG0000314	Syab.g_00736	Praw.g_00363
OG0000315	Syab.g_00726	Praw.g_00374
OG0000316	Syab.g_02189	Praw.g_00394
OG0000317	Syab.g_02251	Praw.g_00513
OG0000318	Syab.g_02257	Praw.g_00516
OG0000319	Syab.g_02291	Praw.g_00529
OG0000320	Syab.g_02293	Praw.g_00531
OG0000321	Syab.g_02294	Praw.g_00532
OG0000322	Syab.g_02295	Praw.g_00533
OG0000323	Syab.g_02310	Praw.g_00542
OG0000324	Syab.g_02341	Praw.g_00569
OG0000325	Syab.g_00368	Praw.g_01916
OG0000326	Syab.g_00375	Praw.g_01910
OG0000327	Syab.g_00402	Praw.g_00137
OG0000328	Syab.g_00403	Praw.g_00136
OG0000329	Syab.g_00420	Praw.g_00119
OG0000330	Syab.g_00421	Praw.g_00118
OG0000331	Syab.g_00422	Praw.g_00117
OG0000332	Syab.g_00437	Praw.g_00103
OG0000333	Syab.g_00440	Praw.g_00101
OG0000334	Syab.g_00450	Praw.g_00093
OG0000335	Syab.g_00455	Praw.g_00088
OG0000336	Syab.g_00459	Praw.g_00084
OG0000337	Syab.g_00210	Praw.g_00068
OG0000338	Syab.g_00207	Praw.g_00067
OG0000339	Syab.g_00201	Praw.g_00063
OG0000340	Syab.g_00135	Praw.g_00055
OG0000341	Syab.g_00157, Syab.g_00133	Praw.g_00053
OG0000342	Syab.g_00132	Praw.g_00052
OG0000343	Syab.g_00131	Praw.g_00051
OG0000344	Syab.g_00127, Syab.g_02424	Praw.g_00048
OG0000345	Syab.g_00117	Praw.g_00043
OG0000346	Syab.g_00112	Praw.g_00038
OG0000347	Syab.g_00087	Praw.g_00022
OG0000348	Syab.g_00076	Praw.g_00013
OG0000349	Syab.g_00054	Praw.g_01189
OG0000350	Syab.g_00382	Praw.g_01170
OG0000351	Syab.g_02879	Praw.g_01153
OG0000352	Syab.g_02880	Praw.g_01152
OG0000353	Syab.g_02913	Praw.g_01137
OG0000354	Syab.g_00020	Praw.g_00910
OG0000355	Syab.g_00001	Praw.g_01135
OG0000356	Syab.g_00002	Praw.g_01134
OG0000357	Syab.g_00003	Praw.g_01133
OG0000358	Syab.g_00007	Praw.g_01129
OG0000359	Syab.g_00009	Praw.g_01128
OG0000360	Syab.g_00010	Praw.g_01127
OG0000361	Syab.g_00011	Praw.g_01126
OG0000362	Syab.g_00013	Praw.g_01124
OG0000363	Syab.g_00015	Praw.g_01414
OG0000364	Syab.g_00016	Praw.g_01413
OG0000365	Syab.g_00026	Praw.g_01408
OG0000366	Syab.g_00027	Praw.g_01407
OG0000367	Syab.g_00028	Praw.g_01406
OG0000368	Syab.g_00030	Praw.g_01404
OG0000369	Syab.g_00031	Praw.g_01403
OG0000370	Syab.g_00032	Praw.g_01402
OG0000371	Syab.g_00711, Syab.g_00039	Praw.g_01396
OG0000372	Syab.g_00045	Praw.g_01393
OG0000373	Syab.g_00046	Praw.g_01392
OG0000374	Syab.g_00047	Praw.g_01391
OG0000375	Syab.g_00050	Praw.g_01388
OG0000376	Syab.g_00052	Praw.g_01386
OG0000377	Syab.g_02748	Praw.g_01383
OG0000378	Syab.g_02717	Praw.g_01381
OG0000379	Syab.g_02714	Praw.g_01378
OG0000380	Syab.g_02432	Praw.g_01368
OG0000381	Syab.g_02435	Praw.g_01364
OG0000382	Syab.g_02453	Praw.g_01353
OG0000383	Syab.g_02459	Praw.g_01351
OG0000384	Syab.g_02460	Praw.g_01350
OG0000385	Syab.g_02461	Praw.g_01349
OG0000386	Syab.g_02462	Praw.g_01348
OG0000387	Syab.g_02491	Praw.g_01336
OG0000388	Syab.g_02495	Praw.g_01333
OG0000389	Syab.g_02499	Praw.g_01329
OG0000390	Syab.g_02516	Praw.g_01322
OG0000391	Syab.g_02521	Praw.g_01319
OG0000392	Syab.g_02527	Praw.g_01315
OG0000393	Syab.g_02530	Praw.g_01313
OG0000394	Syab.g_02531	Praw.g_01312
OG0000395	Syab.g_02532	Praw.g_01311
OG0000396	Syab.g_02535	Praw.g_01308
OG0000397	Syab.g_02537	Praw.g_01306
OG0000398	Syab.g_02542	Praw.g_01304
OG0000399	Syab.g_02543	Praw.g_01303
OG0000400	Syab.g_02544	Praw.g_01302
OG0000401	Syab.g_02545	Praw.g_01301
OG0000402	Syab.g_02547	Praw.g_01299
OG0000403	Syab.g_02548	Praw.g_01298
OG0000404	Syab.g_02550	Praw.g_01297
OG0000405	Syab.g_02562	Praw.g_01293
OG0000406	Syab.g_02566	Praw.g_01288
OG0000407	Syab.g_02567	Praw.g_01287
OG0000408	Syab.g_02569	Praw.g_01285
OG0000409	Syab.g_02571	Praw.g_01283
OG0000410	Syab.g_02572	Praw.g_01282
OG0000411	Syab.g_02573	Praw.g_01281
OG0000412	Syab.g_02574	Praw.g_01280
OG0000413	Syab.g_02576	Praw.g_01279
OG0000414	Syab.g_02577	Praw.g_01278
OG0000415	Syab.g_02578	Praw.g_01277
OG0000416	Syab.g_02579	Praw.g_01276
OG0000417	Syab.g_02580	Praw.g_01275
OG0000418	Syab.g_02585	Praw.g_01270
OG0000419	Syab.g_02587	Praw.g_01268
OG0000420	Syab.g_02589	Praw.g_01267
OG0000421	Syab.g_02595	Praw.g_01262
OG0000422	Syab.g_02596	Praw.g_01261
OG0000423	Syab.g_02597	Praw.g_01260
OG0000424	Syab.g_02598	Praw.g_01259
OG0000425	Syab.g_02599	Praw.g_01258
OG0000426	Syab.g_02600	Praw.g_01257
OG0000427	Syab.g_02601	Praw.g_01256
OG0000428	Syab.g_02604	Praw.g_01254
OG0000429	Syab.g_02608	Praw.g_01253
OG0000430	Syab.g_02610	Praw.g_01252
OG0000431	Syab.g_02613	Praw.g_01250
OG0000432	Syab.g_02619	Praw.g_01247
OG0000433	Syab.g_02622	Praw.g_01246
OG0000434	Syab.g_02623	Praw.g_01245
OG0000435	Syab.g_02625	Praw.g_01244
OG0000436	Syab.g_02632	Praw.g_01239
OG0000437	Syab.g_02633	Praw.g_01238
OG0000438	Syab.g_02634	Praw.g_01237
OG0000439	Syab.g_02636	Praw.g_01235
OG0000440	Syab.g_02637	Praw.g_01234
OG0000441	Syab.g_02641	Praw.g_01231
OG0000442	Syab.g_02642	Praw.g_01230
OG0000443	Syab.g_02668	Praw.g_01229
OG0000444	Syab.g_02681	Praw.g_01224
OG0000445	Syab.g_02682	Praw.g_01223
OG0000446	Syab.g_02684	Praw.g_01222
OG0000447	Syab.g_02687	Praw.g_01221
OG0000448	Syab.g_02688	Praw.g_01220
OG0000449	Syab.g_02689	Praw.g_01219
OG0000450	Syab.g_02695	Praw.g_01218
OG0000451	Syab.g_02696	Praw.g_01217
OG0000452	Syab.g_02701	Praw.g_01214
OG0000453	Syab.g_02702	Praw.g_01213
OG0000454	Syab.g_02703	Praw.g_01212
OG0000455	Syab.g_02704	Praw.g_01211
OG0000456	Syab.g_02705	Praw.g_01210
OG0000457	Syab.g_02707	Praw.g_01209
OG0000458	Syab.g_02708	Praw.g_01208
OG0000459	Syab.g_02709	Praw.g_01207
OG0000460	Syab.g_02372	Praw.g_01200
OG0000461	Syab.g_00356	Praw.g_00891
OG0000462	Syab.g_00352	Praw.g_00889
OG0000463	Syab.g_00351	Praw.g_00888
OG0000464	Syab.g_00350	Praw.g_00887
OG0000465	Syab.g_00349	Praw.g_00886
OG0000466	Syab.g_00343	Praw.g_00883
OG0000467	Syab.g_00341	Praw.g_00882
OG0000468	Syab.g_00336	Praw.g_00880
OG0000469	Syab.g_00318	Praw.g_00872
OG0000470	Syab.g_00316	Praw.g_00870
OG0000471	Syab.g_00315	Praw.g_00869
OG0000472	Syab.g_00313	Praw.g_00868
OG0000473	Syab.g_00311	Praw.g_00866
OG0000474	Syab.g_00310	Praw.g_00865
OG0000475	Syab.g_00309	Praw.g_00864
OG0000476	Syab.g_00307	Praw.g_00863
OG0000477	Syab.g_00301	Praw.g_00859
OG0000478	Syab.g_00300	Praw.g_00858
OG0000479	Syab.g_00299	Praw.g_00857
OG0000480	Syab.g_00292	Praw.g_00852
OG0000481	Syab.g_00290	Praw.g_00850
OG0000482	Syab.g_00289	Praw.g_00849
OG0000483	Syab.g_00285	Praw.g_00846
OG0000484	Syab.g_00284	Praw.g_00845
OG0000485	Syab.g_00283	Praw.g_00844
OG0000486	Syab.g_00282	Praw.g_00843
OG0000487	Syab.g_00276	Praw.g_00839
OG0000488	Syab.g_00272	Praw.g_00836
OG0000489	Syab.g_00256	Praw.g_00831
OG0000490	Syab.g_00247	Praw.g_00826
OG0000491	Syab.g_00245	Praw.g_00825
OG0000492	Syab.g_00243	Praw.g_00823
OG0000493	Syab.g_00242	Praw.g_00822
OG0000494	Syab.g_00241	Praw.g_00821
OG0000495	Syab.g_00240	Praw.g_00820
OG0000496	Syab.g_00239	Praw.g_00819
OG0000497	Syab.g_00238	Praw.g_00818
OG0000498	Syab.g_00237	Praw.g_00817
OG0000499	Syab.g_00236	Praw.g_00816
OG0000500	Syab.g_00235	Praw.g_00815
OG0000501	Syab.g_00232	Praw.g_00813
OG0000502	Syab.g_00224	Praw.g_00810
OG0000503	Syab.g_00523	Praw.g_00796
OG0000504	Syab.g_00525	Praw.g_00795
OG0000505	Syab.g_00526	Praw.g_00794
OG0000506	Syab.g_00528	Praw.g_00792
OG0000507	Syab.g_00533	Praw.g_00790
OG0000508	Syab.g_00537	Praw.g_00787
OG0000509	Syab.g_00539	Praw.g_00785
OG0000510	Syab.g_00540	Praw.g_00784
OG0000511	Syab.g_00541	Praw.g_00783
OG0000512	Syab.g_00543	Praw.g_00781
OG0000513	Syab.g_00555	Praw.g_00774
OG0000514	Syab.g_00566	Praw.g_00716
OG0000515	Syab.g_00567	Praw.g_00715
OG0000516	Syab.g_00575	Praw.g_00714
OG0000517	Syab.g_00582	Praw.g_00712
OG0000518	Syab.g_00594	Praw.g_00701
OG0000519	Syab.g_00610	Praw.g_00700
OG0000520	Syab.g_00611	Praw.g_00699
OG0000521	Syab.g_00624	Praw.g_00694
OG0000522	Syab.g_00626	Praw.g_00692
OG0000523	Syab.g_00627	Praw.g_00691
OG0000524	Syab.g_00640	Praw.g_00686
OG0000525	Syab.g_00671	Praw.g_00683
OG0000526	Syab.g_00689	Praw.g_00682
OG0000527	Syab.g_00695	Praw.g_00674
OG0000528	Syab.g_02092	Praw.g_00669
OG0000529	Syab.g_02097	Praw.g_00666
OG0000530	Syab.g_02100	Praw.g_00664
OG0000531	Syab.g_02101	Praw.g_00663
OG0000532	Syab.g_02104	Praw.g_00661
OG0000533	Syab.g_02106	Praw.g_00660
OG0000534	Syab.g_02107	Praw.g_00659
OG0000535	Syab.g_02108	Praw.g_00658
OG0000536	Syab.g_02109	Praw.g_00657
OG0000537	Syab.g_02110	Praw.g_00656
OG0000538	Syab.g_02122	Praw.g_00648
OG0000539	Syab.g_02123	Praw.g_00647
OG0000540	Syab.g_02124	Praw.g_00646
OG0000541	Syab.g_02125	Praw.g_00645
OG0000542	Syab.g_02128	Praw.g_00643
OG0000543	Syab.g_02130	Praw.g_00641
OG0000544	Syab.g_02131	Praw.g_00640
OG0000545	Syab.g_02133	Praw.g_00638
OG0000546	Syab.g_02135	Praw.g_00635
OG0000547	Syab.g_02137	Praw.g_00633
OG0000548	Syab.g_02138	Praw.g_00632
OG0000549	Syab.g_02144	Praw.g_00630
OG0000550	Syab.g_02149	Praw.g_00625
OG0000551	Syab.g_02153	Praw.g_00621
OG0000552	Syab.g_02154	Praw.g_00620
OG0000553	Syab.g_02046	Praw.g_00619
OG0000554	Syab.g_02040	Praw.g_00614
OG0000555	Syab.g_02026	Praw.g_00606
OG0000556	Syab.g_02022	Praw.g_00604
OG0000557	Syab.g_02019	Praw.g_00603
OG0000558	Syab.g_02016	Praw.g_00601
OG0000559	Syab.g_02012	Praw.g_00597
OG0000560	Syab.g_02009	Praw.g_00594
OG0000561	Syab.g_02008	Praw.g_00593
OG0000562	Syab.g_02007	Praw.g_00592
OG0000563	Syab.g_02006	Praw.g_00591
OG0000564	Syab.g_02005	Praw.g_00590
OG0000565	Syab.g_02001	Praw.g_00587
OG0000566	Syab.g_01997	Praw.g_00585
OG0000567	Syab.g_01993	Praw.g_00581
OG0000568	Syab.g_01991	Praw.g_00580
OG0000569	Syab.g_01990	Praw.g_00579
OG0000570	Syab.g_01989	Praw.g_00578
OG0000571	Syab.g_01986	Praw.g_00576
OG0000572	Syab.g_01969	Praw.g_01933
OG0000573	Syab.g_01960	Praw.g_01938
OG0000574	Syab.g_01959	Praw.g_01939
OG0000575	Syab.g_01954	Praw.g_01943
OG0000576	Syab.g_01952	Praw.g_01945
OG0000577	Syab.g_01951	Praw.g_01946
OG0000578	Syab.g_01950	Praw.g_01947
OG0000579	Syab.g_01949	Praw.g_01948
OG0000580	Syab.g_01948	Praw.g_01949
OG0000581	Syab.g_01934	Praw.g_00141
