Orthogroup	Syab	Pral
OG0000122	Syab.g_01839	Pral.g_01116
OG0000123	Syab.g_00454	Pral.g_00250
OG0000124	Syab.g_00088	Pral.g_00322
OG0000125	Syab.g_02763	Pral.g_00358
OG0000126	Syab.g_02908	Pral.g_00405
OG0000128	Syab.g_00012	Pral.g_00421
OG0000129	Syab.g_02749	Pral.g_01000
OG0000130	Syab.g_02434	Pral.g_00978
OG0000131	Syab.g_02564	Pral.g_00900
OG0000132	Syab.g_02584	Pral.g_00880
OG0000133	Syab.g_01387	Pral.g_00717
OG0000134	Syab.g_00554	Pral.g_00674
OG0000135	Syab.g_02815	Pral.g_01034
OG0000136	Syab.g_00588	Pral.g_00653
OG0000137	Syab.g_00697	Pral.g_00617
OG0000138	Syab.g_02113	Pral.g_00595
OG0000139	Syab.g_02035	Pral.g_00553
OG0000140	Syab.g_02033	Pral.g_00552
OG0000141	Syab.g_01931	Pral.g_00481
OG0000142	Syab.g_01524, Syab.g_01873	Pral.g_01436
OG0000143	Syab.g_01870	Pral.g_01440
OG0000144	Syab.g_01757	Pral.g_01453
OG0000145	Syab.g_02120	Pral.g_01037
OG0000146	Syab.g_01393	Pral.g_01636
OG0000147	Syab.g_01394	Pral.g_01637
OG0000148	Syab.g_01682, Syab.g_01683	Pral.g_01505
OG0000149	Syab.g_01720	Pral.g_01535
OG0000150	Syab.g_01930	Pral.g_01545
OG0000151	Syab.g_01612	Pral.g_01789
OG0000152	Syab.g_01383	Pral.g_01627
OG0000153	Syab.g_01343	Pral.g_01578
OG0000154	Syab.g_01317	Pral.g_01595
OG0000155	Syab.g_01009	Pral.g_01390
OG0000156	Syab.g_00933	Pral.g_01292
OG0000157	Syab.g_00932	Pral.g_01291
OG0000158	Syab.g_00161	Pral.g_00287
OG0000159	Syab.g_00148	Pral.g_01263
OG0000160	Syab.g_00774	Pral.g_01160
OG0000161	Syab.g_00766	Pral.g_01154
OG0000162	Syab.g_00755	Pral.g_01148
OG0000163	Syab.g_02173	Pral.g_01106
OG0000164	Syab.g_02307	Pral.g_00131
OG0000165	Syab.g_02316	Pral.g_00138
OG0000166	Syab.g_00407	Pral.g_00206
OG0000167	Syab.g_00205	Pral.g_00277
OG0000168	Syab.g_00136	Pral.g_00288
OG0000169	Syab.g_00125	Pral.g_00298
OG0000170	Syab.g_00118	Pral.g_00301
OG0000171	Syab.g_00089	Pral.g_00321
OG0000172	Syab.g_00080	Pral.g_00328
OG0000173	Syab.g_00061	Pral.g_00343
OG0000174	Syab.g_02819	Pral.g_00375
OG0000175	Syab.g_02876	Pral.g_00387
OG0000176	Syab.g_00004	Pral.g_00414
OG0000177	Syab.g_00005	Pral.g_00415
OG0000178	Syab.g_00006	Pral.g_00416
OG0000179	Syab.g_00022	Pral.g_01028
OG0000180	Syab.g_00023	Pral.g_01027
OG0000181	Syab.g_00024	Pral.g_01026
OG0000182	Syab.g_00025	Pral.g_01025
OG0000183	Syab.g_00029	Pral.g_01021
OG0000184	Syab.g_02738	Pral.g_00996
OG0000185	Syab.g_02715	Pral.g_00993
OG0000186	Syab.g_02430	Pral.g_00984
OG0000187	Syab.g_02431	Pral.g_00983
OG0000188	Syab.g_02454	Pral.g_00965
OG0000189	Syab.g_02487	Pral.g_00951
OG0000190	Syab.g_00190, Syab.g_00139	Pral.g_00950
OG0000191	Syab.g_02522	Pral.g_00928
OG0000192	Syab.g_02528	Pral.g_00923
OG0000193	Syab.g_02565	Pral.g_00899
OG0000194	Syab.g_02568	Pral.g_00896
OG0000195	Syab.g_02570	Pral.g_00894
OG0000196	Syab.g_02581	Pral.g_00883
OG0000197	Syab.g_02582	Pral.g_00882
OG0000198	Syab.g_02583	Pral.g_00881
OG0000199	Syab.g_02591	Pral.g_00873
OG0000200	Syab.g_02611	Pral.g_00860
OG0000201	Syab.g_02628	Pral.g_00851
OG0000202	Syab.g_02629	Pral.g_00850
OG0000203	Syab.g_02630	Pral.g_00849
OG0000204	Syab.g_02631	Pral.g_00848
OG0000205	Syab.g_02638	Pral.g_00842
OG0000206	Syab.g_02674	Pral.g_00837
OG0000207	Syab.g_02677	Pral.g_00835
OG0000208	Syab.g_02678	Pral.g_00834
OG0000209	Syab.g_02698	Pral.g_00825
OG0000210	Syab.g_02699	Pral.g_00824
OG0000211	Syab.g_02374	Pral.g_00807
OG0000212	Syab.g_02365	Pral.g_00799
OG0000213	Syab.g_00332	Pral.g_00781
OG0000214	Syab.g_00312	Pral.g_00772
OG0000215	Syab.g_00281	Pral.g_00746
OG0000216	Syab.g_00277	Pral.g_00744
OG0000217	Syab.g_00273	Pral.g_00741
OG0000218	Syab.g_00271	Pral.g_00739
OG0000219	Syab.g_00270	Pral.g_00738
OG0000220	Syab.g_00269	Pral.g_00737
OG0000221	Syab.g_00257	Pral.g_00736
OG0000222	Syab.g_00244	Pral.g_00729
OG0000223	Syab.g_00226	Pral.g_00716
OG0000224	Syab.g_00223	Pral.g_00714
OG0000225	Syab.g_00538	Pral.g_00686
OG0000226	Syab.g_00542	Pral.g_00682
OG0000227	Syab.g_00544	Pral.g_00680
OG0000228	Syab.g_00550	Pral.g_00677
OG0000229	Syab.g_00583	Pral.g_00658
OG0000230	Syab.g_00585	Pral.g_00656
OG0000231	Syab.g_00613	Pral.g_00644
OG0000232	Syab.g_00631	Pral.g_00631
OG0000233	Syab.g_00645	Pral.g_00625
OG0000234	Syab.g_00699	Pral.g_00616
OG0000235	Syab.g_02095	Pral.g_00612
OG0000236	Syab.g_02111	Pral.g_00597
OG0000237	Syab.g_02129	Pral.g_00584
OG0000238	Syab.g_02134	Pral.g_00578
OG0000239	Syab.g_02151	Pral.g_00565
OG0000240	Syab.g_02152	Pral.g_00564
OG0000241	Syab.g_01884	Pral.g_00560
OG0000242	Syab.g_02043	Pral.g_00558
OG0000243	Syab.g_02025	Pral.g_00547
OG0000244	Syab.g_02017	Pral.g_00544
OG0000245	Syab.g_02015	Pral.g_00542
OG0000246	Syab.g_02011	Pral.g_00538
OG0000247	Syab.g_01999	Pral.g_00527
OG0000248	Syab.g_01996	Pral.g_00524
OG0000249	Syab.g_01994	Pral.g_00522
OG0000250	Syab.g_01988	Pral.g_00516
OG0000251	Syab.g_01961	Pral.g_00498
OG0000252	Syab.g_01958	Pral.g_00495
OG0000253	Syab.g_01956	Pral.g_00494
OG0000254	Syab.g_01925	Pral.g_00477
OG0000255	Syab.g_01912	Pral.g_00470
OG0000256	Syab.g_01890	Pral.g_00460
OG0000257	Syab.g_01885	Pral.g_01430
OG0000258	Syab.g_01861	Pral.g_01444
OG0000259	Syab.g_01538	Pral.g_01461
OG0000260	Syab.g_01544	Pral.g_01464
OG0000261	Syab.g_01556	Pral.g_01467
OG0000262	Syab.g_01561	Pral.g_01471
OG0000263	Syab.g_01035	Pral.g_01761
OG0000264	Syab.g_01173	Pral.g_01750
OG0000265	Syab.g_01773	Pral.g_01729
OG0000266	Syab.g_01667	Pral.g_01719
OG0000267	Syab.g_01433	Pral.g_01706
OG0000268	Syab.g_01432	Pral.g_01705
OG0000269	Syab.g_01650	Pral.g_01483
OG0000270	Syab.g_01657	Pral.g_01486
OG0000271	Syab.g_01279	Pral.g_01494
OG0000272	Syab.g_01280	Pral.g_01495
OG0000273	Syab.g_01699	Pral.g_01518
OG0000274	Syab.g_01700	Pral.g_01519
OG0000275	Syab.g_01704	Pral.g_01522
OG0000276	Syab.g_01712	Pral.g_01527
OG0000277	Syab.g_01713	Pral.g_01528
OG0000278	Syab.g_01716	Pral.g_01531
OG0000279	Syab.g_01724	Pral.g_01538
OG0000280	Syab.g_01736	Pral.g_01539
OG0000281	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546	Pral.g_01546
OG0000282	Syab.g_01631	Pral.g_01797
OG0000283	Syab.g_01418	Pral.g_01655
OG0000284	Syab.g_01413	Pral.g_01650
OG0000285	Syab.g_01402	Pral.g_01644
OG0000286	Syab.g_01384	Pral.g_01628
OG0000287	Syab.g_01350	Pral.g_00050
OG0000288	Syab.g_01318	Pral.g_01594
OG0000289	Syab.g_01303	Pral.g_01609
OG0000290	Syab.g_01213	Pral.g_01564
OG0000291	Syab.g_01211	Pral.g_01562
OG0000292	Syab.g_02907	Pral.g_01316
OG0000293	Syab.g_00946	Pral.g_01357
OG0000294	Syab.g_00947	Pral.g_01358
OG0000295	Syab.g_01001	Pral.g_01382
OG0000296	Syab.g_01003	Pral.g_01384
OG0000297	Syab.g_01016	Pral.g_01394
OG0000298	Syab.g_01017	Pral.g_01395
OG0000299	Syab.g_01047	Pral.g_01415
OG0000300	Syab.g_01054	Pral.g_01419
OG0000301	Syab.g_01055	Pral.g_01420
OG0000302	Syab.g_01056	Pral.g_01422
OG0000303	Syab.g_01149	Pral.g_01428
OG0000304	Syab.g_01143	Pral.g_00455
OG0000305	Syab.g_01208	Pral.g_01323
OG0000306	Syab.g_01819	Pral.g_01550
OG0000307	Syab.g_02078	Pral.g_01213
OG0000308	Syab.g_02076	Pral.g_01212
OG0000309	Syab.g_02071	Pral.g_01208
OG0000310	Syab.g_00817	Pral.g_01181
OG0000311	Syab.g_00811	Pral.g_01179
OG0000312	Syab.g_00793	Pral.g_01176
OG0000313	Syab.g_00769	Pral.g_01157
OG0000314	Syab.g_00736	Pral.g_01133
OG0000315	Syab.g_00726	Pral.g_01123
OG0000316	Syab.g_02189	Pral.g_01095
OG0000317	Syab.g_02251	Pral.g_00104
OG0000318	Syab.g_02257	Pral.g_00108
OG0000319	Syab.g_02291	Pral.g_00121
OG0000320	Syab.g_02293	Pral.g_00123
OG0000321	Syab.g_02294	Pral.g_00124
OG0000322	Syab.g_02295	Pral.g_00125
OG0000323	Syab.g_02310	Pral.g_00134
OG0000324	Syab.g_02341	Pral.g_00162
OG0000325	Syab.g_00368	Pral.g_00172
OG0000326	Syab.g_00375	Pral.g_00179
OG0000327	Syab.g_00402	Pral.g_00201
OG0000328	Syab.g_00403	Pral.g_00202
OG0000329	Syab.g_00420	Pral.g_00219
OG0000330	Syab.g_00421	Pral.g_00220
OG0000331	Syab.g_00422	Pral.g_00221
OG0000332	Syab.g_00437	Pral.g_00235
OG0000333	Syab.g_00440	Pral.g_00237
OG0000334	Syab.g_00450	Pral.g_00246
OG0000335	Syab.g_00455	Pral.g_00251
OG0000336	Syab.g_00459	Pral.g_00255
OG0000337	Syab.g_00210	Pral.g_00274
OG0000338	Syab.g_00207	Pral.g_00275
OG0000339	Syab.g_00201	Pral.g_00280
OG0000340	Syab.g_00135	Pral.g_00289
OG0000341	Syab.g_00157, Syab.g_00133	Pral.g_00291
OG0000342	Syab.g_00132	Pral.g_00292
OG0000343	Syab.g_00131	Pral.g_00293
OG0000344	Syab.g_00127, Syab.g_02424	Pral.g_00296
OG0000345	Syab.g_00117	Pral.g_00302
OG0000346	Syab.g_00112	Pral.g_00306
OG0000347	Syab.g_00087	Pral.g_00323
OG0000348	Syab.g_00076	Pral.g_00331
OG0000349	Syab.g_00054	Pral.g_00349
OG0000350	Syab.g_00382	Pral.g_00370
OG0000351	Syab.g_02879	Pral.g_00390
OG0000352	Syab.g_02880	Pral.g_00391
OG0000353	Syab.g_02913	Pral.g_00409
OG0000354	Syab.g_02140, Syab.g_00020	Pral.g_01677
OG0000355	Syab.g_00001	Pral.g_00411
OG0000356	Syab.g_00002	Pral.g_00412
OG0000357	Syab.g_00003	Pral.g_00413
OG0000358	Syab.g_00007	Pral.g_00417
OG0000359	Syab.g_00009	Pral.g_00418
OG0000360	Syab.g_00010	Pral.g_00419
OG0000361	Syab.g_00011	Pral.g_00420
OG0000362	Syab.g_00013	Pral.g_00422
OG0000363	Syab.g_00015	Pral.g_01030
OG0000364	Syab.g_00016	Pral.g_01029
OG0000365	Syab.g_00026	Pral.g_01024
OG0000366	Syab.g_00027	Pral.g_01023
OG0000367	Syab.g_00028	Pral.g_01022
OG0000368	Syab.g_00030	Pral.g_01020
OG0000369	Syab.g_00031	Pral.g_01019
OG0000370	Syab.g_00032	Pral.g_01018
OG0000371	Syab.g_00711, Syab.g_00039	Pral.g_01011
OG0000372	Syab.g_00045	Pral.g_01009
OG0000373	Syab.g_00046	Pral.g_01008
OG0000374	Syab.g_00047	Pral.g_01007
OG0000375	Syab.g_00050	Pral.g_01005
OG0000376	Syab.g_00052	Pral.g_01003
OG0000377	Syab.g_02748	Pral.g_00999
OG0000378	Syab.g_02717	Pral.g_00995
OG0000379	Syab.g_02714	Pral.g_00992
OG0000380	Syab.g_02432	Pral.g_00982
OG0000381	Syab.g_02435	Pral.g_00977
OG0000382	Syab.g_02453	Pral.g_00966
OG0000383	Syab.g_02459	Pral.g_00964
OG0000384	Syab.g_02460	Pral.g_00963
OG0000385	Syab.g_02461	Pral.g_00962
OG0000386	Syab.g_02462	Pral.g_00961
OG0000387	Syab.g_02491	Pral.g_00948
OG0000388	Syab.g_02495	Pral.g_00944
OG0000389	Syab.g_02499	Pral.g_00941
OG0000390	Syab.g_02516	Pral.g_00932
OG0000391	Syab.g_02521	Pral.g_00929
OG0000392	Syab.g_02527	Pral.g_00925
OG0000393	Syab.g_02530	Pral.g_00922
OG0000394	Syab.g_02531	Pral.g_00921
OG0000395	Syab.g_02532	Pral.g_00920
OG0000396	Syab.g_02535	Pral.g_00918
OG0000397	Syab.g_02537	Pral.g_00916
OG0000398	Syab.g_02542	Pral.g_00913
OG0000399	Syab.g_02543	Pral.g_00912
OG0000400	Syab.g_02544	Pral.g_00911
OG0000401	Syab.g_02545	Pral.g_00910
OG0000402	Syab.g_02547	Pral.g_00450
OG0000403	Syab.g_02548	Pral.g_00908
OG0000404	Syab.g_02550	Pral.g_00907
OG0000405	Syab.g_02562	Pral.g_00903
OG0000406	Syab.g_02566	Pral.g_00898
OG0000407	Syab.g_02567	Pral.g_00897
OG0000408	Syab.g_02569	Pral.g_00895
OG0000409	Syab.g_02571	Pral.g_00893
OG0000410	Syab.g_02572	Pral.g_00892
OG0000411	Syab.g_02573	Pral.g_00891
OG0000412	Syab.g_02574	Pral.g_00890
OG0000413	Syab.g_02576	Pral.g_00888
OG0000414	Syab.g_02577	Pral.g_00887
OG0000415	Syab.g_02578	Pral.g_00886
OG0000416	Syab.g_02579	Pral.g_00885
OG0000417	Syab.g_02580	Pral.g_00884
OG0000418	Syab.g_02585	Pral.g_00879
OG0000419	Syab.g_02587	Pral.g_00877
OG0000420	Syab.g_02589	Pral.g_00875
OG0000421	Syab.g_02595	Pral.g_00871
OG0000422	Syab.g_02596	Pral.g_00870
OG0000423	Syab.g_02597	Pral.g_00869
OG0000424	Syab.g_02598	Pral.g_00868
OG0000425	Syab.g_02599	Pral.g_00867
OG0000426	Syab.g_02600	Pral.g_00866
OG0000427	Syab.g_02601	Pral.g_00865
OG0000428	Syab.g_02604	Pral.g_00863
OG0000429	Syab.g_02608	Pral.g_00862
OG0000430	Syab.g_02610	Pral.g_00861
OG0000431	Syab.g_02613	Pral.g_00859
OG0000432	Syab.g_02619	Pral.g_00855
OG0000433	Syab.g_02622	Pral.g_00854
OG0000434	Syab.g_02623	Pral.g_00853
OG0000435	Syab.g_02625	Pral.g_00852
OG0000436	Syab.g_02632	Pral.g_00847
OG0000437	Syab.g_02633	Pral.g_00846
OG0000438	Syab.g_02634	Pral.g_00845
OG0000439	Syab.g_02636	Pral.g_00844
OG0000440	Syab.g_02637	Pral.g_00843
OG0000441	Syab.g_02641	Pral.g_00840
OG0000442	Syab.g_02642	Pral.g_00839
OG0000443	Syab.g_02668	Pral.g_00838
OG0000444	Syab.g_02681	Pral.g_00833
OG0000445	Syab.g_02682	Pral.g_00832
OG0000446	Syab.g_02684	Pral.g_00831
OG0000447	Syab.g_02687	Pral.g_00830
OG0000448	Syab.g_02688	Pral.g_00829
OG0000449	Syab.g_02689	Pral.g_00828
OG0000450	Syab.g_02695	Pral.g_00827
OG0000451	Syab.g_02696	Pral.g_00826
OG0000452	Syab.g_02701	Pral.g_00823
OG0000453	Syab.g_02702	Pral.g_00822
OG0000454	Syab.g_02703	Pral.g_00821
OG0000455	Syab.g_02704	Pral.g_00820
OG0000456	Syab.g_02705	Pral.g_00819
OG0000457	Syab.g_02707	Pral.g_00817
OG0000458	Syab.g_02708	Pral.g_00816
OG0000459	Syab.g_02709	Pral.g_00815
OG0000460	Syab.g_02372	Pral.g_00805
OG0000461	Syab.g_00356	Pral.g_00796
OG0000462	Syab.g_00352	Pral.g_00795
OG0000463	Syab.g_00351	Pral.g_00794
OG0000464	Syab.g_00350	Pral.g_00793
OG0000465	Syab.g_00349	Pral.g_00792
OG0000466	Syab.g_00343	Pral.g_00789
OG0000467	Syab.g_00341	Pral.g_00788
OG0000468	Syab.g_00336	Pral.g_00785
OG0000469	Syab.g_00318	Pral.g_00777
OG0000470	Syab.g_00316	Pral.g_00775
OG0000471	Syab.g_00315	Pral.g_00774
OG0000472	Syab.g_00313	Pral.g_00773
OG0000473	Syab.g_00311	Pral.g_00771
OG0000474	Syab.g_00310	Pral.g_00770
OG0000475	Syab.g_00309	Pral.g_00769
OG0000476	Syab.g_00307	Pral.g_00767
OG0000477	Syab.g_00301	Pral.g_00764
OG0000478	Syab.g_00300	Pral.g_00763
OG0000479	Syab.g_00299	Pral.g_00762
OG0000480	Syab.g_00292	Pral.g_00756
OG0000481	Syab.g_00290	Pral.g_00754
OG0000482	Syab.g_00289	Pral.g_00753
OG0000483	Syab.g_00285	Pral.g_00750
OG0000484	Syab.g_00284	Pral.g_00749
OG0000485	Syab.g_00283	Pral.g_00748
OG0000486	Syab.g_00282	Pral.g_00747
OG0000487	Syab.g_00276	Pral.g_00743
OG0000488	Syab.g_00272	Pral.g_00740
OG0000489	Syab.g_00256	Pral.g_00735
OG0000490	Syab.g_00247	Pral.g_00731
OG0000491	Syab.g_00245	Pral.g_00730
OG0000492	Syab.g_00243	Pral.g_00728
OG0000493	Syab.g_00242	Pral.g_00727
OG0000494	Syab.g_00241	Pral.g_00726
OG0000495	Syab.g_00240	Pral.g_00725
OG0000496	Syab.g_00239	Pral.g_00724
OG0000497	Syab.g_00238	Pral.g_00723
OG0000498	Syab.g_00237	Pral.g_00722
OG0000499	Syab.g_00236	Pral.g_00721
OG0000500	Syab.g_00235	Pral.g_00720
OG0000501	Syab.g_00232	Pral.g_00718
OG0000502	Syab.g_00224	Pral.g_00715
OG0000503	Syab.g_00523	Pral.g_00698
OG0000504	Syab.g_00525	Pral.g_00696
OG0000505	Syab.g_00526	Pral.g_00695
OG0000506	Syab.g_00528	Pral.g_00694
OG0000507	Syab.g_00533	Pral.g_00691
OG0000508	Syab.g_00537	Pral.g_00687
OG0000509	Syab.g_00539	Pral.g_00685
OG0000510	Syab.g_00540	Pral.g_00684
OG0000511	Syab.g_00541	Pral.g_00683
OG0000512	Syab.g_00543	Pral.g_00681
OG0000513	Syab.g_00555	Pral.g_00673
OG0000514	Syab.g_00566	Pral.g_00663
OG0000515	Syab.g_00567	Pral.g_00662
OG0000516	Syab.g_00575	Pral.g_00661
OG0000517	Syab.g_00582	Pral.g_00659
OG0000518	Syab.g_00594	Pral.g_00647
OG0000519	Syab.g_00610	Pral.g_00646
OG0000520	Syab.g_00611	Pral.g_00645
OG0000521	Syab.g_00624	Pral.g_00635
OG0000522	Syab.g_00626	Pral.g_00633
OG0000523	Syab.g_00627	Pral.g_00632
OG0000524	Syab.g_00640	Pral.g_00627
OG0000525	Syab.g_00671	Pral.g_00623
OG0000526	Syab.g_00689	Pral.g_00622
OG0000527	Syab.g_00695	Pral.g_00619
OG0000528	Syab.g_02092	Pral.g_00613
OG0000529	Syab.g_02097	Pral.g_00610
OG0000530	Syab.g_02100	Pral.g_00607
OG0000531	Syab.g_02101	Pral.g_00606
OG0000532	Syab.g_02104	Pral.g_00603
OG0000533	Syab.g_02106	Pral.g_00602
OG0000534	Syab.g_02107	Pral.g_00601
OG0000535	Syab.g_02108	Pral.g_00600
OG0000536	Syab.g_02109	Pral.g_00599
OG0000537	Syab.g_02110	Pral.g_00598
OG0000538	Syab.g_02122	Pral.g_00590
OG0000539	Syab.g_02123	Pral.g_00589
OG0000540	Syab.g_02124	Pral.g_00588
OG0000541	Syab.g_02125	Pral.g_00587
OG0000542	Syab.g_02128	Pral.g_00585
OG0000543	Syab.g_02130	Pral.g_00583
OG0000544	Syab.g_02131	Pral.g_00582
OG0000545	Syab.g_02133	Pral.g_00580
OG0000546	Syab.g_02135	Pral.g_00577
OG0000547	Syab.g_02137	Pral.g_00575
OG0000548	Syab.g_02138	Pral.g_00574
OG0000549	Syab.g_02144	Pral.g_00571
OG0000550	Syab.g_02149	Pral.g_00566
OG0000551	Syab.g_02153	Pral.g_00563
OG0000552	Syab.g_02154	Pral.g_00562
OG0000553	Syab.g_02046	Pral.g_00561
OG0000554	Syab.g_02040	Pral.g_00556
OG0000555	Syab.g_02026	Pral.g_00548
OG0000556	Syab.g_02022	Pral.g_00546
OG0000557	Syab.g_02019	Pral.g_00545
OG0000558	Syab.g_02016	Pral.g_00543
OG0000559	Syab.g_02012	Pral.g_00539
OG0000560	Syab.g_02009	Pral.g_00536
OG0000561	Syab.g_02008	Pral.g_00535
OG0000562	Syab.g_02007	Pral.g_00534
OG0000563	Syab.g_02006	Pral.g_00533
OG0000564	Syab.g_02005	Pral.g_00532
OG0000565	Syab.g_02001	Pral.g_00529
OG0000566	Syab.g_01997	Pral.g_00525
OG0000567	Syab.g_01993	Pral.g_00521
OG0000568	Syab.g_01991	Pral.g_00520
OG0000569	Syab.g_01990	Pral.g_00519
OG0000570	Syab.g_01989	Pral.g_00518
OG0000571	Syab.g_01986	Pral.g_00515
OG0000572	Syab.g_01969	Pral.g_00503
