Orthogroup	Syab	Pras
OG0000034	Syab.g_00900, Syab.g_02560	Pras.g_00219
OG0000035	Syab.g_00776, Syab.g_00778	Pras.g_00350
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Pras.g_00960
OG0000038	Syab.g_02759, Syab.g_02761	Pras.g_00795
OG0000039	Syab.g_02791	Pras.g_01562
OG0000040	Syab.g_02853	Pras.g_00036
OG0000041	Syab.g_01086, Syab.g_02804, Syab.g_02333	Pras.g_00597
OG0000042	Syab.g_01019, Syab.g_00099	Pras.g_00750
OG0000043	Syab.g_02802	Pras.g_00153
OG0000045	Syab.g_01787	Pras.g_01224
OG0000045	Syab.g_00871	Pras.g_00509
OG0000047	Syab.g_00876	Pras.g_01182, Pras.g_01263
OG0000048	Syab.g_00308	Pras.g_01227
OG0000053	Syab.g_00746	Pras.g_00886, Pras.g_00370
OG0000054	Syab.g_01932	Pras.g_01482
OG0000055	Syab.g_01255	Pras.g_01682
OG0000056	Syab.g_01452	Pras.g_00881
OG0000057	Syab.g_01200	Pras.g_01574
OG0000059	Syab.g_00397	Pras.g_00637
OG0000061	Syab.g_00969	Pras.g_00056
OG0000062	Syab.g_02234	Pras.g_00431
OG0000063	Syab.g_00040	Pras.g_00875
OG0000065	Syab.g_02500, Syab.g_01768	Pras.g_00958
OG0000066	Syab.g_01516, Syab.g_02031	Pras.g_01416
OG0000067	Syab.g_01659	Pras.g_01701, Pras.g_00311
OG0000068	Syab.g_02087	Pras.g_00250
OG0000070	Syab.g_00614	Pras.g_01328
OG0000071	Syab.g_00915	Pras.g_00209
OG0000072	Syab.g_02593	Pras.g_01022
OG0000073	Syab.g_02119	Pras.g_01377
OG0000075	Syab.g_00202	Pras.g_00719
OG0000076	Syab.g_00113	Pras.g_00883, Pras.g_00743
OG0000077	Syab.g_02446	Pras.g_00929
OG0000078	Syab.g_02366	Pras.g_01091
OG0000079	Syab.g_00340	Pras.g_01104
OG0000080	Syab.g_00140	Pras.g_00279, Pras.g_00277
OG0000081	Syab.g_01793	Pras.g_01408
OG0000082	Syab.g_01971	Pras.g_01462
OG0000084	Syab.g_00781	Pras.g_00346
OG0000085	Syab.g_02243	Pras.g_00543
OG0000086	Syab.g_02468	Pras.g_00939
OG0000087	Syab.g_02551	Pras.g_00990
OG0000088	Syab.g_02586	Pras.g_01017
OG0000089	Syab.g_00551	Pras.g_01209
OG0000090	Syab.g_02041	Pras.g_01410
OG0000091	Syab.g_01866	Pras.g_01518
OG0000093	Syab.g_01582	Pras.g_01827
OG0000094	Syab.g_01306	Pras.g_01915
OG0000095	Syab.g_01210	Pras.g_01934
OG0000097	Syab.g_01051	Pras.g_00098
OG0000098	Syab.g_01553	Pras.g_00232
OG0000099	Syab.g_00230	Pras.g_00294
OG0000100	Syab.g_01694	Pras.g_00427
OG0000101	Syab.g_00446	Pras.g_00687
OG0000102	Syab.g_00104	Pras.g_00748
OG0000103	Syab.g_02895, Syab.g_01296	Pras.g_00829
OG0000104	Syab.g_02910	Pras.g_00838
OG0000105	Syab.g_00303	Pras.g_01126
OG0000106	Syab.g_01817	Pras.g_01223
OG0000107	Syab.g_00367	Pras.g_01239
OG0000108	Syab.g_02096	Pras.g_01358
OG0000109	Syab.g_02112	Pras.g_01372
OG0000110	Syab.g_01984	Pras.g_01451
OG0000111	Syab.g_01201	Pras.g_01575
OG0000112	Syab.g_01392	Pras.g_01665
OG0000113	Syab.g_01689	Pras.g_01723
OG0000114	Syab.g_02656, Syab.g_01633	Pras.g_01801
OG0000115	Syab.g_00748	Pras.g_01994
OG0000116	Syab.g_00945	Pras.g_00046
OG0000117	Syab.g_01018	Pras.g_00150
OG0000118	Syab.g_00897	Pras.g_00221, Pras.g_00222
OG0000120	Syab.g_00229	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Syab.g_00772	Pras.g_00352
OG0000122	Syab.g_01839	Pras.g_00391
OG0000123	Syab.g_00454	Pras.g_00694
OG0000124	Syab.g_00088	Pras.g_00759
OG0000125	Syab.g_02763	Pras.g_00797
OG0000126	Syab.g_02908	Pras.g_00837
OG0000128	Syab.g_00012	Pras.g_00853
OG0000129	Syab.g_02749	Pras.g_00897
OG0000130	Syab.g_02434	Pras.g_00921
OG0000131	Syab.g_02564	Pras.g_00996
OG0000132	Syab.g_02584	Pras.g_01015
OG0000133	Syab.g_01387	Pras.g_01174
OG0000134	Syab.g_00554	Pras.g_01210
OG0000135	Syab.g_02815	Pras.g_01236
OG0000136	Syab.g_00588	Pras.g_01319
OG0000137	Syab.g_00697	Pras.g_01353
OG0000138	Syab.g_02113	Pras.g_01373
OG0000139	Syab.g_02035	Pras.g_01414
OG0000140	Syab.g_02033	Pras.g_01415
OG0000141	Syab.g_01931	Pras.g_01483
OG0000142	Syab.g_01524, Syab.g_01873	Pras.g_01511
OG0000143	Syab.g_01870	Pras.g_01515
OG0000144	Syab.g_01757	Pras.g_01528
OG0000145	Syab.g_02120	Pras.g_01664
OG0000146	Syab.g_01393	Pras.g_01666
OG0000147	Syab.g_01394	Pras.g_01667
OG0000148	Syab.g_01682, Syab.g_01683	Pras.g_01717
OG0000149	Syab.g_01720	Pras.g_01747
OG0000150	Syab.g_01930	Pras.g_01755
OG0000151	Syab.g_01612	Pras.g_01811
OG0000152	Syab.g_01383	Pras.g_01859
OG0000153	Syab.g_01343	Pras.g_01878
OG0000154	Syab.g_01317	Pras.g_01908
OG0000155	Syab.g_01009	Pras.g_00076
OG0000156	Syab.g_00933	Pras.g_00197
OG0000157	Syab.g_00932	Pras.g_00198
OG0000158	Syab.g_00161	Pras.g_00289
OG0000160	Syab.g_00774	Pras.g_00351
OG0000161	Syab.g_00766	Pras.g_00357
OG0000162	Syab.g_00755	Pras.g_00363
OG0000163	Syab.g_02173	Pras.g_00399
OG0000164	Syab.g_02307	Pras.g_00574
OG0000165	Syab.g_02316	Pras.g_00581
OG0000166	Syab.g_00407	Pras.g_00651
OG0000167	Syab.g_00205	Pras.g_00717
OG0000168	Syab.g_00136	Pras.g_00727
OG0000169	Syab.g_00125	Pras.g_00737
OG0000170	Syab.g_00118	Pras.g_00739
OG0000171	Syab.g_00089	Pras.g_00758
OG0000172	Syab.g_00080	Pras.g_00768
OG0000173	Syab.g_00061	Pras.g_00783
OG0000174	Syab.g_02819	Pras.g_00811, Pras.g_00810
OG0000175	Syab.g_02876	Pras.g_00821
OG0000176	Syab.g_00004	Pras.g_00846
OG0000177	Syab.g_00005	Pras.g_00847
OG0000178	Syab.g_00006	Pras.g_00848
OG0000179	Syab.g_00022	Pras.g_00858
OG0000180	Syab.g_00023	Pras.g_00859
OG0000181	Syab.g_00024	Pras.g_00860
OG0000182	Syab.g_00025	Pras.g_00861
OG0000183	Syab.g_00029	Pras.g_00865
OG0000184	Syab.g_02738	Pras.g_00899
OG0000185	Syab.g_02715	Pras.g_00902
OG0000186	Syab.g_02430	Pras.g_00916
OG0000187	Syab.g_02431	Pras.g_00917
OG0000188	Syab.g_02454	Pras.g_00933
OG0000189	Syab.g_02487	Pras.g_00947
OG0000190	Syab.g_00190, Syab.g_00139	Pras.g_00948
OG0000191	Syab.g_02522	Pras.g_00968
OG0000192	Syab.g_02528	Pras.g_00972
OG0000193	Syab.g_02565	Pras.g_00997
OG0000194	Syab.g_02568	Pras.g_01000
OG0000195	Syab.g_02570	Pras.g_01002
OG0000196	Syab.g_02581	Pras.g_01012
OG0000197	Syab.g_02582	Pras.g_01013
OG0000198	Syab.g_02583	Pras.g_01014
OG0000199	Syab.g_02591	Pras.g_01021
OG0000200	Syab.g_02611	Pras.g_01035
OG0000201	Syab.g_02628	Pras.g_01043
OG0000202	Syab.g_02629	Pras.g_01044
OG0000203	Syab.g_02630	Pras.g_01045
OG0000204	Syab.g_02631	Pras.g_01046
OG0000205	Syab.g_02638	Pras.g_01053
OG0000206	Syab.g_02674	Pras.g_01058, Pras.g_01059
OG0000207	Syab.g_02677	Pras.g_01061
OG0000208	Syab.g_02678	Pras.g_01062
OG0000209	Syab.g_02698	Pras.g_01071
OG0000210	Syab.g_02699	Pras.g_01072
OG0000211	Syab.g_02374	Pras.g_01085
OG0000212	Syab.g_02365	Pras.g_01092
OG0000213	Syab.g_00332	Pras.g_01109
OG0000214	Syab.g_00312	Pras.g_01119
OG0000215	Syab.g_00281	Pras.g_01144
OG0000216	Syab.g_00277	Pras.g_01145
OG0000217	Syab.g_00273	Pras.g_01148
OG0000218	Syab.g_00271	Pras.g_01150
OG0000219	Syab.g_00270	Pras.g_01151
OG0000220	Syab.g_00269	Pras.g_01152
OG0000221	Syab.g_00257	Pras.g_01153
OG0000222	Syab.g_00244	Pras.g_01162
OG0000223	Syab.g_00226	Pras.g_01175
OG0000224	Syab.g_00223	Pras.g_01177
OG0000225	Syab.g_00538	Pras.g_01199
OG0000226	Syab.g_00542	Pras.g_01203
OG0000227	Syab.g_00544	Pras.g_01205
OG0000228	Syab.g_00550	Pras.g_01208
OG0000229	Syab.g_00583	Pras.g_01314
OG0000230	Syab.g_00585	Pras.g_01316
OG0000231	Syab.g_00613	Pras.g_01327
OG0000232	Syab.g_00631	Pras.g_01335
OG0000233	Syab.g_00645	Pras.g_01341
OG0000234	Syab.g_00699	Pras.g_01354
OG0000235	Syab.g_02095	Pras.g_01357
OG0000236	Syab.g_02111	Pras.g_01371
OG0000237	Syab.g_02129	Pras.g_01384
OG0000238	Syab.g_02134	Pras.g_01390
OG0000239	Syab.g_02151	Pras.g_01402
OG0000240	Syab.g_02152	Pras.g_01403
OG0000241	Syab.g_01884	Pras.g_01407
OG0000242	Syab.g_02043	Pras.g_01409
OG0000243	Syab.g_02025	Pras.g_01420
OG0000244	Syab.g_02017	Pras.g_01423
OG0000245	Syab.g_02015	Pras.g_01425
OG0000246	Syab.g_02011	Pras.g_01429
OG0000247	Syab.g_01999	Pras.g_01439
OG0000248	Syab.g_01996	Pras.g_01441
OG0000249	Syab.g_01994	Pras.g_01443
OG0000250	Syab.g_01988	Pras.g_01448
OG0000251	Syab.g_01961	Pras.g_01467
OG0000252	Syab.g_01958	Pras.g_01470
OG0000253	Syab.g_01956	Pras.g_01471
OG0000254	Syab.g_01925	Pras.g_01487
OG0000255	Syab.g_01912	Pras.g_01493
OG0000256	Syab.g_01890	Pras.g_01503
OG0000257	Syab.g_01885	Pras.g_01506
OG0000258	Syab.g_01861	Pras.g_01519
OG0000259	Syab.g_01538	Pras.g_01536
OG0000260	Syab.g_01544	Pras.g_01539
OG0000261	Syab.g_01556	Pras.g_01541
OG0000262	Syab.g_01561	Pras.g_00327, Pras.g_01545
OG0000263	Syab.g_01035	Pras.g_01557
OG0000264	Syab.g_01173	Pras.g_01567
OG0000265	Syab.g_01773	Pras.g_01606
OG0000266	Syab.g_01667	Pras.g_01616
OG0000267	Syab.g_01433	Pras.g_01627
OG0000268	Syab.g_01432	Pras.g_01628
OG0000269	Syab.g_01650	Pras.g_01696
OG0000270	Syab.g_01657	Pras.g_01699
OG0000271	Syab.g_01279	Pras.g_01707
OG0000272	Syab.g_01280	Pras.g_01708
OG0000273	Syab.g_01699	Pras.g_01731
OG0000274	Syab.g_01700	Pras.g_01732
OG0000275	Syab.g_01704	Pras.g_01734
OG0000276	Syab.g_01712	Pras.g_01739
OG0000277	Syab.g_01713	Pras.g_01740
OG0000278	Syab.g_01716	Pras.g_01743
OG0000279	Syab.g_01724	Pras.g_01750
OG0000280	Syab.g_01736	Pras.g_01751
OG0000281	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546	Pras.g_01756
OG0000282	Syab.g_01631	Pras.g_01803
OG0000283	Syab.g_01418	Pras.g_01836
OG0000284	Syab.g_01413	Pras.g_01841
OG0000285	Syab.g_01402	Pras.g_01846
OG0000286	Syab.g_01384	Pras.g_01858
OG0000287	Syab.g_01350	Pras.g_01875
OG0000288	Syab.g_01318	Pras.g_01907
OG0000289	Syab.g_01303	Pras.g_01918
OG0000290	Syab.g_01213	Pras.g_01931
OG0000291	Syab.g_01211	Pras.g_01933
OG0000292	Syab.g_02907	Pras.g_01982
OG0000293	Syab.g_00946	Pras.g_00047
OG0000294	Syab.g_00947	Pras.g_00048
OG0000295	Syab.g_01001	Pras.g_00068
OG0000296	Syab.g_01003	Pras.g_00070
OG0000297	Syab.g_01016	Pras.g_00078
OG0000298	Syab.g_01017	Pras.g_00079
OG0000299	Syab.g_01047	Pras.g_00096, Pras.g_00097
OG0000300	Syab.g_01054	Pras.g_00100
OG0000301	Syab.g_01055	Pras.g_00101
OG0000302	Syab.g_01056	Pras.g_00103
OG0000303	Syab.g_01149	Pras.g_00110
OG0000304	Syab.g_01143	Pras.g_00114
OG0000305	Syab.g_01208	Pras.g_00242
OG0000306	Syab.g_01819	Pras.g_00245
OG0000307	Syab.g_02078	Pras.g_00259
OG0000308	Syab.g_02076	Pras.g_00260
OG0000309	Syab.g_02071	Pras.g_00264
OG0000310	Syab.g_00817	Pras.g_00335
OG0000311	Syab.g_00811	Pras.g_00337
OG0000312	Syab.g_00793	Pras.g_00340
OG0000313	Syab.g_00769	Pras.g_00354
OG0000314	Syab.g_00736	Pras.g_00377
OG0000315	Syab.g_00726	Pras.g_00388
OG0000316	Syab.g_02189	Pras.g_00410
OG0000317	Syab.g_02251	Pras.g_00548
OG0000318	Syab.g_02257	Pras.g_00551
OG0000319	Syab.g_02291	Pras.g_00564
OG0000320	Syab.g_02293	Pras.g_00566
OG0000321	Syab.g_02294	Pras.g_00567
OG0000322	Syab.g_02295	Pras.g_00568
OG0000323	Syab.g_02310	Pras.g_00577
OG0000324	Syab.g_02341	Pras.g_00604
OG0000325	Syab.g_00368	Pras.g_00614
OG0000326	Syab.g_00375	Pras.g_00620
OG0000327	Syab.g_00402	Pras.g_00646
OG0000328	Syab.g_00403	Pras.g_00647
OG0000329	Syab.g_00420	Pras.g_00664
OG0000330	Syab.g_00421	Pras.g_00665
OG0000331	Syab.g_00422	Pras.g_00666
OG0000332	Syab.g_00437	Pras.g_00680
OG0000333	Syab.g_00440	Pras.g_00682
OG0000334	Syab.g_00450	Pras.g_00690
OG0000335	Syab.g_00455	Pras.g_00695
OG0000336	Syab.g_00459	Pras.g_00699
OG0000337	Syab.g_00210	Pras.g_00715
OG0000338	Syab.g_00207	Pras.g_00716
OG0000339	Syab.g_00201	Pras.g_00720
OG0000340	Syab.g_00135	Pras.g_00728
OG0000341	Syab.g_00157, Syab.g_00133	Pras.g_00730
OG0000342	Syab.g_00132	Pras.g_00731
OG0000343	Syab.g_00131	Pras.g_00732
OG0000344	Syab.g_00127, Syab.g_02424	Pras.g_00735
OG0000345	Syab.g_00117	Pras.g_00740
OG0000346	Syab.g_00112	Pras.g_00744
OG0000347	Syab.g_00087	Pras.g_00761
OG0000348	Syab.g_00076	Pras.g_00771
OG0000349	Syab.g_00054	Pras.g_00788
OG0000350	Syab.g_00382	Pras.g_00806, Pras.g_00131
OG0000351	Syab.g_02879	Pras.g_00824
OG0000352	Syab.g_02880	Pras.g_00825
OG0000353	Syab.g_02913	Pras.g_00841
OG0000355	Syab.g_00001	Pras.g_00843
OG0000356	Syab.g_00002	Pras.g_00844
OG0000357	Syab.g_00003	Pras.g_00845
OG0000358	Syab.g_00007	Pras.g_00849
OG0000359	Syab.g_00009	Pras.g_00850
OG0000360	Syab.g_00010	Pras.g_00851
OG0000361	Syab.g_00011	Pras.g_00852
OG0000362	Syab.g_00013	Pras.g_00854
OG0000363	Syab.g_00015	Pras.g_00856
OG0000364	Syab.g_00016	Pras.g_00857
OG0000365	Syab.g_00026	Pras.g_00862
OG0000366	Syab.g_00027	Pras.g_00863
OG0000367	Syab.g_00028	Pras.g_00864
OG0000368	Syab.g_00030	Pras.g_00866
OG0000369	Syab.g_00031	Pras.g_00867
OG0000370	Syab.g_00032	Pras.g_00868
OG0000371	Syab.g_00711, Syab.g_00039	Pras.g_00874
OG0000372	Syab.g_00045	Pras.g_00877
OG0000373	Syab.g_00046	Pras.g_00878
OG0000374	Syab.g_00047	Pras.g_00879
OG0000375	Syab.g_00050	Pras.g_00893
OG0000376	Syab.g_00052	Pras.g_00895
OG0000377	Syab.g_02748	Pras.g_00898
OG0000378	Syab.g_02717	Pras.g_00900
OG0000379	Syab.g_02714	Pras.g_00903
OG0000380	Syab.g_02432	Pras.g_00918
OG0000381	Syab.g_02435	Pras.g_00922
OG0000382	Syab.g_02453	Pras.g_00932
OG0000383	Syab.g_02459	Pras.g_00934
OG0000384	Syab.g_02460	Pras.g_00935
OG0000385	Syab.g_02461	Pras.g_00936
OG0000386	Syab.g_02462	Pras.g_00937
OG0000387	Syab.g_02491	Pras.g_00950
OG0000388	Syab.g_02495	Pras.g_00953
OG0000389	Syab.g_02499	Pras.g_00957
OG0000390	Syab.g_02516	Pras.g_00964
OG0000391	Syab.g_02521	Pras.g_00967
OG0000392	Syab.g_02527	Pras.g_00971
OG0000393	Syab.g_02530	Pras.g_00973
OG0000394	Syab.g_02531	Pras.g_00974
OG0000395	Syab.g_02532	Pras.g_00975
OG0000396	Syab.g_02535	Pras.g_00978
OG0000397	Syab.g_02537	Pras.g_00980
OG0000398	Syab.g_02542	Pras.g_00982
OG0000399	Syab.g_02543	Pras.g_00983
OG0000400	Syab.g_02544	Pras.g_00984
OG0000401	Syab.g_02545	Pras.g_00985
OG0000402	Syab.g_02547	Pras.g_00987
OG0000403	Syab.g_02548	Pras.g_00988
OG0000404	Syab.g_02550	Pras.g_00989
OG0000405	Syab.g_02562	Pras.g_00993
OG0000406	Syab.g_02566	Pras.g_00998
OG0000407	Syab.g_02567	Pras.g_00999
OG0000408	Syab.g_02569	Pras.g_01001
OG0000409	Syab.g_02571	Pras.g_01003
OG0000410	Syab.g_02572	Pras.g_01004
OG0000411	Syab.g_02573	Pras.g_01005
OG0000412	Syab.g_02574	Pras.g_01006
OG0000413	Syab.g_02576	Pras.g_01007
OG0000414	Syab.g_02577	Pras.g_01008
OG0000415	Syab.g_02578	Pras.g_01009
OG0000416	Syab.g_02579	Pras.g_01010
OG0000417	Syab.g_02580	Pras.g_01011
OG0000418	Syab.g_02585	Pras.g_01016
OG0000419	Syab.g_02587	Pras.g_01018
OG0000420	Syab.g_02589	Pras.g_01019
OG0000421	Syab.g_02595	Pras.g_01024
OG0000422	Syab.g_02596	Pras.g_01025
OG0000423	Syab.g_02597	Pras.g_01026
OG0000424	Syab.g_02598	Pras.g_01027
OG0000425	Syab.g_02599	Pras.g_01028
OG0000426	Syab.g_02600	Pras.g_01029
OG0000427	Syab.g_02601	Pras.g_01030
OG0000428	Syab.g_02604	Pras.g_01032
OG0000429	Syab.g_02608	Pras.g_01033
OG0000430	Syab.g_02610	Pras.g_01034
OG0000431	Syab.g_02613	Pras.g_01036
OG0000432	Syab.g_02619	Pras.g_01039
OG0000433	Syab.g_02622	Pras.g_01040
OG0000434	Syab.g_02623	Pras.g_01041
OG0000435	Syab.g_02625	Pras.g_01042
OG0000436	Syab.g_02632	Pras.g_01047
OG0000437	Syab.g_02633	Pras.g_01048
OG0000438	Syab.g_02634	Pras.g_01049
OG0000439	Syab.g_02636	Pras.g_01051
OG0000440	Syab.g_02637	Pras.g_01052
OG0000441	Syab.g_02641	Pras.g_01055
OG0000442	Syab.g_02642	Pras.g_01056
OG0000443	Syab.g_02668	Pras.g_01057
OG0000444	Syab.g_02681	Pras.g_01063
OG0000445	Syab.g_02682	Pras.g_01064
OG0000446	Syab.g_02684	Pras.g_01065
OG0000447	Syab.g_02687	Pras.g_01066
OG0000448	Syab.g_02688	Pras.g_01067
OG0000449	Syab.g_02689	Pras.g_01068
OG0000450	Syab.g_02695	Pras.g_01069
OG0000451	Syab.g_02696	Pras.g_01070
OG0000452	Syab.g_02701	Pras.g_01073
OG0000453	Syab.g_02702	Pras.g_01074
OG0000454	Syab.g_02703	Pras.g_01075
OG0000455	Syab.g_02704	Pras.g_01076
OG0000456	Syab.g_02705	Pras.g_01077
OG0000457	Syab.g_02707	Pras.g_01078
OG0000458	Syab.g_02708	Pras.g_01079
OG0000459	Syab.g_02709	Pras.g_01080
OG0000460	Syab.g_02372	Pras.g_01087
OG0000461	Syab.g_00356	Pras.g_01094
OG0000462	Syab.g_00352	Pras.g_01096
OG0000463	Syab.g_00351	Pras.g_01097
OG0000464	Syab.g_00350	Pras.g_01098
OG0000465	Syab.g_00349	Pras.g_01099
OG0000466	Syab.g_00343	Pras.g_01102
OG0000467	Syab.g_00341	Pras.g_01103
OG0000468	Syab.g_00336	Pras.g_01105
OG0000469	Syab.g_00318	Pras.g_01114
OG0000470	Syab.g_00316	Pras.g_01116
OG0000471	Syab.g_00315	Pras.g_01117
OG0000472	Syab.g_00313	Pras.g_01118
OG0000473	Syab.g_00311	Pras.g_01120
OG0000474	Syab.g_00310	Pras.g_01121
OG0000475	Syab.g_00309	Pras.g_01122
OG0000476	Syab.g_00307	Pras.g_01123
OG0000477	Syab.g_00301	Pras.g_01127
OG0000478	Syab.g_00300	Pras.g_01128
OG0000479	Syab.g_00299	Pras.g_01129
OG0000480	Syab.g_00292	Pras.g_01134
OG0000481	Syab.g_00290	Pras.g_01136
OG0000482	Syab.g_00289	Pras.g_01137
OG0000483	Syab.g_00285	Pras.g_01140
OG0000484	Syab.g_00284	Pras.g_01141
OG0000485	Syab.g_00283	Pras.g_01142
OG0000486	Syab.g_00282	Pras.g_01143
OG0000487	Syab.g_00276	Pras.g_01146
OG0000488	Syab.g_00272	Pras.g_01149
OG0000489	Syab.g_00256	Pras.g_01155
OG0000490	Syab.g_00247	Pras.g_01160
OG0000491	Syab.g_00245	Pras.g_01161
OG0000492	Syab.g_00243	Pras.g_01163
OG0000493	Syab.g_00242	Pras.g_01164
OG0000494	Syab.g_00241	Pras.g_01165
OG0000495	Syab.g_00240	Pras.g_01166
OG0000496	Syab.g_00239	Pras.g_01167
OG0000497	Syab.g_00238	Pras.g_01168
OG0000498	Syab.g_00237	Pras.g_01169
OG0000499	Syab.g_00236	Pras.g_01170
OG0000500	Syab.g_00235	Pras.g_01171
OG0000501	Syab.g_00232	Pras.g_01173
OG0000502	Syab.g_00224	Pras.g_01176
OG0000503	Syab.g_00523	Pras.g_01187
OG0000504	Syab.g_00525	Pras.g_01188
OG0000505	Syab.g_00526	Pras.g_01189
OG0000506	Syab.g_00528	Pras.g_01191
OG0000507	Syab.g_00533	Pras.g_01194
OG0000508	Syab.g_00537	Pras.g_01198
OG0000509	Syab.g_00539	Pras.g_01200
OG0000510	Syab.g_00540	Pras.g_01201
OG0000511	Syab.g_00541	Pras.g_01202
OG0000512	Syab.g_00543	Pras.g_01204
OG0000513	Syab.g_00555	Pras.g_01211
OG0000514	Syab.g_00566	Pras.g_01309
OG0000515	Syab.g_00567	Pras.g_01310
OG0000516	Syab.g_00575	Pras.g_01311
OG0000517	Syab.g_00582	Pras.g_01313
OG0000518	Syab.g_00594	Pras.g_01324
OG0000519	Syab.g_00610	Pras.g_01325
OG0000520	Syab.g_00611	Pras.g_01326
OG0000521	Syab.g_00624	Pras.g_01331
OG0000522	Syab.g_00626	Pras.g_01332
OG0000523	Syab.g_00627	Pras.g_01333
OG0000524	Syab.g_00640	Pras.g_01339
OG0000525	Syab.g_00671	Pras.g_01342
OG0000526	Syab.g_00689	Pras.g_01343
OG0000527	Syab.g_00695	Pras.g_01351
OG0000528	Syab.g_02092	Pras.g_01356
OG0000529	Syab.g_02097	Pras.g_01359
OG0000530	Syab.g_02100	Pras.g_01362
OG0000531	Syab.g_02101	Pras.g_01363
OG0000532	Syab.g_02104	Pras.g_01365
OG0000533	Syab.g_02106	Pras.g_01366
OG0000534	Syab.g_02107	Pras.g_01367
OG0000535	Syab.g_02108	Pras.g_01368
OG0000536	Syab.g_02109	Pras.g_01369
OG0000537	Syab.g_02110	Pras.g_01370
OG0000538	Syab.g_02122	Pras.g_01378
OG0000539	Syab.g_02123	Pras.g_01379
OG0000540	Syab.g_02124	Pras.g_01380
OG0000541	Syab.g_02125	Pras.g_01381
OG0000542	Syab.g_02128	Pras.g_01383
OG0000543	Syab.g_02130	Pras.g_01385
OG0000544	Syab.g_02131	Pras.g_01386
OG0000545	Syab.g_02133	Pras.g_01388
OG0000546	Syab.g_02135	Pras.g_01391
OG0000547	Syab.g_02137	Pras.g_01393
OG0000548	Syab.g_02138	Pras.g_01394
OG0000549	Syab.g_02144	Pras.g_01396
OG0000550	Syab.g_02149	Pras.g_01401
OG0000551	Syab.g_02153	Pras.g_01404
OG0000552	Syab.g_02154	Pras.g_01405
OG0000553	Syab.g_02046	Pras.g_01406
OG0000554	Syab.g_02040	Pras.g_01411
OG0000555	Syab.g_02026	Pras.g_01419
OG0000556	Syab.g_02022	Pras.g_01421
OG0000557	Syab.g_02019	Pras.g_01422
OG0000558	Syab.g_02016	Pras.g_01424
OG0000559	Syab.g_02012	Pras.g_01428
OG0000560	Syab.g_02009	Pras.g_01431
OG0000561	Syab.g_02008	Pras.g_01432
OG0000562	Syab.g_02007	Pras.g_01433
OG0000563	Syab.g_02006	Pras.g_01434
OG0000564	Syab.g_02005	Pras.g_01435
OG0000565	Syab.g_02001	Pras.g_01438
OG0000566	Syab.g_01997	Pras.g_01440
OG0000567	Syab.g_01993	Pras.g_01444
OG0000568	Syab.g_01991	Pras.g_01445
OG0000569	Syab.g_01990	Pras.g_01446
OG0000570	Syab.g_01989	Pras.g_01447
OG0000571	Syab.g_01986	Pras.g_01449
OG0000572	Syab.g_01969	Pras.g_01463
OG0000573	Syab.g_01960	Pras.g_01468
OG0000574	Syab.g_01959	Pras.g_01469
OG0000575	Syab.g_01954	Pras.g_01473
