Orthogroup	Prbk	Syaa
OG0000075	Prbk.g_00514	Syaa.g_00157
OG0000076	Prbk.g_00237	Syaa.g_00123
OG0000077	Prbk.g_01308	Syaa.g_00341
OG0000078	Prbk.g_01515	Syaa.g_02103
OG0000081	Prbk.g_00733	Syaa.g_01694
OG0000082	Prbk.g_01122	Syaa.g_01905
OG0000084	Prbk.g_00255	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770
OG0000085	Prbk.g_00919	Syaa.g_00564
OG0000086	Prbk.g_01295	Syaa.g_00324
OG0000087	Prbk.g_00559	Syaa.g_02433
OG0000088	Prbk.g_00773, Prbk.g_01836	Syaa.g_02474
OG0000089	Prbk.g_00364	Syaa.g_02149
OG0000090	Prbk.g_01080	Syaa.g_01980
OG0000091	Prbk.g_02639	Syaa.g_01625
OG0000093	Prbk.g_02444	Syaa.g_01139
OG0000094	Prbk.g_02190	Syaa.g_01288
OG0000095	Prbk.g_00056	Syaa.g_00879
OG0000097	Prbk.g_00189	Syaa.g_00979
OG0000098	Prbk.g_01199	Syaa.g_01970
OG0000099	Prbk.g_00476	Syaa.g_00202
OG0000100	Prbk.g_01360, Prbk.g_02498	Syaa.g_01201
OG0000101	Prbk.g_00944	Syaa.g_02249
OG0000102	Prbk.g_01484	Syaa.g_00118
OG0000103	Prbk.g_02260	Syaa.g_02740
OG0000104	Prbk.g_02274	Syaa.g_02754
OG0000105	Prbk.g_00409	Syaa.g_00270
OG0000106	Prbk.g_00925	Syaa.g_01439
OG0000107	Prbk.g_01902	Syaa.g_02351
OG0000108	Prbk.g_02061	Syaa.g_02051
OG0000109	Prbk.g_02077	Syaa.g_02036
OG0000110	Prbk.g_01110	Syaa.g_01918
OG0000111	Prbk.g_01766	Syaa.g_00888
OG0000112	Prbk.g_02332	Syaa.g_01366
OG0000113	Prbk.g_02493	Syaa.g_01196
OG0000114	Prbk.g_02396	Syaa.g_01094
OG0000115	Prbk.g_01234	Syaa.g_01795
OG0000116	Prbk.g_01034	Syaa.g_00757
OG0000117	Prbk.g_01496	Syaa.g_01009
OG0000118	Prbk.g_01169	Syaa.g_01874
OG0000119	Prbk.g_01746, Prbk.g_01786	Syaa.g_00785
OG0000120	Prbk.g_00477	Syaa.g_00201
OG0000121	Prbk.g_00267, Prbk.g_00261	Syaa.g_01777
OG0000122	Prbk.g_02664	Syaa.g_01598
OG0000123	Prbk.g_00805	Syaa.g_02242
OG0000124	Prbk.g_01539	Syaa.g_00092
OG0000125	Prbk.g_02168	Syaa.g_02598
OG0000126	Prbk.g_02272	Syaa.g_02752
OG0000127	Prbk.g_01101, Prbk.g_01852	Syaa.g_00934
OG0000128	Prbk.g_02290	Syaa.g_00012
OG0000129	Prbk.g_02156	Syaa.g_02586
OG0000130	Prbk.g_01320	Syaa.g_00354
OG0000131	Prbk.g_00751	Syaa.g_02448
OG0000132	Prbk.g_00771	Syaa.g_02472
OG0000133	Prbk.g_00472	Syaa.g_01361
OG0000134	Prbk.g_00361	Syaa.g_02146
OG0000135	Prbk.g_02209	Syaa.g_02649
OG0000136	Prbk.g_00323	Syaa.g_00708
OG0000137	Prbk.g_02113	Syaa.g_01842
OG0000138	Prbk.g_02078	Syaa.g_02035
OG0000139	Prbk.g_01086	Syaa.g_01974
OG0000140	Prbk.g_01092	Syaa.g_01971
OG0000141	Prbk.g_01154	Syaa.g_01689
OG0000142	Prbk.g_02631	Syaa.g_01633
OG0000143	Prbk.g_02635	Syaa.g_01629
OG0000144	Prbk.g_00739	Syaa.g_01446
OG0000145	Prbk.g_01863	Syaa.g_02029
OG0000146	Prbk.g_02333	Syaa.g_01367
OG0000147	Prbk.g_02334	Syaa.g_01368
OG0000148	Prbk.g_02487	Syaa.g_01190
OG0000149	Prbk.g_02544	Syaa.g_00826
OG0000150	Prbk.g_02567	Syaa.g_01688
OG0000151	Prbk.g_02417	Syaa.g_01107
OG0000152	Prbk.g_02324	Syaa.g_01357
OG0000153	Prbk.g_02297	Syaa.g_01324
OG0000154	Prbk.g_00584	Syaa.g_01298
OG0000155	Prbk.g_00099	Syaa.g_00804
OG0000156	Prbk.g_00164	Syaa.g_00751
OG0000157	Prbk.g_00163	Syaa.g_00750
OG0000158	Prbk.g_00526	Syaa.g_00148
OG0000160	Prbk.g_00260	Syaa.g_01776
OG0000161	Prbk.g_00274	Syaa.g_01782
OG0000162	Prbk.g_00280	Syaa.g_01788
OG0000163	Prbk.g_02002	Syaa.g_00624
OG0000164	Prbk.g_01432	Syaa.g_00507
OG0000165	Prbk.g_01423	Syaa.g_00681
OG0000166	Prbk.g_00982	Syaa.g_02289
OG0000167	Prbk.g_00512	Syaa.g_00160
OG0000168	Prbk.g_00527	Syaa.g_00145
OG0000169	Prbk.g_00220	Syaa.g_00134
OG0000170	Prbk.g_00232	Syaa.g_00128
OG0000171	Prbk.g_01538	Syaa.g_00093
OG0000172	Prbk.g_01573	Syaa.g_00079
OG0000173	Prbk.g_01594	Syaa.g_00060
OG0000174	Prbk.g_02211	Syaa.g_02651
OG0000175	Prbk.g_02249	Syaa.g_02726
OG0000176	Prbk.g_02282	Syaa.g_00004
OG0000177	Prbk.g_02283	Syaa.g_00005
OG0000178	Prbk.g_02284	Syaa.g_00006
OG0000179	Prbk.g_01633	Syaa.g_00023
OG0000180	Prbk.g_01632	Syaa.g_00024
OG0000181	Prbk.g_01631	Syaa.g_00025
OG0000182	Prbk.g_01630	Syaa.g_00026
OG0000183	Prbk.g_01626	Syaa.g_00030
OG0000184	Prbk.g_02148	Syaa.g_02578
OG0000186	Prbk.g_01326	Syaa.g_00359
OG0000187	Prbk.g_01324	Syaa.g_00358
OG0000188	Prbk.g_01303	Syaa.g_00334
OG0000189	Prbk.g_00024	Syaa.g_02367
OG0000190	Prbk.g_00022	Syaa.g_02369
OG0000191	Prbk.g_00197	Syaa.g_02404
OG0000192	Prbk.g_00206	Syaa.g_02410
OG0000193	Prbk.g_00752	Syaa.g_02449
OG0000194	Prbk.g_00755	Syaa.g_02452
OG0000195	Prbk.g_00757	Syaa.g_02459
OG0000196	Prbk.g_00768	Syaa.g_02469
OG0000197	Prbk.g_00769	Syaa.g_02470
OG0000198	Prbk.g_00770	Syaa.g_02471
OG0000199	Prbk.g_00777	Syaa.g_02479
OG0000200	Prbk.g_01280	Syaa.g_02496
OG0000201	Prbk.g_01261	Syaa.g_02521
OG0000202	Prbk.g_01260	Syaa.g_02522
OG0000203	Prbk.g_01259	Syaa.g_02523
OG0000204	Prbk.g_01258	Syaa.g_02524
OG0000205	Prbk.g_01251	Syaa.g_02531
OG0000206	Prbk.g_00632	Syaa.g_02538
OG0000207	Prbk.g_00686	Syaa.g_02540
OG0000208	Prbk.g_00685	Syaa.g_02541
OG0000209	Prbk.g_00658	Syaa.g_02556
OG0000210	Prbk.g_00657	Syaa.g_02557
OG0000211	Prbk.g_01368	Syaa.g_02113
OG0000212	Prbk.g_01514	Syaa.g_02102
OG0000213	Prbk.g_00374	Syaa.g_00295
OG0000214	Prbk.g_00401	Syaa.g_00279
OG0000215	Prbk.g_00431	Syaa.g_00248
OG0000216	Prbk.g_00434	Syaa.g_00244
OG0000217	Prbk.g_00438	Syaa.g_00240
OG0000218	Prbk.g_00442	Syaa.g_00238
OG0000219	Prbk.g_00443	Syaa.g_00237
OG0000220	Prbk.g_00444	Syaa.g_00236
OG0000221	Prbk.g_00449	Syaa.g_00229
OG0000222	Prbk.g_00458	Syaa.g_00215
OG0000223	Prbk.g_00481	Syaa.g_00192
OG0000224	Prbk.g_00492	Syaa.g_00183
OG0000225	Prbk.g_00889	Syaa.g_02166
OG0000226	Prbk.g_00893	Syaa.g_02162
OG0000227	Prbk.g_00895	Syaa.g_02160
OG0000228	Prbk.g_00365	Syaa.g_02150
OG0000229	Prbk.g_00328	Syaa.g_00703
OG0000230	Prbk.g_00326	Syaa.g_00705
OG0000231	Prbk.g_00311	Syaa.g_00717
OG0000232	Prbk.g_00295	Syaa.g_01858
OG0000233	Prbk.g_02092	Syaa.g_01853
OG0000234	Prbk.g_02114	Syaa.g_01841
OG0000235	Prbk.g_02060	Syaa.g_02052
OG0000236	Prbk.g_02076	Syaa.g_02037
OG0000237	Prbk.g_01047	Syaa.g_02020
OG0000238	Prbk.g_01051	Syaa.g_02015
OG0000239	Prbk.g_01067	Syaa.g_01996
OG0000240	Prbk.g_01068	Syaa.g_01995
OG0000241	Prbk.g_01965	Syaa.g_01644
OG0000242	Prbk.g_01078	Syaa.g_01982
OG0000243	Prbk.g_02684	Syaa.g_01960
OG0000244	Prbk.g_01897	Syaa.g_01954
OG0000245	Prbk.g_01894	Syaa.g_01952
OG0000246	Prbk.g_01890	Syaa.g_01948
OG0000247	Prbk.g_01879	Syaa.g_01937
OG0000248	Prbk.g_01876	Syaa.g_01934
OG0000249	Prbk.g_01874	Syaa.g_01932
OG0000250	Prbk.g_01106	Syaa.g_01922
OG0000251	Prbk.g_01130	Syaa.g_01897
OG0000252	Prbk.g_01133	Syaa.g_01894
OG0000253	Prbk.g_01139	Syaa.g_01893
OG0000254	Prbk.g_01158	Syaa.g_01684
OG0000255	Prbk.g_02604	Syaa.g_01668
OG0000256	Prbk.g_02618	Syaa.g_01651
OG0000257	Prbk.g_02624	Syaa.g_01645
OG0000258	Prbk.g_02647	Syaa.g_01624
OG0000259	Prbk.g_00720	Syaa.g_01063
OG0000260	Prbk.g_00717	Syaa.g_01066
OG0000261	Prbk.g_00714	Syaa.g_01069
OG0000262	Prbk.g_00709	Syaa.g_01074
OG0000263	Prbk.g_00672	Syaa.g_00989
OG0000264	Prbk.g_01815	Syaa.g_00910
OG0000265	Prbk.g_01835	Syaa.g_00931
OG0000265	Prbk.g_00619	Syaa.g_01498
OG0000266	Prbk.g_00608	Syaa.g_01257, Syaa.g_01258
OG0000267	Prbk.g_02371	Syaa.g_01409
OG0000268	Prbk.g_02370	Syaa.g_01408
OG0000269	Prbk.g_02463	Syaa.g_01149
OG0000270	Prbk.g_02466	Syaa.g_01152
OG0000271	Prbk.g_02474	Syaa.g_01160
OG0000272	Prbk.g_02475	Syaa.g_01161
OG0000273	Prbk.g_02526	Syaa.g_00844
OG0000274	Prbk.g_02527	Syaa.g_00843
OG0000275	Prbk.g_02530	Syaa.g_00840
OG0000276	Prbk.g_02536	Syaa.g_00834
OG0000277	Prbk.g_02537	Syaa.g_00833
OG0000278	Prbk.g_02540	Syaa.g_00830
OG0000279	Prbk.g_02548	Syaa.g_00822
OG0000280	Prbk.g_02554	Syaa.g_00815
OG0000282	Prbk.g_02398	Syaa.g_01096
OG0000283	Prbk.g_02359	Syaa.g_01396
OG0000284	Prbk.g_02353	Syaa.g_01390
OG0000285	Prbk.g_01698	Syaa.g_01377
OG0000286	Prbk.g_02325	Syaa.g_01358
OG0000287	Prbk.g_01728	Syaa.g_01330
OG0000288	Prbk.g_00583	Syaa.g_01299
OG0000289	Prbk.g_00596	Syaa.g_01285
OG0000290	Prbk.g_00059	Syaa.g_00875
OG0000291	Prbk.g_00057	Syaa.g_00877
OG0000292	Prbk.g_02271	Syaa.g_02751
OG0000293	Prbk.g_01032	Syaa.g_00758
OG0000294	Prbk.g_01031	Syaa.g_00759
OG0000295	Prbk.g_00106	Syaa.g_00796
OG0000296	Prbk.g_00104	Syaa.g_00798
OG0000297	Prbk.g_01498	Syaa.g_01021
OG0000298	Prbk.g_01497	Syaa.g_01010
OG0000299	Prbk.g_01508	Syaa.g_00982
OG0000300	Prbk.g_00186	Syaa.g_00976
OG0000301	Prbk.g_00185	Syaa.g_00975
OG0000302	Prbk.g_00182	Syaa.g_00972
OG0000303	Prbk.g_00097	Syaa.g_00963
OG0000304	Prbk.g_00121	Syaa.g_00957
OG0000305	Prbk.g_00055	Syaa.g_00881
OG0000306	Prbk.g_02578	Syaa.g_00807
OG0000307	Prbk.g_02044	Syaa.g_02068
OG0000308	Prbk.g_02042	Syaa.g_02070
OG0000309	Prbk.g_02038	Syaa.g_02075
OG0000310	Prbk.g_01937	Syaa.g_01752
OG0000311	Prbk.g_00243	Syaa.g_01757
OG0000312	Prbk.g_00247	Syaa.g_01762
OG0000313	Prbk.g_00271	Syaa.g_01779
OG0000314	Prbk.g_01222	Syaa.g_01806
OG0000315	Prbk.g_01212	Syaa.g_01816
OG0000316	Prbk.g_01991	Syaa.g_00598
OG0000317	Prbk.g_00913	Syaa.g_00556
OG0000318	Prbk.g_00906	Syaa.g_00550
OG0000319	Prbk.g_01443	Syaa.g_00532
OG0000320	Prbk.g_01441	Syaa.g_00530
OG0000321	Prbk.g_01440	Syaa.g_00529
OG0000322	Prbk.g_01439	Syaa.g_00528
OG0000323	Prbk.g_01428	Syaa.g_00496
OG0000324	Prbk.g_01399	Syaa.g_00653
OG0000325	Prbk.g_01904	Syaa.g_02350
OG0000326	Prbk.g_01912	Syaa.g_02343
OG0000327	Prbk.g_00987	Syaa.g_02294
OG0000328	Prbk.g_00986	Syaa.g_02293
OG0000329	Prbk.g_00969	Syaa.g_02275
OG0000330	Prbk.g_00968	Syaa.g_02274
OG0000331	Prbk.g_00967	Syaa.g_02273
OG0000332	Prbk.g_00952	Syaa.g_02258
OG0000333	Prbk.g_00950	Syaa.g_02255
OG0000334	Prbk.g_00801	Syaa.g_02246
OG0000335	Prbk.g_00806	Syaa.g_02241
OG0000336	Prbk.g_00810	Syaa.g_02237
OG0000337	Prbk.g_00506	Syaa.g_00167
OG0000338	Prbk.g_00510	Syaa.g_00162
OG0000339	Prbk.g_00516	Syaa.g_00156
OG0000340	Prbk.g_00528	Syaa.g_00144
OG0000341	Prbk.g_00530	Syaa.g_00142
OG0000342	Prbk.g_00531	Syaa.g_00141
OG0000343	Prbk.g_00215	Syaa.g_00140
OG0000344	Prbk.g_00218	Syaa.g_00136
OG0000345	Prbk.g_00233	Syaa.g_00127
OG0000346	Prbk.g_00238	Syaa.g_00122
OG0000347	Prbk.g_01540	Syaa.g_00088
OG0000348	Prbk.g_01578	Syaa.g_00071
OG0000349	Prbk.g_01602	Syaa.g_00053
OG0000350	Prbk.g_02204	Syaa.g_02336
OG0000351	Prbk.g_02252	Syaa.g_02730
OG0000352	Prbk.g_02253	Syaa.g_02731
OG0000353	Prbk.g_02277	Syaa.g_02757
OG0000354	Prbk.g_01057	Syaa.g_02008, Syaa.g_02009
OG0000354	Prbk.g_01635	Syaa.g_00019, Syaa.g_00020
OG0000355	Prbk.g_02279	Syaa.g_00001
OG0000356	Prbk.g_02280	Syaa.g_00002
OG0000357	Prbk.g_02281	Syaa.g_00003
OG0000358	Prbk.g_02285	Syaa.g_00007
OG0000359	Prbk.g_02287	Syaa.g_00009
OG0000360	Prbk.g_02288	Syaa.g_00010
OG0000361	Prbk.g_02289	Syaa.g_00011
OG0000362	Prbk.g_02291	Syaa.g_00013
OG0000363	Prbk.g_01639	Syaa.g_00015
OG0000364	Prbk.g_01638	Syaa.g_00016
OG0000365	Prbk.g_01629	Syaa.g_00027
OG0000366	Prbk.g_01628	Syaa.g_00028
OG0000367	Prbk.g_01627	Syaa.g_00029
OG0000368	Prbk.g_01625	Syaa.g_00031
OG0000369	Prbk.g_01624	Syaa.g_00032
OG0000370	Prbk.g_01623	Syaa.g_00033
OG0000371	Prbk.g_01614	Syaa.g_00041
OG0000372	Prbk.g_01609	Syaa.g_00046
OG0000373	Prbk.g_01608	Syaa.g_00047
OG0000374	Prbk.g_01607	Syaa.g_00048
OG0000375	Prbk.g_01606	Syaa.g_00049
OG0000376	Prbk.g_01604	Syaa.g_00051
OG0000377	Prbk.g_02155	Syaa.g_02585
OG0000378	Prbk.g_02141	Syaa.g_02577
OG0000379	Prbk.g_02125	Syaa.g_02574
OG0000380	Prbk.g_01323	Syaa.g_00357
OG0000381	Prbk.g_01319	Syaa.g_00353
OG0000382	Prbk.g_01304	Syaa.g_00335
OG0000383	Prbk.g_01302	Syaa.g_00333
OG0000384	Prbk.g_01301	Syaa.g_00332
OG0000385	Prbk.g_01300	Syaa.g_00331
OG0000386	Prbk.g_01299	Syaa.g_00330
OG0000387	Prbk.g_00020	Syaa.g_02371
OG0000388	Prbk.g_00016	Syaa.g_02375
OG0000389	Prbk.g_00012	Syaa.g_02379
OG0000390	Prbk.g_00191	Syaa.g_02398
OG0000391	Prbk.g_00196	Syaa.g_02403
OG0000392	Prbk.g_00202	Syaa.g_02409
OG0000393	Prbk.g_00207	Syaa.g_02412
OG0000394	Prbk.g_00208	Syaa.g_02413
OG0000395	Prbk.g_00209	Syaa.g_02414
OG0000396	Prbk.g_00542	Syaa.g_02417
OG0000397	Prbk.g_00544	Syaa.g_02419
OG0000398	Prbk.g_00549	Syaa.g_02424
OG0000399	Prbk.g_00550	Syaa.g_02425
OG0000400	Prbk.g_00551	Syaa.g_02426
OG0000401	Prbk.g_00552	Syaa.g_02427
OG0000402	Prbk.g_00554	Syaa.g_02429
OG0000403	Prbk.g_00555	Syaa.g_02430
OG0000404	Prbk.g_00557	Syaa.g_02431
OG0000405	Prbk.g_00749	Syaa.g_02446
OG0000406	Prbk.g_00753	Syaa.g_02450
OG0000407	Prbk.g_00754	Syaa.g_02451
OG0000408	Prbk.g_00756	Syaa.g_02458
OG0000409	Prbk.g_00758	Syaa.g_02460
OG0000410	Prbk.g_00759	Syaa.g_02461
OG0000411	Prbk.g_00760	Syaa.g_02462
OG0000412	Prbk.g_00761	Syaa.g_02463
OG0000413	Prbk.g_00763	Syaa.g_02465
OG0000415	Prbk.g_00765	Syaa.g_02466
OG0000416	Prbk.g_00766	Syaa.g_02467
OG0000417	Prbk.g_00767	Syaa.g_02468
OG0000418	Prbk.g_00772	Syaa.g_02473
OG0000419	Prbk.g_00774	Syaa.g_02475
OG0000420	Prbk.g_00775	Syaa.g_02477
OG0000421	Prbk.g_00779	Syaa.g_02482
OG0000422	Prbk.g_00780	Syaa.g_02483
OG0000423	Prbk.g_00781	Syaa.g_02484
OG0000424	Prbk.g_00782	Syaa.g_02485
OG0000425	Prbk.g_00783	Syaa.g_02486
OG0000426	Prbk.g_00784	Syaa.g_02487
OG0000427	Prbk.g_00785	Syaa.g_02488
OG0000428	Prbk.g_02425	Syaa.g_02491
OG0000429	Prbk.g_01283	Syaa.g_02493
OG0000430	Prbk.g_01281	Syaa.g_02495
OG0000431	Prbk.g_01277	Syaa.g_02498
OG0000432	Prbk.g_01270	Syaa.g_02504
OG0000433	Prbk.g_01267	Syaa.g_02513
OG0000434	Prbk.g_01266	Syaa.g_02514
OG0000435	Prbk.g_01263	Syaa.g_02516
OG0000436	Prbk.g_01257	Syaa.g_02525
OG0000437	Prbk.g_01256	Syaa.g_02526
OG0000438	Prbk.g_01255	Syaa.g_02527
OG0000439	Prbk.g_01253	Syaa.g_02529
OG0000440	Prbk.g_01252	Syaa.g_02530
OG0000441	Prbk.g_01245	Syaa.g_02534
OG0000442	Prbk.g_01244	Syaa.g_02535
OG0000443	Prbk.g_00631	Syaa.g_02536
OG0000444	Prbk.g_00683	Syaa.g_02542
OG0000445	Prbk.g_00682	Syaa.g_02543
OG0000446	Prbk.g_00680	Syaa.g_02545
OG0000447	Prbk.g_00670	Syaa.g_02548
OG0000448	Prbk.g_00669	Syaa.g_02549
OG0000449	Prbk.g_00668	Syaa.g_02550
OG0000450	Prbk.g_00662	Syaa.g_02553
OG0000451	Prbk.g_00661	Syaa.g_02554
OG0000452	Prbk.g_00656	Syaa.g_02558
OG0000453	Prbk.g_00655	Syaa.g_02559
OG0000454	Prbk.g_00654	Syaa.g_02560
OG0000455	Prbk.g_00653	Syaa.g_02561
OG0000456	Prbk.g_00652	Syaa.g_02562
OG0000457	Prbk.g_00650	Syaa.g_02564
OG0000458	Prbk.g_00649	Syaa.g_02565
OG0000459	Prbk.g_00648	Syaa.g_02566
OG0000460	Prbk.g_01369	Syaa.g_02111
OG0000461	Prbk.g_01900	Syaa.g_00318
OG0000462	Prbk.g_01012	Syaa.g_00315
OG0000463	Prbk.g_01011	Syaa.g_00314
OG0000464	Prbk.g_01010	Syaa.g_00313
OG0000465	Prbk.g_01008	Syaa.g_00311
OG0000466	Prbk.g_01003	Syaa.g_00306
OG0000467	Prbk.g_01001	Syaa.g_00304
OG0000468	Prbk.g_00371	Syaa.g_00299
OG0000469	Prbk.g_00384	Syaa.g_00285
OG0000470	Prbk.g_00397	Syaa.g_00283
OG0000471	Prbk.g_00398	Syaa.g_00282
OG0000472	Prbk.g_00400	Syaa.g_00280
OG0000473	Prbk.g_00402	Syaa.g_00278
OG0000474	Prbk.g_00403	Syaa.g_00277
OG0000475	Prbk.g_00404	Syaa.g_00276
OG0000476	Prbk.g_00406	Syaa.g_00274
OG0000477	Prbk.g_00411	Syaa.g_00268
OG0000478	Prbk.g_00412	Syaa.g_00267
OG0000479	Prbk.g_00413	Syaa.g_00266
OG0000480	Prbk.g_00420	Syaa.g_00259
OG0000481	Prbk.g_00422	Syaa.g_00257
OG0000482	Prbk.g_00423	Syaa.g_00256
OG0000483	Prbk.g_00427	Syaa.g_00252
OG0000484	Prbk.g_00428	Syaa.g_00251
OG0000485	Prbk.g_00429	Syaa.g_00250
OG0000486	Prbk.g_00430	Syaa.g_00249
OG0000487	Prbk.g_00435	Syaa.g_00243
OG0000488	Prbk.g_00439	Syaa.g_00239
OG0000489	Prbk.g_00450	Syaa.g_00228
OG0000490	Prbk.g_00456	Syaa.g_00220
OG0000491	Prbk.g_00457	Syaa.g_00218
OG0000492	Prbk.g_00460	Syaa.g_00214
OG0000493	Prbk.g_00461	Syaa.g_00213
OG0000494	Prbk.g_00462	Syaa.g_00212
OG0000495	Prbk.g_00463	Syaa.g_00211
OG0000496	Prbk.g_00464	Syaa.g_00210
OG0000497	Prbk.g_00465	Syaa.g_00209
OG0000498	Prbk.g_00466	Syaa.g_00208
OG0000499	Prbk.g_00467	Syaa.g_00207
OG0000500	Prbk.g_00468	Syaa.g_00206
OG0000501	Prbk.g_00471	Syaa.g_00203
OG0000502	Prbk.g_00483	Syaa.g_00190
OG0000503	Prbk.g_00871	Syaa.g_02182
OG0000504	Prbk.g_00873	Syaa.g_02180
OG0000505	Prbk.g_00874	Syaa.g_02179
OG0000506	Prbk.g_00876	Syaa.g_02177
OG0000507	Prbk.g_00881	Syaa.g_02171
OG0000508	Prbk.g_00888	Syaa.g_02167
OG0000509	Prbk.g_00890	Syaa.g_02165
OG0000510	Prbk.g_00891	Syaa.g_02164
OG0000511	Prbk.g_00892	Syaa.g_02163
OG0000512	Prbk.g_00894	Syaa.g_02161
OG0000513	Prbk.g_00360	Syaa.g_02145
OG0000514	Prbk.g_00352	Syaa.g_02118
OG0000515	Prbk.g_00351	Syaa.g_02117
OG0000516	Prbk.g_00339	Syaa.g_00698
OG0000517	Prbk.g_00329	Syaa.g_00702
OG0000518	Prbk.g_00317	Syaa.g_00714
OG0000519	Prbk.g_00316	Syaa.g_00715
OG0000520	Prbk.g_00315	Syaa.g_00716
OG0000521	Prbk.g_00301	Syaa.g_01864
OG0000522	Prbk.g_00299	Syaa.g_01862
OG0000523	Prbk.g_00298	Syaa.g_01859
OG0000524	Prbk.g_02088	Syaa.g_01856
OG0000525	Prbk.g_02105	Syaa.g_01851
OG0000526	Prbk.g_02107	Syaa.g_01848
OG0000527	Prbk.g_02111	Syaa.g_01844
OG0000528	Prbk.g_02056	Syaa.g_02054
OG0000529	Prbk.g_02062	Syaa.g_02050
OG0000530	Prbk.g_02065	Syaa.g_02047
OG0000531	Prbk.g_02066	Syaa.g_02046
OG0000532	Prbk.g_02069	Syaa.g_02043
OG0000533	Prbk.g_02071	Syaa.g_02042
OG0000534	Prbk.g_02072	Syaa.g_02041
OG0000535	Prbk.g_02073	Syaa.g_02040
OG0000536	Prbk.g_02074	Syaa.g_02039
OG0000537	Prbk.g_02075	Syaa.g_02038
OG0000538	Prbk.g_01865	Syaa.g_02027
OG0000539	Prbk.g_01041	Syaa.g_02026
OG0000540	Prbk.g_01042	Syaa.g_02025
OG0000541	Prbk.g_01043	Syaa.g_02024
OG0000542	Prbk.g_01046	Syaa.g_02021
OG0000543	Prbk.g_01048	Syaa.g_02019
OG0000544	Prbk.g_01049	Syaa.g_02018
OG0000545	Prbk.g_01050	Syaa.g_02016
OG0000546	Prbk.g_01052	Syaa.g_02014
