Orthogroup	Prbk	Syap
OG0000126	Prbk.g_02272	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000127	Prbk.g_01101, Prbk.g_01852, Prbk.g_01335	Syap.g_00736
OG0000128	Prbk.g_02290	Syap.g_00069
OG0000129	Prbk.g_02156	Syap.g_00130, Syap.g_00129
OG0000130	Prbk.g_01320	Syap.g_01688, Syap.g_01689
OG0000131	Prbk.g_00751	Syap.g_02189
OG0000132	Prbk.g_00771	Syap.g_01205
OG0000133	Prbk.g_00472	Syap.g_02017
OG0000134	Prbk.g_00361	Syap.g_02047
OG0000135	Prbk.g_02209	Syap.g_02090
OG0000136	Prbk.g_00323	Syap.g_00089
OG0000137	Prbk.g_02113	Syap.g_02756
OG0000138	Prbk.g_02078	Syap.g_00278
OG0000139	Prbk.g_01086	Syap.g_00410
OG0000140	Prbk.g_01092	Syap.g_01976
OG0000141	Prbk.g_01154	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prbk.g_02631	Syap.g_00895, Syap.g_00894
OG0000143	Prbk.g_02635	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prbk.g_00739	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prbk.g_01863	Syap.g_01860, Syap.g_01859
OG0000146	Prbk.g_02333	Syap.g_02024
OG0000147	Prbk.g_02334	Syap.g_02025
OG0000148	Prbk.g_02487	Syap.g_02720
OG0000149	Prbk.g_02544	Syap.g_00824
OG0000150	Prbk.g_02567	Syap.g_01540
OG0000151	Prbk.g_02417	Syap.g_00142
OG0000152	Prbk.g_02324	Syap.g_02012
OG0000153	Prbk.g_02297	Syap.g_02682
OG0000154	Prbk.g_00584	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prbk.g_00099	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prbk.g_00164	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prbk.g_00163	Syap.g_00249, Syap.g_00286
OG0000158	Prbk.g_00526	Syap.g_01075
OG0000160	Prbk.g_00260	Syap.g_02470, Syap.g_02469
OG0000161	Prbk.g_00274	Syap.g_02476
OG0000162	Prbk.g_00280	Syap.g_02531
OG0000164	Prbk.g_01432	Syap.g_01391, Syap.g_01392
OG0000165	Prbk.g_01423	Syap.g_01381, Syap.g_01382
OG0000166	Prbk.g_00982	Syap.g_00512, Syap.g_01238
OG0000167	Prbk.g_00512	Syap.g_02080
OG0000168	Prbk.g_00527	Syap.g_01076
OG0000169	Prbk.g_00220	Syap.g_01049, Syap.g_01093
OG0000170	Prbk.g_00232	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prbk.g_01538	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prbk.g_01573	Syap.g_01143, Syap.g_00635
OG0000173	Prbk.g_01594	Syap.g_00982, Syap.g_00983
OG0000174	Prbk.g_02211	Syap.g_02092
OG0000175	Prbk.g_02249	Syap.g_02654
OG0000176	Prbk.g_02282	Syap.g_00059
OG0000177	Prbk.g_02283	Syap.g_00061, Syap.g_00060
OG0000178	Prbk.g_02284	Syap.g_00062
OG0000179	Prbk.g_01633	Syap.g_00077, Syap.g_02638
OG0000180	Prbk.g_01632	Syap.g_00078, Syap.g_02640
OG0000181	Prbk.g_01631	Syap.g_00079, Syap.g_02641
OG0000182	Prbk.g_01630	Syap.g_00080, Syap.g_02642
OG0000183	Prbk.g_01626	Syap.g_00084
OG0000184	Prbk.g_02148	Syap.g_01337
OG0000186	Prbk.g_01326	Syap.g_01684
OG0000187	Prbk.g_01324	Syap.g_01686
OG0000188	Prbk.g_01303	Syap.g_02547
OG0000191	Prbk.g_00197	Syap.g_02233
OG0000192	Prbk.g_00206	Syap.g_02224
OG0000193	Prbk.g_00752	Syap.g_02187, Syap.g_02188
OG0000194	Prbk.g_00755	Syap.g_02183
OG0000195	Prbk.g_00757	Syap.g_02180
OG0000196	Prbk.g_00768	Syap.g_01208, Syap.g_02167
OG0000197	Prbk.g_00769	Syap.g_01207, Syap.g_02166
OG0000198	Prbk.g_00770	Syap.g_01206
OG0000199	Prbk.g_00777	Syap.g_01197
OG0000200	Prbk.g_01280	Syap.g_01181
OG0000201	Prbk.g_01261	Syap.g_02265
OG0000202	Prbk.g_01260	Syap.g_02264
OG0000203	Prbk.g_01259	Syap.g_01601
OG0000204	Prbk.g_01258	Syap.g_01602
OG0000205	Prbk.g_01251	Syap.g_01616
OG0000206	Prbk.g_00632	Syap.g_01628
OG0000207	Prbk.g_00686	Syap.g_01426, Syap.g_00424
OG0000208	Prbk.g_00685	Syap.g_00426, Syap.g_01425
OG0000209	Prbk.g_00658	Syap.g_01906
OG0000210	Prbk.g_00657	Syap.g_01905
OG0000211	Prbk.g_01368	Syap.g_01160
OG0000212	Prbk.g_01514	Syap.g_02664
OG0000213	Prbk.g_00374	Syap.g_00107, Syap.g_01599
OG0000214	Prbk.g_00401	Syap.g_02344, Syap.g_02345
OG0000215	Prbk.g_00431	Syap.g_01347, Syap.g_01629
OG0000216	Prbk.g_00434	Syap.g_01634
OG0000217	Prbk.g_00438	Syap.g_01638
OG0000218	Prbk.g_00442	Syap.g_01641, Syap.g_01640
OG0000219	Prbk.g_00443	Syap.g_01642, Syap.g_01643
OG0000220	Prbk.g_00444	Syap.g_01645
OG0000221	Prbk.g_00449	Syap.g_01646
OG0000222	Prbk.g_00458	Syap.g_01669
OG0000223	Prbk.g_00481	Syap.g_02072, Syap.g_02073
OG0000224	Prbk.g_00492	Syap.g_02064
OG0000225	Prbk.g_00889	Syap.g_00553, Syap.g_00552
OG0000226	Prbk.g_00893	Syap.g_02029, Syap.g_02144
OG0000227	Prbk.g_00895	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prbk.g_00365	Syap.g_00116, Syap.g_02041
OG0000229	Prbk.g_00328	Syap.g_02059
OG0000230	Prbk.g_00326	Syap.g_02061
OG0000231	Prbk.g_00311	Syap.g_02533
OG0000232	Prbk.g_00295	Syap.g_02510, Syap.g_02511
OG0000233	Prbk.g_02092	Syap.g_02133
OG0000234	Prbk.g_02114	Syap.g_02755
OG0000235	Prbk.g_02060	Syap.g_00732, Syap.g_02258
OG0000236	Prbk.g_02076	Syap.g_02238
OG0000237	Prbk.g_01047	Syap.g_00262, Syap.g_00263
OG0000238	Prbk.g_01051	Syap.g_00257, Syap.g_00258
OG0000239	Prbk.g_01067	Syap.g_02744
OG0000240	Prbk.g_01068	Syap.g_02742
OG0000241	Prbk.g_01965	Syap.g_00888
OG0000242	Prbk.g_01078	Syap.g_01455
OG0000243	Prbk.g_02684	Syap.g_01938
OG0000244	Prbk.g_01897	Syap.g_01146, Syap.g_01145
OG0000245	Prbk.g_01894	Syap.g_01148
OG0000246	Prbk.g_01890	Syap.g_00308
OG0000247	Prbk.g_01879	Syap.g_00288, Syap.g_00293
OG0000248	Prbk.g_01876	Syap.g_00290
OG0000249	Prbk.g_01874	Syap.g_01296, Syap.g_01295
OG0000250	Prbk.g_01106	Syap.g_01306
OG0000251	Prbk.g_01130	Syap.g_00442
OG0000252	Prbk.g_01133	Syap.g_01857
OG0000253	Prbk.g_01139	Syap.g_00443
OG0000254	Prbk.g_01158	Syap.g_01527, Syap.g_01528
OG0000256	Prbk.g_02618	Syap.g_01287
OG0000257	Prbk.g_02624	Syap.g_00886
OG0000258	Prbk.g_02647	Syap.g_00907
OG0000260	Prbk.g_00717	Syap.g_01970
OG0000261	Prbk.g_00714	Syap.g_01962, Syap.g_01961
OG0000262	Prbk.g_00709	Syap.g_01954
OG0000263	Prbk.g_00672	Syap.g_00432, Syap.g_00433
OG0000266	Prbk.g_00608	Syap.g_00519
OG0000267	Prbk.g_02371	Syap.g_02333, Syap.g_02332
OG0000268	Prbk.g_02370	Syap.g_00646
OG0000269	Prbk.g_02463	Syap.g_00188
OG0000270	Prbk.g_02466	Syap.g_00192
OG0000271	Prbk.g_02474	Syap.g_00200, Syap.g_00201
OG0000272	Prbk.g_02475	Syap.g_00202
OG0000274	Prbk.g_02527	Syap.g_02702
OG0000275	Prbk.g_02530	Syap.g_01847
OG0000276	Prbk.g_02536	Syap.g_01839, Syap.g_01838
OG0000277	Prbk.g_02537	Syap.g_01837
OG0000278	Prbk.g_02540	Syap.g_01834
OG0000279	Prbk.g_02548	Syap.g_00829, Syap.g_00830
OG0000280	Prbk.g_02554	Syap.g_00365
OG0000281	Prbk.g_02568	Syap.g_01977
OG0000282	Prbk.g_02398	Syap.g_01252
OG0000283	Prbk.g_02359	Syap.g_01728
OG0000284	Prbk.g_02353	Syap.g_01736
OG0000285	Prbk.g_01698	Syap.g_01746, Syap.g_01744
OG0000286	Prbk.g_02325	Syap.g_02014, Syap.g_02013
OG0000288	Prbk.g_00583	Syap.g_02764, Syap.g_02763
OG0000289	Prbk.g_00596	Syap.g_02784
OG0000290	Prbk.g_00059	Syap.g_01552
OG0000291	Prbk.g_00057	Syap.g_01554
OG0000292	Prbk.g_02271	Syap.g_02314
OG0000293	Prbk.g_01032	Syap.g_00240
OG0000294	Prbk.g_01031	Syap.g_00239
OG0000295	Prbk.g_00106	Syap.g_00206
OG0000296	Prbk.g_00104	Syap.g_00204
OG0000297	Prbk.g_01498	Syap.g_01887
OG0000298	Prbk.g_01497	Syap.g_01888
OG0000299	Prbk.g_01508	Syap.g_02620
OG0000302	Prbk.g_00182	Syap.g_02444, Syap.g_02445
OG0000303	Prbk.g_00097	Syap.g_02435
OG0000304	Prbk.g_00121	Syap.g_02430
OG0000305	Prbk.g_00055	Syap.g_01557
OG0000306	Prbk.g_02578	Syap.g_01966
OG0000307	Prbk.g_02044	Syap.g_02517
OG0000308	Prbk.g_02042	Syap.g_02514, Syap.g_02515
OG0000309	Prbk.g_02038	Syap.g_02198, Syap.g_02446
OG0000310	Prbk.g_01937	Syap.g_02660, Syap.g_02661
OG0000311	Prbk.g_00243	Syap.g_02657
OG0000312	Prbk.g_00247	Syap.g_02114
OG0000313	Prbk.g_00271	Syap.g_02473
OG0000314	Prbk.g_01222	Syap.g_00007
OG0000315	Prbk.g_01212	Syap.g_00017
OG0000316	Prbk.g_01991	Syap.g_00030
OG0000317	Prbk.g_00913	Syap.g_00618
OG0000318	Prbk.g_00906	Syap.g_00622, Syap.g_02786
OG0000319	Prbk.g_01443	Syap.g_01764, Syap.g_01771
OG0000320	Prbk.g_01441	Syap.g_01761, Syap.g_01769
OG0000321	Prbk.g_01440	Syap.g_01760, Syap.g_01768
OG0000322	Prbk.g_01439	Syap.g_01759, Syap.g_01767
OG0000323	Prbk.g_01428	Syap.g_01389
OG0000324	Prbk.g_01399	Syap.g_01503
OG0000325	Prbk.g_01904	Syap.g_02680
OG0000326	Prbk.g_01912	Syap.g_00544
OG0000327	Prbk.g_00987	Syap.g_01233, Syap.g_01913
OG0000328	Prbk.g_00986	Syap.g_01234, Syap.g_01912
OG0000329	Prbk.g_00969	Syap.g_00498
OG0000330	Prbk.g_00968	Syap.g_00497
OG0000331	Prbk.g_00967	Syap.g_00496
OG0000332	Prbk.g_00952	Syap.g_00481
OG0000333	Prbk.g_00950	Syap.g_00478
OG0000334	Prbk.g_00801	Syap.g_00468
OG0000335	Prbk.g_00806	Syap.g_00101, Syap.g_00463
OG0000336	Prbk.g_00810	Syap.g_00417, Syap.g_00607
OG0000337	Prbk.g_00506	Syap.g_01054
OG0000338	Prbk.g_00510	Syap.g_01059
OG0000339	Prbk.g_00516	Syap.g_01068
OG0000340	Prbk.g_00528	Syap.g_01077
OG0000341	Prbk.g_00530	Syap.g_01079
OG0000342	Prbk.g_00531	Syap.g_01080, Syap.g_02477
OG0000343	Prbk.g_00215	Syap.g_01086, Syap.g_02078
OG0000344	Prbk.g_00218	Syap.g_01091
OG0000345	Prbk.g_00233	Syap.g_01107, Syap.g_01470
OG0000346	Prbk.g_00238	Syap.g_01113
OG0000347	Prbk.g_01540	Syap.g_01131, Syap.g_02459
OG0000348	Prbk.g_01578	Syap.g_00632
OG0000349	Prbk.g_01602	Syap.g_00110, Syap.g_01813
OG0000351	Prbk.g_02252	Syap.g_02594
OG0000352	Prbk.g_02253	Syap.g_02596, Syap.g_02597
OG0000353	Prbk.g_02277	Syap.g_00054
OG0000354	Prbk.g_01635	Syap.g_00075, Syap.g_02635
OG0000355	Prbk.g_02279	Syap.g_00056
OG0000356	Prbk.g_02280	Syap.g_00057
OG0000357	Prbk.g_02281	Syap.g_00058
OG0000358	Prbk.g_02285	Syap.g_00063
OG0000359	Prbk.g_02287	Syap.g_00065
OG0000360	Prbk.g_02288	Syap.g_00067
OG0000361	Prbk.g_02289	Syap.g_00068
OG0000362	Prbk.g_02291	Syap.g_00070
OG0000363	Prbk.g_01639	Syap.g_00072
OG0000364	Prbk.g_01638	Syap.g_00620
OG0000365	Prbk.g_01629	Syap.g_00081
OG0000366	Prbk.g_01628	Syap.g_00082
OG0000367	Prbk.g_01627	Syap.g_00083
OG0000368	Prbk.g_01625	Syap.g_00085
OG0000369	Prbk.g_01624	Syap.g_00086
OG0000370	Prbk.g_01623	Syap.g_00087
OG0000372	Prbk.g_01609	Syap.g_01805
OG0000373	Prbk.g_01608	Syap.g_01806
OG0000374	Prbk.g_01607	Syap.g_01807
OG0000375	Prbk.g_01606	Syap.g_01808
OG0000376	Prbk.g_01604	Syap.g_01811
OG0000377	Prbk.g_02155	Syap.g_00128
OG0000378	Prbk.g_02141	Syap.g_01326
OG0000380	Prbk.g_01323	Syap.g_01687
OG0000381	Prbk.g_01319	Syap.g_01690
OG0000382	Prbk.g_01304	Syap.g_02548
OG0000383	Prbk.g_01302	Syap.g_02359
OG0000384	Prbk.g_01301	Syap.g_02360
OG0000385	Prbk.g_01300	Syap.g_02361
OG0000386	Prbk.g_01299	Syap.g_02362
OG0000387	Prbk.g_00020	Syap.g_01864
OG0000391	Prbk.g_00196	Syap.g_02234
OG0000392	Prbk.g_00202	Syap.g_02225
OG0000393	Prbk.g_00207	Syap.g_02222
OG0000394	Prbk.g_00208	Syap.g_02221
OG0000395	Prbk.g_00209	Syap.g_02220
OG0000396	Prbk.g_00542	Syap.g_02217
OG0000397	Prbk.g_00544	Syap.g_02215
OG0000398	Prbk.g_00549	Syap.g_02211
OG0000399	Prbk.g_00550	Syap.g_02210
OG0000400	Prbk.g_00551	Syap.g_02209
OG0000401	Prbk.g_00552	Syap.g_02208
OG0000402	Prbk.g_00554	Syap.g_02206
OG0000403	Prbk.g_00555	Syap.g_02205
OG0000404	Prbk.g_00557	Syap.g_02204, Syap.g_02618
OG0000405	Prbk.g_00749	Syap.g_02191
OG0000406	Prbk.g_00753	Syap.g_02186
OG0000407	Prbk.g_00754	Syap.g_02185
OG0000408	Prbk.g_00756	Syap.g_02181, Syap.g_02182
OG0000409	Prbk.g_00758	Syap.g_02179
OG0000410	Prbk.g_00759	Syap.g_02178
OG0000411	Prbk.g_00760	Syap.g_02177
OG0000412	Prbk.g_00761	Syap.g_02176
OG0000413	Prbk.g_00763	Syap.g_02174
OG0000414	Prbk.g_00764	Syap.g_02173
OG0000415	Prbk.g_00765	Syap.g_02172
OG0000416	Prbk.g_00766	Syap.g_02171
OG0000417	Prbk.g_00767	Syap.g_02169
OG0000418	Prbk.g_00772	Syap.g_01204
OG0000419	Prbk.g_00774	Syap.g_01201
OG0000420	Prbk.g_00775	Syap.g_01199
OG0000421	Prbk.g_00779	Syap.g_01195
OG0000422	Prbk.g_00780	Syap.g_01194
OG0000423	Prbk.g_00781	Syap.g_01193
OG0000424	Prbk.g_00782	Syap.g_01192
OG0000425	Prbk.g_00783	Syap.g_01191
OG0000426	Prbk.g_00784	Syap.g_01190
OG0000427	Prbk.g_00785	Syap.g_01189
OG0000428	Prbk.g_02425	Syap.g_01186
OG0000429	Prbk.g_01283	Syap.g_01184
OG0000430	Prbk.g_01281	Syap.g_01182
OG0000431	Prbk.g_01277	Syap.g_01179
OG0000432	Prbk.g_01270	Syap.g_02277
OG0000433	Prbk.g_01267	Syap.g_02272
OG0000434	Prbk.g_01266	Syap.g_02271
OG0000435	Prbk.g_01263	Syap.g_02268
OG0000436	Prbk.g_01257	Syap.g_01607
OG0000437	Prbk.g_01256	Syap.g_01608
OG0000438	Prbk.g_01255	Syap.g_01612
OG0000439	Prbk.g_01253	Syap.g_01614
OG0000440	Prbk.g_01252	Syap.g_01615
OG0000441	Prbk.g_01245	Syap.g_01619
OG0000442	Prbk.g_01244	Syap.g_01620
OG0000443	Prbk.g_00631	Syap.g_01622
OG0000444	Prbk.g_00683	Syap.g_01424
OG0000445	Prbk.g_00682	Syap.g_01421
OG0000446	Prbk.g_00680	Syap.g_01419
OG0000447	Prbk.g_00670	Syap.g_01410
OG0000448	Prbk.g_00669	Syap.g_01407
OG0000449	Prbk.g_00668	Syap.g_01406
OG0000450	Prbk.g_00662	Syap.g_01909
OG0000451	Prbk.g_00661	Syap.g_01908
OG0000452	Prbk.g_00656	Syap.g_01904
OG0000453	Prbk.g_00655	Syap.g_01903
OG0000454	Prbk.g_00654	Syap.g_01902
OG0000455	Prbk.g_00653	Syap.g_01901
OG0000456	Prbk.g_00652	Syap.g_01900
OG0000457	Prbk.g_00650	Syap.g_01896
OG0000458	Prbk.g_00649	Syap.g_01895
OG0000459	Prbk.g_00648	Syap.g_01894
OG0000460	Prbk.g_01369	Syap.g_01159
OG0000461	Prbk.g_01900	Syap.g_01575
OG0000462	Prbk.g_01012	Syap.g_01578
OG0000463	Prbk.g_01011	Syap.g_01579
OG0000464	Prbk.g_01010	Syap.g_01580
OG0000465	Prbk.g_01008	Syap.g_01582
OG0000466	Prbk.g_01003	Syap.g_01587
OG0000467	Prbk.g_01001	Syap.g_01588
OG0000468	Prbk.g_00371	Syap.g_01593
OG0000469	Prbk.g_00384	Syap.g_02352
OG0000470	Prbk.g_00397	Syap.g_02349
OG0000471	Prbk.g_00398	Syap.g_02348
OG0000472	Prbk.g_00400	Syap.g_02347
OG0000473	Prbk.g_00402	Syap.g_02343
OG0000474	Prbk.g_00403	Syap.g_02342
OG0000475	Prbk.g_00404	Syap.g_02341
OG0000476	Prbk.g_00406	Syap.g_02339
OG0000477	Prbk.g_00411	Syap.g_01367
OG0000478	Prbk.g_00412	Syap.g_01366
OG0000479	Prbk.g_00413	Syap.g_01364
OG0000480	Prbk.g_00420	Syap.g_01357
OG0000482	Prbk.g_00423	Syap.g_01355
OG0000483	Prbk.g_00427	Syap.g_01344
OG0000484	Prbk.g_00428	Syap.g_01350
OG0000485	Prbk.g_00429	Syap.g_01349
OG0000487	Prbk.g_00435	Syap.g_01635
OG0000488	Prbk.g_00439	Syap.g_01639
OG0000489	Prbk.g_00450	Syap.g_02482
OG0000490	Prbk.g_00456	Syap.g_01673
OG0000491	Prbk.g_00457	Syap.g_01670
OG0000492	Prbk.g_00460	Syap.g_01668
OG0000493	Prbk.g_00461	Syap.g_01667
OG0000494	Prbk.g_00462	Syap.g_01666
OG0000495	Prbk.g_00463	Syap.g_01665
OG0000496	Prbk.g_00464	Syap.g_01663
OG0000497	Prbk.g_00465	Syap.g_01662
OG0000498	Prbk.g_00466	Syap.g_01661
OG0000499	Prbk.g_00467	Syap.g_01660
OG0000500	Prbk.g_00468	Syap.g_01659
OG0000501	Prbk.g_00471	Syap.g_01656
OG0000502	Prbk.g_00483	Syap.g_02066
OG0000503	Prbk.g_00871	Syap.g_00569
OG0000504	Prbk.g_00873	Syap.g_00567
OG0000505	Prbk.g_00874	Syap.g_00566
OG0000506	Prbk.g_00876	Syap.g_00564
OG0000507	Prbk.g_00881	Syap.g_00558
OG0000508	Prbk.g_00888	Syap.g_00554
OG0000509	Prbk.g_00890	Syap.g_00551
OG0000510	Prbk.g_00891	Syap.g_00550
OG0000511	Prbk.g_00892	Syap.g_00548
OG0000512	Prbk.g_00894	Syap.g_02145
OG0000513	Prbk.g_00360	Syap.g_02048
OG0000514	Prbk.g_00352	Syap.g_02051
OG0000515	Prbk.g_00351	Syap.g_02052
OG0000516	Prbk.g_00339	Syap.g_02054
OG0000517	Prbk.g_00329	Syap.g_02057
OG0000519	Prbk.g_00316	Syap.g_00457
OG0000520	Prbk.g_00315	Syap.g_00456
OG0000521	Prbk.g_00301	Syap.g_01997
OG0000522	Prbk.g_00299	Syap.g_01995
OG0000523	Prbk.g_00298	Syap.g_02507
OG0000524	Prbk.g_02088	Syap.g_02135
OG0000525	Prbk.g_02105	Syap.g_02159
OG0000526	Prbk.g_02107	Syap.g_02157
OG0000527	Prbk.g_02111	Syap.g_02758
OG0000528	Prbk.g_02056	Syap.g_02261
OG0000529	Prbk.g_02062	Syap.g_02254
OG0000530	Prbk.g_02065	Syap.g_02252
OG0000531	Prbk.g_02066	Syap.g_02251
OG0000532	Prbk.g_02069	Syap.g_02247
OG0000533	Prbk.g_02071	Syap.g_02244
OG0000534	Prbk.g_02072	Syap.g_02243
OG0000535	Prbk.g_02073	Syap.g_02242
OG0000536	Prbk.g_02074	Syap.g_02241
OG0000537	Prbk.g_02075	Syap.g_02240
OG0000538	Prbk.g_01865	Syap.g_00271
OG0000539	Prbk.g_01041	Syap.g_00270
OG0000540	Prbk.g_01042	Syap.g_00269
OG0000541	Prbk.g_01043	Syap.g_00268
OG0000542	Prbk.g_01046	Syap.g_00264
OG0000543	Prbk.g_01048	Syap.g_00261
OG0000544	Prbk.g_01049	Syap.g_00260
OG0000545	Prbk.g_01050	Syap.g_00259
OG0000546	Prbk.g_01052	Syap.g_00256
OG0000547	Prbk.g_01054	Syap.g_00254
OG0000548	Prbk.g_01055	Syap.g_00253
OG0000549	Prbk.g_01061	Syap.g_00758
OG0000550	Prbk.g_01066	Syap.g_02747
OG0000551	Prbk.g_01070	Syap.g_02739
OG0000552	Prbk.g_01071	Syap.g_02738
OG0000553	Prbk.g_01076	Syap.g_02735
OG0000554	Prbk.g_01081	Syap.g_01450
OG0000555	Prbk.g_01099	Syap.g_01941
OG0000556	Prbk.g_02686	Syap.g_01933
OG0000557	Prbk.g_01898	Syap.g_01931
OG0000558	Prbk.g_01895	Syap.g_01147
OG0000560	Prbk.g_01888	Syap.g_00305
OG0000561	Prbk.g_01887	Syap.g_00304
OG0000562	Prbk.g_01886	Syap.g_00302
OG0000563	Prbk.g_01885	Syap.g_00301
OG0000564	Prbk.g_01884	Syap.g_00300
OG0000565	Prbk.g_01881	Syap.g_00296
OG0000566	Prbk.g_01877	Syap.g_00291
OG0000567	Prbk.g_01873	Syap.g_01297
OG0000568	Prbk.g_01871	Syap.g_01302
