Orthogroup	Prbd	Prac
OG0000043	Prbd.g_00087	Prac.g_01491
OG0000044	Prbd.g_00468	Prac.g_00985
OG0000045	Prbd.g_01733	Prac.g_00258
OG0000046	Prbd.g_01532	Prac.g_00632
OG0000047	Prbd.g_01335	Prac.g_00041
OG0000048	Prbd.g_01328	Prac.g_00048
OG0000050	Prbd.g_01206	Prac.g_01916
OG0000051	Prbd.g_01083	Prac.g_01773
OG0000052	Prbd.g_00868	Prac.g_01163
OG0000053	Prbd.g_00703	Prac.g_00833
OG0000054	Prbd.g_00055	Prac.g_01515
OG0000055	Prbd.g_00124	Prac.g_01453
OG0000057	Prbd.g_01002, Prbd.g_01537	Prac.g_01693
OG0000058	Prbd.g_00767	Prac.g_01069
OG0000059	Prbd.g_00546	Prac.g_00673
OG0000060	Prbd.g_00036	Prac.g_01531
OG0000061	Prbd.g_00425	Prac.g_01020
OG0000061	Prbd.g_00284	Prac.g_01020
OG0000062	Prbd.g_00427	Prac.g_01018
OG0000063	Prbd.g_01895	Prac.g_01955
OG0000064	Prbd.g_01884, Prbd.g_01547, Prbd.g_01536	Prac.g_00133
OG0000065	Prbd.g_01801	Prac.g_00175
OG0000066	Prbd.g_01737	Prac.g_00248
OG0000067	Prbd.g_01867, Prbd.g_00534	Prac.g_00142
OG0000068	Prbd.g_01391	Prac.g_00548
OG0000069	Prbd.g_01730	Prac.g_00242
OG0000071	Prbd.g_01226	Prac.g_01936
OG0000072	Prbd.g_00917	Prac.g_01609
OG0000073	Prbd.g_00575	Prac.g_00702
OG0000074	Prbd.g_00553	Prac.g_00680
OG0000075	Prbd.g_00109	Prac.g_01468
OG0000076	Prbd.g_00340	Prac.g_01256
OG0000077	Prbd.g_01913	Prac.g_00276
OG0000078	Prbd.g_01734	Prac.g_00256
OG0000079	Prbd.g_01610	Prac.g_00333
OG0000080	Prbd.g_01561	Prac.g_00886
OG0000081	Prbd.g_01361	Prac.g_00015
OG0000082	Prbd.g_01272	Prac.g_00101
OG0000083	Prbd.g_01234	Prac.g_01944
OG0000084	Prbd.g_01231	Prac.g_01941
OG0000085	Prbd.g_01214	Prac.g_01924
OG0000086	Prbd.g_01199	Prac.g_01893
OG0000087	Prbd.g_01188	Prac.g_01882
OG0000088	Prbd.g_01131	Prac.g_01818
OG0000089	Prbd.g_01122	Prac.g_01810
OG0000090	Prbd.g_01104, Prbd.g_01103	Prac.g_01792
OG0000091	Prbd.g_01071	Prac.g_01761
OG0000092	Prbd.g_01070	Prac.g_01760
OG0000093	Prbd.g_01056	Prac.g_01746
OG0000094	Prbd.g_01038	Prac.g_01728
OG0000095	Prbd.g_01033	Prac.g_01723
OG0000096	Prbd.g_00988	Prac.g_01679
OG0000097	Prbd.g_00965	Prac.g_01657
OG0000098	Prbd.g_00955	Prac.g_01647
OG0000099	Prbd.g_00945	Prac.g_01637
OG0000100	Prbd.g_00942	Prac.g_01634
OG0000101	Prbd.g_00882	Prac.g_01177
OG0000102	Prbd.g_00855	Prac.g_01150
OG0000103	Prbd.g_00766	Prac.g_01068
OG0000104	Prbd.g_00762	Prac.g_01064
OG0000105	Prbd.g_00743	Prac.g_00872
OG0000106	Prbd.g_00710	Prac.g_00840
OG0000107	Prbd.g_00709	Prac.g_00839
OG0000108	Prbd.g_00699	Prac.g_00829
OG0000109	Prbd.g_00690	Prac.g_00820
OG0000110	Prbd.g_00674	Prac.g_00804
OG0000111	Prbd.g_00593	Prac.g_00720
OG0000112	Prbd.g_00592	Prac.g_00719
OG0000113	Prbd.g_00029	Prac.g_01538
OG0000114	Prbd.g_00100	Prac.g_01477
OG0000115	Prbd.g_00264	Prac.g_01327
OG0000116	Prbd.g_00268	Prac.g_01323
OG0000117	Prbd.g_00337	Prac.g_01259
OG0000118	Prbd.g_00389	Prac.g_01207
OG0000119	Prbd.g_00430	Prac.g_01959
OG0000120	Prbd.g_00474	Prac.g_00979
OG0000121	Prbd.g_00493	Prac.g_00960
OG0000122	Prbd.g_00512	Prac.g_00941
OG0000123	Prbd.g_00525	Prac.g_00928
OG0000124	Prbd.g_01921	Prac.g_00448
OG0000125	Prbd.g_01789	Prac.g_00187
OG0000126	Prbd.g_01764	Prac.g_00217
OG0000127	Prbd.g_01702	Prac.g_00424
OG0000128	Prbd.g_01688	Prac.g_00410
OG0000129	Prbd.g_01652	Prac.g_00374
OG0000130	Prbd.g_01527	Prac.g_00627
OG0000131	Prbd.g_01489	Prac.g_00589
OG0000132	Prbd.g_01486	Prac.g_00586
OG0000133	Prbd.g_01432	Prac.g_00507
OG0000134	Prbd.g_01396	Prac.g_00543
OG0000135	Prbd.g_01394	Prac.g_00545
OG0000136	Prbd.g_01350	Prac.g_00026
OG0000137	Prbd.g_01317	Prac.g_00057
OG0000138	Prbd.g_01281	Prac.g_00092
OG0000139	Prbd.g_01255	Prac.g_00118
OG0000140	Prbd.g_01236	Prac.g_01946
OG0000141	Prbd.g_01235	Prac.g_01945
OG0000142	Prbd.g_01233	Prac.g_01943
OG0000143	Prbd.g_01232	Prac.g_01942
OG0000144	Prbd.g_01230	Prac.g_01940
OG0000145	Prbd.g_01229	Prac.g_01939
OG0000146	Prbd.g_01228	Prac.g_01938
OG0000147	Prbd.g_01227	Prac.g_01937
OG0000148	Prbd.g_01225	Prac.g_01935
OG0000149	Prbd.g_01223	Prac.g_01933
OG0000150	Prbd.g_01222	Prac.g_01932
OG0000151	Prbd.g_01221	Prac.g_01931
OG0000152	Prbd.g_01220	Prac.g_01930
OG0000153	Prbd.g_01219	Prac.g_01929
OG0000154	Prbd.g_01218	Prac.g_01928
OG0000155	Prbd.g_01217	Prac.g_01927
OG0000156	Prbd.g_01216	Prac.g_01926
OG0000157	Prbd.g_01215	Prac.g_01925
OG0000158	Prbd.g_01213	Prac.g_01923
OG0000159	Prbd.g_01212	Prac.g_01922
OG0000160	Prbd.g_01211	Prac.g_01921
OG0000161	Prbd.g_01210	Prac.g_01920
OG0000162	Prbd.g_01209	Prac.g_01919
OG0000163	Prbd.g_01208	Prac.g_01918
OG0000164	Prbd.g_01205	Prac.g_01915
OG0000165	Prbd.g_01202	Prac.g_01911
OG0000166	Prbd.g_01201	Prac.g_01910
OG0000167	Prbd.g_01200	Prac.g_01909
OG0000168	Prbd.g_01198	Prac.g_01892
OG0000169	Prbd.g_01196	Prac.g_01890
OG0000170	Prbd.g_01195	Prac.g_01889
OG0000171	Prbd.g_01194	Prac.g_01888
OG0000172	Prbd.g_01192	Prac.g_01886
OG0000173	Prbd.g_01191	Prac.g_01885
OG0000174	Prbd.g_01190	Prac.g_01884
OG0000175	Prbd.g_01189	Prac.g_01883
OG0000176	Prbd.g_01187	Prac.g_01881
OG0000177	Prbd.g_01186	Prac.g_01880
OG0000178	Prbd.g_01185	Prac.g_01879
OG0000179	Prbd.g_01180	Prac.g_01867
OG0000180	Prbd.g_01179	Prac.g_01866
OG0000181	Prbd.g_01178	Prac.g_01865
OG0000182	Prbd.g_01175	Prac.g_01862
OG0000183	Prbd.g_01174	Prac.g_01861
OG0000184	Prbd.g_01171	Prac.g_01858
OG0000185	Prbd.g_01167	Prac.g_01854
OG0000186	Prbd.g_01166	Prac.g_01853
OG0000187	Prbd.g_01165	Prac.g_01852
OG0000188	Prbd.g_01164	Prac.g_01851
OG0000189	Prbd.g_01163	Prac.g_01850
OG0000190	Prbd.g_01162	Prac.g_01849
OG0000191	Prbd.g_01161	Prac.g_01848
OG0000192	Prbd.g_01160	Prac.g_01847
OG0000193	Prbd.g_01159	Prac.g_01846
OG0000194	Prbd.g_01158	Prac.g_01845
OG0000195	Prbd.g_01156	Prac.g_01843
OG0000196	Prbd.g_01155	Prac.g_01842
OG0000197	Prbd.g_01154	Prac.g_01841
OG0000198	Prbd.g_01153	Prac.g_01840
OG0000199	Prbd.g_01150	Prac.g_01837
OG0000200	Prbd.g_01149	Prac.g_01836
OG0000201	Prbd.g_01148	Prac.g_01835
OG0000202	Prbd.g_01147	Prac.g_01834
OG0000203	Prbd.g_01146	Prac.g_01833
OG0000204	Prbd.g_01145	Prac.g_01832
OG0000205	Prbd.g_01144	Prac.g_01831
OG0000206	Prbd.g_01143	Prac.g_01830
OG0000207	Prbd.g_01142	Prac.g_01829
OG0000208	Prbd.g_01141	Prac.g_01828
OG0000209	Prbd.g_01140	Prac.g_01827
OG0000210	Prbd.g_01138	Prac.g_01825
OG0000211	Prbd.g_01137	Prac.g_01824
OG0000212	Prbd.g_01136	Prac.g_01823
OG0000213	Prbd.g_01135	Prac.g_01822
OG0000214	Prbd.g_01133	Prac.g_01820
OG0000215	Prbd.g_01132	Prac.g_01819
OG0000216	Prbd.g_01130	Prac.g_01817
OG0000217	Prbd.g_01128	Prac.g_01816
OG0000218	Prbd.g_01127	Prac.g_01815
OG0000219	Prbd.g_01126	Prac.g_01814
OG0000220	Prbd.g_01123	Prac.g_01811
OG0000221	Prbd.g_01121	Prac.g_01809
OG0000222	Prbd.g_01120	Prac.g_01808
OG0000223	Prbd.g_01119	Prac.g_01807
OG0000224	Prbd.g_01116	Prac.g_01804
OG0000225	Prbd.g_01114	Prac.g_01802
OG0000226	Prbd.g_01113	Prac.g_01801
OG0000227	Prbd.g_01112	Prac.g_01800
OG0000228	Prbd.g_01111	Prac.g_01799
OG0000229	Prbd.g_01110	Prac.g_01798
OG0000230	Prbd.g_01109	Prac.g_01797
OG0000231	Prbd.g_01107	Prac.g_01795
OG0000232	Prbd.g_01106	Prac.g_01794
OG0000233	Prbd.g_01102	Prac.g_01791
OG0000234	Prbd.g_01100	Prac.g_01789
OG0000235	Prbd.g_01095	Prac.g_01785
OG0000236	Prbd.g_01094	Prac.g_01784
OG0000237	Prbd.g_01093	Prac.g_01783
OG0000238	Prbd.g_01092	Prac.g_01782
OG0000239	Prbd.g_01091	Prac.g_01781
OG0000240	Prbd.g_01089	Prac.g_01779
OG0000241	Prbd.g_01088	Prac.g_01778
OG0000242	Prbd.g_01087	Prac.g_01777
OG0000243	Prbd.g_01086	Prac.g_01776
OG0000244	Prbd.g_01085	Prac.g_01775
OG0000245	Prbd.g_01084	Prac.g_01774
OG0000246	Prbd.g_01082	Prac.g_01772
OG0000247	Prbd.g_01081	Prac.g_01771
OG0000248	Prbd.g_01080	Prac.g_01770
OG0000249	Prbd.g_01079	Prac.g_01769
OG0000250	Prbd.g_01078	Prac.g_01768
OG0000251	Prbd.g_01077	Prac.g_01767
OG0000252	Prbd.g_01076	Prac.g_01766
OG0000253	Prbd.g_01075	Prac.g_01765
OG0000254	Prbd.g_01073	Prac.g_01763
OG0000255	Prbd.g_01072	Prac.g_01762
OG0000256	Prbd.g_01069	Prac.g_01759
OG0000257	Prbd.g_01067	Prac.g_01757
OG0000258	Prbd.g_01066	Prac.g_01756
OG0000259	Prbd.g_01065	Prac.g_01755
OG0000260	Prbd.g_01064	Prac.g_01754
OG0000261	Prbd.g_01063	Prac.g_01753
OG0000262	Prbd.g_01062	Prac.g_01752
OG0000263	Prbd.g_01061	Prac.g_01751
OG0000264	Prbd.g_01059	Prac.g_01749
OG0000265	Prbd.g_01058	Prac.g_01748
OG0000266	Prbd.g_01057	Prac.g_01747
OG0000267	Prbd.g_01055	Prac.g_01745
OG0000268	Prbd.g_01054	Prac.g_01744
OG0000269	Prbd.g_01053	Prac.g_01743
OG0000270	Prbd.g_01052	Prac.g_01742
OG0000271	Prbd.g_01051	Prac.g_01741
OG0000272	Prbd.g_01050	Prac.g_01740
OG0000273	Prbd.g_01049	Prac.g_01739
OG0000274	Prbd.g_01048	Prac.g_01738
OG0000275	Prbd.g_01047	Prac.g_01737
OG0000276	Prbd.g_01046	Prac.g_01736
OG0000277	Prbd.g_01045	Prac.g_01735
OG0000278	Prbd.g_01044	Prac.g_01734
OG0000279	Prbd.g_01043	Prac.g_01733
OG0000280	Prbd.g_01042	Prac.g_01732
OG0000281	Prbd.g_01040	Prac.g_01730
OG0000282	Prbd.g_01039	Prac.g_01729
OG0000283	Prbd.g_01036	Prac.g_01726
OG0000284	Prbd.g_01035	Prac.g_01725
OG0000285	Prbd.g_01034	Prac.g_01724
OG0000286	Prbd.g_01032	Prac.g_01722
OG0000287	Prbd.g_01031	Prac.g_01721
OG0000288	Prbd.g_01030	Prac.g_01720
OG0000289	Prbd.g_01029	Prac.g_01719
OG0000290	Prbd.g_01028	Prac.g_01718
OG0000291	Prbd.g_01027	Prac.g_01717
OG0000292	Prbd.g_01026	Prac.g_01716
OG0000293	Prbd.g_01025	Prac.g_01715
OG0000294	Prbd.g_01024	Prac.g_01714
OG0000295	Prbd.g_01023	Prac.g_01713
OG0000296	Prbd.g_01022	Prac.g_01712
OG0000297	Prbd.g_01021	Prac.g_01711
OG0000298	Prbd.g_01020	Prac.g_01710
OG0000299	Prbd.g_01019	Prac.g_01709
OG0000300	Prbd.g_01018	Prac.g_01708
OG0000301	Prbd.g_01017	Prac.g_01707
OG0000302	Prbd.g_01016	Prac.g_01706
OG0000303	Prbd.g_01015	Prac.g_01705
OG0000304	Prbd.g_01013	Prac.g_01704
OG0000305	Prbd.g_01012	Prac.g_01703
OG0000306	Prbd.g_01011	Prac.g_01702
OG0000307	Prbd.g_01010	Prac.g_01701
OG0000308	Prbd.g_01009	Prac.g_01700
OG0000309	Prbd.g_01008	Prac.g_01699
OG0000310	Prbd.g_01007	Prac.g_01698
OG0000311	Prbd.g_01006	Prac.g_01697
OG0000312	Prbd.g_01004	Prac.g_01695
OG0000313	Prbd.g_01003	Prac.g_01694
OG0000314	Prbd.g_01000	Prac.g_01691
OG0000315	Prbd.g_00999	Prac.g_01690
OG0000316	Prbd.g_00997	Prac.g_01688
OG0000317	Prbd.g_00995	Prac.g_01686
OG0000318	Prbd.g_00994	Prac.g_01685
OG0000319	Prbd.g_00993	Prac.g_01684
OG0000320	Prbd.g_00992	Prac.g_01683
OG0000321	Prbd.g_00989	Prac.g_01680
OG0000322	Prbd.g_00986	Prac.g_01678
OG0000323	Prbd.g_00985	Prac.g_01677
OG0000324	Prbd.g_00982	Prac.g_01674
OG0000325	Prbd.g_00980	Prac.g_01672
OG0000326	Prbd.g_00979	Prac.g_01671
OG0000327	Prbd.g_00977	Prac.g_01669
OG0000328	Prbd.g_00976	Prac.g_01668
OG0000329	Prbd.g_00975	Prac.g_01667
OG0000330	Prbd.g_00974	Prac.g_01666
OG0000331	Prbd.g_00973	Prac.g_01665
OG0000332	Prbd.g_00972	Prac.g_01664
OG0000333	Prbd.g_00971	Prac.g_01663
OG0000334	Prbd.g_00970	Prac.g_01662
OG0000335	Prbd.g_00969	Prac.g_01661
OG0000336	Prbd.g_00968	Prac.g_01660
OG0000337	Prbd.g_00964	Prac.g_01656
OG0000338	Prbd.g_00963	Prac.g_01655
OG0000339	Prbd.g_00962	Prac.g_01654
OG0000340	Prbd.g_00961	Prac.g_01653
OG0000341	Prbd.g_00957	Prac.g_01649
OG0000342	Prbd.g_00956	Prac.g_01648
OG0000343	Prbd.g_00954	Prac.g_01646
OG0000344	Prbd.g_00953	Prac.g_01645
OG0000345	Prbd.g_00952	Prac.g_01644
OG0000346	Prbd.g_00951	Prac.g_01643
OG0000347	Prbd.g_00950	Prac.g_01642
OG0000348	Prbd.g_00949	Prac.g_01641
OG0000349	Prbd.g_00948	Prac.g_01640
OG0000350	Prbd.g_00947	Prac.g_01639
OG0000351	Prbd.g_00944	Prac.g_01636
OG0000352	Prbd.g_00941	Prac.g_01633
OG0000353	Prbd.g_00940	Prac.g_01632
OG0000354	Prbd.g_00939	Prac.g_01631
OG0000355	Prbd.g_00938	Prac.g_01630
OG0000356	Prbd.g_00937	Prac.g_01629
OG0000357	Prbd.g_00936	Prac.g_01628
OG0000358	Prbd.g_00935	Prac.g_01627
OG0000359	Prbd.g_00934	Prac.g_01626
OG0000360	Prbd.g_00931	Prac.g_01623
OG0000361	Prbd.g_00930	Prac.g_01622
OG0000362	Prbd.g_00929	Prac.g_01621
OG0000363	Prbd.g_00928	Prac.g_01620
OG0000364	Prbd.g_00927	Prac.g_01619
OG0000365	Prbd.g_00926	Prac.g_01618
OG0000366	Prbd.g_00925	Prac.g_01617
OG0000367	Prbd.g_00924	Prac.g_01616
OG0000368	Prbd.g_00923	Prac.g_01615
OG0000369	Prbd.g_00922	Prac.g_01614
OG0000370	Prbd.g_00921	Prac.g_01613
OG0000371	Prbd.g_00920	Prac.g_01612
OG0000372	Prbd.g_00918	Prac.g_01610
OG0000373	Prbd.g_00916	Prac.g_01608
OG0000374	Prbd.g_00915	Prac.g_01607
OG0000375	Prbd.g_00914	Prac.g_01606
OG0000376	Prbd.g_00912	Prac.g_01604
OG0000377	Prbd.g_00911	Prac.g_01603
OG0000378	Prbd.g_00910	Prac.g_01602
OG0000379	Prbd.g_00905	Prac.g_01200
OG0000380	Prbd.g_00904	Prac.g_01199
OG0000381	Prbd.g_00903	Prac.g_01198
OG0000382	Prbd.g_00901	Prac.g_01196
OG0000383	Prbd.g_00898	Prac.g_01193
OG0000384	Prbd.g_00897	Prac.g_01192
OG0000385	Prbd.g_00894	Prac.g_01189
OG0000386	Prbd.g_00893	Prac.g_01188
OG0000387	Prbd.g_00892	Prac.g_01187
OG0000388	Prbd.g_00891	Prac.g_01186
OG0000389	Prbd.g_00890	Prac.g_01185
OG0000390	Prbd.g_00889	Prac.g_01184
OG0000391	Prbd.g_00888	Prac.g_01183
OG0000392	Prbd.g_00887	Prac.g_01182
OG0000393	Prbd.g_00884	Prac.g_01179
OG0000394	Prbd.g_00883	Prac.g_01178
OG0000395	Prbd.g_00881	Prac.g_01176
OG0000396	Prbd.g_00880	Prac.g_01175
OG0000397	Prbd.g_00867	Prac.g_01162
OG0000398	Prbd.g_00859	Prac.g_01154
OG0000399	Prbd.g_00858	Prac.g_01153
OG0000400	Prbd.g_00852	Prac.g_01148
OG0000401	Prbd.g_00811	Prac.g_01116
OG0000402	Prbd.g_00810	Prac.g_01115
OG0000403	Prbd.g_00809	Prac.g_01114
OG0000404	Prbd.g_00807	Prac.g_01112
OG0000405	Prbd.g_00806	Prac.g_01111
OG0000406	Prbd.g_00804	Prac.g_01109
OG0000407	Prbd.g_00803	Prac.g_01108
OG0000408	Prbd.g_00802	Prac.g_01107
OG0000409	Prbd.g_00801	Prac.g_01106
OG0000410	Prbd.g_00800	Prac.g_01105
OG0000411	Prbd.g_00799	Prac.g_01104
OG0000412	Prbd.g_00798	Prac.g_01103
OG0000413	Prbd.g_00797	Prac.g_01102
OG0000414	Prbd.g_00796	Prac.g_01101
OG0000415	Prbd.g_00795	Prac.g_01100
OG0000416	Prbd.g_00794	Prac.g_01099
OG0000417	Prbd.g_00793	Prac.g_01098
OG0000418	Prbd.g_00792	Prac.g_01097
OG0000419	Prbd.g_00791	Prac.g_01096
OG0000420	Prbd.g_00790	Prac.g_01095
OG0000421	Prbd.g_00789	Prac.g_01094
OG0000422	Prbd.g_00787	Prac.g_01092
OG0000423	Prbd.g_00786	Prac.g_01091
OG0000424	Prbd.g_00784	Prac.g_01089
OG0000425	Prbd.g_00781	Prac.g_01084
OG0000426	Prbd.g_00780	Prac.g_01083
OG0000427	Prbd.g_00779	Prac.g_01082
OG0000428	Prbd.g_00778	Prac.g_01081
OG0000429	Prbd.g_00777	Prac.g_01080
OG0000430	Prbd.g_00771	Prac.g_01073
OG0000431	Prbd.g_00769	Prac.g_01071
OG0000432	Prbd.g_00768	Prac.g_01070
OG0000433	Prbd.g_00765	Prac.g_01067
OG0000434	Prbd.g_00764	Prac.g_01066
OG0000435	Prbd.g_00763	Prac.g_01065
OG0000436	Prbd.g_00761	Prac.g_01063
OG0000437	Prbd.g_00759	Prac.g_01061
OG0000438	Prbd.g_00758	Prac.g_01060
OG0000439	Prbd.g_00757	Prac.g_01059
OG0000440	Prbd.g_00755	Prac.g_01057
OG0000441	Prbd.g_00754	Prac.g_01056
OG0000442	Prbd.g_00753	Prac.g_01055
OG0000443	Prbd.g_00752	Prac.g_01054
OG0000444	Prbd.g_00751	Prac.g_01053
OG0000445	Prbd.g_00750	Prac.g_01052
OG0000446	Prbd.g_00749	Prac.g_01051
OG0000447	Prbd.g_00748	Prac.g_01050
OG0000448	Prbd.g_00747	Prac.g_01049
OG0000449	Prbd.g_00742	Prac.g_00871
OG0000450	Prbd.g_00741	Prac.g_00870
OG0000451	Prbd.g_00740	Prac.g_00869
OG0000452	Prbd.g_00739	Prac.g_00868
OG0000453	Prbd.g_00737	Prac.g_00866
OG0000454	Prbd.g_00736	Prac.g_00865
OG0000455	Prbd.g_00735	Prac.g_00864
OG0000456	Prbd.g_00734	Prac.g_00863
OG0000457	Prbd.g_00732	Prac.g_00861
OG0000458	Prbd.g_00730	Prac.g_00859
OG0000459	Prbd.g_00729	Prac.g_00858
OG0000460	Prbd.g_00727	Prac.g_00857
OG0000461	Prbd.g_00726	Prac.g_00856
OG0000462	Prbd.g_00725	Prac.g_00855
OG0000463	Prbd.g_00724	Prac.g_00854
OG0000464	Prbd.g_00719	Prac.g_00849
OG0000465	Prbd.g_00717	Prac.g_00847
OG0000466	Prbd.g_00716	Prac.g_00846
OG0000467	Prbd.g_00715	Prac.g_00845
OG0000468	Prbd.g_00714	Prac.g_00844
OG0000469	Prbd.g_00713	Prac.g_00843
OG0000470	Prbd.g_00712	Prac.g_00842
OG0000471	Prbd.g_00711	Prac.g_00841
OG0000472	Prbd.g_00708	Prac.g_00838
OG0000473	Prbd.g_00707	Prac.g_00837
OG0000474	Prbd.g_00706	Prac.g_00836
OG0000475	Prbd.g_00705	Prac.g_00835
OG0000476	Prbd.g_00704	Prac.g_00834
OG0000477	Prbd.g_00702	Prac.g_00832
OG0000478	Prbd.g_00701	Prac.g_00831
OG0000479	Prbd.g_00700	Prac.g_00830
OG0000480	Prbd.g_00698	Prac.g_00828
OG0000481	Prbd.g_00697	Prac.g_00827
OG0000482	Prbd.g_00696	Prac.g_00826
OG0000483	Prbd.g_00695	Prac.g_00825
OG0000484	Prbd.g_00694	Prac.g_00824
OG0000485	Prbd.g_00693	Prac.g_00823
OG0000486	Prbd.g_00692	Prac.g_00822
OG0000487	Prbd.g_00691	Prac.g_00821
OG0000488	Prbd.g_00689	Prac.g_00819
OG0000489	Prbd.g_00688	Prac.g_00818
OG0000490	Prbd.g_00687	Prac.g_00817
OG0000491	Prbd.g_00686	Prac.g_00816
OG0000492	Prbd.g_00685	Prac.g_00815
OG0000493	Prbd.g_00684	Prac.g_00814
OG0000494	Prbd.g_00682	Prac.g_00812
OG0000495	Prbd.g_00681	Prac.g_00811
OG0000496	Prbd.g_00680	Prac.g_00810
OG0000497	Prbd.g_00679	Prac.g_00809
OG0000498	Prbd.g_00678	Prac.g_00808
OG0000499	Prbd.g_00676	Prac.g_00806
OG0000500	Prbd.g_00675	Prac.g_00805
OG0000501	Prbd.g_00673	Prac.g_00803
OG0000502	Prbd.g_00672	Prac.g_00802
OG0000503	Prbd.g_00671	Prac.g_00801
OG0000504	Prbd.g_00670	Prac.g_00800
OG0000505	Prbd.g_00669	Prac.g_00799
OG0000506	Prbd.g_00668	Prac.g_00798
OG0000507	Prbd.g_00667	Prac.g_00797
OG0000508	Prbd.g_00665	Prac.g_00795
OG0000509	Prbd.g_00664	Prac.g_00794
OG0000510	Prbd.g_00663	Prac.g_00793
OG0000511	Prbd.g_00662	Prac.g_00792
OG0000512	Prbd.g_00661	Prac.g_00791
OG0000513	Prbd.g_00660	Prac.g_00790
OG0000514	Prbd.g_00659	Prac.g_00789
OG0000515	Prbd.g_00657	Prac.g_00787
OG0000516	Prbd.g_00656	Prac.g_00786
OG0000517	Prbd.g_00655	Prac.g_00785
OG0000518	Prbd.g_00653	Prac.g_00782
OG0000519	Prbd.g_00652	Prac.g_00780
OG0000520	Prbd.g_00651	Prac.g_00779
OG0000521	Prbd.g_00650	Prac.g_00778
OG0000522	Prbd.g_00649	Prac.g_00777
OG0000523	Prbd.g_00648	Prac.g_00776
OG0000524	Prbd.g_00647	Prac.g_00775
OG0000525	Prbd.g_00645	Prac.g_00772
OG0000526	Prbd.g_00644	Prac.g_00771
OG0000527	Prbd.g_00643	Prac.g_00770
OG0000528	Prbd.g_00642	Prac.g_00769
OG0000529	Prbd.g_00641	Prac.g_00768
OG0000530	Prbd.g_00640	Prac.g_00767
OG0000531	Prbd.g_00639	Prac.g_00766
OG0000532	Prbd.g_00638	Prac.g_00765
OG0000533	Prbd.g_00637	Prac.g_00764
OG0000534	Prbd.g_00636	Prac.g_00763
OG0000535	Prbd.g_00635	Prac.g_00762
OG0000536	Prbd.g_00634	Prac.g_00761
OG0000537	Prbd.g_00633	Prac.g_00760
OG0000538	Prbd.g_00632	Prac.g_00759
OG0000539	Prbd.g_00631	Prac.g_00758
OG0000540	Prbd.g_00630	Prac.g_00757
OG0000541	Prbd.g_00629	Prac.g_00756
OG0000542	Prbd.g_00628	Prac.g_00755
OG0000543	Prbd.g_00627	Prac.g_00754
OG0000544	Prbd.g_00626	Prac.g_00753
OG0000545	Prbd.g_00623	Prac.g_00750
OG0000546	Prbd.g_00622	Prac.g_00749
OG0000547	Prbd.g_00620	Prac.g_00747
