Orthogroup	Prbc	Prbd
OG0000028	Prbc.g_00709	Prbd.g_01689
OG0000029	Prbc.g_02181, Prbc.g_00752	Prbd.g_01575
OG0000031	Prbc.g_00088	Prbd.g_01544
OG0000033	Prbc.g_01083	Prbd.g_01224
OG0000035	Prbc.g_01380	Prbd.g_00192
OG0000036	Prbc.g_00891	Prbd.g_00658
OG0000037	Prbc.g_02155	Prbd.g_00621
OG0000038	Prbc.g_00166	Prbd.g_00061
OG0000039	Prbc.g_00405	Prbd.g_01074
OG0000040	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006	Prbd.g_00879
OG0000041	Prbc.g_01315	Prbd.g_00833
OG0000042	Prbc.g_01787	Prbd.g_00007
OG0000043	Prbc.g_01999	Prbd.g_00087
OG0000044	Prbc.g_01446	Prbd.g_00468
OG0000046	Prbc.g_00826	Prbd.g_01532
OG0000047	Prbc.g_00211	Prbd.g_01335
OG0000048	Prbc.g_00203	Prbd.g_01328
OG0000050	Prbc.g_01101	Prbd.g_01206
OG0000051	Prbc.g_00414	Prbd.g_01083
OG0000052	Prbc.g_00134, Prbc.g_00641	Prbd.g_00868
OG0000053	Prbc.g_01618	Prbd.g_00703
OG0000055	Prbc.g_01882, Prbc.g_00153	Prbd.g_00124
OG0000057	Prbc.g_00333	Prbd.g_01002, Prbd.g_01537
OG0000058	Prbc.g_01534	Prbd.g_00767
OG0000059	Prbc.g_00055, Prbc.g_01780	Prbd.g_00546
OG0000061	Prbc.g_00645	Prbd.g_00425, Prbd.g_00284
OG0000062	Prbc.g_00896	Prbd.g_00427
OG0000063	Prbc.g_00102	Prbd.g_01895
OG0000065	Prbc.g_00566	Prbd.g_01801
OG0000066	Prbc.g_01753	Prbd.g_01737
OG0000067	Prbc.g_00136	Prbd.g_01867, Prbd.g_00534
OG0000068	Prbc.g_00284	Prbd.g_01391
OG0000071	Prbc.g_01081	Prbd.g_01226
OG0000072	Prbc.g_01214	Prbd.g_00917
OG0000073	Prbc.g_01748	Prbd.g_00575
OG0000074	Prbc.g_01773	Prbd.g_00553
OG0000075	Prbc.g_01865	Prbd.g_00109
OG0000076	Prbc.g_02113	Prbd.g_00340
OG0000077	Prbc.g_00105, Prbc.g_02166, Prbc.g_00807	Prbd.g_01913
OG0000078	Prbc.g_01229	Prbd.g_01734
OG0000079	Prbc.g_00790	Prbd.g_01610
OG0000080	Prbc.g_00144	Prbd.g_01561
OG0000081	Prbc.g_00238	Prbd.g_01361
OG0000083	Prbc.g_01073	Prbd.g_01234
OG0000084	Prbc.g_01076	Prbd.g_01231
OG0000085	Prbc.g_01093	Prbd.g_01214
OG0000086	Prbc.g_00132	Prbd.g_01199
OG0000087	Prbc.g_01127	Prbd.g_01188
OG0000088	Prbc.g_00458	Prbd.g_01131
OG0000089	Prbc.g_00449	Prbd.g_01122
OG0000090	Prbc.g_00432	Prbd.g_01104, Prbd.g_01103
OG0000091	Prbc.g_00402	Prbd.g_01071
OG0000092	Prbc.g_00401	Prbd.g_01070
OG0000093	Prbc.g_00388	Prbd.g_01056
OG0000094	Prbc.g_00369	Prbd.g_01038
OG0000095	Prbc.g_00365	Prbd.g_01033
OG0000096	Prbc.g_01147	Prbd.g_00988
OG0000097	Prbc.g_01167	Prbd.g_00965
OG0000099	Prbc.g_01186	Prbd.g_00945
OG0000100	Prbc.g_01189	Prbd.g_00942
OG0000101	Prbc.g_01270	Prbd.g_00882
OG0000102	Prbc.g_02183	Prbd.g_00855
OG0000103	Prbc.g_01535	Prbd.g_00766
OG0000104	Prbc.g_01540	Prbd.g_00762
OG0000105	Prbc.g_01579	Prbd.g_00743
OG0000106	Prbc.g_01611	Prbd.g_00710
OG0000107	Prbc.g_01612	Prbd.g_00709
OG0000108	Prbc.g_01622	Prbd.g_00699
OG0000109	Prbc.g_01632	Prbd.g_00690
OG0000110	Prbc.g_01648	Prbd.g_00674
OG0000111	Prbc.g_01728	Prbd.g_00593
OG0000112	Prbc.g_01729	Prbd.g_00592
OG0000113	Prbc.g_01811	Prbd.g_00029
OG0000114	Prbc.g_01856	Prbd.g_00100
OG0000115	Prbc.g_02036	Prbd.g_00264
OG0000116	Prbc.g_02040	Prbd.g_00268
OG0000117	Prbc.g_02110	Prbd.g_00337
OG0000118	Prbc.g_00173	Prbd.g_00389
OG0000119	Prbc.g_00899	Prbd.g_00430
OG0000120	Prbc.g_01439	Prbd.g_00474
OG0000121	Prbc.g_01417	Prbd.g_00493
OG0000122	Prbc.g_01397	Prbd.g_00512
OG0000123	Prbc.g_01387	Prbd.g_00525
OG0000124	Prbc.g_02103	Prbd.g_01921
OG0000125	Prbc.g_00577	Prbd.g_01789
OG0000126	Prbc.g_00657	Prbd.g_01764
OG0000127	Prbc.g_00695	Prbd.g_01702
OG0000128	Prbc.g_00710	Prbd.g_01688
OG0000129	Prbc.g_00744	Prbd.g_01652
OG0000130	Prbc.g_00830	Prbd.g_01527
OG0000131	Prbc.g_00867	Prbd.g_01489
OG0000132	Prbc.g_00869	Prbd.g_01486
OG0000133	Prbc.g_00326, Prbc.g_01572	Prbd.g_01432
OG0000134	Prbc.g_00290	Prbd.g_01396
OG0000135	Prbc.g_01560, Prbc.g_00288	Prbd.g_01394
OG0000136	Prbc.g_00226	Prbd.g_01350
OG0000137	Prbc.g_00190	Prbd.g_01317
OG0000138	Prbc.g_00997	Prbd.g_01281
OG0000139	Prbc.g_01047	Prbd.g_01255
OG0000140	Prbc.g_01071	Prbd.g_01236
OG0000141	Prbc.g_01072	Prbd.g_01235
OG0000142	Prbc.g_01074	Prbd.g_01233
OG0000143	Prbc.g_01075	Prbd.g_01232
OG0000144	Prbc.g_01077	Prbd.g_01230
OG0000145	Prbc.g_01078	Prbd.g_01229
OG0000146	Prbc.g_01079	Prbd.g_01228
OG0000147	Prbc.g_01080	Prbd.g_01227
OG0000148	Prbc.g_01082	Prbd.g_01225
OG0000149	Prbc.g_01084	Prbd.g_01223
OG0000150	Prbc.g_01085	Prbd.g_01222
OG0000151	Prbc.g_01086	Prbd.g_01221
OG0000152	Prbc.g_01087	Prbd.g_01220
OG0000153	Prbc.g_01088	Prbd.g_01219
OG0000154	Prbc.g_01089	Prbd.g_01218
OG0000155	Prbc.g_01090	Prbd.g_01217
OG0000156	Prbc.g_01091	Prbd.g_01216
OG0000157	Prbc.g_01092	Prbd.g_01215
OG0000158	Prbc.g_01094	Prbd.g_01213
OG0000159	Prbc.g_01095	Prbd.g_01212
OG0000160	Prbc.g_01096	Prbd.g_01211
OG0000161	Prbc.g_01097	Prbd.g_01210
OG0000162	Prbc.g_01098	Prbd.g_01209
OG0000163	Prbc.g_01099	Prbd.g_01208
OG0000164	Prbc.g_01102	Prbd.g_01205
OG0000165	Prbc.g_01104	Prbd.g_01202
OG0000166	Prbc.g_01105	Prbd.g_01201
OG0000167	Prbc.g_01106	Prbd.g_01200
OG0000168	Prbc.g_01118	Prbd.g_01198
OG0000169	Prbc.g_01120	Prbd.g_01196
OG0000170	Prbc.g_01121	Prbd.g_01195
OG0000171	Prbc.g_01122	Prbd.g_01194
OG0000172	Prbc.g_01123	Prbd.g_01192
OG0000173	Prbc.g_01124	Prbd.g_01191
OG0000174	Prbc.g_01125	Prbd.g_01190
OG0000175	Prbc.g_01126	Prbd.g_01189
OG0000176	Prbc.g_01128	Prbd.g_01187
OG0000177	Prbc.g_01129	Prbd.g_01186
OG0000178	Prbc.g_01130	Prbd.g_01185
OG0000179	Prbc.g_00509	Prbd.g_01180
OG0000180	Prbc.g_00508	Prbd.g_01179
OG0000181	Prbc.g_00507	Prbd.g_01178
OG0000182	Prbc.g_00504	Prbd.g_01175
OG0000183	Prbc.g_00503	Prbd.g_01174
OG0000184	Prbc.g_00500	Prbd.g_01171
OG0000185	Prbc.g_00496	Prbd.g_01167
OG0000186	Prbc.g_00495	Prbd.g_01166
OG0000187	Prbc.g_00494	Prbd.g_01165
OG0000188	Prbc.g_00493	Prbd.g_01164
OG0000189	Prbc.g_00492	Prbd.g_01163
OG0000190	Prbc.g_00491	Prbd.g_01162
OG0000191	Prbc.g_00490	Prbd.g_01161
OG0000192	Prbc.g_00489	Prbd.g_01160
OG0000193	Prbc.g_00488	Prbd.g_01159
OG0000194	Prbc.g_00487	Prbd.g_01158
OG0000195	Prbc.g_00485	Prbd.g_01156
OG0000196	Prbc.g_00484	Prbd.g_01155
OG0000197	Prbc.g_00483	Prbd.g_01154
OG0000198	Prbc.g_00482	Prbd.g_01153
OG0000199	Prbc.g_00479	Prbd.g_01150
OG0000200	Prbc.g_00478	Prbd.g_01149
OG0000201	Prbc.g_00477	Prbd.g_01148
OG0000202	Prbc.g_00476	Prbd.g_01147
OG0000203	Prbc.g_00475	Prbd.g_01146
OG0000204	Prbc.g_00474	Prbd.g_01145
OG0000205	Prbc.g_00472	Prbd.g_01144
OG0000206	Prbc.g_00471	Prbd.g_01143
OG0000207	Prbc.g_00470	Prbd.g_01142
OG0000208	Prbc.g_00469	Prbd.g_01141
OG0000209	Prbc.g_00468	Prbd.g_01140
OG0000210	Prbc.g_00467	Prbd.g_01138
OG0000211	Prbc.g_00466	Prbd.g_01137
OG0000212	Prbc.g_00465	Prbd.g_01136
OG0000213	Prbc.g_00464	Prbd.g_01135
OG0000214	Prbc.g_00460	Prbd.g_01133
OG0000215	Prbc.g_00459	Prbd.g_01132
OG0000216	Prbc.g_00457	Prbd.g_01130
OG0000217	Prbc.g_00455	Prbd.g_01128
OG0000218	Prbc.g_00454	Prbd.g_01127
OG0000219	Prbc.g_00453	Prbd.g_01126
OG0000220	Prbc.g_00451	Prbd.g_01123
OG0000221	Prbc.g_00448	Prbd.g_01121
OG0000222	Prbc.g_00447	Prbd.g_01120
OG0000223	Prbc.g_00446	Prbd.g_01119
OG0000224	Prbc.g_00443	Prbd.g_01116
OG0000225	Prbc.g_00441	Prbd.g_01114
OG0000226	Prbc.g_00439	Prbd.g_01113
OG0000227	Prbc.g_00438	Prbd.g_01112
OG0000228	Prbc.g_00437	Prbd.g_01111
OG0000229	Prbc.g_00436	Prbd.g_01110
OG0000230	Prbc.g_00435	Prbd.g_01109
OG0000231	Prbc.g_02145	Prbd.g_01107
OG0000232	Prbc.g_00434	Prbd.g_01106
OG0000233	Prbc.g_00431	Prbd.g_01102
OG0000234	Prbc.g_00428	Prbd.g_01100
OG0000235	Prbc.g_00426	Prbd.g_01095
OG0000236	Prbc.g_00425	Prbd.g_01094
OG0000237	Prbc.g_00424	Prbd.g_01093
OG0000238	Prbc.g_00423	Prbd.g_01092
OG0000239	Prbc.g_00422	Prbd.g_01091
OG0000240	Prbc.g_00420	Prbd.g_01089
OG0000241	Prbc.g_00419	Prbd.g_01088
OG0000242	Prbc.g_00418	Prbd.g_01087
OG0000243	Prbc.g_00417	Prbd.g_01086
OG0000244	Prbc.g_00416	Prbd.g_01085
OG0000245	Prbc.g_00415	Prbd.g_01084
OG0000246	Prbc.g_00413	Prbd.g_01082
OG0000247	Prbc.g_00412	Prbd.g_01081
OG0000248	Prbc.g_00411	Prbd.g_01080
OG0000249	Prbc.g_00410	Prbd.g_01079
OG0000250	Prbc.g_00409	Prbd.g_01078
OG0000251	Prbc.g_00408	Prbd.g_01077
OG0000252	Prbc.g_00407	Prbd.g_01076
OG0000253	Prbc.g_00406	Prbd.g_01075
OG0000254	Prbc.g_00404	Prbd.g_01073
OG0000255	Prbc.g_00403	Prbd.g_01072
OG0000256	Prbc.g_00400	Prbd.g_01069
OG0000257	Prbc.g_00399	Prbd.g_01067
OG0000258	Prbc.g_00398	Prbd.g_01066
OG0000259	Prbc.g_00397	Prbd.g_01065
OG0000260	Prbc.g_00396	Prbd.g_01064
OG0000261	Prbc.g_00395	Prbd.g_01063
OG0000262	Prbc.g_00394	Prbd.g_01062
OG0000263	Prbc.g_00393	Prbd.g_01061
OG0000264	Prbc.g_00391	Prbd.g_01059
OG0000265	Prbc.g_00390	Prbd.g_01058
OG0000266	Prbc.g_00389	Prbd.g_01057
OG0000267	Prbc.g_00387	Prbd.g_01055
OG0000268	Prbc.g_00385	Prbd.g_01054
OG0000269	Prbc.g_00384	Prbd.g_01053
OG0000270	Prbc.g_00383	Prbd.g_01052
OG0000271	Prbc.g_00382	Prbd.g_01051
OG0000272	Prbc.g_00381	Prbd.g_01050
OG0000273	Prbc.g_00380	Prbd.g_01049
OG0000274	Prbc.g_00379	Prbd.g_01048
OG0000275	Prbc.g_00378	Prbd.g_01047
OG0000276	Prbc.g_00377	Prbd.g_01046
OG0000277	Prbc.g_00376	Prbd.g_01045
OG0000278	Prbc.g_00375	Prbd.g_01044
OG0000279	Prbc.g_00374	Prbd.g_01043
OG0000280	Prbc.g_00373	Prbd.g_01042
OG0000281	Prbc.g_00371	Prbd.g_01040
OG0000282	Prbc.g_00370	Prbd.g_01039
OG0000283	Prbc.g_00368	Prbd.g_01036
OG0000284	Prbc.g_00367	Prbd.g_01035
OG0000285	Prbc.g_00366	Prbd.g_01034
OG0000286	Prbc.g_00364	Prbd.g_01032
OG0000287	Prbc.g_00363	Prbd.g_01031
OG0000288	Prbc.g_00362	Prbd.g_01030
OG0000289	Prbc.g_00361	Prbd.g_01029
OG0000290	Prbc.g_00360	Prbd.g_01028
OG0000291	Prbc.g_00358	Prbd.g_01027
OG0000292	Prbc.g_00357	Prbd.g_01026
OG0000293	Prbc.g_00356	Prbd.g_01025
OG0000294	Prbc.g_00355	Prbd.g_01024
OG0000295	Prbc.g_00354	Prbd.g_01023
OG0000296	Prbc.g_00353	Prbd.g_01022
OG0000297	Prbc.g_00352	Prbd.g_01021
OG0000298	Prbc.g_00351	Prbd.g_01020
OG0000299	Prbc.g_00350	Prbd.g_01019
OG0000300	Prbc.g_00349	Prbd.g_01018
OG0000301	Prbc.g_00348	Prbd.g_01017
OG0000302	Prbc.g_00347	Prbd.g_01016
OG0000303	Prbc.g_00346	Prbd.g_01015
OG0000304	Prbc.g_00345	Prbd.g_01013
OG0000305	Prbc.g_00344	Prbd.g_01012
OG0000306	Prbc.g_00343	Prbd.g_01011
OG0000307	Prbc.g_00342	Prbd.g_01010
OG0000308	Prbc.g_00341	Prbd.g_01009
OG0000309	Prbc.g_00340	Prbd.g_01008
OG0000310	Prbc.g_00339	Prbd.g_01007
OG0000311	Prbc.g_00337	Prbd.g_01006
OG0000312	Prbc.g_00335	Prbd.g_01004
OG0000313	Prbc.g_00334	Prbd.g_01003
OG0000314	Prbc.g_00330	Prbd.g_01000
OG0000315	Prbc.g_00329	Prbd.g_00999
OG0000316	Prbc.g_01140	Prbd.g_00997
OG0000317	Prbc.g_01142	Prbd.g_00995
OG0000318	Prbc.g_01143	Prbd.g_00994
OG0000319	Prbc.g_01144	Prbd.g_00993
OG0000320	Prbc.g_01145	Prbd.g_00992
OG0000321	Prbc.g_01146	Prbd.g_00989
OG0000322	Prbc.g_01149	Prbd.g_00986
OG0000323	Prbc.g_01150	Prbd.g_00985
OG0000324	Prbc.g_01153	Prbd.g_00982
OG0000325	Prbc.g_01154	Prbd.g_00980
OG0000326	Prbc.g_01155	Prbd.g_00979
OG0000327	Prbc.g_01156	Prbd.g_00977
OG0000328	Prbc.g_01157	Prbd.g_00976
OG0000329	Prbc.g_01158	Prbd.g_00975
OG0000330	Prbc.g_01159	Prbd.g_00974
OG0000331	Prbc.g_01160	Prbd.g_00973
OG0000332	Prbc.g_01161	Prbd.g_00972
OG0000333	Prbc.g_01162	Prbd.g_00971
OG0000334	Prbc.g_01163	Prbd.g_00970
OG0000335	Prbc.g_01164	Prbd.g_00969
OG0000336	Prbc.g_01166	Prbd.g_00968
OG0000337	Prbc.g_01168	Prbd.g_00964
OG0000338	Prbc.g_01169	Prbd.g_00963
OG0000339	Prbc.g_01170	Prbd.g_00962
OG0000340	Prbc.g_01171	Prbd.g_00961
OG0000341	Prbc.g_01175	Prbd.g_00957
OG0000342	Prbc.g_01176	Prbd.g_00956
OG0000343	Prbc.g_01178	Prbd.g_00954
OG0000344	Prbc.g_01179	Prbd.g_00953
OG0000345	Prbc.g_01180	Prbd.g_00952
OG0000346	Prbc.g_01181	Prbd.g_00951
OG0000347	Prbc.g_01182	Prbd.g_00950
OG0000348	Prbc.g_01183	Prbd.g_00949
OG0000349	Prbc.g_01184	Prbd.g_00948
OG0000350	Prbc.g_01185	Prbd.g_00947
OG0000351	Prbc.g_01187	Prbd.g_00944
OG0000352	Prbc.g_01190	Prbd.g_00941
OG0000353	Prbc.g_01191	Prbd.g_00940
OG0000354	Prbc.g_01192	Prbd.g_00939
OG0000355	Prbc.g_01193	Prbd.g_00938
OG0000356	Prbc.g_01194	Prbd.g_00937
OG0000357	Prbc.g_01195	Prbd.g_00936
OG0000358	Prbc.g_01196	Prbd.g_00935
OG0000359	Prbc.g_01197	Prbd.g_00934
OG0000360	Prbc.g_01200	Prbd.g_00931
OG0000361	Prbc.g_01201	Prbd.g_00930
OG0000362	Prbc.g_01202	Prbd.g_00929
OG0000363	Prbc.g_01203	Prbd.g_00928
OG0000364	Prbc.g_01204	Prbd.g_00927
OG0000365	Prbc.g_01205	Prbd.g_00926
OG0000366	Prbc.g_01206	Prbd.g_00925
OG0000367	Prbc.g_01207	Prbd.g_00924
OG0000368	Prbc.g_01208	Prbd.g_00923
OG0000369	Prbc.g_01209	Prbd.g_00922
OG0000370	Prbc.g_01210	Prbd.g_00921
OG0000371	Prbc.g_01211	Prbd.g_00920
OG0000372	Prbc.g_01213	Prbd.g_00918
OG0000373	Prbc.g_01215	Prbd.g_00916
OG0000374	Prbc.g_01216	Prbd.g_00915
OG0000375	Prbc.g_01217	Prbd.g_00914
OG0000376	Prbc.g_01219	Prbd.g_00912
OG0000377	Prbc.g_01225	Prbd.g_00911
OG0000378	Prbc.g_01813	Prbd.g_00910
OG0000379	Prbc.g_01246	Prbd.g_00905
OG0000380	Prbc.g_01248	Prbd.g_00904
OG0000381	Prbc.g_01249	Prbd.g_00903
OG0000382	Prbc.g_01250	Prbd.g_00901
OG0000383	Prbc.g_01253	Prbd.g_00898
OG0000384	Prbc.g_01254	Prbd.g_00897
OG0000385	Prbc.g_01256	Prbd.g_00894
OG0000386	Prbc.g_01257	Prbd.g_00893
OG0000387	Prbc.g_01258	Prbd.g_00892
OG0000388	Prbc.g_01259	Prbd.g_00891
OG0000389	Prbc.g_01260	Prbd.g_00890
OG0000390	Prbc.g_01261	Prbd.g_00889
OG0000391	Prbc.g_01262	Prbd.g_00888
OG0000392	Prbc.g_01263	Prbd.g_00887
OG0000393	Prbc.g_01267	Prbd.g_00884
OG0000394	Prbc.g_01268	Prbd.g_00883
OG0000395	Prbc.g_01271	Prbd.g_00881
OG0000396	Prbc.g_01912	Prbd.g_00880
OG0000397	Prbc.g_02137	Prbd.g_00867
OG0000398	Prbc.g_02168	Prbd.g_00859
OG0000399	Prbc.g_01317	Prbd.g_00858
OG0000400	Prbc.g_00934	Prbd.g_00852
OG0000401	Prbc.g_01492	Prbd.g_00811
OG0000402	Prbc.g_01493	Prbd.g_00810
OG0000403	Prbc.g_01494	Prbd.g_00809
OG0000404	Prbc.g_01496	Prbd.g_00807
OG0000405	Prbc.g_01497	Prbd.g_00806
OG0000406	Prbc.g_01499	Prbd.g_00804
OG0000407	Prbc.g_01500	Prbd.g_00803
OG0000408	Prbc.g_01501	Prbd.g_00802
OG0000409	Prbc.g_01502	Prbd.g_00801
OG0000410	Prbc.g_01503	Prbd.g_00800
OG0000411	Prbc.g_01504	Prbd.g_00799
OG0000412	Prbc.g_01505	Prbd.g_00798
OG0000413	Prbc.g_01506	Prbd.g_00797
OG0000414	Prbc.g_01507	Prbd.g_00796
OG0000415	Prbc.g_01508	Prbd.g_00795
OG0000416	Prbc.g_01509	Prbd.g_00794
OG0000417	Prbc.g_01510	Prbd.g_00793
OG0000418	Prbc.g_01511	Prbd.g_00792
OG0000419	Prbc.g_01512	Prbd.g_00791
OG0000420	Prbc.g_01513	Prbd.g_00790
OG0000421	Prbc.g_01514	Prbd.g_00789
OG0000422	Prbc.g_01516	Prbd.g_00787
OG0000423	Prbc.g_01517	Prbd.g_00786
OG0000424	Prbc.g_01518	Prbd.g_00784
OG0000425	Prbc.g_01524	Prbd.g_00781
OG0000426	Prbc.g_01525	Prbd.g_00780
OG0000427	Prbc.g_01526	Prbd.g_00779
OG0000428	Prbc.g_01528	Prbd.g_00778
OG0000429	Prbc.g_01529	Prbd.g_00777
OG0000430	Prbc.g_01531	Prbd.g_00771
OG0000431	Prbc.g_01532	Prbd.g_00769
OG0000432	Prbc.g_01533	Prbd.g_00768
OG0000433	Prbc.g_01536	Prbd.g_00765
OG0000434	Prbc.g_01538	Prbd.g_00764
OG0000435	Prbc.g_01539	Prbd.g_00763
OG0000436	Prbc.g_01541	Prbd.g_00761
OG0000437	Prbc.g_01543	Prbd.g_00759
OG0000438	Prbc.g_01544	Prbd.g_00758
OG0000439	Prbc.g_01545	Prbd.g_00757
OG0000440	Prbc.g_01546	Prbd.g_00755
OG0000441	Prbc.g_01547	Prbd.g_00754
OG0000442	Prbc.g_01548	Prbd.g_00753
OG0000443	Prbc.g_01549	Prbd.g_00752
OG0000444	Prbc.g_01550	Prbd.g_00751
OG0000445	Prbc.g_01551	Prbd.g_00750
OG0000446	Prbc.g_01552	Prbd.g_00749
OG0000447	Prbc.g_01553	Prbd.g_00748
OG0000448	Prbc.g_01554	Prbd.g_00747
OG0000449	Prbc.g_01580	Prbd.g_00742
OG0000450	Prbc.g_01581	Prbd.g_00741
OG0000451	Prbc.g_01582	Prbd.g_00740
OG0000452	Prbc.g_01583	Prbd.g_00739
OG0000453	Prbc.g_01585	Prbd.g_00737
OG0000454	Prbc.g_01586	Prbd.g_00736
OG0000455	Prbc.g_01587	Prbd.g_00735
OG0000456	Prbc.g_01588	Prbd.g_00734
OG0000457	Prbc.g_01590	Prbd.g_00732
OG0000458	Prbc.g_01592	Prbd.g_00730
OG0000459	Prbc.g_01593	Prbd.g_00729
OG0000460	Prbc.g_01595	Prbd.g_00727
OG0000461	Prbc.g_01596	Prbd.g_00726
OG0000462	Prbc.g_01597	Prbd.g_00725
OG0000463	Prbc.g_01599	Prbd.g_00724
OG0000464	Prbc.g_01603	Prbd.g_00719
OG0000465	Prbc.g_01604	Prbd.g_00717
OG0000466	Prbc.g_01605	Prbd.g_00716
OG0000467	Prbc.g_01606	Prbd.g_00715
OG0000468	Prbc.g_01607	Prbd.g_00714
OG0000469	Prbc.g_01608	Prbd.g_00713
OG0000470	Prbc.g_01609	Prbd.g_00712
OG0000471	Prbc.g_01610	Prbd.g_00711
OG0000472	Prbc.g_01613	Prbd.g_00708
OG0000473	Prbc.g_01614	Prbd.g_00707
OG0000474	Prbc.g_01615	Prbd.g_00706
OG0000475	Prbc.g_01616	Prbd.g_00705
OG0000476	Prbc.g_01617	Prbd.g_00704
OG0000477	Prbc.g_01619	Prbd.g_00702
OG0000478	Prbc.g_01620	Prbd.g_00701
OG0000479	Prbc.g_01621	Prbd.g_00700
OG0000480	Prbc.g_01623	Prbd.g_00698
OG0000481	Prbc.g_01624	Prbd.g_00697
OG0000482	Prbc.g_01626	Prbd.g_00696
OG0000483	Prbc.g_01627	Prbd.g_00695
OG0000484	Prbc.g_01628	Prbd.g_00694
OG0000485	Prbc.g_01629	Prbd.g_00693
OG0000486	Prbc.g_01630	Prbd.g_00692
OG0000487	Prbc.g_01631	Prbd.g_00691
OG0000488	Prbc.g_01633	Prbd.g_00689
OG0000489	Prbc.g_01634	Prbd.g_00688
OG0000490	Prbc.g_01635	Prbd.g_00687
OG0000491	Prbc.g_01636	Prbd.g_00686
OG0000492	Prbc.g_01637	Prbd.g_00685
OG0000493	Prbc.g_01638	Prbd.g_00684
OG0000494	Prbc.g_01640	Prbd.g_00682
OG0000495	Prbc.g_01641	Prbd.g_00681
OG0000496	Prbc.g_01642	Prbd.g_00680
OG0000497	Prbc.g_01643	Prbd.g_00679
OG0000498	Prbc.g_01644	Prbd.g_00678
OG0000499	Prbc.g_01646	Prbd.g_00676
OG0000500	Prbc.g_01647	Prbd.g_00675
OG0000501	Prbc.g_01649	Prbd.g_00673
OG0000502	Prbc.g_01650	Prbd.g_00672
OG0000503	Prbc.g_01651	Prbd.g_00671
OG0000504	Prbc.g_01652	Prbd.g_00670
OG0000505	Prbc.g_01653	Prbd.g_00669
OG0000506	Prbc.g_01654	Prbd.g_00668
OG0000507	Prbc.g_01655	Prbd.g_00667
OG0000508	Prbc.g_01656	Prbd.g_00665
OG0000509	Prbc.g_01657	Prbd.g_00664
OG0000510	Prbc.g_01658	Prbd.g_00663
OG0000511	Prbc.g_01659	Prbd.g_00662
OG0000512	Prbc.g_01660	Prbd.g_00661
OG0000513	Prbc.g_01661	Prbd.g_00660
OG0000514	Prbc.g_01662	Prbd.g_00659
OG0000515	Prbc.g_01663	Prbd.g_00657
OG0000516	Prbc.g_01664	Prbd.g_00656
OG0000517	Prbc.g_01665	Prbd.g_00655
OG0000518	Prbc.g_01667	Prbd.g_00653
OG0000519	Prbc.g_01668	Prbd.g_00652
OG0000520	Prbc.g_01670	Prbd.g_00651
OG0000521	Prbc.g_01669	Prbd.g_00650
OG0000522	Prbc.g_01671	Prbd.g_00649
OG0000523	Prbc.g_01672	Prbd.g_00648
OG0000524	Prbc.g_01673	Prbd.g_00647
OG0000525	Prbc.g_01675	Prbd.g_00645
OG0000526	Prbc.g_01676	Prbd.g_00644
OG0000527	Prbc.g_01677	Prbd.g_00643
OG0000528	Prbc.g_01678	Prbd.g_00642
OG0000529	Prbc.g_01679	Prbd.g_00641
OG0000530	Prbc.g_01680	Prbd.g_00640
OG0000531	Prbc.g_01682	Prbd.g_00639
