Orthogroup	Prbc	Prau
OG0000076	Prbc.g_02113	Prau.g_01089
OG0000077	Prbc.g_00105, Prbc.g_02166, Prbc.g_00807	Prau.g_01666
OG0000078	Prbc.g_01229	Prau.g_01435, Prau.g_01434, Prau.g_01491
OG0000079	Prbc.g_00790	Prau.g_01609
OG0000080	Prbc.g_00144	Prau.g_01658
OG0000081	Prbc.g_00238	Prau.g_01899
OG0000082	Prbc.g_01009	Prau.g_01297
OG0000083	Prbc.g_01073	Prau.g_00003
OG0000084	Prbc.g_01076	Prau.g_00006
OG0000085	Prbc.g_01093	Prau.g_00023
OG0000086	Prbc.g_00132	Prau.g_00046, Prau.g_00429, Prau.g_00422
OG0000087	Prbc.g_01127	Prau.g_00057
OG0000088	Prbc.g_00458	Prau.g_00114
OG0000089	Prbc.g_00449	Prau.g_00122
OG0000090	Prbc.g_00432	Prau.g_00140
OG0000091	Prbc.g_00402	Prau.g_00170
OG0000092	Prbc.g_00401	Prau.g_00171
OG0000093	Prbc.g_00388	Prau.g_00185
OG0000094	Prbc.g_00369	Prau.g_00203
OG0000095	Prbc.g_00365	Prau.g_00208
OG0000096	Prbc.g_01147	Prau.g_00253
OG0000097	Prbc.g_01167	Prau.g_00276
OG0000099	Prbc.g_01186	Prau.g_00296
OG0000100	Prbc.g_01189	Prau.g_00299
OG0000101	Prbc.g_01270	Prau.g_00359
OG0000102	Prbc.g_02183	Prau.g_00386
OG0000103	Prbc.g_01535	Prau.g_00517
OG0000104	Prbc.g_01540	Prau.g_00521
OG0000105	Prbc.g_01579	Prau.g_00540
OG0000106	Prbc.g_01611	Prau.g_00572
OG0000107	Prbc.g_01612	Prau.g_00573
OG0000108	Prbc.g_01622	Prau.g_00583
OG0000109	Prbc.g_01632	Prau.g_00592
OG0000110	Prbc.g_01648	Prau.g_00608
OG0000111	Prbc.g_01728	Prau.g_00691
OG0000112	Prbc.g_01729	Prau.g_00692
OG0000113	Prbc.g_01811	Prau.g_00777
OG0000114	Prbc.g_01856	Prau.g_00852
OG0000115	Prbc.g_02036	Prau.g_01015
OG0000116	Prbc.g_02040	Prau.g_01019
OG0000117	Prbc.g_02110	Prau.g_01086
OG0000118	Prbc.g_00173	Prau.g_01136
OG0000119	Prbc.g_00899	Prau.g_01177
OG0000120	Prbc.g_01439	Prau.g_01212
OG0000121	Prbc.g_01417	Prau.g_01231
OG0000122	Prbc.g_01397	Prau.g_01250
OG0000123	Prbc.g_01387	Prau.g_01263
OG0000124	Prbc.g_02103	Prau.g_01496, Prau.g_01271
OG0000125	Prbc.g_00577	Prau.g_01383
OG0000126	Prbc.g_00657	Prau.g_01409
OG0000127	Prbc.g_00695	Prau.g_01515
OG0000128	Prbc.g_00710	Prau.g_01532
OG0000129	Prbc.g_00744	Prau.g_01568
OG0000130	Prbc.g_00830	Prau.g_01730
OG0000131	Prbc.g_00867	Prau.g_01768
OG0000132	Prbc.g_00869	Prau.g_01771
OG0000133	Prbc.g_00326, Prbc.g_01572	Prau.g_01828
OG0000134	Prbc.g_00290	Prau.g_01864
OG0000135	Prbc.g_01560, Prbc.g_00288	Prau.g_01866
OG0000136	Prbc.g_00226	Prau.g_01910
OG0000137	Prbc.g_00190	Prau.g_01942
OG0000138	Prbc.g_00997	Prau.g_01978
OG0000139	Prbc.g_01047	Prau.g_02004
OG0000140	Prbc.g_01071	Prau.g_00001
OG0000141	Prbc.g_01072	Prau.g_00002
OG0000142	Prbc.g_01074	Prau.g_00004
OG0000143	Prbc.g_01075	Prau.g_00005
OG0000144	Prbc.g_01077	Prau.g_00007
OG0000145	Prbc.g_01078	Prau.g_00008
OG0000146	Prbc.g_01079	Prau.g_00009
OG0000147	Prbc.g_01080	Prau.g_00010
OG0000148	Prbc.g_01082	Prau.g_00012
OG0000149	Prbc.g_01084	Prau.g_00014
OG0000150	Prbc.g_01085	Prau.g_00015
OG0000151	Prbc.g_01086	Prau.g_00016
OG0000152	Prbc.g_01087	Prau.g_00017
OG0000153	Prbc.g_01088	Prau.g_00018
OG0000154	Prbc.g_01089	Prau.g_00019
OG0000155	Prbc.g_01090	Prau.g_00020
OG0000156	Prbc.g_01091	Prau.g_00021
OG0000157	Prbc.g_01092	Prau.g_00022
OG0000158	Prbc.g_01094	Prau.g_00024
OG0000159	Prbc.g_01095	Prau.g_00025
OG0000160	Prbc.g_01096	Prau.g_00026
OG0000161	Prbc.g_01097	Prau.g_00027
OG0000162	Prbc.g_01098	Prau.g_00028
OG0000163	Prbc.g_01099	Prau.g_00029
OG0000164	Prbc.g_01102	Prau.g_00031
OG0000165	Prbc.g_01104	Prau.g_00034
OG0000166	Prbc.g_01105	Prau.g_00035
OG0000167	Prbc.g_01106	Prau.g_00036
OG0000168	Prbc.g_01118	Prau.g_00047
OG0000169	Prbc.g_01120	Prau.g_00049
OG0000170	Prbc.g_01121	Prau.g_00050
OG0000171	Prbc.g_01122	Prau.g_00051
OG0000172	Prbc.g_01123	Prau.g_00053
OG0000173	Prbc.g_01124	Prau.g_00054
OG0000174	Prbc.g_01125	Prau.g_00055
OG0000175	Prbc.g_01126	Prau.g_00056
OG0000176	Prbc.g_01128	Prau.g_00058
OG0000177	Prbc.g_01129	Prau.g_00059
OG0000178	Prbc.g_01130	Prau.g_00060
OG0000179	Prbc.g_00509	Prau.g_00066
OG0000180	Prbc.g_00508	Prau.g_00067
OG0000181	Prbc.g_00507	Prau.g_00068
OG0000182	Prbc.g_00504	Prau.g_00071
OG0000183	Prbc.g_00503	Prau.g_00072
OG0000184	Prbc.g_00500	Prau.g_00074
OG0000185	Prbc.g_00496	Prau.g_00078
OG0000186	Prbc.g_00495	Prau.g_00079
OG0000187	Prbc.g_00494	Prau.g_00080
OG0000188	Prbc.g_00493	Prau.g_00081
OG0000189	Prbc.g_00492	Prau.g_00082
OG0000190	Prbc.g_00491	Prau.g_00083
OG0000191	Prbc.g_00490	Prau.g_00084
OG0000192	Prbc.g_00489	Prau.g_00085
OG0000193	Prbc.g_00488	Prau.g_00086
OG0000194	Prbc.g_00487	Prau.g_00087
OG0000195	Prbc.g_00485	Prau.g_00089
OG0000196	Prbc.g_00484	Prau.g_00090
OG0000197	Prbc.g_00483	Prau.g_00091
OG0000198	Prbc.g_00482	Prau.g_00092
OG0000199	Prbc.g_00479	Prau.g_00095
OG0000200	Prbc.g_00478	Prau.g_00096
OG0000201	Prbc.g_00477	Prau.g_00097
OG0000202	Prbc.g_00476	Prau.g_00098
OG0000203	Prbc.g_00475	Prau.g_00099
OG0000204	Prbc.g_00474	Prau.g_00100
OG0000205	Prbc.g_00472	Prau.g_00101
OG0000206	Prbc.g_00471	Prau.g_00102
OG0000207	Prbc.g_00470	Prau.g_00103
OG0000208	Prbc.g_00469	Prau.g_00104
OG0000209	Prbc.g_00468	Prau.g_00105
OG0000210	Prbc.g_00467	Prau.g_00107
OG0000211	Prbc.g_00466	Prau.g_00108
OG0000212	Prbc.g_00465	Prau.g_00109
OG0000213	Prbc.g_00464	Prau.g_00110
OG0000214	Prbc.g_00460	Prau.g_00112
OG0000215	Prbc.g_00459	Prau.g_00113
OG0000216	Prbc.g_00457	Prau.g_00115
OG0000217	Prbc.g_00455	Prau.g_00116
OG0000218	Prbc.g_00454	Prau.g_00117
OG0000219	Prbc.g_00453	Prau.g_00118
OG0000220	Prbc.g_00451	Prau.g_00121
OG0000221	Prbc.g_00448	Prau.g_00123
OG0000222	Prbc.g_00447	Prau.g_00124
OG0000223	Prbc.g_00446	Prau.g_00125
OG0000224	Prbc.g_00443	Prau.g_00128
OG0000225	Prbc.g_00441	Prau.g_00130
OG0000226	Prbc.g_00439	Prau.g_00131
OG0000227	Prbc.g_00438	Prau.g_00132
OG0000228	Prbc.g_00437	Prau.g_00133
OG0000229	Prbc.g_00436	Prau.g_00134
OG0000230	Prbc.g_00435	Prau.g_00135
OG0000231	Prbc.g_02145	Prau.g_00137
OG0000232	Prbc.g_00434	Prau.g_00138
OG0000233	Prbc.g_00431	Prau.g_00141
OG0000234	Prbc.g_00428	Prau.g_00143
OG0000235	Prbc.g_00426	Prau.g_00146
OG0000236	Prbc.g_00425	Prau.g_00147
OG0000237	Prbc.g_00424	Prau.g_00148
OG0000238	Prbc.g_00423	Prau.g_00149
OG0000239	Prbc.g_00422	Prau.g_00150
OG0000240	Prbc.g_00420	Prau.g_00152
OG0000241	Prbc.g_00419	Prau.g_00153
OG0000242	Prbc.g_00418	Prau.g_00154
OG0000243	Prbc.g_00417	Prau.g_00155
OG0000244	Prbc.g_00416	Prau.g_00156
OG0000245	Prbc.g_00415	Prau.g_00157
OG0000246	Prbc.g_00413	Prau.g_00159
OG0000247	Prbc.g_00412	Prau.g_00160
OG0000248	Prbc.g_00411	Prau.g_00161
OG0000249	Prbc.g_00410	Prau.g_00162
OG0000250	Prbc.g_00409	Prau.g_00163
OG0000251	Prbc.g_00408	Prau.g_00164
OG0000252	Prbc.g_00407	Prau.g_00165
OG0000253	Prbc.g_00406	Prau.g_00166
OG0000254	Prbc.g_00404	Prau.g_00168
OG0000255	Prbc.g_00403	Prau.g_00169
OG0000256	Prbc.g_00400	Prau.g_00172
OG0000257	Prbc.g_00399	Prau.g_00174
OG0000258	Prbc.g_00398	Prau.g_00175
OG0000259	Prbc.g_00397	Prau.g_00176
OG0000260	Prbc.g_00396	Prau.g_00177
OG0000261	Prbc.g_00395	Prau.g_00178
OG0000262	Prbc.g_00394	Prau.g_00179
OG0000263	Prbc.g_00393	Prau.g_00180
OG0000264	Prbc.g_00391	Prau.g_00182
OG0000265	Prbc.g_00390	Prau.g_00183
OG0000266	Prbc.g_00389	Prau.g_00184
OG0000267	Prbc.g_00387	Prau.g_00186
OG0000268	Prbc.g_00385	Prau.g_00187
OG0000269	Prbc.g_00384	Prau.g_00188
OG0000270	Prbc.g_00383	Prau.g_00189
OG0000271	Prbc.g_00382	Prau.g_00190
OG0000272	Prbc.g_00381	Prau.g_00191
OG0000273	Prbc.g_00380	Prau.g_00192
OG0000274	Prbc.g_00379	Prau.g_00193
OG0000275	Prbc.g_00378	Prau.g_00194
OG0000276	Prbc.g_00377	Prau.g_00195
OG0000277	Prbc.g_00376	Prau.g_00196
OG0000278	Prbc.g_00375	Prau.g_00197
OG0000279	Prbc.g_00374	Prau.g_00198
OG0000280	Prbc.g_00373	Prau.g_00199
OG0000281	Prbc.g_00371	Prau.g_00201
OG0000282	Prbc.g_00370	Prau.g_00202
OG0000283	Prbc.g_00368	Prau.g_00205
OG0000284	Prbc.g_00367	Prau.g_00206
OG0000285	Prbc.g_00366	Prau.g_00207
OG0000286	Prbc.g_00364	Prau.g_00209
OG0000287	Prbc.g_00363	Prau.g_00210
OG0000288	Prbc.g_00362	Prau.g_00211
OG0000289	Prbc.g_00361	Prau.g_00212
OG0000290	Prbc.g_00360	Prau.g_00213
OG0000291	Prbc.g_00358	Prau.g_00214
OG0000292	Prbc.g_00357	Prau.g_00215
OG0000293	Prbc.g_00356	Prau.g_00216
OG0000294	Prbc.g_00355	Prau.g_00217
OG0000295	Prbc.g_00354	Prau.g_00218
OG0000296	Prbc.g_00353	Prau.g_00219
OG0000297	Prbc.g_00352	Prau.g_00220
OG0000298	Prbc.g_00351	Prau.g_00221
OG0000299	Prbc.g_00350	Prau.g_00222
OG0000300	Prbc.g_00349	Prau.g_00223
OG0000301	Prbc.g_00348	Prau.g_00224
OG0000302	Prbc.g_00347	Prau.g_00225
OG0000303	Prbc.g_00346	Prau.g_00226
OG0000304	Prbc.g_00345	Prau.g_00227
OG0000305	Prbc.g_00344	Prau.g_00228
OG0000306	Prbc.g_00343	Prau.g_00229
OG0000307	Prbc.g_00342	Prau.g_00230
OG0000308	Prbc.g_00341	Prau.g_00231
OG0000309	Prbc.g_00340	Prau.g_00232
OG0000310	Prbc.g_00339	Prau.g_00233
OG0000311	Prbc.g_00337	Prau.g_00234
OG0000312	Prbc.g_00335	Prau.g_00236
OG0000313	Prbc.g_00334	Prau.g_00237
OG0000314	Prbc.g_00330	Prau.g_00240
OG0000315	Prbc.g_00329	Prau.g_00241
OG0000316	Prbc.g_01140	Prau.g_00244
OG0000317	Prbc.g_01142	Prau.g_00246
OG0000318	Prbc.g_01143	Prau.g_00247
OG0000319	Prbc.g_01144	Prau.g_00248
OG0000320	Prbc.g_01145	Prau.g_00249
OG0000321	Prbc.g_01146	Prau.g_00252
OG0000322	Prbc.g_01149	Prau.g_00255
OG0000323	Prbc.g_01150	Prau.g_00256
OG0000324	Prbc.g_01153	Prau.g_00259
OG0000325	Prbc.g_01154	Prau.g_00261
OG0000326	Prbc.g_01155	Prau.g_00262
OG0000327	Prbc.g_01156	Prau.g_00264
OG0000328	Prbc.g_01157	Prau.g_00265
OG0000329	Prbc.g_01158	Prau.g_00266
OG0000330	Prbc.g_01159	Prau.g_00267
OG0000331	Prbc.g_01160	Prau.g_00268
OG0000332	Prbc.g_01161	Prau.g_00269
OG0000333	Prbc.g_01162	Prau.g_00270
OG0000334	Prbc.g_01163	Prau.g_00271
OG0000335	Prbc.g_01164	Prau.g_00272
OG0000336	Prbc.g_01166	Prau.g_00273
OG0000337	Prbc.g_01168	Prau.g_00277
OG0000338	Prbc.g_01169	Prau.g_00278
OG0000339	Prbc.g_01170	Prau.g_00279
OG0000340	Prbc.g_01171	Prau.g_00280
OG0000341	Prbc.g_01175	Prau.g_00284
OG0000342	Prbc.g_01176	Prau.g_00285
OG0000343	Prbc.g_01178	Prau.g_00287
OG0000344	Prbc.g_01179	Prau.g_00288
OG0000345	Prbc.g_01180	Prau.g_00289
OG0000346	Prbc.g_01181	Prau.g_00290
OG0000347	Prbc.g_01182	Prau.g_00291
OG0000348	Prbc.g_01183	Prau.g_00292
OG0000349	Prbc.g_01184	Prau.g_00293
OG0000350	Prbc.g_01185	Prau.g_00294
OG0000351	Prbc.g_01187	Prau.g_00297
OG0000352	Prbc.g_01190	Prau.g_00300
OG0000353	Prbc.g_01191	Prau.g_00301
OG0000354	Prbc.g_01192	Prau.g_00302
OG0000355	Prbc.g_01193	Prau.g_00303
OG0000356	Prbc.g_01194	Prau.g_00304
OG0000357	Prbc.g_01195	Prau.g_00305
OG0000358	Prbc.g_01196	Prau.g_00306
OG0000359	Prbc.g_01197	Prau.g_00307
OG0000360	Prbc.g_01200	Prau.g_00310
OG0000361	Prbc.g_01201	Prau.g_00311
OG0000362	Prbc.g_01202	Prau.g_00312
OG0000363	Prbc.g_01203	Prau.g_00313
OG0000364	Prbc.g_01204	Prau.g_00314
OG0000365	Prbc.g_01205	Prau.g_00315
OG0000366	Prbc.g_01206	Prau.g_00316
OG0000367	Prbc.g_01207	Prau.g_00317
OG0000368	Prbc.g_01208	Prau.g_00318
OG0000369	Prbc.g_01209	Prau.g_00319
OG0000370	Prbc.g_01210	Prau.g_00320
OG0000371	Prbc.g_01211	Prau.g_00321
OG0000372	Prbc.g_01213	Prau.g_00323
OG0000373	Prbc.g_01215	Prau.g_00325
OG0000374	Prbc.g_01216	Prau.g_00326
OG0000375	Prbc.g_01217	Prau.g_00327
OG0000376	Prbc.g_01219	Prau.g_00329
OG0000377	Prbc.g_01225	Prau.g_00330
OG0000378	Prbc.g_01813	Prau.g_00331
OG0000379	Prbc.g_01246	Prau.g_00336
OG0000380	Prbc.g_01248	Prau.g_00337
OG0000381	Prbc.g_01249	Prau.g_00338
OG0000382	Prbc.g_01250	Prau.g_00340
OG0000383	Prbc.g_01253	Prau.g_00343
OG0000384	Prbc.g_01254	Prau.g_00344
OG0000385	Prbc.g_01256	Prau.g_00347
OG0000386	Prbc.g_01257	Prau.g_00348
OG0000387	Prbc.g_01258	Prau.g_00349
OG0000388	Prbc.g_01259	Prau.g_00350
OG0000389	Prbc.g_01260	Prau.g_00351
OG0000390	Prbc.g_01261	Prau.g_00352
OG0000391	Prbc.g_01262	Prau.g_00353
OG0000392	Prbc.g_01263	Prau.g_00354
OG0000393	Prbc.g_01267	Prau.g_00357
OG0000394	Prbc.g_01268	Prau.g_00358
OG0000395	Prbc.g_01271	Prau.g_00360
OG0000396	Prbc.g_01912	Prau.g_00361
OG0000397	Prbc.g_02137	Prau.g_00374
OG0000398	Prbc.g_02168	Prau.g_00382
OG0000399	Prbc.g_01317	Prau.g_00383
OG0000400	Prbc.g_00934	Prau.g_00389
OG0000401	Prbc.g_01492	Prau.g_00472
OG0000402	Prbc.g_01493	Prau.g_00473
OG0000403	Prbc.g_01494	Prau.g_00474
OG0000404	Prbc.g_01496	Prau.g_00476
OG0000405	Prbc.g_01497	Prau.g_00477
OG0000406	Prbc.g_01499	Prau.g_00479
OG0000407	Prbc.g_01500	Prau.g_00480
OG0000408	Prbc.g_01501	Prau.g_00481
OG0000409	Prbc.g_01502	Prau.g_00482
OG0000410	Prbc.g_01503	Prau.g_00483
OG0000411	Prbc.g_01504	Prau.g_00484
OG0000412	Prbc.g_01505	Prau.g_00485
OG0000413	Prbc.g_01506	Prau.g_00486
OG0000414	Prbc.g_01507	Prau.g_00487
OG0000415	Prbc.g_01508	Prau.g_00488
OG0000416	Prbc.g_01509	Prau.g_00489
OG0000417	Prbc.g_01510	Prau.g_00490
OG0000418	Prbc.g_01511	Prau.g_00491
OG0000419	Prbc.g_01512	Prau.g_00492
OG0000420	Prbc.g_01513	Prau.g_00493
OG0000421	Prbc.g_01514	Prau.g_00494
OG0000422	Prbc.g_01516	Prau.g_00496
OG0000423	Prbc.g_01517	Prau.g_00497
OG0000424	Prbc.g_01518	Prau.g_00499
OG0000425	Prbc.g_01524	Prau.g_00503
OG0000426	Prbc.g_01525	Prau.g_00504
OG0000427	Prbc.g_01526	Prau.g_00505
OG0000428	Prbc.g_01528	Prau.g_00506
OG0000429	Prbc.g_01529	Prau.g_00507
OG0000430	Prbc.g_01531	Prau.g_00512
OG0000431	Prbc.g_01532	Prau.g_00514
OG0000432	Prbc.g_01533	Prau.g_00515
OG0000433	Prbc.g_01536	Prau.g_00518
OG0000434	Prbc.g_01538	Prau.g_00519
OG0000435	Prbc.g_01539	Prau.g_00520
OG0000436	Prbc.g_01541	Prau.g_00522
OG0000437	Prbc.g_01543	Prau.g_00524
OG0000438	Prbc.g_01544	Prau.g_00525
OG0000439	Prbc.g_01545	Prau.g_00526
OG0000440	Prbc.g_01546	Prau.g_00528
OG0000441	Prbc.g_01547	Prau.g_00529
OG0000442	Prbc.g_01548	Prau.g_00530
OG0000443	Prbc.g_01549	Prau.g_00531
OG0000444	Prbc.g_01550	Prau.g_00532
OG0000445	Prbc.g_01551	Prau.g_00533
OG0000446	Prbc.g_01552	Prau.g_00534
OG0000447	Prbc.g_01553	Prau.g_00535
OG0000448	Prbc.g_01554	Prau.g_00536
OG0000449	Prbc.g_01580	Prau.g_00541
OG0000450	Prbc.g_01581	Prau.g_00542
OG0000451	Prbc.g_01582	Prau.g_00543
OG0000452	Prbc.g_01583	Prau.g_00544
OG0000453	Prbc.g_01585	Prau.g_00546
OG0000454	Prbc.g_01586	Prau.g_00547
OG0000455	Prbc.g_01587	Prau.g_00548
OG0000456	Prbc.g_01588	Prau.g_00549
OG0000457	Prbc.g_01590	Prau.g_00551
OG0000458	Prbc.g_01592	Prau.g_00553
OG0000459	Prbc.g_01593	Prau.g_00554
OG0000460	Prbc.g_01595	Prau.g_00556
OG0000461	Prbc.g_01596	Prau.g_00557
OG0000462	Prbc.g_01597	Prau.g_00558
OG0000463	Prbc.g_01599	Prau.g_00559
OG0000464	Prbc.g_01603	Prau.g_00564
OG0000465	Prbc.g_01604	Prau.g_00565
OG0000466	Prbc.g_01605	Prau.g_00566
OG0000467	Prbc.g_01606	Prau.g_00567
OG0000468	Prbc.g_01607	Prau.g_00568
OG0000469	Prbc.g_01608	Prau.g_00569
OG0000470	Prbc.g_01609	Prau.g_00570
OG0000471	Prbc.g_01610	Prau.g_00571
OG0000472	Prbc.g_01613	Prau.g_00574
OG0000473	Prbc.g_01614	Prau.g_00575
OG0000474	Prbc.g_01615	Prau.g_00576
OG0000475	Prbc.g_01616	Prau.g_00577
OG0000476	Prbc.g_01617	Prau.g_00578
OG0000477	Prbc.g_01619	Prau.g_00580
OG0000478	Prbc.g_01620	Prau.g_00581
OG0000479	Prbc.g_01621	Prau.g_00582
OG0000480	Prbc.g_01623	Prau.g_00584
OG0000481	Prbc.g_01624	Prau.g_00585
OG0000482	Prbc.g_01626	Prau.g_00586
OG0000483	Prbc.g_01627	Prau.g_00587
OG0000484	Prbc.g_01628	Prau.g_00588
OG0000485	Prbc.g_01629	Prau.g_00589
OG0000486	Prbc.g_01630	Prau.g_00590
OG0000487	Prbc.g_01631	Prau.g_00591
OG0000488	Prbc.g_01633	Prau.g_00593
OG0000489	Prbc.g_01634	Prau.g_00594
OG0000490	Prbc.g_01635	Prau.g_00595
OG0000491	Prbc.g_01636	Prau.g_00596
OG0000492	Prbc.g_01637	Prau.g_00597
OG0000493	Prbc.g_01638	Prau.g_00598
OG0000494	Prbc.g_01640	Prau.g_00600
OG0000495	Prbc.g_01641	Prau.g_00601
OG0000496	Prbc.g_01642	Prau.g_00602
OG0000497	Prbc.g_01643	Prau.g_00603
OG0000498	Prbc.g_01644	Prau.g_00604
OG0000499	Prbc.g_01646	Prau.g_00606
OG0000500	Prbc.g_01647	Prau.g_00607
OG0000501	Prbc.g_01649	Prau.g_00609
OG0000502	Prbc.g_01650	Prau.g_00610
OG0000503	Prbc.g_01651	Prau.g_00611
OG0000504	Prbc.g_01652	Prau.g_00612
OG0000505	Prbc.g_01653	Prau.g_00613
OG0000506	Prbc.g_01654	Prau.g_00614
OG0000507	Prbc.g_01655	Prau.g_00615
OG0000508	Prbc.g_01656	Prau.g_00617
OG0000509	Prbc.g_01657	Prau.g_00618
OG0000510	Prbc.g_01658	Prau.g_00619
OG0000511	Prbc.g_01659	Prau.g_00620
OG0000512	Prbc.g_01660	Prau.g_00621
OG0000513	Prbc.g_01661	Prau.g_00622
OG0000514	Prbc.g_01662	Prau.g_00623
OG0000515	Prbc.g_01663	Prau.g_00625
OG0000516	Prbc.g_01664	Prau.g_00626
OG0000517	Prbc.g_01665	Prau.g_00627
OG0000518	Prbc.g_01667	Prau.g_00629
OG0000519	Prbc.g_01668	Prau.g_00630
OG0000520	Prbc.g_01670	Prau.g_00631
OG0000521	Prbc.g_01669	Prau.g_00632
OG0000522	Prbc.g_01671	Prau.g_00633
OG0000523	Prbc.g_01672	Prau.g_00634
OG0000524	Prbc.g_01673	Prau.g_00635
OG0000525	Prbc.g_01675	Prau.g_00637
OG0000526	Prbc.g_01676	Prau.g_00638
OG0000527	Prbc.g_01677	Prau.g_00639
OG0000528	Prbc.g_01678	Prau.g_00640
OG0000529	Prbc.g_01679	Prau.g_00641
OG0000530	Prbc.g_01680	Prau.g_00642
OG0000531	Prbc.g_01682	Prau.g_00643
OG0000532	Prbc.g_01683	Prau.g_00644
OG0000533	Prbc.g_01684	Prau.g_00645
OG0000534	Prbc.g_01685	Prau.g_00646
OG0000535	Prbc.g_01686	Prau.g_00647
OG0000536	Prbc.g_01687	Prau.g_00648
OG0000537	Prbc.g_01688	Prau.g_00649
OG0000538	Prbc.g_01689	Prau.g_00650
OG0000539	Prbc.g_01690	Prau.g_00651
OG0000540	Prbc.g_01691	Prau.g_00652
OG0000541	Prbc.g_01692	Prau.g_00653
OG0000542	Prbc.g_01693	Prau.g_00654
