Orthogroup	Prbc	Prax
OG0000038	Prbc.g_00166	Prax.g_00415
OG0000039	Prbc.g_00405	Prax.g_01052
OG0000040	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006	Prax.g_00813
OG0000041	Prbc.g_01315	Prax.g_00772
OG0000042	Prbc.g_01787	Prax.g_00485
OG0000043	Prbc.g_01999	Prax.g_00388
OG0000044	Prbc.g_01446	Prax.g_00200
OG0000046	Prbc.g_00826	Prax.g_01566
OG0000047	Prbc.g_00211	Prax.g_01394
OG0000048	Prbc.g_00203	Prax.g_01401
OG0000050	Prbc.g_01101	Prax.g_00282, Prax.g_00458
OG0000051	Prbc.g_00414	Prax.g_01061
OG0000052	Prbc.g_00134, Prbc.g_00641	Prax.g_00803
OG0000053	Prbc.g_01618	Prax.g_00662
OG0000054	Prbc.g_01116	Prax.g_00457
OG0000055	Prbc.g_01882, Prbc.g_00153	Prax.g_00351
OG0000056	Prbc.g_01117	Prax.g_00148
OG0000057	Prbc.g_00333	Prax.g_00981, Prax.g_01581
OG0000058	Prbc.g_01534	Prax.g_00727
OG0000059	Prbc.g_00055, Prbc.g_01780	Prax.g_00944
OG0000061	Prbc.g_00645	Prax.g_00159, Prax.g_01149
OG0000062	Prbc.g_00896	Prax.g_00161
OG0000063	Prbc.g_00102	Prax.g_01959
OG0000065	Prbc.g_00566	Prax.g_01899
OG0000066	Prbc.g_01753	Prax.g_01832
OG0000067	Prbc.g_00136	Prax.g_00454
OG0000068	Prbc.g_00284	Prax.g_01338
OG0000071	Prbc.g_01081	Prax.g_01974
OG0000072	Prbc.g_01214	Prax.g_00853, Prax.g_00852
OG0000073	Prbc.g_01748	Prax.g_00973
OG0000074	Prbc.g_01773	Prax.g_00951
OG0000075	Prbc.g_01865	Prax.g_00366
OG0000076	Prbc.g_02113	Prax.g_01204
OG0000078	Prbc.g_01229	Prax.g_01825
OG0000079	Prbc.g_00790	Prax.g_01650
OG0000080	Prbc.g_00144	Prax.g_01600
OG0000081	Prbc.g_00238	Prax.g_01368
OG0000083	Prbc.g_01073	Prax.g_01493
OG0000084	Prbc.g_01076	Prax.g_01496
OG0000085	Prbc.g_01093	Prax.g_00290
OG0000086	Prbc.g_00132	Prax.g_00274
OG0000087	Prbc.g_01127	Prax.g_00624
OG0000088	Prbc.g_00458	Prax.g_01106
OG0000089	Prbc.g_00449	Prax.g_01097
OG0000090	Prbc.g_00432	Prax.g_01079
OG0000091	Prbc.g_00402	Prax.g_01049
OG0000092	Prbc.g_00401	Prax.g_01048
OG0000093	Prbc.g_00388	Prax.g_01034
OG0000094	Prbc.g_00369	Prax.g_01016
OG0000095	Prbc.g_00365	Prax.g_01011
OG0000096	Prbc.g_01147	Prax.g_00488, Prax.g_00924
OG0000097	Prbc.g_01167	Prax.g_00901
OG0000099	Prbc.g_01186	Prax.g_00881
OG0000100	Prbc.g_01189	Prax.g_00878
OG0000101	Prbc.g_01270	Prax.g_01573, Prax.g_00816
OG0000102	Prbc.g_02183	Prax.g_00792
OG0000103	Prbc.g_01535	Prax.g_00726
OG0000104	Prbc.g_01540	Prax.g_00722
OG0000105	Prbc.g_01579	Prax.g_00702
OG0000106	Prbc.g_01611	Prax.g_00669
OG0000107	Prbc.g_01612	Prax.g_00668
OG0000108	Prbc.g_01622	Prax.g_00004
OG0000109	Prbc.g_01632	Prax.g_00013
OG0000110	Prbc.g_01648	Prax.g_00029
OG0000111	Prbc.g_01728	Prax.g_00110
OG0000112	Prbc.g_01729	Prax.g_00111
OG0000113	Prbc.g_01811	Prax.g_00463
OG0000114	Prbc.g_01856	Prax.g_00375
OG0000115	Prbc.g_02036	Prax.g_01129
OG0000116	Prbc.g_02040	Prax.g_01133
OG0000117	Prbc.g_02110	Prax.g_01201
OG0000118	Prbc.g_00173	Prax.g_01254, Prax.g_01759
OG0000119	Prbc.g_00899	Prax.g_00164
OG0000120	Prbc.g_01439	Prax.g_00206
OG0000121	Prbc.g_01417	Prax.g_00225
OG0000122	Prbc.g_01397	Prax.g_00244
OG0000123	Prbc.g_01387	Prax.g_00257
OG0000124	Prbc.g_02103	Prax.g_01789
OG0000125	Prbc.g_00577	Prax.g_01887
OG0000126	Prbc.g_00657	Prax.g_01863
OG0000127	Prbc.g_00695	Prax.g_01746
OG0000128	Prbc.g_00710	Prax.g_01727
OG0000129	Prbc.g_00744	Prax.g_01691
OG0000130	Prbc.g_00830	Prax.g_01561
OG0000131	Prbc.g_00867	Prax.g_01523
OG0000132	Prbc.g_00869	Prax.g_01520
OG0000133	Prbc.g_00326, Prbc.g_01572	Prax.g_01297
OG0000134	Prbc.g_00290	Prax.g_01333
OG0000135	Prbc.g_01560, Prbc.g_00288	Prax.g_01335
OG0000136	Prbc.g_00226	Prax.g_01379
OG0000137	Prbc.g_00190	Prax.g_01411
OG0000138	Prbc.g_00997	Prax.g_01447
OG0000139	Prbc.g_01047	Prax.g_01473
OG0000140	Prbc.g_01071	Prax.g_01491
OG0000141	Prbc.g_01072	Prax.g_01492
OG0000142	Prbc.g_01074	Prax.g_01494
OG0000143	Prbc.g_01075	Prax.g_01495
OG0000144	Prbc.g_01077	Prax.g_01497
OG0000145	Prbc.g_01078	Prax.g_01498
OG0000146	Prbc.g_01079	Prax.g_01499
OG0000147	Prbc.g_01080	Prax.g_01975
OG0000148	Prbc.g_01082	Prax.g_01973
OG0000149	Prbc.g_01084	Prax.g_00299
OG0000150	Prbc.g_01085	Prax.g_00298
OG0000151	Prbc.g_01086	Prax.g_00297
OG0000152	Prbc.g_01087	Prax.g_00296
OG0000153	Prbc.g_01088	Prax.g_00295
OG0000154	Prbc.g_01089	Prax.g_00294
OG0000155	Prbc.g_01090	Prax.g_00293
OG0000156	Prbc.g_01091	Prax.g_00292
OG0000157	Prbc.g_01092	Prax.g_00291
OG0000158	Prbc.g_01094	Prax.g_00289
OG0000159	Prbc.g_01095	Prax.g_00288
OG0000160	Prbc.g_01096	Prax.g_00287
OG0000161	Prbc.g_01097	Prax.g_00286
OG0000162	Prbc.g_01098	Prax.g_00285
OG0000163	Prbc.g_01099	Prax.g_00284
OG0000164	Prbc.g_01102	Prax.g_00281
OG0000165	Prbc.g_01104	Prax.g_00278
OG0000166	Prbc.g_01105	Prax.g_00277
OG0000167	Prbc.g_01106	Prax.g_00276
OG0000168	Prbc.g_01118	Prax.g_00273
OG0000169	Prbc.g_01120	Prax.g_00271
OG0000170	Prbc.g_01121	Prax.g_00270
OG0000171	Prbc.g_01122	Prax.g_00269
OG0000172	Prbc.g_01123	Prax.g_00261
OG0000173	Prbc.g_01124	Prax.g_00621
OG0000174	Prbc.g_01125	Prax.g_00622
OG0000175	Prbc.g_01126	Prax.g_00623
OG0000176	Prbc.g_01128	Prax.g_00625
OG0000177	Prbc.g_01129	Prax.g_00626
OG0000178	Prbc.g_01130	Prax.g_00627
OG0000179	Prbc.g_00509	Prax.g_00635
OG0000180	Prbc.g_00508	Prax.g_00636
OG0000181	Prbc.g_00507	Prax.g_00637
OG0000182	Prbc.g_00504	Prax.g_00640
OG0000183	Prbc.g_00503	Prax.g_00641
OG0000184	Prbc.g_00500	Prax.g_00644
OG0000185	Prbc.g_00496	Prax.g_00648
OG0000186	Prbc.g_00495	Prax.g_00649
OG0000187	Prbc.g_00494	Prax.g_00650
OG0000188	Prbc.g_00493	Prax.g_00651
OG0000189	Prbc.g_00492	Prax.g_00652
OG0000190	Prbc.g_00491	Prax.g_00653
OG0000191	Prbc.g_00490	Prax.g_00654
OG0000192	Prbc.g_00489	Prax.g_00655
OG0000193	Prbc.g_00488	Prax.g_00656
OG0000194	Prbc.g_00487	Prax.g_00657
OG0000195	Prbc.g_00485	Prax.g_00659
OG0000196	Prbc.g_00484	Prax.g_00660
OG0000197	Prbc.g_00483	Prax.g_01128
OG0000198	Prbc.g_00482	Prax.g_01127
OG0000199	Prbc.g_00479	Prax.g_01124
OG0000200	Prbc.g_00478	Prax.g_01123
OG0000201	Prbc.g_00477	Prax.g_01122
OG0000202	Prbc.g_00476	Prax.g_01121
OG0000203	Prbc.g_00475	Prax.g_01120
OG0000204	Prbc.g_00474	Prax.g_01119
OG0000205	Prbc.g_00472	Prax.g_01118
OG0000206	Prbc.g_00471	Prax.g_01117
OG0000207	Prbc.g_00470	Prax.g_01116
OG0000208	Prbc.g_00469	Prax.g_01115
OG0000209	Prbc.g_00468	Prax.g_01114
OG0000210	Prbc.g_00467	Prax.g_01113
OG0000211	Prbc.g_00466	Prax.g_01112
OG0000212	Prbc.g_00465	Prax.g_01111
OG0000213	Prbc.g_00464	Prax.g_01110
OG0000214	Prbc.g_00460	Prax.g_01108
OG0000215	Prbc.g_00459	Prax.g_01107
OG0000216	Prbc.g_00457	Prax.g_01105
OG0000217	Prbc.g_00455	Prax.g_01103
OG0000218	Prbc.g_00454	Prax.g_01102
OG0000219	Prbc.g_00453	Prax.g_01101
OG0000220	Prbc.g_00451	Prax.g_01098
OG0000221	Prbc.g_00448	Prax.g_01096
OG0000222	Prbc.g_00447	Prax.g_01095
OG0000223	Prbc.g_00446	Prax.g_01094
OG0000224	Prbc.g_00443	Prax.g_01091
OG0000225	Prbc.g_00441	Prax.g_01089
OG0000226	Prbc.g_00439	Prax.g_01088
OG0000227	Prbc.g_00438	Prax.g_01087
OG0000228	Prbc.g_00437	Prax.g_01086
OG0000229	Prbc.g_00436	Prax.g_01085
OG0000230	Prbc.g_00435	Prax.g_01084
OG0000231	Prbc.g_02145	Prax.g_01082
OG0000232	Prbc.g_00434	Prax.g_01081
OG0000233	Prbc.g_00431	Prax.g_01078
OG0000234	Prbc.g_00428	Prax.g_01076
OG0000235	Prbc.g_00426	Prax.g_01073
OG0000236	Prbc.g_00425	Prax.g_01072
OG0000237	Prbc.g_00424	Prax.g_01071
OG0000238	Prbc.g_00423	Prax.g_01070
OG0000239	Prbc.g_00422	Prax.g_01069
OG0000240	Prbc.g_00420	Prax.g_01067
OG0000241	Prbc.g_00419	Prax.g_01066
OG0000242	Prbc.g_00418	Prax.g_01065
OG0000243	Prbc.g_00417	Prax.g_01064
OG0000244	Prbc.g_00416	Prax.g_01063
OG0000245	Prbc.g_00415	Prax.g_01062
OG0000246	Prbc.g_00413	Prax.g_01060
OG0000247	Prbc.g_00412	Prax.g_01059
OG0000248	Prbc.g_00411	Prax.g_01058
OG0000249	Prbc.g_00410	Prax.g_01057
OG0000250	Prbc.g_00409	Prax.g_01056
OG0000251	Prbc.g_00408	Prax.g_01055
OG0000252	Prbc.g_00407	Prax.g_01054
OG0000253	Prbc.g_00406	Prax.g_01053
OG0000254	Prbc.g_00404	Prax.g_01051
OG0000255	Prbc.g_00403	Prax.g_01050
OG0000256	Prbc.g_00400	Prax.g_01047
OG0000257	Prbc.g_00399	Prax.g_01045
OG0000258	Prbc.g_00398	Prax.g_01044
OG0000259	Prbc.g_00397	Prax.g_01043
OG0000260	Prbc.g_00396	Prax.g_01042
OG0000261	Prbc.g_00395	Prax.g_01041
OG0000262	Prbc.g_00394	Prax.g_01040
OG0000263	Prbc.g_00393	Prax.g_01039
OG0000264	Prbc.g_00391	Prax.g_01037
OG0000265	Prbc.g_00390	Prax.g_01036
OG0000266	Prbc.g_00389	Prax.g_01035
OG0000267	Prbc.g_00387	Prax.g_01033
OG0000268	Prbc.g_00385	Prax.g_01032
OG0000269	Prbc.g_00384	Prax.g_01031
OG0000270	Prbc.g_00383	Prax.g_01030
OG0000271	Prbc.g_00382	Prax.g_01029
OG0000272	Prbc.g_00381	Prax.g_01028
OG0000273	Prbc.g_00380	Prax.g_01027
OG0000274	Prbc.g_00379	Prax.g_01026
OG0000275	Prbc.g_00378	Prax.g_01025
OG0000276	Prbc.g_00377	Prax.g_01024
OG0000277	Prbc.g_00376	Prax.g_01023
OG0000278	Prbc.g_00375	Prax.g_01022
OG0000279	Prbc.g_00374	Prax.g_01021
OG0000280	Prbc.g_00373	Prax.g_01020
OG0000281	Prbc.g_00371	Prax.g_01018
OG0000282	Prbc.g_00370	Prax.g_01017
OG0000283	Prbc.g_00368	Prax.g_01014
OG0000284	Prbc.g_00367	Prax.g_01013
OG0000285	Prbc.g_00366	Prax.g_01012
OG0000286	Prbc.g_00364	Prax.g_01010
OG0000287	Prbc.g_00363	Prax.g_01009
OG0000288	Prbc.g_00362	Prax.g_01008
OG0000289	Prbc.g_00361	Prax.g_01007
OG0000290	Prbc.g_00360	Prax.g_01006
OG0000291	Prbc.g_00358	Prax.g_01005
OG0000292	Prbc.g_00357	Prax.g_01004
OG0000293	Prbc.g_00356	Prax.g_01003
OG0000294	Prbc.g_00355	Prax.g_01002
OG0000295	Prbc.g_00354	Prax.g_01001
OG0000296	Prbc.g_00353	Prax.g_01000
OG0000297	Prbc.g_00352	Prax.g_00999
OG0000298	Prbc.g_00351	Prax.g_00998
OG0000299	Prbc.g_00350	Prax.g_00997
OG0000300	Prbc.g_00349	Prax.g_00996
OG0000301	Prbc.g_00348	Prax.g_00995
OG0000302	Prbc.g_00347	Prax.g_00994
OG0000303	Prbc.g_00346	Prax.g_00993
OG0000304	Prbc.g_00345	Prax.g_00992
OG0000305	Prbc.g_00344	Prax.g_00991
OG0000306	Prbc.g_00343	Prax.g_00990
OG0000307	Prbc.g_00342	Prax.g_00989
OG0000308	Prbc.g_00341	Prax.g_00988
OG0000309	Prbc.g_00340	Prax.g_00987
OG0000310	Prbc.g_00339	Prax.g_00986
OG0000311	Prbc.g_00337	Prax.g_00985
OG0000312	Prbc.g_00335	Prax.g_00983
OG0000313	Prbc.g_00334	Prax.g_00982
OG0000314	Prbc.g_00330	Prax.g_00979
OG0000315	Prbc.g_00329	Prax.g_00978
OG0000316	Prbc.g_01140	Prax.g_00933
OG0000317	Prbc.g_01142	Prax.g_00931
OG0000318	Prbc.g_01143	Prax.g_00930
OG0000319	Prbc.g_01144	Prax.g_00929
OG0000320	Prbc.g_01145	Prax.g_00928
OG0000321	Prbc.g_01146	Prax.g_00925
OG0000322	Prbc.g_01149	Prax.g_00922
OG0000323	Prbc.g_01150	Prax.g_00921
OG0000324	Prbc.g_01153	Prax.g_00918
OG0000325	Prbc.g_01154	Prax.g_00916
OG0000326	Prbc.g_01155	Prax.g_00915
OG0000327	Prbc.g_01156	Prax.g_00913
OG0000328	Prbc.g_01157	Prax.g_00912
OG0000329	Prbc.g_01158	Prax.g_00911
OG0000330	Prbc.g_01159	Prax.g_00910
OG0000331	Prbc.g_01160	Prax.g_00909
OG0000332	Prbc.g_01161	Prax.g_00908
OG0000333	Prbc.g_01162	Prax.g_00907
OG0000334	Prbc.g_01163	Prax.g_00906
OG0000335	Prbc.g_01164	Prax.g_00905
OG0000336	Prbc.g_01166	Prax.g_00904
OG0000337	Prbc.g_01168	Prax.g_00900
OG0000338	Prbc.g_01169	Prax.g_00899
OG0000339	Prbc.g_01170	Prax.g_00898
OG0000340	Prbc.g_01171	Prax.g_00897
OG0000341	Prbc.g_01175	Prax.g_00893
OG0000342	Prbc.g_01176	Prax.g_00892
OG0000343	Prbc.g_01178	Prax.g_00890
OG0000344	Prbc.g_01179	Prax.g_00889
OG0000345	Prbc.g_01180	Prax.g_00888
OG0000346	Prbc.g_01181	Prax.g_00887
OG0000347	Prbc.g_01182	Prax.g_00886
OG0000348	Prbc.g_01183	Prax.g_00885
OG0000349	Prbc.g_01184	Prax.g_00884
OG0000350	Prbc.g_01185	Prax.g_00883
OG0000351	Prbc.g_01187	Prax.g_00880
OG0000352	Prbc.g_01190	Prax.g_00877
OG0000353	Prbc.g_01191	Prax.g_00876
OG0000354	Prbc.g_01192	Prax.g_00875
OG0000355	Prbc.g_01193	Prax.g_00874
OG0000356	Prbc.g_01194	Prax.g_00873
OG0000357	Prbc.g_01195	Prax.g_00872
OG0000358	Prbc.g_01196	Prax.g_00871
OG0000359	Prbc.g_01197	Prax.g_00870
OG0000360	Prbc.g_01200	Prax.g_00867
OG0000361	Prbc.g_01201	Prax.g_00866
OG0000362	Prbc.g_01202	Prax.g_00865
OG0000363	Prbc.g_01203	Prax.g_00864
OG0000364	Prbc.g_01204	Prax.g_00863
OG0000365	Prbc.g_01205	Prax.g_00862
OG0000366	Prbc.g_01206	Prax.g_00861
OG0000367	Prbc.g_01207	Prax.g_00860
OG0000368	Prbc.g_01208	Prax.g_00859
OG0000369	Prbc.g_01209	Prax.g_00858
OG0000370	Prbc.g_01210	Prax.g_00857
OG0000371	Prbc.g_01211	Prax.g_00856
OG0000372	Prbc.g_01213	Prax.g_00854
OG0000373	Prbc.g_01215	Prax.g_00850
OG0000374	Prbc.g_01216	Prax.g_00849
OG0000375	Prbc.g_01217	Prax.g_00848
OG0000376	Prbc.g_01219	Prax.g_00846
OG0000377	Prbc.g_01225	Prax.g_00845
OG0000378	Prbc.g_01813	Prax.g_00844
OG0000379	Prbc.g_01246	Prax.g_00839
OG0000380	Prbc.g_01248	Prax.g_00838
OG0000381	Prbc.g_01249	Prax.g_00837
OG0000382	Prbc.g_01250	Prax.g_00835
OG0000383	Prbc.g_01253	Prax.g_00832
OG0000384	Prbc.g_01254	Prax.g_00831
OG0000385	Prbc.g_01256	Prax.g_00828
OG0000386	Prbc.g_01257	Prax.g_00827
OG0000387	Prbc.g_01258	Prax.g_00826
OG0000388	Prbc.g_01259	Prax.g_00825
OG0000389	Prbc.g_01260	Prax.g_00824
OG0000390	Prbc.g_01261	Prax.g_00823
OG0000391	Prbc.g_01262	Prax.g_00822
OG0000392	Prbc.g_01263	Prax.g_00821
OG0000393	Prbc.g_01267	Prax.g_00818
OG0000394	Prbc.g_01268	Prax.g_00817
OG0000395	Prbc.g_01271	Prax.g_00815
OG0000396	Prbc.g_01912	Prax.g_00814
OG0000397	Prbc.g_02137	Prax.g_00802
OG0000398	Prbc.g_02168	Prax.g_00795
OG0000399	Prbc.g_01317	Prax.g_00794
OG0000400	Prbc.g_00934	Prax.g_00790
OG0000401	Prbc.g_01492	Prax.g_00769
OG0000402	Prbc.g_01493	Prax.g_00768
OG0000403	Prbc.g_01494	Prax.g_00767
OG0000404	Prbc.g_01496	Prax.g_00765
OG0000405	Prbc.g_01497	Prax.g_00764
OG0000406	Prbc.g_01499	Prax.g_00762
OG0000407	Prbc.g_01500	Prax.g_00761
OG0000408	Prbc.g_01501	Prax.g_00760
OG0000409	Prbc.g_01502	Prax.g_00759
OG0000410	Prbc.g_01503	Prax.g_00758
OG0000411	Prbc.g_01504	Prax.g_00757
OG0000412	Prbc.g_01505	Prax.g_00756
OG0000413	Prbc.g_01506	Prax.g_00755
OG0000414	Prbc.g_01507	Prax.g_00754
OG0000415	Prbc.g_01508	Prax.g_00753
OG0000416	Prbc.g_01509	Prax.g_00752
OG0000417	Prbc.g_01510	Prax.g_00751
OG0000418	Prbc.g_01511	Prax.g_00750
OG0000419	Prbc.g_01512	Prax.g_00749
OG0000420	Prbc.g_01513	Prax.g_00748
OG0000421	Prbc.g_01514	Prax.g_00747
OG0000422	Prbc.g_01516	Prax.g_00746
OG0000423	Prbc.g_01517	Prax.g_00745
OG0000424	Prbc.g_01518	Prax.g_00743
OG0000425	Prbc.g_01524	Prax.g_00740
OG0000426	Prbc.g_01525	Prax.g_00739
OG0000427	Prbc.g_01526	Prax.g_00738
OG0000428	Prbc.g_01528	Prax.g_00737
OG0000429	Prbc.g_01529	Prax.g_00736
OG0000430	Prbc.g_01531	Prax.g_00731
OG0000431	Prbc.g_01532	Prax.g_00729
OG0000432	Prbc.g_01533	Prax.g_00728
OG0000433	Prbc.g_01536	Prax.g_00725
OG0000434	Prbc.g_01538	Prax.g_00724
OG0000435	Prbc.g_01539	Prax.g_00723
OG0000436	Prbc.g_01541	Prax.g_00721
OG0000437	Prbc.g_01543	Prax.g_00719
OG0000438	Prbc.g_01544	Prax.g_00718
OG0000439	Prbc.g_01545	Prax.g_00717
OG0000440	Prbc.g_01546	Prax.g_00715
OG0000441	Prbc.g_01547	Prax.g_00714
OG0000442	Prbc.g_01548	Prax.g_00713
OG0000443	Prbc.g_01549	Prax.g_00712
OG0000444	Prbc.g_01550	Prax.g_00711
OG0000445	Prbc.g_01551	Prax.g_00709
OG0000446	Prbc.g_01552	Prax.g_00708
OG0000447	Prbc.g_01553	Prax.g_00707
OG0000448	Prbc.g_01554	Prax.g_00706
OG0000449	Prbc.g_01580	Prax.g_00701
OG0000450	Prbc.g_01581	Prax.g_00700
OG0000451	Prbc.g_01582	Prax.g_00699
OG0000452	Prbc.g_01583	Prax.g_00698
OG0000453	Prbc.g_01585	Prax.g_00696
OG0000454	Prbc.g_01586	Prax.g_00695
OG0000455	Prbc.g_01587	Prax.g_00694
OG0000456	Prbc.g_01588	Prax.g_00693
OG0000457	Prbc.g_01590	Prax.g_00691
OG0000458	Prbc.g_01592	Prax.g_00689
OG0000459	Prbc.g_01593	Prax.g_00688
OG0000460	Prbc.g_01595	Prax.g_00686
OG0000461	Prbc.g_01596	Prax.g_00685
OG0000462	Prbc.g_01597	Prax.g_00684
OG0000463	Prbc.g_01599	Prax.g_00683
OG0000464	Prbc.g_01603	Prax.g_00678
OG0000465	Prbc.g_01604	Prax.g_00676
OG0000466	Prbc.g_01605	Prax.g_00675
OG0000467	Prbc.g_01606	Prax.g_00674
OG0000468	Prbc.g_01607	Prax.g_00673
OG0000469	Prbc.g_01608	Prax.g_00672
OG0000470	Prbc.g_01609	Prax.g_00671
OG0000471	Prbc.g_01610	Prax.g_00670
OG0000472	Prbc.g_01613	Prax.g_00667
OG0000473	Prbc.g_01614	Prax.g_00666
OG0000474	Prbc.g_01615	Prax.g_00665
OG0000475	Prbc.g_01616	Prax.g_00664
OG0000476	Prbc.g_01617	Prax.g_00663
OG0000477	Prbc.g_01619	Prax.g_00001
OG0000478	Prbc.g_01620	Prax.g_00002
OG0000479	Prbc.g_01621	Prax.g_00003
OG0000480	Prbc.g_01623	Prax.g_00005
OG0000481	Prbc.g_01624	Prax.g_00006
OG0000482	Prbc.g_01626	Prax.g_00007
OG0000483	Prbc.g_01627	Prax.g_00008
OG0000484	Prbc.g_01628	Prax.g_00009
OG0000485	Prbc.g_01629	Prax.g_00010
OG0000486	Prbc.g_01630	Prax.g_00011
OG0000487	Prbc.g_01631	Prax.g_00012
OG0000488	Prbc.g_01633	Prax.g_00014
OG0000489	Prbc.g_01634	Prax.g_00015
OG0000490	Prbc.g_01635	Prax.g_00016
OG0000491	Prbc.g_01636	Prax.g_00017
OG0000492	Prbc.g_01637	Prax.g_00018
OG0000493	Prbc.g_01638	Prax.g_00019
OG0000494	Prbc.g_01640	Prax.g_00021
OG0000495	Prbc.g_01641	Prax.g_00022
OG0000496	Prbc.g_01642	Prax.g_00023
OG0000497	Prbc.g_01643	Prax.g_00024
OG0000498	Prbc.g_01644	Prax.g_00025
OG0000499	Prbc.g_01646	Prax.g_00027
OG0000500	Prbc.g_01647	Prax.g_00028
OG0000501	Prbc.g_01649	Prax.g_00030
OG0000502	Prbc.g_01650	Prax.g_00031
OG0000503	Prbc.g_01651	Prax.g_00032
OG0000504	Prbc.g_01652	Prax.g_00033
OG0000505	Prbc.g_01653	Prax.g_00034
OG0000506	Prbc.g_01654	Prax.g_00035
OG0000507	Prbc.g_01655	Prax.g_00036
OG0000508	Prbc.g_01656	Prax.g_00038
OG0000509	Prbc.g_01657	Prax.g_00039
OG0000510	Prbc.g_01658	Prax.g_00040
OG0000511	Prbc.g_01659	Prax.g_00041
OG0000512	Prbc.g_01660	Prax.g_00042
OG0000513	Prbc.g_01661	Prax.g_00043
OG0000514	Prbc.g_01662	Prax.g_00044
OG0000515	Prbc.g_01663	Prax.g_00046
OG0000516	Prbc.g_01664	Prax.g_00047
OG0000517	Prbc.g_01665	Prax.g_00048
OG0000518	Prbc.g_01667	Prax.g_00050
OG0000519	Prbc.g_01668	Prax.g_00051
OG0000520	Prbc.g_01670	Prax.g_00052
OG0000521	Prbc.g_01669	Prax.g_00053
OG0000522	Prbc.g_01671	Prax.g_00054
OG0000523	Prbc.g_01672	Prax.g_00055
OG0000524	Prbc.g_01673	Prax.g_00056
OG0000525	Prbc.g_01675	Prax.g_00058
OG0000526	Prbc.g_01676	Prax.g_00059
OG0000527	Prbc.g_01677	Prax.g_00060
OG0000528	Prbc.g_01678	Prax.g_00061
OG0000529	Prbc.g_01679	Prax.g_00062
OG0000530	Prbc.g_01680	Prax.g_00063
OG0000531	Prbc.g_01682	Prax.g_00064
OG0000532	Prbc.g_01683	Prax.g_00065
OG0000533	Prbc.g_01684	Prax.g_00066
OG0000534	Prbc.g_01685	Prax.g_00067
OG0000535	Prbc.g_01686	Prax.g_00068
OG0000536	Prbc.g_01687	Prax.g_00069
OG0000537	Prbc.g_01688	Prax.g_00070
OG0000538	Prbc.g_01689	Prax.g_00071
OG0000539	Prbc.g_01690	Prax.g_00072
OG0000540	Prbc.g_01691	Prax.g_00073
OG0000541	Prbc.g_01692	Prax.g_00074
OG0000542	Prbc.g_01693	Prax.g_00075
OG0000543	Prbc.g_01694	Prax.g_00076
OG0000544	Prbc.g_01695	Prax.g_00077
OG0000545	Prbc.g_01698	Prax.g_00080
OG0000546	Prbc.g_01699	Prax.g_00081
OG0000547	Prbc.g_01700	Prax.g_00083
OG0000548	Prbc.g_01702	Prax.g_00084
OG0000549	Prbc.g_01703	Prax.g_00085
OG0000550	Prbc.g_01704	Prax.g_00086
OG0000551	Prbc.g_01705	Prax.g_00087
OG0000552	Prbc.g_01706	Prax.g_00088
OG0000553	Prbc.g_01707	Prax.g_00089
