Orthogroup	Praw	Syap
OG0000099	Praw.g_01051	Syap.g_01385
OG0000101	Praw.g_00096	Syap.g_00472
OG0000102	Praw.g_00034	Syap.g_01116
OG0000103	Praw.g_01148	Syap.g_02607, Syap.g_02608
OG0000104	Praw.g_01140	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Praw.g_00860	Syap.g_01369, Syap.g_01368
OG0000107	Praw.g_00748	Syap.g_02496
OG0000108	Praw.g_00667	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Praw.g_00654	Syap.g_00279, Syap.g_02237
OG0000110	Praw.g_01922	Syap.g_01313
OG0000111	Praw.g_01823	Syap.g_01566, Syap.g_01568
OG0000112	Praw.g_01732	Syap.g_02023
OG0000113	Praw.g_01675	Syap.g_02714
OG0000114	Praw.g_01597	Syap.g_01255
OG0000115	Praw.g_00178	Syap.g_02004
OG0000116	Praw.g_00224	Syap.g_00241
OG0000117	Praw.g_00926	Syap.g_01889
OG0000118	Praw.g_00993	Syap.g_02286
OG0000120	Praw.g_01050	Syap.g_02075
OG0000121	Praw.g_01078	Syap.g_02471
OG0000123	Praw.g_00089	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Praw.g_00023	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Praw.g_01180	Syap.g_01046, Syap.g_01047
OG0000126	Praw.g_01141	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Praw.g_01125	Syap.g_00069
OG0000129	Praw.g_01384	Syap.g_00130, Syap.g_00129
OG0000130	Praw.g_01365	Syap.g_01688, Syap.g_01689
OG0000131	Praw.g_01290	Syap.g_02189
OG0000132	Praw.g_01271	Syap.g_01205
OG0000133	Praw.g_00812	Syap.g_02017
OG0000134	Praw.g_00775	Syap.g_02047
OG0000135	Praw.g_00751	Syap.g_02090
OG0000136	Praw.g_00706	Syap.g_00089
OG0000137	Praw.g_00672	Syap.g_02756
OG0000138	Praw.g_00653	Syap.g_00278
OG0000139	Praw.g_00611	Syap.g_00410
OG0000140	Praw.g_00610	Syap.g_01976
OG0000141	Praw.g_00143	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Praw.g_01887	Syap.g_00895, Syap.g_00894
OG0000143	Praw.g_01883	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Praw.g_01870	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Praw.g_01745	Syap.g_01860, Syap.g_01859
OG0000146	Praw.g_01731	Syap.g_02024
OG0000147	Praw.g_01730	Syap.g_02025
OG0000148	Praw.g_01681	Syap.g_02720
OG0000149	Praw.g_01652	Syap.g_00824
OG0000150	Praw.g_01644	Syap.g_01540
OG0000151	Praw.g_01587	Syap.g_00142
OG0000152	Praw.g_01539	Syap.g_02012
OG0000153	Praw.g_01520	Syap.g_02682
OG0000154	Praw.g_01493	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Praw.g_00254	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Praw.g_00968	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Praw.g_00969	Syap.g_00249, Syap.g_00286
OG0000158	Praw.g_01052	Syap.g_01075
OG0000159	Praw.g_01054	Syap.g_00700
OG0000160	Praw.g_01079, Praw.g_01080	Syap.g_02470, Syap.g_02469
OG0000161	Praw.g_00344	Syap.g_02476
OG0000162	Praw.g_00350	Syap.g_02531
OG0000164	Praw.g_00539	Syap.g_01391, Syap.g_01392
OG0000165	Praw.g_00546	Syap.g_01381, Syap.g_01382
OG0000166	Praw.g_00132	Syap.g_00512, Syap.g_01238
OG0000167	Praw.g_00066	Syap.g_02080
OG0000168	Praw.g_00056	Syap.g_01076
OG0000169	Praw.g_00046	Syap.g_01049, Syap.g_01093
OG0000170	Praw.g_00044	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Praw.g_00024	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Praw.g_00016	Syap.g_01143, Syap.g_00635
OG0000173	Praw.g_00001	Syap.g_01213, Syap.g_00982, Syap.g_00983
OG0000174	Praw.g_01166	Syap.g_02092
OG0000175	Praw.g_01156	Syap.g_02654
OG0000176	Praw.g_01132	Syap.g_00059
OG0000177	Praw.g_01131	Syap.g_00061, Syap.g_00060
OG0000178	Praw.g_01130	Syap.g_00062
OG0000179	Praw.g_01412	Syap.g_00077, Syap.g_02638
OG0000180	Praw.g_01411	Syap.g_00078, Syap.g_02640
OG0000181	Praw.g_01410	Syap.g_00079, Syap.g_02641
OG0000182	Praw.g_01409	Syap.g_00080, Syap.g_02642
OG0000183	Praw.g_01405	Syap.g_00084
OG0000184	Praw.g_01382	Syap.g_01337
OG0000185	Praw.g_01379	Syap.g_01322
OG0000186	Praw.g_01370	Syap.g_01684
OG0000187	Praw.g_01369	Syap.g_01686
OG0000188	Praw.g_01352	Syap.g_02547
OG0000191	Praw.g_01318	Syap.g_02233
OG0000192	Praw.g_01314	Syap.g_02224
OG0000193	Praw.g_01289	Syap.g_02187, Syap.g_02188
OG0000194	Praw.g_01286	Syap.g_02183
OG0000195	Praw.g_01284	Syap.g_02180
OG0000196	Praw.g_01274	Syap.g_01208, Syap.g_02167
OG0000197	Praw.g_01273	Syap.g_01207, Syap.g_02166
OG0000198	Praw.g_01272	Syap.g_01206
OG0000199	Praw.g_01265	Syap.g_01197
OG0000200	Praw.g_01251	Syap.g_01181
OG0000201	Praw.g_01243	Syap.g_02265
OG0000202	Praw.g_01242	Syap.g_02264
OG0000203	Praw.g_01241	Syap.g_01601
OG0000204	Praw.g_01240	Syap.g_01602
OG0000205	Praw.g_01233	Syap.g_01616
OG0000206	Praw.g_01228	Syap.g_01628
OG0000207	Praw.g_01226	Syap.g_01426, Syap.g_00424
OG0000208	Praw.g_01225	Syap.g_00426, Syap.g_01425
OG0000209	Praw.g_01216	Syap.g_01906
OG0000210	Praw.g_01215	Syap.g_01905
OG0000211	Praw.g_01202	Syap.g_01160
OG0000212	Praw.g_01195	Syap.g_02664
OG0000213	Praw.g_00876	Syap.g_00107, Syap.g_01599
OG0000214	Praw.g_00867	Syap.g_02344, Syap.g_02345
OG0000215	Praw.g_00842	Syap.g_01347, Syap.g_01629
OG0000216	Praw.g_00840	Syap.g_01634
OG0000217	Praw.g_00837	Syap.g_01638
OG0000218	Praw.g_00835	Syap.g_01641, Syap.g_01640
OG0000219	Praw.g_00834	Syap.g_01642, Syap.g_01643
OG0000220	Praw.g_00833	Syap.g_01645
OG0000221	Praw.g_00832	Syap.g_01646
OG0000222	Praw.g_00824	Syap.g_01669
OG0000223	Praw.g_00811	Syap.g_02072, Syap.g_02073
OG0000224	Praw.g_00809	Syap.g_02064
OG0000225	Praw.g_00786	Syap.g_00553, Syap.g_00552
OG0000226	Praw.g_00782	Syap.g_02029, Syap.g_02144
OG0000227	Praw.g_00780	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Praw.g_00777	Syap.g_00116, Syap.g_02041
OG0000229	Praw.g_00711	Syap.g_02059
OG0000230	Praw.g_00709	Syap.g_02061
OG0000231	Praw.g_00698	Syap.g_02533
OG0000232	Praw.g_00689	Syap.g_02510, Syap.g_02511
OG0000233	Praw.g_00684	Syap.g_02133
OG0000234	Praw.g_00671	Syap.g_02755
OG0000235	Praw.g_00668	Syap.g_00732, Syap.g_02258
OG0000236	Praw.g_00655	Syap.g_02238
OG0000237	Praw.g_00642	Syap.g_00262, Syap.g_00263
OG0000238	Praw.g_00636	Syap.g_00257, Syap.g_00258
OG0000239	Praw.g_00623	Syap.g_02744
OG0000240	Praw.g_00622	Syap.g_02742
OG0000241	Praw.g_00618	Syap.g_00888
OG0000242	Praw.g_00616	Syap.g_01455
OG0000243	Praw.g_00605	Syap.g_01938
OG0000244	Praw.g_00602	Syap.g_01146, Syap.g_01145
OG0000245	Praw.g_00600	Syap.g_01148
OG0000246	Praw.g_00596	Syap.g_00308
OG0000247	Praw.g_00586	Syap.g_00288, Syap.g_00293
OG0000248	Praw.g_00584	Syap.g_00290
OG0000249	Praw.g_00582	Syap.g_01296, Syap.g_01295
OG0000250	Praw.g_00577	Syap.g_01306
OG0000251	Praw.g_01937	Syap.g_00442
OG0000252	Praw.g_01940	Syap.g_01857
OG0000253	Praw.g_01941	Syap.g_00443
OG0000254	Praw.g_00147	Syap.g_01527, Syap.g_01528
OG0000256	Praw.g_00163	Syap.g_01287
OG0000257	Praw.g_00166	Syap.g_00886
OG0000258	Praw.g_01879	Syap.g_00907
OG0000260	Praw.g_01859	Syap.g_01970
OG0000261	Praw.g_01857	Syap.g_01962, Syap.g_01961
OG0000262	Praw.g_01853	Syap.g_01954
OG0000263	Praw.g_01841	Syap.g_00432, Syap.g_00433
OG0000266	Praw.g_01799	Syap.g_00519
OG0000267	Praw.g_01788	Syap.g_02333, Syap.g_02332
OG0000268	Praw.g_01787	Syap.g_00646
OG0000269	Praw.g_01702	Syap.g_00188
OG0000270	Praw.g_01699	Syap.g_00192
OG0000271	Praw.g_01691	Syap.g_00200, Syap.g_00201
OG0000272	Praw.g_01690	Syap.g_00202
OG0000273	Praw.g_01668	Syap.g_02703
OG0000274	Praw.g_01667	Syap.g_02702
OG0000275	Praw.g_01665	Syap.g_01847
OG0000276	Praw.g_01660	Syap.g_01839, Syap.g_01838
OG0000277	Praw.g_01659	Syap.g_01837
OG0000278	Praw.g_01656	Syap.g_01834
OG0000279	Praw.g_01649	Syap.g_00829, Syap.g_00830
OG0000280	Praw.g_01648	Syap.g_00365
OG0000281	Praw.g_01643	Syap.g_01977
OG0000282	Praw.g_01595	Syap.g_01252
OG0000283	Praw.g_01562	Syap.g_01728
OG0000284	Praw.g_01557	Syap.g_01736
OG0000285	Praw.g_01552	Syap.g_01746, Syap.g_01744
OG0000286	Praw.g_01540	Syap.g_02014, Syap.g_02013
OG0000288	Praw.g_01494	Syap.g_02764, Syap.g_02763
OG0000289	Praw.g_01483	Syap.g_02784
OG0000290	Praw.g_01470	Syap.g_01552
OG0000291	Praw.g_01468	Syap.g_01554
OG0000292	Praw.g_01418	Syap.g_02314
OG0000293	Praw.g_00225	Syap.g_00240
OG0000294	Praw.g_00226	Syap.g_00239
OG0000295	Praw.g_00246	Syap.g_00206
OG0000296	Praw.g_00248	Syap.g_00204
OG0000297	Praw.g_00256	Syap.g_01887
OG0000298	Praw.g_00257	Syap.g_01888
OG0000299	Praw.g_00274	Syap.g_02620
OG0000302	Praw.g_00280	Syap.g_02444, Syap.g_02445
OG0000303	Praw.g_00287	Syap.g_02435
OG0000304	Praw.g_00291	Syap.g_02430
OG0000305	Praw.g_01008	Syap.g_01557
OG0000306	Praw.g_01011	Syap.g_01966
OG0000307	Praw.g_01025	Syap.g_02517
OG0000308	Praw.g_01026	Syap.g_02514, Syap.g_02515
OG0000309	Praw.g_01030	Syap.g_02198, Syap.g_02446
OG0000310	Praw.g_01098	Syap.g_02660, Syap.g_02661
OG0000311	Praw.g_01096	Syap.g_02657
OG0000312	Praw.g_01093	Syap.g_02114
OG0000313	Praw.g_01076	Syap.g_02473
OG0000314	Praw.g_00363	Syap.g_00007
OG0000315	Praw.g_00374	Syap.g_00017
OG0000316	Praw.g_00394	Syap.g_00030
OG0000317	Praw.g_00513	Syap.g_00618
OG0000318	Praw.g_00516	Syap.g_00622, Syap.g_02786
OG0000319	Praw.g_00529	Syap.g_01764, Syap.g_01771
OG0000320	Praw.g_00531	Syap.g_01761, Syap.g_01769
OG0000321	Praw.g_00532	Syap.g_01760, Syap.g_01768
OG0000322	Praw.g_00533	Syap.g_01759, Syap.g_01767
OG0000323	Praw.g_00542	Syap.g_01389
OG0000324	Praw.g_00569	Syap.g_01503
OG0000325	Praw.g_01916	Syap.g_02680
OG0000326	Praw.g_01910	Syap.g_00544
OG0000327	Praw.g_00137	Syap.g_01233, Syap.g_01913
OG0000328	Praw.g_00136	Syap.g_01234, Syap.g_01912
OG0000329	Praw.g_00119	Syap.g_00498
OG0000330	Praw.g_00118	Syap.g_00497
OG0000331	Praw.g_00117	Syap.g_00496
OG0000332	Praw.g_00103	Syap.g_00481
OG0000333	Praw.g_00101	Syap.g_00478
OG0000334	Praw.g_00093	Syap.g_00468
OG0000335	Praw.g_00088	Syap.g_00101, Syap.g_00463
OG0000336	Praw.g_00084	Syap.g_00417, Syap.g_00607
OG0000337	Praw.g_00068	Syap.g_01054
OG0000338	Praw.g_00067	Syap.g_01059
OG0000339	Praw.g_00063	Syap.g_01068
OG0000340	Praw.g_00055	Syap.g_01077
OG0000341	Praw.g_00053	Syap.g_01079
OG0000342	Praw.g_00052	Syap.g_01080, Syap.g_02477
OG0000343	Praw.g_00051	Syap.g_01086, Syap.g_02078
OG0000344	Praw.g_00048	Syap.g_01091
OG0000345	Praw.g_00043	Syap.g_01107, Syap.g_01470
OG0000346	Praw.g_00038	Syap.g_02423, Syap.g_01113
OG0000347	Praw.g_00022	Syap.g_01131, Syap.g_02459
OG0000348	Praw.g_00013	Syap.g_00632
OG0000349	Praw.g_01189	Syap.g_00110, Syap.g_01813
OG0000351	Praw.g_01153	Syap.g_02594
OG0000352	Praw.g_01152	Syap.g_02596, Syap.g_02597
OG0000353	Praw.g_01137	Syap.g_00054
OG0000354	Praw.g_00910	Syap.g_00075, Syap.g_02635
OG0000355	Praw.g_01135	Syap.g_00056
OG0000356	Praw.g_01134	Syap.g_00057
OG0000357	Praw.g_01133	Syap.g_00058
OG0000358	Praw.g_01129	Syap.g_00063
OG0000359	Praw.g_01128	Syap.g_00065
OG0000360	Praw.g_01127	Syap.g_00067
OG0000361	Praw.g_01126	Syap.g_00068
OG0000362	Praw.g_01124	Syap.g_00070
OG0000363	Praw.g_01414	Syap.g_00072
OG0000364	Praw.g_01413	Syap.g_00620
OG0000365	Praw.g_01408	Syap.g_00081
OG0000366	Praw.g_01407	Syap.g_00082
OG0000367	Praw.g_01406	Syap.g_00083
OG0000368	Praw.g_01404	Syap.g_00085
OG0000369	Praw.g_01403	Syap.g_00086
OG0000370	Praw.g_01402	Syap.g_00087
OG0000372	Praw.g_01393	Syap.g_01805
OG0000373	Praw.g_01392	Syap.g_01806
OG0000374	Praw.g_01391	Syap.g_01807
OG0000375	Praw.g_01388	Syap.g_01808
OG0000376	Praw.g_01386	Syap.g_01811
OG0000377	Praw.g_01383	Syap.g_00128
OG0000378	Praw.g_01381	Syap.g_01326
OG0000380	Praw.g_01368	Syap.g_01687
OG0000381	Praw.g_01364	Syap.g_01690
OG0000382	Praw.g_01353	Syap.g_02548
OG0000383	Praw.g_01351	Syap.g_02359
OG0000384	Praw.g_01350	Syap.g_02360
OG0000385	Praw.g_01349	Syap.g_02361
OG0000386	Praw.g_01348	Syap.g_02362
OG0000387	Praw.g_01336	Syap.g_01864
OG0000391	Praw.g_01319	Syap.g_02234
OG0000392	Praw.g_01315	Syap.g_02225
OG0000393	Praw.g_01313	Syap.g_02222
OG0000394	Praw.g_01312	Syap.g_02221
OG0000395	Praw.g_01311	Syap.g_02220
OG0000396	Praw.g_01308	Syap.g_02217
OG0000397	Praw.g_01306	Syap.g_02215
OG0000398	Praw.g_01304	Syap.g_02211
OG0000399	Praw.g_01303	Syap.g_02210
OG0000400	Praw.g_01302	Syap.g_02209
OG0000401	Praw.g_01301	Syap.g_02208
OG0000402	Praw.g_01299	Syap.g_02206
OG0000403	Praw.g_01298	Syap.g_02205
OG0000404	Praw.g_01297	Syap.g_02204, Syap.g_02618
OG0000405	Praw.g_01293	Syap.g_02191
OG0000406	Praw.g_01288	Syap.g_02186
OG0000407	Praw.g_01287	Syap.g_02185
OG0000408	Praw.g_01285	Syap.g_02181, Syap.g_02182
OG0000409	Praw.g_01283	Syap.g_02179
OG0000410	Praw.g_01282	Syap.g_02178
OG0000411	Praw.g_01281	Syap.g_02177
OG0000412	Praw.g_01280	Syap.g_02176
OG0000413	Praw.g_01279	Syap.g_02174
OG0000414	Praw.g_01278	Syap.g_02173
OG0000415	Praw.g_01277	Syap.g_02172
OG0000416	Praw.g_01276	Syap.g_02171
OG0000417	Praw.g_01275	Syap.g_02169
OG0000418	Praw.g_01270	Syap.g_01204
OG0000419	Praw.g_01268	Syap.g_01201
OG0000420	Praw.g_01267	Syap.g_01199
OG0000421	Praw.g_01262	Syap.g_01195
OG0000422	Praw.g_01261	Syap.g_01194
OG0000423	Praw.g_01260	Syap.g_01193
OG0000424	Praw.g_01259	Syap.g_01192
OG0000425	Praw.g_01258	Syap.g_01191
OG0000426	Praw.g_01257	Syap.g_01190
OG0000427	Praw.g_01256	Syap.g_01189
OG0000428	Praw.g_01254	Syap.g_01186
OG0000429	Praw.g_01253	Syap.g_01184
OG0000430	Praw.g_01252	Syap.g_01182
OG0000431	Praw.g_01250	Syap.g_01179
OG0000432	Praw.g_01247	Syap.g_02277
OG0000433	Praw.g_01246	Syap.g_02272
OG0000434	Praw.g_01245	Syap.g_02271
OG0000435	Praw.g_01244	Syap.g_02268
OG0000436	Praw.g_01239	Syap.g_01607
OG0000437	Praw.g_01238	Syap.g_01608
OG0000438	Praw.g_01237	Syap.g_01612
OG0000439	Praw.g_01235	Syap.g_01614
OG0000440	Praw.g_01234	Syap.g_01615
OG0000441	Praw.g_01231	Syap.g_01619
OG0000442	Praw.g_01230	Syap.g_01620
OG0000443	Praw.g_01229	Syap.g_01622
OG0000444	Praw.g_01224	Syap.g_01424
OG0000445	Praw.g_01223	Syap.g_01421
OG0000446	Praw.g_01222	Syap.g_01419
OG0000447	Praw.g_01221	Syap.g_01410
OG0000448	Praw.g_01220	Syap.g_01407
OG0000449	Praw.g_01219	Syap.g_01406
OG0000450	Praw.g_01218	Syap.g_01909
OG0000451	Praw.g_01217	Syap.g_01908
OG0000452	Praw.g_01214	Syap.g_01904
OG0000453	Praw.g_01213	Syap.g_01903
OG0000454	Praw.g_01212	Syap.g_01902
OG0000455	Praw.g_01211	Syap.g_01901
OG0000456	Praw.g_01210	Syap.g_01900
OG0000457	Praw.g_01209	Syap.g_01896
OG0000458	Praw.g_01208	Syap.g_01895
OG0000459	Praw.g_01207	Syap.g_01894
OG0000460	Praw.g_01200	Syap.g_01159
OG0000461	Praw.g_00891	Syap.g_01575
OG0000462	Praw.g_00889	Syap.g_01578
OG0000463	Praw.g_00888	Syap.g_01579
OG0000464	Praw.g_00887	Syap.g_01580
OG0000465	Praw.g_00886	Syap.g_01582
OG0000466	Praw.g_00883	Syap.g_01587
OG0000467	Praw.g_00882	Syap.g_01588
OG0000468	Praw.g_00880	Syap.g_01593
OG0000469	Praw.g_00872	Syap.g_02352
OG0000470	Praw.g_00870	Syap.g_02349
OG0000471	Praw.g_00869	Syap.g_02348
OG0000472	Praw.g_00868	Syap.g_02347
OG0000473	Praw.g_00866	Syap.g_02343
OG0000474	Praw.g_00865	Syap.g_02342
OG0000475	Praw.g_00864	Syap.g_02341
OG0000476	Praw.g_00863	Syap.g_02339
OG0000477	Praw.g_00859	Syap.g_01367
OG0000478	Praw.g_00858	Syap.g_01366
OG0000479	Praw.g_00857	Syap.g_01364
OG0000480	Praw.g_00852	Syap.g_01357
OG0000482	Praw.g_00849	Syap.g_01355
OG0000483	Praw.g_00846	Syap.g_01344
OG0000484	Praw.g_00845	Syap.g_01350
OG0000485	Praw.g_00844	Syap.g_01349
OG0000487	Praw.g_00839	Syap.g_01635
OG0000488	Praw.g_00836	Syap.g_01639
OG0000489	Praw.g_00831	Syap.g_02482
OG0000490	Praw.g_00826	Syap.g_01673
OG0000491	Praw.g_00825	Syap.g_01670
OG0000492	Praw.g_00823	Syap.g_01668
OG0000493	Praw.g_00822	Syap.g_01667
OG0000494	Praw.g_00821	Syap.g_01666
OG0000495	Praw.g_00820	Syap.g_01665
OG0000496	Praw.g_00819	Syap.g_01663
OG0000497	Praw.g_00818	Syap.g_01662
OG0000498	Praw.g_00817	Syap.g_01661
OG0000499	Praw.g_00816	Syap.g_01660
OG0000500	Praw.g_00815	Syap.g_01659
OG0000501	Praw.g_00813	Syap.g_01656
OG0000502	Praw.g_00810	Syap.g_02066
OG0000503	Praw.g_00796	Syap.g_00569
OG0000504	Praw.g_00795	Syap.g_00567
OG0000505	Praw.g_00794	Syap.g_00566
OG0000506	Praw.g_00792	Syap.g_00564
OG0000507	Praw.g_00790	Syap.g_00558
OG0000508	Praw.g_00787	Syap.g_00554
OG0000509	Praw.g_00785	Syap.g_00551
OG0000510	Praw.g_00784	Syap.g_00550
OG0000511	Praw.g_00783	Syap.g_00548
OG0000512	Praw.g_00781	Syap.g_02145
OG0000513	Praw.g_00774	Syap.g_02048
OG0000514	Praw.g_00716	Syap.g_02051
OG0000515	Praw.g_00715	Syap.g_02052
OG0000516	Praw.g_00714	Syap.g_02054
OG0000517	Praw.g_00712	Syap.g_02057
OG0000519	Praw.g_00700	Syap.g_00457
OG0000520	Praw.g_00699	Syap.g_00456
OG0000521	Praw.g_00694	Syap.g_01997
OG0000522	Praw.g_00692	Syap.g_01995
OG0000523	Praw.g_00691	Syap.g_02507
OG0000524	Praw.g_00686	Syap.g_02135
OG0000525	Praw.g_00683	Syap.g_02159
OG0000526	Praw.g_00682	Syap.g_02157
OG0000527	Praw.g_00674	Syap.g_02758
OG0000528	Praw.g_00669	Syap.g_02261
OG0000529	Praw.g_00666	Syap.g_02254
OG0000530	Praw.g_00664	Syap.g_02252
OG0000531	Praw.g_00663	Syap.g_02251
OG0000532	Praw.g_00661	Syap.g_02247
OG0000533	Praw.g_00660	Syap.g_02244
OG0000534	Praw.g_00659	Syap.g_02243
OG0000535	Praw.g_00658	Syap.g_02242
OG0000536	Praw.g_00657	Syap.g_02241
OG0000537	Praw.g_00656	Syap.g_02240
OG0000538	Praw.g_00648	Syap.g_00271
OG0000539	Praw.g_00647	Syap.g_00270
OG0000540	Praw.g_00646	Syap.g_00269
OG0000541	Praw.g_00645	Syap.g_00268
OG0000542	Praw.g_00643	Syap.g_00264
OG0000543	Praw.g_00641	Syap.g_00261
OG0000544	Praw.g_00640	Syap.g_00260
OG0000545	Praw.g_00638	Syap.g_00259
OG0000546	Praw.g_00635	Syap.g_00256
OG0000547	Praw.g_00633	Syap.g_00254
OG0000548	Praw.g_00632	Syap.g_00253
OG0000549	Praw.g_00630	Syap.g_00758
OG0000550	Praw.g_00625	Syap.g_02747
OG0000551	Praw.g_00621	Syap.g_02739
OG0000552	Praw.g_00620	Syap.g_02738
OG0000553	Praw.g_00619	Syap.g_02735
OG0000554	Praw.g_00614	Syap.g_01450
OG0000555	Praw.g_00606	Syap.g_01941
OG0000556	Praw.g_00604	Syap.g_01933
OG0000557	Praw.g_00603	Syap.g_01931
OG0000558	Praw.g_00601	Syap.g_01147
OG0000560	Praw.g_00594	Syap.g_00305
OG0000561	Praw.g_00593	Syap.g_00304
OG0000562	Praw.g_00592	Syap.g_00302
OG0000563	Praw.g_00591	Syap.g_00301
OG0000564	Praw.g_00590	Syap.g_00300
OG0000565	Praw.g_00587	Syap.g_00296
OG0000566	Praw.g_00585	Syap.g_00291
OG0000567	Praw.g_00581	Syap.g_01297
OG0000568	Praw.g_00580	Syap.g_01302
OG0000569	Praw.g_00579	Syap.g_01303
OG0000570	Praw.g_00578	Syap.g_01304
OG0000571	Praw.g_00576	Syap.g_01307
OG0000573	Praw.g_01938	Syap.g_00765
OG0000574	Praw.g_01939	Syap.g_00759
OG0000575	Praw.g_01943	Syap.g_00445
OG0000576	Praw.g_01945	Syap.g_00450
OG0000577	Praw.g_01946	Syap.g_00451
OG0000578	Praw.g_01947	Syap.g_00452
OG0000579	Praw.g_01948	Syap.g_00453
OG0000580	Praw.g_01949	Syap.g_00454
OG0000581	Praw.g_00141	Syap.g_01521
OG0000582	Praw.g_00144	Syap.g_01533
OG0000583	Praw.g_00145	Syap.g_01532
OG0000584	Praw.g_00146	Syap.g_01530
OG0000585	Praw.g_00148	Syap.g_01526
OG0000586	Praw.g_00149	Syap.g_01525
OG0000587	Praw.g_00150	Syap.g_01523
OG0000588	Praw.g_00154	Syap.g_00776
