Orthogroup	Syap	Prap
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prap.g_01035
OG0000088	Syap.g_01202	Prap.g_01004
OG0000089	Syap.g_00115, Syap.g_02042	Prap.g_01349
OG0000090	Syap.g_01451	Prap.g_01236
OG0000091	Syap.g_01861	Prap.g_00384
OG0000094	Syap.g_02781	Prap.g_00306
OG0000095	Syap.g_01556	Prap.g_00708
OG0000098	Syap.g_01975	Prap.g_01928
OG0000099	Syap.g_01385	Prap.g_00082
OG0000101	Syap.g_00472	Prap.g_01642
OG0000102	Syap.g_01116	Prap.g_01575
OG0000103	Syap.g_02607, Syap.g_02608	Prap.g_01491
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prap.g_01869
OG0000105	Syap.g_01369, Syap.g_01368	Prap.g_01436
OG0000107	Syap.g_02496	Prap.g_01714
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Prap.g_01287
OG0000109	Syap.g_00279, Syap.g_02237	Prap.g_01273
OG0000110	Syap.g_01313	Prap.g_01194
OG0000111	Syap.g_01566, Syap.g_01568	Prap.g_00798
OG0000112	Syap.g_02023	Prap.g_01121
OG0000113	Syap.g_02714	Prap.g_00760
OG0000114	Syap.g_01255	Prap.g_00858
OG0000115	Syap.g_02004	Prap.g_00525
OG0000116	Syap.g_00241	Prap.g_00467
OG0000117	Syap.g_01889	Prap.g_00429
OG0000118	Syap.g_02286	Prap.g_00574
OG0000120	Syap.g_02075	Prap.g_00079
OG0000121	Syap.g_02471	Prap.g_00123
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prap.g_01635
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prap.g_01563
OG0000125	Syap.g_01046, Syap.g_01047	Prap.g_01528
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Prap.g_01870
OG0000128	Syap.g_00069	Prap.g_00043
OG0000129	Syap.g_00130, Syap.g_00129	Prap.g_00910
OG0000130	Syap.g_01688, Syap.g_01689	Prap.g_00881
OG0000131	Syap.g_02189	Prap.g_01026
OG0000132	Syap.g_01205	Prap.g_01006
OG0000133	Syap.g_02017	Prap.g_01389
OG0000134	Syap.g_02047	Prap.g_01347
OG0000135	Syap.g_02090	Prap.g_00543
OG0000136	Syap.g_00089	Prap.g_01325
OG0000137	Syap.g_02756	Prap.g_01292
OG0000138	Syap.g_00278	Prap.g_01272
OG0000139	Syap.g_00410	Prap.g_01232
OG0000140	Syap.g_01976	Prap.g_01231
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prap.g_01160
OG0000142	Syap.g_00895, Syap.g_00894	Prap.g_00392
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prap.g_00388
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prap.g_00374
OG0000145	Syap.g_01860, Syap.g_01859	Prap.g_00545
OG0000146	Syap.g_02024	Prap.g_01122
OG0000147	Syap.g_02025	Prap.g_01123
OG0000148	Syap.g_02720	Prap.g_00766
OG0000149	Syap.g_00824	Prap.g_00734
OG0000150	Syap.g_01540	Prap.g_00724
OG0000151	Syap.g_00142	Prap.g_00848
OG0000152	Syap.g_02012	Prap.g_00257
OG0000153	Syap.g_02682	Prap.g_00276
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prap.g_00296
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prap.g_00435
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prap.g_00550
OG0000157	Syap.g_00249, Syap.g_00286	Prap.g_00551
OG0000158	Syap.g_01075	Prap.g_01598
OG0000159	Syap.g_00852	Prap.g_00890
OG0000160	Syap.g_02470, Syap.g_02469	Prap.g_00122
OG0000161	Syap.g_02476	Prap.g_00128
OG0000162	Syap.g_02531	Prap.g_00134
OG0000164	Syap.g_01391, Syap.g_01392	Prap.g_01754
OG0000165	Syap.g_01381, Syap.g_01382	Prap.g_01747
OG0000166	Syap.g_00512, Syap.g_01238	Prap.g_01680
OG0000167	Syap.g_02080	Prap.g_01608
OG0000168	Syap.g_01076	Prap.g_01597
OG0000169	Syap.g_01049, Syap.g_01093	Prap.g_01587
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prap.g_01584
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prap.g_01564
OG0000172	Syap.g_01143, Syap.g_00635	Prap.g_01557
OG0000173	Syap.g_01213, Syap.g_00982, Syap.g_00983	Prap.g_01542
OG0000174	Syap.g_02092	Prap.g_01513
OG0000175	Syap.g_02654	Prap.g_01500
OG0000176	Syap.g_00059	Prap.g_00050
OG0000177	Syap.g_00061, Syap.g_00060	Prap.g_00049
OG0000178	Syap.g_00062	Prap.g_00048
OG0000179	Syap.g_00077, Syap.g_02638	Prap.g_00939
OG0000180	Syap.g_00078, Syap.g_02640	Prap.g_00938
OG0000181	Syap.g_00079, Syap.g_02641	Prap.g_00937
OG0000182	Syap.g_00080, Syap.g_02642	Prap.g_00936
OG0000183	Syap.g_00084	Prap.g_00932
OG0000184	Syap.g_01337	Prap.g_00906
OG0000185	Syap.g_01322	Prap.g_00903
OG0000186	Syap.g_01684	Prap.g_00887
OG0000187	Syap.g_01686	Prap.g_00886
OG0000188	Syap.g_02547	Prap.g_01096
OG0000191	Syap.g_02233	Prap.g_01057
OG0000192	Syap.g_02224	Prap.g_01052
OG0000193	Syap.g_02187, Syap.g_02188	Prap.g_01025
OG0000194	Syap.g_02183	Prap.g_01022
OG0000195	Syap.g_02180	Prap.g_01020
OG0000196	Syap.g_01208, Syap.g_02167	Prap.g_01009
OG0000197	Syap.g_01207, Syap.g_02166	Prap.g_01008
OG0000198	Syap.g_01206	Prap.g_01007
OG0000199	Syap.g_01197	Prap.g_01000
OG0000200	Syap.g_01181	Prap.g_00986
OG0000201	Syap.g_02265	Prap.g_00977
OG0000202	Syap.g_02264	Prap.g_00976
OG0000203	Syap.g_01601	Prap.g_00975
OG0000204	Syap.g_01602	Prap.g_00974
OG0000205	Syap.g_01616	Prap.g_00967
OG0000206	Syap.g_01628	Prap.g_00962
OG0000207	Syap.g_01426, Syap.g_00424	Prap.g_00959
OG0000208	Syap.g_00426, Syap.g_01425	Prap.g_00958
OG0000209	Syap.g_01906	Prap.g_00949
OG0000210	Syap.g_01905	Prap.g_00948
OG0000211	Syap.g_01160	Prap.g_01479
OG0000212	Syap.g_02664	Prap.g_01471
OG0000213	Syap.g_00107, Syap.g_01599	Prap.g_01453
OG0000214	Syap.g_02344, Syap.g_02345	Prap.g_01443
OG0000215	Syap.g_01347, Syap.g_01629	Prap.g_01416
OG0000216	Syap.g_01634	Prap.g_01415
OG0000217	Syap.g_01638	Prap.g_01412
OG0000218	Syap.g_01641, Syap.g_01640	Prap.g_01410
OG0000219	Syap.g_01642, Syap.g_01643	Prap.g_01409
OG0000220	Syap.g_01645	Prap.g_01408
OG0000221	Syap.g_01646	Prap.g_01407
OG0000222	Syap.g_01669	Prap.g_01400
OG0000223	Syap.g_02072, Syap.g_02073	Prap.g_01388
OG0000224	Syap.g_02064	Prap.g_01386
OG0000225	Syap.g_00553, Syap.g_00552	Prap.g_01360
OG0000226	Syap.g_02029, Syap.g_02144	Prap.g_01356
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prap.g_01354
OG0000228	Syap.g_00116, Syap.g_02041	Prap.g_01350
OG0000229	Syap.g_02059	Prap.g_01330
OG0000230	Syap.g_02061	Prap.g_01328
OG0000231	Syap.g_02533	Prap.g_01317
OG0000232	Syap.g_02510, Syap.g_02511	Prap.g_01306
OG0000233	Syap.g_02133	Prap.g_01300
OG0000234	Syap.g_02755	Prap.g_01291
OG0000235	Syap.g_00732, Syap.g_02258	Prap.g_01288
OG0000236	Syap.g_02238	Prap.g_01274
OG0000237	Syap.g_00262, Syap.g_00263	Prap.g_01261
OG0000238	Syap.g_00257, Syap.g_00258	Prap.g_01255
OG0000239	Syap.g_02744	Prap.g_01244
OG0000240	Syap.g_02742	Prap.g_01243
OG0000241	Syap.g_00888	Prap.g_01239
OG0000242	Syap.g_01455	Prap.g_01237
OG0000243	Syap.g_01938	Prap.g_01226
OG0000244	Syap.g_01146, Syap.g_01145	Prap.g_01223
OG0000245	Syap.g_01148	Prap.g_01221
OG0000246	Syap.g_00308	Prap.g_01217
OG0000247	Syap.g_00288, Syap.g_00293	Prap.g_01207
OG0000248	Syap.g_00290	Prap.g_01204
OG0000249	Syap.g_01296, Syap.g_01295	Prap.g_01202
OG0000250	Syap.g_01306	Prap.g_01197
OG0000251	Syap.g_00442	Prap.g_01177
OG0000252	Syap.g_01857	Prap.g_01174
OG0000253	Syap.g_00443	Prap.g_01173
OG0000254	Syap.g_01527, Syap.g_01528	Prap.g_01156
OG0000256	Syap.g_01287	Prap.g_01140
OG0000257	Syap.g_00886	Prap.g_00397
OG0000258	Syap.g_00907	Prap.g_00383
OG0000260	Syap.g_01970	Prap.g_00363
OG0000261	Syap.g_01962, Syap.g_01961	Prap.g_00360
OG0000262	Syap.g_01954	Prap.g_00356
OG0000263	Syap.g_00432, Syap.g_00433	Prap.g_00820
OG0000266	Syap.g_00519	Prap.g_00337
OG0000267	Syap.g_02333, Syap.g_02332	Prap.g_00325
OG0000268	Syap.g_00646	Prap.g_00324
OG0000269	Syap.g_00188	Prap.g_00788
OG0000270	Syap.g_00192	Prap.g_00785
OG0000271	Syap.g_00200, Syap.g_00201	Prap.g_00777
OG0000272	Syap.g_00202	Prap.g_00776
OG0000273	Syap.g_02703	Prap.g_00752
OG0000274	Syap.g_02702	Prap.g_00751
OG0000275	Syap.g_01847	Prap.g_00748
OG0000276	Syap.g_01839, Syap.g_01838	Prap.g_00742
OG0000277	Syap.g_01837	Prap.g_00741
OG0000278	Syap.g_01834	Prap.g_00738
OG0000279	Syap.g_00829, Syap.g_00830	Prap.g_00731
OG0000280	Syap.g_00365	Prap.g_00730
OG0000281	Syap.g_01977	Prap.g_00723
OG0000282	Syap.g_01252	Prap.g_00856
OG0000283	Syap.g_01728	Prap.g_00680
OG0000284	Syap.g_01736	Prap.g_00675
OG0000285	Syap.g_01746, Syap.g_01744	Prap.g_00243
OG0000286	Syap.g_02014, Syap.g_02013	Prap.g_00256
OG0000288	Syap.g_02764, Syap.g_02763	Prap.g_00295
OG0000289	Syap.g_02784	Prap.g_00311
OG0000290	Syap.g_01552	Prap.g_00705
OG0000291	Syap.g_01554	Prap.g_00707
OG0000292	Syap.g_02314	Prap.g_00501
OG0000293	Syap.g_00240	Prap.g_00466
OG0000294	Syap.g_00239	Prap.g_00465
OG0000295	Syap.g_00206	Prap.g_00442
OG0000296	Syap.g_00204	Prap.g_00440
OG0000297	Syap.g_01887	Prap.g_00431
OG0000298	Syap.g_01888	Prap.g_00430
OG0000299	Syap.g_02620	Prap.g_00411
OG0000302	Syap.g_02444, Syap.g_02445	Prap.g_00405
OG0000303	Syap.g_02435	Prap.g_00399
OG0000304	Syap.g_02430	Prap.g_01135
OG0000305	Syap.g_01557	Prap.g_00499
OG0000306	Syap.g_01966	Prap.g_00719
OG0000307	Syap.g_02517	Prap.g_00068
OG0000308	Syap.g_02514, Syap.g_02515	Prap.g_00069
OG0000309	Syap.g_02198, Syap.g_02446	Prap.g_00073
OG0000310	Syap.g_02660, Syap.g_02661	Prap.g_00107
OG0000311	Syap.g_02657	Prap.g_00109
OG0000312	Syap.g_02114	Prap.g_00112
OG0000313	Syap.g_02473	Prap.g_00125
OG0000314	Syap.g_00007	Prap.g_00148
OG0000315	Syap.g_00017	Prap.g_00158
OG0000316	Syap.g_00030	Prap.g_00183
OG0000317	Syap.g_00618	Prap.g_01782
OG0000318	Syap.g_00622, Syap.g_02786	Prap.g_01778
OG0000319	Syap.g_01764, Syap.g_01771	Prap.g_01765
OG0000320	Syap.g_01761, Syap.g_01769	Prap.g_01763
OG0000321	Syap.g_01760, Syap.g_01768	Prap.g_01762
OG0000322	Syap.g_01759, Syap.g_01767	Prap.g_01761
OG0000323	Syap.g_01389	Prap.g_01751
OG0000324	Syap.g_01503	Prap.g_01724
OG0000325	Syap.g_02680	Prap.g_01713
OG0000326	Syap.g_00544	Prap.g_01706
OG0000327	Syap.g_01233, Syap.g_01913	Prap.g_01685
OG0000328	Syap.g_01234, Syap.g_01912	Prap.g_01684
OG0000329	Syap.g_00498	Prap.g_01667
OG0000330	Syap.g_00497	Prap.g_01666
OG0000331	Syap.g_00496	Prap.g_01665
OG0000332	Syap.g_00481	Prap.g_01651
OG0000333	Syap.g_00478	Prap.g_01648, Prap.g_01649
OG0000334	Syap.g_00468	Prap.g_01639
OG0000335	Syap.g_00101, Syap.g_00463	Prap.g_01634
OG0000336	Syap.g_00417, Syap.g_00607	Prap.g_01630
OG0000337	Syap.g_01054	Prap.g_01612
OG0000338	Syap.g_01059	Prap.g_01611
OG0000339	Syap.g_01068	Prap.g_01605
OG0000340	Syap.g_01077	Prap.g_01596
OG0000341	Syap.g_01079	Prap.g_01594
OG0000342	Syap.g_01080, Syap.g_02477	Prap.g_01593
OG0000343	Syap.g_01086, Syap.g_02078	Prap.g_01592
OG0000344	Syap.g_01091	Prap.g_01589
OG0000345	Syap.g_01107, Syap.g_01470	Prap.g_01583
OG0000346	Syap.g_02423, Syap.g_01113	Prap.g_01579
OG0000347	Syap.g_01131, Syap.g_02459	Prap.g_01562
OG0000348	Syap.g_00632	Prap.g_01554
OG0000349	Syap.g_00110, Syap.g_01813	Prap.g_01537
OG0000351	Syap.g_02594	Prap.g_01497
OG0000352	Syap.g_02596, Syap.g_02597	Prap.g_01496
OG0000353	Syap.g_00054	Prap.g_00055
OG0000355	Syap.g_00056	Prap.g_00053
OG0000356	Syap.g_00057	Prap.g_00052
OG0000357	Syap.g_00058	Prap.g_00051
OG0000358	Syap.g_00063	Prap.g_00047
OG0000359	Syap.g_00065	Prap.g_00046
OG0000360	Syap.g_00067	Prap.g_00045
OG0000361	Syap.g_00068	Prap.g_00044
OG0000362	Syap.g_00070	Prap.g_00042
OG0000363	Syap.g_00072	Prap.g_00941
OG0000364	Syap.g_00620	Prap.g_00940
OG0000365	Syap.g_00081	Prap.g_00935
OG0000366	Syap.g_00082	Prap.g_00934
OG0000367	Syap.g_00083	Prap.g_00933
OG0000368	Syap.g_00085	Prap.g_00931
OG0000369	Syap.g_00086	Prap.g_00930
OG0000370	Syap.g_00087	Prap.g_00929
OG0000372	Syap.g_01805	Prap.g_00919
OG0000373	Syap.g_01806	Prap.g_00918
OG0000374	Syap.g_01807	Prap.g_00917
OG0000375	Syap.g_01808	Prap.g_00915
OG0000376	Syap.g_01811	Prap.g_00913
OG0000377	Syap.g_00128	Prap.g_00909
OG0000378	Syap.g_01326	Prap.g_00905
OG0000380	Syap.g_01687	Prap.g_00885
OG0000381	Syap.g_01690	Prap.g_00880
OG0000382	Syap.g_02548	Prap.g_01097
OG0000383	Syap.g_02359	Prap.g_01095
OG0000384	Syap.g_02360	Prap.g_01094
OG0000385	Syap.g_02361	Prap.g_01093
OG0000386	Syap.g_02362	Prap.g_01092
OG0000387	Syap.g_01864	Prap.g_01078
OG0000391	Syap.g_02234	Prap.g_01058
OG0000392	Syap.g_02225	Prap.g_01054
OG0000393	Syap.g_02222	Prap.g_01051
OG0000394	Syap.g_02221	Prap.g_01050
OG0000395	Syap.g_02220	Prap.g_01049
OG0000396	Syap.g_02217	Prap.g_01047
OG0000397	Syap.g_02215	Prap.g_01045
OG0000398	Syap.g_02211	Prap.g_01042
OG0000399	Syap.g_02210	Prap.g_01041
OG0000400	Syap.g_02209	Prap.g_01040
OG0000401	Syap.g_02208	Prap.g_01039
OG0000402	Syap.g_02206	Prap.g_00319
OG0000403	Syap.g_02205	Prap.g_01037
OG0000404	Syap.g_02204, Syap.g_02618	Prap.g_01036
OG0000405	Syap.g_02191	Prap.g_01032
OG0000406	Syap.g_02186	Prap.g_01024
OG0000407	Syap.g_02185	Prap.g_01023
OG0000408	Syap.g_02181, Syap.g_02182	Prap.g_01021
OG0000409	Syap.g_02179	Prap.g_01019
OG0000410	Syap.g_02178	Prap.g_01018
OG0000411	Syap.g_02177	Prap.g_01017
OG0000412	Syap.g_02176	Prap.g_01016
OG0000413	Syap.g_02174	Prap.g_01014
OG0000414	Syap.g_02173	Prap.g_01013
OG0000415	Syap.g_02172	Prap.g_01012
OG0000416	Syap.g_02171	Prap.g_01011
OG0000417	Syap.g_02169	Prap.g_01010
OG0000418	Syap.g_01204	Prap.g_01005
OG0000419	Syap.g_01201	Prap.g_01003
OG0000420	Syap.g_01199	Prap.g_01002
OG0000421	Syap.g_01195	Prap.g_00997
OG0000422	Syap.g_01194	Prap.g_00996
OG0000423	Syap.g_01193	Prap.g_00995
OG0000424	Syap.g_01192	Prap.g_00994
OG0000425	Syap.g_01191	Prap.g_00993
OG0000426	Syap.g_01190	Prap.g_00992
OG0000427	Syap.g_01189	Prap.g_00991
OG0000428	Syap.g_01186	Prap.g_00989
OG0000429	Syap.g_01184	Prap.g_00988
OG0000430	Syap.g_01182	Prap.g_00987
OG0000431	Syap.g_01179	Prap.g_00985
OG0000432	Syap.g_02277	Prap.g_00981
OG0000433	Syap.g_02272	Prap.g_00980
OG0000434	Syap.g_02271	Prap.g_00979
OG0000435	Syap.g_02268	Prap.g_00978
OG0000436	Syap.g_01607	Prap.g_00973
OG0000437	Syap.g_01608	Prap.g_00972
OG0000438	Syap.g_01612	Prap.g_00971
OG0000439	Syap.g_01614	Prap.g_00969
OG0000440	Syap.g_01615	Prap.g_00968
OG0000441	Syap.g_01619	Prap.g_00965
OG0000442	Syap.g_01620	Prap.g_00964
OG0000443	Syap.g_01622	Prap.g_00963
OG0000444	Syap.g_01424	Prap.g_00957
OG0000445	Syap.g_01421	Prap.g_00956
OG0000446	Syap.g_01419	Prap.g_00955
OG0000447	Syap.g_01410	Prap.g_00954
OG0000448	Syap.g_01407	Prap.g_00953
OG0000449	Syap.g_01406	Prap.g_00952
OG0000450	Syap.g_01909	Prap.g_00951
OG0000451	Syap.g_01908	Prap.g_00950
OG0000452	Syap.g_01904	Prap.g_00947
OG0000453	Syap.g_01903	Prap.g_00946
OG0000454	Syap.g_01902	Prap.g_00945
OG0000455	Syap.g_01901	Prap.g_00944
OG0000456	Syap.g_01900	Prap.g_00943
OG0000457	Syap.g_01896	Prap.g_01487
OG0000458	Syap.g_01895	Prap.g_01486
OG0000459	Syap.g_01894	Prap.g_01485
OG0000460	Syap.g_01159	Prap.g_01477
OG0000461	Syap.g_01575	Prap.g_01469
OG0000462	Syap.g_01578	Prap.g_01467
OG0000463	Syap.g_01579	Prap.g_01466
OG0000464	Syap.g_01580	Prap.g_01465
OG0000465	Syap.g_01582	Prap.g_01464
OG0000466	Syap.g_01587	Prap.g_01461
OG0000467	Syap.g_01588	Prap.g_01460
OG0000468	Syap.g_01593	Prap.g_01457
OG0000469	Syap.g_02352	Prap.g_01449
OG0000470	Syap.g_02349	Prap.g_01447
OG0000471	Syap.g_02348	Prap.g_01446
OG0000472	Syap.g_02347	Prap.g_01444
OG0000473	Syap.g_02343	Prap.g_01442
OG0000474	Syap.g_02342	Prap.g_01441
OG0000475	Syap.g_02341	Prap.g_01440
OG0000476	Syap.g_02339	Prap.g_01438
OG0000477	Syap.g_01367	Prap.g_01435
OG0000478	Syap.g_01366	Prap.g_01434
OG0000479	Syap.g_01364	Prap.g_01433
OG0000480	Syap.g_01357	Prap.g_01428
OG0000482	Syap.g_01355	Prap.g_01424
OG0000483	Syap.g_01344	Prap.g_01421
OG0000484	Syap.g_01350	Prap.g_01420
OG0000485	Syap.g_01349	Prap.g_01418
OG0000487	Syap.g_01635	Prap.g_01414
OG0000488	Syap.g_01639	Prap.g_01411
OG0000489	Syap.g_02482	Prap.g_01406
OG0000490	Syap.g_01673	Prap.g_01402
OG0000491	Syap.g_01670	Prap.g_01401
OG0000492	Syap.g_01668	Prap.g_01399
OG0000493	Syap.g_01667	Prap.g_01398
OG0000494	Syap.g_01666	Prap.g_01397
OG0000495	Syap.g_01665	Prap.g_01396
OG0000496	Syap.g_01663	Prap.g_01395
OG0000497	Syap.g_01662	Prap.g_01394
OG0000498	Syap.g_01661	Prap.g_01393
OG0000499	Syap.g_01660	Prap.g_01392
OG0000500	Syap.g_01659	Prap.g_01391
OG0000501	Syap.g_01656	Prap.g_01390
OG0000502	Syap.g_02066	Prap.g_01387
OG0000503	Syap.g_00569	Prap.g_01372
OG0000504	Syap.g_00567	Prap.g_01370
OG0000505	Syap.g_00566	Prap.g_01369
OG0000506	Syap.g_00564	Prap.g_01368
OG0000507	Syap.g_00558	Prap.g_01365
OG0000508	Syap.g_00554	Prap.g_01361
OG0000509	Syap.g_00551	Prap.g_01359
OG0000510	Syap.g_00550	Prap.g_01358
OG0000511	Syap.g_00548	Prap.g_01357
OG0000512	Syap.g_02145	Prap.g_01355
OG0000513	Syap.g_02048	Prap.g_01346
OG0000514	Syap.g_02051	Prap.g_01335
OG0000515	Syap.g_02052	Prap.g_01334
OG0000516	Syap.g_02054	Prap.g_01333
OG0000517	Syap.g_02057	Prap.g_01331
OG0000519	Syap.g_00457	Prap.g_01319
OG0000520	Syap.g_00456	Prap.g_01318
OG0000521	Syap.g_01997	Prap.g_01310
OG0000522	Syap.g_01995	Prap.g_01308
OG0000523	Syap.g_02507	Prap.g_01307
OG0000524	Syap.g_02135	Prap.g_01302
OG0000525	Syap.g_02159	Prap.g_01298
OG0000526	Syap.g_02157	Prap.g_01297
OG0000527	Syap.g_02758	Prap.g_01294
OG0000528	Syap.g_02261	Prap.g_01289
OG0000529	Syap.g_02254	Prap.g_01286
OG0000530	Syap.g_02252	Prap.g_01283
OG0000531	Syap.g_02251	Prap.g_01282
OG0000532	Syap.g_02247	Prap.g_01280
OG0000533	Syap.g_02244	Prap.g_01279
OG0000534	Syap.g_02243	Prap.g_01278
OG0000535	Syap.g_02242	Prap.g_01277
OG0000536	Syap.g_02241	Prap.g_01276
OG0000537	Syap.g_02240	Prap.g_01275
OG0000538	Syap.g_00271	Prap.g_01266
OG0000539	Syap.g_00270	Prap.g_01265
OG0000540	Syap.g_00269	Prap.g_01264
OG0000541	Syap.g_00268	Prap.g_01263
OG0000542	Syap.g_00264	Prap.g_01262
OG0000543	Syap.g_00261	Prap.g_01260
OG0000544	Syap.g_00260	Prap.g_01259
OG0000545	Syap.g_00259	Prap.g_01257
OG0000546	Syap.g_00256	Prap.g_01254
OG0000547	Syap.g_00254	Prap.g_01252
OG0000548	Syap.g_00253	Prap.g_01251
OG0000549	Syap.g_00758	Prap.g_01249
OG0000550	Syap.g_02747	Prap.g_01245
OG0000551	Syap.g_02739	Prap.g_01242
OG0000552	Syap.g_02738	Prap.g_01241
OG0000553	Syap.g_02735	Prap.g_01240
OG0000554	Syap.g_01450	Prap.g_01235
OG0000555	Syap.g_01941	Prap.g_01227
OG0000556	Syap.g_01933	Prap.g_01225
OG0000557	Syap.g_01931	Prap.g_01224
OG0000558	Syap.g_01147	Prap.g_01222
OG0000560	Syap.g_00305	Prap.g_01215
OG0000561	Syap.g_00304	Prap.g_01214
OG0000562	Syap.g_00302	Prap.g_01213
OG0000563	Syap.g_00301	Prap.g_01212
OG0000564	Syap.g_00300	Prap.g_01211
OG0000565	Syap.g_00296	Prap.g_01209
OG0000566	Syap.g_00291	Prap.g_01205
OG0000567	Syap.g_01297	Prap.g_01201
OG0000568	Syap.g_01302	Prap.g_01200
OG0000569	Syap.g_01303	Prap.g_01199
OG0000570	Syap.g_01304	Prap.g_01198
OG0000571	Syap.g_01307	Prap.g_01196
OG0000573	Syap.g_00765	Prap.g_01176
OG0000574	Syap.g_00759	Prap.g_01175
OG0000575	Syap.g_00445	Prap.g_01171
OG0000576	Syap.g_00450	Prap.g_01169
OG0000577	Syap.g_00451	Prap.g_01168
OG0000578	Syap.g_00452	Prap.g_01167
OG0000579	Syap.g_00453	Prap.g_01166
OG0000580	Syap.g_00454	Prap.g_01165
OG0000581	Syap.g_01521	Prap.g_01162
OG0000582	Syap.g_01533	Prap.g_01159
OG0000583	Syap.g_01532	Prap.g_01158
OG0000584	Syap.g_01530	Prap.g_01157
OG0000585	Syap.g_01526	Prap.g_01155
OG0000586	Syap.g_01525	Prap.g_01154
