Orthogroup	Syap	Syah
OG0000061	Syap.g_00228	Syah.g_02158
OG0000062	Syap.g_01220	Syah.g_02365
OG0000063	Syap.g_01796	Syah.g_00337
OG0000066	Syap.g_01972	Syah.g_01073
OG0000067	Syap.g_00194	Syah.g_01779
OG0000068	Syap.g_00108, Syap.g_00144	Syah.g_00986
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Syah.g_01715
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syah.g_02217
OG0000071	Syap.g_01483	Syah.g_01863
OG0000073	Syap.g_00273	Syah.g_01018
OG0000075	Syap.g_01064, Syap.g_00664	Syah.g_00186
OG0000076	Syap.g_01111	Syah.g_00250
OG0000077	Syap.g_00416	Syah.g_02494
OG0000079	Syap.g_01589	Syah.g_00665
OG0000080	Syap.g_01707, Syap.g_00630, Syap.g_01035	Syah.g_00290
OG0000085	Syap.g_00611	Syah.g_02372
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syah.g_00038
OG0000088	Syap.g_01202	Syah.g_00074
OG0000089	Syap.g_00115, Syap.g_02042	Syah.g_00888
OG0000090	Syap.g_01451	Syah.g_01064
OG0000091	Syap.g_01861	Syah.g_01927
OG0000094	Syap.g_02781	Syah.g_01692
OG0000095	Syap.g_01556	Syah.g_02030
OG0000099	Syap.g_01385	Syah.g_00144
OG0000102	Syap.g_01116	Syah.g_00255
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Syah.g_00377
OG0000105	Syap.g_01369, Syap.g_01368	Syah.g_00632
OG0000108	Syap.g_00733, Syap.g_02255	Syah.g_00997
OG0000110	Syap.g_01313	Syah.g_01124
OG0000111	Syap.g_01566, Syap.g_01568	Syah.g_02021
OG0000112	Syap.g_02023	Syah.g_01613
OG0000113	Syap.g_02714	Syah.g_01752
OG0000114	Syap.g_01255	Syah.g_01529
OG0000115	Syap.g_02004	Syah.g_01269
OG0000116	Syap.g_00241	Syah.g_02175
OG0000117	Syap.g_01889	Syah.g_01425
OG0000118	Syap.g_02286	Syah.g_01173
OG0000120	Syap.g_02075	Syah.g_00145
OG0000121	Syap.g_02471	Syah.g_01287
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syah.g_00793
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syah.g_00272
OG0000125	Syap.g_01046, Syap.g_01047	Syah.g_00504
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Syah.g_00379
OG0000128	Syap.g_00069	Syah.g_00361
OG0000129	Syap.g_00130, Syap.g_00129	Syah.g_00516
OG0000130	Syap.g_01688, Syap.g_01689	Syah.g_02483
OG0000131	Syap.g_02189	Syah.g_00052
OG0000132	Syap.g_01205	Syah.g_00072
OG0000133	Syap.g_02017	Syah.g_01618
OG0000134	Syap.g_02047	Syah.g_00891
OG0000135	Syap.g_02090	Syah.g_00465
OG0000136	Syap.g_00089	Syah.g_02227
OG0000137	Syap.g_02756	Syah.g_01221
OG0000138	Syap.g_00278	Syah.g_01013
OG0000139	Syap.g_00410	Syah.g_01070
OG0000140	Syap.g_01976	Syah.g_01071
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syah.g_01981
OG0000142	Syap.g_00895, Syap.g_00894	Syah.g_01935
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syah.g_01931
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syah.g_01824
OG0000145	Syap.g_01860, Syap.g_01859	Syah.g_01019
OG0000146	Syap.g_02024	Syah.g_01612
OG0000147	Syap.g_02025	Syah.g_01611
OG0000148	Syap.g_02720	Syah.g_01758
OG0000149	Syap.g_00824	Syah.g_02096
OG0000150	Syap.g_01540	Syah.g_01980
OG0000151	Syap.g_00142	Syah.g_01820
OG0000152	Syap.g_02012	Syah.g_01622
OG0000153	Syap.g_02682	Syah.g_01656
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Syah.g_01682
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Syah.g_02123
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Syah.g_02185
OG0000157	Syap.g_00249, Syap.g_00286	Syah.g_02186
OG0000158	Syap.g_01075	Syah.g_00204
OG0000160	Syap.g_02470, Syap.g_02469	Syah.g_01289
OG0000161	Syap.g_02476	Syah.g_01282
OG0000162	Syap.g_02531	Syah.g_01276
OG0000165	Syap.g_01381, Syap.g_01382	Syah.g_02251
OG0000166	Syap.g_00512, Syap.g_01238	Syah.g_00747
OG0000167	Syap.g_02080	Syah.g_00183
OG0000168	Syap.g_01076	Syah.g_00205
OG0000169	Syap.g_01049, Syap.g_01093	Syah.g_00237
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Syah.g_00245
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Syah.g_00271
OG0000172	Syap.g_01143, Syap.g_00635	Syah.g_00293
OG0000173	Syap.g_00982, Syap.g_00983	Syah.g_00313
OG0000174	Syap.g_02092	Syah.g_00461
OG0000175	Syap.g_02654	Syah.g_00402
OG0000176	Syap.g_00059	Syah.g_00369
OG0000177	Syap.g_00061, Syap.g_00060	Syah.g_00368
OG0000178	Syap.g_00062	Syah.g_00367
OG0000179	Syap.g_00077, Syap.g_02638	Syah.g_00355
OG0000180	Syap.g_00078, Syap.g_02640	Syah.g_00354
OG0000181	Syap.g_00079, Syap.g_02641	Syah.g_00353
OG0000182	Syap.g_00080, Syap.g_02642	Syah.g_00352
OG0000183	Syap.g_00084	Syah.g_00348
OG0000184	Syap.g_01337	Syah.g_00525
OG0000185	Syap.g_01322	Syah.g_00528
OG0000186	Syap.g_01684	Syah.g_02479
OG0000187	Syap.g_01686	Syah.g_02480
OG0000188	Syap.g_02547	Syah.g_02501
OG0000191	Syap.g_02233	Syah.g_00008
OG0000192	Syap.g_02224	Syah.g_00013
OG0000193	Syap.g_02187, Syap.g_02188	Syah.g_00053
OG0000194	Syap.g_02183	Syah.g_00056
OG0000196	Syap.g_01208, Syap.g_02167	Syah.g_00069
OG0000197	Syap.g_01207, Syap.g_02166	Syah.g_00070
OG0000198	Syap.g_01206	Syah.g_00071
OG0000199	Syap.g_01197	Syah.g_00079
OG0000200	Syap.g_01181	Syah.g_00616
OG0000201	Syap.g_02265	Syah.g_00601
OG0000202	Syap.g_02264	Syah.g_00600
OG0000203	Syap.g_01601	Syah.g_00599
OG0000204	Syap.g_01602	Syah.g_00598
OG0000205	Syap.g_01616	Syah.g_00591
OG0000206	Syap.g_01628	Syah.g_00578
OG0000207	Syap.g_01426, Syap.g_00424	Syah.g_00575
OG0000208	Syap.g_00426, Syap.g_01425	Syah.g_00574
OG0000209	Syap.g_01906	Syah.g_00544
OG0000210	Syap.g_01905	Syah.g_00543
OG0000211	Syap.g_01160	Syah.g_00904
OG0000212	Syap.g_02664	Syah.g_00913
OG0000213	Syap.g_00107, Syap.g_01599	Syah.g_00657
OG0000214	Syap.g_02344, Syap.g_02345	Syah.g_00641
OG0000215	Syap.g_01347, Syap.g_01629	Syah.g_00101
OG0000216	Syap.g_01634	Syah.g_00105
OG0000217	Syap.g_01638	Syah.g_00109
OG0000218	Syap.g_01641, Syap.g_01640	Syah.g_00111
OG0000219	Syap.g_01642, Syap.g_01643	Syah.g_00112
OG0000220	Syap.g_01645	Syah.g_00113
OG0000221	Syap.g_01646	Syah.g_00120
OG0000222	Syap.g_01669	Syah.g_00131
OG0000223	Syap.g_02072, Syap.g_02073	Syah.g_00153
OG0000224	Syap.g_02064	Syah.g_00162
OG0000225	Syap.g_00553, Syap.g_00552	Syah.g_00874
OG0000226	Syap.g_02029, Syap.g_02144	Syah.g_00878
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Syah.g_00880
OG0000228	Syap.g_00116, Syap.g_02041	Syah.g_00887
OG0000229	Syap.g_02059	Syah.g_02236
OG0000230	Syap.g_02061	Syah.g_02234
OG0000231	Syap.g_02533	Syah.g_02218
OG0000232	Syap.g_02510, Syap.g_02511	Syah.g_01206
OG0000233	Syap.g_02133	Syah.g_01210
OG0000234	Syap.g_02755	Syah.g_01222
OG0000235	Syap.g_00732, Syap.g_02258	Syah.g_00996
OG0000236	Syap.g_02238	Syah.g_01011
OG0000237	Syap.g_00262, Syap.g_00263	Syah.g_01028
OG0000238	Syap.g_00257, Syap.g_00258	Syah.g_01032
OG0000239	Syap.g_02744	Syah.g_01048
OG0000240	Syap.g_02742	Syah.g_01049
OG0000241	Syap.g_00888	Syah.g_01944
OG0000242	Syap.g_01455	Syah.g_01062
OG0000243	Syap.g_01938	Syah.g_01079
OG0000244	Syap.g_01146, Syap.g_01145	Syah.g_01087
OG0000246	Syap.g_00308	Syah.g_01094
OG0000247	Syap.g_00288, Syap.g_00293	Syah.g_01106
OG0000248	Syap.g_00290	Syah.g_01109
OG0000249	Syap.g_01296, Syap.g_01295	Syah.g_01111
OG0000251	Syap.g_00442	Syah.g_01145
OG0000252	Syap.g_01857	Syah.g_01148
OG0000253	Syap.g_00443	Syah.g_01149
OG0000254	Syap.g_01527, Syap.g_01528	Syah.g_01976
OG0000256	Syap.g_01287	Syah.g_01952
OG0000257	Syap.g_00886	Syah.g_01945
OG0000258	Syap.g_00907	Syah.g_01926
OG0000260	Syap.g_01970	Syah.g_01497
OG0000261	Syap.g_01962, Syap.g_01961	Syah.g_01500
OG0000262	Syap.g_01954	Syah.g_01505
OG0000263	Syap.g_00432, Syap.g_00433	Syah.g_01410
OG0000266	Syap.g_00519	Syah.g_01714
OG0000267	Syap.g_02333, Syap.g_02332	Syah.g_01574
OG0000268	Syap.g_00646	Syah.g_01575
OG0000269	Syap.g_00188	Syah.g_01784
OG0000270	Syap.g_00192	Syah.g_01781
OG0000271	Syap.g_00200, Syap.g_00201	Syah.g_01773
OG0000272	Syap.g_00202	Syah.g_01772
OG0000274	Syap.g_02702	Syah.g_02076
OG0000275	Syap.g_01847	Syah.g_02081
OG0000276	Syap.g_01839, Syap.g_01838	Syah.g_02088
OG0000278	Syap.g_01834	Syah.g_02092
OG0000279	Syap.g_00829, Syap.g_00830	Syah.g_02100
OG0000280	Syap.g_00365	Syah.g_02112
OG0000281	Syap.g_01977	Syah.g_00722
OG0000282	Syap.g_01252	Syah.g_01531
OG0000283	Syap.g_01728	Syah.g_01585
OG0000284	Syap.g_01736	Syah.g_01591
OG0000285	Syap.g_01746, Syap.g_01744	Syah.g_01603
OG0000286	Syap.g_02014, Syap.g_02013	Syah.g_01621
OG0000288	Syap.g_02764, Syap.g_02763	Syah.g_01681
OG0000289	Syap.g_02784	Syah.g_01695
OG0000290	Syap.g_01552	Syah.g_02033
OG0000291	Syap.g_01554	Syah.g_02031
OG0000292	Syap.g_02314	Syah.g_00380
OG0000293	Syap.g_00240	Syah.g_02173
OG0000295	Syap.g_00206	Syah.g_02131
OG0000296	Syap.g_00204	Syah.g_02129
OG0000299	Syap.g_02620	Syah.g_01404
OG0000302	Syap.g_02444, Syap.g_02445	Syah.g_01395
OG0000303	Syap.g_02435	Syah.g_01387
OG0000304	Syap.g_02430	Syah.g_01382
OG0000305	Syap.g_01557	Syah.g_02028
OG0000306	Syap.g_01966	Syah.g_02116
OG0000307	Syap.g_02517	Syah.g_00978
OG0000308	Syap.g_02514, Syap.g_02515	Syah.g_00976
OG0000309	Syap.g_02198, Syap.g_02446	Syah.g_00971
OG0000310	Syap.g_02660, Syap.g_02661	Syah.g_01321
OG0000311	Syap.g_02657	Syah.g_01317
OG0000313	Syap.g_02473	Syah.g_01285
OG0000314	Syap.g_00007	Syah.g_01259
OG0000315	Syap.g_00017	Syah.g_01248
OG0000316	Syap.g_00030	Syah.g_02333
OG0000317	Syap.g_00618	Syah.g_02380
OG0000318	Syap.g_00622, Syap.g_02786	Syah.g_02385
OG0000319	Syap.g_01764, Syap.g_01771	Syah.g_02405
OG0000320	Syap.g_01761, Syap.g_01769	Syah.g_02407
OG0000321	Syap.g_01760, Syap.g_01768	Syah.g_02408
OG0000322	Syap.g_01759, Syap.g_01767	Syah.g_02409
OG0000323	Syap.g_01389	Syah.g_02425
OG0000324	Syap.g_01503	Syah.g_02278
OG0000325	Syap.g_02680	Syah.g_00689
OG0000326	Syap.g_00544	Syah.g_00696
OG0000327	Syap.g_01233, Syap.g_01913	Syah.g_00742
OG0000328	Syap.g_01234, Syap.g_01912	Syah.g_00743
OG0000329	Syap.g_00498	Syah.g_00760
OG0000330	Syap.g_00497	Syah.g_00761
OG0000331	Syap.g_00496	Syah.g_00762
OG0000333	Syap.g_00478	Syah.g_00779
OG0000334	Syap.g_00468	Syah.g_00789
OG0000335	Syap.g_00101, Syap.g_00463	Syah.g_00794
OG0000336	Syap.g_00417, Syap.g_00607	Syah.g_00798
OG0000337	Syap.g_01054	Syah.g_00178
OG0000338	Syap.g_01059	Syah.g_00181
OG0000339	Syap.g_01068	Syah.g_00188
OG0000340	Syap.g_01077	Syah.g_00206
OG0000341	Syap.g_01079	Syah.g_00208
OG0000342	Syap.g_01080, Syap.g_02477	Syah.g_00209
OG0000343	Syap.g_01086, Syap.g_02078	Syah.g_00231
OG0000344	Syap.g_01091	Syah.g_00235
OG0000345	Syap.g_01107, Syap.g_01470	Syah.g_00246
OG0000346	Syap.g_02423, Syap.g_01113	Syah.g_00251
OG0000347	Syap.g_01131, Syap.g_02459	Syah.g_00275
OG0000348	Syap.g_00632	Syah.g_00301
OG0000349	Syap.g_00110, Syap.g_01813	Syah.g_00320
OG0000351	Syap.g_02594	Syah.g_00399
OG0000352	Syap.g_02596, Syap.g_02597	Syah.g_00398
OG0000353	Syap.g_00054	Syah.g_00374
OG0000354	Syap.g_00075, Syap.g_02635	Syah.g_00561
OG0000355	Syap.g_00056	Syah.g_00372
OG0000356	Syap.g_00057	Syah.g_00371
OG0000357	Syap.g_00058	Syah.g_00370
OG0000358	Syap.g_00063	Syah.g_00366
OG0000359	Syap.g_00065	Syah.g_00364
OG0000360	Syap.g_00067	Syah.g_00363
OG0000361	Syap.g_00068	Syah.g_00362
OG0000362	Syap.g_00070	Syah.g_00360
OG0000363	Syap.g_00072	Syah.g_00358
OG0000364	Syap.g_00620	Syah.g_00357
OG0000365	Syap.g_00081	Syah.g_00351
OG0000366	Syap.g_00082	Syah.g_00350
OG0000367	Syap.g_00083	Syah.g_00349
OG0000368	Syap.g_00085	Syah.g_00347
OG0000369	Syap.g_00086	Syah.g_00346
OG0000370	Syap.g_00087	Syah.g_00345
OG0000372	Syap.g_01805	Syah.g_00333
OG0000373	Syap.g_01806	Syah.g_00332
OG0000374	Syap.g_01807	Syah.g_00331
OG0000375	Syap.g_01808	Syah.g_00329
OG0000376	Syap.g_01811	Syah.g_00327
OG0000377	Syap.g_00128	Syah.g_00517
OG0000378	Syap.g_01326	Syah.g_00526
OG0000380	Syap.g_01687	Syah.g_02481
OG0000381	Syap.g_01690	Syah.g_02484
OG0000382	Syap.g_02548	Syah.g_02500
OG0000383	Syap.g_02359	Syah.g_02502
OG0000384	Syap.g_02360	Syah.g_02503
OG0000385	Syap.g_02361	Syah.g_02504
OG0000386	Syap.g_02362	Syah.g_02505
OG0000387	Syap.g_01864	Syah.g_02530
OG0000391	Syap.g_02234	Syah.g_00007
OG0000392	Syap.g_02225	Syah.g_00012
OG0000393	Syap.g_02222	Syah.g_00014
OG0000394	Syap.g_02221	Syah.g_00015
OG0000395	Syap.g_02220	Syah.g_00016
OG0000396	Syap.g_02217	Syah.g_00019
OG0000397	Syap.g_02215	Syah.g_00021
OG0000398	Syap.g_02211	Syah.g_00027
OG0000399	Syap.g_02210	Syah.g_00028
OG0000400	Syap.g_02209	Syah.g_00029
OG0000401	Syap.g_02208	Syah.g_00030
OG0000402	Syap.g_02206	Syah.g_00033
OG0000403	Syap.g_02205	Syah.g_00034
OG0000404	Syap.g_02204, Syap.g_02618	Syah.g_00036
OG0000405	Syap.g_02191	Syah.g_00050
OG0000406	Syap.g_02186	Syah.g_00054
OG0000407	Syap.g_02185	Syah.g_00055
OG0000408	Syap.g_02181, Syap.g_02182	Syah.g_00057
OG0000409	Syap.g_02179	Syah.g_00059
OG0000410	Syap.g_02178	Syah.g_00060
OG0000411	Syap.g_02177	Syah.g_00061
OG0000412	Syap.g_02176	Syah.g_00062
OG0000413	Syap.g_02174	Syah.g_00064
OG0000415	Syap.g_02172	Syah.g_00066
OG0000416	Syap.g_02171	Syah.g_00067
OG0000417	Syap.g_02169	Syah.g_00068
OG0000418	Syap.g_01204	Syah.g_00073
OG0000419	Syap.g_01201	Syah.g_00075
OG0000420	Syap.g_01199	Syah.g_00077
OG0000421	Syap.g_01195	Syah.g_00082
OG0000422	Syap.g_01194	Syah.g_00083
OG0000423	Syap.g_01193	Syah.g_00084
OG0000424	Syap.g_01192	Syah.g_00085
OG0000425	Syap.g_01191	Syah.g_00086
OG0000426	Syap.g_01190	Syah.g_00087
OG0000427	Syap.g_01189	Syah.g_00088
OG0000428	Syap.g_01186	Syah.g_00620
OG0000429	Syap.g_01184	Syah.g_00618
OG0000430	Syap.g_01182	Syah.g_00617
OG0000431	Syap.g_01179	Syah.g_00613
OG0000432	Syap.g_02277	Syah.g_00607
OG0000433	Syap.g_02272	Syah.g_00605
OG0000434	Syap.g_02271	Syah.g_00604
OG0000435	Syap.g_02268	Syah.g_00602
OG0000436	Syap.g_01607	Syah.g_00597
OG0000437	Syap.g_01608	Syah.g_00596
OG0000438	Syap.g_01612	Syah.g_00595
OG0000439	Syap.g_01614	Syah.g_00593
OG0000440	Syap.g_01615	Syah.g_00592
OG0000441	Syap.g_01619	Syah.g_00585
OG0000442	Syap.g_01620	Syah.g_00580
OG0000443	Syap.g_01622	Syah.g_00579
OG0000444	Syap.g_01424	Syah.g_00573
OG0000445	Syap.g_01421	Syah.g_00572
OG0000446	Syap.g_01419	Syah.g_00570
OG0000447	Syap.g_01410	Syah.g_00567
OG0000448	Syap.g_01407	Syah.g_00566
OG0000449	Syap.g_01406	Syah.g_00565
OG0000450	Syap.g_01909	Syah.g_00547
OG0000451	Syap.g_01908	Syah.g_00546
OG0000452	Syap.g_01904	Syah.g_00542
OG0000453	Syap.g_01903	Syah.g_00541
OG0000454	Syap.g_01902	Syah.g_00540
OG0000455	Syap.g_01901	Syah.g_00539
OG0000456	Syap.g_01900	Syah.g_00538
OG0000457	Syap.g_01896	Syah.g_00536
OG0000458	Syap.g_01895	Syah.g_00535
OG0000459	Syap.g_01894	Syah.g_00534
OG0000460	Syap.g_01159	Syah.g_00906
OG0000461	Syap.g_01575	Syah.g_00678
OG0000462	Syap.g_01578	Syah.g_00675
OG0000463	Syap.g_01579	Syah.g_00674
OG0000464	Syap.g_01580	Syah.g_00673
OG0000465	Syap.g_01582	Syah.g_00672
OG0000466	Syap.g_01587	Syah.g_00668
OG0000467	Syap.g_01588	Syah.g_00666
OG0000468	Syap.g_01593	Syah.g_00661
OG0000469	Syap.g_02352	Syah.g_00647
OG0000470	Syap.g_02349	Syah.g_00645
OG0000471	Syap.g_02348	Syah.g_00644
OG0000472	Syap.g_02347	Syah.g_00642
OG0000473	Syap.g_02343	Syah.g_00640
OG0000474	Syap.g_02342	Syah.g_00639
OG0000475	Syap.g_02341	Syah.g_00638
OG0000476	Syap.g_02339	Syah.g_00636
OG0000477	Syap.g_01367	Syah.g_00630
OG0000478	Syap.g_01366	Syah.g_00629
OG0000479	Syap.g_01364	Syah.g_00628
OG0000480	Syap.g_01357	Syah.g_00089
OG0000482	Syap.g_01355	Syah.g_00092
OG0000483	Syap.g_01344	Syah.g_00096
OG0000484	Syap.g_01350	Syah.g_00097
OG0000485	Syap.g_01349	Syah.g_00098
OG0000487	Syap.g_01635	Syah.g_00106
OG0000488	Syap.g_01639	Syah.g_00110
OG0000489	Syap.g_02482	Syah.g_00121
OG0000490	Syap.g_01673	Syah.g_00129
OG0000491	Syap.g_01670	Syah.g_00130
OG0000492	Syap.g_01668	Syah.g_00132
OG0000493	Syap.g_01667	Syah.g_00133
OG0000494	Syap.g_01666	Syah.g_00134
OG0000495	Syap.g_01665	Syah.g_00135
OG0000496	Syap.g_01663	Syah.g_00136
OG0000497	Syap.g_01662	Syah.g_00137
OG0000498	Syap.g_01661	Syah.g_00138
OG0000499	Syap.g_01660	Syah.g_00139
OG0000500	Syap.g_01659	Syah.g_00140
OG0000501	Syap.g_01656	Syah.g_00143
OG0000502	Syap.g_02066	Syah.g_00155
OG0000503	Syap.g_00569	Syah.g_00858
OG0000504	Syap.g_00567	Syah.g_00860
OG0000505	Syap.g_00566	Syah.g_00861
OG0000506	Syap.g_00564	Syah.g_00863
OG0000507	Syap.g_00558	Syah.g_00869
OG0000508	Syap.g_00554	Syah.g_00873
OG0000509	Syap.g_00551	Syah.g_00875
OG0000510	Syap.g_00550	Syah.g_00876
OG0000511	Syap.g_00548	Syah.g_00877
OG0000512	Syap.g_02145	Syah.g_00879
OG0000513	Syap.g_02048	Syah.g_00892
OG0000514	Syap.g_02051	Syah.g_00899
OG0000515	Syap.g_02052	Syah.g_00900
OG0000516	Syap.g_02054	Syah.g_02231
OG0000517	Syap.g_02057	Syah.g_02237
OG0000519	Syap.g_00457	Syah.g_02220
OG0000520	Syap.g_00456	Syah.g_02219
OG0000521	Syap.g_01997	Syah.g_01202
OG0000522	Syap.g_01995	Syah.g_01204
OG0000523	Syap.g_02507	Syah.g_01205
OG0000524	Syap.g_02135	Syah.g_01207
OG0000525	Syap.g_02159	Syah.g_01212
OG0000526	Syap.g_02157	Syah.g_01215
OG0000527	Syap.g_02758	Syah.g_01219
OG0000528	Syap.g_02261	Syah.g_00991
OG0000529	Syap.g_02254	Syah.g_00998
OG0000530	Syap.g_02252	Syah.g_01001
OG0000531	Syap.g_02251	Syah.g_01002
OG0000532	Syap.g_02247	Syah.g_01005
OG0000533	Syap.g_02244	Syah.g_01006
OG0000534	Syap.g_02243	Syah.g_01007
OG0000535	Syap.g_02242	Syah.g_01008
OG0000536	Syap.g_02241	Syah.g_01009
OG0000537	Syap.g_02240	Syah.g_01010
OG0000538	Syap.g_00271	Syah.g_01021
OG0000539	Syap.g_00270	Syah.g_01022
OG0000540	Syap.g_00269	Syah.g_01023
OG0000541	Syap.g_00268	Syah.g_01024
OG0000542	Syap.g_00264	Syah.g_01027
OG0000543	Syap.g_00261	Syah.g_01029
OG0000545	Syap.g_00259	Syah.g_01031
OG0000546	Syap.g_00256	Syah.g_01033
OG0000547	Syap.g_00254	Syah.g_01035
OG0000548	Syap.g_00253	Syah.g_01036
OG0000549	Syap.g_00758	Syah.g_01042
OG0000550	Syap.g_02747	Syah.g_01046
OG0000551	Syap.g_02739	Syah.g_01051
OG0000552	Syap.g_02738	Syah.g_01052
OG0000553	Syap.g_02735	Syah.g_01054
OG0000554	Syap.g_01450	Syah.g_01065
OG0000555	Syap.g_01941	Syah.g_01078
OG0000556	Syap.g_01933	Syah.g_01084
OG0000557	Syap.g_01931	Syah.g_01086
OG0000558	Syap.g_01147	Syah.g_01088
OG0000560	Syap.g_00305	Syah.g_01096
OG0000561	Syap.g_00304	Syah.g_01097
OG0000562	Syap.g_00302	Syah.g_01098
OG0000563	Syap.g_00301	Syah.g_01099
OG0000564	Syap.g_00300	Syah.g_01100
OG0000565	Syap.g_00296	Syah.g_01104
OG0000566	Syap.g_00291	Syah.g_01108
OG0000567	Syap.g_01297	Syah.g_01112
OG0000568	Syap.g_01302	Syah.g_01116
OG0000569	Syap.g_01303	Syah.g_01117
OG0000570	Syap.g_01304	Syah.g_01118
OG0000571	Syap.g_01307	Syah.g_01122
OG0000573	Syap.g_00765	Syah.g_01146
OG0000574	Syap.g_00759	Syah.g_01147
OG0000575	Syap.g_00445	Syah.g_01151
OG0000576	Syap.g_00450	Syah.g_01153
OG0000577	Syap.g_00451	Syah.g_01154
OG0000578	Syap.g_00452	Syah.g_01155
OG0000579	Syap.g_00453	Syah.g_01156
OG0000580	Syap.g_00454	Syah.g_01157
OG0000581	Syap.g_01521	Syah.g_01163
OG0000582	Syap.g_01533	Syah.g_01979
OG0000583	Syap.g_01532	Syah.g_01978
OG0000584	Syap.g_01530	Syah.g_01977
OG0000585	Syap.g_01526	Syah.g_01975
OG0000586	Syap.g_01525	Syah.g_01974
OG0000587	Syap.g_01523	Syah.g_01972
OG0000588	Syap.g_00776	Syah.g_01966
OG0000589	Syap.g_00941	Syah.g_01962
OG0000590	Syap.g_00940	Syah.g_01961
OG0000591	Syap.g_01289	Syah.g_01954
OG0000592	Syap.g_01288	Syah.g_01953
OG0000593	Syap.g_00890	Syah.g_01939
OG0000594	Syap.g_00891	Syah.g_01938
OG0000595	Syap.g_00892	Syah.g_01937
OG0000596	Syap.g_00898	Syah.g_01932
OG0000597	Syap.g_00903	Syah.g_01929
OG0000598	Syap.g_00904	Syah.g_01928
OG0000599	Syap.g_00908	Syah.g_01925
OG0000600	Syap.g_00909	Syah.g_01924
OG0000601	Syap.g_00910	Syah.g_01923
OG0000602	Syap.g_00640	Syah.g_01917
OG0000603	Syap.g_00641	Syah.g_01916
OG0000604	Syap.g_02769	Syah.g_01913
OG0000605	Syap.g_02501, Syap.g_02771	Syah.g_01825
OG0000606	Syap.g_02506	Syah.g_01485
OG0000607	Syap.g_00093	Syah.g_01489
