Orthogroup	Syap	Prar
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prar.g_01437
OG0000142	Syap.g_00895, Syap.g_00894	Prar.g_01465
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prar.g_01469
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prar.g_01482
OG0000145	Syap.g_01860, Syap.g_01859	Prar.g_01651
OG0000146	Syap.g_02024	Prar.g_01653
OG0000147	Syap.g_02025	Prar.g_01654
OG0000148	Syap.g_02720	Prar.g_01700
OG0000149	Syap.g_00824	Prar.g_01730
OG0000150	Syap.g_01540	Prar.g_01738
OG0000151	Syap.g_00142	Prar.g_01786
OG0000152	Syap.g_02012	Prar.g_01833
OG0000153	Syap.g_02682	Prar.g_01852
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prar.g_01878
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prar.g_01243
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prar.g_00966
OG0000157	Syap.g_00249, Syap.g_00286	Prar.g_00965
OG0000158	Syap.g_01075	Prar.g_00375
OG0000159	Syap.g_00700	Prar.g_00380
OG0000160	Syap.g_02470, Syap.g_02469	Prar.g_00338
OG0000161	Syap.g_02476	Prar.g_00840
OG0000162	Syap.g_02531	Prar.g_00834
OG0000164	Syap.g_01391, Syap.g_01392	Prar.g_01964
OG0000165	Syap.g_01381, Syap.g_01382	Prar.g_01971
OG0000166	Syap.g_00512, Syap.g_01238	Prar.g_01063
OG0000167	Syap.g_02080	Prar.g_00627
OG0000168	Syap.g_01076	Prar.g_00637
OG0000169	Syap.g_01049, Syap.g_01093	Prar.g_00647
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prar.g_00649
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prar.g_00667
OG0000172	Syap.g_01143, Syap.g_00635	Prar.g_00675
OG0000173	Syap.g_01213, Syap.g_00982, Syap.g_00983	Prar.g_00690
OG0000174	Syap.g_02092	Prar.g_00068
OG0000175	Syap.g_02654	Prar.g_00058
OG0000176	Syap.g_00059	Prar.g_00034
OG0000177	Syap.g_00061, Syap.g_00060	Prar.g_00033
OG0000178	Syap.g_00062	Prar.g_00032
OG0000179	Syap.g_00077, Syap.g_02638	Prar.g_00022
OG0000180	Syap.g_00078, Syap.g_02640	Prar.g_00021
OG0000181	Syap.g_00079, Syap.g_02641	Prar.g_00020
OG0000182	Syap.g_00080, Syap.g_02642	Prar.g_00019
OG0000183	Syap.g_00084	Prar.g_00015
OG0000184	Syap.g_01337	Prar.g_00573
OG0000185	Syap.g_01322	Prar.g_00570
OG0000186	Syap.g_01684	Prar.g_00554
OG0000187	Syap.g_01686	Prar.g_00553
OG0000188	Syap.g_02547	Prar.g_00246
OG0000191	Syap.g_02233	Prar.g_00211
OG0000192	Syap.g_02224	Prar.g_00207
OG0000193	Syap.g_02187, Syap.g_02188	Prar.g_00181
OG0000194	Syap.g_02183	Prar.g_00178
OG0000195	Syap.g_02180	Prar.g_00176
OG0000196	Syap.g_01208, Syap.g_02167	Prar.g_00166
OG0000197	Syap.g_01207, Syap.g_02166	Prar.g_00165
OG0000198	Syap.g_01206	Prar.g_00164
OG0000199	Syap.g_01197	Prar.g_00157
OG0000200	Syap.g_01181	Prar.g_00143
OG0000201	Syap.g_02265	Prar.g_00135
OG0000202	Syap.g_02264	Prar.g_00134
OG0000203	Syap.g_01601	Prar.g_00133
OG0000204	Syap.g_01602	Prar.g_00132
OG0000205	Syap.g_01616	Prar.g_00125
OG0000206	Syap.g_01628	Prar.g_00120
OG0000207	Syap.g_01426, Syap.g_00424	Prar.g_00118
OG0000208	Syap.g_00426, Syap.g_01425	Prar.g_00117
OG0000209	Syap.g_01906	Prar.g_00108
OG0000210	Syap.g_01905	Prar.g_00107
OG0000211	Syap.g_01160	Prar.g_00094
OG0000212	Syap.g_02664	Prar.g_00087
OG0000213	Syap.g_00107, Syap.g_01599	Prar.g_00330
OG0000214	Syap.g_02344, Syap.g_02345	Prar.g_00320
OG0000215	Syap.g_01347, Syap.g_01629	Prar.g_00295
OG0000216	Syap.g_01634	Prar.g_00293
OG0000217	Syap.g_01638	Prar.g_01154, Prar.g_00290
OG0000218	Syap.g_01641, Syap.g_01640	Prar.g_00288
OG0000219	Syap.g_01642, Syap.g_01643	Prar.g_00287
OG0000220	Syap.g_01645	Prar.g_00286
OG0000221	Syap.g_01646	Prar.g_00285
OG0000222	Syap.g_01669	Prar.g_00277
OG0000223	Syap.g_02072, Syap.g_02073	Prar.g_00264
OG0000224	Syap.g_02064	Prar.g_00262
OG0000225	Syap.g_00553, Syap.g_00552	Prar.g_00406
OG0000226	Syap.g_02029, Syap.g_02144	Prar.g_00410
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prar.g_00412
OG0000228	Syap.g_00116, Syap.g_02041	Prar.g_00415
OG0000229	Syap.g_02059	Prar.g_00484
OG0000230	Syap.g_02061	Prar.g_00486
OG0000231	Syap.g_02533	Prar.g_00497
OG0000232	Syap.g_02510, Syap.g_02511	Prar.g_00506
OG0000233	Syap.g_02133	Prar.g_00512
OG0000234	Syap.g_02755	Prar.g_00526
OG0000235	Syap.g_00732, Syap.g_02258	Prar.g_00529
OG0000236	Syap.g_02238	Prar.g_00543
OG0000237	Syap.g_00262, Syap.g_00263	Prar.g_01337
OG0000238	Syap.g_00257, Syap.g_00258	Prar.g_01343
OG0000239	Syap.g_02744	Prar.g_01355
OG0000240	Syap.g_02742	Prar.g_01356
OG0000241	Syap.g_00888	Prar.g_01360
OG0000242	Syap.g_01455	Prar.g_01362
OG0000243	Syap.g_01938	Prar.g_01373
OG0000244	Syap.g_01146, Syap.g_01145	Prar.g_01376
OG0000245	Syap.g_01148	Prar.g_01378
OG0000246	Syap.g_00308	Prar.g_01382
OG0000247	Syap.g_00288, Syap.g_00293	Prar.g_01392
OG0000248	Syap.g_00290	Prar.g_01394
OG0000249	Syap.g_01296, Syap.g_01295	Prar.g_01396
OG0000250	Syap.g_01306	Prar.g_01401
OG0000251	Syap.g_00442	Prar.g_01420
OG0000252	Syap.g_01857	Prar.g_01424
OG0000253	Syap.g_00443	Prar.g_01425
OG0000254	Syap.g_01527, Syap.g_01528	Prar.g_01441
OG0000256	Syap.g_01287	Prar.g_01457
OG0000257	Syap.g_00886	Prar.g_01460
OG0000258	Syap.g_00907	Prar.g_01473
OG0000260	Syap.g_01970	Prar.g_01493
OG0000261	Syap.g_01962, Syap.g_01961	Prar.g_01495
OG0000262	Syap.g_01954	Prar.g_01499
OG0000263	Syap.g_00432, Syap.g_00433	Prar.g_01511
OG0000266	Syap.g_00519	Prar.g_01609
OG0000267	Syap.g_02333, Syap.g_02332	Prar.g_01620
OG0000268	Syap.g_00646	Prar.g_01621
OG0000269	Syap.g_00188	Prar.g_01679
OG0000270	Syap.g_00192	Prar.g_01682
OG0000271	Syap.g_00200, Syap.g_00201	Prar.g_01690
OG0000272	Syap.g_00202	Prar.g_01691
OG0000273	Syap.g_02703	Prar.g_01714
OG0000274	Syap.g_02702	Prar.g_01715
OG0000275	Syap.g_01847	Prar.g_01717
OG0000276	Syap.g_01839, Syap.g_01838	Prar.g_01722
OG0000277	Syap.g_01837	Prar.g_01723
OG0000278	Syap.g_01834	Prar.g_01726
OG0000279	Syap.g_00829, Syap.g_00830	Prar.g_01733
OG0000280	Syap.g_00365	Prar.g_01734
OG0000281	Syap.g_01977	Prar.g_01740
OG0000282	Syap.g_01252	Prar.g_01778
OG0000283	Syap.g_01728	Prar.g_01810
OG0000284	Syap.g_01736	Prar.g_01815
OG0000285	Syap.g_01746, Syap.g_01744	Prar.g_01820
OG0000286	Syap.g_02014, Syap.g_02013	Prar.g_01832
OG0000288	Syap.g_02764, Syap.g_02763	Prar.g_01877
OG0000289	Syap.g_02784	Prar.g_01888
OG0000290	Syap.g_01552	Prar.g_01901
OG0000291	Syap.g_01554	Prar.g_01903
OG0000292	Syap.g_02314	Prar.g_01953
OG0000293	Syap.g_00240	Prar.g_01272
OG0000294	Syap.g_00239	Prar.g_01271
OG0000295	Syap.g_00206	Prar.g_01251
OG0000296	Syap.g_00204	Prar.g_01249
OG0000297	Syap.g_01887	Prar.g_01241
OG0000298	Syap.g_01888	Prar.g_01240
OG0000299	Syap.g_02620	Prar.g_01223
OG0000302	Syap.g_02444, Syap.g_02445	Prar.g_01217
OG0000303	Syap.g_02435	Prar.g_01210
OG0000304	Syap.g_02430	Prar.g_01206
OG0000305	Syap.g_01557	Prar.g_00919
OG0000306	Syap.g_01966	Prar.g_00916
OG0000307	Syap.g_02517	Prar.g_00902
OG0000308	Syap.g_02514, Syap.g_02515	Prar.g_00901
OG0000309	Syap.g_02198, Syap.g_02446	Prar.g_00897
OG0000310	Syap.g_02660, Syap.g_02661	Prar.g_00354
OG0000311	Syap.g_02657	Prar.g_00352
OG0000312	Syap.g_02114	Prar.g_00349
OG0000313	Syap.g_02473	Prar.g_00335
OG0000314	Syap.g_00007	Prar.g_00820
OG0000315	Syap.g_00017	Prar.g_00810
OG0000316	Syap.g_00030	Prar.g_00790
OG0000317	Syap.g_00618	Prar.g_01145
OG0000318	Syap.g_00622, Syap.g_02786	Prar.g_01142
OG0000319	Syap.g_01764, Syap.g_01771	Prar.g_01129
OG0000320	Syap.g_01761, Syap.g_01769	Prar.g_01127
OG0000321	Syap.g_01760, Syap.g_01768	Prar.g_01126
OG0000322	Syap.g_01759, Syap.g_01767	Prar.g_01125
OG0000323	Syap.g_01389	Prar.g_01967
OG0000324	Syap.g_01503	Prar.g_00609
OG0000325	Syap.g_02680	Prar.g_01113
OG0000326	Syap.g_00544	Prar.g_01107
OG0000327	Syap.g_01233, Syap.g_01913	Prar.g_01068
OG0000328	Syap.g_01234, Syap.g_01912	Prar.g_01067
OG0000329	Syap.g_00498	Prar.g_01050
OG0000330	Syap.g_00497	Prar.g_01049
OG0000331	Syap.g_00496	Prar.g_01048
OG0000332	Syap.g_00481	Prar.g_01034
OG0000333	Syap.g_00478	Prar.g_01032
OG0000334	Syap.g_00468	Prar.g_01024
OG0000335	Syap.g_00101, Syap.g_00463	Prar.g_01020
OG0000336	Syap.g_00417, Syap.g_00607	Prar.g_01016
OG0000337	Syap.g_01054	Prar.g_00625
OG0000338	Syap.g_01059	Prar.g_00626
OG0000339	Syap.g_01068	Prar.g_00630
OG0000340	Syap.g_01077	Prar.g_00638
OG0000341	Syap.g_01079	Prar.g_00640
OG0000342	Syap.g_01080, Syap.g_02477	Prar.g_00641
OG0000343	Syap.g_01086, Syap.g_02078	Prar.g_00642
OG0000344	Syap.g_01091	Prar.g_00645
OG0000345	Syap.g_01107, Syap.g_01470	Prar.g_00650
OG0000346	Syap.g_02423, Syap.g_01113	Prar.g_00654
OG0000347	Syap.g_01131, Syap.g_02459	Prar.g_00669
OG0000348	Syap.g_00632	Prar.g_00678
OG0000349	Syap.g_00110, Syap.g_01813	Prar.g_00695
OG0000351	Syap.g_02594	Prar.g_00055
OG0000352	Syap.g_02596, Syap.g_02597	Prar.g_00054
OG0000353	Syap.g_00054	Prar.g_00039
OG0000355	Syap.g_00056	Prar.g_00037
OG0000356	Syap.g_00057	Prar.g_00036
OG0000357	Syap.g_00058	Prar.g_00035
OG0000358	Syap.g_00063	Prar.g_00031
OG0000359	Syap.g_00065	Prar.g_00030
OG0000360	Syap.g_00067	Prar.g_00029
OG0000361	Syap.g_00068	Prar.g_00028
OG0000362	Syap.g_00070	Prar.g_00026
OG0000363	Syap.g_00072	Prar.g_00024
OG0000364	Syap.g_00620	Prar.g_00023
OG0000365	Syap.g_00081	Prar.g_00018
OG0000366	Syap.g_00082	Prar.g_00017
OG0000367	Syap.g_00083	Prar.g_00016
OG0000368	Syap.g_00085	Prar.g_00014
OG0000369	Syap.g_00086	Prar.g_00013
OG0000370	Syap.g_00087	Prar.g_00012
OG0000372	Syap.g_01805	Prar.g_00002
OG0000373	Syap.g_01806	Prar.g_00001
OG0000374	Syap.g_01807	Prar.g_00594
OG0000375	Syap.g_01808	Prar.g_00580
OG0000376	Syap.g_01811	Prar.g_00578
OG0000377	Syap.g_00128	Prar.g_00574
OG0000378	Syap.g_01326	Prar.g_00572
OG0000380	Syap.g_01687	Prar.g_00552
OG0000381	Syap.g_01690	Prar.g_00548
OG0000382	Syap.g_02548	Prar.g_00247
OG0000383	Syap.g_02359	Prar.g_00245
OG0000384	Syap.g_02360	Prar.g_00244
OG0000385	Syap.g_02361	Prar.g_00243
OG0000386	Syap.g_02362	Prar.g_00242
OG0000387	Syap.g_01864	Prar.g_00229
OG0000391	Syap.g_02234	Prar.g_00212
OG0000392	Syap.g_02225	Prar.g_00208
OG0000393	Syap.g_02222	Prar.g_00206
OG0000394	Syap.g_02221	Prar.g_00205
OG0000395	Syap.g_02220	Prar.g_00204
OG0000396	Syap.g_02217	Prar.g_00201
OG0000397	Syap.g_02215	Prar.g_00199
OG0000398	Syap.g_02211	Prar.g_00197
OG0000399	Syap.g_02210	Prar.g_00196
OG0000400	Syap.g_02209	Prar.g_00195
OG0000401	Syap.g_02208	Prar.g_00194
OG0000402	Syap.g_02206	Prar.g_00192
OG0000403	Syap.g_02205	Prar.g_00191
OG0000404	Syap.g_02204, Syap.g_02618	Prar.g_00190
OG0000405	Syap.g_02191	Prar.g_00186
OG0000406	Syap.g_02186	Prar.g_00180
OG0000407	Syap.g_02185	Prar.g_00179
OG0000408	Syap.g_02181, Syap.g_02182	Prar.g_00177
OG0000409	Syap.g_02179	Prar.g_00175
OG0000410	Syap.g_02178	Prar.g_00174
OG0000411	Syap.g_02177	Prar.g_00173
OG0000412	Syap.g_02176	Prar.g_00172
OG0000413	Syap.g_02174	Prar.g_00171
OG0000414	Syap.g_02173	Prar.g_01569, Prar.g_00170
OG0000415	Syap.g_02172	Prar.g_00169
OG0000416	Syap.g_02171	Prar.g_00168
OG0000417	Syap.g_02169	Prar.g_00167
OG0000418	Syap.g_01204	Prar.g_00162
OG0000419	Syap.g_01201	Prar.g_00160
OG0000420	Syap.g_01199	Prar.g_00159
OG0000421	Syap.g_01195	Prar.g_00154
OG0000422	Syap.g_01194	Prar.g_00153
OG0000423	Syap.g_01193	Prar.g_00152
OG0000424	Syap.g_01192	Prar.g_00151
OG0000425	Syap.g_01191	Prar.g_00150
OG0000426	Syap.g_01190	Prar.g_00149
OG0000427	Syap.g_01189	Prar.g_00148
OG0000428	Syap.g_01186	Prar.g_00146
OG0000429	Syap.g_01184	Prar.g_00145
OG0000430	Syap.g_01182	Prar.g_00144
OG0000431	Syap.g_01179	Prar.g_00142
OG0000432	Syap.g_02277	Prar.g_00139
OG0000433	Syap.g_02272	Prar.g_00138
OG0000434	Syap.g_02271	Prar.g_00137
OG0000435	Syap.g_02268	Prar.g_00136
OG0000436	Syap.g_01607	Prar.g_00131
OG0000437	Syap.g_01608	Prar.g_00130
OG0000438	Syap.g_01612	Prar.g_00129
OG0000439	Syap.g_01614	Prar.g_00127
OG0000440	Syap.g_01615	Prar.g_00126
OG0000441	Syap.g_01619	Prar.g_00123
OG0000442	Syap.g_01620	Prar.g_00122
OG0000443	Syap.g_01622	Prar.g_00121
OG0000444	Syap.g_01424	Prar.g_00116
OG0000445	Syap.g_01421	Prar.g_00115
OG0000446	Syap.g_01419	Prar.g_00114
OG0000447	Syap.g_01410	Prar.g_00113
OG0000448	Syap.g_01407	Prar.g_00112
OG0000449	Syap.g_01406	Prar.g_00111
OG0000450	Syap.g_01909	Prar.g_00110
OG0000451	Syap.g_01908	Prar.g_00109
OG0000452	Syap.g_01904	Prar.g_00106
OG0000453	Syap.g_01903	Prar.g_00105
OG0000454	Syap.g_01902	Prar.g_00104
OG0000455	Syap.g_01901	Prar.g_00103
OG0000456	Syap.g_01900	Prar.g_00102
OG0000457	Syap.g_01896	Prar.g_00101
OG0000458	Syap.g_01895	Prar.g_00100
OG0000459	Syap.g_01894	Prar.g_00099
OG0000460	Syap.g_01159	Prar.g_00092
OG0000461	Syap.g_01575	Prar.g_00085
OG0000462	Syap.g_01578	Prar.g_00083
OG0000463	Syap.g_01579	Prar.g_00082
OG0000464	Syap.g_01580	Prar.g_00081
OG0000465	Syap.g_01582	Prar.g_00080
OG0000466	Syap.g_01587	Prar.g_00077
OG0000467	Syap.g_01588	Prar.g_00076
OG0000468	Syap.g_01593	Prar.g_00334
OG0000469	Syap.g_02352	Prar.g_00325
OG0000470	Syap.g_02349	Prar.g_00323
OG0000471	Syap.g_02348	Prar.g_00322
OG0000472	Syap.g_02347	Prar.g_00321
OG0000473	Syap.g_02343	Prar.g_00319
OG0000474	Syap.g_02342	Prar.g_00318
OG0000475	Syap.g_02341	Prar.g_00317
OG0000476	Syap.g_02339	Prar.g_00316
OG0000477	Syap.g_01367	Prar.g_00312
OG0000478	Syap.g_01366	Prar.g_00311
OG0000479	Syap.g_01364	Prar.g_00310
OG0000480	Syap.g_01357	Prar.g_00305
OG0000482	Syap.g_01355	Prar.g_00302
OG0000483	Syap.g_01344	Prar.g_00299
OG0000484	Syap.g_01350	Prar.g_00298
OG0000485	Syap.g_01349	Prar.g_00297
OG0000487	Syap.g_01635	Prar.g_00292
OG0000488	Syap.g_01639	Prar.g_00289
OG0000489	Syap.g_02482	Prar.g_00284
OG0000490	Syap.g_01673	Prar.g_00279
OG0000491	Syap.g_01670	Prar.g_00278
OG0000492	Syap.g_01668	Prar.g_00276
OG0000493	Syap.g_01667	Prar.g_00275
OG0000494	Syap.g_01666	Prar.g_00274
OG0000495	Syap.g_01665	Prar.g_00273
OG0000496	Syap.g_01663	Prar.g_00272
OG0000497	Syap.g_01662	Prar.g_00271
OG0000498	Syap.g_01661	Prar.g_00270
OG0000499	Syap.g_01660	Prar.g_00269
OG0000500	Syap.g_01659	Prar.g_00268
OG0000501	Syap.g_01656	Prar.g_00266
OG0000502	Syap.g_02066	Prar.g_00263
OG0000503	Syap.g_00569	Prar.g_00394
OG0000504	Syap.g_00567	Prar.g_00395
OG0000505	Syap.g_00566	Prar.g_00396
OG0000506	Syap.g_00564	Prar.g_00398
OG0000507	Syap.g_00558	Prar.g_00401
OG0000508	Syap.g_00554	Prar.g_00405
OG0000509	Syap.g_00551	Prar.g_00407
OG0000510	Syap.g_00550	Prar.g_00408
OG0000511	Syap.g_00548	Prar.g_00409
OG0000512	Syap.g_02145	Prar.g_00411
OG0000513	Syap.g_02048	Prar.g_00418
OG0000514	Syap.g_02051	Prar.g_00479
OG0000515	Syap.g_02052	Prar.g_00480
OG0000516	Syap.g_02054	Prar.g_00481
OG0000517	Syap.g_02057	Prar.g_00483
OG0000519	Syap.g_00457	Prar.g_00495
OG0000520	Syap.g_00456	Prar.g_00496
OG0000521	Syap.g_01997	Prar.g_00501
OG0000522	Syap.g_01995	Prar.g_00503
OG0000523	Syap.g_02507	Prar.g_00504
OG0000524	Syap.g_02135	Prar.g_00510
OG0000525	Syap.g_02159	Prar.g_00513
OG0000526	Syap.g_02157	Prar.g_00514
OG0000527	Syap.g_02758	Prar.g_00523
OG0000528	Syap.g_02261	Prar.g_00528
OG0000529	Syap.g_02254	Prar.g_00531
OG0000530	Syap.g_02252	Prar.g_00534
OG0000531	Syap.g_02251	Prar.g_00535
OG0000532	Syap.g_02247	Prar.g_00537
OG0000533	Syap.g_02244	Prar.g_00538
OG0000534	Syap.g_02243	Prar.g_00539
OG0000535	Syap.g_02242	Prar.g_00540
OG0000536	Syap.g_02241	Prar.g_00541
OG0000537	Syap.g_02240	Prar.g_00542
OG0000538	Syap.g_00271	Prar.g_01331
OG0000539	Syap.g_00270	Prar.g_01332
OG0000540	Syap.g_00269	Prar.g_01333
OG0000541	Syap.g_00268	Prar.g_01334
OG0000542	Syap.g_00264	Prar.g_01336
OG0000543	Syap.g_00261	Prar.g_01338
OG0000544	Syap.g_00260	Prar.g_01339
OG0000545	Syap.g_00259	Prar.g_01341
OG0000546	Syap.g_00256	Prar.g_01344
OG0000547	Syap.g_00254	Prar.g_01345
OG0000548	Syap.g_00253	Prar.g_01346
OG0000549	Syap.g_00758	Prar.g_01348
OG0000550	Syap.g_02747	Prar.g_01353
OG0000551	Syap.g_02739	Prar.g_01357
OG0000552	Syap.g_02738	Prar.g_01358
OG0000553	Syap.g_02735	Prar.g_01359
OG0000554	Syap.g_01450	Prar.g_01364
OG0000555	Syap.g_01941	Prar.g_01372
OG0000556	Syap.g_01933	Prar.g_01374
OG0000557	Syap.g_01931	Prar.g_01375
OG0000558	Syap.g_01147	Prar.g_01377
OG0000560	Syap.g_00305	Prar.g_01384
OG0000561	Syap.g_00304	Prar.g_01385
OG0000562	Syap.g_00302	Prar.g_01386
OG0000563	Syap.g_00301	Prar.g_01387
OG0000564	Syap.g_00300	Prar.g_01388
OG0000565	Syap.g_00296	Prar.g_01391
OG0000566	Syap.g_00291	Prar.g_01393
OG0000567	Syap.g_01297	Prar.g_01397
OG0000568	Syap.g_01302	Prar.g_01398
OG0000569	Syap.g_01303	Prar.g_01399
OG0000570	Syap.g_01304	Prar.g_01400
OG0000571	Syap.g_01307	Prar.g_01402
OG0000573	Syap.g_00765	Prar.g_01422
OG0000574	Syap.g_00759	Prar.g_01423
OG0000575	Syap.g_00445	Prar.g_01427
OG0000576	Syap.g_00450	Prar.g_01429
OG0000577	Syap.g_00451	Prar.g_01430
OG0000578	Syap.g_00452	Prar.g_01431
OG0000579	Syap.g_00453	Prar.g_01432
OG0000580	Syap.g_00454	Prar.g_01433
OG0000581	Syap.g_01521	Prar.g_01435
OG0000582	Syap.g_01533	Prar.g_01438
OG0000583	Syap.g_01532	Prar.g_01439
OG0000584	Syap.g_01530	Prar.g_01440
OG0000585	Syap.g_01526	Prar.g_01442
OG0000586	Syap.g_01525	Prar.g_01443
OG0000587	Syap.g_01523	Prar.g_01444
