Orthogroup	Syap	Syab
OG0000109	Syap.g_00279, Syap.g_02237	Syab.g_02112
OG0000110	Syap.g_01313	Syab.g_01984
OG0000111	Syap.g_01566, Syap.g_01568	Syab.g_01201
OG0000112	Syap.g_02023	Syab.g_01392
OG0000113	Syap.g_02714	Syab.g_01689
OG0000115	Syap.g_02004	Syab.g_00748
OG0000116	Syap.g_00241	Syab.g_00945
OG0000117	Syap.g_01889	Syab.g_01018
OG0000118	Syap.g_02286	Syab.g_00897
OG0000120	Syap.g_02075	Syab.g_00229
OG0000121	Syap.g_02471	Syab.g_00772
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syab.g_00454
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syab.g_00088
OG0000125	Syap.g_01046, Syap.g_01047	Syab.g_02763
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Syab.g_02908
OG0000128	Syap.g_00069	Syab.g_00012
OG0000129	Syap.g_00130, Syap.g_00129	Syab.g_02749
OG0000130	Syap.g_01688, Syap.g_01689	Syab.g_02434
OG0000131	Syap.g_02189	Syab.g_02564
OG0000132	Syap.g_01205	Syab.g_02584
OG0000133	Syap.g_02017	Syab.g_01387
OG0000134	Syap.g_02047	Syab.g_00554
OG0000135	Syap.g_02090	Syab.g_02815
OG0000136	Syap.g_00089	Syab.g_00588
OG0000137	Syap.g_02756	Syab.g_00697
OG0000138	Syap.g_00278	Syab.g_02113
OG0000139	Syap.g_00410	Syab.g_02035
OG0000140	Syap.g_01976	Syab.g_02033
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syab.g_01931
OG0000142	Syap.g_00895, Syap.g_00894	Syab.g_01873
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syab.g_01870
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syab.g_01757
OG0000145	Syap.g_01860, Syap.g_01859	Syab.g_02120
OG0000146	Syap.g_02024	Syab.g_01393
OG0000147	Syap.g_02025	Syab.g_01394
OG0000148	Syap.g_02720	Syab.g_01682
OG0000149	Syap.g_00824	Syab.g_01720
OG0000150	Syap.g_01540	Syab.g_01930
OG0000151	Syap.g_00142	Syab.g_01612
OG0000152	Syap.g_02012	Syab.g_01383
OG0000153	Syap.g_02682	Syab.g_01343
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Syab.g_01317
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Syab.g_01009
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Syab.g_00933
OG0000157	Syap.g_00249, Syap.g_00286	Syab.g_00932
OG0000158	Syap.g_01075	Syab.g_00161
OG0000159	Syap.g_00852	Syab.g_00148
OG0000160	Syap.g_02470, Syap.g_02469	Syab.g_00774
OG0000161	Syap.g_02476	Syab.g_00766
OG0000162	Syap.g_02531	Syab.g_00755
OG0000164	Syap.g_01391, Syap.g_01392	Syab.g_02307
OG0000165	Syap.g_01381, Syap.g_01382	Syab.g_02316
OG0000166	Syap.g_00512, Syap.g_01238	Syab.g_00407
OG0000167	Syap.g_02080	Syab.g_00205
OG0000168	Syap.g_01076	Syab.g_00136
OG0000169	Syap.g_01049, Syap.g_01093	Syab.g_00125
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Syab.g_00118
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Syab.g_00089
OG0000172	Syap.g_01143, Syap.g_00635	Syab.g_00080
OG0000173	Syap.g_00982, Syap.g_00983	Syab.g_00061
OG0000174	Syap.g_02092	Syab.g_02819
OG0000175	Syap.g_02654	Syab.g_02876
OG0000176	Syap.g_00059	Syab.g_00004
OG0000177	Syap.g_00061, Syap.g_00060	Syab.g_00005
OG0000178	Syap.g_00062	Syab.g_00006
OG0000179	Syap.g_00077, Syap.g_02638	Syab.g_00022
OG0000180	Syap.g_00078, Syap.g_02640	Syab.g_00023
OG0000181	Syap.g_00079, Syap.g_02641	Syab.g_00024
OG0000182	Syap.g_00080, Syap.g_02642	Syab.g_00025
OG0000183	Syap.g_00084	Syab.g_00029
OG0000184	Syap.g_01337	Syab.g_02738
OG0000185	Syap.g_01322	Syab.g_02715
OG0000186	Syap.g_01684	Syab.g_02430
OG0000187	Syap.g_01686	Syab.g_02431
OG0000188	Syap.g_02547	Syab.g_02454
OG0000191	Syap.g_02233	Syab.g_02522
OG0000192	Syap.g_02224	Syab.g_02528
OG0000193	Syap.g_02187, Syap.g_02188	Syab.g_02565
OG0000194	Syap.g_02183	Syab.g_02568
OG0000196	Syap.g_01208, Syap.g_02167	Syab.g_02581
OG0000197	Syap.g_01207, Syap.g_02166	Syab.g_02582
OG0000198	Syap.g_01206	Syab.g_02583
OG0000199	Syap.g_01197	Syab.g_02591
OG0000200	Syap.g_01181	Syab.g_02611
OG0000202	Syap.g_02264	Syab.g_02629
OG0000203	Syap.g_01601	Syab.g_02630
OG0000204	Syap.g_01602	Syab.g_02631
OG0000205	Syap.g_01616	Syab.g_02638
OG0000206	Syap.g_01628	Syab.g_02674
OG0000207	Syap.g_01426, Syap.g_00424	Syab.g_02677
OG0000208	Syap.g_00426, Syap.g_01425	Syab.g_02678
OG0000209	Syap.g_01906	Syab.g_02698
OG0000210	Syap.g_01905	Syab.g_02699
OG0000211	Syap.g_01160	Syab.g_02374
OG0000212	Syap.g_02664	Syab.g_02365
OG0000213	Syap.g_00107, Syap.g_01599	Syab.g_00332
OG0000214	Syap.g_02344, Syap.g_02345	Syab.g_00312
OG0000215	Syap.g_01347, Syap.g_01629	Syab.g_00281
OG0000216	Syap.g_01634	Syab.g_00277
OG0000217	Syap.g_01638	Syab.g_00273
OG0000218	Syap.g_01641, Syap.g_01640	Syab.g_00271
OG0000219	Syap.g_01642, Syap.g_01643	Syab.g_00270
OG0000220	Syap.g_01645	Syab.g_00269
OG0000221	Syap.g_01646	Syab.g_00257
OG0000222	Syap.g_01669	Syab.g_00244
OG0000223	Syap.g_02072, Syap.g_02073	Syab.g_00226
OG0000224	Syap.g_02064	Syab.g_00223
OG0000225	Syap.g_00553, Syap.g_00552	Syab.g_00538
OG0000226	Syap.g_02029, Syap.g_02144	Syab.g_00542
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Syab.g_00544
OG0000228	Syap.g_00116, Syap.g_02041	Syab.g_00550
OG0000229	Syap.g_02059	Syab.g_00583
OG0000230	Syap.g_02061	Syab.g_00585
OG0000231	Syap.g_02533	Syab.g_00613
OG0000232	Syap.g_02510, Syap.g_02511	Syab.g_00631
OG0000233	Syap.g_02133	Syab.g_00645
OG0000234	Syap.g_02755	Syab.g_00699
OG0000235	Syap.g_00732, Syap.g_02258	Syab.g_02095
OG0000236	Syap.g_02238	Syab.g_02111
OG0000237	Syap.g_00262, Syap.g_00263	Syab.g_02129
OG0000238	Syap.g_00257, Syap.g_00258	Syab.g_02134
OG0000239	Syap.g_02744	Syab.g_02151
OG0000240	Syap.g_02742	Syab.g_02152
OG0000241	Syap.g_00888	Syab.g_01884
OG0000242	Syap.g_01455	Syab.g_02043
OG0000243	Syap.g_01938	Syab.g_02025
OG0000244	Syap.g_01146, Syap.g_01145	Syab.g_02017
OG0000245	Syap.g_01148	Syab.g_02015
OG0000246	Syap.g_00308	Syab.g_02011
OG0000247	Syap.g_00288, Syap.g_00293	Syab.g_01999
OG0000248	Syap.g_00290	Syab.g_01996
OG0000249	Syap.g_01296, Syap.g_01295	Syab.g_01994
OG0000250	Syap.g_01306	Syab.g_01988
OG0000251	Syap.g_00442	Syab.g_01961
OG0000252	Syap.g_01857	Syab.g_01958
OG0000253	Syap.g_00443	Syab.g_01956
OG0000254	Syap.g_01527, Syap.g_01528	Syab.g_01925
OG0000256	Syap.g_01287	Syab.g_01890
OG0000257	Syap.g_00886	Syab.g_01885
OG0000258	Syap.g_00907	Syab.g_01861
OG0000260	Syap.g_01970	Syab.g_01544
OG0000261	Syap.g_01962, Syap.g_01961	Syab.g_01556
OG0000262	Syap.g_01954	Syab.g_01561
OG0000263	Syap.g_00432, Syap.g_00433	Syab.g_01035
OG0000266	Syap.g_00519	Syab.g_01667
OG0000267	Syap.g_02333, Syap.g_02332	Syab.g_01433
OG0000268	Syap.g_00646	Syab.g_01432
OG0000269	Syap.g_00188	Syab.g_01650
OG0000270	Syap.g_00192	Syab.g_01657
OG0000271	Syap.g_00200, Syap.g_00201	Syab.g_01279
OG0000272	Syap.g_00202	Syab.g_01280
OG0000273	Syap.g_02703	Syab.g_01699
OG0000274	Syap.g_02702	Syab.g_01700
OG0000275	Syap.g_01847	Syab.g_01704
OG0000276	Syap.g_01839, Syap.g_01838	Syab.g_01712
OG0000277	Syap.g_01837	Syab.g_01713
OG0000278	Syap.g_01834	Syab.g_01716
OG0000279	Syap.g_00829, Syap.g_00830	Syab.g_01724
OG0000280	Syap.g_00365	Syab.g_01736
OG0000281	Syap.g_01977	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Syap.g_01252	Syab.g_01631
OG0000283	Syap.g_01728	Syab.g_01418
OG0000284	Syap.g_01736	Syab.g_01413
OG0000285	Syap.g_01746, Syap.g_01744	Syab.g_01402
OG0000286	Syap.g_02014, Syap.g_02013	Syab.g_01384
OG0000288	Syap.g_02764, Syap.g_02763	Syab.g_01318
OG0000289	Syap.g_02784	Syab.g_01303
OG0000290	Syap.g_01552	Syab.g_01213
OG0000291	Syap.g_01554	Syab.g_01211
OG0000292	Syap.g_02314	Syab.g_02907
OG0000293	Syap.g_00240	Syab.g_00946
OG0000294	Syap.g_00239	Syab.g_00947
OG0000295	Syap.g_00206	Syab.g_01001
OG0000296	Syap.g_00204	Syab.g_01003
OG0000297	Syap.g_01887	Syab.g_01016
OG0000298	Syap.g_01888	Syab.g_01017
OG0000299	Syap.g_02620	Syab.g_01047
OG0000302	Syap.g_02444, Syap.g_02445	Syab.g_01056
OG0000303	Syap.g_02435	Syab.g_01149
OG0000304	Syap.g_02430	Syab.g_01143
OG0000305	Syap.g_01557	Syab.g_01208
OG0000306	Syap.g_01966	Syab.g_01819
OG0000307	Syap.g_02517	Syab.g_02078
OG0000308	Syap.g_02514, Syap.g_02515	Syab.g_02076
OG0000309	Syap.g_02198, Syap.g_02446	Syab.g_02071
OG0000310	Syap.g_02660, Syap.g_02661	Syab.g_00817
OG0000311	Syap.g_02657	Syab.g_00811
OG0000312	Syap.g_02114	Syab.g_00793
OG0000313	Syap.g_02473	Syab.g_00769
OG0000314	Syap.g_00007	Syab.g_00736
OG0000315	Syap.g_00017	Syab.g_00726
OG0000316	Syap.g_00030	Syab.g_02189
OG0000317	Syap.g_00618	Syab.g_02251
OG0000318	Syap.g_00622, Syap.g_02786	Syab.g_02257
OG0000319	Syap.g_01764, Syap.g_01771	Syab.g_02291
OG0000320	Syap.g_01761, Syap.g_01769	Syab.g_02293
OG0000321	Syap.g_01760, Syap.g_01768	Syab.g_02294
OG0000322	Syap.g_01759, Syap.g_01767	Syab.g_02295
OG0000323	Syap.g_01389	Syab.g_02310
OG0000324	Syap.g_01503	Syab.g_02341
OG0000325	Syap.g_02680	Syab.g_00368
OG0000326	Syap.g_00544	Syab.g_00375
OG0000327	Syap.g_01233, Syap.g_01913	Syab.g_00402
OG0000328	Syap.g_01234, Syap.g_01912	Syab.g_00403
OG0000329	Syap.g_00498	Syab.g_00420
OG0000330	Syap.g_00497	Syab.g_00421
OG0000331	Syap.g_00496	Syab.g_00422
OG0000332	Syap.g_00481	Syab.g_00437
OG0000333	Syap.g_00478	Syab.g_00440
OG0000334	Syap.g_00468	Syab.g_00450
OG0000335	Syap.g_00101, Syap.g_00463	Syab.g_00455
OG0000336	Syap.g_00417, Syap.g_00607	Syab.g_00459
OG0000337	Syap.g_01054	Syab.g_00210
OG0000338	Syap.g_01059	Syab.g_00207
OG0000339	Syap.g_01068	Syab.g_00201
OG0000340	Syap.g_01077	Syab.g_00135
OG0000341	Syap.g_01079	Syab.g_00157, Syab.g_00133
OG0000342	Syap.g_01080, Syap.g_02477	Syab.g_00132
OG0000343	Syap.g_01086, Syap.g_02078	Syab.g_00131
OG0000344	Syap.g_01091	Syab.g_00127
OG0000345	Syap.g_01107, Syap.g_01470	Syab.g_00117
OG0000346	Syap.g_01113	Syab.g_00112
OG0000347	Syap.g_01131, Syap.g_02459	Syab.g_00087
OG0000348	Syap.g_00632	Syab.g_00076
OG0000349	Syap.g_00110, Syap.g_01813	Syab.g_00054
OG0000351	Syap.g_02594	Syab.g_02879
OG0000352	Syap.g_02596, Syap.g_02597	Syab.g_02880
OG0000353	Syap.g_00054	Syab.g_02913
OG0000354	Syap.g_00075, Syap.g_02635	Syab.g_00020
OG0000355	Syap.g_00056	Syab.g_00001
OG0000356	Syap.g_00057	Syab.g_00002
OG0000357	Syap.g_00058	Syab.g_00003
OG0000358	Syap.g_00063	Syab.g_00007
OG0000359	Syap.g_00065	Syab.g_00009
OG0000360	Syap.g_00067	Syab.g_00010
OG0000361	Syap.g_00068	Syab.g_00011
OG0000362	Syap.g_00070	Syab.g_00013
OG0000363	Syap.g_00072	Syab.g_00015
OG0000364	Syap.g_00620	Syab.g_00016
OG0000365	Syap.g_00081	Syab.g_00026
OG0000366	Syap.g_00082	Syab.g_00027
OG0000367	Syap.g_00083	Syab.g_00028
OG0000368	Syap.g_00085	Syab.g_00030
OG0000369	Syap.g_00086	Syab.g_00031
OG0000370	Syap.g_00087	Syab.g_00032
OG0000372	Syap.g_01805	Syab.g_00045
OG0000373	Syap.g_01806	Syab.g_00046
OG0000374	Syap.g_01807	Syab.g_00047
OG0000375	Syap.g_01808	Syab.g_00050
OG0000376	Syap.g_01811	Syab.g_00052
OG0000377	Syap.g_00128	Syab.g_02748
OG0000378	Syap.g_01326	Syab.g_02717
OG0000380	Syap.g_01687	Syab.g_02432
OG0000381	Syap.g_01690	Syab.g_02435
OG0000382	Syap.g_02548	Syab.g_02453
OG0000383	Syap.g_02359	Syab.g_02459
OG0000384	Syap.g_02360	Syab.g_02460
OG0000385	Syap.g_02361	Syab.g_02461
OG0000386	Syap.g_02362	Syab.g_02462
OG0000387	Syap.g_01864	Syab.g_02491
OG0000391	Syap.g_02234	Syab.g_02521
OG0000392	Syap.g_02225	Syab.g_02527
OG0000393	Syap.g_02222	Syab.g_02530
OG0000394	Syap.g_02221	Syab.g_02531
OG0000395	Syap.g_02220	Syab.g_02532
OG0000396	Syap.g_02217	Syab.g_02535
OG0000397	Syap.g_02215	Syab.g_02537
OG0000398	Syap.g_02211	Syab.g_02542
OG0000399	Syap.g_02210	Syab.g_02543
OG0000400	Syap.g_02209	Syab.g_02544
OG0000401	Syap.g_02208	Syab.g_02545
OG0000402	Syap.g_02206	Syab.g_02547
OG0000403	Syap.g_02205	Syab.g_02548
OG0000404	Syap.g_02204, Syap.g_02618	Syab.g_02550
OG0000405	Syap.g_02191	Syab.g_02562
OG0000406	Syap.g_02186	Syab.g_02566
OG0000407	Syap.g_02185	Syab.g_02567
OG0000408	Syap.g_02181, Syap.g_02182	Syab.g_02569
OG0000409	Syap.g_02179	Syab.g_02571
OG0000410	Syap.g_02178	Syab.g_02572
OG0000411	Syap.g_02177	Syab.g_02573
OG0000412	Syap.g_02176	Syab.g_02574
OG0000413	Syap.g_02174	Syab.g_02576
OG0000414	Syap.g_02173	Syab.g_02577
OG0000415	Syap.g_02172	Syab.g_02578
OG0000416	Syap.g_02171	Syab.g_02579
OG0000417	Syap.g_02169	Syab.g_02580
OG0000418	Syap.g_01204	Syab.g_02585
OG0000419	Syap.g_01201	Syab.g_02587
OG0000420	Syap.g_01199	Syab.g_02589
OG0000421	Syap.g_01195	Syab.g_02595
OG0000422	Syap.g_01194	Syab.g_02596
OG0000423	Syap.g_01193	Syab.g_02597
OG0000424	Syap.g_01192	Syab.g_02598
OG0000425	Syap.g_01191	Syab.g_02599
OG0000426	Syap.g_01190	Syab.g_02600
OG0000427	Syap.g_01189	Syab.g_02601
OG0000428	Syap.g_01186	Syab.g_02604
OG0000429	Syap.g_01184	Syab.g_02608
OG0000430	Syap.g_01182	Syab.g_02610
OG0000431	Syap.g_01179	Syab.g_02613
OG0000432	Syap.g_02277	Syab.g_02619
OG0000433	Syap.g_02272	Syab.g_02622
OG0000434	Syap.g_02271	Syab.g_02623
OG0000435	Syap.g_02268	Syab.g_02625
OG0000436	Syap.g_01607	Syab.g_02632
OG0000437	Syap.g_01608	Syab.g_02633
OG0000438	Syap.g_01612	Syab.g_02634
OG0000439	Syap.g_01614	Syab.g_02636
OG0000440	Syap.g_01615	Syab.g_02637
OG0000441	Syap.g_01619	Syab.g_02641
OG0000442	Syap.g_01620	Syab.g_02642
OG0000443	Syap.g_01622	Syab.g_02668
OG0000444	Syap.g_01424	Syab.g_02681
OG0000445	Syap.g_01421	Syab.g_02682
OG0000446	Syap.g_01419	Syab.g_02684
OG0000447	Syap.g_01410	Syab.g_02687
OG0000448	Syap.g_01407	Syab.g_02688
OG0000449	Syap.g_01406	Syab.g_02689
OG0000450	Syap.g_01909	Syab.g_02695
OG0000451	Syap.g_01908	Syab.g_02696
OG0000452	Syap.g_01904	Syab.g_02701
OG0000453	Syap.g_01903	Syab.g_02702
OG0000454	Syap.g_01902	Syab.g_02703
OG0000455	Syap.g_01901	Syab.g_02704
OG0000456	Syap.g_01900	Syab.g_02705
OG0000457	Syap.g_01896	Syab.g_02707
OG0000458	Syap.g_01895	Syab.g_02708
OG0000459	Syap.g_01894	Syab.g_02709
OG0000460	Syap.g_01159	Syab.g_02372
OG0000461	Syap.g_01575	Syab.g_00356
OG0000462	Syap.g_01578	Syab.g_00352
OG0000463	Syap.g_01579	Syab.g_00351
OG0000464	Syap.g_01580	Syab.g_00350
OG0000465	Syap.g_01582	Syab.g_00349
OG0000466	Syap.g_01587	Syab.g_00343
OG0000467	Syap.g_01588	Syab.g_00341
OG0000468	Syap.g_01593	Syab.g_00336
OG0000469	Syap.g_02352	Syab.g_00318
OG0000470	Syap.g_02349	Syab.g_00316
OG0000471	Syap.g_02348	Syab.g_00315
OG0000472	Syap.g_02347	Syab.g_00313
OG0000473	Syap.g_02343	Syab.g_00311
OG0000474	Syap.g_02342	Syab.g_00310
OG0000475	Syap.g_02341	Syab.g_00309
OG0000476	Syap.g_02339	Syab.g_00307
OG0000477	Syap.g_01367	Syab.g_00301
OG0000478	Syap.g_01366	Syab.g_00300
OG0000479	Syap.g_01364	Syab.g_00299
OG0000480	Syap.g_01357	Syab.g_00292
OG0000482	Syap.g_01355	Syab.g_00289
OG0000483	Syap.g_01344	Syab.g_00285
OG0000484	Syap.g_01350	Syab.g_00284
OG0000485	Syap.g_01349	Syab.g_00283
OG0000487	Syap.g_01635	Syab.g_00276
OG0000488	Syap.g_01639	Syab.g_00272
OG0000489	Syap.g_02482	Syab.g_00256
OG0000490	Syap.g_01673	Syab.g_00247
OG0000491	Syap.g_01670	Syab.g_00245
OG0000492	Syap.g_01668	Syab.g_00243
OG0000493	Syap.g_01667	Syab.g_00242
OG0000494	Syap.g_01666	Syab.g_00241
OG0000495	Syap.g_01665	Syab.g_00240
OG0000496	Syap.g_01663	Syab.g_00239
OG0000497	Syap.g_01662	Syab.g_00238
OG0000498	Syap.g_01661	Syab.g_00237
OG0000499	Syap.g_01660	Syab.g_00236
OG0000500	Syap.g_01659	Syab.g_00235
OG0000501	Syap.g_01656	Syab.g_00232
OG0000502	Syap.g_02066	Syab.g_00224
OG0000503	Syap.g_00569	Syab.g_00523
OG0000504	Syap.g_00567	Syab.g_00525
OG0000505	Syap.g_00566	Syab.g_00526
OG0000506	Syap.g_00564	Syab.g_00528
OG0000507	Syap.g_00558	Syab.g_00533
OG0000508	Syap.g_00554	Syab.g_00537
OG0000509	Syap.g_00551	Syab.g_00539
OG0000510	Syap.g_00550	Syab.g_00540
OG0000511	Syap.g_00548	Syab.g_00541
OG0000512	Syap.g_02145	Syab.g_00543
OG0000513	Syap.g_02048	Syab.g_00555
OG0000514	Syap.g_02051	Syab.g_00566
OG0000515	Syap.g_02052	Syab.g_00567
OG0000516	Syap.g_02054	Syab.g_00575
OG0000517	Syap.g_02057	Syab.g_00582
OG0000519	Syap.g_00457	Syab.g_00610
OG0000520	Syap.g_00456	Syab.g_00611
OG0000521	Syap.g_01997	Syab.g_00624
OG0000522	Syap.g_01995	Syab.g_00626
OG0000523	Syap.g_02507	Syab.g_00627
OG0000524	Syap.g_02135	Syab.g_00640
OG0000525	Syap.g_02159	Syab.g_00671
OG0000526	Syap.g_02157	Syab.g_00689
OG0000527	Syap.g_02758	Syab.g_00695
OG0000528	Syap.g_02261	Syab.g_02092
OG0000529	Syap.g_02254	Syab.g_02097
OG0000530	Syap.g_02252	Syab.g_02100
OG0000531	Syap.g_02251	Syab.g_02101
OG0000532	Syap.g_02247	Syab.g_02104
OG0000533	Syap.g_02244	Syab.g_02106
OG0000534	Syap.g_02243	Syab.g_02107
OG0000535	Syap.g_02242	Syab.g_02108
OG0000536	Syap.g_02241	Syab.g_02109
OG0000537	Syap.g_02240	Syab.g_02110
OG0000538	Syap.g_00271	Syab.g_02122
OG0000539	Syap.g_00270	Syab.g_02123
OG0000540	Syap.g_00269	Syab.g_02124
OG0000541	Syap.g_00268	Syab.g_02125
OG0000542	Syap.g_00264	Syab.g_02128
OG0000543	Syap.g_00261	Syab.g_02130
OG0000544	Syap.g_00260	Syab.g_02131
OG0000545	Syap.g_00259	Syab.g_02133
OG0000546	Syap.g_00256	Syab.g_02135
OG0000547	Syap.g_00254	Syab.g_02137
OG0000548	Syap.g_00253	Syab.g_02138
OG0000549	Syap.g_00758	Syab.g_02144
OG0000550	Syap.g_02747	Syab.g_02149
OG0000551	Syap.g_02739	Syab.g_02153
OG0000552	Syap.g_02738	Syab.g_02154
OG0000553	Syap.g_02735	Syab.g_02046
OG0000554	Syap.g_01450	Syab.g_02040
OG0000555	Syap.g_01941	Syab.g_02026
OG0000556	Syap.g_01933	Syab.g_02022
OG0000557	Syap.g_01931	Syab.g_02019
OG0000558	Syap.g_01147	Syab.g_02016
OG0000560	Syap.g_00305	Syab.g_02009
OG0000561	Syap.g_00304	Syab.g_02008
OG0000562	Syap.g_00302	Syab.g_02007
OG0000563	Syap.g_00301	Syab.g_02006
OG0000564	Syap.g_00300	Syab.g_02005
OG0000565	Syap.g_00296	Syab.g_02001
OG0000566	Syap.g_00291	Syab.g_01997
OG0000567	Syap.g_01297	Syab.g_01993
OG0000568	Syap.g_01302	Syab.g_01991
OG0000569	Syap.g_01303	Syab.g_01990
OG0000570	Syap.g_01304	Syab.g_01989
OG0000571	Syap.g_01307	Syab.g_01986
OG0000573	Syap.g_00765	Syab.g_01960
OG0000574	Syap.g_00759	Syab.g_01959
OG0000575	Syap.g_00445	Syab.g_01954
OG0000576	Syap.g_00450	Syab.g_01952
OG0000577	Syap.g_00451	Syab.g_01951
OG0000578	Syap.g_00452	Syab.g_01950
OG0000579	Syap.g_00453	Syab.g_01949
OG0000580	Syap.g_00454	Syab.g_01948
OG0000581	Syap.g_01521	Syab.g_01934
OG0000582	Syap.g_01533	Syab.g_01929
OG0000583	Syap.g_01532	Syab.g_01928
OG0000584	Syap.g_01530	Syab.g_01927
OG0000585	Syap.g_01526	Syab.g_01924
OG0000586	Syap.g_01525	Syab.g_01923
OG0000587	Syap.g_01523	Syab.g_01921
OG0000588	Syap.g_00776	Syab.g_01910
OG0000589	Syap.g_00941	Syab.g_01899
OG0000590	Syap.g_00940	Syab.g_01898
OG0000591	Syap.g_01289	Syab.g_01892
