Orthogroup	Syap	Praz
OG0000173	Syap.g_01213, Syap.g_00982, Syap.g_00983	Praz.g_00166
OG0000174	Syap.g_02092	Praz.g_00138
OG0000175	Syap.g_02654	Praz.g_00128
OG0000176	Syap.g_00059	Praz.g_00369
OG0000177	Syap.g_00061, Syap.g_00060	Praz.g_00370
OG0000178	Syap.g_00062	Praz.g_00371
OG0000179	Syap.g_00077, Syap.g_02638	Praz.g_00381
OG0000180	Syap.g_00078, Syap.g_02640	Praz.g_00382
OG0000181	Syap.g_00079, Syap.g_02641	Praz.g_00383
OG0000182	Syap.g_00080, Syap.g_02642	Praz.g_00384
OG0000183	Syap.g_00084	Praz.g_00388
OG0000184	Syap.g_01337	Praz.g_00412
OG0000185	Syap.g_01322	Praz.g_00415
OG0000186	Syap.g_01684	Praz.g_00424
OG0000187	Syap.g_01686	Praz.g_00425
OG0000188	Syap.g_02547	Praz.g_00442
OG0000191	Syap.g_02233	Praz.g_00477
OG0000192	Syap.g_02224	Praz.g_00481
OG0000193	Syap.g_02187, Syap.g_02188	Praz.g_00506
OG0000194	Syap.g_02183	Praz.g_00509
OG0000195	Syap.g_02180	Praz.g_00511
OG0000196	Syap.g_01208, Syap.g_02167	Praz.g_00521
OG0000197	Syap.g_01207, Syap.g_02166	Praz.g_00522
OG0000198	Syap.g_01206	Praz.g_00523
OG0000199	Syap.g_01197	Praz.g_00530
OG0000200	Syap.g_01181	Praz.g_00544
OG0000201	Syap.g_02265	Praz.g_00552
OG0000202	Syap.g_02264	Praz.g_00553
OG0000203	Syap.g_01601	Praz.g_00554
OG0000204	Syap.g_01602	Praz.g_00555
OG0000205	Syap.g_01616	Praz.g_00562
OG0000206	Syap.g_01628	Praz.g_00567
OG0000207	Syap.g_01426, Syap.g_00424	Praz.g_00569
OG0000208	Syap.g_00426, Syap.g_01425	Praz.g_00570
OG0000209	Syap.g_01906	Praz.g_00579
OG0000210	Syap.g_01905	Praz.g_00580
OG0000211	Syap.g_01160	Praz.g_00593
OG0000212	Syap.g_02664	Praz.g_00600
OG0000213	Syap.g_00107, Syap.g_01599	Praz.g_00617
OG0000214	Syap.g_02344, Syap.g_02345	Praz.g_00626
OG0000215	Syap.g_01347, Syap.g_01629	Praz.g_00650
OG0000216	Syap.g_01634	Praz.g_00651
OG0000217	Syap.g_01638	Praz.g_00654
OG0000218	Syap.g_01641, Syap.g_01640	Praz.g_00656
OG0000219	Syap.g_01642, Syap.g_01643	Praz.g_00657
OG0000220	Syap.g_01645	Praz.g_00658
OG0000221	Syap.g_01646	Praz.g_00659
OG0000222	Syap.g_01669	Praz.g_00667
OG0000223	Syap.g_02072, Syap.g_02073	Praz.g_00680
OG0000224	Syap.g_02064	Praz.g_00682
OG0000225	Syap.g_00553, Syap.g_00552	Praz.g_00348
OG0000226	Syap.g_02029, Syap.g_02144	Praz.g_00352
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Praz.g_00354
OG0000228	Syap.g_00116, Syap.g_02041	Praz.g_00819
OG0000229	Syap.g_02059	Praz.g_01892
OG0000230	Syap.g_02061	Praz.g_01890
OG0000231	Syap.g_02533	Praz.g_01879
OG0000232	Syap.g_02510, Syap.g_02511	Praz.g_01870
OG0000233	Syap.g_02133	Praz.g_01865
OG0000234	Syap.g_02755	Praz.g_01852
OG0000235	Syap.g_00732, Syap.g_02258	Praz.g_01849
OG0000236	Syap.g_02238	Praz.g_01835
OG0000237	Syap.g_00262, Syap.g_00263	Praz.g_01822
OG0000238	Syap.g_00257, Syap.g_00258	Praz.g_01816
OG0000239	Syap.g_02744	Praz.g_01803
OG0000240	Syap.g_02742	Praz.g_01802
OG0000241	Syap.g_00888	Praz.g_01798
OG0000242	Syap.g_01455	Praz.g_01796
OG0000243	Syap.g_01938	Praz.g_01785
OG0000244	Syap.g_01146, Syap.g_01145	Praz.g_01782
OG0000245	Syap.g_01148	Praz.g_01780
OG0000246	Syap.g_00308	Praz.g_01776
OG0000247	Syap.g_00288, Syap.g_00293	Praz.g_01766
OG0000248	Syap.g_00290	Praz.g_01764
OG0000249	Syap.g_01296, Syap.g_01295	Praz.g_01762
OG0000250	Syap.g_01306	Praz.g_01757
OG0000251	Syap.g_00442	Praz.g_01739
OG0000252	Syap.g_01857	Praz.g_01736
OG0000253	Syap.g_00443	Praz.g_01735
OG0000254	Syap.g_01527, Syap.g_01528	Praz.g_01719
OG0000256	Syap.g_01287	Praz.g_01703
OG0000257	Syap.g_00886	Praz.g_01700
OG0000258	Syap.g_00907	Praz.g_01687
OG0000260	Syap.g_01970	Praz.g_01667
OG0000261	Syap.g_01962, Syap.g_01961	Praz.g_01665
OG0000262	Syap.g_01954	Praz.g_01661
OG0000263	Syap.g_00432, Syap.g_00433	Praz.g_01649
OG0000266	Syap.g_00519	Praz.g_01597
OG0000267	Syap.g_02333, Syap.g_02332	Praz.g_01586
OG0000268	Syap.g_00646	Praz.g_01585
OG0000269	Syap.g_00188	Praz.g_01517
OG0000270	Syap.g_00192	Praz.g_01514
OG0000271	Syap.g_00200, Syap.g_00201	Praz.g_01506
OG0000272	Syap.g_00202	Praz.g_01505
OG0000273	Syap.g_02703	Praz.g_01482
OG0000274	Syap.g_02702	Praz.g_01481
OG0000275	Syap.g_01847	Praz.g_01478
OG0000276	Syap.g_01839, Syap.g_01838	Praz.g_01473
OG0000277	Syap.g_01837	Praz.g_01472
OG0000278	Syap.g_01834	Praz.g_01469
OG0000279	Syap.g_00829, Syap.g_00830	Praz.g_01462
OG0000280	Syap.g_00365	Praz.g_01461
OG0000281	Syap.g_01977	Praz.g_01456
OG0000282	Syap.g_01252	Praz.g_01406
OG0000283	Syap.g_01728	Praz.g_01373
OG0000284	Syap.g_01736	Praz.g_01368
OG0000285	Syap.g_01746, Syap.g_01744	Praz.g_01363
OG0000286	Syap.g_02014, Syap.g_02013	Praz.g_01351
OG0000288	Syap.g_02764, Syap.g_02763	Praz.g_01304
OG0000289	Syap.g_02784	Praz.g_01292
OG0000290	Syap.g_01552	Praz.g_01279, Praz.g_00063
OG0000291	Syap.g_01554	Praz.g_00065
OG0000292	Syap.g_02314	Praz.g_00114
OG0000293	Syap.g_00240	Praz.g_00001
OG0000294	Syap.g_00239	Praz.g_00763
OG0000295	Syap.g_00206	Praz.g_00742
OG0000296	Syap.g_00204	Praz.g_00740
OG0000297	Syap.g_01887	Praz.g_00732
OG0000298	Syap.g_01888	Praz.g_00731
OG0000299	Syap.g_02620	Praz.g_00714
OG0000302	Syap.g_02444, Syap.g_02445	Praz.g_00708
OG0000303	Syap.g_02435	Praz.g_00701
OG0000304	Syap.g_02430	Praz.g_00697
OG0000305	Syap.g_01557	Praz.g_01147
OG0000306	Syap.g_01966	Praz.g_01144
OG0000307	Syap.g_02517	Praz.g_01130
OG0000308	Syap.g_02514, Syap.g_02515	Praz.g_01129
OG0000309	Syap.g_02198, Syap.g_02446	Praz.g_01125
OG0000310	Syap.g_02660, Syap.g_02661	Praz.g_01056
OG0000311	Syap.g_02657	Praz.g_01054
OG0000312	Syap.g_02114	Praz.g_01051
OG0000313	Syap.g_02473	Praz.g_01037
OG0000314	Syap.g_00007	Praz.g_01014
OG0000315	Syap.g_00017	Praz.g_01004
OG0000316	Syap.g_00030	Praz.g_00984
OG0000317	Syap.g_00618	Praz.g_00879
OG0000318	Syap.g_00622, Syap.g_02786	Praz.g_00876
OG0000319	Syap.g_01764, Syap.g_01771	Praz.g_00863
OG0000320	Syap.g_01761, Syap.g_01769	Praz.g_00861
OG0000321	Syap.g_01760, Syap.g_01768	Praz.g_00860
OG0000322	Syap.g_01759, Syap.g_01767	Praz.g_00859
OG0000323	Syap.g_01389	Praz.g_00850
OG0000324	Syap.g_01503	Praz.g_00824
OG0000325	Syap.g_02680	Praz.g_00334
OG0000326	Syap.g_00544	Praz.g_00328
OG0000327	Syap.g_01233, Syap.g_01913	Praz.g_00304
OG0000328	Syap.g_01234, Syap.g_01912	Praz.g_00303
OG0000329	Syap.g_00498	Praz.g_00286
OG0000330	Syap.g_00497	Praz.g_00285
OG0000331	Syap.g_00496	Praz.g_00284
OG0000332	Syap.g_00481	Praz.g_00270
OG0000333	Syap.g_00478	Praz.g_00268
OG0000334	Syap.g_00468	Praz.g_00260
OG0000335	Syap.g_00101, Syap.g_00463	Praz.g_00255
OG0000336	Syap.g_00417, Syap.g_00607	Praz.g_00251
OG0000337	Syap.g_01054	Praz.g_00234
OG0000338	Syap.g_01059	Praz.g_00233
OG0000339	Syap.g_01068	Praz.g_00229
OG0000340	Syap.g_01077	Praz.g_00221
OG0000341	Syap.g_01079	Praz.g_00219
OG0000342	Syap.g_01080, Syap.g_02477	Praz.g_00218
OG0000343	Syap.g_01086, Syap.g_02078	Praz.g_00217
OG0000344	Syap.g_01091	Praz.g_00214
OG0000345	Syap.g_01107, Syap.g_01470	Praz.g_00209
OG0000346	Syap.g_02423, Syap.g_01113	Praz.g_00204
OG0000347	Syap.g_01131, Syap.g_02459	Praz.g_00188
OG0000348	Syap.g_00632	Praz.g_00178
OG0000349	Syap.g_00110, Syap.g_01813	Praz.g_00161
OG0000351	Syap.g_02594	Praz.g_00125
OG0000352	Syap.g_02596, Syap.g_02597	Praz.g_00124
OG0000353	Syap.g_00054	Praz.g_00364
OG0000355	Syap.g_00056	Praz.g_00366
OG0000356	Syap.g_00057	Praz.g_00367
OG0000357	Syap.g_00058	Praz.g_00368
OG0000358	Syap.g_00063	Praz.g_00372
OG0000359	Syap.g_00065	Praz.g_00373
OG0000360	Syap.g_00067	Praz.g_00374
OG0000361	Syap.g_00068	Praz.g_00375
OG0000362	Syap.g_00070	Praz.g_00377
OG0000363	Syap.g_00072	Praz.g_00379
OG0000364	Syap.g_00620	Praz.g_00380
OG0000365	Syap.g_00081	Praz.g_00385
OG0000366	Syap.g_00082	Praz.g_00386
OG0000367	Syap.g_00083	Praz.g_00387
OG0000368	Syap.g_00085	Praz.g_00389
OG0000369	Syap.g_00086	Praz.g_00390
OG0000370	Syap.g_00087	Praz.g_00391
OG0000372	Syap.g_01805	Praz.g_00400
OG0000373	Syap.g_01806	Praz.g_00401
OG0000374	Syap.g_01807	Praz.g_00402
OG0000375	Syap.g_01808	Praz.g_00406
OG0000376	Syap.g_01811	Praz.g_00408
OG0000377	Syap.g_00128	Praz.g_00411
OG0000378	Syap.g_01326	Praz.g_00413
OG0000380	Syap.g_01687	Praz.g_00426
OG0000381	Syap.g_01690	Praz.g_00430
OG0000382	Syap.g_02548	Praz.g_00441
OG0000383	Syap.g_02359	Praz.g_00443
OG0000384	Syap.g_02360	Praz.g_00444
OG0000385	Syap.g_02361	Praz.g_00445
OG0000386	Syap.g_02362	Praz.g_00446
OG0000387	Syap.g_01864	Praz.g_00459
OG0000391	Syap.g_02234	Praz.g_00476
OG0000392	Syap.g_02225	Praz.g_00480
OG0000393	Syap.g_02222	Praz.g_00482
OG0000394	Syap.g_02221	Praz.g_00483
OG0000395	Syap.g_02220	Praz.g_00484
OG0000396	Syap.g_02217	Praz.g_00487
OG0000397	Syap.g_02215	Praz.g_00489
OG0000398	Syap.g_02211	Praz.g_00491
OG0000399	Syap.g_02210	Praz.g_00492
OG0000400	Syap.g_02209	Praz.g_00493
OG0000401	Syap.g_02208	Praz.g_00494
OG0000402	Syap.g_02206	Praz.g_00496
OG0000403	Syap.g_02205	Praz.g_00497
OG0000404	Syap.g_02204, Syap.g_02618	Praz.g_00498
OG0000405	Syap.g_02191	Praz.g_00502
OG0000406	Syap.g_02186	Praz.g_00507
OG0000407	Syap.g_02185	Praz.g_00508
OG0000408	Syap.g_02181, Syap.g_02182	Praz.g_00510
OG0000409	Syap.g_02179	Praz.g_00512
OG0000410	Syap.g_02178	Praz.g_00513
OG0000411	Syap.g_02177	Praz.g_00514
OG0000412	Syap.g_02176	Praz.g_00515
OG0000413	Syap.g_02174	Praz.g_00516
OG0000414	Syap.g_02173	Praz.g_00517
OG0000415	Syap.g_02172	Praz.g_00518
OG0000416	Syap.g_02171	Praz.g_00519
OG0000417	Syap.g_02169	Praz.g_00520
OG0000418	Syap.g_01204	Praz.g_00525
OG0000419	Syap.g_01201	Praz.g_00527
OG0000420	Syap.g_01199	Praz.g_00528
OG0000421	Syap.g_01195	Praz.g_00533
OG0000422	Syap.g_01194	Praz.g_00534
OG0000423	Syap.g_01193	Praz.g_00535
OG0000424	Syap.g_01192	Praz.g_00536
OG0000425	Syap.g_01191	Praz.g_00537
OG0000426	Syap.g_01190	Praz.g_00538
OG0000427	Syap.g_01189	Praz.g_00539
OG0000428	Syap.g_01186	Praz.g_00541
OG0000429	Syap.g_01184	Praz.g_00542
OG0000430	Syap.g_01182	Praz.g_00543
OG0000431	Syap.g_01179	Praz.g_00545
OG0000432	Syap.g_02277	Praz.g_00548
OG0000433	Syap.g_02272	Praz.g_00549
OG0000434	Syap.g_02271	Praz.g_00550
OG0000435	Syap.g_02268	Praz.g_00551
OG0000436	Syap.g_01607	Praz.g_00556
OG0000437	Syap.g_01608	Praz.g_00557
OG0000438	Syap.g_01612	Praz.g_00558
OG0000439	Syap.g_01614	Praz.g_00560
OG0000440	Syap.g_01615	Praz.g_00561
OG0000441	Syap.g_01619	Praz.g_00564
OG0000442	Syap.g_01620	Praz.g_00565
OG0000443	Syap.g_01622	Praz.g_00566
OG0000444	Syap.g_01424	Praz.g_00571
OG0000445	Syap.g_01421	Praz.g_00572
OG0000446	Syap.g_01419	Praz.g_00573
OG0000447	Syap.g_01410	Praz.g_00574
OG0000448	Syap.g_01407	Praz.g_00575
OG0000449	Syap.g_01406	Praz.g_00576
OG0000450	Syap.g_01909	Praz.g_00577
OG0000451	Syap.g_01908	Praz.g_00578
OG0000452	Syap.g_01904	Praz.g_00581
OG0000453	Syap.g_01903	Praz.g_00582
OG0000454	Syap.g_01902	Praz.g_00583
OG0000455	Syap.g_01901	Praz.g_00584
OG0000456	Syap.g_01900	Praz.g_00585
OG0000457	Syap.g_01896	Praz.g_00586
OG0000458	Syap.g_01895	Praz.g_00587
OG0000459	Syap.g_01894	Praz.g_00588
OG0000460	Syap.g_01159	Praz.g_00595
OG0000461	Syap.g_01575	Praz.g_00602
OG0000462	Syap.g_01578	Praz.g_00604
OG0000463	Syap.g_01579	Praz.g_00605
OG0000464	Syap.g_01580	Praz.g_00606
OG0000465	Syap.g_01582	Praz.g_00607
OG0000466	Syap.g_01587	Praz.g_00610
OG0000467	Syap.g_01588	Praz.g_00611
OG0000468	Syap.g_01593	Praz.g_00613
OG0000469	Syap.g_02352	Praz.g_00621
OG0000470	Syap.g_02349	Praz.g_00623
OG0000471	Syap.g_02348	Praz.g_00624
OG0000472	Syap.g_02347	Praz.g_00625
OG0000473	Syap.g_02343	Praz.g_00627
OG0000474	Syap.g_02342	Praz.g_00628
OG0000475	Syap.g_02341	Praz.g_00629
OG0000476	Syap.g_02339	Praz.g_00630
OG0000477	Syap.g_01367	Praz.g_00633
OG0000478	Syap.g_01366	Praz.g_00634
OG0000479	Syap.g_01364	Praz.g_00635
OG0000480	Syap.g_01357	Praz.g_00640
OG0000482	Syap.g_01355	Praz.g_00643
OG0000483	Syap.g_01344	Praz.g_00646
OG0000484	Syap.g_01350	Praz.g_00647
OG0000485	Syap.g_01349	Praz.g_00648
OG0000487	Syap.g_01635	Praz.g_00652
OG0000488	Syap.g_01639	Praz.g_00655
OG0000489	Syap.g_02482	Praz.g_00660
OG0000490	Syap.g_01673	Praz.g_00665
OG0000491	Syap.g_01670	Praz.g_00666
OG0000492	Syap.g_01668	Praz.g_00668
OG0000493	Syap.g_01667	Praz.g_00669
OG0000494	Syap.g_01666	Praz.g_00670
OG0000495	Syap.g_01665	Praz.g_00671
OG0000496	Syap.g_01663	Praz.g_00672
OG0000497	Syap.g_01662	Praz.g_00673
OG0000498	Syap.g_01661	Praz.g_00674
OG0000499	Syap.g_01660	Praz.g_00675
OG0000500	Syap.g_01659	Praz.g_00676
OG0000501	Syap.g_01656	Praz.g_00678
OG0000502	Syap.g_02066	Praz.g_00681
OG0000503	Syap.g_00569	Praz.g_01931
OG0000504	Syap.g_00567	Praz.g_01932
OG0000505	Syap.g_00566	Praz.g_01933
OG0000506	Syap.g_00564	Praz.g_01935
OG0000507	Syap.g_00558	Praz.g_00343
OG0000508	Syap.g_00554	Praz.g_00347
OG0000509	Syap.g_00551	Praz.g_00349
OG0000510	Syap.g_00550	Praz.g_00350
OG0000511	Syap.g_00548	Praz.g_00351
OG0000512	Syap.g_02145	Praz.g_00353
OG0000513	Syap.g_02048	Praz.g_00816
OG0000514	Syap.g_02051	Praz.g_01897
OG0000515	Syap.g_02052	Praz.g_01896
OG0000516	Syap.g_02054	Praz.g_01895
OG0000517	Syap.g_02057	Praz.g_01893
OG0000519	Syap.g_00457	Praz.g_01881
OG0000520	Syap.g_00456	Praz.g_01880
OG0000521	Syap.g_01997	Praz.g_01875
OG0000522	Syap.g_01995	Praz.g_01873
OG0000523	Syap.g_02507	Praz.g_01872
OG0000524	Syap.g_02135	Praz.g_01867
OG0000525	Syap.g_02159	Praz.g_01864
OG0000526	Syap.g_02157	Praz.g_01863
OG0000527	Syap.g_02758	Praz.g_01855
OG0000528	Syap.g_02261	Praz.g_01850
OG0000529	Syap.g_02254	Praz.g_01847
OG0000530	Syap.g_02252	Praz.g_01844
OG0000531	Syap.g_02251	Praz.g_01843
OG0000532	Syap.g_02247	Praz.g_01841
OG0000533	Syap.g_02244	Praz.g_01840
OG0000534	Syap.g_02243	Praz.g_01839
OG0000535	Syap.g_02242	Praz.g_01838
OG0000536	Syap.g_02241	Praz.g_01837
OG0000537	Syap.g_02240	Praz.g_01836
OG0000538	Syap.g_00271	Praz.g_01828
OG0000539	Syap.g_00270	Praz.g_01827
OG0000540	Syap.g_00269	Praz.g_01826
OG0000541	Syap.g_00268	Praz.g_01825
OG0000542	Syap.g_00264	Praz.g_01823
OG0000543	Syap.g_00261	Praz.g_01821
OG0000544	Syap.g_00260	Praz.g_01820
OG0000545	Syap.g_00259	Praz.g_01818
OG0000546	Syap.g_00256	Praz.g_01815
OG0000547	Syap.g_00254	Praz.g_01813
OG0000548	Syap.g_00253	Praz.g_01812
OG0000549	Syap.g_00758	Praz.g_01810
OG0000550	Syap.g_02747	Praz.g_01805
OG0000551	Syap.g_02739	Praz.g_01801
OG0000552	Syap.g_02738	Praz.g_01800
OG0000553	Syap.g_02735	Praz.g_01799
OG0000554	Syap.g_01450	Praz.g_01794
OG0000555	Syap.g_01941	Praz.g_01786
OG0000556	Syap.g_01933	Praz.g_01784
OG0000557	Syap.g_01931	Praz.g_01783
OG0000558	Syap.g_01147	Praz.g_01781
OG0000560	Syap.g_00305	Praz.g_01774
OG0000561	Syap.g_00304	Praz.g_01773
OG0000562	Syap.g_00302	Praz.g_01772
OG0000563	Syap.g_00301	Praz.g_01771
OG0000564	Syap.g_00300	Praz.g_01770
OG0000565	Syap.g_00296	Praz.g_01767
OG0000566	Syap.g_00291	Praz.g_01765
OG0000567	Syap.g_01297	Praz.g_01761
OG0000568	Syap.g_01302	Praz.g_01760
OG0000569	Syap.g_01303	Praz.g_01759
OG0000570	Syap.g_01304	Praz.g_01758
OG0000571	Syap.g_01307	Praz.g_01756
OG0000573	Syap.g_00765	Praz.g_01738
OG0000574	Syap.g_00759	Praz.g_01737
OG0000575	Syap.g_00445	Praz.g_01733
OG0000576	Syap.g_00450	Praz.g_01731
OG0000577	Syap.g_00451	Praz.g_01730
OG0000578	Syap.g_00452	Praz.g_01729
OG0000579	Syap.g_00453	Praz.g_01728
OG0000580	Syap.g_00454	Praz.g_01727
OG0000581	Syap.g_01521	Praz.g_01725
OG0000582	Syap.g_01533	Praz.g_01722
OG0000583	Syap.g_01532	Praz.g_01721
OG0000584	Syap.g_01530	Praz.g_01720
OG0000585	Syap.g_01526	Praz.g_01718
