Orthogroup	Syap	Pray
OG0000095	Syap.g_01556	Pray.g_00584
OG0000098	Syap.g_01975	Pray.g_01847
OG0000099	Syap.g_01385	Pray.g_01788
OG0000101	Syap.g_00472	Pray.g_01306
OG0000102	Syap.g_01116	Pray.g_01369
OG0000103	Syap.g_02607, Syap.g_02608	Pray.g_01449
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Pray.g_01457
OG0000105	Syap.g_01369, Syap.g_01368	Pray.g_00753
OG0000107	Syap.g_02496	Pray.g_00864
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Pray.g_00970
OG0000109	Syap.g_00279, Syap.g_02237	Pray.g_00984
OG0000110	Syap.g_01313	Pray.g_01187
OG0000111	Syap.g_01566, Syap.g_01568	Pray.g_01064
OG0000112	Syap.g_02023	Pray.g_00313
OG0000113	Syap.g_02714	Pray.g_00370
OG0000114	Syap.g_01255	Pray.g_00452
OG0000115	Syap.g_02004	Pray.g_00126
OG0000116	Syap.g_00241	Pray.g_00074
OG0000117	Syap.g_01889	Pray.g_01927
OG0000118	Syap.g_02286	Pray.g_01858
OG0000120	Syap.g_02075	Pray.g_01808
OG0000121	Syap.g_02471	Pray.g_01720
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Pray.g_01313
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Pray.g_01380
OG0000125	Syap.g_01046, Syap.g_01047	Pray.g_01417
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Pray.g_01456
OG0000128	Syap.g_00069	Pray.g_01473
OG0000129	Syap.g_00130, Syap.g_00129	Pray.g_00239
OG0000130	Syap.g_01688, Syap.g_01689	Pray.g_00220
OG0000131	Syap.g_02189	Pray.g_00144
OG0000132	Syap.g_01205	Pray.g_00645
OG0000133	Syap.g_02017	Pray.g_00800
OG0000134	Syap.g_02047	Pray.g_00835
OG0000135	Syap.g_02090	Pray.g_00861
OG0000136	Syap.g_00089	Pray.g_00931
OG0000137	Syap.g_02756	Pray.g_00965
OG0000138	Syap.g_00278	Pray.g_00985
OG0000139	Syap.g_00410	Pray.g_01224
OG0000140	Syap.g_01976	Pray.g_01223
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Pray.g_01156
OG0000142	Syap.g_00895, Syap.g_00894	Pray.g_01128
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Pray.g_01124
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Pray.g_01111
OG0000145	Syap.g_01860, Syap.g_01859	Pray.g_00306
OG0000146	Syap.g_02024	Pray.g_00314
OG0000147	Syap.g_02025	Pray.g_00315
OG0000148	Syap.g_02720	Pray.g_00364
OG0000149	Syap.g_00824	Pray.g_00395
OG0000150	Syap.g_01540	Pray.g_00403
OG0000151	Syap.g_00142	Pray.g_00462
OG0000152	Syap.g_02012	Pray.g_00511
OG0000153	Syap.g_02682	Pray.g_00530
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Pray.g_00558
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Pray.g_00043
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Pray.g_01881
OG0000157	Syap.g_00249, Syap.g_00286	Pray.g_01880
OG0000158	Syap.g_01075	Pray.g_01787
OG0000159	Syap.g_00700	Pray.g_01785
OG0000160	Syap.g_02470, Syap.g_02469	Pray.g_01721
OG0000161	Syap.g_02476	Pray.g_01715
OG0000162	Syap.g_02531	Pray.g_01709
OG0000164	Syap.g_01391, Syap.g_01392	Pray.g_01535
OG0000165	Syap.g_01381, Syap.g_01382	Pray.g_01528
OG0000166	Syap.g_00512, Syap.g_01238	Pray.g_01270
OG0000167	Syap.g_02080	Pray.g_01337
OG0000168	Syap.g_01076	Pray.g_01347
OG0000169	Syap.g_01049, Syap.g_01093	Pray.g_01357
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Pray.g_01359
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Pray.g_01379
OG0000172	Syap.g_01143, Syap.g_00635	Pray.g_01388
OG0000173	Syap.g_01213, Syap.g_00982, Syap.g_00983	Pray.g_01403
OG0000174	Syap.g_02092	Pray.g_01431
OG0000175	Syap.g_02654	Pray.g_01441
OG0000176	Syap.g_00059	Pray.g_01465, Pray.g_01466
OG0000177	Syap.g_00061, Syap.g_00060	Pray.g_01467
OG0000178	Syap.g_00062	Pray.g_01468
OG0000179	Syap.g_00077, Syap.g_02638	Pray.g_01478
OG0000180	Syap.g_00078, Syap.g_02640	Pray.g_01479
OG0000181	Syap.g_00079, Syap.g_02641	Pray.g_01480
OG0000182	Syap.g_00080, Syap.g_02642	Pray.g_01481
OG0000183	Syap.g_00084	Pray.g_01485
OG0000184	Syap.g_01337	Pray.g_00237
OG0000185	Syap.g_01322	Pray.g_00234
OG0000186	Syap.g_01684	Pray.g_00225
OG0000187	Syap.g_01686	Pray.g_00224
OG0000188	Syap.g_02547	Pray.g_00207
OG0000191	Syap.g_02233	Pray.g_00172
OG0000192	Syap.g_02224	Pray.g_00168
OG0000193	Syap.g_02187, Syap.g_02188	Pray.g_00143
OG0000194	Syap.g_02183	Pray.g_00140
OG0000195	Syap.g_02180	Pray.g_00138
OG0000196	Syap.g_01208, Syap.g_02167	Pray.g_00642
OG0000197	Syap.g_01207, Syap.g_02166	Pray.g_00643
OG0000198	Syap.g_01206	Pray.g_00644
OG0000199	Syap.g_01197	Pray.g_00651
OG0000200	Syap.g_01181	Pray.g_00665
OG0000201	Syap.g_02265	Pray.g_00673
OG0000202	Syap.g_02264	Pray.g_00674
OG0000203	Syap.g_01601	Pray.g_00675
OG0000204	Syap.g_01602	Pray.g_00676
OG0000205	Syap.g_01616	Pray.g_00683
OG0000206	Syap.g_01628	Pray.g_00688
OG0000207	Syap.g_01426, Syap.g_00424	Pray.g_00690
OG0000208	Syap.g_00426, Syap.g_01425	Pray.g_00691
OG0000209	Syap.g_01906	Pray.g_00700
OG0000210	Syap.g_01905	Pray.g_00701
OG0000211	Syap.g_01160	Pray.g_00714
OG0000212	Syap.g_02664	Pray.g_00721
OG0000213	Syap.g_00107, Syap.g_01599	Pray.g_00738
OG0000214	Syap.g_02344, Syap.g_02345	Pray.g_00747
OG0000215	Syap.g_01347, Syap.g_01629	Pray.g_00771
OG0000216	Syap.g_01634	Pray.g_00772
OG0000217	Syap.g_01638	Pray.g_00775
OG0000218	Syap.g_01641, Syap.g_01640	Pray.g_00777
OG0000219	Syap.g_01642, Syap.g_01643	Pray.g_00778
OG0000220	Syap.g_01645	Pray.g_00779
OG0000221	Syap.g_01646	Pray.g_00780
OG0000222	Syap.g_01669	Pray.g_00788
OG0000223	Syap.g_02072, Syap.g_02073	Pray.g_00801
OG0000224	Syap.g_02064	Pray.g_00803
OG0000225	Syap.g_00553, Syap.g_00552	Pray.g_00824
OG0000226	Syap.g_02029, Syap.g_02144	Pray.g_00828
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Pray.g_00830
OG0000228	Syap.g_00116, Syap.g_02041	Pray.g_00833
OG0000229	Syap.g_02059	Pray.g_00926
OG0000230	Syap.g_02061	Pray.g_00928
OG0000231	Syap.g_02533	Pray.g_00939
OG0000232	Syap.g_02510, Syap.g_02511	Pray.g_00948
OG0000233	Syap.g_02133	Pray.g_00953
OG0000234	Syap.g_02755	Pray.g_00966
OG0000235	Syap.g_00732, Syap.g_02258	Pray.g_00969
OG0000236	Syap.g_02238	Pray.g_00983
OG0000237	Syap.g_00262, Syap.g_00263	Pray.g_00997
OG0000238	Syap.g_00257, Syap.g_00258	Pray.g_01003
OG0000239	Syap.g_02744	Pray.g_01016
OG0000240	Syap.g_02742	Pray.g_01017
OG0000241	Syap.g_00888	Pray.g_01021
OG0000242	Syap.g_01455	Pray.g_01023
OG0000243	Syap.g_01938	Pray.g_01218
OG0000244	Syap.g_01146, Syap.g_01145	Pray.g_01215
OG0000245	Syap.g_01148	Pray.g_01213
OG0000246	Syap.g_00308	Pray.g_01209
OG0000247	Syap.g_00288, Syap.g_00293	Pray.g_01199
OG0000248	Syap.g_00290	Pray.g_01197
OG0000249	Syap.g_01296, Syap.g_01295	Pray.g_01195
OG0000250	Syap.g_01306	Pray.g_01190
OG0000251	Syap.g_00442	Pray.g_01172
OG0000252	Syap.g_01857	Pray.g_01169
OG0000253	Syap.g_00443	Pray.g_01168
OG0000254	Syap.g_01527, Syap.g_01528	Pray.g_01152
OG0000256	Syap.g_01287	Pray.g_01136
OG0000257	Syap.g_00886	Pray.g_01133
OG0000258	Syap.g_00907	Pray.g_01120
OG0000260	Syap.g_01970	Pray.g_01100
OG0000261	Syap.g_01962, Syap.g_01961	Pray.g_01098
OG0000262	Syap.g_01954	Pray.g_01094
OG0000263	Syap.g_00432, Syap.g_00433	Pray.g_01082
OG0000266	Syap.g_00519	Pray.g_01030
OG0000267	Syap.g_02333, Syap.g_02332	Pray.g_00274
OG0000268	Syap.g_00646	Pray.g_00275
OG0000269	Syap.g_00188	Pray.g_00343
OG0000270	Syap.g_00192	Pray.g_00346
OG0000271	Syap.g_00200, Syap.g_00201	Pray.g_00354
OG0000272	Syap.g_00202	Pray.g_00355
OG0000273	Syap.g_02703	Pray.g_00378
OG0000274	Syap.g_02702	Pray.g_00379
OG0000275	Syap.g_01847	Pray.g_00382
OG0000276	Syap.g_01839, Syap.g_01838	Pray.g_00387
OG0000277	Syap.g_01837	Pray.g_00388
OG0000278	Syap.g_01834	Pray.g_00391
OG0000279	Syap.g_00829, Syap.g_00830	Pray.g_00398
OG0000280	Syap.g_00365	Pray.g_00399
OG0000281	Syap.g_01977	Pray.g_00404
OG0000282	Syap.g_01252	Pray.g_00454
OG0000283	Syap.g_01728	Pray.g_00488
OG0000284	Syap.g_01736	Pray.g_00493
OG0000285	Syap.g_01746, Syap.g_01744	Pray.g_00498
OG0000286	Syap.g_02014, Syap.g_02013	Pray.g_00510
OG0000288	Syap.g_02764, Syap.g_02763	Pray.g_00557
OG0000289	Syap.g_02784	Pray.g_00568
OG0000290	Syap.g_01552	Pray.g_00581
OG0000291	Syap.g_01554	Pray.g_00583
OG0000292	Syap.g_02314	Pray.g_00632
OG0000293	Syap.g_00240	Pray.g_00073
OG0000294	Syap.g_00239	Pray.g_00072
OG0000295	Syap.g_00206	Pray.g_00051
OG0000296	Syap.g_00204	Pray.g_00049
OG0000297	Syap.g_01887	Pray.g_00041
OG0000298	Syap.g_01888	Pray.g_00040
OG0000299	Syap.g_02620	Pray.g_00023
OG0000302	Syap.g_02444, Syap.g_02445	Pray.g_00017
OG0000303	Syap.g_02435	Pray.g_00010
OG0000304	Syap.g_02430	Pray.g_00006
OG0000305	Syap.g_01557	Pray.g_01837
OG0000306	Syap.g_01966	Pray.g_01834
OG0000307	Syap.g_02517	Pray.g_01820
OG0000308	Syap.g_02514, Syap.g_02515	Pray.g_01819
OG0000309	Syap.g_02198, Syap.g_02446	Pray.g_01815
OG0000310	Syap.g_02660, Syap.g_02661	Pray.g_01737
OG0000311	Syap.g_02657	Pray.g_01735
OG0000312	Syap.g_02114	Pray.g_01732
OG0000313	Syap.g_02473	Pray.g_01718
OG0000314	Syap.g_00007	Pray.g_01695
OG0000315	Syap.g_00017	Pray.g_01685
OG0000316	Syap.g_00030	Pray.g_01665
OG0000317	Syap.g_00618	Pray.g_01561
OG0000318	Syap.g_00622, Syap.g_02786	Pray.g_01558
OG0000319	Syap.g_01764, Syap.g_01771	Pray.g_01545
OG0000320	Syap.g_01761, Syap.g_01769	Pray.g_01543
OG0000321	Syap.g_01760, Syap.g_01768	Pray.g_01542
OG0000322	Syap.g_01759, Syap.g_01767	Pray.g_01541
OG0000323	Syap.g_01389	Pray.g_01532
OG0000324	Syap.g_01503	Pray.g_01506
OG0000325	Syap.g_02680	Pray.g_01235
OG0000326	Syap.g_00544	Pray.g_01241
OG0000327	Syap.g_01233, Syap.g_01913	Pray.g_01265
OG0000328	Syap.g_01234, Syap.g_01912	Pray.g_01266
OG0000329	Syap.g_00498	Pray.g_01283
OG0000330	Syap.g_00497	Pray.g_01284
OG0000331	Syap.g_00496	Pray.g_01285
OG0000332	Syap.g_00481	Pray.g_01299
OG0000333	Syap.g_00478	Pray.g_01301
OG0000334	Syap.g_00468	Pray.g_01309
OG0000335	Syap.g_00101, Syap.g_00463	Pray.g_01314
OG0000336	Syap.g_00417, Syap.g_00607	Pray.g_01318
OG0000337	Syap.g_01054	Pray.g_01335
OG0000338	Syap.g_01059	Pray.g_01336
OG0000339	Syap.g_01068	Pray.g_01340
OG0000340	Syap.g_01077	Pray.g_01348
OG0000341	Syap.g_01079	Pray.g_01350
OG0000342	Syap.g_01080, Syap.g_02477	Pray.g_01351
OG0000343	Syap.g_01086, Syap.g_02078	Pray.g_01352
OG0000344	Syap.g_01091	Pray.g_01355
OG0000345	Syap.g_01107, Syap.g_01470	Pray.g_01360
OG0000346	Syap.g_02423, Syap.g_01113	Pray.g_01365
OG0000347	Syap.g_01131, Syap.g_02459	Pray.g_01381
OG0000348	Syap.g_00632	Pray.g_01391
OG0000349	Syap.g_00110, Syap.g_01813	Pray.g_01408
OG0000351	Syap.g_02594	Pray.g_01444
OG0000352	Syap.g_02596, Syap.g_02597	Pray.g_01445
OG0000353	Syap.g_00054	Pray.g_01460
OG0000355	Syap.g_00056	Pray.g_01462
OG0000356	Syap.g_00057	Pray.g_01463
OG0000357	Syap.g_00058	Pray.g_01464
OG0000358	Syap.g_00063	Pray.g_01469
OG0000359	Syap.g_00065	Pray.g_01470
OG0000360	Syap.g_00067	Pray.g_01471
OG0000361	Syap.g_00068	Pray.g_01472
OG0000362	Syap.g_00070	Pray.g_01474
OG0000363	Syap.g_00072	Pray.g_01476
OG0000364	Syap.g_00620	Pray.g_01477
OG0000365	Syap.g_00081	Pray.g_01482
OG0000366	Syap.g_00082	Pray.g_01483
OG0000367	Syap.g_00083	Pray.g_01484
OG0000368	Syap.g_00085	Pray.g_01486
OG0000369	Syap.g_00086	Pray.g_01487
OG0000370	Syap.g_00087	Pray.g_01488
OG0000372	Syap.g_01805	Pray.g_01497
OG0000373	Syap.g_01806	Pray.g_01498
OG0000374	Syap.g_01807	Pray.g_01499
OG0000375	Syap.g_01808	Pray.g_00243
OG0000376	Syap.g_01811	Pray.g_00241
OG0000377	Syap.g_00128	Pray.g_00238
OG0000378	Syap.g_01326	Pray.g_00236
OG0000380	Syap.g_01687	Pray.g_00223
OG0000381	Syap.g_01690	Pray.g_00219
OG0000382	Syap.g_02548	Pray.g_00208
OG0000383	Syap.g_02359	Pray.g_00206
OG0000384	Syap.g_02360	Pray.g_00205
OG0000385	Syap.g_02361	Pray.g_00204
OG0000386	Syap.g_02362	Pray.g_00203
OG0000387	Syap.g_01864	Pray.g_00190
OG0000391	Syap.g_02234	Pray.g_00173
OG0000392	Syap.g_02225	Pray.g_00169
OG0000393	Syap.g_02222	Pray.g_00167
OG0000394	Syap.g_02221	Pray.g_00166
OG0000395	Syap.g_02220	Pray.g_00165
OG0000396	Syap.g_02217	Pray.g_00162
OG0000397	Syap.g_02215	Pray.g_00160
OG0000398	Syap.g_02211	Pray.g_00158
OG0000399	Syap.g_02210	Pray.g_00157
OG0000400	Syap.g_02209	Pray.g_00156
OG0000401	Syap.g_02208	Pray.g_00155
OG0000402	Syap.g_02206	Pray.g_00153
OG0000403	Syap.g_02205	Pray.g_00152
OG0000404	Syap.g_02204, Syap.g_02618	Pray.g_00151
OG0000405	Syap.g_02191	Pray.g_00147
OG0000406	Syap.g_02186	Pray.g_00142
OG0000407	Syap.g_02185	Pray.g_00141
OG0000408	Syap.g_02181, Syap.g_02182	Pray.g_00139
OG0000409	Syap.g_02179	Pray.g_00137
OG0000410	Syap.g_02178	Pray.g_00136
OG0000411	Syap.g_02177	Pray.g_00635
OG0000412	Syap.g_02176	Pray.g_00636
OG0000413	Syap.g_02174	Pray.g_00637
OG0000414	Syap.g_02173	Pray.g_00638
OG0000415	Syap.g_02172	Pray.g_00639
OG0000416	Syap.g_02171	Pray.g_00640
OG0000417	Syap.g_02169	Pray.g_00641
OG0000418	Syap.g_01204	Pray.g_00646
OG0000419	Syap.g_01201	Pray.g_00648
OG0000420	Syap.g_01199	Pray.g_00649
OG0000421	Syap.g_01195	Pray.g_00654
OG0000422	Syap.g_01194	Pray.g_00655
OG0000423	Syap.g_01193	Pray.g_00656
OG0000424	Syap.g_01192	Pray.g_00657
OG0000425	Syap.g_01191	Pray.g_00658
OG0000426	Syap.g_01190	Pray.g_00659
OG0000427	Syap.g_01189	Pray.g_00660
OG0000428	Syap.g_01186	Pray.g_00662
OG0000429	Syap.g_01184	Pray.g_00663
OG0000430	Syap.g_01182	Pray.g_00664
OG0000431	Syap.g_01179	Pray.g_00666
OG0000432	Syap.g_02277	Pray.g_00669
OG0000433	Syap.g_02272	Pray.g_00670
OG0000434	Syap.g_02271	Pray.g_00671
OG0000435	Syap.g_02268	Pray.g_00672
OG0000436	Syap.g_01607	Pray.g_00677
OG0000437	Syap.g_01608	Pray.g_00678
OG0000438	Syap.g_01612	Pray.g_00679
OG0000439	Syap.g_01614	Pray.g_00681
OG0000440	Syap.g_01615	Pray.g_00682
OG0000441	Syap.g_01619	Pray.g_00685
OG0000442	Syap.g_01620	Pray.g_00686
OG0000443	Syap.g_01622	Pray.g_00687
OG0000444	Syap.g_01424	Pray.g_00692
OG0000445	Syap.g_01421	Pray.g_00693
OG0000446	Syap.g_01419	Pray.g_00694
OG0000447	Syap.g_01410	Pray.g_00695
OG0000448	Syap.g_01407	Pray.g_00696
OG0000449	Syap.g_01406	Pray.g_00697
OG0000450	Syap.g_01909	Pray.g_00698
OG0000451	Syap.g_01908	Pray.g_00699
OG0000452	Syap.g_01904	Pray.g_00702
OG0000453	Syap.g_01903	Pray.g_00703
OG0000454	Syap.g_01902	Pray.g_00704
OG0000455	Syap.g_01901	Pray.g_00705
OG0000456	Syap.g_01900	Pray.g_00706
OG0000457	Syap.g_01896	Pray.g_00707
OG0000458	Syap.g_01895	Pray.g_00708
OG0000459	Syap.g_01894	Pray.g_00709
OG0000460	Syap.g_01159	Pray.g_00716
OG0000461	Syap.g_01575	Pray.g_00723
OG0000462	Syap.g_01578	Pray.g_00725
OG0000463	Syap.g_01579	Pray.g_00726
OG0000464	Syap.g_01580	Pray.g_00727
OG0000465	Syap.g_01582	Pray.g_00728
OG0000466	Syap.g_01587	Pray.g_00731
OG0000467	Syap.g_01588	Pray.g_00732
OG0000468	Syap.g_01593	Pray.g_00734
OG0000469	Syap.g_02352	Pray.g_00742
OG0000470	Syap.g_02349	Pray.g_00744
OG0000471	Syap.g_02348	Pray.g_00745
OG0000472	Syap.g_02347	Pray.g_00746
OG0000473	Syap.g_02343	Pray.g_00748
OG0000474	Syap.g_02342	Pray.g_00749
OG0000475	Syap.g_02341	Pray.g_00750
OG0000476	Syap.g_02339	Pray.g_00751
OG0000477	Syap.g_01367	Pray.g_00754
OG0000478	Syap.g_01366	Pray.g_00755
OG0000479	Syap.g_01364	Pray.g_00756
OG0000480	Syap.g_01357	Pray.g_00761
OG0000482	Syap.g_01355	Pray.g_00764
OG0000483	Syap.g_01344	Pray.g_00767
OG0000484	Syap.g_01350	Pray.g_00768
OG0000485	Syap.g_01349	Pray.g_00769
OG0000487	Syap.g_01635	Pray.g_00773
OG0000488	Syap.g_01639	Pray.g_00776
OG0000489	Syap.g_02482	Pray.g_00781
OG0000490	Syap.g_01673	Pray.g_00786
OG0000491	Syap.g_01670	Pray.g_00787
OG0000492	Syap.g_01668	Pray.g_00789
OG0000493	Syap.g_01667	Pray.g_00790
OG0000494	Syap.g_01666	Pray.g_00791
OG0000495	Syap.g_01665	Pray.g_00792
OG0000496	Syap.g_01663	Pray.g_00793
OG0000497	Syap.g_01662	Pray.g_00794
OG0000498	Syap.g_01661	Pray.g_00795
OG0000499	Syap.g_01660	Pray.g_00796
OG0000500	Syap.g_01659	Pray.g_00797
OG0000501	Syap.g_01656	Pray.g_00799
OG0000502	Syap.g_02066	Pray.g_00802
OG0000503	Syap.g_00569	Pray.g_00812
OG0000504	Syap.g_00567	Pray.g_00813
OG0000505	Syap.g_00566	Pray.g_00814
OG0000506	Syap.g_00564	Pray.g_00816
OG0000507	Syap.g_00558	Pray.g_00819
OG0000508	Syap.g_00554	Pray.g_00823
OG0000509	Syap.g_00551	Pray.g_00825
OG0000510	Syap.g_00550	Pray.g_00826
OG0000511	Syap.g_00548	Pray.g_00827
OG0000512	Syap.g_02145	Pray.g_00829
OG0000513	Syap.g_02048	Pray.g_00836
OG0000514	Syap.g_02051	Pray.g_00921
OG0000515	Syap.g_02052	Pray.g_00922
OG0000516	Syap.g_02054	Pray.g_00923
OG0000517	Syap.g_02057	Pray.g_00925
OG0000519	Syap.g_00457	Pray.g_00937
OG0000520	Syap.g_00456	Pray.g_00938
OG0000521	Syap.g_01997	Pray.g_00943
OG0000522	Syap.g_01995	Pray.g_00945
OG0000523	Syap.g_02507	Pray.g_00946
OG0000524	Syap.g_02135	Pray.g_00951
OG0000525	Syap.g_02159	Pray.g_00954
OG0000526	Syap.g_02157	Pray.g_00955
OG0000527	Syap.g_02758	Pray.g_00963
OG0000528	Syap.g_02261	Pray.g_00968
OG0000529	Syap.g_02254	Pray.g_00971
OG0000530	Syap.g_02252	Pray.g_00974
OG0000531	Syap.g_02251	Pray.g_00975
OG0000532	Syap.g_02247	Pray.g_00977
OG0000533	Syap.g_02244	Pray.g_00978
OG0000534	Syap.g_02243	Pray.g_00979
OG0000535	Syap.g_02242	Pray.g_00980
OG0000536	Syap.g_02241	Pray.g_00981
OG0000537	Syap.g_02240	Pray.g_00982
OG0000538	Syap.g_00271	Pray.g_00991
OG0000539	Syap.g_00270	Pray.g_00992
OG0000540	Syap.g_00269	Pray.g_00993
OG0000541	Syap.g_00268	Pray.g_00994
OG0000542	Syap.g_00264	Pray.g_00996
OG0000543	Syap.g_00261	Pray.g_00998
OG0000544	Syap.g_00260	Pray.g_00999
OG0000545	Syap.g_00259	Pray.g_01001
OG0000546	Syap.g_00256	Pray.g_01004
OG0000547	Syap.g_00254	Pray.g_01006
OG0000548	Syap.g_00253	Pray.g_01007
OG0000549	Syap.g_00758	Pray.g_01009
OG0000550	Syap.g_02747	Pray.g_01014
OG0000551	Syap.g_02739	Pray.g_01018
OG0000552	Syap.g_02738	Pray.g_01019
OG0000553	Syap.g_02735	Pray.g_01020
OG0000554	Syap.g_01450	Pray.g_01227
OG0000555	Syap.g_01941	Pray.g_01219
OG0000556	Syap.g_01933	Pray.g_01217
OG0000557	Syap.g_01931	Pray.g_01216
OG0000558	Syap.g_01147	Pray.g_01214
OG0000560	Syap.g_00305	Pray.g_01207
OG0000561	Syap.g_00304	Pray.g_01206
OG0000562	Syap.g_00302	Pray.g_01205
OG0000563	Syap.g_00301	Pray.g_01204
OG0000564	Syap.g_00300	Pray.g_01203
OG0000565	Syap.g_00296	Pray.g_01200
OG0000566	Syap.g_00291	Pray.g_01198
OG0000567	Syap.g_01297	Pray.g_01194
OG0000568	Syap.g_01302	Pray.g_01193
OG0000569	Syap.g_01303	Pray.g_01192
OG0000570	Syap.g_01304	Pray.g_01191
OG0000571	Syap.g_01307	Pray.g_01189
OG0000573	Syap.g_00765	Pray.g_01171
OG0000574	Syap.g_00759	Pray.g_01170
OG0000575	Syap.g_00445	Pray.g_01166
OG0000576	Syap.g_00450	Pray.g_01164
OG0000577	Syap.g_00451	Pray.g_01163
OG0000578	Syap.g_00452	Pray.g_01162
OG0000579	Syap.g_00453	Pray.g_01161
OG0000580	Syap.g_00454	Pray.g_01160
OG0000581	Syap.g_01521	Pray.g_01158
OG0000582	Syap.g_01533	Pray.g_01155
OG0000583	Syap.g_01532	Pray.g_01154
OG0000584	Syap.g_01530	Pray.g_01153
OG0000585	Syap.g_01526	Pray.g_01151
OG0000586	Syap.g_01525	Pray.g_01150
