Orthogroup	Syap	Prbi
OG0000111	Syap.g_01566, Syap.g_01568	Prbi.g_00703
OG0000112	Syap.g_02023	Prbi.g_00811
OG0000113	Syap.g_02714	Prbi.g_00869
OG0000114	Syap.g_01255	Prbi.g_00951
OG0000115	Syap.g_02004	Prbi.g_01148
OG0000116	Syap.g_00241	Prbi.g_01197
OG0000117	Syap.g_01889	Prbi.g_01330
OG0000118	Syap.g_02286	Prbi.g_01403
OG0000120	Syap.g_02075	Prbi.g_01460
OG0000121	Syap.g_02471	Prbi.g_01593
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prbi.g_01945
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prbi.g_02010
OG0000125	Syap.g_01046, Syap.g_01047	Prbi.g_02059
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Prbi.g_02098
OG0000127	Syap.g_00736	Prbi.g_01300, Prbi.g_01549
OG0000128	Syap.g_00069	Prbi.g_00011
OG0000129	Syap.g_00130, Syap.g_00129	Prbi.g_00053
OG0000130	Syap.g_01688, Syap.g_01689	Prbi.g_00076
OG0000131	Syap.g_02189	Prbi.g_00169
OG0000132	Syap.g_01205	Prbi.g_00188
OG0000133	Syap.g_02017	Prbi.g_00346
OG0000134	Syap.g_02047	Prbi.g_00381
OG0000135	Syap.g_02090	Prbi.g_00407
OG0000136	Syap.g_00089	Prbi.g_00442
OG0000137	Syap.g_02756	Prbi.g_00478
OG0000138	Syap.g_00278	Prbi.g_00498
OG0000139	Syap.g_00410	Prbi.g_00540
OG0000140	Syap.g_01976	Prbi.g_00541
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prbi.g_00609
OG0000142	Syap.g_00895, Syap.g_00894	Prbi.g_00638
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prbi.g_00642
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prbi.g_00655
OG0000145	Syap.g_01860, Syap.g_01859	Prbi.g_00807
OG0000146	Syap.g_02024	Prbi.g_00812
OG0000147	Syap.g_02025	Prbi.g_00813
OG0000148	Syap.g_02720	Prbi.g_00863
OG0000149	Syap.g_00824	Prbi.g_00894
OG0000150	Syap.g_01540	Prbi.g_00902
OG0000151	Syap.g_00142	Prbi.g_00961
OG0000152	Syap.g_02012	Prbi.g_01009
OG0000153	Syap.g_02682	Prbi.g_01028
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prbi.g_01060
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prbi.g_01227
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prbi.g_01380
OG0000157	Syap.g_00249, Syap.g_00286	Prbi.g_01381
OG0000158	Syap.g_01075	Prbi.g_01489
OG0000159	Syap.g_00700	Prbi.g_01490
OG0000160	Syap.g_02470, Syap.g_02469	Prbi.g_01592
OG0000161	Syap.g_02476	Prbi.g_01598
OG0000162	Syap.g_02531	Prbi.g_01604
OG0000164	Syap.g_01391, Syap.g_01392	Prbi.g_01811
OG0000165	Syap.g_01381, Syap.g_01382	Prbi.g_01818
OG0000166	Syap.g_00512, Syap.g_01238	Prbi.g_01902
OG0000167	Syap.g_02080	Prbi.g_01968
OG0000168	Syap.g_01076	Prbi.g_01978
OG0000169	Syap.g_01049, Syap.g_01093	Prbi.g_01988
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prbi.g_01990
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prbi.g_02009
OG0000172	Syap.g_01143, Syap.g_00635	Prbi.g_02030
OG0000173	Syap.g_01213, Syap.g_00982, Syap.g_00983	Prbi.g_02045
OG0000174	Syap.g_02092	Prbi.g_02073
OG0000175	Syap.g_02654	Prbi.g_02083
OG0000176	Syap.g_00059	Prbi.g_00004
OG0000177	Syap.g_00061, Syap.g_00060	Prbi.g_00005
OG0000178	Syap.g_00062	Prbi.g_00006
OG0000179	Syap.g_00077, Syap.g_02638	Prbi.g_00016
OG0000180	Syap.g_00078, Syap.g_02640	Prbi.g_00017
OG0000181	Syap.g_00079, Syap.g_02641	Prbi.g_00018
OG0000182	Syap.g_00080, Syap.g_02642	Prbi.g_00019
OG0000183	Syap.g_00084	Prbi.g_00023
OG0000184	Syap.g_01337	Prbi.g_00057
OG0000185	Syap.g_01322	Prbi.g_00060
OG0000186	Syap.g_01684	Prbi.g_00071
OG0000187	Syap.g_01686	Prbi.g_00072
OG0000188	Syap.g_02547	Prbi.g_00089
OG0000191	Syap.g_02233	Prbi.g_00125
OG0000192	Syap.g_02224	Prbi.g_00129
OG0000193	Syap.g_02187, Syap.g_02188	Prbi.g_00170
OG0000194	Syap.g_02183	Prbi.g_00173
OG0000195	Syap.g_02180	Prbi.g_00175
OG0000196	Syap.g_01208, Syap.g_02167	Prbi.g_00185
OG0000197	Syap.g_01207, Syap.g_02166	Prbi.g_00186
OG0000198	Syap.g_01206	Prbi.g_00187
OG0000199	Syap.g_01197	Prbi.g_00194
OG0000200	Syap.g_01181	Prbi.g_00208
OG0000201	Syap.g_02265	Prbi.g_00216
OG0000202	Syap.g_02264	Prbi.g_00217
OG0000203	Syap.g_01601	Prbi.g_00218
OG0000204	Syap.g_01602	Prbi.g_00219
OG0000205	Syap.g_01616	Prbi.g_00226
OG0000206	Syap.g_01628	Prbi.g_00231
OG0000207	Syap.g_01426, Syap.g_00424	Prbi.g_00233
OG0000208	Syap.g_00426, Syap.g_01425	Prbi.g_00234
OG0000209	Syap.g_01906	Prbi.g_00243
OG0000210	Syap.g_01905	Prbi.g_00244
OG0000211	Syap.g_01160	Prbi.g_00257
OG0000212	Syap.g_02664	Prbi.g_00264
OG0000213	Syap.g_00107, Syap.g_01599	Prbi.g_00281
OG0000214	Syap.g_02344, Syap.g_02345	Prbi.g_00291
OG0000215	Syap.g_01347, Syap.g_01629	Prbi.g_00316
OG0000216	Syap.g_01634	Prbi.g_00318
OG0000217	Syap.g_01638	Prbi.g_00321
OG0000218	Syap.g_01641, Syap.g_01640	Prbi.g_00323
OG0000219	Syap.g_01642, Syap.g_01643	Prbi.g_00324
OG0000220	Syap.g_01645	Prbi.g_00325
OG0000221	Syap.g_01646	Prbi.g_00326
OG0000222	Syap.g_01669	Prbi.g_00334
OG0000223	Syap.g_02072, Syap.g_02073	Prbi.g_00347
OG0000224	Syap.g_02064	Prbi.g_00349
OG0000225	Syap.g_00553, Syap.g_00552	Prbi.g_00370
OG0000226	Syap.g_02029, Syap.g_02144	Prbi.g_00374
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prbi.g_00376
OG0000228	Syap.g_00116, Syap.g_02041	Prbi.g_00379
OG0000229	Syap.g_02059	Prbi.g_00437
OG0000230	Syap.g_02061	Prbi.g_00439
OG0000231	Syap.g_02533	Prbi.g_00450
OG0000232	Syap.g_02510, Syap.g_02511	Prbi.g_00459
OG0000233	Syap.g_02133	Prbi.g_00465
OG0000234	Syap.g_02755	Prbi.g_00479
OG0000235	Syap.g_00732, Syap.g_02258	Prbi.g_00482
OG0000236	Syap.g_02238	Prbi.g_00496
OG0000237	Syap.g_00262, Syap.g_00263	Prbi.g_00509
OG0000238	Syap.g_00257, Syap.g_00258	Prbi.g_00515
OG0000239	Syap.g_02744	Prbi.g_00528
OG0000240	Syap.g_02742	Prbi.g_00529
OG0000241	Syap.g_00888	Prbi.g_00533
OG0000242	Syap.g_01455	Prbi.g_00535
OG0000243	Syap.g_01938	Prbi.g_00546
OG0000244	Syap.g_01146, Syap.g_01145	Prbi.g_00549
OG0000245	Syap.g_01148	Prbi.g_00551
OG0000246	Syap.g_00308	Prbi.g_00555
OG0000247	Syap.g_00288, Syap.g_00293	Prbi.g_00565
OG0000248	Syap.g_00290	Prbi.g_00567
OG0000249	Syap.g_01296, Syap.g_01295	Prbi.g_00569
OG0000250	Syap.g_01306	Prbi.g_00574
OG0000251	Syap.g_00442	Prbi.g_00593
OG0000252	Syap.g_01857	Prbi.g_00596
OG0000253	Syap.g_00443	Prbi.g_00597
OG0000254	Syap.g_01527, Syap.g_01528	Prbi.g_00613
OG0000256	Syap.g_01287	Prbi.g_00629
OG0000257	Syap.g_00886	Prbi.g_00632
OG0000258	Syap.g_00907	Prbi.g_00646
OG0000260	Syap.g_01970	Prbi.g_00666
OG0000261	Syap.g_01962, Syap.g_01961	Prbi.g_00668
OG0000262	Syap.g_01954	Prbi.g_00672
OG0000263	Syap.g_00432, Syap.g_00433	Prbi.g_00684
OG0000266	Syap.g_00519	Prbi.g_00755
OG0000267	Syap.g_02333, Syap.g_02332	Prbi.g_00766
OG0000268	Syap.g_00646	Prbi.g_00767
OG0000269	Syap.g_00188	Prbi.g_00842
OG0000270	Syap.g_00192	Prbi.g_00845
OG0000271	Syap.g_00200, Syap.g_00201	Prbi.g_00853
OG0000272	Syap.g_00202	Prbi.g_00854
OG0000273	Syap.g_02703	Prbi.g_00877
OG0000274	Syap.g_02702	Prbi.g_00878
OG0000275	Syap.g_01847	Prbi.g_00881
OG0000276	Syap.g_01839, Syap.g_01838	Prbi.g_00886
OG0000277	Syap.g_01837	Prbi.g_00887
OG0000278	Syap.g_01834	Prbi.g_00890
OG0000279	Syap.g_00829, Syap.g_00830	Prbi.g_00897
OG0000280	Syap.g_00365	Prbi.g_00898
OG0000281	Syap.g_01977	Prbi.g_00903
OG0000282	Syap.g_01252	Prbi.g_00953
OG0000283	Syap.g_01728	Prbi.g_00986
OG0000284	Syap.g_01736	Prbi.g_00991
OG0000285	Syap.g_01746, Syap.g_01744	Prbi.g_00996
OG0000286	Syap.g_02014, Syap.g_02013	Prbi.g_01008
OG0000288	Syap.g_02764, Syap.g_02763	Prbi.g_01059
OG0000289	Syap.g_02784	Prbi.g_01070
OG0000290	Syap.g_01552	Prbi.g_01083
OG0000291	Syap.g_01554	Prbi.g_01085
OG0000292	Syap.g_02314	Prbi.g_01136
OG0000293	Syap.g_00240	Prbi.g_01198
OG0000294	Syap.g_00239	Prbi.g_01199
OG0000295	Syap.g_00206	Prbi.g_01219
OG0000296	Syap.g_00204	Prbi.g_01221
OG0000297	Syap.g_01887	Prbi.g_01229
OG0000298	Syap.g_01888	Prbi.g_01230
OG0000299	Syap.g_02620	Prbi.g_01247
OG0000302	Syap.g_02444, Syap.g_02445	Prbi.g_01253
OG0000303	Syap.g_02435	Prbi.g_01260
OG0000304	Syap.g_02430	Prbi.g_01264
OG0000305	Syap.g_01557	Prbi.g_01431
OG0000306	Syap.g_01966	Prbi.g_01434
OG0000307	Syap.g_02517	Prbi.g_01448
OG0000308	Syap.g_02514, Syap.g_02515	Prbi.g_01449
OG0000309	Syap.g_02198, Syap.g_02446	Prbi.g_01453
OG0000310	Syap.g_02660, Syap.g_02661	Prbi.g_01574
OG0000311	Syap.g_02657	Prbi.g_01576
OG0000312	Syap.g_02114	Prbi.g_01579
OG0000313	Syap.g_02473	Prbi.g_01595
OG0000314	Syap.g_00007	Prbi.g_01617
OG0000315	Syap.g_00017	Prbi.g_01627
OG0000316	Syap.g_00030	Prbi.g_01647
OG0000317	Syap.g_00618	Prbi.g_01785
OG0000318	Syap.g_00622, Syap.g_02786	Prbi.g_01788
OG0000319	Syap.g_01764, Syap.g_01771	Prbi.g_01801
OG0000320	Syap.g_01761, Syap.g_01769	Prbi.g_01803
OG0000321	Syap.g_01760, Syap.g_01768	Prbi.g_01804
OG0000322	Syap.g_01759, Syap.g_01767	Prbi.g_01805
OG0000323	Syap.g_01389	Prbi.g_01814
OG0000324	Syap.g_01503	Prbi.g_01840
OG0000325	Syap.g_02680	Prbi.g_01849
OG0000326	Syap.g_00544	Prbi.g_01855
OG0000327	Syap.g_01233, Syap.g_01913	Prbi.g_01897
OG0000328	Syap.g_01234, Syap.g_01912	Prbi.g_01898
OG0000329	Syap.g_00498	Prbi.g_01915
OG0000330	Syap.g_00497	Prbi.g_01916
OG0000331	Syap.g_00496	Prbi.g_01917
OG0000332	Syap.g_00481	Prbi.g_01931
OG0000333	Syap.g_00478	Prbi.g_01933
OG0000334	Syap.g_00468	Prbi.g_01941
OG0000335	Syap.g_00101, Syap.g_00463	Prbi.g_01946
OG0000336	Syap.g_00417, Syap.g_00607	Prbi.g_01950
OG0000337	Syap.g_01054	Prbi.g_01966
OG0000338	Syap.g_01059	Prbi.g_01967
OG0000339	Syap.g_01068	Prbi.g_01971
OG0000340	Syap.g_01077	Prbi.g_01979
OG0000341	Syap.g_01079	Prbi.g_01981
OG0000342	Syap.g_01080, Syap.g_02477	Prbi.g_01982
OG0000343	Syap.g_01086, Syap.g_02078	Prbi.g_01983
OG0000344	Syap.g_01091	Prbi.g_01986
OG0000345	Syap.g_01107, Syap.g_01470	Prbi.g_01991
OG0000346	Syap.g_02423, Syap.g_01113	Prbi.g_01995
OG0000347	Syap.g_01131, Syap.g_02459	Prbi.g_02011
OG0000348	Syap.g_00632	Prbi.g_02033
OG0000349	Syap.g_00110, Syap.g_01813	Prbi.g_02050
OG0000351	Syap.g_02594	Prbi.g_02086
OG0000352	Syap.g_02596, Syap.g_02597	Prbi.g_02087
OG0000353	Syap.g_00054	Prbi.g_02102
OG0000355	Syap.g_00056	Prbi.g_00001
OG0000356	Syap.g_00057	Prbi.g_00002
OG0000357	Syap.g_00058	Prbi.g_00003
OG0000358	Syap.g_00063	Prbi.g_00007
OG0000359	Syap.g_00065	Prbi.g_00008
OG0000360	Syap.g_00067	Prbi.g_00009
OG0000361	Syap.g_00068	Prbi.g_00010
OG0000362	Syap.g_00070	Prbi.g_00012
OG0000363	Syap.g_00072	Prbi.g_00014
OG0000364	Syap.g_00620	Prbi.g_00015
OG0000365	Syap.g_00081	Prbi.g_00020
OG0000366	Syap.g_00082	Prbi.g_00021
OG0000367	Syap.g_00083	Prbi.g_00022
OG0000368	Syap.g_00085	Prbi.g_00024
OG0000369	Syap.g_00086	Prbi.g_00025
OG0000370	Syap.g_00087	Prbi.g_00026
OG0000372	Syap.g_01805	Prbi.g_00035
OG0000373	Syap.g_01806	Prbi.g_00036
OG0000374	Syap.g_01807	Prbi.g_00037
OG0000375	Syap.g_01808	Prbi.g_00049
OG0000376	Syap.g_01811	Prbi.g_00051
OG0000377	Syap.g_00128	Prbi.g_00056
OG0000378	Syap.g_01326	Prbi.g_00058
OG0000380	Syap.g_01687	Prbi.g_00073
OG0000381	Syap.g_01690	Prbi.g_00077
OG0000382	Syap.g_02548	Prbi.g_00088
OG0000383	Syap.g_02359	Prbi.g_00090
OG0000384	Syap.g_02360	Prbi.g_00091
OG0000385	Syap.g_02361	Prbi.g_00092
OG0000386	Syap.g_02362	Prbi.g_00093
OG0000387	Syap.g_01864	Prbi.g_00106
OG0000391	Syap.g_02234	Prbi.g_00124
OG0000392	Syap.g_02225	Prbi.g_00128
OG0000393	Syap.g_02222	Prbi.g_00130
OG0000394	Syap.g_02221	Prbi.g_00131
OG0000395	Syap.g_02220	Prbi.g_00132
OG0000396	Syap.g_02217	Prbi.g_00135
OG0000397	Syap.g_02215	Prbi.g_00137
OG0000398	Syap.g_02211	Prbi.g_00139
OG0000399	Syap.g_02210	Prbi.g_00140
OG0000400	Syap.g_02209	Prbi.g_00141
OG0000401	Syap.g_02208	Prbi.g_00142
OG0000402	Syap.g_02206	Prbi.g_00144
OG0000403	Syap.g_02205	Prbi.g_00145
OG0000404	Syap.g_02204, Syap.g_02618	Prbi.g_00146
OG0000405	Syap.g_02191	Prbi.g_00150
OG0000406	Syap.g_02186	Prbi.g_00171
OG0000407	Syap.g_02185	Prbi.g_00172
OG0000408	Syap.g_02181, Syap.g_02182	Prbi.g_00174
OG0000409	Syap.g_02179	Prbi.g_00176
OG0000410	Syap.g_02178	Prbi.g_00177
OG0000411	Syap.g_02177	Prbi.g_00178
OG0000412	Syap.g_02176	Prbi.g_00179
OG0000413	Syap.g_02174	Prbi.g_00180
OG0000414	Syap.g_02173	Prbi.g_00181
OG0000415	Syap.g_02172	Prbi.g_00182
OG0000416	Syap.g_02171	Prbi.g_00183
OG0000417	Syap.g_02169	Prbi.g_00184
OG0000418	Syap.g_01204	Prbi.g_00189
OG0000419	Syap.g_01201	Prbi.g_00191
OG0000420	Syap.g_01199	Prbi.g_00192
OG0000421	Syap.g_01195	Prbi.g_00197
OG0000422	Syap.g_01194	Prbi.g_00198
OG0000423	Syap.g_01193	Prbi.g_00199
OG0000424	Syap.g_01192	Prbi.g_00200
OG0000425	Syap.g_01191	Prbi.g_00201
OG0000426	Syap.g_01190	Prbi.g_00202
OG0000427	Syap.g_01189	Prbi.g_00203
OG0000428	Syap.g_01186	Prbi.g_00205
OG0000429	Syap.g_01184	Prbi.g_00206
OG0000430	Syap.g_01182	Prbi.g_00207
OG0000431	Syap.g_01179	Prbi.g_00209
OG0000432	Syap.g_02277	Prbi.g_00212
OG0000433	Syap.g_02272	Prbi.g_00213
OG0000434	Syap.g_02271	Prbi.g_00214
OG0000435	Syap.g_02268	Prbi.g_00215
OG0000436	Syap.g_01607	Prbi.g_00220
OG0000437	Syap.g_01608	Prbi.g_00221
OG0000438	Syap.g_01612	Prbi.g_00222
OG0000439	Syap.g_01614	Prbi.g_00224
OG0000440	Syap.g_01615	Prbi.g_00225
OG0000441	Syap.g_01619	Prbi.g_00228
OG0000442	Syap.g_01620	Prbi.g_00229
OG0000443	Syap.g_01622	Prbi.g_00230
OG0000444	Syap.g_01424	Prbi.g_00235
OG0000445	Syap.g_01421	Prbi.g_00236
OG0000446	Syap.g_01419	Prbi.g_00237
OG0000447	Syap.g_01410	Prbi.g_00238
OG0000448	Syap.g_01407	Prbi.g_00239
OG0000449	Syap.g_01406	Prbi.g_00240
OG0000450	Syap.g_01909	Prbi.g_00241
OG0000451	Syap.g_01908	Prbi.g_00242
OG0000452	Syap.g_01904	Prbi.g_00245
OG0000453	Syap.g_01903	Prbi.g_00246
OG0000454	Syap.g_01902	Prbi.g_00247
OG0000455	Syap.g_01901	Prbi.g_00248
OG0000456	Syap.g_01900	Prbi.g_00249
OG0000457	Syap.g_01896	Prbi.g_00250
OG0000458	Syap.g_01895	Prbi.g_00251
OG0000459	Syap.g_01894	Prbi.g_00252
OG0000460	Syap.g_01159	Prbi.g_00259
OG0000461	Syap.g_01575	Prbi.g_00266
OG0000462	Syap.g_01578	Prbi.g_00268
OG0000463	Syap.g_01579	Prbi.g_00269
OG0000464	Syap.g_01580	Prbi.g_00270
OG0000465	Syap.g_01582	Prbi.g_00271
OG0000466	Syap.g_01587	Prbi.g_00274
OG0000467	Syap.g_01588	Prbi.g_00275
OG0000468	Syap.g_01593	Prbi.g_00277
OG0000469	Syap.g_02352	Prbi.g_00286
OG0000470	Syap.g_02349	Prbi.g_00288
OG0000471	Syap.g_02348	Prbi.g_00289
OG0000472	Syap.g_02347	Prbi.g_00290
OG0000473	Syap.g_02343	Prbi.g_00292
OG0000474	Syap.g_02342	Prbi.g_00293
OG0000475	Syap.g_02341	Prbi.g_00294
OG0000476	Syap.g_02339	Prbi.g_00295
OG0000477	Syap.g_01367	Prbi.g_00299
OG0000478	Syap.g_01366	Prbi.g_00300
OG0000479	Syap.g_01364	Prbi.g_00301
OG0000480	Syap.g_01357	Prbi.g_00306
OG0000482	Syap.g_01355	Prbi.g_00309
OG0000483	Syap.g_01344	Prbi.g_00312
OG0000484	Syap.g_01350	Prbi.g_00313
OG0000485	Syap.g_01349	Prbi.g_00314
OG0000487	Syap.g_01635	Prbi.g_00319
OG0000488	Syap.g_01639	Prbi.g_00322
OG0000489	Syap.g_02482	Prbi.g_00327
OG0000490	Syap.g_01673	Prbi.g_00332
OG0000491	Syap.g_01670	Prbi.g_00333
OG0000492	Syap.g_01668	Prbi.g_00335
OG0000493	Syap.g_01667	Prbi.g_00336
OG0000494	Syap.g_01666	Prbi.g_00337
OG0000495	Syap.g_01665	Prbi.g_00338
OG0000496	Syap.g_01663	Prbi.g_00339
OG0000497	Syap.g_01662	Prbi.g_00340
OG0000498	Syap.g_01661	Prbi.g_00341
OG0000499	Syap.g_01660	Prbi.g_00342
OG0000500	Syap.g_01659	Prbi.g_00343
OG0000501	Syap.g_01656	Prbi.g_00345
OG0000502	Syap.g_02066	Prbi.g_00348
OG0000503	Syap.g_00569	Prbi.g_00358
OG0000504	Syap.g_00567	Prbi.g_00359
OG0000505	Syap.g_00566	Prbi.g_00360
OG0000506	Syap.g_00564	Prbi.g_00362
OG0000507	Syap.g_00558	Prbi.g_00365
OG0000508	Syap.g_00554	Prbi.g_00369
OG0000509	Syap.g_00551	Prbi.g_00371
OG0000510	Syap.g_00550	Prbi.g_00372
OG0000511	Syap.g_00548	Prbi.g_00373
OG0000512	Syap.g_02145	Prbi.g_00375
OG0000513	Syap.g_02048	Prbi.g_00382
OG0000514	Syap.g_02051	Prbi.g_00432
OG0000515	Syap.g_02052	Prbi.g_00433
OG0000516	Syap.g_02054	Prbi.g_00434
OG0000517	Syap.g_02057	Prbi.g_00436
OG0000519	Syap.g_00457	Prbi.g_00448
OG0000520	Syap.g_00456	Prbi.g_00449
OG0000521	Syap.g_01997	Prbi.g_00454
OG0000522	Syap.g_01995	Prbi.g_00456
OG0000523	Syap.g_02507	Prbi.g_00457
OG0000524	Syap.g_02135	Prbi.g_00463
OG0000525	Syap.g_02159	Prbi.g_00466
OG0000526	Syap.g_02157	Prbi.g_00467
OG0000527	Syap.g_02758	Prbi.g_00476
OG0000528	Syap.g_02261	Prbi.g_00481
OG0000529	Syap.g_02254	Prbi.g_00484
OG0000530	Syap.g_02252	Prbi.g_00487
OG0000531	Syap.g_02251	Prbi.g_00488
OG0000532	Syap.g_02247	Prbi.g_00490
OG0000533	Syap.g_02244	Prbi.g_00491
OG0000534	Syap.g_02243	Prbi.g_00492
OG0000535	Syap.g_02242	Prbi.g_00493
OG0000536	Syap.g_02241	Prbi.g_00494
OG0000537	Syap.g_02240	Prbi.g_00495
OG0000538	Syap.g_00271	Prbi.g_00503
OG0000539	Syap.g_00270	Prbi.g_00504
OG0000540	Syap.g_00269	Prbi.g_00505
OG0000541	Syap.g_00268	Prbi.g_00506
OG0000542	Syap.g_00264	Prbi.g_00508
OG0000543	Syap.g_00261	Prbi.g_00510
OG0000544	Syap.g_00260	Prbi.g_00511
OG0000545	Syap.g_00259	Prbi.g_00513
OG0000546	Syap.g_00256	Prbi.g_00516
OG0000547	Syap.g_00254	Prbi.g_00518
OG0000548	Syap.g_00253	Prbi.g_00519
OG0000549	Syap.g_00758	Prbi.g_00521
OG0000550	Syap.g_02747	Prbi.g_00526
OG0000551	Syap.g_02739	Prbi.g_00530
OG0000552	Syap.g_02738	Prbi.g_00531
OG0000553	Syap.g_02735	Prbi.g_00532
OG0000554	Syap.g_01450	Prbi.g_00537
OG0000555	Syap.g_01941	Prbi.g_00545
OG0000556	Syap.g_01933	Prbi.g_00547
OG0000557	Syap.g_01931	Prbi.g_00548
