Orthogroup	Syap	Syas
OG0000102	Syap.g_01116	Syas.g_02152
OG0000103	Syap.g_02607	Syas.g_02009
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320	Syas.g_02027
OG0000104	Syap.g_02318	Syas.g_02026
OG0000105	Syap.g_01369, Syap.g_01368	Syas.g_01739
OG0000107	Syap.g_02496	Syas.g_01669
OG0000108	Syap.g_00733, Syap.g_02255	Syas.g_01253
OG0000109	Syap.g_00279, Syap.g_02237	Syas.g_01236
OG0000110	Syap.g_01313	Syas.g_00818
OG0000111	Syap.g_01566, Syap.g_01568	Syas.g_01037
OG0000112	Syap.g_02023	Syas.g_00452
OG0000113	Syap.g_02714	Syas.g_00571
OG0000114	Syap.g_01255	Syas.g_00674
OG0000115	Syap.g_02004	Syas.g_01285
OG0000116	Syap.g_00241	Syas.g_01198
OG0000117	Syap.g_01889	Syas.g_01122
OG0000118	Syap.g_02286	Syas.g_02835
OG0000120	Syap.g_02075	Syas.g_01828
OG0000121	Syap.g_02471	Syas.g_02821
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syas.g_01582
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syas.g_02137
OG0000125	Syap.g_01046, Syap.g_01047	Syas.g_01889
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Syas.g_01992
OG0000127	Syap.g_00737, Syap.g_00735	Syas.g_02540
OG0000128	Syap.g_00069	Syas.g_02046
OG0000129	Syap.g_00129	Syas.g_01880
OG0000130	Syap.g_01688, Syap.g_01689	Syas.g_02522
OG0000131	Syap.g_02189	Syas.g_02367
OG0000132	Syap.g_01205	Syas.g_02334
OG0000133	Syap.g_02017	Syas.g_00457
OG0000134	Syap.g_02047	Syas.g_01509
OG0000135	Syap.g_02090	Syas.g_01938
OG0000136	Syap.g_00089	Syas.g_02740
OG0000137	Syap.g_02756	Syas.g_01333
OG0000138	Syap.g_00278	Syas.g_01235
OG0000139	Syap.g_00410	Syas.g_00069
OG0000140	Syap.g_01976	Syas.g_00090
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syas.g_00875
OG0000142	Syap.g_00895, Syap.g_00894	Syas.g_00746
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syas.g_00742
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syas.g_00718
OG0000145	Syap.g_01860	Syas.g_00948
OG0000146	Syap.g_02024	Syas.g_00451
OG0000147	Syap.g_02025	Syas.g_00450
OG0000148	Syap.g_02720	Syas.g_00577
OG0000149	Syap.g_00824	Syas.g_00282
OG0000150	Syap.g_01540	Syas.g_00874
OG0000151	Syap.g_00142	Syas.g_00148, Syas.g_00659
OG0000152	Syap.g_02012	Syas.g_00461
OG0000153	Syap.g_02682	Syas.g_00543
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Syas.g_00219
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Syas.g_01131
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Syas.g_01206
OG0000157	Syap.g_00249, Syap.g_00286	Syas.g_01207
OG0000158	Syap.g_01075	Syas.g_02185
OG0000159	Syap.g_00852	Syas.g_01155
OG0000160	Syap.g_02470, Syap.g_02469	Syas.g_02820
OG0000161	Syap.g_02476	Syas.g_02826
OG0000162	Syap.g_02531	Syas.g_02751
OG0000164	Syap.g_01391, Syap.g_01392	Syas.g_02648
OG0000165	Syap.g_01381, Syap.g_01382	Syas.g_02609
OG0000166	Syap.g_00512, Syap.g_01238	Syas.g_01629
OG0000167	Syap.g_02080	Syas.g_01449
OG0000168	Syap.g_01076	Syas.g_02184
OG0000169	Syap.g_01049, Syap.g_01093	Syas.g_02170
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Syas.g_02161
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Syas.g_02139
OG0000172	Syap.g_01143, Syap.g_00635	Syas.g_02110
OG0000173	Syap.g_00982, Syap.g_00983	Syas.g_02092
OG0000174	Syap.g_02092	Syas.g_01940
OG0000175	Syap.g_02654	Syas.g_01994
OG0000176	Syap.g_00059	Syas.g_02038
OG0000177	Syap.g_00061, Syap.g_00060	Syas.g_02039
OG0000178	Syap.g_00062	Syas.g_02040
OG0000179	Syap.g_00077, Syap.g_02638	Syas.g_02054
OG0000180	Syap.g_00078, Syap.g_02640	Syas.g_02055
OG0000181	Syap.g_00079, Syap.g_02641	Syas.g_02056
OG0000182	Syap.g_00080, Syap.g_02642	Syas.g_02057
OG0000183	Syap.g_00084	Syas.g_02061
OG0000184	Syap.g_01337	Syas.g_01872
OG0000185	Syap.g_01322	Syas.g_01861
OG0000186	Syap.g_01684	Syas.g_02525
OG0000187	Syap.g_01686	Syas.g_02524
OG0000188	Syap.g_02547	Syas.g_02502
OG0000191	Syap.g_02233	Syas.g_02400
OG0000192	Syap.g_02224	Syas.g_02395
OG0000193	Syap.g_02187	Syas.g_02366
OG0000194	Syap.g_02183	Syas.g_02363
OG0000195	Syap.g_02180	Syas.g_02360
OG0000196	Syap.g_01208, Syap.g_02167	Syas.g_02337
OG0000197	Syap.g_01207, Syap.g_02166	Syas.g_02336
OG0000198	Syap.g_01206	Syas.g_02335
OG0000199	Syap.g_01197	Syas.g_02327
OG0000200	Syap.g_01181	Syas.g_02298
OG0000201	Syap.g_02265	Syas.g_02279
OG0000202	Syap.g_02264	Syas.g_02278
OG0000203	Syap.g_01601	Syas.g_02277
OG0000204	Syap.g_01602	Syas.g_02276
OG0000205	Syap.g_01616	Syas.g_02267
OG0000206	Syap.g_01628	Syas.g_02240
OG0000207	Syap.g_01426, Syap.g_00424	Syas.g_02237
OG0000208	Syap.g_00426, Syap.g_01425	Syas.g_02236
OG0000209	Syap.g_01906	Syas.g_01837
OG0000210	Syap.g_01905	Syas.g_01838
OG0000211	Syap.g_01160	Syas.g_02552
OG0000212	Syap.g_02664	Syas.g_02562
OG0000213	Syap.g_00107, Syap.g_01599	Syas.g_01707
OG0000214	Syap.g_02344, Syap.g_02345	Syas.g_01730
OG0000215	Syap.g_01347, Syap.g_01629	Syas.g_01766
OG0000216	Syap.g_01634	Syas.g_01770
OG0000217	Syap.g_01638	Syas.g_01778
OG0000218	Syap.g_01641, Syap.g_01640	Syas.g_01780
OG0000219	Syap.g_01642, Syap.g_01643	Syas.g_01783
OG0000220	Syap.g_01645	Syas.g_01784
OG0000221	Syap.g_01646	Syas.g_01785
OG0000222	Syap.g_01669	Syas.g_01804
OG0000223	Syap.g_02072, Syap.g_02073	Syas.g_02221
OG0000224	Syap.g_02064	Syas.g_02215
OG0000225	Syap.g_00553, Syap.g_00552	Syas.g_01522
OG0000226	Syap.g_02029, Syap.g_02144	Syas.g_01518
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Syas.g_01516
OG0000228	Syap.g_00116, Syap.g_02041	Syas.g_01513
OG0000229	Syap.g_02059	Syas.g_01497
OG0000230	Syap.g_02061	Syas.g_01495
OG0000231	Syap.g_02533	Syas.g_02749
OG0000232	Syap.g_02510, Syap.g_02511	Syas.g_01276
OG0000233	Syap.g_02133	Syas.g_01352
OG0000234	Syap.g_02755	Syas.g_01331
OG0000235	Syap.g_00732, Syap.g_02258	Syas.g_01254
OG0000236	Syap.g_02238	Syas.g_01237
OG0000237	Syap.g_00262, Syap.g_00263	Syas.g_01220
OG0000238	Syap.g_00257, Syap.g_00258	Syas.g_01215
OG0000239	Syap.g_02744	Syas.g_00012
OG0000240	Syap.g_02742	Syas.g_00013
OG0000241	Syap.g_00888	Syas.g_00754
OG0000242	Syap.g_01455	Syas.g_00059
OG0000243	Syap.g_01938	Syas.g_00777
OG0000244	Syap.g_01146, Syap.g_01145	Syas.g_00784
OG0000245	Syap.g_01148	Syas.g_00786
OG0000246	Syap.g_00308	Syas.g_00790
OG0000247	Syap.g_00288, Syap.g_00293	Syas.g_00802
OG0000248	Syap.g_00290	Syas.g_00805
OG0000249	Syap.g_01296, Syap.g_01295	Syas.g_00807
OG0000250	Syap.g_01306	Syas.g_00814
OG0000251	Syap.g_00442	Syas.g_00845
OG0000252	Syap.g_01857	Syas.g_00950
OG0000253	Syap.g_00443	Syas.g_00846
OG0000254	Syap.g_01527, Syap.g_01528	Syas.g_00869
OG0000256	Syap.g_01287	Syas.g_00104
OG0000257	Syap.g_00886	Syas.g_00757
OG0000258	Syap.g_00907	Syas.g_00733
OG0000260	Syap.g_01970	Syas.g_00705
OG0000261	Syap.g_01962, Syap.g_01961	Syas.g_00701
OG0000262	Syap.g_01954	Syas.g_00695
OG0000263	Syap.g_00432, Syap.g_00433	Syas.g_01103
OG0000266	Syap.g_00519	Syas.g_00186
OG0000267	Syap.g_02332	Syas.g_00377
OG0000268	Syap.g_00646	Syas.g_00390
OG0000269	Syap.g_00188	Syas.g_00601
OG0000270	Syap.g_00192	Syas.g_00598
OG0000271	Syap.g_00200	Syas.g_00590
OG0000272	Syap.g_00202	Syas.g_00589
OG0000273	Syap.g_02703	Syas.g_00563
OG0000274	Syap.g_02702	Syas.g_00562
OG0000275	Syap.g_01847	Syas.g_00230
OG0000276	Syap.g_01838	Syas.g_00237
OG0000277	Syap.g_01837	Syas.g_00238
OG0000278	Syap.g_01834	Syas.g_00241
OG0000279	Syap.g_00829, Syap.g_00830	Syas.g_00288
OG0000280	Syap.g_00365	Syas.g_00889
OG0000281	Syap.g_01977	Syas.g_00970
OG0000282	Syap.g_01252	Syas.g_00672
OG0000283	Syap.g_01728	Syas.g_00409
OG0000284	Syap.g_01736	Syas.g_00416
OG0000285	Syap.g_01746, Syap.g_01744	Syas.g_00436
OG0000286	Syap.g_02014, Syap.g_02013	Syas.g_00460
OG0000288	Syap.g_02764, Syap.g_02763	Syas.g_00220
OG0000289	Syap.g_02784	Syas.g_00205
OG0000290	Syap.g_01552	Syas.g_01016
OG0000291	Syap.g_01554	Syas.g_01018
OG0000292	Syap.g_02314	Syas.g_02020
OG0000293	Syap.g_00240	Syas.g_01197
OG0000294	Syap.g_00239	Syas.g_01196
OG0000295	Syap.g_00206	Syas.g_01139
OG0000296	Syap.g_00204	Syas.g_01137
OG0000297	Syap.g_01887	Syas.g_01124
OG0000298	Syap.g_01888	Syas.g_01123
OG0000299	Syap.g_02620	Syas.g_01087
OG0000302	Syap.g_02444, Syap.g_02445	Syas.g_01080
OG0000303	Syap.g_02435	Syas.g_01071
OG0000304	Syap.g_02430	Syas.g_01066
OG0000305	Syap.g_01557	Syas.g_01023
OG0000306	Syap.g_01966	Syas.g_01929
OG0000307	Syap.g_02517	Syas.g_01270
OG0000308	Syap.g_02515	Syas.g_01272
OG0000309	Syap.g_02198, Syap.g_02446	Syas.g_01364
OG0000310	Syap.g_02660, Syap.g_02661	Syas.g_02796
OG0000311	Syap.g_02657	Syas.g_02799
OG0000312	Syap.g_02114	Syas.g_02804
OG0000313	Syap.g_02473	Syas.g_02823
OG0000314	Syap.g_00007	Syas.g_01296
OG0000315	Syap.g_00017	Syas.g_01306
OG0000316	Syap.g_00030	Syas.g_02728
OG0000317	Syap.g_00618	Syas.g_02687
OG0000318	Syap.g_00622, Syap.g_02786	Syas.g_02680
OG0000319	Syap.g_01764, Syap.g_01771	Syas.g_02663
OG0000320	Syap.g_01761, Syap.g_01769	Syas.g_02661
OG0000321	Syap.g_01760, Syap.g_01768	Syas.g_02660
OG0000322	Syap.g_01759, Syap.g_01767	Syas.g_02659
OG0000323	Syap.g_01389	Syas.g_02646
OG0000324	Syap.g_01503	Syas.g_02578
OG0000325	Syap.g_02680	Syas.g_01668
OG0000326	Syap.g_00544	Syas.g_01661
OG0000327	Syap.g_01233, Syap.g_01913	Syas.g_01634
OG0000328	Syap.g_01234, Syap.g_01912	Syas.g_01633
OG0000329	Syap.g_00498	Syas.g_01615
OG0000330	Syap.g_00497	Syas.g_01614
OG0000331	Syap.g_00496	Syas.g_01613
OG0000332	Syap.g_00481	Syas.g_01598
OG0000333	Syap.g_00478	Syas.g_01595
OG0000334	Syap.g_00468	Syas.g_01586
OG0000335	Syap.g_00101, Syap.g_00463	Syas.g_01581
OG0000336	Syap.g_00417, Syap.g_00607	Syas.g_01577
OG0000337	Syap.g_01054	Syas.g_02211
OG0000338	Syap.g_01059	Syas.g_02199
OG0000339	Syap.g_01068	Syas.g_02192
OG0000340	Syap.g_01077	Syas.g_02183
OG0000341	Syap.g_01079	Syas.g_02181
OG0000342	Syap.g_01080, Syap.g_02477	Syas.g_02180
OG0000343	Syap.g_01086, Syap.g_02078	Syas.g_02176
OG0000344	Syap.g_01091	Syas.g_02172
OG0000345	Syap.g_01107, Syap.g_01470	Syas.g_02160
OG0000346	Syap.g_01113	Syas.g_02155
OG0000347	Syap.g_01131, Syap.g_02459	Syas.g_02136
OG0000348	Syap.g_00632	Syas.g_02107
OG0000349	Syap.g_00110, Syap.g_01813	Syas.g_02085
OG0000351	Syap.g_02594	Syas.g_01998
OG0000352	Syap.g_02596, Syap.g_02597	Syas.g_01999
OG0000353	Syap.g_00054	Syas.g_02033
OG0000354	Syap.g_00075, Syap.g_02635	Syas.g_02052
OG0000355	Syap.g_00056	Syas.g_02035
OG0000356	Syap.g_00057	Syas.g_02036
OG0000357	Syap.g_00058	Syas.g_02037
OG0000358	Syap.g_00063	Syas.g_02041
OG0000359	Syap.g_00065	Syas.g_02043
OG0000360	Syap.g_00067	Syas.g_02044
OG0000361	Syap.g_00068	Syas.g_02045
OG0000362	Syap.g_00070	Syas.g_02047
OG0000363	Syap.g_00072	Syas.g_02049
OG0000364	Syap.g_00620	Syas.g_02685
OG0000365	Syap.g_00081	Syas.g_02058
OG0000366	Syap.g_00082	Syas.g_02059
OG0000368	Syap.g_00085	Syas.g_02062
OG0000369	Syap.g_00086	Syas.g_02063
OG0000370	Syap.g_00087	Syas.g_02064
OG0000372	Syap.g_01805	Syas.g_02078
OG0000373	Syap.g_01806	Syas.g_02079
OG0000374	Syap.g_01807	Syas.g_02080
OG0000375	Syap.g_01808	Syas.g_02081
OG0000376	Syap.g_01811	Syas.g_02083
OG0000377	Syap.g_00128	Syas.g_01879
OG0000378	Syap.g_01326	Syas.g_01867
OG0000380	Syap.g_01687	Syas.g_02523
OG0000381	Syap.g_01690	Syas.g_02521
OG0000382	Syap.g_02548	Syas.g_02503
OG0000383	Syap.g_02359	Syas.g_02480
OG0000384	Syap.g_02360	Syas.g_02479
OG0000385	Syap.g_02361	Syas.g_02478
OG0000386	Syap.g_02362	Syas.g_02477
OG0000387	Syap.g_01864	Syas.g_00134
OG0000391	Syap.g_02234	Syas.g_02401
OG0000392	Syap.g_02225	Syas.g_02396
OG0000393	Syap.g_02222	Syas.g_02394
OG0000394	Syap.g_02221	Syas.g_02393
OG0000395	Syap.g_02220	Syas.g_02392
OG0000396	Syap.g_02217	Syas.g_02389
OG0000397	Syap.g_02215	Syas.g_02387
OG0000398	Syap.g_02211	Syas.g_02382
OG0000399	Syap.g_02210	Syas.g_02381
OG0000400	Syap.g_02209	Syas.g_02380
OG0000401	Syap.g_02208	Syas.g_02379
OG0000402	Syap.g_02206	Syas.g_02377
OG0000403	Syap.g_02205	Syas.g_02376
OG0000404	Syap.g_02204, Syap.g_02618	Syas.g_02375
OG0000405	Syap.g_02191	Syas.g_02369
OG0000406	Syap.g_02186	Syas.g_02365
OG0000407	Syap.g_02185	Syas.g_02364
OG0000408	Syap.g_02181, Syap.g_02182	Syas.g_02361
OG0000409	Syap.g_02179	Syas.g_02359
OG0000410	Syap.g_02178	Syas.g_02358
OG0000411	Syap.g_02177	Syas.g_02357
OG0000412	Syap.g_02176	Syas.g_02356
OG0000413	Syap.g_02174	Syas.g_02354
OG0000414	Syap.g_02173	Syas.g_02353
OG0000415	Syap.g_02172	Syas.g_02352
OG0000416	Syap.g_02171	Syas.g_02351
OG0000417	Syap.g_02169	Syas.g_02338
OG0000418	Syap.g_01204	Syas.g_02333
OG0000419	Syap.g_01201	Syas.g_02331
OG0000420	Syap.g_01199	Syas.g_02329
OG0000421	Syap.g_01195	Syas.g_02324
OG0000422	Syap.g_01194	Syas.g_02323
OG0000423	Syap.g_01193	Syas.g_02322
OG0000424	Syap.g_01192	Syas.g_02321
OG0000425	Syap.g_01191	Syas.g_02320
OG0000426	Syap.g_01190	Syas.g_02319
OG0000427	Syap.g_01189	Syas.g_02318
OG0000428	Syap.g_01186	Syas.g_02315
OG0000429	Syap.g_01184	Syas.g_02312
OG0000430	Syap.g_01182	Syas.g_02311
OG0000431	Syap.g_01179	Syas.g_02296
OG0000432	Syap.g_02277	Syas.g_02288
OG0000433	Syap.g_02272	Syas.g_02286
OG0000434	Syap.g_02271	Syas.g_02285
OG0000435	Syap.g_02268	Syas.g_02282
OG0000436	Syap.g_01607	Syas.g_02273
OG0000437	Syap.g_01608	Syas.g_02272
OG0000438	Syap.g_01612	Syas.g_02271
OG0000439	Syap.g_01614	Syas.g_02269
OG0000440	Syap.g_01615	Syas.g_02268
OG0000441	Syap.g_01619	Syas.g_02265
OG0000442	Syap.g_01620	Syas.g_02259
OG0000443	Syap.g_01622	Syas.g_02241
OG0000444	Syap.g_01424	Syas.g_02234
OG0000445	Syap.g_01421	Syas.g_02233
OG0000446	Syap.g_01419	Syas.g_02231
OG0000447	Syap.g_01410	Syas.g_02229
OG0000448	Syap.g_01407	Syas.g_02228
OG0000449	Syap.g_01406	Syas.g_02226
OG0000450	Syap.g_01909	Syas.g_01834
OG0000451	Syap.g_01908	Syas.g_01835
OG0000452	Syap.g_01904	Syas.g_01844
OG0000453	Syap.g_01903	Syas.g_01845
OG0000454	Syap.g_01902	Syas.g_01846
OG0000455	Syap.g_01901	Syas.g_01847
OG0000456	Syap.g_01900	Syas.g_01848
OG0000457	Syap.g_01896	Syas.g_01850
OG0000458	Syap.g_01895	Syas.g_01851
OG0000459	Syap.g_01894	Syas.g_01852
OG0000460	Syap.g_01159	Syas.g_02554
OG0000461	Syap.g_01575	Syas.g_01686
OG0000462	Syap.g_01578	Syas.g_01688
OG0000463	Syap.g_01579	Syas.g_01689
OG0000464	Syap.g_01580	Syas.g_01690
OG0000465	Syap.g_01582	Syas.g_01692
OG0000466	Syap.g_01587	Syas.g_01697
OG0000467	Syap.g_01588	Syas.g_01698
OG0000468	Syap.g_01593	Syas.g_01703
OG0000469	Syap.g_02352	Syas.g_01725
OG0000470	Syap.g_02349	Syas.g_01727
OG0000471	Syap.g_02348	Syas.g_01728
OG0000472	Syap.g_02347	Syas.g_01729
OG0000473	Syap.g_02343	Syas.g_01731
OG0000474	Syap.g_02342	Syas.g_01732
OG0000475	Syap.g_02341	Syas.g_01733
OG0000476	Syap.g_02339	Syas.g_01735
OG0000477	Syap.g_01367	Syas.g_01740
OG0000478	Syap.g_01366	Syas.g_01741
OG0000479	Syap.g_01364	Syas.g_01749
OG0000480	Syap.g_01357	Syas.g_01756
OG0000482	Syap.g_01355	Syas.g_01758
OG0000483	Syap.g_01344	Syas.g_01762
OG0000484	Syap.g_01350	Syas.g_01763
OG0000485	Syap.g_01349	Syas.g_01764
OG0000487	Syap.g_01635	Syas.g_01771
OG0000488	Syap.g_01639	Syas.g_01779
OG0000489	Syap.g_02482	Syas.g_01823
OG0000490	Syap.g_01673	Syas.g_01808
OG0000491	Syap.g_01670	Syas.g_01806
OG0000492	Syap.g_01668	Syas.g_01803
OG0000493	Syap.g_01667	Syas.g_01802
OG0000494	Syap.g_01666	Syas.g_01801
OG0000495	Syap.g_01665	Syas.g_01799
OG0000496	Syap.g_01663	Syas.g_01798
OG0000497	Syap.g_01662	Syas.g_01797
OG0000498	Syap.g_01661	Syas.g_01796
OG0000499	Syap.g_01660	Syas.g_01795
OG0000500	Syap.g_01659	Syas.g_01794
OG0000501	Syap.g_01656	Syas.g_01791
OG0000502	Syap.g_02066	Syas.g_02216
OG0000503	Syap.g_00569	Syas.g_01541
OG0000504	Syap.g_00567	Syas.g_01539
OG0000505	Syap.g_00566	Syas.g_01538
OG0000506	Syap.g_00564	Syas.g_01536
OG0000507	Syap.g_00558	Syas.g_01530
OG0000508	Syap.g_00554	Syas.g_01523
OG0000509	Syap.g_00551	Syas.g_01521
OG0000510	Syap.g_00550	Syas.g_01520
OG0000511	Syap.g_00548	Syas.g_01519
OG0000512	Syap.g_02145	Syas.g_01517
OG0000513	Syap.g_02048	Syas.g_01508
OG0000514	Syap.g_02051	Syas.g_01504
OG0000515	Syap.g_02052	Syas.g_01503
OG0000516	Syap.g_02054	Syas.g_01501
OG0000517	Syap.g_02057	Syas.g_01498
OG0000519	Syap.g_00457	Syas.g_02747
OG0000520	Syap.g_00456	Syas.g_02748
OG0000521	Syap.g_01997	Syas.g_01281
OG0000522	Syap.g_01995	Syas.g_01279
OG0000523	Syap.g_02507	Syas.g_01278
OG0000524	Syap.g_02135	Syas.g_01354
OG0000525	Syap.g_02159	Syas.g_01342
OG0000526	Syap.g_02157	Syas.g_01340
OG0000527	Syap.g_02758	Syas.g_01335
OG0000528	Syap.g_02261	Syas.g_01256
OG0000529	Syap.g_02254	Syas.g_01252
OG0000530	Syap.g_02252	Syas.g_01249
OG0000531	Syap.g_02251	Syas.g_01248
OG0000532	Syap.g_02247	Syas.g_01245
OG0000533	Syap.g_02244	Syas.g_01243
OG0000534	Syap.g_02243	Syas.g_01242
OG0000535	Syap.g_02242	Syas.g_01241
OG0000536	Syap.g_02241	Syas.g_01240
OG0000537	Syap.g_02240	Syas.g_01238
OG0000538	Syap.g_00271	Syas.g_01228
OG0000539	Syap.g_00270	Syas.g_01227
OG0000540	Syap.g_00269	Syas.g_01226
OG0000541	Syap.g_00268	Syas.g_01225
OG0000542	Syap.g_00264	Syas.g_01221
OG0000543	Syap.g_00261	Syas.g_01219
OG0000544	Syap.g_00260	Syas.g_01218
OG0000545	Syap.g_00259	Syas.g_01216
OG0000546	Syap.g_00256	Syas.g_01214
OG0000547	Syap.g_00254	Syas.g_01212
OG0000548	Syap.g_00253	Syas.g_01211
OG0000549	Syap.g_00758	Syas.g_00005
OG0000550	Syap.g_02747	Syas.g_00010
OG0000551	Syap.g_02739	Syas.g_00015
OG0000552	Syap.g_02738	Syas.g_00016
OG0000553	Syap.g_02735	Syas.g_00019
OG0000554	Syap.g_01450	Syas.g_00063
OG0000555	Syap.g_01941	Syas.g_00775
OG0000556	Syap.g_01933	Syas.g_00781
OG0000557	Syap.g_01931	Syas.g_00783
OG0000558	Syap.g_01147	Syas.g_00785
OG0000560	Syap.g_00305	Syas.g_00792
OG0000561	Syap.g_00304	Syas.g_00793
OG0000562	Syap.g_00302	Syas.g_00794
OG0000563	Syap.g_00301	Syas.g_00795
OG0000564	Syap.g_00300	Syas.g_00796
OG0000565	Syap.g_00296	Syas.g_00800
OG0000566	Syap.g_00291	Syas.g_00804
OG0000567	Syap.g_01297	Syas.g_00808
OG0000568	Syap.g_01302	Syas.g_00810
OG0000569	Syap.g_01303	Syas.g_00811
OG0000570	Syap.g_01304	Syas.g_00812
OG0000571	Syap.g_01307	Syas.g_00815
OG0000573	Syap.g_00765	Syas.g_00952
OG0000574	Syap.g_00759	Syas.g_00951
OG0000575	Syap.g_00445	Syas.g_00848
OG0000576	Syap.g_00450	Syas.g_00850
OG0000577	Syap.g_00451	Syas.g_00851
OG0000578	Syap.g_00452	Syas.g_00852
OG0000579	Syap.g_00453	Syas.g_00853
OG0000580	Syap.g_00454	Syas.g_00854
OG0000581	Syap.g_01521	Syas.g_00861
OG0000582	Syap.g_01533	Syas.g_00873
