Orthogroup	Syap	Syad
OG0000110	Syap.g_01313	Syad.g_01048
OG0000111	Syap.g_01566, Syap.g_01568	Syad.g_01300
OG0000112	Syap.g_02023	Syad.g_01766
OG0000113	Syap.g_02714	Syad.g_01851
OG0000114	Syap.g_01255	Syad.g_01617
OG0000115	Syap.g_02004	Syad.g_02300
OG0000116	Syap.g_00241	Syad.g_01123
OG0000117	Syap.g_01889	Syad.g_01510
OG0000118	Syap.g_02286	Syad.g_01104
OG0000120	Syap.g_02075	Syad.g_00459
OG0000121	Syap.g_02471	Syad.g_02280
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syad.g_00701
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syad.g_00320
OG0000125	Syap.g_01046, Syap.g_01047	Syad.g_03040
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Syad.g_00156
OG0000127	Syap.g_00737, Syap.g_00735	Syad.g_02710, Syad.g_00058, Syad.g_00383
OG0000128	Syap.g_00069	Syad.g_00174
OG0000129	Syap.g_00130, Syap.g_00129	Syad.g_03028
OG0000130	Syap.g_01688, Syap.g_01689	Syad.g_02728
OG0000131	Syap.g_02189	Syad.g_02876
OG0000132	Syap.g_01205	Syad.g_02897
OG0000133	Syap.g_02017	Syad.g_01761
OG0000134	Syap.g_02047	Syad.g_00788
OG0000135	Syap.g_02090	Syad.g_00063
OG0000136	Syap.g_00089	Syad.g_02445
OG0000137	Syap.g_02756	Syad.g_02353
OG0000138	Syap.g_00278	Syad.g_00920
OG0000139	Syap.g_00410	Syad.g_00983
OG0000140	Syap.g_01976	Syad.g_00987
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syad.g_02208
OG0000142	Syap.g_00895, Syap.g_00894	Syad.g_02152
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syad.g_02148
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syad.g_02024
OG0000145	Syap.g_01860, Syap.g_01859	Syad.g_00927
OG0000146	Syap.g_02024	Syad.g_01767
OG0000147	Syap.g_02025	Syad.g_01768
OG0000148	Syap.g_02720	Syad.g_01861
OG0000149	Syap.g_00824	Syad.g_01221
OG0000150	Syap.g_01540	Syad.g_02207, Syad.g_00989
OG0000151	Syap.g_00142	Syad.g_01956
OG0000152	Syap.g_02012	Syad.g_01757
OG0000153	Syap.g_02682	Syad.g_01713
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Syad.g_01686
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Syad.g_01189
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Syad.g_01116
OG0000157	Syap.g_00249, Syap.g_00286	Syad.g_01115
OG0000158	Syap.g_01075	Syad.g_00374
OG0000160	Syap.g_02470, Syap.g_02469	Syad.g_02279
OG0000161	Syap.g_02476	Syad.g_02287
OG0000162	Syap.g_02531	Syad.g_02293
OG0000164	Syap.g_01391, Syap.g_01392	Syad.g_02659
OG0000165	Syap.g_01381, Syap.g_01382	Syad.g_02476
OG0000166	Syap.g_00512, Syap.g_01238	Syad.g_00654
OG0000167	Syap.g_02080	Syad.g_00419
OG0000168	Syap.g_01076	Syad.g_00371
OG0000169	Syap.g_01049, Syap.g_01093	Syad.g_00360
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Syad.g_00353
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Syad.g_00321
OG0000172	Syap.g_01143, Syap.g_00635	Syad.g_00244
OG0000173	Syap.g_00982, Syap.g_00983	Syad.g_00220
OG0000174	Syap.g_02092	Syad.g_00065
OG0000175	Syap.g_02654	Syad.g_00129
OG0000176	Syap.g_00059	Syad.g_00166
OG0000177	Syap.g_00061, Syap.g_00060	Syad.g_00167
OG0000178	Syap.g_00062	Syad.g_00168
OG0000179	Syap.g_00077, Syap.g_02638	Syad.g_00183
OG0000180	Syap.g_00078, Syap.g_02640	Syad.g_00184
OG0000181	Syap.g_00079, Syap.g_02641	Syad.g_00185
OG0000182	Syap.g_00080, Syap.g_02642	Syad.g_00186
OG0000183	Syap.g_00084	Syad.g_00190
OG0000184	Syap.g_01337	Syad.g_03018
OG0000185	Syap.g_01322	Syad.g_03006
OG0000186	Syap.g_01684	Syad.g_02722
OG0000187	Syap.g_01686	Syad.g_02724
OG0000188	Syap.g_02547	Syad.g_02759
OG0000191	Syap.g_02233	Syad.g_02824
OG0000192	Syap.g_02224	Syad.g_02834
OG0000193	Syap.g_02187, Syap.g_02188	Syad.g_02877
OG0000194	Syap.g_02183	Syad.g_02880
OG0000196	Syap.g_01208, Syap.g_02167	Syad.g_02894
OG0000197	Syap.g_01207, Syap.g_02166	Syad.g_02895
OG0000198	Syap.g_01206	Syad.g_02896
OG0000199	Syap.g_01197	Syad.g_02904
OG0000200	Syap.g_01181	Syad.g_02921
OG0000201	Syap.g_02265	Syad.g_02937
OG0000202	Syap.g_02264	Syad.g_02938
OG0000203	Syap.g_01601	Syad.g_02939
OG0000204	Syap.g_01602	Syad.g_02940
OG0000205	Syap.g_01616	Syad.g_02948
OG0000206	Syap.g_01628	Syad.g_02955
OG0000207	Syap.g_01426, Syap.g_00424	Syad.g_02957
OG0000208	Syap.g_00426, Syap.g_01425	Syad.g_02958
OG0000209	Syap.g_01906	Syad.g_02981
OG0000210	Syap.g_01905	Syad.g_02982
OG0000211	Syap.g_01160	Syad.g_00813
OG0000212	Syap.g_02664	Syad.g_00825
OG0000213	Syap.g_00107, Syap.g_01599	Syad.g_00556
OG0000214	Syap.g_02344, Syap.g_02345	Syad.g_00538
OG0000215	Syap.g_01347, Syap.g_01629	Syad.g_00508
OG0000216	Syap.g_01634	Syad.g_00504, Syad.g_00285
OG0000217	Syap.g_01638	Syad.g_00500
OG0000218	Syap.g_01641, Syap.g_01640	Syad.g_00498
OG0000219	Syap.g_01642, Syap.g_01643	Syad.g_00497
OG0000220	Syap.g_01645	Syad.g_00496
OG0000221	Syap.g_01646	Syad.g_00488
OG0000222	Syap.g_01669	Syad.g_00473
OG0000223	Syap.g_02072, Syap.g_02073	Syad.g_00451
OG0000224	Syap.g_02064	Syad.g_00444
OG0000225	Syap.g_00553, Syap.g_00552	Syad.g_00777
OG0000226	Syap.g_02029, Syap.g_02144	Syad.g_00781
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Syad.g_00783
OG0000228	Syap.g_00116, Syap.g_02041	Syad.g_00784
OG0000229	Syap.g_02059	Syad.g_02450
OG0000230	Syap.g_02061	Syad.g_02448
OG0000231	Syap.g_02533	Syad.g_02436
OG0000232	Syap.g_02510, Syap.g_02511	Syad.g_02392
OG0000233	Syap.g_02133	Syad.g_02382
OG0000234	Syap.g_02755	Syad.g_02351
OG0000235	Syap.g_00732, Syap.g_02258	Syad.g_00903
OG0000236	Syap.g_02238	Syad.g_00918
OG0000237	Syap.g_00262, Syap.g_00263	Syad.g_00936
OG0000238	Syap.g_00257, Syap.g_00258	Syad.g_00941
OG0000239	Syap.g_02744	Syad.g_00957
OG0000240	Syap.g_02742	Syad.g_00958
OG0000241	Syap.g_00888	Syad.g_02160
OG0000242	Syap.g_01455	Syad.g_00975
OG0000243	Syap.g_01938	Syad.g_01000
OG0000244	Syap.g_01146, Syap.g_01145	Syad.g_01012
OG0000245	Syap.g_01148	Syad.g_01014
OG0000246	Syap.g_00308	Syad.g_01017
OG0000247	Syap.g_00288, Syap.g_00293	Syad.g_01029
OG0000248	Syap.g_00290	Syad.g_01032
OG0000249	Syap.g_01296, Syap.g_01295	Syad.g_01034
OG0000250	Syap.g_01306	Syad.g_01044
OG0000251	Syap.g_00442	Syad.g_01071
OG0000252	Syap.g_01857	Syad.g_01078
OG0000253	Syap.g_00443	Syad.g_01081
OG0000254	Syap.g_01527, Syap.g_01528	Syad.g_02203
OG0000256	Syap.g_01287	Syad.g_02167
OG0000257	Syap.g_00886	Syad.g_02161
OG0000258	Syap.g_00907	Syad.g_02143
OG0000260	Syap.g_01970	Syad.g_01587
OG0000261	Syap.g_01962, Syap.g_01961	Syad.g_01590
OG0000262	Syap.g_01954	Syad.g_01595
OG0000263	Syap.g_00432, Syap.g_00433	Syad.g_01475
OG0000266	Syap.g_00519	Syad.g_01804
OG0000267	Syap.g_02333, Syap.g_02332	Syad.g_01645
OG0000268	Syap.g_00646	Syad.g_01646
OG0000269	Syap.g_00188	Syad.g_01894
OG0000270	Syap.g_00192	Syad.g_01891
OG0000271	Syap.g_00200, Syap.g_00201	Syad.g_01883
OG0000272	Syap.g_00202	Syad.g_01882
OG0000273	Syap.g_02703	Syad.g_01247
OG0000274	Syap.g_02702	Syad.g_01246
OG0000275	Syap.g_01847	Syad.g_01242
OG0000276	Syap.g_01839, Syap.g_01838	Syad.g_01229
OG0000278	Syap.g_01834	Syad.g_01225
OG0000279	Syap.g_00829, Syap.g_00830	Syad.g_01208
OG0000280	Syap.g_00365	Syad.g_01198
OG0000281	Syap.g_01977	Syad.g_00624
OG0000282	Syap.g_01252	Syad.g_01619
OG0000283	Syap.g_01728	Syad.g_01661
OG0000284	Syap.g_01736	Syad.g_01787
OG0000285	Syap.g_01746, Syap.g_01744	Syad.g_01776
OG0000286	Syap.g_02014, Syap.g_02013	Syad.g_01758
OG0000288	Syap.g_02764, Syap.g_02763	Syad.g_01687
OG0000289	Syap.g_02784	Syad.g_01672
OG0000290	Syap.g_01552	Syad.g_01287
OG0000291	Syap.g_01554	Syad.g_01289
OG0000292	Syap.g_02314	Syad.g_00155
OG0000293	Syap.g_00240	Syad.g_01124
OG0000295	Syap.g_00206	Syad.g_01181
OG0000296	Syap.g_00204	Syad.g_01183
OG0000298	Syap.g_01888	Syad.g_01511
OG0000299	Syap.g_02620	Syad.g_01462
OG0000302	Syap.g_02444, Syap.g_02445	Syad.g_01453
OG0000303	Syap.g_02435	Syad.g_01442
OG0000304	Syap.g_02430	Syad.g_01436
OG0000305	Syap.g_01557	Syad.g_01292
OG0000306	Syap.g_01966	Syad.g_01989
OG0000307	Syap.g_02517	Syad.g_00883
OG0000308	Syap.g_02514, Syap.g_02515	Syad.g_00881
OG0000309	Syap.g_02198, Syap.g_02446	Syad.g_00876
OG0000310	Syap.g_02660, Syap.g_02661	Syad.g_02250
OG0000311	Syap.g_02657	Syad.g_02254
OG0000312	Syap.g_02114	Syad.g_02265
OG0000313	Syap.g_02473	Syad.g_02284
OG0000314	Syap.g_00007	Syad.g_02313
OG0000315	Syap.g_00017	Syad.g_02323
OG0000316	Syap.g_00030	Syad.g_02564
OG0000317	Syap.g_00618	Syad.g_02620
OG0000318	Syap.g_00622, Syap.g_02786	Syad.g_02624
OG0000319	Syap.g_01764, Syap.g_01771	Syad.g_02642
OG0000320	Syap.g_01761, Syap.g_01769	Syad.g_02644
OG0000321	Syap.g_01760, Syap.g_01768	Syad.g_02645
OG0000322	Syap.g_01759, Syap.g_01767	Syad.g_02646
OG0000323	Syap.g_01389	Syad.g_02661
OG0000324	Syap.g_01503	Syad.g_02505
OG0000325	Syap.g_02680	Syad.g_00591
OG0000326	Syap.g_00544	Syad.g_00598
OG0000327	Syap.g_01233, Syap.g_01913	Syad.g_00649
OG0000328	Syap.g_01234, Syap.g_01912	Syad.g_00650
OG0000329	Syap.g_00498	Syad.g_00668
OG0000330	Syap.g_00497	Syad.g_00669
OG0000331	Syap.g_00496	Syad.g_00670
OG0000332	Syap.g_00481	Syad.g_00685
OG0000333	Syap.g_00478	Syad.g_00688
OG0000334	Syap.g_00468	Syad.g_00697
OG0000335	Syap.g_00101, Syap.g_00463	Syad.g_00702
OG0000336	Syap.g_00417, Syap.g_00607	Syad.g_00706
OG0000337	Syap.g_01054	Syad.g_00425, Syad.g_00427
OG0000338	Syap.g_01059	Syad.g_00421
OG0000339	Syap.g_01068	Syad.g_00414
OG0000340	Syap.g_01077	Syad.g_00370
OG0000341	Syap.g_01079	Syad.g_00368
OG0000342	Syap.g_01080, Syap.g_02477	Syad.g_00367
OG0000343	Syap.g_01086, Syap.g_02078	Syad.g_00366
OG0000344	Syap.g_01091	Syad.g_00362
OG0000345	Syap.g_01107, Syap.g_01470	Syad.g_00352
OG0000346	Syap.g_02423, Syap.g_01113	Syad.g_00347
OG0000347	Syap.g_01131, Syap.g_02459	Syad.g_00318
OG0000348	Syap.g_00632	Syad.g_00233
OG0000349	Syap.g_00110, Syap.g_01813	Syad.g_00213
OG0000351	Syap.g_02594	Syad.g_00134
OG0000352	Syap.g_02596, Syap.g_02597	Syad.g_00135
OG0000353	Syap.g_00054	Syad.g_00161
OG0000354	Syap.g_00075, Syap.g_02635	Syad.g_00181
OG0000355	Syap.g_00056	Syad.g_00163
OG0000356	Syap.g_00057	Syad.g_00164
OG0000357	Syap.g_00058	Syad.g_00165
OG0000358	Syap.g_00063	Syad.g_00169
OG0000359	Syap.g_00065	Syad.g_00171
OG0000360	Syap.g_00067	Syad.g_00172
OG0000361	Syap.g_00068	Syad.g_00173
OG0000362	Syap.g_00070	Syad.g_00175
OG0000363	Syap.g_00072	Syad.g_00177
OG0000364	Syap.g_00620	Syad.g_00178
OG0000365	Syap.g_00081	Syad.g_00187
OG0000366	Syap.g_00082	Syad.g_00188
OG0000367	Syap.g_00083	Syad.g_00189
OG0000368	Syap.g_00085	Syad.g_00191
OG0000369	Syap.g_00086	Syad.g_00192
OG0000370	Syap.g_00087	Syad.g_00193
OG0000372	Syap.g_01805	Syad.g_00206
OG0000373	Syap.g_01806	Syad.g_00207
OG0000374	Syap.g_01807	Syad.g_00208
OG0000375	Syap.g_01808	Syad.g_00209
OG0000376	Syap.g_01811	Syad.g_00211
OG0000377	Syap.g_00128	Syad.g_03027
OG0000378	Syap.g_01326	Syad.g_03012
OG0000380	Syap.g_01687	Syad.g_02725
OG0000381	Syap.g_01690	Syad.g_02729
OG0000382	Syap.g_02548	Syad.g_02758
OG0000383	Syap.g_02359	Syad.g_02761
OG0000384	Syap.g_02360	Syad.g_02762
OG0000385	Syap.g_02361	Syad.g_02763
OG0000386	Syap.g_02362	Syad.g_02764
OG0000387	Syap.g_01864	Syad.g_02792
OG0000391	Syap.g_02234	Syad.g_02823
OG0000392	Syap.g_02225	Syad.g_02833
OG0000393	Syap.g_02222	Syad.g_02837
OG0000394	Syap.g_02221	Syad.g_02838
OG0000395	Syap.g_02220	Syad.g_02839
OG0000396	Syap.g_02217	Syad.g_02843
OG0000397	Syap.g_02215	Syad.g_02845
OG0000398	Syap.g_02211	Syad.g_02850
OG0000399	Syap.g_02210	Syad.g_02851
OG0000400	Syap.g_02209	Syad.g_02852
OG0000401	Syap.g_02208	Syad.g_02853
OG0000402	Syap.g_02206	Syad.g_02855
OG0000403	Syap.g_02205	Syad.g_02856
OG0000404	Syap.g_02204, Syap.g_02618	Syad.g_02858
OG0000405	Syap.g_02191	Syad.g_02874
OG0000406	Syap.g_02186	Syad.g_02878
OG0000407	Syap.g_02185	Syad.g_02879
OG0000408	Syap.g_02181, Syap.g_02182	Syad.g_02883
OG0000409	Syap.g_02179	Syad.g_02885
OG0000410	Syap.g_02178	Syad.g_02886
OG0000411	Syap.g_02177	Syad.g_02887
OG0000412	Syap.g_02176	Syad.g_02888
OG0000413	Syap.g_02174	Syad.g_02890
OG0000415	Syap.g_02172	Syad.g_02891
OG0000416	Syap.g_02171	Syad.g_02892
OG0000417	Syap.g_02169	Syad.g_02893
OG0000418	Syap.g_01204	Syad.g_02898
OG0000419	Syap.g_01201	Syad.g_02900
OG0000420	Syap.g_01199	Syad.g_02902
OG0000421	Syap.g_01195	Syad.g_02907
OG0000422	Syap.g_01194	Syad.g_02908
OG0000423	Syap.g_01193	Syad.g_02909
OG0000424	Syap.g_01192	Syad.g_02910
OG0000425	Syap.g_01191	Syad.g_02911
OG0000426	Syap.g_01190	Syad.g_02912
OG0000427	Syap.g_01189	Syad.g_02913
OG0000428	Syap.g_01186	Syad.g_02916
OG0000429	Syap.g_01184	Syad.g_02918
OG0000430	Syap.g_01182	Syad.g_02920
OG0000431	Syap.g_01179	Syad.g_02923
OG0000432	Syap.g_02277	Syad.g_02930
OG0000433	Syap.g_02272	Syad.g_02933
OG0000434	Syap.g_02271	Syad.g_02934
OG0000435	Syap.g_02268	Syad.g_02936
OG0000436	Syap.g_01607	Syad.g_02942
OG0000437	Syap.g_01608	Syad.g_02943
OG0000438	Syap.g_01612	Syad.g_02944
OG0000439	Syap.g_01614	Syad.g_02946
OG0000440	Syap.g_01615	Syad.g_02947
OG0000441	Syap.g_01619	Syad.g_02951
OG0000442	Syap.g_01620	Syad.g_02952
OG0000443	Syap.g_01622	Syad.g_02953
OG0000444	Syap.g_01424	Syad.g_02964
OG0000445	Syap.g_01421	Syad.g_02965
OG0000446	Syap.g_01419	Syad.g_02967
OG0000447	Syap.g_01410	Syad.g_02970
OG0000448	Syap.g_01407	Syad.g_02971
OG0000449	Syap.g_01406	Syad.g_02972
OG0000450	Syap.g_01909	Syad.g_02978
OG0000451	Syap.g_01908	Syad.g_02979
OG0000452	Syap.g_01904	Syad.g_02983
OG0000453	Syap.g_01903	Syad.g_02984
OG0000454	Syap.g_01902	Syad.g_02985
OG0000455	Syap.g_01901	Syad.g_02986
OG0000456	Syap.g_01900	Syad.g_02987
OG0000457	Syap.g_01896	Syad.g_02989
OG0000458	Syap.g_01895	Syad.g_02998
OG0000459	Syap.g_01894	Syad.g_02999
OG0000460	Syap.g_01159	Syad.g_00815
OG0000461	Syap.g_01575	Syad.g_00579
OG0000462	Syap.g_01578	Syad.g_00576
OG0000463	Syap.g_01579	Syad.g_00575
OG0000464	Syap.g_01580	Syad.g_00574
OG0000465	Syap.g_01582	Syad.g_00573
OG0000466	Syap.g_01587	Syad.g_00568
OG0000467	Syap.g_01588	Syad.g_00566
OG0000468	Syap.g_01593	Syad.g_00561
OG0000469	Syap.g_02352	Syad.g_00545
OG0000470	Syap.g_02349	Syad.g_00542
OG0000471	Syap.g_02348	Syad.g_00541
OG0000472	Syap.g_02347	Syad.g_00539
OG0000473	Syap.g_02343	Syad.g_00537
OG0000474	Syap.g_02342	Syad.g_00536
OG0000475	Syap.g_02341	Syad.g_00535
OG0000476	Syap.g_02339	Syad.g_00533
OG0000477	Syap.g_01367	Syad.g_00528
OG0000478	Syap.g_01366	Syad.g_00527
OG0000479	Syap.g_01364	Syad.g_00526
OG0000480	Syap.g_01357	Syad.g_00520
OG0000482	Syap.g_01355	Syad.g_00517
OG0000483	Syap.g_01344	Syad.g_00513
OG0000484	Syap.g_01350	Syad.g_00512
OG0000485	Syap.g_01349	Syad.g_00511
OG0000487	Syap.g_01635	Syad.g_00503
OG0000488	Syap.g_01639	Syad.g_00499
OG0000489	Syap.g_02482	Syad.g_00487
OG0000490	Syap.g_01673	Syad.g_00475
OG0000491	Syap.g_01670	Syad.g_00474
OG0000492	Syap.g_01668	Syad.g_00472
OG0000493	Syap.g_01667	Syad.g_00471
OG0000494	Syap.g_01666	Syad.g_00470
OG0000495	Syap.g_01665	Syad.g_00469
OG0000496	Syap.g_01663	Syad.g_00468
OG0000497	Syap.g_01662	Syad.g_00467
OG0000498	Syap.g_01661	Syad.g_00466
OG0000499	Syap.g_01660	Syad.g_00465
OG0000500	Syap.g_01659	Syad.g_00464
OG0000501	Syap.g_01656	Syad.g_00461
OG0000502	Syap.g_02066	Syad.g_00449
OG0000503	Syap.g_00569	Syad.g_00761
OG0000504	Syap.g_00567	Syad.g_00763
OG0000505	Syap.g_00566	Syad.g_00764
OG0000506	Syap.g_00564	Syad.g_00766
OG0000507	Syap.g_00558	Syad.g_00772
OG0000508	Syap.g_00554	Syad.g_00776
OG0000509	Syap.g_00551	Syad.g_00778
OG0000510	Syap.g_00550	Syad.g_00779
OG0000511	Syap.g_00548	Syad.g_00780
OG0000512	Syap.g_02145	Syad.g_00782
OG0000513	Syap.g_02048	Syad.g_00789
OG0000514	Syap.g_02051	Syad.g_00795
OG0000515	Syap.g_02052	Syad.g_00796
OG0000516	Syap.g_02054	Syad.g_02456
OG0000517	Syap.g_02057	Syad.g_02451
OG0000519	Syap.g_00457	Syad.g_02438
OG0000520	Syap.g_00456	Syad.g_02437
OG0000521	Syap.g_01997	Syad.g_01108
OG0000522	Syap.g_01995	Syad.g_01109
OG0000523	Syap.g_02507	Syad.g_01110
OG0000524	Syap.g_02135	Syad.g_02386
OG0000525	Syap.g_02159	Syad.g_02363
OG0000526	Syap.g_02157	Syad.g_02360
OG0000527	Syap.g_02758	Syad.g_02355
OG0000528	Syap.g_02261	Syad.g_00897
OG0000529	Syap.g_02254	Syad.g_00905
OG0000530	Syap.g_02252	Syad.g_00908
OG0000531	Syap.g_02251	Syad.g_00909
OG0000532	Syap.g_02247	Syad.g_00912
OG0000533	Syap.g_02244	Syad.g_00913
OG0000534	Syap.g_02243	Syad.g_00914
OG0000535	Syap.g_02242	Syad.g_00915
OG0000536	Syap.g_02241	Syad.g_00916
OG0000537	Syap.g_02240	Syad.g_00917
OG0000538	Syap.g_00271	Syad.g_00929
OG0000539	Syap.g_00270	Syad.g_00930
OG0000540	Syap.g_00269	Syad.g_00931
OG0000541	Syap.g_00268	Syad.g_00932
OG0000542	Syap.g_00264	Syad.g_00935
OG0000543	Syap.g_00261	Syad.g_00937
OG0000544	Syap.g_00260	Syad.g_00938
OG0000545	Syap.g_00259	Syad.g_00940
OG0000546	Syap.g_00256	Syad.g_00942
OG0000547	Syap.g_00254	Syad.g_00944
OG0000548	Syap.g_00253	Syad.g_00945
OG0000549	Syap.g_00758	Syad.g_00952
OG0000550	Syap.g_02747	Syad.g_00956
OG0000551	Syap.g_02739	Syad.g_00960
OG0000552	Syap.g_02738	Syad.g_00961
OG0000553	Syap.g_02735	Syad.g_00965
OG0000554	Syap.g_01450	Syad.g_00978
OG0000555	Syap.g_01941	Syad.g_00999
OG0000556	Syap.g_01933	Syad.g_01003
OG0000557	Syap.g_01931	Syad.g_01011
OG0000558	Syap.g_01147	Syad.g_01013
OG0000560	Syap.g_00305	Syad.g_01019
OG0000561	Syap.g_00304	Syad.g_01020
OG0000562	Syap.g_00302	Syad.g_01021
OG0000563	Syap.g_00301	Syad.g_01022
OG0000564	Syap.g_00300	Syad.g_01023
OG0000565	Syap.g_00296	Syad.g_01027
OG0000566	Syap.g_00291	Syad.g_01031
OG0000567	Syap.g_01297	Syad.g_01035
OG0000568	Syap.g_01302	Syad.g_01040
OG0000569	Syap.g_01303	Syad.g_01041
OG0000570	Syap.g_01304	Syad.g_01042
OG0000571	Syap.g_01307	Syad.g_01046
OG0000573	Syap.g_00765	Syad.g_01072
OG0000574	Syap.g_00759	Syad.g_01077
OG0000575	Syap.g_00445	Syad.g_01083
OG0000576	Syap.g_00450	Syad.g_01085
OG0000577	Syap.g_00451	Syad.g_01086
OG0000578	Syap.g_00452	Syad.g_01087
OG0000579	Syap.g_00453	Syad.g_01088
OG0000580	Syap.g_00454	Syad.g_01089
OG0000581	Syap.g_01521	Syad.g_01097
OG0000582	Syap.g_01533	Syad.g_02206
OG0000583	Syap.g_01532	Syad.g_02205
OG0000584	Syap.g_01530	Syad.g_02204
OG0000585	Syap.g_01526	Syad.g_02202
OG0000586	Syap.g_01525	Syad.g_02201
OG0000587	Syap.g_01523	Syad.g_02199
OG0000588	Syap.g_00776	Syad.g_02183
OG0000589	Syap.g_00941	Syad.g_02178
OG0000590	Syap.g_00940	Syad.g_02177
OG0000591	Syap.g_01289	Syad.g_02169
OG0000592	Syap.g_01288	Syad.g_02168
OG0000593	Syap.g_00890	Syad.g_02156
OG0000594	Syap.g_00891	Syad.g_02155
OG0000595	Syap.g_00892	Syad.g_02154
OG0000596	Syap.g_00898	Syad.g_02149
OG0000597	Syap.g_00903	Syad.g_02146
OG0000598	Syap.g_00904	Syad.g_02145
OG0000599	Syap.g_00908	Syad.g_02142
OG0000600	Syap.g_00909	Syad.g_02141
OG0000601	Syap.g_00910	Syad.g_02140
OG0000602	Syap.g_00640	Syad.g_02135
