Orthogroup	Syap	Prao
OG0000090	Syap.g_01451	Prao.g_01858
OG0000091	Syap.g_01861	Prao.g_00081
OG0000094	Syap.g_02781	Prao.g_00955
OG0000095	Syap.g_01556	Prao.g_00974
OG0000098	Syap.g_01975	Prao.g_01257
OG0000099	Syap.g_01385	Prao.g_01214
OG0000101	Syap.g_00472	Prao.g_01687
OG0000102	Syap.g_01116	Prao.g_01748
OG0000103	Syap.g_02607, Syap.g_02608	Prao.g_01828
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prao.g_01837
OG0000105	Syap.g_01369, Syap.g_01368	Prao.g_01378
OG0000107	Syap.g_02496	Prao.g_00518
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Prao.g_00586
OG0000109	Syap.g_00279, Syap.g_02237	Prao.g_00600
OG0000110	Syap.g_01313	Prao.g_01867
OG0000111	Syap.g_01566, Syap.g_01568	Prao.g_00137
OG0000112	Syap.g_02023	Prao.g_00704
OG0000113	Syap.g_02714	Prao.g_00763
OG0000114	Syap.g_01255	Prao.g_00845
OG0000115	Syap.g_02004	Prao.g_01150
OG0000116	Syap.g_00241	Prao.g_01099
OG0000117	Syap.g_01889	Prao.g_01332
OG0000118	Syap.g_02286	Prao.g_01264
OG0000120	Syap.g_02075	Prao.g_01215
OG0000121	Syap.g_02471	Prao.g_01399
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prao.g_01694
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prao.g_01759
OG0000125	Syap.g_01046, Syap.g_01047	Prao.g_01796
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Prao.g_01836
OG0000128	Syap.g_00069	Prao.g_00158
OG0000129	Syap.g_00130, Syap.g_00129	Prao.g_00190
OG0000130	Syap.g_01688, Syap.g_01689	Prao.g_00208
OG0000131	Syap.g_02189	Prao.g_00283
OG0000132	Syap.g_01205	Prao.g_00302
OG0000133	Syap.g_02017	Prao.g_00458
OG0000134	Syap.g_02047	Prao.g_00491
OG0000135	Syap.g_02090	Prao.g_00516
OG0000136	Syap.g_00089	Prao.g_00545
OG0000137	Syap.g_02756	Prao.g_00581
OG0000138	Syap.g_00278	Prao.g_00601
OG0000139	Syap.g_00410	Prao.g_01854
OG0000140	Syap.g_01976	Prao.g_01853
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prao.g_00045
OG0000142	Syap.g_00895, Syap.g_00894	Prao.g_00074
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prao.g_00078
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prao.g_00091
OG0000145	Syap.g_01860, Syap.g_01859	Prao.g_00701
OG0000146	Syap.g_02024	Prao.g_00705
OG0000147	Syap.g_02025	Prao.g_00706
OG0000148	Syap.g_02720	Prao.g_00757
OG0000149	Syap.g_00824	Prao.g_00788
OG0000150	Syap.g_01540	Prao.g_00796
OG0000151	Syap.g_00142	Prao.g_00855
OG0000152	Syap.g_02012	Prao.g_00902
OG0000153	Syap.g_02682	Prao.g_00921
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prao.g_00948
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prao.g_01069
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prao.g_01287
OG0000157	Syap.g_00249, Syap.g_00286	Prao.g_01286
OG0000158	Syap.g_01075	Prao.g_01220
OG0000159	Syap.g_00700	Prao.g_01219
OG0000160	Syap.g_02470, Syap.g_02469	Prao.g_01398
OG0000161	Syap.g_02476	Prao.g_01404
OG0000162	Syap.g_02531	Prao.g_01410
OG0000164	Syap.g_01391, Syap.g_01392	Prao.g_01576
OG0000165	Syap.g_01381, Syap.g_01382	Prao.g_01583
OG0000166	Syap.g_00512, Syap.g_01238	Prao.g_01651
OG0000167	Syap.g_02080	Prao.g_01717
OG0000168	Syap.g_01076	Prao.g_01727
OG0000169	Syap.g_01049, Syap.g_01093	Prao.g_01737
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prao.g_01739
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prao.g_01758
OG0000172	Syap.g_01143, Syap.g_00635	Prao.g_01767
OG0000173	Syap.g_01213, Syap.g_00982, Syap.g_00983	Prao.g_01782
OG0000174	Syap.g_02092	Prao.g_01810
OG0000175	Syap.g_02654	Prao.g_01820
OG0000176	Syap.g_00059	Prao.g_01845
OG0000177	Syap.g_00061, Syap.g_00060	Prao.g_01846
OG0000178	Syap.g_00062	Prao.g_01847
OG0000179	Syap.g_00077, Syap.g_02638	Prao.g_00163
OG0000180	Syap.g_00078, Syap.g_02640	Prao.g_00164
OG0000181	Syap.g_00079, Syap.g_02641	Prao.g_00165
OG0000182	Syap.g_00080, Syap.g_02642	Prao.g_00166
OG0000183	Syap.g_00084	Prao.g_00170
OG0000184	Syap.g_01337	Prao.g_00192
OG0000185	Syap.g_01322	Prao.g_00195
OG0000186	Syap.g_01684	Prao.g_00203
OG0000187	Syap.g_01686	Prao.g_00204
OG0000188	Syap.g_02547	Prao.g_00221
OG0000191	Syap.g_02233	Prao.g_00256
OG0000192	Syap.g_02224	Prao.g_00260
OG0000193	Syap.g_02187, Syap.g_02188	Prao.g_00284
OG0000194	Syap.g_02183	Prao.g_00287
OG0000195	Syap.g_02180	Prao.g_00289
OG0000196	Syap.g_01208, Syap.g_02167	Prao.g_00299
OG0000197	Syap.g_01207, Syap.g_02166	Prao.g_00300
OG0000198	Syap.g_01206	Prao.g_00301
OG0000199	Syap.g_01197	Prao.g_00308
OG0000200	Syap.g_01181	Prao.g_00322
OG0000201	Syap.g_02265	Prao.g_00330
OG0000202	Syap.g_02264	Prao.g_00331
OG0000203	Syap.g_01601	Prao.g_00332
OG0000204	Syap.g_01602	Prao.g_00333
OG0000205	Syap.g_01616	Prao.g_00340
OG0000206	Syap.g_01628	Prao.g_00345
OG0000207	Syap.g_01426, Syap.g_00424	Prao.g_00347
OG0000208	Syap.g_00426, Syap.g_01425	Prao.g_00348
OG0000209	Syap.g_01906	Prao.g_00357
OG0000210	Syap.g_01905	Prao.g_00358
OG0000211	Syap.g_01160	Prao.g_00371
OG0000212	Syap.g_02664	Prao.g_00378
OG0000213	Syap.g_00107, Syap.g_01599	Prao.g_00395
OG0000214	Syap.g_02344, Syap.g_02345	Prao.g_00405
OG0000215	Syap.g_01347, Syap.g_01629	Prao.g_00429
OG0000216	Syap.g_01634	Prao.g_00431
OG0000217	Syap.g_01638	Prao.g_00434
OG0000218	Syap.g_01641, Syap.g_01640	Prao.g_00436
OG0000219	Syap.g_01642, Syap.g_01643	Prao.g_00437
OG0000220	Syap.g_01645	Prao.g_00438
OG0000221	Syap.g_01646	Prao.g_00439
OG0000222	Syap.g_01669	Prao.g_00446
OG0000223	Syap.g_02072, Syap.g_02073	Prao.g_00459
OG0000224	Syap.g_02064	Prao.g_00461
OG0000225	Syap.g_00553, Syap.g_00552	Prao.g_00480
OG0000226	Syap.g_02029, Syap.g_02144	Prao.g_00484
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prao.g_00486
OG0000228	Syap.g_00116, Syap.g_02041	Prao.g_00489
OG0000229	Syap.g_02059	Prao.g_00540
OG0000230	Syap.g_02061	Prao.g_00542
OG0000231	Syap.g_02533	Prao.g_00553
OG0000232	Syap.g_02510, Syap.g_02511	Prao.g_00564
OG0000233	Syap.g_02133	Prao.g_00569
OG0000234	Syap.g_02755	Prao.g_00582
OG0000235	Syap.g_00732, Syap.g_02258	Prao.g_00585
OG0000236	Syap.g_02238	Prao.g_00599
OG0000237	Syap.g_00262, Syap.g_00263	Prao.g_00612
OG0000238	Syap.g_00257, Syap.g_00258	Prao.g_00618
OG0000239	Syap.g_02744	Prao.g_00631
OG0000240	Syap.g_02742	Prao.g_00632
OG0000241	Syap.g_00888	Prao.g_01861
OG0000242	Syap.g_01455	Prao.g_01859
OG0000243	Syap.g_01938	Prao.g_01162
OG0000244	Syap.g_01146, Syap.g_01145	Prao.g_01165
OG0000245	Syap.g_01148	Prao.g_01167
OG0000246	Syap.g_00308	Prao.g_01171
OG0000247	Syap.g_00288, Syap.g_00293	Prao.g_01181
OG0000248	Syap.g_00290	Prao.g_01183
OG0000249	Syap.g_01296, Syap.g_01295	Prao.g_01185
OG0000250	Syap.g_01306	Prao.g_01864
OG0000251	Syap.g_00442	Prao.g_00029
OG0000252	Syap.g_01857	Prao.g_00032
OG0000253	Syap.g_00443	Prao.g_00033
OG0000254	Syap.g_01527, Syap.g_01528	Prao.g_00049
OG0000256	Syap.g_01287	Prao.g_00066
OG0000257	Syap.g_00886	Prao.g_00069
OG0000258	Syap.g_00907	Prao.g_00082
OG0000260	Syap.g_01970	Prao.g_00102
OG0000261	Syap.g_01962, Syap.g_01961	Prao.g_00104
OG0000262	Syap.g_01954	Prao.g_00108
OG0000263	Syap.g_00432, Syap.g_00433	Prao.g_00119
OG0000266	Syap.g_00519	Prao.g_00658
OG0000267	Syap.g_02333, Syap.g_02332	Prao.g_00669
OG0000268	Syap.g_00646	Prao.g_00670
OG0000269	Syap.g_00188	Prao.g_00736
OG0000270	Syap.g_00192	Prao.g_00739
OG0000271	Syap.g_00200, Syap.g_00201	Prao.g_00747
OG0000272	Syap.g_00202	Prao.g_00748
OG0000273	Syap.g_02703	Prao.g_00771
OG0000274	Syap.g_02702	Prao.g_00772
OG0000275	Syap.g_01847	Prao.g_00775
OG0000276	Syap.g_01839, Syap.g_01838	Prao.g_00780
OG0000277	Syap.g_01837	Prao.g_00781
OG0000278	Syap.g_01834	Prao.g_00784
OG0000279	Syap.g_00829, Syap.g_00830	Prao.g_00791
OG0000280	Syap.g_00365	Prao.g_00792
OG0000281	Syap.g_01977	Prao.g_00797
OG0000282	Syap.g_01252	Prao.g_00847
OG0000283	Syap.g_01728	Prao.g_00879
OG0000284	Syap.g_01736	Prao.g_00884
OG0000285	Syap.g_01746, Syap.g_01744	Prao.g_00889
OG0000286	Syap.g_02014, Syap.g_02013	Prao.g_00901
OG0000288	Syap.g_02764, Syap.g_02763	Prao.g_00947
OG0000289	Syap.g_02784	Prao.g_00958
OG0000290	Syap.g_01552	Prao.g_00971
OG0000291	Syap.g_01554	Prao.g_00973
OG0000292	Syap.g_02314	Prao.g_01025
OG0000293	Syap.g_00240	Prao.g_01098
OG0000294	Syap.g_00239	Prao.g_01097
OG0000295	Syap.g_00206	Prao.g_01077
OG0000296	Syap.g_00204	Prao.g_01075
OG0000297	Syap.g_01887	Prao.g_01067
OG0000298	Syap.g_01888	Prao.g_01066
OG0000299	Syap.g_02620	Prao.g_01049
OG0000302	Syap.g_02444, Syap.g_02445	Prao.g_01043
OG0000303	Syap.g_02435	Prao.g_01036
OG0000304	Syap.g_02430	Prao.g_01032
OG0000305	Syap.g_01557	Prao.g_01247
OG0000306	Syap.g_01966	Prao.g_01244
OG0000307	Syap.g_02517	Prao.g_01230
OG0000308	Syap.g_02514, Syap.g_02515	Prao.g_01229
OG0000309	Syap.g_02198, Syap.g_02446	Prao.g_01225
OG0000310	Syap.g_02660, Syap.g_02661	Prao.g_01382
OG0000311	Syap.g_02657	Prao.g_01384
OG0000312	Syap.g_02114	Prao.g_01387
OG0000313	Syap.g_02473	Prao.g_01401
OG0000314	Syap.g_00007	Prao.g_01423
OG0000315	Syap.g_00017	Prao.g_01433
OG0000316	Syap.g_00030	Prao.g_01453
OG0000317	Syap.g_00618	Prao.g_01550
OG0000318	Syap.g_00622, Syap.g_02786	Prao.g_01553
OG0000319	Syap.g_01764, Syap.g_01771	Prao.g_01566
OG0000320	Syap.g_01761, Syap.g_01769	Prao.g_01568
OG0000321	Syap.g_01760, Syap.g_01768	Prao.g_01569
OG0000322	Syap.g_01759, Syap.g_01767	Prao.g_01570
OG0000323	Syap.g_01389	Prao.g_01579
OG0000324	Syap.g_01503	Prao.g_01605
OG0000325	Syap.g_02680	Prao.g_01616
OG0000326	Syap.g_00544	Prao.g_01622
OG0000327	Syap.g_01233, Syap.g_01913	Prao.g_01646
OG0000328	Syap.g_01234, Syap.g_01912	Prao.g_01647
OG0000329	Syap.g_00498	Prao.g_01664
OG0000330	Syap.g_00497	Prao.g_01665
OG0000331	Syap.g_00496	Prao.g_01666
OG0000332	Syap.g_00481	Prao.g_01680
OG0000333	Syap.g_00478	Prao.g_01682
OG0000334	Syap.g_00468	Prao.g_01690
OG0000335	Syap.g_00101, Syap.g_00463	Prao.g_01695
OG0000336	Syap.g_00417, Syap.g_00607	Prao.g_01699
OG0000337	Syap.g_01054	Prao.g_01715
OG0000338	Syap.g_01059	Prao.g_01716
OG0000339	Syap.g_01068	Prao.g_01720
OG0000340	Syap.g_01077	Prao.g_01728
OG0000341	Syap.g_01079	Prao.g_01730
OG0000342	Syap.g_01080, Syap.g_02477	Prao.g_01731
OG0000343	Syap.g_01086, Syap.g_02078	Prao.g_01732
OG0000344	Syap.g_01091	Prao.g_01735
OG0000345	Syap.g_01107, Syap.g_01470	Prao.g_01740
OG0000346	Syap.g_02423, Syap.g_01113	Prao.g_01744
OG0000347	Syap.g_01131, Syap.g_02459	Prao.g_01760
OG0000348	Syap.g_00632	Prao.g_01770
OG0000349	Syap.g_00110, Syap.g_01813	Prao.g_01787
OG0000351	Syap.g_02594	Prao.g_01823
OG0000352	Syap.g_02596, Syap.g_02597	Prao.g_01824
OG0000353	Syap.g_00054	Prao.g_01840
OG0000354	Syap.g_00075, Syap.g_02635	Prao.g_00637
OG0000355	Syap.g_00056	Prao.g_01842
OG0000356	Syap.g_00057	Prao.g_01843
OG0000357	Syap.g_00058	Prao.g_01844
OG0000358	Syap.g_00063	Prao.g_01848
OG0000359	Syap.g_00065	Prao.g_01849
OG0000360	Syap.g_00067	Prao.g_01850
OG0000361	Syap.g_00068	Prao.g_00157
OG0000362	Syap.g_00070	Prao.g_00159
OG0000363	Syap.g_00072	Prao.g_00161
OG0000364	Syap.g_00620	Prao.g_00162
OG0000365	Syap.g_00081	Prao.g_00167
OG0000366	Syap.g_00082	Prao.g_00168
OG0000367	Syap.g_00083	Prao.g_00169
OG0000368	Syap.g_00085	Prao.g_00171
OG0000369	Syap.g_00086	Prao.g_00172
OG0000370	Syap.g_00087	Prao.g_00173
OG0000372	Syap.g_01805	Prao.g_00181
OG0000373	Syap.g_01806	Prao.g_00182
OG0000374	Syap.g_01807	Prao.g_00183
OG0000375	Syap.g_01808	Prao.g_00186
OG0000376	Syap.g_01811	Prao.g_00188
OG0000377	Syap.g_00128	Prao.g_00191
OG0000378	Syap.g_01326	Prao.g_00193
OG0000380	Syap.g_01687	Prao.g_00205
OG0000381	Syap.g_01690	Prao.g_00209
OG0000382	Syap.g_02548	Prao.g_00220
OG0000383	Syap.g_02359	Prao.g_00222
OG0000384	Syap.g_02360	Prao.g_00223
OG0000385	Syap.g_02361	Prao.g_00224
OG0000386	Syap.g_02362	Prao.g_00225
OG0000387	Syap.g_01864	Prao.g_00238
OG0000391	Syap.g_02234	Prao.g_00255
OG0000392	Syap.g_02225	Prao.g_00259
OG0000393	Syap.g_02222	Prao.g_00261
OG0000394	Syap.g_02221	Prao.g_00262
OG0000395	Syap.g_02220	Prao.g_00263
OG0000396	Syap.g_02217	Prao.g_00266
OG0000397	Syap.g_02215	Prao.g_00268
OG0000398	Syap.g_02211	Prao.g_00270
OG0000399	Syap.g_02210	Prao.g_00271
OG0000400	Syap.g_02209	Prao.g_00272
OG0000401	Syap.g_02208	Prao.g_00273
OG0000402	Syap.g_02206	Prao.g_00274
OG0000403	Syap.g_02205	Prao.g_00275
OG0000404	Syap.g_02204, Syap.g_02618	Prao.g_00276
OG0000405	Syap.g_02191	Prao.g_00280
OG0000406	Syap.g_02186	Prao.g_00285
OG0000407	Syap.g_02185	Prao.g_00286
OG0000408	Syap.g_02181, Syap.g_02182	Prao.g_00288
OG0000409	Syap.g_02179	Prao.g_00290
OG0000410	Syap.g_02178	Prao.g_00291
OG0000411	Syap.g_02177	Prao.g_00292
OG0000412	Syap.g_02176	Prao.g_00293
OG0000413	Syap.g_02174	Prao.g_00294
OG0000414	Syap.g_02173	Prao.g_00295
OG0000415	Syap.g_02172	Prao.g_00296
OG0000416	Syap.g_02171	Prao.g_00297
OG0000417	Syap.g_02169	Prao.g_00298
OG0000418	Syap.g_01204	Prao.g_00303
OG0000419	Syap.g_01201	Prao.g_00305
OG0000420	Syap.g_01199	Prao.g_00306
OG0000421	Syap.g_01195	Prao.g_00311
OG0000422	Syap.g_01194	Prao.g_00312
OG0000423	Syap.g_01193	Prao.g_00313
OG0000424	Syap.g_01192	Prao.g_00314
OG0000425	Syap.g_01191	Prao.g_00315
OG0000426	Syap.g_01190	Prao.g_00316
OG0000427	Syap.g_01189	Prao.g_00317
OG0000428	Syap.g_01186	Prao.g_00319
OG0000429	Syap.g_01184	Prao.g_00320
OG0000430	Syap.g_01182	Prao.g_00321
OG0000431	Syap.g_01179	Prao.g_00323
OG0000432	Syap.g_02277	Prao.g_00326
OG0000433	Syap.g_02272	Prao.g_00327
OG0000434	Syap.g_02271	Prao.g_00328
OG0000435	Syap.g_02268	Prao.g_00329
OG0000436	Syap.g_01607	Prao.g_00334
OG0000437	Syap.g_01608	Prao.g_00335
OG0000438	Syap.g_01612	Prao.g_00336
OG0000439	Syap.g_01614	Prao.g_00338
OG0000440	Syap.g_01615	Prao.g_00339
OG0000441	Syap.g_01619	Prao.g_00342
OG0000442	Syap.g_01620	Prao.g_00343
OG0000443	Syap.g_01622	Prao.g_00344
OG0000444	Syap.g_01424	Prao.g_00349
OG0000445	Syap.g_01421	Prao.g_00350
OG0000446	Syap.g_01419	Prao.g_00351
OG0000447	Syap.g_01410	Prao.g_00352
OG0000448	Syap.g_01407	Prao.g_00353
OG0000449	Syap.g_01406	Prao.g_00354
OG0000450	Syap.g_01909	Prao.g_00355
OG0000451	Syap.g_01908	Prao.g_00356
OG0000452	Syap.g_01904	Prao.g_00359
OG0000453	Syap.g_01903	Prao.g_00360
OG0000454	Syap.g_01902	Prao.g_00361
OG0000455	Syap.g_01901	Prao.g_00362
OG0000456	Syap.g_01900	Prao.g_00363
OG0000457	Syap.g_01896	Prao.g_00364
OG0000458	Syap.g_01895	Prao.g_00365
OG0000459	Syap.g_01894	Prao.g_00366
OG0000460	Syap.g_01159	Prao.g_00373
OG0000461	Syap.g_01575	Prao.g_00380
OG0000462	Syap.g_01578	Prao.g_00382
OG0000463	Syap.g_01579	Prao.g_00383
OG0000464	Syap.g_01580	Prao.g_00384
OG0000465	Syap.g_01582	Prao.g_00385
OG0000466	Syap.g_01587	Prao.g_00388
OG0000467	Syap.g_01588	Prao.g_00389
OG0000468	Syap.g_01593	Prao.g_00391
OG0000469	Syap.g_02352	Prao.g_00400
OG0000470	Syap.g_02349	Prao.g_00402
OG0000471	Syap.g_02348	Prao.g_00403
OG0000472	Syap.g_02347	Prao.g_00404
OG0000473	Syap.g_02343	Prao.g_00406
OG0000474	Syap.g_02342	Prao.g_00407
OG0000475	Syap.g_02341	Prao.g_00408
OG0000476	Syap.g_02339	Prao.g_00409
OG0000477	Syap.g_01367	Prao.g_00412
OG0000478	Syap.g_01366	Prao.g_00413
OG0000479	Syap.g_01364	Prao.g_00414
OG0000480	Syap.g_01357	Prao.g_00419
OG0000482	Syap.g_01355	Prao.g_00422
OG0000483	Syap.g_01344	Prao.g_00425
OG0000484	Syap.g_01350	Prao.g_00426
OG0000485	Syap.g_01349	Prao.g_00427
OG0000487	Syap.g_01635	Prao.g_00432
OG0000488	Syap.g_01639	Prao.g_00435
OG0000489	Syap.g_02482	Prao.g_00440
OG0000490	Syap.g_01673	Prao.g_00444
OG0000491	Syap.g_01670	Prao.g_00445
OG0000492	Syap.g_01668	Prao.g_00447
OG0000493	Syap.g_01667	Prao.g_00448
OG0000494	Syap.g_01666	Prao.g_00449
OG0000495	Syap.g_01665	Prao.g_00450
OG0000496	Syap.g_01663	Prao.g_00451
OG0000497	Syap.g_01662	Prao.g_00452
OG0000498	Syap.g_01661	Prao.g_00453
OG0000499	Syap.g_01660	Prao.g_00454
OG0000500	Syap.g_01659	Prao.g_00455
OG0000501	Syap.g_01656	Prao.g_00457
OG0000502	Syap.g_02066	Prao.g_00460
OG0000503	Syap.g_00569	Prao.g_00470
OG0000504	Syap.g_00567	Prao.g_00471
OG0000505	Syap.g_00566	Prao.g_00472
OG0000506	Syap.g_00564	Prao.g_00474
OG0000507	Syap.g_00558	Prao.g_00476
OG0000508	Syap.g_00554	Prao.g_00479
OG0000509	Syap.g_00551	Prao.g_00481
OG0000510	Syap.g_00550	Prao.g_00482
OG0000511	Syap.g_00548	Prao.g_00483
OG0000512	Syap.g_02145	Prao.g_00485
OG0000513	Syap.g_02048	Prao.g_00492
OG0000514	Syap.g_02051	Prao.g_00535
OG0000515	Syap.g_02052	Prao.g_00536
OG0000516	Syap.g_02054	Prao.g_00537
OG0000517	Syap.g_02057	Prao.g_00539
OG0000519	Syap.g_00457	Prao.g_00551
OG0000520	Syap.g_00456	Prao.g_00552
OG0000521	Syap.g_01997	Prao.g_00557
OG0000522	Syap.g_01995	Prao.g_00559
OG0000523	Syap.g_02507	Prao.g_00560
OG0000524	Syap.g_02135	Prao.g_00567
OG0000525	Syap.g_02159	Prao.g_00570
OG0000526	Syap.g_02157	Prao.g_00571
OG0000527	Syap.g_02758	Prao.g_00579
OG0000528	Syap.g_02261	Prao.g_00584
OG0000529	Syap.g_02254	Prao.g_00587
OG0000530	Syap.g_02252	Prao.g_00590
OG0000531	Syap.g_02251	Prao.g_00591
OG0000532	Syap.g_02247	Prao.g_00593
OG0000533	Syap.g_02244	Prao.g_00594
OG0000534	Syap.g_02243	Prao.g_00595
OG0000535	Syap.g_02242	Prao.g_00596
OG0000536	Syap.g_02241	Prao.g_00597
OG0000537	Syap.g_02240	Prao.g_00598
OG0000538	Syap.g_00271	Prao.g_00606
OG0000539	Syap.g_00270	Prao.g_00607
OG0000540	Syap.g_00269	Prao.g_00608
OG0000541	Syap.g_00268	Prao.g_00609
OG0000542	Syap.g_00264	Prao.g_00611
OG0000543	Syap.g_00261	Prao.g_00613
OG0000544	Syap.g_00260	Prao.g_00614
OG0000545	Syap.g_00259	Prao.g_00616
OG0000546	Syap.g_00256	Prao.g_00619
OG0000547	Syap.g_00254	Prao.g_00621
OG0000548	Syap.g_00253	Prao.g_00622
OG0000549	Syap.g_00758	Prao.g_00624
OG0000550	Syap.g_02747	Prao.g_00629
OG0000551	Syap.g_02739	Prao.g_00633
OG0000552	Syap.g_02738	Prao.g_00634
OG0000553	Syap.g_02735	Prao.g_00635
OG0000554	Syap.g_01450	Prao.g_01857
OG0000555	Syap.g_01941	Prao.g_01161
OG0000556	Syap.g_01933	Prao.g_01163
OG0000557	Syap.g_01931	Prao.g_01164
OG0000558	Syap.g_01147	Prao.g_01166
OG0000560	Syap.g_00305	Prao.g_01173
OG0000561	Syap.g_00304	Prao.g_01174
OG0000562	Syap.g_00302	Prao.g_01175
OG0000563	Syap.g_00301	Prao.g_01176
OG0000564	Syap.g_00300	Prao.g_01177
OG0000565	Syap.g_00296	Prao.g_01180
OG0000566	Syap.g_00291	Prao.g_01182
OG0000567	Syap.g_01297	Prao.g_01186
OG0000568	Syap.g_01302	Prao.g_01187
OG0000569	Syap.g_01303	Prao.g_01862
OG0000570	Syap.g_01304	Prao.g_01863
OG0000571	Syap.g_01307	Prao.g_01865
OG0000573	Syap.g_00765	Prao.g_00030
OG0000574	Syap.g_00759	Prao.g_00031
OG0000575	Syap.g_00445	Prao.g_00035
OG0000576	Syap.g_00450	Prao.g_00037
OG0000577	Syap.g_00451	Prao.g_00038
OG0000578	Syap.g_00452	Prao.g_00039
OG0000579	Syap.g_00453	Prao.g_00040
OG0000580	Syap.g_00454	Prao.g_00041
OG0000581	Syap.g_01521	Prao.g_00043
OG0000582	Syap.g_01533	Prao.g_00046
OG0000583	Syap.g_01532	Prao.g_00047
OG0000584	Syap.g_01530	Prao.g_00048
OG0000585	Syap.g_01526	Prao.g_00050
OG0000586	Syap.g_01525	Prao.g_00051
OG0000587	Syap.g_01523	Prao.g_00052
OG0000588	Syap.g_00776	Prao.g_00056
OG0000589	Syap.g_00941	Prao.g_00060
OG0000590	Syap.g_00940	Prao.g_00061
OG0000591	Syap.g_01289	Prao.g_00064
OG0000592	Syap.g_01288	Prao.g_00065
