Orthogroup	Syaf	Prbf
OG0000063	Syaf.g_00457	Prbf.g_00808
OG0000064	Syaf.g_01063, Syaf.g_02253, Syaf.g_01667	Prbf.g_01394
OG0000065	Syaf.g_00903	Prbf.g_01435
OG0000066	Syaf.g_02643	Prbf.g_01820, Prbf.g_00781
OG0000067	Syaf.g_02049	Prbf.g_01245
OG0000068	Syaf.g_02733	Prbf.g_00095
OG0000070	Syaf.g_01237	Prbf.g_01734
OG0000071	Syaf.g_01254	Prbf.g_00026
OG0000072	Syaf.g_00805	Prbf.g_01505
OG0000073	Syaf.g_02700	Prbf.g_01783
OG0000075	Syaf.g_00353	Prbf.g_00522
OG0000076	Syaf.g_00388	Prbf.g_00496
OG0000077	Syaf.g_00951	Prbf.g_01405
OG0000078	Syaf.g_02782	Prbf.g_01578
OG0000079	Syaf.g_00197	Prbf.g_01591
OG0000081	Syaf.g_02776	Prbf.g_01812
OG0000082	Syaf.g_02576	Prbf.g_01867, Prbf.g_00704
OG0000084	Syaf.g_02409	Prbf.g_00154
OG0000085	Syaf.g_01048	Prbf.g_00822, Prbf.g_00701
OG0000086	Syaf.g_00932	Prbf.g_01414
OG0000087	Syaf.g_00848	Prbf.g_01469
OG0000088	Syaf.g_00811	Prbf.g_01500
OG0000089	Syaf.g_02807	Prbf.g_01701
OG0000090	Syaf.g_02654	Prbf.g_01814
OG0000091	Syaf.g_02302	Prbf.g_00990
OG0000093	Syaf.g_02065	Prbf.g_01019
OG0000094	Syaf.g_01940	Prbf.g_01068
OG0000095	Syaf.g_01442	Prbf.g_01170
OG0000097	Syaf.g_01574	Prbf.g_00964
OG0000098	Syaf.g_01637	Prbf.g_00071
OG0000099	Syaf.g_00312	Prbf.g_00118
OG0000100	Syaf.g_02017	Prbf.g_00236
OG0000101	Syaf.g_00093	Prbf.g_00558
OG0000102	Syaf.g_00393	Prbf.g_00491
OG0000103	Syaf.g_00520	Prbf.g_00406
OG0000104	Syaf.g_00502	Prbf.g_00397
OG0000105	Syaf.g_00235	Prbf.g_01614
OG0000106	Syaf.g_01745	Prbf.g_00320
OG0000107	Syaf.g_00177, Syaf.g_00758	Prbf.g_00629
OG0000108	Syaf.g_02721	Prbf.g_01763
OG0000109	Syaf.g_02706	Prbf.g_01777
OG0000110	Syaf.g_02589	Prbf.g_01856
OG0000111	Syaf.g_01451	Prbf.g_01260
OG0000112	Syaf.g_01852	Prbf.g_01929
OG0000113	Syaf.g_02022	Prbf.g_01222
OG0000114	Syaf.g_02103	Prbf.g_01320
OG0000115	Syaf.g_02445	Prbf.g_00062
OG0000116	Syaf.g_01276	Prbf.g_00907
OG0000117	Syaf.g_01605	Prbf.g_00945
OG0000118	Syaf.g_02544	Prbf.g_00013
OG0000120	Syaf.g_00313	Prbf.g_00115
OG0000121	Syaf.g_02419	Prbf.g_00159
OG0000123	Syaf.g_00086	Prbf.g_00551
OG0000124	Syaf.g_00414	Prbf.g_00478
OG0000125	Syaf.g_00640	Prbf.g_00443
OG0000126	Syaf.g_00504	Prbf.g_00398
OG0000128	Syaf.g_00486	Prbf.g_00382
OG0000129	Syaf.g_00651	Prbf.g_01367
OG0000130	Syaf.g_00963	Prbf.g_01396
OG0000131	Syaf.g_00833	Prbf.g_01478
OG0000132	Syaf.g_00813	Prbf.g_01498
OG0000133	Syaf.g_01857	Prbf.g_01661
OG0000134	Syaf.g_02804	Prbf.g_01703
OG0000135	Syaf.g_00605	Prbf.g_00044
OG0000136	Syaf.g_01224	Prbf.g_01725
OG0000137	Syaf.g_02498	Prbf.g_01758
OG0000138	Syaf.g_02705	Prbf.g_01778
OG0000139	Syaf.g_02648	Prbf.g_01818
OG0000140	Syaf.g_02646	Prbf.g_01819
OG0000141	Syaf.g_02375	Prbf.g_01890
OG0000142	Syaf.g_02310	Prbf.g_00982
OG0000143	Syaf.g_02306	Prbf.g_00986
OG0000144	Syaf.g_01735	Prbf.g_01000
OG0000145	Syaf.g_02699	Prbf.g_00042
OG0000146	Syaf.g_01851	Prbf.g_01928
OG0000147	Syaf.g_01850	Prbf.g_01927
OG0000148	Syaf.g_02028	Prbf.g_01228
OG0000149	Syaf.g_01371	Prbf.g_01196
OG0000150	Syaf.g_02645	Prbf.g_01186
OG0000151	Syaf.g_02091	Prbf.g_01310
OG0000152	Syaf.g_01861	Prbf.g_01117
OG0000153	Syaf.g_01904	Prbf.g_01098
OG0000154	Syaf.g_01930	Prbf.g_01078
OG0000155	Syaf.g_01324	Prbf.g_00939
OG0000156	Syaf.g_01270	Prbf.g_00037
OG0000157	Syaf.g_01269	Prbf.g_00036
OG0000158	Syaf.g_00364	Prbf.g_00514
OG0000159	Syaf.g_00311	Prbf.g_01387
OG0000160	Syaf.g_02418	Prbf.g_00158
OG0000161	Syaf.g_02424	Prbf.g_00164
OG0000162	Syaf.g_02431	Prbf.g_00170
OG0000163	Syaf.g_01105	Prbf.g_00209
OG0000164	Syaf.g_00999	Prbf.g_00669
OG0000165	Syaf.g_01197	Prbf.g_00662
OG0000166	Syaf.g_00133	Prbf.g_00595
OG0000167	Syaf.g_00350	Prbf.g_00524
OG0000168	Syaf.g_00365	Prbf.g_00513
OG0000169	Syaf.g_00376	Prbf.g_00503
OG0000170	Syaf.g_00383	Prbf.g_00500
OG0000171	Syaf.g_00413	Prbf.g_00479
OG0000172	Syaf.g_00419	Prbf.g_00472
OG0000173	Syaf.g_00438	Prbf.g_00457
OG0000174	Syaf.g_00603	Prbf.g_00428
OG0000175	Syaf.g_00531	Prbf.g_00415
OG0000176	Syaf.g_00494	Prbf.g_00389
OG0000177	Syaf.g_00493	Prbf.g_00388
OG0000178	Syaf.g_00492	Prbf.g_00387
OG0000179	Syaf.g_00477	Prbf.g_01338
OG0000180	Syaf.g_00476	Prbf.g_01339
OG0000181	Syaf.g_00475	Prbf.g_01340
OG0000182	Syaf.g_00474	Prbf.g_01341
OG0000183	Syaf.g_00470	Prbf.g_01345
OG0000184	Syaf.g_00664	Prbf.g_01371
OG0000185	Syaf.g_00684	Prbf.g_01374
OG0000186	Syaf.g_00968	Prbf.g_01390
OG0000187	Syaf.g_00966	Prbf.g_01391
OG0000188	Syaf.g_00944	Prbf.g_01408
OG0000189	Syaf.g_00916	Prbf.g_01422
OG0000190	Syaf.g_00914	Prbf.g_01424
OG0000191	Syaf.g_00877	Prbf.g_01447
OG0000192	Syaf.g_00871	Prbf.g_01452
OG0000193	Syaf.g_00832	Prbf.g_01479
OG0000194	Syaf.g_00829	Prbf.g_01482
OG0000195	Syaf.g_00827	Prbf.g_01484
OG0000196	Syaf.g_00816	Prbf.g_01495
OG0000197	Syaf.g_00815	Prbf.g_01496
OG0000198	Syaf.g_00814	Prbf.g_01497
OG0000199	Syaf.g_00806	Prbf.g_01504
OG0000200	Syaf.g_00789	Prbf.g_01518
OG0000201	Syaf.g_00771	Prbf.g_01527
OG0000202	Syaf.g_00770	Prbf.g_01528
OG0000203	Syaf.g_00769	Prbf.g_01529
OG0000204	Syaf.g_00768	Prbf.g_01530
OG0000205	Syaf.g_00761	Prbf.g_01537
OG0000206	Syaf.g_00736	Prbf.g_01542
OG0000207	Syaf.g_00735	Prbf.g_01545
OG0000208	Syaf.g_00734	Prbf.g_01546
OG0000209	Syaf.g_00714	Prbf.g_01555
OG0000210	Syaf.g_00713	Prbf.g_01556
OG0000211	Syaf.g_02791	Prbf.g_01571
OG0000212	Syaf.g_02781	Prbf.g_01579
OG0000213	Syaf.g_00210	Prbf.g_01597
OG0000214	Syaf.g_00226	Prbf.g_01607
OG0000215	Syaf.g_00258	Prbf.g_01634
OG0000216	Syaf.g_00262	Prbf.g_01635
OG0000217	Syaf.g_00266	Prbf.g_01638
OG0000218	Syaf.g_00268	Prbf.g_01640
OG0000219	Syaf.g_00269	Prbf.g_01641
OG0000220	Syaf.g_00270	Prbf.g_01642
OG0000221	Syaf.g_02597, Syaf.g_00273	Prbf.g_01643
OG0000222	Syaf.g_00287	Prbf.g_01650
OG0000223	Syaf.g_00317	Prbf.g_01662
OG0000224	Syaf.g_00324	Prbf.g_01664
OG0000225	Syaf.g_00007	Prbf.g_01690
OG0000226	Syaf.g_00003	Prbf.g_01694
OG0000227	Syaf.g_00001	Prbf.g_01696
OG0000228	Syaf.g_02808	Prbf.g_01700
OG0000229	Syaf.g_01214	Prbf.g_01720
OG0000230	Syaf.g_01216	Prbf.g_01722
OG0000231	Syaf.g_01236	Prbf.g_01733
OG0000232	Syaf.g_02536	Prbf.g_01744
OG0000233	Syaf.g_02528	Prbf.g_01750
OG0000234	Syaf.g_02497	Prbf.g_01759
OG0000235	Syaf.g_02722	Prbf.g_01762
OG0000236	Syaf.g_02707	Prbf.g_01776
OG0000237	Syaf.g_02690	Prbf.g_01789
OG0000238	Syaf.g_02685	Prbf.g_01795
OG0000239	Syaf.g_02669	Prbf.g_01806
OG0000240	Syaf.g_02668	Prbf.g_01807
OG0000241	Syaf.g_02322	Prbf.g_01811
OG0000242	Syaf.g_02656	Prbf.g_01813
OG0000243	Syaf.g_02634	Prbf.g_01824
OG0000244	Syaf.g_02627	Prbf.g_01827
OG0000245	Syaf.g_02625	Prbf.g_01829
OG0000246	Syaf.g_02621	Prbf.g_01833
OG0000247	Syaf.g_02610	Prbf.g_01843
OG0000248	Syaf.g_02607	Prbf.g_01846
OG0000249	Syaf.g_02605	Prbf.g_01848
OG0000250	Syaf.g_02593	Prbf.g_01853
OG0000251	Syaf.g_02568	Prbf.g_01873
OG0000252	Syaf.g_02565	Prbf.g_01876
OG0000253	Syaf.g_02564	Prbf.g_01877
OG0000254	Syaf.g_02371	Prbf.g_01894
OG0000255	Syaf.g_02352	Prbf.g_01900
OG0000256	Syaf.g_02329	Prbf.g_01910
OG0000257	Syaf.g_02323	Prbf.g_00977
OG0000258	Syaf.g_02301	Prbf.g_00991
OG0000259	Syaf.g_02137	Prbf.g_01008
OG0000260	Syaf.g_02134	Prbf.g_01011
OG0000261	Syaf.g_02131	Prbf.g_01014
OG0000262	Syaf.g_02126	Prbf.g_01018
OG0000263	Syaf.g_01585	Prbf.g_01282
OG0000264	Syaf.g_01473	Prbf.g_01271
OG0000265	Syaf.g_01196	Prbf.g_01253
OG0000266	Syaf.g_01967	Prbf.g_01037
OG0000267	Syaf.g_01787	Prbf.g_01049
OG0000268	Syaf.g_00307, Syaf.g_01788	Prbf.g_01050
OG0000269	Syaf.g_02054	Prbf.g_01250
OG0000270	Syaf.g_02051	Prbf.g_01247
OG0000271	Syaf.g_02043	Prbf.g_01239
OG0000272	Syaf.g_02042	Prbf.g_01238
OG0000273	Syaf.g_01392	Prbf.g_01214
OG0000274	Syaf.g_01391	Prbf.g_01213
OG0000275	Syaf.g_01386	Prbf.g_01210
OG0000276	Syaf.g_01379	Prbf.g_01204
OG0000277	Syaf.g_01378	Prbf.g_01203
OG0000278	Syaf.g_01375	Prbf.g_01200
OG0000279	Syaf.g_01367	Prbf.g_01193
OG0000280	Syaf.g_01337	Prbf.g_01192
OG0000281	Syaf.g_01636	Prbf.g_01185
OG0000282	Syaf.g_02101	Prbf.g_01318
OG0000283	Syaf.g_01804	Prbf.g_01141
OG0000284	Syaf.g_01810	Prbf.g_01136
OG0000285	Syaf.g_01842	Prbf.g_01131
OG0000286	Syaf.g_01860	Prbf.g_01118
OG0000287	Syaf.g_01896	Prbf.g_00065
OG0000288	Syaf.g_01929	Prbf.g_01079
OG0000289	Syaf.g_01943	Prbf.g_01063
OG0000290	Syaf.g_01439	Prbf.g_01167
OG0000291	Syaf.g_01441	Prbf.g_01169
OG0000292	Syaf.g_00505	Prbf.g_00873
OG0000293	Syaf.g_01277	Prbf.g_00908
OG0000294	Syaf.g_01278	Prbf.g_00909
OG0000295	Syaf.g_01316	Prbf.g_00932
OG0000296	Syaf.g_01318	Prbf.g_00934
OG0000297	Syaf.g_01607	Prbf.g_00943
OG0000298	Syaf.g_01606	Prbf.g_00944
OG0000299	Syaf.g_01578	Prbf.g_00963
OG0000300	Syaf.g_01571	Prbf.g_00966
OG0000301	Syaf.g_01570	Prbf.g_00967
OG0000302	Syaf.g_01568	Prbf.g_00969
OG0000303	Syaf.g_01559	Prbf.g_00975
OG0000304	Syaf.g_01551	Prbf.g_01915
OG0000305	Syaf.g_01444	Prbf.g_00875
OG0000306	Syaf.g_01332	Prbf.g_01181
OG0000307	Syaf.g_02742	Prbf.g_00104
OG0000308	Syaf.g_02744	Prbf.g_00105
OG0000309	Syaf.g_02749	Prbf.g_00109
OG0000310	Syaf.g_02387	Prbf.g_00143
OG0000311	Syaf.g_02391	Prbf.g_00145
OG0000312	Syaf.g_02397	Prbf.g_00148
OG0000313	Syaf.g_02421	Prbf.g_00161
OG0000314	Syaf.g_02458	Prbf.g_00184
OG0000315	Syaf.g_02468	Prbf.g_00194
OG0000316	Syaf.g_01088	Prbf.g_00219
OG0000317	Syaf.g_01040	Prbf.g_00696
OG0000318	Syaf.g_01032	Prbf.g_00692
OG0000319	Syaf.g_01015	Prbf.g_00679
OG0000320	Syaf.g_01013	Prbf.g_00677
OG0000321	Syaf.g_01012	Prbf.g_00676
OG0000322	Syaf.g_01011	Prbf.g_00675
OG0000323	Syaf.g_00997	Prbf.g_00666
OG0000324	Syaf.g_01164	Prbf.g_00639
OG0000325	Syaf.g_00176	Prbf.g_00628
OG0000326	Syaf.g_00169	Prbf.g_00621
OG0000327	Syaf.g_00138	Prbf.g_00600
OG0000328	Syaf.g_00137	Prbf.g_00599
OG0000329	Syaf.g_00119	Prbf.g_00582
OG0000330	Syaf.g_00118	Prbf.g_00581
OG0000331	Syaf.g_00117	Prbf.g_00580
OG0000332	Syaf.g_00102	Prbf.g_00566
OG0000333	Syaf.g_00099	Prbf.g_00564
OG0000334	Syaf.g_00090	Prbf.g_00555
OG0000335	Syaf.g_00085	Prbf.g_00550
OG0000336	Syaf.g_00081	Prbf.g_00546
OG0000337	Syaf.g_00344	Prbf.g_00528
OG0000338	Syaf.g_00348	Prbf.g_00527
OG0000339	Syaf.g_00355	Prbf.g_00521
OG0000340	Syaf.g_00366	Prbf.g_00512
OG0000341	Syaf.g_00368	Prbf.g_00510
OG0000342	Syaf.g_00369	Prbf.g_00509
OG0000343	Syaf.g_00370	Prbf.g_00508
OG0000344	Syaf.g_00374	Prbf.g_00505
OG0000345	Syaf.g_00384	Prbf.g_00499
OG0000346	Syaf.g_00389	Prbf.g_00495
OG0000347	Syaf.g_00415	Prbf.g_00477
OG0000348	Syaf.g_00427	Prbf.g_00469
OG0000349	Syaf.g_00445	Prbf.g_00452
OG0000350	Syaf.g_00162	Prbf.g_00351
OG0000351	Syaf.g_00528	Prbf.g_00412
OG0000352	Syaf.g_00527	Prbf.g_00411
OG0000353	Syaf.g_00499	Prbf.g_00394
OG0000355	Syaf.g_00497	Prbf.g_00392
OG0000356	Syaf.g_00496	Prbf.g_00391
OG0000357	Syaf.g_00495	Prbf.g_00390
OG0000358	Syaf.g_00491	Prbf.g_00386
OG0000359	Syaf.g_00489	Prbf.g_00385
OG0000360	Syaf.g_00488	Prbf.g_00384
OG0000361	Syaf.g_00487	Prbf.g_00383
OG0000362	Syaf.g_00485	Prbf.g_00381
OG0000363	Syaf.g_00483	Prbf.g_01336
OG0000364	Syaf.g_00482	Prbf.g_01337
OG0000365	Syaf.g_00473	Prbf.g_01342
OG0000366	Syaf.g_00472	Prbf.g_01343
OG0000367	Syaf.g_00471	Prbf.g_01344
OG0000368	Syaf.g_00469	Prbf.g_01346
OG0000369	Syaf.g_00468	Prbf.g_01347
OG0000370	Syaf.g_00467	Prbf.g_01348
OG0000371	Syaf.g_00458	Prbf.g_01355
OG0000372	Syaf.g_00453	Prbf.g_01358
OG0000373	Syaf.g_00452	Prbf.g_01359
OG0000374	Syaf.g_00451	Prbf.g_01360
OG0000375	Syaf.g_00449	Prbf.g_01362
OG0000376	Syaf.g_00447	Prbf.g_01364
OG0000377	Syaf.g_00654	Prbf.g_01368
OG0000378	Syaf.g_00668	Prbf.g_01372
OG0000379	Syaf.g_00686	Prbf.g_01375
OG0000380	Syaf.g_00965	Prbf.g_01392
OG0000381	Syaf.g_00962	Prbf.g_01397
OG0000382	Syaf.g_00945	Prbf.g_01407
OG0000383	Syaf.g_00941	Prbf.g_01409
OG0000384	Syaf.g_00940	Prbf.g_01410
OG0000385	Syaf.g_00939	Prbf.g_01411
OG0000386	Syaf.g_00938	Prbf.g_01412
OG0000387	Syaf.g_00912	Prbf.g_01426
OG0000388	Syaf.g_00908	Prbf.g_01430
OG0000389	Syaf.g_00904	Prbf.g_01433
OG0000390	Syaf.g_00883	Prbf.g_01443
OG0000391	Syaf.g_00878	Prbf.g_01446
OG0000392	Syaf.g_00872	Prbf.g_01450
OG0000393	Syaf.g_00870	Prbf.g_01453
OG0000394	Syaf.g_00869	Prbf.g_01454
OG0000395	Syaf.g_00868	Prbf.g_01455
OG0000396	Syaf.g_00865	Prbf.g_01457
OG0000397	Syaf.g_00863	Prbf.g_01459
OG0000398	Syaf.g_00858	Prbf.g_01462
OG0000399	Syaf.g_00857	Prbf.g_01463
OG0000400	Syaf.g_00856	Prbf.g_01464
OG0000401	Syaf.g_00855	Prbf.g_01465
OG0000402	Syaf.g_00852	Prbf.g_01055
OG0000403	Syaf.g_00851	Prbf.g_01467
OG0000404	Syaf.g_00850	Prbf.g_01468
OG0000405	Syaf.g_00835	Prbf.g_01472
OG0000406	Syaf.g_00831	Prbf.g_01480
OG0000407	Syaf.g_00830	Prbf.g_01481
OG0000408	Syaf.g_00828	Prbf.g_01483
OG0000409	Syaf.g_00826	Prbf.g_01485
OG0000410	Syaf.g_00825	Prbf.g_01486
OG0000411	Syaf.g_00824	Prbf.g_01487
OG0000412	Syaf.g_00823	Prbf.g_01488
OG0000413	Syaf.g_00821	Prbf.g_01490
OG0000414	Syaf.g_00820	Prbf.g_01491
OG0000415	Syaf.g_00819	Prbf.g_01492
OG0000416	Syaf.g_00818	Prbf.g_01493
OG0000417	Syaf.g_00817	Prbf.g_01494
OG0000418	Syaf.g_00812	Prbf.g_01499
OG0000419	Syaf.g_00810	Prbf.g_01501
OG0000420	Syaf.g_00808	Prbf.g_01502
OG0000421	Syaf.g_00803	Prbf.g_01507
OG0000422	Syaf.g_00802	Prbf.g_01508
OG0000423	Syaf.g_00801	Prbf.g_01509
OG0000424	Syaf.g_00800	Prbf.g_01510
OG0000425	Syaf.g_00799	Prbf.g_01511
OG0000426	Syaf.g_00798	Prbf.g_01512
OG0000427	Syaf.g_00797	Prbf.g_01513
OG0000428	Syaf.g_00794	Prbf.g_01515
OG0000429	Syaf.g_00792	Prbf.g_01516
OG0000430	Syaf.g_00790	Prbf.g_01517
OG0000431	Syaf.g_00786	Prbf.g_01519
OG0000432	Syaf.g_00779	Prbf.g_01523
OG0000433	Syaf.g_00777	Prbf.g_01524
OG0000434	Syaf.g_00776	Prbf.g_01525
OG0000435	Syaf.g_00772	Prbf.g_01526
OG0000436	Syaf.g_00767	Prbf.g_01531
OG0000437	Syaf.g_00766	Prbf.g_01532
OG0000438	Syaf.g_00765	Prbf.g_01533
OG0000439	Syaf.g_00763	Prbf.g_01535
OG0000440	Syaf.g_00762	Prbf.g_01536
OG0000441	Syaf.g_00756	Prbf.g_01539
OG0000442	Syaf.g_00743	Prbf.g_01540
OG0000443	Syaf.g_00739	Prbf.g_01541
OG0000444	Syaf.g_00733	Prbf.g_01547
OG0000445	Syaf.g_00729	Prbf.g_01548
OG0000446	Syaf.g_00728	Prbf.g_01549
OG0000447	Syaf.g_00725	Prbf.g_01550
OG0000448	Syaf.g_00724	Prbf.g_01551
OG0000449	Syaf.g_00723	Prbf.g_01552
OG0000450	Syaf.g_00717	Prbf.g_01553
OG0000451	Syaf.g_00716	Prbf.g_01554
OG0000452	Syaf.g_00712	Prbf.g_01557
OG0000453	Syaf.g_00711	Prbf.g_01558
OG0000454	Syaf.g_00710	Prbf.g_01559
OG0000455	Syaf.g_00709	Prbf.g_01560
OG0000456	Syaf.g_00708	Prbf.g_01561
OG0000457	Syaf.g_00706	Prbf.g_01563
OG0000458	Syaf.g_00705	Prbf.g_01564
OG0000459	Syaf.g_00704	Prbf.g_01565
OG0000460	Syaf.g_02789	Prbf.g_01573
OG0000461	Syaf.g_00183	Prbf.g_01581
OG0000462	Syaf.g_00186	Prbf.g_01583
OG0000463	Syaf.g_00187	Prbf.g_01584
OG0000464	Syaf.g_00188	Prbf.g_01585
OG0000465	Syaf.g_00190	Prbf.g_01586
OG0000466	Syaf.g_00194	Prbf.g_01589
OG0000467	Syaf.g_00196	Prbf.g_01590
OG0000468	Syaf.g_00206	Prbf.g_01593
OG0000469	Syaf.g_00220	Prbf.g_01601
OG0000470	Syaf.g_00222	Prbf.g_01603
OG0000471	Syaf.g_00223	Prbf.g_01604
OG0000472	Syaf.g_00225	Prbf.g_01606
OG0000473	Syaf.g_00227	Prbf.g_01608
OG0000474	Syaf.g_00228	Prbf.g_01609
OG0000475	Syaf.g_00229	Prbf.g_01610
OG0000476	Syaf.g_00231	Prbf.g_01612
OG0000477	Syaf.g_00237	Prbf.g_01615
OG0000478	Syaf.g_00238	Prbf.g_01616
OG0000479	Syaf.g_00239	Prbf.g_01617
OG0000480	Syaf.g_00247	Prbf.g_01622
OG0000481	Syaf.g_00249	Prbf.g_01625
OG0000482	Syaf.g_00250	Prbf.g_01626
OG0000483	Syaf.g_00254	Prbf.g_01629
OG0000484	Syaf.g_00255	Prbf.g_01630
OG0000485	Syaf.g_00256	Prbf.g_01632
OG0000486	Syaf.g_00257	Prbf.g_01633
OG0000487	Syaf.g_00263	Prbf.g_01636
OG0000488	Syaf.g_00267	Prbf.g_01639
OG0000489	Syaf.g_00274	Prbf.g_01644
OG0000490	Syaf.g_00284	Prbf.g_01648
OG0000491	Syaf.g_00285	Prbf.g_01649
OG0000492	Syaf.g_00288	Prbf.g_01651
OG0000493	Syaf.g_00289	Prbf.g_01652
OG0000494	Syaf.g_00290	Prbf.g_01653
OG0000495	Syaf.g_00291	Prbf.g_01654
OG0000496	Syaf.g_00292	Prbf.g_01655
OG0000497	Syaf.g_00293	Prbf.g_01656
OG0000498	Syaf.g_00294	Prbf.g_01657
OG0000499	Syaf.g_00295	Prbf.g_01658
OG0000500	Syaf.g_00296	Prbf.g_01659
OG0000501	Syaf.g_00299	Prbf.g_01660
OG0000502	Syaf.g_00319	Prbf.g_01663
OG0000503	Syaf.g_00023	Prbf.g_01678
OG0000504	Syaf.g_00021	Prbf.g_01680
OG0000505	Syaf.g_00020	Prbf.g_01681
OG0000506	Syaf.g_00018	Prbf.g_01682
OG0000507	Syaf.g_00012	Prbf.g_01685
OG0000508	Syaf.g_00008	Prbf.g_01689
OG0000509	Syaf.g_00006	Prbf.g_01691
OG0000510	Syaf.g_00005	Prbf.g_01692
OG0000511	Syaf.g_00004	Prbf.g_01693
OG0000512	Syaf.g_00002	Prbf.g_01695
OG0000513	Syaf.g_02803	Prbf.g_01704
OG0000514	Syaf.g_02796	Prbf.g_01715
OG0000515	Syaf.g_02795	Prbf.g_01716
OG0000516	Syaf.g_01219	Prbf.g_01717
OG0000517	Syaf.g_01213	Prbf.g_01719
OG0000518	Syaf.g_01230	Prbf.g_01730
OG0000519	Syaf.g_01231	Prbf.g_01731
OG0000520	Syaf.g_01235	Prbf.g_01732
OG0000521	Syaf.g_02542	Prbf.g_01740
OG0000522	Syaf.g_02538	Prbf.g_01742
OG0000523	Syaf.g_02537	Prbf.g_01743
OG0000524	Syaf.g_02531	Prbf.g_01748
OG0000525	Syaf.g_02507	Prbf.g_01752
OG0000526	Syaf.g_02504	Prbf.g_01753
OG0000527	Syaf.g_02500	Prbf.g_01756
OG0000528	Syaf.g_02728	Prbf.g_01761
OG0000529	Syaf.g_02720	Prbf.g_01764
OG0000530	Syaf.g_02717	Prbf.g_01767
OG0000531	Syaf.g_02716	Prbf.g_01768
OG0000532	Syaf.g_02713	Prbf.g_01770
OG0000533	Syaf.g_02712	Prbf.g_01771
OG0000534	Syaf.g_02711	Prbf.g_01772
OG0000535	Syaf.g_02710	Prbf.g_01773
OG0000536	Syaf.g_02709	Prbf.g_01774
OG0000537	Syaf.g_02708	Prbf.g_01775
OG0000538	Syaf.g_02697	Prbf.g_01784
OG0000539	Syaf.g_02696	Prbf.g_01785
OG0000540	Syaf.g_02695	Prbf.g_01786
OG0000541	Syaf.g_02694	Prbf.g_01787
OG0000542	Syaf.g_02691	Prbf.g_01788
OG0000543	Syaf.g_02689	Prbf.g_01790
