	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Pral	6.0	6.0	4.0	8.0	4.0	0.0	4.0	0.0	0.0	6.0	2.0	0.0	0.0	2.0	4.0	0.0	4.0	4.0	10.0	0.0	10.0	8.0	4.0	2.0	4.0	4.0	4.0	6.0	9.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	0.0
Pram	4.0	2.0	2.0	7.0	2.0	4.0	2.0	4.0	2.0	5.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	2.0	7.0	4.0	7.0	4.0	2.0	4.0	2.0	2.0	2.0	5.0	5.0	2.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	2.0	7.0	0.0
Pran	2.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	5.0	2.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	2.0	2.0	2.0	2.0	0.0	3.0	3.0	3.0	9.0	2.0
Prao	0.0	0.0	0.0	2.0	0.0	5.0	0.0	5.0	0.0	5.0	2.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	2.0	2.0	2.0	2.0	0.0	3.0	3.0	3.0	7.0	2.0
Prap	2.0	4.0	0.0	6.0	2.0	2.0	6.0	2.0	0.0	5.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	6.0	2.0	2.0	2.0	2.0	5.0	7.0	6.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	2.0	7.0	0.0
Praq	0.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	6.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	5.0	5.0	6.0	0.0
Prar	0.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	6.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	3.0	2.0	5.0	5.0	5.0	8.0	0.0
Pras	3.0	3.0	0.0	2.0	0.0	4.0	2.0	4.0	4.0	13.0	4.0	11.0	6.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	13.0	0.0	4.0	4.0	4.0	6.0	2.0	4.0	4.0	4.0	15.0	4.0
Prat	2.0	2.0	0.0	5.0	2.0	4.0	2.0	4.0	2.0	4.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	3.0	2.0	2.0	0.0	2.0	4.0	2.0	4.0	6.0	2.0	0.0	0.0	0.0	2.0	2.0	4.0	4.0	4.0	6.0	2.0
Prau	2.0	2.0	0.0	2.0	0.0	6.0	2.0	4.0	2.0	10.0	2.0	10.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	0.0	2.0	2.0	2.0	6.0	0.0	2.0	2.0	2.0	20.0	2.0
Prav	0.0	0.0	0.0	2.0	9.0	12.0	2.0	12.0	0.0	10.0	2.0	10.0	4.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	0.0	2.0	2.0	2.0	4.0	0.0	12.0	10.0	10.0	10.0	2.0
Praw	0.0	0.0	0.0	0.0	2.0	6.0	0.0	6.0	2.0	6.0	7.0	6.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	7.0	7.0	7.0	3.0	0.0	8.0	6.0	6.0	6.0	7.0
Prax	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	5.0	3.0	2.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	3.0	3.0	3.0	5.0	0.0	5.0	3.0	3.0	8.0	3.0
Pray	2.0	0.0	0.0	2.0	4.0	3.0	0.0	3.0	0.0	7.0	2.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	5.0	0.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	7.0	2.0
Praz	0.0	0.0	0.0	0.0	2.0	3.0	0.0	3.0	0.0	5.0	2.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	2.0	2.0	2.0	2.0	0.0	3.0	3.0	3.0	5.0	2.0
Prba	0.0	0.0	0.0	0.0	2.0	3.0	0.0	3.0	0.0	5.0	2.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	2.0	2.0	2.0	2.0	0.0	5.0	5.0	5.0	5.0	2.0
Prbb	13.0	12.0	6.0	6.0	4.0	11.0	7.0	7.0	11.0	7.0	6.0	10.0	8.0	4.0	4.0	6.0	6.0	6.0	20.0	4.0	15.0	12.0	4.0	8.0	13.0	4.0	4.0	0.0	2.0	2.0	6.0	6.0	6.0	8.0	4.0	4.0	4.0	4.0	11.0	6.0
Prbc	7.0	9.0	7.0	10.0	5.0	12.0	5.0	8.0	5.0	2.0	6.0	8.0	4.0	5.0	5.0	6.0	7.0	7.0	16.0	6.0	12.0	9.0	5.0	5.0	5.0	5.0	5.0	2.0	0.0	3.0	6.0	6.0	6.0	4.0	7.0	6.0	6.0	6.0	2.0	6.0
Prbd	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	3.0	6.0	2.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	6.0	6.0	6.0	3.0	0.0	3.0	3.0	3.0	3.0	6.0
Prbe	2.0	4.0	0.0	6.0	2.0	2.0	6.0	2.0	0.0	5.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	6.0	2.0	2.0	2.0	2.0	5.0	7.0	6.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	2.0	7.0	0.0
Prbf	2.0	4.0	0.0	6.0	2.0	2.0	6.0	2.0	0.0	5.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	6.0	2.0	2.0	2.0	2.0	5.0	7.0	6.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	2.0	7.0	0.0
Prbg	2.0	4.0	0.0	6.0	2.0	2.0	6.0	2.0	0.0	5.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	6.0	2.0	2.0	2.0	2.0	5.0	7.0	6.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	2.0	7.0	0.0
Prbh	4.0	2.0	2.0	7.0	2.0	2.0	2.0	2.0	0.0	5.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	2.0	7.0	2.0	7.0	4.0	2.0	4.0	2.0	2.0	2.0	5.0	5.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	7.0	0.0
Prbi	0.0	0.0	0.0	0.0	0.0	7.0	0.0	4.0	0.0	2.0	7.0	2.0	4.0	0.0	0.0	4.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	6.0	0.0	4.0	4.0	4.0	4.0	0.0	6.0	6.0	6.0	11.0	4.0
Prbj	3.0	3.0	5.0	3.0	5.0	4.0	5.0	6.0	8.0	3.0	3.0	0.0	5.0	3.0	3.0	3.0	5.0	5.0	5.0	7.0	3.0	7.0	7.0	5.0	3.0	3.0	5.0	5.0	5.0	3.0	3.0	3.0	3.0	0.0	9.0	0.0	0.0	0.0	9.0	3.0
Prbk	3.0	3.0	5.0	3.0	5.0	2.0	5.0	6.0	8.0	3.0	2.0	0.0	5.0	3.0	3.0	2.0	5.0	5.0	5.0	7.0	3.0	5.0	5.0	3.0	3.0	3.0	5.0	5.0	5.0	3.0	2.0	2.0	2.0	0.0	9.0	0.0	0.0	0.0	9.0	2.0
Prbl	3.0	3.0	5.0	3.0	5.0	4.0	5.0	6.0	9.0	3.0	2.0	0.0	6.0	3.0	3.0	2.0	5.0	5.0	5.0	8.0	3.0	5.0	5.0	3.0	3.0	3.0	5.0	5.0	5.0	3.0	2.0	2.0	2.0	0.0	9.0	0.0	0.0	0.0	9.0	2.0
Prbm	14.0	17.0	9.0	15.0	9.0	20.0	8.0	16.0	12.0	11.0	6.0	12.0	10.0	9.0	9.0	6.0	9.0	12.0	22.0	11.0	28.0	15.0	5.0	11.0	16.0	5.0	5.0	12.0	2.0	3.0	6.0	6.0	6.0	10.0	12.0	9.0	9.0	9.0	0.0	6.0
Prbn	2.0	4.0	0.0	6.0	2.0	2.0	6.0	2.0	0.0	5.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	4.0	2.0	2.0	2.0	6.0	2.0	2.0	2.0	2.0	5.0	7.0	6.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	2.0	7.0	0.0
