Orthogroup	Prah	Prbd
OG0000050	Prah.g_00038	Prbd.g_01206
OG0000051	Prah.g_02295	Prbd.g_01083
OG0000052	Prah.g_01660	Prbd.g_00868
OG0000053	Prah.g_01485	Prbd.g_00703
OG0000054	Prah.g_01812	Prbd.g_00055
OG0000055	Prah.g_00641	Prbd.g_00124
OG0000057	Prah.g_01778	Prbd.g_01537
OG0000058	Prah.g_00105, Prah.g_00312	Prbd.g_00767
OG0000059	Prah.g_01027	Prbd.g_00546
OG0000062	Prah.g_02524	Prbd.g_00427
OG0000063	Prah.g_01257	Prbd.g_01895
OG0000065	Prah.g_01364	Prbd.g_01801
OG0000066	Prah.g_02192	Prbd.g_01737
OG0000068	Prah.g_01995	Prbd.g_01391
OG0000069	Prah.g_02196, Prah.g_00358	Prbd.g_01730
OG0000071	Prah.g_00013	Prbd.g_01226
OG0000072	Prah.g_02187	Prbd.g_00917
OG0000073	Prah.g_00445	Prbd.g_00575
OG0000074	Prah.g_00974	Prbd.g_00553
OG0000075	Prah.g_00660	Prbd.g_00109
OG0000076	Prah.g_00915	Prbd.g_00340
OG0000078	Prah.g_02191	Prbd.g_01734
OG0000079	Prah.g_01654	Prbd.g_01610
OG0000080	Prah.g_01609	Prbd.g_01561
OG0000081	Prah.g_02230	Prbd.g_01361
OG0000082	Prah.g_02533	Prbd.g_01272
OG0000083	Prah.g_00004	Prbd.g_01234
OG0000084	Prah.g_00007	Prbd.g_01231
OG0000085	Prah.g_00029	Prbd.g_01214
OG0000087	Prah.g_02458	Prbd.g_01188
OG0000088	Prah.g_00194	Prbd.g_01131
OG0000089	Prah.g_00176, Prah.g_00180	Prbd.g_01122
OG0000090	Prah.g_02268	Prbd.g_01104, Prbd.g_01103
OG0000091	Prah.g_02307	Prbd.g_01071
OG0000092	Prah.g_02308	Prbd.g_01070
OG0000093	Prah.g_02324	Prbd.g_01056
OG0000094	Prah.g_02362	Prbd.g_01038
OG0000095	Prah.g_02371	Prbd.g_01033
OG0000096	Prah.g_02089	Prbd.g_00988
OG0000097	Prah.g_02126	Prbd.g_00965
OG0000098	Prah.g_02139	Prbd.g_00955
OG0000099	Prah.g_02151	Prbd.g_00945
OG0000100	Prah.g_02155	Prbd.g_00942
OG0000101	Prah.g_00208	Prbd.g_00882
OG0000102	Prah.g_02538	Prbd.g_00855
OG0000103	Prah.g_00313, Prah.g_00314	Prbd.g_00766
OG0000104	Prah.g_01566	Prbd.g_00762
OG0000105	Prah.g_01544	Prbd.g_00743
OG0000106	Prah.g_01503, Prah.g_00108	Prbd.g_00710
OG0000107	Prah.g_01501	Prbd.g_00709
OG0000108	Prah.g_01476	Prbd.g_00699
OG0000109	Prah.g_01465	Prbd.g_00690
OG0000110	Prah.g_01446	Prbd.g_00674
OG0000111	Prah.g_00474	Prbd.g_00593
OG0000112	Prah.g_00473	Prbd.g_00592
OG0000113	Prah.g_00752	Prbd.g_00029
OG0000114	Prah.g_00669, Prah.g_01823	Prbd.g_00100
OG0000115	Prah.g_00796	Prbd.g_00264
OG0000116	Prah.g_00805	Prbd.g_00268
OG0000117	Prah.g_00912	Prbd.g_00337
OG0000118	Prah.g_02597	Prbd.g_00389
OG0000119	Prah.g_02526	Prbd.g_00430
OG0000120	Prah.g_01315	Prbd.g_00474
OG0000121	Prah.g_01254	Prbd.g_00493
OG0000122	Prah.g_01276	Prbd.g_00512
OG0000123	Prah.g_01237, Prah.g_01238	Prbd.g_00525
OG0000124	Prah.g_00905	Prbd.g_01921
OG0000125	Prah.g_01378	Prbd.g_01789
OG0000126	Prah.g_01576	Prbd.g_01764
OG0000127	Prah.g_00424	Prbd.g_01702
OG0000128	Prah.g_00407	Prbd.g_01688
OG0000129	Prah.g_00361	Prbd.g_01652
OG0000130	Prah.g_01672	Prbd.g_01527
OG0000131	Prah.g_01725	Prbd.g_01489
OG0000132	Prah.g_01728	Prbd.g_01486
OG0000133	Prah.g_02038	Prbd.g_01432
OG0000134	Prah.g_02001	Prbd.g_01396
OG0000135	Prah.g_01999	Prbd.g_01394
OG0000136	Prah.g_02244	Prbd.g_01350
OG0000137	Prah.g_00116, Prah.g_00089	Prbd.g_01317
OG0000138	Prah.g_02498	Prbd.g_01281
OG0000139	Prah.g_02578	Prbd.g_01255
OG0000140	Prah.g_00002	Prbd.g_01236
OG0000141	Prah.g_00003	Prbd.g_01235
OG0000142	Prah.g_00005	Prbd.g_01233
OG0000143	Prah.g_00006	Prbd.g_01232
OG0000144	Prah.g_00008	Prbd.g_01230
OG0000145	Prah.g_00010	Prbd.g_01229
OG0000146	Prah.g_00011	Prbd.g_01228
OG0000147	Prah.g_00012	Prbd.g_01227
OG0000148	Prah.g_00014	Prbd.g_01225
OG0000149	Prah.g_00016	Prbd.g_01223
OG0000150	Prah.g_00017	Prbd.g_01222
OG0000151	Prah.g_00022	Prbd.g_01221
OG0000152	Prah.g_00023	Prbd.g_01220
OG0000153	Prah.g_00024	Prbd.g_01219
OG0000154	Prah.g_00025	Prbd.g_01218
OG0000155	Prah.g_00026	Prbd.g_01217
OG0000156	Prah.g_00027	Prbd.g_01216
OG0000157	Prah.g_00028	Prbd.g_01215
OG0000158	Prah.g_00030	Prbd.g_01213
OG0000159	Prah.g_00031	Prbd.g_01212
OG0000160	Prah.g_00032	Prbd.g_01211
OG0000161	Prah.g_00033	Prbd.g_01210
OG0000162	Prah.g_00034	Prbd.g_01209
OG0000163	Prah.g_00036	Prbd.g_01208
OG0000164	Prah.g_00041	Prbd.g_01205
OG0000165	Prah.g_00046	Prbd.g_01202
OG0000166	Prah.g_00047	Prbd.g_01201
OG0000167	Prah.g_00048	Prbd.g_01200
OG0000168	Prah.g_00049	Prbd.g_01198
OG0000169	Prah.g_00051	Prbd.g_01196
OG0000170	Prah.g_02488	Prbd.g_01195
OG0000171	Prah.g_02486	Prbd.g_01194
OG0000172	Prah.g_02485	Prbd.g_01192
OG0000173	Prah.g_02478	Prbd.g_01191
OG0000174	Prah.g_02471	Prbd.g_01190
OG0000175	Prah.g_02466	Prbd.g_01189
OG0000176	Prah.g_02457	Prbd.g_01187
OG0000177	Prah.g_02454	Prbd.g_01186
OG0000178	Prah.g_02453	Prbd.g_01185
OG0000179	Prah.g_01830	Prbd.g_01180
OG0000180	Prah.g_01833	Prbd.g_01179
OG0000181	Prah.g_01834	Prbd.g_01178
OG0000182	Prah.g_01838	Prbd.g_01175
OG0000183	Prah.g_01839	Prbd.g_01174
OG0000184	Prah.g_01843	Prbd.g_01171
OG0000185	Prah.g_01849	Prbd.g_01167
OG0000186	Prah.g_01850	Prbd.g_01166
OG0000187	Prah.g_01211	Prbd.g_01165
OG0000188	Prah.g_01851	Prbd.g_01164
OG0000189	Prah.g_01859	Prbd.g_01163
OG0000190	Prah.g_01860	Prbd.g_01162
OG0000191	Prah.g_01861	Prbd.g_01161
OG0000192	Prah.g_01862	Prbd.g_01160
OG0000193	Prah.g_01863	Prbd.g_01159
OG0000194	Prah.g_01864	Prbd.g_01158
OG0000195	Prah.g_01866	Prbd.g_01156
OG0000196	Prah.g_01867	Prbd.g_01155
OG0000197	Prah.g_01873	Prbd.g_01154
OG0000198	Prah.g_01877	Prbd.g_01153
OG0000199	Prah.g_01882	Prbd.g_01150
OG0000200	Prah.g_01883	Prbd.g_01149
OG0000201	Prah.g_01884	Prbd.g_01148
OG0000202	Prah.g_01886	Prbd.g_01147
OG0000203	Prah.g_01887	Prbd.g_01146
OG0000204	Prah.g_01888	Prbd.g_01145
OG0000205	Prah.g_01890	Prbd.g_01144
OG0000206	Prah.g_01891	Prbd.g_01143
OG0000207	Prah.g_01892	Prbd.g_01142
OG0000208	Prah.g_01893	Prbd.g_01141
OG0000209	Prah.g_01894	Prbd.g_01140
OG0000210	Prah.g_01896	Prbd.g_01138
OG0000211	Prah.g_01897	Prbd.g_01137
OG0000212	Prah.g_01898	Prbd.g_01136
OG0000213	Prah.g_01901	Prbd.g_01135
OG0000214	Prah.g_01908	Prbd.g_01133
OG0000215	Prah.g_00195	Prbd.g_01132
OG0000216	Prah.g_00193	Prbd.g_01130
OG0000217	Prah.g_00191	Prbd.g_01128
OG0000218	Prah.g_00189	Prbd.g_01127
OG0000219	Prah.g_00188	Prbd.g_01126
OG0000220	Prah.g_00183	Prbd.g_01123
OG0000221	Prah.g_00175	Prbd.g_01121
OG0000222	Prah.g_00174	Prbd.g_01120
OG0000223	Prah.g_00173	Prbd.g_01119
OG0000224	Prah.g_02252	Prbd.g_01116
OG0000225	Prah.g_02254	Prbd.g_01114
OG0000226	Prah.g_02257	Prbd.g_01113
OG0000227	Prah.g_02259	Prbd.g_01112
OG0000228	Prah.g_02260	Prbd.g_01111
OG0000229	Prah.g_02261	Prbd.g_01110
OG0000230	Prah.g_02262	Prbd.g_01109
OG0000231	Prah.g_02264	Prbd.g_01107
OG0000232	Prah.g_02265	Prbd.g_01106
OG0000233	Prah.g_02269	Prbd.g_01102
OG0000234	Prah.g_02280	Prbd.g_01100
OG0000235	Prah.g_02282	Prbd.g_01095
OG0000236	Prah.g_02283	Prbd.g_01094
OG0000237	Prah.g_02284	Prbd.g_01093
OG0000238	Prah.g_02285	Prbd.g_01092
OG0000239	Prah.g_02286	Prbd.g_01091
OG0000240	Prah.g_02288	Prbd.g_01089
OG0000241	Prah.g_02289	Prbd.g_01088
OG0000242	Prah.g_02290	Prbd.g_01087
OG0000243	Prah.g_02291	Prbd.g_01086
OG0000244	Prah.g_02292	Prbd.g_01085
OG0000245	Prah.g_02294	Prbd.g_01084
OG0000246	Prah.g_02296	Prbd.g_01082
OG0000247	Prah.g_02297	Prbd.g_01081
OG0000248	Prah.g_02298	Prbd.g_01080
OG0000249	Prah.g_02299	Prbd.g_01079
OG0000250	Prah.g_02300	Prbd.g_01078
OG0000251	Prah.g_02301	Prbd.g_01077
OG0000252	Prah.g_02302	Prbd.g_01076
OG0000253	Prah.g_02303	Prbd.g_01075
OG0000254	Prah.g_02305	Prbd.g_01073
OG0000255	Prah.g_02306	Prbd.g_01072
OG0000256	Prah.g_02309	Prbd.g_01069
OG0000257	Prah.g_02310	Prbd.g_01067
OG0000258	Prah.g_02311	Prbd.g_01066
OG0000259	Prah.g_02312	Prbd.g_01065
OG0000260	Prah.g_02313	Prbd.g_01064
OG0000261	Prah.g_02314	Prbd.g_01063
OG0000262	Prah.g_02315	Prbd.g_01062
OG0000263	Prah.g_02316	Prbd.g_01061
OG0000264	Prah.g_00709	Prbd.g_01059
OG0000265	Prah.g_02321	Prbd.g_01058
OG0000266	Prah.g_02323	Prbd.g_01057
OG0000267	Prah.g_02334	Prbd.g_01055
OG0000268	Prah.g_02336	Prbd.g_01054
OG0000269	Prah.g_02339	Prbd.g_01053
OG0000270	Prah.g_02341	Prbd.g_01052
OG0000271	Prah.g_02344	Prbd.g_01051
OG0000272	Prah.g_02345	Prbd.g_01050
OG0000273	Prah.g_02350	Prbd.g_01049
OG0000274	Prah.g_02352	Prbd.g_01048
OG0000275	Prah.g_02353	Prbd.g_01047
OG0000276	Prah.g_02354	Prbd.g_01046
OG0000277	Prah.g_02355	Prbd.g_01045
OG0000278	Prah.g_02356	Prbd.g_01044
OG0000279	Prah.g_02357	Prbd.g_01043
OG0000280	Prah.g_02358	Prbd.g_01042
OG0000281	Prah.g_02360	Prbd.g_01040
OG0000282	Prah.g_02361	Prbd.g_01039
OG0000283	Prah.g_02364	Prbd.g_01036
OG0000284	Prah.g_02365	Prbd.g_01035
OG0000285	Prah.g_02370	Prbd.g_01034
OG0000286	Prah.g_02372	Prbd.g_01032
OG0000287	Prah.g_02420	Prbd.g_01031
OG0000288	Prah.g_02419	Prbd.g_01030
OG0000289	Prah.g_02418	Prbd.g_01029
OG0000290	Prah.g_02417	Prbd.g_01028
OG0000291	Prah.g_02415	Prbd.g_01027
OG0000292	Prah.g_02411	Prbd.g_01026
OG0000293	Prah.g_02410	Prbd.g_01025
OG0000294	Prah.g_02409	Prbd.g_01024
OG0000295	Prah.g_02403	Prbd.g_01023
OG0000296	Prah.g_02402	Prbd.g_01022
OG0000297	Prah.g_02400	Prbd.g_01021
OG0000298	Prah.g_02399	Prbd.g_01020
OG0000299	Prah.g_02398	Prbd.g_01019
OG0000300	Prah.g_02397	Prbd.g_01018
OG0000301	Prah.g_02396	Prbd.g_01017
OG0000302	Prah.g_02395	Prbd.g_01016
OG0000303	Prah.g_02394	Prbd.g_01015
OG0000304	Prah.g_02392	Prbd.g_01013
OG0000305	Prah.g_02391	Prbd.g_01012
OG0000306	Prah.g_02390	Prbd.g_01011
OG0000307	Prah.g_01786	Prbd.g_01010
OG0000308	Prah.g_01411	Prbd.g_01009
OG0000309	Prah.g_01412	Prbd.g_01008
OG0000310	Prah.g_01413	Prbd.g_01007
OG0000311	Prah.g_01782	Prbd.g_01006
OG0000312	Prah.g_01781	Prbd.g_01004
OG0000313	Prah.g_01779	Prbd.g_01003
OG0000314	Prah.g_01773	Prbd.g_01000
OG0000315	Prah.g_01772	Prbd.g_00999
OG0000316	Prah.g_02074	Prbd.g_00997
OG0000317	Prah.g_02078	Prbd.g_00995
OG0000318	Prah.g_02079	Prbd.g_00994
OG0000319	Prah.g_02080	Prbd.g_00993
OG0000320	Prah.g_02082	Prbd.g_00992
OG0000321	Prah.g_02087	Prbd.g_00989
OG0000322	Prah.g_02098	Prbd.g_00986
OG0000323	Prah.g_02099	Prbd.g_00985
OG0000324	Prah.g_02101	Prbd.g_00982
OG0000325	Prah.g_02103	Prbd.g_00980
OG0000326	Prah.g_02105	Prbd.g_00979
OG0000327	Prah.g_02111	Prbd.g_00977
OG0000328	Prah.g_01785	Prbd.g_00976
OG0000329	Prah.g_02114	Prbd.g_00975
OG0000330	Prah.g_02115	Prbd.g_00974
OG0000331	Prah.g_02117	Prbd.g_00973
OG0000332	Prah.g_02118	Prbd.g_00972
OG0000333	Prah.g_02119	Prbd.g_00971
OG0000334	Prah.g_02120	Prbd.g_00970
OG0000335	Prah.g_02121	Prbd.g_00969
OG0000336	Prah.g_02123	Prbd.g_00968
OG0000337	Prah.g_02128	Prbd.g_00964
OG0000338	Prah.g_02129	Prbd.g_00963
OG0000339	Prah.g_02130	Prbd.g_00962
OG0000340	Prah.g_02132	Prbd.g_00961
OG0000341	Prah.g_02137	Prbd.g_00957
OG0000342	Prah.g_02138	Prbd.g_00956
OG0000343	Prah.g_02140	Prbd.g_00954
OG0000344	Prah.g_02142	Prbd.g_00953
OG0000345	Prah.g_02143	Prbd.g_00952
OG0000346	Prah.g_02144	Prbd.g_00951
OG0000347	Prah.g_02145	Prbd.g_00950
OG0000348	Prah.g_02146	Prbd.g_00949
OG0000349	Prah.g_02147	Prbd.g_00948
OG0000350	Prah.g_02148	Prbd.g_00947
OG0000351	Prah.g_02152	Prbd.g_00944
OG0000352	Prah.g_02156	Prbd.g_00941
OG0000353	Prah.g_02157	Prbd.g_00940
OG0000354	Prah.g_02158	Prbd.g_00939
OG0000355	Prah.g_02159	Prbd.g_00938
OG0000356	Prah.g_02166	Prbd.g_00937
OG0000357	Prah.g_02167	Prbd.g_00936
OG0000358	Prah.g_02168	Prbd.g_00935
OG0000359	Prah.g_02170	Prbd.g_00934
OG0000360	Prah.g_02172	Prbd.g_00931
OG0000361	Prah.g_02173	Prbd.g_00930
OG0000362	Prah.g_02174	Prbd.g_00929
OG0000363	Prah.g_02175	Prbd.g_00928
OG0000364	Prah.g_02176	Prbd.g_00927
OG0000365	Prah.g_02177	Prbd.g_00926
OG0000366	Prah.g_02178	Prbd.g_00925
OG0000367	Prah.g_02179	Prbd.g_00924
OG0000368	Prah.g_02180	Prbd.g_00923
OG0000369	Prah.g_02181	Prbd.g_00922
OG0000370	Prah.g_02182	Prbd.g_00921
OG0000371	Prah.g_02183	Prbd.g_00920
OG0000372	Prah.g_02186	Prbd.g_00918
OG0000373	Prah.g_02197	Prbd.g_00916
OG0000374	Prah.g_02199	Prbd.g_00915
OG0000375	Prah.g_02207	Prbd.g_00914
OG0000376	Prah.g_01956	Prbd.g_00912
OG0000377	Prah.g_01949	Prbd.g_00911
OG0000378	Prah.g_01948	Prbd.g_00910
OG0000379	Prah.g_01940	Prbd.g_00905
OG0000380	Prah.g_01938	Prbd.g_00904
OG0000381	Prah.g_01937	Prbd.g_00903
OG0000382	Prah.g_01935	Prbd.g_00901
OG0000383	Prah.g_01930	Prbd.g_00898
OG0000384	Prah.g_01929	Prbd.g_00897
OG0000385	Prah.g_01922	Prbd.g_00894
OG0000386	Prah.g_01921	Prbd.g_00893
OG0000387	Prah.g_01920	Prbd.g_00892
OG0000388	Prah.g_01919	Prbd.g_00891
OG0000389	Prah.g_01918	Prbd.g_00890
OG0000390	Prah.g_01917	Prbd.g_00889
OG0000391	Prah.g_01916	Prbd.g_00888
OG0000392	Prah.g_01915	Prbd.g_00887
OG0000393	Prah.g_00204	Prbd.g_00884
OG0000394	Prah.g_00205	Prbd.g_00883
OG0000395	Prah.g_00209	Prbd.g_00881
OG0000396	Prah.g_00579	Prbd.g_00880
OG0000397	Prah.g_01837	Prbd.g_00867
OG0000398	Prah.g_01661	Prbd.g_00859
OG0000399	Prah.g_01181	Prbd.g_00858
OG0000400	Prah.g_02072	Prbd.g_00852
OG0000401	Prah.g_00218	Prbd.g_00811
OG0000402	Prah.g_00219	Prbd.g_00810
OG0000403	Prah.g_00221	Prbd.g_00809
OG0000404	Prah.g_00229	Prbd.g_00807
OG0000405	Prah.g_00230	Prbd.g_00806
OG0000406	Prah.g_00232	Prbd.g_00804
OG0000407	Prah.g_00233	Prbd.g_00803
OG0000408	Prah.g_00234	Prbd.g_00802
OG0000409	Prah.g_00235	Prbd.g_00801
OG0000410	Prah.g_00237	Prbd.g_00800
OG0000411	Prah.g_00238	Prbd.g_00799
OG0000412	Prah.g_00239	Prbd.g_00798
OG0000413	Prah.g_00240	Prbd.g_00797
OG0000414	Prah.g_00241	Prbd.g_00796
OG0000415	Prah.g_00242	Prbd.g_00795
OG0000416	Prah.g_00247	Prbd.g_00794
OG0000417	Prah.g_00251	Prbd.g_00793
OG0000418	Prah.g_00252	Prbd.g_00792
OG0000419	Prah.g_00253	Prbd.g_00791
OG0000420	Prah.g_00254	Prbd.g_00790
OG0000421	Prah.g_00255	Prbd.g_00789
OG0000422	Prah.g_00257	Prbd.g_00787
OG0000423	Prah.g_00258	Prbd.g_00786
OG0000424	Prah.g_00261	Prbd.g_00784
OG0000425	Prah.g_00290	Prbd.g_00781
OG0000426	Prah.g_00291	Prbd.g_00780
OG0000427	Prah.g_00294	Prbd.g_00779
OG0000428	Prah.g_00304	Prbd.g_00778
OG0000429	Prah.g_00306	Prbd.g_00777
OG0000430	Prah.g_00308	Prbd.g_00771
OG0000431	Prah.g_00310	Prbd.g_00769
OG0000432	Prah.g_00311	Prbd.g_00768
OG0000433	Prah.g_01575	Prbd.g_00765
OG0000434	Prah.g_01572	Prbd.g_00764
OG0000435	Prah.g_01567	Prbd.g_00763
OG0000436	Prah.g_01565	Prbd.g_00761
OG0000437	Prah.g_01563	Prbd.g_00759
OG0000438	Prah.g_01562	Prbd.g_00758
OG0000439	Prah.g_01561	Prbd.g_00757
OG0000440	Prah.g_01558	Prbd.g_00755
OG0000441	Prah.g_01556	Prbd.g_00754
OG0000442	Prah.g_01555	Prbd.g_00753
OG0000443	Prah.g_01554	Prbd.g_00752
OG0000444	Prah.g_01553	Prbd.g_00751
OG0000445	Prah.g_01552	Prbd.g_00750
OG0000446	Prah.g_01551	Prbd.g_00749
OG0000447	Prah.g_01550	Prbd.g_00748
OG0000448	Prah.g_01549	Prbd.g_00747
OG0000449	Prah.g_01541	Prbd.g_00742
OG0000450	Prah.g_01540	Prbd.g_00741
OG0000451	Prah.g_01539	Prbd.g_00740
OG0000452	Prah.g_01538	Prbd.g_00739
OG0000453	Prah.g_01535	Prbd.g_00737
OG0000454	Prah.g_01534	Prbd.g_00736
OG0000455	Prah.g_01533	Prbd.g_00735
OG0000456	Prah.g_01532	Prbd.g_00734
OG0000457	Prah.g_01530	Prbd.g_00732
OG0000458	Prah.g_01529	Prbd.g_00730
OG0000459	Prah.g_01528	Prbd.g_00729
OG0000460	Prah.g_01526	Prbd.g_00727
OG0000461	Prah.g_01525	Prbd.g_00726
OG0000462	Prah.g_01524	Prbd.g_00725
OG0000463	Prah.g_01519	Prbd.g_00724
OG0000464	Prah.g_01514	Prbd.g_00719
OG0000465	Prah.g_01513	Prbd.g_00717
OG0000466	Prah.g_01512	Prbd.g_00716
OG0000467	Prah.g_01510	Prbd.g_00715
OG0000468	Prah.g_01509	Prbd.g_00714
OG0000469	Prah.g_01505	Prbd.g_00713
OG0000470	Prah.g_01094	Prbd.g_00712
OG0000471	Prah.g_01035	Prbd.g_00711
OG0000472	Prah.g_01500	Prbd.g_00708
OG0000473	Prah.g_01498	Prbd.g_00707
OG0000474	Prah.g_01496	Prbd.g_00706
OG0000475	Prah.g_01495	Prbd.g_00705
OG0000476	Prah.g_01489	Prbd.g_00704
OG0000477	Prah.g_01484	Prbd.g_00702
OG0000478	Prah.g_01482	Prbd.g_00701
OG0000479	Prah.g_01480	Prbd.g_00700
OG0000480	Prah.g_01474	Prbd.g_00698
OG0000481	Prah.g_01473	Prbd.g_00697
OG0000482	Prah.g_01472	Prbd.g_00696
OG0000483	Prah.g_01470	Prbd.g_00695
OG0000484	Prah.g_01469	Prbd.g_00694
OG0000485	Prah.g_01468	Prbd.g_00693
OG0000486	Prah.g_01467	Prbd.g_00692
OG0000487	Prah.g_01466	Prbd.g_00691
OG0000488	Prah.g_01464	Prbd.g_00689
OG0000489	Prah.g_01463	Prbd.g_00688
OG0000490	Prah.g_01462	Prbd.g_00687
OG0000491	Prah.g_01461	Prbd.g_00686
OG0000492	Prah.g_01460	Prbd.g_00685
OG0000493	Prah.g_01459	Prbd.g_00684
OG0000494	Prah.g_01458	Prbd.g_00682
OG0000495	Prah.g_01457	Prbd.g_00681
OG0000496	Prah.g_01454	Prbd.g_00680
OG0000497	Prah.g_01452	Prbd.g_00679
OG0000498	Prah.g_01451	Prbd.g_00678
OG0000499	Prah.g_01449	Prbd.g_00676
OG0000500	Prah.g_01448	Prbd.g_00675
OG0000501	Prah.g_01445	Prbd.g_00673
OG0000502	Prah.g_01444	Prbd.g_00672
OG0000503	Prah.g_01443	Prbd.g_00671
OG0000504	Prah.g_01441	Prbd.g_00670
OG0000505	Prah.g_01440	Prbd.g_00669
OG0000506	Prah.g_01439	Prbd.g_00668
OG0000507	Prah.g_01438	Prbd.g_00667
OG0000508	Prah.g_01434	Prbd.g_00665
OG0000509	Prah.g_01433	Prbd.g_00664
OG0000510	Prah.g_01432	Prbd.g_00663
OG0000511	Prah.g_01431	Prbd.g_00662
OG0000512	Prah.g_01430	Prbd.g_00661
OG0000513	Prah.g_01429	Prbd.g_00660
OG0000514	Prah.g_01428	Prbd.g_00659
OG0000515	Prah.g_01425	Prbd.g_00657
OG0000516	Prah.g_01424	Prbd.g_00656
OG0000517	Prah.g_01423	Prbd.g_00655
OG0000518	Prah.g_01417	Prbd.g_00653
OG0000519	Prah.g_01416	Prbd.g_00652
OG0000520	Prah.g_01415	Prbd.g_00651
OG0000521	Prah.g_01414	Prbd.g_00650
OG0000522	Prah.g_01408	Prbd.g_00649
OG0000523	Prah.g_01407	Prbd.g_00648
OG0000524	Prah.g_01406	Prbd.g_00647
OG0000525	Prah.g_01404	Prbd.g_00645
OG0000526	Prah.g_01403	Prbd.g_00644
OG0000527	Prah.g_01402	Prbd.g_00643
OG0000528	Prah.g_01401	Prbd.g_00642
OG0000529	Prah.g_01400	Prbd.g_00641
OG0000530	Prah.g_01399	Prbd.g_00640
OG0000531	Prah.g_01396	Prbd.g_00639
OG0000532	Prah.g_01394	Prbd.g_00638
OG0000533	Prah.g_01393	Prbd.g_00637
OG0000534	Prah.g_01392	Prbd.g_00636
OG0000535	Prah.g_01391	Prbd.g_00635
OG0000536	Prah.g_01390	Prbd.g_00634
OG0000537	Prah.g_01389	Prbd.g_00633
OG0000538	Prah.g_01388	Prbd.g_00632
OG0000539	Prah.g_01387	Prbd.g_00631
OG0000540	Prah.g_01385	Prbd.g_00630
OG0000541	Prah.g_00532	Prbd.g_00629
OG0000542	Prah.g_00531	Prbd.g_00628
OG0000543	Prah.g_00530	Prbd.g_00627
OG0000544	Prah.g_00529	Prbd.g_00626
OG0000545	Prah.g_00526	Prbd.g_00623
OG0000546	Prah.g_00525	Prbd.g_00622
OG0000547	Prah.g_00523	Prbd.g_00620
OG0000548	Prah.g_00518	Prbd.g_00619
OG0000549	Prah.g_00517	Prbd.g_00618
OG0000550	Prah.g_00516	Prbd.g_00617
OG0000551	Prah.g_00513	Prbd.g_00616
OG0000552	Prah.g_00510	Prbd.g_00615
OG0000553	Prah.g_00509	Prbd.g_00614
OG0000554	Prah.g_00506	Prbd.g_00613
OG0000555	Prah.g_00505	Prbd.g_00612
OG0000556	Prah.g_00504	Prbd.g_00611
OG0000557	Prah.g_00503	Prbd.g_00610
OG0000558	Prah.g_00501	Prbd.g_00609
OG0000559	Prah.g_00500	Prbd.g_00608
OG0000560	Prah.g_00498	Prbd.g_00606
OG0000561	Prah.g_00497	Prbd.g_00605
OG0000562	Prah.g_00495	Prbd.g_00604
OG0000563	Prah.g_00494	Prbd.g_00603
OG0000564	Prah.g_00493	Prbd.g_00602
OG0000565	Prah.g_00486	Prbd.g_00601
OG0000566	Prah.g_00485	Prbd.g_00600
OG0000567	Prah.g_00484	Prbd.g_00599
OG0000568	Prah.g_00483	Prbd.g_00598
OG0000569	Prah.g_00482	Prbd.g_00597
OG0000570	Prah.g_00478	Prbd.g_00596
