Orthogroup	Prae	Prbm
OG0000067	Prae.g_00672	Prbm.g_00735
OG0000069	Prae.g_01128, Prae.g_00984	Prbm.g_01648
OG0000070	Prae.g_01040	Prbm.g_01064
OG0000071	Prae.g_01263	Prbm.g_01522
OG0000072	Prae.g_01329	Prbm.g_00468, Prbm.g_01611
OG0000074	Prae.g_01389	Prbm.g_00707
OG0000075	Prae.g_01758	Prbm.g_02033
OG0000077	Prae.g_00011	Prbm.g_00011
OG0000078	Prae.g_00323	Prbm.g_00377
OG0000079	Prae.g_00382	Prbm.g_01389
OG0000080	Prae.g_00643	Prbm.g_00702
OG0000081	Prae.g_00665	Prbm.g_00728
OG0000082	Prae.g_00813	Prbm.g_00821
OG0000083	Prae.g_00876	Prbm.g_00906, Prbm.g_01173
OG0000084	Prae.g_00964	Prbm.g_00988
OG0000085	Prae.g_01090	Prbm.g_01210
OG0000086	Prae.g_01130	Prbm.g_01910
OG0000088	Prae.g_01269	Prbm.g_01370
OG0000090	Prae.g_01390	Prbm.g_00394
OG0000091	Prae.g_01467	Prbm.g_01718
OG0000092	Prae.g_01588	Prbm.g_01182
OG0000093	Prae.g_01710	Prbm.g_01973
OG0000094	Prae.g_01755	Prbm.g_02029
OG0000095	Prae.g_01789	Prbm.g_02067
OG0000096	Prae.g_01859	Prbm.g_02168
OG0000098	Prae.g_00003, Prae.g_01306	Prbm.g_00003
OG0000099	Prae.g_00023	Prbm.g_00023
OG0000100	Prae.g_00041	Prbm.g_00063, Prbm.g_01170
OG0000101	Prae.g_00051	Prbm.g_00058
OG0000102	Prae.g_00112	Prbm.g_00172
OG0000103	Prae.g_00121	Prbm.g_00181
OG0000104	Prae.g_00139	Prbm.g_00198
OG0000105	Prae.g_00173	Prbm.g_00229
OG0000106	Prae.g_00187	Prbm.g_00243
OG0000107	Prae.g_00195	Prbm.g_00252
OG0000108	Prae.g_00205	Prbm.g_00262
OG0000109	Prae.g_00242	Prbm.g_00300
OG0000110	Prae.g_00254	Prbm.g_00310
OG0000111	Prae.g_01440	Prbm.g_00331
OG0000113	Prae.g_00298	Prbm.g_00353
OG0000114	Prae.g_00326	Prbm.g_00380
OG0000115	Prae.g_00448	Prbm.g_00499
OG0000116	Prae.g_00450	Prbm.g_00501
OG0000117	Prae.g_00454	Prbm.g_00506
OG0000118	Prae.g_00473	Prbm.g_00533
OG0000119	Prae.g_00506	Prbm.g_00565
OG0000120	Prae.g_00508	Prbm.g_00566
OG0000121	Prae.g_00518	Prbm.g_00576
OG0000122	Prae.g_00527	Prbm.g_00585
OG0000123	Prae.g_01432, Prae.g_00558	Prbm.g_00615
OG0000124	Prae.g_00625	Prbm.g_00682
OG0000125	Prae.g_00626	Prbm.g_00683
OG0000126	Prae.g_00627	Prbm.g_00684
OG0000127	Prae.g_00660	Prbm.g_00723
OG0000128	Prae.g_00713	Prbm.g_00744
OG0000129	Prae.g_00733	Prbm.g_00766
OG0000130	Prae.g_00791	Prbm.g_00950
OG0000131	Prae.g_00804	Prbm.g_00812
OG0000132	Prae.g_00839	Prbm.g_00848
OG0000133	Prae.g_00924	Prbm.g_00946
OG0000134	Prae.g_00933	Prbm.g_00799
OG0000135	Prae.g_00968	Prbm.g_00992
OG0000136	Prae.g_01037	Prbm.g_01061
OG0000137	Prae.g_01133	Prbm.g_01913
OG0000138	Prae.g_01158	Prbm.g_01555
OG0000139	Prae.g_01169	Prbm.g_01542
OG0000140	Prae.g_01220	Prbm.g_01489
OG0000141	Prae.g_01434	Prbm.g_01054
OG0000142	Prae.g_01341	Prbm.g_01622
OG0000143	Prae.g_01368	Prbm.g_01660
OG0000144	Prae.g_01446	Prbm.g_01696
OG0000145	Prae.g_01460	Prbm.g_01711
OG0000146	Prae.g_01496	Prbm.g_01745
OG0000147	Prae.g_01536	Prbm.g_01791
OG0000148	Prae.g_01537	Prbm.g_01792
OG0000149	Prae.g_01621	Prbm.g_01839
OG0000150	Prae.g_01659	Prbm.g_01876
OG0000151	Prae.g_01662	Prbm.g_01878
OG0000152	Prae.g_01681	Prbm.g_01898
OG0000153	Prae.g_01717	Prbm.g_01991
OG0000154	Prae.g_01753	Prbm.g_02027
OG0000155	Prae.g_01772	Prbm.g_01454, Prbm.g_02046
OG0000156	Prae.g_01800	Prbm.g_02079
OG0000157	Prae.g_01832	Prbm.g_02114
OG0000158	Prae.g_01894	Prbm.g_02212
OG0000160	Prae.g_00001	Prbm.g_00001
OG0000161	Prae.g_00002	Prbm.g_00002
OG0000162	Prae.g_00004	Prbm.g_00004
OG0000163	Prae.g_00005	Prbm.g_00005
OG0000164	Prae.g_00006	Prbm.g_00006
OG0000165	Prae.g_00007	Prbm.g_00007
OG0000166	Prae.g_00008	Prbm.g_00008
OG0000167	Prae.g_00009	Prbm.g_00009
OG0000168	Prae.g_00010	Prbm.g_00010
OG0000169	Prae.g_00012	Prbm.g_00012
OG0000170	Prae.g_00014	Prbm.g_00014
OG0000171	Prae.g_00015	Prbm.g_00015
OG0000172	Prae.g_00016	Prbm.g_00016
OG0000173	Prae.g_00017	Prbm.g_00017
OG0000174	Prae.g_00018	Prbm.g_00018
OG0000175	Prae.g_00019	Prbm.g_00019
OG0000176	Prae.g_00020	Prbm.g_00020
OG0000177	Prae.g_00021	Prbm.g_00021
OG0000178	Prae.g_00022	Prbm.g_00022
OG0000179	Prae.g_00024	Prbm.g_00024
OG0000180	Prae.g_00025	Prbm.g_00025
OG0000181	Prae.g_00026	Prbm.g_00026
OG0000182	Prae.g_00027	Prbm.g_00027
OG0000183	Prae.g_00028	Prbm.g_00028
OG0000184	Prae.g_00029	Prbm.g_00029
OG0000185	Prae.g_00032	Prbm.g_00032
OG0000186	Prae.g_00035	Prbm.g_00033
OG0000187	Prae.g_00036	Prbm.g_00034
OG0000188	Prae.g_00037	Prbm.g_00035
OG0000189	Prae.g_00042	Prbm.g_00049
OG0000190	Prae.g_00044	Prbm.g_00051
OG0000191	Prae.g_00045	Prbm.g_00052
OG0000192	Prae.g_00046	Prbm.g_00053
OG0000193	Prae.g_00047	Prbm.g_00054
OG0000194	Prae.g_00048	Prbm.g_00055
OG0000195	Prae.g_00049	Prbm.g_00056
OG0000196	Prae.g_00050	Prbm.g_00057
OG0000197	Prae.g_00052	Prbm.g_00059
OG0000198	Prae.g_00053	Prbm.g_00060
OG0000199	Prae.g_00054	Prbm.g_00061
OG0000200	Prae.g_00064	Prbm.g_00121
OG0000201	Prae.g_00065	Prbm.g_00122
OG0000202	Prae.g_00066	Prbm.g_00123
OG0000203	Prae.g_00069	Prbm.g_00126
OG0000204	Prae.g_00070	Prbm.g_00127
OG0000205	Prae.g_00073	Prbm.g_00130
OG0000206	Prae.g_00075	Prbm.g_00132
OG0000207	Prae.g_00077	Prbm.g_00134
OG0000208	Prae.g_00078	Prbm.g_00135
OG0000209	Prae.g_00079	Prbm.g_00136
OG0000210	Prae.g_00080	Prbm.g_00137
OG0000211	Prae.g_00081	Prbm.g_00138
OG0000212	Prae.g_00082	Prbm.g_00139
OG0000213	Prae.g_00083	Prbm.g_00140
OG0000214	Prae.g_00084	Prbm.g_00141
OG0000215	Prae.g_00085	Prbm.g_00142
OG0000216	Prae.g_00086	Prbm.g_00143
OG0000217	Prae.g_00088	Prbm.g_00145
OG0000218	Prae.g_00089	Prbm.g_00146
OG0000219	Prae.g_00090	Prbm.g_00147
OG0000220	Prae.g_00091	Prbm.g_00148
OG0000221	Prae.g_00094	Prbm.g_00151
OG0000222	Prae.g_00095	Prbm.g_00152
OG0000223	Prae.g_00096	Prbm.g_00153
OG0000224	Prae.g_00097	Prbm.g_00154
OG0000225	Prae.g_00098	Prbm.g_00155
OG0000226	Prae.g_00099	Prbm.g_00156
OG0000227	Prae.g_00100	Prbm.g_00158
OG0000228	Prae.g_00101	Prbm.g_00159
OG0000229	Prae.g_00102	Prbm.g_00160
OG0000230	Prae.g_00103	Prbm.g_00161
OG0000231	Prae.g_00104	Prbm.g_00162
OG0000232	Prae.g_00105	Prbm.g_00163
OG0000233	Prae.g_00106	Prbm.g_00164
OG0000234	Prae.g_00107	Prbm.g_00165
OG0000235	Prae.g_00108	Prbm.g_00166
OG0000236	Prae.g_00109	Prbm.g_00169
OG0000237	Prae.g_00110	Prbm.g_00170
OG0000238	Prae.g_00111	Prbm.g_00171
OG0000239	Prae.g_00113	Prbm.g_00173
OG0000240	Prae.g_00115	Prbm.g_00175
OG0000241	Prae.g_00116	Prbm.g_00176
OG0000242	Prae.g_00117	Prbm.g_00177
OG0000243	Prae.g_00120	Prbm.g_00179
OG0000244	Prae.g_00122	Prbm.g_00182
OG0000245	Prae.g_00123	Prbm.g_00183
OG0000246	Prae.g_00124	Prbm.g_00184
OG0000247	Prae.g_00127	Prbm.g_00187
OG0000248	Prae.g_00129	Prbm.g_00189
OG0000249	Prae.g_00130	Prbm.g_00191
OG0000250	Prae.g_00131	Prbm.g_00192
OG0000251	Prae.g_00132	Prbm.g_00193
OG0000252	Prae.g_00133	Prbm.g_00194
OG0000253	Prae.g_00134	Prbm.g_00195
OG0000254	Prae.g_00136	Prbm.g_01096
OG0000255	Prae.g_00137	Prbm.g_00196
OG0000256	Prae.g_00140	Prbm.g_00199
OG0000257	Prae.g_00142	Prbm.g_00202
OG0000258	Prae.g_00148	Prbm.g_00204
OG0000259	Prae.g_00149	Prbm.g_00205
OG0000260	Prae.g_00150	Prbm.g_00206
OG0000261	Prae.g_00151	Prbm.g_00207
OG0000262	Prae.g_00152	Prbm.g_00208
OG0000263	Prae.g_00154	Prbm.g_00210
OG0000264	Prae.g_00155	Prbm.g_00211
OG0000265	Prae.g_00156	Prbm.g_00212
OG0000266	Prae.g_00157	Prbm.g_00213
OG0000267	Prae.g_00158	Prbm.g_00214
OG0000268	Prae.g_00159	Prbm.g_00215
OG0000269	Prae.g_00161	Prbm.g_00217
OG0000270	Prae.g_00162	Prbm.g_00218
OG0000271	Prae.g_00163	Prbm.g_00219
OG0000272	Prae.g_00164	Prbm.g_00220
OG0000273	Prae.g_00165	Prbm.g_00221
OG0000274	Prae.g_00166	Prbm.g_00222
OG0000275	Prae.g_00167	Prbm.g_00223
OG0000276	Prae.g_00168	Prbm.g_00224
OG0000277	Prae.g_00170	Prbm.g_00226
OG0000278	Prae.g_00171	Prbm.g_00227
OG0000279	Prae.g_00172	Prbm.g_00228
OG0000280	Prae.g_00174	Prbm.g_00230
OG0000281	Prae.g_00176	Prbm.g_00232
OG0000282	Prae.g_00177	Prbm.g_00233
OG0000283	Prae.g_00178	Prbm.g_00234
OG0000284	Prae.g_00179	Prbm.g_00235
OG0000285	Prae.g_00180	Prbm.g_00236
OG0000286	Prae.g_00181	Prbm.g_00237
OG0000287	Prae.g_00182	Prbm.g_00238
OG0000288	Prae.g_00184	Prbm.g_00240
OG0000289	Prae.g_00185	Prbm.g_00241
OG0000290	Prae.g_00186	Prbm.g_00242
OG0000291	Prae.g_00188	Prbm.g_00244
OG0000292	Prae.g_00189	Prbm.g_00246
OG0000293	Prae.g_00190	Prbm.g_00247
OG0000294	Prae.g_00191	Prbm.g_00248
OG0000295	Prae.g_00192	Prbm.g_00249
OG0000296	Prae.g_00193	Prbm.g_00250
OG0000297	Prae.g_00194	Prbm.g_00251
OG0000298	Prae.g_00196	Prbm.g_00253
OG0000299	Prae.g_00197	Prbm.g_00254
OG0000300	Prae.g_00198	Prbm.g_00255
OG0000301	Prae.g_00199	Prbm.g_00256
OG0000302	Prae.g_00200	Prbm.g_00257
OG0000303	Prae.g_00201	Prbm.g_00258
OG0000304	Prae.g_00203	Prbm.g_00260
OG0000305	Prae.g_00204	Prbm.g_00261
OG0000306	Prae.g_00207	Prbm.g_00263
OG0000307	Prae.g_00208	Prbm.g_00264
OG0000308	Prae.g_00209	Prbm.g_00265
OG0000309	Prae.g_00210	Prbm.g_00266
OG0000310	Prae.g_00211	Prbm.g_00267
OG0000311	Prae.g_00212	Prbm.g_00268
OG0000312	Prae.g_00213	Prbm.g_00269
OG0000313	Prae.g_00214	Prbm.g_00270
OG0000314	Prae.g_00215	Prbm.g_00271
OG0000315	Prae.g_00216	Prbm.g_00272
OG0000316	Prae.g_00217	Prbm.g_00273
OG0000317	Prae.g_00218	Prbm.g_00274
OG0000318	Prae.g_00219	Prbm.g_00275
OG0000319	Prae.g_00220	Prbm.g_00276
OG0000320	Prae.g_00221	Prbm.g_00277
OG0000321	Prae.g_00222	Prbm.g_00278
OG0000322	Prae.g_00223	Prbm.g_00279
OG0000323	Prae.g_00224	Prbm.g_00280
OG0000324	Prae.g_00225	Prbm.g_00281
OG0000325	Prae.g_00226	Prbm.g_00282
OG0000326	Prae.g_00227	Prbm.g_00283
OG0000327	Prae.g_00228	Prbm.g_00284
OG0000328	Prae.g_00229	Prbm.g_00285
OG0000329	Prae.g_00230	Prbm.g_00286
OG0000330	Prae.g_00231	Prbm.g_00287
OG0000331	Prae.g_00232	Prbm.g_00288
OG0000332	Prae.g_00233	Prbm.g_00289
OG0000333	Prae.g_00234	Prbm.g_00290
OG0000334	Prae.g_00235	Prbm.g_00291
OG0000335	Prae.g_00236	Prbm.g_00293
OG0000336	Prae.g_00238	Prbm.g_00295
OG0000337	Prae.g_00239	Prbm.g_00296
OG0000338	Prae.g_00243	Prbm.g_00301
OG0000339	Prae.g_00245	Prbm.g_00303
OG0000340	Prae.g_00247	Prbm.g_00305
OG0000341	Prae.g_00248	Prbm.g_00306
OG0000342	Prae.g_00249	Prbm.g_00307
OG0000343	Prae.g_00250	Prbm.g_00308
OG0000344	Prae.g_00253	Prbm.g_00309
OG0000345	Prae.g_00256	Prbm.g_00312
OG0000346	Prae.g_00257	Prbm.g_00313
OG0000347	Prae.g_00260	Prbm.g_00317
OG0000348	Prae.g_00262	Prbm.g_00318
OG0000349	Prae.g_00263	Prbm.g_00319
OG0000350	Prae.g_00265	Prbm.g_00320
OG0000351	Prae.g_00266	Prbm.g_00321
OG0000352	Prae.g_00267	Prbm.g_00322
OG0000353	Prae.g_00268	Prbm.g_00323
OG0000354	Prae.g_00269	Prbm.g_00324
OG0000355	Prae.g_00270	Prbm.g_00325
OG0000356	Prae.g_00271	Prbm.g_00326
OG0000357	Prae.g_00272	Prbm.g_00327
OG0000358	Prae.g_00273	Prbm.g_00328
OG0000359	Prae.g_00274	Prbm.g_00330
OG0000360	Prae.g_00276	Prbm.g_00332
OG0000361	Prae.g_00277	Prbm.g_00333
OG0000362	Prae.g_00278	Prbm.g_00334
OG0000363	Prae.g_00279	Prbm.g_00335
OG0000364	Prae.g_00283	Prbm.g_00339
OG0000365	Prae.g_00284	Prbm.g_00340
OG0000366	Prae.g_00286	Prbm.g_00342
OG0000367	Prae.g_00287	Prbm.g_00343
OG0000368	Prae.g_00288	Prbm.g_00344
OG0000369	Prae.g_00289	Prbm.g_00345
OG0000370	Prae.g_00290	Prbm.g_00346
OG0000371	Prae.g_00291	Prbm.g_00347
OG0000372	Prae.g_00292	Prbm.g_00348
OG0000373	Prae.g_00293	Prbm.g_00349
OG0000374	Prae.g_00295	Prbm.g_00350
OG0000375	Prae.g_00296	Prbm.g_00351
OG0000376	Prae.g_00299	Prbm.g_00354
OG0000377	Prae.g_00300	Prbm.g_00355
OG0000378	Prae.g_00301	Prbm.g_00356
OG0000379	Prae.g_00302	Prbm.g_00357
OG0000380	Prae.g_00303	Prbm.g_00358
OG0000381	Prae.g_00304	Prbm.g_00359
OG0000382	Prae.g_00305	Prbm.g_00360
OG0000383	Prae.g_00306	Prbm.g_00361
OG0000384	Prae.g_00309	Prbm.g_00364
OG0000385	Prae.g_00310	Prbm.g_00365
OG0000386	Prae.g_00311	Prbm.g_00366
OG0000387	Prae.g_00312	Prbm.g_00367
OG0000388	Prae.g_00313	Prbm.g_00368
OG0000389	Prae.g_00314	Prbm.g_00369
OG0000390	Prae.g_00315	Prbm.g_00370
OG0000391	Prae.g_00316	Prbm.g_00371
OG0000392	Prae.g_00317	Prbm.g_00372
OG0000393	Prae.g_00318	Prbm.g_00373
OG0000394	Prae.g_00319	Prbm.g_00374
OG0000395	Prae.g_00320	Prbm.g_00375
OG0000396	Prae.g_00322	Prbm.g_00376
OG0000397	Prae.g_00324	Prbm.g_00378
OG0000398	Prae.g_00325	Prbm.g_00379
OG0000399	Prae.g_00328	Prbm.g_00382
OG0000400	Prae.g_00329	Prbm.g_00388
OG0000401	Prae.g_00330	Prbm.g_00768
OG0000402	Prae.g_00335	Prbm.g_00400
OG0000403	Prae.g_00336	Prbm.g_00402
OG0000404	Prae.g_00337	Prbm.g_00403
OG0000405	Prae.g_00338	Prbm.g_00404
OG0000406	Prae.g_00341	Prbm.g_00407
OG0000407	Prae.g_00342	Prbm.g_00408
OG0000408	Prae.g_00344	Prbm.g_00410
OG0000409	Prae.g_00345	Prbm.g_00411
OG0000410	Prae.g_00346	Prbm.g_00412
OG0000411	Prae.g_00347	Prbm.g_00413
OG0000412	Prae.g_00348	Prbm.g_00414
OG0000413	Prae.g_00349	Prbm.g_00415
OG0000414	Prae.g_00350	Prbm.g_00416
OG0000415	Prae.g_00351	Prbm.g_00417
OG0000416	Prae.g_00354	Prbm.g_00422
OG0000417	Prae.g_00355	Prbm.g_00423
OG0000418	Prae.g_00356	Prbm.g_00425
OG0000419	Prae.g_00357	Prbm.g_00426
OG0000420	Prae.g_00358	Prbm.g_00866
OG0000421	Prae.g_00371	Prbm.g_01088
OG0000422	Prae.g_00379	Prbm.g_01121
OG0000423	Prae.g_00380	Prbm.g_01353
OG0000424	Prae.g_00385	Prbm.g_01949
OG0000425	Prae.g_00405	Prbm.g_00440
OG0000426	Prae.g_00406	Prbm.g_00441
OG0000427	Prae.g_00407	Prbm.g_00442
OG0000428	Prae.g_00409	Prbm.g_00445
OG0000429	Prae.g_00410	Prbm.g_00446
OG0000430	Prae.g_00412	Prbm.g_00448
OG0000431	Prae.g_00413	Prbm.g_00449
OG0000432	Prae.g_00414	Prbm.g_00450
OG0000433	Prae.g_00415	Prbm.g_00451
OG0000434	Prae.g_00416	Prbm.g_00452
OG0000435	Prae.g_00417	Prbm.g_00453
OG0000436	Prae.g_00418	Prbm.g_00454
OG0000437	Prae.g_00419	Prbm.g_00455
OG0000438	Prae.g_00420	Prbm.g_00456
OG0000439	Prae.g_00421	Prbm.g_00457
OG0000440	Prae.g_00422	Prbm.g_00458
OG0000441	Prae.g_00423	Prbm.g_00459
OG0000442	Prae.g_00424	Prbm.g_00460
OG0000443	Prae.g_00425	Prbm.g_00461
OG0000444	Prae.g_00426	Prbm.g_00462
OG0000445	Prae.g_00427	Prbm.g_00480
OG0000446	Prae.g_00429	Prbm.g_00482
OG0000447	Prae.g_00430	Prbm.g_00483
OG0000448	Prae.g_00432	Prbm.g_00484
OG0000449	Prae.g_00435	Prbm.g_00490
OG0000450	Prae.g_00436	Prbm.g_00491
OG0000451	Prae.g_00437	Prbm.g_00492
OG0000452	Prae.g_00438	Prbm.g_00494
OG0000453	Prae.g_00439	Prbm.g_00495
OG0000454	Prae.g_00445	Prbm.g_00497
OG0000455	Prae.g_00447	Prbm.g_00498
OG0000456	Prae.g_00451	Prbm.g_00502
OG0000457	Prae.g_00452	Prbm.g_00504
OG0000458	Prae.g_00453	Prbm.g_00505
OG0000459	Prae.g_00455	Prbm.g_00507
OG0000460	Prae.g_00457	Prbm.g_00509
OG0000461	Prae.g_00458	Prbm.g_00510
OG0000462	Prae.g_00459	Prbm.g_00511
OG0000463	Prae.g_00461	Prbm.g_00512
OG0000464	Prae.g_00462	Prbm.g_00513
OG0000465	Prae.g_00463	Prbm.g_00514
OG0000466	Prae.g_00464	Prbm.g_00515
OG0000467	Prae.g_00465	Prbm.g_00516
OG0000468	Prae.g_00466	Prbm.g_00517
OG0000469	Prae.g_00467	Prbm.g_00518
OG0000470	Prae.g_00468	Prbm.g_00519
OG0000471	Prae.g_00469	Prbm.g_00520
OG0000472	Prae.g_00474	Prbm.g_00534
OG0000473	Prae.g_00475	Prbm.g_00535
OG0000474	Prae.g_00476	Prbm.g_00536
OG0000475	Prae.g_00477	Prbm.g_00537
OG0000476	Prae.g_00479	Prbm.g_00539
OG0000477	Prae.g_00480	Prbm.g_00540
OG0000478	Prae.g_00481	Prbm.g_00541
OG0000479	Prae.g_00482	Prbm.g_00542
OG0000480	Prae.g_00484	Prbm.g_00544
OG0000481	Prae.g_00486	Prbm.g_00546
OG0000482	Prae.g_00487	Prbm.g_00547
OG0000483	Prae.g_00489	Prbm.g_00549
OG0000484	Prae.g_00490	Prbm.g_00550
OG0000485	Prae.g_00491	Prbm.g_00551
OG0000486	Prae.g_00492	Prbm.g_00553
OG0000487	Prae.g_00497	Prbm.g_00557
OG0000488	Prae.g_00499	Prbm.g_00558
OG0000489	Prae.g_00500	Prbm.g_00559
OG0000490	Prae.g_00501	Prbm.g_00560
OG0000491	Prae.g_00502	Prbm.g_00561
OG0000492	Prae.g_00503	Prbm.g_00562
OG0000493	Prae.g_00504	Prbm.g_00563
OG0000494	Prae.g_00505	Prbm.g_00564
OG0000495	Prae.g_00509	Prbm.g_00567
OG0000496	Prae.g_00510	Prbm.g_00568
OG0000497	Prae.g_00511	Prbm.g_00569
OG0000498	Prae.g_00512	Prbm.g_00570
OG0000499	Prae.g_00513	Prbm.g_00571
OG0000500	Prae.g_00515	Prbm.g_00573
OG0000501	Prae.g_00516	Prbm.g_00574
OG0000502	Prae.g_00517	Prbm.g_00575
OG0000503	Prae.g_00519	Prbm.g_00577
OG0000504	Prae.g_00520	Prbm.g_00578
OG0000505	Prae.g_00521	Prbm.g_00579
OG0000506	Prae.g_00522	Prbm.g_00580
OG0000507	Prae.g_00523	Prbm.g_00581
OG0000508	Prae.g_00524	Prbm.g_00582
OG0000509	Prae.g_00525	Prbm.g_00583
OG0000510	Prae.g_00526	Prbm.g_00584
OG0000511	Prae.g_00528	Prbm.g_00586
OG0000512	Prae.g_00529	Prbm.g_00587
OG0000513	Prae.g_00530	Prbm.g_00588
OG0000514	Prae.g_00531	Prbm.g_00589
OG0000515	Prae.g_00532	Prbm.g_00590
OG0000516	Prae.g_00533	Prbm.g_00591
OG0000517	Prae.g_00535	Prbm.g_00593
OG0000518	Prae.g_00536	Prbm.g_00594
OG0000519	Prae.g_00537	Prbm.g_00595
OG0000520	Prae.g_00538	Prbm.g_00596
OG0000521	Prae.g_00539	Prbm.g_00597
OG0000522	Prae.g_00540	Prbm.g_00598
OG0000523	Prae.g_00541	Prbm.g_00599
OG0000524	Prae.g_00542	Prbm.g_00600
OG0000525	Prae.g_00543	Prbm.g_00601
OG0000526	Prae.g_00544	Prbm.g_00602
OG0000527	Prae.g_00545	Prbm.g_00603
OG0000528	Prae.g_00546	Prbm.g_00604
OG0000529	Prae.g_00547	Prbm.g_00605
OG0000530	Prae.g_00548	Prbm.g_00606
OG0000531	Prae.g_00549	Prbm.g_00607
OG0000532	Prae.g_00550	Prbm.g_00608
OG0000533	Prae.g_00552	Prbm.g_00609
OG0000534	Prae.g_00553	Prbm.g_00610
OG0000535	Prae.g_00554	Prbm.g_00611
OG0000536	Prae.g_00555	Prbm.g_00612
OG0000537	Prae.g_00556	Prbm.g_00613
OG0000538	Prae.g_00557	Prbm.g_00614
OG0000539	Prae.g_00560	Prbm.g_00616
OG0000540	Prae.g_00561	Prbm.g_00617
OG0000541	Prae.g_00562	Prbm.g_00618
OG0000542	Prae.g_00565	Prbm.g_00620
OG0000543	Prae.g_00566	Prbm.g_00621
OG0000544	Prae.g_00567	Prbm.g_00624
OG0000545	Prae.g_00568	Prbm.g_00623
OG0000546	Prae.g_00569	Prbm.g_00625
