Orthogroup	Prae	Prbb
OG0000033	Prae.g_01546, Prae.g_00738	Prbb.g_01114, Prbb.g_01127
OG0000034	Prae.g_01459	Prbb.g_01686
OG0000035	Prae.g_01573	Prbb.g_01324, Prbb.g_01729
OG0000036	Prae.g_01107	Prbb.g_01071
OG0000037	Prae.g_01602	Prbb.g_01391
OG0000038	Prae.g_01402	Prbb.g_00387
OG0000040	Prae.g_01291	Prbb.g_01229
OG0000040	Prae.g_00398	Prbb.g_01368
OG0000041	Prae.g_00597	Prbb.g_01111
OG0000043	Prae.g_00894	Prbb.g_01449
OG0000045	Prae.g_00559	Prbb.g_01882
OG0000046	Prae.g_00764	Prbb.g_01231
OG0000047	Prae.g_01163, Prae.g_01422	Prbb.g_01517
OG0000049	Prae.g_01417, Prae.g_01406	Prbb.g_00851
OG0000050	Prae.g_00169	Prbb.g_00223
OG0000051	Prae.g_00359	Prbb.g_01373, Prbb.g_01411
OG0000053	Prae.g_00711	Prbb.g_00713
OG0000054	Prae.g_01616	Prbb.g_01816
OG0000055	Prae.g_01815	Prbb.g_02061
OG0000056	Prae.g_00031	Prbb.g_00032
OG0000057	Prae.g_00160	Prbb.g_00214
OG0000058	Prae.g_00370	Prbb.g_01197, Prbb.g_01329
OG0000059	Prae.g_00514	Prbb.g_00542
OG0000060	Prae.g_01247	Prbb.g_00726
OG0000062	Prae.g_00828	Prbb.g_00807, Prbb.g_01218
OG0000063	Prae.g_01322	Prbb.g_00054
OG0000065	Prae.g_00240	Prbb.g_00294
OG0000066	Prae.g_00449	Prbb.g_00478
OG0000067	Prae.g_00672	Prbb.g_01359, Prbb.g_00706
OG0000069	Prae.g_01128, Prae.g_00984	Prbb.g_01627
OG0000070	Prae.g_01040	Prbb.g_01070
OG0000071	Prae.g_01263	Prbb.g_01399
OG0000072	Prae.g_01329	Prbb.g_01586
OG0000074	Prae.g_01389	Prbb.g_00678
OG0000075	Prae.g_01758	Prbb.g_02001
OG0000077	Prae.g_00011	Prbb.g_00012
OG0000078	Prae.g_00323	Prbb.g_00373
OG0000079	Prae.g_00382	Prbb.g_01326
OG0000080	Prae.g_00643	Prbb.g_00673
OG0000081	Prae.g_00665	Prbb.g_00697, Prbb.g_00698
OG0000082	Prae.g_00813	Prbb.g_00790
OG0000083	Prae.g_00876	Prbb.g_00909, Prbb.g_01198
OG0000084	Prae.g_00964	Prbb.g_00991
OG0000085	Prae.g_01090	Prbb.g_01238
OG0000086	Prae.g_01130	Prbb.g_01887
OG0000088	Prae.g_01269	Prbb.g_01306
OG0000090	Prae.g_01390	Prbb.g_00388
OG0000091	Prae.g_01467	Prbb.g_01694
OG0000092	Prae.g_01588	Prbb.g_01208
OG0000093	Prae.g_01710	Prbb.g_01946
OG0000094	Prae.g_01755	Prbb.g_01997
OG0000095	Prae.g_01789	Prbb.g_02034
OG0000096	Prae.g_01859	Prbb.g_02123
OG0000098	Prae.g_00003, Prae.g_01306	Prbb.g_00003
OG0000099	Prae.g_00023	Prbb.g_00024
OG0000100	Prae.g_00041	Prbb.g_01195
OG0000101	Prae.g_00051	Prbb.g_00064
OG0000102	Prae.g_00112	Prbb.g_00170
OG0000103	Prae.g_00121	Prbb.g_00179
OG0000104	Prae.g_00139	Prbb.g_00196
OG0000105	Prae.g_00173	Prbb.g_00227
OG0000106	Prae.g_00187	Prbb.g_00240
OG0000107	Prae.g_00195	Prbb.g_00249
OG0000108	Prae.g_00205	Prbb.g_00259
OG0000109	Prae.g_00242	Prbb.g_00041, Prbb.g_00297
OG0000110	Prae.g_00254	Prbb.g_00307
OG0000111	Prae.g_01440	Prbb.g_00327
OG0000113	Prae.g_00298	Prbb.g_00348
OG0000114	Prae.g_00326	Prbb.g_00376
OG0000115	Prae.g_00448	Prbb.g_00477
OG0000116	Prae.g_00450	Prbb.g_00479
OG0000117	Prae.g_00454	Prbb.g_00484, Prbb.g_00485
OG0000118	Prae.g_00473	Prbb.g_00503
OG0000119	Prae.g_00506	Prbb.g_00535
OG0000120	Prae.g_00508	Prbb.g_00536
OG0000121	Prae.g_00518	Prbb.g_00546
OG0000122	Prae.g_00527	Prbb.g_00556
OG0000123	Prae.g_01432, Prae.g_00558	Prbb.g_00586
OG0000124	Prae.g_00625	Prbb.g_00652
OG0000125	Prae.g_00626	Prbb.g_00653
OG0000126	Prae.g_00627	Prbb.g_00654
OG0000127	Prae.g_00660	Prbb.g_00692
OG0000128	Prae.g_00713	Prbb.g_00715
OG0000129	Prae.g_00733	Prbb.g_00737
OG0000130	Prae.g_00791	Prbb.g_00954
OG0000131	Prae.g_00804	Prbb.g_00781
OG0000132	Prae.g_00839	Prbb.g_00817
OG0000133	Prae.g_00924	Prbb.g_00950
OG0000134	Prae.g_00933	Prbb.g_00768
OG0000135	Prae.g_00968	Prbb.g_00995
OG0000136	Prae.g_01037	Prbb.g_01067
OG0000137	Prae.g_01133	Prbb.g_01890
OG0000138	Prae.g_01158	Prbb.g_01523
OG0000139	Prae.g_01169	Prbb.g_01510
OG0000140	Prae.g_01220	Prbb.g_01456
OG0000141	Prae.g_01434	Prbb.g_01060
OG0000142	Prae.g_01341	Prbb.g_01598
OG0000143	Prae.g_01368	Prbb.g_01639
OG0000144	Prae.g_01446	Prbb.g_01673
OG0000145	Prae.g_01460	Prbb.g_01687
OG0000146	Prae.g_01496	Prbb.g_01721
OG0000147	Prae.g_01536	Prbb.g_01767
OG0000148	Prae.g_01537	Prbb.g_01768
OG0000149	Prae.g_01621	Prbb.g_01821
OG0000150	Prae.g_01659	Prbb.g_01858
OG0000151	Prae.g_01662	Prbb.g_01860
OG0000152	Prae.g_01681	Prbb.g_01880
OG0000153	Prae.g_01717	Prbb.g_01959
OG0000154	Prae.g_01753	Prbb.g_01995
OG0000155	Prae.g_01772	Prbb.g_02014
OG0000156	Prae.g_01800	Prbb.g_02046
OG0000157	Prae.g_01832	Prbb.g_02082
OG0000158	Prae.g_01894	Prbb.g_02168
OG0000160	Prae.g_00001	Prbb.g_00001
OG0000161	Prae.g_00002	Prbb.g_00002
OG0000162	Prae.g_00004	Prbb.g_00004
OG0000163	Prae.g_00005	Prbb.g_00005
OG0000164	Prae.g_00006	Prbb.g_00007
OG0000165	Prae.g_00007	Prbb.g_00008
OG0000166	Prae.g_00008	Prbb.g_00009
OG0000167	Prae.g_00009	Prbb.g_00010
OG0000168	Prae.g_00010	Prbb.g_00011
OG0000169	Prae.g_00012	Prbb.g_00013
OG0000170	Prae.g_00014	Prbb.g_00015
OG0000171	Prae.g_00015	Prbb.g_00016
OG0000172	Prae.g_00016	Prbb.g_00017
OG0000173	Prae.g_00017	Prbb.g_00018
OG0000174	Prae.g_00018	Prbb.g_00019
OG0000175	Prae.g_00019	Prbb.g_00020
OG0000176	Prae.g_00020	Prbb.g_00021
OG0000177	Prae.g_00021	Prbb.g_00022
OG0000178	Prae.g_00022	Prbb.g_00023
OG0000179	Prae.g_00024	Prbb.g_00025
OG0000180	Prae.g_00025	Prbb.g_00026
OG0000181	Prae.g_00026	Prbb.g_00027
OG0000182	Prae.g_00027	Prbb.g_00028
OG0000183	Prae.g_00028	Prbb.g_00029
OG0000184	Prae.g_00029	Prbb.g_00030
OG0000185	Prae.g_00032	Prbb.g_00033
OG0000186	Prae.g_00035	Prbb.g_00035
OG0000187	Prae.g_00036	Prbb.g_00036
OG0000188	Prae.g_00037	Prbb.g_00037
OG0000189	Prae.g_00042	Prbb.g_00055
OG0000190	Prae.g_00044	Prbb.g_00057
OG0000191	Prae.g_00045	Prbb.g_00058
OG0000192	Prae.g_00046	Prbb.g_00059
OG0000193	Prae.g_00047	Prbb.g_00060
OG0000194	Prae.g_00048	Prbb.g_00061
OG0000195	Prae.g_00049	Prbb.g_00062
OG0000196	Prae.g_00050	Prbb.g_00063
OG0000197	Prae.g_00052	Prbb.g_00065
OG0000198	Prae.g_00053	Prbb.g_00066
OG0000199	Prae.g_00054	Prbb.g_00067
OG0000200	Prae.g_00064	Prbb.g_00119
OG0000201	Prae.g_00065	Prbb.g_00120
OG0000202	Prae.g_00066	Prbb.g_00121
OG0000203	Prae.g_00069	Prbb.g_00124
OG0000204	Prae.g_00070	Prbb.g_00125
OG0000205	Prae.g_00073	Prbb.g_00128
OG0000206	Prae.g_00075	Prbb.g_00130
OG0000207	Prae.g_00077	Prbb.g_00132
OG0000208	Prae.g_00078	Prbb.g_00133
OG0000209	Prae.g_00079	Prbb.g_00134
OG0000210	Prae.g_00080	Prbb.g_00135
OG0000211	Prae.g_00081	Prbb.g_00136
OG0000212	Prae.g_00082	Prbb.g_00137
OG0000213	Prae.g_00083	Prbb.g_00138
OG0000214	Prae.g_00084	Prbb.g_00139
OG0000215	Prae.g_00085	Prbb.g_00140
OG0000216	Prae.g_00086	Prbb.g_00141
OG0000217	Prae.g_00088	Prbb.g_00143
OG0000218	Prae.g_00089	Prbb.g_00144
OG0000219	Prae.g_00090	Prbb.g_00145
OG0000220	Prae.g_00091	Prbb.g_00146
OG0000221	Prae.g_00094	Prbb.g_00149
OG0000222	Prae.g_00095	Prbb.g_00150
OG0000223	Prae.g_00096	Prbb.g_00151
OG0000224	Prae.g_00097	Prbb.g_00152
OG0000225	Prae.g_00098	Prbb.g_00153
OG0000226	Prae.g_00099	Prbb.g_00154
OG0000227	Prae.g_00100	Prbb.g_00156
OG0000228	Prae.g_00101	Prbb.g_00157
OG0000229	Prae.g_00102	Prbb.g_00158
OG0000230	Prae.g_00103	Prbb.g_00159
OG0000231	Prae.g_00104	Prbb.g_00160
OG0000232	Prae.g_00105	Prbb.g_00161
OG0000233	Prae.g_00106	Prbb.g_00162
OG0000234	Prae.g_00107	Prbb.g_00163
OG0000235	Prae.g_00108	Prbb.g_00164
OG0000236	Prae.g_00109	Prbb.g_00167
OG0000237	Prae.g_00110	Prbb.g_00168
OG0000238	Prae.g_00111	Prbb.g_00169
OG0000239	Prae.g_00113	Prbb.g_00171
OG0000240	Prae.g_00115	Prbb.g_00173
OG0000241	Prae.g_00116	Prbb.g_00174
OG0000242	Prae.g_00117	Prbb.g_00175
OG0000243	Prae.g_00120	Prbb.g_00177
OG0000244	Prae.g_00122	Prbb.g_00180
OG0000245	Prae.g_00123	Prbb.g_00181
OG0000246	Prae.g_00124	Prbb.g_00182
OG0000247	Prae.g_00127	Prbb.g_00185
OG0000248	Prae.g_00129	Prbb.g_00187
OG0000249	Prae.g_00130	Prbb.g_00189
OG0000250	Prae.g_00131	Prbb.g_00190
OG0000251	Prae.g_00132	Prbb.g_00191
OG0000252	Prae.g_00133	Prbb.g_00192
OG0000253	Prae.g_00134	Prbb.g_00193
OG0000254	Prae.g_00136	Prbb.g_01101
OG0000255	Prae.g_00137	Prbb.g_00194
OG0000256	Prae.g_00140	Prbb.g_00197
OG0000257	Prae.g_00142	Prbb.g_00200
OG0000258	Prae.g_00148	Prbb.g_00202
OG0000259	Prae.g_00149	Prbb.g_00203
OG0000260	Prae.g_00150	Prbb.g_00204
OG0000261	Prae.g_00151	Prbb.g_00205
OG0000262	Prae.g_00152	Prbb.g_00206
OG0000263	Prae.g_00154	Prbb.g_00208
OG0000264	Prae.g_00155	Prbb.g_00209
OG0000265	Prae.g_00156	Prbb.g_00210
OG0000266	Prae.g_00157	Prbb.g_00211
OG0000267	Prae.g_00158	Prbb.g_00212
OG0000268	Prae.g_00159	Prbb.g_00213
OG0000269	Prae.g_00161	Prbb.g_00215
OG0000270	Prae.g_00162	Prbb.g_00216
OG0000271	Prae.g_00163	Prbb.g_00217
OG0000272	Prae.g_00164	Prbb.g_00218
OG0000273	Prae.g_00165	Prbb.g_00219
OG0000274	Prae.g_00166	Prbb.g_00220
OG0000275	Prae.g_00167	Prbb.g_00221
OG0000276	Prae.g_00168	Prbb.g_00222
OG0000277	Prae.g_00170	Prbb.g_00224
OG0000278	Prae.g_00171	Prbb.g_00225
OG0000279	Prae.g_00172	Prbb.g_00226
OG0000280	Prae.g_00174	Prbb.g_00228
OG0000281	Prae.g_00176	Prbb.g_00229
OG0000282	Prae.g_00177	Prbb.g_00230
OG0000283	Prae.g_00178	Prbb.g_00231
OG0000284	Prae.g_00179	Prbb.g_00232
OG0000285	Prae.g_00180	Prbb.g_00233
OG0000286	Prae.g_00181	Prbb.g_00234
OG0000287	Prae.g_00182	Prbb.g_00235
OG0000288	Prae.g_00184	Prbb.g_00237
OG0000289	Prae.g_00185	Prbb.g_00238
OG0000290	Prae.g_00186	Prbb.g_00239
OG0000291	Prae.g_00188	Prbb.g_00241
OG0000292	Prae.g_00189	Prbb.g_00243
OG0000293	Prae.g_00190	Prbb.g_00244
OG0000294	Prae.g_00191	Prbb.g_00245
OG0000295	Prae.g_00192	Prbb.g_00246
OG0000296	Prae.g_00193	Prbb.g_00247
OG0000297	Prae.g_00194	Prbb.g_00248
OG0000298	Prae.g_00196	Prbb.g_00250
OG0000299	Prae.g_00197	Prbb.g_00251
OG0000300	Prae.g_00198	Prbb.g_00252
OG0000301	Prae.g_00199	Prbb.g_00253
OG0000302	Prae.g_00200	Prbb.g_00254
OG0000303	Prae.g_00201	Prbb.g_00255
OG0000304	Prae.g_00203	Prbb.g_00257
OG0000305	Prae.g_00204	Prbb.g_00258
OG0000306	Prae.g_00207	Prbb.g_00260
OG0000307	Prae.g_00208	Prbb.g_00261
OG0000308	Prae.g_00209	Prbb.g_00262
OG0000309	Prae.g_00210	Prbb.g_00263
OG0000310	Prae.g_00211	Prbb.g_00264
OG0000311	Prae.g_00212	Prbb.g_00265
OG0000312	Prae.g_00213	Prbb.g_00266
OG0000313	Prae.g_00214	Prbb.g_00267
OG0000314	Prae.g_00215	Prbb.g_00268
OG0000315	Prae.g_00216	Prbb.g_00269
OG0000316	Prae.g_00217	Prbb.g_00270
OG0000317	Prae.g_00218	Prbb.g_00271
OG0000318	Prae.g_00219	Prbb.g_00272
OG0000319	Prae.g_00220	Prbb.g_00273
OG0000320	Prae.g_00221	Prbb.g_00274
OG0000321	Prae.g_00222	Prbb.g_00275
OG0000322	Prae.g_00223	Prbb.g_00276
OG0000323	Prae.g_00224	Prbb.g_00277
OG0000324	Prae.g_00225	Prbb.g_00278
OG0000325	Prae.g_00226	Prbb.g_00279
OG0000326	Prae.g_00227	Prbb.g_00280
OG0000327	Prae.g_00228	Prbb.g_00281
OG0000328	Prae.g_00229	Prbb.g_00282
OG0000329	Prae.g_00230	Prbb.g_00283
OG0000330	Prae.g_00231	Prbb.g_00284
OG0000331	Prae.g_00232	Prbb.g_00285
OG0000332	Prae.g_00233	Prbb.g_00286
OG0000333	Prae.g_00234	Prbb.g_00287
OG0000334	Prae.g_00235	Prbb.g_00288
OG0000335	Prae.g_00236	Prbb.g_00290
OG0000336	Prae.g_00238	Prbb.g_00292
OG0000337	Prae.g_00239	Prbb.g_00293
OG0000338	Prae.g_00243	Prbb.g_00298
OG0000339	Prae.g_00245	Prbb.g_00300
OG0000340	Prae.g_00247	Prbb.g_00302
OG0000341	Prae.g_00248	Prbb.g_00303
OG0000342	Prae.g_00249	Prbb.g_00304
OG0000343	Prae.g_00250	Prbb.g_00305
OG0000344	Prae.g_00253	Prbb.g_00306
OG0000345	Prae.g_00256	Prbb.g_00309
OG0000346	Prae.g_00257	Prbb.g_00310
OG0000347	Prae.g_00260	Prbb.g_00313
OG0000348	Prae.g_00262	Prbb.g_00314
OG0000349	Prae.g_00263	Prbb.g_00315
OG0000350	Prae.g_00265	Prbb.g_00316
OG0000351	Prae.g_00266	Prbb.g_00317
OG0000352	Prae.g_00267	Prbb.g_00318
OG0000353	Prae.g_00268	Prbb.g_00319
OG0000354	Prae.g_00269	Prbb.g_00320
OG0000355	Prae.g_00270	Prbb.g_00321
OG0000356	Prae.g_00271	Prbb.g_00322
OG0000357	Prae.g_00272	Prbb.g_00323
OG0000358	Prae.g_00273	Prbb.g_00324
OG0000359	Prae.g_00274	Prbb.g_00326
OG0000360	Prae.g_00276	Prbb.g_00328
OG0000361	Prae.g_00277	Prbb.g_00329
OG0000362	Prae.g_00278	Prbb.g_00330
OG0000363	Prae.g_00279	Prbb.g_00331
OG0000364	Prae.g_00283	Prbb.g_00334
OG0000365	Prae.g_00284	Prbb.g_00335
OG0000366	Prae.g_00286	Prbb.g_00337
OG0000367	Prae.g_00287	Prbb.g_00338
OG0000368	Prae.g_00288	Prbb.g_00339
OG0000369	Prae.g_00289	Prbb.g_00340
OG0000370	Prae.g_00290	Prbb.g_00341
OG0000371	Prae.g_00291	Prbb.g_00342
OG0000372	Prae.g_00292	Prbb.g_00343
OG0000373	Prae.g_00293	Prbb.g_00344
OG0000374	Prae.g_00295	Prbb.g_00345
OG0000375	Prae.g_00296	Prbb.g_00346
OG0000376	Prae.g_00299	Prbb.g_00349
OG0000377	Prae.g_00300	Prbb.g_00350
OG0000378	Prae.g_00301	Prbb.g_00351
OG0000379	Prae.g_00302	Prbb.g_00352
OG0000380	Prae.g_00303	Prbb.g_00353
OG0000381	Prae.g_00304	Prbb.g_00354
OG0000382	Prae.g_00305	Prbb.g_00355
OG0000383	Prae.g_00306	Prbb.g_00356
OG0000384	Prae.g_00309	Prbb.g_00359
OG0000385	Prae.g_00310	Prbb.g_00360
OG0000386	Prae.g_00311	Prbb.g_00361
OG0000387	Prae.g_00312	Prbb.g_00362
OG0000388	Prae.g_00313	Prbb.g_00363
OG0000389	Prae.g_00314	Prbb.g_00364
OG0000390	Prae.g_00315	Prbb.g_00365
OG0000391	Prae.g_00316	Prbb.g_00366
OG0000392	Prae.g_00317	Prbb.g_00367
OG0000393	Prae.g_00318	Prbb.g_00368
OG0000394	Prae.g_00319	Prbb.g_00369
OG0000395	Prae.g_00320	Prbb.g_00370
OG0000396	Prae.g_00322	Prbb.g_00372
OG0000397	Prae.g_00324	Prbb.g_00374
OG0000398	Prae.g_00325	Prbb.g_00375
OG0000399	Prae.g_00328	Prbb.g_00378
OG0000400	Prae.g_00329	Prbb.g_00384
OG0000401	Prae.g_00330	Prbb.g_00739
OG0000402	Prae.g_00335	Prbb.g_00394
OG0000403	Prae.g_00336	Prbb.g_00396
OG0000404	Prae.g_00337	Prbb.g_00397
OG0000405	Prae.g_00338	Prbb.g_00398
OG0000406	Prae.g_00341	Prbb.g_00401
OG0000407	Prae.g_00342	Prbb.g_00402
OG0000408	Prae.g_00344	Prbb.g_00404
OG0000409	Prae.g_00345	Prbb.g_00405
OG0000410	Prae.g_00346	Prbb.g_00406
OG0000411	Prae.g_00347	Prbb.g_00407
OG0000412	Prae.g_00348	Prbb.g_00408
OG0000413	Prae.g_00349	Prbb.g_00409
OG0000414	Prae.g_00350	Prbb.g_00410
OG0000415	Prae.g_00351	Prbb.g_00411
OG0000416	Prae.g_00354	Prbb.g_00415
OG0000417	Prae.g_00355	Prbb.g_00416
OG0000418	Prae.g_00356	Prbb.g_00418
OG0000419	Prae.g_00357	Prbb.g_00419
OG0000420	Prae.g_00358	Prbb.g_00836
OG0000421	Prae.g_00371	Prbb.g_01094
OG0000422	Prae.g_00379	Prbb.g_01124
OG0000423	Prae.g_00380	Prbb.g_01288
OG0000424	Prae.g_00385	Prbb.g_01923
OG0000425	Prae.g_00405	Prbb.g_00436
OG0000426	Prae.g_00406	Prbb.g_00437
OG0000427	Prae.g_00407	Prbb.g_00438
OG0000428	Prae.g_00409	Prbb.g_00440
OG0000429	Prae.g_00410	Prbb.g_00441
OG0000430	Prae.g_00412	Prbb.g_00443
OG0000431	Prae.g_00413	Prbb.g_00444
OG0000432	Prae.g_00414	Prbb.g_00445
OG0000433	Prae.g_00415	Prbb.g_00446
OG0000434	Prae.g_00416	Prbb.g_00447
OG0000435	Prae.g_00417	Prbb.g_00448
OG0000436	Prae.g_00418	Prbb.g_00449
OG0000437	Prae.g_00419	Prbb.g_00450
OG0000438	Prae.g_00420	Prbb.g_00451
OG0000439	Prae.g_00421	Prbb.g_00452
OG0000440	Prae.g_00422	Prbb.g_00453
OG0000441	Prae.g_00423	Prbb.g_00454
OG0000442	Prae.g_00424	Prbb.g_00455
OG0000443	Prae.g_00425	Prbb.g_00456
OG0000444	Prae.g_00426	Prbb.g_00457
OG0000445	Prae.g_00427	Prbb.g_00458
OG0000446	Prae.g_00429	Prbb.g_00460
OG0000447	Prae.g_00430	Prbb.g_00461
OG0000448	Prae.g_00432	Prbb.g_00462
OG0000449	Prae.g_00435	Prbb.g_00468
OG0000450	Prae.g_00436	Prbb.g_00469
OG0000451	Prae.g_00437	Prbb.g_00470
OG0000452	Prae.g_00438	Prbb.g_00472
OG0000453	Prae.g_00439	Prbb.g_00473
OG0000454	Prae.g_00445	Prbb.g_00475
OG0000455	Prae.g_00447	Prbb.g_00476
OG0000456	Prae.g_00451	Prbb.g_00480
OG0000457	Prae.g_00452	Prbb.g_00482
OG0000458	Prae.g_00453	Prbb.g_00483
OG0000459	Prae.g_00455	Prbb.g_00486
OG0000460	Prae.g_00457	Prbb.g_00488
OG0000461	Prae.g_00458	Prbb.g_00489
OG0000462	Prae.g_00459	Prbb.g_00490
OG0000463	Prae.g_00461	Prbb.g_00491
OG0000464	Prae.g_00462	Prbb.g_00492
OG0000465	Prae.g_00463	Prbb.g_00493
OG0000466	Prae.g_00464	Prbb.g_00494
OG0000467	Prae.g_00465	Prbb.g_00495
OG0000468	Prae.g_00466	Prbb.g_00496
OG0000469	Prae.g_00467	Prbb.g_00497
OG0000470	Prae.g_00468	Prbb.g_00498
OG0000471	Prae.g_00469	Prbb.g_00499
OG0000472	Prae.g_00474	Prbb.g_00504
OG0000473	Prae.g_00475	Prbb.g_00505
OG0000474	Prae.g_00476	Prbb.g_00506
OG0000475	Prae.g_00477	Prbb.g_00507
OG0000476	Prae.g_00479	Prbb.g_00509
OG0000477	Prae.g_00480	Prbb.g_00510
OG0000478	Prae.g_00481	Prbb.g_00511
OG0000479	Prae.g_00482	Prbb.g_00512
OG0000480	Prae.g_00484	Prbb.g_00514
OG0000481	Prae.g_00486	Prbb.g_00516
OG0000482	Prae.g_00487	Prbb.g_00517
OG0000483	Prae.g_00489	Prbb.g_00519
OG0000484	Prae.g_00490	Prbb.g_00520
OG0000485	Prae.g_00491	Prbb.g_00521
OG0000486	Prae.g_00492	Prbb.g_00523
OG0000487	Prae.g_00497	Prbb.g_00527
OG0000488	Prae.g_00499	Prbb.g_00528
OG0000489	Prae.g_00500	Prbb.g_00529
OG0000490	Prae.g_00501	Prbb.g_00530
OG0000491	Prae.g_00502	Prbb.g_00531
OG0000492	Prae.g_00503	Prbb.g_00532
OG0000493	Prae.g_00504	Prbb.g_00533
OG0000494	Prae.g_00505	Prbb.g_00534
OG0000495	Prae.g_00509	Prbb.g_00537
OG0000496	Prae.g_00510	Prbb.g_00538
OG0000497	Prae.g_00511	Prbb.g_00539
OG0000498	Prae.g_00512	Prbb.g_00540
OG0000499	Prae.g_00513	Prbb.g_00541
OG0000500	Prae.g_00515	Prbb.g_00543
OG0000501	Prae.g_00516	Prbb.g_00544
OG0000502	Prae.g_00517	Prbb.g_00545
OG0000503	Prae.g_00519	Prbb.g_00547
OG0000504	Prae.g_00520	Prbb.g_00548
OG0000505	Prae.g_00521	Prbb.g_00550
OG0000506	Prae.g_00522	Prbb.g_00551
OG0000507	Prae.g_00523	Prbb.g_00552
OG0000508	Prae.g_00524	Prbb.g_00553
OG0000509	Prae.g_00525	Prbb.g_00554
OG0000510	Prae.g_00526	Prbb.g_00555
OG0000511	Prae.g_00528	Prbb.g_00557
OG0000512	Prae.g_00529	Prbb.g_00558
OG0000513	Prae.g_00530	Prbb.g_00559
OG0000514	Prae.g_00531	Prbb.g_00560
OG0000515	Prae.g_00532	Prbb.g_00561
OG0000516	Prae.g_00533	Prbb.g_00562
OG0000517	Prae.g_00535	Prbb.g_00564
OG0000518	Prae.g_00536	Prbb.g_00565
OG0000519	Prae.g_00537	Prbb.g_00566
OG0000520	Prae.g_00538	Prbb.g_00567
OG0000521	Prae.g_00539	Prbb.g_00568
OG0000522	Prae.g_00540	Prbb.g_00569
OG0000523	Prae.g_00541	Prbb.g_00570
OG0000524	Prae.g_00542	Prbb.g_00571
OG0000525	Prae.g_00543	Prbb.g_00572
OG0000526	Prae.g_00544	Prbb.g_00573
OG0000527	Prae.g_00545	Prbb.g_00574
OG0000528	Prae.g_00546	Prbb.g_00575
OG0000529	Prae.g_00547	Prbb.g_00576
OG0000530	Prae.g_00548	Prbb.g_00577
OG0000531	Prae.g_00549	Prbb.g_00578
OG0000532	Prae.g_00550	Prbb.g_00579
OG0000533	Prae.g_00552	Prbb.g_00580
OG0000534	Prae.g_00553	Prbb.g_00581
OG0000535	Prae.g_00554	Prbb.g_00582
OG0000536	Prae.g_00555	Prbb.g_00583
OG0000537	Prae.g_00556	Prbb.g_00584
OG0000538	Prae.g_00557	Prbb.g_00585
OG0000539	Prae.g_00560	Prbb.g_00587
OG0000540	Prae.g_00561	Prbb.g_00588
OG0000541	Prae.g_00562	Prbb.g_00589
OG0000542	Prae.g_00565	Prbb.g_00591
OG0000543	Prae.g_00566	Prbb.g_00592
OG0000544	Prae.g_00567	Prbb.g_00594
OG0000545	Prae.g_00568	Prbb.g_00593
OG0000546	Prae.g_00569	Prbb.g_00595
OG0000547	Prae.g_00570	Prbb.g_00596
OG0000548	Prae.g_00571	Prbb.g_00597
OG0000549	Prae.g_00573	Prbb.g_00599
