Orthogroup	Prbl	Prax
OG0000056	Prbl.g_00138	Prax.g_00148
OG0000058	Prbl.g_01340	Prax.g_00727
OG0000059	Prbl.g_00025	Prax.g_00944
OG0000062	Prbl.g_02204	Prax.g_00161
OG0000063	Prbl.g_01384	Prax.g_01959
OG0000065	Prbl.g_01722	Prax.g_01899
OG0000066	Prbl.g_00892	Prax.g_01832
OG0000068	Prbl.g_01126, Prbl.g_01000	Prax.g_01338
OG0000069	Prbl.g_00889	Prax.g_01838
OG0000071	Prbl.g_02109	Prax.g_01974
OG0000072	Prbl.g_00897	Prax.g_00853, Prax.g_00852, Prax.g_01783
OG0000073	Prbl.g_01395	Prax.g_00973
OG0000074	Prbl.g_01859	Prax.g_00951
OG0000075	Prbl.g_02328	Prax.g_00366
OG0000076	Prbl.g_00927	Prax.g_01204
OG0000078	Prbl.g_00893	Prax.g_01825
OG0000079	Prbl.g_00417	Prax.g_01650
OG0000080	Prbl.g_00462	Prax.g_01600
OG0000081	Prbl.g_00857	Prax.g_01368
OG0000083	Prbl.g_02118	Prax.g_01493
OG0000084	Prbl.g_02115	Prax.g_01496
OG0000085	Prbl.g_01968	Prax.g_00290
OG0000087	Prbl.g_02273	Prax.g_00624
OG0000088	Prbl.g_01331	Prax.g_01106
OG0000089	Prbl.g_01316	Prax.g_01097
OG0000090	Prbl.g_00810	Prax.g_01079
OG0000091	Prbl.g_00278	Prax.g_01049
OG0000092	Prbl.g_00277	Prax.g_01048
OG0000093	Prbl.g_00069	Prax.g_01034
OG0000094	Prbl.g_00098	Prax.g_01016
OG0000095	Prbl.g_01282	Prax.g_01011
OG0000096	Prbl.g_01506	Prax.g_00488, Prax.g_00924
OG0000097	Prbl.g_01461	Prax.g_00901
OG0000099	Prbl.g_01436	Prax.g_00881
OG0000100	Prbl.g_01432	Prax.g_00878
OG0000101	Prbl.g_02677	Prax.g_01573, Prax.g_00816
OG0000102	Prbl.g_02190	Prax.g_00792
OG0000103	Prbl.g_01339	Prax.g_00726
OG0000104	Prbl.g_00511	Prax.g_00722
OG0000105	Prbl.g_00533	Prax.g_00702
OG0000106	Prbl.g_00768	Prax.g_00669
OG0000107	Prbl.g_00766	Prax.g_00668
OG0000108	Prbl.g_02647	Prax.g_00004
OG0000109	Prbl.g_01886	Prax.g_00013
OG0000110	Prbl.g_01905	Prax.g_00029
OG0000111	Prbl.g_01043	Prax.g_00110
OG0000112	Prbl.g_01042	Prax.g_00111
OG0000113	Prbl.g_02432	Prax.g_00463
OG0000114	Prbl.g_02337	Prax.g_00375
OG0000115	Prbl.g_02478	Prax.g_01129
OG0000116	Prbl.g_02486	Prax.g_01133
OG0000117	Prbl.g_00930	Prax.g_01201
OG0000118	Prbl.g_02128	Prax.g_01254, Prax.g_01759
OG0000119	Prbl.g_02202	Prax.g_00164
OG0000120	Prbl.g_02091	Prax.g_00206
OG0000121	Prbl.g_01119	Prax.g_00225
OG0000122	Prbl.g_02583	Prax.g_00244
OG0000123	Prbl.g_01102	Prax.g_00257
OG0000124	Prbl.g_00937	Prax.g_01789
OG0000125	Prbl.g_01736	Prax.g_01887
OG0000126	Prbl.g_00502	Prax.g_01863
OG0000127	Prbl.g_00258	Prax.g_01746
OG0000128	Prbl.g_00241	Prax.g_01727
OG0000129	Prbl.g_00709	Prax.g_01691
OG0000130	Prbl.g_00399	Prax.g_01561
OG0000131	Prbl.g_00350	Prax.g_01523
OG0000132	Prbl.g_00347	Prax.g_01520
OG0000133	Prbl.g_00957	Prax.g_01297
OG0000134	Prbl.g_00994	Prax.g_01333
OG0000135	Prbl.g_00996	Prax.g_01335
OG0000136	Prbl.g_00841	Prax.g_01379
OG0000137	Prbl.g_02053	Prax.g_01411
OG0000138	Prbl.g_02231	Prax.g_01447
OG0000139	Prbl.g_02147	Prax.g_01473
OG0000140	Prbl.g_02120	Prax.g_01491
OG0000141	Prbl.g_02119	Prax.g_01492
OG0000142	Prbl.g_02117	Prax.g_01494
OG0000143	Prbl.g_02116	Prax.g_01495
OG0000144	Prbl.g_02114	Prax.g_01497
OG0000145	Prbl.g_02112	Prax.g_01498
OG0000146	Prbl.g_02111	Prax.g_01499
OG0000147	Prbl.g_02110	Prax.g_01975
OG0000148	Prbl.g_02108	Prax.g_01973
OG0000149	Prbl.g_01955	Prax.g_00299
OG0000150	Prbl.g_01956	Prax.g_00298
OG0000151	Prbl.g_01961	Prax.g_00297
OG0000152	Prbl.g_01962	Prax.g_00296
OG0000153	Prbl.g_01963	Prax.g_00295
OG0000154	Prbl.g_01964	Prax.g_00294
OG0000155	Prbl.g_01965	Prax.g_00293
OG0000156	Prbl.g_01966	Prax.g_00292
OG0000157	Prbl.g_01967	Prax.g_00291
OG0000158	Prbl.g_01969	Prax.g_00289
OG0000159	Prbl.g_01970	Prax.g_00288
OG0000160	Prbl.g_01971	Prax.g_00287
OG0000161	Prbl.g_01972	Prax.g_00286
OG0000162	Prbl.g_01973	Prax.g_00285
OG0000163	Prbl.g_01975	Prax.g_00284
OG0000164	Prbl.g_01980	Prax.g_00281
OG0000165	Prbl.g_01985	Prax.g_00278
OG0000166	Prbl.g_01986	Prax.g_00277
OG0000167	Prbl.g_01987	Prax.g_00276
OG0000168	Prbl.g_01988	Prax.g_00273
OG0000169	Prbl.g_01990	Prax.g_00271
OG0000170	Prbl.g_02241	Prax.g_00270
OG0000171	Prbl.g_02243	Prax.g_00269
OG0000172	Prbl.g_02244	Prax.g_00261
OG0000173	Prbl.g_02251	Prax.g_00621
OG0000174	Prbl.g_02258	Prax.g_00622
OG0000175	Prbl.g_02266	Prax.g_00623
OG0000176	Prbl.g_02274	Prax.g_00625
OG0000177	Prbl.g_02275	Prax.g_00626
OG0000178	Prbl.g_02276	Prax.g_00627
OG0000179	Prbl.g_00614	Prax.g_00635
OG0000180	Prbl.g_00613	Prax.g_00636
OG0000181	Prbl.g_00612	Prax.g_00637
OG0000182	Prbl.g_00608	Prax.g_00640
OG0000183	Prbl.g_00607	Prax.g_00641
OG0000184	Prbl.g_00603	Prax.g_00644
OG0000185	Prbl.g_00597	Prax.g_00648
OG0000186	Prbl.g_00596	Prax.g_00649
OG0000187	Prbl.g_01075	Prax.g_00650
OG0000188	Prbl.g_00595	Prax.g_00651
OG0000189	Prbl.g_00592	Prax.g_00652
OG0000190	Prbl.g_00591	Prax.g_00653
OG0000191	Prbl.g_00590	Prax.g_00654
OG0000192	Prbl.g_00589	Prax.g_00655
OG0000193	Prbl.g_00588	Prax.g_00656
OG0000194	Prbl.g_00587	Prax.g_00657
OG0000195	Prbl.g_00583	Prax.g_00659
OG0000196	Prbl.g_00582	Prax.g_00660
OG0000197	Prbl.g_00576	Prax.g_01128
OG0000198	Prbl.g_00572	Prax.g_01127
OG0000199	Prbl.g_00567	Prax.g_01124
OG0000200	Prbl.g_00566	Prax.g_01123
OG0000201	Prbl.g_00565	Prax.g_01122
OG0000202	Prbl.g_00563	Prax.g_01121
OG0000203	Prbl.g_00562	Prax.g_01120
OG0000204	Prbl.g_00561	Prax.g_01119
OG0000205	Prbl.g_00559	Prax.g_01118
OG0000206	Prbl.g_00558	Prax.g_01117
OG0000207	Prbl.g_00557	Prax.g_01116
OG0000208	Prbl.g_00556	Prax.g_01115
OG0000209	Prbl.g_00555	Prax.g_01114
OG0000210	Prbl.g_00553	Prax.g_01113
OG0000211	Prbl.g_00552	Prax.g_01112
OG0000212	Prbl.g_00551	Prax.g_01111
OG0000213	Prbl.g_00548	Prax.g_01110
OG0000214	Prbl.g_00542	Prax.g_01108
OG0000215	Prbl.g_01332	Prax.g_01107
OG0000216	Prbl.g_01330	Prax.g_01105
OG0000217	Prbl.g_01328	Prax.g_01103
OG0000218	Prbl.g_01326	Prax.g_01102
OG0000219	Prbl.g_01325	Prax.g_01101
OG0000220	Prbl.g_01320	Prax.g_01098
OG0000221	Prbl.g_01315	Prax.g_01096
OG0000222	Prbl.g_01314	Prax.g_01095
OG0000223	Prbl.g_01313	Prax.g_01094
OG0000224	Prbl.g_00827	Prax.g_01091
OG0000225	Prbl.g_00825	Prax.g_01089
OG0000226	Prbl.g_00822	Prax.g_01088
OG0000227	Prbl.g_00820	Prax.g_01087
OG0000228	Prbl.g_00819	Prax.g_01086
OG0000229	Prbl.g_00818	Prax.g_01085
OG0000230	Prbl.g_00817	Prax.g_01084
OG0000231	Prbl.g_00815	Prax.g_01082
OG0000232	Prbl.g_00814	Prax.g_01081
OG0000233	Prbl.g_00809	Prax.g_01078
OG0000234	Prbl.g_00305	Prax.g_01076
OG0000235	Prbl.g_00303	Prax.g_01073
OG0000236	Prbl.g_00302	Prax.g_01072
OG0000237	Prbl.g_00301	Prax.g_01071
OG0000238	Prbl.g_00300	Prax.g_01070
OG0000239	Prbl.g_00299	Prax.g_01069
OG0000240	Prbl.g_00297	Prax.g_01067
OG0000241	Prbl.g_00296	Prax.g_01066
OG0000242	Prbl.g_00295	Prax.g_01065
OG0000243	Prbl.g_00294	Prax.g_01064
OG0000244	Prbl.g_00293	Prax.g_01063
OG0000245	Prbl.g_00291	Prax.g_01062
OG0000246	Prbl.g_00289	Prax.g_01060
OG0000247	Prbl.g_00288	Prax.g_01059
OG0000248	Prbl.g_00287	Prax.g_01058
OG0000249	Prbl.g_00286	Prax.g_01057
OG0000250	Prbl.g_00285	Prax.g_01056
OG0000251	Prbl.g_00284	Prax.g_01055
OG0000252	Prbl.g_00283	Prax.g_01054
OG0000253	Prbl.g_00282	Prax.g_01053
OG0000254	Prbl.g_00280	Prax.g_01051
OG0000255	Prbl.g_00279	Prax.g_01050
OG0000256	Prbl.g_00276	Prax.g_01047
OG0000257	Prbl.g_00275	Prax.g_01045
OG0000258	Prbl.g_00274	Prax.g_01044
OG0000259	Prbl.g_00273	Prax.g_01043
OG0000260	Prbl.g_00272	Prax.g_01042
OG0000261	Prbl.g_00271	Prax.g_01041
OG0000262	Prbl.g_00270	Prax.g_01040
OG0000263	Prbl.g_00269	Prax.g_01039
OG0000264	Prbl.g_02377	Prax.g_01037
OG0000265	Prbl.g_00066	Prax.g_01036
OG0000266	Prbl.g_00068	Prax.g_01035
OG0000267	Prbl.g_00072	Prax.g_01033
OG0000268	Prbl.g_00074	Prax.g_01032
OG0000269	Prbl.g_00077	Prax.g_01031
OG0000270	Prbl.g_00079	Prax.g_01030
OG0000271	Prbl.g_00082	Prax.g_01029
OG0000272	Prbl.g_00083	Prax.g_01028
OG0000273	Prbl.g_00086	Prax.g_01027
OG0000274	Prbl.g_00088	Prax.g_01026
OG0000275	Prbl.g_00089	Prax.g_01025
OG0000276	Prbl.g_00090	Prax.g_01024
OG0000277	Prbl.g_00091	Prax.g_01023
OG0000278	Prbl.g_00092	Prax.g_01022
OG0000279	Prbl.g_00093	Prax.g_01021
OG0000280	Prbl.g_00094	Prax.g_01020
OG0000281	Prbl.g_00096	Prax.g_01018
OG0000282	Prbl.g_00097	Prax.g_01017
OG0000283	Prbl.g_00104	Prax.g_01014
OG0000284	Prbl.g_00105	Prax.g_01013
OG0000285	Prbl.g_01283	Prax.g_01012
OG0000286	Prbl.g_01281	Prax.g_01010
OG0000287	Prbl.g_00130	Prax.g_01009
OG0000288	Prbl.g_00129	Prax.g_01008
OG0000289	Prbl.g_00127	Prax.g_01007
OG0000290	Prbl.g_00126	Prax.g_01006
OG0000291	Prbl.g_00124	Prax.g_01005
OG0000292	Prbl.g_01244	Prax.g_01004
OG0000293	Prbl.g_01245	Prax.g_01003
OG0000294	Prbl.g_01246	Prax.g_01002
OG0000295	Prbl.g_01252	Prax.g_01001
OG0000296	Prbl.g_01253	Prax.g_01000
OG0000297	Prbl.g_01256	Prax.g_00999
OG0000298	Prbl.g_01257	Prax.g_00998
OG0000299	Prbl.g_01258	Prax.g_00997
OG0000300	Prbl.g_01259	Prax.g_00996
OG0000301	Prbl.g_01260	Prax.g_00995
OG0000302	Prbl.g_01261	Prax.g_00994
OG0000303	Prbl.g_01262	Prax.g_00993
OG0000304	Prbl.g_01264	Prax.g_00992
OG0000305	Prbl.g_01265	Prax.g_00991
OG0000306	Prbl.g_01266	Prax.g_00990
OG0000307	Prbl.g_01918	Prax.g_00989
OG0000308	Prbl.g_01769	Prax.g_00988
OG0000309	Prbl.g_01770	Prax.g_00987
OG0000310	Prbl.g_01771	Prax.g_00986
OG0000311	Prbl.g_01922	Prax.g_00985
OG0000312	Prbl.g_01923	Prax.g_00983
OG0000313	Prbl.g_00199	Prax.g_00982
OG0000314	Prbl.g_00193	Prax.g_00979
OG0000315	Prbl.g_00192	Prax.g_00978
OG0000316	Prbl.g_02679	Prax.g_00933
OG0000317	Prbl.g_02666	Prax.g_00931
OG0000318	Prbl.g_01516	Prax.g_00930
OG0000319	Prbl.g_01515	Prax.g_00929
OG0000320	Prbl.g_01513	Prax.g_00928
OG0000321	Prbl.g_01508	Prax.g_00925
OG0000322	Prbl.g_01499	Prax.g_00922
OG0000323	Prbl.g_01498	Prax.g_00921
OG0000324	Prbl.g_01496	Prax.g_00918
OG0000325	Prbl.g_01494	Prax.g_00916
OG0000326	Prbl.g_01492	Prax.g_00915
OG0000327	Prbl.g_01486	Prax.g_00913
OG0000328	Prbl.g_01919	Prax.g_00912
OG0000329	Prbl.g_01473	Prax.g_00911
OG0000330	Prbl.g_01472	Prax.g_00910
OG0000331	Prbl.g_01470	Prax.g_00909
OG0000332	Prbl.g_01469	Prax.g_00908
OG0000333	Prbl.g_01468	Prax.g_00907
OG0000334	Prbl.g_01467	Prax.g_00906
OG0000335	Prbl.g_01466	Prax.g_00905
OG0000336	Prbl.g_01464	Prax.g_00904
OG0000337	Prbl.g_01459	Prax.g_00900
OG0000338	Prbl.g_01458	Prax.g_00899
OG0000339	Prbl.g_01457	Prax.g_00898
OG0000340	Prbl.g_01455	Prax.g_00897
OG0000341	Prbl.g_01450	Prax.g_00893
OG0000342	Prbl.g_01449	Prax.g_00892
OG0000343	Prbl.g_01447	Prax.g_00890
OG0000344	Prbl.g_01445	Prax.g_00889
OG0000345	Prbl.g_01444	Prax.g_00888
OG0000346	Prbl.g_01443	Prax.g_00887
OG0000347	Prbl.g_01442	Prax.g_00886
OG0000348	Prbl.g_01441	Prax.g_00885
OG0000349	Prbl.g_01440	Prax.g_00884
OG0000350	Prbl.g_01439	Prax.g_00883
OG0000351	Prbl.g_01435	Prax.g_00880
OG0000352	Prbl.g_01431	Prax.g_00877
OG0000353	Prbl.g_01428	Prax.g_00876
OG0000354	Prbl.g_01427	Prax.g_00875
OG0000355	Prbl.g_01426	Prax.g_00874
OG0000356	Prbl.g_01421	Prax.g_00873
OG0000357	Prbl.g_01420	Prax.g_00872
OG0000358	Prbl.g_01419	Prax.g_00871
OG0000359	Prbl.g_01417	Prax.g_00870
OG0000360	Prbl.g_01414	Prax.g_00867
OG0000361	Prbl.g_01413	Prax.g_00866
OG0000362	Prbl.g_00911	Prax.g_00865
OG0000363	Prbl.g_00909	Prax.g_00864
OG0000364	Prbl.g_00908	Prax.g_00863
OG0000365	Prbl.g_00907	Prax.g_00862
OG0000366	Prbl.g_00906	Prax.g_00861
OG0000367	Prbl.g_00905	Prax.g_00860
OG0000368	Prbl.g_00904	Prax.g_00859
OG0000369	Prbl.g_00903	Prax.g_00858
OG0000370	Prbl.g_00902	Prax.g_00857
OG0000371	Prbl.g_00901	Prax.g_00856
OG0000372	Prbl.g_00898	Prax.g_00854
OG0000373	Prbl.g_00888	Prax.g_00850
OG0000374	Prbl.g_00886	Prax.g_00849
OG0000375	Prbl.g_00877	Prax.g_00848
OG0000376	Prbl.g_01183	Prax.g_00846
OG0000377	Prbl.g_01190	Prax.g_00845
OG0000378	Prbl.g_01191	Prax.g_00844
OG0000379	Prbl.g_01201	Prax.g_00839
OG0000380	Prbl.g_01203	Prax.g_00838
OG0000381	Prbl.g_01204	Prax.g_00837
OG0000382	Prbl.g_01206	Prax.g_00835
OG0000383	Prbl.g_01210	Prax.g_00832
OG0000384	Prbl.g_01211	Prax.g_00831
OG0000385	Prbl.g_01217	Prax.g_00828
OG0000386	Prbl.g_01218	Prax.g_00827
OG0000387	Prbl.g_01219	Prax.g_00826
OG0000388	Prbl.g_01220	Prax.g_00825
OG0000389	Prbl.g_01221	Prax.g_00824
OG0000390	Prbl.g_01222	Prax.g_00823
OG0000391	Prbl.g_01223	Prax.g_00822
OG0000392	Prbl.g_01224	Prax.g_00821
OG0000393	Prbl.g_02673	Prax.g_00818
OG0000394	Prbl.g_02674	Prax.g_00817
OG0000395	Prbl.g_02678	Prax.g_00815
OG0000396	Prbl.g_01564	Prax.g_00814
OG0000397	Prbl.g_00609	Prax.g_00802
OG0000398	Prbl.g_00410	Prax.g_00795
OG0000399	Prbl.g_01693	Prax.g_00794
OG0000400	Prbl.g_02681	Prax.g_00790
OG0000401	Prbl.g_00676	Prax.g_00769
OG0000402	Prbl.g_00675	Prax.g_00768
OG0000403	Prbl.g_00663	Prax.g_00767
OG0000404	Prbl.g_00653	Prax.g_00765
OG0000405	Prbl.g_00652	Prax.g_00764
OG0000406	Prbl.g_00650	Prax.g_00762
OG0000407	Prbl.g_00649	Prax.g_00761
OG0000408	Prbl.g_00648	Prax.g_00760
OG0000409	Prbl.g_00647	Prax.g_00759
OG0000410	Prbl.g_00645	Prax.g_00758
OG0000411	Prbl.g_00644	Prax.g_00757
OG0000412	Prbl.g_00643	Prax.g_00756
OG0000413	Prbl.g_00642	Prax.g_00755
OG0000414	Prbl.g_00641	Prax.g_00754
OG0000415	Prbl.g_00640	Prax.g_00753
OG0000416	Prbl.g_00639	Prax.g_00752
OG0000417	Prbl.g_00635	Prax.g_00751
OG0000418	Prbl.g_00634	Prax.g_00750
OG0000419	Prbl.g_00633	Prax.g_00749
OG0000420	Prbl.g_00632	Prax.g_00748
OG0000421	Prbl.g_00625	Prax.g_00747
OG0000422	Prbl.g_00623	Prax.g_00746
OG0000423	Prbl.g_00622	Prax.g_00745
OG0000424	Prbl.g_00619	Prax.g_00743
OG0000425	Prbl.g_01364	Prax.g_00740
OG0000426	Prbl.g_01363	Prax.g_00739
OG0000427	Prbl.g_01360	Prax.g_00738
OG0000428	Prbl.g_01348	Prax.g_00737
OG0000429	Prbl.g_01346	Prax.g_00736
OG0000430	Prbl.g_01344	Prax.g_00731
OG0000431	Prbl.g_01342	Prax.g_00729
OG0000432	Prbl.g_01341	Prax.g_00728
OG0000433	Prbl.g_00503	Prax.g_00725
OG0000434	Prbl.g_00506	Prax.g_00724
OG0000435	Prbl.g_00510	Prax.g_00723
OG0000436	Prbl.g_00512	Prax.g_00721
OG0000437	Prbl.g_00514	Prax.g_00719
OG0000438	Prbl.g_00515	Prax.g_00718
OG0000439	Prbl.g_00516	Prax.g_00717
OG0000440	Prbl.g_00519	Prax.g_00715
OG0000441	Prbl.g_00521	Prax.g_00714
OG0000442	Prbl.g_00522	Prax.g_00713
OG0000443	Prbl.g_00523	Prax.g_00712
OG0000444	Prbl.g_00524	Prax.g_00711
OG0000445	Prbl.g_00525	Prax.g_00709
OG0000446	Prbl.g_00526	Prax.g_00708
OG0000447	Prbl.g_00527	Prax.g_00707
OG0000448	Prbl.g_00528	Prax.g_00706
OG0000449	Prbl.g_00536	Prax.g_00701
OG0000450	Prbl.g_00806	Prax.g_00700
OG0000451	Prbl.g_00805	Prax.g_00699
OG0000452	Prbl.g_00804	Prax.g_00698
OG0000453	Prbl.g_00801	Prax.g_00696
OG0000454	Prbl.g_00800	Prax.g_00695
OG0000455	Prbl.g_00799	Prax.g_00694
OG0000456	Prbl.g_00798	Prax.g_00693
OG0000457	Prbl.g_00797	Prax.g_00691
OG0000458	Prbl.g_00795	Prax.g_00689
OG0000459	Prbl.g_00794	Prax.g_00688
OG0000460	Prbl.g_00792	Prax.g_00686
OG0000461	Prbl.g_00791	Prax.g_00685
OG0000462	Prbl.g_00790	Prax.g_00684
OG0000463	Prbl.g_00785	Prax.g_00683
OG0000464	Prbl.g_00780	Prax.g_00678
OG0000465	Prbl.g_00779	Prax.g_00676
OG0000466	Prbl.g_00778	Prax.g_00675
OG0000467	Prbl.g_00776	Prax.g_00674
OG0000468	Prbl.g_00775	Prax.g_00673
OG0000469	Prbl.g_00770	Prax.g_00672
OG0000470	Prbl.g_01526	Prax.g_00671
OG0000471	Prbl.g_00032	Prax.g_00670
OG0000472	Prbl.g_00765	Prax.g_00667
OG0000473	Prbl.g_00763	Prax.g_00666
OG0000474	Prbl.g_00761	Prax.g_00665
OG0000475	Prbl.g_00760	Prax.g_00664
OG0000476	Prbl.g_00754	Prax.g_00663
OG0000477	Prbl.g_00751	Prax.g_00001
OG0000478	Prbl.g_00749	Prax.g_00002
OG0000479	Prbl.g_00747	Prax.g_00003
OG0000480	Prbl.g_02645	Prax.g_00005
OG0000481	Prbl.g_01878	Prax.g_00006
OG0000482	Prbl.g_01879	Prax.g_00007
OG0000483	Prbl.g_01881	Prax.g_00008
OG0000484	Prbl.g_01882	Prax.g_00009
OG0000485	Prbl.g_01883	Prax.g_00010
OG0000486	Prbl.g_01884	Prax.g_00011
OG0000487	Prbl.g_01885	Prax.g_00012
OG0000488	Prbl.g_01887	Prax.g_00014
OG0000489	Prbl.g_01888	Prax.g_00015
OG0000490	Prbl.g_01889	Prax.g_00016
OG0000491	Prbl.g_01890	Prax.g_00017
OG0000492	Prbl.g_01891	Prax.g_00018
OG0000493	Prbl.g_01892	Prax.g_00019
OG0000494	Prbl.g_01894	Prax.g_00021
OG0000495	Prbl.g_01895	Prax.g_00022
OG0000496	Prbl.g_01897	Prax.g_00023
OG0000497	Prbl.g_01899	Prax.g_00024
OG0000498	Prbl.g_01900	Prax.g_00025
OG0000499	Prbl.g_01902	Prax.g_00027
OG0000500	Prbl.g_01903	Prax.g_00028
OG0000501	Prbl.g_01801	Prax.g_00030
OG0000502	Prbl.g_01800	Prax.g_00031
OG0000503	Prbl.g_01799	Prax.g_00032
OG0000504	Prbl.g_01797	Prax.g_00033
OG0000505	Prbl.g_01796	Prax.g_00034
OG0000506	Prbl.g_01795	Prax.g_00035
OG0000507	Prbl.g_01794	Prax.g_00036
OG0000508	Prbl.g_01790	Prax.g_00038
OG0000509	Prbl.g_01789	Prax.g_00039
OG0000510	Prbl.g_01788	Prax.g_00040
OG0000511	Prbl.g_01787	Prax.g_00041
OG0000512	Prbl.g_01786	Prax.g_00042
OG0000513	Prbl.g_01785	Prax.g_00043
OG0000514	Prbl.g_01784	Prax.g_00044
OG0000515	Prbl.g_01781	Prax.g_00046
OG0000516	Prbl.g_01780	Prax.g_00047
OG0000517	Prbl.g_01779	Prax.g_00048
OG0000518	Prbl.g_01775	Prax.g_00050
OG0000519	Prbl.g_01774	Prax.g_00051
OG0000520	Prbl.g_01773	Prax.g_00052
OG0000521	Prbl.g_01772	Prax.g_00053
OG0000522	Prbl.g_01766	Prax.g_00054
OG0000523	Prbl.g_01765	Prax.g_00055
OG0000524	Prbl.g_01764	Prax.g_00056
OG0000525	Prbl.g_01762	Prax.g_00058
OG0000526	Prbl.g_01761	Prax.g_00059
OG0000527	Prbl.g_01760	Prax.g_00060
OG0000528	Prbl.g_01759	Prax.g_00061
OG0000529	Prbl.g_01758	Prax.g_00062
OG0000530	Prbl.g_01757	Prax.g_00063
OG0000531	Prbl.g_01754	Prax.g_00064
OG0000532	Prbl.g_01752	Prax.g_00065
OG0000533	Prbl.g_01751	Prax.g_00066
OG0000534	Prbl.g_01750	Prax.g_00067
OG0000535	Prbl.g_01749	Prax.g_00068
OG0000536	Prbl.g_01748	Prax.g_00069
OG0000537	Prbl.g_01747	Prax.g_00070
OG0000538	Prbl.g_01746	Prax.g_00071
OG0000539	Prbl.g_01744	Prax.g_00072
OG0000540	Prbl.g_01742	Prax.g_00073
OG0000541	Prbl.g_01610	Prax.g_00074
OG0000542	Prbl.g_01611	Prax.g_00075
OG0000543	Prbl.g_01612	Prax.g_00076
OG0000544	Prbl.g_01613	Prax.g_00077
OG0000545	Prbl.g_01616	Prax.g_00080
OG0000546	Prbl.g_01617	Prax.g_00081
OG0000547	Prbl.g_01619	Prax.g_00083
OG0000548	Prbl.g_01624	Prax.g_00084
OG0000549	Prbl.g_01625	Prax.g_00085
OG0000550	Prbl.g_01626	Prax.g_00086
OG0000551	Prbl.g_01629	Prax.g_00087
OG0000552	Prbl.g_01631	Prax.g_00088
OG0000553	Prbl.g_01632	Prax.g_00089
OG0000554	Prbl.g_01634	Prax.g_00090
OG0000555	Prbl.g_01635	Prax.g_00091
OG0000556	Prbl.g_01636	Prax.g_00092
OG0000557	Prbl.g_01637	Prax.g_00093
OG0000558	Prbl.g_01639	Prax.g_00094
OG0000559	Prbl.g_01640	Prax.g_00095
OG0000560	Prbl.g_01642	Prax.g_00097
OG0000561	Prbl.g_01643	Prax.g_00098
OG0000562	Prbl.g_01645	Prax.g_00099
OG0000563	Prbl.g_01646	Prax.g_00100
OG0000564	Prbl.g_01647	Prax.g_00101
OG0000565	Prbl.g_01655	Prax.g_00102
OG0000566	Prbl.g_01656	Prax.g_00103
OG0000567	Prbl.g_01657	Prax.g_00104
OG0000568	Prbl.g_01658	Prax.g_00105
OG0000569	Prbl.g_01659	Prax.g_00106
OG0000570	Prbl.g_01662	Prax.g_00107
OG0000571	Prbl.g_01663	Prax.g_00108
OG0000572	Prbl.g_01664	Prax.g_00109
OG0000573	Prbl.g_01041	Prax.g_00112
