Orthogroup	Praf	Prad
OG0000062	Praf.g_01034, Praf.g_02690	Prad.g_01989
OG0000063	Praf.g_00919	Prad.g_01214
OG0000065	Praf.g_00796	Prad.g_00628
OG0000066	Praf.g_02343	Prad.g_00564
OG0000068	Praf.g_02119	Prad.g_00807
OG0000069	Praf.g_01851	Prad.g_00572
OG0000069	Praf.g_02346	Prad.g_00561
OG0000071	Praf.g_00012	Prad.g_01975
OG0000072	Praf.g_02336	Prad.g_01669
OG0000073	Praf.g_01748	Prad.g_01243
OG0000074	Praf.g_01219, Praf.g_01218	Prad.g_01265
OG0000075	Praf.g_01537	Prad.g_01153
OG0000076	Praf.g_01274	Prad.g_01018
OG0000078	Praf.g_02342	Prad.g_00566
OG0000079	Praf.g_00501	Prad.g_00436
OG0000080	Praf.g_00549	Prad.g_00383
OG0000081	Praf.g_02382, Praf.g_02378, Praf.g_02380	Prad.g_00777
OG0000083	Praf.g_00003	Prad.g_01533
OG0000084	Praf.g_00006	Prad.g_01530
OG0000085	Praf.g_00028	Prad.g_01963
OG0000087	Praf.g_00333, Praf.g_02602	Prad.g_01937
OG0000088	Praf.g_00224	Prad.g_00011, Prad.g_01880
OG0000089	Praf.g_00212	Prad.g_01872
OG0000090	Praf.g_02420	Prad.g_01854
OG0000091	Praf.g_02457	Prad.g_01822
OG0000092	Praf.g_02468	Prad.g_01821
OG0000093	Praf.g_02711, Praf.g_02492	Prad.g_01807
OG0000094	Praf.g_02521, Praf.g_02708	Prad.g_01789
OG0000095	Praf.g_02532	Prad.g_01784
OG0000096	Praf.g_02217	Prad.g_01740
OG0000097	Praf.g_02271	Prad.g_01717
OG0000099	Praf.g_02296	Prad.g_01697
OG0000100	Praf.g_02300	Prad.g_01694
OG0000101	Praf.g_02012	Prad.g_00754
OG0000102	Praf.g_02715, Praf.g_02705	Prad.g_00727
OG0000103	Praf.g_01905	Prad.g_00031
OG0000104	Praf.g_00595	Prad.g_00027
OG0000105	Praf.g_00143, Praf.g_00616	Prad.g_00130
OG0000106	Praf.g_00658	Prad.g_00097
OG0000107	Praf.g_00660	Prad.g_00096
OG0000108	Praf.g_00681	Prad.g_01333
OG0000109	Praf.g_00692	Prad.g_01342
OG0000110	Praf.g_00711	Prad.g_01358
OG0000111	Praf.g_01036, Praf.g_01720	Prad.g_01225
OG0000112	Praf.g_01035, Praf.g_01721	Prad.g_01226
OG0000113	Praf.g_00144, Praf.g_01435	Prad.g_01071
OG0000114	Praf.g_01528	Prad.g_01144
OG0000115	Praf.g_01392	Prad.g_00186
OG0000116	Praf.g_01384, Praf.g_01383	Prad.g_00182
OG0000117	Praf.g_01277	Prad.g_01021
OG0000118	Praf.g_02776	Prad.g_00972
OG0000119	Praf.g_02692	Prad.g_01526
OG0000120	Praf.g_00861	Prad.g_01490
OG0000121	Praf.g_00922	Prad.g_01471, Prad.g_01470
OG0000122	Praf.g_00901	Prad.g_01451
OG0000123	Praf.g_00938	Prad.g_01438
OG0000124	Praf.g_01285	Prad.g_00076
OG0000125	Praf.g_00779	Prad.g_00616
OG0000126	Praf.g_00585, Praf.g_00583	Prad.g_00594
OG0000127	Praf.g_01778, Praf.g_01776	Prad.g_00528
OG0000128	Praf.g_01795	Prad.g_00514
OG0000129	Praf.g_01848	Prad.g_00477
OG0000130	Praf.g_00485	Prad.g_00943
OG0000131	Praf.g_00437	Prad.g_00905
OG0000132	Praf.g_00434	Prad.g_00902
OG0000133	Praf.g_02162	Prad.g_00848
OG0000134	Praf.g_02125	Prad.g_00812
OG0000135	Praf.g_02123	Prad.g_00810
OG0000136	Praf.g_02396	Prad.g_00766, Prad.g_01294
OG0000137	Praf.g_00152	Prad.g_01615
OG0000138	Praf.g_02664	Prad.g_01580
OG0000139	Praf.g_02757	Prad.g_01553
OG0000140	Praf.g_00001	Prad.g_01535
OG0000141	Praf.g_00002	Prad.g_01534
OG0000142	Praf.g_00004	Prad.g_01532
OG0000143	Praf.g_00005	Prad.g_01531
OG0000144	Praf.g_00007	Prad.g_01529
OG0000145	Praf.g_00009	Prad.g_01528
OG0000146	Praf.g_00010	Prad.g_01527
OG0000147	Praf.g_00011	Prad.g_01976
OG0000148	Praf.g_00013	Prad.g_01974
OG0000149	Praf.g_00015	Prad.g_01972
OG0000150	Praf.g_00016	Prad.g_01971
OG0000151	Praf.g_00021	Prad.g_01970
OG0000152	Praf.g_00022	Prad.g_01969
OG0000153	Praf.g_00023	Prad.g_01968
OG0000154	Praf.g_00024	Prad.g_01967
OG0000155	Praf.g_00025	Prad.g_01966
OG0000156	Praf.g_00026	Prad.g_01965
OG0000157	Praf.g_00027	Prad.g_01964
OG0000158	Praf.g_00029	Prad.g_01962
OG0000159	Praf.g_00030	Prad.g_01961
OG0000160	Praf.g_00031	Prad.g_01960
OG0000161	Praf.g_00032	Prad.g_01959
OG0000162	Praf.g_00033	Prad.g_01958
OG0000163	Praf.g_00035	Prad.g_01957
OG0000164	Praf.g_00040	Prad.g_01954
OG0000165	Praf.g_00045	Prad.g_01951
OG0000166	Praf.g_00046	Prad.g_01950
OG0000167	Praf.g_00047	Prad.g_01949
OG0000168	Praf.g_00050	Prad.g_01947
OG0000169	Praf.g_00052	Prad.g_01945
OG0000170	Praf.g_02654	Prad.g_01944
OG0000171	Praf.g_02652	Prad.g_01943
OG0000172	Praf.g_02618	Prad.g_01941
OG0000173	Praf.g_02611	Prad.g_01940
OG0000174	Praf.g_02605	Prad.g_01939
OG0000175	Praf.g_02603	Prad.g_01938
OG0000176	Praf.g_02601	Prad.g_01936
OG0000177	Praf.g_02597	Prad.g_01935
OG0000178	Praf.g_02596	Prad.g_01934
OG0000179	Praf.g_00328	Prad.g_01929
OG0000180	Praf.g_00326	Prad.g_01928
OG0000181	Praf.g_00325	Prad.g_01927
OG0000182	Praf.g_00321	Prad.g_01924
OG0000183	Praf.g_00320	Prad.g_01923
OG0000184	Praf.g_00316	Prad.g_01920
OG0000185	Praf.g_00310	Prad.g_01916
OG0000186	Praf.g_00309	Prad.g_01915
OG0000187	Praf.g_00962	Prad.g_01914
OG0000188	Praf.g_00308	Prad.g_01913
OG0000189	Praf.g_00304	Prad.g_01912
OG0000190	Praf.g_00303	Prad.g_01911
OG0000191	Praf.g_00302	Prad.g_01910
OG0000192	Praf.g_00301	Prad.g_01909
OG0000193	Praf.g_00300	Prad.g_01908
OG0000194	Praf.g_00299	Prad.g_01907
OG0000195	Praf.g_00297	Prad.g_01905
OG0000196	Praf.g_00296	Prad.g_01904
OG0000197	Praf.g_00268	Prad.g_01903
OG0000198	Praf.g_00264	Prad.g_01902
OG0000199	Praf.g_00259	Prad.g_01899
OG0000200	Praf.g_00258	Prad.g_01898
OG0000201	Praf.g_00257	Prad.g_01897
OG0000202	Praf.g_00255	Prad.g_01896
OG0000203	Praf.g_00254	Prad.g_01895
OG0000204	Praf.g_00253	Prad.g_01894
OG0000205	Praf.g_00251	Prad.g_01893
OG0000206	Praf.g_00250	Prad.g_01892
OG0000207	Praf.g_00249	Prad.g_01891
OG0000208	Praf.g_00248	Prad.g_01890
OG0000209	Praf.g_00247	Prad.g_01889
OG0000210	Praf.g_00245	Prad.g_01887
OG0000211	Praf.g_00244	Prad.g_01886
OG0000212	Praf.g_00243	Prad.g_01885
OG0000213	Praf.g_00240	Prad.g_01884
OG0000214	Praf.g_00230	Prad.g_01882
OG0000215	Praf.g_00225	Prad.g_01881
OG0000216	Praf.g_00223	Prad.g_01879
OG0000217	Praf.g_00221	Prad.g_01878
OG0000218	Praf.g_00219	Prad.g_01877
OG0000219	Praf.g_00218	Prad.g_01876
OG0000220	Praf.g_00214	Prad.g_01873
OG0000221	Praf.g_00209	Prad.g_01871
OG0000222	Praf.g_00208	Prad.g_01870
OG0000223	Praf.g_00207	Prad.g_01869
OG0000224	Praf.g_02403	Prad.g_01866
OG0000225	Praf.g_02405	Prad.g_01864
OG0000226	Praf.g_02408	Prad.g_01863
OG0000227	Praf.g_02410	Prad.g_01862
OG0000228	Praf.g_02411	Prad.g_01861
OG0000229	Praf.g_02412	Prad.g_01860
OG0000230	Praf.g_02413	Prad.g_01859
OG0000231	Praf.g_02415	Prad.g_01857
OG0000232	Praf.g_02416	Prad.g_01856
OG0000233	Praf.g_02421	Prad.g_01853
OG0000234	Praf.g_02430	Prad.g_01851
OG0000235	Praf.g_02432	Prad.g_01846
OG0000236	Praf.g_02433	Prad.g_01845
OG0000237	Praf.g_02434	Prad.g_01844
OG0000238	Praf.g_02435	Prad.g_01843
OG0000239	Praf.g_02436	Prad.g_01842
OG0000240	Praf.g_02438	Prad.g_01840
OG0000241	Praf.g_02439	Prad.g_01839
OG0000242	Praf.g_02440	Prad.g_01838
OG0000243	Praf.g_02441	Prad.g_01837
OG0000244	Praf.g_02442	Prad.g_01836
OG0000245	Praf.g_02444	Prad.g_01835
OG0000246	Praf.g_02446	Prad.g_01833
OG0000247	Praf.g_02447	Prad.g_01832
OG0000248	Praf.g_02448	Prad.g_01831
OG0000249	Praf.g_02449	Prad.g_01830
OG0000250	Praf.g_02450	Prad.g_01829
OG0000251	Praf.g_02451	Prad.g_01828
OG0000252	Praf.g_02452	Prad.g_01827
OG0000253	Praf.g_02453	Prad.g_01826
OG0000254	Praf.g_02455	Prad.g_01824
OG0000255	Praf.g_02456	Prad.g_01823
OG0000256	Praf.g_02469	Prad.g_01820
OG0000257	Praf.g_02470	Prad.g_01818
OG0000258	Praf.g_02471	Prad.g_01817
OG0000259	Praf.g_02472	Prad.g_01816
OG0000260	Praf.g_02473	Prad.g_01815
OG0000261	Praf.g_02474	Prad.g_01814
OG0000262	Praf.g_02475	Prad.g_01813
OG0000263	Praf.g_02476	Prad.g_01812
OG0000264	Praf.g_01486	Prad.g_01810
OG0000265	Praf.g_02489	Prad.g_01809
OG0000266	Praf.g_02491	Prad.g_01808
OG0000267	Praf.g_02495	Prad.g_01806
OG0000268	Praf.g_02497	Prad.g_01805
OG0000269	Praf.g_02500	Prad.g_01804
OG0000270	Praf.g_02502	Prad.g_01803
OG0000271	Praf.g_02505	Prad.g_01802
OG0000272	Praf.g_02506	Prad.g_01801
OG0000273	Praf.g_02509	Prad.g_01800
OG0000274	Praf.g_02511	Prad.g_01799
OG0000275	Praf.g_02512	Prad.g_01798
OG0000276	Praf.g_02513	Prad.g_01797
OG0000277	Praf.g_02514	Prad.g_01796
OG0000278	Praf.g_02515	Prad.g_01795
OG0000279	Praf.g_02516	Prad.g_01794
OG0000280	Praf.g_02517	Prad.g_01793
OG0000281	Praf.g_02519	Prad.g_01791
OG0000282	Praf.g_02520	Prad.g_01790
OG0000283	Praf.g_02524	Prad.g_01787
OG0000284	Praf.g_02525	Prad.g_01786
OG0000285	Praf.g_02531	Prad.g_01785
OG0000286	Praf.g_02533	Prad.g_01783
OG0000287	Praf.g_02582	Prad.g_01782
OG0000288	Praf.g_02581	Prad.g_01781
OG0000289	Praf.g_02575	Prad.g_01780
OG0000290	Praf.g_02574	Prad.g_01779
OG0000291	Praf.g_02572	Prad.g_01778
OG0000292	Praf.g_02568	Prad.g_01777
OG0000293	Praf.g_02567	Prad.g_01776
OG0000294	Praf.g_02566	Prad.g_01775
OG0000295	Praf.g_02560	Prad.g_01774
OG0000296	Praf.g_02559	Prad.g_01773
OG0000297	Praf.g_02557	Prad.g_01772
OG0000298	Praf.g_02556	Prad.g_01771
OG0000299	Praf.g_02555	Prad.g_01770
OG0000300	Praf.g_02554	Prad.g_01769
OG0000301	Praf.g_02553	Prad.g_01768
OG0000302	Praf.g_02552	Prad.g_01767
OG0000303	Praf.g_02551	Prad.g_01766
OG0000304	Praf.g_02549	Prad.g_01765
OG0000305	Praf.g_02548	Prad.g_01764
OG0000306	Praf.g_02547	Prad.g_01763
OG0000307	Praf.g_00374	Prad.g_01762
OG0000308	Praf.g_00745	Prad.g_01761
OG0000309	Praf.g_00744	Prad.g_01760
OG0000310	Praf.g_00743	Prad.g_01759
OG0000311	Praf.g_00378	Prad.g_01758
OG0000312	Praf.g_00379	Prad.g_01756
OG0000313	Praf.g_00385	Prad.g_01755
OG0000314	Praf.g_00391	Prad.g_01752
OG0000315	Praf.g_00392	Prad.g_01751
OG0000316	Praf.g_02203	Prad.g_01749
OG0000317	Praf.g_02207	Prad.g_01747
OG0000318	Praf.g_02208	Prad.g_01746
OG0000319	Praf.g_02209	Prad.g_01745
OG0000320	Praf.g_02210	Prad.g_01744
OG0000321	Praf.g_02215	Prad.g_01741
OG0000322	Praf.g_02242	Prad.g_01738
OG0000323	Praf.g_02243	Prad.g_01737
OG0000324	Praf.g_02245	Prad.g_01734
OG0000325	Praf.g_02247	Prad.g_01732
OG0000326	Praf.g_02249	Prad.g_01731
OG0000327	Praf.g_02255	Prad.g_01729
OG0000328	Praf.g_00375	Prad.g_01728
OG0000329	Praf.g_02259	Prad.g_01727
OG0000330	Praf.g_02260	Prad.g_01726
OG0000331	Praf.g_02262	Prad.g_01725
OG0000332	Praf.g_02263	Prad.g_01724
OG0000333	Praf.g_02264	Prad.g_01723
OG0000334	Praf.g_02265	Prad.g_01722
OG0000335	Praf.g_02266	Prad.g_01721
OG0000336	Praf.g_02268	Prad.g_01720
OG0000337	Praf.g_02273	Prad.g_01716
OG0000338	Praf.g_02274	Prad.g_01715
OG0000339	Praf.g_02275	Prad.g_01714
OG0000340	Praf.g_02277	Prad.g_01713
OG0000341	Praf.g_02282	Prad.g_01709
OG0000342	Praf.g_02283	Prad.g_01708
OG0000343	Praf.g_02285	Prad.g_01706
OG0000344	Praf.g_02287	Prad.g_01705
OG0000345	Praf.g_02288	Prad.g_01704
OG0000346	Praf.g_02289	Prad.g_01703
OG0000347	Praf.g_02290	Prad.g_01702
OG0000348	Praf.g_02291	Prad.g_01701
OG0000349	Praf.g_02292	Prad.g_01700
OG0000350	Praf.g_02293	Prad.g_01699
OG0000351	Praf.g_02297	Prad.g_01696
OG0000352	Praf.g_02301	Prad.g_01693
OG0000353	Praf.g_02302	Prad.g_01692
OG0000354	Praf.g_02303	Prad.g_01691
OG0000355	Praf.g_02304	Prad.g_01690
OG0000356	Praf.g_02314	Prad.g_01689
OG0000357	Praf.g_02315	Prad.g_01688
OG0000358	Praf.g_02316	Prad.g_01687
OG0000359	Praf.g_02318	Prad.g_01686
OG0000360	Praf.g_02321	Prad.g_01683
OG0000361	Praf.g_02322	Prad.g_01682
OG0000362	Praf.g_02323	Prad.g_01681
OG0000363	Praf.g_02324	Prad.g_01680
OG0000364	Praf.g_02325	Prad.g_01679
OG0000365	Praf.g_02326	Prad.g_01678
OG0000366	Praf.g_02327	Prad.g_01677
OG0000367	Praf.g_02328	Prad.g_01676
OG0000368	Praf.g_02329	Prad.g_01675
OG0000369	Praf.g_02330	Prad.g_01674
OG0000370	Praf.g_02331	Prad.g_01673
OG0000371	Praf.g_02332	Prad.g_01672
OG0000372	Praf.g_02335	Prad.g_01670
OG0000373	Praf.g_02347	Prad.g_01668
OG0000374	Praf.g_02349	Prad.g_01667
OG0000375	Praf.g_02358	Prad.g_01666
OG0000376	Praf.g_02073	Prad.g_01664
OG0000377	Praf.g_02066	Prad.g_01663
OG0000378	Praf.g_02065	Prad.g_01662
OG0000379	Praf.g_02054	Prad.g_01657
OG0000380	Praf.g_02052	Prad.g_01656
OG0000381	Praf.g_02051	Prad.g_01655
OG0000382	Praf.g_02049	Prad.g_01653
OG0000383	Praf.g_02045	Prad.g_01650
OG0000384	Praf.g_02044	Prad.g_01649
OG0000385	Praf.g_02031	Prad.g_01646
OG0000386	Praf.g_02030	Prad.g_01645
OG0000387	Praf.g_02029	Prad.g_01644
OG0000388	Praf.g_02028	Prad.g_01643
OG0000389	Praf.g_02027	Prad.g_01642
OG0000390	Praf.g_02026	Prad.g_00761
OG0000391	Praf.g_02025	Prad.g_00760
OG0000392	Praf.g_02024	Prad.g_00759
OG0000393	Praf.g_02016	Prad.g_00756
OG0000394	Praf.g_02015	Prad.g_00755
OG0000395	Praf.g_02011	Prad.g_00753
OG0000396	Praf.g_01616	Prad.g_00752
OG0000397	Praf.g_00322	Prad.g_00738
OG0000398	Praf.g_00495	Prad.g_00730
OG0000399	Praf.g_01003	Prad.g_00729
OG0000400	Praf.g_02201	Prad.g_00724
OG0000401	Praf.g_02002	Prad.g_00671
OG0000402	Praf.g_02001	Prad.g_00670
OG0000403	Praf.g_01999	Prad.g_00669
OG0000404	Praf.g_01990	Prad.g_00667
OG0000405	Praf.g_01989	Prad.g_00666
OG0000406	Praf.g_01987	Prad.g_00069
OG0000407	Praf.g_01986	Prad.g_00068
OG0000408	Praf.g_01985	Prad.g_00067
OG0000409	Praf.g_01984	Prad.g_00066
OG0000410	Praf.g_01982	Prad.g_00065
OG0000411	Praf.g_01981	Prad.g_00064
OG0000412	Praf.g_01980	Prad.g_00063
OG0000413	Praf.g_01979	Prad.g_00062
OG0000414	Praf.g_01978	Prad.g_00061
OG0000415	Praf.g_01977	Prad.g_00060
OG0000416	Praf.g_01972	Prad.g_00059
OG0000417	Praf.g_01963	Prad.g_00058
OG0000418	Praf.g_01962	Prad.g_00057
OG0000419	Praf.g_01961	Prad.g_00056
OG0000420	Praf.g_01960	Prad.g_00055
OG0000421	Praf.g_01959	Prad.g_00054
OG0000422	Praf.g_01957	Prad.g_00052
OG0000423	Praf.g_01956	Prad.g_00051
OG0000424	Praf.g_01952	Prad.g_00049
OG0000425	Praf.g_01942	Prad.g_00045
OG0000426	Praf.g_01941	Prad.g_00044
OG0000427	Praf.g_01938	Prad.g_00043
OG0000428	Praf.g_01915	Prad.g_00042
OG0000429	Praf.g_01913	Prad.g_00041
OG0000430	Praf.g_01911	Prad.g_00036
OG0000431	Praf.g_01909	Prad.g_00034
OG0000432	Praf.g_01908	Prad.g_00033
OG0000433	Praf.g_00586	Prad.g_00030
OG0000434	Praf.g_00589	Prad.g_00029
OG0000435	Praf.g_00594	Prad.g_00028
OG0000436	Praf.g_00596	Prad.g_00026
OG0000437	Praf.g_00598	Prad.g_00024
OG0000438	Praf.g_00599	Prad.g_00023
OG0000439	Praf.g_00600	Prad.g_00022
OG0000440	Praf.g_00603	Prad.g_00020
OG0000441	Praf.g_00605	Prad.g_00019
OG0000442	Praf.g_00606	Prad.g_00018
OG0000443	Praf.g_00607	Prad.g_00017
OG0000444	Praf.g_00608	Prad.g_00016
OG0000445	Praf.g_00609	Prad.g_00015
OG0000446	Praf.g_00610	Prad.g_00014
OG0000447	Praf.g_00611	Prad.g_00013
OG0000448	Praf.g_00612	Prad.g_00012
OG0000449	Praf.g_00619	Prad.g_00129
OG0000450	Praf.g_00621	Prad.g_00128
OG0000451	Praf.g_00622	Prad.g_00127
OG0000452	Praf.g_00623	Prad.g_00126
OG0000453	Praf.g_00626	Prad.g_00124
OG0000454	Praf.g_00627	Prad.g_00123
OG0000455	Praf.g_00628	Prad.g_00122
OG0000456	Praf.g_00629	Prad.g_00121
OG0000457	Praf.g_00630	Prad.g_00119
OG0000458	Praf.g_00631	Prad.g_00117
OG0000459	Praf.g_00632	Prad.g_00116
OG0000460	Praf.g_00634	Prad.g_00114
OG0000461	Praf.g_00635	Prad.g_00113
OG0000462	Praf.g_00636	Prad.g_00112
OG0000463	Praf.g_00641	Prad.g_00111
OG0000464	Praf.g_00646	Prad.g_00106
OG0000465	Praf.g_00647	Prad.g_00104
OG0000466	Praf.g_00648	Prad.g_00103
OG0000467	Praf.g_00650	Prad.g_00102
OG0000468	Praf.g_00651	Prad.g_00101
OG0000469	Praf.g_00656	Prad.g_00100
OG0000470	Praf.g_01177	Prad.g_00099
OG0000471	Praf.g_01131	Prad.g_00098
OG0000472	Praf.g_00661	Prad.g_00095
OG0000473	Praf.g_00663	Prad.g_00094
OG0000474	Praf.g_00665	Prad.g_00093
OG0000475	Praf.g_00666	Prad.g_00092
OG0000476	Praf.g_00670	Prad.g_00091
OG0000477	Praf.g_00673	Prad.g_01330
OG0000478	Praf.g_00675	Prad.g_01331
OG0000479	Praf.g_00677	Prad.g_01332
OG0000480	Praf.g_00683	Prad.g_01334
OG0000481	Praf.g_00684	Prad.g_01335
OG0000482	Praf.g_00685	Prad.g_01336
OG0000483	Praf.g_00687	Prad.g_01337
OG0000484	Praf.g_00688	Prad.g_01338
OG0000485	Praf.g_00689	Prad.g_01339
OG0000486	Praf.g_00690	Prad.g_01340
OG0000487	Praf.g_00691	Prad.g_01341
OG0000488	Praf.g_00693	Prad.g_01343
OG0000489	Praf.g_00694	Prad.g_01344
OG0000490	Praf.g_00695	Prad.g_01345
OG0000491	Praf.g_00696	Prad.g_01346
OG0000492	Praf.g_00697	Prad.g_01347
OG0000493	Praf.g_00698	Prad.g_01348
OG0000494	Praf.g_00700	Prad.g_01350
OG0000495	Praf.g_00701	Prad.g_01351
OG0000496	Praf.g_00703	Prad.g_01352
OG0000497	Praf.g_00705	Prad.g_01353
OG0000498	Praf.g_00706	Prad.g_01354
OG0000499	Praf.g_00708	Prad.g_01356
OG0000500	Praf.g_00709	Prad.g_01357
OG0000501	Praf.g_00712	Prad.g_01359
OG0000502	Praf.g_00713	Prad.g_01360
OG0000503	Praf.g_00714	Prad.g_01361
OG0000504	Praf.g_00716	Prad.g_01362
OG0000505	Praf.g_00717	Prad.g_01363
OG0000506	Praf.g_00718	Prad.g_01364
OG0000507	Praf.g_00719	Prad.g_01365
OG0000508	Praf.g_00723	Prad.g_01367
OG0000509	Praf.g_00724	Prad.g_01368
OG0000510	Praf.g_00725	Prad.g_01369
OG0000511	Praf.g_00726	Prad.g_01370
OG0000512	Praf.g_00728	Prad.g_01371
OG0000513	Praf.g_00729	Prad.g_01372
OG0000514	Praf.g_00730	Prad.g_01373
OG0000515	Praf.g_00733	Prad.g_01375
OG0000516	Praf.g_00734	Prad.g_01376
OG0000517	Praf.g_00735	Prad.g_01377
OG0000518	Praf.g_00739	Prad.g_01380
OG0000519	Praf.g_00740	Prad.g_01381
OG0000520	Praf.g_00741	Prad.g_01382
OG0000521	Praf.g_00742	Prad.g_01383
OG0000522	Praf.g_00749	Prad.g_01384
OG0000523	Praf.g_00750	Prad.g_01385
OG0000524	Praf.g_00751	Prad.g_01386
OG0000525	Praf.g_00753	Prad.g_01388
OG0000526	Praf.g_00754	Prad.g_01389
OG0000527	Praf.g_00755	Prad.g_01390
OG0000528	Praf.g_00756	Prad.g_01391
OG0000529	Praf.g_00757	Prad.g_01392
OG0000530	Praf.g_00758	Prad.g_01393
OG0000531	Praf.g_00761	Prad.g_01394
OG0000532	Praf.g_00763	Prad.g_01395
OG0000533	Praf.g_00764	Prad.g_01396
OG0000534	Praf.g_00765	Prad.g_01397
OG0000535	Praf.g_00766	Prad.g_01398
OG0000536	Praf.g_00767	Prad.g_01399
OG0000537	Praf.g_00768	Prad.g_01400
OG0000538	Praf.g_00769	Prad.g_01401
OG0000539	Praf.g_00771	Prad.g_01402
OG0000540	Praf.g_00773	Prad.g_01403
OG0000541	Praf.g_01659	Prad.g_01404
OG0000542	Praf.g_01661	Prad.g_01405
OG0000543	Praf.g_01662	Prad.g_01406
OG0000544	Praf.g_01663	Prad.g_01407
OG0000545	Praf.g_01666	Prad.g_01410
OG0000546	Praf.g_01667	Prad.g_01411
OG0000547	Praf.g_01669	Prad.g_01413
OG0000548	Praf.g_01674	Prad.g_01414
OG0000549	Praf.g_01675	Prad.g_01415
OG0000550	Praf.g_01676	Prad.g_01416
OG0000551	Praf.g_01680	Prad.g_01417
OG0000552	Praf.g_01684	Prad.g_01418
OG0000553	Praf.g_01685	Prad.g_01419
OG0000554	Praf.g_01687	Prad.g_01420
OG0000555	Praf.g_01688	Prad.g_01421
OG0000556	Praf.g_01689	Prad.g_01422
OG0000557	Praf.g_01690	Prad.g_01423
OG0000558	Praf.g_01692	Prad.g_01424
OG0000559	Praf.g_01693	Prad.g_01425
OG0000560	Praf.g_01695	Prad.g_01427
OG0000561	Praf.g_01696	Prad.g_01428
OG0000562	Praf.g_01698	Prad.g_01429
OG0000563	Praf.g_01699	Prad.g_01430
OG0000564	Praf.g_01700	Prad.g_01431
OG0000565	Praf.g_01708	Prad.g_01432
OG0000566	Praf.g_01709	Prad.g_01433
OG0000567	Praf.g_01710	Prad.g_01219
OG0000568	Praf.g_01711	Prad.g_01220
OG0000569	Praf.g_01713	Prad.g_01221
OG0000570	Praf.g_01716	Prad.g_01222
OG0000571	Praf.g_01717	Prad.g_01223
OG0000572	Praf.g_01718	Prad.g_01224
OG0000573	Praf.g_01722	Prad.g_01227
OG0000574	Praf.g_01727	Prad.g_01228
OG0000575	Praf.g_01728	Prad.g_01229
OG0000576	Praf.g_01729	Prad.g_01230
OG0000577	Praf.g_01730	Prad.g_01231
OG0000578	Praf.g_01731	Prad.g_01232
OG0000579	Praf.g_01733	Prad.g_01233
OG0000580	Praf.g_01736	Prad.g_01234
OG0000581	Praf.g_01737	Prad.g_01235
OG0000582	Praf.g_01738	Prad.g_01236
OG0000583	Praf.g_01739	Prad.g_01237
OG0000584	Praf.g_01741	Prad.g_01238
OG0000585	Praf.g_01742	Prad.g_01239
OG0000586	Praf.g_01744	Prad.g_01241
OG0000587	Praf.g_01745	Prad.g_01242
OG0000588	Praf.g_01749	Prad.g_01244
