Orthogroup	Prbb	Prak
OG0000075	Prbb.g_00790	Prak.g_00852
OG0000076	Prbb.g_01070	Prak.g_00920
OG0000077	Prbb.g_00430, Prbb.g_01122, Prbb.g_01786, Prbb.g_01245, Prbb.g_01320, Prbb.g_01355, Prbb.g_01402	Prak.g_01561
OG0000078	Prbb.g_00388	Prak.g_01352
OG0000079	Prbb.g_01768	Prak.g_01476
OG0000080	Prbb.g_01208	Prak.g_00661
OG0000081	Prbb.g_02034	Prak.g_01814
OG0000082	Prbb.g_02143	Prak.g_00656
OG0000083	Prbb.g_00003	Prak.g_00003
OG0000084	Prbb.g_00006, Prbb.g_00007	Prak.g_00006
OG0000085	Prbb.g_00024	Prak.g_00023
OG0000087	Prbb.g_00064	Prak.g_00052
OG0000088	Prbb.g_00170	Prak.g_00121
OG0000089	Prbb.g_00179	Prak.g_00130
OG0000090	Prbb.g_00196	Prak.g_00147
OG0000091	Prbb.g_00226	Prak.g_00181
OG0000092	Prbb.g_00227	Prak.g_00182
OG0000093	Prbb.g_00240	Prak.g_00196
OG0000094	Prbb.g_00259	Prak.g_00215
OG0000095	Prbb.g_00263	Prak.g_00220
OG0000096	Prbb.g_00307	Prak.g_00268
OG0000097	Prbb.g_00327	Prak.g_00292
OG0000098	Prbb.g_00336	Prak.g_00303
OG0000099	Prbb.g_00345	Prak.g_00313
OG0000100	Prbb.g_00348	Prak.g_00316
OG0000101	Prbb.g_00418	Prak.g_00381
OG0000102	Prbb.g_01326	Prak.g_01259
OG0000103	Prbb.g_00479	Prak.g_00437
OG0000104	Prbb.g_00484, Prbb.g_00485	Prak.g_00441
OG0000105	Prbb.g_00503	Prak.g_00461
OG0000106	Prbb.g_00535	Prak.g_00491
OG0000107	Prbb.g_00536	Prak.g_00492
OG0000108	Prbb.g_00546	Prak.g_00502
OG0000109	Prbb.g_00556	Prak.g_00512
OG0000110	Prbb.g_00572	Prak.g_00529
OG0000111	Prbb.g_00652	Prak.g_01091
OG0000112	Prbb.g_00653	Prak.g_01090
OG0000113	Prbb.g_00737	Prak.g_01040
OG0000114	Prbb.g_00781	Prak.g_00843
OG0000115	Prbb.g_00991	Prak.g_00973
OG0000116	Prbb.g_00995	Prak.g_00977
OG0000117	Prbb.g_01067	Prak.g_00923
OG0000118	Prbb.g_01238	Prak.g_01217
OG0000119	Prbb.g_01890	Prak.g_01553
OG0000120	Prbb.g_01510	Prak.g_01166
OG0000121	Prbb.g_01487	Prak.g_01143
OG0000122	Prbb.g_01467	Prak.g_01123
OG0000123	Prbb.g_01456	Prak.g_00594
OG0000124	Prbb.g_01060	Prak.g_01487
OG0000125	Prbb.g_01598	Prak.g_01290
OG0000126	Prbb.g_01639	Prak.g_01329
OG0000127	Prbb.g_01673	Prak.g_01379
OG0000128	Prbb.g_01687	Prak.g_01392
OG0000129	Prbb.g_01721	Prak.g_01428
OG0000130	Prbb.g_01821	Prak.g_01642
OG0000131	Prbb.g_01858	Prak.g_01681
OG0000132	Prbb.g_01860	Prak.g_01684
OG0000133	Prbb.g_01959	Prak.g_01738
OG0000134	Prbb.g_01995	Prak.g_01774
OG0000135	Prbb.g_01997	Prak.g_01776
OG0000136	Prbb.g_02046	Prak.g_01826
OG0000137	Prbb.g_02082	Prak.g_01860
OG0000138	Prbb.g_02131	Prak.g_01895
OG0000139	Prbb.g_02168	Prak.g_01926
OG0000140	Prbb.g_00001	Prak.g_00001
OG0000141	Prbb.g_00002	Prak.g_00002
OG0000142	Prbb.g_00004	Prak.g_00004
OG0000143	Prbb.g_00005	Prak.g_00005
OG0000144	Prbb.g_00008	Prak.g_00007
OG0000145	Prbb.g_00009	Prak.g_00008
OG0000146	Prbb.g_00010	Prak.g_00009
OG0000147	Prbb.g_00011	Prak.g_00010
OG0000148	Prbb.g_00013	Prak.g_00012
OG0000149	Prbb.g_00015	Prak.g_00014
OG0000150	Prbb.g_00016	Prak.g_00015
OG0000151	Prbb.g_00017	Prak.g_00016
OG0000152	Prbb.g_00018	Prak.g_00017
OG0000153	Prbb.g_00019	Prak.g_00018
OG0000154	Prbb.g_00020	Prak.g_00019
OG0000155	Prbb.g_00021	Prak.g_00020
OG0000156	Prbb.g_00022	Prak.g_00021
OG0000157	Prbb.g_00023	Prak.g_00022
OG0000158	Prbb.g_00025	Prak.g_00024
OG0000159	Prbb.g_00026	Prak.g_00025
OG0000160	Prbb.g_00027	Prak.g_00026
OG0000161	Prbb.g_00028	Prak.g_00027
OG0000162	Prbb.g_00029	Prak.g_00028
OG0000163	Prbb.g_00030	Prak.g_00030
OG0000164	Prbb.g_00033	Prak.g_00033
OG0000165	Prbb.g_00035	Prak.g_00036
OG0000166	Prbb.g_00036	Prak.g_00037
OG0000167	Prbb.g_00037	Prak.g_00038
OG0000168	Prbb.g_00055	Prak.g_00040
OG0000169	Prbb.g_00057	Prak.g_00042
OG0000170	Prbb.g_00058	Prak.g_00044
OG0000171	Prbb.g_00059	Prak.g_00045
OG0000172	Prbb.g_00060	Prak.g_00046
OG0000173	Prbb.g_00061	Prak.g_00049
OG0000174	Prbb.g_00062	Prak.g_00050
OG0000175	Prbb.g_00063	Prak.g_00051
OG0000176	Prbb.g_00065	Prak.g_00053
OG0000177	Prbb.g_00066	Prak.g_00054
OG0000178	Prbb.g_00067	Prak.g_00056
OG0000179	Prbb.g_00119	Prak.g_00068
OG0000180	Prbb.g_00120	Prak.g_00069
OG0000181	Prbb.g_00121	Prak.g_00070
OG0000182	Prbb.g_00124	Prak.g_00074
OG0000183	Prbb.g_00125	Prak.g_00075
OG0000184	Prbb.g_00128	Prak.g_00078
OG0000185	Prbb.g_00132	Prak.g_00082
OG0000186	Prbb.g_00133	Prak.g_00083
OG0000187	Prbb.g_00134	Prak.g_00717
OG0000188	Prbb.g_00135	Prak.g_00084
OG0000189	Prbb.g_00136	Prak.g_00085
OG0000190	Prbb.g_00137	Prak.g_00086
OG0000191	Prbb.g_00138	Prak.g_00087
OG0000192	Prbb.g_00139	Prak.g_00088
OG0000193	Prbb.g_00140	Prak.g_00089
OG0000194	Prbb.g_00141	Prak.g_00090
OG0000195	Prbb.g_00143	Prak.g_00092
OG0000196	Prbb.g_00144	Prak.g_00093
OG0000197	Prbb.g_00145	Prak.g_00094
OG0000198	Prbb.g_00146	Prak.g_00095
OG0000199	Prbb.g_00149	Prak.g_00098
OG0000200	Prbb.g_00150	Prak.g_00099
OG0000201	Prbb.g_00151	Prak.g_00100
OG0000202	Prbb.g_00152	Prak.g_00102
OG0000203	Prbb.g_00153	Prak.g_00103
OG0000204	Prbb.g_00154	Prak.g_00104
OG0000205	Prbb.g_00156	Prak.g_00106
OG0000206	Prbb.g_00157	Prak.g_00107
OG0000207	Prbb.g_00158	Prak.g_00108
OG0000208	Prbb.g_00159	Prak.g_00109
OG0000209	Prbb.g_00160	Prak.g_00110
OG0000210	Prbb.g_00161	Prak.g_00111
OG0000211	Prbb.g_00162	Prak.g_00113
OG0000212	Prbb.g_00163	Prak.g_00114
OG0000213	Prbb.g_00164	Prak.g_00115
OG0000214	Prbb.g_00168	Prak.g_00119
OG0000215	Prbb.g_00169	Prak.g_00120
OG0000216	Prbb.g_00171	Prak.g_00122
OG0000217	Prbb.g_00173	Prak.g_00123
OG0000218	Prbb.g_00174	Prak.g_00124
OG0000219	Prbb.g_00175	Prak.g_00125
OG0000220	Prbb.g_00177	Prak.g_00128
OG0000221	Prbb.g_00180	Prak.g_00131
OG0000222	Prbb.g_00181	Prak.g_00132
OG0000223	Prbb.g_00182	Prak.g_00133
OG0000224	Prbb.g_00185	Prak.g_00135
OG0000225	Prbb.g_00187	Prak.g_00137
OG0000226	Prbb.g_00189	Prak.g_00139
OG0000227	Prbb.g_00190	Prak.g_00140
OG0000228	Prbb.g_00191	Prak.g_00141
OG0000229	Prbb.g_00192	Prak.g_00142
OG0000230	Prbb.g_00193	Prak.g_00143
OG0000231	Prbb.g_01101	Prak.g_01035
OG0000232	Prbb.g_00194	Prak.g_00145
OG0000233	Prbb.g_00197	Prak.g_00148
OG0000234	Prbb.g_00200	Prak.g_00150
OG0000235	Prbb.g_00202	Prak.g_00156
OG0000236	Prbb.g_00203	Prak.g_00157
OG0000237	Prbb.g_00204	Prak.g_00158
OG0000238	Prbb.g_00205	Prak.g_00159
OG0000239	Prbb.g_00206	Prak.g_00160
OG0000240	Prbb.g_00208	Prak.g_00162
OG0000241	Prbb.g_00209	Prak.g_00163
OG0000242	Prbb.g_00210	Prak.g_00164
OG0000243	Prbb.g_00211	Prak.g_00165
OG0000244	Prbb.g_00212	Prak.g_00166
OG0000245	Prbb.g_00213	Prak.g_00168
OG0000246	Prbb.g_00215	Prak.g_00170
OG0000247	Prbb.g_00216	Prak.g_00171
OG0000248	Prbb.g_00217	Prak.g_00172
OG0000249	Prbb.g_00218	Prak.g_00173
OG0000250	Prbb.g_00219	Prak.g_00174
OG0000251	Prbb.g_00220	Prak.g_00175
OG0000252	Prbb.g_00221	Prak.g_00176
OG0000253	Prbb.g_00222	Prak.g_00177
OG0000254	Prbb.g_00224	Prak.g_00179
OG0000255	Prbb.g_00225	Prak.g_00180
OG0000256	Prbb.g_00228	Prak.g_00183
OG0000257	Prbb.g_00229	Prak.g_00185
OG0000258	Prbb.g_00230	Prak.g_00186
OG0000259	Prbb.g_00231	Prak.g_00187
OG0000260	Prbb.g_00232	Prak.g_00188
OG0000261	Prbb.g_00233	Prak.g_00189
OG0000262	Prbb.g_00234	Prak.g_00190
OG0000263	Prbb.g_00235	Prak.g_00191
OG0000264	Prbb.g_00237	Prak.g_00193
OG0000265	Prbb.g_00238	Prak.g_00194
OG0000266	Prbb.g_00239	Prak.g_00195
OG0000267	Prbb.g_00241	Prak.g_00197
OG0000268	Prbb.g_00243	Prak.g_00199
OG0000269	Prbb.g_00244	Prak.g_00200
OG0000270	Prbb.g_00245	Prak.g_00201
OG0000271	Prbb.g_00246	Prak.g_00202
OG0000272	Prbb.g_00247	Prak.g_00203
OG0000273	Prbb.g_00248	Prak.g_00204
OG0000274	Prbb.g_00249	Prak.g_00205
OG0000275	Prbb.g_00250	Prak.g_00206
OG0000276	Prbb.g_00251	Prak.g_00207
OG0000277	Prbb.g_00252	Prak.g_00208
OG0000278	Prbb.g_00253	Prak.g_00209
OG0000279	Prbb.g_00254	Prak.g_00210
OG0000280	Prbb.g_00255	Prak.g_00211
OG0000281	Prbb.g_00257	Prak.g_00213
OG0000282	Prbb.g_00258	Prak.g_00214
OG0000283	Prbb.g_00260	Prak.g_00217
OG0000284	Prbb.g_00261	Prak.g_00218
OG0000285	Prbb.g_00262	Prak.g_00219
OG0000286	Prbb.g_00264	Prak.g_00221
OG0000287	Prbb.g_00265	Prak.g_00223
OG0000288	Prbb.g_00266	Prak.g_00224
OG0000289	Prbb.g_00267	Prak.g_00225
OG0000290	Prbb.g_00268	Prak.g_00226
OG0000291	Prbb.g_00269	Prak.g_00227
OG0000292	Prbb.g_00270	Prak.g_00228
OG0000293	Prbb.g_00271	Prak.g_00229
OG0000294	Prbb.g_00272	Prak.g_00230
OG0000295	Prbb.g_00273	Prak.g_00231
OG0000296	Prbb.g_00274	Prak.g_00232
OG0000297	Prbb.g_00275	Prak.g_00233
OG0000298	Prbb.g_00276	Prak.g_00234
OG0000299	Prbb.g_00277	Prak.g_00235
OG0000300	Prbb.g_00278	Prak.g_00236
OG0000301	Prbb.g_00279	Prak.g_00237
OG0000302	Prbb.g_00280	Prak.g_00238
OG0000303	Prbb.g_00281	Prak.g_00239
OG0000304	Prbb.g_00282	Prak.g_00241
OG0000305	Prbb.g_00283	Prak.g_00242
OG0000306	Prbb.g_00284	Prak.g_00243
OG0000307	Prbb.g_00285	Prak.g_00245
OG0000308	Prbb.g_00286	Prak.g_00246
OG0000309	Prbb.g_00287	Prak.g_00247
OG0000310	Prbb.g_00288	Prak.g_00248
OG0000311	Prbb.g_00290	Prak.g_00249
OG0000312	Prbb.g_00292	Prak.g_00251
OG0000313	Prbb.g_00293	Prak.g_00252
OG0000314	Prbb.g_00297	Prak.g_00256
OG0000315	Prbb.g_00298	Prak.g_00257
OG0000316	Prbb.g_00300	Prak.g_00259
OG0000317	Prbb.g_00302	Prak.g_00261
OG0000318	Prbb.g_00303	Prak.g_00262
OG0000319	Prbb.g_00304	Prak.g_00263
OG0000320	Prbb.g_00305	Prak.g_00264
OG0000321	Prbb.g_00306	Prak.g_00267
OG0000322	Prbb.g_00309	Prak.g_00271
OG0000323	Prbb.g_00310	Prak.g_00272
OG0000324	Prbb.g_00313	Prak.g_00275
OG0000325	Prbb.g_00314	Prak.g_00276
OG0000326	Prbb.g_00315	Prak.g_00277
OG0000327	Prbb.g_00316	Prak.g_00279
OG0000328	Prbb.g_00317	Prak.g_00280
OG0000329	Prbb.g_00318	Prak.g_00281
OG0000330	Prbb.g_00319	Prak.g_00282
OG0000331	Prbb.g_00320	Prak.g_00284
OG0000332	Prbb.g_00321	Prak.g_00285
OG0000333	Prbb.g_00322	Prak.g_00286
OG0000334	Prbb.g_00323	Prak.g_00287
OG0000335	Prbb.g_00324	Prak.g_00288
OG0000336	Prbb.g_00326	Prak.g_00290
OG0000337	Prbb.g_00328	Prak.g_00293
OG0000338	Prbb.g_00329	Prak.g_00294
OG0000339	Prbb.g_00330	Prak.g_00295
OG0000340	Prbb.g_00331	Prak.g_00296
OG0000341	Prbb.g_00334	Prak.g_00300
OG0000342	Prbb.g_00335	Prak.g_00301
OG0000343	Prbb.g_00337	Prak.g_00304
OG0000344	Prbb.g_00338	Prak.g_00305
OG0000345	Prbb.g_00339	Prak.g_00306
OG0000346	Prbb.g_00340	Prak.g_00307
OG0000347	Prbb.g_00341	Prak.g_00308
OG0000348	Prbb.g_00342	Prak.g_00310
OG0000349	Prbb.g_00343	Prak.g_00311
OG0000350	Prbb.g_00344	Prak.g_00312
OG0000351	Prbb.g_00346	Prak.g_00314
OG0000352	Prbb.g_00349	Prak.g_00317
OG0000353	Prbb.g_00350	Prak.g_00318
OG0000354	Prbb.g_00351	Prak.g_00319
OG0000355	Prbb.g_00352	Prak.g_00320
OG0000356	Prbb.g_00353	Prak.g_00321
OG0000357	Prbb.g_00354	Prak.g_00322
OG0000358	Prbb.g_00355	Prak.g_00323
OG0000359	Prbb.g_00356	Prak.g_00324
OG0000360	Prbb.g_00359	Prak.g_00326
OG0000361	Prbb.g_00360	Prak.g_00327
OG0000362	Prbb.g_00361	Prak.g_00328
OG0000363	Prbb.g_00362	Prak.g_00329
OG0000364	Prbb.g_00363	Prak.g_00330
OG0000365	Prbb.g_00364	Prak.g_00331
OG0000366	Prbb.g_00365	Prak.g_00332
OG0000367	Prbb.g_00366	Prak.g_00333
OG0000368	Prbb.g_00367	Prak.g_00334
OG0000369	Prbb.g_00368	Prak.g_00335
OG0000370	Prbb.g_00369	Prak.g_00336
OG0000371	Prbb.g_00370	Prak.g_00337
OG0000372	Prbb.g_00372	Prak.g_00338
OG0000373	Prbb.g_00374	Prak.g_00340
OG0000374	Prbb.g_00375	Prak.g_00341
OG0000375	Prbb.g_00376	Prak.g_00342
OG0000376	Prbb.g_00378	Prak.g_00343
OG0000377	Prbb.g_00384	Prak.g_00349
OG0000378	Prbb.g_00739	Prak.g_00350
OG0000379	Prbb.g_00394	Prak.g_00356
OG0000380	Prbb.g_00396	Prak.g_00358
OG0000381	Prbb.g_00397	Prak.g_00359
OG0000382	Prbb.g_00398	Prak.g_00360
OG0000383	Prbb.g_00401	Prak.g_00363
OG0000384	Prbb.g_00402	Prak.g_00364
OG0000385	Prbb.g_00404	Prak.g_00367
OG0000386	Prbb.g_00405	Prak.g_00368
OG0000387	Prbb.g_00406	Prak.g_00369
OG0000388	Prbb.g_00407	Prak.g_00370
OG0000389	Prbb.g_00408	Prak.g_00371
OG0000390	Prbb.g_00409	Prak.g_00372
OG0000391	Prbb.g_00410	Prak.g_00373
OG0000392	Prbb.g_00411	Prak.g_00374
OG0000393	Prbb.g_00415	Prak.g_00378
OG0000394	Prbb.g_00416	Prak.g_00379
OG0000395	Prbb.g_00419	Prak.g_00382
OG0000396	Prbb.g_00836	Prak.g_00900
OG0000397	Prbb.g_01094	Prak.g_01216
OG0000398	Prbb.g_01124	Prak.g_01597
OG0000399	Prbb.g_01288	Prak.g_01211
OG0000400	Prbb.g_01923	Prak.g_01709
OG0000401	Prbb.g_00436	Prak.g_00393
OG0000402	Prbb.g_00437	Prak.g_00394
OG0000403	Prbb.g_00438	Prak.g_00395
OG0000404	Prbb.g_00440	Prak.g_00397
OG0000405	Prbb.g_00441	Prak.g_00398
OG0000406	Prbb.g_00443	Prak.g_00400
OG0000407	Prbb.g_00444	Prak.g_00401
OG0000408	Prbb.g_00445	Prak.g_00402
OG0000409	Prbb.g_00446	Prak.g_00403
OG0000410	Prbb.g_00447	Prak.g_00404
OG0000411	Prbb.g_00448	Prak.g_00405
OG0000412	Prbb.g_00449	Prak.g_00406
OG0000413	Prbb.g_00450	Prak.g_00407
OG0000414	Prbb.g_00451	Prak.g_00408
OG0000415	Prbb.g_00452	Prak.g_00409
OG0000416	Prbb.g_00453	Prak.g_00410
OG0000417	Prbb.g_00454	Prak.g_00411
OG0000418	Prbb.g_00455	Prak.g_00412
OG0000419	Prbb.g_00456	Prak.g_00413
OG0000420	Prbb.g_00457	Prak.g_00414
OG0000421	Prbb.g_00458	Prak.g_00418
OG0000422	Prbb.g_00460	Prak.g_00420
OG0000423	Prbb.g_00461	Prak.g_00421
OG0000424	Prbb.g_00462	Prak.g_00422
OG0000425	Prbb.g_00468	Prak.g_00426
OG0000426	Prbb.g_00469	Prak.g_00427
OG0000427	Prbb.g_00470	Prak.g_00428
OG0000428	Prbb.g_00472	Prak.g_00430
OG0000429	Prbb.g_00473	Prak.g_00431
OG0000430	Prbb.g_00475	Prak.g_00432
OG0000431	Prbb.g_00476	Prak.g_00434
OG0000432	Prbb.g_00477	Prak.g_00435
OG0000433	Prbb.g_00480	Prak.g_00438
OG0000434	Prbb.g_00482	Prak.g_00439
OG0000435	Prbb.g_00483	Prak.g_00440
OG0000436	Prbb.g_00486	Prak.g_00442
OG0000437	Prbb.g_00488	Prak.g_00444
OG0000438	Prbb.g_00489	Prak.g_00445
OG0000439	Prbb.g_00490	Prak.g_00446
OG0000440	Prbb.g_00491	Prak.g_00448
OG0000441	Prbb.g_00492	Prak.g_00449
OG0000442	Prbb.g_00493	Prak.g_00450
OG0000443	Prbb.g_00494	Prak.g_00451
OG0000444	Prbb.g_00495	Prak.g_00452
OG0000445	Prbb.g_00496	Prak.g_00453
OG0000446	Prbb.g_00497	Prak.g_00454
OG0000447	Prbb.g_00498	Prak.g_00455
OG0000448	Prbb.g_00499	Prak.g_00456
OG0000449	Prbb.g_00504	Prak.g_00462
OG0000450	Prbb.g_00505	Prak.g_00463
OG0000451	Prbb.g_00506	Prak.g_00464
OG0000452	Prbb.g_00507	Prak.g_00465
OG0000453	Prbb.g_00509	Prak.g_00466
OG0000454	Prbb.g_00510	Prak.g_00467
OG0000455	Prbb.g_00511	Prak.g_00468
OG0000456	Prbb.g_00512	Prak.g_00469
OG0000457	Prbb.g_00514	Prak.g_00471
OG0000458	Prbb.g_00516	Prak.g_00473
OG0000459	Prbb.g_00517	Prak.g_00474
OG0000460	Prbb.g_00519	Prak.g_00476
OG0000461	Prbb.g_00520	Prak.g_00477
OG0000462	Prbb.g_00521	Prak.g_00478
OG0000463	Prbb.g_00523	Prak.g_00479
OG0000464	Prbb.g_00527	Prak.g_00483
OG0000465	Prbb.g_00528	Prak.g_00484
OG0000466	Prbb.g_00529	Prak.g_00485
OG0000467	Prbb.g_00530	Prak.g_00486
OG0000468	Prbb.g_00531	Prak.g_00487
OG0000469	Prbb.g_00532	Prak.g_00488
OG0000470	Prbb.g_00533	Prak.g_00489
OG0000471	Prbb.g_00534	Prak.g_00490
OG0000472	Prbb.g_00537	Prak.g_00493
OG0000473	Prbb.g_00538	Prak.g_00494
OG0000474	Prbb.g_00539	Prak.g_00495
OG0000475	Prbb.g_00540	Prak.g_00496
OG0000476	Prbb.g_00541	Prak.g_00497
OG0000477	Prbb.g_00543	Prak.g_00499
OG0000478	Prbb.g_00544	Prak.g_00500
OG0000479	Prbb.g_00545	Prak.g_00501
OG0000480	Prbb.g_00547	Prak.g_00503
OG0000481	Prbb.g_00548	Prak.g_00504
OG0000482	Prbb.g_00550	Prak.g_00506
OG0000483	Prbb.g_00551	Prak.g_00507
OG0000484	Prbb.g_00552	Prak.g_00508
OG0000485	Prbb.g_00553	Prak.g_00509
OG0000486	Prbb.g_00554	Prak.g_00510
OG0000487	Prbb.g_00555	Prak.g_00511
OG0000488	Prbb.g_00557	Prak.g_00513
OG0000489	Prbb.g_00558	Prak.g_00514
OG0000490	Prbb.g_00559	Prak.g_00515
OG0000491	Prbb.g_00560	Prak.g_00516
OG0000492	Prbb.g_00561	Prak.g_00517
OG0000493	Prbb.g_00562	Prak.g_00518
OG0000494	Prbb.g_00564	Prak.g_00519
OG0000495	Prbb.g_00565	Prak.g_00520
OG0000496	Prbb.g_00566	Prak.g_00522
OG0000497	Prbb.g_00567	Prak.g_00524
OG0000498	Prbb.g_00568	Prak.g_00525
OG0000499	Prbb.g_00570	Prak.g_00527
OG0000500	Prbb.g_00571	Prak.g_00528
OG0000501	Prbb.g_00573	Prak.g_00530
OG0000502	Prbb.g_00574	Prak.g_00531
OG0000503	Prbb.g_00575	Prak.g_00532
OG0000504	Prbb.g_00576	Prak.g_00533
OG0000505	Prbb.g_00577	Prak.g_00534
OG0000506	Prbb.g_00578	Prak.g_00535
OG0000507	Prbb.g_00579	Prak.g_00536
OG0000508	Prbb.g_00580	Prak.g_00538
OG0000509	Prbb.g_00581	Prak.g_00539
OG0000510	Prbb.g_00582	Prak.g_00540
OG0000511	Prbb.g_00583	Prak.g_00541
OG0000512	Prbb.g_00584	Prak.g_00542
OG0000513	Prbb.g_00585	Prak.g_00543
OG0000514	Prbb.g_00586	Prak.g_00544
OG0000515	Prbb.g_00587	Prak.g_00547
OG0000516	Prbb.g_00588	Prak.g_00548
OG0000517	Prbb.g_00589	Prak.g_00549
OG0000518	Prbb.g_00591	Prak.g_00552
OG0000519	Prbb.g_00592	Prak.g_00553
OG0000520	Prbb.g_00594	Prak.g_00554
OG0000521	Prbb.g_00593	Prak.g_00555
OG0000522	Prbb.g_00595	Prak.g_00556
OG0000523	Prbb.g_00596	Prak.g_00557
OG0000524	Prbb.g_00597	Prak.g_00558
OG0000525	Prbb.g_00599	Prak.g_00560
OG0000526	Prbb.g_00600	Prak.g_00561
OG0000527	Prbb.g_00601	Prak.g_00562
OG0000528	Prbb.g_00602	Prak.g_00563
OG0000529	Prbb.g_00603	Prak.g_00564
OG0000530	Prbb.g_00604	Prak.g_00565
OG0000531	Prbb.g_00606	Prak.g_00567
OG0000532	Prbb.g_00607	Prak.g_00568
OG0000533	Prbb.g_00608	Prak.g_00569
OG0000534	Prbb.g_00609	Prak.g_00570
OG0000535	Prbb.g_00610	Prak.g_00571
