Orthogroup	Prbd	Prbc
OG0000037	Prbd.g_00621	Prbc.g_02155
OG0000038	Prbd.g_00061	Prbc.g_00166
OG0000039	Prbd.g_01074	Prbc.g_00405
OG0000040	Prbd.g_00879	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006
OG0000041	Prbd.g_00833	Prbc.g_01315
OG0000042	Prbd.g_00007	Prbc.g_01787
OG0000043	Prbd.g_00087	Prbc.g_01999
OG0000044	Prbd.g_00468	Prbc.g_01446
OG0000046	Prbd.g_01532	Prbc.g_00826
OG0000047	Prbd.g_01335	Prbc.g_00211
OG0000048	Prbd.g_01328	Prbc.g_00203
OG0000050	Prbd.g_01206	Prbc.g_01101
OG0000051	Prbd.g_01083	Prbc.g_00414
OG0000052	Prbd.g_00868	Prbc.g_00134, Prbc.g_00641
OG0000053	Prbd.g_00703	Prbc.g_01618
OG0000055	Prbd.g_00124	Prbc.g_01882, Prbc.g_00153
OG0000057	Prbd.g_01002, Prbd.g_01537	Prbc.g_00333
OG0000058	Prbd.g_00767	Prbc.g_01534
OG0000059	Prbd.g_00546	Prbc.g_00055, Prbc.g_01780
OG0000061	Prbd.g_00425, Prbd.g_00284	Prbc.g_00645
OG0000062	Prbd.g_00427	Prbc.g_00896
OG0000063	Prbd.g_01895	Prbc.g_00102
OG0000065	Prbd.g_01801	Prbc.g_00566
OG0000066	Prbd.g_01737	Prbc.g_01753
OG0000067	Prbd.g_01867, Prbd.g_00534	Prbc.g_00136
OG0000068	Prbd.g_01391	Prbc.g_00284
OG0000071	Prbd.g_01226	Prbc.g_01081
OG0000072	Prbd.g_00917	Prbc.g_01214
OG0000073	Prbd.g_00575	Prbc.g_01748
OG0000074	Prbd.g_00553	Prbc.g_01773
OG0000075	Prbd.g_00109	Prbc.g_01865
OG0000076	Prbd.g_00340	Prbc.g_02113
OG0000077	Prbd.g_01913	Prbc.g_00105, Prbc.g_02166, Prbc.g_00807
OG0000078	Prbd.g_01734	Prbc.g_01229
OG0000079	Prbd.g_01610	Prbc.g_00790
OG0000080	Prbd.g_01561	Prbc.g_00144
OG0000081	Prbd.g_01361	Prbc.g_00238
OG0000083	Prbd.g_01234	Prbc.g_01073
OG0000084	Prbd.g_01231	Prbc.g_01076
OG0000085	Prbd.g_01214	Prbc.g_01093
OG0000086	Prbd.g_01199	Prbc.g_00132
OG0000087	Prbd.g_01188	Prbc.g_01127
OG0000088	Prbd.g_01131	Prbc.g_00458
OG0000089	Prbd.g_01122	Prbc.g_00449
OG0000090	Prbd.g_01104, Prbd.g_01103	Prbc.g_00432
OG0000091	Prbd.g_01071	Prbc.g_00402
OG0000092	Prbd.g_01070	Prbc.g_00401
OG0000093	Prbd.g_01056	Prbc.g_00388
OG0000094	Prbd.g_01038	Prbc.g_00369
OG0000095	Prbd.g_01033	Prbc.g_00365
OG0000096	Prbd.g_00988	Prbc.g_01147
OG0000097	Prbd.g_00965	Prbc.g_01167
OG0000099	Prbd.g_00945	Prbc.g_01186
OG0000100	Prbd.g_00942	Prbc.g_01189
OG0000101	Prbd.g_00882	Prbc.g_01270
OG0000102	Prbd.g_00855	Prbc.g_02183
OG0000103	Prbd.g_00766	Prbc.g_01535
OG0000104	Prbd.g_00762	Prbc.g_01540
OG0000105	Prbd.g_00743	Prbc.g_01579
OG0000106	Prbd.g_00710	Prbc.g_01611
OG0000107	Prbd.g_00709	Prbc.g_01612
OG0000108	Prbd.g_00699	Prbc.g_01622
OG0000109	Prbd.g_00690	Prbc.g_01632
OG0000110	Prbd.g_00674	Prbc.g_01648
OG0000111	Prbd.g_00593	Prbc.g_01728
OG0000112	Prbd.g_00592	Prbc.g_01729
OG0000113	Prbd.g_00029	Prbc.g_01811
OG0000114	Prbd.g_00100	Prbc.g_01856
OG0000115	Prbd.g_00264	Prbc.g_02036
OG0000116	Prbd.g_00268	Prbc.g_02040
OG0000117	Prbd.g_00337	Prbc.g_02110
OG0000118	Prbd.g_00389	Prbc.g_00173
OG0000119	Prbd.g_00430	Prbc.g_00899
OG0000120	Prbd.g_00474	Prbc.g_01439
OG0000121	Prbd.g_00493	Prbc.g_01417
OG0000122	Prbd.g_00512	Prbc.g_01397
OG0000123	Prbd.g_00525	Prbc.g_01387
OG0000124	Prbd.g_01921	Prbc.g_02103
OG0000125	Prbd.g_01789	Prbc.g_00577
OG0000126	Prbd.g_01764	Prbc.g_00657
OG0000127	Prbd.g_01702	Prbc.g_00695
OG0000128	Prbd.g_01688	Prbc.g_00710
OG0000129	Prbd.g_01652	Prbc.g_00744
OG0000130	Prbd.g_01527	Prbc.g_00830
OG0000131	Prbd.g_01489	Prbc.g_00867
OG0000132	Prbd.g_01486	Prbc.g_00869
OG0000133	Prbd.g_01432	Prbc.g_00326, Prbc.g_01572
OG0000134	Prbd.g_01396	Prbc.g_00290
OG0000135	Prbd.g_01394	Prbc.g_01560, Prbc.g_00288
OG0000136	Prbd.g_01350	Prbc.g_00226
OG0000137	Prbd.g_01317	Prbc.g_00190
OG0000138	Prbd.g_01281	Prbc.g_00997
OG0000139	Prbd.g_01255	Prbc.g_01047
OG0000140	Prbd.g_01236	Prbc.g_01071
OG0000141	Prbd.g_01235	Prbc.g_01072
OG0000142	Prbd.g_01233	Prbc.g_01074
OG0000143	Prbd.g_01232	Prbc.g_01075
OG0000144	Prbd.g_01230	Prbc.g_01077
OG0000145	Prbd.g_01229	Prbc.g_01078
OG0000146	Prbd.g_01228	Prbc.g_01079
OG0000147	Prbd.g_01227	Prbc.g_01080
OG0000148	Prbd.g_01225	Prbc.g_01082
OG0000149	Prbd.g_01223	Prbc.g_01084
OG0000150	Prbd.g_01222	Prbc.g_01085
OG0000151	Prbd.g_01221	Prbc.g_01086
OG0000152	Prbd.g_01220	Prbc.g_01087
OG0000153	Prbd.g_01219	Prbc.g_01088
OG0000154	Prbd.g_01218	Prbc.g_01089
OG0000155	Prbd.g_01217	Prbc.g_01090
OG0000156	Prbd.g_01216	Prbc.g_01091
OG0000157	Prbd.g_01215	Prbc.g_01092
OG0000158	Prbd.g_01213	Prbc.g_01094
OG0000159	Prbd.g_01212	Prbc.g_01095
OG0000160	Prbd.g_01211	Prbc.g_01096
OG0000161	Prbd.g_01210	Prbc.g_01097
OG0000162	Prbd.g_01209	Prbc.g_01098
OG0000163	Prbd.g_01208	Prbc.g_01099
OG0000164	Prbd.g_01205	Prbc.g_01102
OG0000165	Prbd.g_01202	Prbc.g_01104
OG0000166	Prbd.g_01201	Prbc.g_01105
OG0000167	Prbd.g_01200	Prbc.g_01106
OG0000168	Prbd.g_01198	Prbc.g_01118
OG0000169	Prbd.g_01196	Prbc.g_01120
OG0000170	Prbd.g_01195	Prbc.g_01121
OG0000171	Prbd.g_01194	Prbc.g_01122
OG0000172	Prbd.g_01192	Prbc.g_01123
OG0000173	Prbd.g_01191	Prbc.g_01124
OG0000174	Prbd.g_01190	Prbc.g_01125
OG0000175	Prbd.g_01189	Prbc.g_01126
OG0000176	Prbd.g_01187	Prbc.g_01128
OG0000177	Prbd.g_01186	Prbc.g_01129
OG0000178	Prbd.g_01185	Prbc.g_01130
OG0000179	Prbd.g_01180	Prbc.g_00509
OG0000180	Prbd.g_01179	Prbc.g_00508
OG0000181	Prbd.g_01178	Prbc.g_00507
OG0000182	Prbd.g_01175	Prbc.g_00504
OG0000183	Prbd.g_01174	Prbc.g_00503
OG0000184	Prbd.g_01171	Prbc.g_00500
OG0000185	Prbd.g_01167	Prbc.g_00496
OG0000186	Prbd.g_01166	Prbc.g_00495
OG0000187	Prbd.g_01165	Prbc.g_00494
OG0000188	Prbd.g_01164	Prbc.g_00493
OG0000189	Prbd.g_01163	Prbc.g_00492
OG0000190	Prbd.g_01162	Prbc.g_00491
OG0000191	Prbd.g_01161	Prbc.g_00490
OG0000192	Prbd.g_01160	Prbc.g_00489
OG0000193	Prbd.g_01159	Prbc.g_00488
OG0000194	Prbd.g_01158	Prbc.g_00487
OG0000195	Prbd.g_01156	Prbc.g_00485
OG0000196	Prbd.g_01155	Prbc.g_00484
OG0000197	Prbd.g_01154	Prbc.g_00483
OG0000198	Prbd.g_01153	Prbc.g_00482
OG0000199	Prbd.g_01150	Prbc.g_00479
OG0000200	Prbd.g_01149	Prbc.g_00478
OG0000201	Prbd.g_01148	Prbc.g_00477
OG0000202	Prbd.g_01147	Prbc.g_00476
OG0000203	Prbd.g_01146	Prbc.g_00475
OG0000204	Prbd.g_01145	Prbc.g_00474
OG0000205	Prbd.g_01144	Prbc.g_00472
OG0000206	Prbd.g_01143	Prbc.g_00471
OG0000207	Prbd.g_01142	Prbc.g_00470
OG0000208	Prbd.g_01141	Prbc.g_00469
OG0000209	Prbd.g_01140	Prbc.g_00468
OG0000210	Prbd.g_01138	Prbc.g_00467
OG0000211	Prbd.g_01137	Prbc.g_00466
OG0000212	Prbd.g_01136	Prbc.g_00465
OG0000213	Prbd.g_01135	Prbc.g_00464
OG0000214	Prbd.g_01133	Prbc.g_00460
OG0000215	Prbd.g_01132	Prbc.g_00459
OG0000216	Prbd.g_01130	Prbc.g_00457
OG0000217	Prbd.g_01128	Prbc.g_00455
OG0000218	Prbd.g_01127	Prbc.g_00454
OG0000219	Prbd.g_01126	Prbc.g_00453
OG0000220	Prbd.g_01123	Prbc.g_00451
OG0000221	Prbd.g_01121	Prbc.g_00448
OG0000222	Prbd.g_01120	Prbc.g_00447
OG0000223	Prbd.g_01119	Prbc.g_00446
OG0000224	Prbd.g_01116	Prbc.g_00443
OG0000225	Prbd.g_01114	Prbc.g_00441
OG0000226	Prbd.g_01113	Prbc.g_00439
OG0000227	Prbd.g_01112	Prbc.g_00438
OG0000228	Prbd.g_01111	Prbc.g_00437
OG0000229	Prbd.g_01110	Prbc.g_00436
OG0000230	Prbd.g_01109	Prbc.g_00435
OG0000231	Prbd.g_01107	Prbc.g_02145
OG0000232	Prbd.g_01106	Prbc.g_00434
OG0000233	Prbd.g_01102	Prbc.g_00431
OG0000234	Prbd.g_01100	Prbc.g_00428
OG0000235	Prbd.g_01095	Prbc.g_00426
OG0000236	Prbd.g_01094	Prbc.g_00425
OG0000237	Prbd.g_01093	Prbc.g_00424
OG0000238	Prbd.g_01092	Prbc.g_00423
OG0000239	Prbd.g_01091	Prbc.g_00422
OG0000240	Prbd.g_01089	Prbc.g_00420
OG0000241	Prbd.g_01088	Prbc.g_00419
OG0000242	Prbd.g_01087	Prbc.g_00418
OG0000243	Prbd.g_01086	Prbc.g_00417
OG0000244	Prbd.g_01085	Prbc.g_00416
OG0000245	Prbd.g_01084	Prbc.g_00415
OG0000246	Prbd.g_01082	Prbc.g_00413
OG0000247	Prbd.g_01081	Prbc.g_00412
OG0000248	Prbd.g_01080	Prbc.g_00411
OG0000249	Prbd.g_01079	Prbc.g_00410
OG0000250	Prbd.g_01078	Prbc.g_00409
OG0000251	Prbd.g_01077	Prbc.g_00408
OG0000252	Prbd.g_01076	Prbc.g_00407
OG0000253	Prbd.g_01075	Prbc.g_00406
OG0000254	Prbd.g_01073	Prbc.g_00404
OG0000255	Prbd.g_01072	Prbc.g_00403
OG0000256	Prbd.g_01069	Prbc.g_00400
OG0000257	Prbd.g_01067	Prbc.g_00399
OG0000258	Prbd.g_01066	Prbc.g_00398
OG0000259	Prbd.g_01065	Prbc.g_00397
OG0000260	Prbd.g_01064	Prbc.g_00396
OG0000261	Prbd.g_01063	Prbc.g_00395
OG0000262	Prbd.g_01062	Prbc.g_00394
OG0000263	Prbd.g_01061	Prbc.g_00393
OG0000264	Prbd.g_01059	Prbc.g_00391
OG0000265	Prbd.g_01058	Prbc.g_00390
OG0000266	Prbd.g_01057	Prbc.g_00389
OG0000267	Prbd.g_01055	Prbc.g_00387
OG0000268	Prbd.g_01054	Prbc.g_00385
OG0000269	Prbd.g_01053	Prbc.g_00384
OG0000270	Prbd.g_01052	Prbc.g_00383
OG0000271	Prbd.g_01051	Prbc.g_00382
OG0000272	Prbd.g_01050	Prbc.g_00381
OG0000273	Prbd.g_01049	Prbc.g_00380
OG0000274	Prbd.g_01048	Prbc.g_00379
OG0000275	Prbd.g_01047	Prbc.g_00378
OG0000276	Prbd.g_01046	Prbc.g_00377
OG0000277	Prbd.g_01045	Prbc.g_00376
OG0000278	Prbd.g_01044	Prbc.g_00375
OG0000279	Prbd.g_01043	Prbc.g_00374
OG0000280	Prbd.g_01042	Prbc.g_00373
OG0000281	Prbd.g_01040	Prbc.g_00371
OG0000282	Prbd.g_01039	Prbc.g_00370
OG0000283	Prbd.g_01036	Prbc.g_00368
OG0000284	Prbd.g_01035	Prbc.g_00367
OG0000285	Prbd.g_01034	Prbc.g_00366
OG0000286	Prbd.g_01032	Prbc.g_00364
OG0000287	Prbd.g_01031	Prbc.g_00363
OG0000288	Prbd.g_01030	Prbc.g_00362
OG0000289	Prbd.g_01029	Prbc.g_00361
OG0000290	Prbd.g_01028	Prbc.g_00360
OG0000291	Prbd.g_01027	Prbc.g_00358
OG0000292	Prbd.g_01026	Prbc.g_00357
OG0000293	Prbd.g_01025	Prbc.g_00356
OG0000294	Prbd.g_01024	Prbc.g_00355
OG0000295	Prbd.g_01023	Prbc.g_00354
OG0000296	Prbd.g_01022	Prbc.g_00353
OG0000297	Prbd.g_01021	Prbc.g_00352
OG0000298	Prbd.g_01020	Prbc.g_00351
OG0000299	Prbd.g_01019	Prbc.g_00350
OG0000300	Prbd.g_01018	Prbc.g_00349
OG0000301	Prbd.g_01017	Prbc.g_00348
OG0000302	Prbd.g_01016	Prbc.g_00347
OG0000303	Prbd.g_01015	Prbc.g_00346
OG0000304	Prbd.g_01013	Prbc.g_00345
OG0000305	Prbd.g_01012	Prbc.g_00344
OG0000306	Prbd.g_01011	Prbc.g_00343
OG0000307	Prbd.g_01010	Prbc.g_00342
OG0000308	Prbd.g_01009	Prbc.g_00341
OG0000309	Prbd.g_01008	Prbc.g_00340
OG0000310	Prbd.g_01007	Prbc.g_00339
OG0000311	Prbd.g_01006	Prbc.g_00337
OG0000312	Prbd.g_01004	Prbc.g_00335
OG0000313	Prbd.g_01003	Prbc.g_00334
OG0000314	Prbd.g_01000	Prbc.g_00330
OG0000315	Prbd.g_00999	Prbc.g_00329
OG0000316	Prbd.g_00997	Prbc.g_01140
OG0000317	Prbd.g_00995	Prbc.g_01142
OG0000318	Prbd.g_00994	Prbc.g_01143
OG0000319	Prbd.g_00993	Prbc.g_01144
OG0000320	Prbd.g_00992	Prbc.g_01145
OG0000321	Prbd.g_00989	Prbc.g_01146
OG0000322	Prbd.g_00986	Prbc.g_01149
OG0000323	Prbd.g_00985	Prbc.g_01150
OG0000324	Prbd.g_00982	Prbc.g_01153
OG0000325	Prbd.g_00980	Prbc.g_01154
OG0000326	Prbd.g_00979	Prbc.g_01155
OG0000327	Prbd.g_00977	Prbc.g_01156
OG0000328	Prbd.g_00976	Prbc.g_01157
OG0000329	Prbd.g_00975	Prbc.g_01158
OG0000330	Prbd.g_00974	Prbc.g_01159
OG0000331	Prbd.g_00973	Prbc.g_01160
OG0000332	Prbd.g_00972	Prbc.g_01161
OG0000333	Prbd.g_00971	Prbc.g_01162
OG0000334	Prbd.g_00970	Prbc.g_01163
OG0000335	Prbd.g_00969	Prbc.g_01164
OG0000336	Prbd.g_00968	Prbc.g_01166
OG0000337	Prbd.g_00964	Prbc.g_01168
OG0000338	Prbd.g_00963	Prbc.g_01169
OG0000339	Prbd.g_00962	Prbc.g_01170
OG0000340	Prbd.g_00961	Prbc.g_01171
OG0000341	Prbd.g_00957	Prbc.g_01175
OG0000342	Prbd.g_00956	Prbc.g_01176
OG0000343	Prbd.g_00954	Prbc.g_01178
OG0000344	Prbd.g_00953	Prbc.g_01179
OG0000345	Prbd.g_00952	Prbc.g_01180
OG0000346	Prbd.g_00951	Prbc.g_01181
OG0000347	Prbd.g_00950	Prbc.g_01182
OG0000348	Prbd.g_00949	Prbc.g_01183
OG0000349	Prbd.g_00948	Prbc.g_01184
OG0000350	Prbd.g_00947	Prbc.g_01185
OG0000351	Prbd.g_00944	Prbc.g_01187
OG0000352	Prbd.g_00941	Prbc.g_01190
OG0000353	Prbd.g_00940	Prbc.g_01191
OG0000354	Prbd.g_00939	Prbc.g_01192
OG0000355	Prbd.g_00938	Prbc.g_01193
OG0000356	Prbd.g_00937	Prbc.g_01194
OG0000357	Prbd.g_00936	Prbc.g_01195
OG0000358	Prbd.g_00935	Prbc.g_01196
OG0000359	Prbd.g_00934	Prbc.g_01197
OG0000360	Prbd.g_00931	Prbc.g_01200
OG0000361	Prbd.g_00930	Prbc.g_01201
OG0000362	Prbd.g_00929	Prbc.g_01202
OG0000363	Prbd.g_00928	Prbc.g_01203
OG0000364	Prbd.g_00927	Prbc.g_01204
OG0000365	Prbd.g_00926	Prbc.g_01205
OG0000366	Prbd.g_00925	Prbc.g_01206
OG0000367	Prbd.g_00924	Prbc.g_01207
OG0000368	Prbd.g_00923	Prbc.g_01208
OG0000369	Prbd.g_00922	Prbc.g_01209
OG0000370	Prbd.g_00921	Prbc.g_01210
OG0000371	Prbd.g_00920	Prbc.g_01211
OG0000372	Prbd.g_00918	Prbc.g_01213
OG0000373	Prbd.g_00916	Prbc.g_01215
OG0000374	Prbd.g_00915	Prbc.g_01216
OG0000375	Prbd.g_00914	Prbc.g_01217
OG0000376	Prbd.g_00912	Prbc.g_01219
OG0000377	Prbd.g_00911	Prbc.g_01225
OG0000378	Prbd.g_00910	Prbc.g_01813
OG0000379	Prbd.g_00905	Prbc.g_01246
OG0000380	Prbd.g_00904	Prbc.g_01248
OG0000381	Prbd.g_00903	Prbc.g_01249
OG0000382	Prbd.g_00901	Prbc.g_01250
OG0000383	Prbd.g_00898	Prbc.g_01253
OG0000384	Prbd.g_00897	Prbc.g_01254
OG0000385	Prbd.g_00894	Prbc.g_01256
OG0000386	Prbd.g_00893	Prbc.g_01257
OG0000387	Prbd.g_00892	Prbc.g_01258
OG0000388	Prbd.g_00891	Prbc.g_01259
OG0000389	Prbd.g_00890	Prbc.g_01260
OG0000390	Prbd.g_00889	Prbc.g_01261
OG0000391	Prbd.g_00888	Prbc.g_01262
OG0000392	Prbd.g_00887	Prbc.g_01263
OG0000393	Prbd.g_00884	Prbc.g_01267
OG0000394	Prbd.g_00883	Prbc.g_01268
OG0000395	Prbd.g_00881	Prbc.g_01271
OG0000396	Prbd.g_00880	Prbc.g_01912
OG0000397	Prbd.g_00867	Prbc.g_02137
OG0000398	Prbd.g_00859	Prbc.g_02168
OG0000399	Prbd.g_00858	Prbc.g_01317
OG0000400	Prbd.g_00852	Prbc.g_00934
OG0000401	Prbd.g_00811	Prbc.g_01492
OG0000402	Prbd.g_00810	Prbc.g_01493
OG0000403	Prbd.g_00809	Prbc.g_01494
OG0000404	Prbd.g_00807	Prbc.g_01496
OG0000405	Prbd.g_00806	Prbc.g_01497
OG0000406	Prbd.g_00804	Prbc.g_01499
OG0000407	Prbd.g_00803	Prbc.g_01500
OG0000408	Prbd.g_00802	Prbc.g_01501
OG0000409	Prbd.g_00801	Prbc.g_01502
OG0000410	Prbd.g_00800	Prbc.g_01503
OG0000411	Prbd.g_00799	Prbc.g_01504
OG0000412	Prbd.g_00798	Prbc.g_01505
OG0000413	Prbd.g_00797	Prbc.g_01506
OG0000414	Prbd.g_00796	Prbc.g_01507
OG0000415	Prbd.g_00795	Prbc.g_01508
OG0000416	Prbd.g_00794	Prbc.g_01509
OG0000417	Prbd.g_00793	Prbc.g_01510
OG0000418	Prbd.g_00792	Prbc.g_01511
OG0000419	Prbd.g_00791	Prbc.g_01512
OG0000420	Prbd.g_00790	Prbc.g_01513
OG0000421	Prbd.g_00789	Prbc.g_01514
OG0000422	Prbd.g_00787	Prbc.g_01516
OG0000423	Prbd.g_00786	Prbc.g_01517
OG0000424	Prbd.g_00784	Prbc.g_01518
OG0000425	Prbd.g_00781	Prbc.g_01524
OG0000426	Prbd.g_00780	Prbc.g_01525
OG0000427	Prbd.g_00779	Prbc.g_01526
OG0000428	Prbd.g_00778	Prbc.g_01528
OG0000429	Prbd.g_00777	Prbc.g_01529
OG0000430	Prbd.g_00771	Prbc.g_01531
OG0000431	Prbd.g_00769	Prbc.g_01532
OG0000432	Prbd.g_00768	Prbc.g_01533
OG0000433	Prbd.g_00765	Prbc.g_01536
OG0000434	Prbd.g_00764	Prbc.g_01538
OG0000435	Prbd.g_00763	Prbc.g_01539
OG0000436	Prbd.g_00761	Prbc.g_01541
OG0000437	Prbd.g_00759	Prbc.g_01543
OG0000438	Prbd.g_00758	Prbc.g_01544
OG0000439	Prbd.g_00757	Prbc.g_01545
OG0000440	Prbd.g_00755	Prbc.g_01546
OG0000441	Prbd.g_00754	Prbc.g_01547
OG0000442	Prbd.g_00753	Prbc.g_01548
OG0000443	Prbd.g_00752	Prbc.g_01549
OG0000444	Prbd.g_00751	Prbc.g_01550
OG0000445	Prbd.g_00750	Prbc.g_01551
OG0000446	Prbd.g_00749	Prbc.g_01552
OG0000447	Prbd.g_00748	Prbc.g_01553
OG0000448	Prbd.g_00747	Prbc.g_01554
OG0000449	Prbd.g_00742	Prbc.g_01580
OG0000450	Prbd.g_00741	Prbc.g_01581
OG0000451	Prbd.g_00740	Prbc.g_01582
OG0000452	Prbd.g_00739	Prbc.g_01583
OG0000453	Prbd.g_00737	Prbc.g_01585
OG0000454	Prbd.g_00736	Prbc.g_01586
OG0000455	Prbd.g_00735	Prbc.g_01587
OG0000456	Prbd.g_00734	Prbc.g_01588
OG0000457	Prbd.g_00732	Prbc.g_01590
OG0000458	Prbd.g_00730	Prbc.g_01592
OG0000459	Prbd.g_00729	Prbc.g_01593
OG0000460	Prbd.g_00727	Prbc.g_01595
OG0000461	Prbd.g_00726	Prbc.g_01596
OG0000462	Prbd.g_00725	Prbc.g_01597
OG0000463	Prbd.g_00724	Prbc.g_01599
OG0000464	Prbd.g_00719	Prbc.g_01603
OG0000465	Prbd.g_00717	Prbc.g_01604
OG0000466	Prbd.g_00716	Prbc.g_01605
OG0000467	Prbd.g_00715	Prbc.g_01606
OG0000468	Prbd.g_00714	Prbc.g_01607
OG0000469	Prbd.g_00713	Prbc.g_01608
OG0000470	Prbd.g_00712	Prbc.g_01609
OG0000471	Prbd.g_00711	Prbc.g_01610
OG0000472	Prbd.g_00708	Prbc.g_01613
OG0000473	Prbd.g_00707	Prbc.g_01614
OG0000474	Prbd.g_00706	Prbc.g_01615
OG0000475	Prbd.g_00705	Prbc.g_01616
OG0000476	Prbd.g_00704	Prbc.g_01617
OG0000477	Prbd.g_00702	Prbc.g_01619
OG0000478	Prbd.g_00701	Prbc.g_01620
OG0000479	Prbd.g_00700	Prbc.g_01621
OG0000480	Prbd.g_00698	Prbc.g_01623
OG0000481	Prbd.g_00697	Prbc.g_01624
OG0000482	Prbd.g_00696	Prbc.g_01626
OG0000483	Prbd.g_00695	Prbc.g_01627
OG0000484	Prbd.g_00694	Prbc.g_01628
OG0000485	Prbd.g_00693	Prbc.g_01629
OG0000486	Prbd.g_00692	Prbc.g_01630
OG0000487	Prbd.g_00691	Prbc.g_01631
OG0000488	Prbd.g_00689	Prbc.g_01633
OG0000489	Prbd.g_00688	Prbc.g_01634
OG0000490	Prbd.g_00687	Prbc.g_01635
OG0000491	Prbd.g_00686	Prbc.g_01636
OG0000492	Prbd.g_00685	Prbc.g_01637
OG0000493	Prbd.g_00684	Prbc.g_01638
OG0000494	Prbd.g_00682	Prbc.g_01640
OG0000495	Prbd.g_00681	Prbc.g_01641
OG0000496	Prbd.g_00680	Prbc.g_01642
OG0000497	Prbd.g_00679	Prbc.g_01643
OG0000498	Prbd.g_00678	Prbc.g_01644
OG0000499	Prbd.g_00676	Prbc.g_01646
OG0000500	Prbd.g_00675	Prbc.g_01647
OG0000501	Prbd.g_00673	Prbc.g_01649
OG0000502	Prbd.g_00672	Prbc.g_01650
OG0000503	Prbd.g_00671	Prbc.g_01651
OG0000504	Prbd.g_00670	Prbc.g_01652
OG0000505	Prbd.g_00669	Prbc.g_01653
OG0000506	Prbd.g_00668	Prbc.g_01654
OG0000507	Prbd.g_00667	Prbc.g_01655
OG0000508	Prbd.g_00665	Prbc.g_01656
OG0000509	Prbd.g_00664	Prbc.g_01657
OG0000510	Prbd.g_00663	Prbc.g_01658
OG0000511	Prbd.g_00662	Prbc.g_01659
OG0000512	Prbd.g_00661	Prbc.g_01660
OG0000513	Prbd.g_00660	Prbc.g_01661
OG0000514	Prbd.g_00659	Prbc.g_01662
OG0000515	Prbd.g_00657	Prbc.g_01663
OG0000516	Prbd.g_00656	Prbc.g_01664
OG0000517	Prbd.g_00655	Prbc.g_01665
OG0000518	Prbd.g_00653	Prbc.g_01667
OG0000519	Prbd.g_00652	Prbc.g_01668
OG0000520	Prbd.g_00651	Prbc.g_01670
OG0000521	Prbd.g_00650	Prbc.g_01669
OG0000522	Prbd.g_00649	Prbc.g_01671
OG0000523	Prbd.g_00648	Prbc.g_01672
OG0000524	Prbd.g_00647	Prbc.g_01673
OG0000525	Prbd.g_00645	Prbc.g_01675
OG0000526	Prbd.g_00644	Prbc.g_01676
OG0000527	Prbd.g_00643	Prbc.g_01677
OG0000528	Prbd.g_00642	Prbc.g_01678
OG0000529	Prbd.g_00641	Prbc.g_01679
OG0000530	Prbd.g_00640	Prbc.g_01680
OG0000531	Prbd.g_00639	Prbc.g_01682
