Orthogroup	Prbd	Prat
OG0000044	Prbd.g_00468	Prat.g_01156
OG0000045	Prbd.g_01733	Prat.g_01311
OG0000046	Prbd.g_01532	Prat.g_01584
OG0000047	Prbd.g_01335	Prat.g_01788
OG0000048	Prbd.g_01328	Prat.g_01796
OG0000050	Prbd.g_01206	Prat.g_00033
OG0000051	Prbd.g_01083	Prat.g_00157
OG0000052	Prbd.g_00868	Prat.g_00637
OG0000053	Prbd.g_00703	Prat.g_01499
OG0000055	Prbd.g_00124	Prat.g_01014
OG0000057	Prbd.g_01002, Prbd.g_01537	Prat.g_00242
OG0000058	Prbd.g_00767	Prat.g_00434
OG0000059	Prbd.g_00546	Prat.g_00775
OG0000062	Prbd.g_00427	Prat.g_01495, Prat.g_01561
OG0000063	Prbd.g_01895	Prat.g_01129
OG0000065	Prbd.g_01801	Prat.g_01249
OG0000066	Prbd.g_01737	Prat.g_00344
OG0000067	Prbd.g_01867, Prbd.g_00534	Prat.g_01532
OG0000068	Prbd.g_01391	Prat.g_01726
OG0000071	Prbd.g_01226	Prat.g_00012, Prat.g_00011
OG0000072	Prbd.g_00917	Prat.g_00329
OG0000073	Prbd.g_00575	Prat.g_01054
OG0000074	Prbd.g_00553	Prat.g_00765
OG0000075	Prbd.g_00109	Prat.g_01030
OG0000076	Prbd.g_00340	Prat.g_00965
OG0000078	Prbd.g_01734	Prat.g_01312
OG0000079	Prbd.g_01610	Prat.g_01442
OG0000080	Prbd.g_01561	Prat.g_01539
OG0000081	Prbd.g_01361	Prat.g_01759
OG0000083	Prbd.g_01234	Prat.g_00003
OG0000084	Prbd.g_01231	Prat.g_00006
OG0000085	Prbd.g_01214	Prat.g_01314, Prat.g_00024
OG0000086	Prbd.g_01199	Prat.g_00614
OG0000087	Prbd.g_01188	Prat.g_00054
OG0000088	Prbd.g_01131	Prat.g_00112
OG0000089	Prbd.g_01122	Prat.g_00121
OG0000090	Prbd.g_01104, Prbd.g_01103	Prat.g_00138
OG0000091	Prbd.g_01071	Prat.g_00170
OG0000092	Prbd.g_01070	Prat.g_00171
OG0000093	Prbd.g_01056	Prat.g_00185
OG0000094	Prbd.g_01038	Prat.g_00204
OG0000095	Prbd.g_01033	Prat.g_00209
OG0000096	Prbd.g_00988	Prat.g_00257
OG0000097	Prbd.g_00965	Prat.g_00281
OG0000099	Prbd.g_00945	Prat.g_00302
OG0000100	Prbd.g_00942	Prat.g_00305
OG0000101	Prbd.g_00882	Prat.g_00372
OG0000102	Prbd.g_00855	Prat.g_01477
OG0000103	Prbd.g_00766	Prat.g_00435
OG0000104	Prbd.g_00762	Prat.g_00440
OG0000105	Prbd.g_00743	Prat.g_00462
OG0000106	Prbd.g_00710	Prat.g_00494
OG0000107	Prbd.g_00709	Prat.g_00495
OG0000108	Prbd.g_00699	Prat.g_00504
OG0000109	Prbd.g_00690	Prat.g_00514, Prat.g_00513
OG0000110	Prbd.g_00674	Prat.g_00532
OG0000111	Prbd.g_00593	Prat.g_01073
OG0000112	Prbd.g_00592	Prat.g_01072
OG0000113	Prbd.g_00029	Prat.g_00815
OG0000114	Prbd.g_00100	Prat.g_01039
OG0000115	Prbd.g_00264	Prat.g_00896
OG0000116	Prbd.g_00268	Prat.g_00900
OG0000117	Prbd.g_00337	Prat.g_00962
OG0000118	Prbd.g_00389	Prat.g_01208
OG0000119	Prbd.g_00430	Prat.g_01557
OG0000120	Prbd.g_00474	Prat.g_01150
OG0000121	Prbd.g_00493	Prat.g_01127
OG0000122	Prbd.g_00512	Prat.g_01107
OG0000123	Prbd.g_00525	Prat.g_00595
OG0000124	Prbd.g_01921	Prat.g_01509
OG0000125	Prbd.g_01789	Prat.g_01261
OG0000126	Prbd.g_01764	Prat.g_01291
OG0000127	Prbd.g_01702	Prat.g_01338
OG0000128	Prbd.g_01688	Prat.g_01354
OG0000129	Prbd.g_01652	Prat.g_01392
OG0000130	Prbd.g_01527	Prat.g_01589
OG0000131	Prbd.g_01489	Prat.g_01377, Prat.g_01628
OG0000132	Prbd.g_01486	Prat.g_01631
OG0000133	Prbd.g_01432	Prat.g_01685
OG0000134	Prbd.g_01396	Prat.g_01720
OG0000135	Prbd.g_01394	Prat.g_01722
OG0000136	Prbd.g_01350	Prat.g_01771
OG0000137	Prbd.g_01317	Prat.g_01806
OG0000138	Prbd.g_01281	Prat.g_01841
OG0000139	Prbd.g_01255	Prat.g_01873
OG0000140	Prbd.g_01236	Prat.g_00001
OG0000141	Prbd.g_01235	Prat.g_00002
OG0000142	Prbd.g_01233	Prat.g_00004
OG0000143	Prbd.g_01232	Prat.g_00005
OG0000144	Prbd.g_01230	Prat.g_00007
OG0000145	Prbd.g_01229	Prat.g_00008
OG0000146	Prbd.g_01228	Prat.g_00009
OG0000147	Prbd.g_01227	Prat.g_00010
OG0000148	Prbd.g_01225	Prat.g_00013
OG0000149	Prbd.g_01223	Prat.g_00015
OG0000150	Prbd.g_01222	Prat.g_00016
OG0000151	Prbd.g_01221	Prat.g_00017
OG0000152	Prbd.g_01220	Prat.g_00018
OG0000153	Prbd.g_01219	Prat.g_00019
OG0000154	Prbd.g_01218	Prat.g_00020
OG0000155	Prbd.g_01217	Prat.g_00021
OG0000156	Prbd.g_01216	Prat.g_00022
OG0000157	Prbd.g_01215	Prat.g_00023
OG0000158	Prbd.g_01213	Prat.g_00025
OG0000159	Prbd.g_01212	Prat.g_00026
OG0000160	Prbd.g_01211	Prat.g_00027
OG0000161	Prbd.g_01210	Prat.g_00028
OG0000162	Prbd.g_01209	Prat.g_00029
OG0000163	Prbd.g_01208	Prat.g_00031
OG0000164	Prbd.g_01205	Prat.g_00034
OG0000165	Prbd.g_01202	Prat.g_00036
OG0000166	Prbd.g_01201	Prat.g_00037
OG0000167	Prbd.g_01200	Prat.g_00038
OG0000168	Prbd.g_01198	Prat.g_00042
OG0000169	Prbd.g_01196	Prat.g_00044
OG0000170	Prbd.g_01195	Prat.g_00046
OG0000171	Prbd.g_01194	Prat.g_00047
OG0000172	Prbd.g_01192	Prat.g_00048
OG0000173	Prbd.g_01191	Prat.g_00051
OG0000174	Prbd.g_01190	Prat.g_00052
OG0000175	Prbd.g_01189	Prat.g_00053
OG0000176	Prbd.g_01187	Prat.g_00055
OG0000177	Prbd.g_01186	Prat.g_00056
OG0000178	Prbd.g_01185	Prat.g_00057
OG0000179	Prbd.g_01180	Prat.g_00060
OG0000180	Prbd.g_01179	Prat.g_00061
OG0000181	Prbd.g_01178	Prat.g_00062
OG0000182	Prbd.g_01175	Prat.g_00066
OG0000183	Prbd.g_01174	Prat.g_00067
OG0000184	Prbd.g_01171	Prat.g_00070
OG0000185	Prbd.g_01167	Prat.g_00074
OG0000186	Prbd.g_01166	Prat.g_00075
OG0000187	Prbd.g_01165	Prat.g_01504
OG0000188	Prbd.g_01164	Prat.g_00076
OG0000189	Prbd.g_01163	Prat.g_00079
OG0000190	Prbd.g_01162	Prat.g_00080
OG0000191	Prbd.g_01161	Prat.g_00081
OG0000192	Prbd.g_01160	Prat.g_00082
OG0000193	Prbd.g_01159	Prat.g_00083
OG0000194	Prbd.g_01158	Prat.g_00084
OG0000195	Prbd.g_01156	Prat.g_00086
OG0000196	Prbd.g_01155	Prat.g_00087
OG0000197	Prbd.g_01154	Prat.g_00088
OG0000198	Prbd.g_01153	Prat.g_00089
OG0000199	Prbd.g_01150	Prat.g_00091
OG0000200	Prbd.g_01149	Prat.g_00092
OG0000201	Prbd.g_01148	Prat.g_00093
OG0000202	Prbd.g_01147	Prat.g_00094
OG0000203	Prbd.g_01146	Prat.g_00095
OG0000204	Prbd.g_01145	Prat.g_00096
OG0000205	Prbd.g_01144	Prat.g_00098
OG0000206	Prbd.g_01143	Prat.g_00099
OG0000207	Prbd.g_01142	Prat.g_00100
OG0000208	Prbd.g_01141	Prat.g_00101
OG0000209	Prbd.g_01140	Prat.g_00102
OG0000210	Prbd.g_01138	Prat.g_00103
OG0000211	Prbd.g_01137	Prat.g_00104
OG0000212	Prbd.g_01136	Prat.g_00105
OG0000213	Prbd.g_01135	Prat.g_00106
OG0000214	Prbd.g_01133	Prat.g_00110
OG0000215	Prbd.g_01132	Prat.g_00111
OG0000216	Prbd.g_01130	Prat.g_00113
OG0000217	Prbd.g_01128	Prat.g_00114
OG0000218	Prbd.g_01127	Prat.g_00115
OG0000219	Prbd.g_01126	Prat.g_00116
OG0000220	Prbd.g_01123	Prat.g_00118
OG0000221	Prbd.g_01121	Prat.g_00122
OG0000222	Prbd.g_01120	Prat.g_00123
OG0000223	Prbd.g_01119	Prat.g_00124
OG0000224	Prbd.g_01116	Prat.g_00126
OG0000225	Prbd.g_01114	Prat.g_00128
OG0000226	Prbd.g_01113	Prat.g_00130
OG0000227	Prbd.g_01112	Prat.g_00131
OG0000228	Prbd.g_01111	Prat.g_00132
OG0000229	Prbd.g_01110	Prat.g_00133
OG0000230	Prbd.g_01109	Prat.g_00134
OG0000231	Prbd.g_01107	Prat.g_00601
OG0000232	Prbd.g_01106	Prat.g_00136
OG0000233	Prbd.g_01102	Prat.g_00139
OG0000234	Prbd.g_01100	Prat.g_00141
OG0000235	Prbd.g_01095	Prat.g_00144
OG0000236	Prbd.g_01094	Prat.g_00145
OG0000237	Prbd.g_01093	Prat.g_00146
OG0000238	Prbd.g_01092	Prat.g_00147
OG0000239	Prbd.g_01091	Prat.g_00148
OG0000240	Prbd.g_01089	Prat.g_00150
OG0000241	Prbd.g_01088	Prat.g_00151
OG0000242	Prbd.g_01087	Prat.g_00152
OG0000243	Prbd.g_01086	Prat.g_00153
OG0000244	Prbd.g_01085	Prat.g_00154
OG0000245	Prbd.g_01084	Prat.g_00156
OG0000246	Prbd.g_01082	Prat.g_00158
OG0000247	Prbd.g_01081	Prat.g_00159
OG0000248	Prbd.g_01080	Prat.g_00160
OG0000249	Prbd.g_01079	Prat.g_00161
OG0000250	Prbd.g_01078	Prat.g_00162
OG0000251	Prbd.g_01077	Prat.g_00163
OG0000252	Prbd.g_01076	Prat.g_00164
OG0000253	Prbd.g_01075	Prat.g_00165
OG0000254	Prbd.g_01073	Prat.g_00167
OG0000255	Prbd.g_01072	Prat.g_00169
OG0000256	Prbd.g_01069	Prat.g_00172
OG0000257	Prbd.g_01067	Prat.g_00174
OG0000258	Prbd.g_01066	Prat.g_00175
OG0000259	Prbd.g_01065	Prat.g_00176
OG0000260	Prbd.g_01064	Prat.g_00177
OG0000261	Prbd.g_01063	Prat.g_00178
OG0000262	Prbd.g_01062	Prat.g_00179
OG0000263	Prbd.g_01061	Prat.g_00180
OG0000264	Prbd.g_01059	Prat.g_00182
OG0000265	Prbd.g_01058	Prat.g_00183
OG0000266	Prbd.g_01057	Prat.g_00184
OG0000267	Prbd.g_01055	Prat.g_00186
OG0000268	Prbd.g_01054	Prat.g_00188
OG0000269	Prbd.g_01053	Prat.g_00189
OG0000270	Prbd.g_01052	Prat.g_00190
OG0000271	Prbd.g_01051	Prat.g_00191
OG0000272	Prbd.g_01050	Prat.g_00192
OG0000273	Prbd.g_01049	Prat.g_00193
OG0000274	Prbd.g_01048	Prat.g_00194
OG0000275	Prbd.g_01047	Prat.g_00195
OG0000276	Prbd.g_01046	Prat.g_00196
OG0000277	Prbd.g_01045	Prat.g_00197
OG0000278	Prbd.g_01044	Prat.g_00198
OG0000279	Prbd.g_01043	Prat.g_00199
OG0000280	Prbd.g_01042	Prat.g_00200
OG0000281	Prbd.g_01040	Prat.g_00202
OG0000282	Prbd.g_01039	Prat.g_00203
OG0000283	Prbd.g_01036	Prat.g_00206
OG0000284	Prbd.g_01035	Prat.g_00207
OG0000285	Prbd.g_01034	Prat.g_00208
OG0000286	Prbd.g_01032	Prat.g_00210
OG0000287	Prbd.g_01031	Prat.g_00211
OG0000288	Prbd.g_01030	Prat.g_00212
OG0000289	Prbd.g_01029	Prat.g_00213
OG0000290	Prbd.g_01028	Prat.g_00214
OG0000291	Prbd.g_01027	Prat.g_00215
OG0000292	Prbd.g_01026	Prat.g_00216
OG0000293	Prbd.g_01025	Prat.g_00217
OG0000294	Prbd.g_01024	Prat.g_00218
OG0000295	Prbd.g_01023	Prat.g_00219
OG0000296	Prbd.g_01022	Prat.g_00220
OG0000297	Prbd.g_01021	Prat.g_00221
OG0000298	Prbd.g_01020	Prat.g_00222
OG0000299	Prbd.g_01019	Prat.g_00223
OG0000300	Prbd.g_01018	Prat.g_00224
OG0000301	Prbd.g_01017	Prat.g_00225
OG0000302	Prbd.g_01016	Prat.g_00226
OG0000303	Prbd.g_01015	Prat.g_00227
OG0000304	Prbd.g_01013	Prat.g_00229
OG0000305	Prbd.g_01012	Prat.g_00230
OG0000306	Prbd.g_01011	Prat.g_00231
OG0000307	Prbd.g_01010	Prat.g_00233
OG0000308	Prbd.g_01009	Prat.g_00234
OG0000309	Prbd.g_01008	Prat.g_00235
OG0000310	Prbd.g_01007	Prat.g_00236
OG0000311	Prbd.g_01006	Prat.g_00238
OG0000312	Prbd.g_01004	Prat.g_00240
OG0000313	Prbd.g_01003	Prat.g_00241
OG0000314	Prbd.g_01000	Prat.g_00245
OG0000315	Prbd.g_00999	Prat.g_00246
OG0000316	Prbd.g_00997	Prat.g_00249
OG0000317	Prbd.g_00995	Prat.g_00250
OG0000318	Prbd.g_00994	Prat.g_00251
OG0000319	Prbd.g_00993	Prat.g_00252
OG0000320	Prbd.g_00992	Prat.g_00253
OG0000321	Prbd.g_00989	Prat.g_00256
OG0000322	Prbd.g_00986	Prat.g_00260
OG0000323	Prbd.g_00985	Prat.g_00261
OG0000324	Prbd.g_00982	Prat.g_00264
OG0000325	Prbd.g_00980	Prat.g_00266
OG0000326	Prbd.g_00979	Prat.g_00267
OG0000327	Prbd.g_00977	Prat.g_00269
OG0000328	Prbd.g_00976	Prat.g_00270
OG0000329	Prbd.g_00975	Prat.g_00271
OG0000330	Prbd.g_00974	Prat.g_00272
OG0000331	Prbd.g_00973	Prat.g_00273
OG0000332	Prbd.g_00972	Prat.g_00274
OG0000333	Prbd.g_00971	Prat.g_00275
OG0000334	Prbd.g_00970	Prat.g_00276
OG0000335	Prbd.g_00969	Prat.g_00277
OG0000336	Prbd.g_00968	Prat.g_00279
OG0000337	Prbd.g_00964	Prat.g_00282
OG0000338	Prbd.g_00963	Prat.g_00283
OG0000339	Prbd.g_00962	Prat.g_00284
OG0000340	Prbd.g_00961	Prat.g_00285
OG0000341	Prbd.g_00957	Prat.g_00290
OG0000342	Prbd.g_00956	Prat.g_00291
OG0000343	Prbd.g_00954	Prat.g_00293
OG0000344	Prbd.g_00953	Prat.g_00294
OG0000345	Prbd.g_00952	Prat.g_00295
OG0000346	Prbd.g_00951	Prat.g_00296
OG0000347	Prbd.g_00950	Prat.g_00297
OG0000348	Prbd.g_00949	Prat.g_00298
OG0000349	Prbd.g_00948	Prat.g_00299
OG0000350	Prbd.g_00947	Prat.g_00300
OG0000351	Prbd.g_00944	Prat.g_00303
OG0000352	Prbd.g_00941	Prat.g_00306
OG0000353	Prbd.g_00940	Prat.g_00307
OG0000354	Prbd.g_00939	Prat.g_00308
OG0000355	Prbd.g_00938	Prat.g_00309
OG0000356	Prbd.g_00937	Prat.g_00310
OG0000357	Prbd.g_00936	Prat.g_00311
OG0000358	Prbd.g_00935	Prat.g_00312
OG0000359	Prbd.g_00934	Prat.g_00313
OG0000360	Prbd.g_00931	Prat.g_00315
OG0000361	Prbd.g_00930	Prat.g_00316
OG0000362	Prbd.g_00929	Prat.g_00317
OG0000363	Prbd.g_00928	Prat.g_00318
OG0000364	Prbd.g_00927	Prat.g_00319
OG0000365	Prbd.g_00926	Prat.g_00320
OG0000366	Prbd.g_00925	Prat.g_00321
OG0000367	Prbd.g_00924	Prat.g_00322
OG0000368	Prbd.g_00923	Prat.g_00323
OG0000369	Prbd.g_00922	Prat.g_00324
OG0000370	Prbd.g_00921	Prat.g_00325
OG0000371	Prbd.g_00920	Prat.g_00326
OG0000372	Prbd.g_00918	Prat.g_00328
OG0000373	Prbd.g_00916	Prat.g_00330
OG0000374	Prbd.g_00915	Prat.g_00331
OG0000375	Prbd.g_00914	Prat.g_00332
OG0000376	Prbd.g_00912	Prat.g_00334
OG0000377	Prbd.g_00911	Prat.g_00340
OG0000378	Prbd.g_00910	Prat.g_00341
OG0000379	Prbd.g_00905	Prat.g_00348
OG0000380	Prbd.g_00904	Prat.g_00350
OG0000381	Prbd.g_00903	Prat.g_00351
OG0000382	Prbd.g_00901	Prat.g_00352
OG0000383	Prbd.g_00898	Prat.g_00355
OG0000384	Prbd.g_00897	Prat.g_00356
OG0000385	Prbd.g_00894	Prat.g_00359
OG0000386	Prbd.g_00893	Prat.g_00360
OG0000387	Prbd.g_00892	Prat.g_00361
OG0000388	Prbd.g_00891	Prat.g_00362
OG0000389	Prbd.g_00890	Prat.g_00363
OG0000390	Prbd.g_00889	Prat.g_00364
OG0000391	Prbd.g_00888	Prat.g_00365
OG0000392	Prbd.g_00887	Prat.g_00366
OG0000393	Prbd.g_00884	Prat.g_00369
OG0000394	Prbd.g_00883	Prat.g_00370
OG0000395	Prbd.g_00881	Prat.g_00373
OG0000396	Prbd.g_00880	Prat.g_00985
OG0000397	Prbd.g_00867	Prat.g_01203
OG0000398	Prbd.g_00859	Prat.g_01469
OG0000399	Prbd.g_00858	Prat.g_00671
OG0000400	Prbd.g_00852	Prat.g_01656
OG0000401	Prbd.g_00811	Prat.g_00390
OG0000402	Prbd.g_00810	Prat.g_00391
OG0000403	Prbd.g_00809	Prat.g_00392
OG0000404	Prbd.g_00807	Prat.g_00395
OG0000405	Prbd.g_00806	Prat.g_00396
OG0000406	Prbd.g_00804	Prat.g_00398
OG0000407	Prbd.g_00803	Prat.g_00399
OG0000408	Prbd.g_00802	Prat.g_00400
OG0000409	Prbd.g_00801	Prat.g_00401
OG0000410	Prbd.g_00800	Prat.g_00403
OG0000411	Prbd.g_00799	Prat.g_00404
OG0000412	Prbd.g_00798	Prat.g_00405
OG0000413	Prbd.g_00797	Prat.g_00406
OG0000414	Prbd.g_00796	Prat.g_00407
OG0000415	Prbd.g_00795	Prat.g_00408
OG0000416	Prbd.g_00794	Prat.g_00410
OG0000417	Prbd.g_00793	Prat.g_00411
OG0000418	Prbd.g_00792	Prat.g_00412
OG0000419	Prbd.g_00791	Prat.g_00413
OG0000420	Prbd.g_00790	Prat.g_00414
OG0000421	Prbd.g_00789	Prat.g_00415
OG0000422	Prbd.g_00787	Prat.g_00417
OG0000423	Prbd.g_00786	Prat.g_00418
OG0000424	Prbd.g_00784	Prat.g_00419
OG0000425	Prbd.g_00781	Prat.g_00424
OG0000426	Prbd.g_00780	Prat.g_00425
OG0000427	Prbd.g_00779	Prat.g_00426
OG0000428	Prbd.g_00778	Prat.g_00428
OG0000429	Prbd.g_00777	Prat.g_00429
OG0000430	Prbd.g_00771	Prat.g_00430
OG0000431	Prbd.g_00769	Prat.g_00432
OG0000432	Prbd.g_00768	Prat.g_00433
OG0000433	Prbd.g_00765	Prat.g_00436
OG0000434	Prbd.g_00764	Prat.g_00438
OG0000435	Prbd.g_00763	Prat.g_00439
OG0000436	Prbd.g_00761	Prat.g_00441
OG0000437	Prbd.g_00759	Prat.g_00443
OG0000438	Prbd.g_00758	Prat.g_00444
OG0000439	Prbd.g_00757	Prat.g_00445
OG0000440	Prbd.g_00755	Prat.g_00447
OG0000441	Prbd.g_00754	Prat.g_00448
OG0000442	Prbd.g_00753	Prat.g_00449
OG0000443	Prbd.g_00752	Prat.g_00450
OG0000444	Prbd.g_00751	Prat.g_00451
OG0000445	Prbd.g_00750	Prat.g_00453
OG0000446	Prbd.g_00749	Prat.g_00454
OG0000447	Prbd.g_00748	Prat.g_00455
OG0000448	Prbd.g_00747	Prat.g_00456
OG0000449	Prbd.g_00742	Prat.g_00463
OG0000450	Prbd.g_00741	Prat.g_00464
OG0000451	Prbd.g_00740	Prat.g_00465
OG0000452	Prbd.g_00739	Prat.g_00466
OG0000453	Prbd.g_00737	Prat.g_00468
OG0000454	Prbd.g_00736	Prat.g_00469
OG0000455	Prbd.g_00735	Prat.g_00470
OG0000456	Prbd.g_00734	Prat.g_00471
OG0000457	Prbd.g_00732	Prat.g_00473
OG0000458	Prbd.g_00730	Prat.g_00475
OG0000459	Prbd.g_00729	Prat.g_00476
OG0000460	Prbd.g_00727	Prat.g_00478
OG0000461	Prbd.g_00726	Prat.g_00479
OG0000462	Prbd.g_00725	Prat.g_00480
OG0000463	Prbd.g_00724	Prat.g_00482
OG0000464	Prbd.g_00719	Prat.g_00486
OG0000465	Prbd.g_00717	Prat.g_00487
OG0000466	Prbd.g_00716	Prat.g_00488
OG0000467	Prbd.g_00715	Prat.g_00489
OG0000468	Prbd.g_00714	Prat.g_00490
OG0000469	Prbd.g_00713	Prat.g_00491
OG0000470	Prbd.g_00712	Prat.g_00492
OG0000471	Prbd.g_00711	Prat.g_00493
OG0000472	Prbd.g_00708	Prat.g_00496
OG0000473	Prbd.g_00707	Prat.g_00497
OG0000474	Prbd.g_00706	Prat.g_00498
OG0000475	Prbd.g_00705	Prat.g_00499
OG0000476	Prbd.g_00704	Prat.g_00500
OG0000477	Prbd.g_00702	Prat.g_00501
OG0000478	Prbd.g_00701	Prat.g_00502
OG0000479	Prbd.g_00700	Prat.g_00503
OG0000480	Prbd.g_00698	Prat.g_00505
OG0000481	Prbd.g_00697	Prat.g_00506
OG0000482	Prbd.g_00696	Prat.g_00507
OG0000483	Prbd.g_00695	Prat.g_00508
OG0000484	Prbd.g_00694	Prat.g_00509
OG0000485	Prbd.g_00693	Prat.g_00510
OG0000486	Prbd.g_00692	Prat.g_00511
OG0000487	Prbd.g_00691	Prat.g_00512
OG0000488	Prbd.g_00689	Prat.g_00515
OG0000489	Prbd.g_00688	Prat.g_00516
OG0000490	Prbd.g_00687	Prat.g_00517
OG0000491	Prbd.g_00686	Prat.g_00518
OG0000492	Prbd.g_00685	Prat.g_00519
OG0000493	Prbd.g_00684	Prat.g_00520
OG0000494	Prbd.g_00682	Prat.g_00522
OG0000495	Prbd.g_00681	Prat.g_00523
OG0000496	Prbd.g_00680	Prat.g_00525
OG0000497	Prbd.g_00679	Prat.g_00527
OG0000498	Prbd.g_00678	Prat.g_00528
OG0000499	Prbd.g_00676	Prat.g_00530
OG0000500	Prbd.g_00675	Prat.g_00531
OG0000501	Prbd.g_00673	Prat.g_00533
OG0000502	Prbd.g_00672	Prat.g_00534
OG0000503	Prbd.g_00671	Prat.g_00536
OG0000504	Prbd.g_00670	Prat.g_00537
OG0000505	Prbd.g_00669	Prat.g_00538
OG0000506	Prbd.g_00668	Prat.g_00539
OG0000507	Prbd.g_00667	Prat.g_00540
OG0000508	Prbd.g_00665	Prat.g_00542
OG0000509	Prbd.g_00664	Prat.g_00543
OG0000510	Prbd.g_00663	Prat.g_00544
OG0000511	Prbd.g_00662	Prat.g_00545
OG0000512	Prbd.g_00661	Prat.g_00546
OG0000513	Prbd.g_00660	Prat.g_00547
OG0000514	Prbd.g_00659	Prat.g_00548
OG0000515	Prbd.g_00657	Prat.g_00549
OG0000516	Prbd.g_00656	Prat.g_00550
OG0000517	Prbd.g_00655	Prat.g_00551
OG0000518	Prbd.g_00653	Prat.g_00553
OG0000519	Prbd.g_00652	Prat.g_00554
OG0000520	Prbd.g_00651	Prat.g_00555
OG0000521	Prbd.g_00650	Prat.g_00556
OG0000522	Prbd.g_00649	Prat.g_00557
OG0000523	Prbd.g_00648	Prat.g_00558
OG0000524	Prbd.g_00647	Prat.g_00559
OG0000525	Prbd.g_00645	Prat.g_00561
OG0000526	Prbd.g_00644	Prat.g_00562
OG0000527	Prbd.g_00643	Prat.g_00563
OG0000528	Prbd.g_00642	Prat.g_00564
OG0000529	Prbd.g_00641	Prat.g_00565
OG0000530	Prbd.g_00640	Prat.g_00566
OG0000531	Prbd.g_00639	Prat.g_00568
OG0000532	Prbd.g_00638	Prat.g_00569
OG0000533	Prbd.g_00637	Prat.g_00570
OG0000534	Prbd.g_00636	Prat.g_00571
OG0000535	Prbd.g_00635	Prat.g_00572
OG0000536	Prbd.g_00634	Prat.g_00573
OG0000537	Prbd.g_00633	Prat.g_00574
OG0000538	Prbd.g_00632	Prat.g_00575
OG0000539	Prbd.g_00631	Prat.g_00576
OG0000540	Prbd.g_00630	Prat.g_00577
OG0000541	Prbd.g_00629	Prat.g_00579
OG0000542	Prbd.g_00628	Prat.g_00580
OG0000543	Prbd.g_00627	Prat.g_00581
OG0000544	Prbd.g_00626	Prat.g_00582
OG0000545	Prbd.g_00623	Prat.g_00584
OG0000546	Prbd.g_00622	Prat.g_00585
OG0000547	Prbd.g_00620	Prat.g_00587
OG0000548	Prbd.g_00619	Prat.g_00589
OG0000549	Prbd.g_00618	Prat.g_00590
OG0000550	Prbd.g_00617	Prat.g_00591
OG0000551	Prbd.g_00616	Prat.g_00592
OG0000552	Prbd.g_00615	Prat.g_00593
OG0000553	Prbd.g_00614	Prat.g_01097
OG0000554	Prbd.g_00613	Prat.g_01095
OG0000555	Prbd.g_00612	Prat.g_01094
OG0000556	Prbd.g_00611	Prat.g_01093
OG0000557	Prbd.g_00610	Prat.g_01091
OG0000558	Prbd.g_00609	Prat.g_01090
OG0000559	Prbd.g_00608	Prat.g_01089
OG0000560	Prbd.g_00606	Prat.g_01087
OG0000561	Prbd.g_00605	Prat.g_01086
OG0000562	Prbd.g_00604	Prat.g_01084
OG0000563	Prbd.g_00603	Prat.g_01083
OG0000564	Prbd.g_00602	Prat.g_01082
OG0000565	Prbd.g_00601	Prat.g_01081
OG0000566	Prbd.g_00600	Prat.g_01080
