Orthogroup	Prbf	Prax
OG0000054	Prbf.g_01889	Prax.g_00065
OG0000055	Prbf.g_00869, Prbf.g_00719	Prax.g_00392
OG0000057	Prbf.g_01261	Prax.g_00944
OG0000058	Prbf.g_00117	Prax.g_01823
OG0000059	Prbf.g_00606	Prax.g_01286
OG0000061	Prbf.g_00918	Prax.g_00200
OG0000062	Prbf.g_00242	Prax.g_01650
OG0000065	Prbf.g_01435	Prax.g_01112
OG0000066	Prbf.g_01820, Prbf.g_00781	Prax.g_00662
OG0000067	Prbf.g_01245	Prax.g_00373
OG0000068	Prbf.g_00095	Prax.g_01863
OG0000069	Prbf.g_01738	Prax.g_01616
OG0000070	Prbf.g_01734	Prax.g_00750
OG0000071	Prbf.g_00026	Prax.g_01899
OG0000072	Prbf.g_01505	Prax.g_01047
OG0000073	Prbf.g_01783	Prax.g_00702
OG0000074	Prbf.g_01281, Prbf.g_00836, Prbf.g_00295	Prax.g_00960
OG0000075	Prbf.g_00522	Prax.g_01370
OG0000076	Prbf.g_00496	Prax.g_01394
OG0000077	Prbf.g_01405	Prax.g_00649
OG0000078	Prbf.g_01578	Prax.g_00979
OG0000079	Prbf.g_01591	Prax.g_00923
OG0000081	Prbf.g_01812	Prax.g_00670
OG0000082	Prbf.g_01867, Prbf.g_00704	Prax.g_00045
OG0000084	Prbf.g_00154	Prax.g_01737
OG0000085	Prbf.g_00822, Prbf.g_00701	Prax.g_01566
OG0000086	Prbf.g_01414	Prax.g_00659
OG0000087	Prbf.g_01469	Prax.g_01079
OG0000088	Prbf.g_01500	Prax.g_01052
OG0000089	Prbf.g_01701	Prax.g_00817
OG0000090	Prbf.g_01814	Prax.g_00668
OG0000091	Prbf.g_00990	Prax.g_00101
OG0000092	Prbf.g_01315	Prax.g_00566
OG0000093	Prbf.g_01019	Prax.g_00588
OG0000094	Prbf.g_01068	Prax.g_01185
OG0000095	Prbf.g_01170	Prax.g_01204
OG0000096	Prbf.g_00306	Prax.g_00500, Prax.g_00141, Prax.g_01936
OG0000097	Prbf.g_00964	Prax.g_00241
OG0000098	Prbf.g_00071	Prax.g_01881
OG0000099	Prbf.g_00118	Prax.g_01825
OG0000100	Prbf.g_00236	Prax.g_01654
OG0000101	Prbf.g_00558	Prax.g_01338
OG0000102	Prbf.g_00491	Prax.g_01399
OG0000103	Prbf.g_00406	Prax.g_01478
OG0000104	Prbf.g_00397	Prax.g_01486
OG0000105	Prbf.g_01614	Prax.g_00901
OG0000106	Prbf.g_00320	Prax.g_00803
OG0000107	Prbf.g_00629	Prax.g_00790
OG0000108	Prbf.g_01763	Prax.g_00722
OG0000109	Prbf.g_01777	Prax.g_00707
OG0000110	Prbf.g_01856	Prax.g_00035
OG0000111	Prbf.g_01260	Prax.g_00943
OG0000112	Prbf.g_01929	Prax.g_00409
OG0000113	Prbf.g_01222	Prax.g_00351
OG0000114	Prbf.g_01320	Prax.g_00561
OG0000115	Prbf.g_00062	Prax.g_00132
OG0000116	Prbf.g_00907	Prax.g_00190
OG0000117	Prbf.g_00945	Prax.g_01959
OG0000118	Prbf.g_00013	Prax.g_01887
OG0000119	Prbf.g_00864, Prbf.g_00254	Prax.g_01867
OG0000120	Prbf.g_00115	Prax.g_01832
OG0000121	Prbf.g_00159	Prax.g_01726
OG0000122	Prbf.g_00055, Prbf.g_00200	Prax.g_01688
OG0000123	Prbf.g_00551	Prax.g_01345
OG0000124	Prbf.g_00478	Prax.g_01410
OG0000125	Prbf.g_00443	Prax.g_01447
OG0000126	Prbf.g_00398	Prax.g_01485
OG0000128	Prbf.g_00382	Prax.g_01974
OG0000129	Prbf.g_01367	Prax.g_00269
OG0000130	Prbf.g_01396	Prax.g_00640
OG0000131	Prbf.g_01478	Prax.g_01073
OG0000132	Prbf.g_01498	Prax.g_01054
OG0000133	Prbf.g_01661	Prax.g_00853, Prax.g_00852, Prax.g_01783
OG0000134	Prbf.g_01703	Prax.g_00816, Prax.g_01573
OG0000135	Prbf.g_00044	Prax.g_00792
OG0000136	Prbf.g_01725	Prax.g_00759
OG0000137	Prbf.g_01758	Prax.g_00727
OG0000138	Prbf.g_01778	Prax.g_00706
OG0000139	Prbf.g_01818	Prax.g_00664
OG0000140	Prbf.g_01819	Prax.g_00663
OG0000141	Prbf.g_01890	Prax.g_00066
OG0000142	Prbf.g_00982	Prax.g_00094
OG0000143	Prbf.g_00986	Prax.g_00098
OG0000144	Prbf.g_01000	Prax.g_00111
OG0000145	Prbf.g_00042	Prax.g_00413
OG0000146	Prbf.g_01928	Prax.g_00408
OG0000147	Prbf.g_01927	Prax.g_00407
OG0000148	Prbf.g_01228	Prax.g_00357
OG0000149	Prbf.g_01196	Prax.g_00326
OG0000150	Prbf.g_01186	Prax.g_00318
OG0000151	Prbf.g_01310	Prax.g_00571
OG0000152	Prbf.g_01117	Prax.g_01129
OG0000153	Prbf.g_01098	Prax.g_01148
OG0000154	Prbf.g_01078	Prax.g_01178
OG0000155	Prbf.g_00939	Prax.g_00220
OG0000156	Prbf.g_00037	Prax.g_01910
OG0000157	Prbf.g_00036	Prax.g_01909
OG0000158	Prbf.g_00514	Prax.g_01780
OG0000160	Prbf.g_00158	Prax.g_01727
OG0000161	Prbf.g_00164	Prax.g_01721
OG0000162	Prbf.g_00170	Prax.g_01715
OG0000163	Prbf.g_00209	Prax.g_01681
OG0000164	Prbf.g_00669	Prax.g_01535
OG0000165	Prbf.g_00662	Prax.g_01528
OG0000166	Prbf.g_00595	Prax.g_01302
OG0000167	Prbf.g_00524	Prax.g_01368
OG0000168	Prbf.g_00513	Prax.g_01378
OG0000169	Prbf.g_00503	Prax.g_01388
OG0000170	Prbf.g_00500	Prax.g_01390
OG0000171	Prbf.g_00479	Prax.g_01409
OG0000172	Prbf.g_00472	Prax.g_01418
OG0000173	Prbf.g_00457	Prax.g_01433
OG0000174	Prbf.g_00428	Prax.g_01460
OG0000175	Prbf.g_00415	Prax.g_01470
OG0000176	Prbf.g_00389	Prax.g_01494
OG0000177	Prbf.g_00388	Prax.g_01495
OG0000178	Prbf.g_00387	Prax.g_01496
OG0000179	Prbf.g_01338	Prax.g_00297
OG0000180	Prbf.g_01339	Prax.g_00296
OG0000181	Prbf.g_01340	Prax.g_00295
OG0000182	Prbf.g_01341	Prax.g_00294
OG0000183	Prbf.g_01345	Prax.g_00290
OG0000184	Prbf.g_01371	Prax.g_00621
OG0000185	Prbf.g_01374	Prax.g_00624
OG0000186	Prbf.g_01390	Prax.g_00635
OG0000187	Prbf.g_01391	Prax.g_00636
OG0000188	Prbf.g_01408	Prax.g_00653
OG0000189	Prbf.g_01422	Prax.g_01122
OG0000190	Prbf.g_01424	Prax.g_01121
OG0000191	Prbf.g_01447	Prax.g_01101
OG0000192	Prbf.g_01452	Prax.g_01097
OG0000193	Prbf.g_01479	Prax.g_01072
OG0000194	Prbf.g_01482	Prax.g_01069
OG0000195	Prbf.g_01484	Prax.g_01067
OG0000196	Prbf.g_01495	Prax.g_01057
OG0000197	Prbf.g_01496	Prax.g_01056
OG0000198	Prbf.g_01497	Prax.g_01055
OG0000199	Prbf.g_01504	Prax.g_01048
OG0000200	Prbf.g_01518	Prax.g_01034
OG0000201	Prbf.g_01527	Prax.g_01026
OG0000202	Prbf.g_01528	Prax.g_01025
OG0000203	Prbf.g_01529	Prax.g_01024
OG0000204	Prbf.g_01530	Prax.g_01023
OG0000205	Prbf.g_01537	Prax.g_01016
OG0000206	Prbf.g_01542	Prax.g_01011
OG0000207	Prbf.g_01545	Prax.g_01009
OG0000208	Prbf.g_01546	Prax.g_01008
OG0000209	Prbf.g_01555	Prax.g_00999
OG0000210	Prbf.g_01556	Prax.g_00998
OG0000211	Prbf.g_01571	Prax.g_00985
OG0000212	Prbf.g_01579	Prax.g_00978
OG0000213	Prbf.g_01597	Prax.g_00918
OG0000214	Prbf.g_01607	Prax.g_00908
OG0000215	Prbf.g_01634	Prax.g_00883
OG0000216	Prbf.g_01635	Prax.g_00881
OG0000217	Prbf.g_01638	Prax.g_00878
OG0000218	Prbf.g_01640	Prax.g_00876
OG0000219	Prbf.g_01641	Prax.g_00875
OG0000220	Prbf.g_01642	Prax.g_00874
OG0000221	Prbf.g_01643	Prax.g_00873
OG0000222	Prbf.g_01650	Prax.g_00865
OG0000223	Prbf.g_01662	Prax.g_00850
OG0000224	Prbf.g_01664	Prax.g_00848
OG0000225	Prbf.g_01690	Prax.g_00827
OG0000226	Prbf.g_01694	Prax.g_00823
OG0000227	Prbf.g_01696	Prax.g_00821
OG0000228	Prbf.g_01700	Prax.g_00818
OG0000229	Prbf.g_01720	Prax.g_00764
OG0000230	Prbf.g_01722	Prax.g_00762
OG0000231	Prbf.g_01733	Prax.g_00751
OG0000232	Prbf.g_01744	Prax.g_00743
OG0000233	Prbf.g_01750	Prax.g_00738
OG0000234	Prbf.g_01759	Prax.g_00726
OG0000235	Prbf.g_01762	Prax.g_00723
OG0000236	Prbf.g_01776	Prax.g_00708
OG0000237	Prbf.g_01789	Prax.g_00695
OG0000238	Prbf.g_01795	Prax.g_00689
OG0000239	Prbf.g_01806	Prax.g_00676
OG0000240	Prbf.g_01807	Prax.g_00675
OG0000241	Prbf.g_01811	Prax.g_00671
OG0000242	Prbf.g_01813	Prax.g_00669
OG0000243	Prbf.g_01824	Prax.g_00004
OG0000244	Prbf.g_01827	Prax.g_00007
OG0000245	Prbf.g_01829	Prax.g_00009
OG0000246	Prbf.g_01833	Prax.g_00013
OG0000247	Prbf.g_01843	Prax.g_00023
OG0000248	Prbf.g_01846	Prax.g_00025
OG0000249	Prbf.g_01848	Prax.g_00027
OG0000250	Prbf.g_01853	Prax.g_00032
OG0000251	Prbf.g_01873	Prax.g_00050
OG0000252	Prbf.g_01876	Prax.g_00053
OG0000253	Prbf.g_01877	Prax.g_00054
OG0000254	Prbf.g_01894	Prax.g_00070
OG0000255	Prbf.g_01900	Prax.g_00076
OG0000256	Prbf.g_01910	Prax.g_00086
OG0000257	Prbf.g_00977	Prax.g_00089
OG0000258	Prbf.g_00991	Prax.g_00102
OG0000259	Prbf.g_01008	Prax.g_00119
OG0000260	Prbf.g_01011	Prax.g_00122
OG0000261	Prbf.g_01014	Prax.g_00977
OG0000262	Prbf.g_01018	Prax.g_00973
OG0000263	Prbf.g_01282	Prax.g_00961
OG0000264	Prbf.g_01271	Prax.g_00951
OG0000265	Prbf.g_01253	Prax.g_00485
OG0000266	Prbf.g_01037	Prax.g_00475
OG0000267	Prbf.g_01049	Prax.g_00464
OG0000268	Prbf.g_01050	Prax.g_00463
OG0000269	Prbf.g_01250	Prax.g_00378
OG0000270	Prbf.g_01247	Prax.g_00375
OG0000271	Prbf.g_01239	Prax.g_00367
OG0000272	Prbf.g_01238	Prax.g_00366
OG0000273	Prbf.g_01214	Prax.g_00343
OG0000274	Prbf.g_01213	Prax.g_00342
OG0000275	Prbf.g_01210	Prax.g_00339
OG0000276	Prbf.g_01204	Prax.g_00334
OG0000277	Prbf.g_01203	Prax.g_00333
OG0000278	Prbf.g_01200	Prax.g_00330
OG0000279	Prbf.g_01193	Prax.g_00323
OG0000280	Prbf.g_01192	Prax.g_00322
OG0000281	Prbf.g_01185	Prax.g_00317
OG0000282	Prbf.g_01318	Prax.g_00563
OG0000283	Prbf.g_01141	Prax.g_00597
OG0000284	Prbf.g_01136	Prax.g_00602
OG0000285	Prbf.g_01131	Prax.g_00607
OG0000286	Prbf.g_01118	Prax.g_00619
OG0000287	Prbf.g_00065	Prax.g_01145
OG0000288	Prbf.g_01079	Prax.g_01177
OG0000289	Prbf.g_01063	Prax.g_01188
OG0000290	Prbf.g_01167	Prax.g_01201
OG0000291	Prbf.g_01169	Prax.g_01203
OG0000292	Prbf.g_00873	Prax.g_01759, Prax.g_01254
OG0000293	Prbf.g_00908	Prax.g_00191
OG0000294	Prbf.g_00909	Prax.g_00192
OG0000295	Prbf.g_00932	Prax.g_00212
OG0000296	Prbf.g_00934	Prax.g_00214
OG0000297	Prbf.g_00943	Prax.g_00222
OG0000298	Prbf.g_00944	Prax.g_00223
OG0000299	Prbf.g_00963	Prax.g_00240
OG0000300	Prbf.g_00966	Prax.g_00243
OG0000301	Prbf.g_00967	Prax.g_00244
OG0000302	Prbf.g_00969	Prax.g_00246
OG0000303	Prbf.g_00975	Prax.g_00253
OG0000304	Prbf.g_01915	Prax.g_00257
OG0000305	Prbf.g_00875	Prax.g_01871
OG0000306	Prbf.g_01181	Prax.g_01868
OG0000307	Prbf.g_00104	Prax.g_01854
OG0000308	Prbf.g_00105	Prax.g_01853
OG0000309	Prbf.g_00109	Prax.g_01849
OG0000310	Prbf.g_00143	Prax.g_01748
OG0000311	Prbf.g_00145	Prax.g_01746
OG0000312	Prbf.g_00148	Prax.g_01743
OG0000313	Prbf.g_00161	Prax.g_01724
OG0000314	Prbf.g_00184	Prax.g_01701
OG0000315	Prbf.g_00194	Prax.g_01691
OG0000316	Prbf.g_00219	Prax.g_01671
OG0000317	Prbf.g_00696	Prax.g_01561
OG0000318	Prbf.g_00692	Prax.g_01558
OG0000319	Prbf.g_00679	Prax.g_01545
OG0000320	Prbf.g_00677	Prax.g_01543
OG0000321	Prbf.g_00676	Prax.g_01542
OG0000322	Prbf.g_00675	Prax.g_01541
OG0000323	Prbf.g_00666	Prax.g_01532
OG0000324	Prbf.g_00639	Prax.g_01505
OG0000325	Prbf.g_00628	Prax.g_01263
OG0000326	Prbf.g_00621	Prax.g_01269
OG0000327	Prbf.g_00600	Prax.g_01297
OG0000328	Prbf.g_00599	Prax.g_01298
OG0000329	Prbf.g_00582	Prax.g_01315
OG0000330	Prbf.g_00581	Prax.g_01316
OG0000331	Prbf.g_00580	Prax.g_01317
OG0000332	Prbf.g_00566	Prax.g_01331
OG0000333	Prbf.g_00564	Prax.g_01333
OG0000334	Prbf.g_00555	Prax.g_01341
OG0000335	Prbf.g_00550	Prax.g_01346
OG0000336	Prbf.g_00546	Prax.g_01350
OG0000337	Prbf.g_00528	Prax.g_01366
OG0000338	Prbf.g_00527	Prax.g_01367
OG0000339	Prbf.g_00521	Prax.g_01371
OG0000340	Prbf.g_00512	Prax.g_01379
OG0000341	Prbf.g_00510	Prax.g_01381
OG0000342	Prbf.g_00509	Prax.g_01382
OG0000343	Prbf.g_00508	Prax.g_01383
OG0000344	Prbf.g_00505	Prax.g_01386
OG0000345	Prbf.g_00499	Prax.g_01391
OG0000346	Prbf.g_00495	Prax.g_01395
OG0000347	Prbf.g_00477	Prax.g_01411
OG0000348	Prbf.g_00469	Prax.g_01421
OG0000349	Prbf.g_00452	Prax.g_01438
OG0000350	Prbf.g_00351	Prax.g_01456
OG0000351	Prbf.g_00412	Prax.g_01473
OG0000352	Prbf.g_00411	Prax.g_01474
OG0000353	Prbf.g_00394	Prax.g_01489
OG0000355	Prbf.g_00392	Prax.g_01491
OG0000356	Prbf.g_00391	Prax.g_01492
OG0000357	Prbf.g_00390	Prax.g_01493
OG0000358	Prbf.g_00386	Prax.g_01497
OG0000359	Prbf.g_00385	Prax.g_01498
OG0000360	Prbf.g_00384	Prax.g_01499
OG0000361	Prbf.g_00383	Prax.g_01975
OG0000362	Prbf.g_00381	Prax.g_01973
OG0000363	Prbf.g_01336	Prax.g_00299
OG0000364	Prbf.g_01337	Prax.g_00298
OG0000365	Prbf.g_01342	Prax.g_00293
OG0000366	Prbf.g_01343	Prax.g_00292
OG0000367	Prbf.g_01344	Prax.g_00291
OG0000368	Prbf.g_01346	Prax.g_00289
OG0000369	Prbf.g_01347	Prax.g_00288
OG0000370	Prbf.g_01348	Prax.g_00287
OG0000371	Prbf.g_01355	Prax.g_00281
OG0000372	Prbf.g_01358	Prax.g_00278
OG0000373	Prbf.g_01359	Prax.g_00277
OG0000374	Prbf.g_01360	Prax.g_00276
OG0000375	Prbf.g_01362	Prax.g_00273
OG0000376	Prbf.g_01364	Prax.g_00271
OG0000377	Prbf.g_01368	Prax.g_00261
OG0000378	Prbf.g_01372	Prax.g_00622
OG0000379	Prbf.g_01375	Prax.g_00625
OG0000380	Prbf.g_01392	Prax.g_00637
OG0000381	Prbf.g_01397	Prax.g_00641
OG0000382	Prbf.g_01407	Prax.g_00652
OG0000383	Prbf.g_01409	Prax.g_00654
OG0000384	Prbf.g_01410	Prax.g_00655
OG0000385	Prbf.g_01411	Prax.g_00656
OG0000386	Prbf.g_01412	Prax.g_00657
OG0000387	Prbf.g_01426	Prax.g_01119
OG0000388	Prbf.g_01430	Prax.g_01116
OG0000389	Prbf.g_01433	Prax.g_01113
OG0000390	Prbf.g_01443	Prax.g_01106
OG0000391	Prbf.g_01446	Prax.g_01102
OG0000392	Prbf.g_01450	Prax.g_01098
OG0000393	Prbf.g_01453	Prax.g_01096
OG0000394	Prbf.g_01454	Prax.g_01095
OG0000395	Prbf.g_01455	Prax.g_01094
OG0000396	Prbf.g_01457	Prax.g_01091
OG0000397	Prbf.g_01459	Prax.g_01089
OG0000398	Prbf.g_01462	Prax.g_01087
OG0000399	Prbf.g_01463	Prax.g_01086
OG0000400	Prbf.g_01464	Prax.g_01085
OG0000401	Prbf.g_01465	Prax.g_01084
OG0000402	Prbf.g_01055	Prax.g_01082
OG0000403	Prbf.g_01467	Prax.g_01081
OG0000404	Prbf.g_01468	Prax.g_01080
OG0000405	Prbf.g_01472	Prax.g_01076
OG0000406	Prbf.g_01480	Prax.g_01071
OG0000407	Prbf.g_01481	Prax.g_01070
OG0000408	Prbf.g_01483	Prax.g_01068
OG0000409	Prbf.g_01485	Prax.g_01066
OG0000410	Prbf.g_01486	Prax.g_01065
OG0000411	Prbf.g_01487	Prax.g_01064
OG0000412	Prbf.g_01488	Prax.g_01063
OG0000413	Prbf.g_01490	Prax.g_01062
OG0000414	Prbf.g_01491	Prax.g_01061
OG0000415	Prbf.g_01492	Prax.g_01060
OG0000416	Prbf.g_01493	Prax.g_01059
OG0000417	Prbf.g_01494	Prax.g_01058
OG0000418	Prbf.g_01499	Prax.g_01053
OG0000419	Prbf.g_01501	Prax.g_01051
OG0000420	Prbf.g_01502	Prax.g_01050
OG0000421	Prbf.g_01507	Prax.g_01045
OG0000422	Prbf.g_01508	Prax.g_01044
OG0000423	Prbf.g_01509	Prax.g_01043
OG0000424	Prbf.g_01510	Prax.g_01042
OG0000425	Prbf.g_01511	Prax.g_01041
OG0000426	Prbf.g_01512	Prax.g_01040
OG0000427	Prbf.g_01513	Prax.g_01039
OG0000428	Prbf.g_01515	Prax.g_01037
OG0000429	Prbf.g_01516	Prax.g_01036
OG0000430	Prbf.g_01517	Prax.g_01035
OG0000431	Prbf.g_01519	Prax.g_01033
OG0000432	Prbf.g_01523	Prax.g_01030
OG0000433	Prbf.g_01524	Prax.g_01029
OG0000434	Prbf.g_01525	Prax.g_01028
OG0000435	Prbf.g_01526	Prax.g_01027
OG0000436	Prbf.g_01531	Prax.g_01022
OG0000437	Prbf.g_01532	Prax.g_01021
OG0000438	Prbf.g_01533	Prax.g_01020
OG0000439	Prbf.g_01535	Prax.g_01018
OG0000440	Prbf.g_01536	Prax.g_01017
OG0000441	Prbf.g_01539	Prax.g_01014
OG0000442	Prbf.g_01540	Prax.g_01013
OG0000443	Prbf.g_01541	Prax.g_01012
OG0000444	Prbf.g_01547	Prax.g_01007
OG0000445	Prbf.g_01548	Prax.g_01006
OG0000446	Prbf.g_01549	Prax.g_01005
OG0000447	Prbf.g_01550	Prax.g_01004
OG0000448	Prbf.g_01551	Prax.g_01003
OG0000449	Prbf.g_01552	Prax.g_01002
OG0000450	Prbf.g_01553	Prax.g_01001
OG0000451	Prbf.g_01554	Prax.g_01000
OG0000452	Prbf.g_01557	Prax.g_00997
OG0000453	Prbf.g_01558	Prax.g_00996
OG0000454	Prbf.g_01559	Prax.g_00995
OG0000455	Prbf.g_01560	Prax.g_00994
OG0000456	Prbf.g_01561	Prax.g_00993
OG0000457	Prbf.g_01563	Prax.g_00992
OG0000458	Prbf.g_01564	Prax.g_00991
OG0000459	Prbf.g_01565	Prax.g_00990
OG0000460	Prbf.g_01573	Prax.g_00983
OG0000461	Prbf.g_01581	Prax.g_00933
OG0000462	Prbf.g_01583	Prax.g_00931
OG0000463	Prbf.g_01584	Prax.g_00930
OG0000464	Prbf.g_01585	Prax.g_00929
OG0000465	Prbf.g_01586	Prax.g_00928
OG0000466	Prbf.g_01589	Prax.g_00925
OG0000467	Prbf.g_01590	Prax.g_00924
OG0000468	Prbf.g_01593	Prax.g_00922
OG0000469	Prbf.g_01601	Prax.g_00913
OG0000470	Prbf.g_01603	Prax.g_00911
OG0000471	Prbf.g_01604	Prax.g_00910
OG0000472	Prbf.g_01606	Prax.g_00909
OG0000473	Prbf.g_01608	Prax.g_00907
OG0000474	Prbf.g_01609	Prax.g_00906
OG0000475	Prbf.g_01610	Prax.g_00905
OG0000476	Prbf.g_01612	Prax.g_00904
OG0000477	Prbf.g_01615	Prax.g_00900
OG0000478	Prbf.g_01616	Prax.g_00899
OG0000479	Prbf.g_01617	Prax.g_00898
OG0000480	Prbf.g_01622	Prax.g_00893
OG0000481	Prbf.g_01625	Prax.g_00891
OG0000482	Prbf.g_01626	Prax.g_00890
OG0000483	Prbf.g_01629	Prax.g_00887
OG0000484	Prbf.g_01630	Prax.g_00886
OG0000485	Prbf.g_01632	Prax.g_00885
OG0000486	Prbf.g_01633	Prax.g_00884
OG0000487	Prbf.g_01636	Prax.g_00880
OG0000488	Prbf.g_01639	Prax.g_00877
OG0000489	Prbf.g_01644	Prax.g_00872
OG0000490	Prbf.g_01648	Prax.g_00867
OG0000491	Prbf.g_01649	Prax.g_00866
OG0000492	Prbf.g_01651	Prax.g_00864
OG0000493	Prbf.g_01652	Prax.g_00863
OG0000494	Prbf.g_01653	Prax.g_00862
OG0000495	Prbf.g_01654	Prax.g_00861
OG0000496	Prbf.g_01655	Prax.g_00860
OG0000497	Prbf.g_01656	Prax.g_00859
OG0000498	Prbf.g_01657	Prax.g_00858
OG0000499	Prbf.g_01658	Prax.g_00857
OG0000500	Prbf.g_01659	Prax.g_00856
OG0000501	Prbf.g_01660	Prax.g_00854
OG0000502	Prbf.g_01663	Prax.g_00849
OG0000503	Prbf.g_01678	Prax.g_00839
OG0000504	Prbf.g_01680	Prax.g_00838
OG0000505	Prbf.g_01681	Prax.g_00837
OG0000506	Prbf.g_01682	Prax.g_00835
OG0000507	Prbf.g_01685	Prax.g_00832
OG0000508	Prbf.g_01689	Prax.g_00828
OG0000509	Prbf.g_01691	Prax.g_00826
OG0000510	Prbf.g_01692	Prax.g_00825
OG0000511	Prbf.g_01693	Prax.g_00824
OG0000512	Prbf.g_01695	Prax.g_00822
OG0000513	Prbf.g_01704	Prax.g_00815
OG0000514	Prbf.g_01715	Prax.g_00769
OG0000515	Prbf.g_01716	Prax.g_00768
OG0000516	Prbf.g_01717	Prax.g_00767
OG0000517	Prbf.g_01719	Prax.g_00765
OG0000518	Prbf.g_01730	Prax.g_00754
OG0000519	Prbf.g_01731	Prax.g_00753
OG0000520	Prbf.g_01732	Prax.g_00752
OG0000521	Prbf.g_01740	Prax.g_00747
OG0000522	Prbf.g_01742	Prax.g_00746
OG0000523	Prbf.g_01743	Prax.g_00745
OG0000524	Prbf.g_01748	Prax.g_00740
OG0000525	Prbf.g_01752	Prax.g_00737
OG0000526	Prbf.g_01753	Prax.g_00736
OG0000527	Prbf.g_01756	Prax.g_00729
OG0000528	Prbf.g_01761	Prax.g_00724
OG0000529	Prbf.g_01764	Prax.g_00721
OG0000530	Prbf.g_01767	Prax.g_00718
OG0000531	Prbf.g_01768	Prax.g_00717
OG0000532	Prbf.g_01770	Prax.g_00715
OG0000533	Prbf.g_01771	Prax.g_00714
OG0000534	Prbf.g_01772	Prax.g_00713
OG0000535	Prbf.g_01773	Prax.g_00712
OG0000536	Prbf.g_01774	Prax.g_00711
OG0000537	Prbf.g_01775	Prax.g_00709
OG0000538	Prbf.g_01784	Prax.g_00701
OG0000539	Prbf.g_01785	Prax.g_00700
OG0000540	Prbf.g_01786	Prax.g_00699
OG0000541	Prbf.g_01787	Prax.g_00698
OG0000542	Prbf.g_01788	Prax.g_00696
OG0000543	Prbf.g_01790	Prax.g_00694
OG0000544	Prbf.g_01791	Prax.g_00693
OG0000545	Prbf.g_01793	Prax.g_00691
OG0000546	Prbf.g_01796	Prax.g_00688
OG0000547	Prbf.g_01798	Prax.g_00686
OG0000548	Prbf.g_01799	Prax.g_00685
OG0000549	Prbf.g_01801	Prax.g_00683
OG0000550	Prbf.g_01805	Prax.g_00678
OG0000551	Prbf.g_01808	Prax.g_00674
OG0000552	Prbf.g_01809	Prax.g_00673
OG0000553	Prbf.g_01810	Prax.g_00672
OG0000554	Prbf.g_01815	Prax.g_00667
OG0000555	Prbf.g_01823	Prax.g_00003
OG0000556	Prbf.g_01825	Prax.g_00005
OG0000557	Prbf.g_01826	Prax.g_00006
OG0000558	Prbf.g_01828	Prax.g_00008
