Orthogroup	Prbf	Prbd
OG0000041	Prbf.g_00729, Prbf.g_00735	Prbd.g_00833
OG0000042	Prbf.g_01253	Prbd.g_00007
OG0000043	Prbf.g_01153	Prbd.g_00087
OG0000044	Prbf.g_00918	Prbd.g_00468
OG0000045	Prbf.g_00117	Prbd.g_01733
OG0000046	Prbf.g_00822, Prbf.g_00701	Prbd.g_01532
OG0000047	Prbf.g_00496	Prbd.g_01335
OG0000048	Prbf.g_00487	Prbd.g_01328
OG0000050	Prbf.g_01354	Prbd.g_01206
OG0000051	Prbf.g_01491	Prbd.g_01083
OG0000052	Prbf.g_00320	Prbd.g_00868
OG0000053	Prbf.g_00781, Prbf.g_01820	Prbd.g_00703
OG0000055	Prbf.g_01222	Prbd.g_00124
OG0000057	Prbf.g_01575	Prbd.g_01002, Prbd.g_01537
OG0000058	Prbf.g_01758	Prbd.g_00767
OG0000059	Prbf.g_01261	Prbd.g_00546
OG0000062	Prbf.g_00788	Prbd.g_00427
OG0000063	Prbf.g_00945	Prbd.g_01895
OG0000065	Prbf.g_00026	Prbd.g_01801
OG0000066	Prbf.g_00115	Prbd.g_01737
OG0000068	Prbf.g_00558	Prbd.g_01391
OG0000071	Prbf.g_00382	Prbd.g_01226
OG0000072	Prbf.g_01661	Prbd.g_00917
OG0000073	Prbf.g_01018	Prbd.g_00575
OG0000074	Prbf.g_01271	Prbd.g_00553
OG0000075	Prbf.g_01238	Prbd.g_00109
OG0000076	Prbf.g_01170	Prbd.g_00340
OG0000077	Prbf.g_00777	Prbd.g_01913
OG0000078	Prbf.g_00118	Prbd.g_01734
OG0000079	Prbf.g_00242	Prbd.g_01610
OG0000080	Prbf.g_00346	Prbd.g_01561
OG0000081	Prbf.g_00524	Prbd.g_01361
OG0000083	Prbf.g_00390	Prbd.g_01234
OG0000084	Prbf.g_00387	Prbd.g_01231
OG0000085	Prbf.g_01345	Prbd.g_01214
OG0000087	Prbf.g_01374	Prbd.g_01188
OG0000088	Prbf.g_01443	Prbd.g_01131
OG0000089	Prbf.g_01452	Prbd.g_01122
OG0000090	Prbf.g_01469	Prbd.g_01104, Prbd.g_01103
OG0000091	Prbf.g_01503	Prbd.g_01071
OG0000092	Prbf.g_01504	Prbd.g_01070
OG0000093	Prbf.g_01518	Prbd.g_01056
OG0000094	Prbf.g_01537	Prbd.g_01038
OG0000095	Prbf.g_01542	Prbd.g_01033
OG0000096	Prbf.g_01590	Prbd.g_00988
OG0000097	Prbf.g_01614	Prbd.g_00965
OG0000099	Prbf.g_01635	Prbd.g_00945
OG0000100	Prbf.g_01638	Prbd.g_00942
OG0000101	Prbf.g_01703	Prbd.g_00882
OG0000102	Prbf.g_00044	Prbd.g_00855
OG0000103	Prbf.g_01759	Prbd.g_00766
OG0000104	Prbf.g_01763	Prbd.g_00762
OG0000105	Prbf.g_01783	Prbd.g_00743
OG0000106	Prbf.g_01813	Prbd.g_00710
OG0000107	Prbf.g_01814	Prbd.g_00709
OG0000108	Prbf.g_01824	Prbd.g_00699
OG0000109	Prbf.g_01833	Prbd.g_00690
OG0000110	Prbf.g_01850	Prbd.g_00674
OG0000111	Prbf.g_00999	Prbd.g_00593
OG0000112	Prbf.g_01000	Prbd.g_00592
OG0000113	Prbf.g_01050	Prbd.g_00029
OG0000114	Prbf.g_01247	Prbd.g_00100
OG0000115	Prbf.g_01117	Prbd.g_00264
OG0000116	Prbf.g_01113	Prbd.g_00268
OG0000117	Prbf.g_01167	Prbd.g_00337
OG0000118	Prbf.g_00873	Prbd.g_00389
OG0000119	Prbf.g_00785	Prbd.g_00430
OG0000120	Prbf.g_00924	Prbd.g_00474
OG0000121	Prbf.g_00947	Prbd.g_00493
OG0000122	Prbf.g_00967	Prbd.g_00512
OG0000123	Prbf.g_01915	Prbd.g_00525
OG0000124	Prbf.g_00253	Prbd.g_01921
OG0000125	Prbf.g_00013	Prbd.g_01789
OG0000126	Prbf.g_00095	Prbd.g_01764
OG0000127	Prbf.g_00145	Prbd.g_01702
OG0000128	Prbf.g_00158	Prbd.g_01688
OG0000129	Prbf.g_00194	Prbd.g_01652
OG0000130	Prbf.g_00696	Prbd.g_01527
OG0000131	Prbf.g_00657	Prbd.g_01489
OG0000132	Prbf.g_00654	Prbd.g_01486
OG0000133	Prbf.g_00600	Prbd.g_01432
OG0000134	Prbf.g_00564	Prbd.g_01396
OG0000135	Prbf.g_00562	Prbd.g_01394
OG0000136	Prbf.g_00512	Prbd.g_01350
OG0000137	Prbf.g_00477	Prbd.g_01317
OG0000138	Prbf.g_00443	Prbd.g_01281
OG0000139	Prbf.g_00412	Prbd.g_01255
OG0000140	Prbf.g_00392	Prbd.g_01236
OG0000141	Prbf.g_00391	Prbd.g_01235
OG0000142	Prbf.g_00389	Prbd.g_01233
OG0000143	Prbf.g_00388	Prbd.g_01232
OG0000144	Prbf.g_00386	Prbd.g_01230
OG0000145	Prbf.g_00385	Prbd.g_01229
OG0000146	Prbf.g_00384	Prbd.g_01228
OG0000147	Prbf.g_00383	Prbd.g_01227
OG0000148	Prbf.g_00381	Prbd.g_01225
OG0000149	Prbf.g_01336	Prbd.g_01223
OG0000150	Prbf.g_01337	Prbd.g_01222
OG0000151	Prbf.g_01338	Prbd.g_01221
OG0000152	Prbf.g_01339	Prbd.g_01220
OG0000153	Prbf.g_01340	Prbd.g_01219
OG0000154	Prbf.g_01341	Prbd.g_01218
OG0000155	Prbf.g_01342	Prbd.g_01217
OG0000156	Prbf.g_01343	Prbd.g_01216
OG0000157	Prbf.g_01344	Prbd.g_01215
OG0000158	Prbf.g_01346	Prbd.g_01213
OG0000159	Prbf.g_01347	Prbd.g_01212
OG0000160	Prbf.g_01348	Prbd.g_01211
OG0000161	Prbf.g_01349	Prbd.g_01210
OG0000162	Prbf.g_01350	Prbd.g_01209
OG0000163	Prbf.g_01352	Prbd.g_01208
OG0000164	Prbf.g_01355	Prbd.g_01205
OG0000165	Prbf.g_01358	Prbd.g_01202
OG0000166	Prbf.g_01359	Prbd.g_01201
OG0000167	Prbf.g_01360	Prbd.g_01200
OG0000168	Prbf.g_01362	Prbd.g_01198
OG0000169	Prbf.g_01364	Prbd.g_01196
OG0000170	Prbf.g_01366	Prbd.g_01195
OG0000171	Prbf.g_01367	Prbd.g_01194
OG0000172	Prbf.g_01368	Prbd.g_01192
OG0000173	Prbf.g_01371	Prbd.g_01191
OG0000174	Prbf.g_01372	Prbd.g_01190
OG0000175	Prbf.g_01373	Prbd.g_01189
OG0000176	Prbf.g_01375	Prbd.g_01187
OG0000177	Prbf.g_01376	Prbd.g_01186
OG0000178	Prbf.g_01378	Prbd.g_01185
OG0000179	Prbf.g_01390	Prbd.g_01180
OG0000180	Prbf.g_01391	Prbd.g_01179
OG0000181	Prbf.g_01392	Prbd.g_01178
OG0000182	Prbf.g_01396	Prbd.g_01175
OG0000183	Prbf.g_01397	Prbd.g_01174
OG0000184	Prbf.g_01400	Prbd.g_01171
OG0000185	Prbf.g_01404	Prbd.g_01167
OG0000186	Prbf.g_01405	Prbd.g_01166
OG0000187	Prbf.g_00291	Prbd.g_01165
OG0000188	Prbf.g_01406	Prbd.g_01164
OG0000189	Prbf.g_01407	Prbd.g_01163
OG0000190	Prbf.g_01408	Prbd.g_01162
OG0000191	Prbf.g_01409	Prbd.g_01161
OG0000192	Prbf.g_01410	Prbd.g_01160
OG0000193	Prbf.g_01411	Prbd.g_01159
OG0000194	Prbf.g_01412	Prbd.g_01158
OG0000195	Prbf.g_01414	Prbd.g_01156
OG0000196	Prbf.g_01415	Prbd.g_01155
OG0000197	Prbf.g_01416	Prbd.g_01154
OG0000198	Prbf.g_01417	Prbd.g_01153
OG0000199	Prbf.g_01420	Prbd.g_01150
OG0000200	Prbf.g_01421	Prbd.g_01149
OG0000201	Prbf.g_01422	Prbd.g_01148
OG0000202	Prbf.g_01424	Prbd.g_01147
OG0000203	Prbf.g_01425	Prbd.g_01146
OG0000204	Prbf.g_01426	Prbd.g_01145
OG0000205	Prbf.g_01428	Prbd.g_01144
OG0000206	Prbf.g_01429	Prbd.g_01143
OG0000207	Prbf.g_01430	Prbd.g_01142
OG0000208	Prbf.g_01431	Prbd.g_01141
OG0000209	Prbf.g_01432	Prbd.g_01140
OG0000210	Prbf.g_01433	Prbd.g_01138
OG0000211	Prbf.g_01435	Prbd.g_01137
OG0000212	Prbf.g_01436	Prbd.g_01136
OG0000213	Prbf.g_01437	Prbd.g_01135
OG0000214	Prbf.g_01441	Prbd.g_01133
OG0000215	Prbf.g_01442	Prbd.g_01132
OG0000216	Prbf.g_01444	Prbd.g_01130
OG0000217	Prbf.g_01445	Prbd.g_01128
OG0000218	Prbf.g_01446	Prbd.g_01127
OG0000219	Prbf.g_01447	Prbd.g_01126
OG0000220	Prbf.g_01450	Prbd.g_01123
OG0000221	Prbf.g_01453	Prbd.g_01121
OG0000222	Prbf.g_01454	Prbd.g_01120
OG0000223	Prbf.g_01455	Prbd.g_01119
OG0000224	Prbf.g_01457	Prbd.g_01116
OG0000225	Prbf.g_01459	Prbd.g_01114
OG0000226	Prbf.g_01461	Prbd.g_01113
OG0000227	Prbf.g_01462	Prbd.g_01112
OG0000228	Prbf.g_01463	Prbd.g_01111
OG0000229	Prbf.g_01464	Prbd.g_01110
OG0000230	Prbf.g_01465	Prbd.g_01109
OG0000231	Prbf.g_01055	Prbd.g_01107
OG0000232	Prbf.g_01467	Prbd.g_01106
OG0000233	Prbf.g_01470	Prbd.g_01102
OG0000234	Prbf.g_01472	Prbd.g_01100
OG0000235	Prbf.g_01478	Prbd.g_01095
OG0000236	Prbf.g_01479	Prbd.g_01094
OG0000237	Prbf.g_01480	Prbd.g_01093
OG0000238	Prbf.g_01481	Prbd.g_01092
OG0000239	Prbf.g_01482	Prbd.g_01091
OG0000240	Prbf.g_01484	Prbd.g_01089
OG0000241	Prbf.g_01485	Prbd.g_01088
OG0000242	Prbf.g_01486	Prbd.g_01087
OG0000243	Prbf.g_01487	Prbd.g_01086
OG0000244	Prbf.g_01488	Prbd.g_01085
OG0000245	Prbf.g_01490	Prbd.g_01084
OG0000246	Prbf.g_01492	Prbd.g_01082
OG0000247	Prbf.g_01493	Prbd.g_01081
OG0000248	Prbf.g_01494	Prbd.g_01080
OG0000249	Prbf.g_01495	Prbd.g_01079
OG0000250	Prbf.g_01496	Prbd.g_01078
OG0000251	Prbf.g_01497	Prbd.g_01077
OG0000252	Prbf.g_01498	Prbd.g_01076
OG0000253	Prbf.g_01499	Prbd.g_01075
OG0000254	Prbf.g_01501	Prbd.g_01073
OG0000255	Prbf.g_01502	Prbd.g_01072
OG0000256	Prbf.g_01505	Prbd.g_01069
OG0000257	Prbf.g_01507	Prbd.g_01067
OG0000258	Prbf.g_01508	Prbd.g_01066
OG0000259	Prbf.g_01509	Prbd.g_01065
OG0000260	Prbf.g_01510	Prbd.g_01064
OG0000261	Prbf.g_01511	Prbd.g_01063
OG0000262	Prbf.g_01512	Prbd.g_01062
OG0000263	Prbf.g_01513	Prbd.g_01061
OG0000264	Prbf.g_01515	Prbd.g_01059
OG0000265	Prbf.g_01516	Prbd.g_01058
OG0000266	Prbf.g_01517	Prbd.g_01057
OG0000267	Prbf.g_01519	Prbd.g_01055
OG0000268	Prbf.g_01521	Prbd.g_01054
OG0000269	Prbf.g_01522	Prbd.g_01053
OG0000270	Prbf.g_01523	Prbd.g_01052
OG0000271	Prbf.g_01524	Prbd.g_01051
OG0000272	Prbf.g_01525	Prbd.g_01050
OG0000273	Prbf.g_01526	Prbd.g_01049
OG0000274	Prbf.g_01527	Prbd.g_01048
OG0000275	Prbf.g_01528	Prbd.g_01047
OG0000276	Prbf.g_01529	Prbd.g_01046
OG0000277	Prbf.g_01530	Prbd.g_01045
OG0000278	Prbf.g_01531	Prbd.g_01044
OG0000279	Prbf.g_01532	Prbd.g_01043
OG0000280	Prbf.g_01533	Prbd.g_01042
OG0000281	Prbf.g_01535	Prbd.g_01040
OG0000282	Prbf.g_01536	Prbd.g_01039
OG0000283	Prbf.g_01539	Prbd.g_01036
OG0000284	Prbf.g_01540	Prbd.g_01035
OG0000285	Prbf.g_01541	Prbd.g_01034
OG0000286	Prbf.g_01543	Prbd.g_01032
OG0000287	Prbf.g_01545	Prbd.g_01031
OG0000288	Prbf.g_01546	Prbd.g_01030
OG0000289	Prbf.g_01547	Prbd.g_01029
OG0000290	Prbf.g_01548	Prbd.g_01028
OG0000291	Prbf.g_01549	Prbd.g_01027
OG0000292	Prbf.g_01550	Prbd.g_01026
OG0000293	Prbf.g_01551	Prbd.g_01025
OG0000294	Prbf.g_01552	Prbd.g_01024
OG0000295	Prbf.g_01553	Prbd.g_01023
OG0000296	Prbf.g_01554	Prbd.g_01022
OG0000297	Prbf.g_01555	Prbd.g_01021
OG0000298	Prbf.g_01556	Prbd.g_01020
OG0000299	Prbf.g_01557	Prbd.g_01019
OG0000300	Prbf.g_01558	Prbd.g_01018
OG0000301	Prbf.g_01559	Prbd.g_01017
OG0000302	Prbf.g_01560	Prbd.g_01016
OG0000303	Prbf.g_01561	Prbd.g_01015
OG0000304	Prbf.g_01563	Prbd.g_01013
OG0000305	Prbf.g_01564	Prbd.g_01012
OG0000306	Prbf.g_01565	Prbd.g_01011
OG0000307	Prbf.g_01567	Prbd.g_01010
OG0000308	Prbf.g_01568	Prbd.g_01009
OG0000309	Prbf.g_01569	Prbd.g_01008
OG0000310	Prbf.g_01570	Prbd.g_01007
OG0000311	Prbf.g_01571	Prbd.g_01006
OG0000312	Prbf.g_01573	Prbd.g_01004
OG0000313	Prbf.g_01574	Prbd.g_01003
OG0000314	Prbf.g_01578	Prbd.g_01000
OG0000315	Prbf.g_01579	Prbd.g_00999
OG0000316	Prbf.g_01581	Prbd.g_00997
OG0000317	Prbf.g_01583	Prbd.g_00995
OG0000318	Prbf.g_01584	Prbd.g_00994
OG0000319	Prbf.g_01585	Prbd.g_00993
OG0000320	Prbf.g_01586	Prbd.g_00992
OG0000321	Prbf.g_01589	Prbd.g_00989
OG0000322	Prbf.g_01593	Prbd.g_00986
OG0000323	Prbf.g_01594	Prbd.g_00985
OG0000324	Prbf.g_01597	Prbd.g_00982
OG0000325	Prbf.g_01598	Prbd.g_00980
OG0000326	Prbf.g_01599	Prbd.g_00979
OG0000327	Prbf.g_01601	Prbd.g_00977
OG0000328	Prbf.g_01602	Prbd.g_00976
OG0000329	Prbf.g_01603	Prbd.g_00975
OG0000330	Prbf.g_01604	Prbd.g_00974
OG0000331	Prbf.g_01606	Prbd.g_00973
OG0000332	Prbf.g_01607	Prbd.g_00972
OG0000333	Prbf.g_01608	Prbd.g_00971
OG0000334	Prbf.g_01609	Prbd.g_00970
OG0000335	Prbf.g_01610	Prbd.g_00969
OG0000336	Prbf.g_01612	Prbd.g_00968
OG0000337	Prbf.g_01615	Prbd.g_00964
OG0000338	Prbf.g_01616	Prbd.g_00963
OG0000339	Prbf.g_01617	Prbd.g_00962
OG0000340	Prbf.g_01618	Prbd.g_00961
OG0000341	Prbf.g_01622	Prbd.g_00957
OG0000342	Prbf.g_01623	Prbd.g_00956
OG0000343	Prbf.g_01626	Prbd.g_00954
OG0000344	Prbf.g_01627	Prbd.g_00953
OG0000345	Prbf.g_01628	Prbd.g_00952
OG0000346	Prbf.g_01629	Prbd.g_00951
OG0000347	Prbf.g_01630	Prbd.g_00950
OG0000348	Prbf.g_01632	Prbd.g_00949
OG0000349	Prbf.g_01633	Prbd.g_00948
OG0000350	Prbf.g_01634	Prbd.g_00947
OG0000351	Prbf.g_01636	Prbd.g_00944
OG0000352	Prbf.g_01639	Prbd.g_00941
OG0000353	Prbf.g_01640	Prbd.g_00940
OG0000354	Prbf.g_01641	Prbd.g_00939
OG0000355	Prbf.g_01642	Prbd.g_00938
OG0000356	Prbf.g_01643	Prbd.g_00937
OG0000357	Prbf.g_01644	Prbd.g_00936
OG0000358	Prbf.g_01645	Prbd.g_00935
OG0000359	Prbf.g_01646	Prbd.g_00934
OG0000360	Prbf.g_01648	Prbd.g_00931
OG0000361	Prbf.g_01649	Prbd.g_00930
OG0000362	Prbf.g_01650	Prbd.g_00929
OG0000363	Prbf.g_01651	Prbd.g_00928
OG0000364	Prbf.g_01652	Prbd.g_00927
OG0000365	Prbf.g_01653	Prbd.g_00926
OG0000366	Prbf.g_01654	Prbd.g_00925
OG0000367	Prbf.g_01655	Prbd.g_00924
OG0000368	Prbf.g_01656	Prbd.g_00923
OG0000369	Prbf.g_01657	Prbd.g_00922
OG0000370	Prbf.g_01658	Prbd.g_00921
OG0000371	Prbf.g_01659	Prbd.g_00920
OG0000372	Prbf.g_01660	Prbd.g_00918
OG0000373	Prbf.g_01662	Prbd.g_00916
OG0000374	Prbf.g_01663	Prbd.g_00915
OG0000375	Prbf.g_01664	Prbd.g_00914
OG0000376	Prbf.g_01665	Prbd.g_00912
OG0000377	Prbf.g_01671	Prbd.g_00911
OG0000378	Prbf.g_01672	Prbd.g_00910
OG0000379	Prbf.g_01678	Prbd.g_00905
OG0000380	Prbf.g_01680	Prbd.g_00904
OG0000381	Prbf.g_01681	Prbd.g_00903
OG0000382	Prbf.g_01682	Prbd.g_00901
OG0000383	Prbf.g_01685	Prbd.g_00898
OG0000384	Prbf.g_01686	Prbd.g_00897
OG0000385	Prbf.g_01689	Prbd.g_00894
OG0000386	Prbf.g_01690	Prbd.g_00893
OG0000387	Prbf.g_01691	Prbd.g_00892
OG0000388	Prbf.g_01692	Prbd.g_00891
OG0000389	Prbf.g_01693	Prbd.g_00890
OG0000390	Prbf.g_01694	Prbd.g_00889
OG0000391	Prbf.g_01695	Prbd.g_00888
OG0000392	Prbf.g_01696	Prbd.g_00887
OG0000393	Prbf.g_01700	Prbd.g_00884
OG0000394	Prbf.g_01701	Prbd.g_00883
OG0000395	Prbf.g_01704	Prbd.g_00881
OG0000396	Prbf.g_01190	Prbd.g_00880
OG0000397	Prbf.g_00874	Prbd.g_00867
OG0000398	Prbf.g_00741	Prbd.g_00859
OG0000399	Prbf.g_00879	Prbd.g_00858
OG0000400	Prbf.g_00629	Prbd.g_00852
OG0000401	Prbf.g_01715	Prbd.g_00811
OG0000402	Prbf.g_01716	Prbd.g_00810
OG0000403	Prbf.g_01717	Prbd.g_00809
OG0000404	Prbf.g_01719	Prbd.g_00807
OG0000405	Prbf.g_01720	Prbd.g_00806
OG0000406	Prbf.g_01722	Prbd.g_00804
OG0000407	Prbf.g_01723	Prbd.g_00803
OG0000408	Prbf.g_01724	Prbd.g_00802
OG0000409	Prbf.g_01725	Prbd.g_00801
OG0000410	Prbf.g_01726	Prbd.g_00800
OG0000411	Prbf.g_01727	Prbd.g_00799
OG0000412	Prbf.g_01728	Prbd.g_00798
OG0000413	Prbf.g_01729	Prbd.g_00797
OG0000414	Prbf.g_01730	Prbd.g_00796
OG0000415	Prbf.g_01731	Prbd.g_00795
OG0000416	Prbf.g_01732	Prbd.g_00794
OG0000417	Prbf.g_01733	Prbd.g_00793
OG0000418	Prbf.g_01734	Prbd.g_00792
OG0000419	Prbf.g_01735	Prbd.g_00791
OG0000420	Prbf.g_01736	Prbd.g_00790
OG0000421	Prbf.g_01740	Prbd.g_00789
OG0000422	Prbf.g_01742	Prbd.g_00787
OG0000423	Prbf.g_01743	Prbd.g_00786
OG0000424	Prbf.g_01744	Prbd.g_00784
OG0000425	Prbf.g_01748	Prbd.g_00781
OG0000426	Prbf.g_01749	Prbd.g_00780
OG0000427	Prbf.g_01750	Prbd.g_00779
OG0000428	Prbf.g_01752	Prbd.g_00778
OG0000429	Prbf.g_01753	Prbd.g_00777
OG0000430	Prbf.g_01754	Prbd.g_00771
OG0000431	Prbf.g_01756	Prbd.g_00769
OG0000432	Prbf.g_01757	Prbd.g_00768
OG0000433	Prbf.g_01760	Prbd.g_00765
OG0000434	Prbf.g_01761	Prbd.g_00764
OG0000435	Prbf.g_01762	Prbd.g_00763
OG0000436	Prbf.g_01764	Prbd.g_00761
OG0000437	Prbf.g_01766	Prbd.g_00759
OG0000438	Prbf.g_01767	Prbd.g_00758
OG0000439	Prbf.g_01768	Prbd.g_00757
OG0000440	Prbf.g_01770	Prbd.g_00755
OG0000441	Prbf.g_01771	Prbd.g_00754
OG0000442	Prbf.g_01772	Prbd.g_00753
OG0000443	Prbf.g_01773	Prbd.g_00752
OG0000444	Prbf.g_01774	Prbd.g_00751
OG0000445	Prbf.g_01775	Prbd.g_00750
OG0000446	Prbf.g_01776	Prbd.g_00749
OG0000447	Prbf.g_01777	Prbd.g_00748
OG0000448	Prbf.g_01778	Prbd.g_00747
OG0000449	Prbf.g_01784	Prbd.g_00742
OG0000450	Prbf.g_01785	Prbd.g_00741
OG0000451	Prbf.g_01786	Prbd.g_00740
OG0000452	Prbf.g_01787	Prbd.g_00739
OG0000453	Prbf.g_01788	Prbd.g_00737
OG0000454	Prbf.g_01789	Prbd.g_00736
OG0000455	Prbf.g_01790	Prbd.g_00735
OG0000456	Prbf.g_01791	Prbd.g_00734
OG0000457	Prbf.g_01793	Prbd.g_00732
OG0000458	Prbf.g_01795	Prbd.g_00730
OG0000459	Prbf.g_01796	Prbd.g_00729
OG0000460	Prbf.g_01798	Prbd.g_00727
OG0000461	Prbf.g_01799	Prbd.g_00726
OG0000462	Prbf.g_01800	Prbd.g_00725
OG0000463	Prbf.g_01801	Prbd.g_00724
OG0000464	Prbf.g_01805	Prbd.g_00719
OG0000465	Prbf.g_01806	Prbd.g_00717
OG0000466	Prbf.g_01807	Prbd.g_00716
OG0000467	Prbf.g_01808	Prbd.g_00715
OG0000468	Prbf.g_01809	Prbd.g_00714
OG0000469	Prbf.g_01810	Prbd.g_00713
OG0000470	Prbf.g_01811	Prbd.g_00712
OG0000471	Prbf.g_01812	Prbd.g_00711
OG0000472	Prbf.g_01815	Prbd.g_00708
OG0000473	Prbf.g_01816	Prbd.g_00707
OG0000474	Prbf.g_01817	Prbd.g_00706
OG0000475	Prbf.g_01818	Prbd.g_00705
OG0000476	Prbf.g_01819	Prbd.g_00704
OG0000477	Prbf.g_01821	Prbd.g_00702
OG0000478	Prbf.g_01822	Prbd.g_00701
OG0000479	Prbf.g_01823	Prbd.g_00700
OG0000480	Prbf.g_01825	Prbd.g_00698
OG0000481	Prbf.g_01826	Prbd.g_00697
OG0000482	Prbf.g_01827	Prbd.g_00696
OG0000483	Prbf.g_01828	Prbd.g_00695
OG0000484	Prbf.g_01829	Prbd.g_00694
OG0000485	Prbf.g_01830	Prbd.g_00693
OG0000486	Prbf.g_01831	Prbd.g_00692
OG0000487	Prbf.g_01832	Prbd.g_00691
OG0000488	Prbf.g_01834	Prbd.g_00689
OG0000489	Prbf.g_01835	Prbd.g_00688
OG0000490	Prbf.g_01836	Prbd.g_00687
OG0000491	Prbf.g_01837	Prbd.g_00686
OG0000492	Prbf.g_01838	Prbd.g_00685
OG0000493	Prbf.g_01839	Prbd.g_00684
OG0000494	Prbf.g_01840	Prbd.g_00682
OG0000495	Prbf.g_01841	Prbd.g_00681
OG0000496	Prbf.g_01843	Prbd.g_00680
OG0000497	Prbf.g_01845	Prbd.g_00679
OG0000498	Prbf.g_01846	Prbd.g_00678
OG0000499	Prbf.g_01848	Prbd.g_00676
OG0000500	Prbf.g_01849	Prbd.g_00675
OG0000501	Prbf.g_01851	Prbd.g_00673
OG0000502	Prbf.g_01852	Prbd.g_00672
OG0000503	Prbf.g_01853	Prbd.g_00671
OG0000504	Prbf.g_01854	Prbd.g_00670
OG0000505	Prbf.g_01855	Prbd.g_00669
OG0000506	Prbf.g_01856	Prbd.g_00668
OG0000507	Prbf.g_01857	Prbd.g_00667
OG0000508	Prbf.g_01859	Prbd.g_00665
OG0000509	Prbf.g_01860	Prbd.g_00664
OG0000510	Prbf.g_01861	Prbd.g_00663
OG0000511	Prbf.g_01862	Prbd.g_00662
OG0000512	Prbf.g_01863	Prbd.g_00661
OG0000513	Prbf.g_01864	Prbd.g_00660
OG0000514	Prbf.g_01865	Prbd.g_00659
OG0000515	Prbf.g_01868	Prbd.g_00657
OG0000516	Prbf.g_01869	Prbd.g_00656
OG0000517	Prbf.g_01870	Prbd.g_00655
OG0000518	Prbf.g_01873	Prbd.g_00653
OG0000519	Prbf.g_01874	Prbd.g_00652
OG0000520	Prbf.g_01875	Prbd.g_00651
OG0000521	Prbf.g_01876	Prbd.g_00650
OG0000522	Prbf.g_01877	Prbd.g_00649
OG0000523	Prbf.g_01878	Prbd.g_00648
OG0000524	Prbf.g_01879	Prbd.g_00647
OG0000525	Prbf.g_01881	Prbd.g_00645
OG0000526	Prbf.g_01882	Prbd.g_00644
OG0000527	Prbf.g_01883	Prbd.g_00643
OG0000528	Prbf.g_01884	Prbd.g_00642
OG0000529	Prbf.g_01885	Prbd.g_00641
OG0000530	Prbf.g_01886	Prbd.g_00640
OG0000531	Prbf.g_01888	Prbd.g_00639
OG0000532	Prbf.g_01889	Prbd.g_00638
OG0000533	Prbf.g_01890	Prbd.g_00637
OG0000534	Prbf.g_01891	Prbd.g_00636
OG0000535	Prbf.g_01892	Prbd.g_00635
OG0000536	Prbf.g_01893	Prbd.g_00634
OG0000537	Prbf.g_01894	Prbd.g_00633
OG0000538	Prbf.g_01895	Prbd.g_00632
OG0000539	Prbf.g_01896	Prbd.g_00631
OG0000540	Prbf.g_01897	Prbd.g_00630
OG0000541	Prbf.g_01898	Prbd.g_00629
OG0000542	Prbf.g_01899	Prbd.g_00628
OG0000543	Prbf.g_01900	Prbd.g_00627
OG0000544	Prbf.g_01901	Prbd.g_00626
OG0000545	Prbf.g_01903	Prbd.g_00623
OG0000546	Prbf.g_01904	Prbd.g_00622
