Orthogroup	Praf	Syat
OG0000215	Praf.g_02293	Syat.g_02075
OG0000216	Praf.g_02296	Syat.g_02079
OG0000217	Praf.g_02300	Syat.g_02085
OG0000218	Praf.g_02302	Syat.g_02087
OG0000219	Praf.g_02303	Syat.g_02088
OG0000220	Praf.g_02304	Syat.g_02089
OG0000221	Praf.g_02314	Syat.g_02095
OG0000222	Praf.g_02323	Syat.g_02109
OG0000223	Praf.g_02347	Syat.g_02570
OG0000224	Praf.g_02358	Syat.g_02139
OG0000225	Praf.g_02030	Syat.g_01595
OG0000226	Praf.g_02026	Syat.g_01588
OG0000228	Praf.g_02016	Syat.g_02952
OG0000229	Praf.g_01989	Syat.g_02970
OG0000230	Praf.g_01987	Syat.g_02972
OG0000231	Praf.g_01963	Syat.g_01283
OG0000232	Praf.g_01952	Syat.g_01313
OG0000233	Praf.g_01938	Syat.g_01407
OG0000234	Praf.g_01905	Syat.g_01369
OG0000235	Praf.g_00594	Syat.g_03169
OG0000236	Praf.g_00610	Syat.g_03186
OG0000237	Praf.g_00627	Syat.g_03214
OG0000238	Praf.g_00631	Syat.g_03219
OG0000239	Praf.g_00647	Syat.g_01105
OG0000240	Praf.g_00648	Syat.g_01104
OG0000241	Praf.g_01177	Syat.g_00111
OG0000242	Praf.g_00658	Syat.g_01077
OG0000243	Praf.g_00681	Syat.g_00092
OG0000244	Praf.g_00685	Syat.g_00082
OG0000245	Praf.g_00688	Syat.g_00080
OG0000246	Praf.g_00692	Syat.g_00076
OG0000247	Praf.g_00703	Syat.g_00065
OG0000248	Praf.g_00706	Syat.g_00062
OG0000249	Praf.g_00708	Syat.g_00060
OG0000250	Praf.g_00714	Syat.g_00053
OG0000251	Praf.g_00739	Syat.g_00027
OG0000252	Praf.g_00742	Syat.g_00022
OG0000253	Praf.g_00749	Syat.g_00021
OG0000254	Praf.g_00768	Syat.g_03407
OG0000255	Praf.g_01662	Syat.g_02405
OG0000256	Praf.g_01676	Syat.g_03306
OG0000257	Praf.g_01685	Syat.g_00109
OG0000258	Praf.g_01708	Syat.g_00382
OG0000259	Praf.g_01736	Syat.g_00342
OG0000260	Praf.g_01739	Syat.g_00392
OG0000261	Praf.g_01742	Syat.g_00400
OG0000262	Praf.g_01748	Syat.g_00407
OG0000263	Praf.g_02570	Syat.g_00200
OG0000266	Praf.g_01313	Syat.g_00671
OG0000267	Praf.g_01436	Syat.g_00636
OG0000268	Praf.g_01435	Syat.g_00634
OG0000269	Praf.g_01525	Syat.g_00474, Syat.g_00126
OG0000270	Praf.g_01528	Syat.g_00477
OG0000271	Praf.g_01536	Syat.g_00485
OG0000272	Praf.g_01537	Syat.g_00486
OG0000274	Praf.g_01586	Syat.g_00521
OG0000275	Praf.g_01590	Syat.g_00718
OG0000276	Praf.g_01596	Syat.g_00725
OG0000277	Praf.g_01597	Syat.g_00738
OG0000278	Praf.g_01600	Syat.g_00741
OG0000279	Praf.g_01608	Syat.g_00755
OG0000280	Praf.g_01614	Syat.g_01669
OG0000281	Praf.g_01627	Syat.g_00960
OG0000282	Praf.g_01463	Syat.g_00431
OG0000283	Praf.g_01426	Syat.g_00620
OG0000284	Praf.g_01420	Syat.g_00614
OG0000285	Praf.g_01006	Syat.g_00607
OG0000286	Praf.g_01393	Syat.g_00579
OG0000287	Praf.g_01073	Syat.g_00550
OG0000288	Praf.g_01338	Syat.g_00709
OG0000289	Praf.g_01325	Syat.g_00695
OG0000290	Praf.g_01277	Syat.g_00805
OG0000291	Praf.g_01275	Syat.g_00807
OG0000292	Praf.g_02776	Syat.g_02388
OG0000293	Praf.g_00826	Syat.g_03241
OG0000294	Praf.g_00827	Syat.g_03248
OG0000295	Praf.g_00879	Syat.g_00297
OG0000296	Praf.g_00881	Syat.g_00295
OG0000297	Praf.g_00917	Syat.g_00226
OG0000298	Praf.g_00918	Syat.g_00225
OG0000299	Praf.g_00908	Syat.g_00910
OG0000300	Praf.g_00902	Syat.g_00904
OG0000301	Praf.g_00901	Syat.g_00903
OG0000302	Praf.g_00898	Syat.g_00901
OG0000303	Praf.g_00888	Syat.g_00892
OG0000304	Praf.g_00938	Syat.g_00885
OG0000305	Praf.g_01271	Syat.g_00809
OG0000306	Praf.g_01635	Syat.g_01704
OG0000307	Praf.g_00575	Syat.g_01304
OG0000308	Praf.g_00573	Syat.g_01306
OG0000309	Praf.g_00569	Syat.g_01417
OG0000310	Praf.g_01772	Syat.g_01246
OG0000311	Praf.g_01778, Praf.g_01776	Syat.g_01242
OG0000312	Praf.g_01782	Syat.g_01237
OG0000313	Praf.g_01802	Syat.g_01183
OG0000314	Praf.g_01837	Syat.g_01341
OG0000315	Praf.g_01848	Syat.g_01351
OG0000316	Praf.g_00526	Syat.g_03082
OG0000317	Praf.g_00485	Syat.g_03120
OG0000318	Praf.g_00479	Syat.g_03125
OG0000319	Praf.g_00464	Syat.g_03055
OG0000320	Praf.g_00462	Syat.g_03053
OG0000321	Praf.g_00461	Syat.g_03052
OG0000322	Praf.g_00460	Syat.g_03051
OG0000323	Praf.g_00449	Syat.g_03038
OG0000324	Praf.g_00419	Syat.g_02998
OG0000325	Praf.g_02200	Syat.g_01861
OG0000326	Praf.g_02193	Syat.g_01854
OG0000327	Praf.g_02162	Syat.g_01827
OG0000328	Praf.g_02161	Syat.g_01826
OG0000329	Praf.g_02144	Syat.g_01808
OG0000330	Praf.g_02143	Syat.g_01807
OG0000331	Praf.g_02142	Syat.g_01806
OG0000332	Praf.g_02127	Syat.g_01790
OG0000333	Praf.g_02125	Syat.g_01787
OG0000334	Praf.g_02112	Syat.g_01657
OG0000335	Praf.g_02107	Syat.g_01652
OG0000336	Praf.g_02103	Syat.g_01648
OG0000337	Praf.g_02372	Syat.g_02144
OG0000338	Praf.g_02375	Syat.g_02146
OG0000339	Praf.g_02386	Syat.g_02155, Syat.g_01055
OG0000340	Praf.g_02396	Syat.g_02165
OG0000341	Praf.g_02398	Syat.g_02167
OG0000342	Praf.g_02399	Syat.g_02168
OG0000343	Praf.g_00196	Syat.g_02185
OG0000344	Praf.g_00193	Syat.g_02189
OG0000345	Praf.g_00182	Syat.g_02202
OG0000346	Praf.g_00177	Syat.g_02207
OG0000347	Praf.g_00152	Syat.g_02234
OG0000348	Praf.g_00081	Syat.g_02264
OG0000349	Praf.g_00054	Syat.g_02291
OG0000350	Praf.g_02699	Syat.g_01847
OG0000351	Praf.g_02757	Syat.g_02411
OG0000352	Praf.g_02758	Syat.g_02410
OG0000353	Praf.g_02782	Syat.g_00955, Syat.g_02377
OG0000354	Praf.g_00637	Syat.g_03225
OG0000354	Praf.g_00019	Syat.g_02325
OG0000355	Praf.g_00001	Syat.g_02375
OG0000356	Praf.g_00002	Syat.g_02374
OG0000357	Praf.g_00003	Syat.g_02373
OG0000358	Praf.g_00007	Syat.g_02336
OG0000359	Praf.g_00009	Syat.g_02334
OG0000360	Praf.g_00010	Syat.g_02333
OG0000361	Praf.g_00011	Syat.g_02332
OG0000362	Praf.g_00013	Syat.g_02330
OG0000363	Praf.g_00015	Syat.g_02328
OG0000364	Praf.g_00016	Syat.g_03122
OG0000365	Praf.g_00025	Syat.g_02318
OG0000366	Praf.g_00026	Syat.g_02317
OG0000367	Praf.g_00027	Syat.g_02316
OG0000368	Praf.g_00029	Syat.g_02314
OG0000369	Praf.g_00030	Syat.g_02313
OG0000370	Praf.g_00031	Syat.g_02312
OG0000371	Praf.g_00040	Syat.g_02304
OG0000372	Praf.g_00045	Syat.g_02298
OG0000373	Praf.g_00046	Syat.g_02297
OG0000374	Praf.g_00047	Syat.g_02296
OG0000375	Praf.g_00050	Syat.g_02295
OG0000376	Praf.g_00052	Syat.g_02293
OG0000377	Praf.g_02618	Syat.g_02695
OG0000378	Praf.g_02605	Syat.g_02715
OG0000379	Praf.g_02601	Syat.g_02720
OG0000380	Praf.g_00325	Syat.g_01468
OG0000381	Praf.g_00320	Syat.g_01470
OG0000382	Praf.g_00304	Syat.g_01488
OG0000383	Praf.g_00302	Syat.g_01521
OG0000384	Praf.g_00301	Syat.g_01522
OG0000385	Praf.g_00300	Syat.g_01523
OG0000386	Praf.g_00299	Syat.g_01524
OG0000387	Praf.g_00253	Syat.g_01561
OG0000388	Praf.g_00249	Syat.g_01565
OG0000389	Praf.g_00245	Syat.g_01569
OG0000390	Praf.g_00224	Syat.g_02945
OG0000391	Praf.g_00219	Syat.g_02940
OG0000392	Praf.g_00214	Syat.g_02934
OG0000393	Praf.g_00209	Syat.g_02931
OG0000394	Praf.g_00208	Syat.g_02930
OG0000395	Praf.g_00207	Syat.g_02929
OG0000396	Praf.g_02403	Syat.g_02927
OG0000397	Praf.g_02405	Syat.g_02925
OG0000398	Praf.g_02410	Syat.g_02920
OG0000399	Praf.g_02411	Syat.g_02919
OG0000400	Praf.g_02412	Syat.g_02918
OG0000401	Praf.g_02413	Syat.g_02917
OG0000402	Praf.g_02415	Syat.g_02915
OG0000403	Praf.g_02416	Syat.g_02914
OG0000404	Praf.g_02418	Syat.g_02913
OG0000405	Praf.g_02430	Syat.g_02900
OG0000406	Praf.g_02434	Syat.g_02896
OG0000407	Praf.g_02435	Syat.g_02895
OG0000408	Praf.g_02437	Syat.g_02893
OG0000409	Praf.g_02439	Syat.g_02891
OG0000410	Praf.g_02440	Syat.g_02890
OG0000411	Praf.g_02441	Syat.g_02889
OG0000412	Praf.g_02442	Syat.g_02888
OG0000413	Praf.g_02444	Syat.g_02886
OG0000414	Praf.g_02445	Syat.g_02885
OG0000415	Praf.g_02446	Syat.g_02884
OG0000416	Praf.g_02447	Syat.g_02883
OG0000417	Praf.g_02448	Syat.g_02868
OG0000418	Praf.g_02453	Syat.g_02863
OG0000419	Praf.g_02455	Syat.g_02861
OG0000420	Praf.g_02456	Syat.g_02859
OG0000421	Praf.g_02470	Syat.g_02855
OG0000422	Praf.g_02471	Syat.g_02854
OG0000423	Praf.g_02472	Syat.g_02853
OG0000424	Praf.g_02473	Syat.g_02852
OG0000425	Praf.g_02474	Syat.g_02851
OG0000426	Praf.g_02475	Syat.g_02850
OG0000427	Praf.g_02476	Syat.g_02849
OG0000428	Praf.g_01486	Syat.g_02846
OG0000429	Praf.g_02489	Syat.g_02843
OG0000430	Praf.g_02491	Syat.g_02841
OG0000431	Praf.g_02495	Syat.g_02838
OG0000432	Praf.g_02502	Syat.g_02832
OG0000433	Praf.g_02505	Syat.g_02829
OG0000434	Praf.g_02506	Syat.g_02828
OG0000435	Praf.g_02509	Syat.g_02824
OG0000436	Praf.g_02515	Syat.g_02817
OG0000437	Praf.g_02516	Syat.g_02558
OG0000438	Praf.g_02517	Syat.g_02813
OG0000439	Praf.g_02519	Syat.g_02811
OG0000440	Praf.g_02520	Syat.g_02810
OG0000441	Praf.g_02524	Syat.g_02807
OG0000442	Praf.g_02525	Syat.g_02797
OG0000443	Praf.g_02531	Syat.g_02787
OG0000444	Praf.g_02575	Syat.g_02756
OG0000445	Praf.g_02574	Syat.g_02755
OG0000446	Praf.g_02572	Syat.g_02753
OG0000447	Praf.g_02568	Syat.g_02749
OG0000448	Praf.g_02567	Syat.g_02748
OG0000449	Praf.g_02566	Syat.g_02747
OG0000450	Praf.g_02560	Syat.g_02738
OG0000451	Praf.g_02559	Syat.g_02737
OG0000452	Praf.g_02555	Syat.g_02732
OG0000453	Praf.g_02554	Syat.g_02731
OG0000454	Praf.g_02553	Syat.g_02730
OG0000455	Praf.g_02552	Syat.g_02729
OG0000456	Praf.g_02551	Syat.g_02728
OG0000457	Praf.g_02549	Syat.g_02726
OG0000458	Praf.g_02548	Syat.g_02725
OG0000459	Praf.g_02547	Syat.g_02724
OG0000460	Praf.g_00379	Syat.g_01450
OG0000461	Praf.g_02203	Syat.g_01866
OG0000462	Praf.g_02207	Syat.g_01868
OG0000463	Praf.g_02208	Syat.g_01869
OG0000464	Praf.g_02209	Syat.g_01870
OG0000465	Praf.g_02210	Syat.g_01872
OG0000466	Praf.g_02215	Syat.g_01877
OG0000467	Praf.g_02217	Syat.g_01878
OG0000468	Praf.g_02242	Syat.g_01884
OG0000469	Praf.g_02255	Syat.g_02000
OG0000470	Praf.g_02259	Syat.g_02038
OG0000471	Praf.g_02260	Syat.g_02039
OG0000472	Praf.g_02262	Syat.g_02041
OG0000473	Praf.g_02264	Syat.g_02043
OG0000474	Praf.g_02265	Syat.g_02044
OG0000475	Praf.g_02266	Syat.g_02045
OG0000476	Praf.g_02268	Syat.g_02047
OG0000477	Praf.g_02273	Syat.g_02053
OG0000478	Praf.g_02274	Syat.g_02054
OG0000479	Praf.g_02275	Syat.g_02056
OG0000480	Praf.g_02282	Syat.g_02063
OG0000481	Praf.g_02284	Syat.g_02066
OG0000482	Praf.g_02285	Syat.g_02067
OG0000483	Praf.g_02289	Syat.g_02071
OG0000484	Praf.g_02290	Syat.g_02072
OG0000485	Praf.g_02291	Syat.g_02073
OG0000486	Praf.g_02292	Syat.g_02074
OG0000487	Praf.g_02297	Syat.g_02080
OG0000488	Praf.g_02301	Syat.g_02086
OG0000489	Praf.g_02315	Syat.g_02097
OG0000490	Praf.g_02321	Syat.g_02106
OG0000491	Praf.g_02322	Syat.g_02107
OG0000492	Praf.g_02324	Syat.g_02110
OG0000493	Praf.g_02325	Syat.g_02111
OG0000494	Praf.g_02326	Syat.g_02112
OG0000495	Praf.g_02327	Syat.g_02120
OG0000496	Praf.g_02328	Syat.g_02121
OG0000497	Praf.g_02329	Syat.g_02122
OG0000498	Praf.g_02330	Syat.g_02123
OG0000499	Praf.g_02331	Syat.g_02124
OG0000500	Praf.g_02332	Syat.g_02125
OG0000501	Praf.g_02335	Syat.g_02128
OG0000502	Praf.g_02349	Syat.g_02135
OG0000503	Praf.g_02054	Syat.g_01614
OG0000504	Praf.g_02052	Syat.g_01612
OG0000505	Praf.g_02051	Syat.g_01611
OG0000506	Praf.g_02049	Syat.g_01609
OG0000507	Praf.g_02045	Syat.g_01603
OG0000508	Praf.g_02031	Syat.g_01596
OG0000509	Praf.g_02029	Syat.g_01591
OG0000510	Praf.g_02028	Syat.g_01590
OG0000511	Praf.g_02027	Syat.g_01589
OG0000512	Praf.g_02025	Syat.g_01587
OG0000513	Praf.g_02011	Syat.g_02957
OG0000514	Praf.g_02002	Syat.g_02962
OG0000515	Praf.g_02001	Syat.g_02963
OG0000516	Praf.g_01999	Syat.g_02965
OG0000517	Praf.g_01990	Syat.g_02969
OG0000518	Praf.g_01978	Syat.g_01286
OG0000519	Praf.g_01977	Syat.g_01285
OG0000520	Praf.g_01972	Syat.g_01284
OG0000521	Praf.g_01959	Syat.g_01319
OG0000522	Praf.g_01957	Syat.g_01317
OG0000523	Praf.g_01956	Syat.g_01316
OG0000524	Praf.g_01942	Syat.g_01409
OG0000525	Praf.g_01915	Syat.g_01382
OG0000526	Praf.g_01913	Syat.g_01380
OG0000527	Praf.g_01909	Syat.g_01373
OG0000528	Praf.g_00589	Syat.g_03167
OG0000529	Praf.g_00596	Syat.g_03171
OG0000530	Praf.g_00599	Syat.g_03174
OG0000531	Praf.g_00600	Syat.g_03175
OG0000532	Praf.g_00603	Syat.g_03178
OG0000533	Praf.g_00605	Syat.g_03180
OG0000534	Praf.g_00606	Syat.g_03181
OG0000535	Praf.g_00607	Syat.g_03182
OG0000536	Praf.g_00608	Syat.g_03183
OG0000537	Praf.g_00609	Syat.g_03185
OG0000538	Praf.g_00619	Syat.g_03204
OG0000539	Praf.g_00621	Syat.g_03206
OG0000540	Praf.g_00622	Syat.g_03207
OG0000541	Praf.g_00623	Syat.g_03208
OG0000542	Praf.g_00626	Syat.g_03213
OG0000543	Praf.g_00628	Syat.g_03215
OG0000544	Praf.g_00629	Syat.g_03216
OG0000545	Praf.g_00630	Syat.g_03218
OG0000546	Praf.g_00632	Syat.g_03220
OG0000547	Praf.g_00634	Syat.g_03222
OG0000548	Praf.g_00635	Syat.g_03223
OG0000549	Praf.g_00641	Syat.g_01795
OG0000550	Praf.g_00646	Syat.g_01107
OG0000551	Praf.g_00650	Syat.g_01103
OG0000552	Praf.g_00651	Syat.g_01102
OG0000553	Praf.g_00656	Syat.g_01098
OG0000554	Praf.g_00661	Syat.g_03271
OG0000555	Praf.g_00677	Syat.g_00093
OG0000556	Praf.g_00683	Syat.g_00088
OG0000557	Praf.g_00684	Syat.g_00083
OG0000558	Praf.g_00687	Syat.g_00081
OG0000559	Praf.g_00691	Syat.g_00077
OG0000560	Praf.g_00694	Syat.g_00074
OG0000561	Praf.g_00695	Syat.g_00073
OG0000562	Praf.g_00696	Syat.g_00072
OG0000563	Praf.g_00697	Syat.g_00071
OG0000564	Praf.g_00698	Syat.g_00070
OG0000565	Praf.g_00701	Syat.g_00067
OG0000566	Praf.g_00705	Syat.g_00063
OG0000567	Praf.g_00709	Syat.g_00059
OG0000568	Praf.g_00711	Syat.g_00057
OG0000569	Praf.g_00712	Syat.g_00056
OG0000570	Praf.g_00713	Syat.g_00055
OG0000571	Praf.g_00716	Syat.g_00052
OG0000572	Praf.g_00733	Syat.g_00033
OG0000573	Praf.g_00740	Syat.g_00024
OG0000574	Praf.g_00741	Syat.g_00023
OG0000575	Praf.g_00751	Syat.g_00018
OG0000576	Praf.g_00753	Syat.g_00014
OG0000577	Praf.g_00754	Syat.g_00013
OG0000578	Praf.g_00755	Syat.g_00012
OG0000579	Praf.g_00756	Syat.g_00011
OG0000580	Praf.g_00757	Syat.g_00010
OG0000581	Praf.g_00761	Syat.g_00003
OG0000582	Praf.g_00765	Syat.g_03403
OG0000583	Praf.g_00766	Syat.g_03404
OG0000584	Praf.g_00767	Syat.g_03405
OG0000585	Praf.g_00769	Syat.g_03408
OG0000586	Praf.g_00771	Syat.g_03409
OG0000587	Praf.g_00773	Syat.g_00001
OG0000588	Praf.g_01663	Syat.g_00338
