Orthogroup	Syaq	Syas
OG0000185	Syaq.g_01290	Syas.g_01861
OG0000186	Syaq.g_01563	Syas.g_02525
OG0000187	Syaq.g_01561	Syas.g_02524
OG0000188	Syaq.g_01539	Syas.g_02502
OG0000189	Syaq.g_01499	Syas.g_02432
OG0000190	Syaq.g_01497	Syas.g_00133
OG0000191	Syaq.g_01467	Syas.g_02400
OG0000192	Syaq.g_01462	Syas.g_02395
OG0000193	Syaq.g_01423	Syas.g_02366
OG0000194	Syaq.g_01420	Syas.g_02363
OG0000195	Syaq.g_01418	Syas.g_02360
OG0000196	Syaq.g_01407	Syas.g_02337
OG0000197	Syaq.g_01406	Syas.g_02336
OG0000198	Syaq.g_01405	Syas.g_02335
OG0000199	Syaq.g_01398	Syas.g_02327
OG0000200	Syaq.g_01382	Syas.g_02298
OG0000201	Syaq.g_01365	Syas.g_02279
OG0000202	Syaq.g_01364	Syas.g_02278
OG0000203	Syaq.g_01363	Syas.g_02277
OG0000204	Syaq.g_01362	Syas.g_02276
OG0000205	Syaq.g_01355	Syas.g_02267
OG0000206	Syaq.g_01345	Syas.g_02240
OG0000207	Syaq.g_01338	Syas.g_02237
OG0000208	Syaq.g_01337	Syas.g_02236
OG0000209	Syaq.g_01310	Syas.g_01837
OG0000210	Syaq.g_01309	Syas.g_01838
OG0000211	Syaq.g_01570	Syas.g_02552
OG0000212	Syaq.g_01586	Syas.g_02562
OG0000213	Syaq.g_00729	Syas.g_01707
OG0000214	Syaq.g_00745	Syas.g_01730
OG0000215	Syaq.g_00777	Syas.g_01766
OG0000216	Syaq.g_00781	Syas.g_01770
OG0000217	Syaq.g_00844	Syas.g_01778
OG0000218	Syaq.g_00846	Syas.g_01780
OG0000219	Syaq.g_00847	Syas.g_01783
OG0000220	Syaq.g_00848	Syas.g_01784
OG0000221	Syaq.g_00856	Syas.g_01785
OG0000222	Syaq.g_00868	Syas.g_01804
OG0000223	Syaq.g_00946	Syas.g_02221
OG0000224	Syaq.g_00950	Syas.g_02215
OG0000225	Syaq.g_00543	Syas.g_01522
OG0000226	Syaq.g_00536	Syas.g_01518
OG0000227	Syaq.g_00534	Syas.g_01516
OG0000228	Syaq.g_00531	Syas.g_01513
OG0000229	Syaq.g_00501	Syas.g_01497
OG0000230	Syaq.g_00499	Syas.g_01495
OG0000231	Syaq.g_00485	Syas.g_02749
OG0000232	Syaq.g_00472	Syas.g_01276
OG0000233	Syaq.g_00464	Syas.g_01352
OG0000234	Syaq.g_00440	Syas.g_01331
OG0000235	Syaq.g_01771	Syas.g_01254
OG0000236	Syaq.g_01787	Syas.g_01237
OG0000237	Syaq.g_01805	Syas.g_01220
OG0000238	Syaq.g_01810	Syas.g_01215
OG0000239	Syaq.g_01826	Syas.g_00012
OG0000240	Syaq.g_01827	Syas.g_00013
OG0000241	Syaq.g_02074	Syas.g_00754
OG0000242	Syaq.g_01836	Syas.g_00059
OG0000243	Syaq.g_01922	Syas.g_00777
OG0000244	Syaq.g_01928	Syas.g_00784
OG0000245	Syaq.g_01930	Syas.g_00786
OG0000246	Syaq.g_01934	Syas.g_00790
OG0000247	Syaq.g_01945	Syas.g_00802
OG0000248	Syaq.g_01948	Syas.g_00805
OG0000249	Syaq.g_01950	Syas.g_00807
OG0000250	Syaq.g_01958	Syas.g_00814
OG0000251	Syaq.g_01984	Syas.g_00845
OG0000252	Syaq.g_01987	Syas.g_00950
OG0000253	Syaq.g_01989	Syas.g_00846
OG0000254	Syaq.g_02016	Syas.g_00869
OG0000255	Syaq.g_02041	Syas.g_00132, Syas.g_01062
OG0000256	Syaq.g_02068	Syas.g_00104
OG0000257	Syaq.g_02073	Syas.g_00757
OG0000258	Syaq.g_02095	Syas.g_00733
OG0000259	Syaq.g_02239	Syas.g_00708
OG0000260	Syaq.g_02242	Syas.g_00705
OG0000261	Syaq.g_02245	Syas.g_00701
OG0000262	Syaq.g_02250	Syas.g_00695
OG0000263	Syaq.g_00185	Syas.g_01103
OG0000264	Syaq.g_02582	Syas.g_02588
OG0000266	Syaq.g_00037	Syas.g_00186
OG0000267	Syaq.g_02430	Syas.g_00377
OG0000268	Syaq.g_02431	Syas.g_00390
OG0000269	Syaq.g_02335	Syas.g_00601
OG0000270	Syaq.g_02338	Syas.g_00598
OG0000271	Syaq.g_02346	Syas.g_00590
OG0000272	Syaq.g_02347	Syas.g_00589
OG0000273	Syaq.g_02376	Syas.g_00563
OG0000274	Syaq.g_02377	Syas.g_00562
OG0000275	Syaq.g_02380	Syas.g_00230
OG0000276	Syaq.g_02387	Syas.g_00237
OG0000277	Syaq.g_02388	Syas.g_00238
OG0000278	Syaq.g_02391	Syas.g_00241
OG0000279	Syaq.g_02401	Syas.g_00288
OG0000280	Syaq.g_02410	Syas.g_00889, Syas.g_00481
OG0000281	Syaq.g_02224	Syas.g_00970
OG0000282	Syaq.g_02271	Syas.g_00672
OG0000283	Syaq.g_02445	Syas.g_00409
OG0000284	Syaq.g_02450	Syas.g_00416
OG0000285	Syaq.g_02466	Syas.g_00436
OG0000286	Syaq.g_02484	Syas.g_00460
OG0000287	Syaq.g_02511	Syas.g_00534
OG0000288	Syaq.g_00067	Syas.g_00220
OG0000289	Syaq.g_00053	Syas.g_00205
OG0000290	Syaq.g_02682	Syas.g_01016
OG0000292	Syaq.g_01157	Syas.g_02020
OG0000293	Syaq.g_00262	Syas.g_01197
OG0000294	Syaq.g_00261	Syas.g_01196
OG0000295	Syaq.g_00220	Syas.g_01139
OG0000296	Syaq.g_00218	Syas.g_01137
OG0000297	Syaq.g_00205	Syas.g_01124
OG0000298	Syaq.g_00204	Syas.g_01123
OG0000299	Syaq.g_00171	Syas.g_01087
OG0000300	Syaq.g_00164	Syas.g_01082
OG0000301	Syaq.g_00163	Syas.g_01081
OG0000302	Syaq.g_00162	Syas.g_01080
OG0000303	Syaq.g_00152	Syas.g_01071
OG0000304	Syaq.g_00146	Syas.g_01066
OG0000305	Syaq.g_02677	Syas.g_01023
OG0000306	Syaq.g_01861	Syas.g_01929
OG0000307	Syaq.g_01754	Syas.g_01270
OG0000308	Syaq.g_01752	Syas.g_01272
OG0000309	Syaq.g_01747	Syas.g_01364
OG0000310	Syaq.g_00347	Syas.g_02796
OG0000311	Syaq.g_00352	Syas.g_02799
OG0000312	Syaq.g_00359	Syas.g_02804
OG0000313	Syaq.g_00379	Syas.g_02823
OG0000314	Syaq.g_00408	Syas.g_01296
OG0000315	Syaq.g_00418	Syas.g_01306
OG0000316	Syaq.g_01716	Syas.g_02728
OG0000317	Syaq.g_01675	Syas.g_02687
OG0000318	Syaq.g_01672	Syas.g_02680
OG0000319	Syaq.g_01657	Syas.g_02663
OG0000320	Syaq.g_01655	Syas.g_02661
OG0000321	Syaq.g_01654	Syas.g_02660
OG0000322	Syaq.g_01653	Syas.g_02659
OG0000323	Syaq.g_01638	Syas.g_02646, Syas.g_00159
OG0000324	Syaq.g_01605	Syas.g_02578
OG0000325	Syaq.g_00693	Syas.g_01668
OG0000326	Syaq.g_00686	Syas.g_01661
OG0000327	Syaq.g_00652	Syas.g_01634
OG0000328	Syaq.g_00651	Syas.g_01633
OG0000329	Syaq.g_00633	Syas.g_01615
OG0000330	Syaq.g_00632	Syas.g_01614
OG0000331	Syaq.g_00631	Syas.g_01613
OG0000332	Syaq.g_00616	Syas.g_01598
OG0000333	Syaq.g_00613	Syas.g_01595
OG0000334	Syaq.g_00603	Syas.g_01586
OG0000335	Syaq.g_00598	Syas.g_01581
OG0000336	Syaq.g_00594	Syas.g_01577
OG0000337	Syaq.g_00975	Syas.g_02211
OG0000338	Syaq.g_00981	Syas.g_02199
OG0000339	Syaq.g_00988	Syas.g_02192
OG0000340	Syaq.g_01005	Syas.g_02183
OG0000341	Syaq.g_01007	Syas.g_02181
OG0000342	Syaq.g_01008	Syas.g_02180
OG0000343	Syaq.g_01010	Syas.g_02176
OG0000344	Syaq.g_01014	Syas.g_02172
OG0000345	Syaq.g_01024	Syas.g_02160
OG0000346	Syaq.g_01029	Syas.g_02155
OG0000347	Syaq.g_01057	Syas.g_02136
OG0000348	Syaq.g_01070	Syas.g_02107
OG0000349	Syaq.g_01099	Syas.g_02085
OG0000350	Syaq.g_00679	Syas.g_01654
OG0000351	Syaq.g_01179	Syas.g_01998
OG0000352	Syaq.g_01178	Syas.g_01999
OG0000353	Syaq.g_01151	Syas.g_02033
OG0000354	Syaq.g_01816	Syas.g_01209
OG0000354	Syaq.g_01131	Syas.g_02052
OG0000355	Syaq.g_01149	Syas.g_02035
OG0000356	Syaq.g_01148	Syas.g_02036
OG0000357	Syaq.g_01147	Syas.g_02037
OG0000358	Syaq.g_01143	Syas.g_02041
OG0000359	Syaq.g_01141	Syas.g_02043
OG0000360	Syaq.g_01140	Syas.g_02044
OG0000361	Syaq.g_01139	Syas.g_02045
OG0000362	Syaq.g_01137	Syas.g_02047
OG0000363	Syaq.g_01135	Syas.g_02049
OG0000364	Syaq.g_01134	Syas.g_02685
OG0000365	Syaq.g_01125	Syas.g_02058
OG0000366	Syaq.g_01124	Syas.g_02059
OG0000368	Syaq.g_01121	Syas.g_02062
OG0000369	Syaq.g_01120	Syas.g_02063
OG0000370	Syaq.g_01119	Syas.g_02064
OG0000371	Syaq.g_01111	Syas.g_02073
OG0000372	Syaq.g_01106	Syas.g_02078
OG0000373	Syaq.g_01105	Syas.g_02079
OG0000374	Syaq.g_01104	Syas.g_02080
OG0000375	Syaq.g_01103	Syas.g_02081
OG0000376	Syaq.g_01101	Syas.g_02083
OG0000377	Syaq.g_01270	Syas.g_01879
OG0000378	Syaq.g_01286	Syas.g_01867
OG0000379	Syaq.g_01291	Syas.g_01859
OG0000380	Syaq.g_01560	Syas.g_02523
OG0000381	Syaq.g_01558	Syas.g_02521
OG0000382	Syaq.g_01540	Syas.g_02503
OG0000383	Syaq.g_01535	Syas.g_02480
OG0000384	Syaq.g_01534	Syas.g_02479
OG0000385	Syaq.g_01533	Syas.g_02478
OG0000386	Syaq.g_01532	Syas.g_02477
OG0000387	Syaq.g_01495	Syas.g_00134
OG0000388	Syaq.g_01491	Syas.g_02426
OG0000389	Syaq.g_01488	Syas.g_02422
OG0000390	Syaq.g_01473	Syas.g_02406
OG0000391	Syaq.g_01468	Syas.g_02401
OG0000392	Syaq.g_01463	Syas.g_02396
OG0000393	Syaq.g_01460	Syas.g_02394
OG0000394	Syaq.g_01459	Syas.g_02393
OG0000395	Syaq.g_01458	Syas.g_02392
OG0000396	Syaq.g_01455	Syas.g_02389
OG0000397	Syaq.g_01453	Syas.g_02387
OG0000398	Syaq.g_01448	Syas.g_02382
OG0000399	Syaq.g_01447	Syas.g_02381
OG0000400	Syaq.g_01446	Syas.g_02380
OG0000401	Syaq.g_01445	Syas.g_02379
OG0000402	Syaq.g_01443	Syas.g_02377
OG0000403	Syaq.g_01442	Syas.g_02376
OG0000404	Syaq.g_01440	Syas.g_02375
OG0000405	Syaq.g_01429	Syas.g_02369
OG0000406	Syaq.g_01422	Syas.g_02365
OG0000407	Syaq.g_01421	Syas.g_02364
OG0000408	Syaq.g_01419	Syas.g_02361
OG0000409	Syaq.g_01417	Syas.g_02359
OG0000410	Syaq.g_01416	Syas.g_02358
OG0000411	Syaq.g_01415	Syas.g_02357
OG0000412	Syaq.g_01414	Syas.g_02356
OG0000413	Syaq.g_01412	Syas.g_02354
OG0000414	Syaq.g_01411	Syas.g_02353
OG0000415	Syaq.g_01410	Syas.g_02352
OG0000416	Syaq.g_01409	Syas.g_02351
OG0000417	Syaq.g_01408	Syas.g_02338
OG0000418	Syaq.g_01403	Syas.g_02333
OG0000419	Syaq.g_01401	Syas.g_02331
OG0000420	Syaq.g_01400	Syas.g_02329
OG0000421	Syaq.g_01395	Syas.g_02324
OG0000422	Syaq.g_01394	Syas.g_02323
OG0000423	Syaq.g_01393	Syas.g_02322
OG0000424	Syaq.g_01392	Syas.g_02321
OG0000425	Syaq.g_01391	Syas.g_02320
OG0000426	Syaq.g_01390	Syas.g_02319
OG0000427	Syaq.g_01389	Syas.g_02318
OG0000428	Syaq.g_01386	Syas.g_02315
OG0000429	Syaq.g_01384	Syas.g_02312
OG0000430	Syaq.g_01383	Syas.g_02311
OG0000431	Syaq.g_01380	Syas.g_02296
OG0000432	Syaq.g_01374	Syas.g_02288
OG0000433	Syaq.g_01369	Syas.g_02286
OG0000434	Syaq.g_01368	Syas.g_02285
OG0000435	Syaq.g_01367	Syas.g_02282
OG0000436	Syaq.g_01361	Syas.g_02273
OG0000437	Syaq.g_01360	Syas.g_02272
OG0000438	Syaq.g_01359	Syas.g_02271
OG0000439	Syaq.g_01357	Syas.g_02269
OG0000440	Syaq.g_01356	Syas.g_02268
OG0000441	Syaq.g_01352	Syas.g_02265
OG0000442	Syaq.g_01350	Syas.g_02259
OG0000443	Syaq.g_01347	Syas.g_02241
OG0000444	Syaq.g_01333	Syas.g_02234
OG0000445	Syaq.g_01332	Syas.g_02233
OG0000446	Syaq.g_01330	Syas.g_02231
OG0000447	Syaq.g_01328	Syas.g_02229
OG0000448	Syaq.g_01327	Syas.g_02228
OG0000449	Syaq.g_01320	Syas.g_02226
OG0000450	Syaq.g_01313	Syas.g_01834
OG0000451	Syaq.g_01312	Syas.g_01835
OG0000452	Syaq.g_01308	Syas.g_01844
OG0000453	Syaq.g_01307	Syas.g_01845
OG0000454	Syaq.g_01306	Syas.g_01846
OG0000455	Syaq.g_01305	Syas.g_01847
OG0000456	Syaq.g_01304	Syas.g_01848
OG0000457	Syaq.g_01302	Syas.g_01850
OG0000458	Syaq.g_01299	Syas.g_01851
OG0000459	Syaq.g_01298	Syas.g_01852
OG0000460	Syaq.g_01577	Syas.g_02554
OG0000461	Syaq.g_00707	Syas.g_01686
OG0000462	Syaq.g_00710	Syas.g_01688
OG0000463	Syaq.g_00711	Syas.g_01689
OG0000464	Syaq.g_00712	Syas.g_01690
OG0000465	Syaq.g_00714	Syas.g_01692
OG0000466	Syaq.g_00718	Syas.g_01697
OG0000467	Syaq.g_00720	Syas.g_01698
OG0000468	Syaq.g_00725	Syas.g_01703
OG0000469	Syaq.g_00739	Syas.g_01725
OG0000470	Syaq.g_00741	Syas.g_01727
OG0000471	Syaq.g_00742	Syas.g_01728
OG0000472	Syaq.g_00744	Syas.g_01729
OG0000473	Syaq.g_00746	Syas.g_01731
OG0000474	Syaq.g_00747	Syas.g_01732
OG0000475	Syaq.g_00748	Syas.g_01733
OG0000476	Syaq.g_00750	Syas.g_01735
OG0000477	Syaq.g_00756	Syas.g_01740
OG0000478	Syaq.g_00757	Syas.g_01741
OG0000479	Syaq.g_00759	Syas.g_01749
OG0000480	Syaq.g_00766	Syas.g_01756
OG0000481	Syaq.g_00768	Syas.g_00161, Syas.g_00162
OG0000482	Syaq.g_00769	Syas.g_01758
OG0000483	Syaq.g_00773	Syas.g_01762
OG0000484	Syaq.g_00774	Syas.g_01763
OG0000485	Syaq.g_00775	Syas.g_01764
OG0000486	Syaq.g_00776	Syas.g_01765
OG0000487	Syaq.g_00782	Syas.g_01771
OG0000488	Syaq.g_00845	Syas.g_01779
OG0000489	Syaq.g_00857	Syas.g_01823
OG0000490	Syaq.g_00864	Syas.g_01808
OG0000491	Syaq.g_00865	Syas.g_01806
OG0000492	Syaq.g_00869	Syas.g_01803
OG0000493	Syaq.g_00870	Syas.g_01802
OG0000494	Syaq.g_00871	Syas.g_01801
OG0000495	Syaq.g_00872	Syas.g_01799
OG0000496	Syaq.g_00873	Syas.g_01798
OG0000497	Syaq.g_00874	Syas.g_01797
OG0000498	Syaq.g_00875	Syas.g_01796
OG0000499	Syaq.g_00876	Syas.g_01795
OG0000500	Syaq.g_00877	Syas.g_01794
OG0000501	Syaq.g_00880	Syas.g_01791
OG0000502	Syaq.g_00953	Syas.g_02216
OG0000503	Syaq.g_00559	Syas.g_01541
OG0000504	Syaq.g_00557	Syas.g_01539
OG0000505	Syaq.g_00556	Syas.g_01538
OG0000506	Syaq.g_00554	Syas.g_01536
OG0000507	Syaq.g_00548	Syas.g_01530
OG0000508	Syaq.g_00544	Syas.g_01523
OG0000509	Syaq.g_00542	Syas.g_01521
OG0000510	Syaq.g_00538	Syas.g_01520
OG0000511	Syaq.g_00537	Syas.g_01519
OG0000512	Syaq.g_00535	Syas.g_01517
OG0000513	Syaq.g_00525	Syas.g_01508
OG0000514	Syaq.g_00514	Syas.g_01504
OG0000515	Syaq.g_00513	Syas.g_01503
OG0000516	Syaq.g_00509	Syas.g_01501
OG0000517	Syaq.g_00502	Syas.g_01498
OG0000518	Syaq.g_00490	Syas.g_00360, Syas.g_02746
OG0000519	Syaq.g_00489	Syas.g_02747
OG0000520	Syaq.g_00488	Syas.g_02748
OG0000521	Syaq.g_00477	Syas.g_01281
OG0000522	Syaq.g_00475	Syas.g_01279
OG0000523	Syaq.g_00474	Syas.g_01278
OG0000524	Syaq.g_00469	Syas.g_01354
OG0000525	Syaq.g_00450	Syas.g_01342
OG0000526	Syaq.g_00448	Syas.g_01340
OG0000527	Syaq.g_00444	Syas.g_01335
OG0000528	Syaq.g_01768	Syas.g_01256
OG0000529	Syaq.g_01773	Syas.g_01252
OG0000530	Syaq.g_01776	Syas.g_01249
OG0000531	Syaq.g_01777	Syas.g_01248
OG0000532	Syaq.g_01780	Syas.g_01245
OG0000533	Syaq.g_01782	Syas.g_01243
OG0000534	Syaq.g_01783	Syas.g_01242
OG0000535	Syaq.g_01784	Syas.g_01241
OG0000536	Syaq.g_01785	Syas.g_01240
OG0000537	Syaq.g_01786	Syas.g_01238
OG0000538	Syaq.g_01798	Syas.g_01228
OG0000539	Syaq.g_01799	Syas.g_01227
OG0000540	Syaq.g_01800	Syas.g_01226
OG0000541	Syaq.g_01801	Syas.g_01225
OG0000542	Syaq.g_01804	Syas.g_01221
OG0000543	Syaq.g_01806	Syas.g_01219
OG0000544	Syaq.g_02567, Syaq.g_01807	Syas.g_01218
OG0000545	Syaq.g_01809	Syas.g_01216
OG0000546	Syaq.g_01811	Syas.g_01214
OG0000547	Syaq.g_01813	Syas.g_01212
OG0000548	Syaq.g_01814	Syas.g_01211
OG0000549	Syaq.g_01819	Syas.g_00005
OG0000550	Syaq.g_01824	Syas.g_00010
OG0000551	Syaq.g_01829	Syas.g_00015
OG0000552	Syaq.g_01830	Syas.g_00016
OG0000553	Syaq.g_01834	Syas.g_00019
OG0000554	Syaq.g_01839	Syas.g_00063
OG0000555	Syaq.g_01857	Syas.g_00775
OG0000556	Syaq.g_01925	Syas.g_00781
OG0000557	Syaq.g_01927	Syas.g_00783
OG0000558	Syaq.g_01929	Syas.g_00785
OG0000559	Syaq.g_01933	Syas.g_00789
OG0000560	Syaq.g_01936	Syas.g_00792
OG0000561	Syaq.g_01937	Syas.g_00793
OG0000562	Syaq.g_01938	Syas.g_00794
OG0000563	Syaq.g_01939	Syas.g_00795
OG0000564	Syaq.g_01940	Syas.g_00796
OG0000565	Syaq.g_01943	Syas.g_00800
OG0000566	Syaq.g_01947	Syas.g_00804
OG0000567	Syaq.g_01951	Syas.g_00808
