Orthogroup	Syaq	Prbm
OG0000076	Syaq.g_01028	Prbm.g_02094
OG0000077	Syaq.g_01547	Prbm.g_00135
OG0000078	Syaq.g_01585	Prbm.g_00300
OG0000079	Syaq.g_00721	Prbm.g_00311
OG0000081	Syaq.g_01893	Prbm.g_00564
OG0000082	Syaq.g_01975	Prbm.g_01900
OG0000084	Syaq.g_00367	Prbm.g_01706
OG0000085	Syaq.g_01683	Prbm.g_01834
OG0000086	Syaq.g_01525	Prbm.g_00145
OG0000087	Syaq.g_01438	Prbm.g_00198
OG0000088	Syaq.g_01402	Prbm.g_00225
OG0000089	Syaq.g_00529	Prbm.g_00423
OG0000090	Syaq.g_01838	Prbm.g_00566
OG0000091	Syaq.g_02090	Prbm.g_00673
OG0000094	Syaq.g_02554	Prbm.g_00888
OG0000097	Syaq.g_00167	Prbm.g_01502
OG0000098	Syaq.g_02221	Prbm.g_01630
OG0000099	Syaq.g_00882	Prbm.g_00394
OG0000100	Syaq.g_02371	Prbm.g_01787
OG0000101	Syaq.g_00607	Prbm.g_02033
OG0000102	Syaq.g_01033	Prbm.g_02099
OG0000103	Syaq.g_01170	Prbm.g_02218
OG0000104	Syaq.g_01154	Prbm.g_02229
OG0000105	Syaq.g_00754	Prbm.g_00331
OG0000106	Syaq.g_01863	Prbm.g_01172, Prbm.g_01237
OG0000108	Syaq.g_01772	Prbm.g_00506
OG0000109	Syaq.g_01788	Prbm.g_00519
OG0000110	Syaq.g_01962	Prbm.g_00607
OG0000111	Syaq.g_02606	Prbm.g_00736
OG0000112	Syaq.g_02476	Prbm.g_00980
OG0000114	Syaq.g_02269	Prbm.g_00929
OG0000115	Syaq.g_00395	Prbm.g_01803
OG0000116	Syaq.g_00263	Prbm.g_01560
OG0000117	Syaq.g_00203	Prbm.g_01522
OG0000118	Syaq.g_00325, Syaq.g_00316	Prbm.g_01622
OG0000120	Syaq.g_00883	Prbm.g_00707
OG0000121	Syaq.g_00375	Prbm.g_01712
OG0000122	Syaq.g_02118	Prbm.g_01751
OG0000123	Syaq.g_00599	Prbm.g_02040
OG0000124	Syaq.g_01055	Prbm.g_02111
OG0000125	Syaq.g_01256	Prbm.g_02176
OG0000126	Syaq.g_01156	Prbm.g_02228
OG0000128	Syaq.g_01138	Prbm.g_00011
OG0000129	Syaq.g_01269	Prbm.g_00053
OG0000130	Syaq.g_01559	Prbm.g_00126
OG0000131	Syaq.g_01427, Syaq.g_01424	Prbm.g_00204
OG0000132	Syaq.g_01404	Prbm.g_00223
OG0000133	Syaq.g_02481	Prbm.g_00377
OG0000134	Syaq.g_00526	Prbm.g_00425
OG0000135	Syaq.g_01227	Prbm.g_01389
OG0000136	Syaq.g_00496	Prbm.g_00451
OG0000137	Syaq.g_00442	Prbm.g_00500
OG0000138	Syaq.g_01789	Prbm.g_00520
OG0000139	Syaq.g_01844	Prbm.g_00570
OG0000140	Syaq.g_01848	Prbm.g_00571
OG0000141	Syaq.g_02010	Prbm.g_00638
OG0000142	Syaq.g_02082	Prbm.g_00666
OG0000143	Syaq.g_02086	Prbm.g_00670
OG0000144	Syaq.g_02152	Prbm.g_00683
OG0000145	Syaq.g_01796	Prbm.g_01094
OG0000146	Syaq.g_02475	Prbm.g_00979
OG0000147	Syaq.g_02474	Prbm.g_00978
OG0000148	Syaq.g_02359	Prbm.g_00832
OG0000149	Syaq.g_02395	Prbm.g_00862
OG0000150	Syaq.g_02011	Prbm.g_00870
OG0000151	Syaq.g_02283	Prbm.g_00940
OG0000152	Syaq.g_02485	Prbm.g_00988
OG0000153	Syaq.g_02518	Prbm.g_01006
OG0000154	Syaq.g_00066	Prbm.g_01035
OG0000155	Syaq.g_00212	Prbm.g_01527
OG0000156	Syaq.g_00281	Prbm.g_01600
OG0000157	Syaq.g_00282	Prbm.g_01601
OG0000158	Syaq.g_01003	Prbm.g_02077
OG0000159	Syaq.g_00918	Prbm.g_02133
OG0000159	Syaq.g_00941	Prbm.g_02115
OG0000160	Syaq.g_00374	Prbm.g_01711
OG0000161	Syaq.g_00382	Prbm.g_01717
OG0000162	Syaq.g_00389	Prbm.g_01723
OG0000163	Syaq.g_01730	Prbm.g_01759
OG0000164	Syaq.g_01642	Prbm.g_01863
OG0000165	Syaq.g_01630	Prbm.g_01871
OG0000166	Syaq.g_00647	Prbm.g_01996
OG0000167	Syaq.g_00983	Prbm.g_02067
OG0000168	Syaq.g_01004	Prbm.g_02078
OG0000169	Syaq.g_01016	Prbm.g_02088
OG0000170	Syaq.g_01023	Prbm.g_02090
OG0000171	Syaq.g_01052	Prbm.g_02110
OG0000172	Syaq.g_01074	Prbm.g_02146
OG0000173	Syaq.g_01092	Prbm.g_02161
OG0000174	Syaq.g_01224	Prbm.g_02192
OG0000175	Syaq.g_01183	Prbm.g_02209
OG0000176	Syaq.g_01146	Prbm.g_00004
OG0000177	Syaq.g_01145	Prbm.g_00005
OG0000178	Syaq.g_01144	Prbm.g_00006
OG0000179	Syaq.g_01129	Prbm.g_00016
OG0000180	Syaq.g_01128	Prbm.g_00017
OG0000181	Syaq.g_01127	Prbm.g_00018
OG0000182	Syaq.g_01126	Prbm.g_00019
OG0000183	Syaq.g_01122	Prbm.g_00023
OG0000184	Syaq.g_01277	Prbm.g_00055
OG0000185	Syaq.g_01290	Prbm.g_00058
OG0000186	Syaq.g_01563	Prbm.g_00121
OG0000187	Syaq.g_01561	Prbm.g_00122
OG0000188	Syaq.g_01539	Prbm.g_00139
OG0000189	Syaq.g_01499	Prbm.g_00153
OG0000190	Syaq.g_01497	Prbm.g_00154
OG0000191	Syaq.g_01467	Prbm.g_00177
OG0000192	Syaq.g_01462	Prbm.g_00181
OG0000193	Syaq.g_01423	Prbm.g_00205
OG0000194	Syaq.g_01420	Prbm.g_00208
OG0000195	Syaq.g_01418	Prbm.g_00210
OG0000196	Syaq.g_01407	Prbm.g_00220
OG0000197	Syaq.g_01406	Prbm.g_00221
OG0000198	Syaq.g_01405	Prbm.g_00222
OG0000199	Syaq.g_01398	Prbm.g_00229
OG0000200	Syaq.g_01382	Prbm.g_00243
OG0000201	Syaq.g_01365	Prbm.g_00252
OG0000202	Syaq.g_01364	Prbm.g_00253
OG0000203	Syaq.g_01363	Prbm.g_00254
OG0000204	Syaq.g_01362	Prbm.g_00255
OG0000205	Syaq.g_01355	Prbm.g_00262
OG0000206	Syaq.g_01345	Prbm.g_00266
OG0000207	Syaq.g_01338	Prbm.g_00268
OG0000208	Syaq.g_01337	Prbm.g_00269
OG0000209	Syaq.g_01310	Prbm.g_00278
OG0000210	Syaq.g_01309	Prbm.g_00279
OG0000211	Syaq.g_01570	Prbm.g_00293
OG0000212	Syaq.g_01586	Prbm.g_00301
OG0000213	Syaq.g_00729	Prbm.g_00317
OG0000214	Syaq.g_00745	Prbm.g_00325
OG0000215	Syaq.g_00777	Prbm.g_00349
OG0000216	Syaq.g_00781	Prbm.g_00350
OG0000217	Syaq.g_00844	Prbm.g_00353
OG0000218	Syaq.g_00846	Prbm.g_00355
OG0000219	Syaq.g_00847	Prbm.g_00356
OG0000220	Syaq.g_00848	Prbm.g_00357
OG0000221	Syaq.g_00856	Prbm.g_00358
OG0000222	Syaq.g_00868	Prbm.g_00366
OG0000223	Syaq.g_00946	Prbm.g_00378
OG0000224	Syaq.g_00950	Prbm.g_00380
OG0000225	Syaq.g_00543	Prbm.g_00411
OG0000226	Syaq.g_00536	Prbm.g_00415
OG0000227	Syaq.g_00534	Prbm.g_00417
OG0000228	Syaq.g_00531	Prbm.g_00422
OG0000229	Syaq.g_00501	Prbm.g_00446
OG0000230	Syaq.g_00499	Prbm.g_00448
OG0000231	Syaq.g_00485	Prbm.g_00459
OG0000232	Syaq.g_00472	Prbm.g_00484
OG0000233	Syaq.g_00464	Prbm.g_00492
OG0000234	Syaq.g_00440	Prbm.g_00501
OG0000235	Syaq.g_01771	Prbm.g_00505
OG0000236	Syaq.g_01787	Prbm.g_00518
OG0000237	Syaq.g_01805	Prbm.g_00540
OG0000238	Syaq.g_01810	Prbm.g_00546
OG0000239	Syaq.g_01826	Prbm.g_00558
OG0000240	Syaq.g_01827	Prbm.g_00559
OG0000241	Syaq.g_02074	Prbm.g_00563
OG0000242	Syaq.g_01836	Prbm.g_00565
OG0000243	Syaq.g_01922	Prbm.g_00576
OG0000244	Syaq.g_01928	Prbm.g_00579
OG0000245	Syaq.g_01930	Prbm.g_00581
OG0000246	Syaq.g_01934	Prbm.g_00585
OG0000247	Syaq.g_01945	Prbm.g_00595
OG0000248	Syaq.g_01948	Prbm.g_00597
OG0000249	Syaq.g_01950	Prbm.g_00599
OG0000250	Syaq.g_01958	Prbm.g_00604
OG0000251	Syaq.g_01984	Prbm.g_00620
OG0000252	Syaq.g_01987	Prbm.g_00623
OG0000253	Syaq.g_01989	Prbm.g_00625
OG0000254	Syaq.g_02016	Prbm.g_00642
OG0000255	Syaq.g_02041	Prbm.g_00648
OG0000256	Syaq.g_02068	Prbm.g_00658
OG0000257	Syaq.g_02073	Prbm.g_00661
OG0000258	Syaq.g_02095	Prbm.g_00674
OG0000259	Syaq.g_02239	Prbm.g_00691
OG0000260	Syaq.g_02242	Prbm.g_00694
OG0000261	Syaq.g_02245	Prbm.g_00697
OG0000262	Syaq.g_02250	Prbm.g_00702
OG0000263	Syaq.g_00185	Prbm.g_00716
OG0000264	Syaq.g_02582	Prbm.g_00728
OG0000266	Syaq.g_00037	Prbm.g_00752
OG0000267	Syaq.g_02430	Prbm.g_00765
OG0000268	Syaq.g_02431	Prbm.g_00766
OG0000269	Syaq.g_02335	Prbm.g_00809
OG0000270	Syaq.g_02338	Prbm.g_00812
OG0000271	Syaq.g_02346	Prbm.g_00820
OG0000272	Syaq.g_02347	Prbm.g_00821
OG0000273	Syaq.g_02376	Prbm.g_00845
OG0000274	Syaq.g_02377	Prbm.g_00846
OG0000275	Syaq.g_02380	Prbm.g_00848
OG0000276	Syaq.g_02387	Prbm.g_00854
OG0000277	Syaq.g_02388	Prbm.g_00855
OG0000278	Syaq.g_02391	Prbm.g_00858
OG0000279	Syaq.g_02401	Prbm.g_00865
OG0000281	Syaq.g_02224	Prbm.g_00871
OG0000282	Syaq.g_02271	Prbm.g_00931
OG0000283	Syaq.g_02445	Prbm.g_00962
OG0000284	Syaq.g_02450	Prbm.g_00967
OG0000285	Syaq.g_02466	Prbm.g_00972
OG0000286	Syaq.g_02484	Prbm.g_00987
OG0000287	Syaq.g_02511	Prbm.g_00102
OG0000288	Syaq.g_00067	Prbm.g_01034
OG0000289	Syaq.g_00053	Prbm.g_01045
OG0000290	Syaq.g_02682	Prbm.g_01061
OG0000291	Syaq.g_02680	Prbm.g_01063
OG0000292	Syaq.g_01157	Prbm.g_01210
OG0000293	Syaq.g_00262	Prbm.g_01559
OG0000294	Syaq.g_00261	Prbm.g_01558
OG0000295	Syaq.g_00220	Prbm.g_01534
OG0000296	Syaq.g_00218	Prbm.g_01532
OG0000297	Syaq.g_00205	Prbm.g_01524
OG0000298	Syaq.g_00204	Prbm.g_01523
OG0000299	Syaq.g_00171	Prbm.g_01503
OG0000300	Syaq.g_00164	Prbm.g_01500
OG0000301	Syaq.g_00163	Prbm.g_01499
OG0000302	Syaq.g_00162	Prbm.g_01497
OG0000303	Syaq.g_00152	Prbm.g_01492
OG0000304	Syaq.g_00146	Prbm.g_01489
OG0000305	Syaq.g_02677	Prbm.g_01812
OG0000306	Syaq.g_01861	Prbm.g_00875
OG0000307	Syaq.g_01754	Prbm.g_01669
OG0000308	Syaq.g_01752	Prbm.g_01670
OG0000309	Syaq.g_01747	Prbm.g_01674
OG0000310	Syaq.g_00347	Prbm.g_01694
OG0000311	Syaq.g_00352	Prbm.g_01696
OG0000312	Syaq.g_00359	Prbm.g_01699
OG0000313	Syaq.g_00379	Prbm.g_01714
OG0000314	Syaq.g_00408	Prbm.g_01735
OG0000315	Syaq.g_00418	Prbm.g_01745
OG0000316	Syaq.g_01716	Prbm.g_01770
OG0000317	Syaq.g_01675	Prbm.g_01839
OG0000318	Syaq.g_01672	Prbm.g_01842
OG0000319	Syaq.g_01657	Prbm.g_01853
OG0000320	Syaq.g_01655	Prbm.g_01855
OG0000321	Syaq.g_01654	Prbm.g_01856
OG0000322	Syaq.g_01653	Prbm.g_01857
OG0000323	Syaq.g_01638	Prbm.g_01866
OG0000324	Syaq.g_01605	Prbm.g_01893
OG0000325	Syaq.g_00693	Prbm.g_01950
OG0000326	Syaq.g_00686	Prbm.g_01956
OG0000327	Syaq.g_00652	Prbm.g_01991
OG0000328	Syaq.g_00651	Prbm.g_01992
OG0000329	Syaq.g_00633	Prbm.g_02009
OG0000330	Syaq.g_00632	Prbm.g_02010
OG0000331	Syaq.g_00631	Prbm.g_02011
OG0000332	Syaq.g_00616	Prbm.g_02025
OG0000333	Syaq.g_00613	Prbm.g_02027
OG0000334	Syaq.g_00603	Prbm.g_02036
OG0000335	Syaq.g_00598	Prbm.g_02041
OG0000336	Syaq.g_00594	Prbm.g_02045
OG0000337	Syaq.g_00975	Prbm.g_02064
OG0000338	Syaq.g_00981	Prbm.g_02065
OG0000339	Syaq.g_00988	Prbm.g_02070
OG0000340	Syaq.g_01005	Prbm.g_02079
OG0000341	Syaq.g_01007	Prbm.g_02081
OG0000342	Syaq.g_01008	Prbm.g_02082
OG0000343	Syaq.g_01010	Prbm.g_02083
OG0000344	Syaq.g_01014	Prbm.g_02086
OG0000345	Syaq.g_01024	Prbm.g_02091
OG0000346	Syaq.g_01029	Prbm.g_02095
OG0000347	Syaq.g_01057	Prbm.g_02114
OG0000348	Syaq.g_01070	Prbm.g_02149
OG0000349	Syaq.g_01099	Prbm.g_02167
OG0000350	Syaq.g_00679	Prbm.g_02188
OG0000351	Syaq.g_01179	Prbm.g_02212
OG0000352	Syaq.g_01178	Prbm.g_02213
OG0000353	Syaq.g_01151	Prbm.g_02232
OG0000354	Syaq.g_01131	Prbm.g_01220
OG0000355	Syaq.g_01149	Prbm.g_00001
OG0000356	Syaq.g_01148	Prbm.g_00002
OG0000357	Syaq.g_01147	Prbm.g_00003
OG0000358	Syaq.g_01143	Prbm.g_00007
OG0000359	Syaq.g_01141	Prbm.g_00008
OG0000360	Syaq.g_01140	Prbm.g_00009
OG0000361	Syaq.g_01139	Prbm.g_00010
OG0000362	Syaq.g_01137	Prbm.g_00012
OG0000363	Syaq.g_01135	Prbm.g_00014
OG0000364	Syaq.g_01134	Prbm.g_00015
OG0000365	Syaq.g_01125	Prbm.g_00020
OG0000366	Syaq.g_01124	Prbm.g_00021
OG0000367	Syaq.g_01123	Prbm.g_00022
OG0000368	Syaq.g_01121	Prbm.g_00024
OG0000369	Syaq.g_01120	Prbm.g_00025
OG0000370	Syaq.g_01119	Prbm.g_00026
OG0000371	Syaq.g_01111	Prbm.g_00032
OG0000372	Syaq.g_01106	Prbm.g_00033
OG0000373	Syaq.g_01105	Prbm.g_00034
OG0000374	Syaq.g_01104	Prbm.g_00035
OG0000375	Syaq.g_01103	Prbm.g_00049
OG0000376	Syaq.g_01101	Prbm.g_00051
OG0000377	Syaq.g_01270	Prbm.g_00054
OG0000378	Syaq.g_01286	Prbm.g_00056
OG0000379	Syaq.g_01291	Prbm.g_00059
OG0000380	Syaq.g_01560	Prbm.g_00123
OG0000381	Syaq.g_01558	Prbm.g_00127
OG0000382	Syaq.g_01540	Prbm.g_00138
OG0000383	Syaq.g_01535	Prbm.g_00140
OG0000384	Syaq.g_01534	Prbm.g_00141
OG0000385	Syaq.g_01533	Prbm.g_00142
OG0000386	Syaq.g_01532	Prbm.g_00143
OG0000387	Syaq.g_01495	Prbm.g_00156
OG0000388	Syaq.g_01491	Prbm.g_00160
OG0000389	Syaq.g_01488	Prbm.g_00163
OG0000390	Syaq.g_01473	Prbm.g_00172
OG0000391	Syaq.g_01468	Prbm.g_00176
OG0000392	Syaq.g_01463	Prbm.g_00179
OG0000393	Syaq.g_01460	Prbm.g_00182
OG0000394	Syaq.g_01459	Prbm.g_00183
OG0000395	Syaq.g_01458	Prbm.g_00184
OG0000396	Syaq.g_01455	Prbm.g_00187
OG0000397	Syaq.g_01453	Prbm.g_00189
OG0000398	Syaq.g_01448	Prbm.g_00192
OG0000399	Syaq.g_01447	Prbm.g_00193
OG0000400	Syaq.g_01446	Prbm.g_00194
OG0000401	Syaq.g_01445	Prbm.g_00195
OG0000402	Syaq.g_01443	Prbm.g_01096
OG0000403	Syaq.g_01442	Prbm.g_00196
OG0000404	Syaq.g_01440	Prbm.g_00197
OG0000405	Syaq.g_01429	Prbm.g_00202
OG0000406	Syaq.g_01422	Prbm.g_00206
OG0000407	Syaq.g_01421	Prbm.g_00207
OG0000408	Syaq.g_01419	Prbm.g_00209
OG0000409	Syaq.g_01417	Prbm.g_00211
OG0000410	Syaq.g_01416	Prbm.g_00212
OG0000411	Syaq.g_01415	Prbm.g_00213
OG0000412	Syaq.g_01414	Prbm.g_00214
OG0000413	Syaq.g_01412	Prbm.g_00215
OG0000414	Syaq.g_01411	Prbm.g_00216
OG0000415	Syaq.g_01410	Prbm.g_00217
OG0000416	Syaq.g_01409	Prbm.g_00218
OG0000417	Syaq.g_01408	Prbm.g_00219
OG0000418	Syaq.g_01403	Prbm.g_00224
OG0000419	Syaq.g_01401	Prbm.g_00226
OG0000420	Syaq.g_01400	Prbm.g_00227
OG0000421	Syaq.g_01395	Prbm.g_00232
OG0000422	Syaq.g_01394	Prbm.g_00233
OG0000423	Syaq.g_01393	Prbm.g_00234
OG0000424	Syaq.g_01392	Prbm.g_00235
OG0000425	Syaq.g_01391	Prbm.g_00236
OG0000426	Syaq.g_01390	Prbm.g_00237
OG0000427	Syaq.g_01389	Prbm.g_00238
OG0000428	Syaq.g_01386	Prbm.g_00240
OG0000429	Syaq.g_01384	Prbm.g_00241
OG0000430	Syaq.g_01383	Prbm.g_00242
OG0000431	Syaq.g_01380	Prbm.g_00244
OG0000432	Syaq.g_01374	Prbm.g_00248
OG0000433	Syaq.g_01369	Prbm.g_00249
OG0000434	Syaq.g_01368	Prbm.g_00250
OG0000435	Syaq.g_01367	Prbm.g_00251
OG0000436	Syaq.g_01361	Prbm.g_00256
OG0000437	Syaq.g_01360	Prbm.g_00257
OG0000438	Syaq.g_01359	Prbm.g_00258
OG0000439	Syaq.g_01357	Prbm.g_00260
OG0000440	Syaq.g_01356	Prbm.g_00261
OG0000441	Syaq.g_01352	Prbm.g_00263
OG0000442	Syaq.g_01350	Prbm.g_00264
OG0000443	Syaq.g_01347	Prbm.g_00265
OG0000444	Syaq.g_01333	Prbm.g_00270
OG0000445	Syaq.g_01332	Prbm.g_00271
OG0000446	Syaq.g_01330	Prbm.g_00272
OG0000447	Syaq.g_01328	Prbm.g_00273
OG0000448	Syaq.g_01327	Prbm.g_00274
OG0000449	Syaq.g_01320	Prbm.g_00275
OG0000450	Syaq.g_01313	Prbm.g_00276
OG0000451	Syaq.g_01312	Prbm.g_00277
OG0000452	Syaq.g_01308	Prbm.g_00280
OG0000453	Syaq.g_01307	Prbm.g_00281
OG0000454	Syaq.g_01306	Prbm.g_00282
OG0000455	Syaq.g_01305	Prbm.g_00283
OG0000456	Syaq.g_01304	Prbm.g_00284
OG0000457	Syaq.g_01302	Prbm.g_00285
OG0000458	Syaq.g_01299	Prbm.g_00286
OG0000459	Syaq.g_01298	Prbm.g_00287
OG0000460	Syaq.g_01577	Prbm.g_00295
OG0000461	Syaq.g_00707	Prbm.g_00303
OG0000462	Syaq.g_00710	Prbm.g_00305
OG0000463	Syaq.g_00711	Prbm.g_00306
OG0000464	Syaq.g_00712	Prbm.g_00307
OG0000465	Syaq.g_00714	Prbm.g_00308
OG0000466	Syaq.g_00718	Prbm.g_00309
OG0000467	Syaq.g_00720	Prbm.g_00310
OG0000468	Syaq.g_00725	Prbm.g_00312
OG0000469	Syaq.g_00739	Prbm.g_00320
OG0000470	Syaq.g_00741	Prbm.g_00322
OG0000471	Syaq.g_00742	Prbm.g_00323
OG0000472	Syaq.g_00744	Prbm.g_00324
OG0000473	Syaq.g_00746	Prbm.g_00326
OG0000474	Syaq.g_00747	Prbm.g_00327
OG0000475	Syaq.g_00748	Prbm.g_00328
OG0000476	Syaq.g_00750	Prbm.g_00330
OG0000477	Syaq.g_00756	Prbm.g_00332
OG0000478	Syaq.g_00757	Prbm.g_00333
OG0000479	Syaq.g_00759	Prbm.g_00334
OG0000480	Syaq.g_00766	Prbm.g_00339
OG0000481	Syaq.g_00768	Prbm.g_00341
OG0000482	Syaq.g_00769	Prbm.g_00342
OG0000483	Syaq.g_00773	Prbm.g_00345
OG0000484	Syaq.g_00774	Prbm.g_00346
OG0000485	Syaq.g_00775	Prbm.g_00347
OG0000486	Syaq.g_00776	Prbm.g_00348
OG0000487	Syaq.g_00782	Prbm.g_00351
OG0000488	Syaq.g_00845	Prbm.g_00354
OG0000489	Syaq.g_00857	Prbm.g_00359
OG0000490	Syaq.g_00864	Prbm.g_00364
OG0000491	Syaq.g_00865	Prbm.g_00365
OG0000492	Syaq.g_00869	Prbm.g_00367
OG0000493	Syaq.g_00870	Prbm.g_00368
OG0000494	Syaq.g_00871	Prbm.g_00369
OG0000495	Syaq.g_00872	Prbm.g_00370
OG0000496	Syaq.g_00873	Prbm.g_00371
OG0000497	Syaq.g_00874	Prbm.g_00372
OG0000498	Syaq.g_00875	Prbm.g_00373
OG0000499	Syaq.g_00876	Prbm.g_00374
OG0000500	Syaq.g_00877	Prbm.g_00375
OG0000501	Syaq.g_00880	Prbm.g_00376
OG0000502	Syaq.g_00953	Prbm.g_00379
OG0000503	Syaq.g_00559	Prbm.g_00400
OG0000504	Syaq.g_00557	Prbm.g_00402
OG0000505	Syaq.g_00556	Prbm.g_00403
OG0000506	Syaq.g_00554	Prbm.g_00404
OG0000507	Syaq.g_00548	Prbm.g_00407
OG0000508	Syaq.g_00544	Prbm.g_00410
OG0000509	Syaq.g_00542	Prbm.g_00412
OG0000510	Syaq.g_00538	Prbm.g_00413
OG0000511	Syaq.g_00537	Prbm.g_00414
OG0000512	Syaq.g_00535	Prbm.g_00416
OG0000513	Syaq.g_00525	Prbm.g_00426
OG0000514	Syaq.g_00514	Prbm.g_00440
OG0000515	Syaq.g_00513	Prbm.g_00441
OG0000516	Syaq.g_00509	Prbm.g_00442
OG0000517	Syaq.g_00502	Prbm.g_00445
OG0000518	Syaq.g_00490	Prbm.g_00456
OG0000519	Syaq.g_00489	Prbm.g_00457
OG0000520	Syaq.g_00488	Prbm.g_00458
OG0000521	Syaq.g_00477	Prbm.g_00480
OG0000522	Syaq.g_00475	Prbm.g_00482
OG0000523	Syaq.g_00474	Prbm.g_00483
OG0000524	Syaq.g_00469	Prbm.g_00490
OG0000525	Syaq.g_00450	Prbm.g_00494
OG0000526	Syaq.g_00448	Prbm.g_00495
OG0000527	Syaq.g_00444	Prbm.g_00498
OG0000528	Syaq.g_01768	Prbm.g_00504
OG0000529	Syaq.g_01773	Prbm.g_00507
OG0000530	Syaq.g_01776	Prbm.g_00510
OG0000531	Syaq.g_01777	Prbm.g_00511
OG0000532	Syaq.g_01780	Prbm.g_00512
OG0000533	Syaq.g_01782	Prbm.g_00513
OG0000534	Syaq.g_01783	Prbm.g_00514
OG0000535	Syaq.g_01784	Prbm.g_00515
OG0000536	Syaq.g_01785	Prbm.g_00516
OG0000537	Syaq.g_01786	Prbm.g_00517
OG0000538	Syaq.g_01798	Prbm.g_00534
OG0000539	Syaq.g_01799	Prbm.g_00535
OG0000540	Syaq.g_01800	Prbm.g_00536
OG0000541	Syaq.g_01801	Prbm.g_00537
OG0000542	Syaq.g_01804	Prbm.g_00539
OG0000543	Syaq.g_01806	Prbm.g_00541
OG0000544	Syaq.g_02567	Prbm.g_00542
OG0000545	Syaq.g_01809	Prbm.g_00544
OG0000546	Syaq.g_01811	Prbm.g_00547
OG0000547	Syaq.g_01813	Prbm.g_00549
OG0000548	Syaq.g_01814	Prbm.g_00550
OG0000549	Syaq.g_01819	Prbm.g_00553
OG0000550	Syaq.g_01824	Prbm.g_00557
OG0000551	Syaq.g_01829	Prbm.g_00560
OG0000552	Syaq.g_01830	Prbm.g_00561
OG0000553	Syaq.g_01834	Prbm.g_00562
OG0000554	Syaq.g_01839	Prbm.g_00567
OG0000555	Syaq.g_01857	Prbm.g_00575
OG0000556	Syaq.g_01925	Prbm.g_00577
OG0000557	Syaq.g_01927	Prbm.g_00578
