Orthogroup	Prah	Syam
OG0000118	Prah.g_01378	Syam.g_01698
OG0000120	Prah.g_02192	Syam.g_00172
OG0000121	Prah.g_00406	Syam.g_01615
OG0000122	Prah.g_01203	Syam.g_01436
OG0000123	Prah.g_01987	Syam.g_00379
OG0000124	Prah.g_00125	Syam.g_00096
OG0000125	Prah.g_02498	Syam.g_02319
OG0000126	Prah.g_02598	Syam.g_02440
OG0000128	Prah.g_00013	Syam.g_00012
OG0000129	Prah.g_02486	Syam.g_02307
OG0000130	Prah.g_01838	Syam.g_02062
OG0000131	Prah.g_02282	Syam.g_02191
OG0000132	Prah.g_02302	Syam.g_02211
OG0000133	Prah.g_02187	Syam.g_01120
OG0000134	Prah.g_00208	Syam.g_00492
OG0000135	Prah.g_02538	Syam.g_02347
OG0000136	Prah.g_00235	Syam.g_01857
OG0000137	Prah.g_00312	Syam.g_01668
OG0000138	Prah.g_01549	Syam.g_00599
OG0000139	Prah.g_01495	Syam.g_00657
OG0000140	Prah.g_01489	Syam.g_00659
OG0000141	Prah.g_01393	Syam.g_01514
OG0000142	Prah.g_00501	Syam.g_01468
OG0000143	Prah.g_00497	Syam.g_01464
OG0000144	Prah.g_00473	Syam.g_01032
OG0000145	Prah.g_01543	Syam.g_00605
OG0000146	Prah.g_00787	Syam.g_01114
OG0000147	Prah.g_00786	Syam.g_01113
OG0000148	Prah.g_00649	Syam.g_01270
OG0000149	Prah.g_00591	Syam.g_00725
OG0000150	Prah.g_00568	Syam.g_00660
OG0000151	Prah.g_00718	Syam.g_01338
OG0000152	Prah.g_00796	Syam.g_01124
OG0000153	Prah.g_00826	Syam.g_01160
OG0000154	Prah.g_00852	Syam.g_01187
OG0000155	Prah.g_01291	Syam.g_01763
OG0000156	Prah.g_01349	Syam.g_01814
OG0000157	Prah.g_01350	Syam.g_01815
OG0000158	Prah.g_02242	Syam.g_00139
OG0000160	Prah.g_00407	Syam.g_01614
OG0000161	Prah.g_00399	Syam.g_01620
OG0000162	Prah.g_00391	Syam.g_01627
OG0000163	Prah.g_01619	Syam.g_01927
OG0000164	Prah.g_01705	Syam.g_02023
OG0000165	Prah.g_01716	Syam.g_01879, Syam.g_01878
OG0000166	Prah.g_02033	Syam.g_00330
OG0000167	Prah.g_02230	Syam.g_00151
OG0000168	Prah.g_02243	Syam.g_00138
OG0000169	Prah.g_00163	Syam.g_00127
OG0000170	Prah.g_00155	Syam.g_00120
OG0000171	Prah.g_00126	Syam.g_00097
OG0000172	Prah.g_00084	Syam.g_00075
OG0000173	Prah.g_00061	Syam.g_00057
OG0000174	Prah.g_02541	Syam.g_02349
OG0000175	Prah.g_02575	Syam.g_02417
OG0000176	Prah.g_00005	Syam.g_00004
OG0000177	Prah.g_00006	Syam.g_00005
OG0000178	Prah.g_00007	Syam.g_00006
OG0000179	Prah.g_00022	Syam.g_00021
OG0000180	Prah.g_00023	Syam.g_00022
OG0000181	Prah.g_00024	Syam.g_00023
OG0000182	Prah.g_00025	Syam.g_00024
OG0000183	Prah.g_00029	Syam.g_00028
OG0000184	Prah.g_02478	Syam.g_02298
OG0000185	Prah.g_02458	Syam.g_02295
OG0000186	Prah.g_01830	Syam.g_02058
OG0000187	Prah.g_01833	Syam.g_02059
OG0000188	Prah.g_01860	Syam.g_02081
OG0000189	Prah.g_01884	Syam.g_02108
OG0000190	Prah.g_01886	Syam.g_02110
OG0000191	Prah.g_00188	Syam.g_02142
OG0000192	Prah.g_00176, Prah.g_00180	Syam.g_02148
OG0000193	Prah.g_02283	Syam.g_02192
OG0000194	Prah.g_02286	Syam.g_02195
OG0000195	Prah.g_02288	Syam.g_02197
OG0000196	Prah.g_02299	Syam.g_02208
OG0000197	Prah.g_02300	Syam.g_02209
OG0000198	Prah.g_02301	Syam.g_02210
OG0000199	Prah.g_02308	Syam.g_02218
OG0000200	Prah.g_02324	Syam.g_02234
OG0000201	Prah.g_02352	Syam.g_02248
OG0000202	Prah.g_02353	Syam.g_02249
OG0000203	Prah.g_02354	Syam.g_02250
OG0000204	Prah.g_02355	Syam.g_02251
OG0000205	Prah.g_02362	Syam.g_02258
OG0000206	Prah.g_02371	Syam.g_02264
OG0000207	Prah.g_02420	Syam.g_02266
OG0000208	Prah.g_02419	Syam.g_02267
OG0000209	Prah.g_02400	Syam.g_02278
OG0000210	Prah.g_02399	Syam.g_02279
OG0000211	Prah.g_01782	Syam.g_00504
OG0000212	Prah.g_01772	Syam.g_00515
OG0000213	Prah.g_02101	Syam.g_00263
OG0000214	Prah.g_02118	Syam.g_00247
OG0000215	Prah.g_02148	Syam.g_00216
OG0000217	Prah.g_02155	Syam.g_00208
OG0000218	Prah.g_02157	Syam.g_00206
OG0000219	Prah.g_02158	Syam.g_00205
OG0000220	Prah.g_02159	Syam.g_00204
OG0000221	Prah.g_02166	Syam.g_00198
OG0000222	Prah.g_02174	Syam.g_00186
OG0000223	Prah.g_02197	Syam.g_00168
OG0000224	Prah.g_02207	Syam.g_00164
OG0000225	Prah.g_01921	Syam.g_00473
OG0000226	Prah.g_01917	Syam.g_00477
OG0000227	Prah.g_01915	Syam.g_00479
OG0000228	Prah.g_00204	Syam.g_00488
OG0000229	Prah.g_00230	Syam.g_01867
OG0000230	Prah.g_00232	Syam.g_01865
OG0000231	Prah.g_00251	Syam.g_01848
OG0000232	Prah.g_00261	Syam.g_01692
OG0000233	Prah.g_00294	Syam.g_01678
OG0000234	Prah.g_00313, Prah.g_00314	Syam.g_01667
OG0000235	Prah.g_01567	Syam.g_00582
OG0000236	Prah.g_01551	Syam.g_00597
OG0000237	Prah.g_01534	Syam.g_00614
OG0000238	Prah.g_01529	Syam.g_00619
OG0000239	Prah.g_01513	Syam.g_00637
OG0000240	Prah.g_01512	Syam.g_00638
OG0000241	Prah.g_01094	Syam.g_01477
OG0000242	Prah.g_00108, Prah.g_01503	Syam.g_00649
OG0000243	Prah.g_01476	Syam.g_00668
OG0000244	Prah.g_01472	Syam.g_00674
OG0000245	Prah.g_01469	Syam.g_00676
OG0000246	Prah.g_01465	Syam.g_00680
OG0000247	Prah.g_01454	Syam.g_00692
OG0000248	Prah.g_01451	Syam.g_00695
OG0000249	Prah.g_01449	Syam.g_00697
OG0000250	Prah.g_01443	Syam.g_01747
OG0000251	Prah.g_01417	Syam.g_01722
OG0000252	Prah.g_01414	Syam.g_01719
OG0000253	Prah.g_01408	Syam.g_01718
OG0000254	Prah.g_01389	Syam.g_01510
OG0000255	Prah.g_00530	Syam.g_01500
OG0000256	Prah.g_00516	Syam.g_01484
OG0000257	Prah.g_00509	Syam.g_01478
OG0000258	Prah.g_00486	Syam.g_01459
OG0000259	Prah.g_00457	Syam.g_01378
OG0000260	Prah.g_00454	Syam.g_01375
OG0000261	Prah.g_00451	Syam.g_01372
OG0000262	Prah.g_00445	Syam.g_01367
OG0000263	Prah.g_02413	Syam.g_00885
OG0000264	Prah.g_00974	Syam.g_00805
OG0000265	Prah.g_00887	Syam.g_01880
OG0000266	Prah.g_00876	Syam.g_01234
OG0000267	Prah.g_00751	Syam.g_01071
OG0000268	Prah.g_00752	Syam.g_01072
OG0000269	Prah.g_00672	Syam.g_01295
OG0000270	Prah.g_00669	Syam.g_01292
OG0000271	Prah.g_00661	Syam.g_01284
OG0000272	Prah.g_00660	Syam.g_01283
OG0000273	Prah.g_00609	Syam.g_00745
OG0000274	Prah.g_00608	Syam.g_00744
OG0000275	Prah.g_00605	Syam.g_00741
OG0000276	Prah.g_00599	Syam.g_00733
OG0000277	Prah.g_00598	Syam.g_00732
OG0000278	Prah.g_00595	Syam.g_00729
OG0000279	Prah.g_00587	Syam.g_00721
OG0000280	Prah.g_00581	Syam.g_00701
OG0000281	Prah.g_00566	Syam.g_00943
OG0000282	Prah.g_00731	Syam.g_01347
OG0000283	Prah.g_00761	Syam.g_01087
OG0000284	Prah.g_00767	Syam.g_01093
OG0000285	Prah.g_01178	Syam.g_01105
OG0000286	Prah.g_00795	Syam.g_01123
OG0000287	Prah.g_01131	Syam.g_01153
OG0000288	Prah.g_00851	Syam.g_01186
OG0000289	Prah.g_00864	Syam.g_01201
OG0000290	Prah.g_00912	Syam.g_00771
OG0000291	Prah.g_00914	Syam.g_00773
OG0000292	Prah.g_02597	Syam.g_02439
OG0000293	Prah.g_01336	Syam.g_01806
OG0000294	Prah.g_01335	Syam.g_01805
OG0000295	Prah.g_01298	Syam.g_01771
OG0000296	Prah.g_01296	Syam.g_01769
OG0000297	Prah.g_01259	Syam.g_00906
OG0000298	Prah.g_01258	Syam.g_00905
OG0000299	Prah.g_01268	Syam.g_00878
OG0000300	Prah.g_01275	Syam.g_00871
OG0000301	Prah.g_01276	Syam.g_00870
OG0000302	Prah.g_01279	Syam.g_00868
OG0000303	Prah.g_01289	Syam.g_00859
OG0000304	Prah.g_01237, Prah.g_01238	Syam.g_00853
OG0000305	Prah.g_00918	Syam.g_00776
OG0000306	Prah.g_00560	Syam.g_01757
OG0000307	Prah.g_01584	Syam.g_00566
OG0000308	Prah.g_01586	Syam.g_00564
OG0000309	Prah.g_01590	Syam.g_00559
OG0000310	Prah.g_00428	Syam.g_01591
OG0000311	Prah.g_00424	Syam.g_01595
OG0000312	Prah.g_00420	Syam.g_01601
OG0000313	Prah.g_00402	Syam.g_01617
OG0000314	Prah.g_00371	Syam.g_01647
OG0000315	Prah.g_00361	Syam.g_01658
OG0000316	Prah.g_01631	Syam.g_01945
OG0000317	Prah.g_01672	Syam.g_01987
OG0000318	Prah.g_01677	Syam.g_01991
OG0000319	Prah.g_01694	Syam.g_02006
OG0000320	Prah.g_01696	Syam.g_02008
OG0000321	Prah.g_01697	Syam.g_02009
OG0000322	Prah.g_01698	Syam.g_02010
OG0000323	Prah.g_01710	Syam.g_02025
OG0000324	Prah.g_01744	Syam.g_01906
OG0000325	Prah.g_02071	Syam.g_00289
OG0000326	Prah.g_02064	Syam.g_00296
OG0000327	Prah.g_02038	Syam.g_00325
OG0000328	Prah.g_02037	Syam.g_00326
OG0000329	Prah.g_02020	Syam.g_00344
OG0000330	Prah.g_02019	Syam.g_00345
OG0000331	Prah.g_02018	Syam.g_00346
OG0000332	Prah.g_02003	Syam.g_00361
OG0000333	Prah.g_02001	Syam.g_00364
OG0000334	Prah.g_01991	Syam.g_00375
OG0000335	Prah.g_01986	Syam.g_00380
OG0000336	Prah.g_01982	Syam.g_00384
OG0000337	Prah.g_02224	Syam.g_00155
OG0000338	Prah.g_02227	Syam.g_00153
OG0000339	Prah.g_02234	Syam.g_00147
OG0000340	Prah.g_02244	Syam.g_00137
OG0000341	Prah.g_02246	Syam.g_00135
OG0000342	Prah.g_02247	Syam.g_00134
OG0000343	Prah.g_00168	Syam.g_00133
OG0000344	Prah.g_00165	Syam.g_00129
OG0000345	Prah.g_00154	Syam.g_00119
OG0000346	Prah.g_00149	Syam.g_00114
OG0000347	Prah.g_00089	Syam.g_00083
OG0000348	Prah.g_00078	Syam.g_00068
OG0000349	Prah.g_00053	Syam.g_00050
OG0000350	Prah.g_02533	Syam.g_00303
OG0000351	Prah.g_02578	Syam.g_02420
OG0000352	Prah.g_02579	Syam.g_02421
OG0000353	Prah.g_02603	Syam.g_02445
OG0000354	Prah.g_01523	Syam.g_00626, Syam.g_00625
OG0000355	Prah.g_00002	Syam.g_00001
OG0000356	Prah.g_00003	Syam.g_00002
OG0000357	Prah.g_00004	Syam.g_00003
OG0000358	Prah.g_00008	Syam.g_00007
OG0000359	Prah.g_00010	Syam.g_00009
OG0000360	Prah.g_00011	Syam.g_00010
OG0000361	Prah.g_00012	Syam.g_00011
OG0000362	Prah.g_00014	Syam.g_00013
OG0000363	Prah.g_00016	Syam.g_00015
OG0000364	Prah.g_00017	Syam.g_00016
OG0000365	Prah.g_00026	Syam.g_00025
OG0000366	Prah.g_00027	Syam.g_00026
OG0000367	Prah.g_00028	Syam.g_00027
OG0000368	Prah.g_00030	Syam.g_00029
OG0000369	Prah.g_00031	Syam.g_00030
OG0000370	Prah.g_00032	Syam.g_00031
OG0000371	Prah.g_00041	Syam.g_00038
OG0000372	Prah.g_00046	Syam.g_00043
OG0000373	Prah.g_00047	Syam.g_00044
OG0000374	Prah.g_00048	Syam.g_00045
OG0000375	Prah.g_00049	Syam.g_00046
OG0000376	Prah.g_00051	Syam.g_00048
OG0000377	Prah.g_02485	Syam.g_02306
OG0000378	Prah.g_02471	Syam.g_02297
OG0000379	Prah.g_02457	Syam.g_02294
OG0000380	Prah.g_01834	Syam.g_02060
OG0000381	Prah.g_01839	Syam.g_02063
OG0000382	Prah.g_01859	Syam.g_02080
OG0000383	Prah.g_01861	Syam.g_02083
OG0000384	Prah.g_01862	Syam.g_02084
OG0000385	Prah.g_01863	Syam.g_02085
OG0000386	Prah.g_01864	Syam.g_02086
OG0000387	Prah.g_01888	Syam.g_02112
OG0000388	Prah.g_01892	Syam.g_02116
OG0000389	Prah.g_01896	Syam.g_02120
OG0000390	Prah.g_00194	Syam.g_02136
OG0000391	Prah.g_00189	Syam.g_02141
OG0000392	Prah.g_00183	Syam.g_02147
OG0000393	Prah.g_00175	Syam.g_02149
OG0000394	Prah.g_00174	Syam.g_02150
OG0000395	Prah.g_00173	Syam.g_02151
OG0000396	Prah.g_02252	Syam.g_02153
OG0000397	Prah.g_02254	Syam.g_02160
OG0000398	Prah.g_02259	Syam.g_02165
OG0000399	Prah.g_02260	Syam.g_02166
OG0000400	Prah.g_02261	Syam.g_02167
OG0000401	Prah.g_02262	Syam.g_02168
OG0000402	Prah.g_02264	Syam.g_02171
OG0000403	Prah.g_02265	Syam.g_02172
OG0000405	Prah.g_02280	Syam.g_02189
OG0000406	Prah.g_02284	Syam.g_02193
OG0000407	Prah.g_02285	Syam.g_02194
OG0000408	Prah.g_02287	Syam.g_02196
OG0000409	Prah.g_02289	Syam.g_02198
OG0000410	Prah.g_02290	Syam.g_02199
OG0000411	Prah.g_02291	Syam.g_02200
OG0000412	Prah.g_02292	Syam.g_02201
OG0000413	Prah.g_02294	Syam.g_02203
OG0000414	Prah.g_02295	Syam.g_02204
OG0000415	Prah.g_02296	Syam.g_02205
OG0000416	Prah.g_02297	Syam.g_02206
OG0000417	Prah.g_02298	Syam.g_02207
OG0000418	Prah.g_02303	Syam.g_02212
OG0000419	Prah.g_02305	Syam.g_02214
OG0000420	Prah.g_02306	Syam.g_02216
OG0000421	Prah.g_02310	Syam.g_02221
OG0000422	Prah.g_02311	Syam.g_02222
OG0000423	Prah.g_02312	Syam.g_02223
OG0000424	Prah.g_02313	Syam.g_02224
OG0000425	Prah.g_02314	Syam.g_02225
OG0000426	Prah.g_02315	Syam.g_02226
OG0000427	Prah.g_02316	Syam.g_02227
OG0000428	Prah.g_00709	Syam.g_02230
OG0000429	Prah.g_02321	Syam.g_02232
OG0000430	Prah.g_02323	Syam.g_02233
OG0000431	Prah.g_02334	Syam.g_02237
OG0000432	Prah.g_02341	Syam.g_02243
OG0000433	Prah.g_02344	Syam.g_02244
OG0000434	Prah.g_02345	Syam.g_02245
OG0000435	Prah.g_02350	Syam.g_02246
OG0000436	Prah.g_02356	Syam.g_02252
OG0000437	Prah.g_02357	Syam.g_02253
OG0000438	Prah.g_02358	Syam.g_02254
OG0000439	Prah.g_02360	Syam.g_02256
OG0000440	Prah.g_02361	Syam.g_02257
OG0000441	Prah.g_02364	Syam.g_02261
OG0000442	Prah.g_02365	Syam.g_02262
OG0000443	Prah.g_02370	Syam.g_02263
OG0000444	Prah.g_02418	Syam.g_02268
OG0000445	Prah.g_02417	Syam.g_02269
OG0000446	Prah.g_02415	Syam.g_02270
OG0000447	Prah.g_02411	Syam.g_02272
OG0000448	Prah.g_02410	Syam.g_02273
OG0000449	Prah.g_02409	Syam.g_02274
OG0000450	Prah.g_02403	Syam.g_02275
OG0000451	Prah.g_02402	Syam.g_02276
OG0000452	Prah.g_02398	Syam.g_02280
OG0000453	Prah.g_02397	Syam.g_02281
OG0000454	Prah.g_02396	Syam.g_02282
OG0000455	Prah.g_02395	Syam.g_02283
OG0000456	Prah.g_02394	Syam.g_02284
OG0000457	Prah.g_02392	Syam.g_02286
OG0000458	Prah.g_02391	Syam.g_02287
OG0000459	Prah.g_02390	Syam.g_02288
OG0000460	Prah.g_01781	Syam.g_00506
OG0000461	Prah.g_02074	Syam.g_00284
OG0000462	Prah.g_02078	Syam.g_00281
OG0000463	Prah.g_02079	Syam.g_00280
OG0000464	Prah.g_02080	Syam.g_00279
OG0000465	Prah.g_02082	Syam.g_00277
OG0000466	Prah.g_02087	Syam.g_00273
OG0000467	Prah.g_02089	Syam.g_00271
OG0000468	Prah.g_02098	Syam.g_00266
OG0000469	Prah.g_02111	Syam.g_00253
OG0000470	Prah.g_02114	Syam.g_00251
OG0000471	Prah.g_02115	Syam.g_00250
OG0000472	Prah.g_02117	Syam.g_00248
OG0000473	Prah.g_02119	Syam.g_00246
OG0000474	Prah.g_02120	Syam.g_00245
OG0000475	Prah.g_02121	Syam.g_00244
OG0000476	Prah.g_02123	Syam.g_00242
OG0000477	Prah.g_02128	Syam.g_00236
OG0000478	Prah.g_02129	Syam.g_00235
OG0000479	Prah.g_02130	Syam.g_00234
OG0000480	Prah.g_02137	Syam.g_00227
OG0000481	Prah.g_02139	Syam.g_00225
OG0000482	Prah.g_02140	Syam.g_00224
OG0000483	Prah.g_02144	Syam.g_00220
OG0000484	Prah.g_02145	Syam.g_00219
OG0000485	Prah.g_02146	Syam.g_00218
OG0000486	Prah.g_02147	Syam.g_00217
OG0000487	Prah.g_02152	Syam.g_00211
OG0000488	Prah.g_02156	Syam.g_00207
OG0000489	Prah.g_02167	Syam.g_00197
OG0000490	Prah.g_02172	Syam.g_00189
OG0000491	Prah.g_02173	Syam.g_00187
OG0000492	Prah.g_02175	Syam.g_00185
OG0000493	Prah.g_02176	Syam.g_00184
OG0000494	Prah.g_02177	Syam.g_00183
OG0000495	Prah.g_02178	Syam.g_00182
OG0000496	Prah.g_02179	Syam.g_00181
OG0000497	Prah.g_02180	Syam.g_00180
OG0000498	Prah.g_02181	Syam.g_00179
OG0000499	Prah.g_02182	Syam.g_00178
OG0000500	Prah.g_02183	Syam.g_00177
OG0000501	Prah.g_02186	Syam.g_00174
OG0000502	Prah.g_02199	Syam.g_00165
OG0000503	Prah.g_01940	Syam.g_00457
OG0000504	Prah.g_01938	Syam.g_00459
OG0000505	Prah.g_01937	Syam.g_00460
OG0000506	Prah.g_01935	Syam.g_00462
OG0000507	Prah.g_01930	Syam.g_00468
OG0000508	Prah.g_01922	Syam.g_00472
OG0000509	Prah.g_01920	Syam.g_00474
OG0000510	Prah.g_01919	Syam.g_00475
OG0000511	Prah.g_01918	Syam.g_00476
OG0000512	Prah.g_01916	Syam.g_00478
OG0000513	Prah.g_00209	Syam.g_00493
OG0000514	Prah.g_00218	Syam.g_00499
OG0000515	Prah.g_00219	Syam.g_00500
OG0000516	Prah.g_00221	Syam.g_01862
OG0000517	Prah.g_00229	Syam.g_01868
OG0000518	Prah.g_00241	Syam.g_01851
OG0000519	Prah.g_00242	Syam.g_01850
OG0000520	Prah.g_00247	Syam.g_01849
OG0000521	Prah.g_00255	Syam.g_01696
OG0000522	Prah.g_00257	Syam.g_01694
OG0000523	Prah.g_00258	Syam.g_01693
OG0000524	Prah.g_00290	Syam.g_01681
OG0000525	Prah.g_00304	Syam.g_01677
OG0000526	Prah.g_00306	Syam.g_01674
OG0000527	Prah.g_00310	Syam.g_01670
OG0000528	Prah.g_01572	Syam.g_00580
OG0000529	Prah.g_01565	Syam.g_00584
OG0000530	Prah.g_01562	Syam.g_00587
OG0000531	Prah.g_01561	Syam.g_00588
OG0000532	Prah.g_01558	Syam.g_00591
OG0000533	Prah.g_01556	Syam.g_00592
OG0000534	Prah.g_01555	Syam.g_00593
OG0000535	Prah.g_01554	Syam.g_00594
OG0000536	Prah.g_01553	Syam.g_00595
OG0000537	Prah.g_01552	Syam.g_00596
OG0000538	Prah.g_01541	Syam.g_00607
OG0000539	Prah.g_01540	Syam.g_00608
OG0000540	Prah.g_01539	Syam.g_00609
OG0000541	Prah.g_01538	Syam.g_00610
OG0000542	Prah.g_01535	Syam.g_00613
OG0000543	Prah.g_01533	Syam.g_00615
OG0000544	Prah.g_01532	Syam.g_00616
OG0000545	Prah.g_01530	Syam.g_00618
OG0000546	Prah.g_01528	Syam.g_00620
OG0000547	Prah.g_01526	Syam.g_00622
OG0000548	Prah.g_01525	Syam.g_00623
OG0000549	Prah.g_01519	Syam.g_00630
OG0000550	Prah.g_01514	Syam.g_00635
OG0000551	Prah.g_01510	Syam.g_00640
OG0000552	Prah.g_01509	Syam.g_00641
OG0000553	Prah.g_01505	Syam.g_00643
OG0000554	Prah.g_01500	Syam.g_00652
OG0000555	Prah.g_01480	Syam.g_00667
OG0000556	Prah.g_01474	Syam.g_00670
OG0000557	Prah.g_01473	Syam.g_00672
OG0000558	Prah.g_01470	Syam.g_00675
OG0000559	Prah.g_01466	Syam.g_00679
OG0000560	Prah.g_01463	Syam.g_00682
OG0000561	Prah.g_01462	Syam.g_00683
OG0000562	Prah.g_01461	Syam.g_00684
OG0000563	Prah.g_01460	Syam.g_00685
OG0000564	Prah.g_01459	Syam.g_00686
OG0000565	Prah.g_01457	Syam.g_00690
OG0000566	Prah.g_01452	Syam.g_00694
OG0000567	Prah.g_01448	Syam.g_00698
OG0000568	Prah.g_01446	Syam.g_01751
OG0000569	Prah.g_01445	Syam.g_01750
OG0000570	Prah.g_01444	Syam.g_01749
OG0000571	Prah.g_01441	Syam.g_01745
OG0000572	Prah.g_01425	Syam.g_01729
OG0000573	Prah.g_01416	Syam.g_01721
OG0000574	Prah.g_01415	Syam.g_01720
OG0000575	Prah.g_01406	Syam.g_01716
OG0000576	Prah.g_01404	Syam.g_01714
OG0000577	Prah.g_01403	Syam.g_01713
OG0000578	Prah.g_01402	Syam.g_01712
OG0000579	Prah.g_01401	Syam.g_01711
OG0000580	Prah.g_01400	Syam.g_01710
OG0000581	Prah.g_01396	Syam.g_01704
OG0000582	Prah.g_01392	Syam.g_01513
OG0000583	Prah.g_01391	Syam.g_01512
OG0000584	Prah.g_01390	Syam.g_01511
OG0000585	Prah.g_01388	Syam.g_01509
OG0000586	Prah.g_01387	Syam.g_01508
OG0000587	Prah.g_01385	Syam.g_01506
OG0000588	Prah.g_00529	Syam.g_01498
OG0000589	Prah.g_00526	Syam.g_01494
OG0000590	Prah.g_00525	Syam.g_01493
