Orthogroup	Prah	Syar
OG0000042	Prah.g_00135, Prah.g_01256	Syar.g_00595, Syar.g_01970
OG0000044	Prah.g_00994, Prah.g_00343	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Prah.g_01837	Syar.g_02592
OG0000046	Prah.g_01955	Syar.g_03233, Syar.g_01102, Syar.g_01105
OG0000048	Prah.g_02122	Syar.g_00213
OG0000051	Prah.g_01166, Prah.g_00717	Syar.g_01597
OG0000052	Prah.g_02219	Syar.g_02742, Syar.g_02751, Syar.g_00281
OG0000053	Prah.g_00381	Syar.g_01413
OG0000054	Prah.g_01394	Syar.g_02265
OG0000055	Prah.g_00942	Syar.g_01386
OG0000056	Prah.g_00341	Syar.g_01662
OG0000057	Prah.g_01027	Syar.g_01941, Syar.g_00006
OG0000058	Prah.g_02195	Syar.g_00648
OG0000059	Prah.g_02043	Syar.g_01024
OG0000060	Prah.g_01569	Syar.g_01260
OG0000061	Prah.g_01322	Syar.g_01539
OG0000062	Prah.g_01654	Syar.g_02911
OG0000063	Prah.g_00042	Syar.g_00509
OG0000065	Prah.g_01897	Syar.g_03119
OG0000066	Prah.g_01485	Syar.g_03187, Syar.g_02228
OG0000068	Prah.g_01576	Syar.g_02329, Syar.g_01461
OG0000070	Prah.g_00252	Syar.g_02223, Syar.g_03150
OG0000071	Prah.g_01364	Syar.g_02777
OG0000072	Prah.g_02309	Syar.g_00107, Syar.g_01140
OG0000073	Prah.g_01544	Syar.g_01493
OG0000075	Prah.g_02232	Syar.g_03065, Syar.g_00659
OG0000076	Prah.g_00150	Syar.g_00608
OG0000078	Prah.g_01773	Syar.g_03265, Syar.g_03018
OG0000079	Prah.g_02090, Prah.g_01868	Syar.g_00166
OG0000082	Prah.g_01427	Syar.g_02202
OG0000085	Prah.g_01666	Syar.g_02919
OG0000086	Prah.g_01866	Syar.g_03085
OG0000087	Prah.g_02268	Syar.g_03192, Syar.g_00068
OG0000088	Prah.g_00957	Syar.g_00101
OG0000089	Prah.g_00205	Syar.g_01162
OG0000090	Prah.g_01501	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prah.g_00493	Syar.g_01891, Syar.g_02426
OG0000093	Prah.g_00692	Syar.g_02623
OG0000094	Prah.g_02518	Syar.g_01789
OG0000095	Prah.g_00915	Syar.g_01932
OG0000097	Prah.g_01272	Syar.g_01706
OG0000098	Prah.g_00327	Syar.g_02343
OG0000099	Prah.g_02191	Syar.g_00715
OG0000100	Prah.g_01791, Prah.g_00636	Syar.g_02477
OG0000101	Prah.g_01995	Syar.g_03154
OG0000102	Prah.g_00144	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prah.g_02586	Syar.g_00014, Syar.g_00452
OG0000104	Prah.g_02600	Syar.g_00466
OG0000105	Prah.g_02126	Syar.g_00218
OG0000106	Prah.g_01660	Syar.g_01748
OG0000107	Prah.g_02072	Syar.g_00149
OG0000108	Prah.g_01566	Syar.g_01469
OG0000109	Prah.g_01550	Syar.g_03310, Syar.g_01485
OG0000110	Prah.g_01439	Syar.g_02295
OG0000111	Prah.g_01028	Syar.g_01940, Syar.g_00005
OG0000112	Prah.g_00788	Syar.g_02548
OG0000113	Prah.g_00641	Syar.g_02664
OG0000114	Prah.g_00733	Syar.g_01616
OG0000115	Prah.g_00383	Syar.g_02854, Syar.g_01415
OG0000116	Prah.g_01337	Syar.g_01525, Syar.g_02255
OG0000117	Prah.g_01257	Syar.g_01969
OG0000118	Prah.g_01378	Syar.g_02793
OG0000120	Prah.g_02192	Syar.g_00713
OG0000121	Prah.g_00406	Syar.g_02806
OG0000123	Prah.g_01987	Syar.g_01079
OG0000124	Prah.g_00125	Syar.g_00586
OG0000125	Prah.g_02498	Syar.g_00338
OG0000126	Prah.g_02598	Syar.g_00887, Syar.g_00888
OG0000128	Prah.g_00013	Syar.g_00482
OG0000129	Prah.g_02486	Syar.g_00324
OG0000130	Prah.g_01838	Syar.g_03040
OG0000131	Prah.g_02282	Syar.g_00078
OG0000132	Prah.g_02302	Syar.g_00099
OG0000133	Prah.g_02187	Syar.g_02543
OG0000134	Prah.g_00208	Syar.g_02009, Syar.g_01165
OG0000135	Prah.g_02538	Syar.g_00698
OG0000136	Prah.g_00235	Syar.g_02874
OG0000137	Prah.g_00312	Syar.g_01273
OG0000138	Prah.g_01549	Syar.g_01486
OG0000139	Prah.g_01495	Syar.g_03245, Syar.g_02348
OG0000140	Prah.g_01489	Syar.g_02344, Syar.g_03246
OG0000141	Prah.g_01393	Syar.g_02129
OG0000142	Prah.g_00501	Syar.g_02418
OG0000143	Prah.g_00497	Syar.g_02422
OG0000144	Prah.g_00473	Syar.g_02441
OG0000145	Prah.g_01543	Syar.g_01494, Syar.g_03205
OG0000146	Prah.g_00787	Syar.g_02549
OG0000147	Prah.g_00786	Syar.g_02550
OG0000148	Prah.g_00649	Syar.g_02658
OG0000149	Prah.g_00591	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prah.g_00568	Syar.g_02130
OG0000151	Prah.g_00718	Syar.g_02038
OG0000152	Prah.g_00796	Syar.g_02539
OG0000153	Prah.g_00826	Syar.g_03283, Syar.g_02503
OG0000154	Prah.g_00852	Syar.g_01800
OG0000155	Prah.g_01291	Syar.g_01959
OG0000156	Prah.g_01349	Syar.g_01517
OG0000157	Prah.g_01350	Syar.g_01516
OG0000158	Prah.g_02242	Syar.g_00650
OG0000160	Prah.g_00407	Syar.g_02807
OG0000161	Prah.g_00399	Syar.g_02801
OG0000162	Prah.g_00391	Syar.g_02863
OG0000163	Prah.g_01619	Syar.g_00639, Syar.g_01186
OG0000164	Prah.g_01705	Syar.g_03168, Syar.g_02969
OG0000165	Prah.g_01716	Syar.g_02976
OG0000166	Prah.g_02033	Syar.g_01034
OG0000167	Prah.g_02230	Syar.g_00662
OG0000168	Prah.g_02243	Syar.g_00246
OG0000169	Prah.g_00163	Syar.g_00262
OG0000170	Prah.g_00155	Syar.g_00613
OG0000171	Prah.g_00126	Syar.g_00587
OG0000172	Prah.g_00084	Syar.g_00547
OG0000173	Prah.g_00061	Syar.g_00528
OG0000174	Prah.g_02541	Syar.g_00701
OG0000175	Prah.g_02575	Syar.g_00438
OG0000176	Prah.g_00005	Syar.g_00474
OG0000177	Prah.g_00006	Syar.g_00475
OG0000178	Prah.g_00007	Syar.g_00476
OG0000179	Prah.g_00022	Syar.g_00489
OG0000180	Prah.g_00023	Syar.g_00490
OG0000181	Prah.g_00024	Syar.g_00491
OG0000182	Prah.g_00025	Syar.g_00492
OG0000183	Prah.g_00029	Syar.g_00496
OG0000184	Prah.g_02478	Syar.g_00897
OG0000185	Prah.g_02458	Syar.g_00909
OG0000186	Prah.g_01830	Syar.g_03036
OG0000187	Prah.g_01833	Syar.g_03038
OG0000188	Prah.g_01860	Syar.g_03058
OG0000189	Prah.g_01884	Syar.g_03104
OG0000190	Prah.g_01886	Syar.g_03107, Syar.g_02374
OG0000191	Prah.g_00188	Syar.g_00039
OG0000192	Prah.g_00176, Prah.g_00180	Syar.g_00046
OG0000193	Prah.g_02283	Syar.g_00079
OG0000194	Prah.g_02286	Syar.g_03236, Syar.g_00082
OG0000195	Prah.g_02288	Syar.g_00023, Syar.g_00084
OG0000196	Prah.g_02299	Syar.g_00096
OG0000197	Prah.g_02300	Syar.g_00097
OG0000198	Prah.g_02301	Syar.g_00098
OG0000199	Prah.g_02308	Syar.g_00106
OG0000200	Prah.g_02324	Syar.g_00124
OG0000201	Prah.g_02352	Syar.g_01000
OG0000202	Prah.g_02353	Syar.g_00998, Syar.g_00021
OG0000203	Prah.g_02354	Syar.g_00020, Syar.g_00997
OG0000204	Prah.g_02355	Syar.g_00996
OG0000205	Prah.g_02362	Syar.g_00988
OG0000206	Prah.g_02371	Syar.g_00963
OG0000207	Prah.g_02420	Syar.g_00957
OG0000208	Prah.g_02419	Syar.g_00956
OG0000209	Prah.g_02400	Syar.g_00936, Syar.g_03261
OG0000210	Prah.g_02399	Syar.g_00935, Syar.g_03260
OG0000211	Prah.g_01782	Syar.g_03026
OG0000212	Prah.g_01772	Syar.g_03017
OG0000213	Prah.g_02101	Syar.g_00187
OG0000214	Prah.g_02118	Syar.g_00209
OG0000215	Prah.g_02148	Syar.g_00239
OG0000216	Prah.g_02151	Syar.g_00244
OG0000217	Prah.g_02155	Syar.g_00854
OG0000218	Prah.g_02157	Syar.g_00852
OG0000219	Prah.g_02158	Syar.g_00851
OG0000220	Prah.g_02159	Syar.g_00850, Syar.g_02026
OG0000221	Prah.g_02166	Syar.g_00834
OG0000222	Prah.g_02174	Syar.g_02119, Syar.g_00728
OG0000223	Prah.g_02197	Syar.g_00649
OG0000224	Prah.g_02207	Syar.g_00762, Syar.g_00273
OG0000225	Prah.g_01921	Syar.g_01142
OG0000226	Prah.g_01917	Syar.g_01146
OG0000227	Prah.g_01915	Syar.g_01148
OG0000228	Prah.g_00204	Syar.g_01161
OG0000229	Prah.g_00230	Syar.g_01177, Syar.g_03273
OG0000230	Prah.g_00232	Syar.g_01179, Syar.g_03275
OG0000231	Prah.g_00251	Syar.g_02865, Syar.g_03151
OG0000232	Prah.g_00261	Syar.g_01424
OG0000233	Prah.g_00294	Syar.g_03183, Syar.g_01247
OG0000234	Prah.g_00313, Prah.g_00314	Syar.g_01275
OG0000235	Prah.g_01567	Syar.g_01468
OG0000236	Prah.g_01551	Syar.g_03311, Syar.g_01484
OG0000237	Prah.g_01534	Syar.g_01503
OG0000238	Prah.g_01529	Syar.g_01508
OG0000239	Prah.g_01513	Syar.g_03277, Syar.g_02687
OG0000240	Prah.g_01512	Syar.g_03278, Syar.g_02686
OG0000241	Prah.g_01094	Syar.g_02410
OG0000242	Prah.g_00108, Prah.g_01503	Syar.g_01926
OG0000243	Prah.g_01476	Syar.g_02335
OG0000244	Prah.g_01472	Syar.g_02327
OG0000245	Prah.g_01469	Syar.g_02325, Syar.g_03238
OG0000246	Prah.g_01465	Syar.g_02321
OG0000247	Prah.g_01454	Syar.g_02310
OG0000248	Prah.g_01451	Syar.g_02307, Syar.g_03293
OG0000249	Prah.g_01449	Syar.g_02305
OG0000250	Prah.g_01443	Syar.g_02299, Syar.g_03194
OG0000251	Prah.g_01417	Syar.g_03207, Syar.g_02194
OG0000252	Prah.g_01414	Syar.g_02189, Syar.g_03263
OG0000253	Prah.g_01408	Syar.g_02028
OG0000254	Prah.g_01389	Syar.g_02169
OG0000255	Prah.g_00530	Syar.g_00011
OG0000256	Prah.g_00516	Syar.g_02244
OG0000257	Prah.g_00509	Syar.g_02407, Syar.g_01762
OG0000258	Prah.g_00486	Syar.g_02427, Syar.g_00010
OG0000259	Prah.g_00457	Syar.g_02472
OG0000260	Prah.g_00454	Syar.g_03220, Syar.g_02475
OG0000261	Prah.g_00451	Syar.g_01916
OG0000262	Prah.g_00445	Syar.g_01690
OG0000263	Prah.g_02413	Syar.g_01991
OG0000264	Prah.g_00974	Syar.g_02135, Syar.g_03267
OG0000266	Prah.g_00876	Syar.g_01570
OG0000267	Prah.g_00751	Syar.g_01873
OG0000268	Prah.g_00752	Syar.g_02589
OG0000269	Prah.g_00672	Syar.g_02634
OG0000270	Prah.g_00669	Syar.g_00744, Syar.g_02637
OG0000271	Prah.g_00661	Syar.g_02645
OG0000272	Prah.g_00660	Syar.g_02646
OG0000273	Prah.g_00609	Syar.g_00008
OG0000274	Prah.g_00608	Syar.g_02482
OG0000275	Prah.g_00605	Syar.g_01810
OG0000276	Prah.g_00599	Syar.g_01817
OG0000277	Prah.g_00598	Syar.g_01818, Syar.g_03242
OG0000278	Prah.g_00595	Syar.g_01821, Syar.g_03174
OG0000279	Prah.g_00587	Syar.g_01838
OG0000280	Prah.g_00581	Syar.g_02067, Syar.g_00734
OG0000281	Prah.g_00566	Syar.g_02218
OG0000282	Prah.g_00731	Syar.g_01614, Syar.g_03255
OG0000283	Prah.g_00761	Syar.g_02574
OG0000284	Prah.g_00767	Syar.g_03258, Syar.g_02568
OG0000285	Prah.g_01178	Syar.g_02560
OG0000286	Prah.g_00795	Syar.g_02540
OG0000287	Prah.g_01131	Syar.g_02512
OG0000288	Prah.g_00851	Syar.g_01801
OG0000289	Prah.g_00864	Syar.g_03305, Syar.g_01786
OG0000290	Prah.g_00912	Syar.g_01928
OG0000291	Prah.g_00914	Syar.g_01930
OG0000292	Prah.g_02597	Syar.g_00463
OG0000293	Prah.g_01336	Syar.g_03297, Syar.g_01526
OG0000294	Prah.g_01335	Syar.g_01527, Syar.g_03296
OG0000295	Prah.g_01298	Syar.g_01951, Syar.g_03208
OG0000296	Prah.g_01296	Syar.g_01953
OG0000297	Prah.g_01259	Syar.g_01967, Syar.g_03216
OG0000298	Prah.g_01258	Syar.g_01968, Syar.g_03215
OG0000299	Prah.g_01268	Syar.g_01704
OG0000300	Prah.g_01275	Syar.g_01646, Syar.g_01711
OG0000301	Prah.g_01276	Syar.g_01712
OG0000302	Prah.g_01279	Syar.g_01713
OG0000303	Prah.g_01289	Syar.g_03136, Syar.g_01723
OG0000304	Prah.g_01237, Prah.g_01238	Syar.g_01728
OG0000305	Prah.g_00918	Syar.g_01933, Syar.g_03163
OG0000306	Prah.g_00560	Syar.g_01884
OG0000307	Prah.g_01584	Syar.g_01452, Syar.g_03153
OG0000308	Prah.g_01586	Syar.g_01450
OG0000309	Prah.g_01590	Syar.g_01239
OG0000310	Prah.g_00428	Syar.g_02826
OG0000311	Prah.g_00424	Syar.g_02823
OG0000312	Prah.g_00420	Syar.g_00015, Syar.g_02818
OG0000313	Prah.g_00402	Syar.g_02804
OG0000314	Prah.g_00371	Syar.g_01403
OG0000315	Prah.g_00361	Syar.g_01393
OG0000316	Prah.g_01631	Syar.g_02885
OG0000317	Prah.g_01672	Syar.g_02926
OG0000318	Prah.g_01677	Syar.g_02930
OG0000319	Prah.g_01694	Syar.g_02954
OG0000320	Prah.g_01696	Syar.g_02956
OG0000321	Prah.g_01697	Syar.g_02957
OG0000322	Prah.g_01698	Syar.g_02958
OG0000323	Prah.g_01710	Syar.g_02973
OG0000324	Prah.g_01744	Syar.g_00350, Syar.g_03001
OG0000325	Prah.g_02071	Syar.g_03291, Syar.g_00148
OG0000326	Prah.g_02064	Syar.g_00139, Syar.g_03134
OG0000327	Prah.g_02038	Syar.g_01029
OG0000328	Prah.g_02037	Syar.g_01030
OG0000329	Prah.g_02020	Syar.g_03189, Syar.g_01048
OG0000330	Prah.g_02019	Syar.g_03190, Syar.g_01049
OG0000331	Prah.g_02018	Syar.g_01050, Syar.g_03191
OG0000332	Prah.g_02003	Syar.g_01064, Syar.g_03299
OG0000333	Prah.g_02001	Syar.g_01067
OG0000334	Prah.g_01991	Syar.g_01076
OG0000335	Prah.g_01986	Syar.g_01080
OG0000336	Prah.g_01982	Syar.g_01084
OG0000337	Prah.g_02224	Syar.g_00285
OG0000338	Prah.g_02227	Syar.g_03225, Syar.g_00287
OG0000339	Prah.g_02234	Syar.g_00658
OG0000340	Prah.g_02244	Syar.g_00247
OG0000341	Prah.g_02246	Syar.g_00249
OG0000342	Prah.g_02247	Syar.g_00250
OG0000343	Prah.g_00168	Syar.g_00256
OG0000344	Prah.g_00165	Syar.g_00260
OG0000345	Prah.g_00154	Syar.g_00612
OG0000346	Prah.g_00149	Syar.g_00607
OG0000347	Prah.g_00089	Syar.g_00558
OG0000348	Prah.g_00078	Syar.g_00544
OG0000349	Prah.g_00053	Syar.g_00521
OG0000350	Prah.g_02533	Syar.g_00132
OG0000351	Prah.g_02578	Syar.g_00442
OG0000352	Prah.g_02579	Syar.g_00443
OG0000353	Prah.g_02603	Syar.g_00469
OG0000354	Prah.g_01523	Syar.g_01514
OG0000354	Prah.g_00020	Syar.g_00487
OG0000355	Prah.g_00002	Syar.g_00471
OG0000356	Prah.g_00003	Syar.g_00472
OG0000357	Prah.g_00004	Syar.g_00473
OG0000358	Prah.g_00008	Syar.g_00477
OG0000359	Prah.g_00010	Syar.g_00479
OG0000360	Prah.g_00011	Syar.g_00480
OG0000361	Prah.g_00012	Syar.g_00481
OG0000362	Prah.g_00014	Syar.g_00483
OG0000363	Prah.g_00016	Syar.g_00484
OG0000364	Prah.g_00017	Syar.g_02928
OG0000365	Prah.g_00026	Syar.g_00493
OG0000366	Prah.g_00027	Syar.g_00494
OG0000367	Prah.g_00028	Syar.g_03262, Syar.g_00495
OG0000368	Prah.g_00030	Syar.g_00497
OG0000369	Prah.g_00031	Syar.g_00498
OG0000370	Prah.g_00032	Syar.g_00499
OG0000371	Prah.g_00041	Syar.g_00508
OG0000372	Prah.g_00046	Syar.g_00514
OG0000373	Prah.g_00047	Syar.g_00515
OG0000374	Prah.g_00048	Syar.g_00516
OG0000375	Prah.g_00049	Syar.g_00517
OG0000376	Prah.g_00051	Syar.g_00519
OG0000377	Prah.g_02485	Syar.g_00322
OG0000378	Prah.g_02471	Syar.g_00905
OG0000379	Prah.g_02457	Syar.g_00910
OG0000380	Prah.g_01834	Syar.g_03039
OG0000381	Prah.g_01839	Syar.g_03041
OG0000382	Prah.g_01859	Syar.g_03057
OG0000383	Prah.g_01861	Syar.g_03074
OG0000384	Prah.g_01862	Syar.g_03075
OG0000385	Prah.g_01863	Syar.g_03076
OG0000386	Prah.g_01864	Syar.g_03077
OG0000387	Prah.g_01888	Syar.g_03109
OG0000388	Prah.g_01892	Syar.g_03148, Syar.g_03113
OG0000389	Prah.g_01896	Syar.g_03118
OG0000390	Prah.g_00194	Syar.g_00033
OG0000391	Prah.g_00189	Syar.g_00038
OG0000392	Prah.g_00183	Syar.g_00045
OG0000393	Prah.g_00175	Syar.g_00048
OG0000394	Prah.g_00174	Syar.g_00049
OG0000395	Prah.g_00173	Syar.g_00050
OG0000396	Prah.g_02252	Syar.g_00053
OG0000397	Prah.g_02254	Syar.g_00055
OG0000398	Prah.g_02259	Syar.g_00060
OG0000399	Prah.g_02260	Syar.g_00061
OG0000400	Prah.g_02261	Syar.g_00062
OG0000401	Prah.g_02262	Syar.g_00063
OG0000402	Prah.g_02264	Syar.g_00065
OG0000403	Prah.g_02265	Syar.g_00066
OG0000405	Prah.g_02280	Syar.g_00076
OG0000406	Prah.g_02284	Syar.g_00080
OG0000407	Prah.g_02285	Syar.g_00081
OG0000408	Prah.g_02287	Syar.g_00083
OG0000409	Prah.g_02289	Syar.g_00085
OG0000410	Prah.g_02290	Syar.g_00086
OG0000411	Prah.g_02291	Syar.g_00087
OG0000412	Prah.g_02292	Syar.g_00088
OG0000413	Prah.g_02294	Syar.g_00090
OG0000414	Prah.g_02295	Syar.g_00091, Syar.g_03179
OG0000415	Prah.g_02296	Syar.g_00092
OG0000416	Prah.g_02297	Syar.g_00093
OG0000417	Prah.g_02298	Syar.g_00095
OG0000418	Prah.g_02303	Syar.g_00100
OG0000419	Prah.g_02305	Syar.g_00102
OG0000420	Prah.g_02306	Syar.g_00104
OG0000421	Prah.g_02310	Syar.g_00109
OG0000422	Prah.g_02311	Syar.g_00110
OG0000423	Prah.g_02312	Syar.g_00111
OG0000424	Prah.g_02313	Syar.g_00112
OG0000425	Prah.g_02314	Syar.g_00113
OG0000426	Prah.g_02315	Syar.g_00114
OG0000427	Prah.g_02316	Syar.g_00115
OG0000428	Prah.g_00709	Syar.g_00118
OG0000429	Prah.g_02321	Syar.g_00121
OG0000430	Prah.g_02323	Syar.g_00123
OG0000431	Prah.g_02334	Syar.g_00127
OG0000432	Prah.g_02341	Syar.g_01009
OG0000433	Prah.g_02344	Syar.g_01007
OG0000434	Prah.g_02345	Syar.g_01006
OG0000435	Prah.g_02350	Syar.g_01003
OG0000436	Prah.g_02356	Syar.g_00994
OG0000437	Prah.g_02357	Syar.g_00993
OG0000438	Prah.g_02358	Syar.g_00992
OG0000439	Prah.g_02360	Syar.g_00990
OG0000440	Prah.g_02361	Syar.g_00989
OG0000441	Prah.g_02364	Syar.g_00986
OG0000442	Prah.g_02365	Syar.g_00977
OG0000443	Prah.g_02370	Syar.g_00964
OG0000444	Prah.g_02418	Syar.g_00954
OG0000445	Prah.g_02417	Syar.g_00953
OG0000446	Prah.g_02415	Syar.g_00951
OG0000447	Prah.g_02411	Syar.g_00948
OG0000448	Prah.g_02410	Syar.g_00947
OG0000449	Prah.g_02409	Syar.g_00946
OG0000450	Prah.g_02403	Syar.g_00939
OG0000451	Prah.g_02402	Syar.g_00938
OG0000452	Prah.g_02398	Syar.g_00934
OG0000453	Prah.g_02397	Syar.g_00933
OG0000454	Prah.g_02396	Syar.g_00932
OG0000455	Prah.g_02395	Syar.g_00931
OG0000456	Prah.g_02394	Syar.g_00930
OG0000457	Prah.g_02392	Syar.g_00928
OG0000458	Prah.g_02391	Syar.g_00918
OG0000459	Prah.g_02390	Syar.g_00917
OG0000460	Prah.g_01781	Syar.g_03024
OG0000461	Prah.g_02074	Syar.g_00153
OG0000462	Prah.g_02078	Syar.g_00155
OG0000463	Prah.g_02079	Syar.g_00156
OG0000464	Prah.g_02080	Syar.g_00157
OG0000465	Prah.g_02082	Syar.g_00159
OG0000466	Prah.g_02087	Syar.g_00164
OG0000467	Prah.g_02089	Syar.g_00165
OG0000468	Prah.g_02098	Syar.g_00170
OG0000469	Prah.g_02111	Syar.g_00203
OG0000470	Prah.g_02114	Syar.g_00206
OG0000471	Prah.g_02115	Syar.g_00207
OG0000472	Prah.g_02117	Syar.g_00208
OG0000473	Prah.g_02119	Syar.g_00210
OG0000474	Prah.g_02120	Syar.g_00211
OG0000475	Prah.g_02121	Syar.g_00212
OG0000476	Prah.g_02123	Syar.g_00214
OG0000477	Prah.g_02128	Syar.g_00219
OG0000478	Prah.g_02129	Syar.g_00220
OG0000479	Prah.g_02130	Syar.g_00221
OG0000480	Prah.g_02137	Syar.g_00228
OG0000481	Prah.g_02139	Syar.g_00230
OG0000482	Prah.g_02140	Syar.g_00231
OG0000483	Prah.g_02144	Syar.g_00235
OG0000484	Prah.g_02145	Syar.g_00236
OG0000485	Prah.g_02146	Syar.g_00237
OG0000486	Prah.g_02147	Syar.g_00024, Syar.g_00238
OG0000487	Prah.g_02152	Syar.g_00245
OG0000488	Prah.g_02156	Syar.g_00853
OG0000489	Prah.g_02167	Syar.g_00833
OG0000490	Prah.g_02172	Syar.g_00823
OG0000491	Prah.g_02173	Syar.g_00822
OG0000492	Prah.g_02175	Syar.g_00727
OG0000493	Prah.g_02176	Syar.g_00726
OG0000494	Prah.g_02177	Syar.g_00725
OG0000495	Prah.g_02178	Syar.g_00724
OG0000496	Prah.g_02179	Syar.g_00723
OG0000497	Prah.g_02180	Syar.g_00722
OG0000498	Prah.g_02181	Syar.g_00721
OG0000499	Prah.g_02182	Syar.g_00720
OG0000500	Prah.g_02183	Syar.g_00719
OG0000501	Prah.g_02186	Syar.g_00716
OG0000502	Prah.g_02199	Syar.g_00275
OG0000503	Prah.g_01940	Syar.g_01118
OG0000504	Prah.g_01938	Syar.g_01120
OG0000505	Prah.g_01937	Syar.g_01121
OG0000506	Prah.g_01935	Syar.g_01123
OG0000507	Prah.g_01930	Syar.g_01129
OG0000508	Prah.g_01922	Syar.g_01141
OG0000509	Prah.g_01920	Syar.g_01143
OG0000510	Prah.g_01919	Syar.g_01144
OG0000511	Prah.g_01918	Syar.g_01145
OG0000512	Prah.g_01916	Syar.g_01147
OG0000513	Prah.g_00209	Syar.g_01166
OG0000514	Prah.g_00218	Syar.g_01169
OG0000515	Prah.g_00219	Syar.g_01170
OG0000516	Prah.g_00221	Syar.g_01172
OG0000517	Prah.g_00229	Syar.g_01176
OG0000518	Prah.g_00241	Syar.g_02868
OG0000519	Prah.g_00242	Syar.g_02867
OG0000520	Prah.g_00247	Syar.g_02866
OG0000521	Prah.g_00255	Syar.g_01419
OG0000522	Prah.g_00257	Syar.g_01421
OG0000523	Prah.g_00258	Syar.g_01422
OG0000524	Prah.g_00290	Syar.g_01244
OG0000525	Prah.g_00304	Syar.g_01263
OG0000526	Prah.g_00306	Syar.g_01266
OG0000527	Prah.g_00310	Syar.g_01271
OG0000528	Prah.g_01572	Syar.g_01466
OG0000529	Prah.g_01565	Syar.g_01470
OG0000530	Prah.g_01562	Syar.g_01473
OG0000531	Prah.g_01561	Syar.g_01474
OG0000532	Prah.g_01558	Syar.g_01477
OG0000533	Prah.g_01556	Syar.g_01479
OG0000534	Prah.g_01555	Syar.g_01480
OG0000535	Prah.g_01554	Syar.g_01481
OG0000536	Prah.g_01553	Syar.g_01482
OG0000537	Prah.g_01552	Syar.g_01483
OG0000538	Prah.g_01541	Syar.g_01496
OG0000539	Prah.g_01540	Syar.g_01497
OG0000540	Prah.g_01539	Syar.g_01498
OG0000541	Prah.g_01538	Syar.g_01499
OG0000542	Prah.g_01535	Syar.g_01502
OG0000543	Prah.g_01533	Syar.g_01504
OG0000544	Prah.g_01532	Syar.g_01505
OG0000545	Prah.g_01530	Syar.g_01507
OG0000546	Prah.g_01528	Syar.g_01509
OG0000547	Prah.g_01526	Syar.g_01511
OG0000548	Prah.g_01525	Syar.g_01512
OG0000549	Prah.g_01519	Syar.g_02693
OG0000550	Prah.g_01514	Syar.g_02689
OG0000551	Prah.g_01510	Syar.g_02684
OG0000552	Prah.g_01509	Syar.g_02683
OG0000553	Prah.g_01505	Syar.g_02679
OG0000554	Prah.g_01500	Syar.g_02352
OG0000555	Prah.g_01480	Syar.g_02336
OG0000556	Prah.g_01474	Syar.g_02332
OG0000557	Prah.g_01473	Syar.g_02328
OG0000558	Prah.g_01470	Syar.g_02326
OG0000559	Prah.g_01466	Syar.g_02322
OG0000560	Prah.g_01463	Syar.g_02320
OG0000561	Prah.g_01462	Syar.g_02319
