Orthogroup	Prak	Syan
OG0000070	Prak.g_00412	Syan.g_00289
OG0000071	Prak.g_01277	Syan.g_01213
OG0000072	Prak.g_00183	Syan.g_03038, Syan.g_02999
OG0000073	Prak.g_00461	Syan.g_02741
OG0000075	Prak.g_01816	Syan.g_00981, Syan.g_01937
OG0000076	Prak.g_01842	Syan.g_01896
OG0000077	Prak.g_00083	Syan.g_02919, Syan.g_02579
OG0000078	Prak.g_00256	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Prak.g_00269	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000080	Prak.g_01363, Prak.g_01365	Syan.g_01083, Syan.g_01962
OG0000082	Prak.g_00546, Prak.g_01634	Syan.g_00952
OG0000084	Prak.g_01388	Syan.g_01283
OG0000085	Prak.g_01516, Prak.g_01637	Syan.g_01387
OG0000086	Prak.g_00092	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prak.g_00147	Syan.g_02268
OG0000088	Prak.g_00178	Syan.g_03031
OG0000089	Prak.g_00379	Syan.g_02316
OG0000090	Prak.g_00492	Syan.g_01166
OG0000091	Prak.g_01100	Syan.g_00235, Syan.g_00808
OG0000093	Prak.g_01071	Syan.g_00708
OG0000094	Prak.g_01022	Syan.g_00353, Syan.g_00065
OG0000095	Prak.g_00920	Syan.g_00290
OG0000097	Prak.g_01126	Syan.g_00160, Syan.g_00733
OG0000098	Prak.g_01305	Syan.g_00043
OG0000099	Prak.g_01352	Syan.g_01968
OG0000100	Prak.g_01470	Syan.g_00658
OG0000101	Prak.g_01780	Syan.g_02199
OG0000102	Prak.g_01847	Syan.g_01891
OG0000103	Prak.g_01932	Syan.g_01692
OG0000104	Prak.g_01941	Syan.g_01792
OG0000105	Prak.g_00292	Syan.g_02031
OG0000106	Prak.g_00687	Syan.g_00076
OG0000107	Prak.g_01709	Syan.g_02106
OG0000108	Prak.g_00441	Syan.g_02764
OG0000109	Prak.g_00455	Syan.g_02748
OG0000110	Prak.g_00535	Syan.g_00171, Syan.g_00882
OG0000111	Prak.g_00830	Syan.g_00187
OG0000112	Prak.g_00608	Syan.g_00556, Syan.g_00252
OG0000113	Prak.g_00868	Syan.g_00664
OG0000114	Prak.g_00770	Syan.g_00741
OG0000115	Prak.g_01241	Syan.g_02810
OG0000116	Prak.g_01183	Syan.g_02710, Syan.g_00460
OG0000117	Prak.g_01145	Syan.g_02644
OG0000118	Prak.g_01290	Syan.g_01241, Syan.g_01237
OG0000119	Prak.g_01226, Prak.g_01488	Syan.g_02672
OG0000120	Prak.g_01349	Syan.g_01966
OG0000121	Prak.g_01393	Syan.g_01273
OG0000123	Prak.g_01787	Syan.g_02190
OG0000124	Prak.g_01859	Syan.g_01873
OG0000125	Prak.g_01895	Syan.g_01573
OG0000126	Prak.g_01940	Syan.g_01705
OG0000128	Prak.g_00011	Syan.g_01768
OG0000129	Prak.g_00045	Syan.g_01563
OG0000130	Prak.g_00074	Syan.g_02906, Syan.g_02907
OG0000131	Prak.g_00156	Syan.g_03008
OG0000132	Prak.g_00176	Syan.g_03029
OG0000133	Prak.g_00339	Syan.g_00561
OG0000134	Prak.g_00381	Syan.g_02319
OG0000135	Prak.g_01259	Syan.g_01616
OG0000136	Prak.g_00403	Syan.g_01342
OG0000137	Prak.g_00436	Syan.g_02846
OG0000138	Prak.g_00456	Syan.g_02747
OG0000139	Prak.g_00496	Syan.g_01160
OG0000140	Prak.g_00497	Syan.g_00042
OG0000141	Prak.g_00569	Syan.g_01032
OG0000142	Prak.g_01108	Syan.g_00816
OG0000143	Prak.g_01104	Syan.g_00812
OG0000144	Prak.g_01090	Syan.g_00782
OG0000145	Prak.g_01261	Syan.g_02740
OG0000146	Prak.g_00607	Syan.g_00555, Syan.g_00253
OG0000147	Prak.g_00606	Syan.g_00254, Syan.g_00554
OG0000148	Prak.g_00862	Syan.g_00670
OG0000149	Prak.g_00894	Syan.g_00393
OG0000150	Prak.g_00904	Syan.g_01031
OG0000151	Prak.g_00780	Syan.g_00731
OG0000152	Prak.g_00973	Syan.g_00565
OG0000153	Prak.g_00992	Syan.g_00601
OG0000154	Prak.g_01012	Syan.g_00363
OG0000155	Prak.g_01151	Syan.g_02654
OG0000156	Prak.g_01266	Syan.g_02717
OG0000157	Prak.g_01267	Syan.g_02718
OG0000158	Prak.g_01824	Syan.g_01078, Syan.g_01926
OG0000159	Prak.g_00065	Syan.g_01126
OG0000160	Prak.g_01392	Syan.g_01274
OG0000161	Prak.g_01398	Syan.g_01268
OG0000162	Prak.g_01404	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prak.g_01443	Syan.g_02405
OG0000164	Prak.g_01669	Syan.g_01440
OG0000165	Prak.g_01676	Syan.g_01448
OG0000166	Prak.g_01743	Syan.g_02239
OG0000167	Prak.g_01814	Syan.g_01941
OG0000168	Prak.g_01825	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prak.g_01835	Syan.g_01912
OG0000170	Prak.g_01838	Syan.g_01901
OG0000171	Prak.g_01858	Syan.g_01875
OG0000172	Prak.g_01865	Syan.g_01810
OG0000173	Prak.g_01880	Syan.g_01720
OG0000174	Prak.g_01910	Syan.g_01619
OG0000175	Prak.g_01923	Syan.g_01678, Syan.g_00258
OG0000176	Prak.g_00004	Syan.g_01801
OG0000177	Prak.g_00005	Syan.g_01775
OG0000178	Prak.g_00006	Syan.g_01774
OG0000179	Prak.g_00016	Syan.g_01759
OG0000180	Prak.g_00017	Syan.g_01758
OG0000181	Prak.g_00018	Syan.g_01757
OG0000182	Prak.g_00019	Syan.g_01756
OG0000183	Prak.g_00023	Syan.g_01752
OG0000184	Prak.g_00049	Syan.g_01549
OG0000185	Prak.g_00052	Syan.g_01540
OG0000186	Prak.g_00068	Syan.g_02902
OG0000187	Prak.g_00069	Syan.g_02904
OG0000188	Prak.g_00086	Syan.g_02926
OG0000189	Prak.g_00100	Syan.g_02966
OG0000190	Prak.g_00102	Syan.g_00971
OG0000191	Prak.g_00125	Syan.g_02300
OG0000192	Prak.g_00130	Syan.g_02294
OG0000193	Prak.g_00157	Syan.g_03009
OG0000194	Prak.g_00160	Syan.g_03012
OG0000195	Prak.g_00162	Syan.g_03014
OG0000196	Prak.g_00173	Syan.g_03026
OG0000197	Prak.g_00174	Syan.g_03027
OG0000198	Prak.g_00175	Syan.g_03028
OG0000199	Prak.g_00182	Syan.g_03037
OG0000200	Prak.g_00196	Syan.g_03055
OG0000201	Prak.g_00205	Syan.g_03074
OG0000202	Prak.g_00206	Syan.g_03075
OG0000203	Prak.g_00207	Syan.g_03076
OG0000204	Prak.g_00208	Syan.g_03077
OG0000205	Prak.g_00215	Syan.g_03087
OG0000206	Prak.g_00220	Syan.g_03095
OG0000207	Prak.g_00223	Syan.g_03100
OG0000208	Prak.g_00224	Syan.g_03101
OG0000209	Prak.g_00233	Syan.g_01521
OG0000210	Prak.g_00234	Syan.g_01522
OG0000211	Prak.g_00249	Syan.g_02416
OG0000212	Prak.g_00257	Syan.g_01508, Syan.g_02438
OG0000213	Prak.g_00275	Syan.g_02059
OG0000214	Prak.g_00285	Syan.g_02040
OG0000215	Prak.g_00312	Syan.g_02010
OG0000216	Prak.g_00313	Syan.g_02006
OG0000217	Prak.g_00316	Syan.g_02001
OG0000218	Prak.g_00318	Syan.g_01999
OG0000219	Prak.g_00319	Syan.g_01998
OG0000220	Prak.g_00320	Syan.g_01997
OG0000221	Prak.g_00321	Syan.g_01994
OG0000222	Prak.g_00328	Syan.g_01981
OG0000223	Prak.g_00340	Syan.g_00228
OG0000224	Prak.g_00342	Syan.g_01959
OG0000225	Prak.g_00368	Syan.g_02997
OG0000226	Prak.g_00372	Syan.g_02990
OG0000227	Prak.g_00374	Syan.g_02988
OG0000228	Prak.g_00378	Syan.g_02315
OG0000229	Prak.g_00398	Syan.g_02396
OG0000230	Prak.g_00400	Syan.g_02398
OG0000231	Prak.g_00411	Syan.g_01333
OG0000232	Prak.g_00422	Syan.g_02801
OG0000233	Prak.g_00428	Syan.g_02876
OG0000234	Prak.g_00437	Syan.g_02844
OG0000235	Prak.g_00440	Syan.g_02765
OG0000236	Prak.g_00454	Syan.g_02749
OG0000237	Prak.g_00467	Syan.g_02731
OG0000238	Prak.g_00473	Syan.g_02726
OG0000239	Prak.g_00484	Syan.g_01187
OG0000240	Prak.g_00485	Syan.g_01186
OG0000241	Prak.g_00489	Syan.g_00822
OG0000242	Prak.g_00491	Syan.g_01168
OG0000243	Prak.g_00502	Syan.g_00840
OG0000244	Prak.g_00506	Syan.g_00848
OG0000245	Prak.g_00508	Syan.g_00850
OG0000246	Prak.g_00512	Syan.g_00854
OG0000247	Prak.g_00522	Syan.g_00866
OG0000248	Prak.g_00525	Syan.g_00869
OG0000249	Prak.g_00527	Syan.g_00871
OG0000250	Prak.g_00532	Syan.g_00878
OG0000251	Prak.g_00552	Syan.g_00961
OG0000252	Prak.g_00555	Syan.g_00966
OG0000253	Prak.g_00556	Syan.g_01000
OG0000254	Prak.g_00573	Syan.g_01026
OG0000255	Prak.g_00579	Syan.g_00978
OG0000256	Prak.g_00589	Syan.g_00001, Syan.g_01135
OG0000257	Prak.g_01113	Syan.g_00827
OG0000258	Prak.g_01099	Syan.g_00803
OG0000259	Prak.g_01082	Syan.g_00772
OG0000260	Prak.g_01079	Syan.g_00769
OG0000261	Prak.g_01076	Syan.g_00765
OG0000262	Prak.g_01072	Syan.g_00760
OG0000263	Prak.g_00808	Syan.g_02618
OG0000264	Prak.g_00819	Syan.g_00540
OG0000266	Prak.g_01053	Syan.g_00330
OG0000267	Prak.g_01041	Syan.g_00470
OG0000268	Prak.g_01040	Syan.g_00471
OG0000269	Prak.g_00840	Syan.g_00695
OG0000270	Prak.g_00843	Syan.g_00692
OG0000271	Prak.g_00851	Syan.g_00684
OG0000272	Prak.g_00852	Syan.g_00683
OG0000273	Prak.g_00876	Syan.g_00654
OG0000274	Prak.g_00877	Syan.g_00653
OG0000275	Prak.g_00880	Syan.g_00373
OG0000276	Prak.g_00886	Syan.g_00380
OG0000277	Prak.g_00887	Syan.g_00381
OG0000278	Prak.g_00890	Syan.g_00384
OG0000279	Prak.g_00897	Syan.g_00398
OG0000280	Prak.g_00898	Syan.g_00518
OG0000282	Prak.g_00772	Syan.g_00739
OG0000283	Prak.g_00949	Syan.g_00491
OG0000284	Prak.g_00954	Syan.g_00497
OG0000285	Prak.g_00959	Syan.g_00533
OG0000286	Prak.g_00972	Syan.g_00564
OG0000287	Prak.g_01238	Syan.g_00593
OG0000288	Prak.g_01011	Syan.g_00364
OG0000289	Prak.g_01027	Syan.g_00350
OG0000290	Prak.g_00923	Syan.g_00293
OG0000291	Prak.g_00921	Syan.g_00291
OG0000292	Prak.g_01217	Syan.g_01703
OG0000293	Prak.g_01182	Syan.g_02709
OG0000294	Prak.g_01181	Syan.g_02708
OG0000295	Prak.g_01158	Syan.g_02662
OG0000296	Prak.g_01156	Syan.g_02660
OG0000297	Prak.g_01147	Syan.g_02646
OG0000298	Prak.g_01146	Syan.g_02645
OG0000299	Prak.g_01127	Syan.g_02601
OG0000300	Prak.g_01124	Syan.g_02593, Syan.g_02594
OG0000301	Prak.g_01123	Syan.g_02592
OG0000302	Prak.g_01121	Syan.g_02591
OG0000303	Prak.g_01115	Syan.g_02582
OG0000304	Prak.g_00594	Syan.g_02556
OG0000305	Prak.g_01215	Syan.g_00195
OG0000306	Prak.g_00909	Syan.g_00087
OG0000307	Prak.g_01338	Syan.g_02782
OG0000308	Prak.g_01339	Syan.g_02784
OG0000309	Prak.g_01343	Syan.g_02883
OG0000310	Prak.g_01377	Syan.g_01304
OG0000311	Prak.g_01379	Syan.g_01299
OG0000312	Prak.g_01382	Syan.g_01290
OG0000313	Prak.g_01395	Syan.g_01271
OG0000314	Prak.g_01418	Syan.g_02823
OG0000315	Prak.g_01428	Syan.g_02833
OG0000316	Prak.g_01453	Syan.g_01354
OG0000317	Prak.g_01642	Syan.g_01396
OG0000318	Prak.g_01646	Syan.g_01401
OG0000319	Prak.g_01659	Syan.g_01425
OG0000320	Prak.g_01661	Syan.g_01427
OG0000321	Prak.g_01662	Syan.g_01428
OG0000322	Prak.g_01663	Syan.g_01429
OG0000323	Prak.g_01672	Syan.g_01442
OG0000324	Prak.g_01699	Syan.g_01472
OG0000325	Prak.g_01710	Syan.g_02107
OG0000326	Prak.g_01717	Syan.g_02114
OG0000327	Prak.g_01738	Syan.g_02244
OG0000328	Prak.g_01739	Syan.g_02243
OG0000329	Prak.g_01756	Syan.g_02225
OG0000330	Prak.g_01757	Syan.g_02224
OG0000331	Prak.g_01758	Syan.g_02223
OG0000332	Prak.g_01772	Syan.g_02208
OG0000333	Prak.g_01774	Syan.g_02205
OG0000334	Prak.g_01783	Syan.g_00247, Syan.g_02194
OG0000335	Prak.g_01788	Syan.g_02189
OG0000336	Prak.g_01792	Syan.g_02185
OG0000337	Prak.g_01810	Syan.g_01949
OG0000338	Prak.g_01811	Syan.g_01943
OG0000339	Prak.g_01817	Syan.g_01935, Syan.g_00264
OG0000340	Prak.g_01826	Syan.g_01923
OG0000341	Prak.g_01828	Syan.g_01921
OG0000342	Prak.g_01829	Syan.g_01920
OG0000343	Prak.g_01830	Syan.g_01918
OG0000344	Prak.g_01833	Syan.g_01914
OG0000345	Prak.g_01839	Syan.g_01900
OG0000346	Prak.g_01843	Syan.g_01895
OG0000347	Prak.g_01860	Syan.g_01867
OG0000348	Prak.g_01868	Syan.g_01803
OG0000349	Prak.g_01886	Syan.g_01727
OG0000350	Prak.g_00656	Syan.g_02121
OG0000351	Prak.g_01926	Syan.g_01682
OG0000352	Prak.g_01927	Syan.g_01683
OG0000353	Prak.g_01944	Syan.g_01795
OG0000355	Prak.g_00001	Syan.g_01797
OG0000356	Prak.g_00002	Syan.g_01798
OG0000357	Prak.g_00003	Syan.g_01800
OG0000358	Prak.g_00007	Syan.g_01773
OG0000359	Prak.g_00008	Syan.g_01771
OG0000360	Prak.g_00009	Syan.g_01770
OG0000361	Prak.g_00010	Syan.g_01769
OG0000362	Prak.g_00012	Syan.g_01767
OG0000363	Prak.g_00014	Syan.g_01765
OG0000364	Prak.g_00015	Syan.g_01398
OG0000365	Prak.g_00020	Syan.g_01755
OG0000366	Prak.g_00021	Syan.g_01754
OG0000367	Prak.g_00022	Syan.g_01753
OG0000368	Prak.g_00024	Syan.g_01751
OG0000369	Prak.g_00025	Syan.g_01750
OG0000370	Prak.g_00026	Syan.g_01749
OG0000371	Prak.g_00033	Syan.g_01740
OG0000372	Prak.g_00036	Syan.g_01734
OG0000373	Prak.g_00037	Syan.g_01733
OG0000374	Prak.g_00038	Syan.g_01732
OG0000375	Prak.g_00040	Syan.g_01731
OG0000376	Prak.g_00042	Syan.g_01729
OG0000377	Prak.g_00046	Syan.g_01555
OG0000378	Prak.g_00050	Syan.g_01543
OG0000379	Prak.g_00053	Syan.g_01539
OG0000380	Prak.g_00070	Syan.g_02905
OG0000381	Prak.g_00075	Syan.g_02908
OG0000382	Prak.g_00085	Syan.g_02925
OG0000383	Prak.g_00087	Syan.g_02936
OG0000384	Prak.g_00088	Syan.g_02937
OG0000385	Prak.g_00089	Syan.g_02938
OG0000386	Prak.g_00090	Syan.g_02939
OG0000387	Prak.g_00104	Syan.g_00967
OG0000388	Prak.g_00108	Syan.g_02970
OG0000389	Prak.g_00111	Syan.g_02973
OG0000390	Prak.g_00121	Syan.g_02306
OG0000391	Prak.g_00124	Syan.g_02301
OG0000392	Prak.g_00128	Syan.g_02295
OG0000393	Prak.g_00131	Syan.g_02292
OG0000394	Prak.g_00132	Syan.g_02291
OG0000395	Prak.g_00133	Syan.g_02290
OG0000396	Prak.g_00135	Syan.g_02287
OG0000397	Prak.g_00137	Syan.g_02285
OG0000398	Prak.g_00140	Syan.g_02279
OG0000399	Prak.g_00141	Syan.g_02278
OG0000400	Prak.g_00142	Syan.g_02277
OG0000401	Prak.g_00143	Syan.g_02274
OG0000402	Prak.g_01035	Syan.g_02272
OG0000403	Prak.g_00145	Syan.g_02271
OG0000404	Prak.g_00146	Syan.g_02269
OG0000405	Prak.g_00150	Syan.g_03005
OG0000406	Prak.g_00158	Syan.g_03010
OG0000407	Prak.g_00159	Syan.g_03011
OG0000408	Prak.g_00161	Syan.g_03013
OG0000409	Prak.g_00163	Syan.g_03015
OG0000410	Prak.g_00164	Syan.g_03016
OG0000411	Prak.g_00165	Syan.g_03017
OG0000412	Prak.g_00166	Syan.g_03018
OG0000413	Prak.g_00168	Syan.g_03020
OG0000414	Prak.g_00169	Syan.g_03021
OG0000415	Prak.g_00170	Syan.g_03022
OG0000416	Prak.g_00171	Syan.g_03023
OG0000417	Prak.g_00172	Syan.g_03025
OG0000418	Prak.g_00177	Syan.g_03030
OG0000419	Prak.g_00179	Syan.g_03033
OG0000420	Prak.g_00180	Syan.g_03035
OG0000421	Prak.g_00185	Syan.g_03040
OG0000422	Prak.g_00186	Syan.g_03041
OG0000423	Prak.g_00187	Syan.g_03042
OG0000424	Prak.g_00188	Syan.g_03043
OG0000425	Prak.g_00189	Syan.g_03044
OG0000426	Prak.g_00190	Syan.g_03045
OG0000427	Prak.g_00191	Syan.g_03046
OG0000428	Prak.g_00193	Syan.g_03049
OG0000429	Prak.g_00194	Syan.g_03051
OG0000430	Prak.g_00195	Syan.g_03053
OG0000431	Prak.g_00197	Syan.g_03058
OG0000432	Prak.g_00201	Syan.g_03065
OG0000433	Prak.g_00202	Syan.g_03068
OG0000434	Prak.g_00203	Syan.g_03069
OG0000435	Prak.g_00204	Syan.g_03071
OG0000436	Prak.g_00209	Syan.g_03079
OG0000437	Prak.g_00210	Syan.g_03080
OG0000438	Prak.g_00211	Syan.g_03083
OG0000439	Prak.g_00213	Syan.g_03085
OG0000440	Prak.g_00214	Syan.g_03086
OG0000441	Prak.g_00217	Syan.g_03089
OG0000442	Prak.g_00218	Syan.g_03090
OG0000443	Prak.g_00219	Syan.g_03094
OG0000444	Prak.g_00225	Syan.g_03102
OG0000445	Prak.g_00226	Syan.g_03103
OG0000446	Prak.g_00227	Syan.g_03105
OG0000447	Prak.g_00228	Syan.g_03111
OG0000448	Prak.g_00229	Syan.g_03112
OG0000449	Prak.g_00230	Syan.g_03113
OG0000450	Prak.g_00231	Syan.g_01518
OG0000451	Prak.g_00232	Syan.g_01519
OG0000452	Prak.g_00235	Syan.g_01523
OG0000453	Prak.g_00236	Syan.g_01524
OG0000454	Prak.g_00237	Syan.g_01525
OG0000455	Prak.g_00238	Syan.g_01526
OG0000456	Prak.g_00239	Syan.g_01527
OG0000457	Prak.g_00241	Syan.g_01529
OG0000458	Prak.g_00242	Syan.g_01530
OG0000459	Prak.g_00243	Syan.g_01531
OG0000460	Prak.g_00251	Syan.g_02423
OG0000461	Prak.g_00259	Syan.g_02099
OG0000462	Prak.g_00261	Syan.g_02096
OG0000463	Prak.g_00262	Syan.g_02095
OG0000464	Prak.g_00263	Syan.g_02094
OG0000465	Prak.g_00264	Syan.g_02092
OG0000466	Prak.g_00267	Syan.g_02087
OG0000467	Prak.g_00268	Syan.g_02086
OG0000468	Prak.g_00271	Syan.g_02063
OG0000469	Prak.g_00279	Syan.g_02046
OG0000470	Prak.g_00281	Syan.g_02044
OG0000471	Prak.g_00282	Syan.g_02043
OG0000472	Prak.g_00284	Syan.g_02041
OG0000473	Prak.g_00286	Syan.g_02039
OG0000474	Prak.g_00287	Syan.g_02038
OG0000475	Prak.g_00288	Syan.g_02037
OG0000476	Prak.g_00290	Syan.g_02035
OG0000477	Prak.g_00293	Syan.g_02029
OG0000478	Prak.g_00294	Syan.g_02028
OG0000479	Prak.g_00295	Syan.g_02027
OG0000480	Prak.g_00300	Syan.g_02020
OG0000481	Prak.g_00303	Syan.g_00975
OG0000482	Prak.g_00304	Syan.g_02018
OG0000483	Prak.g_00307	Syan.g_02014
OG0000484	Prak.g_00308	Syan.g_02013
OG0000485	Prak.g_00310	Syan.g_02012
OG0000486	Prak.g_00311	Syan.g_02011
OG0000487	Prak.g_00314	Syan.g_02005
OG0000488	Prak.g_00317	Syan.g_02000
OG0000489	Prak.g_00322	Syan.g_01993
OG0000490	Prak.g_00326	Syan.g_01985
OG0000491	Prak.g_00327	Syan.g_01983
OG0000492	Prak.g_00329	Syan.g_01980
OG0000493	Prak.g_00330	Syan.g_01979
OG0000494	Prak.g_00331	Syan.g_01978
OG0000495	Prak.g_00332	Syan.g_01977
OG0000496	Prak.g_00333	Syan.g_01976
OG0000497	Prak.g_00334	Syan.g_01975
OG0000498	Prak.g_00335	Syan.g_01974
OG0000499	Prak.g_00336	Syan.g_01973
OG0000500	Prak.g_00337	Syan.g_01972
OG0000501	Prak.g_00338	Syan.g_01969
OG0000502	Prak.g_00341	Syan.g_01961
OG0000503	Prak.g_00356	Syan.g_02144
OG0000504	Prak.g_00358	Syan.g_02142
OG0000505	Prak.g_00359	Syan.g_02141
OG0000506	Prak.g_00360	Syan.g_02139
OG0000507	Prak.g_00363	Syan.g_02133
OG0000508	Prak.g_00367	Syan.g_02998
OG0000509	Prak.g_00369	Syan.g_02993
OG0000510	Prak.g_00370	Syan.g_02992
OG0000511	Prak.g_00371	Syan.g_02991
OG0000512	Prak.g_00373	Syan.g_02989
OG0000513	Prak.g_00382	Syan.g_02320
OG0000514	Prak.g_00393	Syan.g_02326
OG0000515	Prak.g_00394	Syan.g_02327
OG0000516	Prak.g_00395	Syan.g_02389
OG0000517	Prak.g_00397	Syan.g_02395
OG0000518	Prak.g_00408	Syan.g_01336
OG0000519	Prak.g_00409	Syan.g_01335
OG0000520	Prak.g_00410	Syan.g_01334
OG0000521	Prak.g_00418	Syan.g_02805
OG0000522	Prak.g_00420	Syan.g_02803
OG0000523	Prak.g_00421	Syan.g_02802
OG0000524	Prak.g_00426	Syan.g_02878
OG0000525	Prak.g_00430	Syan.g_02853
OG0000526	Prak.g_00431	Syan.g_02852
OG0000527	Prak.g_00434	Syan.g_02848
OG0000528	Prak.g_00439	Syan.g_02767
OG0000529	Prak.g_00442	Syan.g_02763
OG0000530	Prak.g_00445	Syan.g_02760
OG0000531	Prak.g_00446	Syan.g_02759
OG0000532	Prak.g_00448	Syan.g_02756
OG0000533	Prak.g_00449	Syan.g_02754
OG0000534	Prak.g_00450	Syan.g_02753
OG0000535	Prak.g_00451	Syan.g_02752
OG0000536	Prak.g_00452	Syan.g_02751
OG0000537	Prak.g_00453	Syan.g_02750
OG0000538	Prak.g_00462	Syan.g_02738
OG0000539	Prak.g_00463	Syan.g_02737
OG0000540	Prak.g_00464	Syan.g_02736
OG0000541	Prak.g_00465	Syan.g_02735
OG0000542	Prak.g_00466	Syan.g_02732
OG0000543	Prak.g_00468	Syan.g_02730
OG0000544	Prak.g_00469	Syan.g_02729
OG0000545	Prak.g_00471	Syan.g_02727
OG0000546	Prak.g_00474	Syan.g_02725
OG0000547	Prak.g_00476	Syan.g_02723
OG0000548	Prak.g_00477	Syan.g_02722
OG0000549	Prak.g_00479	Syan.g_01194
OG0000550	Prak.g_00483	Syan.g_01189
OG0000551	Prak.g_00486	Syan.g_01184
OG0000552	Prak.g_00487	Syan.g_01183
OG0000553	Prak.g_00488	Syan.g_01179
OG0000554	Prak.g_00493	Syan.g_01165
OG0000555	Prak.g_00501	Syan.g_00839
OG0000556	Prak.g_00503	Syan.g_00842
OG0000557	Prak.g_00504	Syan.g_00847
OG0000558	Prak.g_00507	Syan.g_00849
OG0000559	Prak.g_00511	Syan.g_00853
OG0000560	Prak.g_00514	Syan.g_00856
OG0000561	Prak.g_00515	Syan.g_00857
OG0000562	Prak.g_00516	Syan.g_00858
OG0000563	Prak.g_00517	Syan.g_00859
OG0000564	Prak.g_00518	Syan.g_00860
OG0000565	Prak.g_00520	Syan.g_00864
OG0000566	Prak.g_00524	Syan.g_00868
OG0000567	Prak.g_00528	Syan.g_00872
OG0000568	Prak.g_00529	Syan.g_00874
OG0000569	Prak.g_00530	Syan.g_00875
OG0000570	Prak.g_00531	Syan.g_00876
OG0000571	Prak.g_00533	Syan.g_00879
OG0000572	Prak.g_00547	Syan.g_00954
