Orthogroup	Prbm	Prab
OG0000042	Prbm.g_00742	Prab.g_00723
OG0000043	Prbm.g_00950	Prab.g_00825
OG0000044	Prbm.g_01549	Prab.g_01219
OG0000046	Prbm.g_01834	Prab.g_01662
OG0000047	Prbm.g_02094	Prab.g_01857
OG0000048	Prbm.g_02102	Prab.g_01864
OG0000050	Prbm.g_00031	Prab.g_01629
OG0000051	Prbm.g_00216	Prab.g_00148
OG0000052	Prbm.g_01172, Prbm.g_01237	Prab.g_00359
OG0000053	Prbm.g_00572	Prab.g_00543
OG0000054	Prbm.g_00047	Prab.g_00775, Prab.g_00803
OG0000055	Prbm.g_00838, Prbm.g_01191	Prab.g_00862
OG0000056	Prbm.g_00048	Prab.g_01634
OG0000057	Prbm.g_00297	Prab.g_00228
OG0000058	Prbm.g_00500	Prab.g_00479
OG0000059	Prbm.g_00735	Prab.g_00703
OG0000060	Prbm.g_01186	Prab.g_01297
OG0000061	Prbm.g_01648	Prab.g_01184, Prab.g_00990
OG0000062	Prbm.g_01910	Prab.g_01186
OG0000063	Prbm.g_01522	Prab.g_00717
OG0000065	Prbm.g_00468, Prbm.g_01611	Prab.g_01637, Prab.g_01326
OG0000066	Prbm.g_00707	Prab.g_01447
OG0000067	Prbm.g_01174	Prab.g_00799
OG0000068	Prbm.g_02033	Prab.g_01802
OG0000071	Prbm.g_00011	Prab.g_00011
OG0000072	Prbm.g_00377	Prab.g_00310
OG0000073	Prbm.g_00702	Prab.g_00674
OG0000074	Prbm.g_00728	Prab.g_00696
OG0000075	Prbm.g_00821	Prab.g_00847
OG0000076	Prbm.g_01064	Prab.g_00929, Prab.g_01299
OG0000078	Prbm.g_00394	Prab.g_01394
OG0000079	Prbm.g_01792	Prab.g_01544
OG0000080	Prbm.g_01182	Prab.g_00922, Prab.g_01290
OG0000081	Prbm.g_02067	Prab.g_01832
OG0000083	Prbm.g_00003	Prab.g_00003
OG0000084	Prbm.g_00006	Prab.g_00006
OG0000085	Prbm.g_00023	Prab.g_00023
OG0000086	Prbm.g_00063, Prbm.g_01170	Prab.g_00038
OG0000087	Prbm.g_00058	Prab.g_00048
OG0000088	Prbm.g_00172	Prab.g_00104
OG0000089	Prbm.g_00181	Prab.g_00112
OG0000090	Prbm.g_00198	Prab.g_00129
OG0000091	Prbm.g_00228	Prab.g_00160
OG0000092	Prbm.g_00229	Prab.g_00161
OG0000093	Prbm.g_00243	Prab.g_00175
OG0000094	Prbm.g_00262	Prab.g_00193
OG0000095	Prbm.g_00266	Prab.g_00198
OG0000096	Prbm.g_00310	Prab.g_00241
OG0000097	Prbm.g_00331	Prab.g_00262
OG0000099	Prbm.g_00350	Prab.g_00282
OG0000100	Prbm.g_00353	Prab.g_00285
OG0000101	Prbm.g_00425	Prab.g_00344
OG0000102	Prbm.g_01389	Prab.g_00371
OG0000103	Prbm.g_00501	Prab.g_00480
OG0000104	Prbm.g_00506	Prab.g_00484
OG0000105	Prbm.g_00533	Prab.g_00503
OG0000106	Prbm.g_00565	Prab.g_00536
OG0000107	Prbm.g_00566	Prab.g_00537
OG0000108	Prbm.g_00576	Prab.g_00547
OG0000109	Prbm.g_00585	Prab.g_00556
OG0000110	Prbm.g_00601	Prab.g_00573
OG0000111	Prbm.g_00682	Prab.g_00656
OG0000112	Prbm.g_00683	Prab.g_00657
OG0000113	Prbm.g_00766	Prab.g_00745
OG0000114	Prbm.g_00812	Prab.g_00838
OG0000115	Prbm.g_00988	Prab.g_01010
OG0000116	Prbm.g_00992	Prab.g_01006
OG0000117	Prbm.g_01061	Prab.g_00932
OG0000118	Prbm.g_01210	Prab.g_01144
OG0000119	Prbm.g_01913	Prab.g_01189
OG0000120	Prbm.g_01542	Prab.g_01225
OG0000121	Prbm.g_01519	Prab.g_01244
OG0000122	Prbm.g_01499	Prab.g_01263
OG0000123	Prbm.g_01489	Prab.g_01276
OG0000124	Prbm.g_01054	Prab.g_01284
OG0000125	Prbm.g_01622	Prab.g_01338
OG0000126	Prbm.g_01660	Prab.g_01360
OG0000127	Prbm.g_01696	Prab.g_01453
OG0000128	Prbm.g_01711	Prab.g_01467
OG0000129	Prbm.g_01745	Prab.g_01503
OG0000130	Prbm.g_01839	Prab.g_01667
OG0000131	Prbm.g_01876	Prab.g_01705
OG0000132	Prbm.g_01878	Prab.g_01708
OG0000133	Prbm.g_01991	Prab.g_01761
OG0000134	Prbm.g_02027	Prab.g_01797
OG0000135	Prbm.g_02029	Prab.g_01799
OG0000136	Prbm.g_02079	Prab.g_01842
OG0000137	Prbm.g_02114	Prab.g_01874
OG0000138	Prbm.g_02176	Prab.g_01910
OG0000139	Prbm.g_02212	Prab.g_01937
OG0000140	Prbm.g_00001	Prab.g_00001
OG0000141	Prbm.g_00002	Prab.g_00002
OG0000142	Prbm.g_00004	Prab.g_00004
OG0000143	Prbm.g_00005	Prab.g_00005
OG0000144	Prbm.g_00007	Prab.g_00007
OG0000145	Prbm.g_00008	Prab.g_00008
OG0000146	Prbm.g_00009	Prab.g_00009
OG0000147	Prbm.g_00010	Prab.g_00010
OG0000148	Prbm.g_00012	Prab.g_00012
OG0000149	Prbm.g_00014	Prab.g_00014
OG0000150	Prbm.g_00015	Prab.g_00015
OG0000151	Prbm.g_00016	Prab.g_00016
OG0000152	Prbm.g_00017	Prab.g_00017
OG0000153	Prbm.g_00018	Prab.g_00018
OG0000154	Prbm.g_00019	Prab.g_00019
OG0000155	Prbm.g_00020	Prab.g_00020
OG0000156	Prbm.g_00021	Prab.g_00021
OG0000157	Prbm.g_00022	Prab.g_00022
OG0000158	Prbm.g_00024	Prab.g_00024
OG0000159	Prbm.g_00025	Prab.g_00025
OG0000160	Prbm.g_00026	Prab.g_00026
OG0000161	Prbm.g_00027	Prab.g_00027
OG0000162	Prbm.g_00028	Prab.g_00028
OG0000163	Prbm.g_00029	Prab.g_00029
OG0000164	Prbm.g_00032	Prab.g_00032
OG0000165	Prbm.g_00033	Prab.g_00035
OG0000166	Prbm.g_00034	Prab.g_00036
OG0000167	Prbm.g_00035	Prab.g_00037
OG0000168	Prbm.g_00049	Prab.g_00039
OG0000169	Prbm.g_00051	Prab.g_00041
OG0000170	Prbm.g_00052	Prab.g_00042
OG0000171	Prbm.g_00053	Prab.g_00043
OG0000172	Prbm.g_00054	Prab.g_00044
OG0000173	Prbm.g_00055	Prab.g_00045
OG0000174	Prbm.g_00056	Prab.g_00046
OG0000175	Prbm.g_00057	Prab.g_00047
OG0000176	Prbm.g_00059	Prab.g_00049
OG0000177	Prbm.g_00060	Prab.g_00050
OG0000178	Prbm.g_00061	Prab.g_00051
OG0000179	Prbm.g_00121	Prab.g_00056
OG0000180	Prbm.g_00122	Prab.g_00057
OG0000181	Prbm.g_00123	Prab.g_00058
OG0000182	Prbm.g_00126	Prab.g_00061
OG0000183	Prbm.g_00127	Prab.g_00062
OG0000184	Prbm.g_00130	Prab.g_00065
OG0000185	Prbm.g_00134	Prab.g_00069
OG0000186	Prbm.g_00135	Prab.g_00070
OG0000187	Prbm.g_00136	Prab.g_00071
OG0000188	Prbm.g_00137	Prab.g_00072
OG0000189	Prbm.g_00138	Prab.g_00073
OG0000190	Prbm.g_00139	Prab.g_00074
OG0000191	Prbm.g_00140	Prab.g_00075
OG0000192	Prbm.g_00141	Prab.g_00076
OG0000193	Prbm.g_00142	Prab.g_00077
OG0000194	Prbm.g_00143	Prab.g_00078
OG0000195	Prbm.g_00145	Prab.g_00080
OG0000196	Prbm.g_00146	Prab.g_00081
OG0000197	Prbm.g_00147	Prab.g_00082
OG0000198	Prbm.g_00148	Prab.g_00083
OG0000199	Prbm.g_00151	Prab.g_00085
OG0000200	Prbm.g_00152	Prab.g_00086
OG0000201	Prbm.g_00153	Prab.g_00087
OG0000202	Prbm.g_00154	Prab.g_00088
OG0000203	Prbm.g_00155	Prab.g_00089
OG0000204	Prbm.g_00156	Prab.g_00090
OG0000205	Prbm.g_00158	Prab.g_00091
OG0000206	Prbm.g_00159	Prab.g_00092
OG0000207	Prbm.g_00160	Prab.g_00093
OG0000208	Prbm.g_00161	Prab.g_00094
OG0000209	Prbm.g_00162	Prab.g_00095
OG0000210	Prbm.g_00163	Prab.g_00097
OG0000211	Prbm.g_00164	Prab.g_00098
OG0000212	Prbm.g_00165	Prab.g_00099
OG0000213	Prbm.g_00166	Prab.g_00100
OG0000214	Prbm.g_00170	Prab.g_00102
OG0000215	Prbm.g_00171	Prab.g_00103
OG0000216	Prbm.g_00173	Prab.g_00105
OG0000217	Prbm.g_00175	Prab.g_00106
OG0000218	Prbm.g_00176	Prab.g_00107
OG0000219	Prbm.g_00177	Prab.g_00108
OG0000220	Prbm.g_00179	Prab.g_00111
OG0000221	Prbm.g_00182	Prab.g_00113
OG0000222	Prbm.g_00183	Prab.g_00114
OG0000223	Prbm.g_00184	Prab.g_00115
OG0000224	Prbm.g_00187	Prab.g_00117
OG0000225	Prbm.g_00189	Prab.g_00119
OG0000226	Prbm.g_00191	Prab.g_00120
OG0000227	Prbm.g_00192	Prab.g_00121
OG0000228	Prbm.g_00193	Prab.g_00122
OG0000229	Prbm.g_00194	Prab.g_00123
OG0000230	Prbm.g_00195	Prab.g_00124
OG0000231	Prbm.g_01096	Prab.g_00126
OG0000232	Prbm.g_00196	Prab.g_00127
OG0000233	Prbm.g_00199	Prab.g_00130
OG0000234	Prbm.g_00202	Prab.g_00132
OG0000235	Prbm.g_00204	Prab.g_00136
OG0000236	Prbm.g_00205	Prab.g_00137
OG0000237	Prbm.g_00206	Prab.g_00138
OG0000238	Prbm.g_00207	Prab.g_00139
OG0000239	Prbm.g_00208	Prab.g_00140
OG0000240	Prbm.g_00210	Prab.g_00142
OG0000241	Prbm.g_00211	Prab.g_00143
OG0000242	Prbm.g_00212	Prab.g_00144
OG0000243	Prbm.g_00213	Prab.g_00145
OG0000244	Prbm.g_00214	Prab.g_00146
OG0000245	Prbm.g_00215	Prab.g_00147
OG0000246	Prbm.g_00217	Prab.g_00149
OG0000247	Prbm.g_00218	Prab.g_00150
OG0000248	Prbm.g_00219	Prab.g_00151
OG0000249	Prbm.g_00220	Prab.g_00152
OG0000250	Prbm.g_00221	Prab.g_00153
OG0000251	Prbm.g_00222	Prab.g_00154
OG0000252	Prbm.g_00223	Prab.g_00155
OG0000253	Prbm.g_00224	Prab.g_00156
OG0000254	Prbm.g_00226	Prab.g_00158
OG0000255	Prbm.g_00227	Prab.g_00159
OG0000256	Prbm.g_00230	Prab.g_00162
OG0000257	Prbm.g_00232	Prab.g_00164
OG0000258	Prbm.g_00233	Prab.g_00165
OG0000259	Prbm.g_00234	Prab.g_00166
OG0000260	Prbm.g_00235	Prab.g_00167
OG0000261	Prbm.g_00236	Prab.g_00168
OG0000262	Prbm.g_00237	Prab.g_00169
OG0000263	Prbm.g_00238	Prab.g_00170
OG0000264	Prbm.g_00240	Prab.g_00172
OG0000265	Prbm.g_00241	Prab.g_00173
OG0000266	Prbm.g_00242	Prab.g_00174
OG0000267	Prbm.g_00244	Prab.g_00176
OG0000268	Prbm.g_00246	Prab.g_00177
OG0000269	Prbm.g_00247	Prab.g_00178
OG0000270	Prbm.g_00248	Prab.g_00179
OG0000271	Prbm.g_00249	Prab.g_00180
OG0000272	Prbm.g_00250	Prab.g_00181
OG0000273	Prbm.g_00251	Prab.g_00182
OG0000274	Prbm.g_00252	Prab.g_00183
OG0000275	Prbm.g_00253	Prab.g_00184
OG0000276	Prbm.g_00254	Prab.g_00185
OG0000277	Prbm.g_00255	Prab.g_00186
OG0000278	Prbm.g_00256	Prab.g_00187
OG0000279	Prbm.g_00257	Prab.g_00188
OG0000280	Prbm.g_00258	Prab.g_00189
OG0000281	Prbm.g_00260	Prab.g_00191
OG0000282	Prbm.g_00261	Prab.g_00192
OG0000283	Prbm.g_00263	Prab.g_00195
OG0000284	Prbm.g_00264	Prab.g_00196
OG0000285	Prbm.g_00265	Prab.g_00197
OG0000286	Prbm.g_00267	Prab.g_00199
OG0000287	Prbm.g_00268	Prab.g_00200
OG0000288	Prbm.g_00269	Prab.g_00201
OG0000289	Prbm.g_00270	Prab.g_00202
OG0000290	Prbm.g_00271	Prab.g_00203
OG0000291	Prbm.g_00272	Prab.g_00204
OG0000292	Prbm.g_00273	Prab.g_00205
OG0000293	Prbm.g_00274	Prab.g_00206
OG0000294	Prbm.g_00275	Prab.g_00207
OG0000295	Prbm.g_00276	Prab.g_00208
OG0000296	Prbm.g_00277	Prab.g_00209
OG0000297	Prbm.g_00278	Prab.g_00210
OG0000298	Prbm.g_00279	Prab.g_00211
OG0000299	Prbm.g_00280	Prab.g_00212
OG0000300	Prbm.g_00281	Prab.g_00213
OG0000301	Prbm.g_00282	Prab.g_00214
OG0000302	Prbm.g_00283	Prab.g_00215
OG0000303	Prbm.g_00284	Prab.g_00216
OG0000304	Prbm.g_00285	Prab.g_00217
OG0000305	Prbm.g_00286	Prab.g_00218
OG0000306	Prbm.g_00287	Prab.g_00219
OG0000307	Prbm.g_00288	Prab.g_00220
OG0000308	Prbm.g_00289	Prab.g_00221
OG0000309	Prbm.g_00290	Prab.g_00222
OG0000310	Prbm.g_00291	Prab.g_00223
OG0000311	Prbm.g_00293	Prab.g_00224
OG0000312	Prbm.g_00295	Prab.g_00226
OG0000313	Prbm.g_00296	Prab.g_00227
OG0000314	Prbm.g_00300	Prab.g_00229
OG0000315	Prbm.g_00301	Prab.g_00230
OG0000316	Prbm.g_00303	Prab.g_00232
OG0000317	Prbm.g_00305	Prab.g_00234
OG0000318	Prbm.g_00306	Prab.g_00235
OG0000319	Prbm.g_00307	Prab.g_00236
OG0000320	Prbm.g_00308	Prab.g_00237
OG0000321	Prbm.g_00309	Prab.g_00240
OG0000322	Prbm.g_00312	Prab.g_00243
OG0000323	Prbm.g_00313	Prab.g_00244
OG0000324	Prbm.g_00317	Prab.g_00247
OG0000325	Prbm.g_00318	Prab.g_00248
OG0000326	Prbm.g_00319	Prab.g_00249
OG0000327	Prbm.g_00320	Prab.g_00251
OG0000328	Prbm.g_00321	Prab.g_00252
OG0000329	Prbm.g_00322	Prab.g_00253
OG0000330	Prbm.g_00323	Prab.g_00254
OG0000331	Prbm.g_00324	Prab.g_00255
OG0000332	Prbm.g_00325	Prab.g_00256
OG0000333	Prbm.g_00326	Prab.g_00257
OG0000334	Prbm.g_00327	Prab.g_00258
OG0000335	Prbm.g_00328	Prab.g_00259
OG0000336	Prbm.g_00330	Prab.g_00260
OG0000337	Prbm.g_00332	Prab.g_00263
OG0000338	Prbm.g_00333	Prab.g_00264
OG0000339	Prbm.g_00334	Prab.g_00265
OG0000340	Prbm.g_00335	Prab.g_00266
OG0000341	Prbm.g_00339	Prab.g_00270
OG0000342	Prbm.g_00340	Prab.g_00271
OG0000343	Prbm.g_00342	Prab.g_00273
OG0000344	Prbm.g_00343	Prab.g_00274
OG0000345	Prbm.g_00344	Prab.g_00275
OG0000346	Prbm.g_00345	Prab.g_00276
OG0000347	Prbm.g_00346	Prab.g_00277
OG0000348	Prbm.g_00347	Prab.g_00278
OG0000349	Prbm.g_00348	Prab.g_00279
OG0000350	Prbm.g_00349	Prab.g_00280
OG0000351	Prbm.g_00351	Prab.g_00283
OG0000352	Prbm.g_00354	Prab.g_00286
OG0000353	Prbm.g_00355	Prab.g_00287
OG0000354	Prbm.g_00356	Prab.g_00288
OG0000355	Prbm.g_00357	Prab.g_00289
OG0000356	Prbm.g_00358	Prab.g_00290
OG0000357	Prbm.g_00359	Prab.g_00291
OG0000358	Prbm.g_00360	Prab.g_00292
OG0000359	Prbm.g_00361	Prab.g_00293
OG0000360	Prbm.g_00364	Prab.g_00296
OG0000361	Prbm.g_00365	Prab.g_00297
OG0000362	Prbm.g_00366	Prab.g_00298
OG0000363	Prbm.g_00367	Prab.g_00299
OG0000364	Prbm.g_00368	Prab.g_00300
OG0000365	Prbm.g_00369	Prab.g_00301
OG0000366	Prbm.g_00370	Prab.g_00302
OG0000367	Prbm.g_00371	Prab.g_00303
OG0000368	Prbm.g_00372	Prab.g_00304
OG0000369	Prbm.g_00373	Prab.g_00305
OG0000370	Prbm.g_00374	Prab.g_00306
OG0000371	Prbm.g_00375	Prab.g_00307
OG0000372	Prbm.g_00376	Prab.g_00309
OG0000373	Prbm.g_00378	Prab.g_00311
OG0000374	Prbm.g_00379	Prab.g_00312
OG0000375	Prbm.g_00380	Prab.g_00313
OG0000376	Prbm.g_00382	Prab.g_00315
OG0000377	Prbm.g_00388	Prab.g_00316
OG0000378	Prbm.g_00768	Prab.g_00317
OG0000379	Prbm.g_00400	Prab.g_00322
OG0000380	Prbm.g_00402	Prab.g_00323
OG0000381	Prbm.g_00403	Prab.g_00324
OG0000382	Prbm.g_00404	Prab.g_00325
OG0000383	Prbm.g_00407	Prab.g_00328
OG0000384	Prbm.g_00408	Prab.g_00329
OG0000385	Prbm.g_00410	Prab.g_00332
OG0000386	Prbm.g_00411	Prab.g_00333
OG0000387	Prbm.g_00412	Prab.g_00334
OG0000388	Prbm.g_00413	Prab.g_00335
OG0000389	Prbm.g_00414	Prab.g_00336
OG0000390	Prbm.g_00415	Prab.g_00337
OG0000391	Prbm.g_00416	Prab.g_00338
OG0000392	Prbm.g_00417	Prab.g_00339
OG0000393	Prbm.g_00422	Prab.g_00342
OG0000394	Prbm.g_00423	Prab.g_00343
OG0000395	Prbm.g_00426	Prab.g_00345
OG0000396	Prbm.g_00866	Prab.g_00347
OG0000397	Prbm.g_01088	Prab.g_00360
OG0000398	Prbm.g_01121	Prab.g_00367
OG0000399	Prbm.g_01353	Prab.g_00368
OG0000400	Prbm.g_01949	Prab.g_00375
OG0000401	Prbm.g_00440	Prab.g_00434
OG0000402	Prbm.g_00441	Prab.g_00435
OG0000403	Prbm.g_00442	Prab.g_00436
OG0000404	Prbm.g_00445	Prab.g_00438
OG0000405	Prbm.g_00446	Prab.g_00439
OG0000406	Prbm.g_00448	Prab.g_00441
OG0000407	Prbm.g_00449	Prab.g_00442
OG0000408	Prbm.g_00450	Prab.g_00443
OG0000409	Prbm.g_00451	Prab.g_00444
OG0000410	Prbm.g_00452	Prab.g_00445
OG0000411	Prbm.g_00453	Prab.g_00446
OG0000412	Prbm.g_00454	Prab.g_00447
OG0000413	Prbm.g_00455	Prab.g_00448
OG0000414	Prbm.g_00456	Prab.g_00449
OG0000415	Prbm.g_00457	Prab.g_00450
OG0000416	Prbm.g_00458	Prab.g_00454
OG0000417	Prbm.g_00459	Prab.g_00455
OG0000418	Prbm.g_00460	Prab.g_00456
OG0000419	Prbm.g_00461	Prab.g_00457
OG0000420	Prbm.g_00462	Prab.g_00458
OG0000421	Prbm.g_00480	Prab.g_00459
OG0000422	Prbm.g_00482	Prab.g_00460
OG0000423	Prbm.g_00483	Prab.g_00461
OG0000424	Prbm.g_00484	Prab.g_00463
OG0000425	Prbm.g_00490	Prab.g_00466
OG0000426	Prbm.g_00491	Prab.g_00467
OG0000427	Prbm.g_00492	Prab.g_00468
OG0000428	Prbm.g_00494	Prab.g_00469
OG0000429	Prbm.g_00495	Prab.g_00470
OG0000430	Prbm.g_00497	Prab.g_00475
OG0000431	Prbm.g_00498	Prab.g_00477
OG0000432	Prbm.g_00499	Prab.g_00478
OG0000433	Prbm.g_00502	Prab.g_00481
OG0000434	Prbm.g_00504	Prab.g_00482
OG0000435	Prbm.g_00505	Prab.g_00483
OG0000436	Prbm.g_00507	Prab.g_00485
OG0000437	Prbm.g_00509	Prab.g_00487
OG0000438	Prbm.g_00510	Prab.g_00488
OG0000439	Prbm.g_00511	Prab.g_00489
OG0000440	Prbm.g_00512	Prab.g_00491
OG0000441	Prbm.g_00513	Prab.g_00492
OG0000442	Prbm.g_00514	Prab.g_00493
OG0000443	Prbm.g_00515	Prab.g_00494
OG0000444	Prbm.g_00516	Prab.g_00495
OG0000445	Prbm.g_00517	Prab.g_00496
OG0000446	Prbm.g_00518	Prab.g_00497
OG0000447	Prbm.g_00519	Prab.g_00498
OG0000448	Prbm.g_00520	Prab.g_00499
OG0000449	Prbm.g_00534	Prab.g_00504
OG0000450	Prbm.g_00535	Prab.g_00505
OG0000451	Prbm.g_00536	Prab.g_00506
OG0000452	Prbm.g_00537	Prab.g_00507
OG0000453	Prbm.g_00539	Prab.g_00509
OG0000454	Prbm.g_00540	Prab.g_00510
OG0000455	Prbm.g_00541	Prab.g_00511
OG0000456	Prbm.g_00542	Prab.g_00512
OG0000457	Prbm.g_00544	Prab.g_00514
OG0000458	Prbm.g_00546	Prab.g_00516
OG0000459	Prbm.g_00547	Prab.g_00517
OG0000460	Prbm.g_00549	Prab.g_00519
OG0000461	Prbm.g_00550	Prab.g_00520
OG0000462	Prbm.g_00551	Prab.g_00521
OG0000463	Prbm.g_00553	Prab.g_00522
OG0000464	Prbm.g_00557	Prab.g_00527
OG0000465	Prbm.g_00558	Prab.g_00529
OG0000466	Prbm.g_00559	Prab.g_00530
OG0000467	Prbm.g_00560	Prab.g_00531
OG0000468	Prbm.g_00561	Prab.g_00532
OG0000469	Prbm.g_00562	Prab.g_00533
OG0000470	Prbm.g_00563	Prab.g_00534
OG0000471	Prbm.g_00564	Prab.g_00535
OG0000472	Prbm.g_00567	Prab.g_00538
OG0000473	Prbm.g_00568	Prab.g_00539
OG0000474	Prbm.g_00569	Prab.g_00540
OG0000475	Prbm.g_00570	Prab.g_00541
OG0000476	Prbm.g_00571	Prab.g_00542
OG0000477	Prbm.g_00573	Prab.g_00544
OG0000478	Prbm.g_00574	Prab.g_00545
OG0000479	Prbm.g_00575	Prab.g_00546
OG0000480	Prbm.g_00577	Prab.g_00548
OG0000481	Prbm.g_00578	Prab.g_00549
OG0000482	Prbm.g_00579	Prab.g_00550
OG0000483	Prbm.g_00580	Prab.g_00551
OG0000484	Prbm.g_00581	Prab.g_00552
OG0000485	Prbm.g_00582	Prab.g_00553
OG0000486	Prbm.g_00583	Prab.g_00554
OG0000487	Prbm.g_00584	Prab.g_00555
OG0000488	Prbm.g_00586	Prab.g_00557
OG0000489	Prbm.g_00587	Prab.g_00558
OG0000490	Prbm.g_00588	Prab.g_00559
OG0000491	Prbm.g_00589	Prab.g_00560
OG0000492	Prbm.g_00590	Prab.g_00561
OG0000493	Prbm.g_00591	Prab.g_00562
OG0000494	Prbm.g_00593	Prab.g_00564
OG0000495	Prbm.g_00594	Prab.g_00565
OG0000496	Prbm.g_00595	Prab.g_00566
OG0000497	Prbm.g_00596	Prab.g_00568
OG0000498	Prbm.g_00597	Prab.g_00569
OG0000499	Prbm.g_00599	Prab.g_00571
OG0000500	Prbm.g_00600	Prab.g_00572
OG0000501	Prbm.g_00602	Prab.g_00574
OG0000502	Prbm.g_00603	Prab.g_00575
OG0000503	Prbm.g_00604	Prab.g_00576
OG0000504	Prbm.g_00605	Prab.g_00577
OG0000505	Prbm.g_00606	Prab.g_00578
OG0000506	Prbm.g_00607	Prab.g_00579
OG0000507	Prbm.g_00608	Prab.g_00580
OG0000508	Prbm.g_00609	Prab.g_00582
OG0000509	Prbm.g_00610	Prab.g_00583
OG0000510	Prbm.g_00611	Prab.g_00584
OG0000511	Prbm.g_00612	Prab.g_00585
OG0000512	Prbm.g_00613	Prab.g_00586
OG0000513	Prbm.g_00614	Prab.g_00587
OG0000514	Prbm.g_00615	Prab.g_00588
OG0000515	Prbm.g_00616	Prab.g_00590
OG0000516	Prbm.g_00617	Prab.g_00591
OG0000517	Prbm.g_00618	Prab.g_00592
OG0000518	Prbm.g_00620	Prab.g_00595
OG0000519	Prbm.g_00621	Prab.g_00596
OG0000520	Prbm.g_00624	Prab.g_00597
OG0000521	Prbm.g_00623	Prab.g_00598
OG0000522	Prbm.g_00625	Prab.g_00599
OG0000523	Prbm.g_00626	Prab.g_00600
OG0000524	Prbm.g_00627	Prab.g_00601
OG0000525	Prbm.g_00629	Prab.g_00603
OG0000526	Prbm.g_00630	Prab.g_00604
OG0000527	Prbm.g_00631	Prab.g_00605
OG0000528	Prbm.g_00632	Prab.g_00606
OG0000529	Prbm.g_00633	Prab.g_00607
OG0000530	Prbm.g_00634	Prab.g_00608
OG0000531	Prbm.g_00636	Prab.g_00609
OG0000532	Prbm.g_00637	Prab.g_00610
OG0000533	Prbm.g_00638	Prab.g_00611
OG0000534	Prbm.g_00639	Prab.g_00612
OG0000535	Prbm.g_00640	Prab.g_00613
OG0000536	Prbm.g_00641	Prab.g_00614
OG0000537	Prbm.g_00642	Prab.g_00615
OG0000538	Prbm.g_00643	Prab.g_00616
OG0000539	Prbm.g_00644	Prab.g_00617
OG0000540	Prbm.g_00645	Prab.g_00618
OG0000541	Prbm.g_00646	Prab.g_00619
OG0000542	Prbm.g_00647	Prab.g_00620
OG0000543	Prbm.g_00648	Prab.g_00621
