Orthogroup	Prbm	Prak
OG0000024	Prbm.g_00362	Prak.g_00325
OG0000025	Prbm.g_00118, Prbm.g_01485	Prak.g_00741
OG0000026	Prbm.g_01947	Prak.g_01530
OG0000028	Prbm.g_01710	Prak.g_01391
OG0000029	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prak.g_00416
OG0000031	Prbm.g_01267	Prak.g_00667
OG0000032	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Prak.g_01350
OG0000033	Prbm.g_00013	Prak.g_00013
OG0000033	Prbm.g_01944	Prak.g_01230
OG0000034	Prbm.g_00114	Prak.g_00058
OG0000035	Prbm.g_01482	Prak.g_00709
OG0000036	Prbm.g_01900	Prak.g_01634
OG0000037	Prbm.g_01106	Prak.g_01506
OG0000038	Prbm.g_01204	Prak.g_01482
OG0000039	Prbm.g_00225	Prak.g_00178
OG0000040	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Prak.g_00721
OG0000041	Prbm.g_01351	Prak.g_01609, Prak.g_01603
OG0000042	Prbm.g_00742	Prak.g_00837
OG0000043	Prbm.g_00950	Prak.g_00937
OG0000044	Prbm.g_01549	Prak.g_01172
OG0000045	Prbm.g_00881	Prak.g_01351
OG0000046	Prbm.g_01834	Prak.g_01637, Prak.g_01516
OG0000047	Prbm.g_02094	Prak.g_01842
OG0000048	Prbm.g_02102	Prak.g_01850
OG0000050	Prbm.g_00031	Prak.g_00032
OG0000051	Prbm.g_00216	Prak.g_00169
OG0000052	Prbm.g_01172, Prbm.g_01237	Prak.g_00687
OG0000053	Prbm.g_00572	Prak.g_00498, Prak.g_01557
OG0000054	Prbm.g_00047	Prak.g_00601
OG0000055	Prbm.g_00838, Prbm.g_01191	Prak.g_00868
OG0000056	Prbm.g_00048	Prak.g_01228
OG0000057	Prbm.g_00297	Prak.g_00253
OG0000058	Prbm.g_00500	Prak.g_00436
OG0000059	Prbm.g_00735	Prak.g_00829
OG0000062	Prbm.g_01910	Prak.g_01550
OG0000063	Prbm.g_01522	Prak.g_01145
OG0000065	Prbm.g_00468, Prbm.g_01611	Prak.g_01277
OG0000066	Prbm.g_00707	Prak.g_01349
OG0000068	Prbm.g_02033	Prak.g_01780
OG0000069	Prbm.g_01747	Prak.g_01430
OG0000071	Prbm.g_00011	Prak.g_00011
OG0000072	Prbm.g_00377	Prak.g_00339
OG0000073	Prbm.g_00702	Prak.g_01072
OG0000074	Prbm.g_00728	Prak.g_00819
OG0000075	Prbm.g_00821	Prak.g_00852
OG0000076	Prbm.g_01064	Prak.g_00920
OG0000077	Prbm.g_00434, Prbm.g_01118, Prbm.g_01230, Prbm.g_01383, Prbm.g_01809, Prbm.g_01405	Prak.g_01561
OG0000078	Prbm.g_00394	Prak.g_01352
OG0000079	Prbm.g_01792	Prak.g_01476
OG0000080	Prbm.g_01182	Prak.g_00661
OG0000081	Prbm.g_02067	Prak.g_01814
OG0000082	Prbm.g_02188	Prak.g_00656
OG0000083	Prbm.g_00003	Prak.g_00003
OG0000084	Prbm.g_00006	Prak.g_00006
OG0000085	Prbm.g_00023	Prak.g_00023
OG0000087	Prbm.g_00058	Prak.g_00052
OG0000088	Prbm.g_00172	Prak.g_00121
OG0000089	Prbm.g_00181	Prak.g_00130
OG0000090	Prbm.g_00198	Prak.g_00147
OG0000091	Prbm.g_00228	Prak.g_00181
OG0000092	Prbm.g_00229	Prak.g_00182
OG0000093	Prbm.g_00243	Prak.g_00196
OG0000094	Prbm.g_00262	Prak.g_00215
OG0000095	Prbm.g_00266	Prak.g_00220
OG0000096	Prbm.g_00310	Prak.g_00268
OG0000097	Prbm.g_00331	Prak.g_00292
OG0000098	Prbm.g_00341	Prak.g_00303
OG0000099	Prbm.g_00350	Prak.g_00313
OG0000100	Prbm.g_00353	Prak.g_00316
OG0000101	Prbm.g_00425	Prak.g_00381
OG0000102	Prbm.g_01389	Prak.g_01259
OG0000103	Prbm.g_00501	Prak.g_00437
OG0000104	Prbm.g_00506	Prak.g_00441
OG0000105	Prbm.g_00533	Prak.g_00461
OG0000106	Prbm.g_00565	Prak.g_00491
OG0000107	Prbm.g_00566	Prak.g_00492
OG0000108	Prbm.g_00576	Prak.g_00502
OG0000109	Prbm.g_00585	Prak.g_00512
OG0000110	Prbm.g_00601	Prak.g_00529
OG0000111	Prbm.g_00682	Prak.g_01091
OG0000112	Prbm.g_00683	Prak.g_01090
OG0000113	Prbm.g_00766	Prak.g_01040
OG0000114	Prbm.g_00812	Prak.g_00843
OG0000115	Prbm.g_00988	Prak.g_00973
OG0000116	Prbm.g_00992	Prak.g_00977
OG0000117	Prbm.g_01061	Prak.g_00923
OG0000118	Prbm.g_01210	Prak.g_01217
OG0000119	Prbm.g_01913	Prak.g_01553
OG0000120	Prbm.g_01542	Prak.g_01166
OG0000121	Prbm.g_01519	Prak.g_01143
OG0000122	Prbm.g_01499	Prak.g_01123
OG0000123	Prbm.g_01489	Prak.g_00594
OG0000124	Prbm.g_01054	Prak.g_01487
OG0000125	Prbm.g_01622	Prak.g_01290
OG0000126	Prbm.g_01660	Prak.g_01329
OG0000127	Prbm.g_01696	Prak.g_01379
OG0000128	Prbm.g_01711	Prak.g_01392
OG0000129	Prbm.g_01745	Prak.g_01428
OG0000130	Prbm.g_01839	Prak.g_01642
OG0000131	Prbm.g_01876	Prak.g_01681
OG0000132	Prbm.g_01878	Prak.g_01684
OG0000133	Prbm.g_01991	Prak.g_01738
OG0000134	Prbm.g_02027	Prak.g_01774
OG0000135	Prbm.g_02029	Prak.g_01776
OG0000136	Prbm.g_02079	Prak.g_01826
OG0000137	Prbm.g_02114	Prak.g_01860
OG0000138	Prbm.g_02176	Prak.g_01895
OG0000139	Prbm.g_02212	Prak.g_01926
OG0000140	Prbm.g_00001	Prak.g_00001
OG0000141	Prbm.g_00002	Prak.g_00002
OG0000142	Prbm.g_00004	Prak.g_00004
OG0000143	Prbm.g_00005	Prak.g_00005
OG0000144	Prbm.g_00007	Prak.g_00007
OG0000145	Prbm.g_00008	Prak.g_00008
OG0000146	Prbm.g_00009	Prak.g_00009
OG0000147	Prbm.g_00010	Prak.g_00010
OG0000148	Prbm.g_00012	Prak.g_00012
OG0000149	Prbm.g_00014	Prak.g_00014
OG0000150	Prbm.g_00015	Prak.g_00015
OG0000151	Prbm.g_00016	Prak.g_00016
OG0000152	Prbm.g_00017	Prak.g_00017
OG0000153	Prbm.g_00018	Prak.g_00018
OG0000154	Prbm.g_00019	Prak.g_00019
OG0000155	Prbm.g_00020	Prak.g_00020
OG0000156	Prbm.g_00021	Prak.g_00021
OG0000157	Prbm.g_00022	Prak.g_00022
OG0000158	Prbm.g_00024	Prak.g_00024
OG0000159	Prbm.g_00025	Prak.g_00025
OG0000160	Prbm.g_00026	Prak.g_00026
OG0000161	Prbm.g_00027	Prak.g_00027
OG0000162	Prbm.g_00028	Prak.g_00028
OG0000163	Prbm.g_00029	Prak.g_00030
OG0000164	Prbm.g_00032	Prak.g_00033
OG0000165	Prbm.g_00033	Prak.g_00036
OG0000166	Prbm.g_00034	Prak.g_00037
OG0000167	Prbm.g_00035	Prak.g_00038
OG0000168	Prbm.g_00049	Prak.g_00040
OG0000169	Prbm.g_00051	Prak.g_00042
OG0000170	Prbm.g_00052	Prak.g_00044
OG0000171	Prbm.g_00053	Prak.g_00045
OG0000172	Prbm.g_00054	Prak.g_00046
OG0000173	Prbm.g_00055	Prak.g_00049
OG0000174	Prbm.g_00056	Prak.g_00050
OG0000175	Prbm.g_00057	Prak.g_00051
OG0000176	Prbm.g_00059	Prak.g_00053
OG0000177	Prbm.g_00060	Prak.g_00054
OG0000178	Prbm.g_00061	Prak.g_00056
OG0000179	Prbm.g_00121	Prak.g_00068
OG0000180	Prbm.g_00122	Prak.g_00069
OG0000181	Prbm.g_00123	Prak.g_00070
OG0000182	Prbm.g_00126	Prak.g_00074
OG0000183	Prbm.g_00127	Prak.g_00075
OG0000184	Prbm.g_00130	Prak.g_00078
OG0000185	Prbm.g_00134	Prak.g_00082
OG0000186	Prbm.g_00135	Prak.g_00083
OG0000187	Prbm.g_00136	Prak.g_00717
OG0000188	Prbm.g_00137	Prak.g_00084
OG0000189	Prbm.g_00138	Prak.g_00085
OG0000190	Prbm.g_00139	Prak.g_00086
OG0000191	Prbm.g_00140	Prak.g_00087
OG0000192	Prbm.g_00141	Prak.g_00088
OG0000193	Prbm.g_00142	Prak.g_00089
OG0000194	Prbm.g_00143	Prak.g_00090
OG0000195	Prbm.g_00145	Prak.g_00092
OG0000196	Prbm.g_00146	Prak.g_00093
OG0000197	Prbm.g_00147	Prak.g_00094
OG0000198	Prbm.g_00148	Prak.g_00095
OG0000199	Prbm.g_00151	Prak.g_00098
OG0000200	Prbm.g_00152	Prak.g_00099
OG0000201	Prbm.g_00153	Prak.g_00100
OG0000202	Prbm.g_00154	Prak.g_00102
OG0000203	Prbm.g_00155	Prak.g_00103
OG0000204	Prbm.g_00156	Prak.g_00104
OG0000205	Prbm.g_00158	Prak.g_00106
OG0000206	Prbm.g_00159	Prak.g_00107
OG0000207	Prbm.g_00160	Prak.g_00108
OG0000208	Prbm.g_00161	Prak.g_00109
OG0000209	Prbm.g_00162	Prak.g_00110
OG0000210	Prbm.g_00163	Prak.g_00111
OG0000211	Prbm.g_00164	Prak.g_00113
OG0000212	Prbm.g_00165	Prak.g_00114
OG0000213	Prbm.g_00166	Prak.g_00115
OG0000214	Prbm.g_00170	Prak.g_00119
OG0000215	Prbm.g_00171	Prak.g_00120
OG0000216	Prbm.g_00173	Prak.g_00122
OG0000217	Prbm.g_00175	Prak.g_00123
OG0000218	Prbm.g_00176	Prak.g_00124
OG0000219	Prbm.g_00177	Prak.g_00125
OG0000220	Prbm.g_00179	Prak.g_00128
OG0000221	Prbm.g_00182	Prak.g_00131
OG0000222	Prbm.g_00183	Prak.g_00132
OG0000223	Prbm.g_00184	Prak.g_00133
OG0000224	Prbm.g_00187	Prak.g_00135
OG0000225	Prbm.g_00189	Prak.g_00137
OG0000226	Prbm.g_00191	Prak.g_00139
OG0000227	Prbm.g_00192	Prak.g_00140
OG0000228	Prbm.g_00193	Prak.g_00141
OG0000229	Prbm.g_00194	Prak.g_00142
OG0000230	Prbm.g_00195	Prak.g_00143
OG0000231	Prbm.g_01096	Prak.g_01035
OG0000232	Prbm.g_00196	Prak.g_00145
OG0000233	Prbm.g_00199	Prak.g_00148
OG0000234	Prbm.g_00202	Prak.g_00150
OG0000235	Prbm.g_00204	Prak.g_00156
OG0000236	Prbm.g_00205	Prak.g_00157
OG0000237	Prbm.g_00206	Prak.g_00158
OG0000238	Prbm.g_00207	Prak.g_00159
OG0000239	Prbm.g_00208	Prak.g_00160
OG0000240	Prbm.g_00210	Prak.g_00162
OG0000241	Prbm.g_00211	Prak.g_00163
OG0000242	Prbm.g_00212	Prak.g_00164
OG0000243	Prbm.g_00213	Prak.g_00165
OG0000244	Prbm.g_00214	Prak.g_00166
OG0000245	Prbm.g_00215	Prak.g_00168
OG0000246	Prbm.g_00217	Prak.g_00170
OG0000247	Prbm.g_00218	Prak.g_00171
OG0000248	Prbm.g_00219	Prak.g_00172
OG0000249	Prbm.g_00220	Prak.g_00173
OG0000250	Prbm.g_00221	Prak.g_00174
OG0000251	Prbm.g_00222	Prak.g_00175
OG0000252	Prbm.g_00223	Prak.g_00176
OG0000253	Prbm.g_00224	Prak.g_00177
OG0000254	Prbm.g_00226	Prak.g_00179
OG0000255	Prbm.g_00227	Prak.g_00180
OG0000256	Prbm.g_00230	Prak.g_00183
OG0000257	Prbm.g_00232	Prak.g_00185
OG0000258	Prbm.g_00233	Prak.g_00186
OG0000259	Prbm.g_00234	Prak.g_00187
OG0000260	Prbm.g_00235	Prak.g_00188
OG0000261	Prbm.g_00236	Prak.g_00189
OG0000262	Prbm.g_00237	Prak.g_00190
OG0000263	Prbm.g_00238	Prak.g_00191
OG0000264	Prbm.g_00240	Prak.g_00193
OG0000265	Prbm.g_00241	Prak.g_00194
OG0000266	Prbm.g_00242	Prak.g_00195
OG0000267	Prbm.g_00244	Prak.g_00197
OG0000268	Prbm.g_00246	Prak.g_00199
OG0000269	Prbm.g_00247	Prak.g_00200
OG0000270	Prbm.g_00248	Prak.g_00201
OG0000271	Prbm.g_00249	Prak.g_00202
OG0000272	Prbm.g_00250	Prak.g_00203
OG0000273	Prbm.g_00251	Prak.g_00204
OG0000274	Prbm.g_00252	Prak.g_00205
OG0000275	Prbm.g_00253	Prak.g_00206
OG0000276	Prbm.g_00254	Prak.g_00207
OG0000277	Prbm.g_00255	Prak.g_00208
OG0000278	Prbm.g_00256	Prak.g_00209
OG0000279	Prbm.g_00257	Prak.g_00210
OG0000280	Prbm.g_00258	Prak.g_00211
OG0000281	Prbm.g_00260	Prak.g_00213
OG0000282	Prbm.g_00261	Prak.g_00214
OG0000283	Prbm.g_00263	Prak.g_00217
OG0000284	Prbm.g_00264	Prak.g_00218
OG0000285	Prbm.g_00265	Prak.g_00219
OG0000286	Prbm.g_00267	Prak.g_00221
OG0000287	Prbm.g_00268	Prak.g_00223
OG0000288	Prbm.g_00269	Prak.g_00224
OG0000289	Prbm.g_00270	Prak.g_00225
OG0000290	Prbm.g_00271	Prak.g_00226
OG0000291	Prbm.g_00272	Prak.g_00227
OG0000292	Prbm.g_00273	Prak.g_00228
OG0000293	Prbm.g_00274	Prak.g_00229
OG0000294	Prbm.g_00275	Prak.g_00230
OG0000295	Prbm.g_00276	Prak.g_00231
OG0000296	Prbm.g_00277	Prak.g_00232
OG0000297	Prbm.g_00278	Prak.g_00233
OG0000298	Prbm.g_00279	Prak.g_00234
OG0000299	Prbm.g_00280	Prak.g_00235
OG0000300	Prbm.g_00281	Prak.g_00236
OG0000301	Prbm.g_00282	Prak.g_00237
OG0000302	Prbm.g_00283	Prak.g_00238
OG0000303	Prbm.g_00284	Prak.g_00239
OG0000304	Prbm.g_00285	Prak.g_00241
OG0000305	Prbm.g_00286	Prak.g_00242
OG0000306	Prbm.g_00287	Prak.g_00243
OG0000307	Prbm.g_00288	Prak.g_00245
OG0000308	Prbm.g_00289	Prak.g_00246
OG0000309	Prbm.g_00290	Prak.g_00247
OG0000310	Prbm.g_00291	Prak.g_00248
OG0000311	Prbm.g_00293	Prak.g_00249
OG0000312	Prbm.g_00295	Prak.g_00251
OG0000313	Prbm.g_00296	Prak.g_00252
OG0000314	Prbm.g_00300	Prak.g_00256
OG0000315	Prbm.g_00301	Prak.g_00257
OG0000316	Prbm.g_00303	Prak.g_00259
OG0000317	Prbm.g_00305	Prak.g_00261
OG0000318	Prbm.g_00306	Prak.g_00262
OG0000319	Prbm.g_00307	Prak.g_00263
OG0000320	Prbm.g_00308	Prak.g_00264
OG0000321	Prbm.g_00309	Prak.g_00267
OG0000322	Prbm.g_00312	Prak.g_00271
OG0000323	Prbm.g_00313	Prak.g_00272
OG0000324	Prbm.g_00317	Prak.g_00275
OG0000325	Prbm.g_00318	Prak.g_00276
OG0000326	Prbm.g_00319	Prak.g_00277
OG0000327	Prbm.g_00320	Prak.g_00279
OG0000328	Prbm.g_00321	Prak.g_00280
OG0000329	Prbm.g_00322	Prak.g_00281
OG0000330	Prbm.g_00323	Prak.g_00282
OG0000331	Prbm.g_00324	Prak.g_00284
OG0000332	Prbm.g_00325	Prak.g_00285
OG0000333	Prbm.g_00326	Prak.g_00286
OG0000334	Prbm.g_00327	Prak.g_00287
OG0000335	Prbm.g_00328	Prak.g_00288
OG0000336	Prbm.g_00330	Prak.g_00290
OG0000337	Prbm.g_00332	Prak.g_00293
OG0000338	Prbm.g_00333	Prak.g_00294
OG0000339	Prbm.g_00334	Prak.g_00295
OG0000340	Prbm.g_00335	Prak.g_00296
OG0000341	Prbm.g_00339	Prak.g_00300
OG0000342	Prbm.g_00340	Prak.g_00301
OG0000343	Prbm.g_00342	Prak.g_00304
OG0000344	Prbm.g_00343	Prak.g_00305
OG0000345	Prbm.g_00344	Prak.g_00306
OG0000346	Prbm.g_00345	Prak.g_00307
OG0000347	Prbm.g_00346	Prak.g_00308
OG0000348	Prbm.g_00347	Prak.g_00310
OG0000349	Prbm.g_00348	Prak.g_00311
OG0000350	Prbm.g_00349	Prak.g_00312
OG0000351	Prbm.g_00351	Prak.g_00314
OG0000352	Prbm.g_00354	Prak.g_00317
OG0000353	Prbm.g_00355	Prak.g_00318
OG0000354	Prbm.g_00356	Prak.g_00319
OG0000355	Prbm.g_00357	Prak.g_00320
OG0000356	Prbm.g_00358	Prak.g_00321
OG0000357	Prbm.g_00359	Prak.g_00322
OG0000358	Prbm.g_00360	Prak.g_00323
OG0000359	Prbm.g_00361	Prak.g_00324
OG0000360	Prbm.g_00364	Prak.g_00326
OG0000361	Prbm.g_00365	Prak.g_00327
OG0000362	Prbm.g_00366	Prak.g_00328
OG0000363	Prbm.g_00367	Prak.g_00329
OG0000364	Prbm.g_00368	Prak.g_00330
OG0000365	Prbm.g_00369	Prak.g_00331
OG0000366	Prbm.g_00370	Prak.g_00332
OG0000367	Prbm.g_00371	Prak.g_00333
OG0000368	Prbm.g_00372	Prak.g_00334
OG0000369	Prbm.g_00373	Prak.g_00335
OG0000370	Prbm.g_00374	Prak.g_00336
OG0000371	Prbm.g_00375	Prak.g_00337
OG0000372	Prbm.g_00376	Prak.g_00338
OG0000373	Prbm.g_00378	Prak.g_00340
OG0000374	Prbm.g_00379	Prak.g_00341
OG0000375	Prbm.g_00380	Prak.g_00342
OG0000376	Prbm.g_00382	Prak.g_00343
OG0000377	Prbm.g_00388	Prak.g_00349
OG0000378	Prbm.g_00768	Prak.g_00350
OG0000379	Prbm.g_00400	Prak.g_00356
OG0000380	Prbm.g_00402	Prak.g_00358
OG0000381	Prbm.g_00403	Prak.g_00359
OG0000382	Prbm.g_00404	Prak.g_00360
OG0000383	Prbm.g_00407	Prak.g_00363
OG0000384	Prbm.g_00408	Prak.g_00364
OG0000385	Prbm.g_00410	Prak.g_00367
OG0000386	Prbm.g_00411	Prak.g_00368
OG0000387	Prbm.g_00412	Prak.g_00369
OG0000388	Prbm.g_00413	Prak.g_00370
OG0000389	Prbm.g_00414	Prak.g_00371
OG0000390	Prbm.g_00415	Prak.g_00372
OG0000391	Prbm.g_00416	Prak.g_00373
OG0000392	Prbm.g_00417	Prak.g_00374
OG0000393	Prbm.g_00422	Prak.g_00378
OG0000394	Prbm.g_00423	Prak.g_00379
OG0000395	Prbm.g_00426	Prak.g_00382
OG0000396	Prbm.g_00866	Prak.g_00900
OG0000397	Prbm.g_01088	Prak.g_01216
OG0000398	Prbm.g_01121	Prak.g_01597
OG0000399	Prbm.g_01353	Prak.g_01211
OG0000400	Prbm.g_01949	Prak.g_01709
OG0000401	Prbm.g_00440	Prak.g_00393
OG0000402	Prbm.g_00441	Prak.g_00394
OG0000403	Prbm.g_00442	Prak.g_00395
OG0000404	Prbm.g_00445	Prak.g_00397
OG0000405	Prbm.g_00446	Prak.g_00398
OG0000406	Prbm.g_00448	Prak.g_00400
OG0000407	Prbm.g_00449	Prak.g_00401
OG0000408	Prbm.g_00450	Prak.g_00402
OG0000409	Prbm.g_00451	Prak.g_00403
OG0000410	Prbm.g_00452	Prak.g_00404
OG0000411	Prbm.g_00453	Prak.g_00405
OG0000412	Prbm.g_00454	Prak.g_00406
OG0000413	Prbm.g_00455	Prak.g_00407
OG0000414	Prbm.g_00456	Prak.g_00408
OG0000415	Prbm.g_00457	Prak.g_00409
OG0000416	Prbm.g_00458	Prak.g_00410
OG0000417	Prbm.g_00459	Prak.g_00411
OG0000418	Prbm.g_00460	Prak.g_00412
OG0000419	Prbm.g_00461	Prak.g_00413
OG0000420	Prbm.g_00462	Prak.g_00414
OG0000421	Prbm.g_00480	Prak.g_00418
OG0000422	Prbm.g_00482	Prak.g_00420
OG0000423	Prbm.g_00483	Prak.g_00421
OG0000424	Prbm.g_00484	Prak.g_00422
OG0000425	Prbm.g_00490	Prak.g_00426
OG0000426	Prbm.g_00491	Prak.g_00427
OG0000427	Prbm.g_00492	Prak.g_00428
OG0000428	Prbm.g_00494	Prak.g_00430
OG0000429	Prbm.g_00495	Prak.g_00431
OG0000430	Prbm.g_00497	Prak.g_00432
OG0000431	Prbm.g_00498	Prak.g_00434
OG0000432	Prbm.g_00499	Prak.g_00435
OG0000433	Prbm.g_00502	Prak.g_00438
OG0000434	Prbm.g_00504	Prak.g_00439
OG0000435	Prbm.g_00505	Prak.g_00440
OG0000436	Prbm.g_00507	Prak.g_00442
OG0000437	Prbm.g_00509	Prak.g_00444
OG0000438	Prbm.g_00510	Prak.g_00445
OG0000439	Prbm.g_00511	Prak.g_00446
OG0000440	Prbm.g_00512	Prak.g_00448
OG0000441	Prbm.g_00513	Prak.g_00449
OG0000442	Prbm.g_00514	Prak.g_00450
OG0000443	Prbm.g_00515	Prak.g_00451
OG0000444	Prbm.g_00516	Prak.g_00452
OG0000445	Prbm.g_00517	Prak.g_00453
OG0000446	Prbm.g_00518	Prak.g_00454
OG0000447	Prbm.g_00519	Prak.g_00455
OG0000448	Prbm.g_00520	Prak.g_00456
OG0000449	Prbm.g_00534	Prak.g_00462
OG0000450	Prbm.g_00535	Prak.g_00463
OG0000451	Prbm.g_00536	Prak.g_00464
OG0000452	Prbm.g_00537	Prak.g_00465
OG0000453	Prbm.g_00539	Prak.g_00466
OG0000454	Prbm.g_00540	Prak.g_00467
OG0000455	Prbm.g_00541	Prak.g_00468
OG0000456	Prbm.g_00542	Prak.g_00469
OG0000457	Prbm.g_00544	Prak.g_00471
OG0000458	Prbm.g_00546	Prak.g_00473
OG0000459	Prbm.g_00547	Prak.g_00474
OG0000460	Prbm.g_00549	Prak.g_00476
OG0000461	Prbm.g_00550	Prak.g_00477
OG0000462	Prbm.g_00551	Prak.g_00478
OG0000463	Prbm.g_00553	Prak.g_00479
OG0000464	Prbm.g_00557	Prak.g_00483
OG0000465	Prbm.g_00558	Prak.g_00484
OG0000466	Prbm.g_00559	Prak.g_00485
OG0000467	Prbm.g_00560	Prak.g_00486
OG0000468	Prbm.g_00561	Prak.g_00487
OG0000469	Prbm.g_00562	Prak.g_00488
OG0000470	Prbm.g_00563	Prak.g_00489
OG0000471	Prbm.g_00564	Prak.g_00490
OG0000472	Prbm.g_00567	Prak.g_00493
OG0000473	Prbm.g_00568	Prak.g_00494
OG0000474	Prbm.g_00569	Prak.g_00495
OG0000475	Prbm.g_00570	Prak.g_00496
OG0000476	Prbm.g_00571	Prak.g_00497
OG0000477	Prbm.g_00573	Prak.g_00499
OG0000478	Prbm.g_00574	Prak.g_00500
OG0000479	Prbm.g_00575	Prak.g_00501
OG0000480	Prbm.g_00577	Prak.g_00503
OG0000481	Prbm.g_00578	Prak.g_00504
OG0000482	Prbm.g_00579	Prak.g_00506
OG0000483	Prbm.g_00580	Prak.g_00507
OG0000484	Prbm.g_00581	Prak.g_00508
OG0000485	Prbm.g_00582	Prak.g_00509
OG0000486	Prbm.g_00583	Prak.g_00510
OG0000487	Prbm.g_00584	Prak.g_00511
OG0000488	Prbm.g_00586	Prak.g_00513
OG0000489	Prbm.g_00587	Prak.g_00514
OG0000490	Prbm.g_00588	Prak.g_00515
OG0000491	Prbm.g_00589	Prak.g_00516
OG0000492	Prbm.g_00590	Prak.g_00517
OG0000493	Prbm.g_00591	Prak.g_00518
OG0000494	Prbm.g_00593	Prak.g_00519
OG0000495	Prbm.g_00594	Prak.g_00520
OG0000496	Prbm.g_00595	Prak.g_00522
OG0000497	Prbm.g_00596	Prak.g_00524
OG0000498	Prbm.g_00597	Prak.g_00525
OG0000499	Prbm.g_00599	Prak.g_00527
OG0000500	Prbm.g_00600	Prak.g_00528
OG0000501	Prbm.g_00602	Prak.g_00530
OG0000502	Prbm.g_00603	Prak.g_00531
OG0000503	Prbm.g_00604	Prak.g_00532
OG0000504	Prbm.g_00605	Prak.g_00533
OG0000505	Prbm.g_00606	Prak.g_00534
OG0000506	Prbm.g_00607	Prak.g_00535
OG0000507	Prbm.g_00608	Prak.g_00536
OG0000508	Prbm.g_00609	Prak.g_00538
OG0000509	Prbm.g_00610	Prak.g_00539
OG0000510	Prbm.g_00611	Prak.g_00540
OG0000511	Prbm.g_00612	Prak.g_00541
OG0000512	Prbm.g_00613	Prak.g_00542
OG0000513	Prbm.g_00614	Prak.g_00543
OG0000514	Prbm.g_00615	Prak.g_00544
OG0000515	Prbm.g_00616	Prak.g_00547
OG0000516	Prbm.g_00617	Prak.g_00548
OG0000517	Prbm.g_00618	Prak.g_00549
OG0000518	Prbm.g_00620	Prak.g_00552
OG0000519	Prbm.g_00621	Prak.g_00553
OG0000520	Prbm.g_00624	Prak.g_00554
OG0000521	Prbm.g_00623	Prak.g_00555
OG0000522	Prbm.g_00625	Prak.g_00556
OG0000523	Prbm.g_00626	Prak.g_00557
OG0000524	Prbm.g_00627	Prak.g_00558
OG0000525	Prbm.g_00629	Prak.g_00560
OG0000526	Prbm.g_00630	Prak.g_00561
OG0000527	Prbm.g_00631	Prak.g_00562
OG0000528	Prbm.g_00632	Prak.g_00563
OG0000529	Prbm.g_00633	Prak.g_00564
OG0000530	Prbm.g_00634	Prak.g_00565
OG0000531	Prbm.g_00636	Prak.g_00567
OG0000532	Prbm.g_00637	Prak.g_00568
OG0000533	Prbm.g_00638	Prak.g_00569
OG0000534	Prbm.g_00639	Prak.g_00570
OG0000535	Prbm.g_00640	Prak.g_00571
OG0000536	Prbm.g_00641	Prak.g_00572
OG0000537	Prbm.g_00642	Prak.g_00573
OG0000538	Prbm.g_00643	Prak.g_00574
