Orthogroup	Syab	Prbi
OG0000037	Syab.g_02504	Prbi.g_00116
OG0000038	Syab.g_02759, Syab.g_02761	Prbi.g_02057
OG0000039	Syab.g_02791	Prbi.g_00689
OG0000041	Syab.g_02333	Prbi.g_01833
OG0000042	Syab.g_01019, Syab.g_00099	Prbi.g_02001
OG0000043	Syab.g_01539	Prbi.g_00918
OG0000043	Syab.g_01785	Prbi.g_01334
OG0000044	Syab.g_01262	Prbi.g_01744, Prbi.g_01760
OG0000045	Syab.g_01787	Prbi.g_00395
OG0000047	Syab.g_00876	Prbi.g_00354
OG0000048	Syab.g_00308	Prbi.g_00398
OG0000051	Syab.g_01073	Prbi.g_01364, Prbi.g_01281
OG0000052	Syab.g_00214	Prbi.g_01478
OG0000053	Syab.g_00746	Prbi.g_01611
OG0000054	Syab.g_01932	Prbi.g_00608
OG0000055	Syab.g_01255	Prbi.g_00828
OG0000056	Syab.g_01452	Prbi.g_01276
OG0000057	Syab.g_01200	Prbi.g_00702
OG0000058	Syab.g_00227	Prbi.g_01461
OG0000059	Syab.g_00397	Prbi.g_01873, Prbi.g_01717
OG0000061	Syab.g_00969	Prbi.g_01207
OG0000063	Syab.g_00040	Prbi.g_00033
OG0000065	Syab.g_02500, Syab.g_01768	Prbi.g_00114
OG0000066	Syab.g_02031	Prbi.g_00542
OG0000067	Syab.g_01659	Prbi.g_00847
OG0000068	Syab.g_02087	Prbi.g_01439
OG0000070	Syab.g_00614	Prbi.g_00451
OG0000071	Syab.g_00915	Prbi.g_01391
OG0000072	Syab.g_02593	Prbi.g_00195
OG0000073	Syab.g_02119	Prbi.g_00502
OG0000075	Syab.g_00202	Prbi.g_01970
OG0000076	Syab.g_00113	Prbi.g_01994
OG0000077	Syab.g_02446	Prbi.g_00085
OG0000078	Syab.g_02366	Prbi.g_00263
OG0000079	Syab.g_00340	Prbi.g_00276
OG0000081	Syab.g_01793	Prbi.g_00534
OG0000082	Syab.g_01971	Prbi.g_00587
OG0000084	Syab.g_00781	Prbi.g_01585
OG0000085	Syab.g_02243	Prbi.g_01780
OG0000086	Syab.g_02468	Prbi.g_00095
OG0000087	Syab.g_02551	Prbi.g_00147
OG0000088	Syab.g_02586	Prbi.g_00190
OG0000089	Syab.g_00551	Prbi.g_00380
OG0000090	Syab.g_02041	Prbi.g_00536
OG0000091	Syab.g_01866	Prbi.g_00645
OG0000092	Syab.g_01242, Syab.g_00690	Prbi.g_00956
OG0000094	Syab.g_01306	Prbi.g_01067
OG0000097	Syab.g_01051	Prbi.g_01248
OG0000098	Syab.g_01553	Prbi.g_01421
OG0000099	Syab.g_00230	Prbi.g_01462
OG0000100	Syab.g_01694	Prbi.g_01664
OG0000101	Syab.g_00446	Prbi.g_01938
OG0000102	Syab.g_00104	Prbi.g_01999
OG0000103	Syab.g_01296, Syab.g_02895	Prbi.g_02091
OG0000104	Syab.g_02910	Prbi.g_02099
OG0000105	Syab.g_00303	Prbi.g_00298
OG0000106	Syab.g_01817	Prbi.g_00394
OG0000108	Syab.g_02096	Prbi.g_00483
OG0000109	Syab.g_02112	Prbi.g_00497
OG0000110	Syab.g_01984	Prbi.g_00577
OG0000111	Syab.g_01201	Prbi.g_00703
OG0000112	Syab.g_01392	Prbi.g_00811
OG0000113	Syab.g_01689	Prbi.g_00869
OG0000114	Syab.g_01633	Prbi.g_00951
OG0000115	Syab.g_00748	Prbi.g_01148
OG0000116	Syab.g_00945	Prbi.g_01197
OG0000117	Syab.g_01018	Prbi.g_01330
OG0000118	Syab.g_00897	Prbi.g_01403
OG0000120	Syab.g_00229	Prbi.g_01460
OG0000121	Syab.g_00772	Prbi.g_01593
OG0000122	Syab.g_01839	Prbi.g_01630
OG0000123	Syab.g_00454	Prbi.g_01945
OG0000124	Syab.g_00088	Prbi.g_02010
OG0000125	Syab.g_02763	Prbi.g_02059
OG0000126	Syab.g_02908	Prbi.g_02098
OG0000128	Syab.g_00012	Prbi.g_00011
OG0000129	Syab.g_02749	Prbi.g_00053
OG0000130	Syab.g_02434	Prbi.g_00076
OG0000131	Syab.g_02564	Prbi.g_00169
OG0000132	Syab.g_02584	Prbi.g_00188
OG0000133	Syab.g_01387	Prbi.g_00346
OG0000134	Syab.g_00554	Prbi.g_00381
OG0000135	Syab.g_02815	Prbi.g_00407
OG0000136	Syab.g_00588	Prbi.g_00442
OG0000137	Syab.g_00697	Prbi.g_00478
OG0000138	Syab.g_02113	Prbi.g_00498
OG0000139	Syab.g_02035	Prbi.g_00540
OG0000140	Syab.g_02033	Prbi.g_00541
OG0000141	Syab.g_01931	Prbi.g_00609
OG0000142	Syab.g_01873	Prbi.g_00638
OG0000143	Syab.g_01870	Prbi.g_00642
OG0000144	Syab.g_01757	Prbi.g_00655
OG0000145	Syab.g_02120	Prbi.g_00807
OG0000146	Syab.g_01393	Prbi.g_00812
OG0000147	Syab.g_01394	Prbi.g_00813
OG0000148	Syab.g_01682	Prbi.g_00863
OG0000149	Syab.g_01720	Prbi.g_00894
OG0000150	Syab.g_01930	Prbi.g_00902
OG0000151	Syab.g_01612	Prbi.g_00961
OG0000152	Syab.g_01383	Prbi.g_01009
OG0000153	Syab.g_01343	Prbi.g_01028
OG0000154	Syab.g_01317	Prbi.g_01060
OG0000155	Syab.g_01009	Prbi.g_01227
OG0000156	Syab.g_00933	Prbi.g_01380
OG0000157	Syab.g_00932	Prbi.g_01381
OG0000158	Syab.g_00161	Prbi.g_01489
OG0000160	Syab.g_00774	Prbi.g_01592
OG0000161	Syab.g_00766	Prbi.g_01598
OG0000162	Syab.g_00755	Prbi.g_01604
OG0000163	Syab.g_02173	Prbi.g_01637
OG0000164	Syab.g_02307	Prbi.g_01811
OG0000165	Syab.g_02316	Prbi.g_01818
OG0000166	Syab.g_00407	Prbi.g_01902
OG0000167	Syab.g_00205	Prbi.g_01968
OG0000168	Syab.g_00136	Prbi.g_01978
OG0000169	Syab.g_00125	Prbi.g_01988
OG0000170	Syab.g_00118	Prbi.g_01990
OG0000171	Syab.g_00089	Prbi.g_02009
OG0000172	Syab.g_00080	Prbi.g_02030
OG0000173	Syab.g_00061	Prbi.g_02045
OG0000174	Syab.g_02819	Prbi.g_02073
OG0000175	Syab.g_02876	Prbi.g_02083
OG0000176	Syab.g_00004	Prbi.g_00004
OG0000177	Syab.g_00005	Prbi.g_00005
OG0000178	Syab.g_00006	Prbi.g_00006
OG0000179	Syab.g_00022	Prbi.g_00016
OG0000180	Syab.g_00023	Prbi.g_00017
OG0000181	Syab.g_00024	Prbi.g_00018
OG0000182	Syab.g_00025	Prbi.g_00019
OG0000183	Syab.g_00029	Prbi.g_00023
OG0000184	Syab.g_02738	Prbi.g_00057
OG0000185	Syab.g_02715	Prbi.g_00060
OG0000186	Syab.g_02430	Prbi.g_00071
OG0000187	Syab.g_02431	Prbi.g_00072
OG0000188	Syab.g_02454	Prbi.g_00089
OG0000189	Syab.g_02487	Prbi.g_00103
OG0000190	Syab.g_00190, Syab.g_00139	Prbi.g_00104
OG0000191	Syab.g_02522	Prbi.g_00125
OG0000192	Syab.g_02528	Prbi.g_00129
OG0000193	Syab.g_02565	Prbi.g_00170
OG0000194	Syab.g_02568	Prbi.g_00173
OG0000195	Syab.g_02570	Prbi.g_00175
OG0000196	Syab.g_02581	Prbi.g_00185
OG0000197	Syab.g_02582	Prbi.g_00186
OG0000198	Syab.g_02583	Prbi.g_00187
OG0000199	Syab.g_02591	Prbi.g_00194
OG0000200	Syab.g_02611	Prbi.g_00208
OG0000201	Syab.g_02628	Prbi.g_00216
OG0000202	Syab.g_02629	Prbi.g_00217
OG0000203	Syab.g_02630	Prbi.g_00218
OG0000204	Syab.g_02631	Prbi.g_00219
OG0000205	Syab.g_02638	Prbi.g_00226
OG0000206	Syab.g_02674	Prbi.g_00231
OG0000207	Syab.g_02677	Prbi.g_00233
OG0000208	Syab.g_02678	Prbi.g_00234
OG0000209	Syab.g_02698	Prbi.g_00243
OG0000210	Syab.g_02699	Prbi.g_00244
OG0000212	Syab.g_02365	Prbi.g_00264
OG0000213	Syab.g_00332	Prbi.g_00281
OG0000214	Syab.g_00312	Prbi.g_00291
OG0000215	Syab.g_00281	Prbi.g_00316
OG0000216	Syab.g_00277	Prbi.g_00318
OG0000217	Syab.g_00273	Prbi.g_00321
OG0000218	Syab.g_00271	Prbi.g_00323
OG0000219	Syab.g_00270	Prbi.g_00324
OG0000220	Syab.g_00269	Prbi.g_00325
OG0000221	Syab.g_00257	Prbi.g_00326
OG0000222	Syab.g_00244	Prbi.g_00334
OG0000223	Syab.g_00226	Prbi.g_00347
OG0000224	Syab.g_00223	Prbi.g_00349
OG0000225	Syab.g_00538	Prbi.g_00370
OG0000226	Syab.g_00542	Prbi.g_00374
OG0000227	Syab.g_00544	Prbi.g_00376
OG0000228	Syab.g_00550	Prbi.g_00379
OG0000229	Syab.g_00583	Prbi.g_00437
OG0000230	Syab.g_00585	Prbi.g_00439
OG0000231	Syab.g_00613	Prbi.g_00450
OG0000232	Syab.g_00631	Prbi.g_00459
OG0000233	Syab.g_00645	Prbi.g_00465
OG0000234	Syab.g_00699	Prbi.g_00479
OG0000235	Syab.g_02095	Prbi.g_00482
OG0000236	Syab.g_02111	Prbi.g_00496
OG0000237	Syab.g_02129	Prbi.g_00509
OG0000238	Syab.g_02134	Prbi.g_00515
OG0000239	Syab.g_02151	Prbi.g_00528
OG0000240	Syab.g_02152	Prbi.g_00529
OG0000241	Syab.g_01884	Prbi.g_00533
OG0000242	Syab.g_02043	Prbi.g_00535
OG0000243	Syab.g_02025	Prbi.g_00546
OG0000244	Syab.g_02017	Prbi.g_00549
OG0000245	Syab.g_02015	Prbi.g_00551
OG0000246	Syab.g_02011	Prbi.g_00555
OG0000247	Syab.g_01999	Prbi.g_00565
OG0000248	Syab.g_01996	Prbi.g_00567
OG0000249	Syab.g_01994	Prbi.g_00569
OG0000250	Syab.g_01988	Prbi.g_00574
OG0000251	Syab.g_01961	Prbi.g_00593
OG0000252	Syab.g_01958	Prbi.g_00596
OG0000253	Syab.g_01956	Prbi.g_00597
OG0000254	Syab.g_01925	Prbi.g_00613
OG0000255	Syab.g_01912	Prbi.g_00619
OG0000256	Syab.g_01890	Prbi.g_00629
OG0000257	Syab.g_01885	Prbi.g_00632
OG0000258	Syab.g_01861	Prbi.g_00646
OG0000259	Syab.g_01538	Prbi.g_00663
OG0000260	Syab.g_01544	Prbi.g_00666
OG0000261	Syab.g_01556	Prbi.g_00668
OG0000262	Syab.g_01561	Prbi.g_00672
OG0000263	Syab.g_01035	Prbi.g_00684
OG0000264	Syab.g_01173	Prbi.g_00694
OG0000265	Syab.g_01773	Prbi.g_00745
OG0000266	Syab.g_01667	Prbi.g_00755
OG0000267	Syab.g_01433	Prbi.g_00766
OG0000268	Syab.g_01432	Prbi.g_00767
OG0000269	Syab.g_01650	Prbi.g_00842
OG0000270	Syab.g_01657	Prbi.g_00845
OG0000271	Syab.g_01279	Prbi.g_00853
OG0000272	Syab.g_01280	Prbi.g_00854
OG0000274	Syab.g_01700	Prbi.g_00878
OG0000275	Syab.g_01704	Prbi.g_00881
OG0000276	Syab.g_01712	Prbi.g_00886
OG0000277	Syab.g_01713	Prbi.g_00887
OG0000278	Syab.g_01716	Prbi.g_00890
OG0000279	Syab.g_01724	Prbi.g_00897
OG0000280	Syab.g_01736	Prbi.g_00898
OG0000281	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546	Prbi.g_00903
OG0000282	Syab.g_01631	Prbi.g_00953
OG0000283	Syab.g_01418	Prbi.g_00986
OG0000284	Syab.g_01413	Prbi.g_00991
OG0000285	Syab.g_01402	Prbi.g_00996
OG0000286	Syab.g_01384	Prbi.g_01008
OG0000288	Syab.g_01318	Prbi.g_01059
OG0000289	Syab.g_01303	Prbi.g_01070
OG0000290	Syab.g_01213	Prbi.g_01083
OG0000291	Syab.g_01211	Prbi.g_01085
OG0000292	Syab.g_02907	Prbi.g_01136
OG0000293	Syab.g_00946	Prbi.g_01198
OG0000294	Syab.g_00947	Prbi.g_01199
OG0000295	Syab.g_01001	Prbi.g_01219
OG0000296	Syab.g_01003	Prbi.g_01221
OG0000297	Syab.g_01016	Prbi.g_01229
OG0000298	Syab.g_01017	Prbi.g_01230
OG0000299	Syab.g_01047	Prbi.g_01247
OG0000300	Syab.g_01054	Prbi.g_01250
OG0000301	Syab.g_01055	Prbi.g_01251
OG0000302	Syab.g_01056	Prbi.g_01253
OG0000303	Syab.g_01149	Prbi.g_01260
OG0000304	Syab.g_01143	Prbi.g_01264
OG0000305	Syab.g_01208	Prbi.g_01431
OG0000306	Syab.g_01819	Prbi.g_01434
OG0000307	Syab.g_02078	Prbi.g_01448
OG0000308	Syab.g_02076	Prbi.g_01449
OG0000309	Syab.g_02071	Prbi.g_01453
OG0000310	Syab.g_00817	Prbi.g_01574
OG0000311	Syab.g_00811	Prbi.g_01576
OG0000312	Syab.g_00793	Prbi.g_01579
OG0000313	Syab.g_00769	Prbi.g_01595
OG0000314	Syab.g_00736	Prbi.g_01617
OG0000315	Syab.g_00726	Prbi.g_01627
OG0000316	Syab.g_02189	Prbi.g_01647
OG0000317	Syab.g_02251	Prbi.g_01785
OG0000318	Syab.g_02257	Prbi.g_01788
OG0000319	Syab.g_02291	Prbi.g_01801
OG0000320	Syab.g_02293	Prbi.g_01803
OG0000321	Syab.g_02294	Prbi.g_01804
OG0000322	Syab.g_02295	Prbi.g_01805
OG0000323	Syab.g_02310	Prbi.g_01814
OG0000324	Syab.g_02341	Prbi.g_01840
OG0000325	Syab.g_00368	Prbi.g_01849
OG0000326	Syab.g_00375	Prbi.g_01855
OG0000327	Syab.g_00402	Prbi.g_01897
OG0000328	Syab.g_00403	Prbi.g_01898
OG0000329	Syab.g_00420	Prbi.g_01915
OG0000330	Syab.g_00421	Prbi.g_01916
OG0000331	Syab.g_00422	Prbi.g_01917
OG0000332	Syab.g_00437	Prbi.g_01931
OG0000333	Syab.g_00440	Prbi.g_01933
OG0000334	Syab.g_00450	Prbi.g_01941
OG0000335	Syab.g_00455	Prbi.g_01946
OG0000336	Syab.g_00459	Prbi.g_01950
OG0000337	Syab.g_00210	Prbi.g_01966
OG0000338	Syab.g_00207	Prbi.g_01967
OG0000339	Syab.g_00201	Prbi.g_01971
OG0000340	Syab.g_00135	Prbi.g_01979
OG0000341	Syab.g_00157, Syab.g_00133	Prbi.g_01981
OG0000342	Syab.g_00132	Prbi.g_01982
OG0000343	Syab.g_00131	Prbi.g_01983
OG0000344	Syab.g_00127	Prbi.g_01986
OG0000345	Syab.g_00117	Prbi.g_01991
OG0000346	Syab.g_00112	Prbi.g_01995
OG0000347	Syab.g_00087	Prbi.g_02011
OG0000348	Syab.g_00076	Prbi.g_02033
OG0000349	Syab.g_00054	Prbi.g_02050
OG0000350	Syab.g_00382	Prbi.g_02069
OG0000351	Syab.g_02879	Prbi.g_02086
OG0000352	Syab.g_02880	Prbi.g_02087
OG0000353	Syab.g_02913	Prbi.g_02102
OG0000355	Syab.g_00001	Prbi.g_00001
OG0000356	Syab.g_00002	Prbi.g_00002
OG0000357	Syab.g_00003	Prbi.g_00003
OG0000358	Syab.g_00007	Prbi.g_00007
OG0000359	Syab.g_00009	Prbi.g_00008
OG0000360	Syab.g_00010	Prbi.g_00009
OG0000361	Syab.g_00011	Prbi.g_00010
OG0000362	Syab.g_00013	Prbi.g_00012
OG0000363	Syab.g_00015	Prbi.g_00014
OG0000364	Syab.g_00016	Prbi.g_00015
OG0000365	Syab.g_00026	Prbi.g_00020
OG0000366	Syab.g_00027	Prbi.g_00021
OG0000367	Syab.g_00028	Prbi.g_00022
OG0000368	Syab.g_00030	Prbi.g_00024
OG0000369	Syab.g_00031	Prbi.g_00025
OG0000370	Syab.g_00032	Prbi.g_00026
OG0000371	Syab.g_00711, Syab.g_00039	Prbi.g_00032
OG0000372	Syab.g_00045	Prbi.g_00035
OG0000373	Syab.g_00046	Prbi.g_00036
OG0000374	Syab.g_00047	Prbi.g_00037
OG0000375	Syab.g_00050	Prbi.g_00049
OG0000376	Syab.g_00052	Prbi.g_00051
OG0000377	Syab.g_02748	Prbi.g_00056
OG0000378	Syab.g_02717	Prbi.g_00058
OG0000379	Syab.g_02714	Prbi.g_00061
OG0000380	Syab.g_02432	Prbi.g_00073
OG0000381	Syab.g_02435	Prbi.g_00077
OG0000382	Syab.g_02453	Prbi.g_00088
OG0000383	Syab.g_02459	Prbi.g_00090
OG0000384	Syab.g_02460	Prbi.g_00091
OG0000385	Syab.g_02461	Prbi.g_00092
OG0000386	Syab.g_02462	Prbi.g_00093
OG0000387	Syab.g_02491	Prbi.g_00106
OG0000388	Syab.g_02495	Prbi.g_00109
OG0000389	Syab.g_02499	Prbi.g_00113
OG0000390	Syab.g_02516	Prbi.g_00120
OG0000391	Syab.g_02521	Prbi.g_00124
OG0000392	Syab.g_02527	Prbi.g_00128
OG0000393	Syab.g_02530	Prbi.g_00130
OG0000394	Syab.g_02531	Prbi.g_00131
OG0000395	Syab.g_02532	Prbi.g_00132
OG0000396	Syab.g_02535	Prbi.g_00135
OG0000397	Syab.g_02537	Prbi.g_00137
OG0000398	Syab.g_02542	Prbi.g_00139
OG0000399	Syab.g_02543	Prbi.g_00140
OG0000400	Syab.g_02544	Prbi.g_00141
OG0000401	Syab.g_02545	Prbi.g_00142
OG0000402	Syab.g_02547	Prbi.g_00144
OG0000403	Syab.g_02548	Prbi.g_00145
OG0000404	Syab.g_02550	Prbi.g_00146
OG0000405	Syab.g_02562	Prbi.g_00150
OG0000406	Syab.g_02566	Prbi.g_00171
OG0000407	Syab.g_02567	Prbi.g_00172
OG0000408	Syab.g_02569	Prbi.g_00174
OG0000409	Syab.g_02571	Prbi.g_00176
OG0000410	Syab.g_02572	Prbi.g_00177
OG0000411	Syab.g_02573	Prbi.g_00178
OG0000412	Syab.g_02574	Prbi.g_00179
OG0000413	Syab.g_02576	Prbi.g_00180
OG0000414	Syab.g_02577	Prbi.g_00181
OG0000415	Syab.g_02578	Prbi.g_00182
OG0000416	Syab.g_02579	Prbi.g_00183
OG0000417	Syab.g_02580	Prbi.g_00184
OG0000418	Syab.g_02585	Prbi.g_00189
OG0000419	Syab.g_02587	Prbi.g_00191
OG0000420	Syab.g_02589	Prbi.g_00192
OG0000421	Syab.g_02595	Prbi.g_00197
OG0000422	Syab.g_02596	Prbi.g_00198
OG0000423	Syab.g_02597	Prbi.g_00199
OG0000424	Syab.g_02598	Prbi.g_00200
OG0000425	Syab.g_02599	Prbi.g_00201
OG0000426	Syab.g_02600	Prbi.g_00202
OG0000427	Syab.g_02601	Prbi.g_00203
OG0000428	Syab.g_02604	Prbi.g_00205
OG0000429	Syab.g_02608	Prbi.g_00206
OG0000430	Syab.g_02610	Prbi.g_00207
OG0000431	Syab.g_02613	Prbi.g_00209
OG0000432	Syab.g_02619	Prbi.g_00212
OG0000433	Syab.g_02622	Prbi.g_00213
OG0000434	Syab.g_02623	Prbi.g_00214
OG0000435	Syab.g_02625	Prbi.g_00215
OG0000436	Syab.g_02632	Prbi.g_00220
OG0000437	Syab.g_02633	Prbi.g_00221
OG0000438	Syab.g_02634	Prbi.g_00222
OG0000439	Syab.g_02636	Prbi.g_00224
OG0000440	Syab.g_02637	Prbi.g_00225
OG0000441	Syab.g_02641	Prbi.g_00228
OG0000442	Syab.g_02642	Prbi.g_00229
OG0000443	Syab.g_02668	Prbi.g_00230
OG0000444	Syab.g_02681	Prbi.g_00235
OG0000445	Syab.g_02682	Prbi.g_00236
OG0000446	Syab.g_02684	Prbi.g_00237
OG0000447	Syab.g_02687	Prbi.g_00238
OG0000448	Syab.g_02688	Prbi.g_00239
OG0000449	Syab.g_02689	Prbi.g_00240
OG0000450	Syab.g_02695	Prbi.g_00241
OG0000451	Syab.g_02696	Prbi.g_00242
OG0000452	Syab.g_02701	Prbi.g_00245
OG0000453	Syab.g_02702	Prbi.g_00246
OG0000454	Syab.g_02703	Prbi.g_00247
OG0000455	Syab.g_02704	Prbi.g_00248
OG0000456	Syab.g_02705	Prbi.g_00249
OG0000457	Syab.g_02707	Prbi.g_00250
OG0000458	Syab.g_02708	Prbi.g_00251
OG0000459	Syab.g_02709	Prbi.g_00252
OG0000460	Syab.g_02372	Prbi.g_00259
OG0000461	Syab.g_00356	Prbi.g_00266
OG0000462	Syab.g_00352	Prbi.g_00268
OG0000463	Syab.g_00351	Prbi.g_00269
OG0000464	Syab.g_00350	Prbi.g_00270
OG0000465	Syab.g_00349	Prbi.g_00271
OG0000466	Syab.g_00343	Prbi.g_00274
OG0000467	Syab.g_00341	Prbi.g_00275
OG0000468	Syab.g_00336	Prbi.g_00277
OG0000469	Syab.g_00318	Prbi.g_00286
OG0000470	Syab.g_00316	Prbi.g_00288
OG0000471	Syab.g_00315	Prbi.g_00289
OG0000472	Syab.g_00313	Prbi.g_00290
OG0000473	Syab.g_00311	Prbi.g_00292
OG0000474	Syab.g_00310	Prbi.g_00293
OG0000475	Syab.g_00309	Prbi.g_00294
OG0000476	Syab.g_00307	Prbi.g_00295
OG0000477	Syab.g_00301	Prbi.g_00299
OG0000478	Syab.g_00300	Prbi.g_00300
OG0000479	Syab.g_00299	Prbi.g_00301
OG0000480	Syab.g_00292	Prbi.g_00306
OG0000481	Syab.g_00290	Prbi.g_00308
OG0000482	Syab.g_00289	Prbi.g_00309
OG0000483	Syab.g_00285	Prbi.g_00312
OG0000484	Syab.g_00284	Prbi.g_00313
OG0000485	Syab.g_00283	Prbi.g_00314
OG0000486	Syab.g_00282	Prbi.g_00315
OG0000487	Syab.g_00276	Prbi.g_00319
OG0000488	Syab.g_00272	Prbi.g_00322
OG0000489	Syab.g_00256	Prbi.g_00327
OG0000490	Syab.g_00247	Prbi.g_00332
OG0000491	Syab.g_00245	Prbi.g_00333
OG0000492	Syab.g_00243	Prbi.g_00335
OG0000493	Syab.g_00242	Prbi.g_00336
OG0000494	Syab.g_00241	Prbi.g_00337
OG0000495	Syab.g_00240	Prbi.g_00338
OG0000496	Syab.g_00239	Prbi.g_00339
OG0000497	Syab.g_00238	Prbi.g_00340
OG0000498	Syab.g_00237	Prbi.g_00341
OG0000499	Syab.g_00236	Prbi.g_00342
OG0000500	Syab.g_00235	Prbi.g_00343
OG0000501	Syab.g_00232	Prbi.g_00345
OG0000502	Syab.g_00224	Prbi.g_00348
OG0000503	Syab.g_00523	Prbi.g_00358
OG0000504	Syab.g_00525	Prbi.g_00359
OG0000505	Syab.g_00526	Prbi.g_00360
OG0000506	Syab.g_00528	Prbi.g_00362
OG0000507	Syab.g_00533	Prbi.g_00365
OG0000508	Syab.g_00537	Prbi.g_00369
OG0000509	Syab.g_00539	Prbi.g_00371
OG0000510	Syab.g_00540	Prbi.g_00372
OG0000511	Syab.g_00541	Prbi.g_00373
OG0000512	Syab.g_00543	Prbi.g_00375
OG0000513	Syab.g_00555	Prbi.g_00382
OG0000514	Syab.g_00566	Prbi.g_00432
OG0000515	Syab.g_00567	Prbi.g_00433
OG0000516	Syab.g_00575	Prbi.g_00434
OG0000517	Syab.g_00582	Prbi.g_00436
OG0000518	Syab.g_00594	Prbi.g_00447
OG0000519	Syab.g_00610	Prbi.g_00448
OG0000520	Syab.g_00611	Prbi.g_00449
OG0000521	Syab.g_00624	Prbi.g_00454
OG0000522	Syab.g_00626	Prbi.g_00456
OG0000523	Syab.g_00627	Prbi.g_00457
OG0000524	Syab.g_00640	Prbi.g_00463
OG0000525	Syab.g_00671	Prbi.g_00466
OG0000526	Syab.g_00689	Prbi.g_00467
OG0000527	Syab.g_00695	Prbi.g_00476
OG0000528	Syab.g_02092	Prbi.g_00481
OG0000529	Syab.g_02097	Prbi.g_00484
OG0000530	Syab.g_02100	Prbi.g_00487
OG0000531	Syab.g_02101	Prbi.g_00488
OG0000532	Syab.g_02104	Prbi.g_00490
OG0000533	Syab.g_02106	Prbi.g_00491
OG0000534	Syab.g_02107	Prbi.g_00492
OG0000535	Syab.g_02108	Prbi.g_00493
OG0000536	Syab.g_02109	Prbi.g_00494
OG0000537	Syab.g_02110	Prbi.g_00495
OG0000538	Syab.g_02122	Prbi.g_00503
OG0000539	Syab.g_02123	Prbi.g_00504
OG0000540	Syab.g_02124	Prbi.g_00505
OG0000541	Syab.g_02125	Prbi.g_00506
OG0000542	Syab.g_02128	Prbi.g_00508
OG0000543	Syab.g_02130	Prbi.g_00510
OG0000544	Syab.g_02131	Prbi.g_00511
OG0000545	Syab.g_02133	Prbi.g_00513
OG0000546	Syab.g_02135	Prbi.g_00516
OG0000547	Syab.g_02137	Prbi.g_00518
OG0000548	Syab.g_02138	Prbi.g_00519
OG0000549	Syab.g_02144	Prbi.g_00521
OG0000550	Syab.g_02149	Prbi.g_00526
OG0000551	Syab.g_02153	Prbi.g_00530
OG0000552	Syab.g_02154	Prbi.g_00531
OG0000553	Syab.g_02046	Prbi.g_00532
OG0000554	Syab.g_02040	Prbi.g_00537
OG0000555	Syab.g_02026	Prbi.g_00545
OG0000556	Syab.g_02022	Prbi.g_00547
OG0000557	Syab.g_02019	Prbi.g_00548
OG0000558	Syab.g_02016	Prbi.g_00550
OG0000559	Syab.g_02012	Prbi.g_00554
OG0000560	Syab.g_02009	Prbi.g_00557
