Orthogroup	Syab	Syap
OG0000048	Syab.g_00308	Syap.g_02340
OG0000051	Syab.g_01073	Syap.g_01574
OG0000053	Syab.g_00746	Syap.g_02006
OG0000054	Syab.g_01932	Syap.g_00678
OG0000059	Syab.g_00397	Syap.g_01082, Syap.g_02478
OG0000061	Syab.g_00171, Syab.g_00969	Syap.g_00228
OG0000062	Syab.g_02234	Syap.g_01220
OG0000063	Syab.g_00040	Syap.g_01796
OG0000066	Syab.g_02031	Syap.g_01972
OG0000067	Syab.g_01659	Syap.g_00194
OG0000068	Syab.g_02087	Syap.g_00108, Syap.g_00144
OG0000070	Syab.g_00614	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000073	Syab.g_02119	Syap.g_00273
OG0000075	Syab.g_00202	Syap.g_01064, Syap.g_00664
OG0000076	Syab.g_00113	Syap.g_01111
OG0000079	Syab.g_00340	Syap.g_01589
OG0000080	Syab.g_00140	Syap.g_01035
OG0000085	Syab.g_02243	Syap.g_00611
OG0000087	Syab.g_02551	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syab.g_02586	Syap.g_01202
OG0000089	Syab.g_00551	Syap.g_00115, Syap.g_02042
OG0000090	Syab.g_02041	Syap.g_01451
OG0000091	Syab.g_01866	Syap.g_01861
OG0000094	Syab.g_01306	Syap.g_02781
OG0000095	Syab.g_01210	Syap.g_01556
OG0000098	Syab.g_01553	Syap.g_01975
OG0000099	Syab.g_00230	Syap.g_01385
OG0000102	Syab.g_00104	Syap.g_01116
OG0000103	Syab.g_01296	Syap.g_02607, Syap.g_02608
OG0000104	Syab.g_02910	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syab.g_00303	Syap.g_01369, Syap.g_01368
OG0000107	Syab.g_00367	Syap.g_02496
OG0000108	Syab.g_02096	Syap.g_00733, Syap.g_02255, Syap.g_02256
OG0000109	Syab.g_02112	Syap.g_00279, Syap.g_02237
OG0000110	Syab.g_01984	Syap.g_01313
OG0000111	Syab.g_01201	Syap.g_01566, Syap.g_01568
OG0000112	Syab.g_01392	Syap.g_02023
OG0000113	Syab.g_01689	Syap.g_02714
OG0000114	Syab.g_01633	Syap.g_01255
OG0000115	Syab.g_00748	Syap.g_02004
OG0000116	Syab.g_00945	Syap.g_00241
OG0000117	Syab.g_01018	Syap.g_01889
OG0000118	Syab.g_00897	Syap.g_02286
OG0000120	Syab.g_00229	Syap.g_02075
OG0000121	Syab.g_00772	Syap.g_02471
OG0000123	Syab.g_00454	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syab.g_00088	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syab.g_02763	Syap.g_01046, Syap.g_01047
OG0000126	Syab.g_02908	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Syab.g_00012	Syap.g_00069
OG0000129	Syab.g_02749	Syap.g_00130, Syap.g_00129
OG0000130	Syab.g_02434	Syap.g_01688, Syap.g_01689
OG0000131	Syab.g_02564	Syap.g_02189
OG0000132	Syab.g_02584	Syap.g_01205
OG0000133	Syab.g_01387	Syap.g_02017
OG0000134	Syab.g_00554	Syap.g_02047
OG0000135	Syab.g_02815	Syap.g_02090
OG0000136	Syab.g_00588	Syap.g_00089
OG0000137	Syab.g_00697	Syap.g_02756
OG0000138	Syab.g_02113	Syap.g_00278
OG0000139	Syab.g_02035	Syap.g_00410
OG0000140	Syab.g_02033	Syap.g_01976
OG0000141	Syab.g_01931	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syab.g_01524, Syab.g_01873	Syap.g_00895, Syap.g_00894
OG0000143	Syab.g_01870	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syab.g_01757	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syab.g_02120	Syap.g_01860, Syap.g_01859
OG0000146	Syab.g_01393	Syap.g_02024
OG0000147	Syab.g_01394	Syap.g_02025
OG0000148	Syab.g_01683, Syab.g_01682	Syap.g_02720
OG0000149	Syab.g_01720	Syap.g_00824
OG0000150	Syab.g_01930	Syap.g_01540
OG0000151	Syab.g_01612	Syap.g_00142
OG0000152	Syab.g_01383	Syap.g_02012
OG0000153	Syab.g_01343	Syap.g_02682
OG0000154	Syab.g_01317	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syab.g_01009	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syab.g_00933	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syab.g_00932	Syap.g_00249, Syap.g_00286
OG0000158	Syab.g_00161	Syap.g_01075
OG0000159	Syab.g_00148	Syap.g_00852
OG0000160	Syab.g_00774	Syap.g_02470, Syap.g_02469
OG0000161	Syab.g_00766	Syap.g_02476
OG0000162	Syab.g_00755	Syap.g_02531
OG0000164	Syab.g_02307	Syap.g_01391, Syap.g_01392
OG0000165	Syab.g_02316	Syap.g_01381, Syap.g_01382
OG0000166	Syab.g_00407	Syap.g_00512, Syap.g_01238
OG0000167	Syab.g_00205	Syap.g_02080
OG0000168	Syab.g_00136	Syap.g_01076
OG0000169	Syab.g_00125	Syap.g_01049, Syap.g_01093
OG0000170	Syab.g_00118	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syab.g_00089	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syab.g_00080	Syap.g_01143, Syap.g_00635
OG0000173	Syab.g_00061	Syap.g_00982, Syap.g_00983, Syap.g_01213
OG0000174	Syab.g_02819	Syap.g_02092
OG0000175	Syab.g_02876	Syap.g_02654
OG0000176	Syab.g_00004	Syap.g_00059
OG0000177	Syab.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Syab.g_00006	Syap.g_00062
OG0000179	Syab.g_00022	Syap.g_00077, Syap.g_02638
OG0000180	Syab.g_00023	Syap.g_00078, Syap.g_02640
OG0000181	Syab.g_00024	Syap.g_00079, Syap.g_02641
OG0000182	Syab.g_00025	Syap.g_00080, Syap.g_02642
OG0000183	Syab.g_00029	Syap.g_00084
OG0000184	Syab.g_02738	Syap.g_01337
OG0000185	Syab.g_02715	Syap.g_01322
OG0000186	Syab.g_02430	Syap.g_01684
OG0000187	Syab.g_02431	Syap.g_01686
OG0000188	Syab.g_02454	Syap.g_02547
OG0000191	Syab.g_02522	Syap.g_02233
OG0000192	Syab.g_02528	Syap.g_02224
OG0000193	Syab.g_02565	Syap.g_02187, Syap.g_02188
OG0000194	Syab.g_02568	Syap.g_02183
OG0000196	Syab.g_02581	Syap.g_01208, Syap.g_02167
OG0000197	Syab.g_02582	Syap.g_01207, Syap.g_02166
OG0000198	Syab.g_02583	Syap.g_01206
OG0000199	Syab.g_02591	Syap.g_01197
OG0000200	Syab.g_02611	Syap.g_01181
OG0000201	Syab.g_02628	Syap.g_02265
OG0000202	Syab.g_02629	Syap.g_02264
OG0000203	Syab.g_02630	Syap.g_01601
OG0000204	Syab.g_02631	Syap.g_01602
OG0000205	Syab.g_02638	Syap.g_01616
OG0000206	Syab.g_02674	Syap.g_01628
OG0000207	Syab.g_02677	Syap.g_01426, Syap.g_00424
OG0000208	Syab.g_02678	Syap.g_00426, Syap.g_01425
OG0000209	Syab.g_02698	Syap.g_01906
OG0000210	Syab.g_02699	Syap.g_01905
OG0000211	Syab.g_02374	Syap.g_01160
OG0000212	Syab.g_02365	Syap.g_02664
OG0000213	Syab.g_00332	Syap.g_00107, Syap.g_01599
OG0000214	Syab.g_00312	Syap.g_02344, Syap.g_02345
OG0000215	Syab.g_00281	Syap.g_01347, Syap.g_01629
OG0000216	Syab.g_00277	Syap.g_01634
OG0000217	Syab.g_00273	Syap.g_01638
OG0000218	Syab.g_00271	Syap.g_01641, Syap.g_01640
OG0000219	Syab.g_00270	Syap.g_01642, Syap.g_01643
OG0000220	Syab.g_00269	Syap.g_01645
OG0000221	Syab.g_00257	Syap.g_01646
OG0000222	Syab.g_00244	Syap.g_01669
OG0000223	Syab.g_00226	Syap.g_02072, Syap.g_02073
OG0000224	Syab.g_00223	Syap.g_02064
OG0000225	Syab.g_00538	Syap.g_00553, Syap.g_00552
OG0000226	Syab.g_00542	Syap.g_02029, Syap.g_02144
OG0000227	Syab.g_00544	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Syab.g_00550	Syap.g_00116, Syap.g_02041
OG0000229	Syab.g_00583	Syap.g_02059
OG0000230	Syab.g_00585	Syap.g_02061
OG0000231	Syab.g_00613	Syap.g_02533
OG0000232	Syab.g_00631	Syap.g_02510, Syap.g_02511
OG0000233	Syab.g_00645	Syap.g_02133
OG0000234	Syab.g_00699	Syap.g_02755
OG0000235	Syab.g_02095	Syap.g_00732, Syap.g_02258
OG0000236	Syab.g_02111	Syap.g_02238
OG0000237	Syab.g_02129	Syap.g_00262, Syap.g_00263
OG0000238	Syab.g_02134	Syap.g_00257, Syap.g_00258
OG0000239	Syab.g_02151	Syap.g_02744
OG0000240	Syab.g_02152	Syap.g_02742
OG0000241	Syab.g_01884	Syap.g_00888
OG0000242	Syab.g_02043	Syap.g_01455
OG0000243	Syab.g_02025	Syap.g_01938
OG0000244	Syab.g_02017	Syap.g_01146, Syap.g_01145
OG0000245	Syab.g_02015	Syap.g_01148
OG0000246	Syab.g_02011	Syap.g_00308
OG0000247	Syab.g_01999	Syap.g_00288, Syap.g_00293
OG0000248	Syab.g_01996	Syap.g_00290
OG0000249	Syab.g_01994	Syap.g_01296, Syap.g_01295
OG0000250	Syab.g_01988	Syap.g_01306
OG0000251	Syab.g_01961	Syap.g_00442
OG0000252	Syab.g_01958	Syap.g_01857
OG0000253	Syab.g_01956	Syap.g_00443
OG0000254	Syab.g_01925	Syap.g_01527, Syap.g_01528
OG0000256	Syab.g_01890	Syap.g_01287
OG0000257	Syab.g_01885	Syap.g_00886
OG0000258	Syab.g_01861	Syap.g_00907
OG0000260	Syab.g_01544	Syap.g_01970
OG0000261	Syab.g_01556	Syap.g_01962, Syap.g_01961
OG0000262	Syab.g_01561	Syap.g_01954
OG0000263	Syab.g_01035	Syap.g_00432, Syap.g_00433
OG0000266	Syab.g_01667	Syap.g_00519
OG0000267	Syab.g_01433	Syap.g_02333, Syap.g_02332
OG0000268	Syab.g_01432	Syap.g_00646
OG0000269	Syab.g_01650	Syap.g_00188
OG0000270	Syab.g_01657	Syap.g_00192
OG0000271	Syab.g_01279	Syap.g_00200, Syap.g_00201
OG0000272	Syab.g_01280	Syap.g_00202
OG0000273	Syab.g_01699	Syap.g_02703
OG0000274	Syab.g_01700	Syap.g_02702
OG0000275	Syab.g_01704	Syap.g_01847
OG0000276	Syab.g_01712	Syap.g_01838, Syap.g_01839
OG0000277	Syab.g_01713	Syap.g_01837
OG0000278	Syab.g_01716	Syap.g_01834
OG0000279	Syab.g_01724	Syap.g_00829, Syap.g_00830
OG0000280	Syab.g_01736	Syap.g_00365
OG0000281	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546	Syap.g_01977
OG0000282	Syab.g_01631	Syap.g_01252
OG0000283	Syab.g_01418	Syap.g_01728
OG0000284	Syab.g_01413	Syap.g_01736
OG0000285	Syab.g_01402	Syap.g_01746, Syap.g_01744
OG0000286	Syab.g_01384	Syap.g_02014, Syap.g_02013
OG0000288	Syab.g_01318	Syap.g_02764, Syap.g_02763
OG0000289	Syab.g_01303	Syap.g_02784
OG0000290	Syab.g_01213	Syap.g_01552
OG0000292	Syab.g_02907	Syap.g_02314
OG0000293	Syab.g_00946	Syap.g_00240
OG0000294	Syab.g_00947	Syap.g_00239
OG0000295	Syab.g_01001	Syap.g_00206
OG0000296	Syab.g_01003	Syap.g_00204
OG0000298	Syab.g_01017	Syap.g_01888
OG0000299	Syab.g_01047	Syap.g_02620
OG0000302	Syab.g_01056	Syap.g_02444, Syap.g_02445
OG0000303	Syab.g_01149	Syap.g_02435
OG0000304	Syab.g_01143	Syap.g_02430
OG0000305	Syab.g_01208	Syap.g_01557
OG0000306	Syab.g_01819	Syap.g_01966
OG0000307	Syab.g_02078	Syap.g_02517
OG0000308	Syab.g_02076	Syap.g_02514, Syap.g_02515
OG0000309	Syab.g_02071	Syap.g_02198, Syap.g_02446
OG0000310	Syab.g_00817	Syap.g_02660, Syap.g_02661
OG0000311	Syab.g_00811	Syap.g_02657
OG0000312	Syab.g_00793	Syap.g_02114
OG0000313	Syab.g_00769	Syap.g_02473
OG0000315	Syab.g_00726	Syap.g_00017
OG0000316	Syab.g_02189	Syap.g_00030
OG0000317	Syab.g_02251	Syap.g_00618
OG0000318	Syab.g_02257	Syap.g_00622, Syap.g_02786
OG0000319	Syab.g_02291	Syap.g_01764, Syap.g_01771
OG0000320	Syab.g_02293	Syap.g_01761, Syap.g_01769
OG0000321	Syab.g_02294	Syap.g_01760, Syap.g_01768
OG0000322	Syab.g_02295	Syap.g_01759, Syap.g_01767
OG0000323	Syab.g_02310	Syap.g_01389
OG0000324	Syab.g_02341	Syap.g_01503
OG0000325	Syab.g_00368	Syap.g_02680
OG0000326	Syab.g_00375	Syap.g_00544
OG0000327	Syab.g_00402	Syap.g_01233, Syap.g_01913
OG0000328	Syab.g_00403	Syap.g_01234, Syap.g_01912
OG0000329	Syab.g_00420	Syap.g_00498
OG0000330	Syab.g_00421	Syap.g_00497
OG0000331	Syab.g_00422	Syap.g_00496
OG0000332	Syab.g_00437	Syap.g_00481
OG0000333	Syab.g_00440	Syap.g_00478
OG0000334	Syab.g_00450	Syap.g_00468
OG0000335	Syab.g_00455	Syap.g_00101, Syap.g_00463
OG0000336	Syab.g_00459	Syap.g_00417, Syap.g_00607
OG0000337	Syab.g_00210	Syap.g_01054
OG0000338	Syab.g_00207	Syap.g_01059
OG0000339	Syab.g_00201	Syap.g_01068
OG0000340	Syab.g_00135	Syap.g_01077
OG0000341	Syab.g_00157, Syab.g_00133	Syap.g_01079
OG0000342	Syab.g_00132	Syap.g_01080, Syap.g_02477
OG0000343	Syab.g_00131	Syap.g_01086, Syap.g_02078
OG0000344	Syab.g_02424, Syab.g_00127	Syap.g_01091
OG0000345	Syab.g_00117	Syap.g_01107, Syap.g_01470
OG0000346	Syab.g_00112	Syap.g_02423, Syap.g_01113
OG0000347	Syab.g_00087	Syap.g_01131, Syap.g_02459
OG0000348	Syab.g_00076	Syap.g_00632
OG0000349	Syab.g_00054	Syap.g_00110, Syap.g_01813
OG0000351	Syab.g_02879	Syap.g_02594
OG0000352	Syab.g_02880	Syap.g_02596, Syap.g_02597
OG0000353	Syab.g_02913	Syap.g_00054
OG0000354	Syab.g_00020	Syap.g_00075, Syap.g_02635
OG0000355	Syab.g_00001	Syap.g_00056
OG0000356	Syab.g_00002	Syap.g_00057
OG0000357	Syab.g_00003	Syap.g_00058
OG0000358	Syab.g_00007	Syap.g_00063
OG0000359	Syab.g_00009	Syap.g_00065
OG0000360	Syab.g_00010	Syap.g_00067
OG0000361	Syab.g_00011	Syap.g_00068
OG0000362	Syab.g_00013	Syap.g_00070
OG0000363	Syab.g_00015	Syap.g_00072
OG0000364	Syab.g_00016	Syap.g_00620
OG0000365	Syab.g_00026	Syap.g_00081
OG0000366	Syab.g_00027	Syap.g_00082
OG0000367	Syab.g_00028	Syap.g_00083
OG0000368	Syab.g_00030	Syap.g_00085
OG0000369	Syab.g_00031	Syap.g_00086
OG0000370	Syab.g_00032	Syap.g_00087
OG0000372	Syab.g_00045	Syap.g_01805
OG0000373	Syab.g_00046	Syap.g_01806
OG0000374	Syab.g_00047	Syap.g_01807
OG0000375	Syab.g_00050	Syap.g_01808
OG0000376	Syab.g_00052	Syap.g_01811
OG0000377	Syab.g_02748	Syap.g_00128
OG0000378	Syab.g_02717	Syap.g_01326
OG0000380	Syab.g_02432	Syap.g_01687
OG0000381	Syab.g_02435	Syap.g_01690
OG0000382	Syab.g_02453	Syap.g_02548
OG0000383	Syab.g_02459	Syap.g_02359
OG0000384	Syab.g_02460	Syap.g_02360
OG0000385	Syab.g_02461	Syap.g_02361
OG0000386	Syab.g_02462	Syap.g_02362
OG0000387	Syab.g_02491	Syap.g_01864
OG0000391	Syab.g_02521	Syap.g_02234
OG0000392	Syab.g_02527	Syap.g_02225
OG0000393	Syab.g_02530	Syap.g_02222
OG0000394	Syab.g_02531	Syap.g_02221
OG0000395	Syab.g_02532	Syap.g_02220
OG0000396	Syab.g_02535	Syap.g_02217
OG0000397	Syab.g_02537	Syap.g_02215
OG0000398	Syab.g_02542	Syap.g_02211
OG0000399	Syab.g_02543	Syap.g_02210
OG0000400	Syab.g_02544	Syap.g_02209
OG0000401	Syab.g_02545	Syap.g_02208
OG0000402	Syab.g_02547	Syap.g_02206
OG0000403	Syab.g_02548	Syap.g_02205
OG0000404	Syab.g_02550	Syap.g_02204, Syap.g_02618
OG0000405	Syab.g_02562	Syap.g_02191
OG0000406	Syab.g_02566	Syap.g_02186
OG0000407	Syab.g_02567	Syap.g_02185
OG0000408	Syab.g_02569	Syap.g_02181, Syap.g_02182
OG0000409	Syab.g_02571	Syap.g_02179
OG0000410	Syab.g_02572	Syap.g_02178
OG0000411	Syab.g_02573	Syap.g_02177
OG0000412	Syab.g_02574	Syap.g_02176
OG0000413	Syab.g_02576	Syap.g_02174
OG0000414	Syab.g_02577	Syap.g_02173
OG0000415	Syab.g_02578	Syap.g_02172
OG0000416	Syab.g_02579	Syap.g_02171
OG0000417	Syab.g_02580	Syap.g_02169
OG0000418	Syab.g_02585	Syap.g_01204
OG0000419	Syab.g_02587	Syap.g_01201
OG0000420	Syab.g_02589	Syap.g_01199
OG0000421	Syab.g_02595	Syap.g_01195
OG0000422	Syab.g_02596	Syap.g_01194
OG0000423	Syab.g_02597	Syap.g_01193
OG0000424	Syab.g_02598	Syap.g_01192
OG0000425	Syab.g_02599	Syap.g_01191
OG0000426	Syab.g_02600	Syap.g_01190
OG0000427	Syab.g_02601	Syap.g_01189
OG0000428	Syab.g_02604	Syap.g_01186
OG0000429	Syab.g_02608	Syap.g_01184
OG0000430	Syab.g_02610	Syap.g_01182
OG0000431	Syab.g_02613	Syap.g_01179
OG0000432	Syab.g_02619	Syap.g_02277
OG0000433	Syab.g_02622	Syap.g_02272
OG0000434	Syab.g_02623	Syap.g_02271
OG0000435	Syab.g_02625	Syap.g_02268
OG0000436	Syab.g_02632	Syap.g_01607
OG0000437	Syab.g_02633	Syap.g_01608
OG0000438	Syab.g_02634	Syap.g_01612
OG0000439	Syab.g_02636	Syap.g_01614
OG0000440	Syab.g_02637	Syap.g_01615
OG0000441	Syab.g_02641	Syap.g_01619
OG0000442	Syab.g_02642	Syap.g_01620
OG0000443	Syab.g_02668	Syap.g_01622
OG0000444	Syab.g_02681	Syap.g_01424
OG0000445	Syab.g_02682	Syap.g_01421
OG0000446	Syab.g_02684	Syap.g_01419
OG0000447	Syab.g_02687	Syap.g_01410
OG0000448	Syab.g_02688	Syap.g_01407
OG0000449	Syab.g_02689	Syap.g_01406
OG0000450	Syab.g_02695	Syap.g_01909
OG0000451	Syab.g_02696	Syap.g_01908
OG0000452	Syab.g_02701	Syap.g_01904
OG0000453	Syab.g_02702	Syap.g_01903
OG0000454	Syab.g_02703	Syap.g_01902
OG0000455	Syab.g_02704	Syap.g_01901
OG0000456	Syab.g_02705	Syap.g_01900
OG0000457	Syab.g_02707	Syap.g_01896
OG0000458	Syab.g_02708	Syap.g_01895
OG0000459	Syab.g_02709	Syap.g_01894
OG0000460	Syab.g_02372	Syap.g_01159
OG0000461	Syab.g_00356	Syap.g_01575
OG0000462	Syab.g_00352	Syap.g_01578
OG0000463	Syab.g_00351	Syap.g_01579
OG0000464	Syab.g_00350	Syap.g_01580
OG0000465	Syab.g_00349	Syap.g_01582
OG0000466	Syab.g_00343	Syap.g_01587
OG0000467	Syab.g_00341	Syap.g_01588
OG0000468	Syab.g_00336	Syap.g_01593
OG0000469	Syab.g_00318	Syap.g_02352
OG0000470	Syab.g_00316	Syap.g_02349
OG0000471	Syab.g_00315	Syap.g_02348
OG0000472	Syab.g_00313	Syap.g_02347
OG0000473	Syab.g_00311	Syap.g_02343
OG0000474	Syab.g_00310	Syap.g_02342
OG0000475	Syab.g_00309	Syap.g_02341
OG0000476	Syab.g_00307	Syap.g_02339
OG0000477	Syab.g_00301	Syap.g_01367
OG0000478	Syab.g_00300	Syap.g_01366
OG0000479	Syab.g_00299	Syap.g_01364
OG0000480	Syab.g_00292	Syap.g_01357
OG0000482	Syab.g_00289	Syap.g_01355
OG0000483	Syab.g_00285	Syap.g_01344
OG0000484	Syab.g_00284	Syap.g_01350
OG0000485	Syab.g_00283	Syap.g_01349
OG0000487	Syab.g_00276	Syap.g_01635
OG0000488	Syab.g_00272	Syap.g_01639
OG0000489	Syab.g_00256	Syap.g_02482
OG0000490	Syab.g_00247	Syap.g_01673
OG0000491	Syab.g_00245	Syap.g_01670
OG0000492	Syab.g_00243	Syap.g_01668
OG0000493	Syab.g_00242	Syap.g_01667
OG0000494	Syab.g_00241	Syap.g_01666
OG0000495	Syab.g_00240	Syap.g_01665
OG0000496	Syab.g_00239	Syap.g_01663
OG0000497	Syab.g_00238	Syap.g_01662
OG0000498	Syab.g_00237	Syap.g_01661
OG0000499	Syab.g_00236	Syap.g_01660
OG0000500	Syab.g_00235	Syap.g_01659
OG0000501	Syab.g_00232	Syap.g_01656
OG0000502	Syab.g_00224	Syap.g_02066
OG0000503	Syab.g_00523	Syap.g_00569
OG0000504	Syab.g_00525	Syap.g_00567
OG0000505	Syab.g_00526	Syap.g_00566
OG0000506	Syab.g_00528	Syap.g_00564
OG0000507	Syab.g_00533	Syap.g_00558
OG0000508	Syab.g_00537	Syap.g_00554
OG0000509	Syab.g_00539	Syap.g_00551
OG0000510	Syab.g_00540	Syap.g_00550
OG0000511	Syab.g_00541	Syap.g_00548
OG0000512	Syab.g_00543	Syap.g_02145
OG0000513	Syab.g_00555	Syap.g_02048
OG0000514	Syab.g_00566	Syap.g_02051
OG0000515	Syab.g_00567	Syap.g_02052
OG0000516	Syab.g_00575	Syap.g_02054
OG0000517	Syab.g_00582	Syap.g_02057
OG0000519	Syab.g_00610	Syap.g_00457
OG0000520	Syab.g_00611	Syap.g_00456
OG0000521	Syab.g_00624	Syap.g_01997
OG0000522	Syab.g_00626	Syap.g_01995
OG0000523	Syab.g_00627	Syap.g_02507
OG0000524	Syab.g_00640	Syap.g_02135
OG0000525	Syab.g_00671	Syap.g_02159
OG0000526	Syab.g_00689	Syap.g_02157
OG0000527	Syab.g_00695	Syap.g_02758
OG0000528	Syab.g_02092	Syap.g_02261
OG0000529	Syab.g_02097	Syap.g_02254
OG0000530	Syab.g_02100	Syap.g_02252
OG0000531	Syab.g_02101	Syap.g_02251
OG0000532	Syab.g_02104	Syap.g_02247
OG0000533	Syab.g_02106	Syap.g_02244
OG0000534	Syab.g_02107	Syap.g_02243
OG0000535	Syab.g_02108	Syap.g_02242
OG0000536	Syab.g_02109	Syap.g_02241
OG0000537	Syab.g_02110	Syap.g_02240
OG0000538	Syab.g_02122	Syap.g_00271
OG0000539	Syab.g_02123	Syap.g_00270
OG0000540	Syab.g_02124	Syap.g_00269
OG0000541	Syab.g_02125	Syap.g_00268
OG0000542	Syab.g_02128	Syap.g_00264
OG0000543	Syab.g_02130	Syap.g_00261
OG0000544	Syab.g_02131	Syap.g_00260
OG0000545	Syab.g_02133	Syap.g_00259
OG0000546	Syab.g_02135	Syap.g_00256
OG0000547	Syab.g_02137	Syap.g_00254
OG0000548	Syab.g_02138	Syap.g_00253
OG0000549	Syab.g_02144	Syap.g_00758
OG0000550	Syab.g_02149	Syap.g_02747
OG0000551	Syab.g_02153	Syap.g_02739
OG0000552	Syab.g_02154	Syap.g_02738
OG0000553	Syab.g_02046	Syap.g_02735
OG0000554	Syab.g_02040	Syap.g_01450
OG0000555	Syab.g_02026	Syap.g_01941
OG0000556	Syab.g_02022	Syap.g_01933
OG0000557	Syab.g_02019	Syap.g_01931
OG0000558	Syab.g_02016	Syap.g_01147
OG0000560	Syab.g_02009	Syap.g_00305
OG0000561	Syab.g_02008	Syap.g_00304
OG0000562	Syab.g_02007	Syap.g_00302
OG0000563	Syab.g_02006	Syap.g_00301
OG0000564	Syab.g_02005	Syap.g_00300
OG0000565	Syab.g_02001	Syap.g_00296
OG0000566	Syab.g_01997	Syap.g_00291
OG0000567	Syab.g_01993	Syap.g_01297
OG0000568	Syab.g_01991	Syap.g_01302
OG0000569	Syab.g_01990	Syap.g_01303
OG0000570	Syab.g_01989	Syap.g_01304
OG0000571	Syab.g_01986	Syap.g_01307
OG0000573	Syab.g_01960	Syap.g_00765
OG0000574	Syab.g_01959	Syap.g_00759
OG0000575	Syab.g_01954	Syap.g_00445
OG0000576	Syab.g_01952	Syap.g_00450
OG0000577	Syab.g_01951	Syap.g_00451
OG0000578	Syab.g_01950	Syap.g_00452
OG0000579	Syab.g_01949	Syap.g_00453
OG0000580	Syab.g_01948	Syap.g_00454
OG0000581	Syab.g_01934	Syap.g_01521
OG0000582	Syab.g_01929	Syap.g_01533
OG0000583	Syab.g_01928	Syap.g_01532
OG0000584	Syab.g_01927	Syap.g_01530
OG0000585	Syab.g_01924	Syap.g_01526
OG0000586	Syab.g_01923	Syap.g_01525
OG0000587	Syab.g_01921	Syap.g_01523
OG0000588	Syab.g_01910	Syap.g_00776
OG0000589	Syab.g_01899	Syap.g_00941
OG0000590	Syab.g_01898	Syap.g_00940
OG0000591	Syab.g_01892	Syap.g_01289
OG0000592	Syab.g_01891	Syap.g_01288
OG0000593	Syab.g_01877	Syap.g_00890
OG0000594	Syab.g_01876	Syap.g_00891
OG0000595	Syab.g_01875	Syap.g_00892
