Orthogroup	Syab	Pray
OG0000034	Syab.g_00900, Syab.g_02560	Pray.g_01860
OG0000035	Syab.g_00776	Pray.g_01722
OG0000037	Syab.g_02504	Pray.g_00180
OG0000038	Syab.g_02759, Syab.g_02761	Pray.g_01415
OG0000039	Syab.g_02791	Pray.g_01077
OG0000042	Syab.g_01019, Syab.g_00099	Pray.g_01371
OG0000043	Syab.g_01539	Pray.g_00420
OG0000043	Syab.g_01785	Pray.g_01924
OG0000044	Syab.g_01262	Pray.g_00002
OG0000045	Syab.g_01787	Pray.g_00849
OG0000047	Syab.g_00876	Pray.g_00897, Pray.g_00808
OG0000048	Syab.g_00308	Pray.g_00852
OG0000051	Syab.g_01073	Pray.g_01894
OG0000052	Syab.g_00214	Pray.g_01793
OG0000053	Syab.g_00746	Pray.g_01702
OG0000054	Syab.g_01932	Pray.g_01157
OG0000055	Syab.g_01255	Pray.g_00329
OG0000056	Syab.g_01452	Pray.g_01942
OG0000057	Syab.g_01200	Pray.g_01065
OG0000058	Syab.g_00227	Pray.g_01786
OG0000059	Syab.g_00397	Pray.g_01258, Pray.g_01761
OG0000061	Syab.g_00969	Pray.g_00064
OG0000063	Syab.g_00040	Pray.g_01495
OG0000065	Syab.g_02500, Syab.g_01768	Pray.g_00182
OG0000066	Syab.g_02031	Pray.g_01222
OG0000067	Syab.g_01659	Pray.g_00348
OG0000068	Syab.g_02087	Pray.g_01829
OG0000070	Syab.g_00614	Pray.g_00940
OG0000071	Syab.g_00915	Pray.g_01870
OG0000072	Syab.g_02593	Pray.g_00652
OG0000073	Syab.g_02119	Pray.g_00990
OG0000075	Syab.g_00202	Pray.g_01339
OG0000076	Syab.g_00113	Pray.g_01364
OG0000077	Syab.g_02446	Pray.g_00211
OG0000078	Syab.g_02366	Pray.g_00720
OG0000079	Syab.g_00340	Pray.g_00733
OG0000081	Syab.g_01793	Pray.g_01022
OG0000082	Syab.g_01971	Pray.g_01177
OG0000084	Syab.g_00781	Pray.g_01726
OG0000085	Syab.g_02243	Pray.g_01566
OG0000086	Syab.g_02468	Pray.g_00201
OG0000087	Syab.g_02551	Pray.g_00150
OG0000088	Syab.g_02586	Pray.g_00647
OG0000089	Syab.g_00551	Pray.g_00834
OG0000090	Syab.g_02041	Pray.g_01024, Pray.g_01228
OG0000091	Syab.g_01866	Pray.g_01121
OG0000092	Syab.g_01242, Syab.g_00690	Pray.g_00457, Pray.g_01325
OG0000094	Syab.g_01306	Pray.g_00565
OG0000097	Syab.g_01051	Pray.g_00022
OG0000098	Syab.g_01553	Pray.g_01847
OG0000099	Syab.g_00230	Pray.g_01788
OG0000100	Syab.g_01694	Pray.g_01648
OG0000101	Syab.g_00446	Pray.g_01306
OG0000102	Syab.g_00104	Pray.g_01369
OG0000103	Syab.g_01296, Syab.g_02895	Pray.g_01449
OG0000104	Syab.g_02910	Pray.g_01457
OG0000105	Syab.g_00303	Pray.g_00753
OG0000106	Syab.g_01817	Pray.g_00848
OG0000108	Syab.g_02096	Pray.g_00970
OG0000109	Syab.g_02112	Pray.g_00984
OG0000110	Syab.g_01984	Pray.g_01187
OG0000111	Syab.g_01201	Pray.g_01064
OG0000112	Syab.g_01392	Pray.g_00313
OG0000113	Syab.g_01689	Pray.g_00370
OG0000114	Syab.g_01633	Pray.g_00452
OG0000115	Syab.g_00748	Pray.g_00126
OG0000116	Syab.g_00945	Pray.g_00074
OG0000117	Syab.g_01018	Pray.g_01927
OG0000118	Syab.g_00897	Pray.g_01858
OG0000120	Syab.g_00229	Pray.g_01808
OG0000121	Syab.g_00772	Pray.g_01720
OG0000122	Syab.g_01839	Pray.g_01682
OG0000123	Syab.g_00454	Pray.g_01313
OG0000124	Syab.g_00088	Pray.g_01380
OG0000125	Syab.g_02763	Pray.g_01417
OG0000126	Syab.g_02908	Pray.g_01456
OG0000128	Syab.g_00012	Pray.g_01473
OG0000129	Syab.g_02749	Pray.g_00239
OG0000130	Syab.g_02434	Pray.g_00220
OG0000131	Syab.g_02564	Pray.g_00144
OG0000132	Syab.g_02584	Pray.g_00645
OG0000133	Syab.g_01387	Pray.g_00800
OG0000134	Syab.g_00554	Pray.g_00835
OG0000135	Syab.g_02815	Pray.g_00861
OG0000136	Syab.g_00588	Pray.g_00931
OG0000137	Syab.g_00697	Pray.g_00965
OG0000138	Syab.g_02113	Pray.g_00985
OG0000139	Syab.g_02035	Pray.g_01224
OG0000140	Syab.g_02033	Pray.g_01223
OG0000141	Syab.g_01931	Pray.g_01156
OG0000142	Syab.g_01873	Pray.g_01128
OG0000143	Syab.g_01870	Pray.g_01124
OG0000144	Syab.g_01757	Pray.g_01111
OG0000145	Syab.g_02120	Pray.g_00306
OG0000146	Syab.g_01393	Pray.g_00314
OG0000147	Syab.g_01394	Pray.g_00315
OG0000148	Syab.g_01682	Pray.g_00364
OG0000149	Syab.g_01720	Pray.g_00395
OG0000150	Syab.g_01930	Pray.g_00403
OG0000151	Syab.g_01612	Pray.g_00462
OG0000152	Syab.g_01383	Pray.g_00511
OG0000153	Syab.g_01343	Pray.g_00530
OG0000154	Syab.g_01317	Pray.g_00558
OG0000155	Syab.g_01009	Pray.g_00043
OG0000156	Syab.g_00933	Pray.g_01881
OG0000157	Syab.g_00932	Pray.g_01880
OG0000158	Syab.g_00161	Pray.g_01787
OG0000160	Syab.g_00774	Pray.g_01721
OG0000161	Syab.g_00766	Pray.g_01715
OG0000162	Syab.g_00755	Pray.g_01709
OG0000163	Syab.g_02173	Pray.g_01675
OG0000164	Syab.g_02307	Pray.g_01535
OG0000165	Syab.g_02316	Pray.g_01528
OG0000166	Syab.g_00407	Pray.g_01270
OG0000167	Syab.g_00205	Pray.g_01337
OG0000168	Syab.g_00136	Pray.g_01347
OG0000169	Syab.g_00125	Pray.g_01357
OG0000170	Syab.g_00118	Pray.g_01359
OG0000171	Syab.g_00089	Pray.g_01379
OG0000172	Syab.g_00080	Pray.g_01388
OG0000173	Syab.g_00061	Pray.g_01403
OG0000174	Syab.g_02819	Pray.g_01431
OG0000175	Syab.g_02876	Pray.g_01441
OG0000176	Syab.g_00004	Pray.g_01465, Pray.g_01466
OG0000177	Syab.g_00005	Pray.g_01467
OG0000178	Syab.g_00006	Pray.g_01468
OG0000179	Syab.g_00022	Pray.g_01478
OG0000180	Syab.g_00023	Pray.g_01479
OG0000181	Syab.g_00024	Pray.g_01480
OG0000182	Syab.g_00025	Pray.g_01481
OG0000183	Syab.g_00029	Pray.g_01485
OG0000184	Syab.g_02738	Pray.g_00237
OG0000185	Syab.g_02715	Pray.g_00234
OG0000186	Syab.g_02430	Pray.g_00225
OG0000187	Syab.g_02431	Pray.g_00224
OG0000188	Syab.g_02454	Pray.g_00207
OG0000189	Syab.g_02487	Pray.g_00193
OG0000190	Syab.g_00190, Syab.g_00139	Pray.g_00192
OG0000191	Syab.g_02522	Pray.g_00172
OG0000192	Syab.g_02528	Pray.g_00168
OG0000193	Syab.g_02565	Pray.g_00143
OG0000194	Syab.g_02568	Pray.g_00140
OG0000195	Syab.g_02570	Pray.g_00138
OG0000196	Syab.g_02581	Pray.g_00642
OG0000197	Syab.g_02582	Pray.g_00643
OG0000198	Syab.g_02583	Pray.g_00644
OG0000199	Syab.g_02591	Pray.g_00651
OG0000200	Syab.g_02611	Pray.g_00665
OG0000201	Syab.g_02628	Pray.g_00673
OG0000202	Syab.g_02629	Pray.g_00674
OG0000203	Syab.g_02630	Pray.g_00675
OG0000204	Syab.g_02631	Pray.g_00676
OG0000205	Syab.g_02638	Pray.g_00683
OG0000206	Syab.g_02674	Pray.g_00688
OG0000207	Syab.g_02677	Pray.g_00690
OG0000208	Syab.g_02678	Pray.g_00691
OG0000209	Syab.g_02698	Pray.g_00700
OG0000210	Syab.g_02699	Pray.g_00701
OG0000212	Syab.g_02365	Pray.g_00721
OG0000213	Syab.g_00332	Pray.g_00738
OG0000214	Syab.g_00312	Pray.g_00747
OG0000215	Syab.g_00281	Pray.g_00771
OG0000216	Syab.g_00277	Pray.g_00772
OG0000217	Syab.g_00273	Pray.g_00775
OG0000218	Syab.g_00271	Pray.g_00777
OG0000219	Syab.g_00270	Pray.g_00778
OG0000220	Syab.g_00269	Pray.g_00779
OG0000221	Syab.g_00257	Pray.g_00780
OG0000222	Syab.g_00244	Pray.g_00788
OG0000223	Syab.g_00226	Pray.g_00801
OG0000224	Syab.g_00223	Pray.g_00803
OG0000225	Syab.g_00538	Pray.g_00824
OG0000226	Syab.g_00542	Pray.g_00828
OG0000227	Syab.g_00544	Pray.g_00830
OG0000228	Syab.g_00550	Pray.g_00833
OG0000229	Syab.g_00583	Pray.g_00926
OG0000230	Syab.g_00585	Pray.g_00928
OG0000231	Syab.g_00613	Pray.g_00939
OG0000232	Syab.g_00631	Pray.g_00948
OG0000233	Syab.g_00645	Pray.g_00953
OG0000234	Syab.g_00699	Pray.g_00966
OG0000235	Syab.g_02095	Pray.g_00969
OG0000236	Syab.g_02111	Pray.g_00983
OG0000237	Syab.g_02129	Pray.g_00997
OG0000238	Syab.g_02134	Pray.g_01003
OG0000239	Syab.g_02151	Pray.g_01016
OG0000240	Syab.g_02152	Pray.g_01017
OG0000241	Syab.g_01884	Pray.g_01021
OG0000242	Syab.g_02043	Pray.g_01023
OG0000243	Syab.g_02025	Pray.g_01218
OG0000244	Syab.g_02017	Pray.g_01215
OG0000245	Syab.g_02015	Pray.g_01213
OG0000246	Syab.g_02011	Pray.g_01209
OG0000247	Syab.g_01999	Pray.g_01199
OG0000248	Syab.g_01996	Pray.g_01197
OG0000249	Syab.g_01994	Pray.g_01195
OG0000250	Syab.g_01988	Pray.g_01190
OG0000251	Syab.g_01961	Pray.g_01172
OG0000252	Syab.g_01958	Pray.g_01169
OG0000253	Syab.g_01956	Pray.g_01168
OG0000254	Syab.g_01925	Pray.g_01152
OG0000255	Syab.g_01912	Pray.g_01146
OG0000256	Syab.g_01890	Pray.g_01136
OG0000257	Syab.g_01885	Pray.g_01133
OG0000258	Syab.g_01861	Pray.g_01120
OG0000259	Syab.g_01538	Pray.g_01103
OG0000260	Syab.g_01544	Pray.g_01100
OG0000261	Syab.g_01556	Pray.g_01098
OG0000262	Syab.g_01561	Pray.g_01094
OG0000263	Syab.g_01035	Pray.g_01082
OG0000264	Syab.g_01173	Pray.g_01072
OG0000265	Syab.g_01773	Pray.g_01040
OG0000266	Syab.g_01667	Pray.g_01030
OG0000267	Syab.g_01433	Pray.g_00274
OG0000268	Syab.g_01432	Pray.g_00275
OG0000269	Syab.g_01650	Pray.g_00343
OG0000270	Syab.g_01657	Pray.g_00346
OG0000271	Syab.g_01279	Pray.g_00354
OG0000272	Syab.g_01280	Pray.g_00355
OG0000274	Syab.g_01700	Pray.g_00379
OG0000275	Syab.g_01704	Pray.g_00382
OG0000276	Syab.g_01712	Pray.g_00387
OG0000277	Syab.g_01713	Pray.g_00388
OG0000278	Syab.g_01716	Pray.g_00391
OG0000279	Syab.g_01724	Pray.g_00398
OG0000280	Syab.g_01736	Pray.g_00399
OG0000281	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546	Pray.g_00404
OG0000282	Syab.g_01631	Pray.g_00454
OG0000283	Syab.g_01418	Pray.g_00488
OG0000284	Syab.g_01413	Pray.g_00493
OG0000285	Syab.g_01402	Pray.g_00498
OG0000286	Syab.g_01384	Pray.g_00510
OG0000288	Syab.g_01318	Pray.g_00557
OG0000289	Syab.g_01303	Pray.g_00568
OG0000290	Syab.g_01213	Pray.g_00581
OG0000291	Syab.g_01211	Pray.g_00583
OG0000292	Syab.g_02907	Pray.g_00632
OG0000293	Syab.g_00946	Pray.g_00073
OG0000294	Syab.g_00947	Pray.g_00072
OG0000295	Syab.g_01001	Pray.g_00051
OG0000296	Syab.g_01003	Pray.g_00049
OG0000297	Syab.g_01016	Pray.g_00041
OG0000298	Syab.g_01017	Pray.g_00040
OG0000299	Syab.g_01047	Pray.g_00023
OG0000300	Syab.g_01054	Pray.g_00020
OG0000301	Syab.g_01055	Pray.g_00019
OG0000302	Syab.g_01056	Pray.g_00017
OG0000303	Syab.g_01149	Pray.g_00010
OG0000304	Syab.g_01143	Pray.g_00006
OG0000305	Syab.g_01208	Pray.g_01837
OG0000306	Syab.g_01819	Pray.g_01834
OG0000307	Syab.g_02078	Pray.g_01820
OG0000308	Syab.g_02076	Pray.g_01819
OG0000309	Syab.g_02071	Pray.g_01815
OG0000310	Syab.g_00817	Pray.g_01737
OG0000311	Syab.g_00811	Pray.g_01735
OG0000312	Syab.g_00793	Pray.g_01732
OG0000313	Syab.g_00769	Pray.g_01718
OG0000314	Syab.g_00736	Pray.g_01695
OG0000315	Syab.g_00726	Pray.g_01685
OG0000316	Syab.g_02189	Pray.g_01665
OG0000317	Syab.g_02251	Pray.g_01561
OG0000318	Syab.g_02257	Pray.g_01558
OG0000319	Syab.g_02291	Pray.g_01545
OG0000320	Syab.g_02293	Pray.g_01543
OG0000321	Syab.g_02294	Pray.g_01542
OG0000322	Syab.g_02295	Pray.g_01541
OG0000323	Syab.g_02310	Pray.g_01532
OG0000324	Syab.g_02341	Pray.g_01506
OG0000325	Syab.g_00368	Pray.g_01235
OG0000326	Syab.g_00375	Pray.g_01241
OG0000327	Syab.g_00402	Pray.g_01265
OG0000328	Syab.g_00403	Pray.g_01266
OG0000329	Syab.g_00420	Pray.g_01283
OG0000330	Syab.g_00421	Pray.g_01284
OG0000331	Syab.g_00422	Pray.g_01285
OG0000332	Syab.g_00437	Pray.g_01299
OG0000333	Syab.g_00440	Pray.g_01301
OG0000334	Syab.g_00450	Pray.g_01309
OG0000335	Syab.g_00455	Pray.g_01314
OG0000336	Syab.g_00459	Pray.g_01318
OG0000337	Syab.g_00210	Pray.g_01335
OG0000338	Syab.g_00207	Pray.g_01336
OG0000339	Syab.g_00201	Pray.g_01340
OG0000340	Syab.g_00135	Pray.g_01348
OG0000341	Syab.g_00157, Syab.g_00133	Pray.g_01350
OG0000342	Syab.g_00132	Pray.g_01351
OG0000343	Syab.g_00131	Pray.g_01352
OG0000344	Syab.g_00127	Pray.g_01355
OG0000345	Syab.g_00117	Pray.g_01360
OG0000346	Syab.g_00112	Pray.g_01365
OG0000347	Syab.g_00087	Pray.g_01381
OG0000348	Syab.g_00076	Pray.g_01391
OG0000349	Syab.g_00054	Pray.g_01408
OG0000350	Syab.g_00382	Pray.g_01427
OG0000351	Syab.g_02879	Pray.g_01444
OG0000352	Syab.g_02880	Pray.g_01445
OG0000353	Syab.g_02913	Pray.g_01460
OG0000355	Syab.g_00001	Pray.g_01462
OG0000356	Syab.g_00002	Pray.g_01463
OG0000357	Syab.g_00003	Pray.g_01464
OG0000358	Syab.g_00007	Pray.g_01469
OG0000359	Syab.g_00009	Pray.g_01470
OG0000360	Syab.g_00010	Pray.g_01471
OG0000361	Syab.g_00011	Pray.g_01472
OG0000362	Syab.g_00013	Pray.g_01474
OG0000363	Syab.g_00015	Pray.g_01476
OG0000364	Syab.g_00016	Pray.g_01477
OG0000365	Syab.g_00026	Pray.g_01482
OG0000366	Syab.g_00027	Pray.g_01483
OG0000367	Syab.g_00028	Pray.g_01484
OG0000368	Syab.g_00030	Pray.g_01486
OG0000369	Syab.g_00031	Pray.g_01487
OG0000370	Syab.g_00032	Pray.g_01488
OG0000371	Syab.g_00711, Syab.g_00039	Pray.g_01494
OG0000372	Syab.g_00045	Pray.g_01497
OG0000373	Syab.g_00046	Pray.g_01498
OG0000374	Syab.g_00047	Pray.g_01499
OG0000375	Syab.g_00050	Pray.g_00243
OG0000376	Syab.g_00052	Pray.g_00241
OG0000377	Syab.g_02748	Pray.g_00238
OG0000378	Syab.g_02717	Pray.g_00236
OG0000379	Syab.g_02714	Pray.g_00233
OG0000380	Syab.g_02432	Pray.g_00223
OG0000381	Syab.g_02435	Pray.g_00219
OG0000382	Syab.g_02453	Pray.g_00208
OG0000383	Syab.g_02459	Pray.g_00206
OG0000384	Syab.g_02460	Pray.g_00205
OG0000385	Syab.g_02461	Pray.g_00204
OG0000386	Syab.g_02462	Pray.g_00203
OG0000387	Syab.g_02491	Pray.g_00190
OG0000388	Syab.g_02495	Pray.g_00187
OG0000389	Syab.g_02499	Pray.g_00183
OG0000390	Syab.g_02516	Pray.g_00176
OG0000391	Syab.g_02521	Pray.g_00173
OG0000392	Syab.g_02527	Pray.g_00169
OG0000393	Syab.g_02530	Pray.g_00167
OG0000394	Syab.g_02531	Pray.g_00166
OG0000395	Syab.g_02532	Pray.g_00165
OG0000396	Syab.g_02535	Pray.g_00162
OG0000397	Syab.g_02537	Pray.g_00160
OG0000398	Syab.g_02542	Pray.g_00158
OG0000399	Syab.g_02543	Pray.g_00157
OG0000400	Syab.g_02544	Pray.g_00156
OG0000401	Syab.g_02545	Pray.g_00155
OG0000402	Syab.g_02547	Pray.g_00153
OG0000403	Syab.g_02548	Pray.g_00152
OG0000404	Syab.g_02550	Pray.g_00151
OG0000405	Syab.g_02562	Pray.g_00147
OG0000406	Syab.g_02566	Pray.g_00142
OG0000407	Syab.g_02567	Pray.g_00141
OG0000408	Syab.g_02569	Pray.g_00139
OG0000409	Syab.g_02571	Pray.g_00137
OG0000410	Syab.g_02572	Pray.g_00136
OG0000411	Syab.g_02573	Pray.g_00635
OG0000412	Syab.g_02574	Pray.g_00636
OG0000413	Syab.g_02576	Pray.g_00637
OG0000414	Syab.g_02577	Pray.g_00638
OG0000415	Syab.g_02578	Pray.g_00639
OG0000416	Syab.g_02579	Pray.g_00640
OG0000417	Syab.g_02580	Pray.g_00641
OG0000418	Syab.g_02585	Pray.g_00646
OG0000419	Syab.g_02587	Pray.g_00648
OG0000420	Syab.g_02589	Pray.g_00649
OG0000421	Syab.g_02595	Pray.g_00654
OG0000422	Syab.g_02596	Pray.g_00655
OG0000423	Syab.g_02597	Pray.g_00656
OG0000424	Syab.g_02598	Pray.g_00657
OG0000425	Syab.g_02599	Pray.g_00658
OG0000426	Syab.g_02600	Pray.g_00659
OG0000427	Syab.g_02601	Pray.g_00660
OG0000428	Syab.g_02604	Pray.g_00662
OG0000429	Syab.g_02608	Pray.g_00663
OG0000430	Syab.g_02610	Pray.g_00664
OG0000431	Syab.g_02613	Pray.g_00666
OG0000432	Syab.g_02619	Pray.g_00669
OG0000433	Syab.g_02622	Pray.g_00670
OG0000434	Syab.g_02623	Pray.g_00671
OG0000435	Syab.g_02625	Pray.g_00672
OG0000436	Syab.g_02632	Pray.g_00677
OG0000437	Syab.g_02633	Pray.g_00678
OG0000438	Syab.g_02634	Pray.g_00679
OG0000439	Syab.g_02636	Pray.g_00681
OG0000440	Syab.g_02637	Pray.g_00682
OG0000441	Syab.g_02641	Pray.g_00685
OG0000442	Syab.g_02642	Pray.g_00686
OG0000443	Syab.g_02668	Pray.g_00687
OG0000444	Syab.g_02681	Pray.g_00692
OG0000445	Syab.g_02682	Pray.g_00693
OG0000446	Syab.g_02684	Pray.g_00694
OG0000447	Syab.g_02687	Pray.g_00695
OG0000448	Syab.g_02688	Pray.g_00696
OG0000449	Syab.g_02689	Pray.g_00697
OG0000450	Syab.g_02695	Pray.g_00698
OG0000451	Syab.g_02696	Pray.g_00699
OG0000452	Syab.g_02701	Pray.g_00702
OG0000453	Syab.g_02702	Pray.g_00703
OG0000454	Syab.g_02703	Pray.g_00704
OG0000455	Syab.g_02704	Pray.g_00705
OG0000456	Syab.g_02705	Pray.g_00706
OG0000457	Syab.g_02707	Pray.g_00707
OG0000458	Syab.g_02708	Pray.g_00708
OG0000459	Syab.g_02709	Pray.g_00709
OG0000460	Syab.g_02372	Pray.g_00716
OG0000461	Syab.g_00356	Pray.g_00723
OG0000462	Syab.g_00352	Pray.g_00725
OG0000463	Syab.g_00351	Pray.g_00726
OG0000464	Syab.g_00350	Pray.g_00727
OG0000465	Syab.g_00349	Pray.g_00728
OG0000466	Syab.g_00343	Pray.g_00731
OG0000467	Syab.g_00341	Pray.g_00732
OG0000468	Syab.g_00336	Pray.g_00734
OG0000469	Syab.g_00318	Pray.g_00742
OG0000470	Syab.g_00316	Pray.g_00744
OG0000471	Syab.g_00315	Pray.g_00745
OG0000472	Syab.g_00313	Pray.g_00746
OG0000473	Syab.g_00311	Pray.g_00748
OG0000474	Syab.g_00310	Pray.g_00749
OG0000475	Syab.g_00309	Pray.g_00750
OG0000476	Syab.g_00307	Pray.g_00751
OG0000477	Syab.g_00301	Pray.g_00754
OG0000478	Syab.g_00300	Pray.g_00755
OG0000479	Syab.g_00299	Pray.g_00756
OG0000480	Syab.g_00292	Pray.g_00761
OG0000481	Syab.g_00290	Pray.g_00763
OG0000482	Syab.g_00289	Pray.g_00764
OG0000483	Syab.g_00285	Pray.g_00767
OG0000484	Syab.g_00284	Pray.g_00768
OG0000485	Syab.g_00283	Pray.g_00769
OG0000486	Syab.g_00282	Pray.g_00770
OG0000487	Syab.g_00276	Pray.g_00773
OG0000488	Syab.g_00272	Pray.g_00776
OG0000489	Syab.g_00256	Pray.g_00781
OG0000490	Syab.g_00247	Pray.g_00786
OG0000491	Syab.g_00245	Pray.g_00787
OG0000492	Syab.g_00243	Pray.g_00789
OG0000493	Syab.g_00242	Pray.g_00790
OG0000494	Syab.g_00241	Pray.g_00791
OG0000495	Syab.g_00240	Pray.g_00792
OG0000496	Syab.g_00239	Pray.g_00793
OG0000497	Syab.g_00238	Pray.g_00794
OG0000498	Syab.g_00237	Pray.g_00795
OG0000499	Syab.g_00236	Pray.g_00796
OG0000500	Syab.g_00235	Pray.g_00797
OG0000501	Syab.g_00232	Pray.g_00799
OG0000502	Syab.g_00224	Pray.g_00802
OG0000503	Syab.g_00523	Pray.g_00812
OG0000504	Syab.g_00525	Pray.g_00813
OG0000505	Syab.g_00526	Pray.g_00814
OG0000506	Syab.g_00528	Pray.g_00816
OG0000507	Syab.g_00533	Pray.g_00819
OG0000508	Syab.g_00537	Pray.g_00823
OG0000509	Syab.g_00539	Pray.g_00825
OG0000510	Syab.g_00540	Pray.g_00826
OG0000511	Syab.g_00541	Pray.g_00827
OG0000512	Syab.g_00543	Pray.g_00829
OG0000513	Syab.g_00555	Pray.g_00836
OG0000514	Syab.g_00566	Pray.g_00921
OG0000515	Syab.g_00567	Pray.g_00922
OG0000516	Syab.g_00575	Pray.g_00923
OG0000517	Syab.g_00582	Pray.g_00925
OG0000518	Syab.g_00594	Pray.g_00936
OG0000519	Syab.g_00610	Pray.g_00937
OG0000520	Syab.g_00611	Pray.g_00938
OG0000521	Syab.g_00624	Pray.g_00943
OG0000522	Syab.g_00626	Pray.g_00945
OG0000523	Syab.g_00627	Pray.g_00946
OG0000524	Syab.g_00640	Pray.g_00951
OG0000525	Syab.g_00671	Pray.g_00954
OG0000526	Syab.g_00689	Pray.g_00955
OG0000527	Syab.g_00695	Pray.g_00963
OG0000528	Syab.g_02092	Pray.g_00968
OG0000529	Syab.g_02097	Pray.g_00971
OG0000530	Syab.g_02100	Pray.g_00974
OG0000531	Syab.g_02101	Pray.g_00975
OG0000532	Syab.g_02104	Pray.g_00977
OG0000533	Syab.g_02106	Pray.g_00978
OG0000534	Syab.g_02107	Pray.g_00979
OG0000535	Syab.g_02108	Pray.g_00980
OG0000536	Syab.g_02109	Pray.g_00981
OG0000537	Syab.g_02110	Pray.g_00982
OG0000538	Syab.g_02122	Pray.g_00991
OG0000539	Syab.g_02123	Pray.g_00992
OG0000540	Syab.g_02124	Pray.g_00993
OG0000541	Syab.g_02125	Pray.g_00994
OG0000542	Syab.g_02128	Pray.g_00996
OG0000543	Syab.g_02130	Pray.g_00998
OG0000544	Syab.g_02131	Pray.g_00999
OG0000545	Syab.g_02133	Pray.g_01001
OG0000546	Syab.g_02135	Pray.g_01004
OG0000547	Syab.g_02137	Pray.g_01006
OG0000548	Syab.g_02138	Pray.g_01007
OG0000549	Syab.g_02144	Pray.g_01009
OG0000550	Syab.g_02149	Pray.g_01014
OG0000551	Syab.g_02153	Pray.g_01018
OG0000552	Syab.g_02154	Pray.g_01019
OG0000553	Syab.g_02046	Pray.g_01020
OG0000554	Syab.g_02040	Pray.g_01227
OG0000555	Syab.g_02026	Pray.g_01219
OG0000556	Syab.g_02022	Pray.g_01217
OG0000557	Syab.g_02019	Pray.g_01216
OG0000558	Syab.g_02016	Pray.g_01214
OG0000559	Syab.g_02012	Pray.g_01210
OG0000560	Syab.g_02009	Pray.g_01207
OG0000561	Syab.g_02008	Pray.g_01206
OG0000562	Syab.g_02007	Pray.g_01205
OG0000563	Syab.g_02006	Pray.g_01204
OG0000564	Syab.g_02005	Pray.g_01203
OG0000565	Syab.g_02001	Pray.g_01200
OG0000566	Syab.g_01997	Pray.g_01198
OG0000567	Syab.g_01993	Pray.g_01194
OG0000568	Syab.g_01991	Pray.g_01193
OG0000569	Syab.g_01990	Pray.g_01192
OG0000570	Syab.g_01989	Pray.g_01191
OG0000571	Syab.g_01986	Pray.g_01189
OG0000572	Syab.g_01969	Pray.g_01176
OG0000573	Syab.g_01960	Pray.g_01171
OG0000574	Syab.g_01959	Pray.g_01170
OG0000575	Syab.g_01954	Pray.g_01166
OG0000576	Syab.g_01952	Pray.g_01164
OG0000577	Syab.g_01951	Pray.g_01163
OG0000578	Syab.g_01950	Pray.g_01162
OG0000579	Syab.g_01949	Pray.g_01161
OG0000580	Syab.g_01948	Pray.g_01160
OG0000581	Syab.g_01934	Pray.g_01158
OG0000582	Syab.g_01929	Pray.g_01155
OG0000583	Syab.g_01928	Pray.g_01154
OG0000584	Syab.g_01927	Pray.g_01153
OG0000585	Syab.g_01924	Pray.g_01151
OG0000586	Syab.g_01923	Pray.g_01150
