Orthogroup	Syab	Prai
OG0000145	Syab.g_02120	Prai.g_00883
OG0000146	Syab.g_01393	Prai.g_00881
OG0000147	Syab.g_01394	Prai.g_00880
OG0000148	Syab.g_01682	Prai.g_00831
OG0000149	Syab.g_01720	Prai.g_00800
OG0000150	Syab.g_01930	Prai.g_00792
OG0000151	Syab.g_01612	Prai.g_01036
OG0000152	Syab.g_01383	Prai.g_00989
OG0000153	Syab.g_01343	Prai.g_00970
OG0000154	Syab.g_01317	Prai.g_00943
OG0000155	Syab.g_01009	Prai.g_01191
OG0000156	Syab.g_00933	Prai.g_01323
OG0000157	Syab.g_00932	Prai.g_01324
OG0000158	Syab.g_00161	Prai.g_01392
OG0000160	Syab.g_00774	Prai.g_01464
OG0000161	Syab.g_00766	Prai.g_01470
OG0000162	Syab.g_00755	Prai.g_01476
OG0000163	Syab.g_02173	Prai.g_01509
OG0000164	Syab.g_02307	Prai.g_01662
OG0000165	Syab.g_02316	Prai.g_01669
OG0000166	Syab.g_00407	Prai.g_01740
OG0000167	Syab.g_00205	Prai.g_01812
OG0000168	Syab.g_00136	Prai.g_01822
OG0000169	Syab.g_00125	Prai.g_01832
OG0000170	Syab.g_00118	Prai.g_01834
OG0000171	Syab.g_00089	Prai.g_01853
OG0000172	Syab.g_00080	Prai.g_01863
OG0000173	Syab.g_00061	Prai.g_01878
OG0000174	Syab.g_02819	Prai.g_01905
OG0000175	Syab.g_02876	Prai.g_01915
OG0000176	Syab.g_00004	Prai.g_00004
OG0000177	Syab.g_00005	Prai.g_00005
OG0000178	Syab.g_00006	Prai.g_00006
OG0000179	Syab.g_00022	Prai.g_00016
OG0000180	Syab.g_00023	Prai.g_00017
OG0000181	Syab.g_00024	Prai.g_00018
OG0000182	Syab.g_00025	Prai.g_00019
OG0000183	Syab.g_00029	Prai.g_00023
OG0000184	Syab.g_02738	Prai.g_00053
OG0000185	Syab.g_02715	Prai.g_00056
OG0000186	Syab.g_02430	Prai.g_00064
OG0000187	Syab.g_02431	Prai.g_00065
OG0000188	Syab.g_02454	Prai.g_00082
OG0000189	Syab.g_02487	Prai.g_00096
OG0000190	Syab.g_00190, Syab.g_00139	Prai.g_00097
OG0000191	Syab.g_02522	Prai.g_00117
OG0000192	Syab.g_02528	Prai.g_00121
OG0000193	Syab.g_02565	Prai.g_00157
OG0000194	Syab.g_02568	Prai.g_00160
OG0000195	Syab.g_02570	Prai.g_00162
OG0000196	Syab.g_02581	Prai.g_00172
OG0000197	Syab.g_02582	Prai.g_00173
OG0000198	Syab.g_02583	Prai.g_00174
OG0000199	Syab.g_02591	Prai.g_00181
OG0000200	Syab.g_02611	Prai.g_00195
OG0000201	Syab.g_02628	Prai.g_00203
OG0000202	Syab.g_02629	Prai.g_00204
OG0000203	Syab.g_02630	Prai.g_00205
OG0000204	Syab.g_02631	Prai.g_00206
OG0000205	Syab.g_02638	Prai.g_00213
OG0000206	Syab.g_02674	Prai.g_00218
OG0000207	Syab.g_02677	Prai.g_00220
OG0000208	Syab.g_02678	Prai.g_00221
OG0000209	Syab.g_02698	Prai.g_00230
OG0000210	Syab.g_02699	Prai.g_00231
OG0000212	Syab.g_02365	Prai.g_00251
OG0000213	Syab.g_00332	Prai.g_00270
OG0000214	Syab.g_00312	Prai.g_00280
OG0000215	Syab.g_00281	Prai.g_00305
OG0000216	Syab.g_00277	Prai.g_00307
OG0000217	Syab.g_00273	Prai.g_00310
OG0000218	Syab.g_00271	Prai.g_00312
OG0000219	Syab.g_00270	Prai.g_00313
OG0000220	Syab.g_00269	Prai.g_00314
OG0000221	Syab.g_00257	Prai.g_00315
OG0000222	Syab.g_00244	Prai.g_00323
OG0000223	Syab.g_00226	Prai.g_00336
OG0000224	Syab.g_00223	Prai.g_00338
OG0000225	Syab.g_00538	Prai.g_00358
OG0000226	Syab.g_00542	Prai.g_00362
OG0000227	Syab.g_00544	Prai.g_00364
OG0000228	Syab.g_00550	Prai.g_00367
OG0000229	Syab.g_00583	Prai.g_00467
OG0000230	Syab.g_00585	Prai.g_00469
OG0000231	Syab.g_00613	Prai.g_00480
OG0000232	Syab.g_00631	Prai.g_00489
OG0000233	Syab.g_00645	Prai.g_00494
OG0000234	Syab.g_00699	Prai.g_00506
OG0000235	Syab.g_02095	Prai.g_00509
OG0000236	Syab.g_02111	Prai.g_00523
OG0000237	Syab.g_02129	Prai.g_00536
OG0000238	Syab.g_02134	Prai.g_00542
OG0000239	Syab.g_02151	Prai.g_00553
OG0000240	Syab.g_02152	Prai.g_00554
OG0000241	Syab.g_01884	Prai.g_00558
OG0000242	Syab.g_02043	Prai.g_00560
OG0000243	Syab.g_02025	Prai.g_00571
OG0000244	Syab.g_02017	Prai.g_00574
OG0000245	Syab.g_02015	Prai.g_00576
OG0000246	Syab.g_02011	Prai.g_00580
OG0000247	Syab.g_01999	Prai.g_00590
OG0000248	Syab.g_01996	Prai.g_00593
OG0000249	Syab.g_01994	Prai.g_00595
OG0000250	Syab.g_01988	Prai.g_00600
OG0000251	Syab.g_01961	Prai.g_00619
OG0000252	Syab.g_01958	Prai.g_00622
OG0000253	Syab.g_01956	Prai.g_00623
OG0000254	Syab.g_01925	Prai.g_00639
OG0000255	Syab.g_01912	Prai.g_00645
OG0000256	Syab.g_01890	Prai.g_00656
OG0000257	Syab.g_01885	Prai.g_00659
OG0000258	Syab.g_01861	Prai.g_00672
OG0000259	Syab.g_01538	Prai.g_00689
OG0000260	Syab.g_01544	Prai.g_00692
OG0000261	Syab.g_01556	Prai.g_00694
OG0000262	Syab.g_01561	Prai.g_00698
OG0000263	Syab.g_01035	Prai.g_00710
OG0000264	Syab.g_01173	Prai.g_00720
OG0000265	Syab.g_01773	Prai.g_00748
OG0000266	Syab.g_01667	Prai.g_00758
OG0000267	Syab.g_01433	Prai.g_00769
OG0000268	Syab.g_01432	Prai.g_00770
OG0000269	Syab.g_01650	Prai.g_00853
OG0000270	Syab.g_01657	Prai.g_00850
OG0000271	Syab.g_01279	Prai.g_00842
OG0000272	Syab.g_01280	Prai.g_00840, Prai.g_00841
OG0000274	Syab.g_01700	Prai.g_00816
OG0000275	Syab.g_01704	Prai.g_00741, Prai.g_00813
OG0000276	Syab.g_01712	Prai.g_00808
OG0000277	Syab.g_01713	Prai.g_00807
OG0000278	Syab.g_01716	Prai.g_00804
OG0000279	Syab.g_01724	Prai.g_00797
OG0000280	Syab.g_01736	Prai.g_00796
OG0000281	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546	Prai.g_00791
OG0000282	Syab.g_01631	Prai.g_01044
OG0000283	Syab.g_01418	Prai.g_01012
OG0000284	Syab.g_01413	Prai.g_01007
OG0000285	Syab.g_01402	Prai.g_01002
OG0000286	Syab.g_01384	Prai.g_00990
OG0000288	Syab.g_01318	Prai.g_00944
OG0000289	Syab.g_01303	Prai.g_00934
OG0000290	Syab.g_01213	Prai.g_00921
OG0000291	Syab.g_01211	Prai.g_00919
OG0000292	Syab.g_02907	Prai.g_01107
OG0000293	Syab.g_00946	Prai.g_01163
OG0000294	Syab.g_00947	Prai.g_01164
OG0000295	Syab.g_01001	Prai.g_01183
OG0000296	Syab.g_01003	Prai.g_01185
OG0000297	Syab.g_01016	Prai.g_01193
OG0000298	Syab.g_01017	Prai.g_01194
OG0000299	Syab.g_01047	Prai.g_01213
OG0000300	Syab.g_01054	Prai.g_01216
OG0000301	Syab.g_01055	Prai.g_01217
OG0000302	Syab.g_01056	Prai.g_01219
OG0000303	Syab.g_01149	Prai.g_01226
OG0000304	Syab.g_01143	Prai.g_01230
OG0000305	Syab.g_01208	Prai.g_01362
OG0000306	Syab.g_01819	Prai.g_01365
OG0000307	Syab.g_02078	Prai.g_01379
OG0000308	Syab.g_02076	Prai.g_01380
OG0000309	Syab.g_02071	Prai.g_01384
OG0000310	Syab.g_00817	Prai.g_01448
OG0000311	Syab.g_00811	Prai.g_01450
OG0000312	Syab.g_00793	Prai.g_01453
OG0000313	Syab.g_00769	Prai.g_01467
OG0000314	Syab.g_00736	Prai.g_01489
OG0000315	Syab.g_00726	Prai.g_01499
OG0000316	Syab.g_02189	Prai.g_01519
OG0000317	Syab.g_02251	Prai.g_01636
OG0000318	Syab.g_02257	Prai.g_01639
OG0000319	Syab.g_02291	Prai.g_01652
OG0000320	Syab.g_02293	Prai.g_01654
OG0000321	Syab.g_02294	Prai.g_01655
OG0000322	Syab.g_02295	Prai.g_01656
OG0000323	Syab.g_02310	Prai.g_01665
OG0000324	Syab.g_02341	Prai.g_01691
OG0000325	Syab.g_00368	Prai.g_01702
OG0000326	Syab.g_00375	Prai.g_01708
OG0000327	Syab.g_00402	Prai.g_01735
OG0000328	Syab.g_00403	Prai.g_01736
OG0000329	Syab.g_00420	Prai.g_01754
OG0000330	Syab.g_00421	Prai.g_01755
OG0000331	Syab.g_00422	Prai.g_01756
OG0000332	Syab.g_00437	Prai.g_01770
OG0000333	Syab.g_00440	Prai.g_01777
OG0000334	Syab.g_00450	Prai.g_01785
OG0000335	Syab.g_00455	Prai.g_01790
OG0000336	Syab.g_00459	Prai.g_01794
OG0000337	Syab.g_00210	Prai.g_01810
OG0000338	Syab.g_00207	Prai.g_01811
OG0000339	Syab.g_00201	Prai.g_01815
OG0000340	Syab.g_00135	Prai.g_01823
OG0000341	Syab.g_00157, Syab.g_00133	Prai.g_01825
OG0000342	Syab.g_00132	Prai.g_01826
OG0000343	Syab.g_00131	Prai.g_01827
OG0000344	Syab.g_00127	Prai.g_01830
OG0000345	Syab.g_00117	Prai.g_01835
OG0000346	Syab.g_00112	Prai.g_01839
OG0000347	Syab.g_00087	Prai.g_01855
OG0000348	Syab.g_00076	Prai.g_01866
OG0000349	Syab.g_00054	Prai.g_01883
OG0000350	Syab.g_00382	Prai.g_01901
OG0000351	Syab.g_02879	Prai.g_01918
OG0000352	Syab.g_02880	Prai.g_01919
OG0000353	Syab.g_02913	Prai.g_01935
OG0000355	Syab.g_00001	Prai.g_00001
OG0000356	Syab.g_00002	Prai.g_00002
OG0000357	Syab.g_00003	Prai.g_00003
OG0000358	Syab.g_00007	Prai.g_00007
OG0000359	Syab.g_00009	Prai.g_00008
OG0000360	Syab.g_00010	Prai.g_00009
OG0000361	Syab.g_00011	Prai.g_00010
OG0000362	Syab.g_00013	Prai.g_00012
OG0000363	Syab.g_00015	Prai.g_00014
OG0000364	Syab.g_00016	Prai.g_00015
OG0000365	Syab.g_00026	Prai.g_00020
OG0000366	Syab.g_00027	Prai.g_00021
OG0000367	Syab.g_00028	Prai.g_00022
OG0000368	Syab.g_00030	Prai.g_00024
OG0000369	Syab.g_00031	Prai.g_00025
OG0000370	Syab.g_00032	Prai.g_00026
OG0000371	Syab.g_00711, Syab.g_00039	Prai.g_00032
OG0000372	Syab.g_00045	Prai.g_00035
OG0000373	Syab.g_00046	Prai.g_00036
OG0000374	Syab.g_00047	Prai.g_00037
OG0000375	Syab.g_00050	Prai.g_00047
OG0000376	Syab.g_00052	Prai.g_00049
OG0000377	Syab.g_02748	Prai.g_00052
OG0000378	Syab.g_02717	Prai.g_00054
OG0000379	Syab.g_02714	Prai.g_00057
OG0000380	Syab.g_02432	Prai.g_00066
OG0000381	Syab.g_02435	Prai.g_00070
OG0000382	Syab.g_02453	Prai.g_00081
OG0000383	Syab.g_02459	Prai.g_00083
OG0000384	Syab.g_02460	Prai.g_00084
OG0000385	Syab.g_02461	Prai.g_00085
OG0000386	Syab.g_02462	Prai.g_00086
OG0000387	Syab.g_02491	Prai.g_00099
OG0000388	Syab.g_02495	Prai.g_00102
OG0000389	Syab.g_02499	Prai.g_00106
OG0000390	Syab.g_02516	Prai.g_00113
OG0000391	Syab.g_02521	Prai.g_00116
OG0000392	Syab.g_02527	Prai.g_00120
OG0000393	Syab.g_02530	Prai.g_00122
OG0000394	Syab.g_02531	Prai.g_00123
OG0000395	Syab.g_02532	Prai.g_00124
OG0000396	Syab.g_02535	Prai.g_00127
OG0000397	Syab.g_02537	Prai.g_00129
OG0000398	Syab.g_02542	Prai.g_00131
OG0000399	Syab.g_02543	Prai.g_00132
OG0000400	Syab.g_02544	Prai.g_00133
OG0000401	Syab.g_02545	Prai.g_00134
OG0000402	Syab.g_02547	Prai.g_00136
OG0000403	Syab.g_02548	Prai.g_00137
OG0000404	Syab.g_02550	Prai.g_00138
OG0000405	Syab.g_02562	Prai.g_00142
OG0000406	Syab.g_02566	Prai.g_00158
OG0000407	Syab.g_02567	Prai.g_00159
OG0000408	Syab.g_02569	Prai.g_00161
OG0000409	Syab.g_02571	Prai.g_00163
OG0000410	Syab.g_02572	Prai.g_00164
OG0000411	Syab.g_02573	Prai.g_00165
OG0000412	Syab.g_02574	Prai.g_00166
OG0000413	Syab.g_02576	Prai.g_00167
OG0000414	Syab.g_02577	Prai.g_01288, Prai.g_00168
OG0000415	Syab.g_02578	Prai.g_00169
OG0000416	Syab.g_02579	Prai.g_00170
OG0000417	Syab.g_02580	Prai.g_00171
OG0000418	Syab.g_02585	Prai.g_00176
OG0000419	Syab.g_02587	Prai.g_00178
OG0000420	Syab.g_02589	Prai.g_00179
OG0000421	Syab.g_02595	Prai.g_00184
OG0000422	Syab.g_02596	Prai.g_00185
OG0000423	Syab.g_02597	Prai.g_00186
OG0000424	Syab.g_02598	Prai.g_00187
OG0000425	Syab.g_02599	Prai.g_00188
OG0000426	Syab.g_02600	Prai.g_00189
OG0000427	Syab.g_02601	Prai.g_00190
OG0000428	Syab.g_02604	Prai.g_00192
OG0000429	Syab.g_02608	Prai.g_00193
OG0000430	Syab.g_02610	Prai.g_00194
OG0000431	Syab.g_02613	Prai.g_00196
OG0000432	Syab.g_02619	Prai.g_00199
OG0000433	Syab.g_02622	Prai.g_00200
OG0000434	Syab.g_02623	Prai.g_00201
OG0000435	Syab.g_02625	Prai.g_00202
OG0000436	Syab.g_02632	Prai.g_00207
OG0000437	Syab.g_02633	Prai.g_00208
OG0000438	Syab.g_02634	Prai.g_00209
OG0000439	Syab.g_02636	Prai.g_00211
OG0000440	Syab.g_02637	Prai.g_00212
OG0000441	Syab.g_02641	Prai.g_00215
OG0000442	Syab.g_02642	Prai.g_00216
OG0000443	Syab.g_02668	Prai.g_00217
OG0000444	Syab.g_02681	Prai.g_00222
OG0000445	Syab.g_02682	Prai.g_00223
OG0000446	Syab.g_02684	Prai.g_00224
OG0000447	Syab.g_02687	Prai.g_00225
OG0000448	Syab.g_02688	Prai.g_00226
OG0000449	Syab.g_02689	Prai.g_00227
OG0000450	Syab.g_02695	Prai.g_00228
OG0000451	Syab.g_02696	Prai.g_00229
OG0000452	Syab.g_02701	Prai.g_00232
OG0000453	Syab.g_02702	Prai.g_00233
OG0000454	Syab.g_02703	Prai.g_00234
OG0000455	Syab.g_02704	Prai.g_00235
OG0000456	Syab.g_02705	Prai.g_00236
OG0000457	Syab.g_02707	Prai.g_00237
OG0000458	Syab.g_02708	Prai.g_00238
OG0000459	Syab.g_02709	Prai.g_00239
OG0000460	Syab.g_02372	Prai.g_00246
OG0000461	Syab.g_00356	Prai.g_00255
OG0000462	Syab.g_00352	Prai.g_00257
OG0000463	Syab.g_00351	Prai.g_00258
OG0000464	Syab.g_00350	Prai.g_00259
OG0000465	Syab.g_00349	Prai.g_00260
OG0000466	Syab.g_00343	Prai.g_00263
OG0000467	Syab.g_00341	Prai.g_00264
OG0000468	Syab.g_00336	Prai.g_00266
OG0000469	Syab.g_00318	Prai.g_00275
OG0000470	Syab.g_00316	Prai.g_00277
OG0000471	Syab.g_00315	Prai.g_00278
OG0000472	Syab.g_00313	Prai.g_00279
OG0000473	Syab.g_00311	Prai.g_00281
OG0000474	Syab.g_00310	Prai.g_00282
OG0000475	Syab.g_00309	Prai.g_00283
OG0000476	Syab.g_00307	Prai.g_00284
OG0000477	Syab.g_00301	Prai.g_00288
OG0000478	Syab.g_00300	Prai.g_00289
OG0000479	Syab.g_00299	Prai.g_00290
OG0000480	Syab.g_00292	Prai.g_00295
OG0000481	Syab.g_00290	Prai.g_00297
OG0000482	Syab.g_00289	Prai.g_00298
OG0000483	Syab.g_00285	Prai.g_00301
OG0000484	Syab.g_00284	Prai.g_00302
OG0000485	Syab.g_00283	Prai.g_00303
OG0000486	Syab.g_00282	Prai.g_00304
OG0000487	Syab.g_00276	Prai.g_00308
OG0000488	Syab.g_00272	Prai.g_00311
OG0000489	Syab.g_00256	Prai.g_00316
OG0000490	Syab.g_00247	Prai.g_00321
OG0000491	Syab.g_00245	Prai.g_00322
OG0000492	Syab.g_00243	Prai.g_00324
OG0000493	Syab.g_00242	Prai.g_00325
OG0000494	Syab.g_00241	Prai.g_00326
OG0000495	Syab.g_00240	Prai.g_00327
OG0000496	Syab.g_00239	Prai.g_00328
OG0000497	Syab.g_00238	Prai.g_00329
OG0000498	Syab.g_00237	Prai.g_00330
OG0000499	Syab.g_00236	Prai.g_00331
OG0000500	Syab.g_00235	Prai.g_00332
OG0000501	Syab.g_00232	Prai.g_00334
OG0000502	Syab.g_00224	Prai.g_00337
OG0000503	Syab.g_00523	Prai.g_00347
OG0000504	Syab.g_00525	Prai.g_00348
OG0000505	Syab.g_00526	Prai.g_00349
OG0000506	Syab.g_00528	Prai.g_00351
OG0000507	Syab.g_00533	Prai.g_00354
OG0000508	Syab.g_00537	Prai.g_00357
OG0000509	Syab.g_00539	Prai.g_00359
OG0000510	Syab.g_00540	Prai.g_00360
OG0000511	Syab.g_00541	Prai.g_00361
OG0000512	Syab.g_00543	Prai.g_00363
OG0000513	Syab.g_00555	Prai.g_00370
OG0000514	Syab.g_00566	Prai.g_00462
OG0000515	Syab.g_00567	Prai.g_00463
OG0000516	Syab.g_00575	Prai.g_00464
OG0000517	Syab.g_00582	Prai.g_00466
OG0000518	Syab.g_00594	Prai.g_00477
OG0000519	Syab.g_00610	Prai.g_00478
OG0000520	Syab.g_00611	Prai.g_00479
OG0000521	Syab.g_00624	Prai.g_00484
OG0000522	Syab.g_00626	Prai.g_00486
OG0000523	Syab.g_00627	Prai.g_00487
OG0000524	Syab.g_00640	Prai.g_00492
OG0000525	Syab.g_00671	Prai.g_00495
OG0000526	Syab.g_00689	Prai.g_00496
OG0000527	Syab.g_00695	Prai.g_00503
OG0000528	Syab.g_02092	Prai.g_00508
OG0000529	Syab.g_02097	Prai.g_00511
OG0000530	Syab.g_02100	Prai.g_00514
OG0000531	Syab.g_02101	Prai.g_00515
OG0000532	Syab.g_02104	Prai.g_00517
OG0000533	Syab.g_02106	Prai.g_00518
OG0000534	Syab.g_02107	Prai.g_00519
OG0000535	Syab.g_02108	Prai.g_00520
OG0000536	Syab.g_02109	Prai.g_00521
OG0000537	Syab.g_02110	Prai.g_00522
OG0000538	Syab.g_02122	Prai.g_00530
OG0000539	Syab.g_02123	Prai.g_00531
OG0000540	Syab.g_02124	Prai.g_00532
OG0000541	Syab.g_02125	Prai.g_00533
OG0000542	Syab.g_02128	Prai.g_00535
OG0000543	Syab.g_02130	Prai.g_00537
OG0000544	Syab.g_02131	Prai.g_00538
OG0000545	Syab.g_02133	Prai.g_00540
OG0000546	Syab.g_02135	Prai.g_00543
OG0000547	Syab.g_02137	Prai.g_00544
OG0000548	Syab.g_02138	Prai.g_00545
OG0000549	Syab.g_02144	Prai.g_00547
OG0000550	Syab.g_02149	Prai.g_00552
OG0000551	Syab.g_02153	Prai.g_00555
OG0000552	Syab.g_02154	Prai.g_00556
OG0000553	Syab.g_02046	Prai.g_00557
OG0000554	Syab.g_02040	Prai.g_00562
OG0000555	Syab.g_02026	Prai.g_00570
OG0000556	Syab.g_02022	Prai.g_00572
OG0000557	Syab.g_02019	Prai.g_00573
OG0000558	Syab.g_02016	Prai.g_00575
OG0000559	Syab.g_02012	Prai.g_00579
OG0000560	Syab.g_02009	Prai.g_00582
OG0000561	Syab.g_02008	Prai.g_00583
OG0000562	Syab.g_02007	Prai.g_00584
OG0000563	Syab.g_02006	Prai.g_00585
OG0000564	Syab.g_02005	Prai.g_00586
OG0000565	Syab.g_02001	Prai.g_00589
OG0000566	Syab.g_01997	Prai.g_00592
OG0000567	Syab.g_01993	Prai.g_00596
OG0000568	Syab.g_01991	Prai.g_00597
OG0000569	Syab.g_01990	Prai.g_00598
OG0000570	Syab.g_01989	Prai.g_00599
OG0000571	Syab.g_01986	Prai.g_00601
OG0000572	Syab.g_01969	Prai.g_00614
OG0000573	Syab.g_01960	Prai.g_00620
OG0000574	Syab.g_01959	Prai.g_00621
OG0000575	Syab.g_01954	Prai.g_00625
OG0000576	Syab.g_01952	Prai.g_00627
OG0000577	Syab.g_01951	Prai.g_00628
OG0000578	Syab.g_01950	Prai.g_00629
OG0000579	Syab.g_01949	Prai.g_00630
OG0000580	Syab.g_01948	Prai.g_00631
OG0000581	Syab.g_01934	Prai.g_00633
OG0000582	Syab.g_01929	Prai.g_00636
OG0000583	Syab.g_01928	Prai.g_00637
OG0000584	Syab.g_01927	Prai.g_00638
